sw2578B-ms98-a-0002,10.335125,10.625125,not,B,ng,u-2-1
sw2578B-ms98-a-0003,20.889750,21.005750,i'm,I,sd,u-4-2
sw2578B-ms98-a-0003,21.005750,21.225750,more,I,sd,u-4-2
sw2578B-ms98-a-0003,21.225750,21.305750,of,I,sd,u-4-2
sw2578B-ms98-a-0003,21.305750,21.405750,a,I,sd,u-4-2
sw2578B-ms98-a-0003,21.405750,21.945750,fiction,I,sd,u-4-2
sw2578B-ms98-a-0003,21.945750,22.444375,and,I,sd,u-4-2
sw2578B-ms98-a-0003,23.020125,23.795750,nonfiction,I,sd,u-4-2
sw2578B-ms98-a-0003,23.795750,24.155750,reader,I,sd,u-4-2
sw2578B-ms98-a-0003,24.155750,24.447375,that,I,sd,u-4-2
sw2578B-ms98-a-0003,24.519000,24.805750,n[ot]-,I,sd,u-4-2
sw2578B-ms98-a-0003,24.805750,25.115750,not,I,sd,u-4-2
sw2578B-ms98-a-0003,25.115750,25.225750,of,I,sd,u-4-2
sw2578B-ms98-a-0003,25.225750,25.455750,that,I,sd,u-4-2
sw2578B-ms98-a-0003,25.455750,25.925750,nature,I,sd,u-4-2
sw2578B-ms98-a-0003,25.925750,26.354875,though,I,sd,u-4-2
sw2578B-ms98-a-0003,26.799250,27.394625,so,O,,
sw2578B-ms98-a-0005,46.170875,46.765000,yeah,B,b,u-6-1
sw2578B-ms98-a-0006,47.854250,48.053250,if,B,sd,u-8-1
sw2578B-ms98-a-0006,48.121000,48.362000,they,I,sd,u-8-1
sw2578B-ms98-a-0006,48.362000,48.513250,if,I,sd,u-8-1
sw2578B-ms98-a-0006,48.513250,48.643250,they,I,sd,u-8-1
sw2578B-ms98-a-0006,48.643250,48.833250,had,I,sd,u-8-1
sw2578B-ms98-a-0006,48.833250,49.056125,it,I,sd,u-8-1
sw2578B-ms98-a-0006,49.157750,49.331250,i,I,sd,u-8-1
sw2578B-ms98-a-0006,49.331250,49.483250,don't,I,sd,u-8-1
sw2578B-ms98-a-0006,49.483250,49.653250,even,I,sd,u-8-1
sw2578B-ms98-a-0006,49.653250,49.803250,know,I,sd,u-8-1
sw2578B-ms98-a-0006,49.803250,49.953250,that,I,sd,u-8-1
sw2578B-ms98-a-0006,49.953250,50.103250,i'd,I,sd,u-8-1
sw2578B-ms98-a-0006,50.103250,50.453250,probably,I,sd,u-8-1
sw2578B-ms98-a-0006,50.453250,50.683250,read,I,sd,u-8-1
sw2578B-ms98-a-0006,50.683250,50.813250,it,I,sd,u-8-1
sw2578B-ms98-a-0006,50.813250,51.023250,even,I,sd,u-8-1
sw2578B-ms98-a-0006,51.023250,51.153250,if,I,sd,u-8-1
sw2578B-ms98-a-0006,51.153250,51.233250,it,I,sd,u-8-1
sw2578B-ms98-a-0006,51.233250,51.383250,was,I,sd,u-8-1
sw2578B-ms98-a-0006,51.383250,51.503250,at,I,sd,u-8-1
sw2578B-ms98-a-0006,51.503250,51.603250,the,I,sd,u-8-1
sw2578B-ms98-a-0006,51.603250,52.163250,library,I,sd,u-8-1
sw2578B-ms98-a-0006,52.163250,52.626750,though,I,sd,u-8-1
sw2578B-ms98-a-0006,52.626750,52.784875,you,O,,
sw2578B-ms98-a-0006,52.784875,53.051500,know,O,,
sw2578B-ms98-a-0006,53.528625,53.703250,i,B,sd,u-10-1
sw2578B-ms98-a-0006,53.703250,53.850750,i,I,sd,u-10-1
sw2578B-ms98-a-0006,53.850750,54.182125,just,I,sd,u-10-1
sw2578B-ms98-a-0006,54.182125,54.363250,you,I,sd,u-10-1
sw2578B-ms98-a-0006,54.363250,54.473250,know,I,sd,u-10-1
sw2578B-ms98-a-0006,54.473250,54.653250,i'm,I,sd,u-10-1
sw2578B-ms98-a-0006,54.653250,54.863250,just,I,sd,u-10-1
sw2578B-ms98-a-0006,54.863250,55.063250,not,I,sd,u-10-1
sw2578B-ms98-a-0006,55.063250,55.303250,really,I,sd,u-10-1
sw2578B-ms98-a-0006,55.303250,55.813250,[laughter-interested],I,sd,u-10-1
sw2578B-ms98-a-0006,55.813250,55.953250,in,I,sd,u-10-1
sw2578B-ms98-a-0006,55.953250,56.243250,reading,I,sd,u-10-1
sw2578B-ms98-a-0006,56.243250,56.503250,about,I,sd,u-10-1
sw2578B-ms98-a-0006,56.503250,56.683250,other,I,sd,u-10-1
sw2578B-ms98-a-0006,56.683250,57.063250,people's,I,sd,u-10-1
sw2578B-ms98-a-0006,57.063250,57.453250,lives,I,sd,u-10-1
sw2578B-ms98-a-0006,57.573250,57.653250,to,I,sd,u-10-1
sw2578B-ms98-a-0006,57.653250,57.863250,that,I,sd,u-10-1
sw2578B-ms98-a-0006,57.863250,58.379000,degree,I,sd,u-10-1
sw2578B-ms98-a-0006,58.879875,59.065625,you,B,sd,u-12-1
sw2578B-ms98-a-0006,59.065625,59.389500,know,I,sd,u-12-1
sw2578B-ms98-a-0006,59.389500,59.783250,unless,I,sd,u-12-1
sw2578B-ms98-a-0006,59.783250,60.033250,maybe,I,sd,u-12-1
sw2578B-ms98-a-0006,60.033250,60.173250,they,I,sd,u-12-1
sw2578B-ms98-a-0006,60.173250,60.473250,lived,I,sd,u-12-1
sw2578B-ms98-a-0006,60.473250,60.533250,a,I,sd,u-12-1
sw2578B-ms98-a-0006,60.533250,60.893250,long,I,sd,u-12-1
sw2578B-ms98-a-0006,60.893250,61.133250,long,I,sd,u-12-1
sw2578B-ms98-a-0006,61.133250,61.433250,time,I,sd,u-12-1
sw2578B-ms98-a-0006,61.433250,61.863250,ago,I,sd,u-12-1
sw2578B-ms98-a-0007,62.520750,62.690750,for,B,sd,u-12-2
sw2578B-ms98-a-0007,62.690750,62.890750,me,I,sd,u-12-2
sw2578B-ms98-a-0007,62.890750,62.960750,it,I,sd,u-12-2
sw2578B-ms98-a-0007,62.960750,63.060750,would,I,sd,u-12-2
sw2578B-ms98-a-0007,63.060750,63.200750,be,I,sd,u-12-2
sw2578B-ms98-a-0007,63.200750,63.700750,interesting,I,sd,u-12-2
sw2578B-ms98-a-0007,63.700750,63.770750,to,I,sd,u-12-2
sw2578B-ms98-a-0007,63.770750,64.030750,find,I,sd,u-12-2
sw2578B-ms98-a-0007,64.030750,64.120750,out,I,sd,u-12-2
sw2578B-ms98-a-0007,64.120750,64.270750,what,I,sd,u-12-2
sw2578B-ms98-a-0007,64.270750,64.520750,life,I,sd,u-12-2
sw2578B-ms98-a-0007,64.520750,64.650750,was,I,sd,u-12-2
sw2578B-ms98-a-0007,65.270750,65.545375,[vocalized-noise],I,sd,u-12-2
sw2578B-ms98-a-0007,65.545375,65.950750,like,I,sd,u-12-2
sw2578B-ms98-a-0007,65.950750,66.090750,you,I,sd,u-12-2
sw2578B-ms98-a-0007,66.090750,66.230750,know,I,sd,u-12-2
sw2578B-ms98-a-0007,66.230750,66.320750,in,I,sd,u-12-2
sw2578B-ms98-a-0007,66.320750,66.490750,that,I,sd,u-12-2
sw2578B-ms98-a-0007,66.490750,67.040750,period,I,sd,u-12-2
sw2578B-ms98-a-0007,67.040750,67.322000,but,B,sd,u-12-3
sw2578B-ms98-a-0008,68.340250,68.630250,not,B,+,u-14-1
sw2578B-ms98-a-0008,68.680250,68.910250,not,I,+,u-14-1
sw2578B-ms98-a-0008,68.910250,69.210250,really,I,+,u-14-1
sw2578B-ms98-a-0008,69.210250,70.775125,[laughter-interested],O,,
sw2578B-ms98-a-0008,71.840125,72.658250,no,O,,
sw2578B-ms98-a-0010,87.271125,87.662875,um-hum,O,,
sw2578B-ms98-a-0012,97.695750,98.123875,um-hum,O,,
sw2578B-ms98-a-0014,104.103125,104.453250,yeah,B,b,u-18-1
sw2578B-ms98-a-0014,104.919625,105.047625,i,B,sd,u-18-2
sw2578B-ms98-a-0014,105.047625,105.237500,think,I,sd,u-18-2
sw2578B-ms98-a-0014,105.237500,105.337500,the,I,sd,u-18-2
sw2578B-ms98-a-0014,105.337500,105.959000,last,I,sd,u-18-2
sw2578B-ms98-a-0014,106.098375,106.737500,biography,I,sd,u-18-2
sw2578B-ms98-a-0014,106.737500,106.887500,that,I,sd,u-18-2
sw2578B-ms98-a-0014,106.887500,107.080750,i,I,sd,u-18-2
sw2578B-ms98-a-0014,107.080750,107.562875,read,I,sd,u-18-2
sw2578B-ms98-a-0014,107.562875,107.757500,i'm,I,sd,u-18-2
sw2578B-ms98-a-0014,107.757500,108.037500,not,I,sd,u-18-2
sw2578B-ms98-a-0014,108.177500,108.257500,i,I,sd,u-18-2
sw2578B-ms98-a-0014,108.257500,108.507500,think,I,sd,u-18-2
sw2578B-ms98-a-0014,108.507500,108.627500,it,I,sd,u-18-2
sw2578B-ms98-a-0014,108.627500,108.817500,was,I,sd,u-18-2
sw2578B-ms98-a-0015,109.401000,109.671000,was,I,sd,u-18-2
sw2578B-ms98-a-0015,109.671000,109.941000,um,I,sd,u-18-2
sw2578B-ms98-a-0015,109.941000,110.061000,on,I,sd,u-18-2
sw2578B-ms98-a-0015,110.061000,110.371000,Lady,I,sd,u-18-2
sw2578B-ms98-a-0015,110.371000,110.781000,Randolph,I,sd,u-18-2
sw2578B-ms98-a-0015,110.781000,111.301000,Churchill,I,sd,u-18-2
sw2578B-ms98-a-0015,111.441000,111.888750,Churchill's,B,+,u-20-1
sw2578B-ms98-a-0015,111.888750,112.329500,mother,I,+,u-20-1
sw2578B-ms98-a-0015,112.329500,112.491000,and,B,sd,u-20-2
sw2578B-ms98-a-0015,112.491000,112.661000,that,I,sd,u-20-2
sw2578B-ms98-a-0015,112.661000,112.811000,was,I,sd,u-20-2
sw2578B-ms98-a-0015,112.901000,113.545625,excellent,I,sd,u-20-2
sw2578B-ms98-a-0016,114.050750,114.330750,uh,B,ny,u-22-1
sw2578B-ms98-a-0016,114.498375,114.852750,yeah,I,ny,u-22-1
sw2578B-ms98-a-0016,114.852750,114.980750,it,B,sd^e,u-22-2
sw2578B-ms98-a-0016,114.980750,115.270750,was,I,sd^e,u-22-2
sw2578B-ms98-a-0016,115.270750,115.420750,it's,B,sd,u-22-3
sw2578B-ms98-a-0016,115.420750,115.520750,in,I,sd,u-22-3
sw2578B-ms98-a-0016,115.520750,115.690750,two,I,sd,u-22-3
sw2578B-ms98-a-0016,115.690750,116.093125,parts,I,sd,u-22-3
sw2578B-ms98-a-0016,116.270125,116.404875,i,B,sd,u-22-4
sw2578B-ms98-a-0016,116.404875,116.560750,think,I,sd,u-22-4
sw2578B-ms98-a-0016,116.560750,116.620750,the,I,sd,u-22-4
sw2578B-ms98-a-0016,116.620750,116.870750,first,I,sd,u-22-4
sw2578B-ms98-a-0016,116.870750,116.960750,one,I,sd,u-22-4
sw2578B-ms98-a-0016,116.960750,117.020750,is,I,sd,u-22-4
sw2578B-ms98-a-0016,117.020750,117.250750,called,I,sd,u-22-4
sw2578B-ms98-a-0016,117.250750,117.810750,Jenny,I,sd,u-22-4
sw2578B-ms98-a-0016,117.810750,117.910750,or,I,sd,u-22-4
sw2578B-ms98-a-0016,117.910750,118.180750,something,I,sd,u-22-4
sw2578B-ms98-a-0016,118.180750,118.330750,like,I,sd,u-22-4
sw2578B-ms98-a-0016,118.330750,118.487875,that,I,sd,u-22-4
sw2578B-ms98-a-0016,118.838125,119.050750,uh,I,sd,u-22-4
sw2578B-ms98-a-0016,119.050750,119.210750,because,I,sd,u-22-4
sw2578B-ms98-a-0016,119.210750,119.350750,that,I,sd,u-22-4
sw2578B-ms98-a-0016,119.350750,119.440750,was,I,sd,u-22-4
sw2578B-ms98-a-0016,119.440750,119.614375,her,I,sd,u-22-4
sw2578B-ms98-a-0016,119.614375,119.964625,name,I,sd,u-22-4
sw2578B-ms98-a-0016,119.964625,120.360750,and,B,sd,u-22-5
sw2578B-ms98-a-0016,120.360750,120.643875,um,I,sd,u-22-5
sw2578B-ms98-a-0016,121.178750,121.309875,i,B,+,u-24-1
sw2578B-ms98-a-0016,121.309875,121.486875,only,I,+,u-24-1
sw2578B-ms98-a-0016,121.486875,121.630750,got,I,+,u-24-1
sw2578B-ms98-a-0016,121.630750,121.750750,to,I,+,u-24-1
sw2578B-ms98-a-0016,121.750750,121.970750,read,I,+,u-24-1
sw2578B-ms98-a-0016,122.210750,122.460750,one,I,+,u-24-1
sw2578B-ms98-a-0016,122.460750,122.850750,part,I,+,u-24-1
sw2578B-ms98-a-0016,122.850750,123.020750,of,I,+,u-24-1
sw2578B-ms98-a-0016,123.020750,123.100750,it,I,+,u-24-1
sw2578B-ms98-a-0016,123.100750,123.310750,and,B,sd,u-24-2
sw2578B-ms98-a-0016,123.310750,123.490750,i've,I,sd,u-24-2
sw2578B-ms98-a-0016,123.800750,123.990750,been,I,sd,u-24-2
sw2578B-ms98-a-0016,123.990750,124.320750,looking,I,sd,u-24-2
sw2578B-ms98-a-0016,124.320750,124.740750,for,I,sd,u-24-2
sw2578B-ms98-a-0017,125.175000,125.269625,you,I,sd,u-24-2
sw2578B-ms98-a-0017,125.269625,125.343375,know,I,sd,u-24-2
sw2578B-ms98-a-0017,125.343375,125.422500,the,I,sd,u-24-2
sw2578B-ms98-a-0017,125.422500,125.626625,other,I,sd,u-24-2
sw2578B-ms98-a-0017,125.626625,125.956625,half,I,sd,u-24-2
sw2578B-ms98-a-0017,125.956625,126.056625,but,I,sd,u-24-2
sw2578B-ms98-a-0017,126.056625,126.399250,didn't,I,sd,u-24-2
sw2578B-ms98-a-0017,126.399250,126.583875,read,I,sd,u-24-2
sw2578B-ms98-a-0017,126.583875,126.822875,the,I,sd,u-24-2
sw2578B-ms98-a-0017,127.215375,127.335875,i,B,sd,u-24-3
sw2578B-ms98-a-0017,127.335875,127.536625,read,I,sd,u-24-3
sw2578B-ms98-a-0017,127.536625,127.676625,the,I,sd,u-24-3
sw2578B-ms98-a-0017,127.676625,128.026625,half,I,sd,u-24-3
sw2578B-ms98-a-0017,128.026625,128.146625,where,I,sd,u-24-3
sw2578B-ms98-a-0017,128.146625,128.296625,she,I,sd,u-24-3
sw2578B-ms98-a-0017,128.296625,128.406625,was,I,sd,u-24-3
sw2578B-ms98-a-0017,128.406625,128.506625,in,I,sd,u-24-3
sw2578B-ms98-a-0017,128.506625,128.616625,her,I,sd,u-24-3
sw2578B-ms98-a-0017,128.616625,128.976625,later,I,sd,u-24-3
sw2578B-ms98-a-0017,128.976625,129.395125,years,I,sd,u-24-3
sw2578B-ms98-a-0017,129.794375,129.922000,and,B,sd,u-24-4
sw2578B-ms98-a-0017,129.922000,130.038750,it,I,sd,u-24-4
sw2578B-ms98-a-0017,130.038750,130.185625,was,I,sd,u-24-4
sw2578B-ms98-a-0017,130.310000,130.976625,absolutely,I,sd,u-24-4
sw2578B-ms98-a-0017,130.976625,131.506625,excellent,I,sd,u-24-4
sw2578B-ms98-a-0017,131.506625,131.806625,and,B,sd,u-24-5
sw2578B-ms98-a-0017,132.246625,132.336625,it,I,sd,u-24-5
sw2578B-ms98-a-0017,132.336625,132.486625,was,I,sd,u-24-5
sw2578B-ms98-a-0017,132.486625,132.836625,very,I,sd,u-24-5
sw2578B-ms98-a-0017,132.836625,133.376625,descriptive,I,sd,u-24-5
sw2578B-ms98-a-0017,133.376625,133.583125,of,I,sd,u-24-5
sw2578B-ms98-a-0017,133.696125,134.026625,of,I,sd,u-24-5
sw2578B-ms98-a-0017,134.256625,134.576625,people,I,sd,u-24-5
sw2578B-ms98-a-0017,134.576625,134.756625,with,I,sd,u-24-5
sw2578B-ms98-a-0017,134.756625,135.176625,money,I,sd,u-24-5
sw2578B-ms98-a-0017,135.176625,135.496625,back,I,sd,u-24-5
sw2578B-ms98-a-0017,135.496625,135.756625,then,I,sd,u-24-5
sw2578B-ms98-a-0017,135.756625,135.954375,and,I,sd,u-24-5
sw2578B-ms98-a-0017,136.078750,136.446625,uh,I,sd,u-24-5
sw2578B-ms98-a-0017,136.446625,137.157375,affluents,I,sd,u-24-5
sw2578B-ms98-a-0017,137.546000,137.782000,in,I,sd,u-24-5
sw2578B-ms98-a-0017,137.974000,138.184375,in,I,sd,u-24-5
sw2578B-ms98-a-0017,138.184375,138.881125,England,I,sd,u-24-5
sw2578B-ms98-a-0017,138.881125,139.276625,uh,I,sd,u-24-5
sw2578B-ms98-a-0018,140.494375,140.967000,uh,I,sd,u-24-5
sw2578B-ms98-a-0018,141.272125,141.534375,that,I,sd,u-24-5
sw2578B-ms98-a-0018,141.614375,141.754375,you,I,sd,u-24-5
sw2578B-ms98-a-0018,141.754375,141.884375,know,I,sd,u-24-5
sw2578B-ms98-a-0018,141.884375,142.014375,were,I,sd,u-24-5
sw2578B-ms98-a-0018,142.014375,142.674375,associated,I,sd,u-24-5
sw2578B-ms98-a-0018,142.674375,142.804375,to,I,sd,u-24-5
sw2578B-ms98-a-0018,142.804375,142.884375,the,I,sd,u-24-5
sw2578B-ms98-a-0018,142.884375,143.374375,king,I,sd,u-24-5
sw2578B-ms98-a-0018,143.374375,143.514375,and,I,sd,u-24-5
sw2578B-ms98-a-0018,143.514375,143.714375,all,I,sd,u-24-5
sw2578B-ms98-a-0018,143.714375,143.824375,and,B,sd,u-24-6
sw2578B-ms98-a-0018,143.824375,143.904375,it,I,sd,u-24-6
sw2578B-ms98-a-0018,143.904375,144.044375,was,I,sd,u-24-6
sw2578B-ms98-a-0019,144.695250,144.756625,it,O,,
sw2578B-ms98-a-0019,144.756625,144.812500,was,O,,
sw2578B-ms98-a-0019,144.812500,144.926375,really,B,+,u-26-1
sw2578B-ms98-a-0019,144.926375,145.166375,pretty,I,+,u-26-1
sw2578B-ms98-a-0019,145.166375,145.796375,fascinating,I,+,u-26-1
sw2578B-ms98-a-0019,145.796375,145.879000,and,B,sd,u-26-2
sw2578B-ms98-a-0019,145.879000,145.992000,i,I,sd,u-26-2
sw2578B-ms98-a-0019,145.992000,146.906375,[laughter],I,sd,u-26-2
sw2578B-ms98-a-0019,146.906375,147.046375,and,I,sd,u-26-2
sw2578B-ms98-a-0019,147.046375,147.216375,that,I,sd,u-26-2
sw2578B-ms98-a-0019,147.216375,147.366375,was,I,sd,u-26-2
sw2578B-ms98-a-0019,147.366375,147.696375,actually,I,sd,u-26-2
sw2578B-ms98-a-0019,147.696375,147.726375,a,I,sd,u-26-2
sw2578B-ms98-a-0019,147.726375,147.986375,couple,I,sd,u-26-2
sw2578B-ms98-a-0019,147.986375,148.046375,of,I,sd,u-26-2
sw2578B-ms98-a-0019,148.046375,148.396375,years,I,sd,u-26-2
sw2578B-ms98-a-0019,148.396375,148.736375,ago,I,sd,u-26-2
sw2578B-ms98-a-0019,148.736375,149.235750,so,B,sd,u-26-3
sw2578B-ms98-a-0020,150.071875,150.291875,it's,B,+,u-28-1
sw2578B-ms98-a-0020,150.431875,150.631875,it's,I,+,u-28-1
sw2578B-ms98-a-0020,150.631875,150.791875,been,I,+,u-28-1
sw2578B-ms98-a-0020,150.791875,150.891875,a,I,+,u-28-1
sw2578B-ms98-a-0020,150.891875,151.361875,[laughter-while],O,,
sw2578B-ms98-a-0020,151.361875,151.591875,[laughter-since],O,,
sw2578B-ms98-a-0020,151.591875,151.821875,[laughter-i've],O,,
sw2578B-ms98-a-0020,151.821875,151.961875,[laughter-read],O,,
sw2578B-ms98-a-0020,151.961875,152.301875,any,B,+,u-30-1
sw2578B-ms98-a-0020,152.301875,153.252375,biographies,I,+,u-30-1
sw2578B-ms98-a-0021,153.821375,154.092125,but,O,,
sw2578B-ms98-a-0021,154.274125,154.397875,i,B,sd,u-30-2
sw2578B-ms98-a-0021,154.397875,154.661375,love,I,sd,u-30-2
sw2578B-ms98-a-0021,154.661375,154.811375,to,I,sd,u-30-2
sw2578B-ms98-a-0021,154.811375,155.121375,read,I,sd,u-30-2
sw2578B-ms98-a-0021,155.121375,155.181375,i,B,sd,u-30-3
sw2578B-ms98-a-0021,155.181375,155.381375,mean,I,sd,u-30-3
sw2578B-ms98-a-0021,155.381375,155.511375,i'm,I,sd,u-30-3
sw2578B-ms98-a-0021,155.511375,156.101375,constantly,I,sd,u-30-3
sw2578B-ms98-a-0021,156.101375,156.376750,reading,I,sd,u-30-3
sw2578B-ms98-a-0021,156.376750,156.508625,i,B,sd,u-30-4
sw2578B-ms98-a-0021,156.508625,156.721250,read,I,sd,u-30-4
sw2578B-ms98-a-0021,157.086625,157.210125,i,I,sd,u-30-4
sw2578B-ms98-a-0021,157.210125,157.521375,like,I,sd,u-30-4
sw2578B-ms98-a-0021,157.521375,157.741375,uh,I,sd,u-30-4
sw2578B-ms98-a-0021,157.741375,158.481375,mysteries,I,sd,u-30-4
sw2578B-ms98-a-0021,158.481375,158.681375,and,B,%,u-30-5
sw2578B-ms98-a-0021,158.681375,158.801375,i,I,%,u-30-5
sw2578B-ms98-a-0021,158.801375,159.437000,like,I,%,u-30-5
sw2578B-ms98-a-0022,159.949000,160.526250,um,I,%,u-30-5
sw2578B-ms98-a-0022,160.876500,161.099000,as,B,sd,u-30-6
sw2578B-ms98-a-0022,161.099000,161.289000,far,I,sd,u-30-6
sw2578B-ms98-a-0022,161.289000,161.389000,as,I,sd,u-30-6
sw2578B-ms98-a-0022,161.389000,161.909000,improving,I,sd,u-30-6
sw2578B-ms98-a-0022,161.909000,162.579000,myself,I,sd,u-30-6
sw2578B-ms98-a-0022,162.699000,162.939000,uh,I,sd,u-30-6
sw2578B-ms98-a-0022,162.939000,163.229000,i,I,sd,u-30-6
sw2578B-ms98-a-0022,163.229000,163.579000,haven't,I,sd,u-30-6
sw2578B-ms98-a-0022,163.579000,163.779000,read,I,sd,u-30-6
sw2578B-ms98-a-0022,163.779000,164.009000,any,I,sd,u-30-6
sw2578B-ms98-a-0022,164.009000,164.429000,lately,I,sd,u-30-6
sw2578B-ms98-a-0022,164.429000,164.569000,but,B,sd,u-30-7
sw2578B-ms98-a-0022,164.569000,164.679000,i,I,sd,u-30-7
sw2578B-ms98-a-0022,164.679000,164.849000,was,I,sd,u-30-7
sw2578B-ms98-a-0022,164.849000,165.209000,reading,I,sd,u-30-7
sw2578B-ms98-a-0023,165.717500,166.277500,classical,I,sd,u-30-7
sw2578B-ms98-a-0023,166.277500,166.567500,works,I,sd,u-30-7
sw2578B-ms98-a-0023,166.567500,166.657500,that,I,sd,u-30-7
sw2578B-ms98-a-0023,166.657500,166.777500,i,I,sd,u-30-7
sw2578B-ms98-a-0023,166.777500,167.327500,hadn't,I,sd,u-30-7
sw2578B-ms98-a-0023,167.327500,167.547500,read,I,sd,u-30-7
sw2578B-ms98-a-0023,167.547500,168.167500,before,I,sd,u-30-7
sw2578B-ms98-a-0023,168.167500,168.307500,you,B,+,u-32-1
sw2578B-ms98-a-0023,168.307500,168.477500,know,I,+,u-32-1
sw2578B-ms98-a-0023,168.477500,168.667500,that,I,+,u-32-1
sw2578B-ms98-a-0023,169.061125,169.417500,that,I,+,u-32-1
sw2578B-ms98-a-0023,169.417500,169.617500,you,I,+,u-32-1
sw2578B-ms98-a-0023,169.617500,169.827500,might,I,+,u-32-1
sw2578B-ms98-a-0023,169.827500,169.917500,have,I,+,u-32-1
sw2578B-ms98-a-0023,169.917500,170.237500,needed,I,+,u-32-1
sw2578B-ms98-a-0023,170.237500,170.397500,to,I,+,u-32-1
sw2578B-ms98-a-0023,170.397500,170.587500,read,I,+,u-32-1
sw2578B-ms98-a-0023,170.587500,170.827500,in,I,+,u-32-1
sw2578B-ms98-a-0023,170.827500,171.317500,school,I,+,u-32-1
sw2578B-ms98-a-0023,171.317500,171.687500,but,I,+,u-32-1
sw2578B-ms98-a-0023,171.687500,171.867500,that,I,+,u-32-1
sw2578B-ms98-a-0023,171.867500,172.027500,i,I,+,u-32-1
sw2578B-ms98-a-0023,172.027500,172.257500,just,I,+,u-32-1
sw2578B-ms98-a-0023,172.257500,172.567500,didn't,I,+,u-32-1
sw2578B-ms98-a-0023,172.567500,172.897500,read,I,+,u-32-1
sw2578B-ms98-a-0023,172.897500,173.037500,for,I,+,u-32-1
sw2578B-ms98-a-0023,173.037500,173.337500,some,I,+,u-32-1
sw2578B-ms98-a-0023,173.337500,173.637500,reason,I,+,u-32-1
sw2578B-ms98-a-0023,173.637500,173.727500,or,I,+,u-32-1
sw2578B-ms98-a-0023,173.727500,174.033750,another,I,+,u-32-1
sw2578B-ms98-a-0023,174.353875,174.697500,another,I,+,u-32-1
sw2578B-ms98-a-0023,174.697500,174.907500,or,I,+,u-32-1
sw2578B-ms98-a-0023,174.907500,175.117500,that,I,+,u-32-1
sw2578B-ms98-a-0023,175.227500,175.367500,you,I,+,u-32-1
sw2578B-ms98-a-0023,175.367500,175.507500,know,I,+,u-32-1
sw2578B-ms98-a-0023,175.507500,175.717500,that,I,+,u-32-1
sw2578B-ms98-a-0023,175.997500,176.117500,you,I,+,u-32-1
sw2578B-ms98-a-0023,176.117500,176.267500,can,I,+,u-32-1
sw2578B-ms98-a-0023,176.267500,176.647500,only,I,+,u-32-1
sw2578B-ms98-a-0024,177.502125,177.792125,read,I,+,u-32-1
sw2578B-ms98-a-0024,177.792125,178.002125,so,I,+,u-32-1
sw2578B-ms98-a-0024,178.002125,178.332125,many,I,+,u-32-1
sw2578B-ms98-a-0024,178.332125,178.472125,in,I,+,u-32-1
sw2578B-ms98-a-0024,178.472125,178.802125,school,I,+,u-32-1
sw2578B-ms98-a-0024,178.802125,178.942125,that,I,+,u-32-1
sw2578B-ms98-a-0024,178.942125,179.062125,they,I,+,u-32-1
sw2578B-ms98-a-0024,179.062125,179.332125,make,I,+,u-32-1
sw2578B-ms98-a-0024,179.332125,179.382125,a,I,+,u-32-1
sw2578B-ms98-a-0024,179.382125,180.092125,requirement,I,+,u-32-1
sw2578B-ms98-a-0024,180.092125,180.332125,of,I,+,u-32-1
