sw4770B-ms98-a-0002,57.586250,58.206250,Thomas,B,qy^d,u-2-1
sw4770B-ms98-a-0016,247.403500,247.823500,whistle,I,+,u-26-1
sw4770B-ms98-a-0016,247.823500,247.923500,and,I,+,u-26-1
sw4770B-ms98-a-0016,247.923500,248.330500,says,I,+,u-26-1
sw4770B-ms98-a-0017,248.989750,249.179750,oh,I,+,u-26-1
sw4770B-ms98-a-0017,249.179750,249.349750,this,I,+,u-26-1
sw4770B-ms98-a-0017,249.349750,249.449750,is,I,+,u-26-1
sw4770B-ms98-a-0017,249.449750,249.649750,not,I,+,u-26-1
sw4770B-ms98-a-0017,249.649750,250.079750,ethical,I,+,u-26-1
sw4770B-ms98-a-0017,250.079750,250.179750,and,I,+,u-26-1
sw4770B-ms98-a-0017,250.179750,250.399750,yes,I,+,u-26-1
sw4770B-ms98-a-0017,250.399750,250.489750,i,I,+,u-26-1
sw4770B-ms98-a-0017,250.489750,250.679750,did,I,+,u-26-1
sw4770B-ms98-a-0017,250.679750,250.799750,it,I,+,u-26-1
sw4770B-ms98-a-0017,250.799750,251.197750,too,I,+,u-26-1
sw4770B-ms98-a-0018,251.893000,252.812875,[laughter],O,,
sw4770B-ms98-a-0020,265.870750,266.010750,yeah,B,b,u-30-1
sw4770B-ms98-a-0020,266.010750,266.230750,we,B,sd,u-30-2
sw4770B-ms98-a-0020,266.230750,266.380750,just,I,sd,u-30-2
sw4770B-ms98-a-0020,266.380750,266.570750,had,I,sd,u-30-2
sw4770B-ms98-a-0020,266.570750,266.640750,a,O,,
sw4770B-ms98-a-0022,268.546625,268.926625,uh,B,%,u-32-1
sw4770B-ms98-a-0023,270.016750,270.285000,right,B,b,u-34-1
sw4770B-ms98-a-0023,270.603250,270.666750,the,B,sd,u-34-2
sw4770B-ms98-a-0023,270.666750,270.946750,mayor,I,sd,u-34-2
sw4770B-ms98-a-0023,270.946750,271.026750,of,I,sd,u-34-2
sw4770B-ms98-a-0023,271.026750,271.526750,Dallas,I,sd,u-34-2
sw4770B-ms98-a-0023,271.526750,271.796750,is,I,sd,u-34-2
sw4770B-ms98-a-0023,271.796750,272.250500,uh,I,sd,u-34-2
sw4770B-ms98-a-0023,272.713750,273.176625,Bartlett,I,sd,u-34-2
sw4770B-ms98-a-0023,273.504375,273.896750,Steve,I,sd,u-34-2
sw4770B-ms98-a-0023,273.896750,274.296750,Bartlett,I,sd,u-34-2
sw4770B-ms98-a-0023,274.846750,274.956750,he,B,sd,u-36-1
sw4770B-ms98-a-0023,274.956750,275.536750,also,I,sd,u-36-1
sw4770B-ms98-a-0023,275.536750,275.906750,uh,I,sd,u-36-1
sw4770B-ms98-a-0023,275.906750,276.286750,was,I,sd,u-36-1
sw4770B-ms98-a-0023,276.286750,276.536750,a,I,sd,u-36-1
sw4770B-ms98-a-0023,276.536750,277.326750,congressman,I,sd,u-36-1
sw4770B-ms98-a-0024,278.257750,278.688625,uh,B,+,u-38-1
sw4770B-ms98-a-0024,278.688625,279.048125,to,I,+,u-38-1
sw4770B-ms98-a-0024,279.048125,279.316875,the,I,+,u-38-1
sw4770B-ms98-a-0024,279.802750,279.939750,uh,I,+,u-38-1
sw4770B-ms98-a-0024,279.939750,280.099750,to,I,+,u-38-1
sw4770B-ms98-a-0024,280.099750,280.619750,Congress,I,+,u-38-1
sw4770B-ms98-a-0024,281.309750,281.409750,and,B,sd,u-40-1
sw4770B-ms98-a-0024,281.409750,281.469750,he,I,sd,u-40-1
sw4770B-ms98-a-0024,281.469750,281.579750,had,I,sd,u-40-1
sw4770B-ms98-a-0024,281.579750,281.729750,been,I,sd,u-40-1
sw4770B-ms98-a-0024,281.729750,281.809750,in,I,sd,u-40-1
sw4770B-ms98-a-0024,281.809750,282.009750,that,I,sd,u-40-1
sw4770B-ms98-a-0024,282.009750,282.449750,position,I,sd,u-40-1
sw4770B-ms98-a-0024,282.449750,282.669750,for,I,sd,u-40-1
sw4770B-ms98-a-0024,282.669750,283.219750,years,I,sd,u-40-1
sw4770B-ms98-a-0025,284.082625,284.462625,and,B,sd,u-42-1
sw4770B-ms98-a-0025,284.462625,284.692625,uh,I,sd,u-42-1
sw4770B-ms98-a-0025,284.692625,284.952625,he,I,sd,u-42-1
sw4770B-ms98-a-0025,284.952625,285.132625,was,I,sd,u-42-1
sw4770B-ms98-a-0025,285.132625,285.632625,elected,I,sd,u-42-1
sw4770B-ms98-a-0025,285.632625,285.892625,mayor,I,sd,u-42-1
sw4770B-ms98-a-0025,285.892625,285.982625,of,I,sd,u-42-1
sw4770B-ms98-a-0025,285.982625,286.462625,Dallas,I,sd,u-42-1
sw4770B-ms98-a-0025,287.022625,287.912625,overwhelmingly,B,+,u-44-1
sw4770B-ms98-a-0026,289.176875,289.620625,however,B,sd,u-46-1
sw4770B-ms98-a-0026,289.620625,289.710625,if,I,sd,u-46-1
sw4770B-ms98-a-0026,289.710625,289.790625,the,I,sd,u-46-1
sw4770B-ms98-a-0026,289.790625,290.000625,vote,I,sd,u-46-1
sw4770B-ms98-a-0026,290.000625,290.140625,was,I,sd,u-46-1
sw4770B-ms98-a-0026,290.140625,290.440625,taken,I,sd,u-46-1
sw4770B-ms98-a-0026,290.440625,290.820625,today,I,sd,u-46-1
sw4770B-ms98-a-0026,290.820625,290.950625,the,I,sd,u-46-1
sw4770B-ms98-a-0026,290.950625,291.120625,whole,I,sd,u-46-1
sw4770B-ms98-a-0026,291.120625,291.390625,thing,I,sd,u-46-1
sw4770B-ms98-a-0026,291.390625,291.600625,might,I,sd,u-46-1
sw4770B-ms98-a-0026,291.600625,292.050625,change,I,sd,u-46-1
sw4770B-ms98-a-0026,292.050625,292.390625,because,I,sd,u-46-1
sw4770B-ms98-a-0026,292.390625,292.470625,he,I,sd,u-46-1
sw4770B-ms98-a-0026,292.470625,292.600625,was,I,sd,u-46-1
sw4770B-ms98-a-0026,292.600625,292.860625,part,I,sd,u-46-1
sw4770B-ms98-a-0026,292.860625,292.990625,of,I,sd,u-46-1
sw4770B-ms98-a-0026,292.990625,293.240625,that,I,sd,u-46-1
sw4770B-ms98-a-0027,294.385875,294.605875,uh,I,sd,u-46-1
sw4770B-ms98-a-0027,294.605875,294.905875,check,I,sd,u-46-1
sw4770B-ms98-a-0027,294.905875,295.265875,kiting,I,sd,u-46-1
sw4770B-ms98-a-0027,295.265875,295.695875,scam,I,sd,u-46-1
