sw3319A-ms98-a-0001,0.030000,0.550000,golfer,B,qy,u-1-1
sw3319A-ms98-a-0014,64.421125,64.581125,one,I,sd,u-17-3
sw3319A-ms98-a-0014,64.581125,64.721125,day,I,sd,u-17-3
sw3319A-ms98-a-0014,64.721125,64.811125,and,B,sd,u-17-4
sw3319A-ms98-a-0014,64.811125,64.941125,you're,I,sd,u-17-4
sw3319A-ms98-a-0014,64.941125,65.201125,doing,I,sd,u-17-4
sw3319A-ms98-a-0014,65.201125,65.241125,a,I,sd,u-17-4
sw3319A-ms98-a-0014,65.241125,65.431125,whole,I,sd,u-17-4
sw3319A-ms98-a-0014,65.431125,65.641125,lot,I,sd,u-17-4
sw3319A-ms98-a-0014,65.641125,65.931125,better,I,sd,u-17-4
sw3319A-ms98-a-0014,65.931125,66.051125,you,I,sd,u-17-4
sw3319A-ms98-a-0014,66.051125,66.161125,know,I,sd,u-17-4
sw3319A-ms98-a-0014,66.161125,66.261125,and,B,sd,u-17-5
sw3319A-ms98-a-0014,66.261125,66.361125,then,I,sd,u-17-5
sw3319A-ms98-a-0014,66.361125,66.441125,all,I,sd,u-17-5
sw3319A-ms98-a-0014,66.441125,66.501125,of,I,sd,u-17-5
sw3319A-ms98-a-0014,66.501125,66.571125,a,I,sd,u-17-5
sw3319A-ms98-a-0014,66.571125,66.801125,sudden,I,sd,u-17-5
sw3319A-ms98-a-0014,66.801125,66.911125,you,I,sd,u-17-5
sw3319A-ms98-a-0014,66.911125,67.031125,go,I,sd,u-17-5
sw3319A-ms98-a-0014,67.031125,67.281125,back,I,sd,u-17-5
sw3319A-ms98-a-0014,67.281125,67.571125,out,I,sd,u-17-5
sw3319A-ms98-a-0014,67.571125,67.691125,and,B,sd,u-17-6
sw3319A-ms98-a-0014,67.691125,67.851125,it's,I,sd,u-17-6
sw3319A-ms98-a-0014,67.851125,68.051125,just,I,sd,u-17-6
sw3319A-ms98-a-0014,68.051125,68.481125,terrible,I,sd,u-17-6
sw3319A-ms98-a-0015,69.264625,69.424625,you,B,sd,u-19-1
sw3319A-ms98-a-0015,69.424625,69.724625,can't,I,sd,u-19-1
sw3319A-ms98-a-0015,69.724625,69.974625,do,I,sd,u-19-1
sw3319A-ms98-a-0015,69.974625,70.464625,anything,I,sd,u-19-1
sw3319A-ms98-a-0015,70.464625,70.837125,right,B,+,u-21-1
sw3319A-ms98-a-0015,70.837125,71.423250,[laughter-you],O,,
sw3319A-ms98-a-0015,71.423250,71.789875,[laughter-know],O,,
sw3319A-ms98-a-0017,74.136250,74.356250,boy,B,^2@,u-23-1
sw3319A-ms98-a-0017,74.356250,74.536250,i'm,I,^2@,u-23-1
sw3319A-ms98-a-0017,74.536250,75.296250,improving,I,^2@,u-23-1
sw3319A-ms98-a-0018,77.293875,78.010000,[laughter],O,,
sw3319A-ms98-a-0020,80.159500,81.067375,uh-huh,B,+@,u-27-1
sw3319A-ms98-a-0020,81.067375,81.675750,[laughter-and],O,,
sw3319A-ms98-a-0020,81.675750,82.246375,and,B,qh,u-27-2
sw3319A-ms98-a-0020,82.246375,82.336375,you,I,qh,u-27-2
sw3319A-ms98-a-0020,82.336375,82.516375,think,I,qh,u-27-2
sw3319A-ms98-a-0020,82.516375,82.646375,my,I,qh,u-27-2
sw3319A-ms98-a-0020,82.646375,82.966375,goodness,I,qh,u-27-2
sw3319A-ms98-a-0020,82.966375,83.106375,why,I,qh,u-27-2
sw3319A-ms98-a-0020,83.106375,83.226375,did,I,qh,u-27-2
sw3319A-ms98-a-0020,83.226375,83.256375,i,I,qh,u-27-2
sw3319A-ms98-a-0020,83.256375,83.486375,think,I,qh,u-27-2
sw3319A-ms98-a-0020,83.486375,83.556375,i,I,qh,u-27-2
sw3319A-ms98-a-0020,83.556375,83.716375,was,I,qh,u-27-2
sw3319A-ms98-a-0020,83.716375,83.986375,doing,I,qh,u-27-2
sw3319A-ms98-a-0020,83.986375,84.336375,better,I,qh,u-27-2
sw3319A-ms98-a-0020,84.336375,85.117875,[laughter],O,,
sw3319A-ms98-a-0022,91.193375,91.380750,i,B,%,u-29-1
sw3319A-ms98-a-0022,91.380750,91.953375,don't,I,%,u-29-1
sw3319A-ms98-a-0022,91.953375,92.083375,i,B,^h,u-29-2
sw3319A-ms98-a-0022,92.083375,92.303375,guess,I,^h,u-29-2
sw3319A-ms98-a-0022,92.303375,92.393375,i,I,^h,u-29-2
sw3319A-ms98-a-0022,92.393375,92.793375,could,I,^h,u-29-2
sw3319A-ms98-a-0022,92.793375,92.973375,i've,B,ng,u-29-3
sw3319A-ms98-a-0022,92.973375,93.283375,never,I,ng,u-29-3
sw3319A-ms98-a-0022,93.283375,93.553375,been,I,ng,u-29-3
sw3319A-ms98-a-0022,93.553375,93.753375,to,I,ng,u-29-3
sw3319A-ms98-a-0022,93.753375,93.835875,a,I,ng,u-29-3
sw3319A-ms98-a-0022,93.835875,94.143375,gol[f]-,I,ng,u-29-3
sw3319A-ms98-a-0022,94.143375,94.253375,to,I,ng,u-29-3
sw3319A-ms98-a-0022,94.253375,94.313375,a,I,ng,u-29-3
sw3319A-ms98-a-0022,94.313375,94.593375,major,I,ng,u-29-3
sw3319A-ms98-a-0022,94.593375,94.833375,golf,I,ng,u-29-3
sw3319A-ms98-a-0022,94.833375,95.323375,tournament,I,ng,u-29-3
sw3319A-ms98-a-0022,95.923375,96.223375,i,B,sd,u-31-1
sw3319A-ms98-a-0022,96.223375,96.403375,uh,I,sd,u-31-1
sw3319A-ms98-a-0022,96.403375,96.723375,watch,I,sd,u-31-1
sw3319A-ms98-a-0022,96.723375,96.803375,them_1,I,sd,u-31-1
sw3319A-ms98-a-0022,96.803375,96.972750,on,I,sd,u-31-1
sw3319A-ms98-a-0022,96.972750,97.383375,TV,I,sd,u-31-1
sw3319A-ms98-a-0022,97.383375,97.463375,a,I,sd,u-31-1
sw3319A-ms98-a-0022,97.463375,97.933375,lot,I,sd,u-31-1
sw3319A-ms98-a-0024,101.646375,102.009625,um-hum,B,b,u-33-1
sw3319A-ms98-a-0026,104.189125,104.630125,um-hum,B,b,u-35-1
sw3319A-ms98-a-0028,113.357000,114.031875,really,B,bh,u-37-1
sw3319A-ms98-a-0030,119.450375,119.922500,um-hum,B,b,u-39-1
sw3319A-ms98-a-0032,122.550000,122.810000,i'll,B,ba,u-41-1
sw3319A-ms98-a-0032,122.810000,123.400000,bet,I,ba,u-41-1
sw3319A-ms98-a-0033,124.219375,124.713750,um,I,ba,u-41-1
sw3319A-ms98-a-0035,134.429500,134.890375,um-hum,B,b,u-43-1
sw3319A-ms98-a-0037,136.956125,137.096125,well,B,sd,u-45-1
sw3319A-ms98-a-0037,137.096125,137.296125,i've,I,sd,u-45-1
sw3319A-ms98-a-0037,137.296125,137.536125,only,I,sd,u-45-1
sw3319A-ms98-a-0037,137.536125,137.766125,been,I,sd,u-45-1
sw3319A-ms98-a-0037,137.766125,138.126125,playing,I,sd,u-45-1
sw3319A-ms98-a-0037,138.126125,138.306125,like,I,sd,u-45-1
sw3319A-ms98-a-0037,138.306125,138.726125,about,I,sd,u-45-1
sw3319A-ms98-a-0037,138.726125,138.966125,three,I,sd,u-45-1
sw3319A-ms98-a-0037,138.966125,139.326125,years,I,sd,u-45-1
sw3319A-ms98-a-0037,139.326125,139.566125,now,I,sd,u-45-1
sw3319A-ms98-a-0037,139.566125,139.736125,my,B,sd,u-45-2
sw3319A-ms98-a-0037,139.736125,140.176125,husband's,I,sd,u-45-2
sw3319A-ms98-a-0037,140.176125,140.516125,played,I,sd,u-45-2
sw3319A-ms98-a-0037,140.516125,140.666125,for,I,sd,u-45-2
sw3319A-ms98-a-0037,140.666125,141.026125,twenty,I,sd,u-45-2
sw3319A-ms98-a-0037,141.026125,141.466125,five,I,sd,u-45-2
sw3319A-ms98-a-0037,141.466125,141.718875,but,B,sd,u-45-3
sw3319A-ms98-a-0037,142.120250,142.252000,i,I,sd,u-45-3
sw3319A-ms98-a-0037,142.252000,142.436125,just,I,sd,u-45-3
sw3319A-ms98-a-0037,142.436125,142.576125,took,I,sd,u-45-3
sw3319A-ms98-a-0037,142.576125,142.656125,it,I,sd,u-45-3
sw3319A-ms98-a-0037,142.656125,142.806125,up,I,sd,u-45-3
sw3319A-ms98-a-0037,142.806125,143.086125,about,I,sd,u-45-3
sw3319A-ms98-a-0037,143.086125,143.306125,three,I,sd,u-45-3
sw3319A-ms98-a-0037,143.306125,143.616125,years,I,sd,u-45-3
sw3319A-ms98-a-0037,143.616125,144.063250,ago,I,sd,u-45-3
sw3319A-ms98-a-0037,144.063250,144.527500,and,B,sd,u-45-4
sw3319A-ms98-a-0037,144.527500,144.716125,uh,I,sd,u-45-4
sw3319A-ms98-a-0038,145.245750,145.469625,we,I,sd,u-45-4
sw3319A-ms98-a-0038,145.469625,145.635750,play,I,sd,u-45-4
sw3319A-ms98-a-0038,145.635750,145.715750,in,I,sd,u-45-4
sw3319A-ms98-a-0038,145.715750,145.785750,a,I,sd,u-45-4
sw3319A-ms98-a-0038,145.785750,145.945750,lot,I,sd,u-45-4
sw3319A-ms98-a-0038,145.945750,146.005750,of,I,sd,u-45-4
sw3319A-ms98-a-0038,146.005750,146.415750,couple's,I,sd,u-45-4
sw3319A-ms98-a-0038,146.415750,146.835750,scramble,I,sd,u-45-4
sw3319A-ms98-a-0038,146.835750,147.335750,tournaments,I,sd,u-45-4
sw3319A-ms98-a-0038,147.335750,147.445750,we,B,sd,u-45-5
sw3319A-ms98-a-0038,147.445750,147.725750,belong,I,sd,u-45-5
sw3319A-ms98-a-0038,147.725750,147.865750,to,I,sd,u-45-5
sw3319A-ms98-a-0038,147.865750,147.905750,a,I,sd,u-45-5
sw3319A-ms98-a-0038,147.905750,148.287875,country,I,sd,u-45-5
sw3319A-ms98-a-0038,148.287875,148.672000,club,I,sd,u-45-5
sw3319A-ms98-a-0038,148.672000,148.795750,a,I,sd,u-45-5
sw3319A-ms98-a-0038,148.795750,149.015750,little,I,sd,u-45-5
sw3319A-ms98-a-0038,149.685750,149.885750,ways,I,sd,u-45-5
sw3319A-ms98-a-0038,149.885750,150.255750,outside,I,sd,u-45-5
sw3319A-ms98-a-0038,150.255750,150.355750,of,I,sd,u-45-5
sw3319A-ms98-a-0038,150.355750,150.875750,Dallas,I,sd,u-45-5
sw3319A-ms98-a-0039,152.109250,152.369250,and,B,o@,u-45-6
sw3319A-ms98-a-0039,152.369250,152.469250,we,B,+@,u-47-1
sw3319A-ms98-a-0039,152.469250,152.719250,have,I,+@,u-47-1
sw3319A-ms98-a-0039,152.869250,153.419250,developed,I,+@,u-47-1
sw3319A-ms98-a-0039,153.419250,153.569250,a,I,+@,u-47-1
sw3319A-ms98-a-0039,153.569250,154.269250,tremendous,I,+@,u-47-1
sw3319A-ms98-a-0039,154.269250,154.569250,number,I,+@,u-47-1
sw3319A-ms98-a-0039,154.569250,154.669250,of,I,+@,u-47-1
sw3319A-ms98-a-0039,154.669250,155.299250,friends,I,+@,u-47-1
sw3319A-ms98-a-0039,155.299250,155.649250,that,I,+@,u-47-1
sw3319A-ms98-a-0039,155.649250,156.069250,couples,B,+@,u-49-1
sw3319A-ms98-a-0039,156.069250,156.269250,do,I,+@,u-49-1
sw3319A-ms98-a-0039,156.269250,156.609250,this,I,+@,u-49-1
sw3319A-ms98-a-0039,156.609250,156.769250,and,B,sv,u-49-2
sw3319A-ms98-a-0039,156.769250,156.839250,you,I,sv,u-49-2
sw3319A-ms98-a-0039,156.839250,156.959250,know,I,sv,u-49-2
sw3319A-ms98-a-0039,156.959250,157.119250,it's,I,sv,u-49-2
sw3319A-ms98-a-0039,157.119250,157.439250,fun,I,sv,u-49-2
sw3319A-ms98-a-0039,157.439250,157.509250,to,I,sv,u-49-2
sw3319A-ms98-a-0039,157.509250,157.799250,go,I,sv,u-49-2
sw3319A-ms98-a-0039,157.799250,157.909250,on,I,sv,u-49-2
sw3319A-ms98-a-0039,157.909250,158.509250,vacations,I,sv,u-49-2
sw3319A-ms98-a-0039,158.509250,158.629250,and,I,sv,u-49-2
sw3319A-ms98-a-0039,158.629250,158.849250,things,I,sv,u-49-2
sw3319A-ms98-a-0039,158.849250,158.939250,and,I,sv,u-49-2
sw3319A-ms98-a-0039,158.939250,159.019250,go,I,sv,u-49-2
sw3319A-ms98-a-0039,159.019250,159.099250,to,I,sv,u-49-2
sw3319A-ms98-a-0039,159.099250,159.359250,golf,I,sv,u-49-2
sw3319A-ms98-a-0039,159.359250,159.759250,courses,I,sv,u-49-2
sw3319A-ms98-a-0040,161.067750,161.277000,you,B,sv,u-51-1
sw3319A-ms98-a-0040,161.277000,161.437000,can,I,sv,u-51-1
sw3319A-ms98-a-0040,161.437000,161.667000,meet,I,sv,u-51-1
sw3319A-ms98-a-0040,161.667000,161.927000,some,I,sv,u-51-1
sw3319A-ms98-a-0040,161.927000,162.247000,really,I,sv,u-51-1
sw3319A-ms98-a-0040,162.247000,162.507000,neat,I,sv,u-51-1
sw3319A-ms98-a-0040,162.507000,163.087000,people,I,sv,u-51-1
sw3319A-ms98-a-0042,165.154375,165.736125,um-hum,B,aa,u-53-1
sw3319A-ms98-a-0042,165.736125,165.946750,they,B,aa,u-53-2
sw3319A-ms98-a-0042,165.946750,166.384375,really,I,aa,u-53-2
sw3319A-ms98-a-0042,166.384375,166.574375,are,I,aa,u-53-2
sw3319A-ms98-a-0042,166.574375,166.664375,i,B,sd,u-53-3
sw3319A-ms98-a-0042,166.664375,166.934375,just,I,sd,u-53-3
sw3319A-ms98-a-0042,166.934375,167.194375,love,I,sd,u-53-3
sw3319A-ms98-a-0042,167.194375,167.372875,them_1,O,,
sw3319A-ms98-a-0044,171.590000,171.942625,um-hum,B,b,u-55-1
sw3319A-ms98-a-0046,178.359250,178.785750,um-hum,B,b,u-57-1
sw3319A-ms98-a-0048,182.370750,182.650750,that's,B,aa,u-59-1
sw3319A-ms98-a-0048,182.650750,183.210750,right,I,aa,u-59-1
sw3319A-ms98-a-0050,189.121250,189.811250,um-hum,B,b,u-61-1
sw3319A-ms98-a-0051,191.620500,192.029625,that's,B,aa,u-63-1
sw3319A-ms98-a-0051,192.029625,192.579625,right,I,aa,u-63-1
sw3319A-ms98-a-0051,192.579625,192.729625,and,B,sv,u-63-2
sw3319A-ms98-a-0051,192.729625,192.869625,you,I,sv,u-63-2
sw3319A-ms98-a-0051,192.869625,192.999625,can,I,sv,u-63-2
sw3319A-ms98-a-0051,192.999625,193.399625,just,I,sv,u-63-2
sw3319A-ms98-a-0051,193.399625,193.569625,do,I,sv,u-63-2
sw3319A-ms98-a-0051,193.569625,193.739625,your,I,sv,u-63-2
sw3319A-ms98-a-0051,193.739625,193.889625,own,I,sv,u-63-2
sw3319A-ms98-a-0051,193.889625,194.089625,thing,I,sv,u-63-2
sw3319A-ms98-a-0051,194.089625,194.219625,and,I,sv,u-63-2
sw3319A-ms98-a-0051,194.219625,194.349625,be,I,sv,u-63-2
sw3319A-ms98-a-0051,194.349625,194.879625,relaxed,I,sv,u-63-2
sw3319A-ms98-a-0051,194.879625,195.009625,and,I,sv,u-63-2
sw3319A-ms98-a-0051,195.009625,195.654625,[laughter-enjoy],O,,
sw3319A-ms98-a-0051,195.654625,197.401250,[laughter-it],O,,
sw3319A-ms98-a-0053,200.886875,201.402250,really,B,bh,u-65-1
sw3319A-ms98-a-0055,205.613750,206.099250,really,B,bh,u-67-1
sw3319A-ms98-a-0057,216.950750,217.626500,um-hum,B,b,u-69-1
sw3319A-ms98-a-0059,223.446750,224.007500,um-hum,B,b,u-71-1
sw3319A-ms98-a-0061,228.092875,230.592875,[laughter],O,,
sw3319A-ms98-a-0061,230.592875,230.805750,yeah,B,b,u-73-1
sw3319A-ms98-a-0061,230.805750,230.952875,i,B,sd,u-73-2
sw3319A-ms98-a-0061,230.952875,231.122875,have,I,sd,u-73-2
sw3319A-ms98-a-0061,231.122875,231.392875,never,I,sd,u-73-2
sw3319A-ms98-a-0061,231.392875,231.702875,played,I,sd,u-73-2
sw3319A-ms98-a-0061,231.702875,231.802875,in,I,sd,u-73-2
sw3319A-ms98-a-0061,231.802875,231.952875,any,I,sd,u-73-2
sw3319A-ms98-a-0061,231.952875,232.352875,tournament,I,sd,u-73-2
sw3319A-ms98-a-0061,232.352875,232.722875,except,I,sd,u-73-2
sw3319A-ms98-a-0061,232.722875,232.962875,just,I,sd,u-73-2
sw3319A-ms98-a-0061,232.962875,233.012875,a,I,sd,u-73-2
sw3319A-ms98-a-0061,233.012875,233.652875,scramble,I,sd,u-73-2
sw3319A-ms98-a-0061,233.652875,233.832875,they,B,sd,u-73-3
sw3319A-ms98-a-0061,233.832875,234.032875,have,I,sd,u-73-3
sw3319A-ms98-a-0061,234.032875,234.082875,a,I,sd,u-73-3
sw3319A-ms98-a-0061,234.082875,234.342875,lot,I,sd,u-73-3
sw3319A-ms98-a-0061,234.342875,234.482875,of,I,sd,u-73-3
sw3319A-ms98-a-0061,234.482875,234.542875,them_1,I,sd,u-73-3
sw3319A-ms98-a-0061,234.542875,234.702875,there,I,sd,u-73-3
sw3319A-ms98-a-0061,234.702875,234.822875,at,I,sd,u-73-3
sw3319A-ms98-a-0061,234.822875,234.892875,the,I,sd,u-73-3
sw3319A-ms98-a-0061,234.892875,235.362875,club,I,sd,u-73-3
sw3319A-ms98-a-0061,235.362875,235.482875,you,I,sd,u-73-3
sw3319A-ms98-a-0061,235.482875,235.682875,know,I,sd,u-73-3
sw3319A-ms98-a-0061,235.682875,236.012875,they,B,sd,u-73-4
sw3319A-ms98-a-0061,236.012875,236.192875,have,I,sd,u-73-4
sw3319A-ms98-a-0061,236.192875,236.222875,A,I,sd,u-73-4
sw3319A-ms98-a-0061,236.222875,236.612875,B,I,sd,u-73-4
sw3319A-ms98-a-0061,236.612875,236.822875,C,I,sd,u-73-4
sw3319A-ms98-a-0061,236.822875,237.192875,D,I,sd,u-73-4
sw3319A-ms98-a-0061,237.192875,237.562875,type,I,sd,u-73-4
sw3319A-ms98-a-0061,238.042875,238.682875,tournaments,I,sd,u-73-4
