sw3449B-ms98-a-0002,0.421875,0.836625,yes,B,o,u-1-1
sw3449B-ms98-a-0020,73.048125,73.572125,reminds,I,sd,u-21-2
sw3449B-ms98-a-0020,73.572125,73.762125,me,I,sd,u-21-2
sw3449B-ms98-a-0020,73.762125,73.852125,of,I,sd,u-21-2
sw3449B-ms98-a-0020,73.852125,74.222125,of,I,sd,u-21-2
sw3449B-ms98-a-0020,74.222125,74.252125,a,I,sd,u-21-2
sw3449B-ms98-a-0020,74.252125,74.591375,uh,I,sd,u-21-2
sw3449B-ms98-a-0022,76.776875,76.958375,-[w]ell,O,,
sw3449B-ms98-a-0022,76.958375,77.058375,it's,B,sd,u-21-3
sw3449B-ms98-a-0022,77.058375,77.158375,not,I,sd,u-21-3
sw3449B-ms98-a-0022,77.158375,77.248375,as,I,sd,u-21-3
sw3449B-ms98-a-0022,77.248375,77.408375,big,I,sd,u-21-3
sw3449B-ms98-a-0022,77.408375,77.488375,as,I,sd,u-21-3
sw3449B-ms98-a-0022,77.488375,78.164125,California,I,sd,u-21-3
sw3449B-ms98-a-0022,78.250750,78.921750,proportionately,I,sd,u-21-3
sw3449B-ms98-a-0022,79.061125,79.198625,may[be]-,O,,
sw3449B-ms98-a-0023,79.945375,80.117125,but,B,sv,u-23-1
sw3449B-ms98-a-0023,80.117125,80.407125,but,I,sv,u-23-1
sw3449B-ms98-a-0023,80.407125,80.557125,but,I,sv,u-23-1
sw3449B-ms98-a-0023,80.557125,80.827125,it's,I,sv,u-23-1
sw3449B-ms98-a-0023,80.827125,81.077125,it's,I,sv,u-23-1
sw3449B-ms98-a-0023,81.077125,81.257125,more,I,sv,u-23-1
sw3449B-ms98-a-0023,81.257125,81.911875,significant,I,sv,u-23-1
sw3449B-ms98-a-0023,82.877250,83.120000,in,I,sv,u-23-1
sw3449B-ms98-a-0023,83.120000,83.236750,the,I,sv,u-23-1
sw3449B-ms98-a-0023,83.236750,83.537125,sense,I,sv,u-23-1
sw3449B-ms98-a-0023,83.537125,83.757125,of,I,sv,u-23-1
sw3449B-ms98-a-0023,83.757125,84.015000,it's,I,sv,u-23-1
sw3449B-ms98-a-0023,84.015000,84.282375,a,I,sv,u-23-1
sw3449B-ms98-a-0023,84.282375,84.467125,great,I,sv,u-23-1
sw3449B-ms98-a-0023,84.467125,85.057125,agricultural,I,sv,u-23-1
sw3449B-ms98-a-0023,85.057125,85.577500,region,I,sv,u-23-1
sw3449B-ms98-a-0025,93.584250,93.853625,yeah,B,ny,u-25-1
sw3449B-ms98-a-0027,96.799500,96.933875,they're,B,sd,u-27-1
sw3449B-ms98-a-0027,97.029125,97.189375,they're,I,sd,u-27-1
sw3449B-ms98-a-0027,97.189375,97.629375,completely,I,sd,u-27-1
sw3449B-ms98-a-0027,97.629375,97.799375,out,I,sd,u-27-1
sw3449B-ms98-a-0027,97.799375,98.163000,now,I,sd,u-27-1
sw3449B-ms98-a-0028,99.130000,99.329250,yeah,O,,
sw3449B-ms98-a-0028,99.329250,99.439250,the,B,sd,u-29-2
sw3449B-ms98-a-0028,99.439250,99.761125,three,I,sd,u-29-2
sw3449B-ms98-a-0028,99.821375,99.919250,the,I,sd,u-29-2
sw3449B-ms98-a-0028,99.919250,100.119250,three,I,sd,u-29-2
sw3449B-ms98-a-0028,100.119250,100.779250,Baltic,I,sd,u-29-2
sw3449B-ms98-a-0028,100.779250,101.274500,uh,I,sd,u-29-2
sw3449B-ms98-a-0028,101.598375,102.099250,republics,I,sd,u-29-2
sw3449B-ms98-a-0028,102.099250,102.229250,got,I,sd,u-29-2
sw3449B-ms98-a-0028,102.229250,102.509250,out,I,sd,u-29-2
sw3449B-ms98-a-0028,102.509250,102.609250,as,I,sd,u-29-2
sw3449B-ms98-a-0028,102.609250,102.929250,quickly,I,sd,u-29-2
sw3449B-ms98-a-0028,102.929250,103.019250,as,I,sd,u-29-2
sw3449B-ms98-a-0028,103.019250,103.129250,they,I,sd,u-29-2
sw3449B-ms98-a-0028,103.129250,103.610000,could,I,sd,u-29-2
sw3449B-ms98-a-0030,108.102875,108.387000,right,B,na,u-31-1
sw3449B-ms98-a-0030,108.387000,108.607000,it's,B,sv,u-31-2
sw3449B-ms98-a-0030,108.607000,108.787000,it's,I,sv,u-31-2
sw3449B-ms98-a-0030,108.787000,109.197000,very,I,sv,u-31-2
sw3449B-ms98-a-0030,109.197000,109.627000,important,I,sv,u-31-2
sw3449B-ms98-a-0030,109.627000,109.727000,for,I,sv,u-31-2
sw3449B-ms98-a-0030,109.727000,109.945750,the,I,sv,u-31-2
sw3449B-ms98-a-0030,110.265875,110.977000,economics,I,sv,u-31-2
sw3449B-ms98-a-0030,110.977000,111.077000,of,I,sv,u-31-2
sw3449B-ms98-a-0030,111.077000,111.177000,the,I,sv,u-31-2
sw3449B-ms98-a-0030,111.177000,111.594250,whole,I,sv,u-31-2
sw3449B-ms98-a-0030,112.057500,112.187000,of,I,sv,u-31-2
sw3449B-ms98-a-0030,112.187000,112.267000,the,I,sv,u-31-2
sw3449B-ms98-a-0030,112.267000,112.537000,Soviet,I,sv,u-31-2
sw3449B-ms98-a-0030,112.537000,113.049750,Union,I,sv,u-31-2
sw3449B-ms98-a-0032,116.499625,116.743250,r[ight]-,O,,
sw3449B-ms98-a-0032,116.743250,117.302250,right,B,na,u-33-1
sw3449B-ms98-a-0032,117.581000,118.141500,um,I,na,u-33-1
sw3449B-ms98-a-0032,118.616125,118.964500,except,B,sv,u-33-2
sw3449B-ms98-a-0032,118.964500,119.044500,they,I,sv,u-33-2
sw3449B-ms98-a-0032,119.044500,119.284500,can't,I,sv,u-33-2
sw3449B-ms98-a-0032,119.284500,119.663125,fight,I,sv,u-33-2
sw3449B-ms98-a-0032,119.663125,120.529375,[laughter],O,,
sw3449B-ms98-a-0032,120.529375,120.630875,it's,B,sd,u-35-1
sw3449B-ms98-a-0032,120.630875,120.785250,d[one]-,I,sd,u-35-1
sw3449B-ms98-a-0032,120.785250,120.944500,done,I,sd,u-35-1
sw3449B-ms98-a-0032,120.944500,121.721375,democratically,I,sd,u-35-1
sw3449B-ms98-a-0032,122.425750,122.887750,um,I,sd,u-35-1
sw3449B-ms98-a-0034,125.878125,126.266875,yes,B,ny,u-37-1
sw3449B-ms98-a-0035,126.895250,127.258375,yes,B,ny,u-39-1
sw3449B-ms98-a-0037,139.087875,140.082875,um,B,%,u-41-1
sw3449B-ms98-a-0039,146.571750,146.814875,that,B,sv,u-43-1
sw3449B-ms98-a-0039,146.995750,147.221750,that's,I,sv,u-43-1
sw3449B-ms98-a-0039,147.221750,147.621125,true,I,sv,u-43-1
sw3449B-ms98-a-0039,147.989625,148.468250,uh,I,sv,u-43-1
sw3449B-ms98-a-0040,149.185250,149.429125,hasn't,I,sv,u-43-1
sw3449B-ms98-a-0040,149.429125,149.679125,happened,I,sv,u-43-1
sw3449B-ms98-a-0040,149.679125,149.839125,here,I,sv,u-43-1
sw3449B-ms98-a-0040,149.839125,149.959125,for,I,sv,u-43-1
sw3449B-ms98-a-0040,149.959125,150.039125,a,I,sv,u-43-1
sw3449B-ms98-a-0040,150.039125,150.369125,while,I,sv,u-43-1
sw3449B-ms98-a-0040,150.369125,150.509125,but,B,%,u-43-2
sw3449B-ms98-a-0040,150.509125,150.640375,it,I,%,u-43-2
sw3449B-ms98-a-0040,150.968750,151.329125,um,I,%,u-43-2
sw3449B-ms98-a-0042,157.150625,157.444000,um-hum,B,b,u-45-1
sw3449B-ms98-a-0044,162.478625,163.676125,[laughter],O,,
sw3449B-ms98-a-0046,165.810375,166.028125,no,B,aa,u-49-1
sw3449B-ms98-a-0046,166.028125,166.148125,i've,B,sd,u-49-2
sw3449B-ms98-a-0046,166.148125,166.328125,i've,I,sd,u-49-2
sw3449B-ms98-a-0046,166.328125,166.508125,heard,I,sd,u-49-2
sw3449B-ms98-a-0046,166.508125,166.705500,they're,I,sd,u-49-2
sw3449B-ms98-a-0046,166.705500,166.856125,i,I,sd,u-49-2
sw3449B-ms98-a-0046,166.856125,167.008125,hear,I,sd,u-49-2
sw3449B-ms98-a-0046,167.008125,167.108125,you,I,sd,u-49-2
sw3449B-ms98-a-0046,167.108125,167.238125,have,I,sd,u-49-2
sw3449B-ms98-a-0046,167.238125,167.378125,some,I,sd,u-49-2
sw3449B-ms98-a-0046,167.378125,167.947875,problems,I,sd,u-49-2
sw3449B-ms98-a-0048,174.615500,174.704125,do,B,qy,u-51-1
sw3449B-ms98-a-0048,174.704125,174.856250,you,I,qy,u-51-1
sw3449B-ms98-a-0048,174.856250,174.936250,do,I,qy,u-51-1
sw3449B-ms98-a-0048,174.936250,175.136250,you,I,qy,u-51-1
sw3449B-ms98-a-0048,175.136250,175.226250,do,I,qy,u-51-1
sw3449B-ms98-a-0048,175.226250,175.407750,you,I,qy,u-51-1
sw3449B-ms98-a-0048,175.671500,175.966250,blame,I,qy,u-51-1
sw3449B-ms98-a-0048,175.966250,176.269500,the,I,qy,u-51-1
sw3449B-ms98-a-0048,176.269500,176.376250,the,I,qy,u-51-1
sw3449B-ms98-a-0048,176.376250,176.756250,government,I,qy,u-51-1
sw3449B-ms98-a-0048,176.756250,176.816250,in,I,qy,u-51-1
sw3449B-ms98-a-0048,176.816250,177.256250,Washington,I,qy,u-51-1
sw3449B-ms98-a-0048,177.256250,177.376250,for,I,qy,u-51-1
sw3449B-ms98-a-0048,177.376250,177.682750,this,I,qy,u-51-1
sw3449B-ms98-a-0050,187.739125,188.046250,yes,O,,
sw3449B-ms98-a-0052,190.685500,190.935500,yeah,B,b,u-55-1
sw3449B-ms98-a-0053,192.580750,192.845375,um-hum,B,b,u-57-1
sw3449B-ms98-a-0055,196.092375,196.424625,um-hum,O,,
sw3449B-ms98-a-0057,201.308250,201.523625,so,B,qy,u-59-1
sw3449B-ms98-a-0057,201.523625,201.665750,i,I,qy,u-59-1
sw3449B-ms98-a-0057,201.665750,201.736250,mean,I,qy,u-59-1
sw3449B-ms98-a-0057,201.736250,201.836250,you,I,qy,u-59-1
sw3449B-ms98-a-0057,201.836250,201.986250,think,I,qy,u-59-1
sw3449B-ms98-a-0057,201.986250,202.146250,it's,I,qy,u-59-1
sw3449B-ms98-a-0057,202.146250,202.422875,it's,I,qy,u-59-1
sw3449B-ms98-a-0057,202.517125,202.626250,you,I,qy,u-59-1
sw3449B-ms98-a-0057,202.626250,202.776250,think,I,qy,u-59-1
sw3449B-ms98-a-0057,202.776250,202.896250,it's,I,qy,u-59-1
sw3449B-ms98-a-0057,202.896250,203.216250,Reagan,I,qy,u-59-1
sw3449B-ms98-a-0057,203.216250,203.336250,and,I,qy,u-59-1
sw3449B-ms98-a-0057,203.336250,203.739250,Bush,I,qy,u-59-1
sw3449B-ms98-a-0057,203.810750,203.976250,have,I,qy,u-59-1
sw3449B-ms98-a-0057,203.976250,204.186250,done,I,qy,u-59-1
sw3449B-ms98-a-0057,204.186250,204.456250,this,I,qy,u-59-1
sw3449B-ms98-a-0057,204.456250,204.696250,or,B,qrr,u-59-2
sw3449B-ms98-a-0057,204.696250,204.786250,is,I,qrr,u-59-2
sw3449B-ms98-a-0057,204.786250,204.886250,it,I,qrr,u-59-2
sw3449B-ms98-a-0057,204.886250,205.112375,just,I,qrr,u-59-2
sw3449B-ms98-a-0057,205.481500,206.171875,coincidence,I,qrr,u-59-2
sw3449B-ms98-a-0057,206.171875,206.306250,it,I,qrr,u-59-2
sw3449B-ms98-a-0057,206.306250,206.436250,was,I,qrr,u-59-2
sw3449B-ms98-a-0057,206.436250,206.666250,during,I,qrr,u-59-2
sw3449B-ms98-a-0057,206.666250,206.796250,this,I,qrr,u-59-2
sw3449B-ms98-a-0057,206.796250,207.168500,period,I,qrr,u-59-2
sw3449B-ms98-a-0059,217.852625,218.182625,um-hum,B,b,u-61-1
sw3449B-ms98-a-0061,225.403500,225.530250,oh,B,aa,u-63-1
sw3449B-ms98-a-0061,225.530250,225.600250,the,I,aa,u-63-1
sw3449B-ms98-a-0061,225.600250,225.940250,Chinese,I,aa,u-63-1
sw3449B-ms98-a-0061,225.940250,226.130250,use,I,aa,u-63-1
sw3449B-ms98-a-0061,226.130250,226.380250,slave,I,aa,u-63-1
sw3449B-ms98-a-0061,226.380250,226.700250,labor,I,aa,u-63-1
sw3449B-ms98-a-0061,226.700250,227.010250,too,I,aa,u-63-1
sw3449B-ms98-a-0061,227.010250,227.290250,that's,B,sv,u-65-1
sw3449B-ms98-a-0061,227.290250,227.500250,that's,I,sv,u-65-1
sw3449B-ms98-a-0061,227.500250,227.590250,one,I,sv,u-65-1
sw3449B-ms98-a-0061,227.590250,227.650250,of,I,sv,u-65-1
sw3449B-ms98-a-0061,227.650250,227.710250,the,I,sv,u-65-1
sw3449B-ms98-a-0061,227.710250,227.870250,ways,I,sv,u-65-1
sw3449B-ms98-a-0061,227.870250,227.990250,they,I,sv,u-65-1
sw3449B-ms98-a-0061,227.990250,228.130250,get,I,sv,u-65-1
sw3449B-ms98-a-0061,228.130250,228.320250,away,I,sv,u-65-1
sw3449B-ms98-a-0061,228.320250,228.410250,with,I,sv,u-65-1
sw3449B-ms98-a-0061,228.410250,228.552750,it,I,sv,u-65-1
sw3449B-ms98-a-0062,229.983375,230.242625,yeah,B,aa,u-67-1
sw3449B-ms98-a-0064,234.887875,235.502125,um,B,sv,u-69-1
sw3449B-ms98-a-0064,235.558625,235.789625,i,I,sv,u-69-1
sw3449B-ms98-a-0064,235.789625,235.931750,don't,I,sv,u-69-1
sw3449B-ms98-a-0064,235.931750,236.061750,think,I,sv,u-69-1
sw3449B-ms98-a-0064,236.061750,236.211750,there's,I,sv,u-69-1
sw3449B-ms98-a-0064,236.211750,236.490875,any,I,sv,u-69-1
sw3449B-ms98-a-0064,236.690125,236.867125,o[ne]-,I,sv,u-69-1
sw3449B-ms98-a-0064,236.867125,237.111750,one,I,sv,u-69-1
sw3449B-ms98-a-0064,237.111750,237.491750,simple,B,+,u-71-1
sw3449B-ms98-a-0064,237.491750,237.811750,answer,I,+,u-71-1
sw3449B-ms98-a-0064,237.811750,237.931750,to,I,+,u-71-1
sw3449B-ms98-a-0064,237.931750,238.031750,the,I,+,u-71-1
sw3449B-ms98-a-0064,238.031750,238.181750,whole,I,+,u-71-1
sw3449B-ms98-a-0064,238.181750,238.464000,thing,I,+,u-71-1
sw3449B-ms98-a-0064,238.881125,238.986500,i,B,sv,u-71-2
sw3449B-ms98-a-0064,238.986500,239.131750,mean,I,sv,u-71-2
sw3449B-ms98-a-0064,239.131750,239.351750,it's,I,sv,u-71-2
sw3449B-ms98-a-0064,239.351750,239.591750,that's,I,sv,u-71-2
sw3449B-ms98-a-0064,239.591750,239.784000,very,I,sv,u-71-2
sw3449B-ms98-a-0064,239.784000,240.369000,complicated,I,sv,u-71-2
sw3449B-ms98-a-0066,248.154000,248.365000,so,B,qw,u-73-1
sw3449B-ms98-a-0066,248.365000,248.525000,which,I,qw,u-73-1
sw3449B-ms98-a-0066,248.525000,248.615000,one,I,qw,u-73-1
sw3449B-ms98-a-0066,248.615000,248.675000,are,I,qw,u-73-1
sw3449B-ms98-a-0066,248.675000,248.755000,we,I,qw,u-73-1
sw3449B-ms98-a-0066,248.755000,248.895000,gonna,I,qw,u-73-1
sw3449B-ms98-a-0066,248.895000,249.095000,throw,I,qw,u-73-1
sw3449B-ms98-a-0066,249.095000,249.321750,out,I,qw,u-73-1
sw3449B-ms98-a-0068,257.097000,257.421875,uh-huh,B,b,u-75-1
sw3449B-ms98-a-0069,258.618750,258.902000,Texas,B,qy^g,u-77-1
sw3449B-ms98-a-0069,258.902000,259.272000,Texas,I,qy^g,u-77-1
sw3449B-ms98-a-0069,259.272000,259.422000,used,I,qy^g,u-77-1
sw3449B-ms98-a-0069,259.422000,259.482000,to,I,qy^g,u-77-1
sw3449B-ms98-a-0069,259.482000,259.542000,be,I,qy^g,u-77-1
sw3449B-ms98-a-0069,259.542000,259.572000,a,I,qy^g,u-77-1
sw3449B-ms98-a-0069,259.572000,260.032000,democratic,I,qy^g,u-77-1
sw3449B-ms98-a-0069,260.032000,260.292000,state,I,qy^g,u-77-1
sw3449B-ms98-a-0069,260.292000,260.512000,didn't,I,qy^g,u-77-1
sw3449B-ms98-a-0069,260.512000,260.593125,it,I,qy^g,u-77-1
sw3449B-ms98-a-0071,269.382500,269.499875,i,B,sd,u-79-1
sw3449B-ms98-a-0071,269.499875,269.649625,like,I,sd,u-79-1
sw3449B-ms98-a-0071,269.649625,269.778500,your,I,sd,u-79-1
sw3449B-ms98-a-0071,269.778500,270.205000,governor,I,sd,u-79-1
sw3449B-ms98-a-0073,272.295875,272.500125,she's,B,sv,u-81-1
sw3449B-ms98-a-0073,272.500125,272.560125,an,I,sv,u-81-1
sw3449B-ms98-a-0073,272.560125,272.980125,impressive,I,sv,u-81-1
sw3449B-ms98-a-0073,272.980125,273.372125,woman,I,sv,u-81-1
sw3449B-ms98-a-0075,276.917750,277.269000,yeah,B,b,u-83-1
sw3449B-ms98-a-0077,286.981250,287.905625,[laughter],O,,
sw3449B-ms98-a-0078,289.221625,289.511625,well,B,b,u-87-1
sw3449B-ms98-a-0078,289.511625,289.861125,yeah,I,b,u-87-1
sw3449B-ms98-a-0078,289.861125,290.191625,anybody,B,sv,u-87-2
sw3449B-ms98-a-0078,290.191625,290.301625,could,I,sv,u-87-2
sw3449B-ms98-a-0078,290.301625,290.441625,beat,I,sv,u-87-2
sw3449B-ms98-a-0078,290.441625,290.711625,Claytie,I,sv,u-87-2
sw3449B-ms98-a-0078,290.711625,290.921625,in,I,sv,u-87-2
sw3449B-ms98-a-0078,290.921625,291.225375,Te[xas]-,O,,
sw3449B-ms98-a-0079,292.679250,293.082500,[laughter],O,,
sw3449B-ms98-a-0081,297.024500,297.249750,oh,B,sd,u-91-1
sw3449B-ms98-a-0081,297.249750,297.445000,i-,I,sd,u-91-1
sw3449B-ms98-a-0081,297.445000,297.602125,i,I,sd,u-91-1
sw3449B-ms98-a-0081,297.602125,297.723625,know,I,sd,u-91-1
sw3449B-ms98-a-0081,297.723625,297.893625,some,I,sd,u-91-1
sw3449B-ms98-a-0081,297.893625,297.953625,of,I,sd,u-91-1
sw3449B-ms98-a-0081,297.953625,298.013625,the,I,sd,u-91-1
sw3449B-ms98-a-0081,298.013625,298.411875,people,I,sd,u-91-1
