sw3646B-ms98-a-0002,1.150500,1.920500,okay,O,,
sw3646B-ms98-a-0005,16.419875,16.609875,right,I,sv,u-2-3
sw3646B-ms98-a-0005,16.609875,16.849875,now,I,sv,u-2-3
sw3646B-ms98-a-0005,16.849875,17.119875,just,I,sv,u-2-3
sw3646B-ms98-a-0005,17.119875,17.399875,from,I,sv,u-2-3
sw3646B-ms98-a-0005,17.399875,17.449875,uh,I,sv,u-2-3
sw3646B-ms98-a-0005,17.449875,18.679875,probably,I,sv,u-2-3
sw3646B-ms98-a-0005,18.679875,18.939875,from,I,sv,u-2-3
sw3646B-ms98-a-0005,18.939875,19.259875,budget,I,sv,u-2-3
sw3646B-ms98-a-0005,19.259875,19.739875,cuts,I,sv,u-2-3
sw3646B-ms98-a-0005,19.739875,20.119875,and,I,sv,u-2-3
sw3646B-ms98-a-0005,20.579875,20.789875,and,I,sv,u-2-3
sw3646B-ms98-a-0005,20.789875,21.129875,everything,I,sv,u-2-3
sw3646B-ms98-a-0005,21.129875,21.379875,else,I,sv,u-2-3
sw3646B-ms98-a-0005,21.379875,21.629875,going,I,sv,u-2-3
sw3646B-ms98-a-0005,21.629875,21.789875,on,I,sv,u-2-3
sw3646B-ms98-a-0007,25.521875,25.721875,well,B,sd,u-4-1
sw3646B-ms98-a-0007,25.721875,25.811875,i,I,sd,u-4-1
sw3646B-ms98-a-0007,25.811875,26.001875,had,I,sd,u-4-1
sw3646B-ms98-a-0007,26.001875,26.211875,one,I,sd,u-4-1
sw3646B-ms98-a-0007,26.211875,26.351875,that,I,sd,u-4-1
sw3646B-ms98-a-0007,26.351875,26.741875,was,I,sd,u-4-1
sw3646B-ms98-a-0007,27.071875,27.481875,needed,I,sd,u-4-1
sw3646B-ms98-a-0007,27.481875,27.571875,to,I,sd,u-4-1
sw3646B-ms98-a-0007,27.571875,27.761875,be,I,sd,u-4-1
sw3646B-ms98-a-0007,27.761875,27.931875,able,I,sd,u-4-1
sw3646B-ms98-a-0007,27.931875,28.041875,to,I,sd,u-4-1
sw3646B-ms98-a-0007,28.041875,28.361875,be,I,sd,u-4-1
sw3646B-ms98-a-0007,28.361875,28.761875,moved,I,sd,u-4-1
sw3646B-ms98-a-0007,28.761875,29.451875,along,I,sd,u-4-1
sw3646B-ms98-a-0008,30.311625,30.481625,at,I,sd,u-4-1
sw3646B-ms98-a-0008,30.481625,30.511625,a,I,sd,u-4-1
sw3646B-ms98-a-0008,30.511625,30.571625,at,I,sd,u-4-1
sw3646B-ms98-a-0008,30.571625,30.611625,a,I,sd,u-4-1
sw3646B-ms98-a-0008,30.951625,31.571625,pace,I,sd,u-4-1
sw3646B-ms98-a-0008,31.571625,31.611625,a,I,sd,u-4-1
sw3646B-ms98-a-0008,31.671625,31.891625,little,I,sd,u-4-1
sw3646B-ms98-a-0008,31.891625,32.391625,faster,I,sd,u-4-1
sw3646B-ms98-a-0008,32.391625,32.511625,than,I,sd,u-4-1
sw3646B-ms98-a-0008,32.511625,32.611625,he,I,sd,u-4-1
sw3646B-ms98-a-0008,32.611625,32.731625,was,I,sd,u-4-1
sw3646B-ms98-a-0008,32.731625,32.901625,gonna,I,sd,u-4-1
sw3646B-ms98-a-0008,32.901625,33.041625,be,I,sd,u-4-1
sw3646B-ms98-a-0008,33.041625,33.191625,able,I,sd,u-4-1
sw3646B-ms98-a-0008,33.191625,33.261625,to,I,sd,u-4-1
sw3646B-ms98-a-0008,33.281625,33.461625,m[oved]-,I,sd,u-4-1
sw3646B-ms98-a-0008,33.461625,33.651625,be,I,sd,u-4-1
sw3646B-ms98-a-0008,33.651625,34.021625,moved,I,sd,u-4-1
sw3646B-ms98-a-0008,34.021625,34.231625,in,I,sd,u-4-1
sw3646B-ms98-a-0008,34.231625,34.611625,public,I,sd,u-4-1
sw3646B-ms98-a-0008,34.611625,35.011625,school,I,sd,u-4-1
sw3646B-ms98-a-0008,35.151625,35.561625,so,B,sd,u-4-2
sw3646B-ms98-a-0008,35.951625,36.241625,he's,B,+,u-6-1
sw3646B-ms98-a-0008,36.431625,36.681625,he,I,+,u-6-1
sw3646B-ms98-a-0008,36.681625,36.871625,has,I,+,u-6-1
sw3646B-ms98-a-0008,36.871625,37.151625,been,I,+,u-6-1
sw3646B-ms98-a-0008,37.151625,37.341625,going,I,+,u-6-1
sw3646B-ms98-a-0008,37.341625,37.401625,to,I,+,u-6-1
sw3646B-ms98-a-0008,37.401625,37.791625,private,I,+,u-6-1
sw3646B-ms98-a-0008,37.891625,38.351625,since,I,+,u-6-1
sw3646B-ms98-a-0008,38.751625,39.381625,kindergarten,I,+,u-6-1
sw3646B-ms98-a-0008,39.401625,40.361625,[laughter],O,,
sw3646B-ms98-a-0008,40.361625,40.601625,so,B,%,u-8-1
sw3646B-ms98-a-0009,42.151625,42.231625,oh,B,sd,u-10-1
sw3646B-ms98-a-0009,42.231625,42.451625,he's,I,sd,u-10-1
sw3646B-ms98-a-0009,42.451625,42.701625,loved,I,sd,u-10-1
sw3646B-ms98-a-0009,42.701625,42.771625,it,I,sd,u-10-1
sw3646B-ms98-a-0009,42.771625,42.941625,he's,O,,
sw3646B-ms98-a-0009,42.941625,43.031625,a,B,sd,u-10-2
sw3646B-ms98-a-0009,43.031625,43.341625,senior,I,sd,u-10-2
sw3646B-ms98-a-0009,43.341625,43.431625,in,I,sd,u-10-2
sw3646B-ms98-a-0009,43.431625,43.551625,high,I,sd,u-10-2
sw3646B-ms98-a-0009,43.581625,43.861625,school,I,sd,u-10-2
sw3646B-ms98-a-0009,43.861625,44.021625,this,I,sd,u-10-2
sw3646B-ms98-a-0009,44.021625,44.281625,year,I,sd,u-10-2
sw3646B-ms98-a-0009,44.281625,44.471625,so,B,%,u-10-3
sw3646B-ms98-a-0009,45.291625,45.701625,he's,B,+,u-12-1
sw3646B-ms98-a-0009,46.961625,47.181625,yeah,B,ny,u-14-1
sw3646B-ms98-a-0009,47.181625,47.391625,he's,B,sd^e,u-14-2
sw3646B-ms98-a-0009,47.391625,47.581625,done,I,sd^e,u-14-2
sw3646B-ms98-a-0009,47.581625,47.691625,it,I,sd^e,u-14-2
sw3646B-ms98-a-0009,47.691625,47.801625,the,I,sd^e,u-14-2
sw3646B-ms98-a-0009,47.801625,48.121625,whole,I,sd^e,u-14-2
sw3646B-ms98-a-0009,48.461625,48.831625,twelve,I,sd^e,u-14-2
sw3646B-ms98-a-0009,48.831625,48.951625,and,I,sd^e,u-14-2
sw3646B-ms98-a-0009,48.951625,48.991625,a,I,sd^e,u-14-2
sw3646B-ms98-a-0009,49.021625,49.431625,so,I,sd^e,u-14-2
sw3646B-ms98-a-0009,49.431625,49.651625,many,I,sd^e,u-14-2
sw3646B-ms98-a-0009,49.651625,50.121625,years,I,sd^e,u-14-2
sw3646B-ms98-a-0009,50.121625,50.301625,and,B,sd,u-14-3
sw3646B-ms98-a-0009,50.301625,50.431625,it's,I,sd,u-14-3
sw3646B-ms98-a-0009,50.431625,50.751625,been,I,sd,u-14-3
sw3646B-ms98-a-0009,50.751625,50.861625,uh,I,sd,u-14-3
sw3646B-ms98-a-0009,50.861625,50.991625,it's,I,sd,u-14-3
sw3646B-ms98-a-0009,51.111625,51.271625,been,I,sd,u-14-3
sw3646B-ms98-a-0009,51.271625,51.471625,really,I,sd,u-14-3
sw3646B-ms98-a-0009,51.471625,51.651625,good,I,sd,u-14-3
sw3646B-ms98-a-0009,51.651625,51.781625,for,I,sd,u-14-3
sw3646B-ms98-a-0009,51.841625,51.961625,him,I,sd,u-14-3
sw3646B-ms98-a-0011,55.499000,56.379000,uh,B,sd,u-16-1
sw3646B-ms98-a-0011,56.439000,57.159000,overall,I,sd,u-16-1
sw3646B-ms98-a-0011,57.159000,57.489000,on,I,sd,u-16-1
sw3646B-ms98-a-0011,57.489000,57.989000,campus,I,sd,u-16-1
sw3646B-ms98-a-0011,57.989000,58.289000,about,I,sd,u-16-1
sw3646B-ms98-a-0011,58.289000,58.559000,twelve,I,sd,u-16-1
sw3646B-ms98-a-0011,58.559000,59.059000,hundred,I,sd,u-16-1
sw3646B-ms98-a-0011,59.059000,59.269000,but,I,sd,u-16-1
sw3646B-ms98-a-0011,59.269000,59.479000,in,I,sd,u-16-1
sw3646B-ms98-a-0011,59.479000,59.579000,the,I,sd,u-16-1
sw3646B-ms98-a-0011,59.589000,59.979000,upper,I,sd,u-16-1
sw3646B-ms98-a-0011,59.979000,60.569000,school,I,sd,u-16-1
sw3646B-ms98-a-0011,61.259000,61.489000,upper,I,sd,u-16-1
sw3646B-ms98-a-0011,61.489000,61.809000,four,I,sd,u-16-1
sw3646B-ms98-a-0011,61.809000,62.489000,grades,I,sd,u-16-1
sw3646B-ms98-a-0011,62.489000,62.909000,uh,I,sd,u-16-1
sw3646B-ms98-a-0011,62.909000,63.169000,about,I,sd,u-16-1
sw3646B-ms98-a-0011,63.169000,63.469000,four,I,sd,u-16-1
sw3646B-ms98-a-0011,63.469000,63.819000,hundred,I,sd,u-16-1
sw3646B-ms98-a-0011,63.819000,64.049000,and,I,sd,u-16-1
sw3646B-ms98-a-0011,64.049000,64.439000,something,I,sd,u-16-1
sw3646B-ms98-a-0011,64.769000,64.909000,so,B,sd,u-16-2
sw3646B-ms98-a-0011,64.909000,65.059000,it's,I,sd,u-16-2
sw3646B-ms98-a-0011,65.059000,65.279000,maybe,I,sd,u-16-2
sw3646B-ms98-a-0011,65.279000,65.319000,a,I,sd,u-16-2
sw3646B-ms98-a-0011,65.319000,65.699000,hundred,I,sd,u-16-2
sw3646B-ms98-a-0011,65.699000,65.839000,per,I,sd,u-16-2
sw3646B-ms98-a-0011,65.839000,66.289000,grade,I,sd,u-16-2
sw3646B-ms98-a-0012,68.215375,68.415375,yeah,B,aa,u-18-1
sw3646B-ms98-a-0012,68.415375,68.495375,it,B,aa,u-18-2
sw3646B-ms98-a-0012,68.495375,68.715375,really,I,aa,u-18-2
sw3646B-ms98-a-0012,68.715375,69.155375,is,I,aa,u-18-2
sw3646B-ms98-a-0014,76.709500,76.879500,yeah,B,aa,u-20-1
sw3646B-ms98-a-0014,76.879500,77.049500,that,B,sd,u-20-2
sw3646B-ms98-a-0014,77.049500,77.289500,was,I,sd,u-20-2
sw3646B-ms98-a-0014,77.899500,78.089500,we,I,sd,u-20-2
sw3646B-ms98-a-0014,78.089500,78.149500,were,I,sd,u-20-2
sw3646B-ms98-a-0014,78.149500,78.369500,kind,I,sd,u-20-2
sw3646B-ms98-a-0014,78.369500,78.449500,of,I,sd,u-20-2
sw3646B-ms98-a-0014,78.449500,78.759500,looking,I,sd,u-20-2
sw3646B-ms98-a-0014,78.759500,78.979500,for,I,sd,u-20-2
sw3646B-ms98-a-0014,79.369500,79.549500,one,I,sd,u-20-2
sw3646B-ms98-a-0014,79.549500,79.649500,that,I,sd,u-20-2
sw3646B-ms98-a-0014,79.649500,79.799500,would,I,sd,u-20-2
sw3646B-ms98-a-0014,79.799500,79.969500,be,I,sd,u-20-2
sw3646B-ms98-a-0014,79.969500,80.019500,a,I,sd,u-20-2
sw3646B-ms98-a-0014,80.019500,80.499500,mixture,I,sd,u-20-2
sw3646B-ms98-a-0014,80.499500,80.689500,and,B,sd,u-20-3
sw3646B-ms98-a-0015,81.761625,81.921625,he's,B,+,u-22-1
sw3646B-ms98-a-0015,81.941625,82.301625,done,I,+,u-22-1
sw3646B-ms98-a-0015,82.531625,82.751625,he's,I,+,u-22-1
sw3646B-ms98-a-0015,82.751625,82.991625,done,I,+,u-22-1
sw3646B-ms98-a-0015,82.991625,83.251625,really,B,+,u-24-1
sw3646B-ms98-a-0015,83.291625,83.641625,well,I,+,u-24-1
sw3646B-ms98-a-0015,83.641625,83.801625,and,B,sd,u-24-2
sw3646B-ms98-a-0015,83.801625,84.061625,just,I,sd,u-24-2
sw3646B-ms98-a-0015,84.091625,84.291625,he,I,sd,u-24-2
sw3646B-ms98-a-0015,84.291625,84.441625,was,I,sd,u-24-2
sw3646B-ms98-a-0015,84.441625,84.811625,just,I,sd,u-24-2
sw3646B-ms98-a-0016,85.563750,85.953750,ahead,I,sd,u-24-2
sw3646B-ms98-a-0016,85.953750,86.083750,at,I,sd,u-24-2
sw3646B-ms98-a-0016,86.083750,86.223750,an,I,sd,u-24-2
sw3646B-ms98-a-0016,86.223750,86.503750,early,I,sd,u-24-2
sw3646B-ms98-a-0016,86.503750,86.963750,age,I,sd,u-24-2
sw3646B-ms98-a-0016,86.963750,87.473750,and,B,sd,u-24-3
sw3646B-ms98-a-0016,87.473750,87.503750,i,I,sd,u-24-3
sw3646B-ms98-a-0016,87.503750,87.723750,didn't,I,sd,u-24-3
sw3646B-ms98-a-0016,87.723750,87.893750,feel,I,sd,u-24-3
sw3646B-ms98-a-0016,87.893750,88.253750,like,I,sd,u-24-3
sw3646B-ms98-a-0016,88.253750,88.443750,uh,I,sd,u-24-3
sw3646B-ms98-a-0016,88.703750,88.973750,in,I,sd,u-24-3
sw3646B-ms98-a-0016,89.133750,89.233750,what,I,sd,u-24-3
sw3646B-ms98-a-0016,89.233750,89.373750,was,I,sd,u-24-3
sw3646B-ms98-a-0016,89.373750,89.873750,available,I,sd,u-24-3
sw3646B-ms98-a-0016,89.873750,90.293750,particularly,I,sd,u-24-3
sw3646B-ms98-a-0016,90.293750,90.363750,in,I,sd,u-24-3
sw3646B-ms98-a-0016,90.363750,90.433750,the,I,sd,u-24-3
sw3646B-ms98-a-0016,90.433750,90.743750,first,I,sd,u-24-3
sw3646B-ms98-a-0016,90.743750,90.963750,three,I,sd,u-24-3
sw3646B-ms98-a-0016,90.963750,91.903750,grades,I,sd,u-24-3
sw3646B-ms98-a-0017,92.577625,92.717625,and,B,sd,u-26-1
sw3646B-ms98-a-0017,92.717625,92.937625,even,I,sd,u-26-1
sw3646B-ms98-a-0017,92.937625,93.047625,in,I,sd,u-26-1
sw3646B-ms98-a-0017,93.047625,93.117625,the,I,sd,u-26-1
sw3646B-ms98-a-0017,93.117625,93.497625,fourth,I,sd,u-26-1
sw3646B-ms98-a-0017,93.497625,93.907625,grade,I,sd,u-26-1
sw3646B-ms98-a-0017,93.977625,94.087625,when,I,sd,u-26-1
sw3646B-ms98-a-0017,94.087625,94.217625,they,I,sd,u-26-1
sw3646B-ms98-a-0017,94.217625,94.707625,started,I,sd,u-26-1
sw3646B-ms98-a-0017,94.707625,94.837625,what,I,sd,u-26-1
sw3646B-ms98-a-0017,94.837625,94.967625,they,I,sd,u-26-1
sw3646B-ms98-a-0017,94.967625,95.297625,called,I,sd,u-26-1
sw3646B-ms98-a-0017,95.297625,95.947625,reach,I,sd,u-26-1
sw3646B-ms98-a-0017,95.947625,96.207625,was,I,sd,u-26-1
sw3646B-ms98-a-0017,96.207625,96.487625,still,I,sd,u-26-1
sw3646B-ms98-a-0017,96.487625,96.537625,a,I,sd,u-26-1
sw3646B-ms98-a-0017,96.537625,96.867625,pull,I,sd,u-26-1
sw3646B-ms98-a-0017,96.867625,97.097625,out,I,sd,u-26-1
sw3646B-ms98-a-0017,97.097625,97.317625,one,I,sd,u-26-1
sw3646B-ms98-a-0017,97.317625,97.537625,day,I,sd,u-26-1
sw3646B-ms98-a-0017,97.537625,98.257625,program,I,sd,u-26-1
sw3646B-ms98-a-0019,100.069250,100.299250,and,B,sd,u-28-1
sw3646B-ms98-a-0019,100.299250,100.339250,i,I,sd,u-28-1
sw3646B-ms98-a-0019,100.339250,100.509250,just,I,sd,u-28-1
sw3646B-ms98-a-0019,100.509250,100.699250,didn't,I,sd,u-28-1
sw3646B-ms98-a-0019,100.699250,100.859250,think,I,sd,u-28-1
sw3646B-ms98-a-0019,100.859250,100.969250,that,I,sd,u-28-1
sw3646B-ms98-a-0019,100.969250,101.079250,was,I,sd,u-28-1
sw3646B-ms98-a-0019,101.079250,101.269250,gonna,I,sd,u-28-1
sw3646B-ms98-a-0019,101.269250,101.559250,get,I,sd,u-28-1
sw3646B-ms98-a-0019,101.559250,101.719250,it,I,sd,u-28-1
sw3646B-ms98-a-0019,102.039250,102.069250,i,B,sd,u-28-2
sw3646B-ms98-a-0019,102.069250,102.409250,thought,I,sd,u-28-2
sw3646B-ms98-a-0019,102.409250,102.489250,he,I,sd,u-28-2
sw3646B-ms98-a-0019,102.489250,102.799250,needed,I,sd,u-28-2
sw3646B-ms98-a-0019,102.799250,102.869250,to,I,sd,u-28-2
sw3646B-ms98-a-0019,102.869250,103.189250,be,I,sd,u-28-2
sw3646B-ms98-a-0019,103.809250,104.719250,exposed,I,sd,u-28-2
sw3646B-ms98-a-0019,105.309250,105.449250,to,I,sd,u-28-2
sw3646B-ms98-a-0019,105.449250,105.609250,a,I,sd,u-28-2
sw3646B-ms98-a-0019,106.329250,107.139250,situation,I,sd,u-28-2
sw3646B-ms98-a-0019,107.139250,107.309250,where,I,sd,u-28-2
sw3646B-ms98-a-0019,107.309250,107.429250,he,I,sd,u-28-2
sw3646B-ms98-a-0019,107.429250,107.709250,could,I,sd,u-28-2
sw3646B-ms98-a-0019,108.079250,108.319250,push,I,sd,u-28-2
sw3646B-ms98-a-0019,108.319250,108.949250,ahead,I,sd,u-28-2
sw3646B-ms98-a-0019,108.949250,109.299250,uh,I,sd,u-28-2
sw3646B-ms98-a-0019,109.299250,109.979250,everyday,O,,
sw3646B-ms98-a-0020,110.622750,110.812750,but,B,+,u-30-1
sw3646B-ms98-a-0020,110.812750,111.032750,yet,I,+,u-30-1
sw3646B-ms98-a-0020,111.032750,111.272750,still,I,+,u-30-1
sw3646B-ms98-a-0020,111.272750,111.422750,be,I,+,u-30-1
sw3646B-ms98-a-0020,111.422750,111.542750,with,I,+,u-30-1
sw3646B-ms98-a-0020,111.542750,111.722750,his,I,+,u-30-1
sw3646B-ms98-a-0020,111.722750,112.422750,peers,I,+,u-30-1
sw3646B-ms98-a-0020,112.882750,113.112750,age,B,+,u-32-1
sw3646B-ms98-a-0020,113.112750,113.552750,wise,I,+,u-32-1
sw3646B-ms98-a-0022,120.772625,120.922625,you're,B,sv,u-34-1
sw3646B-ms98-a-0022,120.922625,121.122625,just,I,sv,u-34-1
sw3646B-ms98-a-0022,121.142625,121.382625,getting,B,+,u-36-1
sw3646B-ms98-a-0022,121.382625,121.992625,started,I,+,u-36-1
sw3646B-ms98-a-0022,122.382625,123.002625,[laughter],O,,
sw3646B-ms98-a-0024,139.930750,140.120750,yeah,B,aa,u-40-1
sw3646B-ms98-a-0024,140.120750,140.160750,i,B,aa,u-40-2
sw3646B-ms98-a-0024,140.160750,140.510750,know,I,aa,u-40-2
sw3646B-ms98-a-0024,141.090750,141.710750,that's,B,sv,u-40-3
sw3646B-ms98-a-0024,141.900750,142.090750,that's,O,,
sw3646B-ms98-a-0024,142.090750,142.140750,a,B,+,u-42-1
sw3646B-ms98-a-0024,142.190750,142.350750,big,I,+,u-42-1
sw3646B-ms98-a-0024,142.350750,142.850750,problem,I,+,u-42-1
sw3646B-ms98-a-0026,147.362000,147.522000,we,B,sv,u-44-1
sw3646B-ms98-a-0026,147.522000,147.712000,wouldn't,I,sv,u-44-1
sw3646B-ms98-a-0026,147.712000,147.832000,have,I,sv,u-44-1
sw3646B-ms98-a-0026,147.832000,148.032000,thought,I,sv,u-44-1
sw3646B-ms98-a-0026,148.032000,148.122000,of,I,sv,u-44-1
sw3646B-ms98-a-0026,148.122000,148.572000,crossing,I,sv,u-44-1
sw3646B-ms98-a-0026,148.572000,148.622000,a,I,sv,u-44-1
sw3646B-ms98-a-0026,148.622000,149.152000,teacher,I,sv,u-44-1
sw3646B-ms98-a-0026,149.152000,149.392000,when,I,sv,u-44-1
sw3646B-ms98-a-0026,149.392000,149.512000,we,I,sv,u-44-1
sw3646B-ms98-a-0026,149.512000,149.662000,were,B,+,u-46-1
sw3646B-ms98-a-0026,149.932000,150.102000,in,I,+,u-46-1
sw3646B-ms98-a-0026,150.102000,150.302000,school,I,+,u-46-1
sw3646B-ms98-a-0026,150.602000,150.842000,wouldn't,B,sv,u-48-1
sw3646B-ms98-a-0026,150.842000,150.972000,have,I,sv,u-48-1
sw3646B-ms98-a-0026,150.972000,151.362000,thought,I,sv,u-48-1
sw3646B-ms98-a-0026,151.422000,151.592000,of,I,sv,u-48-1
sw3646B-ms98-a-0026,151.592000,151.722000,it,I,sv,u-48-1
sw3646B-ms98-a-0026,151.872000,152.012000,and,B,sv,u-48-2
sw3646B-ms98-a-0026,152.012000,152.112000,you,O,,
sw3646B-ms98-a-0026,152.112000,152.252000,know,O,,
sw3646B-ms98-a-0026,152.342000,152.612000,and,B,+,u-50-1
sw3646B-ms98-a-0026,152.612000,152.782000,they'll,I,+,u-50-1
sw3646B-ms98-a-0026,152.782000,153.202000,stand,I,+,u-50-1
sw3646B-ms98-a-0026,153.202000,153.352000,there,I,+,u-50-1
sw3646B-ms98-a-0026,153.352000,153.642000,now,I,+,u-50-1
sw3646B-ms98-a-0026,153.642000,153.842000,with,I,+,u-50-1
sw3646B-ms98-a-0026,153.842000,153.982000,them_1,I,+,u-50-1
sw3646B-ms98-a-0026,153.982000,154.192000,toe,I,+,u-50-1
sw3646B-ms98-a-0026,154.192000,154.312000,to,I,+,u-50-1
sw3646B-ms98-a-0026,154.312000,154.702000,toe,I,+,u-50-1
sw3646B-ms98-a-0026,154.832000,155.032000,and,B,%,u-50-2
sw3646B-ms98-a-0028,174.019125,174.139125,yeah,B,aa,u-52-1
sw3646B-ms98-a-0028,174.139125,174.249125,but,B,sv,u-52-2
sw3646B-ms98-a-0028,174.249125,174.289125,a,I,sv,u-52-2
sw3646B-ms98-a-0028,174.289125,174.459125,lot,I,sv,u-52-2
sw3646B-ms98-a-0028,174.459125,174.529125,of,I,sv,u-52-2
sw3646B-ms98-a-0028,174.529125,174.739125,times,I,sv,u-52-2
sw3646B-ms98-a-0028,174.739125,174.989125,it's,I,sv,u-52-2
sw3646B-ms98-a-0028,174.989125,175.189125,not,I,sv,u-52-2
sw3646B-ms98-a-0028,175.189125,175.419125,being,I,sv,u-52-2
sw3646B-ms98-a-0028,175.419125,175.889125,taught,I,sv,u-52-2
sw3646B-ms98-a-0028,175.889125,176.019125,in,I,sv,u-52-2
sw3646B-ms98-a-0028,176.019125,176.129125,the,I,sv,u-52-2
sw3646B-ms98-a-0028,176.409125,176.869125,home,I,sv,u-52-2
sw3646B-ms98-a-0028,177.189125,177.619125,anymore,B,+,u-54-1
sw3646B-ms98-a-0028,177.619125,177.819125,like,I,+,u-54-1
sw3646B-ms98-a-0028,177.819125,177.909125,it,I,+,u-54-1
sw3646B-ms98-a-0028,177.909125,178.159125,used,I,+,u-54-1
sw3646B-ms98-a-0028,178.159125,178.229125,to,I,+,u-54-1
sw3646B-ms98-a-0028,178.229125,178.529125,be,I,+,u-54-1
sw3646B-ms98-a-0028,178.529125,179.019125,basic,I,+,u-54-1
sw3646B-ms98-a-0028,179.249125,179.659125,respect,I,+,u-54-1
sw3646B-ms98-a-0028,179.659125,179.859125,for,I,+,u-54-1
sw3646B-ms98-a-0028,180.149125,180.649125,elders,B,+,u-56-1
sw3646B-ms98-a-0028,180.649125,180.969125,and,B,+,u-58-1
sw3646B-ms98-a-0028,180.969125,181.519125,adults,I,+,u-58-1
sw3646B-ms98-a-0028,181.519125,182.169125,particularly,I,+,u-58-1
sw3646B-ms98-a-0028,182.169125,182.489125,in,I,+,u-58-1
sw3646B-ms98-a-0028,182.659125,182.889125,in,I,+,u-58-1
sw3646B-ms98-a-0028,182.889125,183.379125,responsible,I,+,u-58-1
sw3646B-ms98-a-0028,183.379125,184.009125,positions,I,+,u-58-1
sw3646B-ms98-a-0028,185.029125,185.219125,have,I,+,u-58-1
sw3646B-ms98-a-0028,185.219125,185.489125,not,I,+,u-58-1
sw3646B-ms98-a-0028,185.649125,185.879125,uh,I,+,u-58-1
sw3646B-ms98-a-0029,186.896500,186.926500,i,I,+,u-58-1
sw3646B-ms98-a-0029,186.926500,187.076500,don't,I,+,u-58-1
sw3646B-ms98-a-0029,187.076500,187.256500,think,I,+,u-58-1
sw3646B-ms98-a-0029,187.256500,187.596500,it's,I,+,u-58-1
sw3646B-ms98-a-0029,188.676500,188.936500,had,I,+,u-58-1
sw3646B-ms98-a-0029,188.936500,189.176500,that,I,+,u-58-1
sw3646B-ms98-a-0029,189.176500,189.736500,basic,I,+,u-58-1
sw3646B-ms98-a-0029,190.556500,191.316500,upbringing,I,+,u-58-1
sw3646B-ms98-a-0029,191.586500,191.916500,in,I,+,u-58-1
sw3646B-ms98-a-0029,191.916500,191.946500,a,I,+,u-58-1
sw3646B-ms98-a-0029,191.946500,192.126500,lot,I,+,u-58-1
sw3646B-ms98-a-0029,192.126500,192.196500,of,I,+,u-58-1
sw3646B-ms98-a-0029,192.196500,192.686500,cases,I,+,u-58-1
sw3646B-ms98-a-0029,192.686500,193.026500,and,B,sv,u-58-2
