sw2340A-ms98-a-0002,1.360000,1.580000,hello,B,fp^m,u-2-1
sw2340A-ms98-a-0006,16.302875,16.778875,calls,I,sd^t,u-10-3
sw2340A-ms98-a-0007,18.405125,19.035125,[laughter],O,,
sw2340A-ms98-a-0007,19.035125,19.325125,yeah,B,b,u-12-1
sw2340A-ms98-a-0007,19.565125,19.665125,well,B,sd,u-12-2
sw2340A-ms98-a-0007,19.665125,19.695125,i,I,sd,u-12-2
sw2340A-ms98-a-0007,19.695125,19.885125,haven't,I,sd,u-12-2
sw2340A-ms98-a-0007,19.885125,19.975125,get,I,sd,u-12-2
sw2340A-ms98-a-0007,19.975125,20.025125,a,I,sd,u-12-2
sw2340A-ms98-a-0007,20.025125,20.315125,chance,I,sd,u-12-2
sw2340A-ms98-a-0007,20.315125,20.345125,i,I,sd,u-12-2
sw2340A-ms98-a-0007,20.345125,20.525125,haven't,I,sd,u-12-2
sw2340A-ms98-a-0007,20.525125,20.615125,got,I,sd,u-12-2
sw2340A-ms98-a-0007,20.615125,20.645125,a,I,sd,u-12-2
sw2340A-ms98-a-0007,20.645125,20.855125,chance,I,sd,u-12-2
sw2340A-ms98-a-0007,20.855125,20.915125,to,I,sd,u-12-2
sw2340A-ms98-a-0007,20.915125,21.065125,look,I,sd,u-12-2
sw2340A-ms98-a-0007,21.065125,21.155125,at,I,sd,u-12-2
sw2340A-ms98-a-0007,21.155125,21.245125,them_1,I,sd,u-12-2
sw2340A-ms98-a-0007,21.245125,21.425125,yet,I,sd,u-12-2
sw2340A-ms98-a-0009,23.722250,23.902250,my,B,sd^t,u-14-1
sw2340A-ms98-a-0009,23.902250,24.522250,daughter,I,sd^t,u-14-1
sw2340A-ms98-a-0009,24.522250,25.178750,uh,I,sd^t,u-14-1
sw2340A-ms98-a-0009,25.457500,25.662250,got,I,sd^t,u-14-1
sw2340A-ms98-a-0009,25.662250,25.702250,a,I,sd^t,u-14-1
sw2340A-ms98-a-0009,25.702250,25.862250,few,I,sd^t,u-14-1
sw2340A-ms98-a-0009,25.862250,26.172250,calls,I,sd^t,u-14-1
sw2340A-ms98-a-0009,26.172250,26.242250,at,I,sd^t,u-14-1
sw2340A-ms98-a-0009,26.242250,26.432250,home,I,sd^t,u-14-1
sw2340A-ms98-a-0009,26.432250,26.562250,she,B,sd^t,u-14-2
sw2340A-ms98-a-0009,26.562250,26.902250,talked,I,sd^t,u-14-2
sw2340A-ms98-a-0009,26.902250,27.012250,to,I,sd^t,u-14-2
sw2340A-ms98-a-0009,27.012250,27.242250,some,I,sd^t,u-14-2
sw2340A-ms98-a-0009,27.242250,27.852250,student,I,sd^t,u-14-2
sw2340A-ms98-a-0009,27.852250,28.672250,in,I,sd^t,u-14-2
sw2340A-ms98-a-0009,28.672250,28.802250,i,B,sd^t,u-14-3
sw2340A-ms98-a-0009,28.802250,28.982250,guess,I,sd^t,u-14-3
sw2340A-ms98-a-0009,28.982250,29.082250,they,I,sd^t,u-14-3
sw2340A-ms98-a-0009,29.082250,29.212250,give,I,sd^t,u-14-3
sw2340A-ms98-a-0009,29.212250,29.302250,them,I,sd^t,u-14-3
sw2340A-ms98-a-0009,29.302250,29.442250,to,I,sd^t,u-14-3
sw2340A-ms98-a-0009,29.442250,29.882250,computer,I,sd^t,u-14-3
sw2340A-ms98-a-0009,29.882250,30.352250,students,I,sd^t,u-14-3
sw2340A-ms98-a-0009,30.352250,30.785875,too,I,sd^t,u-14-3
sw2340A-ms98-a-0010,31.440750,31.900750,and,I,sd^t,u-14-3
sw2340A-ms98-a-0010,31.900750,32.400750,uh,I,sd^t,u-14-3
sw2340A-ms98-a-0011,32.994625,33.584625,Virginia,I,sd^t,u-14-3
sw2340A-ms98-a-0011,33.584625,33.664625,or,I,sd^t,u-14-3
sw2340A-ms98-a-0011,33.664625,33.894625,something,I,sd^t,u-14-3
sw2340A-ms98-a-0011,33.894625,34.004625,like,I,sd^t,u-14-3
sw2340A-ms98-a-0011,34.004625,34.114625,that,I,sd^t,u-14-3
sw2340A-ms98-a-0011,34.114625,34.294625,she's,B,sd^t,u-14-4
sw2340A-ms98-a-0011,34.294625,34.524625,talked,I,sd^t,u-14-4
sw2340A-ms98-a-0011,34.524625,34.594625,to,I,sd^t,u-14-4
sw2340A-ms98-a-0011,34.594625,34.794625,two,I,sd^t,u-14-4
sw2340A-ms98-a-0011,34.794625,35.415625,students,I,sd^t,u-14-4
sw2340A-ms98-a-0013,41.614500,42.024625,yeah,B,b,u-16-1
sw2340A-ms98-a-0015,46.141750,46.411750,oh,B,b,u-18-1
sw2340A-ms98-a-0015,46.411750,46.662625,yeah,I,b,u-18-1
sw2340A-ms98-a-0015,46.662625,46.920625,great,B,ba,u-18-2
sw2340A-ms98-a-0015,47.154125,47.261750,uh,B,ad^t,u-18-3
sw2340A-ms98-a-0015,47.261750,47.401750,we're,I,ad^t,u-18-3
sw2340A-ms98-a-0015,47.401750,47.601750,supposed,I,ad^t,u-18-3
sw2340A-ms98-a-0015,47.601750,47.661750,to,I,ad^t,u-18-3
sw2340A-ms98-a-0015,47.661750,47.761750,talk,I,ad^t,u-18-3
sw2340A-ms98-a-0015,47.761750,47.961750,about,I,ad^t,u-18-3
sw2340A-ms98-a-0015,47.961750,48.041750,the,I,ad^t,u-18-3
sw2340A-ms98-a-0015,48.041750,48.531750,elderly,I,ad^t,u-18-3
sw2340A-ms98-a-0015,48.531750,48.741750,now,I,ad^t,u-18-3
sw2340A-ms98-a-0015,48.741750,48.811750,i,I,ad^t,u-18-3
sw2340A-ms98-a-0015,48.811750,49.111750,guess,I,ad^t,u-18-3
sw2340A-ms98-a-0015,49.111750,49.347250,uh,I,ad^t,u-18-3
sw2340A-ms98-a-0016,50.095875,50.185875,do,B,qy,u-20-1
sw2340A-ms98-a-0016,50.185875,50.255875,you,I,qy,u-20-1
sw2340A-ms98-a-0016,50.255875,50.375875,have,I,qy,u-20-1
sw2340A-ms98-a-0016,50.375875,50.895875,anybody,I,qy,u-20-1
sw2340A-ms98-a-0016,50.895875,51.155875,that,I,qy,u-20-1
sw2340A-ms98-a-0016,51.155875,51.665875,you,I,qy,u-20-1
sw2340A-ms98-a-0016,51.665875,52.284750,uh,I,qy,u-20-1
sw2340A-ms98-a-0016,52.548375,52.835875,h[ave]-,I,qy,u-20-1
sw2340A-ms98-a-0016,52.835875,52.975875,are,I,qy,u-20-1
sw2340A-ms98-a-0016,52.975875,53.245875,close,I,qy,u-20-1
sw2340A-ms98-a-0016,53.245875,53.325875,to,I,qy,u-20-1
sw2340A-ms98-a-0016,53.325875,53.425875,that,I,qy,u-20-1
sw2340A-ms98-a-0016,53.425875,53.825875,decision,I,qy,u-20-1
sw2340A-ms98-a-0016,53.825875,53.965875,on,I,qy,u-20-1
sw2340A-ms98-a-0016,53.965875,54.045875,or,I,qy,u-20-1
sw2340A-ms98-a-0016,54.045875,54.405875,anything,I,qy,u-20-1
sw2340A-ms98-a-0016,54.405875,54.692250,or,B,sd,u-20-2
sw2340A-ms98-a-0016,54.922000,55.095875,i've,I,sd,u-20-2
sw2340A-ms98-a-0016,55.095875,55.255875,thought,I,sd,u-20-2
sw2340A-ms98-a-0016,55.255875,55.435875,about,I,sd,u-20-2
sw2340A-ms98-a-0016,55.435875,55.505875,it,I,sd,u-20-2
sw2340A-ms98-a-0016,55.505875,55.615875,for,I,sd,u-20-2
sw2340A-ms98-a-0016,55.615875,56.035875,myself,I,sd,u-20-2
sw2340A-ms98-a-0016,56.035875,56.155875,and,I,sd,u-20-2
sw2340A-ms98-a-0016,56.155875,56.546750,all,I,sd,u-20-2
sw2340A-ms98-a-0016,56.957250,57.172750,and,B,sd,u-20-3
sw2340A-ms98-a-0016,57.255625,57.458750,my,I,sd,u-20-3
sw2340A-ms98-a-0016,57.458750,57.650875,wi[fe]-,I,sd,u-20-3
sw2340A-ms98-a-0016,57.650875,58.066375,my,I,sd,u-20-3
sw2340A-ms98-a-0016,58.213250,58.605875,wife's,I,sd,u-20-3
sw2340A-ms98-a-0016,58.605875,59.055875,mother,I,sd,u-20-3
sw2340A-ms98-a-0016,59.055875,59.545875,is,I,sd,u-20-3
sw2340A-ms98-a-0016,59.545875,59.760125,uh,I,sd,u-20-3
sw2340A-ms98-a-0017,60.360375,60.530375,in,I,sd,u-20-3
sw2340A-ms98-a-0017,60.530375,60.600375,a,I,sd,u-20-3
sw2340A-ms98-a-0017,60.600375,61.350375,retirement,I,sd,u-20-3
sw2340A-ms98-a-0017,61.350375,61.640375,home,I,sd,u-20-3
sw2340A-ms98-a-0017,61.640375,61.870375,she's,B,sd,u-20-4
sw2340A-ms98-a-0017,61.870375,62.110375,not,I,sd,u-20-4
sw2340A-ms98-a-0017,62.110375,62.230375,in,I,sd,u-20-4
sw2340A-ms98-a-0017,62.230375,62.290375,a,I,sd,u-20-4
sw2340A-ms98-a-0017,62.290375,62.810375,nursing,I,sd,u-20-4
sw2340A-ms98-a-0017,62.810375,63.180375,home,I,sd,u-20-4
sw2340A-ms98-a-0017,63.590375,64.220375,uh,I,sd,u-20-4
sw2340A-ms98-a-0018,65.510375,65.794875,yeah,B,ny,u-22-1
sw2340A-ms98-a-0018,65.794875,66.010375,did,B,qy^t,u-22-2
sw2340A-ms98-a-0018,66.010375,66.040375,i,I,qy^t,u-22-2
sw2340A-ms98-a-0018,66.040375,66.260375,did,I,qy^t,u-22-2
sw2340A-ms98-a-0018,66.260375,66.350375,we,I,qy^t,u-22-2
sw2340A-ms98-a-0018,66.350375,66.633500,push,I,qy^t,u-22-2
sw2340A-ms98-a-0019,67.823875,68.053875,let,B,sd^t,u-24-1
sw2340A-ms98-a-0019,68.053875,68.218375,me,I,sd^t,u-24-1
sw2340A-ms98-a-0019,68.338750,68.463000,i'll,I,sd^t,u-24-1
sw2340A-ms98-a-0019,68.463000,68.557125,hit,I,sd^t,u-24-1
sw2340A-ms98-a-0019,68.712750,68.858500,again,I,sd^t,u-24-1
sw2340A-ms98-a-0019,68.858500,69.063875,just,I,sd^t,u-24-1
sw2340A-ms98-a-0019,69.063875,69.123875,in,I,sd^t,u-24-1
sw2340A-ms98-a-0019,69.123875,69.334750,case,I,sd^t,u-24-1
sw2340A-ms98-a-0021,71.169500,71.319250,i,B,sd^t,u-26-1
sw2340A-ms98-a-0021,71.319250,71.499500,did,I,sd^t,u-26-1
sw2340A-ms98-a-0021,71.499500,71.569500,it,I,sd^t,u-26-1
sw2340A-ms98-a-0021,71.569500,71.739500,right,I,sd^t,u-26-1
sw2340A-ms98-a-0021,71.739500,71.819500,as,I,sd^t,u-26-1
sw2340A-ms98-a-0021,71.819500,71.989500,she,I,sd^t,u-26-1
sw2340A-ms98-a-0021,71.989500,72.279500,said,I,sd^t,u-26-1
sw2340A-ms98-a-0021,72.279500,72.500625,yeah,O,,
sw2340A-ms98-a-0022,73.733625,74.123625,but,B,sd,u-26-3
sw2340A-ms98-a-0022,74.123625,74.660250,uh,I,sd,u-26-3
sw2340A-ms98-a-0022,74.822250,75.210125,she's,I,sd,u-26-3
sw2340A-ms98-a-0022,75.417250,75.653625,she's,B,+,u-28-1
sw2340A-ms98-a-0022,75.653625,75.823625,down,I,+,u-28-1
sw2340A-ms98-a-0022,75.823625,75.903625,in,I,+,u-28-1
sw2340A-ms98-a-0022,75.903625,76.123625,San,I,+,u-28-1
sw2340A-ms98-a-0022,76.123625,76.866375,Antonio,I,+,u-28-1
sw2340A-ms98-a-0022,76.866375,77.201625,it's,B,sd,u-30-1
sw2340A-ms98-a-0022,77.201625,77.479625,it's,I,sd,u-30-1
sw2340A-ms98-a-0022,77.479625,77.726875,a,I,sd,u-30-1
sw2340A-ms98-a-0022,77.726875,78.019875,uh,I,sd,u-30-1
sw2340A-ms98-a-0023,78.946000,79.106000,it's,I,sd,u-30-1
sw2340A-ms98-a-0023,79.106000,79.166000,a,I,sd,u-30-1
sw2340A-ms98-a-0023,79.166000,79.586000,brand,I,sd,u-30-1
sw2340A-ms98-a-0023,79.586000,79.746000,new,I,sd,u-30-1
sw2340A-ms98-a-0023,79.746000,79.896000,one,I,sd,u-30-1
sw2340A-ms98-a-0023,79.896000,80.056000,it's,B,sd,u-30-2
sw2340A-ms98-a-0023,80.056000,80.146000,a,I,sd,u-30-2
sw2340A-ms98-a-0023,80.146000,80.866000,Catholic,I,sd,u-30-2
sw2340A-ms98-a-0023,80.866000,81.382125,uh,I,sd,u-30-2
sw2340A-ms98-a-0024,82.144625,82.704625,retirement,I,sd,u-30-2
sw2340A-ms98-a-0024,82.704625,82.914625,home,I,sd,u-30-2
sw2340A-ms98-a-0024,82.914625,83.074625,for,I,sd,u-30-2
sw2340A-ms98-a-0024,83.074625,83.524625,nuns,I,sd,u-30-2
sw2340A-ms98-a-0024,83.524625,83.734625,it's,B,sd,u-30-3
sw2340A-ms98-a-0024,83.734625,84.114625,at,I,sd,u-30-3
sw2340A-ms98-a-0024,84.114625,84.334625,uh,I,sd,u-30-3
sw2340A-ms98-a-0024,84.504625,85.624625,Trinity,B,+,u-32-1
sw2340A-ms98-a-0024,85.624625,85.894625,no,B,ar,u-32-2
sw2340A-ms98-a-0024,85.894625,85.984625,let,B,^h,u-32-3
sw2340A-ms98-a-0024,85.984625,86.104625,me,I,^h,u-32-3
sw2340A-ms98-a-0024,86.104625,86.264625,see,I,^h,u-32-3
sw2340A-ms98-a-0024,86.264625,86.574625,Trinity,I,^h,u-32-3
sw2340A-ms98-a-0024,86.574625,86.664625,i,B,sd,u-32-4
sw2340A-ms98-a-0024,86.664625,86.814625,keep,I,sd,u-32-4
sw2340A-ms98-a-0024,86.814625,86.994625,calling,I,sd,u-32-4
sw2340A-ms98-a-0024,86.994625,87.064625,it,I,sd,u-32-4
sw2340A-ms98-a-0024,87.064625,87.184625,Trin[ity]-,O,,
sw2340A-ms98-a-0024,87.184625,87.274625,it's,B,ar,u-32-5
sw2340A-ms98-a-0024,87.274625,87.394625,not,I,ar,u-32-5
sw2340A-ms98-a-0024,87.394625,87.744625,Trinity,I,ar,u-32-5
sw2340A-ms98-a-0024,87.744625,87.854625,i'll,B,%,u-32-6
sw2340A-ms98-a-0024,87.854625,88.054625,think,I,%,u-32-6
sw2340A-ms98-a-0024,88.054625,88.114625,of,I,%,u-32-6
sw2340A-ms98-a-0025,88.778625,89.269375,Incarnate,B,sd,u-32-7
sw2340A-ms98-a-0025,89.269375,89.736375,Word,I,sd,u-32-7
sw2340A-ms98-a-0025,89.736375,89.878625,and,B,sd,u-32-8
sw2340A-ms98-a-0025,89.878625,89.978625,they,I,sd,u-32-8
sw2340A-ms98-a-0025,89.978625,90.128625,have,I,sd,u-32-8
sw2340A-ms98-a-0025,90.128625,90.198625,a,I,sd,u-32-8
sw2340A-ms98-a-0025,90.198625,90.738625,retirement,I,sd,u-32-8
sw2340A-ms98-a-0025,90.738625,90.958625,home,I,sd,u-32-8
sw2340A-ms98-a-0025,90.958625,91.088625,for,I,sd,u-32-8
sw2340A-ms98-a-0025,91.088625,91.178625,the,I,sd,u-32-8
sw2340A-ms98-a-0025,91.178625,91.518625,nuns,I,sd,u-32-8
sw2340A-ms98-a-0025,91.518625,91.608625,and,B,sd,u-34-1
sw2340A-ms98-a-0025,91.608625,91.688625,they,I,sd,u-34-1
sw2340A-ms98-a-0025,91.688625,91.948625,take,I,sd,u-34-1
sw2340A-ms98-a-0025,91.948625,92.258625,some,I,sd,u-34-1
sw2340A-ms98-a-0025,92.258625,92.438625,lay,I,sd,u-34-1
sw2340A-ms98-a-0025,92.438625,92.943625,people,I,sd,u-34-1
sw2340A-ms98-a-0026,94.548250,94.808250,yeah,B,aa,u-36-1
sw2340A-ms98-a-0026,94.808250,94.908250,and,B,sd,u-36-2
sw2340A-ms98-a-0026,94.908250,95.098250,that,I,sd,u-36-2
sw2340A-ms98-a-0026,95.098250,95.298250,one's,I,sd,u-36-2
sw2340A-ms98-a-0026,95.298250,95.718250,really,I,sd,u-36-2
sw2340A-ms98-a-0026,95.718250,96.148250,super,I,sd,u-36-2
sw2340A-ms98-a-0026,96.148250,96.268250,now,B,sd,u-36-3
sw2340A-ms98-a-0026,96.268250,96.828250,i-,I,sd,u-36-3
sw2340A-ms98-a-0026,96.828250,97.068250,i,I,sd,u-36-3
sw2340A-ms98-a-0026,97.068250,97.268250,know,I,sd,u-36-3
sw2340A-ms98-a-0026,97.268250,97.508250,what,I,sd,u-36-3
sw2340A-ms98-a-0026,97.508250,97.628250,they're,I,sd,u-36-3
sw2340A-ms98-a-0026,97.628250,98.078250,talking,I,sd,u-36-3
sw2340A-ms98-a-0026,98.078250,98.398250,about,I,sd,u-36-3
sw2340A-ms98-a-0026,98.398250,98.798250,on,I,sd,u-36-3
sw2340A-ms98-a-0026,98.798250,99.178250,regular,I,sd,u-36-3
sw2340A-ms98-a-0026,99.178250,99.658250,retirement,I,sd,u-36-3
sw2340A-ms98-a-0026,99.658250,99.718250,yeah,B,%,u-36-4
sw2340A-ms98-a-0026,99.718250,99.858250,there's,B,%,u-36-5
sw2340A-ms98-a-0026,99.858250,100.088250,not,I,%,u-36-5
sw2340A-ms98-a-0026,100.088250,100.228250,too,I,%,u-36-5
sw2340A-ms98-a-0026,100.228250,100.661625,many,I,%,u-36-5
sw2340A-ms98-a-0026,101.207750,101.338250,they,B,sd,u-36-6
sw2340A-ms98-a-0026,101.338250,101.458250,do,I,sd,u-36-6
sw2340A-ms98-a-0026,101.458250,101.558250,have,I,sd,u-36-6
sw2340A-ms98-a-0026,101.558250,101.628250,a,I,sd,u-36-6
sw2340A-ms98-a-0026,101.628250,102.258000,wing,I,sd,u-36-6
sw2340A-ms98-a-0026,102.653500,102.918250,where,I,sd,u-36-6
sw2340A-ms98-a-0026,102.918250,102.998250,the,I,sd,u-36-6
sw2340A-ms98-a-0026,102.998250,103.408250,people,I,sd,u-36-6
sw2340A-ms98-a-0026,103.408250,103.558250,who,I,sd,u-36-6
sw2340A-ms98-a-0026,103.558250,103.718250,are,I,sd,u-36-6
sw2340A-ms98-a-0026,103.718250,104.018250,really,I,sd,u-36-6
sw2340A-ms98-a-0026,104.018250,104.508250,sick,I,sd,u-36-6
sw2340A-ms98-a-0026,104.508250,104.618250,you,I,sd,u-36-6
sw2340A-ms98-a-0026,104.618250,104.788250,know,I,sd,u-36-6
sw2340A-ms98-a-0026,104.788250,105.018250,have,B,+,u-38-1
sw2340A-ms98-a-0026,105.018250,105.696750,nurses,I,+,u-38-1
sw2340A-ms98-a-0027,106.302875,106.462875,and,B,sd,u-40-1
sw2340A-ms98-a-0027,106.462875,106.592875,then,I,sd,u-40-1
sw2340A-ms98-a-0027,106.592875,106.692875,they,I,sd,u-40-1
sw2340A-ms98-a-0027,106.692875,106.842875,have,I,sd,u-40-1
sw2340A-ms98-a-0027,106.842875,107.092875,other,I,sd,u-40-1
sw2340A-ms98-a-0027,107.092875,107.532875,wings,I,sd,u-40-1
sw2340A-ms98-a-0027,107.532875,107.692875,that,I,sd,u-40-1
sw2340A-ms98-a-0027,107.692875,107.812875,we,I,sd,u-40-1
sw2340A-ms98-a-0027,107.812875,108.402875,visited,I,sd,u-40-1
sw2340A-ms98-a-0027,108.402875,108.913125,uh,I,sd,u-40-1
sw2340A-ms98-a-0027,109.206875,109.412875,that,I,sd,u-40-1
sw2340A-ms98-a-0027,109.412875,109.512875,are,I,sd,u-40-1
sw2340A-ms98-a-0027,109.512875,109.722875,very,I,sd,u-40-1
sw2340A-ms98-a-0027,109.722875,110.112875,nice,I,sd,u-40-1
sw2340A-ms98-a-0027,110.112875,110.152875,i,B,sd,u-40-2
sw2340A-ms98-a-0027,110.152875,110.312875,mean,I,sd,u-40-2
sw2340A-ms98-a-0027,110.312875,110.412875,it's,I,sd,u-40-2
sw2340A-ms98-a-0027,110.412875,110.562875,just,I,sd,u-40-2
sw2340A-ms98-a-0027,110.562875,110.882875,super,I,sd,u-40-2
sw2340A-ms98-a-0029,115.039625,115.219625,oh,B,ny,u-42-1
sw2340A-ms98-a-0029,115.219625,115.469625,yeah,I,ny,u-42-1
sw2340A-ms98-a-0029,115.469625,115.649625,they,B,sd^e,u-42-2
sw2340A-ms98-a-0029,115.649625,115.789625,they,I,sd^e,u-42-2
sw2340A-ms98-a-0029,115.789625,115.859625,they,I,sd^e,u-42-2
sw2340A-ms98-a-0029,115.859625,116.299625,have,I,sd^e,u-42-2
sw2340A-ms98-a-0029,116.299625,116.701875,uh,I,sd^e,u-42-2
sw2340A-ms98-a-0029,117.108625,117.409625,like,I,sd^e,u-42-2
sw2340A-ms98-a-0029,117.409625,117.619625,uh,I,sd^e,u-42-2
sw2340A-ms98-a-0029,117.619625,117.679625,a,I,sd^e,u-42-2
sw2340A-ms98-a-0029,117.679625,118.499625,guard,I,sd^e,u-42-2
sw2340A-ms98-a-0029,118.499625,118.679625,with,I,sd^e,u-42-2
sw2340A-ms98-a-0029,118.679625,119.289625,locks,I,sd^e,u-42-2
sw2340A-ms98-a-0029,119.289625,119.509625,we've,B,sd,u-42-3
sw2340A-ms98-a-0029,119.509625,119.699625,been,I,sd,u-42-3
sw2340A-ms98-a-0029,119.699625,119.859625,there,I,sd,u-42-3
sw2340A-ms98-a-0029,119.859625,120.159625,once,I,sd,u-42-3
sw2340A-ms98-a-0029,120.159625,120.239625,at,I,sd,u-42-3
sw2340A-ms98-a-0029,120.239625,120.509625,night,I,sd,u-42-3
sw2340A-ms98-a-0029,120.509625,120.599625,at,I,sd,u-42-3
sw2340A-ms98-a-0029,120.599625,121.129625,Christmas,I,sd,u-42-3
sw2340A-ms98-a-0029,121.129625,121.249625,she,B,sd,u-42-4
sw2340A-ms98-a-0029,121.249625,121.459625,just,I,sd,u-42-4
sw2340A-ms98-a-0029,121.459625,121.579625,went,I,sd,u-42-4
sw2340A-ms98-a-0029,121.579625,121.679625,in,I,sd,u-42-4
sw2340A-ms98-a-0029,121.679625,121.959625,last,I,sd,u-42-4
sw2340A-ms98-a-0029,121.959625,122.214000,year,I,sd,u-42-4
sw2340A-ms98-a-0030,123.094125,123.234125,she,B,sd,u-44-1
sw2340A-ms98-a-0030,123.234125,123.534125,drives,I,sd,u-44-1
sw2340A-ms98-a-0030,123.534125,123.624125,and,I,sd,u-44-1
sw2340A-ms98-a-0030,123.624125,123.994125,everything,I,sd,u-44-1
sw2340A-ms98-a-0030,123.994125,124.114125,she,B,sd,u-44-2
