sw2309B-ms98-a-0002,2.336750,2.746750,never,B,ng,u-2-1
sw2309B-ms98-a-0008,41.099625,41.529625,too,I,sv,u-8-3
sw2309B-ms98-a-0008,41.529625,41.869625,easily,I,sv,u-8-3
sw2309B-ms98-a-0008,41.869625,42.169625,swayed,I,sv,u-8-3
sw2309B-ms98-a-0008,42.169625,42.279625,by,I,sv,u-8-3
sw2309B-ms98-a-0008,42.279625,42.419625,their,I,sv,u-8-3
sw2309B-ms98-a-0008,42.419625,42.889625,emotion,I,sv,u-8-3
sw2309B-ms98-a-0009,43.763875,44.093875,hence,B,sv,u-10-1
sw2309B-ms98-a-0009,44.093875,44.233875,is,I,sv,u-10-1
sw2309B-ms98-a-0009,44.233875,44.773875,possible,I,sv,u-10-1
sw2309B-ms98-a-0009,44.773875,45.043875,error,I,sv,u-10-1
sw2309B-ms98-a-0009,45.043875,45.183875,as,I,sv,u-10-1
sw2309B-ms98-a-0009,45.183875,45.273875,you,I,sv,u-10-1
sw2309B-ms98-a-0009,45.273875,45.413875,can,I,sv,u-10-1
sw2309B-ms98-a-0009,45.413875,45.593875,see,I,sv,u-10-1
sw2309B-ms98-a-0009,45.593875,45.695375,in,I,sv,u-10-1
sw2309B-ms98-a-0009,45.695375,45.812125,all,I,sv,u-10-1
sw2309B-ms98-a-0009,45.812125,45.963875,the,I,sv,u-10-1
sw2309B-ms98-a-0009,45.963875,46.623875,ironsides,I,sv,u-10-1
sw2309B-ms98-a-0010,47.621625,47.931625,TV,O,,
sw2309B-ms98-a-0010,47.931625,48.361625,shows,B,+,u-12-1
sw2309B-ms98-a-0012,52.607625,53.067625,no,B,nn,u-14-1
sw2309B-ms98-a-0012,53.067625,53.187625,i,B,sv^e,u-14-2
sw2309B-ms98-a-0012,53.187625,53.387625,think,I,sv^e,u-14-2
sw2309B-ms98-a-0012,53.387625,53.477625,there,I,sv^e,u-14-2
sw2309B-ms98-a-0012,53.477625,53.537625,are,I,sv^e,u-14-2
sw2309B-ms98-a-0012,53.537625,53.837625,certain,I,sv^e,u-14-2
sw2309B-ms98-a-0012,53.837625,54.197625,things,I,sv^e,u-14-2
sw2309B-ms98-a-0012,54.197625,54.630875,that,I,sv^e,u-14-2
sw2309B-ms98-a-0012,55.227625,55.597625,uh,I,sv^e,u-14-2
sw2309B-ms98-a-0012,56.091750,56.219875,the,I,sv^e,u-14-2
sw2309B-ms98-a-0012,56.219875,56.507625,jury,I,sv^e,u-14-2
sw2309B-ms98-a-0012,56.507625,56.657625,can,I,sv^e,u-14-2
sw2309B-ms98-a-0012,56.657625,57.077625,determine,I,sv^e,u-14-2
sw2309B-ms98-a-0012,57.077625,57.167625,as,I,sv^e,u-14-2
sw2309B-ms98-a-0012,57.167625,57.437625,far,I,sv^e,u-14-2
sw2309B-ms98-a-0012,57.437625,57.713375,as,I,sv^e,u-14-2
sw2309B-ms98-a-0012,58.236875,58.387625,uh,I,sv^e,u-14-2
sw2309B-ms98-a-0012,58.387625,58.787625,guilty,I,sv^e,u-14-2
sw2309B-ms98-a-0012,58.787625,58.857625,or,I,sv^e,u-14-2
sw2309B-ms98-a-0012,58.857625,59.117625,not,I,sv^e,u-14-2
sw2309B-ms98-a-0012,59.117625,59.580250,guilty,I,sv^e,u-14-2
sw2309B-ms98-a-0012,59.896625,59.997625,but,B,sv,u-14-3
sw2309B-ms98-a-0012,59.997625,60.077625,as,I,sv,u-14-3
sw2309B-ms98-a-0012,60.077625,60.267250,far,I,sv,u-14-3
sw2309B-ms98-a-0012,60.267250,60.347875,as,I,sv,u-14-3
sw2309B-ms98-a-0012,60.347875,60.577625,the,I,sv,u-14-3
sw2309B-ms98-a-0012,60.577625,60.897625,aff[ixing]-,I,sv,u-14-3
sw2309B-ms98-a-0012,61.007625,61.177625,aff[ixing]-,I,sv,u-14-3
sw2309B-ms98-a-0012,61.177625,61.627625,affixing,I,sv,u-14-3
sw2309B-ms98-a-0012,61.627625,61.857625,of,I,sv,u-14-3
sw2309B-ms98-a-0012,61.857625,62.635625,punishment,I,sv,u-14-3
sw2309B-ms98-a-0012,63.184750,63.397625,and,I,sv,u-14-3
sw2309B-ms98-a-0012,63.397625,63.817625,fines,I,sv,u-14-3
sw2309B-ms98-a-0012,63.817625,63.917625,and,I,sv,u-14-3
sw2309B-ms98-a-0012,63.917625,64.127625,things,I,sv,u-14-3
sw2309B-ms98-a-0012,64.127625,64.217625,of,I,sv,u-14-3
sw2309B-ms98-a-0012,64.217625,64.377625,that,I,sv,u-14-3
sw2309B-ms98-a-0012,64.377625,64.807625,nature,I,sv,u-14-3
sw2309B-ms98-a-0013,65.682500,65.799375,i,I,sv,u-14-3
sw2309B-ms98-a-0013,65.799375,65.917000,don't,I,sv,u-14-3
sw2309B-ms98-a-0013,65.917000,66.017000,know,I,sv,u-14-3
sw2309B-ms98-a-0013,66.017000,66.127000,if,I,sv,u-14-3
sw2309B-ms98-a-0013,66.127000,66.387000,that,I,sv,u-14-3
sw2309B-ms98-a-0013,66.387000,66.677000,is,I,sv,u-14-3
sw2309B-ms98-a-0013,66.677000,67.057000,best,I,sv,u-14-3
sw2309B-ms98-a-0013,67.057000,67.397000,left,I,sv,u-14-3
sw2309B-ms98-a-0013,67.397000,67.587000,up,I,sv,u-14-3
sw2309B-ms98-a-0013,67.587000,67.747000,to,I,sv,u-14-3
sw2309B-ms98-a-0013,67.747000,67.827000,the,I,sv,u-14-3
sw2309B-ms98-a-0013,67.827000,68.187000,jury,I,sv,u-14-3
sw2309B-ms98-a-0013,68.187000,68.307000,to,I,sv,u-14-3
sw2309B-ms98-a-0013,68.307000,68.517000,de[cide]-,I,sv,u-14-3
sw2309B-ms98-a-0013,68.517000,68.724625,to,I,sv,u-14-3
sw2309B-ms98-a-0013,68.724625,69.047000,award,I,sv,u-14-3
sw2309B-ms98-a-0013,69.047000,69.127000,you,I,sv,u-14-3
sw2309B-ms98-a-0013,69.127000,69.267000,know,I,sv,u-14-3
sw2309B-ms98-a-0013,69.267000,69.507000,two,B,sv,u-14-4
sw2309B-ms98-a-0013,69.507000,69.807000,point,I,sv,u-14-4
sw2309B-ms98-a-0013,69.807000,69.957000,two,I,sv,u-14-4
sw2309B-ms98-a-0013,69.957000,70.327000,million,I,sv,u-14-4
sw2309B-ms98-a-0013,70.327000,70.737000,dollar,I,sv,u-14-4
sw2309B-ms98-a-0013,71.317000,71.557000,kind,I,sv,u-14-4
sw2309B-ms98-a-0013,71.557000,71.637000,of,I,sv,u-14-4
sw2309B-ms98-a-0013,71.637000,72.127000,settlement,I,sv,u-14-4
sw2309B-ms98-a-0013,72.127000,72.497000,versus,I,sv,u-14-4
sw2309B-ms98-a-0013,72.497000,72.587000,a,I,sv,u-14-4
sw2309B-ms98-a-0013,72.587000,72.947000,judge,I,sv,u-14-4
sw2309B-ms98-a-0013,72.947000,73.363625,knowing,I,sv,u-14-4
sw2309B-ms98-a-0013,74.071750,74.157000,you,I,sv,u-14-4
sw2309B-ms98-a-0013,74.157000,74.388750,know,I,sv,u-14-4
sw2309B-ms98-a-0013,74.388750,74.605375,it,I,sv,u-14-4
sw2309B-ms98-a-0013,74.605375,74.856375,it's,I,sv,u-14-4
sw2309B-ms98-a-0013,74.856375,75.127000,true,I,sv,u-14-4
sw2309B-ms98-a-0013,75.127000,75.327000,that,I,sv,u-14-4
sw2309B-ms98-a-0013,75.327000,75.437000,you,I,sv,u-14-4
sw2309B-ms98-a-0013,75.437000,75.547000,know,I,sv,u-14-4
sw2309B-ms98-a-0013,75.547000,75.707000,this,I,sv,u-14-4
sw2309B-ms98-a-0013,75.707000,75.817000,may,I,sv,u-14-4
sw2309B-ms98-a-0013,75.817000,75.937000,be,I,sv,u-14-4
sw2309B-ms98-a-0013,75.937000,76.267000,sad,I,sv,u-14-4
sw2309B-ms98-a-0013,76.267000,76.357000,and,I,sv,u-14-4
sw2309B-ms98-a-0013,76.357000,76.467000,all,I,sv,u-14-4
sw2309B-ms98-a-0013,76.467000,76.627000,that,I,sv,u-14-4
sw2309B-ms98-a-0013,76.627000,76.837000,thing,I,sv,u-14-4
sw2309B-ms98-a-0013,76.837000,77.157000,but,B,sv,u-14-5
sw2309B-ms98-a-0013,77.157000,77.377000,uh,I,sv,u-14-5
sw2309B-ms98-a-0014,77.920750,78.010750,the,I,sv,u-14-5
sw2309B-ms98-a-0014,78.010750,78.300750,jury,I,sv,u-14-5
sw2309B-ms98-a-0014,78.300750,78.410750,i,I,sv,u-14-5
sw2309B-ms98-a-0014,78.410750,78.630750,think,I,sv,u-14-5
sw2309B-ms98-a-0014,78.630750,78.730750,is,I,sv,u-14-5
sw2309B-ms98-a-0014,78.730750,79.218000,best,I,sv,u-14-5
sw2309B-ms98-a-0014,79.688875,79.810750,in,I,sv,u-14-5
sw2309B-ms98-a-0014,79.810750,80.130750,most,I,sv,u-14-5
sw2309B-ms98-a-0014,80.130750,80.520750,cases,I,sv,u-14-5
sw2309B-ms98-a-0014,80.520750,80.840750,suited,I,sv,u-14-5
sw2309B-ms98-a-0014,80.840750,81.130750,for,I,sv,u-14-5
sw2309B-ms98-a-0014,81.130750,81.780750,determination,I,sv,u-14-5
sw2309B-ms98-a-0014,81.780750,81.900750,of,I,sv,u-14-5
sw2309B-ms98-a-0014,81.900750,82.180750,guilt,I,sv,u-14-5
sw2309B-ms98-a-0014,82.180750,82.290750,and,I,sv,u-14-5
sw2309B-ms98-a-0014,82.290750,82.730750,innocence,I,sv,u-14-5
sw2309B-ms98-a-0014,82.730750,82.914625,but,I,sv,u-14-5
sw2309B-ms98-a-0014,82.914625,83.076625,not,I,sv,u-14-5
sw2309B-ms98-a-0014,83.076625,83.230750,the,I,sv,u-14-5
sw2309B-ms98-a-0014,83.230750,83.560750,award,I,sv,u-14-5
sw2309B-ms98-a-0014,83.560750,83.620750,of,I,sv,u-14-5
sw2309B-ms98-a-0014,83.950750,84.160750,of,I,sv,u-14-5
sw2309B-ms98-a-0014,84.640750,85.210750,penalties,I,sv,u-14-5
sw2309B-ms98-a-0014,85.210750,85.340750,and,I,sv,u-14-5
sw2309B-ms98-a-0014,85.340750,85.800750,fines,I,sv,u-14-5
sw2309B-ms98-a-0014,85.800750,86.000750,and,I,sv,u-14-5
sw2309B-ms98-a-0014,86.160750,86.700750,punishment,I,sv,u-14-5
sw2309B-ms98-a-0016,95.267250,95.747250,um-hum,B,aa,u-16-1
sw2309B-ms98-a-0017,96.605250,96.825250,that's,B,aa,u-16-2
sw2309B-ms98-a-0017,96.825250,97.137625,true,I,aa,u-16-2
sw2309B-ms98-a-0017,97.518000,97.915250,but,B,sv,u-16-3
sw2309B-ms98-a-0017,97.915250,98.075250,uh,I,sv,u-16-3
sw2309B-ms98-a-0017,98.075250,98.175250,i,I,sv,u-16-3
sw2309B-ms98-a-0017,98.175250,98.395250,do,I,sv,u-16-3
sw2309B-ms98-a-0017,98.395250,98.645250,like,I,sv,u-16-3
sw2309B-ms98-a-0017,98.645250,98.765250,the,I,sv,u-16-3
sw2309B-ms98-a-0017,98.765250,99.375250,idea,I,sv,u-16-3
sw2309B-ms98-a-0017,99.375250,99.615250,of,I,sv,u-16-3
sw2309B-ms98-a-0017,99.615250,99.725250,the,I,sv,u-16-3
sw2309B-ms98-a-0017,99.725250,100.105250,jury,I,sv,u-16-3
sw2309B-ms98-a-0017,100.105250,100.335250,being,I,sv,u-16-3
sw2309B-ms98-a-0017,100.335250,100.535250,the,I,sv,u-16-3
sw2309B-ms98-a-0017,100.535250,100.752125,the,I,sv,u-16-3
sw2309B-ms98-a-0017,100.886375,100.988125,the,I,sv,u-16-3
sw2309B-ms98-a-0017,100.988125,101.265250,people,I,sv,u-16-3
sw2309B-ms98-a-0017,101.265250,101.355250,who,I,sv,u-16-3
sw2309B-ms98-a-0017,101.355250,102.019750,decide,I,sv,u-16-3
sw2309B-ms98-a-0017,102.584750,102.755250,in,I,sv,u-16-3
sw2309B-ms98-a-0017,102.755250,102.815250,the,I,sv,u-16-3
sw2309B-ms98-a-0017,102.815250,103.155250,matter,I,sv,u-16-3
sw2309B-ms98-a-0017,103.155250,103.395250,of,I,sv,u-16-3
sw2309B-ms98-a-0017,103.395250,103.633000,uh,I,sv,u-16-3
sw2309B-ms98-a-0017,103.795000,103.965250,if,I,sv,u-16-3
sw2309B-ms98-a-0017,103.965250,104.125250,it's,I,sv,u-16-3
sw2309B-ms98-a-0017,104.125250,104.305250,a,I,sv,u-16-3
sw2309B-ms98-a-0017,104.305250,104.615250,jail,I,sv,u-16-3
sw2309B-ms98-a-0017,104.615250,104.975250,term,I,sv,u-16-3
sw2309B-ms98-a-0017,104.975250,105.605250,versus,I,sv,u-16-3
sw2309B-ms98-a-0017,105.755250,106.025250,life,I,sv,u-16-3
sw2309B-ms98-a-0017,106.025250,106.155250,and,I,sv,u-16-3
sw2309B-ms98-a-0017,106.155250,106.455250,death,I,sv,u-16-3
sw2309B-ms98-a-0018,107.061375,107.131375,you,B,+,u-18-1
sw2309B-ms98-a-0018,107.131375,107.251375,know,I,+,u-18-1
sw2309B-ms98-a-0018,107.251375,107.361375,the,I,+,u-18-1
sw2309B-ms98-a-0018,107.361375,107.601375,death,I,+,u-18-1
sw2309B-ms98-a-0018,107.601375,107.981375,penalty,I,+,u-18-1
sw2309B-ms98-a-0018,107.981375,108.111375,and,I,+,u-18-1
sw2309B-ms98-a-0018,108.111375,108.481375,such,I,+,u-18-1
sw2309B-ms98-a-0020,116.338125,116.777875,uh-huh,B,b,u-20-1
sw2309B-ms98-a-0022,123.060750,123.370750,right,B,b,u-22-1
sw2309B-ms98-a-0024,125.331750,125.674625,yeah,B,b,u-24-1
sw2309B-ms98-a-0024,125.845000,126.001750,uh,B,sv,u-24-2
sw2309B-ms98-a-0024,126.001750,126.081750,it,I,sv,u-24-2
sw2309B-ms98-a-0024,126.081750,126.261750,it,I,sv,u-24-2
sw2309B-ms98-a-0024,126.261750,126.501750,it's,I,sv,u-24-2
sw2309B-ms98-a-0024,126.501750,126.761750,kind,I,sv,u-24-2
sw2309B-ms98-a-0024,126.761750,126.891750,of,I,sv,u-24-2
sw2309B-ms98-a-0024,126.891750,127.411750,difficult,I,sv,u-24-2
sw2309B-ms98-a-0024,127.411750,127.531750,and,B,sv,u-24-3
sw2309B-ms98-a-0024,127.531750,127.611750,i,I,sv,u-24-3
sw2309B-ms98-a-0024,127.611750,127.821750,guess,I,sv,u-24-3
sw2309B-ms98-a-0024,127.821750,127.881750,the,I,sv,u-24-3
sw2309B-ms98-a-0024,127.881750,128.031750,whole,I,sv,u-24-3
sw2309B-ms98-a-0024,128.031750,128.321750,system,I,sv,u-24-3
sw2309B-ms98-a-0024,128.321750,128.411750,is,I,sv,u-24-3
sw2309B-ms98-a-0024,128.411750,128.581750,set,I,sv,u-24-3
sw2309B-ms98-a-0024,128.581750,128.781750,up,I,sv,u-24-3
sw2309B-ms98-a-0024,128.781750,129.031125,to,I,sv,u-24-3
sw2309B-ms98-a-0024,129.599875,129.911750,rather,I,sv,u-24-3
sw2309B-ms98-a-0024,129.911750,130.131750,let,I,sv,u-24-3
sw2309B-ms98-a-0024,130.211750,130.361750,uh,I,sv,u-24-3
sw2309B-ms98-a-0024,130.361750,130.551750,some,I,sv,u-24-3
sw2309B-ms98-a-0024,130.551750,130.811750,guilty,I,sv,u-24-3
sw2309B-ms98-a-0024,130.811750,131.141750,people,I,sv,u-24-3
sw2309B-ms98-a-0024,131.141750,131.351750,go,I,sv,u-24-3
sw2309B-ms98-a-0024,131.351750,131.711750,free,I,sv,u-24-3
sw2309B-ms98-a-0024,131.711750,131.961750,than,I,sv,u-24-3
sw2309B-ms98-a-0024,131.961750,132.101750,to,I,sv,u-24-3
sw2309B-ms98-a-0024,132.101750,132.301750,put,I,sv,u-24-3
sw2309B-ms98-a-0024,132.301750,132.421750,an,I,sv,u-24-3
sw2309B-ms98-a-0024,132.421750,132.761750,innocent,I,sv,u-24-3
sw2309B-ms98-a-0024,132.761750,133.141750,person,I,sv,u-24-3
sw2309B-ms98-a-0024,133.141750,133.357750,in,I,sv,u-24-3
sw2309B-ms98-a-0024,133.775875,133.931750,in,I,sv,u-24-3
sw2309B-ms98-a-0024,133.931750,134.411750,jail,I,sv,u-24-3
sw2309B-ms98-a-0025,135.103500,135.303500,although,B,+,u-26-1
sw2309B-ms98-a-0025,135.303500,135.443500,you,I,+,u-26-1
sw2309B-ms98-a-0025,135.443500,135.733500,still,I,+,u-26-1
sw2309B-ms98-a-0025,135.733500,135.913500,hear,I,+,u-26-1
sw2309B-ms98-a-0025,135.913500,136.183500,about,I,+,u-26-1
sw2309B-ms98-a-0025,136.183500,136.333500,those,I,+,u-26-1
sw2309B-ms98-a-0025,136.333500,136.943500,occasionally,I,+,u-26-1
sw2309B-ms98-a-0027,141.864625,142.729875,um,B,no,u-28-1
sw2309B-ms98-a-0027,143.071375,143.214625,i,I,no,u-28-1
sw2309B-ms98-a-0027,143.214625,143.394625,don't,I,no,u-28-1
sw2309B-ms98-a-0027,143.394625,143.789500,know,I,no,u-28-1
sw2309B-ms98-a-0027,144.158625,144.284625,i,B,sd,u-28-2
sw2309B-ms98-a-0027,144.284625,144.494625,you,I,sd,u-28-2
sw2309B-ms98-a-0027,144.494625,144.604625,know,I,sd,u-28-2
sw2309B-ms98-a-0027,144.604625,144.734625,i,I,sd,u-28-2
sw2309B-ms98-a-0027,144.734625,144.914625,heard,I,sd,u-28-2
sw2309B-ms98-a-0027,144.914625,144.944625,a,I,sd,u-28-2
sw2309B-ms98-a-0027,144.944625,145.244625,very,I,sd,u-28-2
sw2309B-ms98-a-0027,145.244625,145.901875,interesting,I,sd,u-28-2
sw2309B-ms98-a-0027,146.331250,146.544625,and,B,h,u-28-3
sw2309B-ms98-a-0027,146.544625,146.754625,maybe,I,h,u-28-3
sw2309B-ms98-a-0027,146.754625,146.864625,it's,I,h,u-28-3
sw2309B-ms98-a-0027,146.864625,147.004625,just,I,h,u-28-3
sw2309B-ms98-a-0027,147.004625,147.064625,the,I,h,u-28-3
sw2309B-ms98-a-0027,147.064625,147.364625,TV,I,h,u-28-3
sw2309B-ms98-a-0027,147.364625,147.554625,show,I,h,u-28-3
sw2309B-ms98-a-0027,147.554625,147.654625,or,I,h,u-28-3
sw2309B-ms98-a-0027,147.654625,147.914625,movie,I,h,u-28-3
sw2309B-ms98-a-0027,147.914625,147.944625,i,I,h,u-28-3
sw2309B-ms98-a-0027,147.944625,148.054625,was,I,h,u-28-3
sw2309B-ms98-a-0027,148.054625,148.488250,watching,I,h,u-28-3
sw2309B-ms98-a-0027,148.872375,148.984625,they,B,sd,u-28-4
sw2309B-ms98-a-0027,148.984625,149.064625,were,I,sd,u-28-4
sw2309B-ms98-a-0027,149.064625,149.274625,going,I,sd,u-28-4
sw2309B-ms98-a-0027,149.274625,149.444625,through,I,sd,u-28-4
sw2309B-ms98-a-0027,149.444625,149.687375,a,I,sd,u-28-4
sw2309B-ms98-a-0027,149.795250,150.344625,trial,I,sd,u-28-4
sw2309B-ms98-a-0028,150.790125,150.900125,and,B,sv,u-28-5
sw2309B-ms98-a-0028,150.900125,150.930125,i,I,sv,u-28-5
sw2309B-ms98-a-0028,150.930125,151.110125,think,I,sv,u-28-5
sw2309B-ms98-a-0028,151.110125,151.170125,it,I,sv,u-28-5
sw2309B-ms98-a-0028,151.170125,151.280125,was,I,sv,u-28-5
sw2309B-ms98-a-0028,151.280125,151.460125,like,I,sv,u-28-5
sw2309B-ms98-a-0028,151.460125,151.830125,on,I,sv,u-28-5
sw2309B-ms98-a-0028,151.960125,152.140125,one,I,sv,u-28-5
sw2309B-ms98-a-0028,152.140125,152.220125,of,I,sv,u-28-5
sw2309B-ms98-a-0028,152.220125,152.360125,the,I,sv,u-28-5
