sw3663A-ms98-a-0002,1.102500,1.598750,yeah,B,b,u-2-1
sw3663A-ms98-a-0005,19.097125,19.187125,know,I,sd,u-4-5
sw3663A-ms98-a-0005,19.187125,19.327125,it'd,I,sd,u-4-5
sw3663A-ms98-a-0005,19.327125,19.447125,be,I,sd,u-4-5
sw3663A-ms98-a-0005,19.447125,19.787125,maybe,I,sd,u-4-5
sw3663A-ms98-a-0005,19.787125,20.409375,October,I,sd,u-4-5
sw3663A-ms98-a-0005,20.872625,21.037125,and,I,sd,u-4-5
sw3663A-ms98-a-0005,21.037125,21.157125,then,I,sd,u-4-5
sw3663A-ms98-a-0005,21.157125,21.237125,in,I,sd,u-4-5
sw3663A-ms98-a-0005,21.237125,21.317125,the,I,sd,u-4-5
sw3663A-ms98-a-0005,21.317125,21.856125,spring,I,sd,u-4-5
sw3663A-ms98-a-0005,22.048125,22.277125,and,B,sd,u-4-6
sw3663A-ms98-a-0005,22.277125,22.527125,then,I,sd,u-4-6
sw3663A-ms98-a-0005,22.527125,22.667125,other,I,sd,u-4-6
sw3663A-ms98-a-0005,22.667125,22.837125,than,I,sd,u-4-6
sw3663A-ms98-a-0005,22.837125,23.087125,that,I,sd,u-4-6
sw3663A-ms98-a-0005,23.087125,23.197125,there,I,sd,u-4-6
sw3663A-ms98-a-0005,23.197125,23.427125,wouldn't,I,sd,u-4-6
sw3663A-ms98-a-0005,23.427125,23.527125,be,I,sd,u-4-6
sw3663A-ms98-a-0005,23.527125,23.687125,any,I,sd,u-4-6
sw3663A-ms98-a-0005,23.687125,24.017125,rain,I,sd,u-4-6
sw3663A-ms98-a-0006,24.909375,25.309375,so,B,+,u-6-1
sw3663A-ms98-a-0007,26.687375,27.183375,yeah,B,aa,u-8-1
sw3663A-ms98-a-0007,27.719875,28.291125,yeah,B,aa,u-8-2
sw3663A-ms98-a-0008,29.776375,30.311625,yeah,B,ny,u-10-1
sw3663A-ms98-a-0008,30.311625,30.461625,there,B,sd^e,u-10-2
sw3663A-ms98-a-0008,30.461625,31.029750,has,I,sd^e,u-10-2
sw3663A-ms98-a-0009,32.046500,32.286500,so,B,sd,u-10-3
sw3663A-ms98-a-0009,32.286500,32.866500,here,I,sd,u-10-3
sw3663A-ms98-a-0009,32.866500,32.976500,i,I,sd,u-10-3
sw3663A-ms98-a-0009,32.976500,33.206500,know,I,sd,u-10-3
sw3663A-ms98-a-0009,33.206500,33.666500,that,I,sd,u-10-3
sw3663A-ms98-a-0009,33.666500,34.302625,um,I,sd,u-10-3
sw3663A-ms98-a-0009,34.302625,34.686500,last,I,sd,u-10-3
sw3663A-ms98-a-0009,34.686500,34.806500,year,I,sd,u-10-3
sw3663A-ms98-a-0009,34.806500,34.916500,there,I,sd,u-10-3
sw3663A-ms98-a-0009,34.916500,35.046500,was,I,sd,u-10-3
sw3663A-ms98-a-0009,35.046500,35.206500,some,I,sd,u-10-3
sw3663A-ms98-a-0009,35.206500,35.396500,ice,I,sd,u-10-3
sw3663A-ms98-a-0009,35.396500,35.806500,storms,I,sd,u-10-3
sw3663A-ms98-a-0009,35.806500,35.956500,while,I,sd,u-10-3
sw3663A-ms98-a-0009,35.956500,36.046500,i,I,sd,u-10-3
sw3663A-ms98-a-0009,36.046500,36.226500,was,I,sd,u-10-3
sw3663A-ms98-a-0009,36.226500,36.366500,out,I,sd,u-10-3
sw3663A-ms98-a-0009,36.366500,36.446500,of,I,sd,u-10-3
sw3663A-ms98-a-0009,36.446500,36.526500,the,I,sd,u-10-3
sw3663A-ms98-a-0009,36.526500,37.164250,state,I,sd,u-10-3
sw3663A-ms98-a-0009,37.367625,37.796500,and,B,sd,u-10-4
sw3663A-ms98-a-0009,37.796500,37.926500,i'm,I,sd,u-10-4
sw3663A-ms98-a-0009,37.926500,38.156500,glad,I,sd,u-10-4
sw3663A-ms98-a-0009,38.156500,38.226500,to,I,sd,u-10-4
sw3663A-ms98-a-0009,38.226500,38.386500,see,I,sd,u-10-4
sw3663A-ms98-a-0009,38.386500,38.516500,there,I,sd,u-10-4
sw3663A-ms98-a-0009,38.516500,38.726500,haven't,I,sd,u-10-4
sw3663A-ms98-a-0009,38.726500,38.856500,been,I,sd,u-10-4
sw3663A-ms98-a-0009,38.856500,39.066500,any,I,sd,u-10-4
sw3663A-ms98-a-0009,39.066500,39.316500,this,I,sd,u-10-4
sw3663A-ms98-a-0009,39.316500,39.571500,year,I,sd,u-10-4
sw3663A-ms98-a-0010,40.450250,40.736750,yeah,B,aa,u-12-1
sw3663A-ms98-a-0010,40.736750,41.678375,[laughter-yet],O,,
sw3663A-ms98-a-0010,41.678375,41.860250,still,B,sv,u-12-3
sw3663A-ms98-a-0010,41.860250,42.050250,could,I,sv,u-12-3
sw3663A-ms98-a-0010,42.050250,42.370250,come,I,sv,u-12-3
sw3663A-ms98-a-0010,42.370250,43.266625,[laughter-huh],B,b,u-14-1
sw3663A-ms98-a-0012,48.611375,49.136250,uh-huh,O,,
sw3663A-ms98-a-0014,53.100375,53.558125,yeah,B,b,u-16-1
sw3663A-ms98-a-0016,59.209625,59.549125,hm,B,b,u-18-1
sw3663A-ms98-a-0018,67.785125,68.211250,yeah,B,aa,u-20-1
sw3663A-ms98-a-0018,68.464750,68.615125,yeah,B,aa^r,u-20-2
sw3663A-ms98-a-0018,68.615125,68.775125,it's,B,sv,u-20-3
sw3663A-ms98-a-0018,68.775125,69.205125,so,I,sv,u-20-3
sw3663A-ms98-a-0018,69.205125,69.435125,hard,I,sv,u-20-3
sw3663A-ms98-a-0018,69.435125,69.515125,to,I,sv,u-20-3
sw3663A-ms98-a-0018,69.515125,69.975125,predict,I,sv,u-20-3
sw3663A-ms98-a-0018,69.975125,70.440000,here,I,sv,u-20-3
sw3663A-ms98-a-0020,72.370000,73.009375,yeah,B,b,u-22-1
sw3663A-ms98-a-0020,73.344625,73.590000,well,B,sv,u-24-1
sw3663A-ms98-a-0020,73.590000,74.000000,today,I,sv,u-24-1
sw3663A-ms98-a-0020,74.000000,74.230000,it's,I,sv,u-24-1
sw3663A-ms98-a-0020,74.230000,74.430000,not,I,sv,u-24-1
sw3663A-ms98-a-0020,74.430000,74.730000,bad,I,sv,u-24-1
sw3663A-ms98-a-0020,74.730000,74.930000,out,I,sv,u-24-1
sw3663A-ms98-a-0020,74.930000,75.822250,there,I,sv,u-24-1
sw3663A-ms98-a-0021,77.423125,77.872750,um-hum,B,b,u-26-1
sw3663A-ms98-a-0023,81.039125,81.579625,yeah,B,b,u-28-1
sw3663A-ms98-a-0024,83.165625,83.645625,yeah,B,b,u-30-1
sw3663A-ms98-a-0026,91.250250,91.877875,uh-huh,B,b,u-32-1
sw3663A-ms98-a-0028,94.647000,94.947000,yeah,B,b,u-34-1
sw3663A-ms98-a-0028,94.947000,95.087000,so,B,qy^g,u-34-2
sw3663A-ms98-a-0028,95.087000,95.207000,you,I,qy^g,u-34-2
sw3663A-ms98-a-0028,95.207000,95.317000,do,I,qy^g,u-34-2
sw3663A-ms98-a-0028,95.317000,95.517000,that,I,qy^g,u-34-2
sw3663A-ms98-a-0028,95.517000,95.727000,even,I,qy^g,u-34-2
sw3663A-ms98-a-0028,95.727000,95.847000,in,I,qy^g,u-34-2
sw3663A-ms98-a-0028,95.847000,96.407000,January,I,qy^g,u-34-2
sw3663A-ms98-a-0028,96.407000,96.606250,huh,I,qy^g,u-34-2
sw3663A-ms98-a-0028,97.363250,97.860625,uh-huh,B,b,u-36-1
sw3663A-ms98-a-0030,100.225250,100.743375,yeah,B,b,u-38-1
sw3663A-ms98-a-0030,101.365875,101.514375,oh,I,b,u-38-1
sw3663A-ms98-a-0030,101.514375,101.824375,that's,B,ba,u-38-2
sw3663A-ms98-a-0030,101.824375,102.344375,interesting,B,+,u-40-1
sw3663A-ms98-a-0032,105.922750,106.340750,um-hum,B,b,u-42-1
sw3663A-ms98-a-0034,109.934125,110.324125,yeah,B,ny,u-44-1
sw3663A-ms98-a-0034,110.324125,110.597250,yep,O,,
sw3663A-ms98-a-0034,110.928750,111.610500,and,B,sv,u-44-3
sw3663A-ms98-a-0034,112.017375,112.224125,they're,I,sv,u-44-3
sw3663A-ms98-a-0034,112.224125,112.514125,not,I,sv,u-44-3
sw3663A-ms98-a-0034,112.514125,112.614125,too,I,sv,u-44-3
sw3663A-ms98-a-0034,112.614125,113.050375,pleasant,I,sv,u-44-3
sw3663A-ms98-a-0034,113.050375,114.170000,[laughter],O,,
sw3663A-ms98-a-0034,114.170000,114.344125,it,B,sv,u-46-1
sw3663A-ms98-a-0034,114.344125,114.574125,gets,I,sv,u-46-1
sw3663A-ms98-a-0034,114.574125,115.054125,so,I,sv,u-46-1
sw3663A-ms98-a-0034,115.054125,115.614125,humid,I,sv,u-46-1
sw3663A-ms98-a-0034,115.614125,115.754125,to,B,sv,u-46-2
sw3663A-ms98-a-0034,115.754125,115.894125,me,I,sv,u-46-2
sw3663A-ms98-a-0034,115.894125,116.064125,it's,I,sv,u-46-2
sw3663A-ms98-a-0034,116.064125,116.364125,humid,I,sv,u-46-2
sw3663A-ms98-a-0034,116.364125,116.674125,here,I,sv,u-46-2
sw3663A-ms98-a-0034,116.674125,117.044125,people,B,sd,u-46-3
sw3663A-ms98-a-0034,117.044125,117.257500,that,I,sd,u-46-3
sw3663A-ms98-a-0034,117.547625,117.754125,i,I,sd,u-46-3
sw3663A-ms98-a-0034,117.754125,117.974125,know,I,sd,u-46-3
sw3663A-ms98-a-0034,117.974125,118.194000,that,I,sd,u-46-3
sw3663A-ms98-a-0034,118.514125,118.734125,come,B,+,u-48-1
sw3663A-ms98-a-0034,118.734125,119.204750,from,I,+,u-48-1
sw3663A-ms98-a-0034,119.204750,119.688500,um,I,+,u-48-1
sw3663A-ms98-a-0034,119.688500,119.894125,like,I,+,u-48-1
sw3663A-ms98-a-0034,119.894125,120.354125,Georgia,I,+,u-48-1
sw3663A-ms98-a-0034,120.354125,120.706875,or,I,+,u-48-1
sw3663A-ms98-a-0034,121.015750,121.234125,North,B,+,u-50-1
sw3663A-ms98-a-0034,121.234125,121.714125,Carolina,I,+,u-50-1
sw3663A-ms98-a-0034,121.714125,122.024125,yeah,B,+,u-52-1
sw3663A-ms98-a-0034,122.024125,122.154125,they,I,+,u-52-1
sw3663A-ms98-a-0034,122.154125,122.264125,say,I,+,u-52-1
sw3663A-ms98-a-0034,122.264125,122.404125,this,O,,
sw3663A-ms98-a-0034,122.404125,122.894125,isn't,O,,
sw3663A-ms98-a-0034,122.894125,123.226375,humid,O,,
sw3663A-ms98-a-0035,124.021000,124.486125,yeah,B,b,u-54-1
sw3663A-ms98-a-0035,125.350625,125.531625,but,B,%,u-56-1
sw3663A-ms98-a-0035,125.531625,125.611625,i,I,%,u-56-1
sw3663A-ms98-a-0035,125.611625,126.021625,find,I,%,u-56-1
sw3663A-ms98-a-0035,126.021625,126.171625,it,I,%,u-56-1
sw3663A-ms98-a-0035,126.171625,126.651000,humid,O,,
sw3663A-ms98-a-0037,128.742125,129.222125,right,B,b,u-58-1
sw3663A-ms98-a-0038,130.211625,130.551750,yeah,O,,
sw3663A-ms98-a-0039,131.721375,131.811375,i,B,ng,u-60-1
sw3663A-ms98-a-0039,131.811375,132.011375,was,I,ng,u-60-1
sw3663A-ms98-a-0039,132.011375,132.411375,central,I,ng,u-60-1
sw3663A-ms98-a-0039,132.411375,133.172625,California,I,ng,u-60-1
sw3663A-ms98-a-0039,133.507875,133.811375,Central,B,sd,u-62-1
sw3663A-ms98-a-0039,133.811375,134.251000,Valley,I,sd,u-62-1
sw3663A-ms98-a-0039,134.503375,134.503375,so,O,,
sw3663A-ms98-a-0039,134.503375,134.692625,-[i]t's,O,,
sw3663A-ms98-a-0039,134.835750,135.191375,very,B,sd,u-64-1
sw3663A-ms98-a-0039,135.191375,135.461375,dry,I,sd,u-64-1
sw3663A-ms98-a-0039,135.461375,135.797250,there,I,sd,u-64-1
sw3663A-ms98-a-0041,138.512000,138.870625,yeah,B,ny,u-66-1
sw3663A-ms98-a-0041,139.414500,139.899375,yeah,B,ny,u-68-1
sw3663A-ms98-a-0042,141.610375,141.783625,well,B,sd,u-70-1
sw3663A-ms98-a-0042,141.783625,141.923625,it's,I,sd,u-70-1
sw3663A-ms98-a-0042,141.923625,142.223625,pretty,I,sd,u-70-1
sw3663A-ms98-a-0042,142.223625,142.503625,hot,I,sd,u-70-1
sw3663A-ms98-a-0042,142.503625,142.563625,in,I,sd,u-70-1
sw3663A-ms98-a-0042,142.563625,142.623625,the,I,sd,u-70-1
sw3663A-ms98-a-0042,142.623625,142.993625,summer,I,sd,u-70-1
sw3663A-ms98-a-0042,142.993625,143.203625,it's,B,%,u-70-2
sw3663A-ms98-a-0042,143.203625,143.323625,in,I,%,u-70-2
sw3663A-ms98-a-0042,143.323625,143.622875,the,I,%,u-70-2
sw3663A-ms98-a-0042,143.622875,144.391375,usually,I,%,u-70-2
sw3663A-ms98-a-0042,144.632500,144.723625,you,I,%,u-70-2
sw3663A-ms98-a-0042,144.723625,144.853625,know,I,%,u-70-2
sw3663A-ms98-a-0042,144.853625,145.291500,for,B,sd,u-70-3
sw3663A-ms98-a-0042,145.593875,145.903625,good,I,sd,u-70-3
sw3663A-ms98-a-0042,146.453625,146.833625,three,I,sd,u-70-3
sw3663A-ms98-a-0042,146.833625,147.123625,four,I,sd,u-70-3
sw3663A-ms98-a-0042,147.123625,147.493625,weeks,I,sd,u-70-3
sw3663A-ms98-a-0042,147.493625,147.603625,we,I,sd,u-70-3
sw3663A-ms98-a-0042,147.603625,147.972000,have,I,sd,u-70-3
sw3663A-ms98-a-0042,147.972000,148.243625,over,I,sd,u-70-3
sw3663A-ms98-a-0042,148.243625,148.303625,a,I,sd,u-70-3
sw3663A-ms98-a-0042,148.303625,148.673625,hundred,I,sd,u-70-3
sw3663A-ms98-a-0042,149.303625,149.936750,degrees,I,sd,u-70-3
sw3663A-ms98-a-0042,150.741375,150.824250,but,B,sd,u-72-1
sw3663A-ms98-a-0042,150.824250,150.983625,it's,I,sd,u-72-1
sw3663A-ms98-a-0042,150.983625,151.053625,a,I,sd,u-72-1
sw3663A-ms98-a-0042,151.053625,151.303625,dry,I,sd,u-72-1
sw3663A-ms98-a-0042,151.303625,151.693625,heat,I,sd,u-72-1
sw3663A-ms98-a-0042,151.693625,152.026125,yeah,I,sd,u-72-1
sw3663A-ms98-a-0044,155.224500,156.030875,uh-huh,B,aa,u-74-1
sw3663A-ms98-a-0044,156.527500,157.078000,yeah,B,aa,u-74-2
sw3663A-ms98-a-0044,157.574125,157.913875,i,B,sd,u-74-3
sw3663A-ms98-a-0044,157.913875,158.143875,know,I,sd,u-74-3
sw3663A-ms98-a-0044,158.143875,158.536500,huh,I,sd,u-74-3
sw3663A-ms98-a-0044,158.958375,159.083875,well,I,sd,u-74-3
sw3663A-ms98-a-0044,159.083875,159.123875,i,I,sd,u-74-3
sw3663A-ms98-a-0044,159.123875,159.433875,lived,I,sd,u-74-3
sw3663A-ms98-a-0044,159.433875,159.643875,in,I,sd,u-74-3
sw3663A-ms98-a-0044,159.643875,160.223875,Africa,I,sd,u-74-3
sw3663A-ms98-a-0044,160.223875,160.383875,for,I,sd,u-74-3
sw3663A-ms98-a-0044,160.383875,160.423875,a,I,sd,u-74-3
sw3663A-ms98-a-0044,160.423875,160.693875,couple,I,sd,u-74-3
sw3663A-ms98-a-0044,160.693875,161.133875,years,I,sd,u-74-3
sw3663A-ms98-a-0044,161.133875,161.364500,in,I,sd,u-74-3
sw3663A-ms98-a-0045,162.343750,163.003750,Cameroon,B,+,u-76-1
sw3663A-ms98-a-0045,163.003750,163.133750,and,B,sd,u-76-2
sw3663A-ms98-a-0045,163.133750,163.333750,that's,I,sd,u-76-2
sw3663A-ms98-a-0045,163.333750,163.383750,a,I,sd,u-76-2
sw3663A-ms98-a-0045,163.383750,163.873750,tropical,I,sd,u-76-2
sw3663A-ms98-a-0045,163.873750,164.373750,climate,I,sd,u-76-2
sw3663A-ms98-a-0045,164.373750,164.648750,and,B,sd,u-76-3
sw3663A-ms98-a-0045,164.919875,165.043750,it,I,sd,u-76-3
sw3663A-ms98-a-0045,165.043750,165.223750,really,I,sd,u-76-3
sw3663A-ms98-a-0045,165.223750,165.453750,feels,I,sd,u-76-3
sw3663A-ms98-a-0045,165.453750,165.843750,similar,I,sd,u-76-3
sw3663A-ms98-a-0045,165.843750,165.973750,to,I,sd,u-76-3
sw3663A-ms98-a-0045,165.973750,166.617625,this,I,sd,u-76-3
sw3663A-ms98-a-0045,166.847375,167.043750,during,B,+,u-78-1
sw3663A-ms98-a-0045,167.043750,167.123750,the,I,+,u-78-1
sw3663A-ms98-a-0045,167.123750,167.584625,summer,I,+,u-78-1
sw3663A-ms98-a-0047,172.344750,172.599250,no,B,nn,u-80-1
sw3663A-ms98-a-0047,172.599250,172.719250,i,B,sd^e,u-80-2
sw3663A-ms98-a-0047,172.719250,172.949250,was,I,sd^e,u-80-2
sw3663A-ms98-a-0047,172.949250,173.209250,um,I,sd^e,u-80-2
sw3663A-ms98-a-0047,173.209250,173.678750,working,I,sd^e,u-80-2
sw3663A-ms98-a-0047,173.852000,174.149250,with,I,sd^e,u-80-2
sw3663A-ms98-a-0047,174.149250,174.491125,um,I,sd^e,u-80-2
sw3663A-ms98-a-0047,174.491125,174.589250,i,I,sd^e,u-80-2
sw3663A-ms98-a-0047,174.589250,174.889250,still,I,sd^e,u-80-2
sw3663A-ms98-a-0047,174.889250,175.109250,work,I,sd^e,u-80-2
sw3663A-ms98-a-0047,175.109250,175.289250,with,I,sd^e,u-80-2
sw3663A-ms98-a-0047,175.289250,175.579250,Wycliffe,I,sd^e,u-80-2
sw3663A-ms98-a-0047,175.579250,175.889250,Bible,I,sd^e,u-80-2
sw3663A-ms98-a-0047,175.889250,176.712875,Translators,I,sd^e,u-80-2
sw3663A-ms98-a-0048,177.698750,177.868750,it's,B,sd,u-82-1
sw3663A-ms98-a-0048,177.868750,177.948750,an,I,sd,u-82-1
sw3663A-ms98-a-0048,177.948750,178.658750,organization,I,sd,u-82-1
sw3663A-ms98-a-0048,178.658750,178.808750,where,I,sd,u-82-1
sw3663A-ms98-a-0048,178.808750,179.101250,we,I,sd,u-82-1
sw3663A-ms98-a-0048,179.402625,179.568750,are,I,sd,u-82-1
sw3663A-ms98-a-0048,179.568750,179.888750,looking,I,sd,u-82-1
sw3663A-ms98-a-0048,179.888750,180.114875,to,I,sd,u-82-1
sw3663A-ms98-a-0048,180.495375,180.958750,translate,I,sd,u-82-1
sw3663A-ms98-a-0048,180.958750,181.018750,the,I,sd,u-82-1
sw3663A-ms98-a-0048,181.018750,181.338750,Bible,I,sd,u-82-1
sw3663A-ms98-a-0048,181.338750,181.628750,into,I,sd,u-82-1
sw3663A-ms98-a-0048,181.628750,182.354000,languages,I,sd,u-82-1
sw3663A-ms98-a-0048,182.568625,182.698750,of,I,sd,u-82-1
sw3663A-ms98-a-0048,182.698750,182.778750,the,I,sd,u-82-1
sw3663A-ms98-a-0048,182.778750,183.018750,world,I,sd,u-82-1
sw3663A-ms98-a-0048,183.018750,183.158750,that,I,sd,u-82-1
sw3663A-ms98-a-0048,183.158750,183.308750,aren't,I,sd,u-82-1
sw3663A-ms98-a-0048,183.308750,183.508750,yet,I,sd,u-82-1
sw3663A-ms98-a-0048,183.508750,183.951625,written,I,sd,u-82-1
sw3663A-ms98-a-0050,190.818250,191.158250,right,B,aa,u-84-1
sw3663A-ms98-a-0050,191.158250,191.578250,languages,B,sd,u-84-2
sw3663A-ms98-a-0050,191.578250,191.678250,that,I,sd,u-84-2
sw3663A-ms98-a-0050,191.678250,191.858250,don't,I,sd,u-84-2
sw3663A-ms98-a-0050,191.858250,191.978250,have,I,sd,u-84-2
sw3663A-ms98-a-0050,191.978250,192.338250,anything,I,sd,u-84-2
sw3663A-ms98-a-0050,192.338250,192.638250,written,I,sd,u-84-2
sw3663A-ms98-a-0050,192.638250,192.978250,yet,I,sd,u-84-2
sw3663A-ms98-a-0050,192.978250,193.508250,so,B,sd,u-84-3
sw3663A-ms98-a-0050,193.508250,193.688250,this,I,sd,u-84-3
sw3663A-ms98-a-0050,193.688250,193.848250,is,I,sd,u-84-3
sw3663A-ms98-a-0050,193.848250,194.028250,like,I,sd,u-84-3
sw3663A-ms98-a-0050,194.028250,194.098250,the,I,sd,u-84-3
sw3663A-ms98-a-0050,194.098250,194.398250,first,I,sd,u-84-3
sw3663A-ms98-a-0050,194.398250,194.598250,thing,I,sd,u-84-3
sw3663A-ms98-a-0050,194.598250,194.788250,that's,I,sd,u-84-3
sw3663A-ms98-a-0050,194.788250,195.008250,written,I,sd,u-84-3
sw3663A-ms98-a-0050,195.008250,195.455125,down,I,sd,u-84-3
sw3663A-ms98-a-0050,195.455125,195.852625,or,B,sd,u-84-4
sw3663A-ms98-a-0050,196.346000,196.578250,you,B,+,u-86-1
sw3663A-ms98-a-0050,196.578250,196.872375,know,I,+,u-86-1
sw3663A-ms98-a-0050,197.094500,197.468250,first,I,+,u-86-1
sw3663A-ms98-a-0050,197.468250,197.738250,an,I,+,u-86-1
sw3663A-ms98-a-0050,197.738250,198.168250,alphabet,I,+,u-86-1
sw3663A-ms98-a-0050,198.168250,198.288250,is,I,+,u-86-1
sw3663A-ms98-a-0050,198.288250,198.768250,developed,I,+,u-86-1
sw3663A-ms98-a-0050,198.768250,198.868250,and,B,%,u-86-2
sw3663A-ms98-a-0050,198.868250,199.116750,then,I,%,u-86-2
sw3663A-ms98-a-0050,199.557375,199.918250,um,I,%,u-86-2
sw3663A-ms98-a-0051,201.185375,201.633500,so,B,%,u-88-1
sw3663A-ms98-a-0053,205.621000,206.161875,yeah,B,b,u-90-1
sw3663A-ms98-a-0054,207.899125,208.280625,yeah,B,b,u-92-1
sw3663A-ms98-a-0054,208.525375,208.619125,well,B,sd,u-92-2
sw3663A-ms98-a-0054,208.619125,208.759125,it's,I,sd,u-92-2
sw3663A-ms98-a-0054,208.759125,209.119125,based,I,sd,u-92-2
sw3663A-ms98-a-0054,209.119125,209.517375,here,I,sd,u-92-2
sw3663A-ms98-a-0054,209.517375,209.779125,um,B,sd,u-92-3
sw3663A-ms98-a-0054,209.779125,209.869125,the,I,sd,u-92-3
sw3663A-ms98-a-0054,209.869125,210.399125,international,I,sd,u-92-3
sw3663A-ms98-a-0054,210.399125,210.919125,headquarters,I,sd,u-92-3
sw3663A-ms98-a-0054,210.919125,211.211125,for,I,sd,u-92-3
sw3663A-ms98-a-0054,211.719625,212.059125,Wycliffe,I,sd,u-92-3
sw3663A-ms98-a-0054,212.059125,212.289125,Bible,I,sd,u-92-3
sw3663A-ms98-a-0054,212.289125,212.879125,Translators,I,sd,u-92-3
sw3663A-ms98-a-0054,212.879125,212.999125,is,I,sd,u-92-3
sw3663A-ms98-a-0054,212.999125,213.159125,right,I,sd,u-92-3
sw3663A-ms98-a-0054,213.159125,213.359125,here,I,sd,u-92-3
sw3663A-ms98-a-0054,213.359125,213.517625,in,I,sd,u-92-3
sw3663A-ms98-a-0054,213.905625,214.019125,in,I,sd,u-92-3
sw3663A-ms98-a-0054,214.019125,214.630000,Dallas,I,sd,u-92-3
sw3663A-ms98-a-0056,217.154500,217.695250,yeah,B,aa,u-94-1
sw3663A-ms98-a-0056,217.695250,217.855250,right,B,aa,u-94-2
sw3663A-ms98-a-0056,217.855250,218.035250,now,I,aa,u-94-2
sw3663A-ms98-a-0056,218.035250,218.095250,i,I,aa,u-94-2
sw3663A-ms98-a-0056,218.095250,218.375250,am,I,aa,u-94-2
sw3663A-ms98-a-0056,218.375250,219.165250,so,O,,
sw3663A-ms98-a-0056,219.165250,219.385250,that's,B,sd,u-94-3
sw3663A-ms98-a-0056,219.385250,219.515250,what,I,sd,u-94-3
sw3663A-ms98-a-0056,219.515250,219.745250,brought,I,sd,u-94-3
sw3663A-ms98-a-0056,219.745250,219.815250,me,I,sd,u-94-3
sw3663A-ms98-a-0056,219.815250,220.085250,here,I,sd,u-94-3
sw3663A-ms98-a-0057,221.412500,221.822250,yeah,B,%,u-94-4
sw3663A-ms98-a-0059,231.007375,231.423750,yeah,B,b,u-96-1
sw3663A-ms98-a-0061,239.609500,239.859500,yeah,B,b,u-98-1
sw3663A-ms98-a-0061,239.859500,240.009500,i,B,aa,u-100-1
sw3663A-ms98-a-0061,240.009500,240.464750,agree,I,aa,u-100-1
sw3663A-ms98-a-0061,240.709500,240.809500,i,B,aa^r,u-100-2
sw3663A-ms98-a-0061,240.809500,241.229500,agree,I,aa^r,u-100-2
sw3663A-ms98-a-0061,241.229500,241.452875,i,B,sv,u-100-3
sw3663A-ms98-a-0062,242.435750,242.535750,i,I,sv,u-100-3
sw3663A-ms98-a-0062,242.535750,242.765750,thought,I,sv,u-100-3
sw3663A-ms98-a-0062,242.765750,242.835750,the,I,sv,u-100-3
sw3663A-ms98-a-0062,242.835750,243.155750,fall,I,sv,u-100-3
sw3663A-ms98-a-0062,243.155750,243.335750,was,I,sv,u-100-3
sw3663A-ms98-a-0062,243.335750,243.565750,really,I,sv,u-100-3
sw3663A-ms98-a-0062,243.565750,244.188500,nice,I,sv,u-100-3
sw3663A-ms98-a-0064,247.098875,247.609000,uh-huh,B,b,u-102-1
sw3663A-ms98-a-0066,252.438250,253.031500,yeah,B,b,u-104-1
sw3663A-ms98-a-0066,253.450750,253.841500,uh-huh,B,b,u-106-1
sw3663A-ms98-a-0068,256.372750,256.765750,um-hum,B,b,u-108-1
sw3663A-ms98-a-0070,259.843375,260.073375,yeah,B,b,u-110-1
sw3663A-ms98-a-0070,260.073375,260.193375,and,O,,
