sw2672A-ms98-a-0002,1.009625,1.487000,start,B,ad,u-1-1
sw2672A-ms98-a-0006,21.781500,22.021500,think,I,sd,u-3-3
sw2672A-ms98-a-0006,22.021500,22.411500,three,I,sd,u-3-3
sw2672A-ms98-a-0006,22.411500,22.751500,bins,I,sd,u-3-3
sw2672A-ms98-a-0006,22.751500,22.901500,for,I,sd,u-3-3
sw2672A-ms98-a-0006,22.901500,23.581500,glass,I,sd,u-3-3
sw2672A-ms98-a-0006,23.581500,23.961500,white,I,sd,u-3-3
sw2672A-ms98-a-0006,24.421500,24.921500,green,I,sd,u-3-3
sw2672A-ms98-a-0006,24.921500,25.157375,and,I,sd,u-3-3
sw2672A-ms98-a-0006,25.745000,26.055500,whatev[er]-,I,sd,u-3-3
sw2672A-ms98-a-0006,26.319125,26.751500,whatever,I,sd,u-3-3
sw2672A-ms98-a-0006,26.751500,26.941500,other,I,sd,u-3-3
sw2672A-ms98-a-0006,26.941500,27.591500,combination,I,sd,u-3-3
sw2672A-ms98-a-0006,27.591500,27.770000,there,I,sd,u-3-3
sw2672A-ms98-a-0006,27.770000,28.091750,is,I,sd,u-3-3
sw2672A-ms98-a-0006,29.001500,29.415750,and,B,sd,u-5-1
sw2672A-ms98-a-0006,29.415750,29.502375,i,I,sd,u-5-1
sw2672A-ms98-a-0006,29.502375,29.691500,think,I,sd,u-5-1
sw2672A-ms98-a-0006,29.691500,29.861500,they've,I,sd,u-5-1
sw2672A-ms98-a-0006,29.861500,30.001500,got,I,sd,u-5-1
sw2672A-ms98-a-0006,30.001500,30.041500,a,I,sd,u-5-1
sw2672A-ms98-a-0006,30.041500,30.481500,[comp/container],I,sd,u-5-1
sw2672A-ms98-a-0006,30.481500,30.561500,uh,I,sd,u-5-1
sw2672A-ms98-a-0006,30.561500,30.811500,some,I,sd,u-5-1
sw2672A-ms98-a-0006,30.811500,31.011500,kind,I,sd,u-5-1
sw2672A-ms98-a-0006,31.011500,31.325750,of,I,sd,u-5-1
sw2672A-ms98-a-0006,32.150500,32.611500,container,I,sd,u-5-1
sw2672A-ms98-a-0006,32.611500,32.791500,for,I,sd,u-5-1
sw2672A-ms98-a-0006,32.791500,33.271250,aluminum,I,sd,u-5-1
sw2672A-ms98-a-0008,42.742125,43.120500,uh-huh,B,b,u-7-1
sw2672A-ms98-a-0010,49.864250,50.121125,yeah,B,b,u-9-1
sw2672A-ms98-a-0012,54.957625,55.244500,um,B,%,u-11-1
sw2672A-ms98-a-0014,67.692125,68.062125,uh-huh,B,b,u-13-1
sw2672A-ms98-a-0016,71.963000,72.171000,um,B,b,u-15-1
sw2672A-ms98-a-0018,77.821875,77.911875,well,B,ba,u-17-1
sw2672A-ms98-a-0018,77.911875,78.111875,that's,I,ba,u-17-1
sw2672A-ms98-a-0018,78.111875,78.441875,good,I,ba,u-17-1
sw2672A-ms98-a-0018,79.301875,79.391875,well,B,sd,u-17-2
sw2672A-ms98-a-0018,79.391875,79.749625,Rowlett,I,sd,u-17-2
sw2672A-ms98-a-0018,79.749625,79.896500,had,I,sd,u-17-2
sw2672A-ms98-a-0018,79.896500,80.151875,sent,I,sd,u-17-2
sw2672A-ms98-a-0018,80.311875,80.551875,sent,I,sd,u-17-2
sw2672A-ms98-a-0018,80.551875,80.791875,out,I,sd,u-17-2
sw2672A-ms98-a-0018,80.791875,80.827750,a,I,sd,u-17-2
sw2672A-ms98-a-0018,80.827750,81.456750,survey,I,sd,u-17-2
sw2672A-ms98-a-0018,81.456750,81.781875,not,I,sd,u-17-2
sw2672A-ms98-a-0018,81.781875,82.001875,too,I,sd,u-17-2
sw2672A-ms98-a-0018,82.001875,82.271875,long,I,sd,u-17-2
sw2672A-ms98-a-0018,82.271875,82.711500,ago,I,sd,u-17-2
sw2672A-ms98-a-0018,83.736000,84.169875,um,I,sd,u-17-2
sw2672A-ms98-a-0018,84.780125,84.931875,in,I,sd,u-17-2
sw2672A-ms98-a-0018,84.931875,85.231875,terms,I,sd,u-17-2
sw2672A-ms98-a-0018,85.231875,85.361875,in,I,sd,u-17-2
sw2672A-ms98-a-0018,85.361875,85.531875,how,I,sd,u-17-2
sw2672A-ms98-a-0018,85.531875,85.711875,many,I,sd,u-17-2
sw2672A-ms98-a-0018,85.711875,86.031875,people,I,sd,u-17-2
sw2672A-ms98-a-0018,86.031875,86.151875,were,I,sd,u-17-2
sw2672A-ms98-a-0018,86.151875,86.681875,interested,I,sd,u-17-2
sw2672A-ms98-a-0018,86.681875,86.751875,in,I,sd,u-17-2
sw2672A-ms98-a-0018,86.751875,87.111875,having,I,sd,u-17-2
sw2672A-ms98-a-0018,87.111875,87.219500,a,I,sd,u-17-2
sw2672A-ms98-a-0018,87.464250,87.551875,a,I,sd,u-17-2
sw2672A-ms98-a-0018,87.551875,87.831875,pick,I,sd,u-17-2
sw2672A-ms98-a-0018,87.831875,88.015750,up,I,sd,u-17-2
sw2672A-ms98-a-0019,89.019375,89.201375,i,I,sd,u-17-2
sw2672A-ms98-a-0019,89.201375,89.532125,guess,I,sd,u-17-2
sw2672A-ms98-a-0019,90.064375,90.181375,on,I,sd,u-17-2
sw2672A-ms98-a-0019,90.181375,90.251375,the,I,sd,u-17-2
sw2672A-ms98-a-0019,90.251375,90.521375,days,I,sd,u-17-2
sw2672A-ms98-a-0019,90.521375,90.641375,they,I,sd,u-17-2
sw2672A-ms98-a-0019,90.641375,90.791375,do,I,sd,u-17-2
sw2672A-ms98-a-0019,90.791375,91.261375,trash,I,sd,u-17-2
sw2672A-ms98-a-0019,91.261375,91.331375,or,I,sd,u-17-2
sw2672A-ms98-a-0019,91.331375,91.671375,something,I,sd,u-17-2
sw2672A-ms98-a-0019,91.671375,91.891375,like,I,sd,u-17-2
sw2672A-ms98-a-0019,91.891375,92.181375,that,I,sd,u-17-2
sw2672A-ms98-a-0019,93.271375,93.391375,And,B,sd,u-17-3
sw2672A-ms98-a-0019,93.391375,93.821375,apparently,I,sd,u-17-3
sw2672A-ms98-a-0019,93.821375,93.881375,a,I,sd,u-17-3
sw2672A-ms98-a-0019,93.881375,94.051375,lot,I,sd,u-17-3
sw2672A-ms98-a-0019,94.051375,94.121375,of,I,sd,u-17-3
sw2672A-ms98-a-0019,94.121375,94.451375,people,I,sd,u-17-3
sw2672A-ms98-a-0019,94.451375,94.981375,responded,I,sd,u-17-3
sw2672A-ms98-a-0019,94.981375,95.111375,to,I,sd,u-17-3
sw2672A-ms98-a-0019,95.111375,95.231375,it,I,sd,u-17-3
sw2672A-ms98-a-0019,95.231375,95.717750,favor[ably]-,I,sd,u-17-3
sw2672A-ms98-a-0019,96.007875,96.735500,favorably,I,sd,u-17-3
sw2672A-ms98-a-0019,96.995375,97.405250,because,I,sd,u-17-3
sw2672A-ms98-a-0019,97.657625,97.977625,they're,I,sd,u-17-3
sw2672A-ms98-a-0019,98.305375,98.391375,going,I,sd,u-17-3
sw2672A-ms98-a-0019,98.391375,98.491375,to,I,sd,u-17-3
sw2672A-ms98-a-0019,98.491375,98.671375,do,I,sd,u-17-3
sw2672A-ms98-a-0019,98.671375,98.741375,it,I,sd,u-17-3
sw2672A-ms98-a-0019,98.741375,98.771375,i,B,sd,u-17-4
sw2672A-ms98-a-0019,98.771375,98.961375,don't,I,sd,u-17-4
sw2672A-ms98-a-0019,98.961375,99.091375,know,I,sd,u-17-4
sw2672A-ms98-a-0019,99.091375,99.382750,how,I,sd,u-17-4
sw2672A-ms98-a-0019,99.627500,99.801375,how,I,sd,u-17-4
sw2672A-ms98-a-0019,99.801375,100.091375,soon,I,sd,u-17-4
sw2672A-ms98-a-0019,100.091375,100.221375,they're,I,sd,u-17-4
sw2672A-ms98-a-0019,100.221375,100.371375,going,I,sd,u-17-4
sw2672A-ms98-a-0019,100.371375,100.491375,to,I,sd,u-17-4
sw2672A-ms98-a-0019,100.491375,100.641375,do,I,sd,u-17-4
sw2672A-ms98-a-0019,100.641375,100.741375,it,I,sd,u-17-4
sw2672A-ms98-a-0019,100.741375,100.914375,or,I,sd,u-17-4
sw2672A-ms98-a-0020,101.323375,101.423375,how,I,sd,u-17-4
sw2672A-ms98-a-0020,101.423375,102.123375,organized,I,sd,u-17-4
sw2672A-ms98-a-0020,102.123375,102.283375,it's,I,sd,u-17-4
sw2672A-ms98-a-0020,102.283375,102.403375,going,I,sd,u-17-4
sw2672A-ms98-a-0020,102.403375,102.483375,to,I,sd,u-17-4
sw2672A-ms98-a-0020,102.483375,102.913375,be,I,sd,u-17-4
sw2672A-ms98-a-0020,102.913375,103.073375,but,B,sd,u-17-5
sw2672A-ms98-a-0020,104.373375,104.603375,they're,I,sd,u-17-5
sw2672A-ms98-a-0020,104.883375,104.983375,they're,I,sd,u-17-5
sw2672A-ms98-a-0020,104.983375,105.473375,supposed,I,sd,u-17-5
sw2672A-ms98-a-0020,105.473375,105.612000,to,I,sd,u-17-5
sw2672A-ms98-a-0020,105.913375,106.433375,initiate,I,sd,u-17-5
sw2672A-ms98-a-0020,106.433375,106.643375,that,I,sd,u-17-5
sw2672A-ms98-a-0020,106.643375,106.981000,some,I,sd,u-17-5
sw2672A-ms98-a-0020,107.199375,107.643375,sometime,I,sd,u-17-5
sw2672A-ms98-a-0020,107.643375,107.703375,in,I,sd,u-17-5
sw2672A-ms98-a-0020,107.703375,107.763375,the,I,sd,u-17-5
sw2672A-ms98-a-0020,107.763375,108.043375,next,I,sd,u-17-5
sw2672A-ms98-a-0020,108.043375,108.293375,couple,I,sd,u-17-5
sw2672A-ms98-a-0020,108.293375,108.353375,of,I,sd,u-17-5
sw2672A-ms98-a-0020,108.353375,108.843375,months,I,sd,u-17-5
sw2672A-ms98-a-0022,117.174625,117.814625,um,B,no,u-19-1
sw2672A-ms98-a-0022,117.814625,118.094625,i've,I,no,u-19-1
sw2672A-ms98-a-0022,118.094625,118.314625,never,I,no,u-19-1
sw2672A-ms98-a-0022,118.314625,118.684625,noticed,I,no,u-19-1
sw2672A-ms98-a-0022,118.684625,119.094625,that,I,no,u-19-1
sw2672A-ms98-a-0022,120.264625,120.374625,we,B,sd,u-19-2
sw2672A-ms98-a-0022,120.374625,120.564625,don't,I,sd,u-19-2
sw2672A-ms98-a-0022,120.564625,120.764625,have,I,sd,u-19-2
sw2672A-ms98-a-0022,120.764625,121.174375,a,I,sd,u-19-2
sw2672A-ms98-a-0022,121.174375,121.392875,a,I,sd,u-19-2
sw2672A-ms98-a-0022,121.392875,121.594625,whole,I,sd,u-19-2
sw2672A-ms98-a-0022,121.594625,121.834625,lot,I,sd,u-19-2
sw2672A-ms98-a-0022,121.834625,122.044625,because,I,sd,u-19-2
sw2672A-ms98-a-0022,122.044625,122.204625,we're,I,sd,u-19-2
sw2672A-ms98-a-0022,122.204625,122.314625,in,I,sd,u-19-2
sw2672A-ms98-a-0022,122.314625,122.556375,a,I,sd,u-19-2
sw2672A-ms98-a-0022,123.474750,123.994625,hospital,I,sd,u-19-2
sw2672A-ms98-a-0022,123.994625,124.394625,setting,I,sd,u-19-2
sw2672A-ms98-a-0022,124.394625,124.544625,so,B,sd,u-19-3
sw2672A-ms98-a-0022,124.544625,124.844625,most,I,sd,u-19-3
sw2672A-ms98-a-0022,124.844625,124.954625,of,I,sd,u-19-3
sw2672A-ms98-a-0022,124.954625,125.024625,the,I,sd,u-19-3
sw2672A-ms98-a-0022,125.024625,125.194625,things,I,sd,u-19-3
sw2672A-ms98-a-0022,125.194625,125.324625,we,I,sd,u-19-3
sw2672A-ms98-a-0022,125.324625,125.584625,have,I,sd,u-19-3
sw2672A-ms98-a-0022,125.584625,125.644625,are,I,sd,u-19-3
sw2672A-ms98-a-0022,125.644625,125.864625,through,I,sd,u-19-3
sw2672A-ms98-a-0022,125.864625,125.954625,our,I,sd,u-19-3
sw2672A-ms98-a-0022,125.954625,126.852250,cafeteria,I,sd,u-19-3
sw2672A-ms98-a-0022,128.533000,129.154125,um,I,sd,u-19-3
sw2672A-ms98-a-0024,135.726375,136.294625,um,B,nn,u-21-1
sw2672A-ms98-a-0024,137.256875,137.967125,no,I,nn,u-21-1
sw2672A-ms98-a-0024,138.422875,138.881500,there's,B,sd^e,u-21-2
sw2672A-ms98-a-0024,139.039750,139.305000,there's,I,sd^e,u-21-2
sw2672A-ms98-a-0024,139.305000,139.555000,only,I,sd^e,u-21-2
sw2672A-ms98-a-0024,139.555000,139.815000,one,I,sd^e,u-21-2
sw2672A-ms98-a-0024,139.815000,140.095000,pop,I,sd^e,u-21-2
sw2672A-ms98-a-0024,140.095000,140.325000,machine,I,sd^e,u-21-2
sw2672A-ms98-a-0024,140.325000,140.555000,and,B,sd,u-21-3
sw2672A-ms98-a-0024,140.555000,140.755000,it's,I,sd,u-21-3
sw2672A-ms98-a-0024,140.755000,140.885000,not,I,sd,u-21-3
sw2672A-ms98-a-0024,140.885000,141.475000,accessible,I,sd,u-21-3
sw2672A-ms98-a-0024,141.475000,141.545000,to,I,sd,u-21-3
sw2672A-ms98-a-0024,141.545000,141.615000,the,I,sd,u-21-3
sw2672A-ms98-a-0024,141.615000,142.246875,cafeteria,I,sd,u-21-3
sw2672A-ms98-a-0024,142.246875,142.589125,now,I,sd,u-21-3
sw2672A-ms98-a-0024,142.589125,142.935125,so,B,sd,u-21-4
sw2672A-ms98-a-0024,143.902125,144.035000,uh,I,sd,u-21-4
sw2672A-ms98-a-0024,144.165000,144.515000,mainly,I,sd,u-21-4
sw2672A-ms98-a-0024,144.515000,144.675000,what,I,sd,u-21-4
sw2672A-ms98-a-0024,144.675000,144.795000,they,I,sd,u-21-4
sw2672A-ms98-a-0024,144.795000,145.065000,serve,I,sd,u-21-4
sw2672A-ms98-a-0024,145.065000,145.135000,in,I,sd,u-21-4
sw2672A-ms98-a-0024,145.135000,145.325125,there,I,sd,u-21-4
sw2672A-ms98-a-0024,145.325125,145.424500,is,I,sd,u-21-4
sw2672A-ms98-a-0024,145.533625,145.925000,juice,I,sd,u-21-4
sw2672A-ms98-a-0024,145.925000,146.085000,and,I,sd,u-21-4
sw2672A-ms98-a-0024,146.085000,146.505000,coffee,I,sd,u-21-4
sw2672A-ms98-a-0024,146.505000,146.665000,and,I,sd,u-21-4
sw2672A-ms98-a-0024,146.665000,147.045000,tea,I,sd,u-21-4
sw2672A-ms98-a-0026,150.874125,151.338875,no,B,aa,u-23-1
sw2672A-ms98-a-0026,151.548875,151.878875,[laughter],O,,
sw2672A-ms98-a-0026,151.878875,152.098875,not,B,sd,u-23-2
sw2672A-ms98-a-0026,152.448875,152.638875,not,I,sd,u-23-2
sw2672A-ms98-a-0026,152.638875,152.958875,really,I,sd,u-23-2
sw2672A-ms98-a-0028,161.064500,161.416125,uh-huh,B,b,u-25-1
sw2672A-ms98-a-0030,167.089250,167.459250,um,B,%,u-27-1
sw2672A-ms98-a-0032,170.097125,170.437125,uh-huh,B,b,u-29-1
sw2672A-ms98-a-0034,189.266375,189.616375,um-hum,B,b,u-31-1
sw2672A-ms98-a-0036,194.067875,194.342750,yeah,B,b,u-33-1
sw2672A-ms98-a-0038,199.892250,200.182250,that's,B,ba,u-35-1
sw2672A-ms98-a-0038,200.182250,200.419500,good,I,ba,u-35-1
sw2672A-ms98-a-0040,203.944500,204.233250,yeah,B,b,u-37-1
sw2672A-ms98-a-0040,204.505500,204.656125,i,B,sd,u-37-2
sw2672A-ms98-a-0040,204.656125,204.838875,i,I,sd,u-37-2
sw2672A-ms98-a-0040,204.838875,205.108875,guess,I,sd,u-37-2
sw2672A-ms98-a-0040,205.108875,205.528875,Rowlett's,I,sd,u-37-2
sw2672A-ms98-a-0040,205.528875,205.688875,done,I,sd,u-37-2
sw2672A-ms98-a-0040,205.688875,205.758875,a,I,sd,u-37-2
sw2672A-ms98-a-0040,205.758875,206.038875,lot,I,sd,u-37-2
sw2672A-ms98-a-0040,206.038875,206.228875,for,I,sd,u-37-2
sw2672A-ms98-a-0040,206.228875,206.338875,the,I,sd,u-37-2
sw2672A-ms98-a-0040,206.338875,206.688875,size,I,sd,u-37-2
sw2672A-ms98-a-0040,206.688875,207.068875,town,I,sd,u-37-2
sw2672A-ms98-a-0040,207.068875,207.178875,it,I,sd,u-37-2
sw2672A-ms98-a-0040,207.178875,207.508375,is,I,sd,u-37-2
sw2672A-ms98-a-0040,207.508375,207.760250,[vocalized-noise],O,,
sw2672A-ms98-a-0041,209.178500,209.298500,and,B,sd,u-39-1
sw2672A-ms98-a-0041,209.298500,209.398500,i,I,sd,u-39-1
sw2672A-ms98-a-0041,209.398500,209.638500,think,I,sd,u-39-1
sw2672A-ms98-a-0041,209.868500,209.958500,they're,I,sd,u-39-1
sw2672A-ms98-a-0041,209.958500,210.348500,trying,I,sd,u-39-1
sw2672A-ms98-a-0041,210.348500,210.626375,to,I,sd,u-39-1
sw2672A-ms98-a-0041,211.387125,211.488500,to,I,sd,u-39-1
sw2672A-ms98-a-0041,211.488500,211.728500,make,I,sd,u-39-1
sw2672A-ms98-a-0041,211.728500,211.898500,some,I,sd,u-39-1
sw2672A-ms98-a-0041,211.898500,212.598500,changes,I,sd,u-39-1
sw2672A-ms98-a-0041,212.598500,212.778500,i,B,sd,u-39-2
sw2672A-ms98-a-0041,212.778500,212.928500,i,I,sd,u-39-2
sw2672A-ms98-a-0041,212.928500,213.335250,noticed,I,sd,u-39-2
sw2672A-ms98-a-0041,213.670500,213.872500,at,I,sd,u-39-2
sw2672A-ms98-a-0041,213.872500,213.984875,the,I,sd,u-39-2
sw2672A-ms98-a-0041,213.984875,214.488500,library,I,sd,u-39-2
sw2672A-ms98-a-0041,214.488500,214.568500,or,I,sd,u-39-2
sw2672A-ms98-a-0041,214.568500,215.178500,someplace,I,sd,u-39-2
sw2672A-ms98-a-0041,215.178500,215.318500,this,I,sd,u-39-2
sw2672A-ms98-a-0041,215.318500,215.884625,past,I,sd,u-39-2
sw2672A-ms98-a-0041,217.225250,217.578500,uh,I,sd,u-39-2
sw2672A-ms98-a-0041,217.578500,218.018500,month,I,sd,u-39-2
sw2672A-ms98-a-0041,218.018500,218.218500,month,I,sd,u-39-2
sw2672A-ms98-a-0041,218.218500,218.318500,and,I,sd,u-39-2
sw2672A-ms98-a-0041,218.318500,218.398500,a,I,sd,u-39-2
sw2672A-ms98-a-0041,218.398500,218.658500,half,I,sd,u-39-2
sw2672A-ms98-a-0041,218.658500,219.038500,ago,I,sd,u-39-2
sw2672A-ms98-a-0041,219.038500,219.178500,they,I,sd,u-39-2
sw2672A-ms98-a-0041,219.178500,219.278500,were,I,sd,u-39-2
sw2672A-ms98-a-0041,219.278500,219.608500,having,I,sd,u-39-2
sw2672A-ms98-a-0041,219.608500,219.658500,a,I,sd,u-39-2
sw2672A-ms98-a-0041,219.658500,220.249125,speaker,I,sd,u-39-2
sw2672A-ms98-a-0041,221.315500,221.688250,um,I,sd,u-39-2
sw2672A-ms98-a-0041,222.117625,222.368500,talk,I,sd,u-39-2
sw2672A-ms98-a-0041,222.368500,222.736875,about,I,sd,u-39-2
sw2672A-ms98-a-0042,224.075500,224.328125,doing,I,sd,u-39-2
sw2672A-ms98-a-0042,224.328125,224.709875,lawn,I,sd,u-39-2
sw2672A-ms98-a-0042,224.709875,225.232625,work,I,sd,u-39-2
sw2672A-ms98-a-0042,225.619000,226.111625,and,I,sd,u-39-2
sw2672A-ms98-a-0042,227.647250,227.784625,h[ow]-,I,sd,u-39-2
sw2672A-ms98-a-0042,227.973875,228.328250,how,I,sd,u-39-2
sw2672A-ms98-a-0042,228.328250,228.769000,important,I,sd,u-39-2
sw2672A-ms98-a-0042,228.769000,228.901375,it,I,sd,u-39-2
sw2672A-ms98-a-0042,228.901375,229.078375,is,I,sd,u-39-2
sw2672A-ms98-a-0042,229.078375,229.432125,to,I,sd,u-39-2
sw2672A-ms98-a-0042,229.854000,229.950250,to,I,sd,u-39-2
sw2672A-ms98-a-0042,229.950250,230.190250,cut,I,sd,u-39-2
sw2672A-ms98-a-0042,230.190250,230.330250,your,I,sd,u-39-2
sw2672A-ms98-a-0042,230.330250,230.633875,lawn,I,sd,u-39-2
sw2672A-ms98-a-0042,230.633875,230.942750,without,I,sd,u-39-2
sw2672A-ms98-a-0042,230.942750,231.030250,a,I,sd,u-39-2
sw2672A-ms98-a-0042,231.030250,231.508000,bag,I,sd,u-39-2
sw2672A-ms98-a-0043,232.664625,232.944625,just,I,sd,u-39-2
sw2672A-ms98-a-0043,232.944625,233.094625,kind,I,sd,u-39-2
sw2672A-ms98-a-0043,233.094625,233.174625,of,I,sd,u-39-2
sw2672A-ms98-a-0043,233.174625,233.534625,mulch,I,sd,u-39-2
sw2672A-ms98-a-0043,233.534625,233.701000,it,I,sd,u-39-2
sw2672A-ms98-a-0043,234.409000,234.784625,rather,B,+,u-41-1
sw2672A-ms98-a-0043,234.784625,234.984625,than,I,+,u-41-1
sw2672A-ms98-a-0043,234.984625,235.244625,bag,I,+,u-41-1
sw2672A-ms98-a-0043,235.244625,235.324625,it,I,+,u-41-1
sw2672A-ms98-a-0043,235.324625,235.624625,up,I,+,u-41-1
sw2672A-ms98-a-0043,235.624625,235.964625,because,I,+,u-41-1
sw2672A-ms98-a-0043,235.964625,236.064625,of,I,+,u-41-1
sw2672A-ms98-a-0043,236.064625,236.184625,a[ll]-,I,+,u-41-1
sw2672A-ms98-a-0043,236.334625,236.564625,all,I,+,u-41-1
sw2672A-ms98-a-0043,236.564625,236.793375,the,I,+,u-41-1
sw2672A-ms98-a-0043,237.716250,237.794625,the,I,+,u-41-1
sw2672A-ms98-a-0043,237.794625,238.254625,grass,I,+,u-41-1
sw2672A-ms98-a-0043,238.254625,238.504625,that's,I,+,u-41-1
sw2672A-ms98-a-0043,238.504625,238.784625,being,I,+,u-41-1
sw2672A-ms98-a-0043,238.784625,239.204625,bagged,I,+,u-41-1
sw2672A-ms98-a-0043,239.204625,239.374625,and,I,+,u-41-1
sw2672A-ms98-a-0043,239.374625,239.514625,being,I,+,u-41-1
sw2672A-ms98-a-0043,239.514625,239.804625,hauled,I,+,u-41-1
sw2672A-ms98-a-0043,239.804625,240.074625,away,I,+,u-41-1
sw2672A-ms98-a-0043,240.074625,240.214625,by,I,+,u-41-1
sw2672A-ms98-a-0043,240.214625,240.334625,the,I,+,u-41-1
sw2672A-ms98-a-0043,240.334625,240.976250,garbage,I,+,u-41-1
sw2672A-ms98-a-0043,241.871375,242.264625,trucks,I,+,u-41-1
sw2672A-ms98-a-0043,242.264625,242.394625,and,I,+,u-41-1
sw2672A-ms98-a-0043,242.394625,242.774625,stuff,I,+,u-41-1
sw2672A-ms98-a-0044,243.961375,244.241375,and,B,sd,u-41-2
sw2672A-ms98-a-0044,244.241375,244.671375,it's,I,sd,u-41-2
sw2672A-ms98-a-0044,244.671375,244.871375,uh,I,sd,u-41-2
sw2672A-ms98-a-0044,244.871375,245.002875,i,I,sd,u-41-2
sw2672A-ms98-a-0044,245.002875,245.221375,guess,I,sd,u-41-2
sw2672A-ms98-a-0044,245.221375,245.261375,a,I,sd,u-41-2
sw2672A-ms98-a-0044,245.261375,245.451375,lot,I,sd,u-41-2
sw2672A-ms98-a-0044,245.451375,245.647250,more,I,sd,u-41-2
sw2672A-ms98-a-0044,245.647250,245.803875,e[cological]-,I,sd,u-41-2
sw2672A-ms98-a-0044,246.048750,246.837250,ecological,I,sd,u-41-2
sw2672A-ms98-a-0044,246.837250,247.017500,to,I,sd,u-41-2
sw2672A-ms98-a-0044,247.017500,247.236125,just,I,sd,u-41-2
sw2672A-ms98-a-0044,249.099500,249.341375,mow,I,sd,u-41-2
sw2672A-ms98-a-0044,249.341375,249.441375,the,I,sd,u-41-2
sw2672A-ms98-a-0044,249.441375,249.953375,grass,I,sd,u-41-2
sw2672A-ms98-a-0044,249.953375,250.113875,and,I,sd,u-41-2
sw2672A-ms98-a-0046,252.089500,252.279500,let,I,sd,u-41-2
sw2672A-ms98-a-0046,252.279500,252.377375,it,I,sd,u-41-2
sw2672A-ms98-a-0046,252.809875,253.029500,work,I,sd,u-41-2
sw2672A-ms98-a-0046,253.029500,253.209500,it's,I,sd,u-41-2
sw2672A-ms98-a-0046,253.209500,253.399500,way,I,sd,u-41-2
sw2672A-ms98-a-0046,253.399500,253.669500,back,I,sd,u-41-2
sw2672A-ms98-a-0046,253.669500,253.869500,into,I,sd,u-41-2
sw2672A-ms98-a-0046,253.869500,254.009500,the,I,sd,u-41-2
sw2672A-ms98-a-0046,254.009500,254.409500,soil,I,sd,u-41-2
sw2672A-ms98-a-0048,259.818250,259.923375,i,B,na,u-43-1
sw2672A-ms98-a-0048,259.923375,260.163375,saw,I,na,u-43-1
sw2672A-ms98-a-0048,260.163375,260.453375,part,I,na,u-43-1
sw2672A-ms98-a-0048,260.453375,260.543375,of,I,na,u-43-1
sw2672A-ms98-a-0048,260.543375,260.794875,that,I,na,u-43-1
sw2672A-ms98-a-0050,270.935750,271.319875,um-hum,B,b,u-45-1
sw2672A-ms98-a-0052,274.243000,274.646125,uh-huh,B,b,u-47-1
sw2672A-ms98-a-0054,285.890625,286.250625,uh-huh,B,b,u-49-1
sw2672A-ms98-a-0056,290.889875,291.274625,yeah,B,b,u-51-1
sw2672A-ms98-a-0057,292.680750,292.839750,um,B,%,u-53-1
sw2672A-ms98-a-0059,311.231875,311.396750,yeah,B,b,u-55-1
