sw2953B-ms98-a-0002,0.871875,1.471875,well,B,o,u-1-1
sw2953B-ms98-a-0004,14.936125,15.216125,mean,I,%,u-5-2
sw2953B-ms98-a-0004,15.216125,15.336125,it,I,%,u-5-2
sw2953B-ms98-a-0004,15.336125,15.760875,was,I,%,u-5-2
sw2953B-ms98-a-0005,16.479875,16.719875,that's,O,,
sw2953B-ms98-a-0005,16.719875,16.869875,a,B,sd^t,u-5-3
sw2953B-ms98-a-0005,16.869875,17.239875,really,I,sd^t,u-5-3
sw2953B-ms98-a-0005,17.239875,17.499875,good,I,sd^t,u-5-3
sw2953B-ms98-a-0005,17.499875,18.089875,question,I,sd^t,u-5-3
sw2953B-ms98-a-0005,18.089875,18.619875,because,I,sd^t,u-5-3
sw2953B-ms98-a-0005,18.619875,18.909875,that,I,sd^t,u-5-3
sw2953B-ms98-a-0005,18.909875,19.459750,was,I,sd^t,u-5-3
sw2953B-ms98-a-0005,19.798750,20.359875,everything,I,sd^t,u-5-3
sw2953B-ms98-a-0005,20.359875,20.499875,from,I,sd^t,u-5-3
sw2953B-ms98-a-0005,20.499875,20.599875,the,I,sd^t,u-5-3
sw2953B-ms98-a-0005,20.599875,20.959875,Rolling,I,sd^t,u-5-3
sw2953B-ms98-a-0005,20.959875,21.429875,Stones,I,sd^t,u-5-3
sw2953B-ms98-a-0005,21.429875,21.489875,to,I,sd^t,u-5-3
sw2953B-ms98-a-0005,21.489875,21.579875,the,I,sd^t,u-5-3
sw2953B-ms98-a-0005,21.579875,22.119875,Beatles,I,sd^t,u-5-3
sw2953B-ms98-a-0005,22.119875,22.179875,i,B,sd,u-5-4
sw2953B-ms98-a-0005,22.179875,22.399875,mean,I,sd,u-5-4
sw2953B-ms98-a-0005,22.399875,22.559875,we,I,sd,u-5-4
sw2953B-ms98-a-0005,22.559875,22.719875,were,I,sd,u-5-4
sw2953B-ms98-a-0005,22.719875,23.209875,there,I,sd,u-5-4
sw2953B-ms98-a-0007,28.393625,28.593625,yeah,B,b,u-7-1
sw2953B-ms98-a-0007,28.593625,28.773625,i,B,sd,u-7-2
sw2953B-ms98-a-0007,28.773625,28.893625,wa[s]-,O,,
sw2953B-ms98-a-0008,30.377625,30.767625,well,B,bd,u-9-1
sw2953B-ms98-a-0008,30.767625,30.887625,i,I,bd,u-9-1
sw2953B-ms98-a-0008,30.887625,31.278500,was,I,bd,u-9-1
sw2953B-ms98-a-0008,31.730500,31.917625,i,B,+,u-11-1
sw2953B-ms98-a-0008,31.917625,32.127625,was,I,+,u-11-1
sw2953B-ms98-a-0008,32.127625,32.267625,in,I,+,u-11-1
sw2953B-ms98-a-0008,32.267625,32.737625,seventh,I,+,u-11-1
sw2953B-ms98-a-0008,32.737625,33.107625,grade,I,+,u-11-1
sw2953B-ms98-a-0008,33.107625,33.227625,when,I,+,u-11-1
sw2953B-ms98-a-0008,33.227625,33.287625,the,I,+,u-11-1
sw2953B-ms98-a-0008,33.287625,33.707625,Beatles,I,+,u-11-1
sw2953B-ms98-a-0008,33.707625,34.007625,came,I,+,u-11-1
sw2953B-ms98-a-0008,34.007625,34.457625,out,I,+,u-11-1
sw2953B-ms98-a-0008,34.457625,34.717625,i,B,sd,u-13-1
sw2953B-ms98-a-0008,34.717625,35.517625,fourteen,B,+,u-15-1
sw2953B-ms98-a-0008,35.517625,35.817625,years,I,+,u-15-1
sw2953B-ms98-a-0008,35.817625,36.299125,old,I,+,u-15-1
sw2953B-ms98-a-0008,36.479875,37.425875,Woodstock,B,^2,u-17-1
sw2953B-ms98-a-0009,38.737250,39.127250,well,B,^h,u-19-1
sw2953B-ms98-a-0009,39.127250,39.207250,i,I,^h,u-19-1
sw2953B-ms98-a-0009,39.207250,39.607250,wanted,I,^h,u-19-1
sw2953B-ms98-a-0009,39.607250,39.727250,to,I,^h,u-19-1
sw2953B-ms98-a-0009,39.727250,39.867250,go,I,^h,u-19-1
sw2953B-ms98-a-0009,39.867250,40.127250,i,B,sd,u-19-2
sw2953B-ms98-a-0009,40.127250,40.327250,was,I,sd,u-19-2
sw2953B-ms98-a-0009,40.327250,40.417250,in,I,sd,u-19-2
sw2953B-ms98-a-0009,40.417250,41.325125,Chicago,I,sd,u-19-2
sw2953B-ms98-a-0009,41.581250,42.162625,and,B,sd,u-19-3
sw2953B-ms98-a-0009,42.264375,42.377250,i,I,sd,u-19-3
sw2953B-ms98-a-0009,42.377250,42.617250,guess,I,sd,u-19-3
sw2953B-ms98-a-0009,42.617250,42.757250,i,I,sd,u-19-3
sw2953B-ms98-a-0009,42.757250,43.306125,was,I,sd,u-19-3
sw2953B-ms98-a-0009,43.618750,43.987250,close,I,sd,u-19-3
sw2953B-ms98-a-0009,43.987250,44.162875,to,I,sd,u-19-3
sw2953B-ms98-a-0009,44.162875,44.747250,eighteen,I,sd,u-19-3
sw2953B-ms98-a-0009,44.747250,44.919375,or,I,sd,u-19-3
sw2953B-ms98-a-0009,44.919375,45.294125,something,I,sd,u-19-3
sw2953B-ms98-a-0009,45.294125,45.625625,i-,O,,
sw2953B-ms98-a-0009,45.625625,45.961375,i,B,%,u-19-4
sw2953B-ms98-a-0009,46.323000,46.468125,it,B,o@,u-19-5
sw2953B-ms98-a-0009,46.468125,46.647250,was,I,o@,u-19-5
sw2953B-ms98-a-0009,46.647250,46.843625,like,I,o@,u-19-5
sw2953B-ms98-a-0009,47.054500,47.187250,i,I,o@,u-19-5
sw2953B-ms98-a-0009,47.187250,47.427250,think,I,o@,u-19-5
sw2953B-ms98-a-0009,47.427250,47.497250,the,I,o@,u-19-5
sw2953B-ms98-a-0009,47.497250,47.807250,summer,I,o@,u-19-5
sw2953B-ms98-a-0009,47.807250,48.247250,between,I,o@,u-19-5
sw2953B-ms98-a-0009,48.247250,48.567250,my,I,o@,u-19-5
sw2953B-ms98-a-0009,48.567250,48.867250,uh,I,o@,u-19-5
sw2953B-ms98-a-0010,49.991500,50.261500,high,I,o@,u-19-5
sw2953B-ms98-a-0010,50.261500,50.841500,school,I,o@,u-19-5
sw2953B-ms98-a-0010,50.841500,51.001500,and,I,o@,u-19-5
sw2953B-ms98-a-0010,51.001500,51.581500,college,I,o@,u-19-5
sw2953B-ms98-a-0010,51.581500,51.951500,somewhere,I,o@,u-19-5
sw2953B-ms98-a-0010,51.951500,52.261500,around,I,o@,u-19-5
sw2953B-ms98-a-0010,52.261500,52.391500,in,I,o@,u-19-5
sw2953B-ms98-a-0010,52.391500,52.651500,there,I,o@,u-19-5
sw2953B-ms98-a-0010,52.651500,52.731500,i,B,h,u-21-1
sw2953B-ms98-a-0010,52.731500,52.981500,can't,I,h,u-21-1
sw2953B-ms98-a-0010,53.071500,53.301500,quite,I,h,u-21-1
sw2953B-ms98-a-0010,53.301500,53.631500,remember,I,h,u-21-1
sw2953B-ms98-a-0010,53.631500,53.701500,the,I,h,u-21-1
sw2953B-ms98-a-0010,53.701500,54.091500,year,I,h,u-21-1
sw2953B-ms98-a-0010,54.091500,54.271500,and,B,%,u-21-2
sw2953B-ms98-a-0010,54.771500,55.251500,um,I,%,u-21-2
sw2953B-ms98-a-0011,57.022750,57.171750,uh,B,ny,u-23-1
sw2953B-ms98-a-0011,57.171750,57.742750,yeah,I,ny,u-23-1
sw2953B-ms98-a-0013,59.899375,60.069375,we,B,sd,u-25-1
sw2953B-ms98-a-0013,60.069375,60.479375,couldn't,I,sd,u-25-1
sw2953B-ms98-a-0013,60.479375,60.659375,we,I,sd,u-25-1
sw2953B-ms98-a-0013,60.659375,60.969375,couldn't,I,sd,u-25-1
sw2953B-ms98-a-0013,60.969375,61.109375,get,I,sd,u-25-1
sw2953B-ms98-a-0013,61.109375,61.229375,it,I,sd,u-25-1
sw2953B-ms98-a-0013,61.229375,61.619375,together,I,sd,u-25-1
sw2953B-ms98-a-0013,61.619375,61.759375,to,I,sd,u-25-1
sw2953B-ms98-a-0013,61.759375,62.189375,drive,I,sd,u-25-1
sw2953B-ms98-a-0013,62.189375,62.249375,i,B,sd,u-25-2
sw2953B-ms98-a-0013,62.249375,62.449375,mean,I,sd,u-25-2
sw2953B-ms98-a-0013,62.449375,62.619375,you,I,sd,u-25-2
sw2953B-ms98-a-0013,62.619375,62.729375,know,I,sd,u-25-2
sw2953B-ms98-a-0013,62.729375,62.859375,we'd,I,sd,u-25-2
sw2953B-ms98-a-0013,62.859375,63.129375,never,I,sd,u-25-2
sw2953B-ms98-a-0013,63.129375,63.489375,driven,I,sd,u-25-2
sw2953B-ms98-a-0013,63.489375,63.969375,outside,I,sd,u-25-2
sw2953B-ms98-a-0013,63.969375,64.129375,of,I,sd,u-25-2
sw2953B-ms98-a-0013,64.449375,64.579375,you,I,sd,u-25-2
sw2953B-ms98-a-0013,64.579375,64.899375,know,I,sd,u-25-2
sw2953B-ms98-a-0013,65.049375,65.259375,ten,B,+,u-27-1
sw2953B-ms98-a-0013,65.259375,65.599375,miles,I,+,u-27-1
sw2953B-ms98-a-0013,65.599375,65.749375,out,I,+,u-27-1
sw2953B-ms98-a-0013,65.749375,65.839375,of,I,+,u-27-1
sw2953B-ms98-a-0013,65.839375,66.229375,town,I,+,u-27-1
sw2953B-ms98-a-0013,66.229375,66.339375,at,I,+,u-27-1
sw2953B-ms98-a-0013,66.339375,66.589375,that,I,+,u-27-1
sw2953B-ms98-a-0013,66.589375,66.839375,time,I,+,u-27-1
sw2953B-ms98-a-0013,66.839375,66.979375,and,B,sd,u-27-2
sw2953B-ms98-a-0013,66.979375,67.119375,here,I,sd,u-27-2
sw2953B-ms98-a-0013,67.119375,67.279375,we,I,sd,u-27-2
sw2953B-ms98-a-0013,67.279375,67.349375,were,I,sd,u-27-2
sw2953B-ms98-a-0013,67.349375,67.549375,all,I,sd,u-27-2
sw2953B-ms98-a-0013,67.549375,67.839375,hep,I,sd,u-27-2
sw2953B-ms98-a-0013,67.839375,67.949375,to,I,sd,u-27-2
sw2953B-ms98-a-0013,67.949375,68.109375,go,I,sd,u-27-2
sw2953B-ms98-a-0013,68.109375,68.229375,to,I,sd,u-27-2
sw2953B-ms98-a-0013,68.229375,68.929375,Woodstock,I,sd,u-27-2
sw2953B-ms98-a-0013,68.929375,69.119375,you,I,sd,u-27-2
sw2953B-ms98-a-0013,69.119375,69.291500,know,I,sd,u-27-2
sw2953B-ms98-a-0014,71.404250,71.604250,i,B,na,u-29-1
sw2953B-ms98-a-0014,71.604250,71.934250,really,I,na,u-29-1
sw2953B-ms98-a-0014,71.934250,72.224250,do,I,na,u-29-1
sw2953B-ms98-a-0014,72.224250,72.384250,you,B,%,u-29-2
sw2953B-ms98-a-0015,73.474250,73.674250,it,B,sv,u-31-1
sw2953B-ms98-a-0015,73.674250,73.814250,would,I,sv,u-31-1
sw2953B-ms98-a-0015,73.814250,73.924250,have,I,sv,u-31-1
sw2953B-ms98-a-0015,73.924250,74.114250,been,I,sv,u-31-1
sw2953B-ms98-a-0015,74.114250,74.694250,incredible,I,sv,u-31-1
sw2953B-ms98-a-0015,74.694250,75.025250,i-,O,,
sw2953B-ms98-a-0015,75.496125,75.793000,i,B,sd,u-31-2
sw2953B-ms98-a-0015,75.793000,76.158375,think,I,sd,u-31-2
sw2953B-ms98-a-0015,76.158375,76.634250,of,I,sd,u-31-2
sw2953B-ms98-a-0015,76.634250,77.144250,um,I,sd,u-31-2
sw2953B-ms98-a-0015,77.484250,77.594250,you,I,sd,u-31-2
sw2953B-ms98-a-0015,77.594250,77.784250,know,I,sd,u-31-2
sw2953B-ms98-a-0015,77.784250,78.144250,all,I,sd,u-31-2
sw2953B-ms98-a-0015,78.144250,78.532375,the,I,sd,u-31-2
sw2953B-ms98-a-0015,79.078500,79.524250,social,I,sd,u-31-2
sw2953B-ms98-a-0015,79.524250,79.964250,changes,I,sd,u-31-2
sw2953B-ms98-a-0015,79.964250,80.104250,that,I,sd,u-31-2
sw2953B-ms98-a-0015,80.104250,80.234250,were,I,sd,u-31-2
sw2953B-ms98-a-0015,80.234250,80.554250,going,I,sd,u-31-2
sw2953B-ms98-a-0015,80.554250,80.754250,on,I,sd,u-31-2
sw2953B-ms98-a-0015,80.754250,81.154250,around,I,sd,u-31-2
sw2953B-ms98-a-0015,81.154250,81.414250,that,I,sd,u-31-2
sw2953B-ms98-a-0015,81.414250,81.934250,time,I,sd,u-31-2
sw2953B-ms98-a-0016,82.477250,83.067250,and,I,sd,u-31-2
sw2953B-ms98-a-0016,83.337250,83.527250,and,B,+,u-33-1
sw2953B-ms98-a-0016,83.527250,83.587250,the,I,+,u-33-1
sw2953B-ms98-a-0016,83.587250,84.227250,sixties,I,+,u-33-1
sw2953B-ms98-a-0016,84.227250,84.377250,as,I,+,u-33-1
sw2953B-ms98-a-0016,84.377250,84.797250,being,I,+,u-33-1
sw2953B-ms98-a-0016,84.797250,85.037250,so,I,+,u-33-1
sw2953B-ms98-a-0016,85.037250,86.477250,revolutionary,I,+,u-33-1
sw2953B-ms98-a-0016,86.477250,86.587250,in,I,+,u-33-1
sw2953B-ms98-a-0016,86.587250,86.657250,a,I,+,u-33-1
sw2953B-ms98-a-0016,86.657250,86.907250,lot,I,+,u-33-1
sw2953B-ms98-a-0016,86.907250,86.997250,of,I,+,u-33-1
sw2953B-ms98-a-0016,86.997250,87.557250,ways,I,+,u-33-1
sw2953B-ms98-a-0016,87.557250,87.657250,in,I,+,u-33-1
sw2953B-ms98-a-0016,87.657250,88.037250,terms,I,+,u-33-1
sw2953B-ms98-a-0016,88.037250,88.177250,of,I,+,u-33-1
sw2953B-ms98-a-0016,88.177250,88.527250,raising,I,+,u-33-1
sw2953B-ms98-a-0016,88.527250,88.907250,people's,I,+,u-33-1
sw2953B-ms98-a-0016,88.907250,89.637250,consciousness,I,+,u-33-1
sw2953B-ms98-a-0016,89.637250,90.097250,everything,I,+,u-33-1
sw2953B-ms98-a-0016,90.097250,90.434500,from,I,+,u-33-1
sw2953B-ms98-a-0016,90.882625,91.007250,well,B,sd,u-33-2
sw2953B-ms98-a-0016,91.007250,91.108375,i,I,sd,u-33-2
sw2953B-ms98-a-0016,91.108375,91.390875,mean,I,sd,u-33-2
sw2953B-ms98-a-0016,91.390875,91.557250,i,I,sd,u-33-2
sw2953B-ms98-a-0016,91.557250,91.947250,remember,I,sd,u-33-2
sw2953B-ms98-a-0016,91.947250,92.107250,we,I,sd,u-33-2
sw2953B-ms98-a-0016,92.107250,92.227250,had,I,sd,u-33-2
sw2953B-ms98-a-0016,92.227250,92.315750,the,I,sd,u-33-2
sw2953B-ms98-a-0016,92.315750,92.651000,first,I,sd,u-33-2
sw2953B-ms98-a-0016,92.651000,92.987250,Earth,I,sd,u-33-2
sw2953B-ms98-a-0016,92.987250,93.227250,Day,I,sd,u-33-2
sw2953B-ms98-a-0016,93.227250,93.607250,back,I,sd,u-33-2
sw2953B-ms98-a-0016,93.607250,94.037250,then,I,sd,u-33-2
sw2953B-ms98-a-0016,94.037250,94.217250,you,I,sd,u-33-2
sw2953B-ms98-a-0016,94.217250,94.397250,know,I,sd,u-33-2
sw2953B-ms98-a-0016,94.397250,94.517250,we,B,sd,u-35-1
sw2953B-ms98-a-0016,94.517250,94.767250,got,I,sd,u-35-1
sw2953B-ms98-a-0016,94.767250,94.947250,out,I,sd,u-35-1
sw2953B-ms98-a-0016,94.947250,95.037250,of,I,sd,u-35-1
sw2953B-ms98-a-0016,95.037250,95.567250,school,I,sd,u-35-1
sw2953B-ms98-a-0016,95.567250,95.677250,at,I,sd,u-35-1
sw2953B-ms98-a-0016,95.957250,96.257250,at,I,sd,u-35-1
sw2953B-ms98-a-0016,96.257250,96.397250,uh,I,sd,u-35-1
sw2953B-ms98-a-0016,96.397250,96.467250,the,I,sd,u-35-1
sw2953B-ms98-a-0016,96.467250,97.187250,university,I,sd,u-35-1
sw2953B-ms98-a-0016,97.187250,97.307250,and,B,sd,u-35-2
sw2953B-ms98-a-0016,97.307250,97.477250,we,I,sd,u-35-2
sw2953B-ms98-a-0016,97.477250,98.137250,celebrated,I,sd,u-35-2
sw2953B-ms98-a-0016,98.137250,98.377250,Earth,I,sd,u-35-2
sw2953B-ms98-a-0016,98.377250,98.769500,Day,I,sd,u-35-2
sw2953B-ms98-a-0017,100.708750,101.038750,yeah,B,ny,u-37-1
sw2953B-ms98-a-0017,101.038750,101.498750,planted,B,sd^e,u-37-2
sw2953B-ms98-a-0017,101.498750,101.908750,trees,I,sd^e,u-37-2
sw2953B-ms98-a-0017,101.908750,102.028750,and,I,sd^e,u-37-2
sw2953B-ms98-a-0017,102.028750,102.328750,stuff,I,sd^e,u-37-2
sw2953B-ms98-a-0017,102.328750,102.528750,and,B,sd,u-37-3
sw2953B-ms98-a-0017,102.528750,102.618750,we,I,sd,u-37-3
sw2953B-ms98-a-0017,102.618750,102.838750,didn't,I,sd,u-37-3
sw2953B-ms98-a-0017,102.838750,103.438750,realize,I,sd,u-37-3
sw2953B-ms98-a-0017,103.438750,103.528750,you,I,sd,u-37-3
sw2953B-ms98-a-0017,103.528750,103.878750,know,I,sd,u-37-3
sw2953B-ms98-a-0017,103.878750,104.318750,the,I,sd,u-37-3
sw2953B-ms98-a-0017,104.318750,105.318750,implications,I,sd,u-37-3
sw2953B-ms98-a-0017,105.318750,105.488750,of,I,sd,u-37-3
sw2953B-ms98-a-0017,105.488750,105.738750,all,I,sd,u-37-3
sw2953B-ms98-a-0017,105.738750,106.058750,that,I,sd,u-37-3
sw2953B-ms98-a-0017,106.058750,106.517250,then,I,sd,u-37-3
sw2953B-ms98-a-0017,106.984250,107.128750,and,B,+,u-39-1
sw2953B-ms98-a-0017,107.128750,107.198750,a,I,+,u-39-1
sw2953B-ms98-a-0017,107.198750,107.568750,lot,I,+,u-39-1
sw2953B-ms98-a-0017,107.568750,107.678750,of,I,+,u-39-1
sw2953B-ms98-a-0017,107.678750,107.768750,the,I,+,u-39-1
sw2953B-ms98-a-0017,107.768750,108.168750,stuff,I,+,u-39-1
sw2953B-ms98-a-0017,108.168750,108.338750,that,I,+,u-39-1
sw2953B-ms98-a-0017,108.338750,108.688750,goes,I,+,u-39-1
sw2953B-ms98-a-0017,108.688750,108.998750,on,I,+,u-39-1
sw2953B-ms98-a-0017,108.998750,109.580125,today,B,+,u-41-1
sw2953B-ms98-a-0019,115.572625,116.174750,well,B,o@,u-43-1
sw2953B-ms98-a-0021,120.667250,121.037250,well,B,+@,u-45-1
sw2953B-ms98-a-0021,121.037250,121.217250,you,I,+@,u-45-1
sw2953B-ms98-a-0021,121.307250,121.787250,do,I,+@,u-45-1
sw2953B-ms98-a-0021,121.787250,122.299625,you'll,B,%,u-45-2
sw2953B-ms98-a-0021,122.702625,122.933750,y[ou]-,O,,
sw2953B-ms98-a-0021,123.107000,123.232500,i,B,sv,u-45-4
sw2953B-ms98-a-0021,123.232500,123.478250,mean,I,sv,u-45-4
sw2953B-ms98-a-0021,123.478250,123.745750,there,I,sv,u-45-4
sw2953B-ms98-a-0021,123.745750,123.897250,w[as]-,I,sv,u-45-4
sw2953B-ms98-a-0021,123.897250,124.117250,there,I,sv,u-45-4
sw2953B-ms98-a-0021,124.117250,124.327250,was,I,sv,u-45-4
sw2953B-ms98-a-0021,124.327250,124.577250,no,I,sv,u-45-4
sw2953B-ms98-a-0021,124.577250,125.037250,name,I,sv,u-45-4
sw2953B-ms98-a-0021,125.037250,125.267250,to,I,sv,u-45-4
sw2953B-ms98-a-0021,125.267250,125.397250,it,I,sv,u-45-4
sw2953B-ms98-a-0021,125.397250,125.517250,it,B,sd,u-45-5
sw2953B-ms98-a-0021,125.517250,125.707250,was,I,sd,u-45-5
sw2953B-ms98-a-0021,125.707250,126.147250,everything,I,sd,u-45-5
sw2953B-ms98-a-0021,126.147250,126.257250,that,I,sd,u-45-5
sw2953B-ms98-a-0021,126.257250,126.427250,was,I,sd,u-45-5
sw2953B-ms98-a-0021,126.427250,127.027250,started,I,sd,u-45-5
sw2953B-ms98-a-0021,127.027250,127.127250,in,I,sd,u-45-5
sw2953B-ms98-a-0021,127.127250,127.237250,the,I,sd,u-45-5
sw2953B-ms98-a-0021,127.237250,127.847250,sixties,I,sd,u-45-5
sw2953B-ms98-a-0021,127.847250,127.997250,you,B,sd,u-45-6
sw2953B-ms98-a-0021,127.997250,128.377250,had,B,+,u-47-1
sw2953B-ms98-a-0021,128.867250,129.057250,you,I,+,u-47-1
sw2953B-ms98-a-0021,129.057250,129.227250,had,I,+,u-47-1
sw2953B-ms98-a-0021,129.227250,129.327250,to,I,+,u-47-1
sw2953B-ms98-a-0021,129.327250,129.647250,fight,I,+,u-47-1
sw2953B-ms98-a-0021,129.647250,129.857250,for,I,+,u-47-1
sw2953B-ms98-a-0021,129.857250,130.317250,racial,I,+,u-47-1
sw2953B-ms98-a-0021,130.317250,131.197250,equality,I,+,u-47-1
sw2953B-ms98-a-0023,134.410125,134.700125,and,B,^2,u-49-1
sw2953B-ms98-a-0023,134.700125,135.220125,busting,O,,
sw2953B-ms98-a-0023,135.220125,135.550125,themsel[ves]-,O,,
sw2953B-ms98-a-0023,135.550125,135.670125,it,B,sd,u-51-1
sw2953B-ms98-a-0023,135.670125,135.920125,was,I,sd,u-51-1
sw2953B-ms98-a-0023,135.920125,136.160125,like,I,sd,u-51-1
sw2953B-ms98-a-0023,136.160125,136.380125,just,I,sd,u-51-1
sw2953B-ms98-a-0023,136.380125,136.480125,a,I,sd,u-51-1
sw2953B-ms98-a-0023,136.480125,137.430125,continuum,I,sd,u-51-1
sw2953B-ms98-a-0023,137.430125,137.510125,you,B,sv,u-51-2
sw2953B-ms98-a-0023,137.510125,137.580125,know,I,sv,u-51-2
sw2953B-ms98-a-0023,137.580125,138.130125,everything,I,sv,u-51-2
sw2953B-ms98-a-0023,138.130125,138.350125,sort,I,sv,u-51-2
sw2953B-ms98-a-0023,138.350125,138.410125,of,I,sv,u-51-2
sw2953B-ms98-a-0023,138.410125,138.630125,had,I,sv,u-51-2
sw2953B-ms98-a-0023,138.630125,138.690125,a,I,sv,u-51-2
sw2953B-ms98-a-0023,138.690125,139.050125,seed,I,sv,u-51-2
sw2953B-ms98-a-0023,139.050125,139.190125,in,I,sv,u-51-2
sw2953B-ms98-a-0023,139.190125,139.260125,the,I,sv,u-51-2
sw2953B-ms98-a-0023,139.260125,140.039000,sixties,I,sv,u-51-2
sw2953B-ms98-a-0023,140.457500,140.780125,and,B,sv,u-53-1
sw2953B-ms98-a-0023,140.780125,141.190125,women's,I,sv,u-53-1
sw2953B-ms98-a-0023,141.190125,141.750125,rights,I,sv,u-53-1
sw2953B-ms98-a-0023,141.750125,141.856375,i,I,sv,u-53-1
sw2953B-ms98-a-0023,141.856375,142.160125,mean,I,sv,u-53-1
sw2953B-ms98-a-0023,142.580125,142.870125,things,I,sv,u-53-1
sw2953B-ms98-a-0023,142.870125,143.040125,for,I,sv,u-53-1
sw2953B-ms98-a-0023,143.040125,143.450125,women,I,sv,u-53-1
sw2953B-ms98-a-0023,143.450125,143.550125,were,I,sv,u-53-1
sw2953B-ms98-a-0023,143.550125,144.020125,totally,I,sv,u-53-1
sw2953B-ms98-a-0023,144.020125,144.370125,different,I,sv,u-53-1
sw2953B-ms98-a-0023,144.370125,144.500125,for,I,sv,u-53-1
sw2953B-ms98-a-0023,144.500125,144.730125,you,I,sv,u-53-1
sw2953B-ms98-a-0023,144.730125,144.980125,by,I,sv,u-53-1
sw2953B-ms98-a-0023,144.980125,145.310125,that,I,sv,u-53-1
sw2953B-ms98-a-0023,145.310125,145.819875,time,I,sv,u-53-1
sw2953B-ms98-a-0025,152.451875,152.765625,just,B,sv,u-55-1
sw2953B-ms98-a-0025,152.765625,153.355000,assume,I,sv,u-55-1
sw2953B-ms98-a-0027,164.918375,165.419625,yeah,B,b,u-57-1
sw2953B-ms98-a-0029,176.304875,176.644875,yeah,B,b,u-59-1
sw2953B-ms98-a-0029,176.644875,176.734875,well,B,qy^g,u-59-2
sw2953B-ms98-a-0029,176.734875,176.864875,we,I,qy^g,u-59-2
sw2953B-ms98-a-0029,176.864875,177.084875,learned,I,qy^g,u-59-2
sw2953B-ms98-a-0029,177.084875,177.264875,that,O,,
sw2953B-ms98-a-0029,177.264875,177.404875,from,B,+,u-61-1
sw2953B-ms98-a-0029,177.404875,177.724875,Kramer,I,+,u-61-1
sw2953B-ms98-a-0029,177.724875,178.074875,versus,I,+,u-61-1
sw2953B-ms98-a-0029,178.074875,178.444875,Kramer,I,+,u-61-1
sw2953B-ms98-a-0029,178.444875,178.644875,didn't,I,+,u-61-1
sw2953B-ms98-a-0029,178.644875,179.342750,[laughter-we],O,,
sw2953B-ms98-a-0031,184.021375,184.291375,it,B,^2,u-63-1
sw2953B-ms98-a-0031,184.291375,184.591375,seems,I,^2,u-63-1
sw2953B-ms98-a-0031,184.591375,185.282500,unfair,I,^2,u-63-1
sw2953B-ms98-a-0032,186.670875,186.998875,but,B,%,u-65-1
sw2953B-ms98-a-0032,187.295875,187.559250,it,I,%,u-65-1
sw2953B-ms98-a-0032,187.996125,188.235125,see,B,sv,u-65-2
sw2953B-ms98-a-0032,188.235125,188.485625,men,I,sv,u-65-2
sw2953B-ms98-a-0032,188.485625,188.605125,are,I,sv,u-65-2
sw2953B-ms98-a-0032,188.605125,188.985125,coming,I,sv,u-65-2
sw2953B-ms98-a-0032,188.985125,189.175125,into,I,sv,u-65-2
sw2953B-ms98-a-0032,189.175125,189.385125,their,I,sv,u-65-2
sw2953B-ms98-a-0032,189.385125,189.615125,own,I,sv,u-65-2
