sw2598A-ms98-a-0003,2.334375,2.705000,yeah,B,aa,u-2-1
sw2598A-ms98-a-0005,14.642375,14.932375,yeah,B,ny,u-6-1
sw2598A-ms98-a-0005,14.932375,14.992375,it,B,sd^e,u-6-2
sw2598A-ms98-a-0005,14.992375,15.152375,was,I,sd^e,u-6-2
sw2598A-ms98-a-0005,15.152375,15.584250,great,I,sd^e,u-6-2
sw2598A-ms98-a-0005,15.584250,15.802375,have,B,qy,u-6-3
sw2598A-ms98-a-0005,15.802375,15.892375,you,I,qy,u-6-3
sw2598A-ms98-a-0005,15.892375,16.072375,seen,I,qy,u-6-3
sw2598A-ms98-a-0005,16.072375,16.182375,it,I,qy,u-6-3
sw2598A-ms98-a-0006,17.182375,17.537125,yeah,B,b,u-8-1
sw2598A-ms98-a-0006,17.985250,18.187750,i,B,%,u-8-2
sw2598A-ms98-a-0006,18.187750,18.624750,um,I,%,u-8-2
sw2598A-ms98-a-0008,22.169500,22.339500,we,B,sd,u-10-1
sw2598A-ms98-a-0008,22.339500,22.499500,we,I,sd,u-10-1
sw2598A-ms98-a-0008,22.499500,22.779500,saw,I,sd,u-10-1
sw2598A-ms98-a-0008,22.779500,23.059500,an,I,sd,u-10-1
sw2598A-ms98-a-0008,23.059500,23.159500,we,I,sd,u-10-1
sw2598A-ms98-a-0008,23.159500,23.439500,liked,I,sd,u-10-1
sw2598A-ms98-a-0008,23.439500,23.669500,it,I,sd,u-10-1
sw2598A-ms98-a-0008,23.669500,24.189500,but,B,sv,u-10-2
sw2598A-ms98-a-0008,24.189500,24.259500,you,I,sv,u-10-2
sw2598A-ms98-a-0008,24.259500,24.535250,know,I,sv,u-10-2
sw2598A-ms98-a-0008,24.535250,24.649500,i,I,sv,u-10-2
sw2598A-ms98-a-0008,24.649500,24.929500,didn't,I,sv,u-10-2
sw2598A-ms98-a-0008,24.929500,25.099500,think,I,sv,u-10-2
sw2598A-ms98-a-0008,25.099500,25.179500,it,I,sv,u-10-2
sw2598A-ms98-a-0008,25.179500,26.006750,was,I,sv,u-10-2
sw2598A-ms98-a-0008,26.006750,26.289500,as,I,sv,u-10-2
sw2598A-ms98-a-0008,26.289500,26.499500,good,I,sv,u-10-2
sw2598A-ms98-a-0008,26.499500,26.839500,as,I,sv,u-10-2
sw2598A-ms98-a-0008,26.839500,27.299500,all,I,sv,u-10-2
sw2598A-ms98-a-0008,27.299500,27.409500,the,I,sv,u-10-2
sw2598A-ms98-a-0008,27.409500,27.439500,uh,I,sv,u-10-2
sw2598A-ms98-a-0008,27.439500,27.699500,hype,I,sv,u-10-2
sw2598A-ms98-a-0008,27.699500,27.909500,was,I,sv,u-10-2
sw2598A-ms98-a-0008,27.909500,28.249500,about,I,sv,u-10-2
sw2598A-ms98-a-0008,28.249500,28.335500,it,I,sv,u-10-2
sw2598A-ms98-a-0010,31.539125,31.771125,yeah,B,b,u-12-1
sw2598A-ms98-a-0010,31.771125,31.801125,i,B,%,u-12-2
sw2598A-ms98-a-0010,31.801125,32.051125,don['t]-,O,,
sw2598A-ms98-a-0010,32.051125,32.361125,i,B,sv,u-12-3
sw2598A-ms98-a-0010,32.361125,32.461125,i,I,sv,u-12-3
sw2598A-ms98-a-0010,32.461125,32.801125,couldn't,I,sv,u-12-3
sw2598A-ms98-a-0010,32.801125,32.951125,see,I,sv,u-12-3
sw2598A-ms98-a-0010,32.951125,33.181125,it,I,sv,u-12-3
sw2598A-ms98-a-0011,33.946500,34.524750,worth,I,sv,u-12-3
sw2598A-ms98-a-0011,34.524750,34.915500,getting,I,sv,u-12-3
sw2598A-ms98-a-0011,34.915500,34.945500,a,I,sv,u-12-3
sw2598A-ms98-a-0011,34.945500,35.625500,nomination,I,sv,u-12-3
sw2598A-ms98-a-0011,35.625500,35.915500,for,I,sv,u-12-3
sw2598A-ms98-a-0011,35.915500,36.015500,uh,I,sv,u-12-3
sw2598A-ms98-a-0011,36.015500,36.265500,best,I,sv,u-12-3
sw2598A-ms98-a-0011,36.265500,36.882125,picture,I,sv,u-12-3
sw2598A-ms98-a-0013,53.708625,54.099375,yeah,B,ny,u-14-1
sw2598A-ms98-a-0013,54.472375,54.813625,yeah,B,ny^r,u-14-2
sw2598A-ms98-a-0013,54.813625,54.983750,and,B,%,u-14-3
sw2598A-ms98-a-0013,54.983750,55.086375,so,I,%,u-14-3
sw2598A-ms98-a-0013,55.086375,55.202125,we,I,%,u-14-3
sw2598A-ms98-a-0013,55.202125,55.692500,just,I,%,u-14-3
sw2598A-ms98-a-0013,56.694125,57.363250,uh,B,no,u-16-1
sw2598A-ms98-a-0013,57.938000,58.102125,it,I,no,u-16-1
sw2598A-ms98-a-0013,58.102125,58.612125,depends,I,no,u-16-1
sw2598A-ms98-a-0013,58.612125,59.223000,um,I,no,u-16-1
sw2598A-ms98-a-0013,59.223000,59.432125,you,I,no,u-16-1
sw2598A-ms98-a-0013,59.432125,59.512125,know,I,no,u-16-1
sw2598A-ms98-a-0013,59.512125,59.652250,it,I,no,u-16-1
sw2598A-ms98-a-0013,59.889500,60.192125,depends,I,no,u-16-1
sw2598A-ms98-a-0013,60.192125,60.252125,on,I,no,u-16-1
sw2598A-ms98-a-0013,60.252125,60.451875,wh[at]-,O,,
sw2598A-ms98-a-0015,65.488000,65.696875,i'd,B,na,u-18-1
sw2598A-ms98-a-0015,65.696875,65.866875,like,I,na,u-18-1
sw2598A-ms98-a-0015,65.866875,66.006875,to,I,na,u-18-1
sw2598A-ms98-a-0015,66.006875,66.306875,see,I,na,u-18-1
sw2598A-ms98-a-0015,66.306875,66.536875,those,I,na,u-18-1
sw2598A-ms98-a-0015,66.536875,66.606875,i,B,sd,u-18-2
sw2598A-ms98-a-0015,66.606875,67.001250,keep,I,sd,u-18-2
sw2598A-ms98-a-0015,67.001250,67.166875,you,I,sd,u-18-2
sw2598A-ms98-a-0015,67.166875,67.336875,know,I,sd,u-18-2
sw2598A-ms98-a-0015,67.336875,68.149250,um,I,sd,u-18-2
sw2598A-ms98-a-0015,68.699125,68.836875,you,I,sd,u-18-2
sw2598A-ms98-a-0015,68.836875,68.916875,know,I,sd,u-18-2
sw2598A-ms98-a-0015,68.916875,69.066875,there's,I,sd,u-18-2
sw2598A-ms98-a-0015,69.066875,69.236875,like,I,sd,u-18-2
sw2598A-ms98-a-0015,69.236875,69.466875,three,I,sd,u-18-2
sw2598A-ms98-a-0015,69.466875,69.786875,movies,I,sd,u-18-2
sw2598A-ms98-a-0015,69.786875,69.926875,that,I,sd,u-18-2
sw2598A-ms98-a-0015,69.926875,69.986875,i,I,sd,u-18-2
sw2598A-ms98-a-0015,69.986875,70.186875,i,I,sd,u-18-2
sw2598A-ms98-a-0015,70.186875,70.426875,keep,I,sd,u-18-2
sw2598A-ms98-a-0015,70.426875,70.676875,telling,I,sd,u-18-2
sw2598A-ms98-a-0015,70.676875,70.936875,myself,I,sd,u-18-2
sw2598A-ms98-a-0015,70.936875,71.046875,that,I,sd,u-18-2
sw2598A-ms98-a-0015,71.046875,71.086875,i,I,sd,u-18-2
sw2598A-ms98-a-0015,71.086875,71.396875,should,I,sd,u-18-2
sw2598A-ms98-a-0015,71.396875,71.626875,see,I,sd,u-18-2
sw2598A-ms98-a-0015,71.626875,71.776875,one,I,sd,u-18-2
sw2598A-ms98-a-0015,71.776875,71.856875,of,I,sd,u-18-2
sw2598A-ms98-a-0015,71.856875,71.976875,these,I,sd,u-18-2
sw2598A-ms98-a-0015,71.976875,72.106875,you,I,sd,u-18-2
sw2598A-ms98-a-0015,72.106875,72.296875,know,I,sd,u-18-2
sw2598A-ms98-a-0015,72.296875,72.536875,some,I,sd,u-18-2
sw2598A-ms98-a-0015,72.536875,72.696875,day,I,sd,u-18-2
sw2598A-ms98-a-0015,72.696875,72.826875,that,I,sd,u-18-2
sw2598A-ms98-a-0015,72.826875,72.906875,i,I,sd,u-18-2
sw2598A-ms98-a-0015,72.906875,73.316875,haven't,I,sd,u-18-2
sw2598A-ms98-a-0015,73.316875,73.746875,seen,I,sd,u-18-2
sw2598A-ms98-a-0015,73.746875,73.826875,you,I,sd,u-18-2
sw2598A-ms98-a-0015,73.826875,73.936875,know,I,sd,u-18-2
sw2598A-ms98-a-0015,73.936875,74.146875,that,I,sd,u-18-2
sw2598A-ms98-a-0015,74.146875,74.266875,that,I,sd,u-18-2
sw2598A-ms98-a-0015,74.266875,74.326875,are,I,sd,u-18-2
sw2598A-ms98-a-0015,74.326875,74.836875,classics,I,sd,u-18-2
sw2598A-ms98-a-0015,74.836875,74.906875,you,I,sd,u-18-2
sw2598A-ms98-a-0015,74.906875,74.966875,know,I,sd,u-18-2
sw2598A-ms98-a-0015,74.966875,75.436875,because,B,sd,u-18-3
sw2598A-ms98-a-0015,75.436875,75.516875,i've,I,sd,u-18-3
sw2598A-ms98-a-0015,75.516875,75.706875,never,I,sd,u-18-3
sw2598A-ms98-a-0015,75.706875,75.896875,seen,I,sd,u-18-3
sw2598A-ms98-a-0015,75.896875,76.276875,Citizen,I,sd,u-18-3
sw2598A-ms98-a-0015,76.276875,76.874625,Kane,I,sd,u-18-3
sw2598A-ms98-a-0015,76.874625,77.206875,and,B,sd,u-20-1
sw2598A-ms98-a-0015,77.206875,77.406875,never,I,sd,u-20-1
sw2598A-ms98-a-0015,77.406875,77.686875,seen,I,sd,u-20-1
sw2598A-ms98-a-0016,78.454125,78.564125,i've,I,sd,u-20-1
sw2598A-ms98-a-0016,78.564125,78.804125,never,I,sd,u-20-1
sw2598A-ms98-a-0016,78.804125,78.964125,seen,I,sd,u-20-1
sw2598A-ms98-a-0016,78.964125,79.802000,Casablanca,I,sd,u-20-1
sw2598A-ms98-a-0016,80.005375,80.314125,and,I,sd,u-20-1
sw2598A-ms98-a-0016,80.314125,80.484125,never,I,sd,u-20-1
sw2598A-ms98-a-0016,80.484125,80.644125,seen,I,sd,u-20-1
sw2598A-ms98-a-0016,80.644125,80.804125,Gone,I,sd,u-20-1
sw2598A-ms98-a-0016,80.804125,80.894125,With,I,sd,u-20-1
sw2598A-ms98-a-0016,80.894125,80.954125,The,I,sd,u-20-1
sw2598A-ms98-a-0016,80.954125,81.383250,Wind,I,sd,u-20-1
sw2598A-ms98-a-0018,87.033625,87.431250,uh-huh,B,b,u-22-1
sw2598A-ms98-a-0020,91.547875,91.617875,oh,B,%,u-24-1
sw2598A-ms98-a-0020,91.617875,91.797875,i,I,%,u-24-1
sw2598A-ms98-a-0020,91.797875,91.837875,i,I,%,u-24-1
sw2598A-ms98-a-0020,91.837875,92.494750,def[initely]-,O,,
sw2598A-ms98-a-0020,92.494750,92.747875,we,B,sd,u-24-2
sw2598A-ms98-a-0020,92.747875,92.947875,saw,I,sd,u-24-2
sw2598A-ms98-a-0020,92.947875,93.217875,part,I,sd,u-24-2
sw2598A-ms98-a-0020,93.217875,93.297875,of,I,sd,u-24-2
sw2598A-ms98-a-0020,93.297875,93.377875,The,I,sd,u-24-2
sw2598A-ms98-a-0020,93.377875,93.807875,African,I,sd,u-24-2
sw2598A-ms98-a-0020,93.807875,94.137875,Queen,I,sd,u-24-2
sw2598A-ms98-a-0020,94.137875,94.570000,on,I,sd,u-24-2
sw2598A-ms98-a-0020,94.570000,94.737875,on,I,sd,u-24-2
sw2598A-ms98-a-0020,94.737875,95.512000,TV,I,sd,u-24-2
sw2598A-ms98-a-0020,95.794500,95.907875,a,I,sd,u-24-2
sw2598A-ms98-a-0020,95.907875,96.167875,couple,I,sd,u-24-2
sw2598A-ms98-a-0020,96.167875,96.227875,of,I,sd,u-24-2
sw2598A-ms98-a-0020,96.227875,96.527875,years,I,sd,u-24-2
sw2598A-ms98-a-0020,96.527875,96.807875,ago,I,sd,u-24-2
sw2598A-ms98-a-0020,96.807875,96.927875,and,B,sd,u-26-1
sw2598A-ms98-a-0020,96.927875,97.137875,i've,I,sd,u-26-1
sw2598A-ms98-a-0020,97.137875,97.317875,i've,I,sd,u-26-1
sw2598A-ms98-a-0020,97.317875,97.487875,alway[s]-,I,sd,u-26-1
sw2598A-ms98-a-0020,97.487875,97.707875,i've,I,sd,u-26-1
sw2598A-ms98-a-0020,97.707875,97.877875,been,I,sd,u-26-1
sw2598A-ms98-a-0020,97.877875,98.117875,wanting,I,sd,u-26-1
sw2598A-ms98-a-0020,98.117875,98.177875,to,I,sd,u-26-1
sw2598A-ms98-a-0020,98.177875,98.347875,see,I,sd,u-26-1
sw2598A-ms98-a-0020,98.347875,98.557875,all,I,sd,u-26-1
sw2598A-ms98-a-0020,98.557875,98.657875,of,I,sd,u-26-1
sw2598A-ms98-a-0020,98.657875,98.807875,it,I,sd,u-26-1
sw2598A-ms98-a-0020,98.807875,98.947875,but,B,sd,u-26-2
sw2598A-ms98-a-0020,98.947875,99.037875,we,I,sd,u-26-2
sw2598A-ms98-a-0020,99.037875,99.967875,just,I,sd,u-26-2
sw2598A-ms98-a-0020,99.967875,100.047875,you,I,sd,u-26-2
sw2598A-ms98-a-0020,100.047875,100.167875,know,I,sd,u-26-2
sw2598A-ms98-a-0020,100.167875,100.247875,we,I,sd,u-26-2
sw2598A-ms98-a-0020,100.247875,100.437875,walk,I,sd,u-26-2
sw2598A-ms98-a-0020,100.437875,100.557875,into,I,sd,u-26-2
sw2598A-ms98-a-0020,100.557875,100.617875,the,I,sd,u-26-2
sw2598A-ms98-a-0020,100.617875,100.927875,video,I,sd,u-26-2
sw2598A-ms98-a-0020,100.927875,101.187875,store,I,sd,u-26-2
sw2598A-ms98-a-0020,101.187875,101.317875,and,B,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.317875,101.417875,we're,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.417875,101.607875,like,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.607875,101.797875,well,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.797875,101.867875,why,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.867875,101.987875,don't,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,101.987875,102.047875,we,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,102.047875,102.117875,go,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,102.117875,102.267875,see,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,102.267875,102.427875,this,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,102.427875,102.517875,now,I,sd(^q),u-26-3
sw2598A-ms98-a-0020,102.517875,103.907875,[laughter],O,,
sw2598A-ms98-a-0020,103.907875,104.609500,so,B,%,u-26-4
sw2598A-ms98-a-0021,105.848500,106.084750,but,B,%,u-28-1
sw2598A-ms98-a-0021,106.084750,106.559250,um,I,%,u-28-1
sw2598A-ms98-a-0021,106.559250,106.674750,i,I,%,u-28-1
sw2598A-ms98-a-0021,106.674750,106.844750,think,O,,
sw2598A-ms98-a-0021,106.844750,106.974750,one,B,sd,u-28-2
sw2598A-ms98-a-0021,106.974750,107.044750,of,I,sd,u-28-2
sw2598A-ms98-a-0021,107.044750,107.104750,the,I,sd,u-28-2
sw2598A-ms98-a-0021,107.104750,107.364750,movies,I,sd,u-28-2
sw2598A-ms98-a-0021,107.364750,107.454750,we,I,sd,u-28-2
sw2598A-ms98-a-0021,107.454750,107.684750,saw,I,sd,u-28-2
sw2598A-ms98-a-0021,107.684750,108.024750,recently,I,sd,u-28-2
sw2598A-ms98-a-0021,108.024750,108.084750,we,I,sd,u-28-2
sw2598A-ms98-a-0021,108.084750,108.364750,saw,I,sd,u-28-2
sw2598A-ms98-a-0021,108.364750,108.564750,uh,I,sd,u-28-2
sw2598A-ms98-a-0021,108.564750,109.304000,Misery,I,sd,u-28-2
sw2598A-ms98-a-0023,111.440625,111.656375,that,B,sv,u-30-1
sw2598A-ms98-a-0023,111.656375,111.826375,was,I,sv,u-30-1
sw2598A-ms98-a-0023,111.826375,112.370375,good,I,sv,u-30-1
sw2598A-ms98-a-0023,112.585125,113.214250,um,I,sv,u-30-1
sw2598A-ms98-a-0023,113.425125,113.816375,oh,B,sv,u-32-1
sw2598A-ms98-a-0023,113.816375,113.896375,it,I,sv,u-32-1
sw2598A-ms98-a-0023,113.896375,114.103875,was,I,sv,u-32-1
sw2598A-ms98-a-0023,114.103875,114.786375,great,I,sv,u-32-1
sw2598A-ms98-a-0023,114.786375,115.026375,and,B,%,u-34-1
sw2598A-ms98-a-0023,115.026375,115.269125,it,I,%,u-34-1
sw2598A-ms98-a-0023,115.269125,115.525250,you,B,sv,u-34-2
sw2598A-ms98-a-0023,115.909500,116.075250,you,I,sv,u-34-2
sw2598A-ms98-a-0023,116.075250,116.226875,you,I,sv,u-34-2
sw2598A-ms98-a-0023,116.226875,116.436375,think,I,sv,u-34-2
sw2598A-ms98-a-0023,116.436375,116.536375,you,I,sv,u-34-2
sw2598A-ms98-a-0023,116.536375,116.616375,know,I,sv,u-34-2
sw2598A-ms98-a-0023,116.616375,116.766375,for,I,sv,u-34-2
sw2598A-ms98-a-0023,116.766375,116.796375,a,I,sv,u-34-2
sw2598A-ms98-a-0023,116.796375,117.301625,Stephen,I,sv,u-34-2
sw2598A-ms98-a-0023,117.565250,117.706375,you,I,sv,u-34-2
sw2598A-ms98-a-0023,117.706375,117.877125,know,I,sv,u-34-2
sw2598A-ms98-a-0023,117.877125,118.076375,it,I,sv,u-34-2
sw2598A-ms98-a-0023,118.076375,118.366375,because,I,sv,u-34-2
sw2598A-ms98-a-0023,118.366375,118.426375,it,I,sv,u-34-2
sw2598A-ms98-a-0023,118.426375,118.566375,was,I,sv,u-34-2
sw2598A-ms98-a-0023,118.566375,118.696375,by,I,sv,u-34-2
sw2598A-ms98-a-0023,118.696375,118.976375,Stephen,I,sv,u-34-2
sw2598A-ms98-a-0023,118.976375,119.066375,King,I,sv,u-34-2
sw2598A-ms98-a-0023,119.066375,119.136375,it,I,sv,u-34-2
sw2598A-ms98-a-0023,119.136375,119.226375,would,I,sv,u-34-2
sw2598A-ms98-a-0023,119.226375,119.336375,be,I,sv,u-34-2
sw2598A-ms98-a-0023,119.336375,119.566375,really,I,sv,u-34-2
sw2598A-ms98-a-0023,119.566375,119.906375,gory,I,sv,u-34-2
sw2598A-ms98-a-0023,119.906375,120.036375,but,B,sd,u-34-3
sw2598A-ms98-a-0023,120.036375,120.176375,there's,I,sd,u-34-3
sw2598A-ms98-a-0023,120.176375,120.436375,only,I,sd,u-34-3
sw2598A-ms98-a-0023,120.436375,120.929500,one,I,sd,u-34-3
sw2598A-ms98-a-0023,121.460500,121.589500,well,B,sd,u-34-4
sw2598A-ms98-a-0023,121.589500,121.636375,there's,I,sd,u-34-4
sw2598A-ms98-a-0023,121.636375,121.686375,a,I,sd,u-34-4
sw2598A-ms98-a-0023,121.686375,121.966375,couple,I,sd,u-34-4
sw2598A-ms98-a-0023,121.966375,122.558125,scenes,I,sd,u-34-4
sw2598A-ms98-a-0024,123.451125,123.683500,at,I,sd,u-34-4
sw2598A-ms98-a-0024,123.683500,123.833500,at,I,sd,u-34-4
sw2598A-ms98-a-0024,123.833500,123.913500,the,I,sd,u-34-4
sw2598A-ms98-a-0024,123.913500,124.233500,end,I,sd,u-34-4
sw2598A-ms98-a-0024,124.233500,124.543500,there's,I,sd,u-34-4
sw2598A-ms98-a-0024,124.543500,124.763500,there,I,sd,u-34-4
sw2598A-ms98-a-0024,124.763500,125.211625,is,I,sd,u-34-4
sw2598A-ms98-a-0024,125.211625,125.403500,you,I,sd,u-34-4
sw2598A-ms98-a-0024,125.403500,125.533500,know,I,sd,u-34-4
sw2598A-ms98-a-0024,125.533500,125.723500,some,I,sd,u-34-4
sw2598A-ms98-a-0024,125.723500,125.933500,blood,I,sd,u-34-4
sw2598A-ms98-a-0024,125.933500,126.023500,and,I,sd,u-34-4
sw2598A-ms98-a-0024,126.023500,126.273500,everything,I,sd,u-34-4
sw2598A-ms98-a-0024,126.273500,126.393500,and,B,sd,u-34-5
sw2598A-ms98-a-0024,126.393500,126.553500,there's,I,sd,u-34-5
sw2598A-ms98-a-0024,126.553500,126.763500,one,I,sd,u-34-5
sw2598A-ms98-a-0024,126.763500,127.063500,really,I,sd,u-34-5
sw2598A-ms98-a-0024,127.063500,127.403500,bad,I,sd,u-34-5
sw2598A-ms98-a-0024,127.403500,127.813500,scene,I,sd,u-34-5
sw2598A-ms98-a-0024,127.813500,127.973500,where,I,sd,u-34-5
sw2598A-ms98-a-0024,127.973500,128.253500,it's,I,sd,u-34-5
sw2598A-ms98-a-0024,128.253500,128.323500,i,I,sd,u-34-5
sw2598A-ms98-a-0024,128.323500,128.483500,mean,I,sd,u-34-5
sw2598A-ms98-a-0024,128.483500,128.603500,there's,I,sd,u-34-5
sw2598A-ms98-a-0024,128.603500,128.803500,not,I,sd,u-34-5
sw2598A-ms98-a-0024,128.803500,129.093500,blood,I,sd,u-34-5
sw2598A-ms98-a-0024,129.093500,129.243500,but,I,sd,u-34-5
sw2598A-ms98-a-0024,129.243500,129.691250,it's,I,sd,u-34-5
sw2598A-ms98-a-0024,130.101875,130.293500,pretty,I,sd,u-34-5
sw2598A-ms98-a-0024,130.293500,130.874875,graphic,I,sd,u-34-5
sw2598A-ms98-a-0024,130.874875,131.748750,[laughter],O,,
sw2598A-ms98-a-0024,131.748750,131.913500,but,B,sv,u-36-1
sw2598A-ms98-a-0024,131.913500,132.153500,it's,I,sv,u-36-1
sw2598A-ms98-a-0024,132.153500,132.393500,um,I,sv,u-36-1
sw2598A-ms98-a-0024,132.393500,132.533500,it's,I,sv,u-36-1
sw2598A-ms98-a-0024,132.533500,132.623500,a,I,sv,u-36-1
sw2598A-ms98-a-0024,132.623500,132.923500,really,I,sv,u-36-1
sw2598A-ms98-a-0024,132.923500,133.123500,good,I,sv,u-36-1
sw2598A-ms98-a-0024,133.123500,133.593000,movie,I,sv,u-36-1
sw2598A-ms98-a-0024,134.023875,134.585625,um,I,sv,u-36-1
sw2598A-ms98-a-0026,138.117375,138.577875,yeah,B,ny,u-38-1
sw2598A-ms98-a-0027,139.285500,139.474875,yeah,B,ny^r,u-38-2
sw2598A-ms98-a-0027,139.474875,139.654875,he's,B,sd,u-40-1
sw2598A-ms98-a-0027,139.654875,139.734875,a,I,sd,u-40-1
sw2598A-ms98-a-0027,139.734875,140.175500,writer,I,sd,u-40-1
sw2598A-ms98-a-0027,140.175500,140.604875,and,B,sd,u-40-2
sw2598A-ms98-a-0027,140.604875,141.046750,um,I,sd,u-40-2
sw2598A-ms98-a-0027,141.698375,142.294875,she's,I,sd,u-40-2
sw2598A-ms98-a-0027,142.294875,142.494875,his,I,sd,u-40-2
sw2598A-ms98-a-0027,142.494875,142.844875,biggest,I,sd,u-40-2
sw2598A-ms98-a-0027,142.844875,143.144875,fan,I,sd,u-40-2
sw2598A-ms98-a-0027,143.144875,143.244875,and,B,sd,u-40-3
sw2598A-ms98-a-0027,143.244875,143.454875,she's,I,sd,u-40-3
sw2598A-ms98-a-0027,143.454875,143.964875,also,I,sd,u-40-3
sw2598A-ms98-a-0027,143.964875,144.979250,[laughter],O,,
sw2598A-ms98-a-0028,145.533125,145.649500,a,B,+,u-42-1
sw2598A-ms98-a-0028,145.649500,146.049125,little,I,+,u-42-1
sw2598A-ms98-a-0028,146.311875,146.413125,a,I,+,u-42-1
sw2598A-ms98-a-0028,146.413125,146.613125,little,I,+,u-42-1
sw2598A-ms98-a-0028,146.613125,146.693125,on,I,+,u-42-1
sw2598A-ms98-a-0028,146.693125,146.783125,the,I,+,u-42-1
sw2598A-ms98-a-0028,146.783125,147.213125,{nutso},I,+,u-42-1
sw2598A-ms98-a-0028,147.213125,147.713125,side,I,+,u-42-1
sw2598A-ms98-a-0030,149.776625,150.195750,no,B,nn,u-44-1
sw2598A-ms98-a-0030,150.195750,150.325750,we,B,sd^e,u-44-2
sw2598A-ms98-a-0030,150.325750,150.891250,haven't,I,sd^e,u-44-2
sw2598A-ms98-a-0030,150.891250,151.605250,um,I,sd^e,u-44-2
sw2598A-ms98-a-0032,153.409750,153.753250,oh,B,bh,u-46-1
sw2598A-ms98-a-0032,153.753250,153.813250,it,I,bh,u-46-1
sw2598A-ms98-a-0032,153.813250,154.202250,wasn't,I,bh,u-46-1
sw2598A-ms98-a-0033,155.557750,155.821250,okay,O,,
sw2598A-ms98-a-0033,155.821250,156.065625,i,B,%,u-48-2
sw2598A-ms98-a-0033,156.065625,156.281250,i,I,%,u-48-2
sw2598A-ms98-a-0033,156.281250,156.690750,got,I,%,u-48-2
sw2598A-ms98-a-0033,156.690750,156.821250,i,B,sd,u-48-3
sw2598A-ms98-a-0033,156.821250,157.001250,heard,I,sd,u-48-3
sw2598A-ms98-a-0033,157.001250,157.141250,like,I,sd,u-48-3
sw2598A-ms98-a-0033,157.141250,157.371250,mixed,I,sd,u-48-3
sw2598A-ms98-a-0033,157.371250,157.984625,reviews,I,sd,u-48-3
sw2598A-ms98-a-0033,157.984625,158.565625,um,I,sd,u-48-3
sw2598A-ms98-a-0033,158.565625,158.758500,of,I,sd,u-48-3
sw2598A-ms98-a-0033,158.758500,158.977000,that,I,sd,u-48-3
sw2598A-ms98-a-0033,159.391250,159.501250,we,B,%,u-48-4
