sw3399B-ms98-a-0003,16.467750,16.757750,hm,B,%,u-2-1
sw3399B-ms98-a-0018,102.910750,103.350750,that,I,sd,u-16-3
sw3399B-ms98-a-0020,116.109125,116.509125,yeah,B,b,u-18-1
sw3399B-ms98-a-0022,127.350750,127.420750,yeah,B,b,u-20-1
sw3399B-ms98-a-0022,127.420750,127.480750,i'm,B,sd,u-20-2
sw3399B-ms98-a-0022,127.480750,127.650750,from,I,sd,u-20-2
sw3399B-ms98-a-0022,127.650750,128.120750,Wisconsin,I,sd,u-20-2
sw3399B-ms98-a-0022,128.120750,128.180750,yeah,B,%,u-20-3
sw3399B-ms98-a-0022,128.180750,128.270750,it's,O,,
sw3399B-ms98-a-0022,128.270750,128.400750,about,O,,
sw3399B-ms98-a-0022,128.400750,128.490750,um,O,,
sw3399B-ms98-a-0022,128.640750,128.700750,yeah,O,,
sw3399B-ms98-a-0024,138.295000,138.395000,oh,B,b,u-22-1
sw3399B-ms98-a-0024,138.395000,138.645000,yeah,I,b,u-22-1
sw3399B-ms98-a-0024,138.645000,138.715000,i,B,sd,u-22-2
sw3399B-ms98-a-0024,138.715000,139.115000,spoke,I,sd,u-22-2
sw3399B-ms98-a-0024,139.195000,139.345000,to,I,sd,u-22-2
sw3399B-ms98-a-0024,139.345000,139.395000,a,I,sd,u-22-2
sw3399B-ms98-a-0024,139.445000,139.765000,person,I,sd,u-22-2
sw3399B-ms98-a-0024,139.805000,139.995000,from,I,sd,u-22-2
sw3399B-ms98-a-0024,140.305000,140.705000,Texas,I,sd,u-22-2
sw3399B-ms98-a-0024,140.735000,140.815000,too,I,sd,u-22-2
sw3399B-ms98-a-0025,142.765250,142.925250,this,B,sd,u-24-1
sw3399B-ms98-a-0025,142.925250,143.015250,is,I,sd,u-24-1
sw3399B-ms98-a-0025,143.015250,143.205250,only,I,sd,u-24-1
sw3399B-ms98-a-0025,143.255250,143.345250,my,I,sd,u-24-1
sw3399B-ms98-a-0025,143.375250,143.715250,second,I,sd,u-24-1
sw3399B-ms98-a-0025,143.805250,144.005250,phone,I,sd,u-24-1
sw3399B-ms98-a-0025,144.005250,144.235250,call,I,sd,u-24-1
sw3399B-ms98-a-0025,144.315250,144.375250,so,B,sd,u-24-2
sw3399B-ms98-a-0025,144.375250,144.825250,i'm,I,sd,u-24-2
sw3399B-ms98-a-0025,145.145250,145.405250,[laughter],O,,
sw3399B-ms98-a-0025,145.405250,145.495250,jus[t]-,O,,
sw3399B-ms98-a-0025,145.615250,145.955250,waiting,B,+,u-26-1
sw3399B-ms98-a-0025,145.955250,146.105250,for,I,+,u-26-1
sw3399B-ms98-a-0025,146.105250,146.355250,more,O,,
sw3399B-ms98-a-0027,161.260625,161.380625,oh,B,bf,u-30-1
sw3399B-ms98-a-0027,161.380625,161.600625,about,I,bf,u-30-1
sw3399B-ms98-a-0027,161.840625,162.030625,like,I,bf,u-30-1
sw3399B-ms98-a-0027,162.090625,162.400625,social,I,bf,u-30-1
sw3399B-ms98-a-0027,162.400625,162.820625,changes,I,bf,u-30-1
sw3399B-ms98-a-0028,164.088000,164.558000,hum,O,,
sw3399B-ms98-a-0029,165.447250,165.867250,um,B,h,u-32-1
sw3399B-ms98-a-0031,170.329750,170.519750,i,I,h,u-32-1
sw3399B-ms98-a-0031,170.759750,170.789750,i,I,h,u-32-1
sw3399B-ms98-a-0031,170.789750,170.919750,don't,I,h,u-32-1
sw3399B-ms98-a-0031,170.919750,171.109750,think,I,h,u-32-1
sw3399B-ms98-a-0031,171.109750,171.259750,this,I,h,u-32-1
sw3399B-ms98-a-0031,171.259750,171.349750,would,I,h,u-32-1
sw3399B-ms98-a-0031,171.349750,171.479750,have,I,h,u-32-1
sw3399B-ms98-a-0031,171.479750,171.719750,anything,I,h,u-32-1
sw3399B-ms98-a-0031,171.719750,171.779750,to,I,h,u-32-1
sw3399B-ms98-a-0031,171.779750,171.859750,do,I,h,u-32-1
sw3399B-ms98-a-0031,171.859750,171.989750,with,I,h,u-32-1
sw3399B-ms98-a-0031,171.989750,172.059750,it,I,h,u-32-1
sw3399B-ms98-a-0031,172.059750,172.219750,but,B,sd,u-32-2
sw3399B-ms98-a-0031,172.289750,172.469750,like,I,sd,u-32-2
sw3399B-ms98-a-0031,172.469750,172.929750,clothing,I,sd,u-32-2
sw3399B-ms98-a-0031,172.929750,173.049750,and,I,sd,u-32-2
sw3399B-ms98-a-0031,173.049750,173.609750,styles,I,sd,u-32-2
sw3399B-ms98-a-0031,174.009750,174.219750,lot,I,sd,u-32-2
sw3399B-ms98-a-0031,174.259750,174.369750,of,I,sd,u-32-2
sw3399B-ms98-a-0031,174.369750,174.619750,those,I,sd,u-32-2
sw3399B-ms98-a-0031,174.709750,175.239750,changed,I,sd,u-32-2
sw3399B-ms98-a-0032,177.966250,178.066250,[laughter],O,,
sw3399B-ms98-a-0034,182.883625,183.153625,yeah,B,b,u-36-1
sw3399B-ms98-a-0036,186.791125,187.141125,um-hum,B,aa,u-38-1
sw3399B-ms98-a-0037,188.336875,189.056875,definitely,B,aa,u-38-2
sw3399B-ms98-a-0039,192.152125,192.482125,towards,B,^2,u-40-1
sw3399B-ms98-a-0039,192.542125,192.722125,each,I,^2,u-40-1
sw3399B-ms98-a-0039,192.722125,193.092125,other,I,^2,u-40-1
sw3399B-ms98-a-0041,205.128625,205.718625,um-hum,B,b,u-42-1
sw3399B-ms98-a-0041,205.938625,206.258625,yeah,B,b,u-42-2
sw3399B-ms98-a-0043,213.031000,213.561000,yeah,B,b,u-44-1
sw3399B-ms98-a-0045,224.635875,224.965875,yeah,B,b,u-46-1
sw3399B-ms98-a-0045,225.175875,225.455875,but,B,sv,u-46-2
sw3399B-ms98-a-0045,225.515875,225.715875,they,I,sv,u-46-2
sw3399B-ms98-a-0045,225.975875,226.305875,styles,I,sv,u-46-2
sw3399B-ms98-a-0045,226.305875,226.495875,come,I,sv,u-46-2
sw3399B-ms98-a-0045,226.495875,226.645875,and,I,sv,u-46-2
sw3399B-ms98-a-0045,226.645875,226.845875,go,I,sv,u-46-2
sw3399B-ms98-a-0045,226.845875,227.015875,all,I,sv,u-46-2
sw3399B-ms98-a-0045,227.015875,227.105875,the,I,sv,u-46-2
sw3399B-ms98-a-0045,227.205875,227.505875,time,I,sv,u-46-2
sw3399B-ms98-a-0045,227.505875,227.645875,though,I,sv,u-46-2
sw3399B-ms98-a-0045,227.645875,227.965875,it's,B,sv,u-46-3
sw3399B-ms98-a-0045,228.545875,228.765875,just,I,sv,u-46-3
sw3399B-ms98-a-0045,228.795875,229.325875,ridiculous,I,sv,u-46-3
sw3399B-ms98-a-0045,229.755875,229.935875,fads,I,sv,u-46-3
sw3399B-ms98-a-0045,230.105875,230.245875,in,I,sv,u-46-3
sw3399B-ms98-a-0045,230.245875,230.395875,and,I,sv,u-46-3
sw3399B-ms98-a-0045,230.395875,230.635875,out,I,sv,u-46-3
sw3399B-ms98-a-0046,231.861375,232.171375,and,B,sd,u-46-4
sw3399B-ms98-a-0046,232.171375,232.371375,even,I,sd,u-46-4
sw3399B-ms98-a-0046,232.371375,232.551375,um,I,sd,u-46-4
sw3399B-ms98-a-0046,232.681375,233.071375,clothing,I,sd,u-46-4
sw3399B-ms98-a-0046,233.071375,233.231375,from,I,sd,u-46-4
sw3399B-ms98-a-0046,233.231375,233.351375,the,I,sd,u-46-4
sw3399B-ms98-a-0046,233.351375,233.761375,sixties,I,sd,u-46-4
sw3399B-ms98-a-0046,233.781375,234.051375,came,I,sd,u-46-4
sw3399B-ms98-a-0046,234.051375,234.311375,back,I,sd,u-46-4
sw3399B-ms98-a-0046,235.211375,235.241375,i,B,sd,u-48-1
sw3399B-ms98-a-0046,235.241375,235.461375,see,I,sd,u-48-1
sw3399B-ms98-a-0046,235.461375,235.491375,a,I,sd,u-48-1
sw3399B-ms98-a-0046,235.491375,235.761375,lot,I,sd,u-48-1
sw3399B-ms98-a-0046,235.761375,235.971375,of,I,sd,u-48-1
sw3399B-ms98-a-0046,236.121375,236.401375,um,I,sd,u-48-1
sw3399B-ms98-a-0046,236.641375,236.961375,girls,I,sd,u-48-1
sw3399B-ms98-a-0046,237.051375,237.331375,wearing,I,sd,u-48-1
sw3399B-ms98-a-0046,237.531375,237.971375,sixties,I,sd,u-48-1
sw3399B-ms98-a-0046,238.001375,238.351375,clothes,I,sd,u-48-1
sw3399B-ms98-a-0048,246.641000,246.841000,[laughter-oh],O,,
sw3399B-ms98-a-0048,246.841000,246.971000,[laughter-yeah],O,,
sw3399B-ms98-a-0050,263.373875,263.873875,yeah,B,b,u-52-1
sw3399B-ms98-a-0052,266.871125,267.271125,[laughter-yeah],O,,
sw3399B-ms98-a-0054,269.798625,270.148625,that's,B,aa,u-56-1
sw3399B-ms98-a-0054,270.168625,270.688625,true,I,aa,u-56-1
sw3399B-ms98-a-0054,270.688625,271.478625,[laughter],O,,
sw3399B-ms98-a-0054,271.478625,271.758625,maybe,B,sv,u-56-2
sw3399B-ms98-a-0055,272.299750,272.539750,some,I,sv,u-56-2
sw3399B-ms98-a-0055,272.539750,272.789750,day,I,sv,u-56-2
sw3399B-ms98-a-0055,272.939750,272.969750,i,I,sv,u-56-2
sw3399B-ms98-a-0055,272.969750,273.569750,probably,I,sv,u-56-2
sw3399B-ms98-a-0055,273.569750,273.699750,won't,I,sv,u-56-2
sw3399B-ms98-a-0055,273.699750,273.809750,be,I,sv,u-56-2
sw3399B-ms98-a-0055,273.809750,274.039750,alive,I,sv,u-56-2
sw3399B-ms98-a-0055,274.039750,274.119750,to,I,sv,u-56-2
sw3399B-ms98-a-0055,274.119750,274.289750,see,I,sv,u-56-2
sw3399B-ms98-a-0055,274.289750,274.429750,it,I,sv,u-56-2
sw3399B-ms98-a-0055,274.429750,274.579750,but,B,sv,u-56-3
sw3399B-ms98-a-0055,274.579750,274.999750,prices,I,sv,u-56-3
sw3399B-ms98-a-0055,275.029750,275.239750,might,I,sv,u-56-3
sw3399B-ms98-a-0055,275.239750,275.409750,go,I,sv,u-56-3
sw3399B-ms98-a-0055,275.789750,276.139750,down,I,sv,u-56-3
sw3399B-ms98-a-0055,276.389750,276.629750,lot,I,sv,u-56-3
sw3399B-ms98-a-0055,276.629750,276.819750,more,I,sv,u-56-3
sw3399B-ms98-a-0055,276.819750,276.879750,i,B,h,u-58-1
sw3399B-ms98-a-0055,277.679750,277.989750,don't,I,h,u-58-1
sw3399B-ms98-a-0055,277.989750,278.159750,know,I,h,u-58-1
sw3399B-ms98-a-0055,278.159750,278.349750,though,I,h,u-58-1
sw3399B-ms98-a-0055,278.599750,278.969750,doesn't,B,sv,u-58-2
sw3399B-ms98-a-0055,278.969750,279.119750,look,I,sv,u-58-2
sw3399B-ms98-a-0055,279.119750,279.369750,good,I,sv,u-58-2
sw3399B-ms98-a-0057,287.283250,287.553250,[laughter],O,,
sw3399B-ms98-a-0057,287.553250,287.883250,yeah,B,b,u-60-1
sw3399B-ms98-a-0057,287.883250,287.943250,i,B,sd,u-60-2
sw3399B-ms98-a-0057,287.943250,288.413250,remember,I,sd,u-60-2
sw3399B-ms98-a-0057,288.453250,288.723250,that,I,sd,u-60-2
sw3399B-ms98-a-0057,288.723250,288.753250,[laughter-i],O,,
sw3399B-ms98-a-0057,288.753250,288.983250,do,B,sd,u-60-3
sw3399B-ms98-a-0057,288.983250,290.593250,[laughter],O,,
sw3399B-ms98-a-0059,295.679000,295.909000,[laughter],O,,
sw3399B-ms98-a-0060,297.083875,297.283875,yeah,B,b,u-62-1
sw3399B-ms98-a-0060,297.513875,297.603875,i,B,sd,u-62-2
sw3399B-ms98-a-0060,297.793875,298.183875,didn't,I,sd,u-62-2
sw3399B-ms98-a-0060,298.183875,298.403875,really,I,sd,u-62-2
sw3399B-ms98-a-0060,298.403875,298.593875,care,I,sd,u-62-2
sw3399B-ms98-a-0060,298.863875,298.963875,for,I,sd,u-62-2
sw3399B-ms98-a-0060,298.963875,299.073875,them_1,I,sd,u-62-2
sw3399B-ms98-a-0060,299.073875,299.163875,either,I,sd,u-62-2
sw3399B-ms98-a-0060,299.163875,299.193875,[laughter-uh],O,,
sw3399B-ms98-a-0060,299.193875,299.263875,or,O,,
sw3399B-ms98-a-0060,299.263875,299.323875,now,B,%,u-62-3
sw3399B-ms98-a-0060,299.323875,299.353875,i,I,%,u-62-3
sw3399B-ms98-a-0060,299.353875,299.423875,w[on't]-,O,,
