sw3763B-ms98-a-0002,1.246125,1.794625,um-hum,B,ny,u-2-1
sw3763B-ms98-a-0031,127.429500,127.569500,end,I,sv,u-28-2
sw3763B-ms98-a-0031,127.569500,127.729500,up,I,sv,u-28-2
sw3763B-ms98-a-0031,127.729500,127.999500,paying,I,sv,u-28-2
sw3763B-ms98-a-0031,127.999500,128.189500,him,I,sv,u-28-2
sw3763B-ms98-a-0031,128.189500,128.789500,anyway,I,sv,u-28-2
sw3763B-ms98-a-0032,129.423625,129.564250,but,B,sv,u-28-3
sw3763B-ms98-a-0032,129.564250,129.734500,if,I,sv,u-28-3
sw3763B-ms98-a-0032,129.734500,129.946625,he,I,sv,u-28-3
sw3763B-ms98-a-0032,129.946625,130.474500,doesn't,I,sv,u-28-3
sw3763B-ms98-a-0032,130.634500,130.824500,then,I,sv,u-28-3
sw3763B-ms98-a-0032,130.824500,131.004500,his,I,sv,u-28-3
sw3763B-ms98-a-0032,131.004500,131.394500,market,I,sv,u-28-3
sw3763B-ms98-a-0032,131.394500,131.784500,value,I,sv,u-28-3
sw3763B-ms98-a-0032,131.784500,131.884500,will,I,sv,u-28-3
sw3763B-ms98-a-0032,131.884500,132.024500,go,I,sv,u-28-3
sw3763B-ms98-a-0032,132.024500,132.354500,down,I,sv,u-28-3
sw3763B-ms98-a-0032,132.354500,132.484500,and,B,sv,u-28-4
sw3763B-ms98-a-0032,132.484500,132.594500,they,I,sv,u-28-4
sw3763B-ms98-a-0032,132.594500,132.814500,can,I,sv,u-28-4
sw3763B-ms98-a-0032,132.814500,132.984500,pick,I,sv,u-28-4
sw3763B-ms98-a-0032,132.984500,133.094500,him,I,sv,u-28-4
sw3763B-ms98-a-0032,133.094500,133.254500,up,I,sv,u-28-4
sw3763B-ms98-a-0032,133.254500,133.555000,for,I,sv,u-28-4
sw3763B-ms98-a-0032,133.694500,133.814500,for,I,sv,u-28-4
sw3763B-ms98-a-0032,133.814500,133.864500,a,I,sv,u-28-4
sw3763B-ms98-a-0032,133.864500,134.104500,lot,I,sv,u-28-4
sw3763B-ms98-a-0032,134.104500,134.484500,less,I,sv,u-28-4
sw3763B-ms98-a-0032,134.484500,134.939250,than,I,sv,u-28-4
sw3763B-ms98-a-0032,135.384500,135.534500,than,B,+,u-30-1
sw3763B-ms98-a-0032,135.534500,135.654500,they,I,+,u-30-1
sw3763B-ms98-a-0032,135.654500,136.144500,would,I,+,u-30-1
sw3763B-ms98-a-0032,136.144500,136.314500,uh,I,+,u-30-1
sw3763B-ms98-a-0032,136.314500,136.464500,if,I,+,u-30-1
sw3763B-ms98-a-0032,136.464500,136.574500,they,I,+,u-30-1
sw3763B-ms98-a-0032,136.574500,136.824500,paid,I,+,u-30-1
sw3763B-ms98-a-0032,136.824500,136.934500,him,I,+,u-30-1
sw3763B-ms98-a-0032,136.934500,136.994500,the,I,+,u-30-1
sw3763B-ms98-a-0032,136.994500,137.175000,si[x]-,I,+,u-30-1
sw3763B-ms98-a-0032,137.272875,137.404500,you,I,+,u-30-1
sw3763B-ms98-a-0032,137.404500,137.644500,know,I,+,u-30-1
sw3763B-ms98-a-0032,137.644500,138.090625,the,I,+,u-30-1
sw3763B-ms98-a-0032,138.467250,138.714500,six,I,+,u-30-1
sw3763B-ms98-a-0032,138.714500,138.974500,million,I,+,u-30-1
sw3763B-ms98-a-0032,138.974500,139.284500,dollars,I,+,u-30-1
sw3763B-ms98-a-0032,139.284500,139.334500,a,I,+,u-30-1
sw3763B-ms98-a-0032,139.334500,139.604500,year,I,+,u-30-1
sw3763B-ms98-a-0032,139.604500,139.834500,this,I,+,u-30-1
sw3763B-ms98-a-0032,139.834500,140.126500,year,I,+,u-30-1
sw3763B-ms98-a-0034,146.122625,146.554000,uh-huh,B,b,u-32-1
sw3763B-ms98-a-0036,148.511500,149.558375,oh,B,aa,u-34-1
sw3763B-ms98-a-0036,149.803750,150.101125,yeah,I,aa,u-34-1
sw3763B-ms98-a-0036,150.101125,150.291125,but,B,sd,u-34-2
sw3763B-ms98-a-0036,150.291125,150.441125,you,I,sd,u-34-2
sw3763B-ms98-a-0036,150.441125,150.591125,know,I,sd,u-34-2
sw3763B-ms98-a-0036,150.591125,150.891125,what,I,sd,u-34-2
sw3763B-ms98-a-0036,150.991125,151.326875,he,I,sd,u-34-2
sw3763B-ms98-a-0036,151.884375,152.041125,that,B,sv,u-34-3
sw3763B-ms98-a-0036,152.041125,152.211125,was,I,sv,u-34-3
sw3763B-ms98-a-0036,152.211125,152.301125,a,I,sv,u-34-3
sw3763B-ms98-a-0036,152.301125,152.771125,great,I,sv,u-34-3
sw3763B-ms98-a-0036,152.771125,153.021125,deal,I,sv,u-34-3
sw3763B-ms98-a-0036,153.021125,153.211125,for,I,sv,u-34-3
sw3763B-ms98-a-0036,153.211125,153.655875,him,I,sv,u-34-3
sw3763B-ms98-a-0037,154.624125,155.027625,yeah,B,b,u-36-1
sw3763B-ms98-a-0037,155.027625,155.187625,it,B,sv^r,u-36-2
sw3763B-ms98-a-0037,155.187625,155.347625,was,I,sv^r,u-36-2
sw3763B-ms98-a-0037,155.347625,155.417625,a,I,sv^r,u-36-2
sw3763B-ms98-a-0037,155.417625,155.707625,great,I,sv^r,u-36-2
sw3763B-ms98-a-0037,155.707625,155.877625,deal,I,sv^r,u-36-2
sw3763B-ms98-a-0037,155.877625,156.077625,for,I,sv^r,u-36-2
sw3763B-ms98-a-0037,156.077625,156.457625,him,I,sv^r,u-36-2
sw3763B-ms98-a-0037,156.457625,156.827625,and,B,sd,u-36-3
sw3763B-ms98-a-0037,157.367625,157.747625,and,I,sd,u-36-3
sw3763B-ms98-a-0037,157.747625,158.017625,uh,I,sd,u-36-3
sw3763B-ms98-a-0037,158.017625,158.197625,he,I,sd,u-36-3
sw3763B-ms98-a-0037,158.197625,158.576375,just,I,sd,u-36-3
sw3763B-ms98-a-0037,158.802375,159.187625,signed,I,sd,u-36-3
sw3763B-ms98-a-0037,159.187625,159.587625,on,I,sd,u-36-3
sw3763B-ms98-a-0037,159.587625,160.089375,uh,I,sd,u-36-3
sw3763B-ms98-a-0037,160.089375,160.329250,i,B,sd,u-36-4
sw3763B-ms98-a-0037,160.329250,160.507625,think,I,sd,u-36-4
sw3763B-ms98-a-0037,160.507625,160.577625,it,I,sd,u-36-4
sw3763B-ms98-a-0037,160.577625,160.687625,was,I,sd,u-36-4
sw3763B-ms98-a-0037,160.687625,160.867625,like,I,sd,u-36-4
sw3763B-ms98-a-0037,160.867625,160.917625,a,I,sd,u-36-4
sw3763B-ms98-a-0037,160.917625,161.257625,five,I,sd,u-36-4
sw3763B-ms98-a-0037,161.257625,161.547625,year,I,sd,u-36-4
sw3763B-ms98-a-0037,161.547625,161.947625,deal,I,sd,u-36-4
sw3763B-ms98-a-0037,161.947625,162.162000,with,I,sd,u-36-4
sw3763B-ms98-a-0037,162.280000,162.612250,uh,I,sd,u-36-4
sw3763B-ms98-a-0038,163.847125,164.405500,Pittsburgh,B,+,u-38-1
sw3763B-ms98-a-0038,164.405500,164.919625,so,B,sd,u-40-1
sw3763B-ms98-a-0038,165.070250,165.215500,you,I,sd,u-40-1
sw3763B-ms98-a-0038,165.215500,165.355500,know,I,sd,u-40-1
sw3763B-ms98-a-0038,165.355500,165.595500,he's,I,sd,u-40-1
sw3763B-ms98-a-0038,165.595500,165.775500,real,I,sd,u-40-1
sw3763B-ms98-a-0038,165.775500,166.125500,happy,I,sd,u-40-1
sw3763B-ms98-a-0038,166.125500,166.555250,there,I,sd,u-40-1
sw3763B-ms98-a-0038,166.977000,167.105500,as,B,sv,u-40-2
sw3763B-ms98-a-0038,167.105500,167.375500,far,I,sv,u-40-2
sw3763B-ms98-a-0038,167.375500,167.465500,as,I,sv,u-40-2
sw3763B-ms98-a-0038,167.465500,167.585500,the,I,sv,u-40-2
sw3763B-ms98-a-0038,167.585500,167.995500,Rangers,I,sv,u-40-2
sw3763B-ms98-a-0038,167.995500,168.075250,are,I,sv,u-40-2
sw3763B-ms98-a-0038,168.075250,168.448125,concerned,I,sv,u-40-2
sw3763B-ms98-a-0038,168.448125,168.600000,i,I,sv,u-40-2
sw3763B-ms98-a-0038,168.600000,169.031250,think,I,sv,u-40-2
sw3763B-ms98-a-0039,170.097000,170.268125,i,I,sv,u-40-2
sw3763B-ms98-a-0039,170.268125,170.479500,think,I,sv,u-40-2
sw3763B-ms98-a-0039,170.479500,170.603250,they,I,sv,u-40-2
sw3763B-ms98-a-0039,170.603250,170.791750,need,I,sv,u-40-2
sw3763B-ms98-a-0039,170.791750,171.208625,some,I,sv,u-40-2
sw3763B-ms98-a-0039,171.826375,172.181750,definitely,I,sv,u-40-2
sw3763B-ms98-a-0039,172.181750,172.371750,need,I,sv,u-40-2
sw3763B-ms98-a-0039,172.371750,172.551750,some,I,sv,u-40-2
sw3763B-ms98-a-0039,172.551750,173.141000,pitching,I,sv,u-40-2
sw3763B-ms98-a-0040,174.134000,174.845125,uh,B,%,u-42-1
sw3763B-ms98-a-0041,176.099625,176.790375,and,I,%,u-42-1
sw3763B-ms98-a-0041,177.042000,177.471375,so,I,%,u-42-1
sw3763B-ms98-a-0041,177.471375,177.650875,i,I,%,u-42-1
sw3763B-ms98-a-0041,177.937125,178.056125,you,I,%,u-42-1
sw3763B-ms98-a-0041,178.056125,178.294125,know,I,%,u-42-1
sw3763B-ms98-a-0041,178.294125,178.439000,i,I,%,u-42-1
sw3763B-ms98-a-0043,183.525000,183.691000,um,O,,
sw3763B-ms98-a-0043,183.691000,183.878000,the,B,br^m,u-44-1
sw3763B-ms98-a-0043,183.878000,184.236625,pitching,I,br^m,u-44-1
sw3763B-ms98-a-0043,184.236625,184.816625,coach,I,br^m,u-44-1
sw3763B-ms98-a-0044,185.868500,186.056750,well,B,sd,u-46-1
sw3763B-ms98-a-0044,186.417500,186.538250,you,I,sd,u-46-1
sw3763B-ms98-a-0044,186.538250,186.638250,know,I,sd,u-46-1
sw3763B-ms98-a-0044,186.638250,186.728625,i,I,sd,u-46-1
sw3763B-ms98-a-0044,186.728625,186.898250,was,I,sd,u-46-1
sw3763B-ms98-a-0044,186.898250,187.212000,just,I,sd,u-46-1
sw3763B-ms98-a-0044,187.558250,187.898250,looking,I,sd,u-46-1
sw3763B-ms98-a-0044,187.898250,188.018250,at,I,sd,u-46-1
sw3763B-ms98-a-0044,188.018250,188.078250,the,I,sd,u-46-1
sw3763B-ms98-a-0044,188.078250,188.458250,news,I,sd,u-46-1
sw3763B-ms98-a-0044,188.458250,188.958250,tonight,I,sd,u-46-1
sw3763B-ms98-a-0044,189.108250,189.702000,and,B,sd,u-46-2
sw3763B-ms98-a-0044,190.097500,190.208250,they,I,sd,u-46-2
sw3763B-ms98-a-0044,190.208250,190.508250,showed,I,sd,u-46-2
