sw3245A-ms98-a-0001,1.084875,1.714750,okay,B,bk,u-2-1
sw3245A-ms98-a-0004,8.590000,8.750000,you're,I,sd,u-6-2
sw3245A-ms98-a-0004,8.750000,8.960000,like,I,sd,u-6-2
sw3245A-ms98-a-0004,8.960000,9.170000,me,I,sd,u-6-2
sw3245A-ms98-a-0004,9.170000,9.515750,then,I,sd,u-6-2
sw3245A-ms98-a-0004,9.515750,10.525250,[laughter],O,,
sw3245A-ms98-a-0004,10.525250,10.630000,i,B,sd,u-6-3
sw3245A-ms98-a-0004,10.630000,10.910000,stay,I,sd,u-6-3
sw3245A-ms98-a-0004,10.910000,11.140000,home,I,sd,u-6-3
sw3245A-ms98-a-0004,11.140000,11.635875,also,I,sd,u-6-3
sw3245A-ms98-a-0005,13.046000,13.382750,yes,B,ny,u-8-1
sw3245A-ms98-a-0005,13.382750,13.452750,i,B,sd^e,u-8-2
sw3245A-ms98-a-0005,13.452750,13.666375,have,I,sd^e,u-8-2
sw3245A-ms98-a-0005,13.666375,14.161375,two,I,sd^e,u-8-2
sw3245A-ms98-a-0005,14.161375,14.425125,a,I,sd^e,u-8-2
sw3245A-ms98-a-0005,14.425125,14.652750,seven,I,sd^e,u-8-2
sw3245A-ms98-a-0005,14.652750,14.782750,year,I,sd^e,u-8-2
sw3245A-ms98-a-0005,14.782750,14.962750,old,I,sd^e,u-8-2
sw3245A-ms98-a-0005,14.962750,15.082750,and,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.082750,15.282750,three,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.282750,15.392750,and,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.392750,15.442750,a,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.442750,15.682750,half,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.682750,15.872750,year,I,sd^e,u-8-2
sw3245A-ms98-a-0005,15.872750,16.122750,old,I,sd^e,u-8-2
sw3245A-ms98-a-0006,17.188625,17.301375,how,B,qo,u-10-1
sw3245A-ms98-a-0006,17.301375,17.491375,about_1,I,qo,u-10-1
sw3245A-ms98-a-0006,17.491375,17.731250,you,I,qo,u-10-1
sw3245A-ms98-a-0007,19.370500,19.843750,oh,B,b,u-12-1
sw3245A-ms98-a-0009,23.104625,23.369125,oh,B,ba,u-14-1
sw3245A-ms98-a-0009,23.369125,23.729125,my,I,ba,u-14-1
sw3245A-ms98-a-0009,23.729125,23.929125,you,I,ba,u-14-1
sw3245A-ms98-a-0009,23.929125,24.129125,are,I,ba,u-14-1
sw3245A-ms98-a-0009,24.129125,24.684125,busy,I,ba,u-14-1
sw3245A-ms98-a-0010,25.354125,25.444125,and,B,bf,u-16-1
sw3245A-ms98-a-0010,25.444125,25.574125,they're,I,bf,u-16-1
sw3245A-ms98-a-0010,25.574125,25.764125,all,I,bf,u-16-1
sw3245A-ms98-a-0010,25.764125,25.954125,girls,I,bf,u-16-1
sw3245A-ms98-a-0010,25.954125,25.994125,i,B,sd,u-16-2
sw3245A-ms98-a-0010,25.994125,26.154125,have,I,sd,u-16-2
sw3245A-ms98-a-0010,26.154125,26.343750,two,I,sd,u-16-2
sw3245A-ms98-a-0010,26.343750,26.731250,girls,I,sd,u-16-2
sw3245A-ms98-a-0010,27.676250,27.714125,so,B,sd,u-16-3
sw3245A-ms98-a-0010,27.714125,27.904125,all,I,sd,u-16-3
sw3245A-ms98-a-0010,27.904125,28.224125,girls,I,sd,u-16-3
sw3245A-ms98-a-0010,28.224125,28.484125,around,I,sd,u-16-3
sw3245A-ms98-a-0010,28.484125,28.777875,here,I,sd,u-16-3
sw3245A-ms98-a-0010,28.777875,30.175250,[laughter],O,,
sw3245A-ms98-a-0010,30.175250,30.494125,yes,B,ny,u-18-1
sw3245A-ms98-a-0010,30.494125,30.828500,uh,B,sv^e,u-18-2
sw3245A-ms98-a-0010,30.828500,31.154125,really,I,sv^e,u-18-2
sw3245A-ms98-a-0010,31.154125,31.834000,sweet,I,sv^e,u-18-2
sw3245A-ms98-a-0012,38.990750,39.836875,[laughter],O,,
sw3245A-ms98-a-0012,39.836875,40.018875,that's,B,aa,u-20-1
sw3245A-ms98-a-0012,40.018875,40.258875,how,I,aa,u-20-1
sw3245A-ms98-a-0012,40.258875,40.288875,i,I,aa,u-20-1
sw3245A-ms98-a-0012,40.288875,40.518875,am,I,aa,u-20-1
sw3245A-ms98-a-0012,40.518875,40.812500,too,I,aa,u-20-1
sw3245A-ms98-a-0012,40.812500,42.194500,[laughter],O,,
sw3245A-ms98-a-0014,46.881375,47.259750,um-hum,B,b,u-22-1
sw3245A-ms98-a-0016,49.243375,49.738375,uh-huh,B,b,u-24-1
sw3245A-ms98-a-0017,50.527125,51.087250,[laughter],O,,
sw3245A-ms98-a-0019,55.622375,56.067375,uh-huh,B,+@,u-28-1
sw3245A-ms98-a-0021,58.731750,60.455000,[laughter],O,,
sw3245A-ms98-a-0021,60.455000,60.719875,oh,B,ba,u-30-1
sw3245A-ms98-a-0021,60.719875,61.049875,that's,I,ba,u-30-1
sw3245A-ms98-a-0021,61.049875,61.460750,funny,I,ba,u-30-1
sw3245A-ms98-a-0023,64.393750,64.948625,yeah,B,b,u-32-1
sw3245A-ms98-a-0025,67.205500,67.687500,yeah,B,b,u-34-1
sw3245A-ms98-a-0027,70.580500,70.987500,yeah,B,b,u-36-1
sw3245A-ms98-a-0027,71.202250,71.279000,i,B,aap,u-36-2
sw3245A-ms98-a-0027,71.279000,71.439000,know,I,aap,u-36-2
sw3245A-ms98-a-0027,71.439000,71.629000,that's,I,aap,u-36-2
sw3245A-ms98-a-0027,71.629000,71.879000,kind,I,aap,u-36-2
sw3245A-ms98-a-0027,71.879000,71.939000,of,I,aap,u-36-2
sw3245A-ms98-a-0027,71.939000,72.129000,how,I,aap,u-36-2
sw3245A-ms98-a-0027,72.129000,72.269000,i,I,aap,u-36-2
sw3245A-ms98-a-0027,72.269000,72.725750,am,I,aap,u-36-2
sw3245A-ms98-a-0028,73.374500,73.531375,i,B,sd,u-36-3
sw3245A-ms98-a-0028,73.531375,73.870750,said,I,sd,u-36-3
sw3245A-ms98-a-0028,73.870750,73.960750,who,I,sd,u-36-3
sw3245A-ms98-a-0028,73.960750,74.090750,ever,I,sd,u-36-3
sw3245A-ms98-a-0028,74.090750,74.180750,i,I,sd,u-36-3
sw3245A-ms98-a-0028,74.180750,74.420750,talk,I,sd,u-36-3
sw3245A-ms98-a-0028,74.420750,74.520750,to,I,sd,u-36-3
sw3245A-ms98-a-0028,74.520750,74.620750,is,I,sd,u-36-3
sw3245A-ms98-a-0028,74.620750,74.750750,going,I,sd,u-36-3
sw3245A-ms98-a-0028,74.750750,74.810750,to,I,sd,u-36-3
sw3245A-ms98-a-0028,74.810750,74.970750,be,I,sd,u-36-3
sw3245A-ms98-a-0028,74.970750,75.300750,bored,I,sd,u-36-3
sw3245A-ms98-a-0028,75.300750,75.720750,because,I,sd,u-36-3
sw3245A-ms98-a-0028,75.720750,75.860750,when,I,sd,u-36-3
sw3245A-ms98-a-0028,75.860750,76.070750,it's,I,sd,u-36-3
sw3245A-ms98-a-0028,76.070750,76.290750,summer,I,sd,u-36-3
sw3245A-ms98-a-0028,76.290750,76.610750,time,I,sd,u-36-3
sw3245A-ms98-a-0028,76.610750,76.750750,i'm,I,sd,u-36-3
sw3245A-ms98-a-0028,76.750750,77.020750,wearing,I,sd,u-36-3
sw3245A-ms98-a-0028,77.020750,77.600750,shorts,I,sd,u-36-3
sw3245A-ms98-a-0028,77.600750,77.818000,and,B,sd,u-36-4
sw3245A-ms98-a-0028,78.217250,78.300750,when,I,sd,u-36-4
sw3245A-ms98-a-0028,78.300750,78.430750,it's,I,sd,u-36-4
sw3245A-ms98-a-0028,78.430750,78.770750,cold,I,sd,u-36-4
sw3245A-ms98-a-0028,78.770750,78.910750,i'm,I,sd,u-36-4
sw3245A-ms98-a-0028,78.910750,79.220750,wearing,I,sd,u-36-4
sw3245A-ms98-a-0028,79.220750,79.410750,sweat,I,sd,u-36-4
sw3245A-ms98-a-0028,79.410750,79.840750,pants,I,sd,u-36-4
sw3245A-ms98-a-0028,79.840750,80.024750,and,I,sd,u-36-4
sw3245A-ms98-a-0028,80.024750,80.569750,[laughter],O,,
sw3245A-ms98-a-0029,81.122000,81.435875,most,B,+,u-38-1
sw3245A-ms98-a-0029,81.435875,81.695875,of,I,+,u-38-1
sw3245A-ms98-a-0029,81.695875,81.985875,unless,I,+,u-38-1
sw3245A-ms98-a-0029,81.985875,82.155875,i'm,I,+,u-38-1
sw3245A-ms98-a-0029,82.155875,82.425875,going,I,+,u-38-1
sw3245A-ms98-a-0029,82.425875,82.535875,to,I,+,u-38-1
sw3245A-ms98-a-0029,82.535875,82.845875,something,I,+,u-38-1
sw3245A-ms98-a-0029,82.845875,83.395875,special,I,+,u-38-1
sw3245A-ms98-a-0029,83.395875,83.585875,that,I,+,u-38-1
sw3245A-ms98-a-0029,83.585875,83.695875,my,I,+,u-38-1
sw3245A-ms98-a-0029,83.695875,84.125875,daughter's,I,+,u-38-1
sw3245A-ms98-a-0029,84.125875,84.625875,doing,I,+,u-38-1
sw3245A-ms98-a-0029,84.625875,84.815875,or,I,+,u-38-1
sw3245A-ms98-a-0029,84.815875,85.175875,something,I,+,u-38-1
sw3245A-ms98-a-0029,85.175875,85.375875,like,I,+,u-38-1
sw3245A-ms98-a-0029,85.375875,85.785875,that,I,+,u-38-1
sw3245A-ms98-a-0029,85.785875,85.924500,i,O,,
sw3245A-ms98-a-0030,87.764250,87.869000,well,B,ba,u-40-1
sw3245A-ms98-a-0030,87.869000,88.173500,that's,I,ba,u-40-1
sw3245A-ms98-a-0030,88.700875,88.909000,that's,I,ba,u-40-1
sw3245A-ms98-a-0030,88.909000,89.119000,good,I,ba,u-40-1
sw3245A-ms98-a-0030,89.119000,89.149000,i,B,sd,u-40-2
sw3245A-ms98-a-0030,89.149000,89.349000,used,I,sd,u-40-2
sw3245A-ms98-a-0030,89.349000,89.429000,to,I,sd,u-40-2
sw3245A-ms98-a-0030,89.429000,89.559000,wear,I,sd,u-40-2
sw3245A-ms98-a-0030,89.559000,89.879000,jeans,I,sd,u-40-2
sw3245A-ms98-a-0030,89.879000,90.029000,all,I,sd,u-40-2
sw3245A-ms98-a-0030,90.029000,90.089000,the,I,sd,u-40-2
sw3245A-ms98-a-0030,90.089000,90.349000,time,I,sd,u-40-2
sw3245A-ms98-a-0030,90.349000,90.600875,until,I,sd,u-40-2
sw3245A-ms98-a-0030,90.600875,90.899000,after,I,sd,u-40-2
sw3245A-ms98-a-0030,90.899000,90.979000,i,I,sd,u-40-2
sw3245A-ms98-a-0030,90.979000,91.179000,had,I,sd,u-40-2
sw3245A-ms98-a-0030,91.179000,91.639000,kids,I,sd,u-40-2
sw3245A-ms98-a-0030,91.639000,91.769000,and,B,sd,u-40-3
sw3245A-ms98-a-0030,91.769000,91.939000,now,I,sd,u-40-3
sw3245A-ms98-a-0030,91.939000,92.259000,nothing,I,sd,u-40-3
sw3245A-ms98-a-0030,92.259000,92.519000,seems,I,sd,u-40-3
sw3245A-ms98-a-0030,92.519000,92.609000,to,I,sd,u-40-3
sw3245A-ms98-a-0030,92.609000,92.699000,be,I,sd,u-40-3
sw3245A-ms98-a-0030,92.699000,93.189000,comfortable,I,sd,u-40-3
sw3245A-ms98-a-0030,93.189000,93.459000,because,I,sd,u-40-3
sw3245A-ms98-a-0030,93.459000,93.589000,i,I,sd,u-40-3
sw3245A-ms98-a-0030,93.589000,93.859000,bulge,I,sd,u-40-3
sw3245A-ms98-a-0030,93.859000,93.969000,in,I,sd,u-40-3
sw3245A-ms98-a-0030,93.969000,94.079000,all,I,sd,u-40-3
sw3245A-ms98-a-0030,94.079000,94.149000,the,I,sd,u-40-3
sw3245A-ms98-a-0030,94.149000,94.349000,wrong,I,sd,u-40-3
sw3245A-ms98-a-0030,94.349000,94.869000,places,I,sd,u-40-3
sw3245A-ms98-a-0030,94.869000,95.159000,so,B,%,u-40-4
sw3245A-ms98-a-0030,95.159000,95.700500,[laughter],O,,
sw3245A-ms98-a-0032,100.307750,100.760875,yeah,B,b,u-42-1
sw3245A-ms98-a-0034,103.606500,103.984000,right,B,aa,u-44-1
sw3245A-ms98-a-0034,104.206250,104.662500,yeah,B,aa,u-44-2
sw3245A-ms98-a-0036,112.777750,113.287625,yeah,B,b,u-46-1
sw3245A-ms98-a-0036,113.287625,113.594750,yeah,B,b,u-46-2
sw3245A-ms98-a-0036,113.594750,113.714750,i,B,sd,u-46-3
sw3245A-ms98-a-0036,113.714750,113.884750,know,I,sd,u-46-3
sw3245A-ms98-a-0036,113.884750,114.094750,what,I,sd,u-46-3
sw3245A-ms98-a-0036,114.094750,114.174750,you,I,sd,u-46-3
sw3245A-ms98-a-0036,114.174750,114.532125,mean,I,sd,u-46-3
sw3245A-ms98-a-0036,114.942625,115.184750,well,B,%,u-46-4
sw3245A-ms98-a-0038,119.703500,120.318250,oh,B,b,u-48-1
sw3245A-ms98-a-0039,121.078000,121.452000,uh-huh,B,b,u-50-1
sw3245A-ms98-a-0040,123.356125,123.823250,right,B,aa,u-52-1
sw3245A-ms98-a-0041,124.903250,125.309875,uh-huh,B,b,u-54-1
sw3245A-ms98-a-0043,127.671125,127.929125,that's,B,aa,u-56-1
sw3245A-ms98-a-0043,127.929125,128.373500,right,I,aa,u-56-1
sw3245A-ms98-a-0044,129.638875,129.769625,one,B,sd,u-58-1
sw3245A-ms98-a-0044,129.769625,129.829625,of,I,sd,u-58-1
sw3245A-ms98-a-0044,129.829625,129.959625,my,I,sd,u-58-1
sw3245A-ms98-a-0044,129.959625,130.429625,daughters,I,sd,u-58-1
sw3245A-ms98-a-0044,130.429625,130.559625,was,I,sd,u-58-1
sw3245A-ms98-a-0044,130.559625,130.819625,born,I,sd,u-58-1
sw3245A-ms98-a-0044,130.819625,130.969625,in,I,sd,u-58-1
sw3245A-ms98-a-0044,130.969625,131.495875,June,I,sd,u-58-1
sw3245A-ms98-a-0045,131.876875,132.112875,and,B,sd,u-58-2
sw3245A-ms98-a-0045,132.112875,132.202875,i,I,sd,u-58-2
sw3245A-ms98-a-0045,132.202875,132.682875,remember,I,sd,u-58-2
sw3245A-ms98-a-0045,132.682875,132.862250,i,I,sd,u-58-2
sw3245A-ms98-a-0045,132.862250,133.062875,wore,I,sd,u-58-2
sw3245A-ms98-a-0045,133.062875,133.952875,sundresses,I,sd,u-58-2
sw3245A-ms98-a-0045,133.952875,134.362875,and,I,sd,u-58-2
sw3245A-ms98-a-0045,134.362875,134.482875,you,I,sd,u-58-2
sw3245A-ms98-a-0045,134.482875,134.732875,know,I,sd,u-58-2
sw3245A-ms98-a-0045,134.732875,134.962875,just,I,sd,u-58-2
sw3245A-ms98-a-0045,134.962875,135.263875,those,I,sd,u-58-2
sw3245A-ms98-a-0045,135.746000,135.952875,real,I,sd,u-58-2
sw3245A-ms98-a-0045,135.952875,136.322875,cool,I,sd,u-58-2
sw3245A-ms98-a-0045,136.322875,136.752875,dresses,I,sd,u-58-2
sw3245A-ms98-a-0045,136.752875,137.032875,almost,I,sd,u-58-2
sw3245A-ms98-a-0045,137.032875,137.102875,the,I,sd,u-58-2
sw3245A-ms98-a-0045,137.102875,137.442875,entire,I,sd,u-58-2
sw3245A-ms98-a-0045,137.442875,137.831125,time,I,sd,u-58-2
sw3245A-ms98-a-0045,137.831125,138.807500,[laughter],O,,
sw3245A-ms98-a-0046,138.977625,139.139000,and,B,sd,u-60-1
sw3245A-ms98-a-0046,139.403875,139.474500,i,I,sd,u-60-1
sw3245A-ms98-a-0046,139.474500,139.664500,had,I,sd,u-60-1
sw3245A-ms98-a-0046,139.664500,139.814500,one,I,sd,u-60-1
sw3245A-ms98-a-0046,139.814500,139.904500,that,I,sd,u-60-1
sw3245A-ms98-a-0046,139.904500,140.044500,was,I,sd,u-60-1
sw3245A-ms98-a-0046,140.044500,140.294500,born,I,sd,u-60-1
sw3245A-ms98-a-0046,140.294500,140.424500,in,I,sd,u-60-1
sw3245A-ms98-a-0046,140.424500,141.121750,December,I,sd,u-60-1
sw3245A-ms98-a-0047,141.756125,142.113250,so,B,%,u-60-2
sw3245A-ms98-a-0047,142.113250,142.511000,um,I,%,u-60-2
sw3245A-ms98-a-0047,142.691750,142.813250,it,I,%,u-60-2
sw3245A-ms98-a-0047,142.813250,142.943250,was,I,%,u-60-2
sw3245A-ms98-a-0047,142.943250,143.033250,a,I,%,u-60-2
sw3245A-ms98-a-0047,143.033250,143.213250,little,I,%,u-60-2
sw3245A-ms98-a-0047,143.213250,143.361500,bit,I,%,u-60-2
sw3245A-ms98-a-0047,143.361500,143.600250,b[ecause]-,I,%,u-60-2
sw3245A-ms98-a-0047,143.600250,143.993250,however,I,%,u-60-2
sw3245A-ms98-a-0047,143.993250,144.053250,it,I,%,u-60-2
sw3245A-ms98-a-0047,144.053250,144.173250,was,I,%,u-60-2
sw3245A-ms98-a-0047,144.173250,144.283250,a,I,%,u-60-2
sw3245A-ms98-a-0047,144.283250,144.483250,real,I,%,u-60-2
sw3245A-ms98-a-0047,144.483250,144.773250,warm,I,%,u-60-2
sw3245A-ms98-a-0047,144.773250,145.260250,winter,I,%,u-60-2
sw3245A-ms98-a-0047,145.260250,145.506250,so,B,sd,u-62-1
sw3245A-ms98-a-0047,145.506250,145.988875,even,I,sd,u-62-1
sw3245A-ms98-a-0047,146.177125,146.403250,even,I,sd,u-62-1
sw3245A-ms98-a-0047,146.403250,146.663250,into,I,sd,u-62-1
sw3245A-ms98-a-0047,146.663250,146.813250,like,I,sd,u-62-1
sw3245A-ms98-a-0047,146.813250,147.183250,November,I,sd,u-62-1
sw3245A-ms98-a-0047,147.183250,147.273250,and,I,sd,u-62-1
sw3245A-ms98-a-0047,147.273250,147.673250,December,I,sd,u-62-1
sw3245A-ms98-a-0047,147.673250,147.793250,i,I,sd,u-62-1
sw3245A-ms98-a-0047,147.793250,147.973250,was,I,sd,u-62-1
sw3245A-ms98-a-0047,147.973250,148.243250,still,I,sd,u-62-1
sw3245A-ms98-a-0047,148.243250,148.707000,wearing,I,sd,u-62-1
sw3245A-ms98-a-0047,149.083625,149.133250,the,I,sd,u-62-1
sw3245A-ms98-a-0047,149.133250,149.463250,short,I,sd,u-62-1
sw3245A-ms98-a-0047,149.463250,149.673250,sleeve,I,sd,u-62-1
sw3245A-ms98-a-0047,149.673250,150.043250,dresses,I,sd,u-62-1
sw3245A-ms98-a-0047,150.043250,150.273250,course,B,sd,u-62-2
sw3245A-ms98-a-0047,150.273250,150.403250,i'm,I,sd,u-62-2
sw3245A-ms98-a-0047,150.403250,150.695250,always,I,sd,u-62-2
sw3245A-ms98-a-0047,150.695250,150.953250,hot,I,sd,u-62-2
sw3245A-ms98-a-0047,150.953250,151.053250,when,I,sd,u-62-2
sw3245A-ms98-a-0047,151.053250,151.163250,i'm,I,sd,u-62-2
sw3245A-ms98-a-0047,151.163250,151.583250,pregnant,I,sd,u-62-2
sw3245A-ms98-a-0047,151.583250,151.923250,too,I,sd,u-62-2
sw3245A-ms98-a-0047,151.923250,152.219500,so,B,%,u-62-3
sw3245A-ms98-a-0047,152.219500,153.085750,[laughter],O,,
sw3245A-ms98-a-0047,153.085750,153.276375,i,B,sd,u-64-1
sw3245A-ms98-a-0047,153.276375,153.603250,didn't,I,sd,u-64-1
sw3245A-ms98-a-0047,153.603250,153.823250,really,I,sd,u-64-1
sw3245A-ms98-a-0047,153.823250,154.153250,need,I,sd,u-64-1
sw3245A-ms98-a-0047,154.153250,154.483250,warm,I,sd,u-64-1
sw3245A-ms98-a-0047,154.483250,155.957750,clothes,I,sd,u-64-1
sw3245A-ms98-a-0048,156.632250,156.820625,but,B,sd,u-64-2
sw3245A-ms98-a-0048,156.820625,156.950625,i,I,sd,u-64-2
sw3245A-ms98-a-0048,156.950625,157.250625,really,I,sd,u-64-2
sw3245A-ms98-a-0048,157.250625,157.410625,have,I,sd,u-64-2
sw3245A-ms98-a-0048,157.410625,157.660625,been,I,sd,u-64-2
sw3245A-ms98-a-0048,157.660625,158.000625,spoiled,I,sd,u-64-2
sw3245A-ms98-a-0048,158.000625,158.195125,by,I,sd,u-64-2
sw3245A-ms98-a-0048,158.195125,158.450625,sweat,I,sd,u-64-2
sw3245A-ms98-a-0048,158.450625,159.030625,pants,I,sd,u-64-2
sw3245A-ms98-a-0048,159.030625,159.250625,and,I,sd,u-64-2
sw3245A-ms98-a-0048,159.250625,159.470625,these,I,sd,u-64-2
sw3245A-ms98-a-0048,159.470625,159.936375,new,I,sd,u-64-2
sw3245A-ms98-a-0048,159.936375,160.100625,uh,I,sd,u-64-2
sw3245A-ms98-a-0048,160.100625,160.660625,units,I,sd,u-64-2
sw3245A-ms98-a-0048,160.660625,161.100625,outfits,I,sd,u-64-2
sw3245A-ms98-a-0048,161.100625,161.180625,you,I,sd,u-64-2
sw3245A-ms98-a-0048,161.180625,161.350625,know,I,sd,u-64-2
sw3245A-ms98-a-0048,161.350625,161.460625,that,I,sd,u-64-2
sw3245A-ms98-a-0048,161.460625,161.520625,are,I,sd,u-64-2
sw3245A-ms98-a-0048,161.520625,161.760625,just,I,sd,u-64-2
sw3245A-ms98-a-0048,161.760625,162.322625,knit,I,sd,u-64-2
sw3245A-ms98-a-0049,163.544375,163.873000,oh,B,sd,u-66-1
sw3245A-ms98-a-0049,163.873000,164.103000,they're,I,sd,u-66-1
sw3245A-ms98-a-0049,164.103000,164.333000,so,I,sd,u-66-1
sw3245A-ms98-a-0049,164.333000,165.171250,comfortable,I,sd,u-66-1
sw3245A-ms98-a-0049,165.171250,165.415000,it's,B,sd,u-68-1
sw3245A-ms98-a-0049,165.663500,165.820000,it's,I,sd,u-68-1
sw3245A-ms98-a-0049,165.820000,166.169875,just,I,sd,u-68-1
sw3245A-ms98-a-0049,166.169875,166.556125,um,I,sd,u-68-1
sw3245A-ms98-a-0049,166.556125,166.733000,you,I,sd,u-68-1
sw3245A-ms98-a-0049,166.733000,166.863000,know,I,sd,u-68-1
sw3245A-ms98-a-0049,166.863000,166.893000,a,I,sd,u-68-1
sw3245A-ms98-a-0049,166.893000,167.353000,light,I,sd,u-68-1
sw3245A-ms98-a-0049,167.353000,167.867000,weight,I,sd,u-68-1
sw3245A-ms98-a-0049,168.217250,168.393000,kind,B,+,u-70-1
sw3245A-ms98-a-0049,168.393000,168.463000,of,I,+,u-70-1
sw3245A-ms98-a-0049,168.463000,168.633000,like,I,+,u-70-1
sw3245A-ms98-a-0049,168.633000,168.759875,a,I,+,u-70-1
sw3245A-ms98-a-0049,168.759875,169.083000,sweat,I,+,u-70-1
sw3245A-ms98-a-0049,169.083000,169.353000,suit,I,+,u-70-1
sw3245A-ms98-a-0049,169.353000,169.513000,but,I,+,u-70-1
sw3245A-ms98-a-0049,169.513000,169.743000,made,I,+,u-70-1
sw3245A-ms98-a-0049,169.743000,169.863000,out,I,+,u-70-1
sw3245A-ms98-a-0049,169.863000,169.953000,of,I,+,u-70-1
sw3245A-ms98-a-0049,169.953000,170.153000,that,I,+,u-70-1
sw3245A-ms98-a-0049,170.153000,170.373000,real,I,+,u-70-1
sw3245A-ms98-a-0049,170.373000,170.563000,light,I,+,u-70-1
sw3245A-ms98-a-0049,170.563000,171.163000,polyester,I,+,u-70-1
sw3245A-ms98-a-0049,171.163000,171.593000,stuff,I,+,u-70-1
sw3245A-ms98-a-0049,171.593000,171.724250,and,B,sd,u-70-2
sw3245A-ms98-a-0050,172.245000,172.422875,it's,B,+,u-72-1
sw3245A-ms98-a-0050,172.422875,172.602875,just,I,+,u-72-1
sw3245A-ms98-a-0050,172.602875,172.872875,great,I,+,u-72-1
sw3245A-ms98-a-0050,172.872875,173.152875,because,I,+,u-72-1
sw3245A-ms98-a-0050,173.152875,173.252875,you,I,+,u-72-1
sw3245A-ms98-a-0050,173.252875,173.536875,can,I,+,u-72-1
sw3245A-ms98-a-0050,173.744000,174.022875,put,I,+,u-72-1
sw3245A-ms98-a-0050,174.022875,174.132875,you,I,+,u-72-1
sw3245A-ms98-a-0050,174.132875,174.222875,know,I,+,u-72-1
sw3245A-ms98-a-0050,174.222875,174.332875,you,I,+,u-72-1
sw3245A-ms98-a-0050,174.332875,174.522875,can,I,+,u-72-1
sw3245A-ms98-a-0050,174.522875,174.902875,decorate,I,+,u-72-1
sw3245A-ms98-a-0050,174.902875,175.022875,them_1,I,+,u-72-1
sw3245A-ms98-a-0050,175.022875,175.332875,up,I,+,u-72-1
sw3245A-ms98-a-0050,175.332875,175.412875,or,I,+,u-72-1
sw3245A-ms98-a-0050,175.412875,175.732875,dress,I,+,u-72-1
sw3245A-ms98-a-0050,175.732875,175.822875,them_1,I,+,u-72-1
sw3245A-ms98-a-0050,175.822875,175.992875,up,I,+,u-72-1
sw3245A-ms98-a-0050,175.992875,176.092875,if,I,+,u-72-1
sw3245A-ms98-a-0050,176.092875,176.232875,you,I,+,u-72-1
sw3245A-ms98-a-0050,176.232875,176.572875,want,I,+,u-72-1
sw3245A-ms98-a-0050,176.572875,176.682875,or,B,sd,u-72-2
sw3245A-ms98-a-0050,176.682875,176.782875,you,I,sd,u-72-2
sw3245A-ms98-a-0050,176.782875,176.872875,can,I,sd,u-72-2
sw3245A-ms98-a-0050,176.872875,177.082875,just,I,sd,u-72-2
sw3245A-ms98-a-0050,177.082875,177.192875,wear,I,sd,u-72-2
sw3245A-ms98-a-0050,177.192875,177.302875,them_1,I,sd,u-72-2
sw3245A-ms98-a-0050,177.302875,177.520625,with,I,sd,u-72-2
sw3245A-ms98-a-0050,177.708875,177.822875,you,I,sd,u-72-2
sw3245A-ms98-a-0050,177.822875,177.942875,know,I,sd,u-72-2
