sw2308B-ms98-a-0002,27.436125,27.913000,jeez,B,ba,u-2-1
sw2308B-ms98-a-0006,100.027750,100.437750,filthy,I,sd,u-4-4
sw2308B-ms98-a-0006,100.437750,101.067750,conditions,I,sd,u-4-4
sw2308B-ms98-a-0006,101.067750,101.167750,in,B,sd,u-4-5
sw2308B-ms98-a-0006,101.167750,101.457750,fact,I,sd,u-4-5
sw2308B-ms98-a-0006,101.457750,101.557750,here,I,sd,u-4-5
sw2308B-ms98-a-0006,101.557750,101.637750,in,I,sd,u-4-5
sw2308B-ms98-a-0006,101.637750,102.097750,Baltimore,I,sd,u-4-5
sw2308B-ms98-a-0006,102.097750,102.267750,they've,I,sd,u-4-5
sw2308B-ms98-a-0006,102.267750,102.627750,actually,I,sd,u-4-5
sw2308B-ms98-a-0006,102.627750,102.927750,shut,I,sd,u-4-5
sw2308B-ms98-a-0006,102.927750,102.957750,a,I,sd,u-4-5
sw2308B-ms98-a-0006,102.957750,103.277750,couple,I,sd,u-4-5
sw2308B-ms98-a-0006,103.277750,103.367750,of,I,sd,u-4-5
sw2308B-ms98-a-0006,103.367750,103.607750,them,I,sd,u-4-5
sw2308B-ms98-a-0006,103.607750,104.047375,down,I,sd,u-4-5
sw2308B-ms98-a-0007,104.542875,104.694000,and,I,sd,u-4-5
sw2308B-ms98-a-0007,104.694000,104.974000,taken,I,sd,u-4-5
sw2308B-ms98-a-0007,104.974000,105.074000,all,I,sd,u-4-5
sw2308B-ms98-a-0007,105.074000,105.134000,the,I,sd,u-4-5
sw2308B-ms98-a-0007,105.134000,105.484000,people,I,sd,u-4-5
sw2308B-ms98-a-0007,105.484000,105.704000,out,I,sd,u-4-5
sw2308B-ms98-a-0007,105.704000,105.784000,of,I,sd,u-4-5
sw2308B-ms98-a-0007,105.784000,105.964000,them,I,sd,u-4-5
sw2308B-ms98-a-0007,105.964000,106.224000,because,I,sd,u-4-5
sw2308B-ms98-a-0007,106.224000,106.294000,they,I,sd,u-4-5
sw2308B-ms98-a-0007,106.294000,106.394000,were,I,sd,u-4-5
sw2308B-ms98-a-0007,106.394000,106.844000,so,I,sd,u-4-5
sw2308B-ms98-a-0007,106.844000,107.197125,uh,I,sd,u-4-5
sw2308B-ms98-a-0007,107.370375,107.554000,bug,I,sd,u-4-5
sw2308B-ms98-a-0007,107.554000,108.174000,infested,I,sd,u-4-5
sw2308B-ms98-a-0007,108.174000,108.334000,and,I,sd,u-4-5
sw2308B-ms98-a-0007,108.334000,108.564000,rat,I,sd,u-4-5
sw2308B-ms98-a-0007,108.564000,109.167000,infested,I,sd,u-4-5
sw2308B-ms98-a-0007,109.656625,109.818375,and,B,%,u-4-6
sw2308B-ms98-a-0007,109.818375,109.946625,it,O,,
sw2308B-ms98-a-0007,109.946625,110.436125,i-,O,,
sw2308B-ms98-a-0007,111.080250,111.174000,you,O,,
sw2308B-ms98-a-0007,111.174000,111.444000,know,O,,
sw2308B-ms98-a-0007,111.444000,111.674000,really,B,sv,u-4-7
sw2308B-ms98-a-0007,111.674000,112.634000,concerns,I,sv,u-4-7
sw2308B-ms98-a-0007,112.634000,113.070625,me,I,sv,u-4-7
sw2308B-ms98-a-0007,113.070625,113.230000,that,I,sv,u-4-7
sw2308B-ms98-a-0008,113.777625,114.087625,um,I,sv,u-4-7
sw2308B-ms98-a-0008,114.087625,114.367625,first,I,sv,u-4-7
sw2308B-ms98-a-0008,114.367625,114.447625,of,I,sv,u-4-7
sw2308B-ms98-a-0008,114.447625,114.587625,all,I,sv,u-4-7
sw2308B-ms98-a-0008,114.587625,114.755625,that,I,sv,u-4-7
sw2308B-ms98-a-0008,114.755625,115.417625,anyone,I,sv,u-4-7
sw2308B-ms98-a-0008,115.417625,115.627625,could,I,sv,u-4-7
sw2308B-ms98-a-0008,115.627625,115.797625,let,I,sv,u-4-7
sw2308B-ms98-a-0008,115.797625,116.107625,someone,I,sv,u-4-7
sw2308B-ms98-a-0008,116.107625,116.347625,live,I,sv,u-4-7
sw2308B-ms98-a-0008,116.347625,116.567625,like,I,sv,u-4-7
sw2308B-ms98-a-0008,116.567625,116.773375,that,I,sv,u-4-7
sw2308B-ms98-a-0008,117.296875,117.437625,but,B,qh,u-4-8
sw2308B-ms98-a-0008,117.437625,117.557625,if,I,qh,u-4-8
sw2308B-ms98-a-0008,117.557625,117.667625,you,I,qh,u-4-8
sw2308B-ms98-a-0008,117.667625,117.917625,have,I,qh,u-4-8
sw2308B-ms98-a-0008,117.917625,118.275375,to,I,qh,u-4-8
sw2308B-ms98-a-0009,119.081875,119.181875,you,I,qh,u-4-8
sw2308B-ms98-a-0009,119.181875,119.377125,know,I,qh,u-4-8
sw2308B-ms98-a-0009,119.619125,119.821875,how,I,qh,u-4-8
sw2308B-ms98-a-0009,119.821875,119.911875,do,I,qh,u-4-8
sw2308B-ms98-a-0009,119.911875,120.031875,you,I,qh,u-4-8
sw2308B-ms98-a-0009,120.031875,120.281875,make,I,qh,u-4-8
sw2308B-ms98-a-0009,120.281875,120.731875,sure,I,qh,u-4-8
sw2308B-ms98-a-0009,120.731875,120.781875,i,B,sv,u-4-9
sw2308B-ms98-a-0009,120.781875,121.021875,mean,I,sv,u-4-9
sw2308B-ms98-a-0009,121.021875,121.161875,i'm,I,sv,u-4-9
sw2308B-ms98-a-0009,121.161875,121.461875,sure,I,sv,u-4-9
sw2308B-ms98-a-0009,121.461875,121.601875,when,I,sv,u-4-9
sw2308B-ms98-a-0009,121.601875,121.671875,you,I,sv,u-4-9
sw2308B-ms98-a-0009,121.671875,121.911875,make,I,sv,u-4-9
sw2308B-ms98-a-0009,121.911875,122.051875,your,I,sv,u-4-9
sw2308B-ms98-a-0009,122.051875,122.471875,appointment,I,sv,u-4-9
sw2308B-ms98-a-0009,122.471875,122.561875,and,I,sv,u-4-9
sw2308B-ms98-a-0009,122.561875,122.711875,go,I,sv,u-4-9
sw2308B-ms98-a-0009,122.711875,122.961875,by,I,sv,u-4-9
sw2308B-ms98-a-0009,122.961875,123.361875,everybody,I,sv,u-4-9
sw2308B-ms98-a-0009,123.361875,123.601875,puts,I,sv,u-4-9
sw2308B-ms98-a-0009,123.601875,123.721875,on,I,sv,u-4-9
sw2308B-ms98-a-0009,123.721875,123.761875,a,I,sv,u-4-9
sw2308B-ms98-a-0009,123.761875,124.121875,happy,I,sv,u-4-9
sw2308B-ms98-a-0009,124.121875,124.770875,face,I,sv,u-4-9
sw2308B-ms98-a-0010,125.334375,125.830875,um,I,sv,u-4-9
sw2308B-ms98-a-0010,125.957375,126.043750,you,B,qh,u-4-10
sw2308B-ms98-a-0010,126.043750,126.103750,know,I,qh,u-4-10
sw2308B-ms98-a-0010,126.103750,126.343750,how,I,qh,u-4-10
sw2308B-ms98-a-0010,126.343750,126.453750,are,I,qh,u-4-10
sw2308B-ms98-a-0010,126.453750,126.633750,you,I,qh,u-4-10
sw2308B-ms98-a-0010,126.633750,127.243750,sure,I,qh,u-4-10
sw2308B-ms98-a-0010,127.243750,127.433750,that,I,qh,u-4-10
sw2308B-ms98-a-0010,127.433750,127.543750,the,I,qh,u-4-10
sw2308B-ms98-a-0010,127.543750,127.963750,home,I,qh,u-4-10
sw2308B-ms98-a-0010,127.963750,128.103750,is,I,qh,u-4-10
sw2308B-ms98-a-0010,128.103750,128.553750,really,I,qh,u-4-10
sw2308B-ms98-a-0010,128.553750,128.703750,as,I,qh,u-4-10
sw2308B-ms98-a-0010,128.703750,128.903750,good,I,qh,u-4-10
sw2308B-ms98-a-0010,128.903750,129.023750,as,I,qh,u-4-10
sw2308B-ms98-a-0010,129.023750,129.143750,it,I,qh,u-4-10
sw2308B-ms98-a-0010,129.143750,129.447375,is,I,qh,u-4-10
sw2308B-ms98-a-0010,129.888000,130.133750,because,I,qh,u-4-10
sw2308B-ms98-a-0010,130.133750,130.333750,once,I,qh,u-4-10
sw2308B-ms98-a-0010,130.333750,130.393750,you,I,qh,u-4-10
sw2308B-ms98-a-0010,130.393750,130.573750,put,I,qh,u-4-10
sw2308B-ms98-a-0010,130.573750,130.923750,someone,I,qh,u-4-10
sw2308B-ms98-a-0010,130.923750,131.163750,into,I,qh,u-4-10
sw2308B-ms98-a-0010,131.163750,131.474375,there,I,qh,u-4-10
sw2308B-ms98-a-0011,131.841750,131.902750,you,I,qh,u-4-10
sw2308B-ms98-a-0011,131.902750,131.962750,know,I,qh,u-4-10
sw2308B-ms98-a-0011,131.962750,132.092750,they,I,qh,u-4-10
sw2308B-ms98-a-0011,132.092750,132.262750,may,I,qh,u-4-10
sw2308B-ms98-a-0011,132.262750,132.512750,not,I,qh,u-4-10
sw2308B-ms98-a-0011,132.512750,132.732750,like,I,qh,u-4-10
sw2308B-ms98-a-0011,132.732750,132.792750,the,I,qh,u-4-10
sw2308B-ms98-a-0011,132.792750,133.062750,fact,I,qh,u-4-10
sw2308B-ms98-a-0011,133.062750,133.182750,that,I,qh,u-4-10
sw2308B-ms98-a-0011,133.182750,133.322750,they've,I,qh,u-4-10
sw2308B-ms98-a-0011,133.322750,133.452750,been,I,qh,u-4-10
sw2308B-ms98-a-0011,133.452750,133.642750,put,I,qh,u-4-10
sw2308B-ms98-a-0011,133.642750,133.732750,in,I,qh,u-4-10
sw2308B-ms98-a-0011,133.732750,133.892750,there,I,qh,u-4-10
sw2308B-ms98-a-0011,133.892750,133.992750,and,B,sv,u-4-11
sw2308B-ms98-a-0011,133.992750,134.052750,they,I,sv,u-4-11
sw2308B-ms98-a-0011,134.052750,134.252750,might,I,sv,u-4-11
sw2308B-ms98-a-0011,134.252750,134.572750,complain,I,sv,u-4-11
sw2308B-ms98-a-0011,134.572750,134.832750,about,I,sv,u-4-11
sw2308B-ms98-a-0011,134.832750,134.892750,the,I,sv,u-4-11
sw2308B-ms98-a-0011,134.892750,135.202750,place,I,sv,u-4-11
sw2308B-ms98-a-0011,135.202750,135.332750,all,I,sv,u-4-11
sw2308B-ms98-a-0011,135.332750,135.422750,the,I,sv,u-4-11
sw2308B-ms98-a-0011,135.422750,135.752750,time,I,sv,u-4-11
sw2308B-ms98-a-0011,135.752750,135.912750,even,I,sv,u-4-11
sw2308B-ms98-a-0011,135.912750,136.012750,though,I,sv,u-4-11
sw2308B-ms98-a-0011,136.012750,136.152750,it's,I,sv,u-4-11
sw2308B-ms98-a-0011,136.152750,136.222750,the,I,sv,u-4-11
sw2308B-ms98-a-0011,136.222750,136.482750,best,I,sv,u-4-11
sw2308B-ms98-a-0011,136.482750,136.732750,place,I,sv,u-4-11
sw2308B-ms98-a-0011,136.732750,136.802750,in,I,sv,u-4-11
sw2308B-ms98-a-0011,136.802750,136.862750,the,I,sv,u-4-11
sw2308B-ms98-a-0011,136.862750,137.002750,whole,I,sv,u-4-11
sw2308B-ms98-a-0011,137.002750,137.232750,world,I,sv,u-4-11
sw2308B-ms98-a-0011,137.232750,137.332750,they,I,sv,u-4-11
sw2308B-ms98-a-0011,137.332750,137.512750,could,I,sv,u-4-11
sw2308B-ms98-a-0011,137.512750,137.861500,be,I,sv,u-4-11
sw2308B-ms98-a-0011,138.386000,138.582750,just,I,sv,u-4-11
sw2308B-ms98-a-0011,138.582750,138.942750,because,I,sv,u-4-11
sw2308B-ms98-a-0011,138.942750,139.032750,they,I,sv,u-4-11
sw2308B-ms98-a-0011,139.032750,139.162750,want,I,sv,u-4-11
sw2308B-ms98-a-0011,139.162750,139.222750,to,I,sv,u-4-11
sw2308B-ms98-a-0011,139.222750,139.382750,make,I,sv,u-4-11
sw2308B-ms98-a-0011,139.382750,139.452750,you,I,sv,u-4-11
sw2308B-ms98-a-0011,139.452750,139.712750,feel,I,sv,u-4-11
sw2308B-ms98-a-0011,139.712750,140.042750,guilty,I,sv,u-4-11
sw2308B-ms98-a-0011,140.042750,140.172750,for,I,sv,u-4-11
sw2308B-ms98-a-0011,140.172750,140.442750,putting,I,sv,u-4-11
sw2308B-ms98-a-0011,140.442750,140.572750,them,I,sv,u-4-11
sw2308B-ms98-a-0011,140.572750,140.732750,in,I,sv,u-4-11
sw2308B-ms98-a-0011,140.732750,141.031125,there,I,sv,u-4-11
sw2308B-ms98-a-0011,141.479375,141.837625,and,B,qy,u-4-12
sw2308B-ms98-a-0011,142.086250,142.222750,you,I,qy,u-4-12
sw2308B-ms98-a-0011,142.222750,142.364625,know,I,qy,u-4-12
sw2308B-ms98-a-0013,144.987125,145.382500,yeah,B,b,u-6-1
sw2308B-ms98-a-0015,179.477250,179.751500,uh-huh,B,b,u-8-1
sw2308B-ms98-a-0017,217.613875,217.856750,uh-huh,B,b,u-10-1
sw2308B-ms98-a-0019,225.922000,226.369375,yes,B,aa,u-12-1
sw2308B-ms98-a-0019,226.369375,226.509375,uh,B,aa,u-12-2
sw2308B-ms98-a-0019,226.509375,226.789375,that's,I,aa,u-12-2
sw2308B-ms98-a-0019,226.789375,227.049375,true,I,aa,u-12-2
sw2308B-ms98-a-0019,227.049375,227.399375,my,B,sd,u-12-3
sw2308B-ms98-a-0019,227.399375,227.712875,uh,I,sd,u-12-3
sw2308B-ms98-a-0019,228.078250,228.279375,my,I,sd,u-12-3
sw2308B-ms98-a-0019,228.279375,229.211250,grandmother's,I,sd,u-12-3
sw2308B-ms98-a-0019,229.211250,229.634375,um,I,sd,u-12-3
sw2308B-ms98-a-0019,229.924500,230.149375,last,B,sd,u-12-4
sw2308B-ms98-a-0019,230.149375,230.289375,time,I,sd,u-12-4
sw2308B-ms98-a-0019,230.289375,230.369375,my,I,sd,u-12-4
sw2308B-ms98-a-0019,230.369375,230.629375,mother,I,sd,u-12-4
sw2308B-ms98-a-0019,230.629375,230.769375,went,I,sd,u-12-4
sw2308B-ms98-a-0019,230.769375,230.989375,down,I,sd,u-12-4
sw2308B-ms98-a-0019,230.989375,231.079375,there,I,sd,u-12-4
sw2308B-ms98-a-0019,231.079375,231.169375,to,I,sd,u-12-4
sw2308B-ms98-a-0019,231.169375,231.579375,visit,I,sd,u-12-4
sw2308B-ms98-a-0019,231.579375,231.759375,the,I,sd,u-12-4
sw2308B-ms98-a-0019,231.759375,231.849375,the,I,sd,u-12-4
sw2308B-ms98-a-0019,231.849375,232.169375,place,I,sd,u-12-4
sw2308B-ms98-a-0019,232.169375,232.279375,where,I,sd,u-12-4
sw2308B-ms98-a-0019,232.279375,232.339375,my,I,sd,u-12-4
sw2308B-ms98-a-0019,232.339375,232.719375,grandmother,I,sd,u-12-4
sw2308B-ms98-a-0019,232.719375,232.829375,was,I,sd,u-12-4
sw2308B-ms98-a-0019,232.829375,233.159375,staying,I,sd,u-12-4
sw2308B-ms98-a-0019,233.159375,233.339375,at,I,sd,u-12-4
sw2308B-ms98-a-0019,233.339375,233.459375,was,I,sd,u-12-4
sw2308B-ms98-a-0019,233.459375,233.669375,so,I,sd,u-12-4
sw2308B-ms98-a-0019,233.669375,234.239375,overrun,I,sd,u-12-4
sw2308B-ms98-a-0019,234.239375,234.391000,with,I,sd,u-12-4
sw2308B-ms98-a-0019,234.391000,234.975375,roaches,I,sd,u-12-4
sw2308B-ms98-a-0020,235.636000,235.996500,that,I,sd,u-12-4
sw2308B-ms98-a-0020,235.996500,236.116500,uh,I,sd,u-12-4
sw2308B-ms98-a-0020,236.116500,236.326500,she,I,sd,u-12-4
sw2308B-ms98-a-0020,236.326500,236.486500,even,I,sd,u-12-4
sw2308B-ms98-a-0020,236.486500,236.596500,ha[d]-,I,sd,u-12-4
sw2308B-ms98-a-0020,236.596500,236.766500,you,I,sd,u-12-4
sw2308B-ms98-a-0020,236.766500,236.926500,know,I,sd,u-12-4
sw2308B-ms98-a-0020,236.926500,237.066500,they,I,sd,u-12-4
sw2308B-ms98-a-0020,237.066500,237.246500,went,I,sd,u-12-4
sw2308B-ms98-a-0020,237.246500,237.306500,in,I,sd,u-12-4
sw2308B-ms98-a-0020,237.306500,237.416500,and,I,sd,u-12-4
sw2308B-ms98-a-0020,237.416500,237.506500,she,I,sd,u-12-4
sw2308B-ms98-a-0020,237.506500,237.636500,had,I,sd,u-12-4
sw2308B-ms98-a-0020,237.636500,237.976500,roaches,I,sd,u-12-4
sw2308B-ms98-a-0020,237.976500,238.446500,crawling,I,sd,u-12-4
sw2308B-ms98-a-0020,238.446500,238.616500,on,I,sd,u-12-4
sw2308B-ms98-a-0020,238.616500,238.886500,her,I,sd,u-12-4
sw2308B-ms98-a-0020,238.886500,239.006500,there,B,sd,u-12-5
sw2308B-ms98-a-0020,239.006500,239.086500,were,I,sd,u-12-5
sw2308B-ms98-a-0020,239.086500,239.566500,roaches,I,sd,u-12-5
sw2308B-ms98-a-0020,239.566500,239.796500,even,I,sd,u-12-5
sw2308B-ms98-a-0020,239.796500,239.906500,in,I,sd,u-12-5
sw2308B-ms98-a-0020,239.906500,240.106500,her,I,sd,u-12-5
sw2308B-ms98-a-0020,240.106500,240.486500,alarm,I,sd,u-12-5
sw2308B-ms98-a-0020,240.486500,240.927125,clock,I,sd,u-12-5
sw2308B-ms98-a-0020,241.591125,242.086000,um,I,sd,u-12-5
sw2308B-ms98-a-0021,243.024625,243.325750,yes,B,aa,u-14-1
sw2308B-ms98-a-0021,243.325750,243.435750,it,B,sd,u-14-2
sw2308B-ms98-a-0021,243.435750,243.585750,was,I,sd,u-14-2
sw2308B-ms98-a-0021,243.585750,244.035750,absolutely,I,sd,u-14-2
sw2308B-ms98-a-0021,244.035750,244.495750,horrible,I,sd,u-14-2
sw2308B-ms98-a-0021,244.495750,244.685750,they,B,sd,u-14-3
sw2308B-ms98-a-0021,244.685750,244.915750,took,I,sd,u-14-3
sw2308B-ms98-a-0021,244.915750,245.125750,her,I,sd,u-14-3
sw2308B-ms98-a-0021,245.125750,245.755750,immediately,I,sd,u-14-3
sw2308B-ms98-a-0021,245.755750,245.915750,out,I,sd,u-14-3
sw2308B-ms98-a-0021,245.915750,246.005750,of,I,sd,u-14-3
sw2308B-ms98-a-0021,246.005750,246.321500,there,I,sd,u-14-3
sw2308B-ms98-a-0021,246.860000,247.035750,and,B,sd,u-14-4
sw2308B-ms98-a-0021,247.035750,247.125750,they,I,sd,u-14-4
sw2308B-ms98-a-0021,247.125750,247.405750,just,I,sd,u-14-4
sw2308B-ms98-a-0021,247.405750,247.702625,threw,I,sd,u-14-4
sw2308B-ms98-a-0021,247.702625,248.225750,everything,I,sd,u-14-4
sw2308B-ms98-a-0021,248.225750,248.824000,away,I,sd,u-14-4
sw2308B-ms98-a-0022,249.549500,249.699625,that,I,sd,u-14-4
sw2308B-ms98-a-0022,249.890250,250.065250,that,I,sd,u-14-4
sw2308B-ms98-a-0022,250.065250,250.235250,she,I,sd,u-14-4
sw2308B-ms98-a-0022,250.235250,250.505250,had,I,sd,u-14-4
sw2308B-ms98-a-0022,250.505250,250.675250,from,I,sd,u-14-4
sw2308B-ms98-a-0022,250.675250,250.865250,there,I,sd,u-14-4
sw2308B-ms98-a-0022,250.865250,250.915250,i,B,sd,u-14-5
sw2308B-ms98-a-0022,250.915250,251.105250,mean,I,sd,u-14-5
sw2308B-ms98-a-0022,251.105250,251.235250,they,I,sd,u-14-5
sw2308B-ms98-a-0022,251.235250,251.445250,wouldn't,I,sd,u-14-5
sw2308B-ms98-a-0022,251.445250,251.635250,even,I,sd,u-14-5
sw2308B-ms98-a-0022,251.635250,251.945250,take,I,sd,u-14-5
sw2308B-ms98-a-0022,251.945250,252.160500,the,I,sd,u-14-5
sw2308B-ms98-a-0022,252.160500,252.554625,uh,I,sd,u-14-5
sw2308B-ms98-a-0022,252.554625,252.893500,the,I,sd,u-14-5
sw2308B-ms98-a-0022,252.893500,253.420000,uh,I,sd,u-14-5
sw2308B-ms98-a-0022,253.420000,253.544375,the,I,sd,u-14-5
sw2308B-ms98-a-0022,253.544375,254.005250,dresser,I,sd,u-14-5
sw2308B-ms98-a-0022,254.005250,254.145250,that,I,sd,u-14-5
sw2308B-ms98-a-0022,254.145250,254.275250,she,I,sd,u-14-5
sw2308B-ms98-a-0022,254.275250,254.707250,had,I,sd,u-14-5
sw2308B-ms98-a-0022,254.707250,254.865250,that,I,sd,u-14-5
sw2308B-ms98-a-0022,254.865250,254.955250,was,I,sd,u-14-5
sw2308B-ms98-a-0022,254.955250,255.165250,her,I,sd,u-14-5
sw2308B-ms98-a-0022,255.165250,255.265250,own,I,sd,u-14-5
sw2308B-ms98-a-0022,255.265250,255.675250,dresser,I,sd,u-14-5
sw2308B-ms98-a-0022,255.675250,256.214750,because,I,sd,u-14-5
sw2308B-ms98-a-0022,256.798625,256.865250,it,I,sd,u-14-5
sw2308B-ms98-a-0022,256.865250,257.005250,was,I,sd,u-14-5
sw2308B-ms98-a-0022,257.005250,257.355250,just,I,sd,u-14-5
sw2308B-ms98-a-0022,257.355250,257.455250,you,I,sd,u-14-5
sw2308B-ms98-a-0022,257.455250,257.575250,know,I,sd,u-14-5
sw2308B-ms98-a-0022,257.575250,257.875250,full,I,sd,u-14-5
sw2308B-ms98-a-0022,257.875250,257.975250,of,I,sd,u-14-5
sw2308B-ms98-a-0022,257.975250,258.365250,bugs,I,sd,u-14-5
sw2308B-ms98-a-0022,258.365250,258.455250,they,B,sd,u-14-6
sw2308B-ms98-a-0022,258.455250,258.675250,just,I,sd,u-14-6
sw2308B-ms98-a-0022,258.675250,258.905250,left,I,sd,u-14-6
sw2308B-ms98-a-0022,258.905250,259.357125,everything,I,sd,u-14-6
sw2308B-ms98-a-0023,259.955250,260.316500,and,I,sd,u-14-6
sw2308B-ms98-a-0023,260.316500,260.635000,uh,I,sd,u-14-6
sw2308B-ms98-a-0023,260.635000,260.826500,bought,I,sd,u-14-6
sw2308B-ms98-a-0023,260.826500,260.976500,her,I,sd,u-14-6
sw2308B-ms98-a-0023,260.976500,261.116500,all,I,sd,u-14-6
sw2308B-ms98-a-0023,261.116500,261.436500,brand,I,sd,u-14-6
sw2308B-ms98-a-0023,261.436500,261.536500,new,I,sd,u-14-6
sw2308B-ms98-a-0023,261.536500,261.986500,stuff,I,sd,u-14-6
sw2308B-ms98-a-0023,261.986500,262.076500,and,B,sd,u-14-7
sw2308B-ms98-a-0023,262.076500,262.325375,they,I,sd,u-14-7
sw2308B-ms98-a-0023,262.325375,262.561375,they,I,sd,u-14-7
sw2308B-ms98-a-0023,262.934250,263.186500,had,I,sd,u-14-7
sw2308B-ms98-a-0023,263.186500,263.526500,called,I,sd,u-14-7
sw2308B-ms98-a-0023,263.526500,263.586500,a,I,sd,u-14-7
sw2308B-ms98-a-0023,263.586500,263.996500,home,I,sd,u-14-7
sw2308B-ms98-a-0023,263.996500,264.166500,where,I,sd,u-14-7
sw2308B-ms98-a-0023,264.166500,264.510125,they,I,sd,u-14-7
sw2308B-ms98-a-0023,264.841625,264.986500,you,I,sd,u-14-7
