sw2689B-ms98-a-0002,1.467000,1.823875,okay_1,O,,
sw2689B-ms98-a-0006,27.273250,27.703250,day,I,%,u-8-1
sw2689B-ms98-a-0006,27.703250,27.873250,it's,I,%,u-8-1
sw2689B-ms98-a-0006,27.873250,28.043250,you,I,%,u-8-1
sw2689B-ms98-a-0006,28.043250,28.452250,know,I,%,u-8-1
sw2689B-ms98-a-0006,28.636875,28.864625,all,I,%,u-8-1
sw2689B-ms98-a-0006,28.864625,29.053000,are,O,,
sw2689B-ms98-a-0006,29.053000,29.123250,e[ven]-,O,,
sw2689B-ms98-a-0006,29.123250,29.303250,we,B,sd,u-8-2
sw2689B-ms98-a-0006,29.303250,29.423250,live,I,sd,u-8-2
sw2689B-ms98-a-0006,29.423250,29.493250,in,I,sd,u-8-2
sw2689B-ms98-a-0006,29.493250,29.553250,a,I,sd,u-8-2
sw2689B-ms98-a-0006,29.553250,29.703250,little,I,sd,u-8-2
sw2689B-ms98-a-0006,29.703250,30.073250,small,I,sd,u-8-2
sw2689B-ms98-a-0006,30.073250,30.613250,town,I,sd,u-8-2
sw2689B-ms98-a-0006,30.613250,30.798625,and,B,sd,u-8-3
sw2689B-ms98-a-0006,30.919000,31.118625,there's,I,sd,u-8-3
sw2689B-ms98-a-0006,31.118625,31.495750,just,I,sd,u-8-3
sw2689B-ms98-a-0006,32.094625,32.413250,rapes,I,sd,u-8-3
sw2689B-ms98-a-0006,32.413250,32.563250,and,I,sd,u-8-3
sw2689B-ms98-a-0006,32.563250,33.053250,murders,I,sd,u-8-3
sw2689B-ms98-a-0006,33.053250,33.484500,and,I,sd,u-8-3
sw2689B-ms98-a-0006,33.944375,34.703250,burglaries,I,sd,u-8-3
sw2689B-ms98-a-0006,34.703250,35.023250,and,I,sd,u-8-3
sw2689B-ms98-a-0006,35.023250,35.443250,everything,I,sd,u-8-3
sw2689B-ms98-a-0006,35.443250,35.603250,all,I,sd,u-8-3
sw2689B-ms98-a-0006,35.603250,35.683250,the,I,sd,u-8-3
sw2689B-ms98-a-0006,35.683250,36.183250,time,I,sd,u-8-3
sw2689B-ms98-a-0006,36.183250,36.313250,and,B,sd,u-8-4
sw2689B-ms98-a-0006,36.313250,36.393250,you,I,sd,u-8-4
sw2689B-ms98-a-0006,36.393250,36.533250,just,I,sd,u-8-4
sw2689B-ms98-a-0006,36.533250,36.753250,can't,I,sd,u-8-4
sw2689B-ms98-a-0006,36.753250,36.883250,get,I,sd,u-8-4
sw2689B-ms98-a-0006,36.883250,37.133250,away,I,sd,u-8-4
sw2689B-ms98-a-0006,37.133250,37.333250,from,I,sd,u-8-4
sw2689B-ms98-a-0006,37.333250,37.473250,it,I,sd,u-8-4
sw2689B-ms98-a-0006,37.473250,37.553250,no,I,sd,u-8-4
sw2689B-ms98-a-0006,37.553250,37.773250,matter,I,sd,u-8-4
sw2689B-ms98-a-0006,37.773250,37.953250,where,I,sd,u-8-4
sw2689B-ms98-a-0006,37.953250,38.083250,you,I,sd,u-8-4
sw2689B-ms98-a-0006,38.083250,38.502500,live,I,sd,u-8-4
sw2689B-ms98-a-0007,39.800625,39.988375,so,B,sv,u-10-1
sw2689B-ms98-a-0007,39.988375,40.226625,it's,I,sv,u-10-1
sw2689B-ms98-a-0007,40.226625,40.490250,pretty,I,sv,u-10-1
sw2689B-ms98-a-0007,40.490250,41.003875,scary,I,sv,u-10-1
sw2689B-ms98-a-0009,45.189000,45.632875,um-hum,B,b,u-12-1
sw2689B-ms98-a-0011,49.621500,50.142250,yeah,B,b,u-14-1
sw2689B-ms98-a-0013,55.272875,55.844250,yeah,B,b,u-16-1
sw2689B-ms98-a-0013,56.111750,56.292875,it's,B,sv,u-18-1
sw2689B-ms98-a-0013,56.292875,56.566625,rough,I,sv,u-18-1
sw2689B-ms98-a-0013,56.566625,56.677250,because_1,O,,
sw2689B-ms98-a-0015,65.492875,66.097750,yeah,B,b,u-20-1
sw2689B-ms98-a-0016,67.119375,67.329375,yeah,B,b^r,u-20-2
sw2689B-ms98-a-0016,67.329375,67.499375,well,B,sv,u-20-3
sw2689B-ms98-a-0016,67.499375,67.846000,even,I,sv,u-20-3
sw2689B-ms98-a-0016,67.966500,68.109375,some,I,sv,u-20-3
sw2689B-ms98-a-0016,68.109375,68.179375,of,I,sv,u-20-3
sw2689B-ms98-a-0016,68.179375,68.269375,the,I,sv,u-20-3
sw2689B-ms98-a-0016,68.269375,68.809375,sentences,I,sv,u-20-3
sw2689B-ms98-a-0016,68.809375,68.979375,just,I,sv,u-20-3
sw2689B-ms98-a-0016,68.979375,69.189375,seem,I,sv,u-20-3
sw2689B-ms98-a-0016,69.189375,69.939375,ridiculous,I,sv,u-20-3
sw2689B-ms98-a-0016,69.939375,69.979375,i,B,sv,u-20-4
sw2689B-ms98-a-0016,69.979375,70.149375,mean,I,sv,u-20-4
sw2689B-ms98-a-0016,70.149375,70.249375,you,I,sv,u-20-4
sw2689B-ms98-a-0016,70.249375,70.459375,hear,I,sv,u-20-4
sw2689B-ms98-a-0016,70.459375,70.649375,about,I,sv,u-20-4
sw2689B-ms98-a-0016,70.649375,71.019375,people,I,sv,u-20-4
sw2689B-ms98-a-0016,71.019375,71.099375,you,I,sv,u-20-4
sw2689B-ms98-a-0016,71.099375,71.199375,know,I,sv,u-20-4
sw2689B-ms98-a-0016,71.199375,71.489375,six,I,sv,u-20-4
sw2689B-ms98-a-0016,71.489375,71.609375,and,I,sv,u-20-4
sw2689B-ms98-a-0016,71.609375,71.869375,seven,I,sv,u-20-4
sw2689B-ms98-a-0016,71.869375,72.189375,times,I,sv,u-20-4
sw2689B-ms98-a-0016,72.189375,72.289375,have,I,sv,u-20-4
sw2689B-ms98-a-0016,72.289375,72.619375,committed,I,sv,u-20-4
sw2689B-ms98-a-0016,72.619375,73.259375,burglaries,I,sv,u-20-4
sw2689B-ms98-a-0016,73.259375,73.359375,and,B,sv,u-20-5
sw2689B-ms98-a-0016,73.359375,73.489375,they're,I,sv,u-20-5
sw2689B-ms98-a-0016,73.489375,73.959375,still,I,sv,u-20-5
sw2689B-ms98-a-0016,74.049375,74.149375,you,I,sv,u-20-5
sw2689B-ms98-a-0016,74.149375,74.289375,know,I,sv,u-20-5
sw2689B-ms98-a-0016,74.289375,74.559375,only,I,sv,u-20-5
sw2689B-ms98-a-0016,74.559375,74.999375,serving,I,sv,u-20-5
sw2689B-ms98-a-0016,74.999375,75.309375,six,I,sv,u-20-5
sw2689B-ms98-a-0016,75.309375,75.589375,months,I,sv,u-20-5
sw2689B-ms98-a-0016,75.589375,75.749375,in,I,sv,u-20-5
sw2689B-ms98-a-0016,75.749375,76.319375,prison,I,sv,u-20-5
sw2689B-ms98-a-0017,77.050375,77.170375,so,B,sv,u-20-6
sw2689B-ms98-a-0017,77.170375,77.440375,that's,I,sv,u-20-6
sw2689B-ms98-a-0017,77.440375,77.800375,definitely,I,sv,u-20-6
sw2689B-ms98-a-0017,77.800375,78.120375,something,I,sv,u-20-6
sw2689B-ms98-a-0017,78.120375,78.200375,they,B,sv,u-20-7
sw2689B-ms98-a-0017,78.200375,78.340250,could,I,sv,u-20-7
sw2689B-ms98-a-0017,78.340250,78.622750,have,I,sv,u-20-7
sw2689B-ms98-a-0017,78.622750,78.700375,a,I,sv,u-20-7
sw2689B-ms98-a-0017,78.700375,79.000375,more,I,sv,u-20-7
sw2689B-ms98-a-0017,79.000375,79.750375,automatic,I,sv,u-20-7
sw2689B-ms98-a-0017,79.750375,80.290375,sentence,I,sv,u-20-7
sw2689B-ms98-a-0017,80.290375,80.630375,instead,I,sv,u-20-7
sw2689B-ms98-a-0017,80.630375,80.700375,of,I,sv,u-20-7
sw2689B-ms98-a-0017,80.700375,80.990375,having,I,sv,u-20-7
sw2689B-ms98-a-0017,80.990375,81.090375,the,I,sv,u-20-7
sw2689B-ms98-a-0017,81.090375,81.610375,judge,I,sv,u-20-7
sw2689B-ms98-a-0017,81.610375,81.830375,having,I,sv,u-20-7
sw2689B-ms98-a-0017,81.830375,81.930375,the,I,sv,u-20-7
sw2689B-ms98-a-0017,81.930375,82.520375,choice,I,sv,u-20-7
sw2689B-ms98-a-0017,82.520375,82.670375,of,I,sv,u-20-7
sw2689B-ms98-a-0017,82.670375,82.950375,like,I,sv,u-20-7
sw2689B-ms98-a-0017,82.950375,83.050375,you,I,sv,u-20-7
sw2689B-ms98-a-0017,83.050375,83.270375,know,I,sv,u-20-7
sw2689B-ms98-a-0017,83.270375,83.490375,from,I,sv,u-20-7
sw2689B-ms98-a-0017,83.490375,83.690375,one,I,sv,u-20-7
sw2689B-ms98-a-0017,83.690375,83.970375,month,I,sv,u-20-7
sw2689B-ms98-a-0017,83.970375,84.090375,to,I,sv,u-20-7
sw2689B-ms98-a-0017,84.090375,84.360375,ten,I,sv,u-20-7
sw2689B-ms98-a-0017,84.360375,84.720375,years,I,sv,u-20-7
sw2689B-ms98-a-0017,84.720375,84.800375,or,I,sv,u-20-7
sw2689B-ms98-a-0017,84.800375,85.339625,something,I,sv,u-20-7
sw2689B-ms98-a-0018,86.147125,86.221375,that,B,sv,u-22-1
sw2689B-ms98-a-0018,86.221375,86.361375,would,I,sv,u-22-1
sw2689B-ms98-a-0018,86.361375,86.471375,be,I,sv,u-22-1
sw2689B-ms98-a-0018,86.471375,86.701375,one,I,sv,u-22-1
sw2689B-ms98-a-0018,86.701375,86.891375,thing,I,sv,u-22-1
sw2689B-ms98-a-0018,86.891375,87.041375,that,I,sv,u-22-1
sw2689B-ms98-a-0018,87.181375,87.281375,you,I,sv,u-22-1
sw2689B-ms98-a-0018,87.281375,87.351375,know,I,sv,u-22-1
sw2689B-ms98-a-0018,87.351375,87.431375,i,I,sv,u-22-1
sw2689B-ms98-a-0018,87.431375,87.631375,think,I,sv,u-22-1
sw2689B-ms98-a-0018,87.631375,87.771375,could,I,sv,u-22-1
sw2689B-ms98-a-0018,87.771375,88.071375,help,I,sv,u-22-1
sw2689B-ms98-a-0018,88.071375,88.151375,is,I,sv,u-22-1
sw2689B-ms98-a-0018,88.151375,88.441375,having,I,sv,u-22-1
sw2689B-ms98-a-0018,88.441375,88.521375,the,I,sv,u-22-1
sw2689B-ms98-a-0018,88.521375,89.041375,laws,I,sv,u-22-1
sw2689B-ms98-a-0018,89.041375,89.181375,be,I,sv,u-22-1
sw2689B-ms98-a-0018,89.181375,89.651375,changed,I,sv,u-22-1
sw2689B-ms98-a-0018,89.651375,89.771375,so,I,sv,u-22-1
sw2689B-ms98-a-0018,89.771375,89.931375,that,I,sv,u-22-1
sw2689B-ms98-a-0018,89.931375,90.051375,they,I,sv,u-22-1
sw2689B-ms98-a-0018,90.051375,90.261375,were,I,sv,u-22-1
sw2689B-ms98-a-0018,90.261375,90.540750,more,I,sv,u-22-1
sw2689B-ms98-a-0018,91.169750,91.451375,stiff,I,sv,u-22-1
sw2689B-ms98-a-0018,91.451375,91.951375,penalties,I,sv,u-22-1
sw2689B-ms98-a-0018,91.951375,92.051375,and,I,sv,u-22-1
sw2689B-ms98-a-0018,92.051375,92.221375,more,I,sv,u-22-1
sw2689B-ms98-a-0018,92.221375,92.781375,automatic,I,sv,u-22-1
sw2689B-ms98-a-0018,92.781375,93.491000,penalties,I,sv,u-22-1
sw2689B-ms98-a-0018,94.231000,94.321375,you,I,sv,u-22-1
sw2689B-ms98-a-0018,94.321375,94.471375,know,I,sv,u-22-1
sw2689B-ms98-a-0018,94.471375,94.621375,for,I,sv,u-22-1
sw2689B-ms98-a-0018,94.621375,94.931375,certain,I,sv,u-22-1
sw2689B-ms98-a-0018,94.931375,95.686375,crimes,I,sv,u-22-1
sw2689B-ms98-a-0019,97.093000,97.588250,yeah,B,b^r,u-24-1
sw2689B-ms98-a-0021,103.149000,103.664125,yeah,B,b,u-26-1
sw2689B-ms98-a-0021,103.814375,103.895375,and,B,sd,u-26-2
sw2689B-ms98-a-0021,103.895375,104.035375,one,I,sd,u-26-2
sw2689B-ms98-a-0021,104.035375,104.285375,things,I,sd,u-26-2
sw2689B-ms98-a-0021,104.285375,104.475375,that,I,sd,u-26-2
sw2689B-ms98-a-0021,104.475375,104.645375,they're,I,sd,u-26-2
sw2689B-ms98-a-0021,104.645375,105.095375,saying,I,sd,u-26-2
sw2689B-ms98-a-0021,105.095375,105.285375,now,I,sd,u-26-2
sw2689B-ms98-a-0021,105.285375,105.415375,are,B,qy,u-26-3
sw2689B-ms98-a-0021,105.415375,105.575375,you,I,qy,u-26-3
sw2689B-ms98-a-0021,105.575375,105.805125,going,I,qy,u-26-3
sw2689B-ms98-a-0021,105.805125,105.915375,are,B,qy,u-26-4
sw2689B-ms98-a-0021,105.915375,106.035375,you,I,qy,u-26-4
sw2689B-ms98-a-0021,106.035375,106.095375,a,I,qy,u-26-4
sw2689B-ms98-a-0021,106.095375,106.615375,student,I,qy,u-26-4
sw2689B-ms98-a-0021,106.615375,106.695375,or,B,qrr,u-26-5
sw2689B-ms98-a-0021,106.695375,106.815375,are,I,qrr,u-26-5
sw2689B-ms98-a-0021,106.815375,107.025375,you,I,qrr,u-26-5
sw2689B-ms98-a-0021,107.025375,107.195375,in,I,qrr,u-26-5
sw2689B-ms98-a-0021,107.195375,107.295375,the,I,qrr,u-26-5
sw2689B-ms98-a-0021,107.295375,107.575375,work,I,qrr,u-26-5
sw2689B-ms98-a-0021,107.575375,108.085375,force,I,qrr,u-26-5
sw2689B-ms98-a-0021,108.085375,108.295375,or,B,%,u-26-6
sw2689B-ms98-a-0023,111.105625,111.283875,oh,B,bk,u-28-1
sw2689B-ms98-a-0023,111.283875,111.806875,okay,I,bk,u-28-1
sw2689B-ms98-a-0023,111.806875,112.158875,because,B,sd,u-28-2
sw2689B-ms98-a-0023,112.158875,112.328875,one,I,sd,u-28-2
sw2689B-ms98-a-0023,112.328875,112.398875,of,I,sd,u-28-2
sw2689B-ms98-a-0023,112.398875,112.468875,the,I,sd,u-28-2
sw2689B-ms98-a-0023,112.468875,112.748875,things,I,sd,u-28-2
sw2689B-ms98-a-0023,112.748875,112.938875,that,I,sd,u-28-2
sw2689B-ms98-a-0023,112.938875,113.148875,i've,I,sd,u-28-2
sw2689B-ms98-a-0023,113.148875,113.388875,heard,I,sd,u-28-2
sw2689B-ms98-a-0023,113.388875,113.518875,so,I,sd,u-28-2
sw2689B-ms98-a-0023,113.518875,113.719500,much,I,sd,u-28-2
sw2689B-ms98-a-0023,113.719500,114.054375,about,I,sd,u-28-2
sw2689B-ms98-a-0023,114.054375,114.299125,l[ately]-,I,sd,u-28-2
sw2689B-ms98-a-0023,114.299125,114.578875,um,I,sd,u-28-2
sw2689B-ms98-a-0023,114.578875,114.968875,lately,I,sd,u-28-2
sw2689B-ms98-a-0023,114.968875,115.198875,is,I,sd,u-28-2
sw2689B-ms98-a-0023,115.198875,115.278875,the,I,sd,u-28-2
sw2689B-ms98-a-0023,115.278875,115.948875,situations,I,sd,u-28-2
sw2689B-ms98-a-0023,115.948875,116.078875,on,I,sd,u-28-2
sw2689B-ms98-a-0023,116.078875,116.658875,campus,I,sd,u-28-2
sw2689B-ms98-a-0023,116.658875,116.758875,where,I,sd,u-28-2
sw2689B-ms98-a-0023,116.758875,117.138875,crime,I,sd,u-28-2
sw2689B-ms98-a-0023,117.138875,117.278875,has,I,sd,u-28-2
sw2689B-ms98-a-0023,117.278875,117.488875,gone,I,sd,u-28-2
sw2689B-ms98-a-0023,117.488875,117.628875,up,I,sd,u-28-2
sw2689B-ms98-a-0023,117.628875,117.778875,so,I,sd,u-28-2
sw2689B-ms98-a-0023,117.778875,118.038875,much,I,sd,u-28-2
sw2689B-ms98-a-0023,118.038875,118.228875,and,B,sd,u-28-3
sw2689B-ms98-a-0023,118.228875,118.688875,apparently,I,sd,u-28-3
sw2689B-ms98-a-0023,118.688875,118.978875,many,I,sd,u-28-3
sw2689B-ms98-a-0023,118.978875,119.118875,of,I,sd,u-28-3
sw2689B-ms98-a-0023,119.118875,119.321750,the,I,sd,u-28-3
sw2689B-ms98-a-0024,119.901250,120.265250,especially,I,sd,u-28-3
sw2689B-ms98-a-0024,120.265250,120.445250,like,I,sd,u-28-3
sw2689B-ms98-a-0024,120.445250,120.575250,in,I,sd,u-28-3
sw2689B-ms98-a-0024,120.575250,120.875250,date,I,sd,u-28-3
sw2689B-ms98-a-0024,120.875250,121.258000,rape,I,sd,u-28-3
sw2689B-ms98-a-0024,121.446375,121.702750,many,I,sd,u-28-3
sw2689B-ms98-a-0024,121.702750,121.907375,of,I,sd,u-28-3
sw2689B-ms98-a-0024,121.907375,122.144750,the,I,sd,u-28-3
sw2689B-ms98-a-0024,122.144750,122.565250,um,I,sd,u-28-3
sw2689B-ms98-a-0024,122.765250,122.835250,you,I,sd,u-28-3
sw2689B-ms98-a-0024,122.835250,122.965250,know,I,sd,u-28-3
sw2689B-ms98-a-0024,122.965250,123.665250,perpetrators,I,sd,u-28-3
sw2689B-ms98-a-0024,123.665250,123.845250,seem,I,sd,u-28-3
sw2689B-ms98-a-0024,123.845250,123.915250,to,I,sd,u-28-3
sw2689B-ms98-a-0024,123.915250,123.995250,be,I,sd,u-28-3
sw2689B-ms98-a-0024,123.995250,124.345250,getting,I,sd,u-28-3
sw2689B-ms98-a-0024,124.345250,124.805250,off,I,sd,u-28-3
sw2689B-ms98-a-0024,124.805250,125.345250,because,I,sd,u-28-3
sw2689B-ms98-a-0024,125.345250,125.445250,the,I,sd,u-28-3
sw2689B-ms98-a-0024,125.445250,126.175250,universities,I,sd,u-28-3
sw2689B-ms98-a-0024,126.175250,126.375250,kind,I,sd,u-28-3
sw2689B-ms98-a-0024,126.375250,126.435250,of,I,sd,u-28-3
sw2689B-ms98-a-0024,126.435250,126.875250,cover,I,sd,u-28-3
sw2689B-ms98-a-0024,126.875250,127.171750,up,I,sd,u-28-3
sw2689B-ms98-a-0024,127.868625,128.025250,and,B,sd,u-30-1
sw2689B-ms98-a-0024,128.025250,128.105250,they,I,sd,u-30-1
sw2689B-ms98-a-0024,128.105250,128.365250,don't,I,sd,u-30-1
sw2689B-ms98-a-0024,128.365250,128.904500,really,I,sd,u-30-1
sw2689B-ms98-a-0026,131.396500,131.805250,oh,O,,
sw2689B-ms98-a-0026,132.347625,133.038875,yeah,B,ny,u-34-1
sw2689B-ms98-a-0027,134.181375,134.679625,yeah,B,b,u-36-1
sw2689B-ms98-a-0027,134.836250,135.355000,yeah,B,b^r,u-36-2
sw2689B-ms98-a-0029,141.411500,141.841625,yeah,B,b,u-38-1
sw2689B-ms98-a-0031,145.087125,145.427125,yeah,B,b,u-40-1
sw2689B-ms98-a-0031,145.427125,145.527125,they,B,sd,u-40-2
sw2689B-ms98-a-0031,145.527125,145.717125,say,I,sd,u-40-2
sw2689B-ms98-a-0031,145.717125,145.847125,like,I,sd,u-40-2
sw2689B-ms98-a-0031,145.847125,146.027125,only,I,sd,u-40-2
sw2689B-ms98-a-0031,146.027125,146.247125,one,I,sd,u-40-2
sw2689B-ms98-a-0031,146.247125,146.347125,in,I,sd,u-40-2
sw2689B-ms98-a-0031,146.347125,146.587125,ten,I,sd,u-40-2
sw2689B-ms98-a-0031,146.587125,146.707125,are,I,sd,u-40-2
sw2689B-ms98-a-0031,146.707125,147.197125,reported,I,sd,u-40-2
sw2689B-ms98-a-0031,147.197125,147.307125,i,B,sv,u-40-3
sw2689B-ms98-a-0031,147.307125,147.727125,believe,I,sv,u-40-3
sw2689B-ms98-a-0031,147.727125,147.872500,it,I,sv,u-40-3
sw2689B-ms98-a-0032,148.653875,148.833875,that's,B,ba,u-42-1
sw2689B-ms98-a-0032,148.833875,148.993875,it's,I,ba,u-42-1
sw2689B-ms98-a-0032,149.263875,149.796500,awful,I,ba,u-42-1
sw2689B-ms98-a-0032,150.090250,150.409250,so,B,sv,u-42-2
sw2689B-ms98-a-0032,150.582500,150.723875,one,I,sv,u-42-2
sw2689B-ms98-a-0032,150.723875,150.873875,thing,I,sv,u-42-2
sw2689B-ms98-a-0032,150.873875,150.963875,they,I,sv,u-42-2
sw2689B-ms98-a-0032,150.963875,151.149750,could,I,sv,u-42-2
sw2689B-ms98-a-0032,151.149750,151.605500,do,I,sv,u-42-2
sw2689B-ms98-a-0032,151.605500,151.813875,is,I,sv,u-42-2
sw2689B-ms98-a-0032,151.813875,152.293875,probably,I,sv,u-42-2
sw2689B-ms98-a-0032,152.293875,152.793875,support,I,sv,u-42-2
sw2689B-ms98-a-0032,152.793875,153.123875,people,I,sv,u-42-2
sw2689B-ms98-a-0032,153.123875,153.383875,more,I,sv,u-42-2
sw2689B-ms98-a-0032,153.383875,153.923875,reporting,I,sv,u-42-2
sw2689B-ms98-a-0032,153.923875,154.073875,it,I,sv,u-42-2
sw2689B-ms98-a-0032,154.073875,154.153875,i,B,sd,u-42-3
sw2689B-ms98-a-0032,154.153875,154.333875,know,I,sd,u-42-3
sw2689B-ms98-a-0032,154.333875,154.756250,some,I,sd,u-42-3
sw2689B-ms98-a-0032,155.155500,155.383875,police,I,sd,u-42-3
sw2689B-ms98-a-0032,155.383875,155.833875,agencies,I,sd,u-42-3
sw2689B-ms98-a-0032,155.833875,156.083875,try,I,sd,u-42-3
sw2689B-ms98-a-0032,156.083875,156.203875,to,I,sd,u-42-3
