sw2645B-ms98-a-0002,3.310500,3.696000,yes,B,aa,u-2-1
sw2645B-ms98-a-0004,28.111250,28.460875,mom,I,sd,u-8-6
sw2645B-ms98-a-0004,28.460875,29.366875,[laughter],O,,
sw2645B-ms98-a-0006,32.739000,32.894250,oh,B,b,u-10-1
sw2645B-ms98-a-0006,32.894250,33.141500,yeah,I,b,u-10-1
sw2645B-ms98-a-0008,35.776750,36.006875,oh,B,ba,u-12-1
sw2645B-ms98-a-0008,36.006875,37.122250,[laughter],I,ba,u-12-1
sw2645B-ms98-a-0008,37.122250,37.222250,well,I,ba,u-12-1
sw2645B-ms98-a-0008,37.222250,37.362250,let's,I,ba,u-12-1
sw2645B-ms98-a-0008,37.362250,37.592250,hope,I,ba,u-12-1
sw2645B-ms98-a-0008,37.592250,37.762250,that,I,ba,u-12-1
sw2645B-ms98-a-0008,37.762250,37.882250,you,I,ba,u-12-1
sw2645B-ms98-a-0008,37.882250,38.002250,you,I,ba,u-12-1
sw2645B-ms98-a-0008,38.002250,38.158500,you,I,ba,u-12-1
sw2645B-ms98-a-0008,38.158500,38.444750,aren't,I,ba,u-12-1
sw2645B-ms98-a-0008,38.444750,38.602125,e[mployed]-,I,ba,u-12-1
sw2645B-ms98-a-0008,38.602125,39.095500,employed,I,ba,u-12-1
sw2645B-ms98-a-0008,39.095500,39.301125,by,I,ba,u-12-1
sw2645B-ms98-a-0008,39.301125,39.640000,that,I,ba,u-12-1
sw2645B-ms98-a-0008,39.640000,39.982250,craft,I,ba,u-12-1
sw2645B-ms98-a-0008,39.982250,40.082250,for,I,ba,u-12-1
sw2645B-ms98-a-0008,40.082250,40.272250,too,I,ba,u-12-1
sw2645B-ms98-a-0008,40.272250,40.642250,long,I,ba,u-12-1
sw2645B-ms98-a-0010,47.780625,48.214375,uh-huh,B,b,u-14-1
sw2645B-ms98-a-0010,48.935750,49.193125,wh[at]-,O,,
sw2645B-ms98-a-0010,49.395250,49.577375,wh[at]-,O,,
sw2645B-ms98-a-0011,50.603375,50.708500,what,B,qw,u-16-1
sw2645B-ms98-a-0011,50.708500,50.858500,kind,I,qw,u-16-1
sw2645B-ms98-a-0011,50.858500,50.928500,of,I,qw,u-16-1
sw2645B-ms98-a-0011,50.928500,51.238500,time,I,qw,u-16-1
sw2645B-ms98-a-0011,51.238500,51.558500,frame,I,qw,u-16-1
sw2645B-ms98-a-0011,51.558500,51.698500,is,I,qw,u-16-1
sw2645B-ms98-a-0011,51.698500,51.957250,it,I,qw,u-16-1
sw2645B-ms98-a-0011,51.957250,52.224625,uh,I,qw,u-16-1
sw2645B-ms98-a-0011,52.224625,52.548500,looking,I,qw,u-16-1
sw2645B-ms98-a-0011,52.548500,52.698500,for,I,qw,u-16-1
sw2645B-ms98-a-0011,52.698500,52.828500,the,I,qw,u-16-1
sw2645B-ms98-a-0011,52.828500,52.953750,uh,I,qw,u-16-1
sw2645B-ms98-a-0011,52.953750,53.213625,different,I,qw,u-16-1
sw2645B-ms98-a-0011,53.213625,53.508500,shifts,I,qw,u-16-1
sw2645B-ms98-a-0011,53.508500,53.648500,up,I,qw,u-16-1
sw2645B-ms98-a-0011,53.648500,53.878500,there,I,qw,u-16-1
sw2645B-ms98-a-0013,58.470875,58.610875,is,B,%,u-18-1
sw2645B-ms98-a-0013,58.610875,58.860875,it,I,%,u-18-1
sw2645B-ms98-a-0013,58.860875,59.320500,uh,I,%,u-18-1
sw2645B-ms98-a-0013,59.320500,59.908000,basically,B,sd,u-18-2
sw2645B-ms98-a-0013,59.908000,60.060875,i,I,sd,u-18-2
sw2645B-ms98-a-0013,60.060875,60.250875,had,I,sd,u-18-2
sw2645B-ms98-a-0013,60.250875,60.640875,read,I,sd,u-18-2
sw2645B-ms98-a-0013,60.640875,60.830875,that,I,sd,u-18-2
sw2645B-ms98-a-0013,60.830875,60.940875,they're,I,sd,u-18-2
sw2645B-ms98-a-0013,60.940875,61.180875,just,I,sd,u-18-2
sw2645B-ms98-a-0013,61.180875,61.380875,looking,I,sd,u-18-2
sw2645B-ms98-a-0013,61.380875,61.480875,at,I,sd,u-18-2
sw2645B-ms98-a-0013,61.480875,62.090875,relocating,I,sd,u-18-2
sw2645B-ms98-a-0013,62.090875,62.190875,them_1,I,sd,u-18-2
sw2645B-ms98-a-0013,62.190875,62.340875,all,I,sd,u-18-2
sw2645B-ms98-a-0013,62.340875,62.420875,to,I,sd,u-18-2
sw2645B-ms98-a-0013,62.420875,62.830875,McKinney,I,sd,u-18-2
sw2645B-ms98-a-0013,62.830875,62.960875,is,I,sd,u-18-2
sw2645B-ms98-a-0013,62.960875,63.080875,it,I,sd,u-18-2
sw2645B-ms98-a-0013,63.530875,64.218125,Texas,I,sd,u-18-2
sw2645B-ms98-a-0015,68.829250,69.067375,oh,B,ba,u-20-1
sw2645B-ms98-a-0015,69.067375,69.533250,wow,I,ba,u-20-1
sw2645B-ms98-a-0017,80.132125,80.532125,uh-huh,B,b,u-22-1
sw2645B-ms98-a-0019,87.996750,88.497375,wow,B,ba,u-24-1
sw2645B-ms98-a-0019,89.328875,89.418875,how,B,bh,u-24-2
sw2645B-ms98-a-0019,89.418875,89.708875,about,I,bh,u-24-2
sw2645B-ms98-a-0019,89.708875,89.948875,that,I,bh,u-24-2
sw2645B-ms98-a-0019,90.288875,90.388875,yeah,B,b,u-24-3
sw2645B-ms98-a-0019,90.388875,90.568875,that's,B,sd,u-24-4
sw2645B-ms98-a-0019,90.568875,90.668875,what,I,sd,u-24-4
sw2645B-ms98-a-0019,90.668875,90.758875,it,I,sd,u-24-4
sw2645B-ms98-a-0019,90.758875,90.898875,did,I,sd,u-24-4
sw2645B-ms98-a-0019,90.898875,91.208875,report,I,sd,u-24-4
sw2645B-ms98-a-0019,91.208875,91.348875,was,I,sd,u-24-4
sw2645B-ms98-a-0019,91.348875,91.398875,a,I,sd,u-24-4
sw2645B-ms98-a-0019,91.398875,91.608875,hundred,I,sd,u-24-4
sw2645B-ms98-a-0019,91.608875,91.698875,and,I,sd,u-24-4
sw2645B-ms98-a-0019,91.698875,91.948875,thirty,I,sd,u-24-4
sw2645B-ms98-a-0019,91.948875,92.488875,relocating,I,sd,u-24-4
sw2645B-ms98-a-0019,92.488875,92.618875,down,I,sd,u-24-4
sw2645B-ms98-a-0019,92.618875,92.678875,to,I,sd,u-24-4
sw2645B-ms98-a-0019,92.678875,93.048875,McKinney,I,sd,u-24-4
sw2645B-ms98-a-0021,96.296000,96.556000,how,B,bh,u-26-1
sw2645B-ms98-a-0021,96.556000,96.906000,about,I,bh,u-26-1
sw2645B-ms98-a-0021,96.906000,97.393000,that,I,bh,u-26-1
sw2645B-ms98-a-0021,98.007000,98.116000,well,B,ba,u-26-2
sw2645B-ms98-a-0021,98.116000,98.426000,that's,I,ba,u-26-2
sw2645B-ms98-a-0021,98.426000,98.996000,uh,I,ba,u-26-2
sw2645B-ms98-a-0021,98.996000,99.266000,that's,I,ba,u-26-2
sw2645B-ms98-a-0021,99.266000,99.906000,unfortunate,I,ba,u-26-2
sw2645B-ms98-a-0021,99.906000,99.986000,is,B,%,u-26-3
sw2645B-ms98-a-0021,99.986000,100.116000,there,I,%,u-26-3
sw2645B-ms98-a-0021,100.116000,100.386000,m[any]-,I,%,u-26-3
sw2645B-ms98-a-0021,100.386000,100.646000,many,I,%,u-26-3
sw2645B-ms98-a-0021,100.646000,101.000625,other,I,%,u-26-3
sw2645B-ms98-a-0021,101.599500,101.681000,are,B,qy,u-26-4
sw2645B-ms98-a-0021,101.681000,101.756000,you,I,qy,u-26-4
sw2645B-ms98-a-0021,101.756000,101.836000,in,I,qy,u-26-4
sw2645B-ms98-a-0021,101.836000,101.896000,the,I,qy,u-26-4
sw2645B-ms98-a-0021,101.896000,102.449875,defense,I,qy,u-26-4
sw2645B-ms98-a-0023,104.526500,104.716500,is,B,qy,u-28-1
sw2645B-ms98-a-0023,104.716500,104.996500,it,I,qy,u-28-1
sw2645B-ms98-a-0023,104.996500,105.226500,uh,I,qy,u-28-1
sw2645B-ms98-a-0023,105.226500,105.436500,i[t]-,I,qy,u-28-1
sw2645B-ms98-a-0023,105.436500,105.796500,many,I,qy,u-28-1
sw2645B-ms98-a-0023,105.796500,106.200750,other,I,qy,u-28-1
sw2645B-ms98-a-0023,106.358875,106.946500,corporations,I,qy,u-28-1
sw2645B-ms98-a-0023,106.946500,107.036500,in,I,qy,u-28-1
sw2645B-ms98-a-0023,107.036500,107.096500,the,I,qy,u-28-1
sw2645B-ms98-a-0023,107.096500,107.466500,area,I,qy,u-28-1
sw2645B-ms98-a-0025,112.351625,114.727750,[laughter],O,,
sw2645B-ms98-a-0025,114.727750,114.909375,well,B,%,u-30-1
sw2645B-ms98-a-0025,114.909375,115.059375,i'm,I,%,u-30-1
sw2645B-ms98-a-0025,115.059375,115.299375,sure,I,%,u-30-1
sw2645B-ms98-a-0025,115.299375,115.509375,with,I,%,u-30-1
sw2645B-ms98-a-0025,115.509375,115.579375,the,I,%,u-30-1
sw2645B-ms98-a-0025,115.579375,115.969375,new,I,%,u-30-1
sw2645B-ms98-a-0025,115.969375,116.299375,uh,I,%,u-30-1
sw2645B-ms98-a-0025,116.439375,116.672250,aw[arding]-,I,%,u-30-1
sw2645B-ms98-a-0025,116.815375,117.309375,contract,I,%,u-30-1
sw2645B-ms98-a-0025,117.309375,117.639375,awarding,I,%,u-30-1
sw2645B-ms98-a-0025,117.639375,117.799375,i,B,qy^g,u-30-2
sw2645B-ms98-a-0025,117.799375,117.899375,i,I,qy^g,u-30-2
sw2645B-ms98-a-0025,117.899375,118.079375,think,I,qy^g,u-30-2
sw2645B-ms98-a-0025,118.079375,118.139375,it,I,qy^g,u-30-2
sw2645B-ms98-a-0025,118.139375,118.259375,went,I,qy^g,u-30-2
sw2645B-ms98-a-0025,118.259375,118.329375,to,I,qy^g,u-30-2
sw2645B-ms98-a-0025,118.329375,118.789375,Lockheed,I,qy^g,u-30-2
sw2645B-ms98-a-0025,118.789375,119.009375,didn't,I,qy^g,u-30-2
sw2645B-ms98-a-0025,119.009375,119.159375,it,I,qy^g,u-30-2
sw2645B-ms98-a-0026,120.248500,120.507000,that,B,sd,u-32-1
sw2645B-ms98-a-0026,120.605875,120.948500,uh,I,sd,u-32-1
sw2645B-ms98-a-0026,120.948500,121.088500,i,I,sd,u-32-1
sw2645B-ms98-a-0026,121.088500,121.278500,hear,I,sd,u-32-1
sw2645B-ms98-a-0026,121.278500,121.468500,they're,I,sd,u-32-1
sw2645B-ms98-a-0026,121.468500,121.768500,hiring,I,sd,u-32-1
sw2645B-ms98-a-0026,121.768500,121.928500,all,I,sd,u-32-1
sw2645B-ms98-a-0026,121.928500,122.108500,over,I,sd,u-32-1
sw2645B-ms98-a-0026,122.108500,122.168500,the,I,sd,u-32-1
sw2645B-ms98-a-0026,122.168500,122.458500,place,I,sd,u-32-1
sw2645B-ms98-a-0026,122.458500,122.528500,for,I,sd,u-32-1
sw2645B-ms98-a-0026,122.528500,122.862000,that,I,sd,u-32-1
sw2645B-ms98-a-0028,126.202250,126.405500,oh,B,bh,u-34-1
sw2645B-ms98-a-0028,126.405500,126.815500,really,I,bh,u-34-1
sw2645B-ms98-a-0030,130.551500,130.761500,now,B,qr,u-36-1
sw2645B-ms98-a-0030,130.761500,130.841500,is,I,qr,u-36-1
sw2645B-ms98-a-0030,130.841500,130.991500,that,I,qr,u-36-1
sw2645B-ms98-a-0030,130.991500,131.321375,actually,I,qr,u-36-1
sw2645B-ms98-a-0030,131.747000,131.921500,just,I,qr,u-36-1
sw2645B-ms98-a-0030,131.921500,132.001500,to,I,qr,u-36-1
sw2645B-ms98-a-0030,132.001500,132.531500,Colorado,I,qr,u-36-1
sw2645B-ms98-a-0030,132.531500,132.711500,or,I,qr,u-36-1
sw2645B-ms98-a-0030,132.711500,132.791500,to,I,qr,u-36-1
sw2645B-ms98-a-0030,132.791500,133.161500,Colorado,I,qr,u-36-1
sw2645B-ms98-a-0030,133.161500,133.644125,Springs,I,qr,u-36-1
sw2645B-ms98-a-0031,135.089125,135.319125,how,B,bh,u-38-1
sw2645B-ms98-a-0031,135.319125,135.619125,about,I,bh,u-38-1
sw2645B-ms98-a-0031,135.619125,135.979125,that,I,bh,u-38-1
sw2645B-ms98-a-0033,143.240500,143.689750,um-hum,B,b,u-40-1
sw2645B-ms98-a-0035,148.066500,149.823000,[laughter],O,,
sw2645B-ms98-a-0035,149.823000,149.988875,were,O,,
sw2645B-ms98-a-0035,149.988875,150.218875,you,B,qr,u-42-1
sw2645B-ms98-a-0035,150.218875,150.558875,in,I,qr,u-42-1
sw2645B-ms98-a-0035,150.558875,150.618875,the,I,qr,u-42-1
sw2645B-ms98-a-0035,150.618875,150.678875,uh,I,qr,u-42-1
sw2645B-ms98-a-0035,150.678875,151.168875,computer,I,qr,u-42-1
sw2645B-ms98-a-0035,151.168875,151.868875,operations,I,qr,u-42-1
sw2645B-ms98-a-0035,151.868875,152.098875,or,I,qr,u-42-1
sw2645B-ms98-a-0035,152.098875,152.468875,in,I,qr,u-42-1
sw2645B-ms98-a-0035,152.468875,152.568875,the,I,qr,u-42-1
sw2645B-ms98-a-0035,152.568875,152.941375,actual,I,qr,u-42-1
sw2645B-ms98-a-0035,153.212500,153.678125,uh,I,qr,u-42-1
sw2645B-ms98-a-0035,154.036625,154.848875,manufacturing,I,qr,u-42-1
sw2645B-ms98-a-0037,161.892000,162.382000,right,B,b,u-44-1
sw2645B-ms98-a-0037,162.382000,162.582000,yeah,B,b,u-44-2
sw2645B-ms98-a-0037,162.582000,162.812000,that's,B,sd,u-44-3
sw2645B-ms98-a-0037,162.812000,162.942000,why,I,sd,u-44-3
sw2645B-ms98-a-0037,162.942000,162.982000,i,I,sd,u-44-3
sw2645B-ms98-a-0037,162.982000,163.152000,was,I,sd,u-44-3
sw2645B-ms98-a-0037,163.152000,163.242000,in,I,sd,u-44-3
sw2645B-ms98-a-0037,163.242000,163.322000,the,I,sd,u-44-3
sw2645B-ms98-a-0037,163.322000,163.902000,DSEG,I,sd,u-44-3
sw2645B-ms98-a-0037,164.202000,164.422000,down,I,sd,u-44-3
sw2645B-ms98-a-0037,164.422000,164.612000,here,I,sd,u-44-3
sw2645B-ms98-a-0037,164.612000,164.702000,in,I,sd,u-44-3
sw2645B-ms98-a-0037,164.702000,165.102000,Plano,I,sd,u-44-3
sw2645B-ms98-a-0037,165.102000,165.502000,also,I,sd,u-44-3
sw2645B-ms98-a-0039,168.202625,168.362625,am,B,qy,u-46-1
sw2645B-ms98-a-0039,168.362625,168.482625,i,I,qy,u-46-1
sw2645B-ms98-a-0039,168.482625,168.672625,still,I,qy,u-46-1
sw2645B-ms98-a-0039,168.672625,168.922625,employed,I,qy,u-46-1
sw2645B-ms98-a-0039,168.922625,169.002625,by,I,qy,u-46-1
sw2645B-ms98-a-0039,169.002625,169.382625,TI,O,,
sw2645B-ms98-a-0039,169.382625,169.652625,no,B,nn,u-46-2
sw2645B-ms98-a-0039,169.652625,169.752625,i,B,sd^e,u-46-3
sw2645B-ms98-a-0039,169.752625,170.132625,took,I,sd^e,u-46-3
sw2645B-ms98-a-0039,170.132625,170.282625,a,I,sd^e,u-46-3
sw2645B-ms98-a-0039,170.282625,170.602625,leave,I,sd^e,u-46-3
sw2645B-ms98-a-0039,170.602625,170.892625,of,I,sd^e,u-46-3
sw2645B-ms98-a-0039,170.892625,171.082625,of,I,sd^e,u-46-3
sw2645B-ms98-a-0039,171.082625,171.482625,TI,I,sd^e,u-46-3
sw2645B-ms98-a-0039,171.482625,171.712625,back,I,sd^e,u-46-3
sw2645B-ms98-a-0039,171.712625,171.772625,in,I,sd^e,u-46-3
sw2645B-ms98-a-0039,171.772625,172.252625,November,I,sd^e,u-46-3
sw2645B-ms98-a-0040,173.712625,173.952625,actually,B,sd,u-48-1
sw2645B-ms98-a-0040,173.952625,174.362625,December,I,sd,u-48-1
sw2645B-ms98-a-0040,174.362625,174.502625,was,I,sd,u-48-1
sw2645B-ms98-a-0040,174.502625,174.622625,my,I,sd,u-48-1
sw2645B-ms98-a-0040,174.622625,175.152625,first,I,sd,u-48-1
sw2645B-ms98-a-0040,175.152625,175.372625,month,I,sd,u-48-1
sw2645B-ms98-a-0040,175.372625,175.652625,away,I,sd,u-48-1
sw2645B-ms98-a-0040,175.652625,175.922625,from,I,sd,u-48-1
sw2645B-ms98-a-0040,175.922625,176.142625,them,I,sd,u-48-1
sw2645B-ms98-a-0041,177.691875,178.191875,exempt,B,sd,u-50-1
sw2645B-ms98-a-0042,180.019375,180.249500,it,B,sd,u-52-1
sw2645B-ms98-a-0042,180.249500,180.675500,uh,I,sd,u-52-1
sw2645B-ms98-a-0042,181.618000,181.806125,uh,I,sd,u-52-1
sw2645B-ms98-a-0042,181.806125,182.266125,fortunately,I,sd,u-52-1
sw2645B-ms98-a-0042,182.266125,182.346125,i,I,sd,u-52-1
sw2645B-ms98-a-0042,182.346125,182.566125,guess,I,sd,u-52-1
sw2645B-ms98-a-0042,182.566125,182.636125,for,I,sd,u-52-1
sw2645B-ms98-a-0042,182.636125,183.176125,myself,I,sd,u-52-1
sw2645B-ms98-a-0042,183.176125,183.266125,it,I,sd,u-52-1
sw2645B-ms98-a-0042,183.266125,183.706125,wasn't,I,sd,u-52-1
sw2645B-ms98-a-0042,183.706125,183.977750,uh,I,sd,u-52-1
sw2645B-ms98-a-0042,184.256500,184.319125,it,I,sd,u-52-1
sw2645B-ms98-a-0042,184.319125,184.526125,was,I,sd,u-52-1
sw2645B-ms98-a-0042,184.526125,184.866125,purely,I,sd,u-52-1
sw2645B-ms98-a-0042,184.866125,185.036125,by,I,sd,u-52-1
sw2645B-ms98-a-0042,185.036125,185.236125,my,I,sd,u-52-1
sw2645B-ms98-a-0042,185.236125,185.416125,own,I,sd,u-52-1
sw2645B-ms98-a-0042,185.416125,186.026500,choice,I,sd,u-52-1
sw2645B-ms98-a-0043,186.675375,186.834250,it,B,sd,u-52-2
sw2645B-ms98-a-0043,186.834250,187.277375,wasn't,I,sd,u-52-2
sw2645B-ms98-a-0043,187.277375,187.624000,uh,I,sd,u-52-2
sw2645B-ms98-a-0043,187.624000,187.795375,there,I,sd,u-52-2
sw2645B-ms98-a-0043,187.795375,187.975375,was,I,sd,u-52-2
sw2645B-ms98-a-0043,187.975375,188.125375,no,I,sd,u-52-2
sw2645B-ms98-a-0043,188.125375,188.645375,incentive,I,sd,u-52-2
sw2645B-ms98-a-0043,188.645375,188.905375,for,I,sd,u-52-2
sw2645B-ms98-a-0043,188.905375,189.355375,myself,I,sd,u-52-2
sw2645B-ms98-a-0043,189.355375,189.475375,to,I,sd,u-52-2
sw2645B-ms98-a-0043,189.475375,189.765375,leave,I,sd,u-52-2
sw2645B-ms98-a-0043,190.445375,190.785375,but,B,sd,u-52-3
sw2645B-ms98-a-0043,190.785375,190.905375,it,I,sd,u-52-3
sw2645B-ms98-a-0043,190.905375,191.015375,was,I,sd,u-52-3
sw2645B-ms98-a-0043,191.015375,191.215375,just,I,sd,u-52-3
sw2645B-ms98-a-0043,191.215375,191.315375,an,I,sd,u-52-3
sw2645B-ms98-a-0043,191.315375,191.955375,opportunity,I,sd,u-52-3
sw2645B-ms98-a-0043,191.955375,192.375375,arose,I,sd,u-52-3
sw2645B-ms98-a-0043,192.375375,192.555375,and,B,sd,u-52-4
sw2645B-ms98-a-0043,193.655375,194.095375,decided,I,sd,u-52-4
sw2645B-ms98-a-0043,194.095375,194.185375,to,I,sd,u-52-4
sw2645B-ms98-a-0043,194.185375,194.455375,take,I,sd,u-52-4
sw2645B-ms98-a-0043,194.455375,194.581000,it,I,sd,u-52-4
sw2645B-ms98-a-0045,196.434625,196.913125,no,B,nn,u-54-1
sw2645B-ms98-a-0045,197.877375,198.014625,i,B,sd,u-54-2
sw2645B-ms98-a-0045,198.014625,198.204625,should,I,sd,u-54-2
sw2645B-ms98-a-0045,198.204625,198.314625,have,I,sd,u-54-2
sw2645B-ms98-a-0045,198.314625,198.884625,taken,I,sd,u-54-2
sw2645B-ms98-a-0045,198.884625,199.094625,the,I,sd,u-54-2
sw2645B-ms98-a-0045,199.094625,199.244625,the,I,sd,u-54-2
sw2645B-ms98-a-0045,199.244625,199.324625,the,I,sd,u-54-2
sw2645B-ms98-a-0045,199.324625,199.654625,you,I,sd,u-54-2
sw2645B-ms98-a-0045,199.654625,200.004625,know,I,sd,u-54-2
sw2645B-ms98-a-0045,200.004625,200.304625,uh,I,sd,u-54-2
sw2645B-ms98-a-0045,200.304625,200.704625,option,I,sd,u-54-2
sw2645B-ms98-a-0045,200.704625,200.824625,when,I,sd,u-54-2
sw2645B-ms98-a-0045,200.824625,200.974625,that,I,sd,u-54-2
sw2645B-ms98-a-0045,200.974625,201.154625,was,I,sd,u-54-2
sw2645B-ms98-a-0045,201.154625,201.354625,there,I,sd,u-54-2
sw2645B-ms98-a-0045,201.354625,201.494625,but,B,sd,u-54-3
sw2645B-ms98-a-0045,201.494625,201.564625,it,I,sd,u-54-3
sw2645B-ms98-a-0045,201.564625,201.674625,was,I,sd,u-54-3
sw2645B-ms98-a-0045,201.674625,201.894625,just,I,sd,u-54-3
sw2645B-ms98-a-0045,201.894625,201.991125,i,I,sd,u-54-3
sw2645B-ms98-a-0045,201.991125,202.205750,missed,I,sd,u-54-3
sw2645B-ms98-a-0045,202.205750,202.264625,it,I,sd,u-54-3
sw2645B-ms98-a-0045,202.264625,202.384625,by,I,sd,u-54-3
sw2645B-ms98-a-0045,202.384625,202.434625,a,I,sd,u-54-3
sw2645B-ms98-a-0045,202.434625,202.694625,couple,I,sd,u-54-3
sw2645B-ms98-a-0045,202.694625,203.104625,months,I,sd,u-54-3
sw2645B-ms98-a-0046,204.473875,204.733875,but,B,qh,u-54-4
sw2645B-ms98-a-0046,204.883875,204.963875,you,I,qh,u-54-4
sw2645B-ms98-a-0046,204.963875,205.093875,know,I,qh,u-54-4
sw2645B-ms98-a-0046,205.093875,205.263875,what,I,qh,u-54-4
sw2645B-ms98-a-0046,205.263875,205.403875,can,I,qh,u-54-4
