sw3351B-ms98-a-0001,0.740000,1.092875,yes,B,b,u-2-1
sw3351B-ms98-a-0029,104.371125,105.031125,territory,I,sd,u-42-1
sw3351B-ms98-a-0030,105.944000,106.253375,being,B,+,u-44-1
sw3351B-ms98-a-0030,106.253375,106.313375,the,I,+,u-44-1
sw3351B-ms98-a-0030,106.313375,106.743375,sofa,I,+,u-44-1
sw3351B-ms98-a-0030,106.743375,106.833375,and,I,+,u-44-1
sw3351B-ms98-a-0030,106.833375,107.060250,th[e]-,I,+,u-44-1
sw3351B-ms98-a-0031,108.396500,108.816500,blanket,I,+,u-44-1
sw3351B-ms98-a-0031,108.816500,108.956500,on,I,+,u-44-1
sw3351B-ms98-a-0031,108.956500,109.036500,the,I,+,u-44-1
sw3351B-ms98-a-0031,109.036500,109.630625,sofa,I,+,u-44-1
sw3351B-ms98-a-0031,110.191875,110.946500,nobody,B,sd,u-46-1
sw3351B-ms98-a-0031,110.946500,111.256500,came,I,sd,u-46-1
sw3351B-ms98-a-0031,111.256500,111.476500,near,I,sd,u-46-1
sw3351B-ms98-a-0031,111.476500,111.596500,it,I,sd,u-46-1
sw3351B-ms98-a-0031,111.596500,111.696500,when,I,sd,u-46-1
sw3351B-ms98-a-0031,111.696500,111.776500,he,I,sd,u-46-1
sw3351B-ms98-a-0031,111.776500,111.936500,was,I,sd,u-46-1
sw3351B-ms98-a-0031,111.936500,112.450250,there,I,sd,u-46-1
sw3351B-ms98-a-0033,121.477625,121.837625,oh,B,b,u-48-1
sw3351B-ms98-a-0035,131.035000,131.335000,yeah,B,b,u-50-1
sw3351B-ms98-a-0035,131.335000,131.715000,they,B,sd,u-50-2
sw3351B-ms98-a-0035,131.715000,132.105000,um,I,sd,u-50-2
sw3351B-ms98-a-0036,133.065125,133.405125,ours,I,sd,u-50-2
sw3351B-ms98-a-0036,133.405125,133.555125,would,I,sd,u-50-2
sw3351B-ms98-a-0036,133.555125,133.915125,still,I,sd,u-50-2
sw3351B-ms98-a-0036,133.915125,134.225125,back,I,sd,u-50-2
sw3351B-ms98-a-0036,134.225125,134.495250,up,I,sd,u-50-2
sw3351B-ms98-a-0036,134.943500,135.165125,to,I,sd,u-50-2
sw3351B-ms98-a-0036,135.165125,135.245125,the,I,sd,u-50-2
sw3351B-ms98-a-0036,135.245125,135.535125,dog,I,sd,u-50-2
sw3351B-ms98-a-0036,135.535125,135.625125,or,I,sd,u-50-2
sw3351B-ms98-a-0036,135.625125,135.905125,cat,I,sd,u-50-2
sw3351B-ms98-a-0036,135.905125,136.005125,when,I,sd,u-50-2
sw3351B-ms98-a-0036,136.005125,136.065125,he,I,sd,u-50-2
sw3351B-ms98-a-0036,136.065125,136.275125,got,I,sd,u-50-2
sw3351B-ms98-a-0036,136.275125,136.836625,mad,I,sd,u-50-2
sw3351B-ms98-a-0037,137.691500,137.922875,and,I,sd,u-50-2
sw3351B-ms98-a-0037,137.922875,138.062875,try,I,sd,u-50-2
sw3351B-ms98-a-0037,138.062875,138.172875,to,I,sd,u-50-2
sw3351B-ms98-a-0037,138.172875,138.742875,perfume,I,sd,u-50-2
sw3351B-ms98-a-0037,138.742875,138.942875,them,I,sd,u-50-2
sw3351B-ms98-a-0037,138.942875,139.172875,but,B,sd,u-50-3
sw3351B-ms98-a-0038,140.059500,140.189500,the,B,+,u-52-1
sw3351B-ms98-a-0038,140.189500,140.609500,glands,I,+,u-52-1
sw3351B-ms98-a-0038,140.609500,140.769500,had,I,+,u-52-1
sw3351B-ms98-a-0038,140.769500,140.949500,been,I,+,u-52-1
sw3351B-ms98-a-0038,140.949500,141.499500,removed,I,+,u-52-1
sw3351B-ms98-a-0038,141.499500,141.889500,so,B,%,u-52-2
sw3351B-ms98-a-0040,145.749875,146.153000,right,B,b,u-54-1
sw3351B-ms98-a-0042,152.400625,152.560625,one,B,sd@,u-56-1
sw3351B-ms98-a-0042,152.560625,152.700625,other,I,sd@,u-56-1
sw3351B-ms98-a-0042,152.700625,153.010625,question,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.010625,153.110625,we,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.110625,153.330625,had,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.330625,153.560625,is,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.560625,153.860625,why,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.860625,153.960625,do,I,sd@,u-56-1
sw3351B-ms98-a-0042,153.960625,154.080625,you,I,sd@,u-56-1
sw3351B-ms98-a-0042,154.080625,154.260625,have,I,sd@,u-56-1
sw3351B-ms98-a-0042,154.260625,154.790625,pets,I,sd@,u-56-1
sw3351B-ms98-a-0044,179.327125,179.497125,yeah,B,b,u-58-1
sw3351B-ms98-a-0044,179.497125,179.527125,i,B,sd,u-58-2
sw3351B-ms98-a-0044,179.527125,179.777125,always,I,sd,u-58-2
sw3351B-ms98-a-0044,179.777125,179.917125,said,I,sd,u-58-2
sw3351B-ms98-a-0044,179.917125,180.047125,if,I,sd,u-58-2
sw3351B-ms98-a-0044,180.047125,180.557125,i,I,sd,u-58-2
sw3351B-ms98-a-0044,180.557125,180.617125,die[d]-,O,,
sw3351B-ms98-a-0044,180.617125,180.718375,well,B,+,u-60-1
sw3351B-ms98-a-0044,180.978250,181.157125,i,I,+,u-60-1
sw3351B-ms98-a-0044,181.157125,181.347125,always,I,+,u-60-1
sw3351B-ms98-a-0044,181.347125,181.507125,said,I,+,u-60-1
sw3351B-ms98-a-0044,181.507125,181.627125,if,I,+,u-60-1
sw3351B-ms98-a-0044,181.627125,181.727125,i,I,+,u-60-1
sw3351B-ms98-a-0044,181.727125,182.067125,died,I,+,u-60-1
sw3351B-ms98-a-0044,182.067125,182.177125,i'd,I,+,u-60-1
sw3351B-ms98-a-0044,182.177125,182.387125,come,I,+,u-60-1
sw3351B-ms98-a-0044,182.387125,182.617125,back,I,+,u-60-1
sw3351B-ms98-a-0044,182.617125,182.737125,as,I,+,u-60-1
sw3351B-ms98-a-0044,182.737125,182.767125,a,I,+,u-60-1
sw3351B-ms98-a-0044,182.767125,183.188500,dog,I,+,u-60-1
sw3351B-ms98-a-0044,183.188500,184.896125,[laughter],O,,
sw3351B-ms98-a-0044,184.896125,185.147125,that'd,B,sv,u-62-1
sw3351B-ms98-a-0044,185.147125,185.277125,be,I,sv,u-62-1
sw3351B-ms98-a-0044,185.277125,185.337125,the,I,sv,u-62-1
sw3351B-ms98-a-0044,185.337125,185.607125,best,I,sv,u-62-1
sw3351B-ms98-a-0044,185.607125,185.727125,way,I,sv,u-62-1
sw3351B-ms98-a-0044,185.727125,185.837125,to,I,sv,u-62-1
sw3351B-ms98-a-0044,185.837125,186.233375,be,I,sv,u-62-1
sw3351B-ms98-a-0046,190.451250,190.992125,well,B,sd,u-64-1
sw3351B-ms98-a-0046,191.282125,191.492000,we,B,+,u-66-1
sw3351B-ms98-a-0046,191.492000,191.722000,had,I,+,u-66-1
sw3351B-ms98-a-0046,191.722000,191.812000,a,I,+,u-66-1
sw3351B-ms98-a-0046,191.812000,192.162000,German,I,+,u-66-1
sw3351B-ms98-a-0046,192.162000,192.752000,Shepherd,I,+,u-66-1
sw3351B-ms98-a-0046,192.752000,193.042000,and,B,sd,u-66-2
sw3351B-ms98-a-0046,193.042000,193.222000,he,I,sd,u-66-2
sw3351B-ms98-a-0046,193.222000,193.362000,had,I,sd,u-66-2
sw3351B-ms98-a-0046,193.362000,194.276750,dysplasia,I,sd,u-66-2
sw3351B-ms98-a-0047,195.709875,195.889875,and,B,sd,u-68-1
sw3351B-ms98-a-0047,195.889875,195.949875,he,I,sd,u-68-1
sw3351B-ms98-a-0047,195.949875,196.139875,had,I,sd,u-68-1
sw3351B-ms98-a-0047,196.139875,196.199875,it,I,sd,u-68-1
sw3351B-ms98-a-0047,196.199875,196.309875,for,I,sd,u-68-1
sw3351B-ms98-a-0047,196.309875,196.599375,about,I,sd,u-68-1
sw3351B-ms98-a-0047,196.994875,197.369875,three,I,sd,u-68-1
sw3351B-ms98-a-0047,197.369875,197.439875,or,I,sd,u-68-1
sw3351B-ms98-a-0047,197.439875,197.709875,four,I,sd,u-68-1
sw3351B-ms98-a-0047,197.709875,198.169875,years,I,sd,u-68-1
sw3351B-ms98-a-0047,198.169875,198.319875,where,I,sd,u-68-1
sw3351B-ms98-a-0047,198.319875,198.459875,we,I,sd,u-68-1
sw3351B-ms98-a-0047,198.459875,198.709875,just,I,sd,u-68-1
sw3351B-ms98-a-0047,198.709875,198.949875,about,I,sd,u-68-1
sw3351B-ms98-a-0047,198.949875,199.149875,had,I,sd,u-68-1
sw3351B-ms98-a-0047,199.149875,199.249875,to,I,sd,u-68-1
sw3351B-ms98-a-0047,199.249875,199.669875,lift,I,sd,u-68-1
sw3351B-ms98-a-0047,199.669875,199.819875,him,I,sd,u-68-1
sw3351B-ms98-a-0047,199.819875,199.969875,and,I,sd,u-68-1
sw3351B-ms98-a-0047,199.969875,200.329875,carry,I,sd,u-68-1
sw3351B-ms98-a-0047,200.329875,200.469875,him,I,sd,u-68-1
sw3351B-ms98-a-0047,200.469875,200.679875,every,I,sd,u-68-1
sw3351B-ms98-a-0047,200.679875,201.009875,place,I,sd,u-68-1
sw3351B-ms98-a-0047,201.009875,201.099875,he,I,sd,u-68-1
sw3351B-ms98-a-0047,201.099875,201.757375,went,I,sd,u-68-1
sw3351B-ms98-a-0048,202.554250,203.224250,so,B,sd,u-70-1
sw3351B-ms98-a-0048,203.524250,203.734250,when,I,sd,u-70-1
sw3351B-ms98-a-0048,203.734250,203.954250,he,I,sd,u-70-1
sw3351B-ms98-a-0048,203.954250,204.344250,died,I,sd,u-70-1
sw3351B-ms98-a-0048,204.344250,204.414250,we,I,sd,u-70-1
sw3351B-ms98-a-0048,204.414250,204.584250,got,I,sd,u-70-1
sw3351B-ms98-a-0048,204.584250,204.614250,a,I,sd,u-70-1
sw3351B-ms98-a-0048,204.614250,204.854250,little,I,sd,u-70-1
sw3351B-ms98-a-0048,204.854250,205.214250,one,I,sd,u-70-1
sw3351B-ms98-a-0049,206.360250,206.500250,but,B,sd,u-72-1
sw3351B-ms98-a-0049,206.500250,206.680250,our,I,sd,u-72-1
sw3351B-ms98-a-0049,206.680250,207.130250,Shepherd,I,sd,u-72-1
sw3351B-ms98-a-0049,207.130250,207.424250,was,I,sd,u-72-1
sw3351B-ms98-a-0049,207.672750,207.970250,almost,I,sd,u-72-1
sw3351B-ms98-a-0049,207.970250,208.400250,thirteen,I,sd,u-72-1
sw3351B-ms98-a-0049,208.400250,208.650250,years,I,sd,u-72-1
sw3351B-ms98-a-0049,208.650250,209.040250,old,I,sd,u-72-1
sw3351B-ms98-a-0049,209.040250,209.220250,and,B,sv,u-72-2
sw3351B-ms98-a-0049,209.220250,209.360250,it,I,sv,u-72-2
sw3351B-ms98-a-0049,209.360250,209.545250,just,I,sv,u-72-2
sw3351B-ms98-a-0049,209.797625,209.910250,you,I,sv,u-72-2
sw3351B-ms98-a-0049,209.910250,210.030250,know,I,sv,u-72-2
sw3351B-ms98-a-0049,210.030250,210.090250,it,I,sv,u-72-2
sw3351B-ms98-a-0049,210.090250,210.230250,was,I,sv,u-72-2
sw3351B-ms98-a-0049,210.230250,210.520250,almost,I,sv,u-72-2
sw3351B-ms98-a-0049,210.520250,211.079750,cruel,I,sv,u-72-2
sw3351B-ms98-a-0050,211.833750,212.752375,because,B,+,u-74-1
sw3351B-ms98-a-0050,213.216375,213.572875,yeah,B,aa,u-76-1
sw3351B-ms98-a-0050,213.572875,213.742875,he,B,sd,u-76-2
sw3351B-ms98-a-0050,213.742875,214.102875,just,I,sd,u-76-2
sw3351B-ms98-a-0050,214.102875,214.212875,he,I,sd,u-76-2
sw3351B-ms98-a-0050,214.212875,214.492875,couldn't,I,sd,u-76-2
sw3351B-ms98-a-0050,214.492875,214.652875,get,I,sd,u-76-2
sw3351B-ms98-a-0050,214.652875,215.012875,up,I,sd,u-76-2
sw3351B-ms98-a-0050,215.012875,215.092875,he,B,sd,u-76-3
sw3351B-ms98-a-0050,215.092875,215.412875,couldn't,I,sd,u-76-3
sw3351B-ms98-a-0050,215.412875,215.862875,walk,I,sd,u-76-3
sw3351B-ms98-a-0050,215.862875,216.279875,so,B,sd,u-76-4
sw3351B-ms98-a-0050,216.859875,216.952875,he,I,sd,u-76-4
sw3351B-ms98-a-0050,216.952875,217.092875,was,I,sd,u-76-4
sw3351B-ms98-a-0050,217.092875,217.142875,a,I,sd,u-76-4
sw3351B-ms98-a-0050,217.142875,217.382875,hundred,I,sd,u-76-4
sw3351B-ms98-a-0050,217.382875,217.472875,and,I,sd,u-76-4
sw3351B-ms98-a-0050,217.472875,217.762875,twenty,I,sd,u-76-4
sw3351B-ms98-a-0050,217.762875,218.352875,pounds,I,sd,u-76-4
sw3351B-ms98-a-0050,218.352875,218.512875,so,B,sd,u-76-5
sw3351B-ms98-a-0050,218.512875,218.582875,it,I,sd,u-76-5
sw3351B-ms98-a-0050,218.582875,218.740125,was,I,sd,u-76-5
sw3351B-ms98-a-0050,219.086625,219.262875,a,I,sd,u-76-5
sw3351B-ms98-a-0050,219.262875,219.792875,chore,I,sd,u-76-5
sw3351B-ms98-a-0051,220.601125,220.761125,so,B,sd,u-78-1
sw3351B-ms98-a-0051,220.761125,220.891125,we,I,sd,u-78-1
sw3351B-ms98-a-0051,220.891125,221.071125,said,I,sd,u-78-1
sw3351B-ms98-a-0051,221.071125,221.131125,the,I,sd,u-78-1
sw3351B-ms98-a-0051,221.131125,221.371125,next,I,sd,u-78-1
sw3351B-ms98-a-0051,221.371125,221.571125,time,I,sd,u-78-1
sw3351B-ms98-a-0051,221.571125,221.851125,around,I,sd,u-78-1
sw3351B-ms98-a-0051,221.851125,221.991125,we'd,I,sd,u-78-1
sw3351B-ms98-a-0051,221.991125,222.161125,get,I,sd,u-78-1
sw3351B-ms98-a-0051,222.161125,222.661125,[laughter-something],O,,
sw3351B-ms98-a-0051,222.661125,223.091125,[laughter-little],O,,
sw3351B-ms98-a-0051,223.091125,223.311125,[laughter-that],O,,
sw3351B-ms98-a-0051,223.311125,223.631125,[laughter-if],O,,
sw3351B-ms98-a-0051,223.631125,224.301125,something,B,+,u-80-1
sw3351B-ms98-a-0051,224.301125,224.641125,happened,I,+,u-80-1
sw3351B-ms98-a-0051,224.641125,224.701125,it,I,+,u-80-1
