sw2915B-ms98-a-0002,3.450000,3.921750,yeah,B,b,u-2-1
sw2915B-ms98-a-0017,62.805875,62.935875,at,I,sd^e,u-20-2
sw2915B-ms98-a-0017,62.935875,63.145875,some,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.145875,63.355875,point,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.355875,63.425875,it,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.425875,63.635875,goes,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.635875,63.805875,up,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.805875,63.935875,to,I,sd^e,u-20-2
sw2915B-ms98-a-0017,63.935875,64.205875,thirty,I,sd^e,u-20-2
sw2915B-ms98-a-0017,64.205875,64.385875,three,I,sd^e,u-20-2
sw2915B-ms98-a-0017,64.385875,64.845875,percent,I,sd^e,u-20-2
sw2915B-ms98-a-0017,64.845875,64.985875,and,B,sd,u-20-3
sw2915B-ms98-a-0017,64.985875,65.115875,then,I,sd,u-20-3
sw2915B-ms98-a-0017,65.115875,65.185875,the,I,sd,u-20-3
sw2915B-ms98-a-0017,65.185875,65.515875,people,I,sd,u-20-3
sw2915B-ms98-a-0017,65.515875,65.685875,that,I,sd,u-20-3
sw2915B-ms98-a-0017,65.685875,65.992750,make,I,sd,u-20-3
sw2915B-ms98-a-0017,65.992750,66.135875,you,I,sd,u-20-3
sw2915B-ms98-a-0017,66.135875,66.460375,know,I,sd,u-20-3
sw2915B-ms98-a-0017,66.765500,66.945875,five,I,sd,u-20-3
sw2915B-ms98-a-0017,66.945875,67.185875,hundred,I,sd,u-20-3
sw2915B-ms98-a-0017,67.185875,67.605875,thousand,I,sd,u-20-3
sw2915B-ms98-a-0017,67.605875,68.005875,dollars,I,sd,u-20-3
sw2915B-ms98-a-0017,68.005875,68.270375,and,I,sd,u-20-3
sw2915B-ms98-a-0017,68.827750,69.235875,and,I,sd,u-20-3
sw2915B-ms98-a-0017,69.235875,69.435875,and,I,sd,u-20-3
sw2915B-ms98-a-0017,69.435875,69.745875,higher,I,sd,u-20-3
sw2915B-ms98-a-0017,69.745875,69.915875,than,I,sd,u-20-3
sw2915B-ms98-a-0017,69.915875,70.275875,that,I,sd,u-20-3
sw2915B-ms98-a-0017,70.275875,70.345875,they,I,sd,u-20-3
sw2915B-ms98-a-0017,70.345875,70.675875,don't,I,sd,u-20-3
sw2915B-ms98-a-0017,70.675875,70.805875,have,I,sd,u-20-3
sw2915B-ms98-a-0017,70.805875,70.925875,to,I,sd,u-20-3
sw2915B-ms98-a-0017,70.925875,71.277375,pay,I,sd,u-20-3
sw2915B-ms98-a-0017,71.488375,71.895875,sometimes,B,sd,u-20-4
sw2915B-ms98-a-0017,71.895875,72.005875,they,I,sd,u-20-4
sw2915B-ms98-a-0017,72.005875,72.145875,ha[ve]-,I,sd,u-20-4
sw2915B-ms98-a-0017,72.145875,72.385875,to,I,sd,u-20-4
sw2915B-ms98-a-0017,72.385875,72.555875,pay,I,sd,u-20-4
sw2915B-ms98-a-0017,72.555875,72.795875,even,I,sd,u-20-4
sw2915B-ms98-a-0017,72.795875,73.025875,less,I,sd,u-20-4
sw2915B-ms98-a-0017,73.025875,73.481125,taxes,I,sd,u-20-4
sw2915B-ms98-a-0018,74.873875,75.213875,no,B,nn,u-22-1
sw2915B-ms98-a-0018,75.213875,75.313875,it,B,sd^e,u-22-2
sw2915B-ms98-a-0018,75.313875,75.658000,isn't,I,sd^e,u-22-2
sw2915B-ms98-a-0020,81.220500,81.468750,what,B,br,u-24-1
sw2915B-ms98-a-0021,82.722500,83.062500,no,O,,
sw2915B-ms98-a-0023,87.931875,88.355250,right,B,b,u-28-1
sw2915B-ms98-a-0024,89.742875,89.827000,i,B,sd,u-30-1
sw2915B-ms98-a-0024,89.827000,90.022875,mean,I,sd,u-30-1
sw2915B-ms98-a-0024,90.022875,90.202875,if,I,sd,u-30-1
sw2915B-ms98-a-0024,90.202875,90.312875,they're,I,sd,u-30-1
sw2915B-ms98-a-0024,90.312875,90.432875,in,I,sd,u-30-1
sw2915B-ms98-a-0024,90.432875,90.932875,business,I,sd,u-30-1
sw2915B-ms98-a-0024,90.932875,91.242875,and,I,sd,u-30-1
sw2915B-ms98-a-0024,91.242875,91.622875,and,I,sd,u-30-1
sw2915B-ms98-a-0024,91.622875,91.742875,they're,I,sd,u-30-1
sw2915B-ms98-a-0024,91.742875,92.192875,making,I,sd,u-30-1
sw2915B-ms98-a-0024,92.192875,92.522875,money,I,sd,u-30-1
sw2915B-ms98-a-0024,92.522875,92.642875,i-,O,,
sw2915B-ms98-a-0024,92.642875,92.712875,i,B,sd,u-30-2
sw2915B-ms98-a-0024,92.712875,92.942875,could,I,sd,u-30-2
sw2915B-ms98-a-0024,92.942875,93.102875,see,I,sd,u-30-2
sw2915B-ms98-a-0024,93.102875,93.232875,if,I,sd,u-30-2
sw2915B-ms98-a-0024,93.232875,93.362875,they're,I,sd,u-30-2
sw2915B-ms98-a-0024,93.362875,93.762875,losing,I,sd,u-30-2
sw2915B-ms98-a-0024,93.762875,94.032875,money,I,sd,u-30-2
sw2915B-ms98-a-0024,94.032875,94.292875,but,B,sv,u-30-3
sw2915B-ms98-a-0024,94.292875,94.402875,they're,I,sv,u-30-3
sw2915B-ms98-a-0024,94.402875,94.812875,making,I,sv,u-30-3
sw2915B-ms98-a-0024,94.812875,95.132875,money,I,sv,u-30-3
sw2915B-ms98-a-0024,95.132875,95.342875,then,B,sv,u-32-1
sw2915B-ms98-a-0024,95.342875,95.504750,they,I,sv,u-32-1
sw2915B-ms98-a-0024,95.504750,95.652875,should,I,sv,u-32-1
sw2915B-ms98-a-0024,95.652875,95.822875,pay,I,sv,u-32-1
sw2915B-ms98-a-0024,95.822875,96.378625,taxes,I,sv,u-32-1
sw2915B-ms98-a-0024,96.378625,96.607375,then,I,sv,u-32-1
sw2915B-ms98-a-0026,103.706625,104.057250,um-hum,B,b,u-34-1
sw2915B-ms98-a-0028,110.496250,110.863375,right,B,aa,u-36-1
sw2915B-ms98-a-0028,111.243750,111.603000,um-hum,B,b,u-36-2
sw2915B-ms98-a-0030,117.327250,117.757000,right,B,b,u-38-1
sw2915B-ms98-a-0032,123.817875,124.004250,i,B,sd,u-40-1
sw2915B-ms98-a-0032,124.004250,124.187375,just,I,sd,u-40-1
sw2915B-ms98-a-0032,124.187375,124.517375,file,I,sd,u-40-1
sw2915B-ms98-a-0032,124.517375,124.947375,federal,I,sd,u-40-1
sw2915B-ms98-a-0032,124.947375,125.287375,income,I,sd,u-40-1
sw2915B-ms98-a-0032,125.287375,126.307375,tax,I,sd,u-40-1
sw2915B-ms98-a-0032,126.307375,126.527375,every,I,sd,u-40-1
sw2915B-ms98-a-0032,126.527375,126.780750,year,I,sd,u-40-1
sw2915B-ms98-a-0034,130.171000,130.493750,yeah,B,ny,u-42-1
sw2915B-ms98-a-0034,130.493750,130.583750,i,B,sd^e,u-42-2
sw2915B-ms98-a-0034,130.583750,130.823750,just,I,sd^e,u-42-2
sw2915B-ms98-a-0034,130.823750,131.043750,got,I,sd^e,u-42-2
sw2915B-ms98-a-0034,131.043750,131.593750,divorced,I,sd^e,u-42-2
sw2915B-ms98-a-0034,131.593750,131.693750,so,B,sd,u-42-3
sw2915B-ms98-a-0034,131.693750,131.893750,i'm,I,sd,u-42-3
sw2915B-ms98-a-0034,131.893750,132.243750,single,I,sd,u-42-3
sw2915B-ms98-a-0034,132.243750,132.673750,again,I,sd,u-42-3
sw2915B-ms98-a-0034,132.673750,133.055625,so,B,sd,u-42-4
sw2915B-ms98-a-0034,133.055625,133.403750,and,I,sd,u-42-4
sw2915B-ms98-a-0034,133.403750,133.553750,you,I,sd,u-42-4
sw2915B-ms98-a-0034,133.553750,133.793750,know,I,sd,u-42-4
sw2915B-ms98-a-0034,133.793750,133.993750,it's,I,sd,u-42-4
sw2915B-ms98-a-0034,133.993750,134.273750,it's,I,sd,u-42-4
sw2915B-ms98-a-0034,134.273750,134.493750,it's,I,sd,u-42-4
sw2915B-ms98-a-0034,134.493750,134.553750,a,I,sd,u-42-4
sw2915B-ms98-a-0034,134.553750,134.853750,lot,I,sd,u-42-4
sw2915B-ms98-a-0034,134.853750,135.103750,worse,I,sd,u-42-4
sw2915B-ms98-a-0034,135.103750,135.263750,for,I,sd,u-42-4
sw2915B-ms98-a-0034,135.263750,135.643750,single,I,sd,u-42-4
sw2915B-ms98-a-0034,135.643750,135.983750,people,I,sd,u-42-4
sw2915B-ms98-a-0034,135.983750,136.243750,because_1,I,sd,u-42-4
sw2915B-ms98-a-0034,136.243750,136.353750,they,I,sd,u-42-4
sw2915B-ms98-a-0034,136.353750,136.593750,pay,I,sd,u-42-4
sw2915B-ms98-a-0034,136.593750,136.703750,the,I,sd,u-42-4
sw2915B-ms98-a-0034,136.703750,136.993750,same,I,sd,u-42-4
sw2915B-ms98-a-0034,136.993750,137.383750,amount,I,sd,u-42-4
sw2915B-ms98-a-0034,137.383750,137.609500,as,I,sd,u-42-4
sw2915B-ms98-a-0034,137.609500,137.813750,as,I,sd,u-42-4
sw2915B-ms98-a-0034,137.813750,137.883750,the,I,sd,u-42-4
sw2915B-ms98-a-0034,137.883750,138.193750,people,I,sd,u-42-4
sw2915B-ms98-a-0034,138.193750,138.323750,that,I,sd,u-42-4
sw2915B-ms98-a-0034,138.323750,138.553750,make,I,sd,u-42-4
sw2915B-ms98-a-0034,138.553750,138.613750,the,I,sd,u-42-4
sw2915B-ms98-a-0034,138.613750,138.823750,same,I,sd,u-42-4
sw2915B-ms98-a-0034,138.823750,139.053750,amount,I,sd,u-42-4
sw2915B-ms98-a-0034,139.053750,139.113750,of,I,sd,u-42-4
sw2915B-ms98-a-0034,139.113750,139.393750,money,I,sd,u-42-4
sw2915B-ms98-a-0034,139.393750,139.553750,and,I,sd,u-42-4
sw2915B-ms98-a-0034,139.553750,139.733750,they're,I,sd,u-42-4
sw2915B-ms98-a-0034,139.733750,140.235250,married,I,sd,u-42-4
sw2915B-ms98-a-0034,141.190625,141.458625,tha[t]-,O,,
sw2915B-ms98-a-0036,146.295750,146.576250,um-hum,B,b,u-44-1
sw2915B-ms98-a-0038,159.126125,159.462625,um-hum,B,ny,u-46-1
sw2915B-ms98-a-0040,165.432625,165.852750,right,B,b,u-48-1
sw2915B-ms98-a-0041,167.324500,167.754500,whoever,B,sd,u-50-1
sw2915B-ms98-a-0041,167.754500,168.195000,works,I,sd,u-50-1
sw2915B-ms98-a-0041,168.195000,168.804500,less,I,sd,u-50-1
sw2915B-ms98-a-0041,168.804500,169.024500,they,I,sd,u-50-1
sw2915B-ms98-a-0041,169.024500,169.264500,get,I,sd,u-50-1
sw2915B-ms98-a-0041,169.264500,169.314500,a,I,sd,u-50-1
sw2915B-ms98-a-0041,169.314500,169.664500,tax,I,sd,u-50-1
sw2915B-ms98-a-0041,169.664500,169.974500,credit,I,sd,u-50-1
sw2915B-ms98-a-0041,169.974500,170.125750,for,I,sd,u-50-1
sw2915B-ms98-a-0041,170.125750,170.436875,that,I,sd,u-50-1
sw2915B-ms98-a-0042,171.506500,171.737875,if,B,sd,u-52-1
sw2915B-ms98-a-0042,171.737875,172.217125,both,I,sd,u-52-1
sw2915B-ms98-a-0042,172.217125,172.397125,of,I,sd,u-52-1
sw2915B-ms98-a-0042,172.397125,172.637125,the,I,sd,u-52-1
sw2915B-ms98-a-0042,172.637125,172.997125,both,I,sd,u-52-1
sw2915B-ms98-a-0042,172.997125,173.097125,of,I,sd,u-52-1
sw2915B-ms98-a-0042,173.097125,173.431625,the,I,sd,u-52-1
sw2915B-ms98-a-0042,173.910000,174.566875,spouses,I,sd,u-52-1
sw2915B-ms98-a-0042,174.909625,175.497125,work,B,+,u-54-1
sw2915B-ms98-a-0042,175.497125,175.657125,then,I,+,u-54-1
sw2915B-ms98-a-0042,175.657125,175.747125,you,I,+,u-54-1
sw2915B-ms98-a-0042,175.747125,175.897125,get,I,+,u-54-1
sw2915B-ms98-a-0042,175.897125,175.947125,a,I,+,u-54-1
sw2915B-ms98-a-0042,175.947125,176.267125,tax,I,+,u-54-1
sw2915B-ms98-a-0042,176.267125,176.597125,credit,I,+,u-54-1
sw2915B-ms98-a-0042,176.597125,176.667125,for,I,+,u-54-1
sw2915B-ms98-a-0042,176.667125,176.962750,that,I,+,u-54-1
sw2915B-ms98-a-0042,177.897625,178.246500,um-hum,B,b,u-56-1
sw2915B-ms98-a-0044,182.664000,182.837750,well,B,sd,u-58-1
sw2915B-ms98-a-0044,182.837750,182.957750,it's,I,sd,u-58-1
sw2915B-ms98-a-0044,182.957750,183.147750,two,I,sd,u-58-1
sw2915B-ms98-a-0044,183.147750,183.627750,thousand,I,sd,u-58-1
sw2915B-ms98-a-0044,183.627750,183.926625,now,I,sd,u-58-1
sw2915B-ms98-a-0044,184.578125,184.817750,yeah,B,ny,u-60-1
sw2915B-ms98-a-0044,184.817750,185.017750,for,B,sd^e,u-60-2
sw2915B-ms98-a-0044,185.017750,185.624000,everybody,I,sd^e,u-60-2
sw2915B-ms98-a-0045,186.676625,187.050750,um-hum,B,b,u-62-1
sw2915B-ms98-a-0046,188.384750,188.535375,then,B,sd,u-64-1
sw2915B-ms98-a-0046,188.535375,188.655375,you,I,sd,u-64-1
sw2915B-ms98-a-0046,188.655375,188.845375,get,I,sd,u-64-1
sw2915B-ms98-a-0046,188.845375,189.056125,a,I,sd,u-64-1
sw2915B-ms98-a-0046,189.056125,189.335375,you,I,sd,u-64-1
sw2915B-ms98-a-0046,189.335375,189.495375,get,I,sd,u-64-1
sw2915B-ms98-a-0046,189.495375,189.635375,a,I,sd,u-64-1
sw2915B-ms98-a-0046,189.635375,189.975375,child,I,sd,u-64-1
sw2915B-ms98-a-0046,189.975375,190.454875,care,I,sd,u-64-1
sw2915B-ms98-a-0046,190.454875,191.215375,exemption,I,sd,u-64-1
sw2915B-ms98-a-0046,191.215375,191.395375,but,B,sv,u-64-2
sw2915B-ms98-a-0046,191.395375,191.585375,it's,I,sv,u-64-2
sw2915B-ms98-a-0046,191.585375,191.815375,not,I,sv,u-64-2
sw2915B-ms98-a-0046,191.815375,192.485375,enough,I,sv,u-64-2
sw2915B-ms98-a-0046,192.485375,192.605375,you,I,sv,u-64-2
sw2915B-ms98-a-0046,192.605375,192.935375,know,I,sv,u-64-2
sw2915B-ms98-a-0046,192.935375,193.005375,i,B,sd,u-64-3
sw2915B-ms98-a-0046,193.005375,193.225375,mean,I,sd,u-64-3
sw2915B-ms98-a-0046,193.225375,193.315375,you,I,sd,u-64-3
sw2915B-ms98-a-0046,193.315375,193.605375,pay,I,sd,u-64-3
sw2915B-ms98-a-0046,193.605375,193.994625,from,I,sd,u-64-3
sw2915B-ms98-a-0046,194.405250,194.745375,fifty,I,sd,u-64-3
sw2915B-ms98-a-0046,194.745375,194.845375,to,I,sd,u-64-3
sw2915B-ms98-a-0046,194.845375,194.905375,a,I,sd,u-64-3
sw2915B-ms98-a-0046,194.905375,195.195375,hundred,I,sd,u-64-3
sw2915B-ms98-a-0046,195.195375,195.505375,dollars,I,sd,u-64-3
sw2915B-ms98-a-0046,195.505375,195.585375,a,I,sd,u-64-3
sw2915B-ms98-a-0046,195.585375,195.855375,week,I,sd,u-64-3
sw2915B-ms98-a-0046,195.855375,196.015375,in,I,sd,u-64-3
sw2915B-ms98-a-0046,196.015375,196.385375,child,I,sd,u-64-3
sw2915B-ms98-a-0046,196.385375,196.774375,care,I,sd,u-64-3
sw2915B-ms98-a-0046,197.550250,198.089250,and,B,sd,u-66-1
sw2915B-ms98-a-0046,198.349125,198.545375,and,I,sd,u-66-1
sw2915B-ms98-a-0046,198.545375,198.675375,they,I,sd,u-66-1
sw2915B-ms98-a-0046,198.675375,198.935375,only,I,sd,u-66-1
sw2915B-ms98-a-0046,198.935375,199.185375,give,I,sd,u-66-1
sw2915B-ms98-a-0046,199.185375,199.457625,you,I,sd,u-66-1
sw2915B-ms98-a-0046,199.623125,199.871125,like,I,sd,u-66-1
sw2915B-ms98-a-0047,200.682125,200.773625,w[ell]-,I,sd,u-66-1
sw2915B-ms98-a-0047,201.091125,201.229125,i,I,sd,u-66-1
sw2915B-ms98-a-0047,201.229125,201.439625,think,I,sd,u-66-1
sw2915B-ms98-a-0047,201.439625,201.599625,it's,I,sd,u-66-1
sw2915B-ms98-a-0047,201.599625,202.000250,about,I,sd,u-66-1
sw2915B-ms98-a-0047,202.561375,202.889625,five,I,sd,u-66-1
sw2915B-ms98-a-0047,202.889625,202.959625,or,I,sd,u-66-1
sw2915B-ms98-a-0047,202.959625,203.239625,ten,I,sd,u-66-1
sw2915B-ms98-a-0047,203.239625,203.669625,percent,I,sd,u-66-1
sw2915B-ms98-a-0047,203.669625,203.749625,of,I,sd,u-66-1
sw2915B-ms98-a-0047,203.749625,204.054875,that,I,sd,u-66-1
sw2915B-ms98-a-0047,205.081375,205.220750,you,B,sv,u-68-1
sw2915B-ms98-a-0047,205.220750,205.379625,know,I,sv,u-68-1
sw2915B-ms98-a-0047,205.379625,205.499625,it,I,sv,u-68-1
sw2915B-ms98-a-0047,205.499625,205.809625,doesn't,I,sv,u-68-1
sw2915B-ms98-a-0047,205.809625,206.209625,even,I,sv,u-68-1
sw2915B-ms98-a-0047,206.209625,206.409625,it's,I,sv,u-68-1
sw2915B-ms98-a-0047,206.409625,206.649625,not,I,sv,u-68-1
sw2915B-ms98-a-0047,206.649625,206.865625,even,I,sv,u-68-1
sw2915B-ms98-a-0049,212.014250,212.216625,oh,B,fc,u-70-1
sw2915B-ms98-a-0049,212.216625,212.528625,okay,I,fc,u-70-1
sw2915B-ms98-a-0050,213.880750,214.110750,nice,B,fc,u-72-1
sw2915B-ms98-a-0050,214.110750,214.310750,talking,I,fc,u-72-1
sw2915B-ms98-a-0050,214.310750,214.380750,to,I,fc,u-72-1
sw2915B-ms98-a-0050,214.380750,214.588500,you,I,fc,u-72-1
sw2915B-ms98-a-0050,215.383250,215.598750,bye-bye,O,,
