sw3651B-ms98-a-0003,3.562125,3.702125,what,B,qw,u-2-1
sw3651B-ms98-a-0008,42.571250,42.976000,um,B,sd,u-10-1
sw3651B-ms98-a-0008,43.166500,43.247375,a,I,sd,u-10-1
sw3651B-ms98-a-0008,43.247375,43.477375,few,I,sd,u-10-1
sw3651B-ms98-a-0008,43.477375,43.717375,years,I,sd,u-10-1
sw3651B-ms98-a-0008,43.717375,44.083500,ago,I,sd,u-10-1
sw3651B-ms98-a-0008,44.437625,44.697375,uh,I,sd,u-10-1
sw3651B-ms98-a-0008,44.697375,45.077375,w[e]-,I,sd,u-10-1
sw3651B-ms98-a-0008,45.077375,45.227375,we,I,sd,u-10-1
sw3651B-ms98-a-0008,45.227375,45.650500,needed,I,sd,u-10-1
sw3651B-ms98-a-0008,46.238000,46.597375,uh,I,sd,u-10-1
sw3651B-ms98-a-0008,46.597375,46.747375,they,I,sd,u-10-1
sw3651B-ms98-a-0008,46.747375,47.017375,needed,I,sd,u-10-1
sw3651B-ms98-a-0008,47.017375,47.137375,some,I,sd,u-10-1
sw3651B-ms98-a-0008,47.137375,47.367375,book,I,sd,u-10-1
sw3651B-ms98-a-0008,47.367375,48.035125,shelves,I,sd,u-10-1
sw3651B-ms98-a-0008,48.698125,48.846375,and,B,sd,u-10-2
sw3651B-ms98-a-0008,48.846375,49.102750,i,I,sd,u-10-2
sw3651B-ms98-a-0008,49.283500,49.507375,kind,I,sd,u-10-2
sw3651B-ms98-a-0008,49.507375,49.587375,of,I,sd,u-10-2
sw3651B-ms98-a-0008,49.587375,49.797375,drew,I,sd,u-10-2
sw3651B-ms98-a-0008,49.797375,49.937375,up,I,sd,u-10-2
sw3651B-ms98-a-0008,49.937375,50.097375,some,I,sd,u-10-2
sw3651B-ms98-a-0008,50.097375,50.457375,simple,I,sd,u-10-2
sw3651B-ms98-a-0008,50.457375,50.887375,plans,I,sd,u-10-2
sw3651B-ms98-a-0008,50.887375,50.987375,to,I,sd,u-10-2
sw3651B-ms98-a-0008,50.987375,51.207375,make,I,sd,u-10-2
sw3651B-ms98-a-0008,51.207375,51.357375,some,I,sd,u-10-2
sw3651B-ms98-a-0008,51.357375,51.527375,book,I,sd,u-10-2
sw3651B-ms98-a-0008,51.527375,51.927375,shelves,I,sd,u-10-2
sw3651B-ms98-a-0008,51.927375,52.204750,and,B,sv,u-10-3
sw3651B-ms98-a-0009,53.069750,53.179750,um,I,sv,u-10-3
sw3651B-ms98-a-0009,53.179750,53.325000,uh,I,sv,u-10-3
sw3651B-ms98-a-0009,53.617125,53.782125,i[t]-,I,sv,u-10-3
sw3651B-ms98-a-0009,53.782125,54.419750,it,I,sv,u-10-3
sw3651B-ms98-a-0009,54.419750,54.739750,actually,I,sv,u-10-3
sw3651B-ms98-a-0009,54.739750,54.989750,worked,I,sv,u-10-3
sw3651B-ms98-a-0009,54.989750,55.219750,pretty,I,sv,u-10-3
sw3651B-ms98-a-0009,55.219750,55.762000,well,I,sv,u-10-3
sw3651B-ms98-a-0009,55.762000,55.889750,and,B,sd,u-10-4
sw3651B-ms98-a-0009,55.889750,56.099750,over,I,sd,u-10-4
sw3651B-ms98-a-0009,56.099750,56.159750,the,I,sd,u-10-4
sw3651B-ms98-a-0009,56.159750,56.519750,years,I,sd,u-10-4
sw3651B-ms98-a-0009,56.519750,56.784125,i've,I,sd,u-10-4
sw3651B-ms98-a-0009,56.784125,57.039750,i've,I,sd,u-10-4
sw3651B-ms98-a-0009,57.039750,57.499750,refined,I,sd,u-10-4
sw3651B-ms98-a-0009,57.499750,57.679750,those,I,sd,u-10-4
sw3651B-ms98-a-0009,57.679750,58.079750,plans,I,sd,u-10-4
sw3651B-ms98-a-0009,58.079750,58.139750,i,B,sd,u-10-5
sw3651B-ms98-a-0009,58.139750,58.289750,got,I,sd,u-10-5
sw3651B-ms98-a-0009,58.289750,58.629750,myself,I,sd,u-10-5
sw3651B-ms98-a-0009,58.629750,58.729750,a,I,sd,u-10-5
sw3651B-ms98-a-0009,58.729750,59.139750,router,I,sd,u-10-5
sw3651B-ms98-a-0009,59.139750,59.279750,and,B,sd,u-10-6
sw3651B-ms98-a-0009,59.279750,59.544375,i'm,I,sd,u-10-6
sw3651B-ms98-a-0009,59.544375,59.709750,i'm,I,sd,u-10-6
sw3651B-ms98-a-0009,59.709750,59.949750,very,I,sd,u-10-6
sw3651B-ms98-a-0009,59.949750,60.089750,good,I,sd,u-10-6
sw3651B-ms98-a-0009,60.089750,60.159750,at,I,sd,u-10-6
sw3651B-ms98-a-0009,60.159750,60.519750,making,I,sd,u-10-6
sw3651B-ms98-a-0009,60.519750,60.679750,book,I,sd,u-10-6
sw3651B-ms98-a-0009,60.679750,61.113125,shelves,I,sd,u-10-6
sw3651B-ms98-a-0010,61.836875,62.026000,it,O,,
sw3651B-ms98-a-0010,62.026000,62.236000,it's,B,sv,u-12-1
sw3651B-ms98-a-0010,62.236000,62.486000,also,I,sv,u-12-1
sw3651B-ms98-a-0010,62.486000,62.516000,a,I,sv,u-12-1
sw3651B-ms98-a-0010,62.516000,62.646000,way,I,sv,u-12-1
sw3651B-ms98-a-0010,62.646000,62.706000,of,I,sv,u-12-1
sw3651B-ms98-a-0010,62.706000,63.086000,relieving,I,sv,u-12-1
sw3651B-ms98-a-0010,63.086000,63.566000,stress,I,sv,u-12-1
sw3651B-ms98-a-0010,63.566000,63.656000,my,B,sd,u-12-2
sw3651B-ms98-a-0010,63.656000,63.866000,wife,I,sd,u-12-2
sw3651B-ms98-a-0010,63.866000,64.036000,kind,I,sd,u-12-2
sw3651B-ms98-a-0010,64.036000,64.106000,of,I,sd,u-12-2
sw3651B-ms98-a-0010,64.106000,64.426000,laughs,I,sd,u-12-2
sw3651B-ms98-a-0010,64.426000,64.566000,at,B,+,u-14-1
sw3651B-ms98-a-0010,64.566000,64.716000,me,I,+,u-14-1
sw3651B-ms98-a-0010,64.716000,64.856000,that,I,+,u-14-1
sw3651B-ms98-a-0010,64.856000,65.256000,anytime,I,+,u-14-1
sw3651B-ms98-a-0010,65.256000,65.316000,i,I,+,u-14-1
sw3651B-ms98-a-0010,65.316000,65.496000,get,I,+,u-14-1
sw3651B-ms98-a-0010,65.496000,65.886000,stressed,I,+,u-14-1
sw3651B-ms98-a-0010,65.886000,65.936000,i,I,+,u-14-1
sw3651B-ms98-a-0010,65.936000,66.146000,just,I,+,u-14-1
sw3651B-ms98-a-0010,66.146000,66.276000,go,I,+,u-14-1
sw3651B-ms98-a-0010,66.276000,66.346000,out,I,+,u-14-1
sw3651B-ms98-a-0010,66.346000,66.406000,in,I,+,u-14-1
sw3651B-ms98-a-0010,66.406000,66.466000,the,I,+,u-14-1
sw3651B-ms98-a-0010,66.466000,66.886000,garage,I,+,u-14-1
sw3651B-ms98-a-0010,66.886000,67.016000,and,I,+,u-14-1
sw3651B-ms98-a-0010,67.386000,67.496000,we've,I,+,u-14-1
sw3651B-ms98-a-0010,67.496000,67.676000,got,I,+,u-14-1
sw3651B-ms98-a-0010,67.676000,67.846000,more,I,+,u-14-1
sw3651B-ms98-a-0010,67.846000,68.036000,book,I,+,u-14-1
sw3651B-ms98-a-0010,68.036000,68.456000,shelves,I,+,u-14-1
sw3651B-ms98-a-0010,69.756000,69.973625,but,O,,
sw3651B-ms98-a-0012,96.682625,97.053375,uh,B,ny,u-16-1
sw3651B-ms98-a-0012,97.053375,97.643375,[vocalized-noise],I,ny,u-16-1
sw3651B-ms98-a-0012,97.643375,98.084625,well,I,ny,u-16-1
sw3651B-ms98-a-0012,98.084625,98.465000,yeah,I,ny,u-16-1
sw3651B-ms98-a-0012,98.465000,98.568125,i,B,sd^e,u-16-2
sw3651B-ms98-a-0012,98.568125,98.693375,mean,I,sd^e,u-16-2
sw3651B-ms98-a-0012,98.693375,98.883375,little,I,sd^e,u-16-2
sw3651B-ms98-a-0012,98.883375,99.013375,by,I,sd^e,u-16-2
sw3651B-ms98-a-0012,99.013375,99.293375,little,I,sd^e,u-16-2
sw3651B-ms98-a-0012,99.293375,99.476375,i,I,sd^e,u-16-2
sw3651B-ms98-a-0012,99.476375,99.619500,i,I,sd^e,u-16-2
sw3651B-ms98-a-0012,99.619500,100.014000,[laughter-started],I,sd^e,u-16-2
sw3651B-ms98-a-0012,100.014000,100.213375,out,I,sd^e,u-16-2
sw3651B-ms98-a-0012,100.213375,100.333375,with,I,sd^e,u-16-2
sw3651B-ms98-a-0012,100.333375,100.553375,just,I,sd^e,u-16-2
sw3651B-ms98-a-0012,100.553375,100.893375,basic,I,sd^e,u-16-2
sw3651B-ms98-a-0012,100.893375,101.133375,hand,I,sd^e,u-16-2
sw3651B-ms98-a-0012,101.133375,101.423375,tools,I,sd^e,u-16-2
sw3651B-ms98-a-0012,101.423375,101.573375,and,I,sd^e,u-16-2
sw3651B-ms98-a-0012,101.573375,101.783375,kind,I,sd^e,u-16-2
sw3651B-ms98-a-0012,101.783375,101.863375,of,I,sd^e,u-16-2
sw3651B-ms98-a-0012,101.863375,102.163375,added,I,sd^e,u-16-2
sw3651B-ms98-a-0012,102.163375,102.303375,on,I,sd^e,u-16-2
sw3651B-ms98-a-0012,102.303375,102.433375,to,I,sd^e,u-16-2
sw3651B-ms98-a-0012,102.433375,102.825625,things,I,sd^e,u-16-2
sw3651B-ms98-a-0012,103.269625,103.679625,uh,B,sd,u-18-1
sw3651B-ms98-a-0013,104.051250,104.555375,[vocalized-noise],I,sd,u-18-1
sw3651B-ms98-a-0013,104.555375,104.985375,gotten,I,sd,u-18-1
sw3651B-ms98-a-0013,104.985375,105.165750,a,I,sd,u-18-1
sw3651B-ms98-a-0013,105.165750,105.372875,a,I,sd,u-18-1
sw3651B-ms98-a-0013,105.372875,105.635375,good,I,sd,u-18-1
sw3651B-ms98-a-0013,105.635375,105.875375,belt,I,sd,u-18-1
sw3651B-ms98-a-0013,105.875375,106.335375,sander,I,sd,u-18-1
sw3651B-ms98-a-0013,106.335375,106.505375,and,B,sd,u-18-2
sw3651B-ms98-a-0013,106.505375,106.808875,and,I,sd,u-18-2
sw3651B-ms98-a-0013,107.181875,107.345375,the,I,sd,u-18-2
sw3651B-ms98-a-0013,107.345375,107.882625,router,I,sd,u-18-2
sw3651B-ms98-a-0013,108.274375,108.485375,uh,I,sd,u-18-2
sw3651B-ms98-a-0013,108.485375,109.125375,helps,I,sd,u-18-2
sw3651B-ms98-a-0013,109.125375,109.268250,a,I,sd,u-18-2
sw3651B-ms98-a-0013,109.268250,109.655375,lot,I,sd,u-18-2
sw3651B-ms98-a-0013,109.655375,110.035375,because,I,sd,u-18-2
sw3651B-ms98-a-0013,110.035375,110.145375,you,I,sd,u-18-2
sw3651B-ms98-a-0013,110.145375,110.295375,can,I,sd,u-18-2
sw3651B-ms98-a-0013,110.295375,110.485375,make,I,sd,u-18-2
sw3651B-ms98-a-0013,110.485375,110.805375,better,I,sd,u-18-2
sw3651B-ms98-a-0013,110.805375,111.235375,joints,I,sd,u-18-2
sw3651B-ms98-a-0013,111.235375,111.395375,with,I,sd,u-18-2
sw3651B-ms98-a-0013,111.395375,111.495375,a,I,sd,u-18-2
sw3651B-ms98-a-0013,111.495375,111.911750,router,I,sd,u-18-2
sw3651B-ms98-a-0014,112.596750,112.656750,the,B,sd,u-20-1
sw3651B-ms98-a-0014,112.656750,113.006750,latest,I,sd,u-20-1
sw3651B-ms98-a-0014,113.006750,113.486750,project,I,sd,u-20-1
sw3651B-ms98-a-0014,113.486750,113.586750,that,I,sd,u-20-1
sw3651B-ms98-a-0014,113.586750,113.696750,i've,I,sd,u-20-1
sw3651B-ms98-a-0014,113.696750,113.836750,been,I,sd,u-20-1
sw3651B-ms98-a-0014,113.836750,114.176750,working,I,sd,u-20-1
sw3651B-ms98-a-0014,114.176750,114.386750,on,I,sd,u-20-1
sw3651B-ms98-a-0014,114.386750,114.536750,an[d]-,I,sd,u-20-1
sw3651B-ms98-a-0014,114.536750,114.696750,and,I,sd,u-20-1
sw3651B-ms98-a-0014,114.696750,114.876750,this,I,sd,u-20-1
sw3651B-ms98-a-0014,114.876750,115.016750,has,I,sd,u-20-1
sw3651B-ms98-a-0014,115.016750,115.246750,kind,I,sd,u-20-1
sw3651B-ms98-a-0014,115.246750,115.326750,of,I,sd,u-20-1
sw3651B-ms98-a-0014,115.326750,115.476750,been,I,sd,u-20-1
sw3651B-ms98-a-0014,115.476750,115.776750,sitting,I,sd,u-20-1
sw3651B-ms98-a-0014,115.776750,115.946750,here,I,sd,u-20-1
sw3651B-ms98-a-0014,115.946750,116.086750,for,I,sd,u-20-1
sw3651B-ms98-a-0014,116.086750,116.116750,a,I,sd,u-20-1
sw3651B-ms98-a-0014,116.116750,116.316750,few,I,sd,u-20-1
sw3651B-ms98-a-0014,116.316750,116.676750,months,I,sd,u-20-1
sw3651B-ms98-a-0014,116.676750,116.866750,is,I,sd,u-20-1
sw3651B-ms98-a-0014,116.866750,117.111750,a,I,sd,u-20-1
sw3651B-ms98-a-0015,118.134875,118.324875,a,I,sd,u-20-1
sw3651B-ms98-a-0015,118.324875,118.874875,cabinet,I,sd,u-20-1
sw3651B-ms98-a-0015,118.874875,119.272000,to,I,sd,u-20-1
sw3651B-ms98-a-0015,119.272000,119.454875,to,I,sd,u-20-1
sw3651B-ms98-a-0015,119.454875,119.674875,put,I,sd,u-20-1
sw3651B-ms98-a-0015,119.674875,119.724875,a,I,sd,u-20-1
sw3651B-ms98-a-0015,119.724875,120.164875,TV,I,sd,u-20-1
sw3651B-ms98-a-0015,120.164875,120.394875,in,I,sd,u-20-1
sw3651B-ms98-a-0017,122.643875,123.147875,right,B,aa,u-22-1
sw3651B-ms98-a-0017,123.147875,123.333875,and,B,sv,u-24-1
sw3651B-ms98-a-0017,123.333875,123.573875,it,I,sv,u-24-1
sw3651B-ms98-a-0017,123.573875,123.813875,that's,I,sv,u-24-1
sw3651B-ms98-a-0017,123.813875,124.083875,works,I,sv,u-24-1
sw3651B-ms98-a-0017,124.083875,124.568875,well,I,sv,u-24-1
sw3651B-ms98-a-0017,124.568875,125.023875,because,I,sv,u-24-1
sw3651B-ms98-a-0017,125.023875,125.163875,you,I,sv,u-24-1
sw3651B-ms98-a-0017,125.163875,125.333875,can,I,sv,u-24-1
sw3651B-ms98-a-0017,125.333875,125.752625,design,I,sv,u-24-1
sw3651B-ms98-a-0017,125.752625,125.904000,it,I,sv,u-24-1
sw3651B-ms98-a-0017,126.145125,126.854125,to,I,sv,u-24-1
sw3651B-ms98-a-0017,126.854125,126.973875,to,I,sv,u-24-1
sw3651B-ms98-a-0017,126.973875,127.323875,suit,I,sv,u-24-1
sw3651B-ms98-a-0017,127.743875,128.203875,whatever,I,sv,u-24-1
sw3651B-ms98-a-0017,128.203875,128.653875,{equipments},I,sv,u-24-1
sw3651B-ms98-a-0017,128.653875,128.753875,you,I,sv,u-24-1
sw3651B-ms98-a-0017,128.753875,129.224500,have,I,sv,u-24-1
sw3651B-ms98-a-0018,129.344875,129.503500,so,B,sd,u-24-2
sw3651B-ms98-a-0018,129.503500,129.734250,i,I,sd,u-24-2
sw3651B-ms98-a-0018,130.129000,130.524875,designed,B,+,u-26-1
sw3651B-ms98-a-0018,130.524875,130.564875,a,I,+,u-26-1
sw3651B-ms98-a-0018,130.564875,130.994875,space,I,+,u-26-1
sw3651B-ms98-a-0018,130.994875,131.204875,just,I,+,u-26-1
sw3651B-ms98-a-0018,131.204875,131.284875,the,I,+,u-26-1
sw3651B-ms98-a-0018,131.284875,131.474875,right,I,+,u-26-1
sw3651B-ms98-a-0018,131.474875,131.804875,size,I,+,u-26-1
sw3651B-ms98-a-0018,131.804875,131.954875,for,I,+,u-26-1
sw3651B-ms98-a-0018,131.954875,132.034875,the,I,+,u-26-1
sw3651B-ms98-a-0018,132.034875,132.574875,TV,I,+,u-26-1
sw3651B-ms98-a-0018,132.574875,132.684875,and,I,+,u-26-1
sw3651B-ms98-a-0018,132.684875,132.804875,then,I,+,u-26-1
sw3651B-ms98-a-0018,132.804875,133.017125,th[e]-,I,+,u-26-1
sw3651B-ms98-a-0018,133.017125,133.403500,the,I,+,u-26-1
sw3651B-ms98-a-0018,133.403500,133.546625,the,I,+,u-26-1
sw3651B-ms98-a-0018,133.546625,134.264875,VCR,I,+,u-26-1
sw3651B-ms98-a-0018,134.264875,134.435750,and,I,+,u-26-1
sw3651B-ms98-a-0018,134.868875,135.234875,shelves,I,+,u-26-1
sw3651B-ms98-a-0018,135.234875,135.334875,on,I,+,u-26-1
sw3651B-ms98-a-0018,135.334875,135.394875,the,I,+,u-26-1
sw3651B-ms98-a-0018,135.394875,135.794875,side,I,+,u-26-1
sw3651B-ms98-a-0018,135.794875,135.904875,for,I,+,u-26-1
sw3651B-ms98-a-0018,135.904875,136.014875,my,I,+,u-26-1
sw3651B-ms98-a-0018,136.014875,136.464875,stereo,I,+,u-26-1
sw3651B-ms98-a-0018,136.464875,137.020625,equipment,I,+,u-26-1
sw3651B-ms98-a-0018,137.495250,137.904875,and,B,sd,u-28-1
sw3651B-ms98-a-0018,137.904875,138.111875,uh,I,sd,u-28-1
sw3651B-ms98-a-0019,138.592500,138.832500,that's,I,sd,u-28-1
sw3651B-ms98-a-0019,138.832500,139.042500,worked,I,sd,u-28-1
sw3651B-ms98-a-0019,139.042500,139.292500,pretty,I,sd,u-28-1
sw3651B-ms98-a-0019,139.292500,139.768000,well,I,sd,u-28-1
sw3651B-ms98-a-0020,140.543125,140.773125,uh,B,sd,u-28-2
sw3651B-ms98-a-0020,140.773125,141.429125,[vocalized-noise],I,sd,u-28-2
sw3651B-ms98-a-0020,141.429125,141.779750,with,I,sd,u-28-2
sw3651B-ms98-a-0020,141.779750,142.217625,uh,I,sd,u-28-2
sw3651B-ms98-a-0020,142.217625,142.493125,with,I,sd,u-28-2
sw3651B-ms98-a-0020,142.493125,142.603125,the,I,sd,u-28-2
sw3651B-ms98-a-0020,142.603125,142.943125,router,I,sd,u-28-2
sw3651B-ms98-a-0020,142.943125,143.053125,you,I,sd,u-28-2
sw3651B-ms98-a-0020,143.053125,143.163125,can,I,sd,u-28-2
sw3651B-ms98-a-0020,143.163125,143.383125,make,I,sd,u-28-2
sw3651B-ms98-a-0020,143.383125,143.833125,nice,I,sd,u-28-2
sw3651B-ms98-a-0020,143.833125,144.183125,uh,I,sd,u-28-2
sw3651B-ms98-a-0020,144.973125,145.063125,i,B,sv,u-28-3
sw3651B-ms98-a-0020,145.063125,145.333125,guess,I,sv,u-28-3
sw3651B-ms98-a-0020,145.333125,145.703125,dado,I,sv,u-28-3
sw3651B-ms98-a-0020,145.703125,146.173125,joints,I,sv,u-28-3
sw3651B-ms98-a-0020,146.173125,146.273125,is,I,sv,u-28-3
sw3651B-ms98-a-0020,146.273125,146.403125,what,I,sv,u-28-3
sw3651B-ms98-a-0020,146.403125,146.523125,it's,I,sv,u-28-3
sw3651B-ms98-a-0020,146.523125,146.939750,called,I,sv,u-28-3
sw3651B-ms98-a-0021,148.546750,148.984500,um,B,%,u-30-1
sw3651B-ms98-a-0021,149.395000,149.736750,and,B,+,u-32-1
sw3651B-ms98-a-0021,149.736750,150.069750,it's,I,+,u-32-1
sw3651B-ms98-a-0021,150.437875,150.811375,uh,I,+,u-32-1
sw3651B-ms98-a-0023,158.044500,158.254500,that's,B,aa,u-34-1
sw3651B-ms98-a-0023,158.254500,158.494250,right,I,aa,u-34-1
sw3651B-ms98-a-0023,158.908500,159.114500,that's,B,aa^r,u-36-1
sw3651B-ms98-a-0023,159.114500,159.436750,right,I,aa^r,u-36-1
sw3651B-ms98-a-0024,160.748500,161.216750,so,B,%,u-38-1
sw3651B-ms98-a-0026,166.980875,167.110875,what,O,,
sw3651B-ms98-a-0026,167.110875,167.240875,i-,O,,
sw3651B-ms98-a-0026,167.240875,167.440875,what,B,sd,u-40-1
sw3651B-ms98-a-0026,167.440875,167.530875,i,I,sd,u-40-1
sw3651B-ms98-a-0026,167.530875,167.830875,need,I,sd,u-40-1
sw3651B-ms98-a-0026,167.830875,168.180875,next,I,sd,u-40-1
sw3651B-ms98-a-0026,168.180875,168.300875,is,I,sd,u-40-1
sw3651B-ms98-a-0026,168.300875,168.350875,a,I,sd,u-40-1
sw3651B-ms98-a-0026,168.350875,168.540875,good,I,sd,u-40-1
sw3651B-ms98-a-0026,168.540875,168.910875,table,I,sd,u-40-1
sw3651B-ms98-a-0026,168.910875,169.337750,saw,I,sd,u-40-1
sw3651B-ms98-a-0026,169.582500,169.850875,and,B,sd,u-42-1
sw3651B-ms98-a-0026,169.850875,170.017625,i,I,sd,u-42-1
sw3651B-ms98-a-0026,170.416875,170.569375,i,I,sd,u-42-1
sw3651B-ms98-a-0026,170.569375,170.960875,debate,I,sd,u-42-1
sw3651B-ms98-a-0026,170.960875,171.452750,whether,I,sd,u-42-1
sw3651B-ms98-a-0026,171.452750,171.680875,it,I,sd,u-42-1
sw3651B-ms98-a-0026,171.680875,171.740875,the,I,sd,u-42-1
sw3651B-ms98-a-0026,171.740875,171.990875,better,I,sd,u-42-1
sw3651B-ms98-a-0026,171.990875,172.110875,if,I,sd,u-42-1
sw3651B-ms98-a-0026,172.110875,172.190875,you,I,sd,u-42-1
sw3651B-ms98-a-0026,172.190875,172.425875,get,I,sd,u-42-1
sw3651B-ms98-a-0026,172.425875,172.791125,a,I,sd,u-42-1
sw3651B-ms98-a-0026,172.791125,173.079125,uh,I,sd,u-42-1
sw3651B-ms98-a-0027,174.231125,174.543875,just,I,sd,u-42-1
sw3651B-ms98-a-0027,174.543875,174.593875,a,I,sd,u-42-1
sw3651B-ms98-a-0027,174.593875,174.973875,straight,I,sd,u-42-1
sw3651B-ms98-a-0027,174.973875,175.303875,table,I,sd,u-42-1
sw3651B-ms98-a-0027,175.303875,175.693875,saw,I,sd,u-42-1
sw3651B-ms98-a-0027,175.693875,175.843875,or,I,sd,u-42-1
sw3651B-ms98-a-0027,175.843875,176.013875,to,I,sd,u-42-1
sw3651B-ms98-a-0027,176.013875,176.216250,get,I,sd,u-42-1
sw3651B-ms98-a-0027,176.216250,176.433875,one,I,sd,u-42-1
sw3651B-ms98-a-0027,176.433875,176.513875,of,I,sd,u-42-1
sw3651B-ms98-a-0027,176.513875,176.793875,these,I,sd,u-42-1
sw3651B-ms98-a-0027,176.793875,177.043875,uh,I,sd,u-42-1
sw3651B-ms98-a-0027,177.043875,177.463875,rotary,I,sd,u-42-1
sw3651B-ms98-a-0027,177.463875,177.693875,arm,I,sd,u-42-1
sw3651B-ms98-a-0027,177.693875,178.244125,saws,I,sd,u-42-1
sw3651B-ms98-a-0027,178.466375,178.833875,radial,B,sv,u-44-1
sw3651B-ms98-a-0027,178.833875,179.023875,arm,I,sv,u-44-1
sw3651B-ms98-a-0027,179.023875,179.415875,saws,I,sv,u-44-1
sw3651B-ms98-a-0027,179.415875,179.550500,i,I,sv,u-44-1
sw3651B-ms98-a-0027,179.550500,179.720000,guess,I,sv,u-44-1
sw3651B-ms98-a-0027,179.720000,179.813875,what,I,sv,u-44-1
sw3651B-ms98-a-0027,179.813875,179.923875,they're,I,sv,u-44-1
sw3651B-ms98-a-0027,179.923875,180.459625,called,I,sv,u-44-1
sw3651B-ms98-a-0028,181.657750,182.065500,um,B,sv,u-46-1
sw3651B-ms98-a-0028,182.822625,183.007125,it,I,sv,u-46-1
sw3651B-ms98-a-0028,183.007125,183.167750,it,I,sv,u-46-1
sw3651B-ms98-a-0028,183.167750,183.407750,seems,I,sv,u-46-1
sw3651B-ms98-a-0028,183.407750,183.487750,to,I,sv,u-46-1
sw3651B-ms98-a-0028,183.487750,183.617750,me,I,sv,u-46-1
sw3651B-ms98-a-0028,183.617750,183.717750,the,I,sv,u-46-1
sw3651B-ms98-a-0028,183.717750,184.057750,radial,I,sv,u-46-1
sw3651B-ms98-a-0028,184.057750,184.247750,arm,I,sv,u-46-1
sw3651B-ms98-a-0028,184.247750,184.787750,saws,I,sv,u-46-1
sw3651B-ms98-a-0028,184.787750,185.155250,is,I,sv,u-46-1
sw3651B-ms98-a-0028,185.611000,186.263125,better,I,sv,u-46-1
sw3651B-ms98-a-0029,187.190125,187.315375,well,B,sv,u-46-2
sw3651B-ms98-a-0029,187.315375,187.636500,it,I,sv,u-46-2
sw3651B-ms98-a-0029,187.636500,187.786500,it,I,sv,u-46-2
sw3651B-ms98-a-0029,187.786500,188.036500,takes,I,sv,u-46-2
sw3651B-ms98-a-0029,188.036500,188.196500,up,I,sv,u-46-2
sw3651B-ms98-a-0029,188.196500,188.496500,less,I,sv,u-46-2
sw3651B-ms98-a-0029,188.496500,188.951250,room,I,sv,u-46-2
sw3651B-ms98-a-0029,188.951250,189.112250,i,B,sd,u-48-1
sw3651B-ms98-a-0029,189.112250,189.216500,mean,I,sd,u-48-1
sw3651B-ms98-a-0029,189.216500,189.376500,you,I,sd,u-48-1
sw3651B-ms98-a-0029,189.376500,189.526500,you,I,sd,u-48-1
