sw2676A-ms98-a-0003,3.186500,3.671250,both,B,sd,u-2-1
sw2676A-ms98-a-0010,21.055500,21.375500,[laughter-found],I,sv,u-16-2
sw2676A-ms98-a-0010,21.375500,21.666375,something,I,sv,u-16-2
sw2676A-ms98-a-0010,21.666375,22.171125,[laughter],I,sv,u-16-2
sw2676A-ms98-a-0010,22.171125,22.693000,different,I,sv,u-16-2
sw2676A-ms98-a-0010,22.693000,22.915250,[laughter],O,,
sw2676A-ms98-a-0010,22.915250,23.199875,that's,B,%,u-16-3
sw2676A-ms98-a-0010,23.199875,23.345500,i've,B,sd^t,u-16-4
sw2676A-ms98-a-0010,23.345500,23.645500,never,I,sd^t,u-16-4
sw2676A-ms98-a-0010,23.645500,23.821625,had,I,sd^t,u-16-4
sw2676A-ms98-a-0010,23.821625,23.957125,a,I,sd^t,u-16-4
sw2676A-ms98-a-0010,23.957125,24.490250,call,I,sd^t,u-16-4
sw2676A-ms98-a-0011,25.748375,26.360750,no,B,aa,u-18-1
sw2676A-ms98-a-0011,26.586000,26.774375,isn't,B,bh,u-18-2
sw2676A-ms98-a-0011,26.774375,26.960875,that,I,bh,u-18-2
sw2676A-ms98-a-0011,26.960875,27.426875,funny,I,bh,u-18-2
sw2676A-ms98-a-0011,27.426875,27.486875,i,B,sd^t,u-18-3
sw2676A-ms98-a-0011,27.486875,27.816875,usually,I,sd^t,u-18-3
sw2676A-ms98-a-0011,27.816875,28.018500,get,I,sd^t,u-18-3
sw2676A-ms98-a-0011,28.459250,28.736875,some,I,sd^t,u-18-3
sw2676A-ms98-a-0011,28.736875,29.096125,place,I,sd^t,u-18-3
sw2676A-ms98-a-0011,29.096125,29.206875,i,B,sd^t,u-18-4
sw2676A-ms98-a-0011,29.206875,29.356875,got,I,sd^t,u-18-4
sw2676A-ms98-a-0011,29.356875,29.396875,a,I,sd^t,u-18-4
sw2676A-ms98-a-0011,29.396875,29.656875,woman,I,sd^t,u-18-4
sw2676A-ms98-a-0011,29.656875,29.756875,in,I,sd^t,u-18-4
sw2676A-ms98-a-0011,29.756875,29.896875,New,I,sd^t,u-18-4
sw2676A-ms98-a-0011,29.896875,30.636875,Jersey,I,sd^t,u-18-4
sw2676A-ms98-a-0011,30.636875,30.696875,the,I,sd^t,u-18-4
sw2676A-ms98-a-0011,30.696875,30.956875,last,I,sd^t,u-18-4
sw2676A-ms98-a-0011,30.956875,31.116875,time,I,sd^t,u-18-4
sw2676A-ms98-a-0011,31.116875,31.166875,i,I,sd^t,u-18-4
sw2676A-ms98-a-0011,31.166875,31.606875,called,I,sd^t,u-18-4
sw2676A-ms98-a-0011,31.606875,31.745375,i,I,sd^t,u-18-4
sw2676A-ms98-a-0011,31.745375,32.213875,think,I,sd^t,u-18-4
sw2676A-ms98-a-0012,33.767000,33.901875,that,B,aa,u-20-1
sw2676A-ms98-a-0012,33.901875,34.151875,is,I,aa,u-20-1
sw2676A-ms98-a-0012,34.151875,34.395000,funny,I,aa,u-20-1
sw2676A-ms98-a-0012,34.666125,34.871875,so,B,%,u-20-2
sw2676A-ms98-a-0012,34.871875,35.031875,the,B,sd,u-22-1
sw2676A-ms98-a-0012,35.031875,35.263500,w[eather]-,I,sd,u-22-1
sw2676A-ms98-a-0013,36.682375,37.184875,[laughter],I,sd,u-22-1
sw2676A-ms98-a-0013,37.184875,37.286125,the,I,sd,u-22-1
sw2676A-ms98-a-0013,37.286125,37.574875,weather,I,sd,u-22-1
sw2676A-ms98-a-0013,37.574875,37.664875,in,I,sd,u-22-1
sw2676A-ms98-a-0013,37.664875,37.964875,building,I,sd,u-22-1
sw2676A-ms98-a-0013,37.964875,38.154875,two,I,sd,u-22-1
sw2676A-ms98-a-0013,38.154875,38.358000,is,I,sd,u-22-1
sw2676A-ms98-a-0013,38.358000,39.001250,cold,I,sd,u-22-1
sw2676A-ms98-a-0013,39.001250,39.722500,[laughter],O,,
sw2676A-ms98-a-0013,39.722500,39.924875,it's,B,sd,u-22-3
sw2676A-ms98-a-0013,39.924875,40.172625,been,I,sd,u-22-3
sw2676A-ms98-a-0013,40.383625,40.867375,cold,I,sd,u-22-3
sw2676A-ms98-a-0013,41.228875,41.444875,in,I,sd,u-22-3
sw2676A-ms98-a-0013,41.444875,41.514875,the,I,sd,u-22-3
sw2676A-ms98-a-0013,41.514875,42.014875,building,I,sd,u-22-3
sw2676A-ms98-a-0013,42.014875,42.304875,outside,B,sd,u-22-4
sw2676A-ms98-a-0013,42.304875,42.424875,the,I,sd,u-22-4
sw2676A-ms98-a-0013,42.424875,42.824875,building's,I,sd,u-22-4
sw2676A-ms98-a-0013,42.824875,43.041875,not,I,sd,u-22-4
sw2676A-ms98-a-0013,43.041875,43.530500,bad,I,sd,u-22-4
sw2676A-ms98-a-0013,43.530500,43.749000,not,I,sd,u-22-4
sw2676A-ms98-a-0013,43.749000,43.984875,bad,I,sd,u-22-4
sw2676A-ms98-a-0013,43.984875,44.413125,typical,B,o,u-22-5
sw2676A-ms98-a-0013,44.413125,44.764875,TI,I,o,u-22-5
sw2676A-ms98-a-0013,44.764875,44.973000,S[pring]-,I,o,u-22-5
sw2676A-ms98-a-0013,44.973000,45.204875,or,I,o,u-22-5
sw2676A-ms98-a-0013,45.204875,45.614875,TI,O,,
sw2676A-ms98-a-0013,45.614875,45.894875,listen,B,^h,u-22-6
sw2676A-ms98-a-0013,45.894875,45.974875,i,I,^h,u-22-6
sw2676A-ms98-a-0013,45.974875,46.154875,got,I,^h,u-22-6
sw2676A-ms98-a-0013,46.154875,46.244875,me,I,^h,u-22-6
sw2676A-ms98-a-0013,46.244875,46.504875,doing,I,^h,u-22-6
sw2676A-ms98-a-0013,46.504875,46.581000,it,I,^h,u-22-6
sw2676A-ms98-a-0013,46.840875,47.194875,typical,B,sd,u-22-7
sw2676A-ms98-a-0013,47.194875,47.614875,Texas,I,sd,u-22-7
sw2676A-ms98-a-0013,47.614875,48.108500,Spring,I,sd,u-22-7
sw2676A-ms98-a-0013,48.436125,48.524875,are,B,qy,u-22-8
sw2676A-ms98-a-0013,48.524875,48.674875,you,I,qy,u-22-8
sw2676A-ms98-a-0013,48.674875,48.724875,a,I,qy,u-22-8
sw2676A-ms98-a-0013,48.724875,49.064875,native,I,qy,u-22-8
sw2676A-ms98-a-0013,49.064875,49.194875,to,I,qy,u-22-8
sw2676A-ms98-a-0013,49.194875,49.792750,Texas,I,qy,u-22-8
sw2676A-ms98-a-0015,52.958250,53.392000,from,B,qw,u-24-1
sw2676A-ms98-a-0017,55.332625,55.464000,so,B,qw,u-26-1
sw2676A-ms98-a-0017,55.464000,55.594000,what,I,qw,u-26-1
sw2676A-ms98-a-0017,55.594000,55.654000,do,I,qw,u-26-1
sw2676A-ms98-a-0017,55.654000,55.744000,you,I,qw,u-26-1
sw2676A-ms98-a-0017,55.744000,55.934000,think,I,qw,u-26-1
sw2676A-ms98-a-0017,55.934000,56.024000,of,I,qw,u-26-1
sw2676A-ms98-a-0017,56.024000,56.084000,the,I,qw,u-26-1
sw2676A-ms98-a-0017,56.084000,56.514000,Texas,I,qw,u-26-1
sw2676A-ms98-a-0017,56.514000,56.927875,weather,I,qw,u-26-1
sw2676A-ms98-a-0019,60.200000,60.300000,how,B,qw,u-28-1
sw2676A-ms98-a-0019,60.300000,60.460000,long,I,qw,u-28-1
sw2676A-ms98-a-0019,60.460000,60.550000,have,I,qw,u-28-1
sw2676A-ms98-a-0019,60.550000,60.660000,you,I,qw,u-28-1
sw2676A-ms98-a-0019,60.660000,60.830000,been,I,qw,u-28-1
sw2676A-ms98-a-0019,60.830000,61.171125,here,I,qw,u-28-1
sw2676A-ms98-a-0021,63.046000,63.242625,oh,B,bk,u-30-1
sw2676A-ms98-a-0021,63.242625,63.591750,okay,I,bk,u-30-1
sw2676A-ms98-a-0021,63.591750,63.786500,y[ou]-,O,,
sw2676A-ms98-a-0023,65.345250,65.559750,you,B,qy^d,u-32-1
sw2676A-ms98-a-0023,65.559750,65.779750,you,I,qy^d,u-32-1
sw2676A-ms98-a-0023,65.779750,66.029750,you,I,qy^d,u-32-1
sw2676A-ms98-a-0023,66.029750,66.402875,know,I,qy^d,u-32-1
sw2676A-ms98-a-0023,66.402875,66.899750,about,I,qy^d,u-32-1
sw2676A-ms98-a-0023,66.899750,67.359750,August,I,qy^d,u-32-1
sw2676A-ms98-a-0023,67.359750,67.671750,then,I,qy^d,u-32-1
sw2676A-ms98-a-0025,70.815000,71.353000,okay,B,b,u-34-1
sw2676A-ms98-a-0025,71.353000,71.523000,there's,B,sv,u-34-2
sw2676A-ms98-a-0025,71.523000,71.693000,no,I,sv,u-34-2
sw2676A-ms98-a-0025,71.693000,72.443000,surprises,I,sv,u-34-2
sw2676A-ms98-a-0025,72.443000,72.805875,left,I,sv,u-34-2
sw2676A-ms98-a-0027,79.734000,80.304875,um-hum,B,b,u-36-1
sw2676A-ms98-a-0028,81.658625,81.829500,good,B,ba,u-38-1
sw2676A-ms98-a-0028,81.829500,82.399375,idea,I,ba,u-38-1
sw2676A-ms98-a-0028,82.764750,83.459500,real,B,ba,u-40-1
sw2676A-ms98-a-0028,83.459500,83.669500,good,I,ba,u-40-1
sw2676A-ms98-a-0028,83.669500,84.289500,idea,I,ba,u-40-1
sw2676A-ms98-a-0030,93.886375,94.142375,we,B,sd,u-42-1
sw2676A-ms98-a-0030,94.142375,94.382375,went,I,sd,u-42-1
sw2676A-ms98-a-0030,94.382375,94.532375,to,I,sd,u-42-1
sw2676A-ms98-a-0030,94.532375,95.263125,Alaska,I,sd,u-42-1
sw2676A-ms98-a-0032,98.961000,99.220000,that,B,sd,u-44-1
sw2676A-ms98-a-0032,99.220000,99.580750,is,I,sd,u-44-1
sw2676A-ms98-a-0032,99.580750,99.990000,really,I,sd,u-44-1
sw2676A-ms98-a-0032,99.990000,100.590000,nice,I,sd,u-44-1
sw2676A-ms98-a-0032,100.590000,100.700000,it,B,sd,u-44-2
sw2676A-ms98-a-0032,100.700000,100.918125,is,I,sd,u-44-2
sw2676A-ms98-a-0032,100.918125,101.160000,so,I,sd,u-44-2
sw2676A-ms98-a-0032,101.160000,101.460000,cool,I,sd,u-44-2
sw2676A-ms98-a-0032,101.460000,101.640000,you,I,sd,u-44-2
sw2676A-ms98-a-0032,101.640000,101.810000,wear,I,sd,u-44-2
sw2676A-ms98-a-0032,101.810000,101.910000,a,I,sd,u-44-2
sw2676A-ms98-a-0032,101.910000,102.613250,jacket,I,sd,u-44-2
sw2676A-ms98-a-0032,102.613250,102.790000,you,I,sd,u-44-2
sw2676A-ms98-a-0032,102.790000,103.109500,know,I,sd,u-44-2
sw2676A-ms98-a-0032,103.462125,103.620125,or,O,,
sw2676A-ms98-a-0032,103.620125,103.811750,or,O,,
sw2676A-ms98-a-0033,104.481500,104.655875,yeah,B,aa,u-46-1
sw2676A-ms98-a-0033,104.655875,104.795875,or,B,sd,u-46-2
sw2676A-ms98-a-0033,104.795875,105.075875,keep,I,sd,u-46-2
sw2676A-ms98-a-0033,105.075875,105.285875,one,I,sd,u-46-2
sw2676A-ms98-a-0033,105.285875,105.927750,handy,I,sd,u-46-2
sw2676A-ms98-a-0034,106.891750,107.321500,because,B,+,u-48-1
sw2676A-ms98-a-0034,107.321500,107.731500,it's,I,+,u-48-1
sw2676A-ms98-a-0034,107.731500,107.970625,it,I,+,u-48-1
sw2676A-ms98-a-0034,108.068625,108.672000,rains,I,+,u-48-1
sw2676A-ms98-a-0034,108.672000,109.014250,a,I,+,u-48-1
sw2676A-ms98-a-0034,109.014250,109.478500,lot,I,+,u-48-1
sw2676A-ms98-a-0034,109.478500,109.749875,in,I,+,u-48-1
sw2676A-ms98-a-0034,109.749875,110.372125,Alaska,I,+,u-48-1
sw2676A-ms98-a-0035,111.578000,111.877250,uh,B,%,u-50-1
sw2676A-ms98-a-0035,111.877250,112.077250,it,I,%,u-50-1
sw2676A-ms98-a-0035,112.077250,112.177250,they,B,sd,u-50-2
sw2676A-ms98-a-0035,112.177250,112.407250,call,I,sd,u-50-2
sw2676A-ms98-a-0035,112.407250,112.527250,it,I,sd,u-50-2
sw2676A-ms98-a-0035,112.527250,112.667250,their,I,sd,u-50-2
sw2676A-ms98-a-0035,112.667250,113.057250,liquid,I,sd,u-50-2
sw2676A-ms98-a-0035,113.057250,113.639500,gold,I,sd,u-50-2
sw2676A-ms98-a-0036,115.080875,115.171500,but,B,%,u-52-1
sw2676A-ms98-a-0036,115.171500,115.491500,it,I,%,u-52-1
sw2676A-ms98-a-0036,115.491500,115.561500,you,I,%,u-52-1
sw2676A-ms98-a-0036,115.561500,115.621500,know,I,%,u-52-1
sw2676A-ms98-a-0036,115.621500,115.771500,you,B,sd,u-52-2
sw2676A-ms98-a-0036,115.771500,115.971500,get,I,sd,u-52-2
sw2676A-ms98-a-0036,115.971500,116.721500,sunshine,I,sd,u-52-2
sw2676A-ms98-a-0036,116.721500,116.871500,and,B,sd,u-52-3
sw2676A-ms98-a-0036,116.871500,117.061500,it's,I,sd,u-52-3
sw2676A-ms98-a-0036,117.061500,117.461500,lovely,I,sd,u-52-3
sw2676A-ms98-a-0036,117.461500,117.591500,and,B,sd,u-52-4
sw2676A-ms98-a-0036,117.591500,117.681500,then,I,sd,u-52-4
sw2676A-ms98-a-0036,117.681500,117.971500,it,I,sd,u-52-4
sw2676A-ms98-a-0036,117.971500,118.431500,rains,I,sd,u-52-4
sw2676A-ms98-a-0036,118.431500,118.721500,just,I,sd,u-52-4
sw2676A-ms98-a-0036,118.721500,118.971500,enough,I,sd,u-52-4
sw2676A-ms98-a-0036,118.971500,119.081500,to,I,sd,u-52-4
sw2676A-ms98-a-0036,119.081500,119.331500,keep,I,sd,u-52-4
sw2676A-ms98-a-0036,119.331500,119.993875,everything,I,sd,u-52-4
sw2676A-ms98-a-0036,120.355500,120.821500,nice,I,sd,u-52-4
sw2676A-ms98-a-0036,120.821500,121.041500,and,B,+,u-54-1
sw2676A-ms98-a-0036,121.041500,121.461500,moist,I,+,u-54-1
sw2676A-ms98-a-0036,121.461500,121.691500,and,I,+,u-54-1
sw2676A-ms98-a-0036,121.691500,122.141500,very,I,+,u-54-1
sw2676A-ms98-a-0036,122.141500,122.730500,green,I,+,u-54-1
sw2676A-ms98-a-0036,123.080750,123.271500,and,B,+,u-56-1
sw2676A-ms98-a-0036,123.271500,123.999625,blooming,I,+,u-56-1
sw2676A-ms98-a-0036,124.105125,124.301500,oh,B,fe,u-56-2
sw2676A-ms98-a-0036,124.301500,124.431500,my,I,fe,u-56-2
sw2676A-ms98-a-0036,124.431500,124.831500,goodness,I,fe,u-56-2
sw2676A-ms98-a-0036,124.831500,125.024125,it's,I,fe,u-56-2
sw2676A-ms98-a-0036,125.174875,125.734500,pretty,I,fe,u-56-2
sw2676A-ms98-a-0036,126.304875,126.433000,well,B,sv,u-58-1
sw2676A-ms98-a-0036,126.433000,126.801500,Texas,I,sv,u-58-1
sw2676A-ms98-a-0036,126.801500,127.151500,isn't,I,sv,u-58-1
sw2676A-ms98-a-0036,127.151500,127.716625,bad,I,sv,u-58-1
sw2676A-ms98-a-0037,128.882500,129.162500,not,B,sv,u-60-1
sw2676A-ms98-a-0037,129.162500,129.222500,in,I,sv,u-60-1
sw2676A-ms98-a-0037,129.222500,129.302500,the,I,sv,u-60-1
sw2676A-ms98-a-0037,129.302500,130.002500,Spring,I,sv,u-60-1
sw2676A-ms98-a-0039,137.201000,137.684125,Spring,B,sv,u-62-1
sw2676A-ms98-a-0039,137.684125,137.854125,is,I,sv,u-62-1
sw2676A-ms98-a-0039,137.854125,138.409500,nice,I,sv,u-62-1
sw2676A-ms98-a-0041,146.850125,147.192625,right,B,b,u-64-1
sw2676A-ms98-a-0043,156.578875,156.760250,oh,B,sd,u-66-1
sw2676A-ms98-a-0043,156.760250,156.970250,we,I,sd,u-66-1
sw2676A-ms98-a-0043,156.970250,157.457125,always,I,sd,u-66-1
sw2676A-ms98-a-0044,158.943375,159.163875,w[e]-,O,,
sw2676A-ms98-a-0044,159.275375,159.530500,we,B,+,u-68-1
sw2676A-ms98-a-0044,159.530500,159.920500,always,I,+,u-68-1
sw2676A-ms98-a-0044,159.920500,160.260500,do,I,+,u-68-1
sw2676A-ms98-a-0044,160.260500,160.645750,though,I,+,u-68-1
sw2676A-ms98-a-0045,161.646125,161.822750,uh,B,%,u-70-1
sw2676A-ms98-a-0045,161.822750,162.112375,it,I,%,u-70-1
sw2676A-ms98-a-0047,164.274000,164.540750,that's,B,ba,u-72-1
sw2676A-ms98-a-0047,164.540750,164.850750,right,I,ba,u-72-1
sw2676A-ms98-a-0047,164.850750,165.020750,and,B,sd,u-72-2
sw2676A-ms98-a-0047,165.020750,165.210750,then,B,+,u-74-1
sw2676A-ms98-a-0047,165.210750,165.300750,we,I,+,u-74-1
sw2676A-ms98-a-0047,165.300750,165.460750,get,I,+,u-74-1
sw2676A-ms98-a-0047,165.460750,165.630750,all,I,+,u-74-1
sw2676A-ms98-a-0047,165.630750,165.800750,that,I,+,u-74-1
sw2676A-ms98-a-0047,165.800750,166.244875,heat,I,+,u-74-1
sw2676A-ms98-a-0048,167.230500,167.589125,right,B,b,u-74-2
sw2676A-ms98-a-0050,176.765125,177.725875,[laughter],O,,
sw2676A-ms98-a-0052,182.635500,182.779000,oh,B,b,u-78-1
sw2676A-ms98-a-0052,182.779000,183.153625,really,I,b,u-78-1
sw2676A-ms98-a-0054,185.197625,185.618625,oh,B,sv,u-80-1
sw2676A-ms98-a-0054,185.618625,185.798625,you,I,sv,u-80-1
sw2676A-ms98-a-0054,185.798625,185.998625,got,I,sv,u-80-1
sw2676A-ms98-a-0054,185.998625,186.228625,into,I,sv,u-80-1
sw2676A-ms98-a-0054,186.228625,186.448625,that,I,sv,u-80-1
sw2676A-ms98-a-0054,186.448625,186.748625,bad,I,sv,u-80-1
sw2676A-ms98-a-0054,186.748625,187.459000,stuff,I,sv,u-80-1
sw2676A-ms98-a-0056,200.213500,200.480375,isn't,B,ba,u-82-1
sw2676A-ms98-a-0056,200.480375,200.620375,that,I,ba,u-82-1
sw2676A-ms98-a-0056,200.620375,201.715875,strange,I,ba,u-82-1
sw2676A-ms98-a-0058,207.205000,207.558625,isn't,O,,
sw2676A-ms98-a-0058,207.558625,207.638250,i,B,sv,u-84-1
sw2676A-ms98-a-0060,209.231500,209.314250,i,I,sv,u-84-1
sw2676A-ms98-a-0060,209.314250,209.524250,think,I,sv,u-84-1
sw2676A-ms98-a-0060,209.524250,209.714250,that's,I,sv,u-84-1
sw2676A-ms98-a-0060,209.714250,209.854250,one,I,sv,u-84-1
sw2676A-ms98-a-0060,209.854250,209.984250,of,I,sv,u-84-1
sw2676A-ms98-a-0060,209.984250,210.044250,the,I,sv,u-84-1
sw2676A-ms98-a-0060,210.044250,210.704250,strange,I,sv,u-84-1
sw2676A-ms98-a-0060,210.704250,211.264250,strange,I,sv,u-84-1
sw2676A-ms98-a-0060,211.264250,211.464250,things,I,sv,u-84-1
sw2676A-ms98-a-0060,211.464250,211.584250,and,B,sv,u-84-2
sw2676A-ms98-a-0060,211.584250,211.664250,you,I,sv,u-84-2
sw2676A-ms98-a-0060,211.664250,211.914250,very,I,sv,u-84-2
sw2676A-ms98-a-0060,211.914250,212.344250,seldom,I,sv,u-84-2
sw2676A-ms98-a-0060,212.344250,212.569375,see,I,sv,u-84-2
sw2676A-ms98-a-0060,212.569375,212.705250,it,I,sv,u-84-2
sw2676A-ms98-a-0060,212.796750,213.116125,though,I,sv,u-84-2
sw2676A-ms98-a-0062,225.246375,225.366375,so,B,sv,u-86-1
sw2676A-ms98-a-0062,225.366375,225.426375,it,I,sv,u-86-1
sw2676A-ms98-a-0062,225.426375,225.606375,had,I,sv,u-86-1
sw2676A-ms98-a-0062,225.606375,225.866375,come,I,sv,u-86-1
sw2676A-ms98-a-0062,225.866375,226.106375,it's,I,sv,u-86-1
sw2676A-ms98-a-0062,226.106375,226.136375,a,I,sv,u-86-1
sw2676A-ms98-a-0062,226.136375,226.366375,drop,I,sv,u-86-1
sw2676A-ms98-a-0062,226.366375,226.466375,of,I,sv,u-86-1
sw2676A-ms98-a-0062,226.466375,226.736375,water,I,sv,u-86-1
sw2676A-ms98-a-0062,226.736375,226.826375,that,I,sv,u-86-1
sw2676A-ms98-a-0062,226.826375,226.966375,had,I,sv,u-86-1
sw2676A-ms98-a-0062,226.966375,227.266375,come,I,sv,u-86-1
sw2676A-ms98-a-0062,227.266375,227.366375,through,I,sv,u-86-1
sw2676A-ms98-a-0062,227.366375,227.706375,quite,I,sv,u-86-1
sw2676A-ms98-a-0062,227.706375,227.786625,a,I,sv,u-86-1
sw2676A-ms98-a-0062,227.786625,228.282625,few,I,sv,u-86-1
sw2676A-ms98-a-0062,228.621625,228.946375,rain,I,sv,u-86-1
sw2676A-ms98-a-0062,228.946375,229.366375,clouds,I,sv,u-86-1
sw2676A-ms98-a-0062,229.366375,229.926375,apparently,I,sv,u-86-1
sw2676A-ms98-a-0062,229.926375,230.026375,is,B,qy,u-86-2
sw2676A-ms98-a-0062,230.026375,230.196375,that,I,qy,u-86-2
sw2676A-ms98-a-0062,230.196375,230.631125,correct,I,qy,u-86-2
sw2676A-ms98-a-0064,232.503750,232.705000,i,B,sv,u-88-1
sw2676A-ms98-a-0064,232.705000,232.940875,thi[nk]-,I,sv,u-88-1
sw2676A-ms98-a-0064,232.940875,233.074125,i,I,sv,u-88-1
sw2676A-ms98-a-0064,233.074125,233.344125,think,I,sv,u-88-1
sw2676A-ms98-a-0064,233.344125,233.716625,that's,B,+,u-90-1
sw2676A-ms98-a-0066,236.320750,236.608875,it's,B,sd,u-92-1
sw2676A-ms98-a-0066,236.608875,236.828875,not,I,sd,u-92-1
sw2676A-ms98-a-0066,236.828875,236.948875,on,I,sd,u-92-1
sw2676A-ms98-a-0066,236.948875,237.048875,the,I,sd,u-92-1
sw2676A-ms98-a-0066,237.048875,237.438875,ground,I,sd,u-92-1
sw2676A-ms98-a-0066,237.438875,237.543500,but,B,sd,u-92-2
sw2676A-ms98-a-0066,237.543500,237.878625,in,B,+,u-94-1
sw2676A-ms98-a-0066,237.878625,238.158875,in,I,+,u-94-1
sw2676A-ms98-a-0066,238.158875,238.218875,the,I,+,u-94-1
sw2676A-ms98-a-0066,238.218875,238.838875,clouds,I,+,u-94-1
sw2676A-ms98-a-0066,238.838875,238.992375,it,I,+,u-94-1
sw2676A-ms98-a-0066,238.992375,239.604125,is,I,+,u-94-1
sw2676A-ms98-a-0068,247.514500,247.673000,i,B,sd,u-96-1
sw2676A-ms98-a-0068,247.673000,247.976750,was,I,sd,u-96-1
sw2676A-ms98-a-0068,248.406125,248.822000,dumb,I,sd,u-96-1
sw2676A-ms98-a-0068,248.822000,249.032000,i,B,sd,u-96-2
sw2676A-ms98-a-0068,249.032000,249.252000,was,I,sd,u-96-2
sw2676A-ms98-a-0068,249.252000,249.512000,in,I,sd,u-96-2
sw2676A-ms98-a-0068,249.512000,249.602000,uh,I,sd,u-96-2
sw2676A-ms98-a-0068,249.602000,250.162000,Florida,I,sd,u-96-2
sw2676A-ms98-a-0068,250.162000,250.352000,for,I,sd,u-96-2
sw2676A-ms98-a-0068,250.352000,250.442000,a,I,sd,u-96-2
sw2676A-ms98-a-0068,250.442000,250.867500,week,I,sd,u-96-2
sw2676A-ms98-a-0069,251.380125,251.651500,on,I,sd,u-96-2
sw2676A-ms98-a-0069,251.651500,252.301250,business,I,sd,u-96-2
sw2676A-ms98-a-0069,252.301250,252.891500,and,B,sd,u-98-1
sw2676A-ms98-a-0069,252.891500,253.211000,uh,I,sd,u-98-1
sw2676A-ms98-a-0069,253.211000,253.331500,i,I,sd,u-98-1
sw2676A-ms98-a-0069,253.331500,253.511500,had,I,sd,u-98-1
sw2676A-ms98-a-0069,253.511500,253.811500,called,I,sd,u-98-1
sw2676A-ms98-a-0069,253.811500,254.051500,back,I,sd,u-98-1
sw2676A-ms98-a-0069,254.051500,254.161500,to,I,sd,u-98-1
sw2676A-ms98-a-0069,254.161500,254.281500,the,I,sd,u-98-1
sw2676A-ms98-a-0069,254.281500,254.661500,house,I,sd,u-98-1
sw2676A-ms98-a-0069,254.661500,254.741500,i,B,sd,u-98-2
sw2676A-ms98-a-0069,254.741500,255.041500,stayed,I,sd,u-98-2
sw2676A-ms98-a-0069,255.041500,255.111500,the,I,sd,u-98-2
sw2676A-ms98-a-0069,255.111500,255.612375,weekend,I,sd,u-98-2
sw2676A-ms98-a-0069,256.102000,256.244250,and,B,sd,u-98-3
sw2676A-ms98-a-0069,256.244250,256.410000,i,I,sd,u-98-3
sw2676A-ms98-a-0069,256.410000,256.661500,called,I,sd,u-98-3
sw2676A-ms98-a-0069,256.661500,256.861500,back,I,sd,u-98-3
sw2676A-ms98-a-0069,256.861500,256.961500,to,I,sd,u-98-3
sw2676A-ms98-a-0069,256.961500,257.041500,the,I,sd,u-98-3
sw2676A-ms98-a-0069,257.041500,257.481500,house,I,sd,u-98-3
sw2676A-ms98-a-0069,257.481500,257.671500,my,B,sd(^q),u-98-4
sw2676A-ms98-a-0069,257.671500,258.240250,housekeeper,I,sd(^q),u-98-4
sw2676A-ms98-a-0069,258.571625,258.761500,was,I,sd(^q),u-98-4
sw2676A-ms98-a-0069,258.761500,259.401500,babysitting,I,sd(^q),u-98-4
sw2676A-ms98-a-0069,259.401500,259.501500,my,I,sd(^q),u-98-4
