sw3506A-ms98-a-0002,1.575750,1.958375,Angie,B,sd,u-2-1
sw3506A-ms98-a-0014,35.899000,36.222500,yeah,B,b,u-14-1
sw3506A-ms98-a-0015,37.010750,37.535250,um,B,sv,u-14-2
sw3506A-ms98-a-0015,37.535250,37.709875,i,I,sv,u-14-2
sw3506A-ms98-a-0015,37.709875,38.164500,think,I,sv,u-14-2
sw3506A-ms98-a-0015,38.164500,38.297125,hors,I,sv,u-14-2
sw3506A-ms98-a-0015,38.297125,38.687125,d'oeuvres,I,sv,u-14-2
sw3506A-ms98-a-0015,38.687125,38.777125,are,I,sv,u-14-2
sw3506A-ms98-a-0015,38.777125,39.037125,good,I,sv,u-14-2
sw3506A-ms98-a-0015,39.037125,39.520875,too,I,sv,u-14-2
sw3506A-ms98-a-0015,39.853625,40.206375,um,B,sd,u-14-3
sw3506A-ms98-a-0015,40.628250,40.707125,and,I,sd,u-14-3
sw3506A-ms98-a-0015,40.707125,40.817125,that,I,sd,u-14-3
sw3506A-ms98-a-0015,40.817125,40.907125,way,I,sd,u-14-3
sw3506A-ms98-a-0015,40.907125,40.987125,you,I,sd,u-14-3
sw3506A-ms98-a-0015,40.987125,41.127125,can,I,sd,u-14-3
sw3506A-ms98-a-0015,41.127125,41.227125,have,I,sd,u-14-3
sw3506A-ms98-a-0015,41.227125,41.297125,a,I,sd,u-14-3
sw3506A-ms98-a-0015,41.297125,41.893250,variety,I,sd,u-14-3
sw3506A-ms98-a-0016,43.128875,43.700375,um,I,sd,u-14-3
sw3506A-ms98-a-0018,55.211250,56.176625,hum,O,,
sw3506A-ms98-a-0020,62.567125,62.910250,yeah,B,b,u-18-1
sw3506A-ms98-a-0020,62.910250,63.252750,fresh,B,sv,u-18-2
sw3506A-ms98-a-0020,63.252750,63.822750,vegetables,I,sv,u-18-2
sw3506A-ms98-a-0020,63.822750,63.942750,would,I,sv,u-18-2
sw3506A-ms98-a-0020,63.942750,64.082750,be,I,sv,u-18-2
sw3506A-ms98-a-0020,64.082750,64.603375,good,I,sv,u-18-2
sw3506A-ms98-a-0020,64.603375,64.874500,or,B,%,u-18-3
sw3506A-ms98-a-0020,64.874500,65.266125,um,I,%,u-18-3
sw3506A-ms98-a-0020,66.022250,66.309750,just,I,%,u-18-3
sw3506A-ms98-a-0022,69.941750,70.874250,no,B,nn,u-20-1
sw3506A-ms98-a-0024,80.997625,81.501500,yeah,B,ny,u-22-1
sw3506A-ms98-a-0024,81.884625,82.253000,yeah,B,ny^r,u-22-2
sw3506A-ms98-a-0026,90.133500,90.610500,oh,B,^h,u-24-1
sw3506A-ms98-a-0026,90.610500,90.848375,all,I,^h,u-24-1
sw3506A-ms98-a-0026,90.848375,91.088375,these,I,^h,u-24-1
sw3506A-ms98-a-0026,91.468125,91.865250,hard,I,^h,u-24-1
sw3506A-ms98-a-0026,91.865250,94.168125,[laughter-questions],O,,
sw3506A-ms98-a-0026,94.168125,94.582000,oh,O,,
sw3506A-ms98-a-0026,94.755250,95.145875,what,B,qy,u-26-1
sw3506A-ms98-a-0026,95.145875,95.497750,white,I,qy,u-26-1
sw3506A-ms98-a-0026,95.497750,96.016125,wine,I,qy,u-26-1
sw3506A-ms98-a-0028,98.594875,99.148500,yeah,B,b,u-28-1
sw3506A-ms98-a-0029,100.304500,100.468500,i'm,B,sd,u-30-1
sw3506A-ms98-a-0029,100.468500,100.638500,not,I,sd,u-30-1
sw3506A-ms98-a-0029,100.638500,100.938500,really,I,sd,u-30-1
sw3506A-ms98-a-0029,100.938500,100.978500,a,I,sd,u-30-1
sw3506A-ms98-a-0029,100.978500,101.438500,drinker,I,sd,u-30-1
sw3506A-ms98-a-0029,101.438500,101.638500,so,B,sd,u-30-2
sw3506A-ms98-a-0029,101.638500,101.858500,i'm,I,sd,u-30-2
sw3506A-ms98-a-0029,101.858500,102.058250,not,I,sd,u-30-2
sw3506A-ms98-a-0030,102.769000,102.817375,i,I,sd,u-30-2
sw3506A-ms98-a-0030,102.817375,102.988625,don't,I,sd,u-30-2
sw3506A-ms98-a-0030,102.988625,103.158625,know,I,sd,u-30-2
sw3506A-ms98-a-0030,103.158625,103.188625,a,I,sd,u-30-2
sw3506A-ms98-a-0030,103.188625,103.398625,lot,I,sd,u-30-2
sw3506A-ms98-a-0030,103.398625,103.698625,about,I,sd,u-30-2
sw3506A-ms98-a-0030,103.698625,104.048875,that,I,sd,u-30-2
sw3506A-ms98-a-0032,109.031500,109.325125,oh,B,ba,u-32-1
sw3506A-ms98-a-0032,109.325125,109.982125,goodness,I,ba,u-32-1
sw3506A-ms98-a-0032,109.982125,110.536375,um,B,sd,u-32-2
sw3506A-ms98-a-0033,111.538500,112.241875,chocolate,I,sd,u-32-2
sw3506A-ms98-a-0034,112.853000,113.223000,something,I,sd,u-32-2
sw3506A-ms98-a-0034,113.223000,113.739875,chocolate,I,sd,u-32-2
sw3506A-ms98-a-0034,113.924375,114.145500,uh,B,%,u-32-3
sw3506A-ms98-a-0034,114.145500,114.471375,[laughter],O,,
sw3506A-ms98-a-0035,115.426500,115.934750,yeah,O,,
sw3506A-ms98-a-0037,122.757250,122.893125,oh,B,qy^d,u-36-1
sw3506A-ms98-a-0037,122.893125,123.010875,you,I,qy^d,u-36-1
sw3506A-ms98-a-0037,123.010875,123.334500,do,I,qy^d,u-36-1
sw3506A-ms98-a-0039,138.350125,138.821500,um-hum,B,b,u-38-1
sw3506A-ms98-a-0039,139.232375,139.558125,yeah,B,b,u-40-1
sw3506A-ms98-a-0041,171.514125,171.924125,um-hum,B,b,u-42-1
sw3506A-ms98-a-0043,185.330125,185.462250,that,B,sv,u-44-1
sw3506A-ms98-a-0043,185.462250,185.832250,sounds,I,sv,u-44-1
sw3506A-ms98-a-0043,185.832250,186.125250,good,I,sv,u-44-1
sw3506A-ms98-a-0043,186.125250,186.525000,too,I,sv,u-44-1
sw3506A-ms98-a-0045,193.495750,194.210250,traditional,B,sd,u-46-1
sw3506A-ms98-a-0045,194.210250,194.747125,right,B,^g,u-48-1
sw3506A-ms98-a-0045,195.247625,195.696500,yeah,B,b,u-50-1
sw3506A-ms98-a-0047,199.642500,199.867000,i've,O,,
sw3506A-ms98-a-0047,199.867000,200.077875,just,B,sd,u-52-1
sw3506A-ms98-a-0047,200.077875,200.503500,started,I,sd,u-52-1
sw3506A-ms98-a-0047,200.503500,200.747000,i've,O,,
sw3506A-ms98-a-0047,200.747000,200.965875,just,B,+,u-54-1
sw3506A-ms98-a-0047,200.965875,201.227000,really,I,+,u-54-1
sw3506A-ms98-a-0047,201.227000,201.639500,started,I,+,u-54-1
sw3506A-ms98-a-0047,201.639500,202.058750,um,I,+,u-54-1
sw3506A-ms98-a-0048,202.796500,203.183125,um,I,+,u-54-1
sw3506A-ms98-a-0048,203.360125,203.754250,learning,I,+,u-54-1
sw3506A-ms98-a-0048,203.754250,204.064250,about,I,+,u-54-1
sw3506A-ms98-a-0048,204.064250,204.284250,that,I,+,u-54-1
sw3506A-ms98-a-0048,204.284250,204.482750,i'm,O,,
sw3506A-ms98-a-0048,204.863250,204.989375,i,B,sd,u-54-2
sw3506A-ms98-a-0048,204.989375,205.185250,bought,I,sd,u-54-2
sw3506A-ms98-a-0048,205.185250,205.383625,a,I,sd,u-54-2
sw3506A-ms98-a-0048,205.383625,205.764250,Martha,I,sd,u-54-2
sw3506A-ms98-a-0048,205.764250,206.334250,Stewart,I,sd,u-54-2
sw3506A-ms98-a-0048,206.334250,206.384250,i,B,qy^d,u-54-3
sw3506A-ms98-a-0048,206.384250,206.504250,don't,I,qy^d,u-54-3
sw3506A-ms98-a-0048,206.504250,206.564250,know,I,qy^d,u-54-3
sw3506A-ms98-a-0048,206.564250,206.674250,if,I,qy^d,u-54-3
sw3506A-ms98-a-0048,206.674250,206.784250,you've,I,qy^d,u-54-3
sw3506A-ms98-a-0048,206.784250,206.954250,heard,I,qy^d,u-54-3
sw3506A-ms98-a-0048,206.954250,207.014250,of,I,qy^d,u-54-3
sw3506A-ms98-a-0048,207.014250,207.430375,her,I,qy^d,u-54-3
sw3506A-ms98-a-0048,207.818250,208.076250,her,B,sd,u-56-1
sw3506A-ms98-a-0048,208.076250,208.634250,cookbook,I,sd,u-56-1
sw3506A-ms98-a-0048,208.634250,208.904250,and,B,sd,u-56-2
sw3506A-ms98-a-0048,208.904250,209.054250,she,I,sd,u-56-2
sw3506A-ms98-a-0048,209.054250,209.374250,talks,I,sd,u-56-2
sw3506A-ms98-a-0048,209.374250,209.594250,about,I,sd,u-56-2
sw3506A-ms98-a-0048,209.594250,210.234250,catering,I,sd,u-56-2
sw3506A-ms98-a-0048,210.234250,210.458000,and,I,sd,u-56-2
sw3506A-ms98-a-0048,210.950875,211.388625,um,I,sd,u-56-2
sw3506A-ms98-a-0049,212.347125,212.487125,you,I,sd,u-56-2
sw3506A-ms98-a-0049,212.487125,212.607125,know,I,sd,u-56-2
sw3506A-ms98-a-0049,212.607125,212.917125,goes,I,sd,u-56-2
sw3506A-ms98-a-0049,212.917125,213.315625,into,I,sd,u-56-2
sw3506A-ms98-a-0049,213.590500,213.797125,goes,I,sd,u-56-2
sw3506A-ms98-a-0049,213.797125,213.987125,into,I,sd,u-56-2
sw3506A-ms98-a-0049,213.987125,214.197125,all,I,sd,u-56-2
sw3506A-ms98-a-0049,214.197125,214.497125,that,I,sd,u-56-2
sw3506A-ms98-a-0049,214.497125,214.677125,and,I,sd,u-56-2
sw3506A-ms98-a-0049,214.677125,214.737125,the,I,sd,u-56-2
sw3506A-ms98-a-0049,214.737125,215.037125,different,I,sd,u-56-2
sw3506A-ms98-a-0049,215.037125,215.377125,types,I,sd,u-56-2
sw3506A-ms98-a-0049,215.377125,215.568125,uh,I,sd,u-56-2
sw3506A-ms98-a-0049,216.216375,216.591500,um,I,sd,u-56-2
sw3506A-ms98-a-0051,219.390125,219.796375,uh,I,sd,u-56-2
sw3506A-ms98-a-0053,222.570875,222.825375,different,I,sd,u-56-2
sw3506A-ms98-a-0053,222.945375,223.302000,types,I,sd,u-56-2
sw3506A-ms98-a-0053,223.302000,223.372000,of,I,sd,u-56-2
sw3506A-ms98-a-0053,223.372000,223.932000,parties,I,sd,u-56-2
sw3506A-ms98-a-0053,223.932000,224.052000,you,I,sd,u-56-2
sw3506A-ms98-a-0053,224.052000,224.172000,know,I,sd,u-56-2
sw3506A-ms98-a-0053,224.172000,224.462000,different,I,sd,u-56-2
sw3506A-ms98-a-0053,224.462000,224.722000,types,I,sd,u-56-2
sw3506A-ms98-a-0053,224.722000,224.830500,of,I,sd,u-56-2
sw3506A-ms98-a-0053,224.830500,225.423375,foods,I,sd,u-56-2
sw3506A-ms98-a-0055,231.691250,232.151500,hm,B,sd,u-58-1
sw3506A-ms98-a-0055,232.151500,232.335125,my,I,sd,u-58-1
sw3506A-ms98-a-0055,232.335125,232.699250,father,I,sd,u-58-1
sw3506A-ms98-a-0055,232.699250,232.861500,owns,I,sd,u-58-1
sw3506A-ms98-a-0055,232.861500,232.951500,a,I,sd,u-58-1
sw3506A-ms98-a-0055,232.951500,233.697500,restaurant,I,sd,u-58-1
sw3506A-ms98-a-0056,234.653500,234.947375,it's,B,sd,u-60-1
sw3506A-ms98-a-0056,234.947375,235.203625,it's,I,sd,u-60-1
sw3506A-ms98-a-0056,235.203625,235.493625,just,I,sd,u-60-1
sw3506A-ms98-a-0056,235.493625,235.679375,a,I,sd,u-60-1
sw3506A-ms98-a-0056,235.679375,236.247750,um,I,sd,u-60-1
sw3506A-ms98-a-0057,237.095875,237.238375,ca[fe]-,I,sd,u-60-1
sw3506A-ms98-a-0057,237.238375,237.385000,a,I,sd,u-60-1
sw3506A-ms98-a-0057,237.385000,237.866625,cafe,I,sd,u-60-1
sw3506A-ms98-a-0057,237.866625,238.036625,so,B,sd,u-60-2
sw3506A-ms98-a-0057,238.036625,238.216625,it's,I,sd,u-60-2
sw3506A-ms98-a-0057,238.216625,238.426625,not,I,sd,u-60-2
sw3506A-ms98-a-0057,238.426625,238.686625,really,I,sd,u-60-2
sw3506A-ms98-a-0057,238.686625,239.165500,anything,I,sd,u-60-2
sw3506A-ms98-a-0057,239.851000,240.011375,you,I,sd,u-60-2
sw3506A-ms98-a-0057,240.011375,240.263750,know,I,sd,u-60-2
sw3506A-ms98-a-0057,240.562000,240.714875,that,I,sd,u-60-2
sw3506A-ms98-a-0057,240.714875,240.845500,i,I,sd,u-60-2
sw3506A-ms98-a-0057,240.845500,241.150625,wanna,O,,
sw3506A-ms98-a-0058,241.795375,241.876000,it's,B,sd,u-60-3
sw3506A-ms98-a-0058,241.876000,242.166000,not,I,sd,u-60-3
sw3506A-ms98-a-0058,242.166000,242.345750,the,I,sd,u-60-3
sw3506A-ms98-a-0058,242.345750,242.632625,same,I,sd,u-60-3
sw3506A-ms98-a-0058,242.632625,243.385500,[laughter],O,,
sw3506A-ms98-a-0059,244.284250,244.540875,uh,B,sd,u-62-1
sw3506A-ms98-a-0059,244.540875,244.690875,it's,I,sd,u-62-1
sw3506A-ms98-a-0059,244.690875,244.760875,in,I,sd,u-62-1
sw3506A-ms98-a-0059,244.760875,245.187875,Louisville,O,,
sw3506A-ms98-a-0061,250.003125,250.750750,Trinity,B,sd,u-64-1
sw3506A-ms98-a-0063,254.607625,254.720875,and,O,,
sw3506A-ms98-a-0063,254.720875,254.910875,that's,B,sd,u-66-1
sw3506A-ms98-a-0063,254.910875,255.603875,public,I,sd,u-66-1
sw3506A-ms98-a-0065,266.101500,266.547625,no,B,nn,u-68-1
sw3506A-ms98-a-0065,266.547625,267.042625,huh-uh,O,,
sw3506A-ms98-a-0065,267.042625,267.230375,it's,B,sd^e,u-68-3
sw3506A-ms98-a-0065,267.230375,267.515250,not,I,sd^e,u-68-3
sw3506A-ms98-a-0067,273.615375,274.543500,[laughter],O,,
sw3506A-ms98-a-0068,274.935000,275.504125,uh,B,%,u-72-1
sw3506A-ms98-a-0070,280.688625,280.961250,let's,B,t1,u-74-1
sw3506A-ms98-a-0070,280.961250,281.141250,see,I,t1,u-74-1
sw3506A-ms98-a-0070,281.141250,281.251250,what,B,qw,u-74-2
sw3506A-ms98-a-0070,281.251250,281.590250,about,I,qw,u-74-2
sw3506A-ms98-a-0070,281.590250,282.491750,Hawaiian,I,qw,u-74-2
sw3506A-ms98-a-0070,282.665125,283.422500,Luau,I,qw,u-74-2
sw3506A-ms98-a-0072,285.277125,285.410750,could,B,sd,u-76-1
sw3506A-ms98-a-0072,285.410750,285.594250,have,I,sd,u-76-1
sw3506A-ms98-a-0072,285.594250,285.999375,um,I,sd,u-76-1
sw3506A-ms98-a-0072,286.892000,287.135250,uh,I,sd,u-76-1
sw3506A-ms98-a-0072,287.135250,287.748375,fruits,I,sd,u-76-1
sw3506A-ms98-a-0072,287.748375,288.082875,and,I,sd,u-76-1
sw3506A-ms98-a-0072,288.568750,289.074750,and,I,sd,u-76-1
sw3506A-ms98-a-0072,289.422000,290.308375,pineapple,I,sd,u-76-1
sw3506A-ms98-a-0072,290.308375,290.598125,uh,I,sd,u-76-1
sw3506A-ms98-a-0073,291.946750,292.297125,let's,B,^h,u-76-2
sw3506A-ms98-a-0073,292.297125,292.574000,see,I,^h,u-76-2
sw3506A-ms98-a-0073,292.574000,292.964625,uh,I,^h,u-76-2
sw3506A-ms98-a-0075,296.473375,296.608750,i,B,sv,u-78-1
sw3506A-ms98-a-0075,296.608750,296.938500,think,I,sv,u-78-1
sw3506A-ms98-a-0075,296.938500,297.036125,i,I,sv,u-78-1
sw3506A-ms98-a-0075,297.036125,297.306125,think,I,sv,u-78-1
sw3506A-ms98-a-0075,297.306125,297.966125,decorating,I,sv,u-78-1
sw3506A-ms98-a-0075,297.966125,298.156125,your,I,sv,u-78-1
sw3506A-ms98-a-0075,298.156125,298.496125,food,I,sv,u-78-1
sw3506A-ms98-a-0075,298.496125,298.807750,is,I,sv,u-78-1
sw3506A-ms98-a-0075,298.807750,298.946125,you,I,sv,u-78-1
sw3506A-ms98-a-0075,298.946125,299.113500,know,I,sv,u-78-1
sw3506A-ms98-a-0075,299.113500,299.321125,really,I,sv,u-78-1
sw3506A-ms98-a-0075,299.321125,299.361750,i[mportant]-,O,,
