sw3533B-ms98-a-0003,2.913125,3.403000,good,B,bk,u-2-1
sw3533B-ms98-a-0008,35.890625,35.980625,with,I,sd,u-8-4
sw3533B-ms98-a-0008,35.980625,36.050625,the,I,sd,u-8-4
sw3533B-ms98-a-0008,36.050625,36.620625,holidays,I,sd,u-8-4
sw3533B-ms98-a-0008,36.620625,36.720625,and,I,sd,u-8-4
sw3533B-ms98-a-0008,36.720625,37.270625,everything,I,sd,u-8-4
sw3533B-ms98-a-0010,44.049500,44.532125,uh-huh,B,b,u-10-1
sw3533B-ms98-a-0012,47.336750,48.045625,ooh,O,,
sw3533B-ms98-a-0013,48.513750,48.962125,[laughter],O,,
sw3533B-ms98-a-0015,53.623000,53.964875,oh,B,ba,u-16-1
sw3533B-ms98-a-0015,53.964875,54.584250,yes,I,ba,u-16-1
sw3533B-ms98-a-0017,59.780750,60.264625,uh-huh,B,b,u-18-1
sw3533B-ms98-a-0019,63.440625,64.070625,oh,B,b,u-20-1
sw3533B-ms98-a-0020,66.004500,66.413875,uh-huh,B,b,u-22-1
sw3533B-ms98-a-0022,71.903875,72.323875,pianos,B,b^m,u-24-1
sw3533B-ms98-a-0022,72.323875,72.724000,uh-huh,I,b^m,u-24-1
sw3533B-ms98-a-0024,80.461250,80.851500,um-hum,B,b,u-26-1
sw3533B-ms98-a-0026,94.852250,95.012250,oh,B,bf,u-28-1
sw3533B-ms98-a-0026,95.012250,95.152250,you,I,bf,u-28-1
sw3533B-ms98-a-0026,95.152250,95.342250,don't,I,bf,u-28-1
sw3533B-ms98-a-0026,95.342250,95.462250,get,I,bf,u-28-1
sw3533B-ms98-a-0026,95.462250,95.532250,to,I,bf,u-28-1
sw3533B-ms98-a-0026,95.532250,95.902250,see,I,bf,u-28-1
sw3533B-ms98-a-0026,95.902250,96.102250,any,I,bf,u-28-1
sw3533B-ms98-a-0026,96.102250,96.192250,of,I,bf,u-28-1
sw3533B-ms98-a-0026,96.192250,96.432250,yours,I,bf,u-28-1
sw3533B-ms98-a-0026,96.432250,96.732250,very,I,bf,u-28-1
sw3533B-ms98-a-0026,96.732250,97.182250,often,I,bf,u-28-1
sw3533B-ms98-a-0028,102.033250,102.583250,yes,B,b,u-30-1
sw3533B-ms98-a-0028,102.583250,103.016375,uh-huh,B,b,u-30-2
sw3533B-ms98-a-0030,108.887375,109.289750,um-hum,B,b,u-32-1
sw3533B-ms98-a-0032,112.666250,113.145500,um-hum,B,b,u-34-1
sw3533B-ms98-a-0034,119.639750,119.959750,oh,B,%,u-36-1
sw3533B-ms98-a-0034,120.289750,120.559750,most,I,%,u-36-1
sw3533B-ms98-a-0034,120.559750,120.619750,the,I,%,u-36-1
sw3533B-ms98-a-0034,120.619750,121.089750,time,I,%,u-36-1
sw3533B-ms98-a-0034,121.089750,121.219750,well,B,sd,u-38-1
sw3533B-ms98-a-0034,121.219750,121.439750,right,I,sd,u-38-1
sw3533B-ms98-a-0034,121.439750,121.679750,now,I,sd,u-38-1
sw3533B-ms98-a-0034,121.679750,121.839750,it's,I,sd,u-38-1
sw3533B-ms98-a-0034,121.839750,122.179750,football,I,sd,u-38-1
sw3533B-ms98-a-0034,122.179750,122.583125,season,I,sd,u-38-1
sw3533B-ms98-a-0034,122.583125,122.986125,and,B,sd,u-38-2
sw3533B-ms98-a-0034,122.986125,123.179750,our,I,sd,u-38-2
sw3533B-ms98-a-0034,123.179750,123.509750,daughter,I,sd,u-38-2
sw3533B-ms98-a-0034,123.509750,123.649750,is,I,sd,u-38-2
sw3533B-ms98-a-0034,123.649750,123.719750,a,I,sd,u-38-2
sw3533B-ms98-a-0034,123.719750,123.979750,big,I,sd,u-38-2
sw3533B-ms98-a-0034,123.979750,124.339750,Cowboy,I,sd,u-38-2
sw3533B-ms98-a-0034,124.339750,124.689750,fan,I,sd,u-38-2
sw3533B-ms98-a-0034,124.689750,124.819750,as,B,sd,u-38-3
sw3533B-ms98-a-0034,124.819750,124.959750,is,I,sd,u-38-3
sw3533B-ms98-a-0034,124.959750,125.109750,our,I,sd,u-38-3
sw3533B-ms98-a-0034,125.109750,125.539750,husband,I,sd,u-38-3
sw3533B-ms98-a-0034,125.539750,125.732250,so,B,%,u-38-4
sw3533B-ms98-a-0034,126.037375,126.159750,my,I,%,u-38-4
sw3533B-ms98-a-0034,126.159750,126.549750,husband,I,%,u-38-4
sw3533B-ms98-a-0034,126.549750,126.755375,so,B,sd,u-38-5
sw3533B-ms98-a-0035,127.507500,127.827500,she,I,sd,u-38-5
sw3533B-ms98-a-0035,127.827500,128.247500,watches,I,sd,u-38-5
sw3533B-ms98-a-0035,128.247500,128.477500,that,I,sd,u-38-5
sw3533B-ms98-a-0035,128.477500,128.577500,and,B,sd,u-38-6
sw3533B-ms98-a-0035,128.577500,128.667500,i,I,sd,u-38-6
sw3533B-ms98-a-0035,128.667500,128.887500,play,I,sd,u-38-6
sw3533B-ms98-a-0035,128.887500,129.027500,with,I,sd,u-38-6
sw3533B-ms98-a-0035,129.027500,129.110375,the,I,sd,u-38-6
sw3533B-ms98-a-0035,129.110375,129.792125,grandchildren,I,sd,u-38-6
sw3533B-ms98-a-0035,129.792125,130.427500,[laughter],O,,
sw3533B-ms98-a-0035,130.427500,130.667500,i,B,sd,u-40-1
sw3533B-ms98-a-0035,130.667500,131.047500,enjoy,I,sd,u-40-1
sw3533B-ms98-a-0035,131.047500,131.177500,the,I,sd,u-40-1
sw3533B-ms98-a-0035,131.177500,131.817500,grandchildren,I,sd,u-40-1
sw3533B-ms98-a-0035,131.817500,132.297500,but,B,sd,u-40-2
sw3533B-ms98-a-0035,132.297500,132.417500,now,I,sd,u-40-2
sw3533B-ms98-a-0035,132.417500,132.647500,like,I,sd,u-40-2
sw3533B-ms98-a-0035,132.647500,132.987500,last,I,sd,u-40-2
sw3533B-ms98-a-0035,132.987500,133.457500,weekend,I,sd,u-40-2
sw3533B-ms98-a-0035,133.577500,133.897500,um,I,sd,u-40-2
sw3533B-ms98-a-0036,134.459250,134.769250,there's,I,sd,u-40-2
sw3533B-ms98-a-0036,134.769250,134.839250,the,I,sd,u-40-2
sw3533B-ms98-a-0036,134.839250,135.269250,Soviet,I,sd,u-40-2
sw3533B-ms98-a-0036,135.269250,135.579250,space,I,sd,u-40-2
sw3533B-ms98-a-0036,135.579250,135.989250,exhibit,I,sd,u-40-2
sw3533B-ms98-a-0036,135.989250,136.109250,is,I,sd,u-40-2
sw3533B-ms98-a-0036,136.109250,136.259250,here,I,sd,u-40-2
sw3533B-ms98-a-0036,136.259250,136.369250,in,I,sd,u-40-2
sw3533B-ms98-a-0036,136.369250,136.769250,Dallas,I,sd,u-40-2
sw3533B-ms98-a-0036,136.769250,136.859250,and,B,sd,u-40-3
sw3533B-ms98-a-0036,136.859250,136.989250,it,I,sd,u-40-3
sw3533B-ms98-a-0036,136.989250,137.509250,ends,I,sd,u-40-3
sw3533B-ms98-a-0036,137.509250,137.619250,uh,B,+,u-42-1
sw3533B-ms98-a-0036,137.619250,137.849250,in,I,+,u-42-1
sw3533B-ms98-a-0036,137.849250,138.339875,January,I,+,u-42-1
sw3533B-ms98-a-0036,138.623750,139.188750,so,B,sd,u-42-2
sw3533B-ms98-a-0036,139.188750,139.649250,she,I,sd,u-42-2
sw3533B-ms98-a-0036,139.649250,139.829250,and,I,sd,u-42-2
sw3533B-ms98-a-0036,139.829250,140.169250,and,I,sd,u-42-2
sw3533B-ms98-a-0036,140.169250,140.259250,the,I,sd,u-42-2
sw3533B-ms98-a-0036,140.259250,140.509250,three,I,sd,u-42-2
sw3533B-ms98-a-0036,140.509250,140.909250,boys,I,sd,u-42-2
sw3533B-ms98-a-0036,140.909250,141.019250,and,I,sd,u-42-2
sw3533B-ms98-a-0036,141.019250,141.109250,my,I,sd,u-42-2
sw3533B-ms98-a-0036,141.109250,141.452500,husband,I,sd,u-42-2
sw3533B-ms98-a-0036,141.452500,141.542875,and,I,sd,u-42-2
sw3533B-ms98-a-0036,141.542875,141.762000,i,I,sd,u-42-2
sw3533B-ms98-a-0036,142.059625,142.279250,went,I,sd,u-42-2
sw3533B-ms98-a-0036,142.279250,142.539250,over,I,sd,u-42-2
sw3533B-ms98-a-0036,142.539250,142.739250,into,I,sd,u-42-2
sw3533B-ms98-a-0036,142.739250,142.999250,Fort,I,sd,u-42-2
sw3533B-ms98-a-0036,142.999250,143.249250,Worth,I,sd,u-42-2
sw3533B-ms98-a-0036,143.249250,143.379250,to,I,sd,u-42-2
sw3533B-ms98-a-0036,143.379250,143.549250,see,I,sd,u-42-2
sw3533B-ms98-a-0036,143.549250,143.629250,the,I,sd,u-42-2
sw3533B-ms98-a-0036,143.629250,143.959250,space,I,sd,u-42-2
sw3533B-ms98-a-0036,143.959250,144.532625,exhibit,I,sd,u-42-2
sw3533B-ms98-a-0036,144.980875,145.259250,and,B,%,u-42-3
sw3533B-ms98-a-0036,145.259250,145.409250,this,I,%,u-42-3
sw3533B-ms98-a-0036,145.409250,145.822750,Sunday,I,%,u-42-3
sw3533B-ms98-a-0037,146.333625,146.922125,uh-huh,B,ny,u-44-1
sw3533B-ms98-a-0037,147.225625,147.483625,yeah,B,aa,u-46-1
sw3533B-ms98-a-0037,147.483625,147.763625,it's,B,%@,u-46-2
sw3533B-ms98-a-0038,149.958000,150.138000,oh,B,+,u-48-1
sw3533B-ms98-a-0038,150.138000,150.358000,it's,I,+,u-48-1
sw3533B-ms98-a-0038,150.358000,150.578000,been,I,+,u-48-1
sw3533B-ms98-a-0038,150.578000,150.688000,here,I,+,u-48-1
sw3533B-ms98-a-0038,150.688000,150.798000,for,I,+,u-48-1
sw3533B-ms98-a-0038,150.798000,151.023000,quite,I,+,u-48-1
sw3533B-ms98-a-0038,151.023000,151.245250,s[ome]-,I,+,u-48-1
sw3533B-ms98-a-0038,151.245250,151.478000,uh,I,+,u-48-1
sw3533B-ms98-a-0038,151.478000,151.702750,some,I,+,u-48-1
sw3533B-ms98-a-0038,151.702750,152.068125,time,I,+,u-48-1
sw3533B-ms98-a-0038,152.068125,152.296875,i,B,sd,u-48-2
sw3533B-ms98-a-0038,152.296875,152.583125,think,I,sd,u-48-2
sw3533B-ms98-a-0038,152.583125,152.698000,it,I,sd,u-48-2
sw3533B-ms98-a-0038,152.698000,152.988000,came,I,sd,u-48-2
sw3533B-ms98-a-0038,152.988000,153.185500,here,I,sd,u-48-2
sw3533B-ms98-a-0038,153.185500,153.430250,in,I,sd,u-48-2
sw3533B-ms98-a-0038,153.430250,153.638000,either,I,sd,u-48-2
sw3533B-ms98-a-0038,153.638000,154.108000,September,I,sd,u-48-2
sw3533B-ms98-a-0038,154.108000,154.168000,or,I,sd,u-48-2
sw3533B-ms98-a-0038,154.168000,154.698000,October,I,sd,u-48-2
sw3533B-ms98-a-0039,155.049625,155.319625,and,B,sv,u-48-3
sw3533B-ms98-a-0039,155.429625,155.653500,it's,B,+,u-50-1
sw3533B-ms98-a-0039,155.653500,156.373000,very,I,+,u-50-1
sw3533B-ms98-a-0039,156.373000,157.029625,interesting,I,+,u-50-1
sw3533B-ms98-a-0039,157.029625,157.399625,very,I,+,u-50-1
sw3533B-ms98-a-0039,157.399625,157.809625,interesting,I,+,u-50-1
sw3533B-ms98-a-0039,157.809625,157.969625,and,B,sv,u-52-1
sw3533B-ms98-a-0039,157.969625,158.079625,it's,I,sv,u-52-1
sw3533B-ms98-a-0039,158.079625,158.269625,been,I,sv,u-52-1
sw3533B-ms98-a-0039,158.269625,158.559625,very,I,sv,u-52-1
sw3533B-ms98-a-0039,158.559625,158.749625,well,I,sv,u-52-1
sw3533B-ms98-a-0039,158.749625,159.075375,done,I,sv,u-52-1
sw3533B-ms98-a-0039,159.565000,159.879625,uh,B,sd,u-52-2
sw3533B-ms98-a-0039,159.879625,160.049625,and,I,sd,u-52-2
sw3533B-ms98-a-0039,160.049625,160.429625,this,I,sd,u-52-2
sw3533B-ms98-a-0039,160.429625,160.679625,uh,I,sd,u-52-2
sw3533B-ms98-a-0039,160.679625,160.939625,next,I,sd,u-52-2
sw3533B-ms98-a-0039,160.939625,161.319625,Sunday,I,sd,u-52-2
sw3533B-ms98-a-0039,161.319625,161.499625,they're,I,sd,u-52-2
sw3533B-ms98-a-0039,161.499625,161.799625,coming,I,sd,u-52-2
sw3533B-ms98-a-0039,161.799625,161.979625,over,I,sd,u-52-2
sw3533B-ms98-a-0039,161.979625,162.189625,after,I,sd,u-52-2
sw3533B-ms98-a-0039,162.189625,162.279625,the,I,sd,u-52-2
sw3533B-ms98-a-0039,162.279625,162.692875,Cowboy,I,sd,u-52-2
sw3533B-ms98-a-0039,162.692875,163.178750,game,I,sd,u-52-2
sw3533B-ms98-a-0039,163.178750,163.549625,and,B,sd,u-52-3
sw3533B-ms98-a-0039,163.549625,163.732875,uh,I,sd,u-52-3
sw3533B-ms98-a-0039,164.275250,164.549625,uh,B,+,u-54-1
sw3533B-ms98-a-0039,164.549625,164.689625,we're,I,+,u-54-1
sw3533B-ms98-a-0039,164.689625,164.869625,going,I,+,u-54-1
sw3533B-ms98-a-0039,164.869625,164.939625,to,I,+,u-54-1
sw3533B-ms98-a-0039,164.939625,165.319625,go,I,+,u-54-1
sw3533B-ms98-a-0039,165.319625,165.549625,take,I,+,u-54-1
sw3533B-ms98-a-0039,165.549625,165.609625,the,I,+,u-54-1
sw3533B-ms98-a-0039,165.609625,165.849625,boys,I,+,u-54-1
sw3533B-ms98-a-0039,165.849625,165.949625,to,I,+,u-54-1
sw3533B-ms98-a-0039,165.949625,166.099625,see,I,+,u-54-1
sw3533B-ms98-a-0039,166.099625,166.559625,Christmas,I,+,u-54-1
sw3533B-ms98-a-0039,166.559625,166.879625,lights,I,+,u-54-1
sw3533B-ms98-a-0039,166.879625,166.969625,and,I,+,u-54-1
sw3533B-ms98-a-0039,166.969625,167.069625,go,I,+,u-54-1
sw3533B-ms98-a-0039,167.069625,167.199625,to,I,+,u-54-1
sw3533B-ms98-a-0039,167.199625,167.259625,a,I,+,u-54-1
sw3533B-ms98-a-0039,167.259625,167.699625,Santa's,I,+,u-54-1
sw3533B-ms98-a-0039,167.699625,168.279625,village,I,+,u-54-1
sw3533B-ms98-a-0040,168.937250,169.347250,and,B,sd,u-54-2
sw3533B-ms98-a-0040,169.347250,169.585625,uh,I,sd,u-54-2
sw3533B-ms98-a-0040,170.124250,170.357250,then,I,sd,u-54-2
sw3533B-ms98-a-0040,170.357250,170.477250,when,I,sd,u-54-2
sw3533B-ms98-a-0040,170.477250,170.587250,our,I,sd,u-54-2
sw3533B-ms98-a-0040,170.587250,170.897250,son's,I,sd,u-54-2
sw3533B-ms98-a-0040,170.897250,171.067250,over,I,sd,u-54-2
sw3533B-ms98-a-0040,171.067250,171.207250,we,I,sd,u-54-2
sw3533B-ms98-a-0040,171.207250,171.357250,have,I,sd,u-54-2
sw3533B-ms98-a-0040,171.357250,171.455375,a,I,sd,u-54-2
sw3533B-ms98-a-0040,171.455375,171.997750,pool,I,sd,u-54-2
sw3533B-ms98-a-0040,171.997750,172.507250,and,B,sd,u-54-3
sw3533B-ms98-a-0040,172.507250,172.627250,he,I,sd,u-54-3
sw3533B-ms98-a-0040,172.627250,172.737250,and,I,sd,u-54-3
sw3533B-ms98-a-0040,172.737250,172.937250,his,I,sd,u-54-3
sw3533B-ms98-a-0040,172.937250,173.167250,wife,I,sd,u-54-3
sw3533B-ms98-a-0040,173.167250,173.477250,come,I,sd,u-54-3
sw3533B-ms98-a-0040,173.477250,173.597250,and,I,sd,u-54-3
sw3533B-ms98-a-0040,173.597250,173.637250,a,I,sd,u-54-3
sw3533B-ms98-a-0040,173.637250,173.797250,lot,I,sd,u-54-3
sw3533B-ms98-a-0040,173.797250,173.897250,of,I,sd,u-54-3
sw3533B-ms98-a-0040,173.897250,174.057250,their,I,sd,u-54-3
sw3533B-ms98-a-0040,174.057250,174.617250,friends,I,sd,u-54-3
sw3533B-ms98-a-0040,174.617250,174.897250,and,B,sd,u-54-4
sw3533B-ms98-a-0040,175.277250,175.357250,we,I,sd,u-54-4
sw3533B-ms98-a-0040,175.357250,175.487250,have,I,sd,u-54-4
sw3533B-ms98-a-0040,175.487250,175.967250,cookouts,I,sd,u-54-4
sw3533B-ms98-a-0040,175.967250,176.107250,on,I,sd,u-54-4
sw3533B-ms98-a-0040,176.107250,176.764000,Sunday,I,sd,u-54-4
sw3533B-ms98-a-0040,176.941000,177.356375,uh,I,sd,u-54-4
sw3533B-ms98-a-0040,177.920625,178.173000,and,B,sd,u-56-1
sw3533B-ms98-a-0040,178.173000,178.395125,uh,I,sd,u-56-1
sw3533B-ms98-a-0041,179.106375,179.356375,we,B,+,u-58-1
sw3533B-ms98-a-0041,179.356375,179.546375,we,I,+,u-58-1
sw3533B-ms98-a-0041,179.546375,179.706375,do,I,+,u-58-1
sw3533B-ms98-a-0041,179.706375,179.766375,a,I,+,u-58-1
sw3533B-ms98-a-0041,179.766375,180.046375,lot,I,+,u-58-1
sw3533B-ms98-a-0041,180.046375,180.236375,with,I,+,u-58-1
sw3533B-ms98-a-0041,180.326375,180.516375,with,B,+,u-60-1
sw3533B-ms98-a-0041,180.516375,180.636375,our,I,+,u-60-1
sw3533B-ms98-a-0041,180.636375,181.076375,kids,I,+,u-60-1
sw3533B-ms98-a-0041,181.076375,181.216375,and,B,sd,u-60-2
sw3533B-ms98-a-0041,181.216375,181.424000,we,I,sd,u-60-2
sw3533B-ms98-a-0041,181.676375,181.986375,we,B,+,u-62-1
sw3533B-ms98-a-0041,181.986375,182.306375,always,I,+,u-62-1
sw3533B-ms98-a-0041,182.306375,182.566375,have,I,+,u-62-1
sw3533B-ms98-a-0041,182.566375,182.686375,we've,B,sd,u-62-2
sw3533B-ms98-a-0041,182.686375,182.926375,taken,I,sd,u-62-2
sw3533B-ms98-a-0041,182.926375,182.976375,a,I,sd,u-62-2
sw3533B-ms98-a-0041,182.976375,183.186375,lot,I,sd,u-62-2
sw3533B-ms98-a-0041,183.186375,183.256375,of,I,sd,u-62-2
sw3533B-ms98-a-0041,183.256375,183.606375,trips,I,sd,u-62-2
sw3533B-ms98-a-0041,183.606375,183.726375,with,I,sd,u-62-2
sw3533B-ms98-a-0041,183.726375,183.806375,our,I,sd,u-62-2
sw3533B-ms98-a-0041,183.806375,184.116375,kids,I,sd,u-62-2
sw3533B-ms98-a-0041,184.116375,184.216375,when,I,sd,u-62-2
sw3533B-ms98-a-0041,184.216375,184.326375,they,I,sd,u-62-2
sw3533B-ms98-a-0041,184.326375,184.446375,were,I,sd,u-62-2
sw3533B-ms98-a-0041,184.446375,184.910875,younger,I,sd,u-62-2
sw3533B-ms98-a-0041,185.438125,185.756750,uh,B,sd,u-62-3
sw3533B-ms98-a-0041,185.907375,186.136375,we're,I,sd,u-62-3
sw3533B-ms98-a-0041,186.136375,186.436375,very,I,sd,u-62-3
sw3533B-ms98-a-0041,186.436375,186.886375,family,I,sd,u-62-3
sw3533B-ms98-a-0041,186.886375,187.486375,oriented,I,sd,u-62-3
sw3533B-ms98-a-0041,187.486375,187.746375,we,B,sd,u-62-4
sw3533B-ms98-a-0041,187.746375,187.936375,um,I,sd,u-62-4
sw3533B-ms98-a-0042,188.411750,188.511750,we,B,+,u-64-1
sw3533B-ms98-a-0042,188.511750,188.731750,like,I,+,u-64-1
sw3533B-ms98-a-0042,188.731750,189.051750,being,I,+,u-64-1
sw3533B-ms98-a-0042,189.051750,189.181750,with,I,+,u-64-1
sw3533B-ms98-a-0042,189.181750,189.261750,our,I,+,u-64-1
sw3533B-ms98-a-0042,189.261750,189.561750,kids,I,+,u-64-1
sw3533B-ms98-a-0042,189.561750,189.821750,and,B,sd,u-64-2
sw3533B-ms98-a-0042,190.051750,190.131750,the,I,sd,u-64-2
sw3533B-ms98-a-0042,190.131750,190.361750,kids,I,sd,u-64-2
sw3533B-ms98-a-0042,190.361750,190.551750,seem,I,sd,u-64-2
sw3533B-ms98-a-0042,190.551750,190.641750,to,I,sd,u-64-2
sw3533B-ms98-a-0042,190.641750,190.931750,enjoy,I,sd,u-64-2
sw3533B-ms98-a-0042,190.931750,191.171750,being,I,sd,u-64-2
sw3533B-ms98-a-0042,191.171750,191.331750,with,I,sd,u-64-2
sw3533B-ms98-a-0042,191.331750,191.581750,us,I,sd,u-64-2
sw3533B-ms98-a-0042,191.581750,191.751750,and,B,sd,u-64-3
sw3533B-ms98-a-0042,191.751750,191.851750,their,I,sd,u-64-3
sw3533B-ms98-a-0042,191.851750,192.201750,friends,I,sd,u-64-3
sw3533B-ms98-a-0042,192.201750,192.541750,enjoy,I,sd,u-64-3
sw3533B-ms98-a-0042,192.541750,192.801750,being,I,sd,u-64-3
sw3533B-ms98-a-0042,192.801750,192.971750,with,I,sd,u-64-3
sw3533B-ms98-a-0042,192.971750,193.202500,us,I,sd,u-64-3
sw3533B-ms98-a-0042,193.545250,193.751750,so,B,sd,u-66-1
sw3533B-ms98-a-0042,193.751750,193.951750,which,I,sd,u-66-1
sw3533B-ms98-a-0042,193.951750,194.091750,that,I,sd,u-66-1
sw3533B-ms98-a-0042,194.091750,194.341750,keeps,I,sd,u-66-1
sw3533B-ms98-a-0042,194.341750,194.501750,us,I,sd,u-66-1
sw3533B-ms98-a-0042,194.501750,194.845750,very,I,sd,u-66-1
sw3533B-ms98-a-0042,195.071750,195.281750,very,I,sd,u-66-1
sw3533B-ms98-a-0042,195.281750,195.631750,young,I,sd,u-66-1
sw3533B-ms98-a-0042,195.631750,195.761750,with,I,sd,u-66-1
sw3533B-ms98-a-0042,195.761750,195.921750,all,I,sd,u-66-1
sw3533B-ms98-a-0042,195.921750,196.183750,these,I,sd,u-66-1
sw3533B-ms98-a-0042,196.451125,196.681750,young,I,sd,u-66-1
sw3533B-ms98-a-0042,196.681750,196.981750,people,I,sd,u-66-1
sw3533B-ms98-a-0042,196.981750,197.431750,passing,I,sd,u-66-1
sw3533B-ms98-a-0042,197.431750,197.641750,in,I,sd,u-66-1
sw3533B-ms98-a-0042,197.641750,197.841750,and,I,sd,u-66-1
sw3533B-ms98-a-0042,197.841750,197.931750,out,I,sd,u-66-1
sw3533B-ms98-a-0042,197.931750,198.061750,and,I,sd,u-66-1
sw3533B-ms98-a-0042,198.061750,198.471750,eating,I,sd,u-66-1
sw3533B-ms98-a-0042,198.471750,198.686125,and,B,%,u-68-1
sw3533B-ms98-a-0042,199.059000,199.261750,seems,I,%,u-68-1
sw3533B-ms98-a-0042,199.261750,199.421750,like,I,%,u-68-1
sw3533B-ms98-a-0042,199.421750,199.561750,i've,I,%,u-68-1
sw3533B-ms98-a-0042,199.561750,200.201750,[laughter],O,,
