sw3439A-ms98-a-0002,0.860250,1.214000,Laurie,B,qy,u-1-1
sw3439A-ms98-a-0017,41.850250,42.120250,credit,I,sd,u-17-2
sw3439A-ms98-a-0017,42.120250,42.420250,cards,I,sd,u-17-2
sw3439A-ms98-a-0017,42.420250,42.640250,quite,I,sd,u-17-2
sw3439A-ms98-a-0017,42.640250,42.680250,a,I,sd,u-17-2
sw3439A-ms98-a-0017,42.680250,42.900250,lot,I,sd,u-17-2
sw3439A-ms98-a-0017,42.900250,43.330250,also,I,sd,u-17-2
sw3439A-ms98-a-0017,43.330250,43.420250,as,I,sd,u-17-2
sw3439A-ms98-a-0017,43.420250,43.750250,far,I,sd,u-17-2
sw3439A-ms98-a-0017,43.750250,43.956375,as,I,sd,u-17-2
sw3439A-ms98-a-0017,44.370625,44.760250,everything,I,sd,u-17-2
sw3439A-ms98-a-0017,44.760250,45.038625,from,I,sd,u-17-2
sw3439A-ms98-a-0017,45.486875,45.890250,service,I,sd,u-17-2
sw3439A-ms98-a-0017,45.890250,46.110250,work,I,sd,u-17-2
sw3439A-ms98-a-0017,46.110250,46.210250,and,I,sd,u-17-2
sw3439A-ms98-a-0017,46.210250,46.620250,gasoline,I,sd,u-17-2
sw3439A-ms98-a-0017,46.620250,46.710250,in,I,sd,u-17-2
sw3439A-ms98-a-0017,46.710250,46.830250,my,I,sd,u-17-2
sw3439A-ms98-a-0017,46.830250,47.390250,car,I,sd,u-17-2
sw3439A-ms98-a-0017,47.390250,47.560250,to,I,sd,u-17-2
sw3439A-ms98-a-0017,47.560250,47.950250,my,I,sd,u-17-2
sw3439A-ms98-a-0017,47.950250,48.550250,lodging,I,sd,u-17-2
sw3439A-ms98-a-0017,48.840250,49.520250,entertainment,I,sd,u-17-2
sw3439A-ms98-a-0017,49.520250,49.630250,and,I,sd,u-17-2
sw3439A-ms98-a-0017,49.630250,49.760250,for,I,sd,u-17-2
sw3439A-ms98-a-0017,49.760250,50.166875,everything,I,sd,u-17-2
sw3439A-ms98-a-0019,52.432750,52.537250,so,B,%,u-19-1
sw3439A-ms98-a-0019,52.537250,52.810125,that's,I,%,u-19-1
sw3439A-ms98-a-0019,52.810125,53.080125,uh,I,%,u-19-1
sw3439A-ms98-a-0019,53.080125,53.160125,as,B,sd,u-19-2
sw3439A-ms98-a-0019,53.160125,53.420125,far,I,sd,u-19-2
sw3439A-ms98-a-0019,53.420125,53.520125,as,I,sd,u-19-2
sw3439A-ms98-a-0019,53.520125,53.782750,using,I,sd,u-19-2
sw3439A-ms98-a-0019,53.782750,54.001625,them_1,I,sd,u-19-2
sw3439A-ms98-a-0019,54.714875,55.200125,outside,I,sd,u-19-2
sw3439A-ms98-a-0019,55.200125,55.360125,that,I,sd,u-19-2
sw3439A-ms98-a-0019,55.360125,55.480125,i'm,I,sd,u-19-2
sw3439A-ms98-a-0019,55.480125,55.659875,not,I,sd,u-19-2
sw3439A-ms98-a-0019,56.046375,56.118000,i,I,sd,u-19-2
sw3439A-ms98-a-0019,56.118000,56.230125,don't,I,sd,u-19-2
sw3439A-ms98-a-0019,56.230125,56.370125,use,I,sd,u-19-2
sw3439A-ms98-a-0019,56.370125,56.490125,them_1,I,sd,u-19-2
sw3439A-ms98-a-0019,56.490125,56.640125,too,I,sd,u-19-2
sw3439A-ms98-a-0019,56.640125,56.900125,much,I,sd,u-19-2
sw3439A-ms98-a-0019,56.900125,57.044375,but,B,sd,u-19-3
sw3439A-ms98-a-0019,57.044375,57.112250,i,I,sd,u-19-3
sw3439A-ms98-a-0019,57.112250,57.206000,don't,I,sd,u-19-3
sw3439A-ms98-a-0019,57.206000,57.334000,think,I,sd,u-19-3
sw3439A-ms98-a-0019,57.334000,57.542000,i,I,sd,u-19-3
sw3439A-ms98-a-0019,57.542000,57.639875,i,I,sd,u-19-3
sw3439A-ms98-a-0019,57.639875,57.770125,think,I,sd,u-19-3
sw3439A-ms98-a-0019,57.770125,57.880125,my,I,sd,u-19-3
sw3439A-ms98-a-0019,57.880125,58.170125,wife,I,sd,u-19-3
sw3439A-ms98-a-0019,58.170125,58.260125,is,I,sd,u-19-3
sw3439A-ms98-a-0019,58.260125,58.380125,sort,I,sd,u-19-3
sw3439A-ms98-a-0019,58.380125,58.440125,of,I,sd,u-19-3
sw3439A-ms98-a-0019,58.440125,58.650125,like,I,sd,u-19-3
sw3439A-ms98-a-0019,58.650125,58.850125,you,I,sd,u-19-3
sw3439A-ms98-a-0019,58.850125,59.010125,she,B,sd,u-19-4
sw3439A-ms98-a-0019,59.010125,59.280125,uses,I,sd,u-19-4
sw3439A-ms98-a-0019,59.280125,59.352625,a,I,sd,u-19-4
sw3439A-ms98-a-0019,59.352625,59.593750,credit,I,sd,u-19-4
sw3439A-ms98-a-0019,59.593750,59.810125,card,I,sd,u-19-4
sw3439A-ms98-a-0019,59.810125,60.150125,most,B,+,u-21-1
sw3439A-ms98-a-0019,60.150125,60.220125,of,I,+,u-21-1
sw3439A-ms98-a-0019,60.220125,60.310125,the,I,+,u-21-1
sw3439A-ms98-a-0019,60.310125,60.551750,time,I,+,u-21-1
sw3439A-ms98-a-0020,61.854125,62.109250,so,B,sd,u-23-1
sw3439A-ms98-a-0020,62.109250,62.296125,she,I,sd,u-23-1
sw3439A-ms98-a-0020,62.296125,62.470750,does,I,sd,u-23-1
sw3439A-ms98-a-0020,62.470750,62.690750,most,I,sd,u-23-1
sw3439A-ms98-a-0020,62.690750,62.750750,of,I,sd,u-23-1
sw3439A-ms98-a-0020,62.750750,62.810750,the,I,sd,u-23-1
sw3439A-ms98-a-0020,62.810750,63.180750,shopping,I,sd,u-23-1
sw3439A-ms98-a-0020,63.180750,63.290750,for,I,sd,u-23-1
sw3439A-ms98-a-0020,63.290750,63.430750,our,I,sd,u-23-1
sw3439A-ms98-a-0020,63.430750,63.954875,household,I,sd,u-23-1
sw3439A-ms98-a-0020,63.954875,64.060375,so,B,sd,u-23-2
sw3439A-ms98-a-0020,64.060375,64.260750,she'll,I,sd,u-23-2
sw3439A-ms98-a-0020,64.260750,64.440750,use,I,sd,u-23-2
sw3439A-ms98-a-0020,64.440750,64.510750,them_1,I,sd,u-23-2
sw3439A-ms98-a-0020,64.510750,64.700750,more,I,sd,u-23-2
sw3439A-ms98-a-0020,64.700750,64.790750,than,I,sd,u-23-2
sw3439A-ms98-a-0020,64.790750,64.922875,i,I,sd,u-23-2
sw3439A-ms98-a-0020,64.922875,65.281375,will,I,sd,u-23-2
sw3439A-ms98-a-0022,67.495375,67.862000,yes,B,ny,u-25-1
sw3439A-ms98-a-0023,69.101750,69.283875,but,O,,
sw3439A-ms98-a-0023,69.881750,69.942000,so,B,sd,u-27-1
sw3439A-ms98-a-0023,69.942000,70.057750,it's,I,sd,u-27-1
sw3439A-ms98-a-0023,70.057750,70.267750,me,I,sd,u-27-1
sw3439A-ms98-a-0023,70.267750,70.417750,i'm,I,sd,u-27-1
sw3439A-ms98-a-0023,70.417750,70.771750,always,I,sd,u-27-1
sw3439A-ms98-a-0023,70.888500,71.034375,i'm,I,sd,u-27-1
sw3439A-ms98-a-0023,71.034375,71.106000,the,I,sd,u-27-1
sw3439A-ms98-a-0023,71.106000,71.217750,[laughter-guy],I,sd,u-27-1
sw3439A-ms98-a-0023,71.217750,71.377750,that,I,sd,u-27-1
sw3439A-ms98-a-0023,71.377750,71.587750,always,I,sd,u-27-1
sw3439A-ms98-a-0023,71.587750,71.857750,goes,I,sd,u-27-1
sw3439A-ms98-a-0023,71.857750,71.937750,to,I,sd,u-27-1
sw3439A-ms98-a-0023,71.937750,72.117750,like,I,sd,u-27-1
sw3439A-ms98-a-0023,72.117750,72.627750,Dillard's,I,sd,u-27-1
sw3439A-ms98-a-0023,72.627750,72.873875,and,B,sd,u-27-2
sw3439A-ms98-a-0023,73.427500,73.557750,i'll,I,sd,u-27-2
sw3439A-ms98-a-0023,73.557750,73.717750,go,I,sd,u-27-2
sw3439A-ms98-a-0023,73.717750,73.807750,in,I,sd,u-27-2
sw3439A-ms98-a-0023,73.807750,73.937750,and,I,sd,u-27-2
sw3439A-ms98-a-0023,73.937750,74.227750,charge,I,sd,u-27-2
sw3439A-ms98-a-0023,74.227750,74.530750,something,I,sd,u-27-2
sw3439A-ms98-a-0023,74.530750,74.815375,and,B,sd,u-27-3
sw3439A-ms98-a-0023,74.815375,74.912375,and,I,sd,u-27-3
sw3439A-ms98-a-0023,74.912375,74.984000,i'll,I,sd,u-27-3
sw3439A-ms98-a-0023,74.984000,75.077750,have,I,sd,u-27-3
sw3439A-ms98-a-0023,75.077750,75.167750,to,I,sd,u-27-3
sw3439A-ms98-a-0023,75.167750,75.277750,give,I,sd,u-27-3
sw3439A-ms98-a-0023,75.277750,75.337750,them_1,I,sd,u-27-3
sw3439A-ms98-a-0023,75.337750,75.447750,my,I,sd,u-27-3
sw3439A-ms98-a-0023,75.447750,75.837750,driver's,I,sd,u-27-3
sw3439A-ms98-a-0023,75.837750,76.217750,license,I,sd,u-27-3
sw3439A-ms98-a-0023,76.217750,76.347750,they'll,B,sd,u-27-4
sw3439A-ms98-a-0023,76.347750,76.437750,have,I,sd,u-27-4
sw3439A-ms98-a-0023,76.437750,76.517750,to,I,sd,u-27-4
sw3439A-ms98-a-0023,76.517750,76.647750,look,I,sd,u-27-4
sw3439A-ms98-a-0023,76.647750,76.807750,up,I,sd,u-27-4
sw3439A-ms98-a-0023,76.807750,76.877750,the,I,sd,u-27-4
sw3439A-ms98-a-0023,76.877750,77.227750,number,I,sd,u-27-4
sw3439A-ms98-a-0023,77.227750,77.437750,because,I,sd,u-27-4
sw3439A-ms98-a-0023,77.437750,77.537750,i'm,I,sd,u-27-4
sw3439A-ms98-a-0023,77.537750,77.777750,never,I,sd,u-27-4
sw3439A-ms98-a-0023,77.777750,78.057750,carrying,I,sd,u-27-4
sw3439A-ms98-a-0023,78.057750,78.097750,a,I,sd,u-27-4
sw3439A-ms98-a-0023,78.097750,78.387750,credit,I,sd,u-27-4
sw3439A-ms98-a-0023,78.387750,78.733250,card,I,sd,u-27-4
sw3439A-ms98-a-0024,80.285625,80.379000,but,B,sd,u-29-1
sw3439A-ms98-a-0024,80.379000,80.484250,i,I,sd,u-29-1
sw3439A-ms98-a-0024,80.484250,80.617625,do,I,sd,u-29-1
sw3439A-ms98-a-0024,80.617625,80.887625,carry,I,sd,u-29-1
sw3439A-ms98-a-0024,80.887625,81.050500,like,I,sd,u-29-1
sw3439A-ms98-a-0024,81.197375,81.287625,my,I,sd,u-29-1
sw3439A-ms98-a-0024,81.287625,81.657625,American,I,sd,u-29-1
sw3439A-ms98-a-0024,81.657625,82.179875,Express,I,sd,u-29-1
sw3439A-ms98-a-0024,82.179875,82.552375,and,I,sd,u-29-1
sw3439A-ms98-a-0024,82.552375,82.778375,my,I,sd,u-29-1
sw3439A-ms98-a-0024,82.778375,83.087625,Visa,I,sd,u-29-1
sw3439A-ms98-a-0024,83.087625,83.247625,which,I,sd,u-29-1
sw3439A-ms98-a-0024,83.247625,83.327625,i,I,sd,u-29-1
sw3439A-ms98-a-0024,83.327625,83.590625,use,I,sd,u-29-1
sw3439A-ms98-a-0024,83.590625,84.140625,for,I,sd,u-29-1
sw3439A-ms98-a-0024,84.140625,84.255625,you,I,sd,u-29-1
sw3439A-ms98-a-0024,84.255625,84.353500,know,I,sd,u-29-1
sw3439A-ms98-a-0024,84.353500,84.747625,primarily,I,sd,u-29-1
sw3439A-ms98-a-0024,84.747625,84.997625,work,I,sd,u-29-1
sw3439A-ms98-a-0024,84.997625,85.247625,type,I,sd,u-29-1
sw3439A-ms98-a-0024,85.247625,85.586250,things,I,sd,u-29-1
sw3439A-ms98-a-0026,89.260500,89.358500,this,B,sd,u-31-1
sw3439A-ms98-a-0026,89.358500,89.422000,is,I,sd,u-31-1
sw3439A-ms98-a-0026,89.422000,89.525625,my,I,sd,u-31-1
sw3439A-ms98-a-0026,89.525625,89.835625,first,I,sd,u-31-1
sw3439A-ms98-a-0026,89.835625,90.135625,call,I,sd,u-31-1
sw3439A-ms98-a-0026,90.135625,90.275625,by,I,sd,u-31-1
sw3439A-ms98-a-0026,90.275625,90.365625,the,I,sd,u-31-1
sw3439A-ms98-a-0026,90.365625,90.575625,way,I,sd,u-31-1
sw3439A-ms98-a-0026,90.575625,90.791625,so,B,%,u-31-2
sw3439A-ms98-a-0026,90.791625,91.168375,[laughter],O,,
sw3439A-ms98-a-0027,92.149750,92.268250,oh,B,bh,u-33-1
sw3439A-ms98-a-0027,92.268250,92.405250,is,I,bh,u-33-1
sw3439A-ms98-a-0027,92.405250,92.505250,it,I,bh,u-33-1
sw3439A-ms98-a-0027,92.505250,92.865000,really,I,bh,u-33-1
sw3439A-ms98-a-0028,93.340625,93.694625,[laughter],O,,
sw3439A-ms98-a-0028,93.694625,93.858500,all,B,ba,u-35-1
sw3439A-ms98-a-0028,93.858500,94.031000,right,I,ba,u-35-1
sw3439A-ms98-a-0028,94.031000,94.111000,so,B,sv,u-35-2
sw3439A-ms98-a-0028,94.111000,94.201000,we're,I,sv,u-35-2
sw3439A-ms98-a-0028,94.201000,94.441000,both,I,sv,u-35-2
sw3439A-ms98-a-0028,94.441000,94.931000,beginners,I,sv,u-35-2
sw3439A-ms98-a-0028,94.931000,95.166125,then,I,sv,u-35-2
sw3439A-ms98-a-0029,95.852250,96.012250,i've,B,sd,u-37-1
sw3439A-ms98-a-0029,96.012250,96.222250,had,I,sd,u-37-1
sw3439A-ms98-a-0029,96.222250,96.362250,this,I,sd,u-37-1
sw3439A-ms98-a-0029,96.362250,96.492250,for,I,sd,u-37-1
sw3439A-ms98-a-0029,96.492250,96.542250,a,I,sd,u-37-1
sw3439A-ms98-a-0029,96.542250,96.932250,couple,I,sd,u-37-1
sw3439A-ms98-a-0029,96.932250,97.242250,weeks,I,sd,u-37-1
sw3439A-ms98-a-0029,97.242250,97.754125,and,B,sd,u-37-2
sw3439A-ms98-a-0029,97.754125,97.859625,i've,I,sd,u-37-2
sw3439A-ms98-a-0029,97.859625,97.942250,been,I,sd,u-37-2
sw3439A-ms98-a-0029,97.942250,98.062250,out,I,sd,u-37-2
sw3439A-ms98-a-0029,98.062250,98.122250,of,I,sd,u-37-2
sw3439A-ms98-a-0029,98.122250,98.532250,town,I,sd,u-37-2
sw3439A-ms98-a-0029,98.532250,98.612250,so,B,sd,u-37-3
sw3439A-ms98-a-0029,98.612250,98.702250,this,I,sd,u-37-3
sw3439A-ms98-a-0029,98.702250,98.762250,is,I,sd,u-37-3
sw3439A-ms98-a-0029,98.762250,98.892250,my,I,sd,u-37-3
sw3439A-ms98-a-0029,98.892250,99.212250,first,I,sd,u-37-3
sw3439A-ms98-a-0029,99.212250,99.462250,time,I,sd,u-37-3
sw3439A-ms98-a-0029,99.462250,99.632250,to,I,sd,u-37-3
sw3439A-ms98-a-0030,100.190375,100.358000,to,B,+,u-39-1
sw3439A-ms98-a-0030,100.358000,100.670750,use,I,+,u-39-1
sw3439A-ms98-a-0030,100.670750,100.782500,it,I,+,u-39-1
sw3439A-ms98-a-0031,101.744500,102.046000,so,B,%,u-41-1
sw3439A-ms98-a-0033,103.921500,104.062375,no,B,nn,u-43-1
sw3439A-ms98-a-0033,104.062375,104.156375,i,B,sd^e^t,u-43-2
sw3439A-ms98-a-0033,104.156375,104.306375,was,I,sd^e^t,u-43-2
sw3439A-ms98-a-0033,104.306375,104.536375,given,I,sd^e^t,u-43-2
sw3439A-ms98-a-0033,104.536375,104.696375,this,I,sd^e^t,u-43-2
sw3439A-ms98-a-0033,104.696375,105.120625,topic,I,sd^e^t,u-43-2
sw3439A-ms98-a-0034,106.440875,106.538000,yeah,B,b,u-45-1
sw3439A-ms98-a-0034,106.538000,106.660625,they,B,sd^t,u-45-2
sw3439A-ms98-a-0034,106.660625,106.840625,give,I,sd^t,u-45-2
sw3439A-ms98-a-0034,106.840625,106.985500,you,I,sd^t,u-45-2
sw3439A-ms98-a-0034,107.324500,107.430625,they,I,sd^t,u-45-2
sw3439A-ms98-a-0034,107.430625,107.870625,assign,I,sd^t,u-45-2
sw3439A-ms98-a-0034,107.870625,107.990625,you,I,sd^t,u-45-2
sw3439A-ms98-a-0034,107.990625,108.060625,a,I,sd^t,u-45-2
sw3439A-ms98-a-0034,108.060625,108.450625,topic,I,sd^t,u-45-2
sw3439A-ms98-a-0034,108.450625,108.520625,you,B,sd^t,u-45-3
sw3439A-ms98-a-0034,108.520625,108.760625,call,I,sd^t,u-45-3
sw3439A-ms98-a-0034,108.760625,108.820625,the,I,sd^t,u-45-3
sw3439A-ms98-a-0034,108.820625,108.980625,eight,I,sd^t,u-45-3
sw3439A-ms98-a-0034,108.980625,109.260625,hundred,I,sd^t,u-45-3
sw3439A-ms98-a-0034,109.260625,109.955125,number,I,sd^t,u-45-3
sw3439A-ms98-a-0034,109.955125,110.053125,have,B,qy^t,u-47-1
sw3439A-ms98-a-0034,110.053125,110.150625,you,I,qy^t,u-47-1
sw3439A-ms98-a-0034,110.150625,110.430625,tried,I,qy^t,u-47-1
sw3439A-ms98-a-0034,110.430625,110.580625,it,I,qy^t,u-47-1
sw3439A-ms98-a-0034,110.580625,110.877875,yet,I,qy^t,u-47-1
sw3439A-ms98-a-0035,111.621500,112.001625,okay,B,b,u-49-1
sw3439A-ms98-a-0035,112.001625,112.130750,when,B,sd^t,u-49-2
sw3439A-ms98-a-0035,112.130750,112.220750,you,I,sd^t,u-49-2
sw3439A-ms98-a-0035,112.220750,112.460750,call,I,sd^t,u-49-2
sw3439A-ms98-a-0035,112.460750,112.520750,the,I,sd^t,u-49-2
sw3439A-ms98-a-0035,112.520750,112.620750,eigh[t]-,I,sd^t,u-49-2
sw3439A-ms98-a-0035,112.620750,112.820750,eight,I,sd^t,u-49-2
sw3439A-ms98-a-0035,112.820750,113.090750,hundred,I,sd^t,u-49-2
sw3439A-ms98-a-0035,113.090750,113.370750,number,I,sd^t,u-49-2
sw3439A-ms98-a-0035,113.370750,113.480750,they,I,sd^t,u-49-2
sw3439A-ms98-a-0035,113.480750,113.850750,assign,I,sd^t,u-49-2
sw3439A-ms98-a-0035,113.850750,113.960750,you,I,sd^t,u-49-2
sw3439A-ms98-a-0035,113.960750,114.030750,a,I,sd^t,u-49-2
sw3439A-ms98-a-0035,114.030750,114.540125,topic,I,sd^t,u-49-2
sw3439A-ms98-a-0035,115.127750,115.410750,and,I,sd^t,u-49-2
sw3439A-ms98-a-0035,115.410750,115.560750,uh,I,sd^t,u-49-2
sw3439A-ms98-a-0036,117.674500,117.940625,pretty,I,sd^t,u-49-2
sw3439A-ms98-a-0036,117.940625,118.102250,uh,I,sd^t,u-49-2
sw3439A-ms98-a-0036,118.102250,118.372250,cut,I,sd^t,u-49-2
sw3439A-ms98-a-0036,118.372250,118.472250,and,I,sd^t,u-49-2
sw3439A-ms98-a-0036,118.472250,118.917375,dry,O,,
sw3439A-ms98-a-0036,118.917375,119.856375,[laughter],O,,
sw3439A-ms98-a-0038,124.756375,124.816375,i'm,B,h,u-51-1
sw3439A-ms98-a-0038,124.816375,124.990500,not,I,h,u-51-1
sw3439A-ms98-a-0038,124.990500,125.517250,sure,I,h,u-51-1
sw3439A-ms98-a-0039,126.175125,126.220125,a,B,sv^t,u-51-2
sw3439A-ms98-a-0039,126.220125,126.407125,couple,I,sv^t,u-51-2
sw3439A-ms98-a-0039,126.407125,126.557125,about,B,sv^t,u-51-3
sw3439A-ms98-a-0039,126.647125,126.827125,about,I,sv^t,u-51-3
sw3439A-ms98-a-0039,126.907125,127.057125,two,I,sv^t,u-51-3
sw3439A-ms98-a-0039,127.057125,127.197125,minu[tes]-,I,sv^t,u-51-3
sw3439A-ms98-a-0039,127.197125,127.387125,three,I,sv^t,u-51-3
sw3439A-ms98-a-0039,127.387125,127.647125,minutes,I,sv^t,u-51-3
sw3439A-ms98-a-0039,127.647125,127.752000,i,I,sv^t,u-51-3
sw3439A-ms98-a-0039,127.752000,128.145750,think,I,sv^t,u-51-3
sw3439A-ms98-a-0040,129.497125,129.563125,but,B,sd,u-53-1
sw3439A-ms98-a-0040,129.563125,129.635875,i,I,sd,u-53-1
sw3439A-ms98-a-0040,129.635875,129.753125,really,I,sd,u-53-1
sw3439A-ms98-a-0040,129.753125,129.873125,don't,I,sd,u-53-1
sw3439A-ms98-a-0040,129.873125,130.013125,have,I,sd,u-53-1
sw3439A-ms98-a-0040,130.013125,130.113125,too,I,sd,u-53-1
sw3439A-ms98-a-0040,130.113125,130.323125,much,I,sd,u-53-1
sw3439A-ms98-a-0040,130.323125,130.453125,more,I,sd,u-53-1
sw3439A-ms98-a-0040,130.453125,130.533125,to,I,sd,u-53-1
sw3439A-ms98-a-0040,130.533125,130.743125,say,I,sd,u-53-1
sw3439A-ms98-a-0040,130.743125,130.853125,in,I,sd,u-53-1
sw3439A-ms98-a-0040,130.853125,131.173125,regards,I,sd,u-53-1
sw3439A-ms98-a-0040,131.173125,131.263125,to,I,sd,u-53-1
sw3439A-ms98-a-0040,131.263125,131.523125,credit,I,sd,u-53-1
sw3439A-ms98-a-0040,131.523125,131.843125,cards,I,sd,u-53-1
sw3439A-ms98-a-0040,131.843125,132.201375,i,B,%,u-53-2
sw3439A-ms98-a-0040,132.792750,132.933125,one,B,sd,u-53-3
sw3439A-ms98-a-0040,132.933125,133.113125,thing,I,sd,u-53-3
sw3439A-ms98-a-0040,133.113125,133.243125,i've,I,sd,u-53-3
sw3439A-ms98-a-0040,133.243125,133.493125,always,I,sd,u-53-3
sw3439A-ms98-a-0040,133.493125,133.763125,tried,I,sd,u-53-3
sw3439A-ms98-a-0040,133.763125,133.863125,to,I,sd,u-53-3
sw3439A-ms98-a-0040,133.863125,134.113125,do,I,sd,u-53-3
sw3439A-ms98-a-0040,134.113125,134.279250,is,I,sd,u-53-3
sw3439A-ms98-a-0040,134.607000,134.693125,when,I,sd,u-53-3
sw3439A-ms98-a-0040,134.693125,134.753125,i,I,sd,u-53-3
sw3439A-ms98-a-0040,134.753125,134.913125,get,I,sd,u-53-3
sw3439A-ms98-a-0040,134.913125,135.023125,my,I,sd,u-53-3
sw3439A-ms98-a-0040,135.023125,135.358500,credit,I,sd,u-53-3
sw3439A-ms98-a-0040,135.358500,135.953625,cards,I,sd,u-53-3
sw3439A-ms98-a-0040,135.953625,136.113125,i,I,sd,u-53-3
sw3439A-ms98-a-0040,136.113125,136.353125,always,I,sd,u-53-3
sw3439A-ms98-a-0040,136.353125,136.553125,try,I,sd,u-53-3
sw3439A-ms98-a-0040,136.553125,136.633125,to,I,sd,u-53-3
sw3439A-ms98-a-0040,136.633125,136.803125,pay,I,sd,u-53-3
sw3439A-ms98-a-0040,136.803125,136.993125,them_1,I,sd,u-53-3
sw3439A-ms98-a-0040,136.993125,137.193125,off,I,sd,u-53-3
sw3439A-ms98-a-0040,137.193125,137.333125,because_1,I,sd,u-53-3
sw3439A-ms98-a-0040,137.333125,137.443125,i,I,sd,u-53-3
sw3439A-ms98-a-0040,137.443125,137.683125,just,I,sd,u-53-3
sw3439A-ms98-a-0040,137.683125,137.833125,sort,I,sd,u-53-3
sw3439A-ms98-a-0040,137.833125,137.893125,of,I,sd,u-53-3
sw3439A-ms98-a-0040,137.893125,138.303125,detest,I,sd,u-53-3
