sw3175B-ms98-a-0001,0.007750,0.406500,-[h]ello,O,,
sw3175B-ms98-a-0011,89.841250,89.961250,i,I,sd^e,u-11-2
sw3175B-ms98-a-0011,89.961250,90.271250,guess,I,sd^e,u-11-2
sw3175B-ms98-a-0011,90.271250,90.521250,this,I,sd^e,u-11-2
sw3175B-ms98-a-0011,90.521250,90.941250,summer,I,sd^e,u-11-2
sw3175B-ms98-a-0011,90.941250,91.434625,i,I,sd^e,u-11-2
sw3175B-ms98-a-0011,91.434625,91.631250,i,I,sd^e,u-11-2
sw3175B-ms98-a-0011,91.631250,91.951250,wore,I,sd^e,u-11-2
sw3175B-ms98-a-0011,91.951250,92.698125,some,I,sd^e,u-11-2
sw3175B-ms98-a-0011,92.698125,93.101250,fairly,I,sd^e,u-11-2
sw3175B-ms98-a-0011,93.101250,93.635750,nice,I,sd^e,u-11-2
sw3175B-ms98-a-0011,93.635750,94.470500,jeans,I,sd^e,u-11-2
sw3175B-ms98-a-0011,94.470500,94.949625,um,B,+,u-13-1
sw3175B-ms98-a-0011,95.330000,95.561250,more,I,+,u-13-1
sw3175B-ms98-a-0011,95.561250,95.711250,than,I,+,u-13-1
sw3175B-ms98-a-0011,95.711250,95.871250,i,I,+,u-13-1
sw3175B-ms98-a-0011,95.871250,95.991500,w[ore]-,I,+,u-13-1
sw3175B-ms98-a-0011,96.145875,96.491250,have,I,+,u-13-1
sw3175B-ms98-a-0011,96.491250,96.671250,in,I,+,u-13-1
sw3175B-ms98-a-0011,96.671250,97.221250,previous,I,+,u-13-1
sw3175B-ms98-a-0011,97.221250,97.927500,seasons,I,+,u-13-1
sw3175B-ms98-a-0012,98.686625,99.049625,but,B,nn,u-13-2
sw3175B-ms98-a-0012,99.049625,99.570750,um,I,nn,u-13-2
sw3175B-ms98-a-0012,99.943625,100.399625,no,I,nn,u-13-2
sw3175B-ms98-a-0012,100.399625,100.499625,i,B,sd^e,u-13-3
sw3175B-ms98-a-0012,100.499625,101.408500,tend,I,sd^e,u-13-3
sw3175B-ms98-a-0012,101.887000,102.229625,to,I,sd^e,u-13-3
sw3175B-ms98-a-0012,102.229625,102.359625,to,I,sd^e,u-13-3
sw3175B-ms98-a-0012,102.359625,102.619625,use,I,sd^e,u-13-3
sw3175B-ms98-a-0012,102.619625,102.689625,the,I,sd^e,u-13-3
sw3175B-ms98-a-0012,102.689625,103.029625,same,I,sd^e,u-13-3
sw3175B-ms98-a-0012,103.029625,103.419625,things,I,sd^e,u-13-3
sw3175B-ms98-a-0012,103.419625,103.940375,because,I,sd^e,u-13-3
sw3175B-ms98-a-0012,103.940375,104.349625,actually,I,sd^e,u-13-3
sw3175B-ms98-a-0012,104.349625,104.499625,our,I,sd^e,u-13-3
sw3175B-ms98-a-0012,104.499625,105.029625,offices,I,sd^e,u-13-3
sw3175B-ms98-a-0012,105.029625,105.139625,are,I,sd^e,u-13-3
sw3175B-ms98-a-0012,105.139625,105.359625,very,I,sd^e,u-13-3
sw3175B-ms98-a-0012,105.359625,105.899625,cold,I,sd^e,u-13-3
sw3175B-ms98-a-0012,105.899625,106.059625,in,I,sd^e,u-13-3
sw3175B-ms98-a-0012,106.059625,106.548875,summer,I,sd^e,u-13-3
sw3175B-ms98-a-0013,106.990875,107.019750,i,B,sv,u-13-4
sw3175B-ms98-a-0013,107.019750,107.143500,don't,I,sv,u-13-4
sw3175B-ms98-a-0013,107.143500,107.283500,know,I,sv,u-13-4
sw3175B-ms98-a-0013,107.283500,107.533500,whether,I,sv,u-13-4
sw3175B-ms98-a-0013,107.533500,107.795750,they,I,sv,u-13-4
sw3175B-ms98-a-0013,108.202500,108.433500,think,I,sv,u-13-4
sw3175B-ms98-a-0013,108.433500,108.853000,by,I,sv,u-13-4
sw3175B-ms98-a-0014,109.281000,109.376500,you,I,sv,u-13-4
sw3175B-ms98-a-0014,109.376500,109.496500,know,I,sv,u-13-4
sw3175B-ms98-a-0014,109.496500,109.986500,freezing,I,sv,u-13-4
sw3175B-ms98-a-0014,109.986500,110.086500,them_1,I,sv,u-13-4
sw3175B-ms98-a-0014,110.086500,110.286500,up,I,sv,u-13-4
sw3175B-ms98-a-0014,110.286500,110.996500,overnight,I,sv,u-13-4
sw3175B-ms98-a-0014,110.996500,111.146500,then,I,sv,u-13-4
sw3175B-ms98-a-0014,111.146500,111.236500,they,I,sv,u-13-4
sw3175B-ms98-a-0014,111.236500,111.396500,can,I,sv,u-13-4
sw3175B-ms98-a-0014,111.396500,111.646500,save,I,sv,u-13-4
sw3175B-ms98-a-0014,111.646500,112.206500,electricity,I,sv,u-13-4
sw3175B-ms98-a-0014,112.206500,112.436500,during,I,sv,u-13-4
sw3175B-ms98-a-0014,112.436500,112.516500,the,I,sv,u-13-4
sw3175B-ms98-a-0014,112.516500,112.866500,day,I,sv,u-13-4
sw3175B-ms98-a-0014,112.866500,113.016500,or,I,sv,u-13-4
sw3175B-ms98-a-0014,113.016500,113.506500,something,I,sv,u-13-4
sw3175B-ms98-a-0014,113.506500,114.593125,[laughter],O,,
sw3175B-ms98-a-0014,114.593125,115.557375,[laughter-but],O,,
sw3175B-ms98-a-0014,115.557375,115.816500,but,B,+,u-17-1
sw3175B-ms98-a-0014,115.816500,115.906500,you,I,+,u-17-1
sw3175B-ms98-a-0014,115.906500,116.160875,know,I,+,u-17-1
sw3175B-ms98-a-0014,116.160875,116.291750,you,I,+,u-17-1
sw3175B-ms98-a-0014,116.291750,116.496500,[laughter-wear],I,+,u-17-1
sw3175B-ms98-a-0014,116.496500,117.036500,[laughter-a],I,+,u-17-1
sw3175B-ms98-a-0014,117.036500,117.380375,heavy,I,+,u-17-1
sw3175B-ms98-a-0014,117.380375,117.730125,sweater,I,+,u-17-1
sw3175B-ms98-a-0014,117.730125,117.812375,in,I,+,u-17-1
sw3175B-ms98-a-0014,117.812375,117.985625,[laughter-your],O,,
sw3175B-ms98-a-0014,117.985625,118.623375,[laughter-office],O,,
sw3175B-ms98-a-0014,118.623375,118.890875,[laughter-all],O,,
sw3175B-ms98-a-0014,118.890875,119.566500,[laughter-summer],O,,
sw3175B-ms98-a-0014,119.566500,121.116875,[laughter],O,,
sw3175B-ms98-a-0014,121.116875,121.691750,so,B,%,u-19-2
sw3175B-ms98-a-0015,122.298125,122.718625,right,I,%,u-19-2
sw3175B-ms98-a-0015,122.718625,123.254125,um,B,%,u-19-3
sw3175B-ms98-a-0015,123.254125,123.588625,yeah,I,%,u-19-3
sw3175B-ms98-a-0015,123.588625,123.798625,i,B,sd,u-19-4
sw3175B-ms98-a-0015,123.798625,124.248625,don't,I,sd,u-19-4
sw3175B-ms98-a-0015,124.248625,124.363000,i,I,sd,u-19-4
sw3175B-ms98-a-0015,124.363000,124.592125,don't,I,sd,u-19-4
sw3175B-ms98-a-0016,125.774750,125.902000,i,I,sd,u-19-4
sw3175B-ms98-a-0016,126.089375,126.185625,you,I,sd,u-19-4
sw3175B-ms98-a-0016,126.185625,126.295625,know,I,sd,u-19-4
sw3175B-ms98-a-0016,126.295625,126.405625,i'm,I,sd,u-19-4
sw3175B-ms98-a-0016,126.405625,126.595625,not,I,sd,u-19-4
sw3175B-ms98-a-0016,126.595625,126.635625,a,I,sd,u-19-4
sw3175B-ms98-a-0016,126.635625,126.955625,clothes,I,sd,u-19-4
sw3175B-ms98-a-0016,126.955625,127.185625,horse,I,sd,u-19-4
sw3175B-ms98-a-0016,127.185625,127.295625,in,I,sd,u-19-4
sw3175B-ms98-a-0016,127.295625,127.375625,the,I,sd,u-19-4
sw3175B-ms98-a-0016,127.375625,127.745625,sense,I,sd,u-19-4
sw3175B-ms98-a-0016,127.745625,127.895625,that,I,sd,u-19-4
sw3175B-ms98-a-0016,127.895625,128.065625,some,I,sd,u-19-4
sw3175B-ms98-a-0016,128.065625,128.155625,of,I,sd,u-19-4
sw3175B-ms98-a-0016,128.155625,128.318625,my,I,sd,u-19-4
sw3175B-ms98-a-0016,128.318625,129.069250,friends,I,sd,u-19-4
sw3175B-ms98-a-0017,129.456125,129.732000,and,B,sd,u-21-1
sw3175B-ms98-a-0017,129.732000,129.867375,i,I,sd,u-21-1
sw3175B-ms98-a-0017,129.867375,130.448125,guess,I,sd,u-21-1
sw3175B-ms98-a-0017,130.448125,130.942375,although,I,sd,u-21-1
sw3175B-ms98-a-0017,131.262500,131.527375,in,I,sd,u-21-1
sw3175B-ms98-a-0017,131.806125,131.977375,as,I,sd,u-21-1
sw3175B-ms98-a-0017,131.977375,132.147375,i,I,sd,u-21-1
sw3175B-ms98-a-0017,132.147375,132.837375,recall,I,sd,u-21-1
sw3175B-ms98-a-0017,132.837375,132.917375,the,I,sd,u-21-1
sw3175B-ms98-a-0017,132.917375,133.787375,stereotype,I,sd,u-21-1
sw3175B-ms98-a-0017,133.787375,134.113125,of,I,sd,u-21-1
sw3175B-ms98-a-0017,134.113125,134.277375,of,I,sd,u-21-1
sw3175B-ms98-a-0017,134.277375,135.111875,secretaries,I,sd,u-21-1
sw3175B-ms98-a-0017,135.111875,135.488500,was,I,sd,u-21-1
sw3175B-ms98-a-0017,135.887750,135.947375,you,I,sd,u-21-1
sw3175B-ms98-a-0017,135.947375,136.087375,know,I,sd,u-21-1
sw3175B-ms98-a-0017,136.087375,136.777375,overdress,I,sd,u-21-1
sw3175B-ms98-a-0017,136.777375,137.377375,overkill,I,sd,u-21-1
sw3175B-ms98-a-0017,137.377375,137.687375,sort,I,sd,u-21-1
sw3175B-ms98-a-0017,137.687375,137.974625,of,I,sd,u-21-1
sw3175B-ms98-a-0017,137.974625,138.447500,and,B,sd,u-23-1
sw3175B-ms98-a-0018,139.106750,139.243625,in,B,+,u-25-1
sw3175B-ms98-a-0018,139.243625,139.363625,a,I,+,u-25-1
sw3175B-ms98-a-0018,139.363625,139.596875,s[ense]-,I,+,u-25-1
sw3175B-ms98-a-0018,139.596875,139.845000,uh,I,+,u-25-1
sw3175B-ms98-a-0018,140.112500,140.233625,in,I,+,u-25-1
sw3175B-ms98-a-0018,140.233625,140.313625,a,I,+,u-25-1
sw3175B-ms98-a-0018,140.313625,140.743625,sense,I,+,u-25-1
sw3175B-ms98-a-0018,140.743625,140.813625,the,I,+,u-25-1
sw3175B-ms98-a-0018,140.813625,141.203625,people,I,+,u-25-1
sw3175B-ms98-a-0018,141.203625,141.303625,i,I,+,u-25-1
sw3175B-ms98-a-0018,141.303625,141.873625,know,I,+,u-25-1
sw3175B-ms98-a-0018,141.873625,142.323625,who,I,+,u-25-1
sw3175B-ms98-a-0018,142.323625,142.693625,spend,I,+,u-25-1
sw3175B-ms98-a-0018,142.693625,142.753625,the,I,+,u-25-1
sw3175B-ms98-a-0018,142.753625,143.153625,most,I,+,u-25-1
sw3175B-ms98-a-0018,143.153625,143.343625,on,I,+,u-25-1
sw3175B-ms98-a-0018,143.343625,143.988125,clothes,I,+,u-25-1
sw3175B-ms98-a-0018,143.988125,144.473625,are,I,+,u-25-1
sw3175B-ms98-a-0018,144.473625,145.431125,secretaries,I,+,u-25-1
sw3175B-ms98-a-0019,146.066250,146.581875,although,B,sv,u-25-2
sw3175B-ms98-a-0019,146.879500,146.975500,the,I,sv,u-25-2
sw3175B-ms98-a-0019,146.975500,147.296750,fact,I,sv,u-25-2
sw3175B-ms98-a-0019,147.296750,147.466750,that,I,sv,u-25-2
sw3175B-ms98-a-0019,147.466750,147.776750,most,I,sv,u-25-2
sw3175B-ms98-a-0019,147.776750,147.836750,of,I,sv,u-25-2
sw3175B-ms98-a-0019,147.836750,147.916750,the,I,sv,u-25-2
sw3175B-ms98-a-0019,147.916750,148.136750,ones,I,sv,u-25-2
sw3175B-ms98-a-0019,148.136750,148.306750,i,I,sv,u-25-2
sw3175B-ms98-a-0019,148.306750,148.596750,know,I,sv,u-25-2
sw3175B-ms98-a-0019,148.596750,148.856750,are,I,sv,u-25-2
sw3175B-ms98-a-0019,148.856750,148.956750,in,I,sv,u-25-2
sw3175B-ms98-a-0019,148.956750,149.016750,the,I,sv,u-25-2
sw3175B-ms98-a-0019,149.016750,149.476750,government,I,sv,u-25-2
sw3175B-ms98-a-0019,149.476750,149.596750,and,I,sv,u-25-2
sw3175B-ms98-a-0019,149.596750,149.696750,they're,I,sv,u-25-2
sw3175B-ms98-a-0019,149.696750,150.016250,not,I,sv,u-25-2
sw3175B-ms98-a-0019,150.539750,150.896750,meeting,I,sv,u-25-2
sw3175B-ms98-a-0019,150.896750,150.985000,the,I,sv,u-25-2
sw3175B-ms98-a-0019,150.985000,151.669500,public,I,sv,u-25-2
sw3175B-ms98-a-0020,152.307125,152.545375,it,B,+,u-27-1
sw3175B-ms98-a-0020,152.792625,152.953125,i,I,+,u-27-1
sw3175B-ms98-a-0020,152.953125,153.253125,find,I,+,u-27-1
sw3175B-ms98-a-0020,153.253125,153.343125,it,I,+,u-27-1
sw3175B-ms98-a-0020,153.343125,153.393125,a,I,+,u-27-1
sw3175B-ms98-a-0020,153.393125,153.653125,little,I,+,u-27-1
sw3175B-ms98-a-0020,153.653125,153.843125,bit,I,+,u-27-1
sw3175B-ms98-a-0020,153.843125,154.603125,strange,I,+,u-27-1
sw3175B-ms98-a-0020,154.603125,154.802750,that,I,+,u-27-1
sw3175B-ms98-a-0020,155.213250,155.363125,their,I,+,u-27-1
sw3175B-ms98-a-0020,155.363125,156.123125,priorities,I,+,u-27-1
sw3175B-ms98-a-0020,156.123125,156.473125,would,I,+,u-27-1
sw3175B-ms98-a-0020,156.473125,156.713125,would,I,+,u-27-1
sw3175B-ms98-a-0020,156.713125,156.873125,be,I,+,u-27-1
sw3175B-ms98-a-0020,156.873125,157.051125,to,I,+,u-27-1
sw3175B-ms98-a-0020,157.051125,157.423125,spend,I,+,u-27-1
sw3175B-ms98-a-0020,157.423125,157.563125,this,I,+,u-27-1
sw3175B-ms98-a-0020,157.563125,157.883125,money,I,+,u-27-1
sw3175B-ms98-a-0020,157.883125,158.353250,here,I,+,u-27-1
sw3175B-ms98-a-0021,159.553875,159.672500,you,B,o,u-27-2
sw3175B-ms98-a-0021,159.672500,159.981750,know,I,o,u-27-2
sw3175B-ms98-a-0021,160.132500,160.202500,i,B,sv,u-29-1
sw3175B-ms98-a-0021,160.202500,160.440375,mean,I,sv,u-29-1
sw3175B-ms98-a-0021,160.440375,160.642500,i,I,sv,u-29-1
sw3175B-ms98-a-0021,160.642500,160.932500,suppose,I,sv,u-29-1
sw3175B-ms98-a-0021,160.932500,161.062500,if,I,sv,u-29-1
sw3175B-ms98-a-0021,161.062500,161.162500,you,I,sv,u-29-1
sw3175B-ms98-a-0021,161.162500,161.342500,were,I,sv,u-29-1
sw3175B-ms98-a-0021,161.342500,161.575000,a,I,sv,u-29-1
sw3175B-ms98-a-0021,161.951625,162.263125,a,I,sv,u-29-1
sw3175B-ms98-a-0021,162.263125,162.652500,more,I,sv,u-29-1
sw3175B-ms98-a-0021,162.652500,162.702500,a,I,sv,u-29-1
sw3175B-ms98-a-0021,162.702500,163.402500,receptionist,I,sv,u-29-1
sw3175B-ms98-a-0021,163.402500,163.522500,and,I,sv,u-29-1
sw3175B-ms98-a-0021,163.522500,163.782500,meeting,I,sv,u-29-1
sw3175B-ms98-a-0021,163.782500,163.842500,the,I,sv,u-29-1
sw3175B-ms98-a-0021,163.842500,164.312500,public,I,sv,u-29-1
sw3175B-ms98-a-0021,164.312500,164.622500,and,I,sv,u-29-1
sw3175B-ms98-a-0021,164.622500,164.772500,it,I,sv,u-29-1
sw3175B-ms98-a-0021,164.772500,164.902500,was,I,sv,u-29-1
sw3175B-ms98-a-0021,164.902500,164.982500,the,I,sv,u-29-1
sw3175B-ms98-a-0021,164.982500,165.402500,image,I,sv,u-29-1
sw3175B-ms98-a-0021,165.402500,165.502500,of,I,sv,u-29-1
sw3175B-ms98-a-0021,165.502500,165.612500,your,I,sv,u-29-1
sw3175B-ms98-a-0021,165.612500,166.122500,company,I,sv,u-29-1
sw3175B-ms98-a-0021,166.122500,166.262500,at,I,sv,u-29-1
sw3175B-ms98-a-0021,166.262500,167.028000,stake,I,sv,u-29-1
sw3175B-ms98-a-0021,167.472375,167.892500,perhaps,B,+,u-31-1
sw3175B-ms98-a-0021,167.892500,167.962500,you,I,+,u-31-1
sw3175B-ms98-a-0021,167.962500,168.112500,would,I,+,u-31-1
sw3175B-ms98-a-0021,168.112500,168.362500,have,I,+,u-31-1
sw3175B-ms98-a-0021,168.362500,168.472500,to,I,+,u-31-1
sw3175B-ms98-a-0021,168.472500,168.772500,dress,I,+,u-31-1
sw3175B-ms98-a-0021,168.772500,169.167875,up,I,+,u-31-1
sw3175B-ms98-a-0023,190.602250,190.879250,um-hum,B,b,u-33-1
sw3175B-ms98-a-0023,191.036625,191.328750,um-hum,O,,
sw3175B-ms98-a-0025,195.783125,196.112375,right,O,,
sw3175B-ms98-a-0027,209.739125,210.095375,um-hum,B,b^r,u-33-2
sw3175B-ms98-a-0027,210.095375,210.422750,um-hum,B,b,u-35-1
sw3175B-ms98-a-0029,232.479625,232.743625,um-hum,O,,
sw3175B-ms98-a-0031,236.259750,237.056250,exactly,B,aa,u-37-1
sw3175B-ms98-a-0031,237.056250,237.146250,i,B,sv,u-37-2
sw3175B-ms98-a-0031,237.146250,237.336250,mean,I,sv,u-37-2
sw3175B-ms98-a-0031,237.336250,237.456250,you,I,sv,u-37-2
sw3175B-ms98-a-0031,237.456250,237.686250,can,I,sv,u-37-2
sw3175B-ms98-a-0031,237.686250,237.876250,look,I,sv,u-37-2
sw3175B-ms98-a-0031,237.876250,238.596250,businesslike,I,sv,u-37-2
sw3175B-ms98-a-0031,238.596250,238.860750,in,I,sv,u-37-2
sw3175B-ms98-a-0031,239.425625,239.516250,in,I,sv,u-37-2
sw3175B-ms98-a-0031,239.516250,239.576250,a,I,sv,u-37-2
sw3175B-ms98-a-0031,239.576250,239.846250,pant[suit]-,I,sv,u-37-2
sw3175B-ms98-a-0031,239.846250,239.946250,uh,I,sv,u-37-2
sw3175B-ms98-a-0031,239.946250,240.146250,the,I,sv,u-37-2
sw3175B-ms98-a-0031,240.146250,240.426250,same,I,sv,u-37-2
sw3175B-ms98-a-0031,240.426250,240.726250,pant,I,sv,u-37-2
sw3175B-ms98-a-0031,240.726250,240.936250,suit,I,sv,u-37-2
sw3175B-ms98-a-0031,240.936250,241.096250,you,I,sv,u-37-2
sw3175B-ms98-a-0031,241.096250,241.341000,would,I,sv,u-37-2
sw3175B-ms98-a-0031,241.698875,241.756250,you,I,sv,u-37-2
sw3175B-ms98-a-0031,241.756250,241.916250,know,I,sv,u-37-2
sw3175B-ms98-a-0031,241.916250,242.166250,wear,B,+,u-39-1
sw3175B-ms98-a-0031,242.166250,242.306250,for,I,+,u-39-1
sw3175B-ms98-a-0031,242.306250,242.573875,other,I,+,u-39-1
sw3175B-ms98-a-0031,242.573875,243.059000,things,I,+,u-39-1
sw3175B-ms98-a-0032,244.008250,244.119875,yeah,B,%,u-39-2
sw3175B-ms98-a-0032,244.119875,244.419875,i'm,B,sd,u-39-3
sw3175B-ms98-a-0032,244.419875,244.649875,i'm,I,sd,u-39-3
sw3175B-ms98-a-0032,244.649875,244.889875,really,I,sd,u-39-3
sw3175B-ms98-a-0032,244.889875,245.269875,glad,I,sd,u-39-3
sw3175B-ms98-a-0032,245.269875,245.609875,about,I,sd,u-39-3
sw3175B-ms98-a-0032,245.609875,245.929875,that,I,sd,u-39-3
sw3175B-ms98-a-0032,245.929875,246.509875,pantsuits,I,sd,u-39-3
sw3175B-ms98-a-0032,246.509875,246.599875,are,I,sd,u-39-3
sw3175B-ms98-a-0032,246.599875,247.079875,popular,I,sd,u-39-3
sw3175B-ms98-a-0032,247.079875,247.429875,because,I,sd,u-39-3
sw3175B-ms98-a-0032,247.429875,247.569875,i'm,I,sd,u-39-3
sw3175B-ms98-a-0032,247.569875,248.069875,allergic,I,sd,u-39-3
sw3175B-ms98-a-0032,248.069875,248.578750,to,I,sd,u-39-3
sw3175B-ms98-a-0032,248.578750,248.859875,many,I,sd,u-39-3
sw3175B-ms98-a-0032,248.859875,248.919875,of,I,sd,u-39-3
sw3175B-ms98-a-0032,248.919875,248.999875,the,I,sd,u-39-3
sw3175B-ms98-a-0032,248.999875,249.930000,synthetics,I,sd,u-39-3
sw3175B-ms98-a-0033,250.679375,250.915000,and,B,sd,u-41-1
sw3175B-ms98-a-0033,250.915000,251.286625,so,I,sd,u-41-1
sw3175B-ms98-a-0033,251.286625,251.346625,i,I,sd,u-41-1
sw3175B-ms98-a-0033,251.346625,251.526625,used,I,sd,u-41-1
sw3175B-ms98-a-0033,251.526625,251.586625,to,I,sd,u-41-1
sw3175B-ms98-a-0033,251.586625,251.716625,have,I,sd,u-41-1
