sw3012B-ms98-a-0002,1.022125,1.372125,hello,B,fp,u-1-1
sw3012B-ms98-a-0010,32.392000,32.682000,or,B,%,u-15-2
sw3012B-ms98-a-0010,32.862000,32.952000,you,I,%,u-15-2
sw3012B-ms98-a-0010,32.952000,33.212000,know,I,%,u-15-2
sw3012B-ms98-a-0011,33.958625,34.558625,um,B,co,u-17-1
sw3012B-ms98-a-0011,34.838625,35.394000,so,I,co,u-17-1
sw3012B-ms98-a-0011,35.510750,35.718625,if,I,co,u-17-1
sw3012B-ms98-a-0011,35.868625,36.118625,that's,I,co,u-17-1
sw3012B-ms98-a-0011,36.118625,36.468625,okay,I,co,u-17-1
sw3012B-ms98-a-0011,36.468625,36.638625,with,I,co,u-17-1
sw3012B-ms98-a-0011,36.638625,36.898625,you,I,co,u-17-1
sw3012B-ms98-a-0011,36.898625,37.068625,then,I,co,u-17-1
sw3012B-ms98-a-0011,37.068625,37.238625,i'll,I,co,u-17-1
sw3012B-ms98-a-0011,37.238625,37.427875,just,I,co,u-17-1
sw3012B-ms98-a-0011,37.427875,37.684000,press,I,co,u-17-1
sw3012B-ms98-a-0011,37.684000,37.946375,one,I,co,u-17-1
sw3012B-ms98-a-0011,38.497250,39.008625,okay,B,b,u-19-1
sw3012B-ms98-a-0013,40.682625,41.003375,well,B,fp,u-19-2
sw3012B-ms98-a-0013,41.003375,41.500875,hi,I,fp,u-19-2
sw3012B-ms98-a-0013,41.500875,42.027375,[laughter],O,,
sw3012B-ms98-a-0013,42.497000,42.642625,good,B,fp,u-21-1
sw3012B-ms98-a-0013,42.642625,43.112625,morning,I,fp,u-21-1
sw3012B-ms98-a-0013,43.493750,44.019125,um,I,fp,u-21-1
sw3012B-ms98-a-0014,45.100750,45.335125,i,B,sv,u-21-2
sw3012B-ms98-a-0014,45.335125,45.793125,think,I,sv,u-21-2
sw3012B-ms98-a-0014,46.594875,46.707875,i,I,sv,u-21-2
sw3012B-ms98-a-0014,46.707875,46.880750,mean,I,sv,u-21-2
sw3012B-ms98-a-0014,46.880750,47.050750,if,I,sv,u-21-2
sw3012B-ms98-a-0014,47.050750,47.220750,if,I,sv,u-21-2
sw3012B-ms98-a-0014,47.220750,47.340750,i,I,sv,u-21-2
sw3012B-ms98-a-0014,47.340750,47.810750,start,I,sv,u-21-2
sw3012B-ms98-a-0014,47.810750,48.210750,this,I,sv,u-21-2
sw3012B-ms98-a-0014,48.210750,48.330750,i,I,sv,u-21-2
sw3012B-ms98-a-0014,48.330750,48.620750,just,I,sv,u-21-2
sw3012B-ms98-a-0014,48.620750,48.840750,wanted,I,sv,u-21-2
sw3012B-ms98-a-0014,48.840750,48.910750,to,I,sv,u-21-2
sw3012B-ms98-a-0014,48.910750,49.320750,say,I,sv,u-21-2
sw3012B-ms98-a-0014,49.320750,49.774625,that,I,sv,u-21-2
sw3012B-ms98-a-0014,51.017125,52.034125,um,I,sv,u-21-2
sw3012B-ms98-a-0015,54.185875,54.525875,one,I,sv,u-21-2
sw3012B-ms98-a-0015,54.525875,54.625875,of,I,sv,u-21-2
sw3012B-ms98-a-0015,54.625875,54.685875,the,I,sv,u-21-2
sw3012B-ms98-a-0015,54.685875,55.035875,things,I,sv,u-21-2
sw3012B-ms98-a-0015,55.035875,55.175875,that,I,sv,u-21-2
sw3012B-ms98-a-0015,55.175875,55.255875,i,I,sv,u-21-2
sw3012B-ms98-a-0015,55.255875,55.465875,don't,I,sv,u-21-2
sw3012B-ms98-a-0015,55.465875,55.675875,think,I,sv,u-21-2
sw3012B-ms98-a-0015,55.675875,55.815875,we,I,sv,u-21-2
sw3012B-ms98-a-0015,55.815875,56.105875,really,I,sv,u-21-2
sw3012B-ms98-a-0015,56.105875,56.565875,understood,I,sv,u-21-2
sw3012B-ms98-a-0015,56.565875,56.985875,about,I,sv,u-21-2
sw3012B-ms98-a-0015,56.985875,57.335875,the,I,sv,u-21-2
sw3012B-ms98-a-0015,57.335875,57.485875,the,I,sv,u-21-2
sw3012B-ms98-a-0015,57.485875,57.785875,middle,I,sv,u-21-2
sw3012B-ms98-a-0015,57.785875,58.085875,eastern,I,sv,u-21-2
sw3012B-ms98-a-0015,58.085875,58.795875,situation,I,sv,u-21-2
sw3012B-ms98-a-0015,58.795875,59.055875,is,I,sv,u-21-2
sw3012B-ms98-a-0015,59.055875,59.345875,that,I,sv,u-21-2
sw3012B-ms98-a-0015,59.875875,60.238625,they're,I,sv,u-21-2
sw3012B-ms98-a-0015,60.577125,60.757875,a,I,sv,u-21-2
sw3012B-ms98-a-0015,60.757875,61.135875,totally,I,sv,u-21-2
sw3012B-ms98-a-0015,61.135875,61.485875,different,I,sv,u-21-2
sw3012B-ms98-a-0015,61.485875,61.705875,type,I,sv,u-21-2
sw3012B-ms98-a-0015,61.705875,61.825875,of,I,sv,u-21-2
sw3012B-ms98-a-0015,61.825875,62.215875,people,I,sv,u-21-2
sw3012B-ms98-a-0015,62.215875,62.375875,than,I,sv,u-21-2
sw3012B-ms98-a-0015,62.375875,62.585875,we,I,sv,u-21-2
sw3012B-ms98-a-0015,62.585875,62.836875,are,I,sv,u-21-2
sw3012B-ms98-a-0015,63.251125,63.415875,and,B,sv,u-21-3
sw3012B-ms98-a-0015,63.415875,63.465875,i,I,sv,u-21-3
sw3012B-ms98-a-0015,63.465875,63.695875,mean,I,sv,u-21-3
sw3012B-ms98-a-0015,63.695875,63.825875,they,I,sv,u-21-3
sw3012B-ms98-a-0015,63.825875,64.165875,think,I,sv,u-21-3
sw3012B-ms98-a-0015,64.165875,64.805875,differently,I,sv,u-21-3
sw3012B-ms98-a-0016,65.245375,65.805375,and,B,sv,u-21-4
sw3012B-ms98-a-0016,65.805375,66.015375,their,I,sv,u-21-4
sw3012B-ms98-a-0016,66.015375,66.811625,idea,I,sv,u-21-4
sw3012B-ms98-a-0016,67.143125,67.545375,of,I,sv,u-21-4
sw3012B-ms98-a-0016,67.755375,67.935375,what,I,sv,u-21-4
sw3012B-ms98-a-0016,67.935375,68.115375,is,I,sv,u-21-4
sw3012B-ms98-a-0016,68.115375,68.665375,justice,I,sv,u-21-4
sw3012B-ms98-a-0016,68.665375,68.795375,is,I,sv,u-21-4
sw3012B-ms98-a-0016,68.795375,69.295375,totally,I,sv,u-21-4
sw3012B-ms98-a-0016,69.295375,69.615375,different,I,sv,u-21-4
sw3012B-ms98-a-0016,69.615375,69.805375,from,I,sv,u-21-4
sw3012B-ms98-a-0016,69.805375,70.196250,ours,I,sv,u-21-4
sw3012B-ms98-a-0016,70.621875,71.015375,and,B,sv,u-21-5
sw3012B-ms98-a-0016,71.455375,71.675375,and,I,sv,u-21-5
sw3012B-ms98-a-0016,71.675375,71.905375,right,I,sv,u-21-5
sw3012B-ms98-a-0016,71.905375,72.255375,now,I,sv,u-21-5
sw3012B-ms98-a-0016,72.255375,72.625375,i,I,sv,u-21-5
sw3012B-ms98-a-0016,72.625375,72.735375,i,I,sv,u-21-5
sw3012B-ms98-a-0016,72.735375,73.115375,think,I,sv,u-21-5
sw3012B-ms98-a-0016,73.115375,73.285375,that,I,sv,u-21-5
sw3012B-ms98-a-0016,73.285375,73.665375,that's,I,sv,u-21-5
sw3012B-ms98-a-0016,73.665375,73.945375,been,I,sv,u-21-5
sw3012B-ms98-a-0016,73.945375,74.566500,proven,I,sv,u-21-5
sw3012B-ms98-a-0016,74.939375,75.125375,in,I,sv,u-21-5
sw3012B-ms98-a-0016,75.125375,75.235375,the,I,sv,u-21-5
sw3012B-ms98-a-0016,75.235375,75.585375,fact,I,sv,u-21-5
sw3012B-ms98-a-0016,75.585375,75.885375,that,I,sv,u-21-5
sw3012B-ms98-a-0016,75.885375,76.175375,um,I,sv,u-21-5
sw3012B-ms98-a-0016,77.275375,77.795375,they,I,sv,u-21-5
sw3012B-ms98-a-0016,77.795375,78.105375,have,I,sv,u-21-5
sw3012B-ms98-a-0016,78.105375,78.455375,just,I,sv,u-21-5
sw3012B-ms98-a-0017,79.523625,79.968750,well,B,sv,u-21-6
sw3012B-ms98-a-0017,80.239875,80.722000,anyway,I,sv,u-21-6
sw3012B-ms98-a-0017,81.251875,81.391250,i,I,sv,u-21-6
sw3012B-ms98-a-0017,81.391250,81.623625,just,I,sv,u-21-6
sw3012B-ms98-a-0017,81.623625,81.903625,think,I,sv,u-21-6
sw3012B-ms98-a-0017,81.903625,82.243625,that,I,sv,u-21-6
sw3012B-ms98-a-0017,83.233625,83.373625,you,I,sv,u-21-6
sw3012B-ms98-a-0017,83.373625,83.563625,know,I,sv,u-21-6
sw3012B-ms98-a-0017,83.563625,83.663625,the,I,sv,u-21-6
sw3012B-ms98-a-0017,83.663625,84.083625,United,I,sv,u-21-6
sw3012B-ms98-a-0017,84.083625,84.393625,States,I,sv,u-21-6
sw3012B-ms98-a-0017,84.393625,85.113625,policy,I,sv,u-21-6
sw3012B-ms98-a-0017,85.113625,85.343625,over,I,sv,u-21-6
sw3012B-ms98-a-0017,85.343625,85.792125,there,I,sv,u-21-6
sw3012B-ms98-a-0017,86.210250,86.343625,i,B,sv,u-21-7
sw3012B-ms98-a-0017,86.343625,86.666125,think,I,sv,u-21-7
sw3012B-ms98-a-0017,86.847000,87.013625,we,I,sv,u-21-7
sw3012B-ms98-a-0017,87.013625,87.163625,should,I,sv,u-21-7
sw3012B-ms98-a-0017,87.163625,87.413625,just,I,sv,u-21-7
sw3012B-ms98-a-0017,87.413625,87.613625,leave,I,sv,u-21-7
sw3012B-ms98-a-0017,87.613625,87.673625,them_1,I,sv,u-21-7
sw3012B-ms98-a-0017,87.673625,88.212125,alone,I,sv,u-21-7
sw3012B-ms98-a-0017,88.551125,88.692500,i,B,sv,u-21-8
sw3012B-ms98-a-0017,88.692500,88.963625,really,I,sv,u-21-8
sw3012B-ms98-a-0017,88.963625,89.493625,do,I,sv,u-21-8
sw3012B-ms98-a-0017,89.493625,89.713625,in,I,sv,u-21-8
sw3012B-ms98-a-0017,89.713625,89.833625,in,I,sv,u-21-8
sw3012B-ms98-a-0017,89.833625,89.903625,a,I,sv,u-21-8
sw3012B-ms98-a-0017,89.903625,90.283625,major,I,sv,u-21-8
sw3012B-ms98-a-0017,90.283625,90.553625,way,I,sv,u-21-8
sw3012B-ms98-a-0017,90.553625,91.199250,because,I,sv,u-21-8
sw3012B-ms98-a-0017,91.663750,91.873625,they,I,sv,u-21-8
sw3012B-ms98-a-0017,91.873625,92.270000,just,I,sv,u-21-8
sw3012B-ms98-a-0017,92.360375,92.823625,um,I,sv,u-21-8
sw3012B-ms98-a-0018,93.951500,94.131500,that,I,sv,u-21-8
sw3012B-ms98-a-0018,94.131500,94.431500,whole,I,sv,u-21-8
sw3012B-ms98-a-0018,94.431500,94.801500,region,I,sv,u-21-8
sw3012B-ms98-a-0018,94.801500,95.021500,over,I,sv,u-21-8
sw3012B-ms98-a-0018,95.021500,95.403000,there,I,sv,u-21-8
sw3012B-ms98-a-0018,95.557500,95.710250,i,I,sv,u-21-8
sw3012B-ms98-a-0018,95.710250,96.061500,think,I,sv,u-21-8
sw3012B-ms98-a-0018,96.061500,96.361500,needs,I,sv,u-21-8
sw3012B-ms98-a-0018,96.361500,96.481500,to,I,sv,u-21-8
sw3012B-ms98-a-0018,96.481500,96.831500,settle,I,sv,u-21-8
sw3012B-ms98-a-0018,96.831500,97.031500,it's,I,sv,u-21-8
sw3012B-ms98-a-0018,97.031500,97.271500,own,I,sv,u-21-8
sw3012B-ms98-a-0018,97.271500,97.941500,differences,I,sv,u-21-8
sw3012B-ms98-a-0018,97.941500,98.361500,within,I,sv,u-21-8
sw3012B-ms98-a-0018,98.361500,99.061500,itself,I,sv,u-21-8
sw3012B-ms98-a-0019,99.662375,99.892375,and,B,sv,u-23-1
sw3012B-ms98-a-0019,99.892375,100.252375,that's,I,sv,u-23-1
sw3012B-ms98-a-0019,100.252375,100.332375,the,I,sv,u-23-1
sw3012B-ms98-a-0019,100.332375,100.813875,way,I,sv,u-23-1
sw3012B-ms98-a-0019,100.964625,101.092375,the,I,sv,u-23-1
sw3012B-ms98-a-0019,101.092375,101.482375,course,I,sv,u-23-1
sw3012B-ms98-a-0019,101.482375,101.582375,that,I,sv,u-23-1
sw3012B-ms98-a-0019,101.582375,101.702375,they,I,sv,u-23-1
sw3012B-ms98-a-0019,101.702375,101.962375,should,I,sv,u-23-1
sw3012B-ms98-a-0019,101.962375,102.272375,go,I,sv,u-23-1
sw3012B-ms98-a-0019,102.272375,102.342375,i,B,sv,u-23-2
sw3012B-ms98-a-0019,102.342375,102.602375,mean,I,sv,u-23-2
sw3012B-ms98-a-0019,102.602375,102.752375,you,I,sv,u-23-2
sw3012B-ms98-a-0019,102.752375,102.852375,know,I,sv,u-23-2
sw3012B-ms98-a-0019,102.852375,103.002375,we,I,sv,u-23-2
sw3012B-ms98-a-0019,103.002375,103.282375,can,I,sv,u-23-2
sw3012B-ms98-a-0019,103.282375,103.753625,maybe,I,sv,u-23-2
sw3012B-ms98-a-0019,103.998375,104.412375,help,I,sv,u-23-2
sw3012B-ms98-a-0019,104.412375,104.622375,them,I,sv,u-23-2
sw3012B-ms98-a-0019,104.622375,104.672375,a,I,sv,u-23-2
sw3012B-ms98-a-0019,104.672375,105.052375,little,I,sv,u-23-2
sw3012B-ms98-a-0019,105.052375,105.382375,bit,I,sv,u-23-2
sw3012B-ms98-a-0019,105.382375,105.862375,prompt,I,sv,u-23-2
sw3012B-ms98-a-0019,105.862375,106.172375,them,I,sv,u-23-2
sw3012B-ms98-a-0019,106.172375,106.482375,but,B,sv,u-23-3
sw3012B-ms98-a-0019,106.482375,106.572375,i,I,sv,u-23-3
sw3012B-ms98-a-0019,106.572375,106.792375,don't,I,sv,u-23-3
sw3012B-ms98-a-0019,106.792375,106.973625,think,I,sv,u-23-3
sw3012B-ms98-a-0019,106.973625,107.224625,this,I,sv,u-23-3
sw3012B-ms98-a-0019,107.224625,108.079625,intervention,I,sv,u-23-3
sw3012B-ms98-a-0019,108.079625,108.292375,at,I,sv,u-23-3
sw3012B-ms98-a-0019,108.412375,108.652375,such,I,sv,u-23-3
sw3012B-ms98-a-0019,108.652375,109.012375,high,I,sv,u-23-3
sw3012B-ms98-a-0019,109.012375,109.572375,levels,I,sv,u-23-3
sw3012B-ms98-a-0020,110.065875,110.265875,should,I,sv,u-23-3
sw3012B-ms98-a-0020,110.265875,110.345875,be,I,sv,u-23-3
sw3012B-ms98-a-0020,110.345875,110.735875,going,I,sv,u-23-3
sw3012B-ms98-a-0020,110.735875,111.055875,on,I,sv,u-23-3
sw3012B-ms98-a-0020,111.055875,111.255875,the,B,sv,u-23-4
sw3012B-ms98-a-0020,111.255875,111.585875,the,I,sv,u-23-4
sw3012B-ms98-a-0020,111.585875,111.865875,thing,I,sv,u-23-4
sw3012B-ms98-a-0020,111.865875,112.014875,with,I,sv,u-23-4
sw3012B-ms98-a-0020,112.161750,112.655875,Israel,I,sv,u-23-4
sw3012B-ms98-a-0020,112.655875,112.755875,and,I,sv,u-23-4
sw3012B-ms98-a-0020,112.755875,113.739750,Palestine,I,sv,u-23-4
sw3012B-ms98-a-0020,114.002625,114.135875,i,I,sv,u-23-4
sw3012B-ms98-a-0020,114.135875,114.495875,believe,I,sv,u-23-4
sw3012B-ms98-a-0020,114.495875,114.655875,that,I,sv,u-23-4
sw3012B-ms98-a-0020,114.655875,114.835875,should,I,sv,u-23-4
sw3012B-ms98-a-0020,114.835875,114.935875,be,I,sv,u-23-4
sw3012B-ms98-a-0020,114.935875,115.275875,settled,I,sv,u-23-4
sw3012B-ms98-a-0020,115.275875,115.735875,between,I,sv,u-23-4
sw3012B-ms98-a-0020,115.735875,116.143250,them,I,sv,u-23-4
sw3012B-ms98-a-0020,116.481125,117.169500,and,B,sv,u-23-5
sw3012B-ms98-a-0020,117.169500,118.054125,also,I,sv,u-23-5
sw3012B-ms98-a-0020,118.510250,119.148500,um,I,sv,u-23-5
sw3012B-ms98-a-0020,119.438500,119.605875,you,I,sv,u-23-5
sw3012B-ms98-a-0020,119.605875,120.032250,know,I,sv,u-23-5
sw3012B-ms98-a-0021,121.651875,121.861875,the,I,sv,u-23-5
sw3012B-ms98-a-0021,121.861875,122.051875,other,I,sv,u-23-5
sw3012B-ms98-a-0021,122.051875,122.371875,thing,I,sv,u-23-5
sw3012B-ms98-a-0021,122.371875,122.718375,is,I,sv,u-23-5
sw3012B-ms98-a-0021,122.933250,123.392750,their,I,sv,u-23-5
sw3012B-ms98-a-0021,123.392750,124.151875,idea,I,sv,u-23-5
sw3012B-ms98-a-0021,124.151875,124.271875,or,I,sv,u-23-5
sw3012B-ms98-a-0021,124.271875,124.361875,our,I,sv,u-23-5
sw3012B-ms98-a-0021,124.361875,124.841875,id[ea]-,I,sv,u-23-5
sw3012B-ms98-a-0021,124.841875,125.301875,idea,I,sv,u-23-5
sw3012B-ms98-a-0021,125.301875,125.381875,of,I,sv,u-23-5
sw3012B-ms98-a-0021,125.381875,126.200375,democracy,I,sv,u-23-5
sw3012B-ms98-a-0021,126.659750,126.901875,has,I,sv,u-23-5
sw3012B-ms98-a-0021,126.901875,127.341875,nothing,I,sv,u-23-5
sw3012B-ms98-a-0021,127.341875,127.471875,to,I,sv,u-23-5
sw3012B-ms98-a-0021,127.471875,127.691875,do,I,sv,u-23-5
sw3012B-ms98-a-0021,127.691875,127.841875,with,I,sv,u-23-5
sw3012B-ms98-a-0021,127.841875,128.251875,them,I,sv,u-23-5
sw3012B-ms98-a-0022,128.543625,128.637375,i,B,sd,u-23-6
sw3012B-ms98-a-0022,128.637375,128.939500,mean,I,sd,u-23-6
sw3012B-ms98-a-0022,129.063625,129.423625,tha[t]-,I,sd,u-23-6
sw3012B-ms98-a-0022,129.423625,129.573625,i,I,sd,u-23-6
sw3012B-ms98-a-0022,129.573625,129.743625,mean,I,sd,u-23-6
sw3012B-ms98-a-0022,129.743625,129.803625,i'm,I,sd,u-23-6
sw3012B-ms98-a-0022,129.803625,130.013625,talking,I,sd,u-23-6
sw3012B-ms98-a-0022,130.013625,130.163625,about,I,sd,u-23-6
sw3012B-ms98-a-0022,130.163625,130.233625,the,I,sd,u-23-6
sw3012B-ms98-a-0022,130.233625,130.433625,whole,I,sd,u-23-6
sw3012B-ms98-a-0022,130.433625,130.723625,middle,I,sd,u-23-6
sw3012B-ms98-a-0022,130.723625,130.883625,ea[stern]-,O,,
sw3012B-ms98-a-0022,130.883625,131.213625,and,B,h,u-23-7
sw3012B-ms98-a-0022,131.213625,131.333625,and,I,h,u-23-7
sw3012B-ms98-a-0022,131.333625,131.593625,maybe,I,h,u-23-7
sw3012B-ms98-a-0022,131.593625,131.793625,this,I,h,u-23-7
sw3012B-ms98-a-0022,131.793625,131.883625,is,I,h,u-23-7
sw3012B-ms98-a-0022,131.883625,132.063625,too,I,h,u-23-7
sw3012B-ms98-a-0022,132.063625,132.533625,general,I,h,u-23-7
sw3012B-ms98-a-0022,132.533625,132.936125,but,B,sv,u-23-8
sw3012B-ms98-a-0022,133.233625,133.367500,i,I,sv,u-23-8
sw3012B-ms98-a-0022,133.367500,133.623625,just,I,sv,u-23-8
sw3012B-ms98-a-0022,133.623625,134.223625,believe,I,sv,u-23-8
sw3012B-ms98-a-0022,134.223625,134.663625,that,I,sv,u-23-8
sw3012B-ms98-a-0022,135.063625,135.533625,um,I,sv,u-23-8
sw3012B-ms98-a-0022,135.853625,136.183625,they,I,sv,u-23-8
sw3012B-ms98-a-0022,136.183625,136.303625,do,I,sv,u-23-8
sw3012B-ms98-a-0022,136.303625,136.733625,not,I,sv,u-23-8
sw3012B-ms98-a-0022,136.733625,136.953625,look,I,sv,u-23-8
sw3012B-ms98-a-0022,136.953625,137.103625,at,I,sv,u-23-8
sw3012B-ms98-a-0022,137.103625,137.713625,democracy,I,sv,u-23-8
sw3012B-ms98-a-0022,137.713625,137.793625,the,I,sv,u-23-8
sw3012B-ms98-a-0022,137.793625,138.103625,same,I,sv,u-23-8
sw3012B-ms98-a-0022,138.103625,138.253625,way,I,sv,u-23-8
sw3012B-ms98-a-0022,138.253625,138.513625,we,I,sv,u-23-8
sw3012B-ms98-a-0022,138.513625,138.893625,do,I,sv,u-23-8
sw3012B-ms98-a-0022,138.893625,139.033625,they,B,sv,u-23-9
sw3012B-ms98-a-0022,139.033625,139.243625,don't,I,sv,u-23-9
sw3012B-ms98-a-0022,139.243625,139.863625,understand,I,sv,u-23-9
sw3012B-ms98-a-0022,139.863625,139.983625,it,I,sv,u-23-9
sw3012B-ms98-a-0022,140.163625,140.463625,as,I,sv,u-23-9
sw3012B-ms98-a-0022,140.463625,140.643625,we,I,sv,u-23-9
sw3012B-ms98-a-0022,140.643625,140.883625,don't,I,sv,u-23-9
sw3012B-ms98-a-0022,140.883625,141.353625,understand,I,sv,u-23-9
sw3012B-ms98-a-0022,141.353625,141.413625,the,I,sv,u-23-9
sw3012B-ms98-a-0022,141.413625,141.593625,way,I,sv,u-23-9
sw3012B-ms98-a-0022,141.593625,141.813625,they,I,sv,u-23-9
sw3012B-ms98-a-0022,141.813625,142.110875,live,I,sv,u-23-9
sw3012B-ms98-a-0023,142.661625,143.190000,and,B,sv,u-25-1
sw3012B-ms98-a-0023,143.190000,143.690000,so,I,sv,u-25-1
