sw3332B-ms98-a-0003,2.573125,3.494625,sure,B,aa,u-2-1
sw3332B-ms98-a-0010,24.751250,24.911250,we,I,sd,u-16-1
sw3332B-ms98-a-0010,24.911250,25.321250,use,I,sd,u-16-1
sw3332B-ms98-a-0010,25.321250,25.681250,credit,I,sd,u-16-1
sw3332B-ms98-a-0010,25.681250,26.041250,cards,I,sd,u-16-1
sw3332B-ms98-a-0010,26.041250,26.601250,also,I,sd,u-16-1
sw3332B-ms98-a-0010,26.601250,26.761250,if,I,sd,u-16-1
sw3332B-ms98-a-0010,26.761250,26.991250,we,I,sd,u-16-1
sw3332B-ms98-a-0010,26.991250,27.241250,want,I,sd,u-16-1
sw3332B-ms98-a-0010,27.241250,27.331250,to,I,sd,u-16-1
sw3332B-ms98-a-0010,27.331250,27.501250,get,I,sd,u-16-1
sw3332B-ms98-a-0010,27.501250,27.631250,an,I,sd,u-16-1
sw3332B-ms98-a-0010,27.631250,28.131250,extended,I,sd,u-16-1
sw3332B-ms98-a-0010,28.131250,28.791250,warranty,I,sd,u-16-1
sw3332B-ms98-a-0010,28.791250,29.091000,on,I,sd,u-16-1
sw3332B-ms98-a-0010,29.486500,29.641250,on,I,sd,u-16-1
sw3332B-ms98-a-0010,29.641250,29.741250,an,I,sd,u-16-1
sw3332B-ms98-a-0010,29.741250,30.041250,item,I,sd,u-16-1
sw3332B-ms98-a-0010,30.041250,30.161250,that,I,sd,u-16-1
sw3332B-ms98-a-0010,30.161250,30.291250,we're,I,sd,u-16-1
sw3332B-ms98-a-0010,30.291250,30.981250,purchasing,I,sd,u-16-1
sw3332B-ms98-a-0010,30.981250,31.480875,so,B,%,u-16-2
sw3332B-ms98-a-0011,32.067000,32.714875,so,B,+,u-18-1
sw3332B-ms98-a-0012,33.490000,33.830000,yes,I,+,u-18-1
sw3332B-ms98-a-0012,33.830000,34.091875,and,B,sd,u-18-2
sw3332B-ms98-a-0012,34.091875,34.750000,basically,I,sd,u-18-2
sw3332B-ms98-a-0012,34.750000,34.870000,we,I,sd,u-18-2
sw3332B-ms98-a-0012,34.870000,35.070000,use,I,sd,u-18-2
sw3332B-ms98-a-0012,35.070000,35.160000,it,I,sd,u-18-2
sw3332B-ms98-a-0012,35.160000,35.520000,mainly,I,sd,u-18-2
sw3332B-ms98-a-0012,35.520000,35.700000,when,I,sd,u-18-2
sw3332B-ms98-a-0012,35.700000,35.830000,we're,I,sd,u-18-2
sw3332B-ms98-a-0012,35.830000,36.480000,traveling,I,sd,u-18-2
sw3332B-ms98-a-0012,36.480000,36.590000,or,B,+,u-20-1
sw3332B-ms98-a-0012,36.590000,36.730000,out,I,+,u-20-1
sw3332B-ms98-a-0012,36.730000,36.800000,of,I,+,u-20-1
sw3332B-ms98-a-0012,36.800000,37.250000,state,I,+,u-20-1
sw3332B-ms98-a-0012,37.590000,38.053125,or,I,+,u-20-1
sw3332B-ms98-a-0012,38.053125,38.260000,or,B,+,u-22-1
sw3332B-ms98-a-0012,38.260000,38.860000,somewhere,I,+,u-22-1
sw3332B-ms98-a-0012,38.860000,39.136875,where,I,+,u-22-1
sw3332B-ms98-a-0012,39.732000,39.820000,you,I,+,u-22-1
sw3332B-ms98-a-0012,39.820000,39.960000,know,I,+,u-22-1
sw3332B-ms98-a-0012,39.960000,40.370000,they,I,+,u-22-1
sw3332B-ms98-a-0012,40.720250,41.020000,don't,I,+,u-22-1
sw3332B-ms98-a-0012,41.020000,41.610250,take,I,+,u-22-1
sw3332B-ms98-a-0012,41.880000,42.518250,local,I,+,u-22-1
sw3332B-ms98-a-0012,43.041750,43.170000,they,I,+,u-22-1
sw3332B-ms98-a-0012,43.170000,43.350000,don't,I,+,u-22-1
sw3332B-ms98-a-0012,43.350000,43.590000,take,I,+,u-22-1
sw3332B-ms98-a-0012,43.590000,43.700000,out,I,+,u-22-1
sw3332B-ms98-a-0012,43.700000,43.770000,of,I,+,u-22-1
sw3332B-ms98-a-0012,43.770000,44.080000,state,I,+,u-22-1
sw3332B-ms98-a-0012,44.080000,44.670000,checks,I,+,u-22-1
sw3332B-ms98-a-0013,45.491750,45.761750,and,B,sd,u-24-1
sw3332B-ms98-a-0013,45.761750,45.991750,so,I,sd,u-24-1
sw3332B-ms98-a-0013,45.991750,46.141750,when,I,sd,u-24-1
sw3332B-ms98-a-0013,46.141750,46.291750,we're,I,sd,u-24-1
sw3332B-ms98-a-0013,46.291750,47.021375,traveling,I,sd,u-24-1
sw3332B-ms98-a-0013,47.202250,47.711750,some,I,sd,u-24-1
sw3332B-ms98-a-0013,47.711750,47.831750,do,B,qy,u-24-2
sw3332B-ms98-a-0013,47.831750,47.891750,you,I,qy,u-24-2
sw3332B-ms98-a-0013,47.891750,48.061750,use,I,qy,u-24-2
sw3332B-ms98-a-0013,48.061750,48.351750,credit,I,qy,u-24-2
sw3332B-ms98-a-0013,48.351750,48.691750,cards,I,qy,u-24-2
sw3332B-ms98-a-0013,48.691750,49.121750,often,I,qy,u-24-2
sw3332B-ms98-a-0015,50.635250,52.348875,[laughter],O,,
sw3332B-ms98-a-0017,60.300000,60.690000,uh-huh,B,b,u-28-1
sw3332B-ms98-a-0019,64.174250,64.451250,oh,B,b,u-30-1
sw3332B-ms98-a-0019,64.451250,64.621250,yeah,I,b,u-30-1
sw3332B-ms98-a-0019,64.621250,64.963750,well,B,sv,u-30-2
sw3332B-ms98-a-0019,65.280125,65.501250,that's,B,+,u-32-1
sw3332B-ms98-a-0019,65.501250,65.791250,that's,I,+,u-32-1
sw3332B-ms98-a-0019,65.791250,65.891250,a,I,+,u-32-1
sw3332B-ms98-a-0019,65.891250,66.091250,good,I,+,u-32-1
sw3332B-ms98-a-0019,66.091250,66.371250,thing,I,+,u-32-1
sw3332B-ms98-a-0019,66.371250,66.711250,because,I,+,u-32-1
sw3332B-ms98-a-0019,66.711250,66.891250,lot,I,+,u-32-1
sw3332B-ms98-a-0019,66.891250,66.981250,of,I,+,u-32-1
sw3332B-ms98-a-0019,66.981250,67.511250,people,I,+,u-32-1
sw3332B-ms98-a-0019,67.511250,67.872875,don't,I,+,u-32-1
sw3332B-ms98-a-0019,68.057500,68.221250,pay,I,+,u-32-1
sw3332B-ms98-a-0019,68.221250,68.331250,at,I,+,u-32-1
sw3332B-ms98-a-0019,68.331250,68.391250,the,I,+,u-32-1
sw3332B-ms98-a-0019,68.391250,68.531250,end,I,+,u-32-1
sw3332B-ms98-a-0019,68.531250,68.621250,of,I,+,u-32-1
sw3332B-ms98-a-0019,68.621250,68.681250,the,I,+,u-32-1
sw3332B-ms98-a-0019,68.681250,69.011250,month,I,+,u-32-1
sw3332B-ms98-a-0019,69.011250,69.141250,and,B,sd,u-34-1
sw3332B-ms98-a-0019,69.141250,69.251250,they,I,sd,u-34-1
sw3332B-ms98-a-0019,69.251250,69.451250,just,I,sd,u-34-1
sw3332B-ms98-a-0019,69.451250,69.651250,pay,I,sd,u-34-1
sw3332B-ms98-a-0019,69.651250,69.731250,the,I,sd,u-34-1
sw3332B-ms98-a-0019,69.731250,70.261250,minimum,I,sd,u-34-1
sw3332B-ms98-a-0019,70.261250,70.881250,required,I,sd,u-34-1
sw3332B-ms98-a-0019,70.881250,71.443000,balance,I,sd,u-34-1
sw3332B-ms98-a-0021,73.149375,73.649375,yes,B,aa,u-36-1
sw3332B-ms98-a-0021,73.649375,73.968750,and,B,sv,u-36-2
sw3332B-ms98-a-0021,73.968750,74.199375,you,I,sv,u-36-2
sw3332B-ms98-a-0021,74.199375,74.369375,get,I,sv,u-36-2
sw3332B-ms98-a-0021,74.369375,74.539375,in,I,sv,u-36-2
sw3332B-ms98-a-0021,74.539375,74.769375,over,I,sv,u-36-2
sw3332B-ms98-a-0021,74.769375,74.959375,your,I,sv,u-36-2
sw3332B-ms98-a-0021,74.959375,75.345000,head,I,sv,u-36-2
sw3332B-ms98-a-0023,77.048000,77.348000,it'll,B,%,u-38-1
sw3332B-ms98-a-0023,77.348000,77.468000,uh,I,%,u-38-1
sw3332B-ms98-a-0023,77.468000,77.718000,some,B,sd,u-38-2
sw3332B-ms98-a-0023,77.718000,78.068000,people,I,sd,u-38-2
sw3332B-ms98-a-0023,78.068000,78.128000,i,I,sd,u-38-2
sw3332B-ms98-a-0023,78.128000,78.378000,know,I,sd,u-38-2
sw3332B-ms98-a-0023,78.378000,78.738000,also,I,sd,u-38-2
sw3332B-ms98-a-0023,78.738000,78.988000,try,I,sd,u-38-2
sw3332B-ms98-a-0023,78.988000,79.058000,to,I,sd,u-38-2
sw3332B-ms98-a-0023,79.058000,79.328000,use,I,sd,u-38-2
sw3332B-ms98-a-0023,79.328000,79.478000,it,I,sd,u-38-2
sw3332B-ms98-a-0023,79.478000,79.678000,as,I,sd,u-38-2
sw3332B-ms98-a-0023,79.678000,80.398125,float,I,sd,u-38-2
sw3332B-ms98-a-0024,81.374750,81.714750,where,B,+,u-40-1
sw3332B-ms98-a-0024,81.714750,82.224500,they,I,+,u-40-1
sw3332B-ms98-a-0024,82.620000,82.954750,buy,I,+,u-40-1
sw3332B-ms98-a-0024,82.954750,83.474750,something,I,+,u-40-1
sw3332B-ms98-a-0024,83.474750,83.804750,now,I,+,u-40-1
sw3332B-ms98-a-0024,83.804750,83.924750,and,B,sd(^q),u-40-2
sw3332B-ms98-a-0024,83.924750,84.194750,say,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,84.194750,84.584750,well,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,84.584750,84.674750,i'm,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,84.674750,84.794750,going,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,84.794750,85.124750,to,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,85.124750,85.294750,buy,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,85.294750,85.544750,this,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,85.544750,85.724750,when,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,85.724750,86.084750,it's,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,86.084750,86.364750,good,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,86.364750,86.484750,and,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,86.484750,86.714750,on,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,86.714750,87.234750,sale,I,sd(^q),u-40-2
sw3332B-ms98-a-0024,87.234750,87.414750,and,B,^q,u-40-3
sw3332B-ms98-a-0024,87.414750,87.594750,then,I,^q,u-40-3
sw3332B-ms98-a-0024,87.594750,87.684750,i,I,^q,u-40-3
sw3332B-ms98-a-0024,87.684750,87.974375,can,I,^q,u-40-3
sw3332B-ms98-a-0024,88.497875,88.684750,go,B,+,u-42-1
sw3332B-ms98-a-0024,88.684750,89.054750,ahead,I,+,u-42-1
sw3332B-ms98-a-0024,89.054750,89.432250,and,I,+,u-42-1
sw3332B-ms98-a-0024,89.684625,89.894750,pay,I,+,u-42-1
sw3332B-ms98-a-0024,89.894750,90.304750,for,I,+,u-42-1
sw3332B-ms98-a-0024,90.304750,90.414750,it,I,+,u-42-1
sw3332B-ms98-a-0024,90.686000,90.864750,when,I,+,u-42-1
sw3332B-ms98-a-0024,90.864750,90.944750,i,I,+,u-42-1
sw3332B-ms98-a-0024,90.944750,91.104750,get,I,+,u-42-1
sw3332B-ms98-a-0024,91.104750,91.254750,my,I,+,u-42-1
sw3332B-ms98-a-0024,91.254750,91.604750,check,I,+,u-42-1
sw3332B-ms98-a-0024,91.604750,91.674750,at,I,+,u-42-1
sw3332B-ms98-a-0024,91.674750,91.734750,the,I,+,u-42-1
sw3332B-ms98-a-0024,91.734750,91.894750,end,I,+,u-42-1
sw3332B-ms98-a-0024,91.894750,91.964750,of,I,+,u-42-1
sw3332B-ms98-a-0024,91.964750,92.024750,the,I,+,u-42-1
sw3332B-ms98-a-0024,92.024750,92.314750,month,I,+,u-42-1
sw3332B-ms98-a-0024,92.314750,92.414750,when,B,^q,u-42-2
sw3332B-ms98-a-0024,92.414750,92.514750,i'm,I,^q,u-42-2
sw3332B-ms98-a-0024,92.514750,92.754750,being,I,^q,u-42-2
sw3332B-ms98-a-0024,92.754750,93.194750,paid,I,^q,u-42-2
sw3332B-ms98-a-0026,97.295250,97.535250,that's,B,aa,u-44-1
sw3332B-ms98-a-0026,97.535250,97.990000,true,I,aa,u-44-1
sw3332B-ms98-a-0028,102.238500,102.676750,um-hum,B,b,u-46-1
sw3332B-ms98-a-0029,104.076250,104.515375,right,B,aa,u-48-1
sw3332B-ms98-a-0031,106.009875,106.199875,how,B,qo,u-48-2
sw3332B-ms98-a-0031,106.199875,106.409875,we[ll]-,I,qo,u-48-2
sw3332B-ms98-a-0031,106.409875,106.679875,how,I,qo,u-48-2
sw3332B-ms98-a-0031,106.679875,106.799875,are,I,qo,u-48-2
sw3332B-ms98-a-0031,106.799875,107.219875,the,I,qo,u-48-2
sw3332B-ms98-a-0031,107.219875,107.569875,laws,I,qo,u-48-2
sw3332B-ms98-a-0031,107.569875,107.699875,in,I,qo,u-48-2
sw3332B-ms98-a-0031,107.699875,108.672125,Pennsylvania,I,qo,u-48-2
sw3332B-ms98-a-0031,108.901500,109.239875,uh,I,qo,u-48-2
sw3332B-ms98-a-0031,109.239875,109.879875,as,I,qo,u-48-2
sw3332B-ms98-a-0031,109.879875,110.169875,as,I,qo,u-48-2
sw3332B-ms98-a-0031,110.169875,110.789875,regard,I,qo,u-48-2
sw3332B-ms98-a-0031,110.789875,110.889875,well,I,qo,u-48-2
sw3332B-ms98-a-0031,110.889875,111.069875,not,I,qo,u-48-2
sw3332B-ms98-a-0031,111.069875,111.149875,the,I,qo,u-48-2
sw3332B-ms98-a-0031,111.149875,111.459875,laws,I,qo,u-48-2
sw3332B-ms98-a-0031,111.459875,111.589875,but,I,qo,u-48-2
sw3332B-ms98-a-0031,111.589875,111.689875,the,I,qo,u-48-2
sw3332B-ms98-a-0031,111.689875,112.109875,rates,I,qo,u-48-2
sw3332B-ms98-a-0032,112.471125,112.741125,credit,I,qo,u-48-2
sw3332B-ms98-a-0032,112.741125,113.011125,card,I,qo,u-48-2
sw3332B-ms98-a-0032,113.011125,113.291125,rates,I,qo,u-48-2
sw3332B-ms98-a-0032,113.291125,113.381125,in,I,qo,u-48-2
sw3332B-ms98-a-0032,113.381125,114.191125,Pennsylvania,I,qo,u-48-2
sw3332B-ms98-a-0032,114.191125,114.421125,for,B,sd,u-48-3
sw3332B-ms98-a-0032,114.421125,114.811125,example,I,sd,u-48-3
sw3332B-ms98-a-0032,114.811125,115.111125,down,I,sd,u-48-3
sw3332B-ms98-a-0032,115.111125,115.699750,here,I,sd,u-48-3
sw3332B-ms98-a-0032,116.083875,116.171125,when,I,sd,u-48-3
sw3332B-ms98-a-0032,116.171125,116.261125,you,I,sd,u-48-3
sw3332B-ms98-a-0032,116.261125,116.361125,go,I,sd,u-48-3
sw3332B-ms98-a-0032,116.361125,116.561125,to,I,sd,u-48-3
sw3332B-ms98-a-0032,116.561125,116.771125,a,I,sd,u-48-3
sw3332B-ms98-a-0032,116.771125,117.101125,gas,I,sd,u-48-3
sw3332B-ms98-a-0032,117.101125,117.801125,station,I,sd,u-48-3
sw3332B-ms98-a-0033,118.528875,119.068875,you,B,+,u-50-1
sw3332B-ms98-a-0033,119.068875,119.258875,get,I,+,u-50-1
sw3332B-ms98-a-0033,119.258875,119.378875,an,I,+,u-50-1
sw3332B-ms98-a-0033,119.378875,119.728875,extra,I,+,u-50-1
sw3332B-ms98-a-0033,119.728875,120.238875,charge,I,+,u-50-1
sw3332B-ms98-a-0033,120.238875,120.398875,for,I,+,u-50-1
sw3332B-ms98-a-0033,120.398875,120.908875,credit,I,+,u-50-1
sw3332B-ms98-a-0033,120.908875,121.560000,cards,I,+,u-50-1
sw3332B-ms98-a-0034,122.037625,122.227625,than,B,+,u-52-1
sw3332B-ms98-a-0034,122.227625,122.347625,you,I,+,u-52-1
sw3332B-ms98-a-0034,122.347625,122.647625,would,I,+,u-52-1
sw3332B-ms98-a-0034,122.867625,123.037625,by,I,+,u-52-1
sw3332B-ms98-a-0034,123.037625,123.387625,paying,I,+,u-52-1
sw3332B-ms98-a-0034,123.387625,123.537625,for,I,+,u-52-1
sw3332B-ms98-a-0034,123.537625,124.047625,cash,I,+,u-52-1
sw3332B-ms98-a-0034,124.047625,124.107625,are,B,qy,u-52-2
sw3332B-ms98-a-0034,124.107625,124.287625,they,I,qy,u-52-2
sw3332B-ms98-a-0034,124.287625,124.377625,the,I,qy,u-52-2
sw3332B-ms98-a-0034,124.377625,124.737625,same,I,qy,u-52-2
sw3332B-ms98-a-0034,124.737625,125.063625,there,I,qy,u-52-2
sw3332B-ms98-a-0036,129.220500,130.010500,[laughter],O,,
sw3332B-ms98-a-0038,136.305375,136.595375,that's,B,ba,u-56-1
sw3332B-ms98-a-0038,136.595375,136.905375,pretty,I,ba,u-56-1
sw3332B-ms98-a-0038,136.905375,137.468000,steep,I,ba,u-56-1
sw3332B-ms98-a-0040,143.845000,144.395000,yes,B,b,u-58-1
sw3332B-ms98-a-0042,147.189750,147.610625,um-hum,B,b,u-60-1
sw3332B-ms98-a-0042,148.100000,148.479250,um-hum,B,b^r,u-60-2
sw3332B-ms98-a-0044,155.085125,155.795125,yes,B,aa,u-62-1
sw3332B-ms98-a-0044,155.795125,156.145125,because,B,sd,u-62-2
sw3332B-ms98-a-0044,156.145125,156.225125,you,I,sd,u-62-2
sw3332B-ms98-a-0044,156.225125,156.415125,make,I,sd,u-62-2
sw3332B-ms98-a-0044,156.415125,156.495125,the,I,sd,u-62-2
sw3332B-ms98-a-0044,156.495125,157.055125,deduction,I,sd,u-62-2
sw3332B-ms98-a-0044,157.055125,157.165125,at,I,sd,u-62-2
sw3332B-ms98-a-0044,157.165125,157.365125,the,I,sd,u-62-2
sw3332B-ms98-a-0044,157.365125,157.585125,time,I,sd,u-62-2
sw3332B-ms98-a-0044,157.585125,157.665125,of,I,sd,u-62-2
sw3332B-ms98-a-0044,157.665125,157.725125,the,I,sd,u-62-2
sw3332B-ms98-a-0044,157.725125,158.245125,purchase,I,sd,u-62-2
sw3332B-ms98-a-0044,158.245125,158.525125,and,B,qy,u-62-3
sw3332B-ms98-a-0044,158.525125,158.815125,and,I,qy,u-62-3
sw3332B-ms98-a-0044,158.815125,159.045125,so,I,qy,u-62-3
sw3332B-ms98-a-0044,159.045125,159.349500,that,I,qy,u-62-3
sw3332B-ms98-a-0044,159.349500,159.525125,the,B,+,u-64-1
sw3332B-ms98-a-0044,159.525125,159.645125,end,I,+,u-64-1
sw3332B-ms98-a-0044,159.645125,159.705125,of,I,+,u-64-1
sw3332B-ms98-a-0044,159.705125,159.765125,the,I,+,u-64-1
sw3332B-ms98-a-0044,159.765125,160.135125,month,I,+,u-64-1
sw3332B-ms98-a-0044,160.135125,160.315125,or,I,+,u-64-1
sw3332B-ms98-a-0044,160.315125,160.505125,when,I,+,u-64-1
sw3332B-ms98-a-0044,160.505125,160.615125,you,I,+,u-64-1
sw3332B-ms98-a-0044,160.615125,160.725125,get,I,+,u-64-1
sw3332B-ms98-a-0044,160.725125,160.825125,your,I,+,u-64-1
sw3332B-ms98-a-0044,160.825125,161.135125,credit,I,+,u-64-1
sw3332B-ms98-a-0044,161.135125,161.395125,card,I,+,u-64-1
sw3332B-ms98-a-0044,161.395125,161.675125,bill,I,+,u-64-1
sw3332B-ms98-a-0045,162.328375,162.398375,are,B,+,u-66-1
sw3332B-ms98-a-0045,162.398375,162.508375,you,I,+,u-66-1
sw3332B-ms98-a-0045,162.508375,162.808375,saying,I,+,u-66-1
sw3332B-ms98-a-0045,162.808375,162.924875,that,I,+,u-66-1
sw3332B-ms98-a-0045,163.185625,163.468375,that,I,+,u-66-1
sw3332B-ms98-a-0045,163.468375,163.608375,way,I,+,u-66-1
sw3332B-ms98-a-0045,163.608375,163.968375,you're,I,+,u-66-1
sw3332B-ms98-a-0045,163.968375,164.008375,s[tranded]-,I,+,u-66-1
sw3332B-ms98-a-0045,164.008375,164.278375,not,I,+,u-66-1
sw3332B-ms98-a-0045,164.538375,164.788375,left,I,+,u-66-1
sw3332B-ms98-a-0045,164.788375,165.381000,stranded,I,+,u-66-1
sw3332B-ms98-a-0045,165.712375,165.978375,and,B,+,u-68-1
sw3332B-ms98-a-0045,165.978375,166.108375,high,I,+,u-68-1
sw3332B-ms98-a-0045,166.108375,166.298375,and,I,+,u-68-1
sw3332B-ms98-a-0045,166.298375,166.645500,dry,I,+,u-68-1
sw3332B-ms98-a-0045,166.645500,167.542000,[laughter],O,,
sw3332B-ms98-a-0045,167.542000,167.868375,very,B,ba,u-70-1
sw3332B-ms98-a-0045,167.868375,168.118375,good,I,ba,u-70-1
sw3332B-ms98-a-0045,168.118375,168.321000,you're,B,sd,u-70-2
sw3332B-ms98-a-0045,168.584625,168.748375,you're,I,sd,u-70-2
sw3332B-ms98-a-0045,168.748375,168.928375,one,I,sd,u-70-2
sw3332B-ms98-a-0045,168.928375,169.028375,of,I,sd,u-70-2
sw3332B-ms98-a-0045,169.028375,169.358375,the,I,sd,u-70-2
sw3332B-ms98-a-0045,169.358375,169.508375,the,I,sd,u-70-2
sw3332B-ms98-a-0045,169.508375,169.783875,good,I,sd,u-70-2
sw3332B-ms98-a-0045,170.194375,170.518375,i,I,sd,u-70-2
sw3332B-ms98-a-0045,170.518375,171.129875,guess,I,sd,u-70-2
sw3332B-ms98-a-0045,171.129875,171.488375,good,I,sd,u-70-2
sw3332B-ms98-a-0046,172.232250,172.779000,faithful,I,sd,u-70-2
sw3332B-ms98-a-0046,172.779000,173.399000,shoppers,I,sd,u-70-2
sw3332B-ms98-a-0046,173.399000,173.559000,that,I,sd,u-70-2
sw3332B-ms98-a-0046,173.979000,174.159000,don't,I,sd,u-70-2
sw3332B-ms98-a-0046,174.159000,174.309000,get,I,sd,u-70-2
sw3332B-ms98-a-0046,174.309000,174.649000,into,I,sd,u-70-2
sw3332B-ms98-a-0046,174.649000,174.719000,a,I,sd,u-70-2
sw3332B-ms98-a-0046,174.719000,175.079000,problem,I,sd,u-70-2
sw3332B-ms98-a-0046,175.079000,175.239000,when,I,sd,u-70-2
sw3332B-ms98-a-0046,175.239000,175.379000,it,I,sd,u-70-2
sw3332B-ms98-a-0046,175.379000,175.659000,comes,I,sd,u-70-2
sw3332B-ms98-a-0046,175.659000,175.829000,to,I,sd,u-70-2
sw3332B-ms98-a-0046,175.829000,176.249000,budgeting,I,sd,u-70-2
sw3332B-ms98-a-0046,176.249000,176.369000,their,I,sd,u-70-2
sw3332B-ms98-a-0046,176.369000,176.709000,money,I,sd,u-70-2
sw3332B-ms98-a-0048,181.713000,182.098625,um-hum,B,b,u-72-1
sw3332B-ms98-a-0050,184.536875,184.687625,well,B,b,u-74-1
sw3332B-ms98-a-0050,184.687625,185.087625,yeah,I,b,u-74-1
sw3332B-ms98-a-0050,185.087625,185.307625,well,B,sv,u-74-2
sw3332B-ms98-a-0050,185.807625,185.937625,i,I,sv,u-74-2
sw3332B-ms98-a-0050,185.937625,186.147625,see,I,sv,u-74-2
sw3332B-ms98-a-0050,186.147625,186.337625,that,I,sv,u-74-2
sw3332B-ms98-a-0050,186.337625,186.507625,as,I,sv,u-74-2
sw3332B-ms98-a-0050,186.507625,186.637625,an,I,sv,u-74-2
sw3332B-ms98-a-0050,186.637625,187.297625,advantage,I,sv,u-74-2
sw3332B-ms98-a-0050,187.297625,187.427625,to,I,sv,u-74-2
