sw2051B-ms98-a-0002,4.965875,5.350125,right,B,aa,u-2-1
sw2051B-ms98-a-0013,32.954875,33.304875,south,I,sd,u-14-1
sw2051B-ms98-a-0013,33.304875,33.474875,of,I,sd,u-14-1
sw2051B-ms98-a-0013,33.474875,33.578750,it,I,sd,u-14-1
sw2051B-ms98-a-0015,48.087500,48.334875,well,B,sd,u-16-1
sw2051B-ms98-a-0015,48.334875,48.556625,you,I,sd,u-16-1
sw2051B-ms98-a-0015,48.556625,48.877500,know,I,sd,u-16-1
sw2051B-ms98-a-0017,50.748125,51.038125,i've,I,sd,u-16-1
sw2051B-ms98-a-0017,51.038125,51.218125,i've,I,sd,u-16-1
sw2051B-ms98-a-0017,51.218125,51.508125,seen,I,sd,u-16-1
sw2051B-ms98-a-0017,51.508125,51.759375,those,I,sd,u-16-1
sw2051B-ms98-a-0017,52.087125,52.798125,statistics,I,sd,u-16-1
sw2051B-ms98-a-0017,52.798125,52.888125,and,I,sd,u-16-1
sw2051B-ms98-a-0017,52.888125,53.441250,everything,I,sd,u-16-1
sw2051B-ms98-a-0018,54.349375,54.424125,and,B,sv,u-16-2
sw2051B-ms98-a-0018,54.424125,54.484125,you,I,sv,u-16-2
sw2051B-ms98-a-0018,54.484125,54.564125,know,I,sv,u-16-2
sw2051B-ms98-a-0018,54.564125,54.694125,what,I,sv,u-16-2
sw2051B-ms98-a-0018,54.694125,55.184125,frightens,I,sv,u-16-2
sw2051B-ms98-a-0018,55.184125,55.499250,me,I,sv,u-16-2
sw2051B-ms98-a-0019,56.512750,56.762750,is,I,sv,u-16-2
sw2051B-ms98-a-0019,56.762750,57.025250,that,I,sv,u-16-2
sw2051B-ms98-a-0019,57.329375,57.442375,you,I,sv,u-16-2
sw2051B-ms98-a-0019,57.442375,57.642750,put,I,sv,u-16-2
sw2051B-ms98-a-0019,57.642750,57.722750,a,I,sv,u-16-2
sw2051B-ms98-a-0019,57.722750,58.062750,half,I,sv,u-16-2
sw2051B-ms98-a-0019,58.062750,58.102750,a,I,sv,u-16-2
sw2051B-ms98-a-0019,58.102750,58.412750,million,I,sv,u-16-2
sw2051B-ms98-a-0019,58.412750,58.772750,people,I,sv,u-16-2
sw2051B-ms98-a-0019,58.772750,58.882750,out,I,sv,u-16-2
sw2051B-ms98-a-0019,58.882750,58.942750,in,I,sv,u-16-2
sw2051B-ms98-a-0019,58.942750,59.002750,the,I,sv,u-16-2
sw2051B-ms98-a-0019,59.002750,59.202750,middle,I,sv,u-16-2
sw2051B-ms98-a-0019,59.202750,59.312750,of,I,sv,u-16-2
sw2051B-ms98-a-0019,59.312750,59.372750,the,I,sv,u-16-2
sw2051B-ms98-a-0019,59.372750,59.925500,desert,I,sv,u-16-2
sw2051B-ms98-a-0020,60.824625,61.404375,with,B,+,u-18-1
sw2051B-ms98-a-0020,61.551250,61.855500,high,I,+,u-18-1
sw2051B-ms98-a-0020,61.855500,62.114000,tech,I,+,u-18-1
sw2051B-ms98-a-0020,62.114000,62.766625,weaponry,I,+,u-18-1
sw2051B-ms98-a-0022,64.338750,64.429000,you,I,+,u-18-1
sw2051B-ms98-a-0022,64.429000,64.569000,know,I,+,u-18-1
sw2051B-ms98-a-0022,64.569000,64.634375,i,B,sd,u-18-2
sw2051B-ms98-a-0022,64.634375,64.979250,mean,I,sd,u-18-2
sw2051B-ms98-a-0023,65.674375,65.790125,the,I,sd,u-18-2
sw2051B-ms98-a-0023,65.790125,66.220000,Iraqis,I,sd,u-18-2
sw2051B-ms98-a-0023,66.220000,66.430000,didn't,I,sd,u-18-2
sw2051B-ms98-a-0023,66.430000,66.580000,have,I,sd,u-18-2
sw2051B-ms98-a-0023,66.580000,66.670000,a,I,sd,u-18-2
sw2051B-ms98-a-0023,66.670000,66.980000,lot,I,sd,u-18-2
sw2051B-ms98-a-0023,66.980000,67.050000,of,I,sd,u-18-2
sw2051B-ms98-a-0023,67.050000,67.490000,high-tech,I,sd,u-18-2
sw2051B-ms98-a-0023,67.490000,67.950000,weaponry,I,sd,u-18-2
sw2051B-ms98-a-0023,67.950000,68.130000,but,B,sd,u-18-3
sw2051B-ms98-a-0023,68.130000,68.260000,they,I,sd,u-18-3
sw2051B-ms98-a-0023,68.260000,68.420000,had,I,sd,u-18-3
sw2051B-ms98-a-0023,68.420000,69.080000,mortars,I,sd,u-18-3
sw2051B-ms98-a-0023,69.080000,69.270000,and,I,sd,u-18-3
sw2051B-ms98-a-0023,69.270000,69.640000,machine,I,sd,u-18-3
sw2051B-ms98-a-0023,69.640000,70.330000,guns,I,sd,u-18-3
sw2051B-ms98-a-0023,70.330000,70.690000,tanks,B,+,u-20-1
sw2051B-ms98-a-0023,70.690000,70.780000,and,I,+,u-20-1
sw2051B-ms98-a-0023,70.780000,70.960000,all,I,+,u-20-1
sw2051B-ms98-a-0023,70.960000,71.205500,that,I,+,u-20-1
sw2051B-ms98-a-0024,71.904250,72.060875,and,B,sd,u-22-1
sw2051B-ms98-a-0024,72.060875,72.210875,they,I,sd,u-22-1
sw2051B-ms98-a-0024,72.210875,72.530875,didn't,I,sd,u-22-1
sw2051B-ms98-a-0024,72.530875,72.730875,kill,I,sd,u-22-1
sw2051B-ms98-a-0024,72.730875,72.840875,as,I,sd,u-22-1
sw2051B-ms98-a-0024,72.840875,73.110875,many,I,sd,u-22-1
sw2051B-ms98-a-0024,73.110875,73.570875,people,I,sd,u-22-1
sw2051B-ms98-a-0024,73.570875,73.745250,in,I,sd,u-22-1
sw2051B-ms98-a-0025,74.822250,75.039125,in,I,sd,u-22-1
sw2051B-ms98-a-0025,75.039125,75.369125,forty,I,sd,u-22-1
sw2051B-ms98-a-0025,75.369125,75.699125,five,I,sd,u-22-1
sw2051B-ms98-a-0025,75.699125,76.301250,days,I,sd,u-22-1
sw2051B-ms98-a-0026,77.564875,77.654875,and,B,sd,u-22-2
sw2051B-ms98-a-0026,77.654875,77.744875,they,I,sd,u-22-2
sw2051B-ms98-a-0026,77.744875,77.894875,were,I,sd,u-22-2
sw2051B-ms98-a-0026,77.894875,78.394875,intending,I,sd,u-22-2
sw2051B-ms98-a-0026,78.394875,78.494875,to,I,sd,u-22-2
sw2051B-ms98-a-0026,78.494875,78.724875,kill,I,sd,u-22-2
sw2051B-ms98-a-0026,78.724875,79.094875,people,I,sd,u-22-2
sw2051B-ms98-a-0026,79.094875,79.134875,i,B,sv,u-24-1
sw2051B-ms98-a-0026,79.134875,79.254875,mean,I,sv,u-24-1
sw2051B-ms98-a-0026,79.254875,79.364875,that,I,sv,u-24-1
sw2051B-ms98-a-0026,79.364875,79.474875,was,I,sv,u-24-1
sw2051B-ms98-a-0026,79.474875,79.634875,their,I,sv,u-24-1
sw2051B-ms98-a-0026,79.634875,80.060500,job,I,sv,u-24-1
sw2051B-ms98-a-0027,80.702250,80.877125,as,I,sv,u-24-1
sw2051B-ms98-a-0027,80.877125,81.027125,they,I,sv,u-24-1
sw2051B-ms98-a-0027,81.027125,81.437125,killed,I,sv,u-24-1
sw2051B-ms98-a-0027,81.437125,81.857125,in,I,sv,u-24-1
sw2051B-ms98-a-0027,81.857125,82.417125,Washington,I,sv,u-24-1
sw2051B-ms98-a-0027,82.417125,82.857625,DC,O,,
sw2051B-ms98-a-0029,95.362875,95.632375,well,B,sd,u-26-1
sw2051B-ms98-a-0030,96.601500,96.764750,i,I,sd,u-26-1
sw2051B-ms98-a-0030,96.764750,97.467250,formulated,I,sd,u-26-1
sw2051B-ms98-a-0030,97.467250,97.610375,a,I,sd,u-26-1
sw2051B-ms98-a-0030,97.610375,97.789500,pretty,I,sd,u-26-1
sw2051B-ms98-a-0030,97.789500,98.309500,radical,I,sd,u-26-1
sw2051B-ms98-a-0030,98.309500,98.906625,theory,I,sd,u-26-1
sw2051B-ms98-a-0031,100.157000,100.616875,over,I,sd,u-26-1
sw2051B-ms98-a-0031,101.162750,101.257000,the,I,sd,u-26-1
sw2051B-ms98-a-0031,101.257000,101.547625,last,I,sd,u-26-1
sw2051B-ms98-a-0031,101.547625,101.817625,ten,I,sd,u-26-1
sw2051B-ms98-a-0031,101.817625,102.157625,years,I,sd,u-26-1
sw2051B-ms98-a-0031,102.157625,102.301500,i,I,sd,u-26-1
sw2051B-ms98-a-0031,102.301500,102.691500,guess,I,sd,u-26-1
sw2051B-ms98-a-0032,103.973375,104.365000,and,B,sv,u-26-2
sw2051B-ms98-a-0033,105.246125,105.439625,i've,I,sv,u-26-2
sw2051B-ms98-a-0033,105.439625,105.679625,come,I,sv,u-26-2
sw2051B-ms98-a-0033,105.679625,105.739625,to,I,sv,u-26-2
sw2051B-ms98-a-0033,105.739625,105.910500,the,I,sv,u-26-2
sw2051B-ms98-a-0033,105.910500,106.703250,conclusion,I,sv,u-26-2
sw2051B-ms98-a-0035,108.298250,108.418250,and,I,sv,u-26-2
sw2051B-ms98-a-0035,108.418250,108.638250,this,I,sv,u-26-2
sw2051B-ms98-a-0035,108.638250,108.747000,is,I,sv,u-26-2
sw2051B-ms98-a-0035,108.747000,108.936250,[vocalized-noise],I,sv,u-26-2
sw2051B-ms98-a-0037,110.697250,110.727875,a,I,sv,u-26-2
sw2051B-ms98-a-0037,110.727875,110.936500,pretty,I,sv,u-26-2
sw2051B-ms98-a-0037,110.936500,111.376500,scary,I,sv,u-26-2
sw2051B-ms98-a-0037,111.376500,111.726500,thought,I,sv,u-26-2
sw2051B-ms98-a-0037,111.726500,111.806500,to,I,sv,u-26-2
sw2051B-ms98-a-0037,111.806500,112.056500,me,I,sv,u-26-2
sw2051B-ms98-a-0037,112.056500,112.387500,even,I,sv,u-26-2
sw2051B-ms98-a-0038,113.476125,113.642000,that,I,sv,u-26-2
sw2051B-ms98-a-0038,113.642000,113.752000,if,I,sv,u-26-2
sw2051B-ms98-a-0038,113.752000,113.822000,a,I,sv,u-26-2
sw2051B-ms98-a-0038,113.822000,114.052000,guy,I,sv,u-26-2
sw2051B-ms98-a-0038,114.052000,114.232000,is,I,sv,u-26-2
sw2051B-ms98-a-0038,114.232000,114.932000,convicted,I,sv,u-26-2
sw2051B-ms98-a-0038,114.932000,115.062000,or,I,sv,u-26-2
sw2051B-ms98-a-0038,115.062000,115.122000,a,I,sv,u-26-2
sw2051B-ms98-a-0038,115.122000,115.342000,gal,I,sv,u-26-2
sw2051B-ms98-a-0038,115.342000,115.422000,is,I,sv,u-26-2
sw2051B-ms98-a-0038,115.422000,115.982000,convicted,I,sv,u-26-2
sw2051B-ms98-a-0038,115.982000,116.062000,of,I,sv,u-26-2
sw2051B-ms98-a-0038,116.062000,116.122000,a,I,sv,u-26-2
sw2051B-ms98-a-0038,116.122000,116.694750,crime,I,sv,u-26-2
sw2051B-ms98-a-0039,117.937375,118.206125,rather,I,sv,u-26-2
sw2051B-ms98-a-0039,118.206125,118.306125,than,I,sv,u-26-2
sw2051B-ms98-a-0039,118.306125,118.526125,put,I,sv,u-26-2
sw2051B-ms98-a-0039,118.526125,118.636125,them,I,sv,u-26-2
sw2051B-ms98-a-0039,118.636125,118.766125,in,I,sv,u-26-2
sw2051B-ms98-a-0039,118.766125,119.206125,prison,I,sv,u-26-2
sw2051B-ms98-a-0039,119.206125,119.336125,because_1,I,sv,u-26-2
sw2051B-ms98-a-0039,119.336125,119.746125,prison's,I,sv,u-26-2
sw2051B-ms98-a-0039,119.746125,120.116125,proven,I,sv,u-26-2
sw2051B-ms98-a-0039,120.116125,120.336125,not,I,sv,u-26-2
sw2051B-ms98-a-0039,120.336125,120.466375,to,I,sv,u-26-2
sw2051B-ms98-a-0039,120.466375,120.715750,work,I,sv,u-26-2
sw2051B-ms98-a-0040,121.845750,121.964000,just,I,sv,u-26-2
sw2051B-ms98-a-0040,121.964000,122.124000,let,I,sv,u-26-2
sw2051B-ms98-a-0040,122.124000,122.184000,them_1,I,sv,u-26-2
sw2051B-ms98-a-0040,122.184000,122.426500,go,I,sv,u-26-2
sw2051B-ms98-a-0042,124.361250,124.506375,say,B,sd,u-26-3
sw2051B-ms98-a-0042,124.506375,124.781250,okay,I,sd,u-26-3
sw2051B-ms98-a-0042,124.781250,124.973750,you're,I,sd,u-26-3
sw2051B-ms98-a-0042,124.973750,125.557375,convicted,I,sd,u-26-3
sw2051B-ms98-a-0043,126.714375,126.814375,and,B,sd,u-28-1
sw2051B-ms98-a-0043,126.814375,126.984375,just,I,sd,u-28-1
sw2051B-ms98-a-0043,126.984375,127.164375,let,I,sd,u-28-1
sw2051B-ms98-a-0043,127.164375,127.274375,them_1,I,sd,u-28-1
sw2051B-ms98-a-0043,127.274375,127.631125,go,I,sd,u-28-1
sw2051B-ms98-a-0044,128.985125,129.168875,and,B,sv,u-30-1
sw2051B-ms98-a-0044,129.168875,129.268875,if,I,sv,u-30-1
sw2051B-ms98-a-0044,129.268875,129.465375,they,I,sv,u-30-1
sw2051B-ms98-a-0044,129.465375,129.702625,get,I,sv,u-30-1
sw2051B-ms98-a-0044,129.702625,130.308875,convicted,I,sv,u-30-1
sw2051B-ms98-a-0044,130.308875,130.881375,again,I,sv,u-30-1
sw2051B-ms98-a-0046,132.649750,132.837750,well,I,sv,u-30-1
sw2051B-ms98-a-0046,132.837750,133.017750,just,I,sv,u-30-1
sw2051B-ms98-a-0046,133.017750,133.227750,kill,I,sv,u-30-1
sw2051B-ms98-a-0046,133.227750,133.286500,them_1,O,,
sw2051B-ms98-a-0048,139.741250,140.110875,well,B,sv,u-32-1
sw2051B-ms98-a-0048,140.800250,140.934375,i,I,sv,u-32-1
sw2051B-ms98-a-0048,140.934375,141.141250,think,I,sv,u-32-1
sw2051B-ms98-a-0048,141.222250,141.378750,that,I,sv,u-32-1
sw2051B-ms98-a-0049,142.427875,142.590500,the,I,sv,u-32-1
sw2051B-ms98-a-0049,142.704875,142.990750,best,I,sv,u-32-1
sw2051B-ms98-a-0049,142.990750,143.433375,hope,I,sv,u-32-1
sw2051B-ms98-a-0050,144.701500,144.795125,to,I,sv,u-32-1
sw2051B-ms98-a-0050,144.795125,145.356625,eliminate,I,sv,u-32-1
sw2051B-ms98-a-0051,146.251250,146.749500,crime,I,sv,u-32-1
sw2051B-ms98-a-0052,147.801750,147.963250,as,I,sv,u-32-1
sw2051B-ms98-a-0052,147.963250,148.123250,we,I,sv,u-32-1
sw2051B-ms98-a-0052,148.123250,148.283250,know,I,sv,u-32-1
sw2051B-ms98-a-0052,148.283250,148.373250,it,I,sv,u-32-1
sw2051B-ms98-a-0052,148.373250,148.952750,today,I,sv,u-32-1
sw2051B-ms98-a-0053,149.669625,149.776750,is,B,+,u-34-1
sw2051B-ms98-a-0053,149.776750,149.876750,to,I,+,u-34-1
sw2051B-ms98-a-0053,149.876750,150.276750,eliminate,I,+,u-34-1
sw2051B-ms98-a-0053,150.276750,150.336750,the,I,+,u-34-1
sw2051B-ms98-a-0053,150.336750,150.816750,criminals,I,+,u-34-1
sw2051B-ms98-a-0053,150.816750,150.976750,from,I,+,u-34-1
sw2051B-ms98-a-0053,150.976750,151.562000,society,I,+,u-34-1
sw2051B-ms98-a-0055,153.257000,153.374750,if,B,sv,u-36-1
sw2051B-ms98-a-0055,153.374750,153.784500,someone,I,sv,u-36-1
sw2051B-ms98-a-0055,153.784500,153.974500,is,I,sv,u-36-1
sw2051B-ms98-a-0055,153.974500,154.264500,known,I,sv,u-36-1
sw2051B-ms98-a-0055,154.264500,154.334500,to,I,sv,u-36-1
sw2051B-ms98-a-0055,154.334500,154.474500,have,I,sv,u-36-1
sw2051B-ms98-a-0055,154.474500,154.624500,been,I,sv,u-36-1
sw2051B-ms98-a-0055,154.624500,154.734500,in,I,sv,u-36-1
sw2051B-ms98-a-0055,154.734500,155.181000,prison,I,sv,u-36-1
sw2051B-ms98-a-0055,155.358125,155.484500,they,I,sv,u-36-1
sw2051B-ms98-a-0055,155.484500,155.844500,can't,I,sv,u-36-1
sw2051B-ms98-a-0055,155.844500,156.014500,get,I,sv,u-36-1
sw2051B-ms98-a-0055,156.014500,156.074500,a,I,sv,u-36-1
sw2051B-ms98-a-0055,156.074500,156.486375,job,I,sv,u-36-1
sw2051B-ms98-a-0056,157.999625,158.118500,you,B,%,u-38-1
sw2051B-ms98-a-0056,158.118500,158.341000,know,I,%,u-38-1
sw2051B-ms98-a-0056,158.785500,158.903375,they,B,sv,u-40-1
sw2051B-ms98-a-0056,158.903375,159.193375,can't,I,sv,u-40-1
sw2051B-ms98-a-0056,159.193375,159.283375,be,I,sv,u-40-1
sw2051B-ms98-a-0056,159.283375,159.863375,accepted,I,sv,u-40-1
sw2051B-ms98-a-0056,159.863375,160.073375,into,I,sv,u-40-1
sw2051B-ms98-a-0056,160.073375,161.087000,society,I,sv,u-40-1
sw2051B-ms98-a-0057,162.382625,162.464750,you,B,sv,u-40-2
sw2051B-ms98-a-0057,162.464750,162.676375,know,I,sv,u-40-2
sw2051B-ms98-a-0057,162.676375,162.856375,if,I,sv,u-40-2
sw2051B-ms98-a-0057,162.856375,162.956375,they're,I,sv,u-40-2
sw2051B-ms98-a-0057,162.956375,163.106375,not,I,sv,u-40-2
sw2051B-ms98-a-0057,163.106375,163.226375,going,I,sv,u-40-2
sw2051B-ms98-a-0057,163.226375,163.286375,to,I,sv,u-40-2
sw2051B-ms98-a-0057,163.286375,163.356375,be,I,sv,u-40-2
sw2051B-ms98-a-0057,163.356375,163.816375,accepted,I,sv,u-40-2
sw2051B-ms98-a-0057,163.816375,164.006375,into,I,sv,u-40-2
sw2051B-ms98-a-0057,164.006375,164.586375,society,I,sv,u-40-2
sw2051B-ms98-a-0057,164.586375,164.696375,then,I,sv,u-40-2
sw2051B-ms98-a-0057,164.696375,165.036375,everybody's,I,sv,u-40-2
sw2051B-ms98-a-0057,165.036375,165.206375,going,I,sv,u-40-2
sw2051B-ms98-a-0057,165.206375,165.296375,to,I,sv,u-40-2
sw2051B-ms98-a-0057,165.296375,165.676375,become,I,sv,u-40-2
sw2051B-ms98-a-0057,165.676375,166.415625,sociopathic,I,sv,u-40-2
sw2051B-ms98-a-0059,168.006125,168.630125,and,B,qh,u-42-1
sw2051B-ms98-a-0059,168.818500,168.916125,you,I,qh,u-42-1
sw2051B-ms98-a-0059,168.916125,169.253250,know,I,qh,u-42-1
sw2051B-ms98-a-0059,169.750375,169.986125,who's,I,qh,u-42-1
sw2051B-ms98-a-0059,169.986125,170.086125,to,I,qh,u-42-1
sw2051B-ms98-a-0059,170.086125,170.276125,put,I,qh,u-42-1
sw2051B-ms98-a-0059,170.276125,170.356125,the,I,qh,u-42-1
sw2051B-ms98-a-0059,170.356125,170.656125,limit,I,qh,u-42-1
sw2051B-ms98-a-0059,170.656125,170.846125,on,I,qh,u-42-1
sw2051B-ms98-a-0059,170.846125,171.037000,it,I,qh,u-42-1
sw2051B-ms98-a-0060,172.374375,172.456750,i,B,sd,u-42-2
sw2051B-ms98-a-0060,172.456750,172.599250,mean,I,sd,u-42-2
sw2051B-ms98-a-0060,172.599250,172.629250,i,I,sd,u-42-2
sw2051B-ms98-a-0060,172.629250,172.769250,was,I,sd,u-42-2
sw2051B-ms98-a-0060,172.769250,173.269250,watching,I,sd,u-42-2
sw2051B-ms98-a-0060,173.269250,173.459250,a,I,sd,u-42-2
sw2051B-ms98-a-0060,173.459250,173.669250,thing,I,sd,u-42-2
sw2051B-ms98-a-0060,173.669250,173.939250,last,I,sd,u-42-2
sw2051B-ms98-a-0060,173.939250,174.149250,night,I,sd,u-42-2
sw2051B-ms98-a-0060,174.149250,174.259250,up,I,sd,u-42-2
sw2051B-ms98-a-0060,174.259250,174.349250,in,I,sd,u-42-2
sw2051B-ms98-a-0060,174.349250,174.923750,Washington,I,sd,u-42-2
sw2051B-ms98-a-0060,174.923750,175.397500,State,I,sd,u-42-2
sw2051B-ms98-a-0061,176.590500,176.695375,if,B,%,u-42-3
sw2051B-ms98-a-0061,176.695375,176.815375,you,I,%,u-42-3
sw2051B-ms98-a-0061,176.815375,176.995375,get,I,%,u-42-3
sw2051B-ms98-a-0061,176.995375,177.545375,convicted,I,%,u-42-3
sw2051B-ms98-a-0061,177.545375,177.805375,of,I,%,u-42-3
sw2051B-ms98-a-0061,177.805375,178.218000,uh,I,%,u-42-3
sw2051B-ms98-a-0063,179.824375,180.190250,sexual,I,%,u-42-3
sw2051B-ms98-a-0063,180.190250,180.969875,offenses,I,%,u-42-3
sw2051B-ms98-a-0065,182.430625,182.574000,on,I,%,u-42-3
sw2051B-ms98-a-0065,182.574000,182.740625,a,I,%,u-42-3
sw2051B-ms98-a-0065,182.740625,183.167375,regular,I,%,u-42-3
sw2051B-ms98-a-0065,183.167375,183.665250,basis,I,%,u-42-3
sw2051B-ms98-a-0065,183.665250,183.816000,[laughter-i],O,,
sw2051B-ms98-a-0065,183.816000,184.067375,[laughter-mean],O,,
sw2051B-ms98-a-0065,184.067375,184.227375,some,B,sd,u-42-4
sw2051B-ms98-a-0065,184.227375,184.287375,of,I,sd,u-42-4
sw2051B-ms98-a-0065,184.287375,184.417375,these,I,sd,u-42-4
sw2051B-ms98-a-0065,184.417375,184.717375,guys,I,sd,u-42-4
sw2051B-ms98-a-0065,184.717375,184.837375,are,I,sd,u-42-4
sw2051B-ms98-a-0065,184.837375,185.077375,forty,I,sd,u-42-4
sw2051B-ms98-a-0065,185.077375,185.267375,years,I,sd,u-42-4
sw2051B-ms98-a-0065,185.267375,185.517375,old,I,sd,u-42-4
sw2051B-ms98-a-0065,185.517375,185.607375,and,I,sd,u-42-4
sw2051B-ms98-a-0065,185.607375,185.785500,got,I,sd,u-42-4
sw2051B-ms98-a-0065,185.785500,185.997375,ten,I,sd,u-42-4
sw2051B-ms98-a-0065,185.997375,186.676875,convictions,I,sd,u-42-4
sw2051B-ms98-a-0066,187.836875,187.973125,and,B,sd,u-44-1
sw2051B-ms98-a-0066,187.973125,188.153125,they're,I,sd,u-44-1
sw2051B-ms98-a-0066,188.153125,188.413125,still,I,sd,u-44-1
sw2051B-ms98-a-0066,188.413125,188.603125,let,I,sd,u-44-1
sw2051B-ms98-a-0066,188.603125,188.813125,out,I,sd,u-44-1
sw2051B-ms98-a-0066,188.813125,188.903125,on,I,sd,u-44-1
sw2051B-ms98-a-0066,188.903125,188.963125,the,I,sd,u-44-1
sw2051B-ms98-a-0066,188.963125,189.313125,street,I,sd,u-44-1
sw2051B-ms98-a-0066,189.313125,189.543125,after,I,sd,u-44-1
sw2051B-ms98-a-0066,189.543125,189.723125,one,I,sd,u-44-1
sw2051B-ms98-a-0066,189.723125,189.813125,or,I,sd,u-44-1
sw2051B-ms98-a-0066,189.813125,189.953125,two,I,sd,u-44-1
sw2051B-ms98-a-0066,189.953125,190.363125,years,I,sd,u-44-1
sw2051B-ms98-a-0067,191.763500,192.147375,well,B,sd,u-44-2
sw2051B-ms98-a-0067,192.147375,192.303000,in,I,sd,u-44-2
sw2051B-ms98-a-0067,192.303000,192.803000,Washington,I,sd,u-44-2
sw2051B-ms98-a-0067,192.803000,193.213000,State,I,sd,u-44-2
sw2051B-ms98-a-0067,193.213000,193.323000,if,I,sd,u-44-2
sw2051B-ms98-a-0067,193.323000,193.763000,you're,I,sd,u-44-2
sw2051B-ms98-a-0067,193.763000,193.843000,a,I,sd,u-44-2
sw2051B-ms98-a-0067,193.843000,194.413000,habitual,I,sd,u-44-2
sw2051B-ms98-a-0067,194.413000,194.813000,sexual,I,sd,u-44-2
sw2051B-ms98-a-0067,194.813000,195.330500,offender,I,sd,u-44-2
sw2051B-ms98-a-0069,196.884875,196.949875,they,I,sd,u-44-2
sw2051B-ms98-a-0069,196.949875,197.119875,just,I,sd,u-44-2
sw2051B-ms98-a-0069,197.119875,197.249875,don't,I,sd,u-44-2
sw2051B-ms98-a-0069,197.249875,197.359875,let,I,sd,u-44-2
sw2051B-ms98-a-0069,197.359875,197.535625,you,I,sd,u-44-2
sw2051B-ms98-a-0069,197.535625,197.646750,out,I,sd,u-44-2
sw2051B-ms98-a-0071,200.014125,200.260500,uh,O,,
sw2051B-ms98-a-0071,200.260500,200.504000,you,B,sd,u-46-1
sw2051B-ms98-a-0071,200.504000,200.769875,serve,I,sd,u-46-1
sw2051B-ms98-a-0071,200.769875,200.902000,your,I,sd,u-46-1
sw2051B-ms98-a-0071,200.902000,201.272000,prison,I,sd,u-46-1
sw2051B-ms98-a-0071,201.272000,201.644875,term,I,sd,u-46-1
sw2051B-ms98-a-0072,202.454250,202.574250,and,B,sd,u-46-2
sw2051B-ms98-a-0072,202.574250,202.724250,then,I,sd,u-46-2
sw2051B-ms98-a-0072,202.724250,202.814250,you,I,sd,u-46-2
sw2051B-ms98-a-0072,202.814250,203.024250,go,I,sd,u-46-2
sw2051B-ms98-a-0072,203.024250,203.224250,into,I,sd,u-46-2
sw2051B-ms98-a-0072,203.224250,203.324250,the,I,sd,u-46-2
