sw3313A-ms98-a-0002,2.474500,2.939250,Jeri,B,o,u-1-1
sw3313A-ms98-a-0006,15.529375,16.296750,okay,B,bk,u-9-1
sw3313A-ms98-a-0006,16.296750,16.755000,so,B,%,u-9-2
sw3313A-ms98-a-0006,16.961250,17.496250,[vocalized-noise],O,,
sw3313A-ms98-a-0006,17.906875,18.076750,i'm,B,sd,u-11-1
sw3313A-ms98-a-0006,18.076750,18.246750,in,I,sd,u-11-1
sw3313A-ms98-a-0006,18.246750,18.876750,Richardson,I,sd,u-11-1
sw3313A-ms98-a-0006,18.876750,19.282750,so,B,sd,u-11-2
sw3313A-ms98-a-0006,19.817500,19.976750,when,B,+,u-13-1
sw3313A-ms98-a-0006,19.976750,20.242375,i,I,+,u-13-1
sw3313A-ms98-a-0006,20.242375,20.666750,heard,I,+,u-13-1
sw3313A-ms98-a-0006,20.666750,20.726750,the,I,+,u-13-1
sw3313A-ms98-a-0006,20.726750,21.106750,topic,I,+,u-13-1
sw3313A-ms98-a-0006,21.106750,21.166750,i,I,+,u-13-1
sw3313A-ms98-a-0006,21.166750,21.276750,was,I,+,u-13-1
sw3313A-ms98-a-0006,21.276750,21.656750,thinking,I,+,u-13-1
sw3313A-ms98-a-0006,21.656750,22.042000,of,I,+,u-13-1
sw3313A-ms98-a-0006,22.365875,22.546750,the,I,+,u-13-1
sw3313A-ms98-a-0006,22.546750,22.886750,thing,I,+,u-13-1
sw3313A-ms98-a-0006,22.886750,23.116750,down,I,+,u-13-1
sw3313A-ms98-a-0006,23.116750,23.336750,at,I,+,u-13-1
sw3313A-ms98-a-0006,23.336750,23.821250,um,I,+,u-13-1
sw3313A-ms98-a-0006,23.821250,24.427375,Maceo,I,+,u-13-1
sw3313A-ms98-a-0006,24.427375,24.636750,High,I,+,u-13-1
sw3313A-ms98-a-0006,24.636750,25.006750,School,I,+,u-13-1
sw3313A-ms98-a-0006,25.006750,25.106750,in,B,+,u-15-1
sw3313A-ms98-a-0006,25.106750,25.658375,Dallas,I,+,u-15-1
sw3313A-ms98-a-0008,27.803625,28.076000,it,B,aa,u-17-1
sw3313A-ms98-a-0008,28.076000,28.346000,is,I,aa,u-17-1
sw3313A-ms98-a-0008,28.346000,28.466000,you,I,aa,u-17-1
sw3313A-ms98-a-0008,28.466000,28.801375,know,I,aa,u-17-1
sw3313A-ms98-a-0010,31.490500,31.805625,no,B,nn,u-19-1
sw3313A-ms98-a-0010,31.805625,32.025625,mine,B,sd^e,u-19-2
sw3313A-ms98-a-0010,32.025625,32.125625,are,I,sd^e,u-19-2
sw3313A-ms98-a-0010,32.125625,32.525625,already,I,sd^e,u-19-2
sw3313A-ms98-a-0010,32.525625,32.685625,in,I,sd^e,u-19-2
sw3313A-ms98-a-0010,32.685625,33.225625,college,I,sd^e,u-19-2
sw3313A-ms98-a-0010,33.225625,33.674750,now,I,sd^e,u-19-2
sw3313A-ms98-a-0010,33.930875,34.155625,so,B,%,u-19-3
sw3313A-ms98-a-0010,34.155625,34.515625,uh,O,,
sw3313A-ms98-a-0010,34.515625,34.615625,i,B,+,u-21-1
sw3313A-ms98-a-0010,34.615625,34.925625,don't,I,+,u-21-1
sw3313A-ms98-a-0010,34.925625,35.115625,have,I,+,u-21-1
sw3313A-ms98-a-0010,35.115625,35.618000,to,I,+,u-21-1
sw3313A-ms98-a-0011,36.359875,36.510000,at,B,sd,u-21-2
sw3313A-ms98-a-0011,36.510000,36.730000,least,I,sd,u-21-2
sw3313A-ms98-a-0011,36.730000,36.830000,when,I,sd,u-21-2
sw3313A-ms98-a-0011,36.830000,36.970000,they,I,sd,u-21-2
sw3313A-ms98-a-0011,36.970000,37.150000,were,I,sd,u-21-2
sw3313A-ms98-a-0011,37.150000,37.579125,in,I,sd,u-21-2
sw3313A-ms98-a-0011,37.748625,38.040000,high,I,sd,u-21-2
sw3313A-ms98-a-0011,38.040000,38.430000,school,I,sd,u-21-2
sw3313A-ms98-a-0011,38.430000,38.570000,it,I,sd,u-21-2
sw3313A-ms98-a-0011,38.570000,38.750000,was,I,sd,u-21-2
sw3313A-ms98-a-0011,38.750000,39.300000,beginning,I,sd,u-21-2
sw3313A-ms98-a-0011,39.300000,39.400000,but,I,sd,u-21-2
sw3313A-ms98-a-0011,39.400000,39.700000,not,I,sd,u-21-2
sw3313A-ms98-a-0011,39.700000,40.284375,like,I,sd,u-21-2
sw3313A-ms98-a-0011,40.887000,41.180000,the,I,sd,u-21-2
sw3313A-ms98-a-0011,41.180000,41.974000,rampages,I,sd,u-21-2
sw3313A-ms98-a-0013,65.967250,66.286500,that's,B,aa,u-23-1
sw3313A-ms98-a-0013,66.286500,66.848500,true,I,aa,u-23-1
sw3313A-ms98-a-0015,87.944000,88.468625,yeah,B,b,u-25-1
sw3313A-ms98-a-0015,88.468625,88.751750,well,B,sd,u-25-2
sw3313A-ms98-a-0015,88.751750,88.881750,i,I,sd,u-25-2
sw3313A-ms98-a-0015,88.881750,89.134875,just,I,sd,u-25-2
sw3313A-ms98-a-0015,89.650875,89.791750,i,I,sd,u-25-2
sw3313A-ms98-a-0015,89.791750,89.961750,just,I,sd,u-25-2
sw3313A-ms98-a-0015,89.961750,90.171750,don't,I,sd,u-25-2
sw3313A-ms98-a-0015,90.171750,90.631750,understand,I,sd,u-25-2
sw3313A-ms98-a-0015,90.631750,90.811750,how,I,sd,u-25-2
sw3313A-ms98-a-0015,90.811750,90.962250,of,I,sd,u-25-2
sw3313A-ms98-a-0015,91.463250,92.024000,course,I,sd,u-25-2
sw3313A-ms98-a-0015,92.389375,92.521750,in,I,sd,u-25-2
sw3313A-ms98-a-0015,92.521750,92.741750,my,I,sd,u-25-2
sw3313A-ms98-a-0015,92.741750,93.031750,little,I,sd,u-25-2
sw3313A-ms98-a-0015,93.031750,93.574375,world,I,sd,u-25-2
sw3313A-ms98-a-0015,93.838000,94.011750,how,I,sd,u-25-2
sw3313A-ms98-a-0015,94.011750,94.291750,guns,I,sd,u-25-2
sw3313A-ms98-a-0015,94.291750,94.441750,could,I,sd,u-25-2
sw3313A-ms98-a-0015,94.441750,94.611750,be,I,sd,u-25-2
sw3313A-ms98-a-0015,94.611750,94.791750,so,I,sd,u-25-2
sw3313A-ms98-a-0015,94.791750,95.537000,available,I,sd,u-25-2
sw3313A-ms98-a-0017,124.463625,124.640250,oh,B,ba,u-27-1
sw3313A-ms98-a-0017,124.640250,124.790250,my,I,ba,u-27-1
sw3313A-ms98-a-0017,124.790250,125.431875,heavens,I,ba,u-27-1
sw3313A-ms98-a-0019,134.013125,134.475750,well,B,sv,u-29-1
sw3313A-ms98-a-0019,134.475750,134.735750,maybe,I,sv,u-29-1
sw3313A-ms98-a-0019,134.735750,134.945750,that's,I,sv,u-29-1
sw3313A-ms98-a-0019,134.945750,135.035750,the,I,sv,u-29-1
sw3313A-ms98-a-0019,135.035750,135.415750,answer,I,sv,u-29-1
sw3313A-ms98-a-0019,135.415750,135.515750,to,I,sv,u-29-1
sw3313A-ms98-a-0019,135.515750,135.895750,crime,I,sv,u-29-1
sw3313A-ms98-a-0019,135.895750,136.075750,is,I,sv,u-29-1
sw3313A-ms98-a-0019,136.075750,136.559000,getting,I,sv,u-29-1
sw3313A-ms98-a-0019,137.022375,137.345750,more,I,sv,u-29-1
sw3313A-ms98-a-0019,137.345750,138.509500,prosecution,I,sv,u-29-1
sw3313A-ms98-a-0020,139.582250,139.795000,you,B,%,u-31-1
sw3313A-ms98-a-0020,139.795000,139.955000,know,I,%,u-31-1
sw3313A-ms98-a-0020,139.955000,140.503000,because,I,%,u-31-1
sw3313A-ms98-a-0021,141.211625,141.452375,i,I,%,u-31-1
sw3313A-ms98-a-0021,141.452375,141.643875,don't,I,%,u-31-1
sw3313A-ms98-a-0021,141.643875,141.932375,now,B,sv,u-31-2
sw3313A-ms98-a-0021,141.932375,142.032375,i,I,sv,u-31-2
sw3313A-ms98-a-0021,142.032375,142.422375,somehow,I,sv,u-31-2
sw3313A-ms98-a-0021,142.422375,142.522375,i,I,sv,u-31-2
sw3313A-ms98-a-0021,142.522375,142.822375,feel,I,sv,u-31-2
sw3313A-ms98-a-0021,142.822375,143.070500,we're,I,sv,u-31-2
sw3313A-ms98-a-0021,143.070500,143.472375,living,I,sv,u-31-2
sw3313A-ms98-a-0021,143.472375,143.562375,in,I,sv,u-31-2
sw3313A-ms98-a-0021,143.562375,143.672375,an,I,sv,u-31-2
sw3313A-ms98-a-0021,143.672375,144.222375,impartial,I,sv,u-31-2
sw3313A-ms98-a-0021,144.222375,145.080250,society,I,sv,u-31-2
sw3313A-ms98-a-0022,145.684250,145.948750,as,I,sv,u-31-2
sw3313A-ms98-a-0022,145.948750,146.238750,far,I,sv,u-31-2
sw3313A-ms98-a-0022,146.238750,146.388750,as,I,sv,u-31-2
sw3313A-ms98-a-0022,146.388750,146.932250,people,I,sv,u-31-2
sw3313A-ms98-a-0022,147.248750,147.728750,seeing,I,sv,u-31-2
sw3313A-ms98-a-0022,147.728750,148.108750,something,I,sv,u-31-2
sw3313A-ms98-a-0022,148.108750,148.919375,happen,I,sv,u-31-2
sw3313A-ms98-a-0022,148.919375,149.128750,you,I,sv,u-31-2
sw3313A-ms98-a-0022,149.128750,149.228750,know,I,sv,u-31-2
sw3313A-ms98-a-0022,149.228750,149.618750,across,I,sv,u-31-2
sw3313A-ms98-a-0022,149.618750,149.688750,the,I,sv,u-31-2
sw3313A-ms98-a-0022,149.688750,150.238750,street,I,sv,u-31-2
sw3313A-ms98-a-0022,150.238750,150.556625,or,I,sv,u-31-2
sw3313A-ms98-a-0023,151.180625,151.650875,seeing,I,sv,u-31-2
sw3313A-ms98-a-0023,151.650875,152.110875,someone,I,sv,u-31-2
sw3313A-ms98-a-0023,152.110875,152.290875,get,I,sv,u-31-2
sw3313A-ms98-a-0023,152.290875,152.790875,mugged,I,sv,u-31-2
sw3313A-ms98-a-0023,152.790875,153.076375,or,I,sv,u-31-2
sw3313A-ms98-a-0023,153.076375,153.740875,unfortunately,I,sv,u-31-2
sw3313A-ms98-a-0023,153.740875,154.319250,raped,I,sv,u-31-2
sw3313A-ms98-a-0023,154.744875,155.246875,and,B,sv,u-31-3
sw3313A-ms98-a-0023,155.683750,156.000875,people,I,sv,u-31-3
sw3313A-ms98-a-0023,156.000875,156.210875,don't,I,sv,u-31-3
sw3313A-ms98-a-0023,156.210875,156.330875,do,I,sv,u-31-3
sw3313A-ms98-a-0023,156.330875,157.040875,anything,I,sv,u-31-3
sw3313A-ms98-a-0024,157.609875,157.730750,a,B,sd,u-33-1
sw3313A-ms98-a-0024,157.730750,158.110750,woman,I,sd,u-33-1
sw3313A-ms98-a-0024,158.110750,158.330750,was,I,sd,u-33-1
sw3313A-ms98-a-0024,158.330750,158.680750,raped,I,sd,u-33-1
sw3313A-ms98-a-0024,158.680750,158.820750,in,I,sd,u-33-1
sw3313A-ms98-a-0024,158.820750,159.480750,Richardson,I,sd,u-33-1
sw3313A-ms98-a-0024,159.480750,159.550750,i,I,sd,u-33-1
sw3313A-ms98-a-0024,159.550750,159.730750,read,I,sd,u-33-1
sw3313A-ms98-a-0024,159.730750,159.790750,in,I,sd,u-33-1
sw3313A-ms98-a-0024,159.790750,159.850750,the,I,sd,u-33-1
sw3313A-ms98-a-0024,159.850750,160.456750,paper,I,sd,u-33-1
sw3313A-ms98-a-0024,160.852250,160.950750,oh,I,sd,u-33-1
sw3313A-ms98-a-0024,160.950750,161.206625,about,I,sd,u-33-1
sw3313A-ms98-a-0024,161.206625,161.462750,a,I,sd,u-33-1
sw3313A-ms98-a-0024,161.768500,162.010750,two,I,sd,u-33-1
sw3313A-ms98-a-0024,162.010750,162.250750,weeks,I,sd,u-33-1
sw3313A-ms98-a-0024,162.250750,162.596500,ago,I,sd,u-33-1
sw3313A-ms98-a-0024,162.596500,163.104000,now,I,sd,u-33-1
sw3313A-ms98-a-0024,163.605000,163.844875,and,B,sd,u-33-2
sw3313A-ms98-a-0024,163.844875,164.080750,all,I,sd,u-33-2
sw3313A-ms98-a-0024,164.080750,164.160750,the,I,sd,u-33-2
sw3313A-ms98-a-0024,164.160750,164.550750,neighbors,I,sd,u-33-2
sw3313A-ms98-a-0024,164.550750,164.720750,said,I,sd,u-33-2
sw3313A-ms98-a-0024,164.720750,164.850750,they,I,sd,u-33-2
sw3313A-ms98-a-0024,164.850750,165.100750,heard,I,sd,u-33-2
sw3313A-ms98-a-0024,165.100750,165.210750,her,I,sd,u-33-2
sw3313A-ms98-a-0024,165.210750,165.590750,yelling,I,sd,u-33-2
sw3313A-ms98-a-0024,165.590750,165.760750,for,I,sd,u-33-2
sw3313A-ms98-a-0024,165.760750,166.250750,help,I,sd,u-33-2
sw3313A-ms98-a-0025,166.843250,167.019375,but,B,sd,u-35-1
sw3313A-ms98-a-0025,167.019375,167.938625,nobody,I,sd,u-35-1
sw3313A-ms98-a-0025,168.210625,168.931125,nobody,I,sd,u-35-1
sw3313A-ms98-a-0025,169.123250,169.313250,did,I,sd,u-35-1
sw3313A-ms98-a-0025,169.313250,169.897875,anything,I,sd,u-35-1
sw3313A-ms98-a-0027,171.529000,171.669000,you,B,sd,u-37-1
sw3313A-ms98-a-0027,171.669000,171.869000,know,I,sd,u-37-1
sw3313A-ms98-a-0027,171.869000,171.939000,i,I,sd,u-37-1
sw3313A-ms98-a-0027,171.939000,172.099000,mean,I,sd,u-37-1
sw3313A-ms98-a-0027,172.099000,172.219000,they,I,sd,u-37-1
sw3313A-ms98-a-0027,172.219000,172.519000,heard,I,sd,u-37-1
sw3313A-ms98-a-0027,172.519000,172.779000,someone,I,sd,u-37-1
sw3313A-ms98-a-0027,172.779000,173.189000,calling,I,sd,u-37-1
sw3313A-ms98-a-0027,173.189000,173.369000,for,I,sd,u-37-1
sw3313A-ms98-a-0027,173.369000,173.884875,help,I,sd,u-37-1
sw3313A-ms98-a-0028,174.464500,174.911875,nobody,B,sd(^q),u-37-2
sw3313A-ms98-a-0028,174.911875,175.171875,even,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,175.171875,175.631875,called,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,175.631875,175.691875,the,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,175.691875,176.251875,police,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,176.251875,176.441875,to,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,176.441875,176.783000,say,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.148375,177.281875,you,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.281875,177.391875,know,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.391875,177.481875,i,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.481875,177.841875,hear,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.841875,177.901875,a,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,177.901875,178.301875,strange,I,sd(^q),u-37-2
sw3313A-ms98-a-0028,178.301875,179.021250,screaming,I,sd(^q),u-37-2
sw3313A-ms98-a-0029,179.899000,180.275250,i'm,B,%,u-39-1
sw3313A-ms98-a-0029,180.275250,180.595250,afraid,I,%,u-39-1
sw3313A-ms98-a-0029,180.595250,180.685250,you,I,%,u-39-1
sw3313A-ms98-a-0029,180.685250,180.825250,know,I,%,u-39-1
sw3313A-ms98-a-0029,180.825250,181.100875,if,I,%,u-39-1
sw3313A-ms98-a-0029,181.100875,181.245250,you,I,%,u-39-1
sw3313A-ms98-a-0029,181.245250,181.465250,i,B,sd,u-39-2
sw3313A-ms98-a-0029,181.465250,181.675250,don't,I,sd,u-39-2
sw3313A-ms98-a-0029,181.675250,181.915250,blame,I,sd,u-39-2
sw3313A-ms98-a-0029,181.915250,182.407875,people,I,sd,u-39-2
sw3313A-ms98-a-0029,182.626375,182.785250,with,I,sd,u-39-2
sw3313A-ms98-a-0029,182.785250,183.095250,today's,I,sd,u-39-2
sw3313A-ms98-a-0029,183.095250,183.475250,society,I,sd,u-39-2
sw3313A-ms98-a-0029,183.475250,183.725250,about,I,sd,u-39-2
sw3313A-ms98-a-0029,183.895250,184.165250,going,I,sd,u-39-2
sw3313A-ms98-a-0029,184.165250,184.295250,out,I,sd,u-39-2
sw3313A-ms98-a-0029,184.295250,184.365250,to,I,sd,u-39-2
sw3313A-ms98-a-0029,184.365250,184.585250,help,I,sd,u-39-2
sw3313A-ms98-a-0029,184.585250,185.372750,themselves,I,sd,u-39-2
sw3313A-ms98-a-0029,185.813375,186.103750,because_1,O,,
sw3313A-ms98-a-0031,194.845125,195.384375,yeah,B,b,u-41-1
sw3313A-ms98-a-0032,196.479875,196.742125,i,B,%,u-43-1
sw3313A-ms98-a-0032,196.742125,197.102125,just,I,%,u-43-1
sw3313A-ms98-a-0032,197.102125,197.252125,you,I,%,u-43-1
sw3313A-ms98-a-0032,197.252125,197.392125,know,I,%,u-43-1
sw3313A-ms98-a-0032,197.392125,197.955625,it's,B,sv,u-43-2
sw3313A-ms98-a-0033,198.755125,199.024250,it's,I,sv,u-43-2
sw3313A-ms98-a-0033,199.024250,199.828125,really,I,sv,u-43-2
sw3313A-ms98-a-0033,200.110625,200.464250,frightening,I,sv,u-43-2
sw3313A-ms98-a-0033,200.464250,200.774250,that,I,sv,u-43-2
sw3313A-ms98-a-0033,200.774250,200.934250,we're,I,sv,u-43-2
sw3313A-ms98-a-0033,200.934250,201.424250,not,I,sv,u-43-2
sw3313A-ms98-a-0033,201.424250,201.514250,we're,I,sv,u-43-2
sw3313A-ms98-a-0033,201.514250,201.794250,trying,I,sv,u-43-2
sw3313A-ms98-a-0033,201.794250,201.894250,to,I,sv,u-43-2
sw3313A-ms98-a-0033,201.894250,202.024250,live,I,sv,u-43-2
sw3313A-ms98-a-0033,202.024250,202.114250,in,I,sv,u-43-2
sw3313A-ms98-a-0033,202.114250,202.234250,our,I,sv,u-43-2
sw3313A-ms98-a-0033,202.234250,202.454250,own,I,sv,u-43-2
sw3313A-ms98-a-0033,202.454250,202.824250,little,I,sv,u-43-2
sw3313A-ms98-a-0033,202.824250,203.697500,cocoons,I,sv,u-43-2
sw3313A-ms98-a-0033,203.697500,204.183125,and,B,sv,u-43-3
sw3313A-ms98-a-0033,204.510750,204.814250,probably,I,sv,u-43-3
sw3313A-ms98-a-0033,204.814250,204.904250,one,I,sv,u-43-3
sw3313A-ms98-a-0033,204.904250,204.964250,of,I,sv,u-43-3
sw3313A-ms98-a-0033,204.964250,205.024250,the,I,sv,u-43-3
sw3313A-ms98-a-0033,205.024250,205.274250,best,I,sv,u-43-3
sw3313A-ms98-a-0033,205.274250,205.494250,things,I,sv,u-43-3
sw3313A-ms98-a-0033,205.494250,205.554250,we,I,sv,u-43-3
sw3313A-ms98-a-0033,205.554250,205.684250,could,I,sv,u-43-3
sw3313A-ms98-a-0033,205.684250,205.854250,do,I,sv,u-43-3
sw3313A-ms98-a-0033,205.854250,206.014250,for,I,sv,u-43-3
sw3313A-ms98-a-0033,206.014250,206.384250,crime,I,sv,u-43-3
sw3313A-ms98-a-0033,206.384250,206.474250,is,I,sv,u-43-3
sw3313A-ms98-a-0033,206.474250,206.574250,to,I,sv,u-43-3
sw3313A-ms98-a-0033,206.574250,207.254250,participate,I,sv,u-43-3
sw3313A-ms98-a-0033,207.254250,207.906000,ourselves,I,sv,u-43-3
sw3313A-ms98-a-0033,207.906000,208.154250,in,I,sv,u-43-3
sw3313A-ms98-a-0033,208.154250,208.284250,its,I,sv,u-43-3
sw3313A-ms98-a-0033,208.284250,209.093750,prevention,I,sv,u-43-3
sw3313A-ms98-a-0035,234.790750,235.294750,yes,B,b,u-45-1
sw3313A-ms98-a-0036,236.227250,236.422250,yeah,B,b,u-47-1
sw3313A-ms98-a-0036,236.422250,236.777750,well,B,sd,u-47-2
sw3313A-ms98-a-0036,236.777750,237.002250,you,I,sd,u-47-2
sw3313A-ms98-a-0036,237.002250,237.112250,know,I,sd,u-47-2
sw3313A-ms98-a-0036,237.112250,237.172250,the,I,sd,u-47-2
sw3313A-ms98-a-0036,237.172250,237.422250,call,I,sd,u-47-2
sw3313A-ms98-a-0036,237.422250,237.562250,for,I,sd,u-47-2
sw3313A-ms98-a-0036,237.562250,237.772250,help,I,sd,u-47-2
sw3313A-ms98-a-0036,237.772250,237.892250,is,I,sd,u-47-2
sw3313A-ms98-a-0036,237.892250,238.082250,what,I,sd,u-47-2
sw3313A-ms98-a-0036,238.082250,238.432250,scares,I,sd,u-47-2
sw3313A-ms98-a-0036,238.432250,238.582250,me,I,sd,u-47-2
sw3313A-ms98-a-0036,238.582250,238.812250,now,I,sd,u-47-2
sw3313A-ms98-a-0036,238.812250,239.268000,because,I,sd,u-47-2
sw3313A-ms98-a-0037,240.534250,240.880375,it,I,sd,u-47-2
sw3313A-ms98-a-0037,241.403875,241.609125,it,I,sd,u-47-2
sw3313A-ms98-a-0037,241.609125,241.965750,just,I,sd,u-47-2
sw3313A-ms98-a-0037,242.628625,242.769125,i,B,h,u-47-3
sw3313A-ms98-a-0037,242.769125,242.909125,don't,I,h,u-47-3
sw3313A-ms98-a-0037,242.909125,242.969125,know,I,h,u-47-3
sw3313A-ms98-a-0037,242.969125,243.209125,people,B,%,u-47-4
sw3313A-ms98-a-0037,243.209125,243.549125,just,I,%,u-47-4
sw3313A-ms98-a-0037,243.549125,244.308125,don't,I,%,u-47-4
sw3313A-ms98-a-0037,244.609375,244.739125,i,B,h,u-47-5
sw3313A-ms98-a-0037,244.739125,244.968250,don't,I,h,u-47-5
sw3313A-ms98-a-0037,244.968250,245.129125,know,I,h,u-47-5
sw3313A-ms98-a-0037,245.129125,245.179125,i,B,sv,u-47-6
sw3313A-ms98-a-0037,245.179125,245.449125,can't,I,sv,u-47-6
sw3313A-ms98-a-0037,245.449125,245.589125,say,I,sv,u-47-6
sw3313A-ms98-a-0037,245.589125,245.669125,they,I,sv,u-47-6
sw3313A-ms98-a-0037,245.669125,245.859125,don't,I,sv,u-47-6
sw3313A-ms98-a-0037,245.859125,246.299125,care,I,sv,u-47-6
sw3313A-ms98-a-0037,246.299125,246.469125,because,I,sv,u-47-6
sw3313A-ms98-a-0037,246.469125,246.889125,people,I,sv,u-47-6
sw3313A-ms98-a-0037,246.889125,247.099125,just,I,sv,u-47-6
sw3313A-ms98-a-0037,247.099125,247.389125,have,I,sv,u-47-6
sw3313A-ms98-a-0037,247.389125,247.519125,to,I,sv,u-47-6
sw3313A-ms98-a-0037,247.519125,247.849125,care,I,sv,u-47-6
sw3313A-ms98-a-0037,247.849125,248.099125,about,I,sv,u-47-6
sw3313A-ms98-a-0037,248.099125,248.369125,another,I,sv,u-47-6
sw3313A-ms98-a-0037,248.369125,248.999500,person,I,sv,u-47-6
sw3313A-ms98-a-0038,249.844000,250.014000,but,B,sv,u-49-1
sw3313A-ms98-a-0038,250.014000,250.154000,it's,I,sv,u-49-1
sw3313A-ms98-a-0038,250.154000,250.404000,that,I,sv,u-49-1
sw3313A-ms98-a-0038,250.404000,250.794000,not,I,sv,u-49-1
sw3313A-ms98-a-0038,250.794000,251.114000,getting,I,sv,u-49-1
sw3313A-ms98-a-0038,251.114000,251.994000,involved,I,sv,u-49-1
sw3313A-ms98-a-0038,251.994000,252.395375,that,I,sv,u-49-1
sw3313A-ms98-a-0038,253.009125,254.015875,impersonal,I,sv,u-49-1
sw3313A-ms98-a-0039,254.649000,255.303500,society,I,sv,u-49-1
sw3313A-ms98-a-0039,255.303500,255.333500,i,I,sv,u-49-1
sw3313A-ms98-a-0039,255.333500,255.563500,think,I,sv,u-49-1
sw3313A-ms98-a-0039,255.563500,255.683500,we,I,sv,u-49-1
sw3313A-ms98-a-0039,255.683500,255.853500,live,I,sv,u-49-1
sw3313A-ms98-a-0039,255.853500,255.993500,in,I,sv,u-49-1
sw3313A-ms98-a-0039,255.993500,256.574750,today,I,sv,u-49-1
sw3313A-ms98-a-0041,272.544375,273.006250,yeah,B,b,u-51-1
sw3313A-ms98-a-0041,273.499625,273.594375,let,B,co,u-53-1
sw3313A-ms98-a-0041,273.594375,273.758750,me,I,co,u-53-1
sw3313A-ms98-a-0041,273.758750,274.024375,ask,I,co,u-53-1
sw3313A-ms98-a-0041,274.024375,274.174375,you,I,co,u-53-1
sw3313A-ms98-a-0041,274.174375,274.384375,getting,B,sd,u-53-2
sw3313A-ms98-a-0041,274.384375,274.554375,back,I,sd,u-53-2
sw3313A-ms98-a-0041,274.554375,274.624375,to,I,sd,u-53-2
sw3313A-ms98-a-0041,274.624375,274.714375,your,I,sd,u-53-2
sw3313A-ms98-a-0041,274.714375,274.954375,son's,I,sd,u-53-2
sw3313A-ms98-a-0041,274.954375,275.284375,football,I,sd,u-53-2
sw3313A-ms98-a-0041,275.284375,275.624375,practice,I,sd,u-53-2
sw3313A-ms98-a-0041,275.624375,275.834375,because_1,I,sd,u-53-2
sw3313A-ms98-a-0041,275.834375,275.956000,it,I,sd,u-53-2
sw3313A-ms98-a-0041,275.956000,276.510000,really,I,sd,u-53-2
sw3313A-ms98-a-0041,276.510000,276.734375,sort,I,sd,u-53-2
sw3313A-ms98-a-0041,276.734375,276.914750,of,I,sd,u-53-2
sw3313A-ms98-a-0041,277.540000,277.954375,bothers,I,sd,u-53-2
sw3313A-ms98-a-0041,277.954375,278.064375,me,I,sd,u-53-2
sw3313A-ms98-a-0041,278.064375,278.317250,that,I,sd,u-53-2
sw3313A-ms98-a-0041,278.667500,279.024375,police,I,sd,u-53-2
sw3313A-ms98-a-0041,279.024375,279.204375,aren't,I,sd,u-53-2
sw3313A-ms98-a-0041,279.204375,279.424375,doing,I,sd,u-53-2
