sw3367A-ms98-a-0003,1.534500,1.764500,what,B,br,u-1-1
sw3367A-ms98-a-0009,26.360875,26.545500,to,I,sd,u-5-3
sw3367A-ms98-a-0009,26.545500,26.658875,see,I,sd,u-5-3
sw3367A-ms98-a-0009,26.658875,27.199000,anyone,I,sd,u-5-3
sw3367A-ms98-a-0009,27.496500,27.898875,die,I,sd,u-5-3
sw3367A-ms98-a-0009,27.898875,28.204500,uh,I,sd,u-5-3
sw3367A-ms98-a-0009,28.928875,29.294500,but,B,sv,u-7-1
sw3367A-ms98-a-0009,29.294500,29.539250,uh,I,sv,u-7-1
sw3367A-ms98-a-0009,29.539250,29.716250,i,I,sv,u-7-1
sw3367A-ms98-a-0009,29.716250,30.018875,guess,I,sv,u-7-1
sw3367A-ms98-a-0009,30.018875,30.198875,these,I,sv,u-7-1
sw3367A-ms98-a-0009,30.198875,30.508875,people,I,sv,u-7-1
sw3367A-ms98-a-0009,30.508875,30.698875,that,I,sv,u-7-1
sw3367A-ms98-a-0009,30.698875,30.838875,go,I,sv,u-7-1
sw3367A-ms98-a-0009,30.838875,31.178875,around,I,sv,u-7-1
sw3367A-ms98-a-0009,31.178875,31.367625,and,I,sv,u-7-1
sw3367A-ms98-a-0009,31.623625,31.838875,and,I,sv,u-7-1
sw3367A-ms98-a-0009,31.838875,32.198875,kill,I,sv,u-7-1
sw3367A-ms98-a-0009,32.198875,32.708875,children,I,sv,u-7-1
sw3367A-ms98-a-0009,32.708875,32.958875,and,I,sv,u-7-1
sw3367A-ms98-a-0010,33.759875,34.109875,women,I,sv,u-7-1
sw3367A-ms98-a-0010,34.109875,34.229875,and,I,sv,u-7-1
sw3367A-ms98-a-0010,34.229875,34.569875,everything,I,sv,u-7-1
sw3367A-ms98-a-0010,34.569875,35.089875,else,I,sv,u-7-1
sw3367A-ms98-a-0010,35.089875,35.459875,without,I,sv,u-7-1
sw3367A-ms98-a-0010,35.459875,35.639875,any,I,sv,u-7-1
sw3367A-ms98-a-0010,35.639875,36.349875,remorse,I,sv,u-7-1
sw3367A-ms98-a-0010,36.349875,36.589875,uh,I,sv,u-7-1
sw3367A-ms98-a-0011,37.458625,37.544500,i,I,sv,u-7-1
sw3367A-ms98-a-0011,37.544500,37.668625,don't,I,sv,u-7-1
sw3367A-ms98-a-0011,37.668625,37.848625,think,I,sv,u-7-1
sw3367A-ms98-a-0011,37.848625,37.938625,they,I,sv,u-7-1
sw3367A-ms98-a-0011,37.938625,38.478625,deserve,I,sv,u-7-1
sw3367A-ms98-a-0011,38.478625,38.779500,to,I,sv,u-7-1
sw3367A-ms98-a-0011,39.348625,39.498625,to,I,sv,u-7-1
sw3367A-ms98-a-0011,39.498625,39.788625,live,I,sv,u-7-1
sw3367A-ms98-a-0011,39.788625,39.948625,and,I,sv,u-7-1
sw3367A-ms98-a-0011,39.948625,40.118625,be,I,sv,u-7-1
sw3367A-ms98-a-0011,40.118625,40.668625,supported,I,sv,u-7-1
sw3367A-ms98-a-0011,40.668625,40.868625,by,I,sv,u-7-1
sw3367A-ms98-a-0011,40.868625,41.168625,us,I,sv,u-7-1
sw3367A-ms98-a-0011,41.168625,41.248625,the,I,sv,u-7-1
sw3367A-ms98-a-0011,41.248625,41.508625,rest,I,sv,u-7-1
sw3367A-ms98-a-0011,41.508625,41.588625,of,I,sv,u-7-1
sw3367A-ms98-a-0011,41.588625,41.728625,their,I,sv,u-7-1
sw3367A-ms98-a-0011,41.728625,42.208625,lives,I,sv,u-7-1
sw3367A-ms98-a-0013,56.778000,57.108000,um-hum,B,b,u-9-1
sw3367A-ms98-a-0015,68.762625,69.078125,yeah,B,b,u-11-1
sw3367A-ms98-a-0017,86.026625,86.389250,yeah,B,b,u-13-1
sw3367A-ms98-a-0019,92.204000,92.498000,well,B,sv,u-15-1
sw3367A-ms98-a-0019,92.498000,92.802250,and,I,sv,u-15-1
sw3367A-ms98-a-0019,92.802250,93.234000,an[d]-,I,sv,u-15-1
sw3367A-ms98-a-0019,93.234000,93.694000,even,I,sv,u-15-1
sw3367A-ms98-a-0019,93.694000,94.004000,even,I,sv,u-15-1
sw3367A-ms98-a-0019,94.004000,94.254000,that,I,sv,u-15-1
sw3367A-ms98-a-0019,94.254000,94.358875,i,I,sv,u-15-1
sw3367A-ms98-a-0019,94.358875,94.676625,don't,I,sv,u-15-1
sw3367A-ms98-a-0019,94.676625,95.404000,really,I,sv,u-15-1
sw3367A-ms98-a-0019,95.404000,95.654000,know,I,sv,u-15-1
sw3367A-ms98-a-0019,95.654000,95.764000,if,I,sv,u-15-1
sw3367A-ms98-a-0019,95.764000,95.924000,that,I,sv,u-15-1
sw3367A-ms98-a-0019,95.924000,96.105250,would,I,sv,u-15-1
sw3367A-ms98-a-0019,96.282375,96.584000,help,I,sv,u-15-1
sw3367A-ms98-a-0019,96.584000,96.654000,i,B,sv,u-15-2
sw3367A-ms98-a-0019,96.654000,96.894000,think,I,sv,u-15-2
sw3367A-ms98-a-0019,96.894000,97.094000,lot,I,sv,u-15-2
sw3367A-ms98-a-0019,97.094000,97.194000,of,I,sv,u-15-2
sw3367A-ms98-a-0019,97.194000,97.424000,these,I,sv,u-15-2
sw3367A-ms98-a-0019,97.424000,97.864000,people,I,sv,u-15-2
sw3367A-ms98-a-0019,97.864000,98.214000,do,I,sv,u-15-2
sw3367A-ms98-a-0019,98.214000,98.479875,it,I,sv,u-15-2
sw3367A-ms98-a-0020,99.182250,99.567875,uh,I,sv,u-15-2
sw3367A-ms98-a-0020,99.567875,99.967875,mainly,I,sv,u-15-2
sw3367A-ms98-a-0020,99.967875,100.377875,because,I,sv,u-15-2
sw3367A-ms98-a-0020,100.377875,100.667875,of,I,sv,u-15-2
sw3367A-ms98-a-0020,100.667875,100.837875,of,I,sv,u-15-2
sw3367A-ms98-a-0020,100.837875,101.607875,TV,O,,
sw3367A-ms98-a-0021,102.179000,102.529000,an[d]-,O,,
sw3367A-ms98-a-0021,102.529000,102.883000,an[d]-,O,,
sw3367A-ms98-a-0021,103.075000,103.636000,dou[ble]-,O,,
sw3367A-ms98-a-0021,103.636000,104.046000,double,B,sv,u-17-1
sw3367A-ms98-a-0021,104.046000,104.566000,reason,I,sv,u-17-1
sw3367A-ms98-a-0021,104.566000,104.856000,mai[nly]-,I,sv,u-17-1
sw3367A-ms98-a-0021,104.856000,105.116000,they,I,sv,u-17-1
sw3367A-ms98-a-0021,105.116000,105.286000,they,I,sv,u-17-1
sw3367A-ms98-a-0021,105.286000,105.556000,see,I,sv,u-17-1
sw3367A-ms98-a-0021,105.556000,105.686000,it,I,sv,u-17-1
sw3367A-ms98-a-0021,105.686000,105.906000,being,I,sv,u-17-1
sw3367A-ms98-a-0021,105.906000,106.096000,done,I,sv,u-17-1
sw3367A-ms98-a-0021,106.096000,106.236000,on,I,sv,u-17-1
sw3367A-ms98-a-0021,106.236000,106.506000,TV,I,sv,u-17-1
sw3367A-ms98-a-0021,106.506000,106.626000,and,I,sv,u-17-1
sw3367A-ms98-a-0021,106.626000,106.916000,also,I,sv,u-17-1
sw3367A-ms98-a-0021,106.916000,107.036000,the,I,sv,u-17-1
sw3367A-ms98-a-0021,107.036000,107.436000,fact,I,sv,u-17-1
sw3367A-ms98-a-0021,107.436000,107.621500,of,I,sv,u-17-1
sw3367A-ms98-a-0021,107.621500,107.916000,of,I,sv,u-17-1
sw3367A-ms98-a-0021,107.916000,108.789000,notoriety,I,sv,u-17-1
sw3367A-ms98-a-0021,108.789000,108.868125,i,B,sv,u-17-2
sw3367A-ms98-a-0021,108.868125,109.054750,mean,I,sv,u-17-2
sw3367A-ms98-a-0021,109.386250,109.516000,they,I,sv,u-17-2
sw3367A-ms98-a-0021,109.516000,109.986250,become,I,sv,u-17-2
sw3367A-ms98-a-0021,110.415625,110.866000,well,I,sv,u-17-2
sw3367A-ms98-a-0021,110.866000,111.246000,known,I,sv,u-17-2
sw3367A-ms98-a-0021,111.246000,111.326000,they,B,sv,u-17-3
sw3367A-ms98-a-0021,111.326000,111.416000,are,I,sv,u-17-3
sw3367A-ms98-a-0021,111.416000,111.776000,almost,I,sv,u-17-3
sw3367A-ms98-a-0021,111.776000,111.975125,like,I,sv,u-17-3
sw3367A-ms98-a-0021,112.137000,112.396000,like,I,sv,u-17-3
sw3367A-ms98-a-0021,112.396000,112.456000,a,I,sv,u-17-3
sw3367A-ms98-a-0021,112.456000,112.696000,big,I,sv,u-17-3
sw3367A-ms98-a-0021,112.696000,113.396000,star,I,sv,u-17-3
sw3367A-ms98-a-0023,120.783875,121.236000,yeah,B,b,u-19-1
sw3367A-ms98-a-0025,125.787000,126.277750,uh-huh,B,b,u-21-1
sw3367A-ms98-a-0027,132.239500,132.535250,yeah,B,b,u-23-1
sw3367A-ms98-a-0029,142.233250,142.641875,right,B,b,u-25-1
sw3367A-ms98-a-0031,147.689125,148.076250,yeah,B,b,u-27-1
sw3367A-ms98-a-0031,148.694750,148.981500,well,B,sv(^q),u-27-2
sw3367A-ms98-a-0031,148.981500,149.151500,i-,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,149.151500,149.331500,i-,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,149.331500,149.539250,i,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,149.539250,149.741500,think,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,149.741500,149.861500,if,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,149.861500,150.077500,they,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,150.077500,150.400875,went,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,150.400875,150.871500,according,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,150.871500,151.386000,to,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,151.386000,151.706875,uh,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,152.091125,152.261375,the,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,152.261375,152.841500,Bible,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,152.841500,152.961500,where,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,152.961500,153.071500,it,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,153.071500,153.301500,does,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,153.301500,153.521500,say,I,sv(^q),u-27-2
sw3367A-ms98-a-0031,153.521500,153.661500,an,B,+,u-29-1
sw3367A-ms98-a-0031,153.661500,153.821500,eye,I,+,u-29-1
sw3367A-ms98-a-0031,153.821500,153.991500,for,I,+,u-29-1
sw3367A-ms98-a-0031,153.991500,154.111500,an,I,+,u-29-1
sw3367A-ms98-a-0031,154.111500,154.341500,eye,I,+,u-29-1
sw3367A-ms98-a-0031,154.341500,154.401500,a,B,+,u-31-1
sw3367A-ms98-a-0031,154.401500,154.661500,tooth,I,+,u-31-1
sw3367A-ms98-a-0031,154.661500,154.801500,for,I,+,u-31-1
sw3367A-ms98-a-0031,154.801500,154.871500,a,I,+,u-31-1
sw3367A-ms98-a-0031,154.871500,155.201500,tooth,I,+,u-31-1
sw3367A-ms98-a-0031,155.201500,155.301500,a,I,+,u-31-1
sw3367A-ms98-a-0031,155.301500,155.581500,life,I,+,u-31-1
sw3367A-ms98-a-0031,155.581500,155.731500,for,I,+,u-31-1
sw3367A-ms98-a-0031,155.731500,155.801500,a,I,+,u-31-1
sw3367A-ms98-a-0031,155.801500,156.301500,life,I,+,u-31-1
sw3367A-ms98-a-0031,156.301500,156.569500,uh,B,sv,u-31-2
sw3367A-ms98-a-0031,157.213625,157.365500,you,I,sv,u-31-2
sw3367A-ms98-a-0031,157.365500,157.581500,take,I,sv,u-31-2
sw3367A-ms98-a-0031,157.581500,157.631500,a,I,sv,u-31-2
sw3367A-ms98-a-0031,157.631500,157.911500,life,I,sv,u-31-2
sw3367A-ms98-a-0031,157.911500,158.021500,you,I,sv,u-31-2
sw3367A-ms98-a-0031,158.021500,158.251500,give,I,sv,u-31-2
sw3367A-ms98-a-0031,158.251500,158.722875,yours,I,sv,u-31-2
sw3367A-ms98-a-0032,158.966250,159.261375,uh,B,ba,u-33-1
sw3367A-ms98-a-0032,160.295875,160.572875,uh,I,ba,u-33-1
sw3367A-ms98-a-0033,160.587750,160.771000,uh,I,ba,u-33-1
sw3367A-ms98-a-0033,161.068000,161.301875,that's,I,ba,u-33-1
sw3367A-ms98-a-0033,161.301875,161.391875,for,I,ba,u-33-1
sw3367A-ms98-a-0033,161.391875,161.644875,sure,I,ba,u-33-1
sw3367A-ms98-a-0033,161.644875,161.941875,[vocalized-noise],O,,
sw3367A-ms98-a-0033,161.941875,162.481875,there's,B,sv,u-33-2
sw3367A-ms98-a-0033,162.481875,163.301875,exceptions,I,sv,u-33-2
sw3367A-ms98-a-0033,163.301875,163.441875,to,I,sv,u-33-2
sw3367A-ms98-a-0033,163.441875,163.581875,the,I,sv,u-33-2
sw3367A-ms98-a-0033,163.581875,163.973500,rule,I,sv,u-33-2
sw3367A-ms98-a-0033,163.973500,164.109125,i,B,sv,u-33-3
sw3367A-ms98-a-0033,164.109125,164.301875,mean,I,sv,u-33-3
sw3367A-ms98-a-0033,164.301875,164.483750,if,I,sv,u-33-3
sw3367A-ms98-a-0033,164.483750,164.631875,if,I,sv,u-33-3
sw3367A-ms98-a-0033,164.631875,164.771875,it's,I,sv,u-33-3
sw3367A-ms98-a-0033,164.771875,164.880000,an,I,sv,u-33-3
sw3367A-ms98-a-0033,164.880000,165.756375,accidental,I,sv,u-33-3
sw3367A-ms98-a-0033,166.169250,166.671875,taking,I,sv,u-33-3
sw3367A-ms98-a-0033,166.671875,166.881875,then,I,sv,u-33-3
sw3367A-ms98-a-0034,167.433250,167.793375,uh,I,sv,u-33-3
sw3367A-ms98-a-0035,168.934250,169.057625,you,I,sv,u-33-3
sw3367A-ms98-a-0035,169.057625,169.267625,look,I,sv,u-33-3
sw3367A-ms98-a-0035,169.267625,169.437625,at,I,sv,u-33-3
sw3367A-ms98-a-0035,169.437625,169.767625,that,I,sv,u-33-3
sw3367A-ms98-a-0035,169.767625,169.944375,but,B,sv,u-33-4
sw3367A-ms98-a-0035,170.098750,170.167625,you,I,sv,u-33-4
sw3367A-ms98-a-0035,170.167625,170.310375,know,I,sv,u-33-4
sw3367A-ms98-a-0035,170.540125,170.817625,most,I,sv,u-33-4
sw3367A-ms98-a-0035,170.817625,170.876625,of,I,sv,u-33-4
sw3367A-ms98-a-0035,170.876625,171.065000,these,I,sv,u-33-4
sw3367A-ms98-a-0035,171.065000,171.387625,people,I,sv,u-33-4
sw3367A-ms98-a-0035,171.387625,171.867375,that,I,sv,u-33-4
sw3367A-ms98-a-0036,172.840375,173.135625,down,I,sv,u-33-4
sw3367A-ms98-a-0036,173.135625,173.375625,right,I,sv,u-33-4
sw3367A-ms98-a-0036,173.375625,173.525625,go,I,sv,u-33-4
sw3367A-ms98-a-0036,173.525625,173.745625,right,I,sv,u-33-4
sw3367A-ms98-a-0036,173.745625,173.975625,and,I,sv,u-33-4
sw3367A-ms98-a-0036,173.975625,174.125250,and,I,sv,u-33-4
sw3367A-ms98-a-0036,174.509375,174.735625,do,I,sv,u-33-4
sw3367A-ms98-a-0036,174.735625,174.845625,it,I,sv,u-33-4
sw3367A-ms98-a-0036,174.845625,175.005625,out,I,sv,u-33-4
sw3367A-ms98-a-0036,175.005625,175.095625,of,I,sv,u-33-4
sw3367A-ms98-a-0036,175.095625,175.439625,pure,I,sv,u-33-4
sw3367A-ms98-a-0036,175.439625,175.935625,pleasure,I,sv,u-33-4
sw3367A-ms98-a-0037,177.072875,177.790125,uh,B,+,u-35-1
sw3367A-ms98-a-0038,178.789125,178.958000,i,I,+,u-35-1
sw3367A-ms98-a-0038,178.958000,179.386500,don't,I,+,u-35-1
sw3367A-ms98-a-0038,179.386500,179.645500,uh,I,+,u-35-1
sw3367A-ms98-a-0038,179.912875,180.079125,like,I,+,u-35-1
sw3367A-ms98-a-0038,180.079125,180.189125,to,I,+,u-35-1
sw3367A-ms98-a-0038,180.189125,180.419125,see,I,+,u-35-1
sw3367A-ms98-a-0038,180.419125,180.743250,that,I,+,u-35-1
sw3367A-ms98-a-0038,181.134875,181.294375,i,B,sv,u-35-2
sw3367A-ms98-a-0038,181.294375,181.499125,guess,I,sv,u-35-2
sw3367A-ms98-a-0038,181.499125,181.799125,also,I,sv,u-35-2
sw3367A-ms98-a-0038,181.799125,181.889125,the,I,sv,u-35-2
sw3367A-ms98-a-0038,181.889125,182.199125,fact,I,sv,u-35-2
sw3367A-ms98-a-0038,182.199125,182.369125,that,I,sv,u-35-2
sw3367A-ms98-a-0038,182.369125,182.469125,they,I,sv,u-35-2
sw3367A-ms98-a-0038,182.469125,182.669125,say,I,sv,u-35-2
sw3367A-ms98-a-0038,182.669125,182.849125,it's,I,sv,u-35-2
sw3367A-ms98-a-0038,182.849125,183.089125,not,I,sv,u-35-2
sw3367A-ms98-a-0038,183.089125,183.139125,a,I,sv,u-35-2
sw3367A-ms98-a-0038,183.139125,183.879375,deterrent,I,sv,u-35-2
sw3367A-ms98-a-0039,184.785375,184.945375,it,B,sv,u-35-3
sw3367A-ms98-a-0039,184.945375,185.135375,is,I,sv,u-35-3
sw3367A-ms98-a-0039,185.135375,185.225375,a,I,sv,u-35-3
sw3367A-ms98-a-0039,185.225375,185.745375,deterrent,I,sv,u-35-3
sw3367A-ms98-a-0039,185.745375,185.835375,in,I,sv,u-35-3
sw3367A-ms98-a-0039,185.835375,185.959375,the,I,sv,u-35-3
sw3367A-ms98-a-0039,186.098750,186.245375,in,I,sv,u-35-3
sw3367A-ms98-a-0039,186.245375,186.325375,the,I,sv,u-35-3
sw3367A-ms98-a-0039,186.325375,186.715375,sense,I,sv,u-35-3
sw3367A-ms98-a-0039,186.715375,186.969500,that,I,sv,u-35-3
sw3367A-ms98-a-0039,187.191750,187.495375,that,I,sv,u-35-3
sw3367A-ms98-a-0039,187.495375,188.125375,person,I,sv,u-35-3
sw3367A-ms98-a-0039,188.125375,188.755375,[laughter],I,sv,u-35-3
sw3367A-ms98-a-0039,188.755375,188.905375,will,I,sv,u-35-3
sw3367A-ms98-a-0039,188.905375,189.145375,never,I,sv,u-35-3
sw3367A-ms98-a-0039,189.145375,189.335375,do,I,sv,u-35-3
sw3367A-ms98-a-0039,189.335375,189.405375,it,I,sv,u-35-3
sw3367A-ms98-a-0039,189.405375,189.790250,again,I,sv,u-35-3
sw3367A-ms98-a-0039,189.790250,190.108125,[laughter],O,,
sw3367A-ms98-a-0041,192.020625,192.410625,not,B,sv,u-37-1
sw3367A-ms98-a-0041,192.410625,192.730625,not,B,+,u-39-1
sw3367A-ms98-a-0041,192.730625,192.960625,not,I,+,u-39-1
sw3367A-ms98-a-0041,192.960625,193.050625,if,I,+,u-39-1
sw3367A-ms98-a-0041,193.050625,193.269000,he's,I,+,u-39-1
sw3367A-ms98-a-0041,193.269000,193.679625,killed,I,+,u-39-1
sw3367A-ms98-a-0041,193.679625,193.760625,he,I,+,u-39-1
sw3367A-ms98-a-0041,193.760625,194.100625,can't,I,+,u-39-1
sw3367A-ms98-a-0041,194.100625,194.230625,do,B,+,u-41-1
sw3367A-ms98-a-0041,194.230625,194.320625,it,I,+,u-41-1
sw3367A-ms98-a-0041,194.320625,194.690000,again,I,+,u-41-1
sw3367A-ms98-a-0043,197.862000,198.226125,the,B,b^m,u-43-1
sw3367A-ms98-a-0043,198.226125,198.427500,death,I,b^m,u-43-1
sw3367A-ms98-a-0043,198.427500,198.898500,penalty,I,b^m,u-43-1
sw3367A-ms98-a-0045,202.252375,202.561250,uh-huh,B,b,u-45-1
sw3367A-ms98-a-0047,210.723375,211.098875,right,B,b,u-47-1
sw3367A-ms98-a-0049,214.752750,215.127125,um-hum,B,b,u-49-1
sw3367A-ms98-a-0049,215.455375,215.881500,yeah,B,b,u-49-2
sw3367A-ms98-a-0049,216.382500,216.535750,well,B,sd,u-49-3
sw3367A-ms98-a-0049,216.535750,216.733000,i-,I,sd,u-49-3
sw3367A-ms98-a-0049,216.733000,216.993000,i,I,sd,u-49-3
sw3367A-ms98-a-0049,216.993000,217.253000,guess,I,sd,u-49-3
sw3367A-ms98-a-0049,217.253000,217.393000,i'm,I,sd,u-49-3
sw3367A-ms98-a-0049,217.393000,217.653000,also,I,sd,u-49-3
sw3367A-ms98-a-0049,217.653000,218.043000,looking,I,sd,u-49-3
sw3367A-ms98-a-0049,218.043000,218.291875,at,I,sd,u-49-3
sw3367A-ms98-a-0049,218.487750,219.202750,beyond,I,sd,u-49-3
sw3367A-ms98-a-0049,219.651000,219.953000,even,I,sd,u-49-3
sw3367A-ms98-a-0049,219.953000,220.243000,that,I,sd,u-49-3
sw3367A-ms98-a-0049,220.243000,220.353000,i-,O,,
sw3367A-ms98-a-0049,220.353000,220.583000,i-,O,,
sw3367A-ms98-a-0049,220.583000,220.783000,i,B,sd,u-49-4
sw3367A-ms98-a-0049,220.783000,221.033000,guess,I,sd,u-49-4
sw3367A-ms98-a-0049,221.033000,221.375000,i,I,sd,u-49-4
sw3367A-ms98-a-0050,222.228500,222.438500,been,I,sd,u-49-4
sw3367A-ms98-a-0050,222.438500,222.868500,thinking,I,sd,u-49-4
sw3367A-ms98-a-0050,222.868500,223.198500,about,I,sd,u-49-4
sw3367A-ms98-a-0050,223.198500,223.258500,it,I,sd,u-49-4
sw3367A-ms98-a-0050,223.258500,223.358500,and,B,sd,u-49-5
sw3367A-ms98-a-0050,223.358500,223.457625,i,I,sd,u-49-5
sw3367A-ms98-a-0050,223.457625,223.628500,don't,I,sd,u-49-5
sw3367A-ms98-a-0050,223.628500,223.768500,have,I,sd,u-49-5
sw3367A-ms98-a-0050,223.768500,223.893375,a,I,sd,u-49-5
sw3367A-ms98-a-0050,223.893375,224.298500,definite,I,sd,u-49-5
sw3367A-ms98-a-0050,224.298500,224.848500,opinion,I,sd,u-49-5
sw3367A-ms98-a-0050,224.848500,225.148500,but,B,sv,u-49-6
sw3367A-ms98-a-0050,225.148500,225.360375,uh,I,sv,u-49-6
sw3367A-ms98-a-0050,225.932875,226.400875,repeat,I,sv,u-49-6
sw3367A-ms98-a-0050,226.653125,227.078500,uh,I,sv,u-49-6
sw3367A-ms98-a-0050,227.078500,227.819625,crimes,I,sv,u-49-6
sw3367A-ms98-a-0051,229.029875,229.738375,uh,B,+,u-51-1
sw3367A-ms98-a-0052,230.752375,231.072375,maybe,I,+,u-51-1
sw3367A-ms98-a-0052,231.072375,231.392375,not,I,+,u-51-1
sw3367A-ms98-a-0052,231.392375,231.542375,the,I,+,u-51-1
sw3367A-ms98-a-0052,231.542375,231.682375,the,I,+,u-51-1
sw3367A-ms98-a-0052,231.682375,232.102375,more,I,+,u-51-1
sw3367A-ms98-a-0052,232.102375,232.602375,mild,I,+,u-51-1
sw3367A-ms98-a-0052,232.602375,232.852375,ones,I,+,u-51-1
sw3367A-ms98-a-0052,232.852375,233.032375,but,I,+,u-51-1
sw3367A-ms98-a-0052,233.242375,233.342375,you,I,+,u-51-1
sw3367A-ms98-a-0052,233.342375,233.562875,know,I,+,u-51-1
sw3367A-ms98-a-0052,233.721000,233.827625,a,I,+,u-51-1
sw3367A-ms98-a-0052,233.827625,234.062375,more,I,+,u-51-1
sw3367A-ms98-a-0052,234.062375,234.592375,severe,I,+,u-51-1
sw3367A-ms98-a-0052,234.592375,235.000500,ones,I,+,u-51-1
sw3367A-ms98-a-0052,235.000500,235.652375,especially,I,+,u-51-1
sw3367A-ms98-a-0052,235.652375,235.993125,on,I,+,u-51-1
sw3367A-ms98-a-0052,235.993125,236.673250,arm[ed]-,I,+,u-51-1
sw3367A-ms98-a-0052,236.673250,236.982375,armed,I,+,u-51-1
sw3367A-ms98-a-0052,236.982375,237.492375,robbery,I,+,u-51-1
sw3367A-ms98-a-0052,237.492375,237.622375,and,I,+,u-51-1
sw3367A-ms98-a-0052,237.622375,237.972375,stuff,I,+,u-51-1
sw3367A-ms98-a-0052,237.972375,238.072375,where,I,+,u-51-1
sw3367A-ms98-a-0052,238.072375,238.314875,they,I,+,u-51-1
sw3367A-ms98-a-0052,238.682375,238.832375,been,I,+,u-51-1
sw3367A-ms98-a-0052,238.832375,239.422375,taking,I,+,u-51-1
sw3367A-ms98-a-0052,239.422375,239.910750,from,I,+,u-51-1
sw3367A-ms98-a-0052,240.091500,240.502375,elderly,I,+,u-51-1
sw3367A-ms98-a-0052,240.502375,241.063250,people,I,+,u-51-1
sw3367A-ms98-a-0052,241.519000,241.822375,and,B,+,u-53-1
sw3367A-ms98-a-0052,242.062375,242.282375,not,I,+,u-53-1
sw3367A-ms98-a-0052,242.282375,242.522375,just,I,+,u-53-1
sw3367A-ms98-a-0052,242.522375,242.882375,taking,I,+,u-53-1
sw3367A-ms98-a-0052,242.882375,242.952375,the,I,+,u-53-1
sw3367A-ms98-a-0052,242.952375,243.455500,money,I,+,u-53-1
sw3367A-ms98-a-0052,243.790500,244.102375,but,I,+,u-53-1
sw3367A-ms98-a-0053,244.676125,245.010875,beating,I,+,u-53-1
sw3367A-ms98-a-0053,245.010875,245.160875,them_1,I,+,u-53-1
sw3367A-ms98-a-0053,245.160875,245.450875,half,I,+,u-53-1
sw3367A-ms98-a-0053,245.450875,245.590875,to,I,+,u-53-1
sw3367A-ms98-a-0053,245.590875,246.088625,death,I,+,u-53-1
sw3367A-ms98-a-0054,247.236250,247.582375,just,B,^2,u-55-1
sw3367A-ms98-a-0054,247.582375,247.727250,for,I,^2,u-55-1
sw3367A-ms98-a-0054,247.727250,248.122375,pleasure,I,^2,u-55-1
sw3367A-ms98-a-0054,248.122375,248.578875,too,I,^2,u-55-1
sw3367A-ms98-a-0054,248.578875,249.092625,and,B,sv,u-55-2
