sw2900B-ms98-a-0002,12.129125,12.762375,oh,B,b,u-2-1
sw2900B-ms98-a-0022,121.422125,121.702125,part,I,sv,u-32-2
sw2900B-ms98-a-0022,121.702125,121.822125,of,I,sv,u-32-2
sw2900B-ms98-a-0022,121.822125,121.912125,the,I,sv,u-32-2
sw2900B-ms98-a-0022,122.062125,122.352125,the,I,sv,u-32-2
sw2900B-ms98-a-0023,123.040500,123.484875,tremendous,I,sv,u-32-2
sw2900B-ms98-a-0023,123.484875,124.004875,benefit,I,sv,u-32-2
sw2900B-ms98-a-0023,124.004875,124.094875,of,I,sv,u-32-2
sw2900B-ms98-a-0023,124.094875,124.374875,that,I,sv,u-32-2
sw2900B-ms98-a-0023,124.374875,124.524875,is,I,sv,u-32-2
sw2900B-ms98-a-0023,124.524875,124.664875,that,I,sv,u-32-2
sw2900B-ms98-a-0023,124.664875,124.834875,there's,I,sv,u-32-2
sw2900B-ms98-a-0023,124.834875,125.214875,so,I,sv,u-32-2
sw2900B-ms98-a-0023,125.214875,125.394875,many,I,sv,u-32-2
sw2900B-ms98-a-0023,125.394875,125.814875,people,I,sv,u-32-2
sw2900B-ms98-a-0023,125.814875,125.894875,who,I,sv,u-32-2
sw2900B-ms98-a-0023,125.894875,126.392750,wait,I,sv,u-32-2
sw2900B-ms98-a-0023,126.464375,126.854875,now,I,sv,u-32-2
sw2900B-ms98-a-0023,126.854875,127.074875,because,I,sv,u-32-2
sw2900B-ms98-a-0023,127.074875,127.184875,they,I,sv,u-32-2
sw2900B-ms98-a-0023,127.184875,127.394875,don't,I,sv,u-32-2
sw2900B-ms98-a-0023,127.394875,127.514875,have,I,sv,u-32-2
sw2900B-ms98-a-0023,127.514875,127.584875,the,I,sv,u-32-2
sw2900B-ms98-a-0023,127.584875,127.973500,money,I,sv,u-32-2
sw2900B-ms98-a-0023,128.338875,128.750125,until,I,sv,u-32-2
sw2900B-ms98-a-0023,128.900750,129.064875,you,I,sv,u-32-2
sw2900B-ms98-a-0023,129.064875,129.164875,know,I,sv,u-32-2
sw2900B-ms98-a-0023,129.164875,129.244875,they,I,sv,u-32-2
sw2900B-ms98-a-0023,129.244875,129.354875,have,I,sv,u-32-2
sw2900B-ms98-a-0023,129.354875,129.524875,no,I,sv,u-32-2
sw2900B-ms98-a-0023,129.524875,130.174875,preventative,I,sv,u-32-2
sw2900B-ms98-a-0023,130.174875,130.663875,[laughter-measures],O,,
sw2900B-ms98-a-0023,130.663875,130.776125,because_1,O,,
sw2900B-ms98-a-0024,131.324125,131.870250,people,B,sv,u-32-3
sw2900B-ms98-a-0024,131.870250,132.400250,um,I,sv,u-32-3
sw2900B-ms98-a-0024,132.400250,132.490250,you,I,sv,u-32-3
sw2900B-ms98-a-0024,132.490250,132.630250,know,I,sv,u-32-3
sw2900B-ms98-a-0024,132.630250,132.870250,just,I,sv,u-32-3
sw2900B-ms98-a-0024,132.870250,133.050250,go,I,sv,u-32-3
sw2900B-ms98-a-0024,133.050250,133.280250,on,I,sv,u-32-3
sw2900B-ms98-a-0024,133.280250,133.410250,and,I,sv,u-32-3
sw2900B-ms98-a-0024,133.410250,133.550250,on,I,sv,u-32-3
sw2900B-ms98-a-0024,133.550250,133.680250,and,I,sv,u-32-3
sw2900B-ms98-a-0024,133.680250,133.950250,on,I,sv,u-32-3
sw2900B-ms98-a-0024,133.950250,133.980250,i,B,sv,u-32-4
sw2900B-ms98-a-0024,133.980250,134.150250,mean,I,sv,u-32-4
sw2900B-ms98-a-0024,134.150250,134.290250,so,I,sv,u-32-4
sw2900B-ms98-a-0024,134.290250,134.450250,many,I,sv,u-32-4
sw2900B-ms98-a-0024,134.450250,134.690250,people,I,sv,u-32-4
sw2900B-ms98-a-0024,134.690250,134.860250,don't,I,sv,u-32-4
sw2900B-ms98-a-0024,134.860250,134.990250,even,I,sv,u-32-4
sw2900B-ms98-a-0024,134.990250,135.110250,get,I,sv,u-32-4
sw2900B-ms98-a-0024,135.110250,135.650250,prenatal,I,sv,u-32-4
sw2900B-ms98-a-0024,135.650250,136.320250,care,I,sv,u-32-4
sw2900B-ms98-a-0024,136.320250,136.604000,or,B,sv,u-32-5
sw2900B-ms98-a-0024,136.912875,137.020250,and,I,sv,u-32-5
sw2900B-ms98-a-0024,137.020250,137.110250,it,I,sv,u-32-5
sw2900B-ms98-a-0024,137.110250,137.290250,just,I,sv,u-32-5
sw2900B-ms98-a-0024,137.290250,137.930250,extends,I,sv,u-32-5
sw2900B-ms98-a-0024,137.930250,138.150250,with,I,sv,u-32-5
sw2900B-ms98-a-0024,138.150250,138.220250,if,I,sv,u-32-5
sw2900B-ms98-a-0024,138.220250,138.400250,if,I,sv,u-32-5
sw2900B-ms98-a-0024,138.400250,138.620250,it,I,sv,u-32-5
sw2900B-ms98-a-0024,138.620250,138.680250,wh[at]-,I,sv,u-32-5
sw2900B-ms98-a-0024,138.680250,138.850250,what,I,sv,u-32-5
sw2900B-ms98-a-0024,138.850250,139.030250,would,I,sv,u-32-5
sw2900B-ms98-a-0024,139.030250,139.160250,be,I,sv,u-32-5
sw2900B-ms98-a-0024,139.160250,139.200250,a,I,sv,u-32-5
sw2900B-ms98-a-0024,139.200250,139.570250,minor,I,sv,u-32-5
sw2900B-ms98-a-0024,139.570250,139.990250,problem,I,sv,u-32-5
sw2900B-ms98-a-0024,139.990250,140.080250,to,I,sv,u-32-5
sw2900B-ms98-a-0024,140.080250,140.330250,deal,I,sv,u-32-5
sw2900B-ms98-a-0024,140.330250,140.510250,with,I,sv,u-32-5
sw2900B-ms98-a-0024,140.510250,140.640250,if,I,sv,u-32-5
sw2900B-ms98-a-0024,140.640250,140.760250,they,I,sv,u-32-5
sw2900B-ms98-a-0024,140.760250,140.910250,had,I,sv,u-32-5
sw2900B-ms98-a-0024,140.910250,140.970250,a,I,sv,u-32-5
sw2900B-ms98-a-0024,140.970250,141.210250,help,I,sv,u-32-5
sw2900B-ms98-a-0024,141.210250,141.680250,available,I,sv,u-32-5
sw2900B-ms98-a-0024,141.680250,141.950250,early,I,sv,u-32-5
sw2900B-ms98-a-0024,141.950250,142.340250,on,I,sv,u-32-5
sw2900B-ms98-a-0024,142.340250,142.909750,becomes,B,"""",u-32-6
sw2900B-ms98-a-0024,143.286375,143.500250,just,I,"""",u-32-6
sw2900B-ms98-a-0024,143.500250,143.630250,this,I,"""",u-32-6
sw2900B-ms98-a-0024,143.630250,144.358625,horrendous,I,"""",u-32-6
sw2900B-ms98-a-0025,144.771375,144.815750,you,I,"""",u-32-6
sw2900B-ms98-a-0025,144.815750,144.975750,know,I,"""",u-32-6
sw2900B-ms98-a-0025,144.975750,145.435750,burden,I,"""",u-32-6
sw2900B-ms98-a-0025,145.435750,145.535750,on,I,"""",u-32-6
sw2900B-ms98-a-0025,145.535750,145.595750,the,I,"""",u-32-6
sw2900B-ms98-a-0025,145.595750,146.105750,taxpayers,I,"""",u-32-6
sw2900B-ms98-a-0025,146.105750,146.195750,they're,B,sd,u-32-7
sw2900B-ms98-a-0025,146.195750,146.465750,saying,I,sd,u-32-7
sw2900B-ms98-a-0025,146.465750,146.665750,now,I,sd,u-32-7
sw2900B-ms98-a-0025,146.665750,146.815750,that,I,sd,u-32-7
sw2900B-ms98-a-0025,146.815750,146.965750,one,I,sd,u-32-7
sw2900B-ms98-a-0025,146.965750,147.095750,out,I,sd,u-32-7
sw2900B-ms98-a-0025,147.095750,147.175750,of,I,sd,u-32-7
sw2900B-ms98-a-0025,147.175750,147.375750,every,I,sd,u-32-7
sw2900B-ms98-a-0025,147.375750,147.825750,ten,I,sd,u-32-7
sw2900B-ms98-a-0025,147.825750,148.285750,child,I,sd,u-32-7
sw2900B-ms98-a-0025,148.285750,148.615750,born,I,sd,u-32-7
sw2900B-ms98-a-0025,148.615750,148.755750,in,I,sd,u-32-7
sw2900B-ms98-a-0025,148.755750,148.845750,in,I,sd,u-32-7
sw2900B-ms98-a-0025,148.845750,149.175750,public,I,sd,u-32-7
sw2900B-ms98-a-0025,149.175750,149.695750,hospitals,I,sd,u-32-7
sw2900B-ms98-a-0025,149.695750,149.815750,is,I,sd,u-32-7
sw2900B-ms98-a-0025,149.815750,150.185750,addicted,I,sd,u-32-7
sw2900B-ms98-a-0025,150.185750,150.255750,to,I,sd,u-32-7
sw2900B-ms98-a-0025,150.255750,150.899250,crack,I,sd,u-32-7
sw2900B-ms98-a-0025,151.411500,151.764750,well,B,^g,u-34-1
sw2900B-ms98-a-0025,151.923000,152.035750,you,I,^g,u-34-1
sw2900B-ms98-a-0025,152.035750,152.407500,know,I,^g,u-34-1
sw2900B-ms98-a-0025,152.407500,153.505750,[laughter],O,,
sw2900B-ms98-a-0027,166.043875,166.485625,um-hum,B,b,u-36-1
sw2900B-ms98-a-0029,173.934500,174.501625,yeah,B,b,u-38-1
sw2900B-ms98-a-0031,190.060000,190.537375,yeah,B,b,u-40-1
sw2900B-ms98-a-0031,190.663500,191.093500,yeah,B,b^r,u-40-2
sw2900B-ms98-a-0033,198.576750,198.936750,oh,B,ba,u-42-1
sw2900B-ms98-a-0033,198.936750,199.166750,it's,I,ba,u-42-1
sw2900B-ms98-a-0033,199.166750,199.396750,just,I,ba,u-42-1
sw2900B-ms98-a-0033,199.396750,200.266750,unbelievable,I,ba,u-42-1
sw2900B-ms98-a-0033,200.266750,200.416750,how,I,ba,u-42-1
sw2900B-ms98-a-0033,200.416750,200.646750,much,I,ba,u-42-1
sw2900B-ms98-a-0033,200.646750,200.796750,you,I,ba,u-42-1
sw2900B-ms98-a-0033,200.796750,201.156750,go,I,ba,u-42-1
sw2900B-ms98-a-0033,201.156750,201.356750,through,I,ba,u-42-1
sw2900B-ms98-a-0033,201.356750,201.516750,when,B,sd,u-42-2
sw2900B-ms98-a-0033,201.516750,201.676750,i,I,sd,u-42-2
sw2900B-ms98-a-0033,201.676750,201.836750,just,I,sd,u-42-2
sw2900B-ms98-a-0033,201.836750,201.926750,had,I,sd,u-42-2
sw2900B-ms98-a-0033,201.926750,201.976750,a,I,sd,u-42-2
sw2900B-ms98-a-0033,201.976750,202.266750,problem,I,sd,u-42-2
sw2900B-ms98-a-0033,202.266750,202.366750,with,I,sd,u-42-2
sw2900B-ms98-a-0033,202.366750,202.536750,my,I,sd,u-42-2
sw2900B-ms98-a-0033,202.536750,202.876750,neck,I,sd,u-42-2
sw2900B-ms98-a-0033,202.876750,202.976750,and,I,sd,u-42-2
sw2900B-ms98-a-0033,202.976750,203.036750,they,I,sd,u-42-2
sw2900B-ms98-a-0033,203.036750,203.246750,ended,I,sd,u-42-2
sw2900B-ms98-a-0033,203.246750,203.386750,up,I,sd,u-42-2
sw2900B-ms98-a-0033,203.386750,203.566750,doing,I,sd,u-42-2
sw2900B-ms98-a-0033,203.566750,203.646750,a,I,sd,u-42-2
sw2900B-ms98-a-0033,203.646750,203.906750,seven,I,sd,u-42-2
sw2900B-ms98-a-0033,203.906750,204.116750,hundred,I,sd,u-42-2
sw2900B-ms98-a-0033,204.116750,204.286750,dollar,I,sd,u-42-2
sw2900B-ms98-a-0033,204.286750,204.806750,CAT,I,sd,u-42-2
sw2900B-ms98-a-0033,204.806750,205.203750,scan,I,sd,u-42-2
sw2900B-ms98-a-0033,205.203750,205.377000,and,I,sd,u-42-2
sw2900B-ms98-a-0033,205.719750,205.783875,i,I,sd,u-42-2
sw2900B-ms98-a-0033,205.783875,205.846000,mean,I,sd,u-42-2
sw2900B-ms98-a-0033,205.846000,205.936875,a,I,sd,u-42-2
sw2900B-ms98-a-0033,205.936875,206.496750,chiropractor,I,sd,u-42-2
sw2900B-ms98-a-0033,206.496750,206.776750,got,I,sd,u-42-2
sw2900B-ms98-a-0033,206.776750,206.906750,it,I,sd,u-42-2
sw2900B-ms98-a-0033,206.906750,207.284750,in,I,sd,u-42-2
sw2900B-ms98-a-0033,207.284750,207.597375,[laughter-one],O,,
sw2900B-ms98-a-0033,207.597375,208.146750,[laughter-time],O,,
sw2900B-ms98-a-0033,208.146750,208.251375,it,B,sv,u-44-1
sw2900B-ms98-a-0033,208.251375,208.403875,was,I,sv,u-44-1
sw2900B-ms98-a-0033,208.403875,208.854625,just,I,sv,u-44-1
sw2900B-ms98-a-0033,209.329250,210.123125,strange,I,sv,u-44-1
sw2900B-ms98-a-0035,220.195000,220.611125,oh,B,sv,u-46-1
sw2900B-ms98-a-0035,220.611125,220.771125,well,I,sv,u-46-1
sw2900B-ms98-a-0035,220.771125,221.021125,that,I,sv,u-46-1
sw2900B-ms98-a-0035,221.021125,221.221125,should,I,sv,u-46-1
sw2900B-ms98-a-0035,221.221125,221.506250,help,I,sv,u-46-1
sw2900B-ms98-a-0036,223.104875,223.919125,[laughter-yeah],O,,
sw2900B-ms98-a-0038,226.282750,226.655500,[laughter-oh],O,,
sw2900B-ms98-a-0038,226.655500,226.832625,[laughter-i],O,,
sw2900B-ms98-a-0038,227.011250,227.232750,[laughter-see],O,,
sw2900B-ms98-a-0038,227.564125,227.903500,oh,B,ba,u-50-2
sw2900B-ms98-a-0038,227.903500,228.380875,gosh,I,ba,u-50-2
sw2900B-ms98-a-0040,231.978000,232.658000,okay,B,b,u-52-1
sw2900B-ms98-a-0040,232.658000,233.158000,well,B,b,u-52-2
sw2900B-ms98-a-0040,233.158000,236.418000,[laughter],O,,
sw2900B-ms98-a-0040,236.418000,236.958000,okay,B,na,u-54-1
sw2900B-ms98-a-0040,236.958000,237.197875,thank,B,ft,u-54-2
sw2900B-ms98-a-0040,237.197875,237.781625,you,I,ft,u-54-2
sw2900B-ms98-a-0040,237.781625,238.479375,bye-bye,O,,
