sw2025B-ms98-a-0002,1.861375,2.461875,fine,B,fp,u-2-1
sw2025B-ms98-a-0019,52.311625,52.381625,i,B,sd,u-20-3
sw2025B-ms98-a-0019,52.381625,52.551625,just,I,sd,u-20-3
sw2025B-ms98-a-0019,52.551625,52.651625,saw,I,sd,u-20-3
sw2025B-ms98-a-0019,52.651625,52.791625,on,I,sd,u-20-3
sw2025B-ms98-a-0019,52.791625,52.871625,the,I,sd,u-20-3
sw2025B-ms98-a-0019,52.871625,53.141625,news,I,sd,u-20-3
sw2025B-ms98-a-0019,53.141625,53.461625,last,I,sd,u-20-3
sw2025B-ms98-a-0019,53.461625,53.701625,night,I,sd,u-20-3
sw2025B-ms98-a-0019,53.701625,53.831625,that,I,sd,u-20-3
sw2025B-ms98-a-0019,53.831625,53.921625,they,I,sd,u-20-3
sw2025B-ms98-a-0019,53.921625,54.141625,said,I,sd,u-20-3
sw2025B-ms98-a-0019,54.141625,54.261625,the,I,sd,u-20-3
sw2025B-ms98-a-0019,54.261625,54.621625,average,I,sd,u-20-3
sw2025B-ms98-a-0019,54.621625,55.041625,time,I,sd,u-20-3
sw2025B-ms98-a-0019,55.339125,55.441625,a,I,sd,u-20-3
sw2025B-ms98-a-0019,55.441625,55.861625,sentenced,I,sd,u-20-3
sw2025B-ms98-a-0019,55.861625,56.441625,murderer,I,sd,u-20-3
sw2025B-ms98-a-0019,56.731625,56.821625,you,I,sd,u-20-3
sw2025B-ms98-a-0019,56.821625,56.971625,know,I,sd,u-20-3
sw2025B-ms98-a-0019,56.971625,57.171625,is,I,sd,u-20-3
sw2025B-ms98-a-0019,57.171625,57.321625,in,I,sd,u-20-3
sw2025B-ms98-a-0019,57.321625,57.651625,jail,I,sd,u-20-3
sw2025B-ms98-a-0019,57.651625,57.801625,is,I,sd,u-20-3
sw2025B-ms98-a-0019,57.801625,58.031625,two,I,sd,u-20-3
sw2025B-ms98-a-0019,58.031625,58.632625,years,I,sd,u-20-3
sw2025B-ms98-a-0019,58.632625,58.871625,before,I,sd,u-20-3
sw2025B-ms98-a-0019,58.871625,58.961625,he's,I,sd,u-20-3
sw2025B-ms98-a-0019,58.961625,59.623000,paroled,I,sd,u-20-3
sw2025B-ms98-a-0019,59.849000,59.981625,and,I,sd,u-20-3
sw2025B-ms98-a-0019,59.981625,60.021625,a,I,sd,u-20-3
sw2025B-ms98-a-0019,60.021625,60.441625,rapists,I,sd,u-20-3
sw2025B-ms98-a-0019,60.441625,60.561625,is,I,sd,u-20-3
sw2025B-ms98-a-0019,60.561625,60.821625,like,I,sd,u-20-3
sw2025B-ms98-a-0019,60.821625,61.091625,six,I,sd,u-20-3
sw2025B-ms98-a-0019,61.091625,61.531625,months,I,sd,u-20-3
sw2025B-ms98-a-0019,61.531625,61.691625,and,B,+,u-22-1
sw2025B-ms98-a-0019,61.691625,61.741625,a,I,+,u-22-1
sw2025B-ms98-a-0019,61.741625,62.151625,burglar,I,+,u-22-1
sw2025B-ms98-a-0019,62.151625,62.221625,is,I,+,u-22-1
sw2025B-ms98-a-0019,62.221625,62.551625,like,I,+,u-22-1
sw2025B-ms98-a-0019,62.551625,62.751625,two,I,+,u-22-1
sw2025B-ms98-a-0019,62.751625,63.269125,months,I,+,u-22-1
sw2025B-ms98-a-0020,64.004875,64.300125,because,B,sd,u-24-1
sw2025B-ms98-a-0020,64.300125,64.420125,they,I,sd,u-24-1
sw2025B-ms98-a-0020,64.420125,64.590125,just,I,sd,u-24-1
sw2025B-ms98-a-0020,64.590125,64.720125,say,I,sd,u-24-1
sw2025B-ms98-a-0020,64.720125,64.929125,there's,I,sd,u-24-1
sw2025B-ms98-a-0020,65.091125,65.260125,either,I,sd,u-24-1
sw2025B-ms98-a-0020,65.260125,65.510125,no,I,sd,u-24-1
sw2025B-ms98-a-0020,65.510125,65.680125,room,I,sd,u-24-1
sw2025B-ms98-a-0020,65.680125,65.760125,in,I,sd,u-24-1
sw2025B-ms98-a-0020,65.760125,65.930125,the,I,sd,u-24-1
sw2025B-ms98-a-0020,65.930125,66.390125,system,I,sd,u-24-1
sw2025B-ms98-a-0020,66.390125,66.450125,you,I,sd,u-24-1
sw2025B-ms98-a-0020,66.450125,66.540125,know,I,sd,u-24-1
sw2025B-ms98-a-0020,66.540125,66.600125,in,I,sd,u-24-1
sw2025B-ms98-a-0020,66.600125,66.670125,the,I,sd,u-24-1
sw2025B-ms98-a-0020,66.670125,67.110125,jails,I,sd,u-24-1
sw2025B-ms98-a-0020,67.110125,67.380125,for,I,sd,u-24-1
sw2025B-ms98-a-0020,67.380125,67.640125,them,I,sd,u-24-1
sw2025B-ms98-a-0020,67.640125,67.999625,or,B,sv,u-24-2
sw2025B-ms98-a-0021,68.901750,68.970375,you,I,sv,u-24-2
sw2025B-ms98-a-0021,68.970375,69.170375,know,I,sv,u-24-2
sw2025B-ms98-a-0021,69.170375,69.340375,it's,I,sv,u-24-2
sw2025B-ms98-a-0021,69.340375,69.550375,just,I,sv,u-24-2
sw2025B-ms98-a-0021,69.550375,69.683500,that,I,sv,u-24-2
sw2025B-ms98-a-0021,69.683500,69.803500,it,I,sv,u-24-2
sw2025B-ms98-a-0021,69.803500,70.050375,seems,I,sv,u-24-2
sw2025B-ms98-a-0021,70.050375,70.220375,like,I,sv,u-24-2
sw2025B-ms98-a-0021,70.220375,70.290375,the,I,sv,u-24-2
sw2025B-ms98-a-0021,70.290375,70.870375,automatic,I,sv,u-24-2
sw2025B-ms98-a-0021,70.870375,71.480375,sentences,I,sv,u-24-2
sw2025B-ms98-a-0021,71.480375,71.630375,if,I,sv,u-24-2
sw2025B-ms98-a-0021,71.630375,71.780375,if,I,sv,u-24-2
sw2025B-ms98-a-0021,71.780375,71.880375,a,I,sv,u-24-2
sw2025B-ms98-a-0021,71.880375,72.451250,judge,I,sv,u-24-2
sw2025B-ms98-a-0021,72.451250,72.740375,has,I,sv,u-24-2
sw2025B-ms98-a-0021,72.740375,73.419375,leeway,I,sv,u-24-2
sw2025B-ms98-a-0021,73.698000,73.880375,on,I,sv,u-24-2
sw2025B-ms98-a-0021,73.880375,74.030375,what,I,sv,u-24-2
sw2025B-ms98-a-0021,74.030375,74.260375,he's,I,sv,u-24-2
sw2025B-ms98-a-0021,74.260375,74.570375,going,I,sv,u-24-2
sw2025B-ms98-a-0021,74.570375,75.012500,to,I,sv,u-24-2
sw2025B-ms98-a-0021,75.219625,75.313125,you,I,sv,u-24-2
sw2025B-ms98-a-0021,75.313125,75.420375,know,I,sv,u-24-2
sw2025B-ms98-a-0021,75.420375,75.780375,sentence,I,sv,u-24-2
sw2025B-ms98-a-0021,75.780375,76.090375,someone,I,sv,u-24-2
sw2025B-ms98-a-0021,76.090375,76.540375,for,I,sv,u-24-2
sw2025B-ms98-a-0021,76.640375,77.172125,between,I,sv,u-24-2
sw2025B-ms98-a-0021,77.273875,77.320375,you,I,sv,u-24-2
sw2025B-ms98-a-0021,77.320375,77.420375,know,I,sv,u-24-2
sw2025B-ms98-a-0021,77.420375,77.660375,two,I,sv,u-24-2
sw2025B-ms98-a-0021,77.660375,78.057875,months,I,sv,u-24-2
sw2025B-ms98-a-0021,78.057875,78.314000,and,I,sv,u-24-2
sw2025B-ms98-a-0021,78.314000,78.400375,uh,I,sv,u-24-2
sw2025B-ms98-a-0021,78.400375,78.710375,fifty,I,sv,u-24-2
sw2025B-ms98-a-0021,78.710375,79.410375,years,I,sv,u-24-2
sw2025B-ms98-a-0021,79.410375,79.574000,and,I,sv,u-24-2
sw2025B-ms98-a-0021,79.670000,79.750375,you,I,sv,u-24-2
sw2025B-ms98-a-0021,79.750375,79.985625,know,I,sv,u-24-2
sw2025B-ms98-a-0021,80.185125,80.430375,what's,I,sv,u-24-2
sw2025B-ms98-a-0021,80.430375,80.620375,his,I,sv,u-24-2
sw2025B-ms98-a-0021,80.620375,81.030375,whim,I,sv,u-24-2
sw2025B-ms98-a-0021,81.030375,81.130375,to,I,sv,u-24-2
sw2025B-ms98-a-0021,81.130375,81.680375,decide,I,sv,u-24-2
sw2025B-ms98-a-0021,81.680375,81.790375,it,I,sv,u-24-2
sw2025B-ms98-a-0021,81.790375,81.940375,should,I,sv,u-24-2
sw2025B-ms98-a-0021,81.940375,82.030375,be,I,sv,u-24-2
sw2025B-ms98-a-0021,82.030375,82.220375,two,I,sv,u-24-2
sw2025B-ms98-a-0021,82.220375,82.756750,months,I,sv,u-24-2
sw2025B-ms98-a-0022,83.748750,83.828750,you,B,sv,u-26-1
sw2025B-ms98-a-0022,83.828750,84.078750,know,I,sv,u-26-1
sw2025B-ms98-a-0022,84.078750,84.278750,it's,I,sv,u-26-1
sw2025B-ms98-a-0022,84.278750,84.808750,crazy,I,sv,u-26-1
sw2025B-ms98-a-0024,95.323500,95.780500,yeah,B,b,u-28-1
sw2025B-ms98-a-0026,98.170125,98.320750,well,B,sd,u-30-1
sw2025B-ms98-a-0026,98.320750,98.510750,even,I,sd,u-30-1
sw2025B-ms98-a-0026,98.510750,98.600750,if,I,sd,u-30-1
sw2025B-ms98-a-0026,98.600750,98.770750,it's,I,sd,u-30-1
sw2025B-ms98-a-0026,98.770750,99.200750,life,I,sd,u-30-1
sw2025B-ms98-a-0026,99.200750,99.340750,like,I,sd,u-30-1
sw2025B-ms98-a-0026,99.340750,99.480750,you,I,sd,u-30-1
sw2025B-ms98-a-0026,99.480750,99.640750,say,I,sd,u-30-1
sw2025B-ms98-a-0026,99.640750,99.800750,we,I,sd,u-30-1
sw2025B-ms98-a-0026,99.800750,99.940750,end,I,sd,u-30-1
sw2025B-ms98-a-0026,99.940750,100.040750,up,I,sd,u-30-1
sw2025B-ms98-a-0026,100.040750,100.330750,spending,I,sd,u-30-1
sw2025B-ms98-a-0026,100.330750,100.660750,sixty,I,sd,u-30-1
sw2025B-ms98-a-0026,100.660750,101.000750,thousand,I,sd,u-30-1
sw2025B-ms98-a-0026,101.000750,101.250750,dollars,I,sd,u-30-1
sw2025B-ms98-a-0026,101.250750,101.290750,a,I,sd,u-30-1
sw2025B-ms98-a-0026,101.290750,101.660750,year,I,sd,u-30-1
sw2025B-ms98-a-0026,101.660750,101.730750,to,I,sd,u-30-1
sw2025B-ms98-a-0026,101.730750,101.980750,keep,I,sd,u-30-1
sw2025B-ms98-a-0026,101.980750,102.300750,some,I,sd,u-30-1
sw2025B-ms98-a-0026,102.300750,102.390750,you,I,sd,u-30-1
sw2025B-ms98-a-0026,102.390750,102.610750,know,I,sd,u-30-1
sw2025B-ms98-a-0026,102.610750,103.030750,joker,I,sd,u-30-1
sw2025B-ms98-a-0026,103.030750,103.190750,in,I,sd,u-30-1
sw2025B-ms98-a-0026,103.190750,103.440750,there,I,sd,u-30-1
sw2025B-ms98-a-0026,103.440750,103.630750,for,I,sd,u-30-1
sw2025B-ms98-a-0026,103.630750,104.150750,life,I,sd,u-30-1
sw2025B-ms98-a-0026,104.460750,104.540750,we,B,sv,u-30-2
sw2025B-ms98-a-0026,104.540750,104.650750,could,I,sv,u-30-2
sw2025B-ms98-a-0026,104.650750,104.890750,spend,I,sv,u-30-2
sw2025B-ms98-a-0026,104.890750,105.020750,that,I,sv,u-30-2
sw2025B-ms98-a-0026,105.020750,105.370750,money,I,sv,u-30-2
sw2025B-ms98-a-0026,105.370750,105.480750,you,I,sv,u-30-2
sw2025B-ms98-a-0026,105.480750,105.710750,know,I,sv,u-30-2
sw2025B-ms98-a-0026,105.710750,105.800750,for,I,sv,u-30-2
sw2025B-ms98-a-0026,105.800750,106.050750,s[tarving]-,I,sv,u-30-2
sw2025B-ms98-a-0026,106.050750,106.430750,children,I,sv,u-30-2
sw2025B-ms98-a-0026,106.430750,106.520750,that,I,sv,u-30-2
sw2025B-ms98-a-0026,106.520750,106.733000,are,I,sv,u-30-2
sw2025B-ms98-a-0026,106.733000,107.170750,starving,I,sv,u-30-2
sw2025B-ms98-a-0026,107.170750,107.381250,or,I,sv,u-30-2
sw2025B-ms98-a-0026,107.524375,107.770750,twelve,I,sv,u-30-2
sw2025B-ms98-a-0026,107.770750,108.040750,million,I,sv,u-30-2
sw2025B-ms98-a-0026,108.040750,108.250750,other,I,sv,u-30-2
sw2025B-ms98-a-0026,108.250750,108.520750,things,I,sv,u-30-2
sw2025B-ms98-a-0026,108.520750,108.660750,would,I,sv,u-30-2
sw2025B-ms98-a-0026,108.660750,108.740750,be,I,sv,u-30-2
sw2025B-ms98-a-0026,108.740750,108.940750,more,I,sv,u-30-2
sw2025B-ms98-a-0026,108.940750,109.340750,useful,I,sv,u-30-2
sw2025B-ms98-a-0026,109.340750,109.500750,than,I,sv,u-30-2
sw2025B-ms98-a-0026,109.500750,109.909625,that,I,sv,u-30-2
sw2025B-ms98-a-0027,110.736500,110.842750,so,B,sv,u-32-1
sw2025B-ms98-a-0027,110.842750,110.962750,to,I,sv,u-32-1
sw2025B-ms98-a-0027,110.962750,111.102750,me,I,sv,u-32-1
sw2025B-ms98-a-0027,111.102750,111.192750,if,I,sv,u-32-1
sw2025B-ms98-a-0027,111.192750,111.532750,somebody,I,sv,u-32-1
sw2025B-ms98-a-0027,111.532750,111.742750,has,I,sv,u-32-1
sw2025B-ms98-a-0027,111.742750,112.192750,life,I,sv,u-32-1
sw2025B-ms98-a-0027,112.192750,112.302750,you,I,sv,u-32-1
sw2025B-ms98-a-0027,112.302750,112.492750,know,I,sv,u-32-1
sw2025B-ms98-a-0027,112.492750,112.652750,beyond,I,sv,u-32-1
sw2025B-ms98-a-0027,112.652750,112.802750,a,I,sv,u-32-1
sw2025B-ms98-a-0027,112.802750,113.272750,reasonable,I,sv,u-32-1
sw2025B-ms98-a-0027,113.272750,113.702750,doubt,I,sv,u-32-1
sw2025B-ms98-a-0027,113.702750,113.822750,they,I,sv,u-32-1
sw2025B-ms98-a-0027,113.822750,114.072750,should,I,sv,u-32-1
sw2025B-ms98-a-0027,114.072750,114.272750,that,I,sv,u-32-1
sw2025B-ms98-a-0027,114.272750,114.442750,should,I,sv,u-32-1
sw2025B-ms98-a-0027,114.442750,114.612750,be,I,sv,u-32-1
sw2025B-ms98-a-0027,114.612750,114.892750,it,I,sv,u-32-1
sw2025B-ms98-a-0027,114.892750,114.952750,you,B,sv,u-34-1
sw2025B-ms98-a-0027,114.952750,115.072750,know,I,sv,u-34-1
sw2025B-ms98-a-0027,115.072750,115.662750,particularly,I,sv,u-34-1
sw2025B-ms98-a-0027,115.662750,115.722750,for,I,sv,u-34-1
sw2025B-ms98-a-0027,115.722750,115.892750,some,I,sv,u-34-1
sw2025B-ms98-a-0027,115.892750,115.982750,of,I,sv,u-34-1
sw2025B-ms98-a-0027,115.982750,116.192750,these,I,sv,u-34-1
sw2025B-ms98-a-0027,116.192750,116.632750,really,I,sv,u-34-1
sw2025B-ms98-a-0028,117.068250,117.108250,i,I,sv,u-34-1
sw2025B-ms98-a-0028,117.108250,117.208250,mean,I,sv,u-34-1
sw2025B-ms98-a-0028,117.208250,117.308250,there,B,sv,u-34-2
sw2025B-ms98-a-0028,117.308250,117.368250,are,I,sv,u-34-2
sw2025B-ms98-a-0028,117.368250,117.678250,so,I,sv,u-34-2
sw2025B-ms98-a-0028,117.678250,118.068250,many,I,sv,u-34-2
sw2025B-ms98-a-0028,118.068250,118.262250,just,I,sv,u-34-2
sw2025B-ms98-a-0028,118.405375,118.968250,major,I,sv,u-34-2
sw2025B-ms98-a-0028,118.968250,119.418250,major,I,sv,u-34-2
sw2025B-ms98-a-0028,119.418250,119.898250,serial,I,sv,u-34-2
sw2025B-ms98-a-0028,119.898250,120.508250,murders,I,sv,u-34-2
sw2025B-ms98-a-0028,120.508250,120.760125,and,O,,
sw2025B-ms98-a-0028,121.295000,121.418250,it's,B,sv,u-34-3
sw2025B-ms98-a-0028,121.418250,121.638250,not,I,sv,u-34-3
sw2025B-ms98-a-0028,121.638250,121.838250,just,I,sv,u-34-3
sw2025B-ms98-a-0028,121.838250,122.104250,like,I,sv,u-34-3
sw2025B-ms98-a-0028,122.345250,122.428000,you,I,sv,u-34-3
sw2025B-ms98-a-0028,122.428000,122.637000,know,I,sv,u-34-3
sw2025B-ms98-a-0028,122.637000,122.828250,one,I,sv,u-34-3
sw2025B-ms98-a-0028,122.828250,123.348250,instance,I,sv,u-34-3
sw2025B-ms98-a-0028,123.348250,123.428250,or,I,sv,u-34-3
sw2025B-ms98-a-0028,123.428250,123.908250,something,I,sv,u-34-3
sw2025B-ms98-a-0028,123.908250,124.088250,it's,I,sv,u-34-3
sw2025B-ms98-a-0028,124.088250,124.561750,just,I,sv,u-34-3
sw2025B-ms98-a-0028,124.561750,125.103250,uh,I,sv,u-34-3
sw2025B-ms98-a-0028,125.103250,125.708250,horrifying,I,sv,u-34-3
sw2025B-ms98-a-0028,125.708250,125.888250,some,I,sv,u-34-3
sw2025B-ms98-a-0028,125.888250,125.978250,of,I,sv,u-34-3
sw2025B-ms98-a-0028,125.978250,126.038250,the,I,sv,u-34-3
sw2025B-ms98-a-0028,126.038250,126.508250,murders,I,sv,u-34-3
sw2025B-ms98-a-0028,126.508250,126.628250,that,I,sv,u-34-3
sw2025B-ms98-a-0028,126.628250,126.838250,go,I,sv,u-34-3
sw2025B-ms98-a-0028,126.838250,127.188750,on,I,sv,u-34-3
sw2025B-ms98-a-0029,128.571125,128.997750,yeah,B,aa,u-36-1
sw2025B-ms98-a-0029,129.140875,129.347625,and,O,,
sw2025B-ms98-a-0029,129.558625,129.626125,the,O,,
sw2025B-ms98-a-0029,129.626125,129.926125,yeah,B,aa^r,u-36-3
sw2025B-ms98-a-0029,129.926125,130.156125,there's,B,sd,u-36-4
sw2025B-ms98-a-0029,130.156125,130.336125,just,I,sd,u-36-4
sw2025B-ms98-a-0029,130.336125,130.716125,everyday,I,sd,u-36-4
sw2025B-ms98-a-0029,130.716125,130.836125,you,I,sd,u-36-4
sw2025B-ms98-a-0029,130.836125,130.976125,hear,I,sd,u-36-4
sw2025B-ms98-a-0029,130.976125,131.056125,on,I,sd,u-36-4
sw2025B-ms98-a-0029,131.056125,131.116125,the,I,sd,u-36-4
sw2025B-ms98-a-0029,131.116125,131.366125,news,I,sd,u-36-4
sw2025B-ms98-a-0029,131.366125,131.446125,of,I,sd,u-36-4
sw2025B-ms98-a-0029,131.446125,131.776125,another,I,sd,u-36-4
sw2025B-ms98-a-0029,131.776125,131.936125,one,I,sd,u-36-4
sw2025B-ms98-a-0029,131.936125,132.213250,like,I,sd,u-36-4
sw2025B-ms98-a-0029,132.213250,132.706625,that,I,sd,u-36-4
sw2025B-ms98-a-0029,132.706625,133.074750,um,O,,
sw2025B-ms98-a-0031,135.668375,136.342250,yeah,B,b,u-38-1
sw2025B-ms98-a-0033,139.522000,139.980375,um-hum,B,b,u-40-1
sw2025B-ms98-a-0035,159.549250,159.929250,right,B,aa,u-42-1
sw2025B-ms98-a-0035,159.929250,160.129250,yeah,B,aa,u-42-2
sw2025B-ms98-a-0035,160.129250,160.189250,i,B,sd,u-42-3
sw2025B-ms98-a-0035,160.189250,160.339250,heard,I,sd,u-42-3
sw2025B-ms98-a-0035,160.339250,160.589250,about,I,sd,u-42-3
sw2025B-ms98-a-0035,160.589250,160.709250,that,I,sd,u-42-3
sw2025B-ms98-a-0035,160.709250,160.789250,on,I,sd,u-42-3
sw2025B-ms98-a-0035,160.789250,160.849250,the,I,sd,u-42-3
sw2025B-ms98-a-0035,160.849250,161.299250,news,I,sd,u-42-3
sw2025B-ms98-a-0035,161.299250,161.769250,yeah,O,,
sw2025B-ms98-a-0037,179.037000,179.507000,right,B,b,u-44-1
sw2025B-ms98-a-0037,180.247000,180.497000,rather,B,sv,u-46-1
sw2025B-ms98-a-0037,180.497000,180.627000,than,I,sv,u-46-1
sw2025B-ms98-a-0037,180.627000,180.840875,have,I,sv,u-46-1
sw2025B-ms98-a-0037,180.840875,180.999125,to,I,sv,u-46-1
sw2025B-ms98-a-0037,180.999125,181.607000,retrial,I,sv,u-46-1
sw2025B-ms98-a-0037,181.607000,181.677000,the,I,sv,u-46-1
sw2025B-ms98-a-0037,181.677000,181.937000,whole,I,sv,u-46-1
sw2025B-ms98-a-0037,181.937000,182.177000,whole,I,sv,u-46-1
sw2025B-ms98-a-0037,182.177000,182.517000,thing,I,sv,u-46-1
sw2025B-ms98-a-0037,182.517000,182.667000,and,I,sv,u-46-1
sw2025B-ms98-a-0037,182.667000,182.907000,spend,I,sv,u-46-1
sw2025B-ms98-a-0037,182.907000,183.077000,all,I,sv,u-46-1
sw2025B-ms98-a-0037,183.077000,183.167000,the,I,sv,u-46-1
sw2025B-ms98-a-0037,183.167000,183.557000,money,I,sv,u-46-1
sw2025B-ms98-a-0037,183.557000,183.707000,for,I,sv,u-46-1
sw2025B-ms98-a-0037,183.707000,184.037000,people,I,sv,u-46-1
sw2025B-ms98-a-0037,184.037000,184.341250,to,I,sv,u-46-1
sw2025B-ms98-a-0037,184.446750,184.577250,you,I,sv,u-46-1
sw2025B-ms98-a-0037,184.577250,184.797000,know,I,sv,u-46-1
sw2025B-ms98-a-0037,184.797000,184.957000,go,I,sv,u-46-1
sw2025B-ms98-a-0037,184.957000,185.297000,back,I,sv,u-46-1
sw2025B-ms98-a-0037,185.297000,185.387000,to,I,sv,u-46-1
sw2025B-ms98-a-0037,185.387000,185.667000,court,I,sv,u-46-1
sw2025B-ms98-a-0037,185.667000,185.767000,and,I,sv,u-46-1
sw2025B-ms98-a-0037,185.767000,185.907000,all,I,sv,u-46-1
sw2025B-ms98-a-0037,185.907000,185.977000,the,I,sv,u-46-1
sw2025B-ms98-a-0037,185.977000,186.537000,lawyers,I,sv,u-46-1
sw2025B-ms98-a-0037,186.537000,186.754000,and,B,sv,u-46-2
sw2025B-ms98-a-0037,187.191000,187.247000,i,I,sv,u-46-2
sw2025B-ms98-a-0037,187.247000,187.337000,mean,I,sv,u-46-2
sw2025B-ms98-a-0037,187.337000,187.407000,it,I,sv,u-46-2
sw2025B-ms98-a-0037,187.407000,187.607000,just,I,sv,u-46-2
sw2025B-ms98-a-0037,187.607000,187.827000,winds,I,sv,u-46-2
sw2025B-ms98-a-0037,187.827000,187.947000,up,I,sv,u-46-2
sw2025B-ms98-a-0037,187.947000,188.277000,costing,I,sv,u-46-2
sw2025B-ms98-a-0037,188.277000,188.337000,the,I,sv,u-46-2
sw2025B-ms98-a-0037,188.337000,189.047000,taxpayers,I,sv,u-46-2
sw2025B-ms98-a-0037,189.047000,189.146625,a,I,sv,u-46-2
sw2025B-ms98-a-0037,189.312250,189.416375,f[ortune]-,I,sv,u-46-2
sw2025B-ms98-a-0037,189.416375,189.497000,you,I,sv,u-46-2
sw2025B-ms98-a-0037,189.497000,189.627000,know,I,sv,u-46-2
sw2025B-ms98-a-0037,189.627000,189.747000,a,I,sv,u-46-2
sw2025B-ms98-a-0037,189.747000,190.127000,fortune,I,sv,u-46-2
sw2025B-ms98-a-0037,190.127000,190.197000,to,I,sv,u-46-2
sw2025B-ms98-a-0037,190.197000,190.417000,keep,I,sv,u-46-2
sw2025B-ms98-a-0037,190.417000,190.697000,doing,I,sv,u-46-2
sw2025B-ms98-a-0037,190.697000,191.025500,that,I,sv,u-46-2
sw2025B-ms98-a-0038,191.551875,191.681875,and,B,sv,u-48-1
sw2025B-ms98-a-0038,191.681875,191.741875,the,I,sv,u-48-1
sw2025B-ms98-a-0038,191.741875,192.321875,victims,I,sv,u-48-1
sw2025B-ms98-a-0038,192.321875,192.421875,you,I,sv,u-48-1
sw2025B-ms98-a-0038,192.421875,192.551875,know,I,sv,u-48-1
sw2025B-ms98-a-0038,192.551875,192.611875,the,I,sv,u-48-1
sw2025B-ms98-a-0038,192.611875,193.181875,family,I,sv,u-48-1
sw2025B-ms98-a-0038,193.181875,193.291875,of,I,sv,u-48-1
sw2025B-ms98-a-0038,193.291875,193.571875,these,I,sv,u-48-1
sw2025B-ms98-a-0038,193.571875,193.881875,people,I,sv,u-48-1
sw2025B-ms98-a-0038,193.881875,193.981875,that,I,sv,u-48-1
sw2025B-ms98-a-0038,193.981875,194.081875,have,I,sv,u-48-1
sw2025B-ms98-a-0038,194.081875,194.241875,been,I,sv,u-48-1
sw2025B-ms98-a-0038,194.241875,194.681875,murdered,I,sv,u-48-1
sw2025B-ms98-a-0038,194.681875,194.821875,they,I,sv,u-48-1
sw2025B-ms98-a-0038,194.821875,195.041875,just,I,sv,u-48-1
sw2025B-ms98-a-0038,195.041875,195.161875,have,I,sv,u-48-1
sw2025B-ms98-a-0038,195.161875,195.301875,to,I,sv,u-48-1
sw2025B-ms98-a-0038,195.301875,195.401875,have,I,sv,u-48-1
sw2025B-ms98-a-0038,195.401875,195.491875,it,I,sv,u-48-1
sw2025B-ms98-a-0038,195.491875,195.831875,dragged,I,sv,u-48-1
sw2025B-ms98-a-0038,195.831875,195.991875,on,I,sv,u-48-1
sw2025B-ms98-a-0038,195.991875,196.091875,for,I,sv,u-48-1
sw2025B-ms98-a-0038,196.091875,196.361875,years,I,sv,u-48-1
sw2025B-ms98-a-0038,196.361875,196.501875,and,I,sv,u-48-1
sw2025B-ms98-a-0038,196.501875,196.761875,years,I,sv,u-48-1
sw2025B-ms98-a-0038,196.761875,197.011875,before,I,sv,u-48-1
sw2025B-ms98-a-0038,197.011875,197.091875,they,I,sv,u-48-1
sw2025B-ms98-a-0038,197.091875,197.241875,ever,I,sv,u-48-1
sw2025B-ms98-a-0038,197.241875,197.361875,get,I,sv,u-48-1
sw2025B-ms98-a-0038,197.361875,197.451875,any,I,sv,u-48-1
sw2025B-ms98-a-0038,197.451875,198.235250,resolution,I,sv,u-48-1
sw2025B-ms98-a-0040,202.440000,203.030000,right,B,aa,u-50-1
sw2025B-ms98-a-0041,204.140250,204.644125,yeah,B,aa,u-50-2
