sw3237B-ms98-a-0002,1.827250,2.356500,um-hum,B,ny,u-2-1
sw3237B-ms98-a-0036,81.551375,81.973125,uh-huh,B,b,u-50-1
sw3237B-ms98-a-0038,85.114875,85.667375,ah,O,,
sw3237B-ms98-a-0040,88.892625,89.348000,um-hum,B,b,u-54-1
sw3237B-ms98-a-0042,93.748875,94.202875,uh-huh,B,b,u-56-1
sw3237B-ms98-a-0043,95.750500,97.665875,[laughter],O,,
sw3237B-ms98-a-0044,98.934250,99.804500,yeah,B,b,u-60-1
sw3237B-ms98-a-0046,102.947875,103.375125,uh-huh,B,b,u-62-1
sw3237B-ms98-a-0047,103.855125,104.381375,[laughter],O,,
sw3237B-ms98-a-0047,104.381375,104.744875,how,B,ba,u-64-1
sw3237B-ms98-a-0047,104.744875,105.241375,fun,I,ba,u-64-1
sw3237B-ms98-a-0047,105.241375,107.570125,[laughter],O,,
sw3237B-ms98-a-0049,110.033875,110.752875,uh-huh,B,b,u-68-1
sw3237B-ms98-a-0050,112.211000,112.691000,uh-huh,B,b,u-70-1
sw3237B-ms98-a-0052,115.238250,115.348250,and,B,qw,u-72-1
sw3237B-ms98-a-0052,115.348250,115.428250,how,I,qw,u-72-1
sw3237B-ms98-a-0052,115.428250,115.678250,old's,I,qw,u-72-1
sw3237B-ms98-a-0052,115.678250,115.758250,the,I,qw,u-72-1
sw3237B-ms98-a-0052,115.758250,116.369875,youngest,I,qw,u-72-1
sw3237B-ms98-a-0053,117.511750,117.943000,um-hum,B,b,u-74-1
sw3237B-ms98-a-0055,123.637750,124.043875,uh-huh,B,b,u-76-1
sw3237B-ms98-a-0056,125.124750,125.509250,um-hum,B,b,u-78-1
sw3237B-ms98-a-0058,128.664500,129.846875,[laughter],O,,
sw3237B-ms98-a-0059,131.265750,132.284875,um-hum,B,b,u-82-1
sw3237B-ms98-a-0061,138.150500,138.563750,yeah,B,b,u-84-1
sw3237B-ms98-a-0063,141.422375,142.034125,yeah,B,b,u-86-1
sw3237B-ms98-a-0064,143.097500,143.297500,that's,B,sd,u-88-1
sw3237B-ms98-a-0064,143.297500,143.457500,what,I,sd,u-88-1
sw3237B-ms98-a-0064,143.457500,143.617500,we'd,I,sd,u-88-1
sw3237B-ms98-a-0064,143.617500,143.877500,like,I,sd,u-88-1
sw3237B-ms98-a-0064,143.877500,144.007500,to,I,sd,u-88-1
sw3237B-ms98-a-0064,144.007500,144.683875,do,I,sd,u-88-1
sw3237B-ms98-a-0066,146.776625,147.053750,oh,B,na,u-90-1
sw3237B-ms98-a-0066,147.053750,147.263750,it's,I,na,u-90-1
sw3237B-ms98-a-0066,147.263750,147.723750,wonderful,I,na,u-90-1
sw3237B-ms98-a-0066,147.723750,148.093750,place,I,na,u-90-1
sw3237B-ms98-a-0066,148.093750,148.153750,to,I,na,u-90-1
sw3237B-ms98-a-0066,148.153750,148.333750,live,I,na,u-90-1
sw3237B-ms98-a-0066,148.333750,148.493750,and,B,%,u-90-2
sw3237B-ms98-a-0066,148.493750,148.662750,they,I,%,u-90-2
sw3237B-ms98-a-0066,148.813375,148.993750,i,B,sd,u-90-3
sw3237B-ms98-a-0066,148.993750,149.203750,don't,I,sd,u-90-3
sw3237B-ms98-a-0066,149.203750,149.303750,have,I,sd,u-90-3
sw3237B-ms98-a-0066,149.303750,149.423750,any,I,sd,u-90-3
sw3237B-ms98-a-0066,149.423750,149.833750,kids,I,sd,u-90-3
sw3237B-ms98-a-0066,149.833750,149.993750,so,B,sd,u-90-4
sw3237B-ms98-a-0066,149.993750,150.143750,i,I,sd,u-90-4
sw3237B-ms98-a-0066,150.143750,150.343750,don't,I,sd,u-90-4
sw3237B-ms98-a-0066,150.343750,150.613750,really,I,sd,u-90-4
sw3237B-ms98-a-0066,150.613750,150.873750,know,I,sd,u-90-4
sw3237B-ms98-a-0066,150.873750,151.043750,but,B,sd,u-90-5
sw3237B-ms98-a-0066,151.043750,151.163750,they,I,sd,u-90-5
sw3237B-ms98-a-0066,151.163750,151.523750,say,I,sd,u-90-5
sw3237B-ms98-a-0066,151.523750,151.653750,that,I,sd,u-90-5
sw3237B-ms98-a-0066,151.653750,151.813750,we,I,sd,u-90-5
sw3237B-ms98-a-0066,151.813750,152.033750,have,I,sd,u-90-5
sw3237B-ms98-a-0066,152.033750,152.753750,wonderful,I,sd,u-90-5
sw3237B-ms98-a-0066,152.753750,153.532125,schools,I,sd,u-90-5
sw3237B-ms98-a-0067,154.445625,155.044750,um-hum,B,b,u-92-1
sw3237B-ms98-a-0067,155.685625,156.167500,um-hum,O,,
sw3237B-ms98-a-0067,156.974500,157.503750,um-hum,O,,
sw3237B-ms98-a-0067,158.317875,158.661125,um,B,b,u-94-1
sw3237B-ms98-a-0068,160.721500,161.111000,n[ah]-,O,,
sw3237B-ms98-a-0068,161.111000,161.318500,i,B,ng,u-96-1
sw3237B-ms98-a-0068,161.318500,161.578500,don't,I,ng,u-96-1
sw3237B-ms98-a-0068,161.578500,161.818500,think,I,ng,u-96-1
sw3237B-ms98-a-0068,161.818500,162.078500,so,I,ng,u-96-1
sw3237B-ms98-a-0068,162.078500,162.675625,nah,O,,
sw3237B-ms98-a-0068,162.675625,165.582000,[laughter],O,,
sw3237B-ms98-a-0068,165.582000,165.898500,oh,B,na,u-100-1
sw3237B-ms98-a-0068,165.898500,165.978500,of,I,na,u-100-1
sw3237B-ms98-a-0068,165.978500,166.388500,course,I,na,u-100-1
sw3237B-ms98-a-0068,166.388500,166.608500,those,I,na,u-100-1
sw3237B-ms98-a-0068,166.608500,166.678500,are,I,na,u-100-1
sw3237B-ms98-a-0068,166.678500,166.818500,my,I,na,u-100-1
sw3237B-ms98-a-0068,166.818500,167.358500,kids,I,na,u-100-1
sw3237B-ms98-a-0068,167.358500,167.438500,i,B,sd,u-102-1
sw3237B-ms98-a-0068,167.438500,167.678500,have,I,sd,u-102-1
sw3237B-ms98-a-0068,167.678500,167.868500,two,I,sd,u-102-1
sw3237B-ms98-a-0068,167.868500,168.495125,dogs,I,sd,u-102-1
sw3237B-ms98-a-0068,168.495125,169.496750,[laughter],O,,
sw3237B-ms98-a-0069,170.486250,170.891000,yeah,B,ny,u-106-1
sw3237B-ms98-a-0069,170.891000,171.087375,they're,B,sd^e,u-106-2
sw3237B-ms98-a-0069,171.087375,171.527375,inside,I,sd^e,u-106-2
sw3237B-ms98-a-0069,171.527375,172.054125,dogs,I,sd^e,u-106-2
sw3237B-ms98-a-0069,172.840125,173.027375,they're,B,sd,u-108-1
sw3237B-ms98-a-0069,173.027375,173.167375,my,I,sd,u-108-1
sw3237B-ms98-a-0069,173.167375,174.034000,babies,I,sd,u-108-1
sw3237B-ms98-a-0069,174.034000,175.923250,[laughter],O,,
sw3237B-ms98-a-0070,178.745000,179.362375,uh,B,sd,u-112-1
sw3237B-ms98-a-0070,179.362375,180.012875,um,I,sd,u-112-1
sw3237B-ms98-a-0070,180.012875,180.222875,kind,I,sd,u-112-1
sw3237B-ms98-a-0070,180.222875,180.342875,of,I,sd,u-112-1
sw3237B-ms98-a-0070,180.342875,180.412875,a,I,sd,u-112-1
sw3237B-ms98-a-0070,180.412875,181.002875,mauve,I,sd,u-112-1
sw3237B-ms98-a-0070,181.002875,181.202875,and,I,sd,u-112-1
sw3237B-ms98-a-0070,181.202875,181.635125,gray,I,sd,u-112-1
sw3237B-ms98-a-0071,182.736250,183.168875,um-hum,B,ny,u-114-1
sw3237B-ms98-a-0071,183.383625,183.582500,and,B,sd^e,u-114-2
sw3237B-ms98-a-0071,183.582500,183.702500,then,I,sd^e,u-114-2
sw3237B-ms98-a-0071,183.702500,183.762500,the,I,sd^e,u-114-2
sw3237B-ms98-a-0071,183.762500,184.282500,kitchen's,I,sd^e,u-114-2
sw3237B-ms98-a-0071,184.282500,184.624000,kind,I,sd^e,u-114-2
sw3237B-ms98-a-0071,184.624000,184.854250,of,I,sd^e,u-114-2
sw3237B-ms98-a-0071,184.854250,185.004375,a,I,sd^e,u-114-2
sw3237B-ms98-a-0071,185.328375,185.517125,a,I,sd^e,u-114-2
sw3237B-ms98-a-0071,186.063250,186.472500,country,I,sd^e,u-114-2
sw3237B-ms98-a-0071,186.472500,186.922500,pink,I,sd^e,u-114-2
sw3237B-ms98-a-0071,186.922500,187.042500,and,I,sd^e,u-114-2
sw3237B-ms98-a-0071,187.042500,187.462500,country,I,sd^e,u-114-2
sw3237B-ms98-a-0071,187.462500,188.012500,blue,I,sd^e,u-114-2
sw3237B-ms98-a-0071,188.012500,188.192625,and,B,sd,u-114-3
sw3237B-ms98-a-0072,188.766250,188.927750,it's,B,+,u-116-1
sw3237B-ms98-a-0072,188.927750,189.087750,all,I,+,u-116-1
sw3237B-ms98-a-0072,189.087750,189.327750,done,I,+,u-116-1
sw3237B-ms98-a-0072,189.327750,189.447750,in,I,+,u-116-1
sw3237B-ms98-a-0072,189.447750,190.188250,cows,I,+,u-116-1
sw3237B-ms98-a-0072,190.188250,190.377750,i'm,B,sd,u-116-2
sw3237B-ms98-a-0072,190.377750,190.417750,a,I,sd,u-116-2
sw3237B-ms98-a-0072,190.417750,190.786500,cow,I,sd,u-116-2
sw3237B-ms98-a-0072,190.786500,191.080875,nut,I,sd,u-116-2
sw3237B-ms98-a-0073,191.342125,192.471375,[laughter],O,,
sw3237B-ms98-a-0074,193.228875,193.840750,uh-huh,B,b,u-118-1
sw3237B-ms98-a-0075,194.586000,195.168375,so,B,%,u-120-1
sw3237B-ms98-a-0077,197.487375,197.892250,uh-huh,B,b,u-122-1
sw3237B-ms98-a-0078,199.381750,199.994250,wow,B,ba,u-124-1
sw3237B-ms98-a-0080,207.361500,207.882125,yeah,B,b,u-126-1
sw3237B-ms98-a-0080,208.110000,208.532500,yeah,B,b,u-128-1
sw3237B-ms98-a-0082,211.286875,211.671500,um-hum,B,b,u-130-1
sw3237B-ms98-a-0084,217.391000,218.053750,um-hum,B,b,u-132-1
sw3237B-ms98-a-0086,220.037625,220.340750,oh,B,aa,u-134-1
sw3237B-ms98-a-0086,220.340750,220.757625,yeah,I,aa,u-134-1
sw3237B-ms98-a-0086,220.912500,221.225125,yeah,B,aa^r,u-134-2
sw3237B-ms98-a-0088,226.724250,227.206375,uh-huh,B,b,u-136-1
sw3237B-ms98-a-0090,229.305750,230.058125,oh,B,ba,u-138-1
sw3237B-ms98-a-0090,230.344375,230.765375,sounds,I,ba,u-138-1
sw3237B-ms98-a-0090,230.765375,231.289250,pretty,I,ba,u-138-1
sw3237B-ms98-a-0092,233.442375,234.085250,[laughter],O,,
sw3237B-ms98-a-0094,237.014125,237.551500,oh,B,b,u-142-1
sw3237B-ms98-a-0095,238.901875,239.384250,um-hum,B,aa,u-144-1
sw3237B-ms98-a-0095,239.636125,240.079125,um-hum,B,aa^r,u-144-2
sw3237B-ms98-a-0097,241.818000,242.018000,well,O,,
sw3237B-ms98-a-0097,242.018000,242.643500,good,B,ba,u-146-1
sw3237B-ms98-a-0099,245.446750,246.001000,[laughter],O,,
sw3237B-ms98-a-0099,246.001000,246.246500,that's,B,sv,u-148-1
sw3237B-ms98-a-0099,246.246500,246.336500,an,I,sv,u-148-1
sw3237B-ms98-a-0099,246.336500,246.836500,important,I,sv,u-148-1
sw3237B-ms98-a-0099,246.836500,247.276500,factor,I,sv,u-148-1
sw3237B-ms98-a-0099,247.276500,247.626500,there,I,sv,u-148-1
sw3237B-ms98-a-0099,247.626500,248.577000,[laughter],O,,
sw3237B-ms98-a-0101,251.536750,251.742375,well,B,sd,u-150-1
sw3237B-ms98-a-0101,251.742375,251.892375,you,I,sd,u-150-1
sw3237B-ms98-a-0101,251.892375,252.042375,know,I,sd,u-150-1
sw3237B-ms98-a-0101,252.042375,252.252375,now,I,sd,u-150-1
sw3237B-ms98-a-0101,252.252375,252.362375,we,I,sd,u-150-1
sw3237B-ms98-a-0101,252.362375,252.552375,have,I,sd,u-150-1
sw3237B-ms98-a-0101,252.552375,252.916750,that,I,sd,u-150-1
sw3237B-ms98-a-0101,252.916750,253.172375,new,I,sd,u-150-1
sw3237B-ms98-a-0101,253.172375,253.612375,mall,I,sd,u-150-1
sw3237B-ms98-a-0101,253.612375,253.772375,in,I,sd,u-150-1
sw3237B-ms98-a-0101,253.772375,254.599500,Lewisville,I,sd,u-150-1
sw3237B-ms98-a-0101,254.599500,254.752375,and,B,sd,u-152-1
sw3237B-ms98-a-0101,254.752375,255.022375,that's,I,sd,u-152-1
sw3237B-ms98-a-0101,255.022375,255.282375,just,I,sd,u-152-1
sw3237B-ms98-a-0101,255.282375,255.718125,like,I,sd,u-152-1
sw3237B-ms98-a-0101,255.880125,256.027125,a,I,sd,u-152-1
sw3237B-ms98-a-0101,256.027125,256.292375,mile,I,sd,u-152-1
sw3237B-ms98-a-0101,256.292375,256.432375,or,I,sd,u-152-1
sw3237B-ms98-a-0101,256.432375,256.652375,two,I,sd,u-152-1
sw3237B-ms98-a-0101,256.652375,256.862375,from,I,sd,u-152-1
sw3237B-ms98-a-0101,256.862375,256.982375,our,I,sd,u-152-1
sw3237B-ms98-a-0101,256.982375,257.669750,house,I,sd,u-152-1
sw3237B-ms98-a-0102,258.371250,258.596375,but,B,sd,u-154-1
sw3237B-ms98-a-0102,258.921250,259.092875,when,I,sd,u-154-1
sw3237B-ms98-a-0102,259.092875,259.232875,we,I,sd,u-154-1
sw3237B-ms98-a-0102,259.232875,259.542875,first,I,sd,u-154-1
sw3237B-ms98-a-0102,259.542875,259.762875,moved,I,sd,u-154-1
sw3237B-ms98-a-0102,259.762875,259.822875,to,I,sd,u-154-1
sw3237B-ms98-a-0102,259.822875,260.512875,Coppell,I,sd,u-154-1
sw3237B-ms98-a-0102,260.512875,260.882875,it's,I,sd,u-154-1
sw3237B-ms98-a-0102,260.882875,261.124375,what,I,sd,u-154-1
sw3237B-ms98-a-0102,261.297625,261.732875,six,I,sd,u-154-1
sw3237B-ms98-a-0102,261.732875,262.012875,years,I,sd,u-154-1
sw3237B-ms98-a-0102,262.012875,262.282875,ago,I,sd,u-154-1
sw3237B-ms98-a-0102,262.282875,262.422875,we,I,sd,u-154-1
sw3237B-ms98-a-0102,262.422875,262.632875,didn't,I,sd,u-154-1
sw3237B-ms98-a-0102,262.632875,262.822875,even,I,sd,u-154-1
sw3237B-ms98-a-0102,262.822875,262.992875,have,I,sd,u-154-1
sw3237B-ms98-a-0102,262.992875,263.052875,a,I,sd,u-154-1
sw3237B-ms98-a-0102,263.052875,263.612875,grocery,I,sd,u-154-1
sw3237B-ms98-a-0102,263.612875,264.132875,store,I,sd,u-154-1
sw3237B-ms98-a-0103,264.989000,265.119000,and,B,sd,u-156-1
sw3237B-ms98-a-0103,265.119000,265.279000,now,I,sd,u-156-1
sw3237B-ms98-a-0103,265.279000,265.419000,we,I,sd,u-156-1
sw3237B-ms98-a-0103,265.419000,265.599000,have,I,sd,u-156-1
sw3237B-ms98-a-0103,265.599000,266.379750,four,I,sd,u-156-1
sw3237B-ms98-a-0103,266.379750,266.709000,[laughter-and],O,,
sw3237B-ms98-a-0103,266.709000,267.259000,Coppell's,B,sd,u-158-1
sw3237B-ms98-a-0103,267.259000,267.479000,not,I,sd,u-158-1
sw3237B-ms98-a-0103,267.479000,267.689000,really,I,sd,u-158-1
sw3237B-ms98-a-0103,267.689000,267.879000,big,I,sd,u-158-1
sw3237B-ms98-a-0103,267.879000,268.189000,enough,I,sd,u-158-1
sw3237B-ms98-a-0103,268.189000,268.409000,to,I,sd,u-158-1
sw3237B-ms98-a-0103,268.409000,268.929000,support,I,sd,u-158-1
sw3237B-ms98-a-0103,268.929000,269.239000,f[our]-,I,sd,u-158-1
sw3237B-ms98-a-0103,269.239000,269.559000,four,I,sd,u-158-1
sw3237B-ms98-a-0103,269.559000,269.989000,grocery,I,sd,u-158-1
sw3237B-ms98-a-0103,269.989000,270.582125,stores,I,sd,u-158-1
sw3237B-ms98-a-0104,271.667875,271.984500,so,B,%,u-160-1
sw3237B-ms98-a-0105,273.274875,273.897375,oh,B,aa,u-162-1
sw3237B-ms98-a-0105,273.897375,274.517250,much,I,aa,u-162-1
sw3237B-ms98-a-0105,274.517250,274.759000,very,B,+,u-164-1
sw3237B-ms98-a-0105,274.759000,275.250125,much,I,+,u-164-1
sw3237B-ms98-a-0105,275.760000,275.835375,in,B,sd,u-164-2
sw3237B-ms98-a-0105,275.835375,276.129000,fact,I,sd,u-164-2
sw3237B-ms98-a-0105,276.129000,276.319000,it's,I,sd,u-164-2
sw3237B-ms98-a-0105,276.319000,276.609000,about,I,sd,u-164-2
sw3237B-ms98-a-0105,276.609000,276.689000,the,I,sd,u-164-2
sw3237B-ms98-a-0105,276.689000,277.109000,size,I,sd,u-164-2
sw3237B-ms98-a-0105,277.109000,277.680250,now,I,sd,u-164-2
sw3237B-ms98-a-0105,278.068125,278.139000,i,B,sd,u-164-3
sw3237B-ms98-a-0105,278.139000,278.389000,moved,I,sd,u-164-3
sw3237B-ms98-a-0105,278.389000,278.689000,down,I,sd,u-164-3
sw3237B-ms98-a-0105,278.689000,278.829000,here,I,sd,u-164-3
sw3237B-ms98-a-0105,278.829000,279.019000,from,I,sd,u-164-3
sw3237B-ms98-a-0105,279.019000,279.898125,Chicago,I,sd,u-164-3
sw3237B-ms98-a-0105,280.082625,280.369000,what,I,sd,u-164-3
sw3237B-ms98-a-0105,280.369000,280.789000,twenty,I,sd,u-164-3
sw3237B-ms98-a-0105,280.789000,281.179000,three,I,sd,u-164-3
sw3237B-ms98-a-0105,281.179000,281.579000,years,I,sd,u-164-3
sw3237B-ms98-a-0105,281.579000,282.139750,ago,I,sd,u-164-3
sw3237B-ms98-a-0105,282.734750,283.194000,and,B,+,u-166-1
sw3237B-ms98-a-0105,283.506625,283.619000,to,I,+,u-166-1
sw3237B-ms98-a-0105,283.619000,284.396250,Lewisville,I,+,u-166-1
sw3237B-ms98-a-0106,284.851000,284.991000,and,B,sd,u-168-1
sw3237B-ms98-a-0106,284.991000,285.701000,Coppell's,I,sd,u-168-1
sw3237B-ms98-a-0106,285.701000,286.131000,now,I,sd,u-168-1
sw3237B-ms98-a-0106,286.131000,286.361000,about_1,I,sd,u-168-1
sw3237B-ms98-a-0106,286.361000,286.441000,the,I,sd,u-168-1
sw3237B-ms98-a-0106,286.441000,286.811000,size,I,sd,u-168-1
sw3237B-ms98-a-0106,286.811000,286.981000,that,I,sd,u-168-1
sw3237B-ms98-a-0106,286.981000,287.491000,Lewisville,I,sd,u-168-1
sw3237B-ms98-a-0106,287.491000,287.801000,was,I,sd,u-168-1
sw3237B-ms98-a-0106,287.801000,287.881000,wh[en]-,I,sd,u-168-1
sw3237B-ms98-a-0106,287.881000,288.291000,when,I,sd,u-168-1
sw3237B-ms98-a-0106,288.291000,288.351000,i,I,sd,u-168-1
sw3237B-ms98-a-0106,288.351000,288.631000,moved,I,sd,u-168-1
sw3237B-ms98-a-0106,288.631000,288.921000,down,I,sd,u-168-1
sw3237B-ms98-a-0106,288.921000,289.279000,here,I,sd,u-168-1
sw3237B-ms98-a-0107,289.445875,290.985375,[laughter],O,,
sw3237B-ms98-a-0108,292.875375,293.246375,uh-huh,B,b,u-172-1
sw3237B-ms98-a-0109,295.021000,295.159500,oh,B,b,u-174-1
sw3237B-ms98-a-0109,295.159500,295.623625,really,I,b,u-174-1
