sw2376A-ms98-a-0002,0.219250,0.477625,now,B,%,u-1-1
sw2376A-ms98-a-0011,60.149250,60.219250,the,I,sd,u-37-1
sw2376A-ms98-a-0011,60.219250,60.449250,these,I,sd,u-37-1
sw2376A-ms98-a-0011,60.449250,60.818375,centers,I,sd,u-37-1
sw2376A-ms98-a-0012,61.656625,61.817750,and,B,sv,u-39-1
sw2376A-ms98-a-0012,61.817750,61.917750,i'm,I,sv,u-39-1
sw2376A-ms98-a-0012,61.917750,62.287750,sure,I,sv,u-39-1
sw2376A-ms98-a-0012,62.287750,62.487750,rather,I,sv,u-39-1
sw2376A-ms98-a-0012,62.487750,62.607750,than,I,sv,u-39-1
sw2376A-ms98-a-0012,62.607750,62.728875,try,I,sv,u-39-1
sw2376A-ms98-a-0012,62.728875,62.887250,to,I,sv,u-39-1
sw2376A-ms98-a-0012,62.887250,63.035750,uh,I,sv,u-39-1
sw2376A-ms98-a-0012,63.615875,63.887750,ask,I,sv,u-39-1
sw2376A-ms98-a-0012,63.887750,64.217750,someone,I,sv,u-39-1
sw2376A-ms98-a-0012,64.217750,64.287750,to,I,sv,u-39-1
sw2376A-ms98-a-0012,64.287750,64.557750,take,I,sv,u-39-1
sw2376A-ms98-a-0012,64.557750,64.667750,them,I,sv,u-39-1
sw2376A-ms98-a-0012,64.667750,64.787750,for,I,sv,u-39-1
sw2376A-ms98-a-0012,64.787750,64.937750,them,I,sv,u-39-1
sw2376A-ms98-a-0012,64.937750,65.017750,they,I,sv,u-39-1
sw2376A-ms98-a-0012,65.017750,65.317750,probably,I,sv,u-39-1
sw2376A-ms98-a-0012,65.317750,65.537750,just,I,sv,u-39-1
sw2376A-ms98-a-0012,65.537750,65.813875,pitch,I,sv,u-39-1
sw2376A-ms98-a-0012,65.813875,66.078625,them,I,sv,u-39-1
sw2376A-ms98-a-0012,66.078625,66.176500,you,I,sv,u-39-1
sw2376A-ms98-a-0012,66.176500,66.364500,know,I,sv,u-39-1
sw2376A-ms98-a-0013,67.554500,67.843250,but,B,sv,u-41-1
sw2376A-ms98-a-0013,67.843250,67.903250,i,I,sv,u-41-1
sw2376A-ms98-a-0013,67.903250,68.133250,think,I,sv,u-41-1
sw2376A-ms98-a-0013,68.133250,68.313250,that's,I,sv,u-41-1
sw2376A-ms98-a-0013,68.313250,68.653250,probably,I,sv,u-41-1
sw2376A-ms98-a-0013,68.653250,68.693250,a,I,sv,u-41-1
sw2376A-ms98-a-0013,68.693250,68.853250,good,I,sv,u-41-1
sw2376A-ms98-a-0013,68.853250,69.246125,idea,I,sv,u-41-1
sw2376A-ms98-a-0015,75.404375,75.627375,uh-huh,B,b,u-43-1
sw2376A-ms98-a-0017,77.908625,78.195125,right,B,b,u-45-1
sw2376A-ms98-a-0019,82.732750,83.010875,uh-huh,B,b,u-47-1
sw2376A-ms98-a-0020,84.423500,84.690500,uh-huh,B,b,u-49-1
sw2376A-ms98-a-0022,92.191125,92.485500,uh-huh,B,b,u-53-1
sw2376A-ms98-a-0024,96.203125,96.373250,that's,B,aa,u-55-1
sw2376A-ms98-a-0024,96.373250,96.681750,right,I,aa,u-55-1
sw2376A-ms98-a-0026,98.196000,98.649500,uh-huh,B,b,u-57-1
sw2376A-ms98-a-0026,98.779750,99.126000,yes,B,b,u-57-2
sw2376A-ms98-a-0028,101.706875,101.939750,yeah,B,b,u-59-1
sw2376A-ms98-a-0030,104.893500,105.276625,great,B,ba,u-63-1
sw2376A-ms98-a-0031,105.979375,106.633625,[laughter],O,,
sw2376A-ms98-a-0032,107.411500,107.526000,i,B,ba,u-65-1
sw2376A-ms98-a-0032,107.526000,107.677625,bet,I,ba,u-65-1
sw2376A-ms98-a-0032,107.677625,107.777625,it,I,ba,u-65-1
sw2376A-ms98-a-0032,107.777625,108.172250,was,I,ba,u-65-1
sw2376A-ms98-a-0034,112.982125,113.242250,uh-huh,B,b,u-67-1
sw2376A-ms98-a-0036,116.704750,117.045750,uh-huh,B,b,u-69-1
sw2376A-ms98-a-0037,117.529750,117.801375,sure,B,b,u-71-1
sw2376A-ms98-a-0039,122.889000,123.173250,uh-huh,B,b,u-73-1
sw2376A-ms98-a-0041,128.359750,128.662000,uh-huh,B,b,u-75-1
sw2376A-ms98-a-0042,130.161625,130.438875,right,B,b,u-79-1
sw2376A-ms98-a-0044,134.383375,134.711000,uh-huh,B,b,u-81-1
sw2376A-ms98-a-0046,143.767250,143.925000,yeah,B,b,u-85-1
sw2376A-ms98-a-0046,144.070875,144.136500,it's,B,sv,u-85-2
sw2376A-ms98-a-0046,144.136500,144.274000,just,I,sv,u-85-2
sw2376A-ms98-a-0046,144.274000,144.304000,a,I,sv,u-85-2
sw2376A-ms98-a-0046,144.304000,144.464000,matter,I,sv,u-85-2
sw2376A-ms98-a-0046,144.464000,144.544000,of,I,sv,u-85-2
sw2376A-ms98-a-0046,144.544000,145.144000,education,I,sv,u-85-2
sw2376A-ms98-a-0046,145.144000,145.233375,i,I,sv,u-85-2
sw2376A-ms98-a-0046,145.233375,145.444375,think,I,sv,u-85-2
sw2376A-ms98-a-0048,147.742500,148.064000,uh-huh,B,b,u-87-1
sw2376A-ms98-a-0050,154.303750,154.613875,uh-huh,B,b,u-89-1
sw2376A-ms98-a-0051,155.484750,155.722625,yeah,B,b,u-91-1
sw2376A-ms98-a-0051,156.034625,156.310875,yeah,B,aa,u-93-1
sw2376A-ms98-a-0051,156.310875,156.580500,that's,B,aa,u-93-2
sw2376A-ms98-a-0051,156.580500,156.837000,right,I,aa,u-93-2
sw2376A-ms98-a-0052,157.200125,157.346125,i,B,sv,u-95-1
sw2376A-ms98-a-0052,157.346125,157.527250,think,I,sv,u-95-1
sw2376A-ms98-a-0052,157.527250,157.837250,basically,I,sv,u-95-1
sw2376A-ms98-a-0052,157.837250,157.947250,it's,I,sv,u-95-1
sw2376A-ms98-a-0052,157.947250,157.997250,a,I,sv,u-95-1
sw2376A-ms98-a-0052,157.997250,158.147250,good,I,sv,u-95-1
sw2376A-ms98-a-0052,158.147250,158.487250,idea,I,sv,u-95-1
sw2376A-ms98-a-0052,158.487250,158.567250,you,I,sv,u-95-1
sw2376A-ms98-a-0052,158.567250,158.767250,know,I,sv,u-95-1
sw2376A-ms98-a-0052,158.767250,158.837250,i,B,sd,u-95-2
sw2376A-ms98-a-0052,158.837250,159.027250,hope,I,sd,u-95-2
sw2376A-ms98-a-0052,159.027250,159.147250,it,I,sd,u-95-2
sw2376A-ms98-a-0052,159.147250,159.551875,works,I,sd,u-95-2
sw2376A-ms98-a-0054,163.070625,163.777500,absolutely,B,aa,u-97-1
sw2376A-ms98-a-0054,164.184250,164.636750,absolutely,B,aa^r,u-99-1
sw2376A-ms98-a-0056,166.511750,166.721750,right,B,b,u-101-1
sw2376A-ms98-a-0058,170.962000,171.284250,uh-huh,B,b,u-103-1
sw2376A-ms98-a-0058,171.667875,171.892625,right,B,b,u-105-1
sw2376A-ms98-a-0060,175.256125,175.551000,uh-huh,B,b,u-107-1
sw2376A-ms98-a-0061,176.226500,176.517375,sure,B,b,u-109-1
sw2376A-ms98-a-0061,176.683250,177.173500,absolutely,B,aa,u-111-1
sw2376A-ms98-a-0062,177.514750,177.562625,and,B,sd,u-111-2
sw2376A-ms98-a-0062,177.562625,177.653750,there's,I,sd,u-111-2
sw2376A-ms98-a-0062,177.653750,178.001875,just,I,sd,u-111-2
sw2376A-ms98-a-0062,178.001875,178.103750,you,I,sd,u-111-2
sw2376A-ms98-a-0062,178.103750,178.203750,know,I,sd,u-111-2
sw2376A-ms98-a-0062,178.203750,178.263750,the,I,sd,u-111-2
sw2376A-ms98-a-0062,178.263750,178.523750,two,I,sd,u-111-2
sw2376A-ms98-a-0062,178.523750,178.603750,of,I,sd,u-111-2
sw2376A-ms98-a-0062,178.603750,178.753750,us,I,sd,u-111-2
sw2376A-ms98-a-0062,178.753750,178.823750,my,I,sd,u-111-2
sw2376A-ms98-a-0062,178.823750,179.123750,wife,I,sd,u-111-2
sw2376A-ms98-a-0062,179.123750,179.213750,and,I,sd,u-111-2
sw2376A-ms98-a-0062,179.213750,179.253750,i,I,sd,u-111-2
sw2376A-ms98-a-0062,179.253750,179.344250,and,B,sd,u-111-3
sw2376A-ms98-a-0062,179.344250,179.483750,it's,I,sd,u-111-3
sw2376A-ms98-a-0062,179.483750,179.983750,amazing,I,sd,u-111-3
sw2376A-ms98-a-0062,179.983750,180.113750,how,I,sd,u-111-3
sw2376A-ms98-a-0062,180.113750,180.363750,much,I,sd,u-111-3
sw2376A-ms98-a-0062,180.363750,180.645500,stuff,I,sd,u-111-3
sw2376A-ms98-a-0062,180.645500,180.813750,j[ust]-,I,sd,u-111-3
sw2376A-ms98-a-0062,180.813750,180.963750,just,I,sd,u-111-3
sw2376A-ms98-a-0062,180.963750,181.033750,the,I,sd,u-111-3
sw2376A-ms98-a-0062,181.033750,181.303750,two,I,sd,u-111-3
sw2376A-ms98-a-0062,181.303750,181.423750,of,I,sd,u-111-3
sw2376A-ms98-a-0062,181.423750,181.533750,us,I,sd,u-111-3
sw2376A-ms98-a-0062,181.533750,181.863750,generate,I,sd,u-111-3
sw2376A-ms98-a-0062,181.863750,182.222500,you,B,sd,u-113-1
sw2376A-ms98-a-0062,182.222500,182.316750,know,I,sd,u-113-1
sw2376A-ms98-a-0062,182.316750,182.473750,i,I,sd,u-113-1
sw2376A-ms98-a-0062,182.473750,182.613750,can,I,sd,u-113-1
sw2376A-ms98-a-0062,182.613750,182.993750,imagine,I,sd,u-113-1
sw2376A-ms98-a-0062,182.993750,183.023750,a,I,sd,u-113-1
sw2376A-ms98-a-0062,183.023750,183.403750,family,I,sd,u-113-1
sw2376A-ms98-a-0062,183.403750,183.493750,of,I,sd,u-113-1
sw2376A-ms98-a-0062,183.493750,183.553750,you,I,sd,u-113-1
sw2376A-ms98-a-0062,183.553750,183.663750,know,I,sd,u-113-1
sw2376A-ms98-a-0062,183.663750,183.903750,four,I,sd,u-113-1
sw2376A-ms98-a-0062,183.903750,184.041375,or,I,sd,u-113-1
sw2376A-ms98-a-0062,184.041375,184.466250,five,I,sd,u-113-1
sw2376A-ms98-a-0064,186.741125,186.900250,it,B,aa,u-115-1
sw2376A-ms98-a-0064,186.900250,187.100250,really,I,aa,u-115-1
sw2376A-ms98-a-0064,187.100250,187.446875,does,I,aa,u-115-1
sw2376A-ms98-a-0065,188.434250,188.564250,as,B,sd,u-117-1
sw2376A-ms98-a-0065,188.564250,188.844250,far,I,sd,u-117-1
sw2376A-ms98-a-0065,188.844250,189.145125,as,I,sd,u-117-1
sw2376A-ms98-a-0065,189.145125,189.484250,new,I,sd,u-117-1
sw2376A-ms98-a-0065,189.484250,189.844250,stuff,I,sd,u-117-1
sw2376A-ms98-a-0065,189.844250,189.964250,to,I,sd,u-117-1
sw2376A-ms98-a-0065,189.964250,190.574250,recycle,I,sd,u-117-1
sw2376A-ms98-a-0065,190.574250,190.674250,you,I,sd,u-117-1
sw2376A-ms98-a-0065,190.674250,190.794250,know,I,sd,u-117-1
sw2376A-ms98-a-0065,190.794250,190.924250,i,I,sd,u-117-1
sw2376A-ms98-a-0065,190.924250,191.244250,don't,I,sd,u-117-1
sw2376A-ms98-a-0065,191.244250,191.520875,really,I,sd,u-117-1
sw2376A-ms98-a-0065,191.671500,191.764250,i,I,sd,u-117-1
sw2376A-ms98-a-0065,191.764250,191.994250,don't,I,sd,u-117-1
sw2376A-ms98-a-0065,191.994250,192.154250,really,I,sd,u-117-1
sw2376A-ms98-a-0065,192.154250,192.281125,know,I,sd,u-117-1
sw2376A-ms98-a-0065,192.281125,192.337625,i,B,sd,u-117-2
sw2376A-ms98-a-0065,192.337625,192.504250,really,I,sd,u-117-2
sw2376A-ms98-a-0065,192.504250,192.694250,hadn't,I,sd,u-117-2
sw2376A-ms98-a-0065,192.694250,192.924250,thought,I,sd,u-117-2
sw2376A-ms98-a-0065,192.924250,193.154250,about,I,sd,u-117-2
sw2376A-ms98-a-0065,193.154250,193.304250,it,I,sd,u-117-2
sw2376A-ms98-a-0065,193.304250,193.364250,to,I,sd,u-117-2
sw2376A-ms98-a-0065,193.364250,193.454250,tell,I,sd,u-117-2
sw2376A-ms98-a-0065,193.454250,193.544250,you,I,sd,u-117-2
sw2376A-ms98-a-0065,193.544250,193.635250,the,I,sd,u-117-2
sw2376A-ms98-a-0065,193.635250,193.942250,truth,I,sd,u-117-2
sw2376A-ms98-a-0067,196.454875,196.674500,that's,B,aa,u-119-1
sw2376A-ms98-a-0067,196.674500,196.884500,right,I,aa,u-119-1
sw2376A-ms98-a-0067,196.884500,196.978875,i,B,%,u-119-2
sw2376A-ms98-a-0067,196.978875,197.172625,was,I,%,u-119-2
sw2376A-ms98-a-0067,197.714375,197.985875,uh-huh,B,b,u-121-1
sw2376A-ms98-a-0069,203.077000,203.393250,uh-huh,B,b,u-123-1
sw2376A-ms98-a-0071,209.052125,209.209125,that's,B,aa,u-125-1
