sw2638B-ms98-a-0002,7.008125,7.380875,um,B,b,u-2-1
sw2638B-ms98-a-0008,31.396500,31.616500,year,I,sd,u-8-3
sw2638B-ms98-a-0008,31.616500,31.746500,year,I,sd,u-8-3
sw2638B-ms98-a-0008,31.746500,31.846500,and,I,sd,u-8-3
sw2638B-ms98-a-0008,31.846500,31.876500,a,I,sd,u-8-3
sw2638B-ms98-a-0008,31.876500,32.236250,half,I,sd,u-8-3
sw2638B-ms98-a-0008,32.782375,33.126500,um,I,sd,u-8-3
sw2638B-ms98-a-0008,33.126500,33.266500,they're,I,sd,u-8-3
sw2638B-ms98-a-0008,33.266500,33.596500,doing,I,sd,u-8-3
sw2638B-ms98-a-0008,33.596500,34.043125,random,I,sd,u-8-3
sw2638B-ms98-a-0008,34.231500,34.616500,testing,I,sd,u-8-3
sw2638B-ms98-a-0008,34.616500,34.726500,of,I,sd,u-8-3
sw2638B-ms98-a-0008,34.726500,34.946500,all,I,sd,u-8-3
sw2638B-ms98-a-0008,34.946500,35.519125,employees,I,sd,u-8-3
sw2638B-ms98-a-0010,38.694125,39.194125,yes,B,aa,u-10-1
sw2638B-ms98-a-0012,42.833375,43.213375,and,B,aa,u-12-1
sw2638B-ms98-a-0012,43.213375,43.453375,it,I,aa,u-12-1
sw2638B-ms98-a-0012,43.453375,43.823375,is,I,aa,u-12-1
sw2638B-ms98-a-0012,43.823375,44.113375,it,B,%,u-12-2
sw2638B-ms98-a-0012,44.113375,44.343375,and,B,sv^m,u-12-3
sw2638B-ms98-a-0012,44.343375,44.501250,fr[om]-,I,sv^m,u-12-3
sw2638B-ms98-a-0012,44.629375,44.793375,from,I,sv^m,u-12-3
sw2638B-ms98-a-0012,44.793375,44.923375,what,I,sv^m,u-12-3
sw2638B-ms98-a-0012,44.923375,44.973375,i,I,sv^m,u-12-3
sw2638B-ms98-a-0012,44.973375,45.433375,understand,I,sv^m,u-12-3
sw2638B-ms98-a-0012,45.433375,45.543375,it,I,sv^m,u-12-3
sw2638B-ms98-a-0012,45.543375,45.713375,is,I,sv^m,u-12-3
sw2638B-ms98-a-0012,45.713375,45.943375,Jerry,I,sv^m,u-12-3
sw2638B-ms98-a-0012,45.943375,46.333375,Junkins,I,sv^m,u-12-3
sw2638B-ms98-a-0012,46.333375,46.463375,all,I,sv^m,u-12-3
sw2638B-ms98-a-0012,46.463375,46.543375,the,I,sv^m,u-12-3
sw2638B-ms98-a-0012,46.543375,46.674125,way,I,sv^m,u-12-3
sw2638B-ms98-a-0012,46.674125,46.835500,down,I,sv^m,u-12-3
sw2638B-ms98-a-0014,53.501000,53.801000,uh-huh,B,b,u-14-1
sw2638B-ms98-a-0016,58.977625,59.287625,uh-huh,B,b,u-16-1
sw2638B-ms98-a-0018,68.837000,69.085125,yeah,B,b,u-18-1
sw2638B-ms98-a-0018,69.521625,70.004250,um,B,sd,u-18-2
sw2638B-ms98-a-0018,70.888000,71.087625,i,I,sd,u-18-2
sw2638B-ms98-a-0018,71.087625,71.360500,like,I,sd,u-18-2
sw2638B-ms98-a-0018,71.360500,71.447125,it,I,sd,u-18-2
sw2638B-ms98-a-0018,71.545625,72.275125,because,I,sd,u-18-2
sw2638B-ms98-a-0018,72.275125,73.038875,um,I,sd,u-18-2
sw2638B-ms98-a-0018,73.539750,73.640500,you,B,sd,u-18-3
sw2638B-ms98-a-0018,73.640500,73.800500,know,I,sd,u-18-3
sw2638B-ms98-a-0018,73.800500,73.960500,i,I,sd,u-18-3
sw2638B-ms98-a-0018,73.960500,74.209750,i,I,sd,u-18-3
sw2638B-ms98-a-0018,74.209750,74.401875,i,I,sd,u-18-3
sw2638B-ms98-a-0018,74.511000,74.660500,grew,I,sd,u-18-3
sw2638B-ms98-a-0018,74.660500,74.800500,up,I,sd,u-18-3
sw2638B-ms98-a-0018,74.800500,74.870500,in,I,sd,u-18-3
sw2638B-ms98-a-0018,74.870500,74.940500,the,I,sd,u-18-3
sw2638B-ms98-a-0018,74.940500,75.480500,sixties,I,sd,u-18-3
sw2638B-ms98-a-0018,75.480500,75.540500,i,B,o@,u-18-4
sw2638B-ms98-a-0018,75.540500,75.850500,mean,I,o@,u-18-4
sw2638B-ms98-a-0018,75.850500,75.983500,i,B,+@,u-20-1
sw2638B-ms98-a-0018,76.145500,76.640500,graduated,I,+@,u-20-1
sw2638B-ms98-a-0018,76.640500,76.780500,high,I,+@,u-20-1
sw2638B-ms98-a-0018,76.780500,77.060500,school,I,+@,u-20-1
sw2638B-ms98-a-0018,77.060500,77.150500,in,I,+@,u-20-1
sw2638B-ms98-a-0018,77.150500,77.595500,sixty,I,+@,u-20-1
sw2638B-ms98-a-0018,77.595500,77.849500,eight,I,+@,u-20-1
sw2638B-ms98-a-0018,77.941625,78.140125,and,B,sd,u-20-2
sw2638B-ms98-a-0019,78.851625,79.381625,and,B,+,u-22-1
sw2638B-ms98-a-0019,79.381625,79.881625,uh,I,+,u-22-1
sw2638B-ms98-a-0019,80.331625,80.421625,you,I,+,u-22-1
sw2638B-ms98-a-0019,80.421625,80.631625,know,I,+,u-22-1
sw2638B-ms98-a-0019,80.631625,80.871625,i,I,+,u-22-1
sw2638B-ms98-a-0019,80.871625,81.111625,i,I,+,u-22-1
sw2638B-ms98-a-0019,81.651625,82.233000,saw,I,+,u-22-1
sw2638B-ms98-a-0019,82.568250,82.651625,you,B,sd,u-22-2
sw2638B-ms98-a-0019,82.651625,82.771625,know,I,sd,u-22-2
sw2638B-ms98-a-0019,82.771625,82.831625,i,I,sd,u-22-2
sw2638B-ms98-a-0019,82.831625,83.051625,know,I,sd,u-22-2
sw2638B-ms98-a-0019,83.171625,83.371625,my,I,sd,u-22-2
sw2638B-ms98-a-0019,83.371625,83.941625,friends,I,sd,u-22-2
sw2638B-ms98-a-0019,83.941625,84.051625,who,I,sd,u-22-2
sw2638B-ms98-a-0019,84.051625,84.281625,were,I,sd,u-22-2
sw2638B-ms98-a-0019,84.751625,84.811625,you,I,sd,u-22-2
sw2638B-ms98-a-0019,84.811625,84.881625,know,I,sd,u-22-2
sw2638B-ms98-a-0019,85.251625,85.851625,druggies,I,sd,u-22-2
sw2638B-ms98-a-0019,85.851625,86.169250,and,I,sd,u-22-2
sw2638B-ms98-a-0019,86.368875,86.741625,friends,B,+,u-24-1
sw2638B-ms98-a-0019,86.741625,86.901625,who,I,+,u-24-1
sw2638B-ms98-a-0019,86.901625,87.331625,weren't,I,+,u-24-1
sw2638B-ms98-a-0019,87.331625,87.541625,and,B,sv,u-24-2
sw2638B-ms98-a-0019,88.141625,88.811625,and,B,+,u-26-1
sw2638B-ms98-a-0019,88.811625,89.091625,uh,I,+,u-26-1
sw2638B-ms98-a-0019,89.651625,89.751625,you,I,+,u-26-1
sw2638B-ms98-a-0019,89.751625,89.941625,know,I,+,u-26-1
sw2638B-ms98-a-0019,89.941625,90.391625,it's,I,+,u-26-1
sw2638B-ms98-a-0019,90.391625,90.495750,i,I,+,u-26-1
sw2638B-ms98-a-0019,90.495750,90.669000,think,I,+,u-26-1
sw2638B-ms98-a-0019,90.669000,90.771625,it's,I,+,u-26-1
sw2638B-ms98-a-0019,90.771625,90.861625,a,I,+,u-26-1
sw2638B-ms98-a-0019,90.861625,91.121625,real,I,+,u-26-1
sw2638B-ms98-a-0019,91.121625,91.621625,problem,I,+,u-26-1
sw2638B-ms98-a-0020,91.938875,92.053000,and,B,sv,u-28-1
sw2638B-ms98-a-0020,92.053000,92.153625,i,I,sv,u-28-1
sw2638B-ms98-a-0020,92.153625,92.328875,think,I,sv,u-28-1
sw2638B-ms98-a-0020,92.328875,92.468875,it,I,sv,u-28-1
sw2638B-ms98-a-0020,93.028875,93.228875,and,I,sv,u-28-1
sw2638B-ms98-a-0020,93.228875,93.318875,i,I,sv,u-28-1
sw2638B-ms98-a-0020,93.318875,93.498875,think,I,sv,u-28-1
sw2638B-ms98-a-0020,93.498875,93.638875,it's,I,sv,u-28-1
sw2638B-ms98-a-0020,93.638875,94.108875,causing,I,sv,u-28-1
sw2638B-ms98-a-0020,94.108875,94.278875,us,I,sv,u-28-1
sw2638B-ms98-a-0020,94.278875,94.348875,a,I,sv,u-28-1
sw2638B-ms98-a-0020,94.348875,94.878875,lot,I,sv,u-28-1
sw2638B-ms98-a-0020,94.878875,94.948875,of,I,sv,u-28-1
sw2638B-ms98-a-0020,94.948875,95.468875,trouble,I,sv,u-28-1
sw2638B-ms98-a-0020,95.468875,95.708875,and,I,sv,u-28-1
sw2638B-ms98-a-0020,95.708875,95.828875,and,B,+,u-30-1
sw2638B-ms98-a-0020,95.828875,95.888875,a,I,+,u-30-1
sw2638B-ms98-a-0020,95.888875,96.108875,lot,I,+,u-30-1
sw2638B-ms98-a-0020,96.108875,96.178875,of,I,+,u-30-1
sw2638B-ms98-a-0020,96.178875,96.718875,problems,I,+,u-30-1
sw2638B-ms98-a-0021,97.402750,97.592750,and,B,sd,u-32-1
sw2638B-ms98-a-0021,97.592750,97.792750,so,I,sd,u-32-1
sw2638B-ms98-a-0021,97.792750,97.942750,i'm,I,sd,u-32-1
sw2638B-ms98-a-0021,97.942750,98.302750,hoping,I,sd,u-32-1
sw2638B-ms98-a-0021,98.302750,98.692750,that,I,sd,u-32-1
sw2638B-ms98-a-0021,98.692750,99.067750,uh,I,sd,u-32-1
sw2638B-ms98-a-0021,99.376625,99.472750,a,I,sd,u-32-1
sw2638B-ms98-a-0021,99.472750,99.682750,lot,I,sd,u-32-1
sw2638B-ms98-a-0021,99.682750,99.762750,of,I,sd,u-32-1
sw2638B-ms98-a-0021,99.762750,99.972750,other,I,sd,u-32-1
sw2638B-ms98-a-0021,99.972750,100.492750,companies,I,sd,u-32-1
sw2638B-ms98-a-0021,100.492750,100.802750,will,I,sd,u-32-1
sw2638B-ms98-a-0021,100.802750,100.982750,will,I,sd,u-32-1
sw2638B-ms98-a-0021,100.982750,101.465000,follow,I,sd,u-32-1
sw2638B-ms98-a-0021,101.909375,102.022750,the,I,sd,u-32-1
sw2638B-ms98-a-0021,102.022750,102.262750,same,I,sd,u-32-1
sw2638B-ms98-a-0021,102.262750,102.702750,path,I,sd,u-32-1
sw2638B-ms98-a-0023,104.654125,105.114125,um,B,ng,u-34-1
sw2638B-ms98-a-0023,105.114125,105.604125,probably,I,ng,u-34-1
sw2638B-ms98-a-0023,105.604125,105.961625,not,I,ng,u-34-1
sw2638B-ms98-a-0025,117.944500,118.239625,uh-huh,B,b,u-36-1
sw2638B-ms98-a-0027,137.142000,137.312000,yeah,B,b,u-38-1
sw2638B-ms98-a-0027,137.312000,137.422000,i,B,sd@,u-38-2
sw2638B-ms98-a-0027,137.422000,137.652000,used,I,sd@,u-38-2
sw2638B-ms98-a-0027,137.652000,137.722000,to,I,sd@,u-38-2
sw2638B-ms98-a-0027,137.722000,137.832000,be,I,sd@,u-38-2
sw2638B-ms98-a-0027,137.832000,137.912000,in,I,sd@,u-38-2
sw2638B-ms98-a-0027,137.912000,138.322000,DSEG,I,sd@,u-38-2
sw2638B-ms98-a-0027,138.322000,138.872000,myself,I,sd@,u-38-2
sw2638B-ms98-a-0028,139.799250,140.049250,um,B,+@,u-40-1
sw2638B-ms98-a-0028,140.049250,140.209250,A,I,+@,u-40-1
sw2638B-ms98-a-0028,140.209250,140.409250,P,I,+@,u-40-1
sw2638B-ms98-a-0028,140.409250,140.639250,D,I,+@,u-40-1
sw2638B-ms98-a-0028,140.639250,140.729250,as,I,+@,u-40-1
sw2638B-ms98-a-0028,140.729250,140.799250,a,I,+@,u-40-1
sw2638B-ms98-a-0028,140.799250,140.949250,matter,I,+@,u-40-1
sw2638B-ms98-a-0028,140.949250,141.009250,of,I,+@,u-40-1
sw2638B-ms98-a-0028,141.009250,141.279125,fact,I,+@,u-40-1
sw2638B-ms98-a-0030,143.348500,143.573125,yep,B,ny,u-42-1
sw2638B-ms98-a-0031,144.403875,144.682875,very,B,sd^e,u-44-1
sw2638B-ms98-a-0031,144.682875,145.042875,aware,I,sd^e,u-44-1
sw2638B-ms98-a-0031,145.042875,145.152875,of,I,sd^e,u-44-1
sw2638B-ms98-a-0031,145.152875,145.306375,it,I,sd^e,u-44-1
sw2638B-ms98-a-0031,145.773375,145.922875,but,B,sd@,u-44-2
sw2638B-ms98-a-0031,145.922875,146.061500,i,I,sd@,u-44-2
sw2638B-ms98-a-0031,146.061500,146.370375,i'd,I,sd@,u-44-2
sw2638B-ms98-a-0031,146.370375,146.588750,i'd,I,sd@,u-44-2
sw2638B-ms98-a-0031,147.119750,147.275375,i,I,sd@,u-44-2
sw2638B-ms98-a-0031,147.275375,147.639875,really,I,sd@,u-44-2
sw2638B-ms98-a-0031,147.639875,148.091875,like,I,sd@,u-44-2
sw2638B-ms98-a-0031,148.091875,148.231375,the,I,sd@,u-44-2
sw2638B-ms98-a-0031,148.231375,148.650625,idea,I,sd@,u-44-2
sw2638B-ms98-a-0031,148.921750,149.062875,uh,B,+@,u-46-1
sw2638B-ms98-a-0031,149.062875,149.192875,in,I,+@,u-46-1
sw2638B-ms98-a-0031,149.192875,149.652875,fact,I,+@,u-46-1
sw2638B-ms98-a-0031,149.652875,149.732875,i,I,+@,u-46-1
sw2638B-ms98-a-0031,149.732875,149.932875,would,I,+@,u-46-1
sw2638B-ms98-a-0031,149.932875,150.132875,like,I,+@,u-46-1
sw2638B-ms98-a-0031,150.132875,150.252875,to,I,+@,u-46-1
sw2638B-ms98-a-0031,150.252875,150.692875,see,I,+@,u-46-1
sw2638B-ms98-a-0031,150.692875,151.012875,uh,I,+@,u-46-1
sw2638B-ms98-a-0031,151.012875,151.072875,a,I,+@,u-46-1
sw2638B-ms98-a-0031,151.072875,151.412875,lot,I,+@,u-46-1
sw2638B-ms98-a-0031,151.412875,151.909375,more,I,+@,u-46-1
sw2638B-ms98-a-0031,152.655125,152.983125,uh,I,+@,u-46-1
sw2638B-ms98-a-0031,153.107375,153.627500,people,I,+@,u-46-1
sw2638B-ms98-a-0031,154.107500,154.295875,uh,I,+@,u-46-1
sw2638B-ms98-a-0031,154.295875,154.802875,adopt,I,+@,u-46-1
sw2638B-ms98-a-0031,154.802875,155.112875,it,I,+@,u-46-1
sw2638B-ms98-a-0031,155.112875,155.312875,uh,B,+,u-48-1
sw2638B-ms98-a-0031,155.312875,155.642875,like,I,+,u-48-1
sw2638B-ms98-a-0031,155.922875,155.982875,you,I,+,u-48-1
sw2638B-ms98-a-0031,155.982875,156.112875,know,I,+,u-48-1
sw2638B-ms98-a-0031,156.112875,156.562875,school,I,+,u-48-1
sw2638B-ms98-a-0031,156.562875,157.092875,systems,I,+,u-48-1
sw2638B-ms98-a-0031,157.092875,157.182875,and,I,+,u-48-1
sw2638B-ms98-a-0031,157.182875,157.312875,that,I,+,u-48-1
sw2638B-ms98-a-0031,157.312875,157.502875,kind,I,+,u-48-1
sw2638B-ms98-a-0031,157.502875,157.612875,of,I,+,u-48-1
sw2638B-ms98-a-0031,157.612875,157.817375,thing,I,+,u-48-1
sw2638B-ms98-a-0032,158.366125,158.463375,i,B,sv,u-50-1
sw2638B-ms98-a-0032,158.463375,158.655625,mean,I,sv,u-50-1
sw2638B-ms98-a-0032,158.655625,158.816125,i'd,I,sv,u-50-1
sw2638B-ms98-a-0032,158.816125,159.015000,like,I,sv,u-50-1
sw2638B-ms98-a-0032,159.278625,159.396125,i'd,I,sv,u-50-1
sw2638B-ms98-a-0032,159.396125,159.516125,like,I,sv,u-50-1
sw2638B-ms98-a-0032,159.516125,159.636125,to,I,sv,u-50-1
sw2638B-ms98-a-0032,159.636125,159.836125,know,I,sv,u-50-1
sw2638B-ms98-a-0032,159.836125,159.976125,that,I,sv,u-50-1
sw2638B-ms98-a-0032,159.976125,160.136125,my,I,sv,u-50-1
sw2638B-ms98-a-0032,160.136125,160.606125,child's,I,sv,u-50-1
sw2638B-ms98-a-0032,160.606125,160.816125,being,I,sv,u-50-1
sw2638B-ms98-a-0032,160.816125,161.066125,taught,I,sv,u-50-1
sw2638B-ms98-a-0032,161.066125,161.196125,by,I,sv,u-50-1
sw2638B-ms98-a-0032,161.196125,161.256125,a,I,sv,u-50-1
sw2638B-ms98-a-0032,161.256125,161.626125,teacher,I,sv,u-50-1
sw2638B-ms98-a-0032,161.626125,162.036125,who's,I,sv,u-50-1
sw2638B-ms98-a-0032,162.036125,162.306125,not,I,sv,u-50-1
sw2638B-ms98-a-0032,162.306125,162.456125,on,I,sv,u-50-1
sw2638B-ms98-a-0032,162.456125,163.036125,drugs,I,sv,u-50-1
sw2638B-ms98-a-0032,163.036125,163.276125,or,I,sv,u-50-1
sw2638B-ms98-a-0033,163.853750,164.163750,or,B,+,u-52-1
sw2638B-ms98-a-0033,164.163750,164.278000,uh,I,+,u-52-1
sw2638B-ms98-a-0033,164.412125,164.473750,who,I,+,u-52-1
sw2638B-ms98-a-0033,164.473750,164.767250,might,I,+,u-52-1
sw2638B-ms98-a-0033,164.870875,165.083750,be,I,+,u-52-1
sw2638B-ms98-a-0033,165.083750,165.153750,at,I,+,u-52-1
sw2638B-ms98-a-0033,165.153750,165.213750,a,I,+,u-52-1
sw2638B-ms98-a-0033,165.213750,165.493750,point,I,+,u-52-1
sw2638B-ms98-a-0033,165.493750,165.593750,where,I,+,u-52-1
sw2638B-ms98-a-0033,165.593750,165.703750,they're,I,+,u-52-1
sw2638B-ms98-a-0033,165.703750,165.943750,trying,I,+,u-52-1
sw2638B-ms98-a-0033,165.943750,166.013750,to,I,+,u-52-1
sw2638B-ms98-a-0033,166.013750,166.283750,sell,I,+,u-52-1
sw2638B-ms98-a-0033,166.283750,166.413750,my,I,+,u-52-1
sw2638B-ms98-a-0033,166.413750,166.673750,kid,I,+,u-52-1
sw2638B-ms98-a-0033,166.673750,167.099500,drugs,I,+,u-52-1
sw2638B-ms98-a-0035,171.402125,171.772125,yeah,B,b,u-54-1
sw2638B-ms98-a-0037,179.402250,179.765500,and,B,sv,u-56-1
sw2638B-ms98-a-0037,179.863125,180.042250,i,I,sv,u-56-1
sw2638B-ms98-a-0037,180.042250,180.343500,like,I,sv,u-56-1
sw2638B-ms98-a-0037,180.343500,180.543125,the,I,sv,u-56-1
sw2638B-ms98-a-0037,180.543125,181.052250,idea,I,sv,u-56-1
sw2638B-ms98-a-0037,181.052250,181.230125,that,I,sv,u-56-1
sw2638B-ms98-a-0037,181.373250,181.602250,they,I,sv,u-56-1
sw2638B-ms98-a-0037,181.602250,181.872250,have,I,sv,u-56-1
sw2638B-ms98-a-0037,182.012250,182.391750,a,I,sv,u-56-1
sw2638B-ms98-a-0037,182.391750,182.666750,uh,I,sv,u-56-1
sw2638B-ms98-a-0037,182.666750,183.152250,system,I,sv,u-56-1
sw2638B-ms98-a-0037,183.152250,183.322250,where,I,sv,u-56-1
sw2638B-ms98-a-0037,183.322250,183.492250,they,I,sv,u-56-1
sw2638B-ms98-a-0037,183.492250,183.822250,allow,I,sv,u-56-1
sw2638B-ms98-a-0037,183.822250,184.012250,you,I,sv,u-56-1
sw2638B-ms98-a-0037,184.012250,184.515375,to,I,sv,u-56-1
sw2638B-ms98-a-0037,184.515375,184.880625,uh,I,sv,u-56-1
sw2638B-ms98-a-0037,184.880625,185.029250,be,I,sv,u-56-1
sw2638B-ms98-a-0037,185.029250,185.792250,retested,I,sv,u-56-1
sw2638B-ms98-a-0037,185.792250,186.020000,if,I,sv,u-56-1
sw2638B-ms98-a-0037,186.129250,186.430500,for,I,sv,u-56-1
sw2638B-ms98-a-0037,186.430500,186.762250,some,B,+,u-58-1
sw2638B-ms98-a-0037,186.762250,187.062250,reason,I,+,u-58-1
sw2638B-ms98-a-0037,187.062250,187.202250,there,I,+,u-58-1
sw2638B-ms98-a-0037,187.202250,187.342250,may,I,+,u-58-1
sw2638B-ms98-a-0037,187.342250,187.474000,have,I,+,u-58-1
sw2638B-ms98-a-0037,187.571000,187.695250,been,I,+,u-58-1
sw2638B-ms98-a-0037,187.695250,187.832250,a,I,+,u-58-1
sw2638B-ms98-a-0037,187.832250,188.312250,problem,I,+,u-58-1
sw2638B-ms98-a-0037,188.312250,188.452250,or,B,+,u-60-1
sw2638B-ms98-a-0037,188.452250,188.832250,something,I,+,u-60-1
sw2638B-ms98-a-0037,188.832250,189.012250,did,I,+,u-60-1
sw2638B-ms98-a-0037,189.012250,189.352250,show,I,+,u-60-1
sw2638B-ms98-a-0037,189.352250,189.445750,up,I,+,u-60-1
sw2638B-ms98-a-0039,192.014250,192.291875,yeah,B,b,u-62-1
sw2638B-ms98-a-0039,192.793625,193.054250,yeah,B,b^r,u-62-2
sw2638B-ms98-a-0040,194.065875,194.289625,yeah,B,b,u-64-1
sw2638B-ms98-a-0040,194.289625,194.597625,rather,B,sd,u-64-2
sw2638B-ms98-a-0040,194.597625,194.847625,than,I,sd,u-64-2
sw2638B-ms98-a-0040,194.847625,195.257625,just,I,sd,u-64-2
sw2638B-ms98-a-0040,195.257625,195.650125,uh,I,sd,u-64-2
sw2638B-ms98-a-0041,196.476250,196.583875,put,B,+,u-66-1
sw2638B-ms98-a-0041,196.583875,196.713875,you,I,+,u-66-1
sw2638B-ms98-a-0041,196.713875,196.783875,out,I,+,u-66-1
sw2638B-ms98-a-0041,196.783875,196.853875,on,I,+,u-66-1
sw2638B-ms98-a-0041,196.853875,196.913875,the,I,+,u-66-1
sw2638B-ms98-a-0041,196.913875,197.153875,street,I,+,u-66-1
sw2638B-ms98-a-0041,197.153875,197.243875,and,I,+,u-66-1
sw2638B-ms98-a-0041,197.243875,197.373875,let,I,+,u-66-1
sw2638B-ms98-a-0041,197.373875,197.503875,you,I,+,u-66-1
sw2638B-ms98-a-0041,197.503875,197.883875,fend,I,+,u-66-1
sw2638B-ms98-a-0041,197.883875,197.993875,for,I,+,u-66-1
sw2638B-ms98-a-0041,197.993875,198.448375,yourself,I,+,u-66-1
sw2638B-ms98-a-0042,199.338625,199.558625,that's,B,sv,u-68-1
sw2638B-ms98-a-0042,199.558625,199.748625,not,I,sv,u-68-1
sw2638B-ms98-a-0042,199.748625,199.868625,going,I,sv,u-68-1
sw2638B-ms98-a-0042,199.868625,199.928625,to,I,sv,u-68-1
sw2638B-ms98-a-0042,199.928625,200.118625,help,I,sv,u-68-1
sw2638B-ms98-a-0042,200.118625,200.468625,anybody,I,sv,u-68-1
sw2638B-ms98-a-0042,200.468625,200.648625,get,I,sv,u-68-1
sw2638B-ms98-a-0042,200.648625,200.778625,over,I,sv,u-68-1
sw2638B-ms98-a-0042,200.778625,200.848625,the,I,sv,u-68-1
sw2638B-ms98-a-0042,200.848625,201.378625,problem,I,sv,u-68-1
sw2638B-ms98-a-0042,201.378625,201.478625,i,B,sv,u-70-1
sw2638B-ms98-a-0042,201.478625,201.877750,believe,I,sv,u-70-1
sw2638B-ms98-a-0042,201.877750,201.950625,it,I,sv,u-70-1
sw2638B-ms98-a-0042,201.950625,202.262375,is,I,sv,u-70-1
sw2638B-ms98-a-0042,202.262375,202.535375,a,I,sv,u-70-1
sw2638B-ms98-a-0042,202.826125,203.116125,a,I,sv,u-70-1
sw2638B-ms98-a-0042,203.116125,203.298625,a,I,sv,u-70-1
sw2638B-ms98-a-0042,203.298625,203.748625,medical,I,sv,u-70-1
sw2638B-ms98-a-0042,203.748625,204.195000,problem,I,sv,u-70-1
sw2638B-ms98-a-0043,205.212875,205.582875,um,B,sv,u-72-1
sw2638B-ms98-a-0043,205.582875,205.642875,of,I,sv,u-72-1
sw2638B-ms98-a-0043,205.642875,205.962875,course,I,sv,u-72-1
sw2638B-ms98-a-0043,205.962875,206.102875,i,I,sv,u-72-1
sw2638B-ms98-a-0043,206.102875,206.399250,also,I,sv,u-72-1
sw2638B-ms98-a-0043,206.399250,206.674250,think,I,sv,u-72-1
sw2638B-ms98-a-0043,206.852875,207.342875,smoking,I,sv,u-72-1
