sw4036B-ms98-a-0003,11.309000,11.905750,definitely,B,aa,u-2-1
sw4036B-ms98-a-0016,75.861000,76.293250,end,I,sd,u-18-3
sw4036B-ms98-a-0017,77.195500,77.564375,so,B,sd,u-20-1
sw4036B-ms98-a-0017,77.564375,77.751750,it,I,sd,u-20-1
sw4036B-ms98-a-0017,77.751750,78.251750,became,I,sd,u-20-1
sw4036B-ms98-a-0017,78.251750,78.931375,unanimous,I,sd,u-20-1
sw4036B-ms98-a-0017,79.447375,79.521750,you,I,sd,u-20-1
sw4036B-ms98-a-0017,79.521750,79.581750,know,I,sd,u-20-1
sw4036B-ms98-a-0017,79.581750,79.851750,after,I,sd,u-20-1
sw4036B-ms98-a-0017,79.851750,79.961750,they,I,sd,u-20-1
sw4036B-ms98-a-0017,79.961750,80.271750,turned,I,sd,u-20-1
sw4036B-ms98-a-0017,80.271750,80.391750,it,I,sd,u-20-1
sw4036B-ms98-a-0017,80.391750,80.699375,in,I,sd,u-20-1
sw4036B-ms98-a-0017,81.030750,81.191750,and,B,sd,u-22-1
sw4036B-ms98-a-0017,81.191750,81.509375,then,I,sd,u-22-1
sw4036B-ms98-a-0017,81.791875,81.941750,he,I,sd,u-22-1
sw4036B-ms98-a-0017,81.941750,82.341750,changed,I,sd,u-22-1
sw4036B-ms98-a-0017,82.341750,82.481750,his,I,sd,u-22-1
sw4036B-ms98-a-0017,82.481750,82.831750,mind,I,sd,u-22-1
sw4036B-ms98-a-0017,82.831750,83.041750,after,I,sd,u-22-1
sw4036B-ms98-a-0017,83.041750,83.161750,they,I,sd,u-22-1
sw4036B-ms98-a-0017,83.161750,83.451750,turned,I,sd,u-22-1
sw4036B-ms98-a-0017,83.451750,83.561750,it,I,sd,u-22-1
sw4036B-ms98-a-0017,83.561750,83.831000,in,I,sd,u-22-1
sw4036B-ms98-a-0017,84.520250,84.641750,but,B,sd,u-24-1
sw4036B-ms98-a-0017,84.641750,84.781750,it,I,sd,u-24-1
sw4036B-ms98-a-0017,84.781750,85.151750,then,I,sd,u-24-1
sw4036B-ms98-a-0017,85.151750,85.501750,became,I,sd,u-24-1
sw4036B-ms98-a-0017,85.501750,86.111750,unanimous,I,sd,u-24-1
sw4036B-ms98-a-0017,86.111750,86.394000,so,O,,
sw4036B-ms98-a-0019,90.484000,90.824250,right,B,aa,u-26-1
sw4036B-ms98-a-0021,94.374750,94.678000,the,B,sd,u-28-1
sw4036B-ms98-a-0021,94.678000,94.833625,the,I,sd,u-28-1
sw4036B-ms98-a-0021,94.833625,94.913625,uh,I,sd,u-28-1
sw4036B-ms98-a-0021,94.913625,95.293625,other,I,sd,u-28-1
sw4036B-ms98-a-0021,95.293625,95.563625,case,I,sd,u-28-1
sw4036B-ms98-a-0021,95.563625,95.693625,was,I,sd,u-28-1
sw4036B-ms98-a-0021,95.693625,95.913625,just,I,sd,u-28-1
sw4036B-ms98-a-0021,95.913625,96.291750,traffic,I,sd,u-28-1
sw4036B-ms98-a-0022,97.787125,98.017125,the,B,%,u-28-2
sw4036B-ms98-a-0022,98.017125,98.468250,and,B,sd,u-28-3
sw4036B-ms98-a-0022,98.837375,98.957125,you,I,sd,u-28-3
sw4036B-ms98-a-0022,98.957125,99.117125,know,I,sd,u-28-3
sw4036B-ms98-a-0022,99.117125,99.257125,it,I,sd,u-28-3
sw4036B-ms98-a-0022,99.257125,99.578875,was,I,sd,u-28-3
sw4036B-ms98-a-0022,99.737125,99.987125,seat,I,sd,u-28-3
sw4036B-ms98-a-0022,99.987125,100.321875,belt,I,sd,u-28-3
sw4036B-ms98-a-0022,100.698500,101.133375,law,I,sd,u-28-3
sw4036B-ms98-a-0022,101.464875,101.647125,and,B,sd,u-30-1
sw4036B-ms98-a-0022,101.647125,101.772375,it,I,sd,u-30-1
sw4036B-ms98-a-0022,101.926750,102.097125,it,I,sd,u-30-1
sw4036B-ms98-a-0022,102.097125,102.317125,didn't,I,sd,u-30-1
sw4036B-ms98-a-0022,102.317125,102.577125,even,I,sd,u-30-1
sw4036B-ms98-a-0022,102.577125,102.984875,hardly,I,sd,u-30-1
sw4036B-ms98-a-0023,104.094125,104.249750,go,B,+,u-32-1
sw4036B-ms98-a-0023,104.249750,104.669750,through,I,+,u-32-1
sw4036B-ms98-a-0023,104.669750,104.984000,so,B,%,u-32-2
sw4036B-ms98-a-0025,111.429000,111.774125,yeah,B,b,u-34-1
sw4036B-ms98-a-0027,122.324125,122.780750,yeah,B,b,u-36-1
sw4036B-ms98-a-0027,123.142375,123.274500,well,B,sv,u-36-2
sw4036B-ms98-a-0027,123.274500,123.414500,you,I,sv,u-36-2
sw4036B-ms98-a-0027,123.414500,123.604500,learn,I,sv,u-36-2
sw4036B-ms98-a-0027,123.604500,123.664500,a,I,sv,u-36-2
sw4036B-ms98-a-0027,123.664500,123.944500,lot,I,sv,u-36-2
sw4036B-ms98-a-0027,123.944500,124.174500,going,I,sv,u-36-2
sw4036B-ms98-a-0027,124.174500,124.284500,to,I,sv,u-36-2
sw4036B-ms98-a-0027,124.284500,124.354500,the,I,sv,u-36-2
sw4036B-ms98-a-0027,124.354500,124.744500,juries,I,sv,u-36-2
sw4036B-ms98-a-0027,124.744500,124.964500,like,I,sv,u-36-2
sw4036B-ms98-a-0027,124.964500,125.144500,that,I,sv,u-36-2
sw4036B-ms98-a-0027,125.144500,125.352750,though,I,sv,u-36-2
sw4036B-ms98-a-0029,146.738875,147.168875,it,O,,
sw4036B-ms98-a-0029,147.168875,147.339000,[vocalized-noise],O,,
sw4036B-ms98-a-0030,147.968250,148.148250,[vocalized-noise],O,,
sw4036B-ms98-a-0030,148.148250,148.298250,i,B,sv,u-38-1
sw4036B-ms98-a-0030,148.298250,148.578250,wouldn't,I,sv,u-38-1
sw4036B-ms98-a-0030,148.578250,148.788250,think,I,sv,u-38-1
sw4036B-ms98-a-0030,148.788250,148.928250,that,I,sv,u-38-1
sw4036B-ms98-a-0030,148.928250,149.028250,it,I,sv,u-38-1
sw4036B-ms98-a-0030,149.028250,149.606875,does,I,sv,u-38-1
sw4036B-ms98-a-0031,150.620500,150.731750,i,B,+,u-40-1
sw4036B-ms98-a-0031,150.731750,150.955500,mean,I,+,u-40-1
sw4036B-ms98-a-0031,151.082250,151.448375,from,I,+,u-40-1
sw4036B-ms98-a-0031,151.448375,151.658375,from,I,+,u-40-1
sw4036B-ms98-a-0031,151.658375,151.797875,my,I,+,u-40-1
sw4036B-ms98-a-0031,151.797875,152.036250,e[xperience]-,I,+,u-40-1
sw4036B-ms98-a-0031,152.269750,152.428375,from,I,+,u-40-1
sw4036B-ms98-a-0031,152.428375,152.568375,what,I,+,u-40-1
sw4036B-ms98-a-0031,152.568375,152.728375,i,I,+,u-40-1
sw4036B-ms98-a-0031,152.728375,153.268375,experienced,I,+,u-40-1
sw4036B-ms98-a-0031,153.268375,153.388375,in,I,+,u-40-1
sw4036B-ms98-a-0031,153.388375,153.498875,them_1,O,,
sw4036B-ms98-a-0031,154.045000,154.183125,it,B,sd,u-40-2
sw4036B-ms98-a-0031,154.183125,154.548375,didn't,I,sd,u-40-2
sw4036B-ms98-a-0031,154.548375,154.648375,you,I,sd,u-40-2
sw4036B-ms98-a-0031,154.648375,154.798375,know,I,sd,u-40-2
sw4036B-ms98-a-0031,154.798375,154.928375,it,I,sd,u-40-2
sw4036B-ms98-a-0031,154.928375,155.308375,didn't,I,sd,u-40-2
sw4036B-ms98-a-0032,156.107375,156.325500,didn't,I,sd,u-40-2
sw4036B-ms98-a-0032,156.325500,156.475500,turn,I,sd,u-40-2
sw4036B-ms98-a-0032,156.475500,156.624125,out,I,sd,u-40-2
sw4036B-ms98-a-0032,156.624125,156.778500,the,I,sd,u-40-2
sw4036B-ms98-a-0032,156.778500,157.055500,as,I,sd,u-40-2
sw4036B-ms98-a-0032,157.055500,157.115500,the,I,sd,u-40-2
sw4036B-ms98-a-0032,157.115500,157.345500,way,I,sd,u-40-2
sw4036B-ms98-a-0032,157.345500,157.425500,i,I,sd,u-40-2
sw4036B-ms98-a-0032,157.425500,157.985500,planned,I,sd,u-40-2
sw4036B-ms98-a-0032,157.985500,158.205500,it,I,sd,u-40-2
sw4036B-ms98-a-0032,158.205500,158.235500,i,I,sd,u-40-2
sw4036B-ms98-a-0032,158.235500,158.555500,mean,I,sd,u-40-2
sw4036B-ms98-a-0032,158.555500,158.625500,the,I,sd,u-40-2
sw4036B-ms98-a-0032,158.625500,158.825500,way,I,sd,u-40-2
sw4036B-ms98-a-0032,158.825500,159.005500,that,I,sd,u-40-2
sw4036B-ms98-a-0032,159.005500,159.115500,i,I,sd,u-40-2
sw4036B-ms98-a-0032,159.115500,159.275500,would,I,sd,u-40-2
sw4036B-ms98-a-0032,159.275500,159.545500,think,I,sd,u-40-2
sw4036B-ms98-a-0032,159.545500,159.675500,that,I,sd,u-40-2
sw4036B-ms98-a-0032,159.675500,159.765500,it,I,sd,u-40-2
sw4036B-ms98-a-0032,159.765500,159.885500,would,I,sd,u-40-2
sw4036B-ms98-a-0032,159.885500,160.129000,go,I,sd,u-40-2
sw4036B-ms98-a-0032,160.946625,161.230375,it,O,,
sw4036B-ms98-a-0033,162.285625,162.635625,yeah,B,ny,u-42-1
sw4036B-ms98-a-0033,162.635625,163.065625,but,B,%,u-42-2
sw4036B-ms98-a-0033,163.065625,163.155625,it,I,%,u-42-2
sw4036B-ms98-a-0033,163.155625,163.402750,was,I,%,u-42-2
sw4036B-ms98-a-0033,163.402750,163.575625,you,I,%,u-42-2
sw4036B-ms98-a-0033,163.575625,163.745625,know,I,%,u-42-2
sw4036B-ms98-a-0033,163.745625,163.805625,it,I,%,u-42-2
sw4036B-ms98-a-0033,163.805625,164.072125,was,I,%,u-42-2
sw4036B-ms98-a-0033,164.848000,165.145625,jury,B,sv,u-42-3
sw4036B-ms98-a-0033,165.145625,165.295625,was,I,sv,u-42-3
sw4036B-ms98-a-0033,165.295625,166.315625,unorganized,I,sv,u-42-3
sw4036B-ms98-a-0033,166.315625,166.575625,and,B,sd,u-42-4
sw4036B-ms98-a-0034,168.334125,168.564125,it,I,sd,u-42-4
sw4036B-ms98-a-0034,168.564125,168.786125,was,I,sd,u-42-4
sw4036B-ms98-a-0034,168.786125,169.024125,it,I,sd,u-42-4
sw4036B-ms98-a-0034,169.024125,169.208875,was,I,sd,u-42-4
sw4036B-ms98-a-0034,169.679625,169.974375,just,I,sd,u-42-4
sw4036B-ms98-a-0034,169.974375,170.364125,wasn't,I,sd,u-42-4
sw4036B-ms98-a-0034,170.364125,170.894125,organized,I,sd,u-42-4
sw4036B-ms98-a-0034,170.894125,171.174125,enough,I,sd,u-42-4
sw4036B-ms98-a-0034,171.174125,171.244125,for,I,sd,u-42-4
sw4036B-ms98-a-0034,171.244125,171.589875,me,I,sd,u-42-4
sw4036B-ms98-a-0034,171.589875,171.777375,so,O,,
sw4036B-ms98-a-0035,172.265125,172.520125,i'm,B,sd,u-44-1
sw4036B-ms98-a-0035,172.520125,172.740125,not,I,sd,u-44-1
sw4036B-ms98-a-0035,172.740125,172.920125,used,I,sd,u-44-1
sw4036B-ms98-a-0035,172.920125,173.000125,to,I,sd,u-44-1
sw4036B-ms98-a-0035,173.000125,173.110125,it,I,sd,u-44-1
sw4036B-ms98-a-0035,173.110125,173.300125,not,I,sd,u-44-1
sw4036B-ms98-a-0035,173.300125,173.460125,being,I,sd,u-44-1
sw4036B-ms98-a-0035,173.460125,173.980125,organized,I,sd,u-44-1
sw4036B-ms98-a-0035,173.980125,174.130125,and,B,sd,u-44-2
sw4036B-ms98-a-0035,174.130125,174.260125,i,I,sd,u-44-2
sw4036B-ms98-a-0035,174.260125,174.840125,just,I,sd,u-44-2
sw4036B-ms98-a-0035,174.840125,174.890125,a[ssumed]-,I,sd,u-44-2
sw4036B-ms98-a-0035,174.890125,175.420125,assumed,I,sd,u-44-2
sw4036B-ms98-a-0035,175.420125,175.520125,that,I,sd,u-44-2
sw4036B-ms98-a-0035,175.520125,175.610125,it,I,sd,u-44-2
sw4036B-ms98-a-0035,175.610125,175.740125,would,I,sd,u-44-2
sw4036B-ms98-a-0035,175.740125,175.860125,have,I,sd,u-44-2
sw4036B-ms98-a-0035,175.860125,176.205375,been,I,sd,u-44-2
sw4036B-ms98-a-0037,178.562750,178.806625,that's,B,aa,u-46-1
sw4036B-ms98-a-0038,180.012125,180.439625,that's,I,aa,u-46-1
sw4036B-ms98-a-0038,180.439625,180.649625,about,I,aa,u-46-1
sw4036B-ms98-a-0038,180.649625,180.769625,what,I,aa,u-46-1
sw4036B-ms98-a-0038,180.769625,180.839625,it,I,aa,u-46-1
sw4036B-ms98-a-0038,180.839625,181.179625,was,I,aa,u-46-1
sw4036B-ms98-a-0040,190.692500,190.941250,yeah,B,ny,u-48-1
sw4036B-ms98-a-0040,190.941250,191.061250,they,B,sd^e,u-48-2
sw4036B-ms98-a-0040,191.061250,191.261250,well,I,sd^e,u-48-2
sw4036B-ms98-a-0040,191.261250,191.361250,they,I,sd^e,u-48-2
sw4036B-ms98-a-0040,191.361250,191.591250,picked,I,sd^e,u-48-2
sw4036B-ms98-a-0040,191.591250,191.651250,the,I,sd^e,u-48-2
sw4036B-ms98-a-0040,191.651250,191.861250,one,I,sd^e,u-48-2
sw4036B-ms98-a-0040,191.861250,192.331250,person,I,sd^e,u-48-2
sw4036B-ms98-a-0040,192.331250,192.511250,and,B,sd,u-48-3
sw4036B-ms98-a-0040,192.511250,192.681250,then,I,sd,u-48-3
sw4036B-ms98-a-0040,192.681250,192.877875,he,I,sd,u-48-3
sw4036B-ms98-a-0040,193.017250,193.638625,finally,I,sd,u-48-3
sw4036B-ms98-a-0040,194.031250,194.144250,you,I,sd,u-48-3
sw4036B-ms98-a-0040,194.144250,194.241250,know,I,sd,u-48-3
sw4036B-ms98-a-0040,194.241250,194.831250,moderated,I,sd,u-48-3
sw4036B-ms98-a-0040,194.831250,195.311250,everything,I,sd,u-48-3
sw4036B-ms98-a-0040,195.311250,195.431250,and,I,sd,u-48-3
sw4036B-ms98-a-0040,195.431250,195.611250,made,I,sd,u-48-3
sw4036B-ms98-a-0040,195.611250,195.728750,it,I,sd,u-48-3
sw4036B-ms98-a-0041,196.999375,197.178125,turn,I,sd,u-48-3
sw4036B-ms98-a-0041,197.178125,197.358125,out,I,sd,u-48-3
sw4036B-ms98-a-0041,197.358125,197.428125,the,I,sd,u-48-3
sw4036B-ms98-a-0041,197.428125,197.538125,way,I,sd,u-48-3
sw4036B-ms98-a-0041,197.538125,197.678125,it,I,sd,u-48-3
sw4036B-ms98-a-0041,197.979375,198.188125,should,I,sd,u-48-3
sw4036B-ms98-a-0041,198.188125,198.528125,have,I,sd,u-48-3
sw4036B-ms98-a-0041,198.528125,198.858125,so,O,,
sw4036B-ms98-a-0042,200.289125,200.399125,yeah,B,ny,u-50-1
sw4036B-ms98-a-0042,200.399125,200.479125,it,B,sd^e,u-50-2
sw4036B-ms98-a-0042,200.479125,200.719125,ended,I,sd^e,u-50-2
sw4036B-ms98-a-0042,200.719125,200.839125,up,I,sd^e,u-50-2
sw4036B-ms98-a-0042,200.839125,201.089125,working,I,sd^e,u-50-2
sw4036B-ms98-a-0042,201.089125,201.149125,all,I,sd^e,u-50-2
sw4036B-ms98-a-0042,201.149125,201.367375,right,I,sd^e,u-50-2
sw4036B-ms98-a-0044,216.107875,216.441625,yes,B,b,u-52-1
sw4036B-ms98-a-0046,241.104375,241.484375,uh,O,,
sw4036B-ms98-a-0046,241.484375,241.514375,i,B,sv,u-54-1
sw4036B-ms98-a-0046,241.514375,241.724375,don't,I,sv,u-54-1
sw4036B-ms98-a-0046,241.724375,241.894375,think,I,sv,u-54-1
sw4036B-ms98-a-0046,241.894375,242.054375,that,I,sv,u-54-1
sw4036B-ms98-a-0046,242.054375,242.332375,they,I,sv,u-54-1
sw4036B-ms98-a-0046,242.550875,242.824375,they,I,sv,u-54-1
sw4036B-ms98-a-0046,242.824375,243.014375,they,I,sv,u-54-1
sw4036B-ms98-a-0046,243.014375,243.374375,educate,I,sv,u-54-1
sw4036B-ms98-a-0046,243.374375,243.474375,them_1,I,sv,u-54-1
sw4036B-ms98-a-0046,243.474375,243.764375,enough,I,sv,u-54-1
sw4036B-ms98-a-0046,243.764375,243.944375,to,I,sv,u-54-1
sw4036B-ms98-a-0047,244.994875,245.110625,to,I,sv,u-54-1
sw4036B-ms98-a-0047,245.110625,245.350625,really,I,sv,u-54-1
sw4036B-ms98-a-0047,245.350625,245.550625,know,I,sv,u-54-1
sw4036B-ms98-a-0047,245.550625,245.760625,what's,I,sv,u-54-1
sw4036B-ms98-a-0047,245.760625,246.100625,going,I,sv,u-54-1
sw4036B-ms98-a-0047,246.100625,246.303375,on,I,sv,u-54-1
sw4036B-ms98-a-0049,250.683750,251.023500,yeah,B,b,u-56-1
sw4036B-ms98-a-0049,251.023500,251.234500,[vocalized-noise],O,,
sw4036B-ms98-a-0049,251.234500,251.335375,the,B,sd,u-56-2
sw4036B-ms98-a-0049,251.335375,251.665375,bank,I,sd,u-56-2
sw4036B-ms98-a-0049,251.665375,251.795375,was,I,sd,u-56-2
sw4036B-ms98-a-0049,251.795375,252.105375,suing,I,sd,u-56-2
sw4036B-ms98-a-0049,252.105375,252.255375,them_1,I,sd,u-56-2
sw4036B-ms98-a-0049,252.255375,252.700750,for,I,sd,u-56-2
sw4036B-ms98-a-0049,253.408875,253.813625,uh,I,sd,u-56-2
sw4036B-ms98-a-0049,254.397500,254.875875,because,I,sd,u-56-2
sw4036B-ms98-a-0049,255.064125,255.175375,they,I,sd,u-56-2
sw4036B-ms98-a-0049,255.175375,255.375375,went,I,sd,u-56-2
sw4036B-ms98-a-0049,255.375375,255.435375,to,I,sd,u-56-2
sw4036B-ms98-a-0049,255.435375,255.625375,get,I,sd,u-56-2
sw4036B-ms98-a-0049,255.625375,255.755000,the,I,sd,u-56-2
sw4036B-ms98-a-0049,256.278625,256.417250,the,I,sd,u-56-2
sw4036B-ms98-a-0049,256.417250,256.898125,trailer,I,sd,u-56-2
sw4036B-ms98-a-0050,258.098750,258.282000,that,B,+,u-58-1
sw4036B-ms98-a-0050,258.282000,258.502000,which,I,+,u-58-1
sw4036B-ms98-a-0050,258.502000,258.717750,was,I,+,u-58-1
sw4036B-ms98-a-0050,259.279000,259.882000,[assumingly/assumably],I,+,u-58-1
sw4036B-ms98-a-0050,259.882000,260.082000,their,I,+,u-58-1
sw4036B-ms98-a-0050,260.082000,260.692875,property,I,+,u-58-1
sw4036B-ms98-a-0050,260.692875,260.792000,it,B,sd,u-60-1
sw4036B-ms98-a-0050,260.792000,260.892000,was,I,sd,u-60-1
sw4036B-ms98-a-0050,260.892000,261.132000,on,I,sd,u-60-1
sw4036B-ms98-a-0050,261.132000,261.332000,his,I,sd,u-60-1
sw4036B-ms98-a-0050,261.332000,261.859250,property,I,sd,u-60-1
sw4036B-ms98-a-0052,265.843000,266.170250,right,B,aa,u-62-1
sw4036B-ms98-a-0054,267.896750,268.140250,so,B,sd,u-64-1
sw4036B-ms98-a-0054,268.140250,268.280250,they,I,sd,u-64-1
sw4036B-ms98-a-0054,268.280250,268.550250,came,I,sd,u-64-1
sw4036B-ms98-a-0054,268.550250,268.620250,to,I,sd,u-64-1
sw4036B-ms98-a-0054,268.620250,268.780250,get,I,sd,u-64-1
sw4036B-ms98-a-0054,268.780250,269.087625,it,I,sd,u-64-1
sw4036B-ms98-a-0055,270.393500,270.543500,and,B,sd,u-66-1
sw4036B-ms98-a-0055,270.543500,270.663500,then,I,sd,u-66-1
sw4036B-ms98-a-0055,270.663500,270.793500,when,I,sd,u-66-1
sw4036B-ms98-a-0055,270.793500,270.903500,they,I,sd,u-66-1
sw4036B-ms98-a-0055,270.903500,271.153500,came,I,sd,u-66-1
sw4036B-ms98-a-0055,271.153500,271.213500,to,I,sd,u-66-1
sw4036B-ms98-a-0055,271.213500,271.403500,get,I,sd,u-66-1
sw4036B-ms98-a-0055,271.403500,271.543500,it,I,sd,u-66-1
sw4036B-ms98-a-0055,271.543500,271.948000,well,I,sd,u-66-1
sw4036B-ms98-a-0055,271.948000,272.140125,i[t]-,I,sd,u-66-1
sw4036B-ms98-a-0055,272.140125,272.323500,it,I,sd,u-66-1
sw4036B-ms98-a-0055,272.323500,272.569750,was,I,sd,u-66-1
sw4036B-ms98-a-0055,272.931375,273.123500,on,I,sd,u-66-1
sw4036B-ms98-a-0055,273.123500,273.183500,the,I,sd,u-66-1
sw4036B-ms98-a-0055,273.183500,273.663500,landlord's,I,sd,u-66-1
sw4036B-ms98-a-0055,273.663500,274.063500,property,I,sd,u-66-1
sw4036B-ms98-a-0055,274.063500,274.183500,and,B,sd,u-66-2
sw4036B-ms98-a-0055,274.183500,274.283500,he,I,sd,u-66-2
sw4036B-ms98-a-0055,274.283500,274.493500,wouldn't,I,sd,u-66-2
sw4036B-ms98-a-0055,274.493500,274.583500,let,I,sd,u-66-2
sw4036B-ms98-a-0055,274.583500,274.673500,them_1,I,sd,u-66-2
sw4036B-ms98-a-0055,274.673500,274.873500,take,I,sd,u-66-2
sw4036B-ms98-a-0055,274.873500,274.953500,it,I,sd,u-66-2
sw4036B-ms98-a-0055,274.953500,275.286375,off,I,sd,u-66-2
sw4036B-ms98-a-0057,277.379125,277.589125,so,B,sd,u-68-1
sw4036B-ms98-a-0057,277.589125,277.719125,and,I,sd,u-68-1
sw4036B-ms98-a-0057,277.719125,277.839125,they'd,I,sd,u-68-1
sw4036B-ms98-a-0057,277.839125,278.069125,already,I,sd,u-68-1
sw4036B-ms98-a-0057,278.069125,278.129125,it,I,sd,u-68-1
sw4036B-ms98-a-0057,278.129125,278.239125,was,I,sd,u-68-1
sw4036B-ms98-a-0057,278.239125,278.299125,a,I,sd,u-68-1
sw4036B-ms98-a-0057,278.299125,278.579125,double,I,sd,u-68-1
