sw2952A-ms98-a-0002,0.678625,0.902750,okay,B,%,u-1-1
sw2952A-ms98-a-0011,36.799250,37.289250,sports,I,sd,u-11-3
sw2952A-ms98-a-0011,37.289250,37.489250,too,I,sd,u-11-3
sw2952A-ms98-a-0011,37.489250,37.609250,but,B,sd,u-13-1
sw2952A-ms98-a-0011,37.609250,37.819250,like,I,sd,u-13-1
sw2952A-ms98-a-0011,37.819250,37.949250,you,I,sd,u-13-1
sw2952A-ms98-a-0011,37.949250,38.099250,it's,I,sd,u-13-1
sw2952A-ms98-a-0011,38.099250,38.389250,unless,I,sd,u-13-1
sw2952A-ms98-a-0011,38.389250,38.449250,you,I,sd,u-13-1
sw2952A-ms98-a-0011,38.449250,38.539250,have,I,sd,u-13-1
sw2952A-ms98-a-0011,38.539250,38.609250,a,I,sd,u-13-1
sw2952A-ms98-a-0011,38.609250,38.749250,pool,I,sd,u-13-1
sw2952A-ms98-a-0011,38.749250,38.849250,in,I,sd,u-13-1
sw2952A-ms98-a-0011,38.849250,38.949250,your,I,sd,u-13-1
sw2952A-ms98-a-0011,38.949250,39.469250,backyard,I,sd,u-13-1
sw2952A-ms98-a-0011,39.469250,39.579250,it's,I,sd,u-13-1
sw2952A-ms98-a-0011,39.579250,39.779250,kind,I,sd,u-13-1
sw2952A-ms98-a-0011,39.779250,39.839250,of,I,sd,u-13-1
sw2952A-ms98-a-0011,39.839250,40.019250,hard,I,sd,u-13-1
sw2952A-ms98-a-0011,40.019250,40.079250,to,I,sd,u-13-1
sw2952A-ms98-a-0011,40.079250,40.229250,get,I,sd,u-13-1
sw2952A-ms98-a-0011,40.229250,40.329250,to,I,sd,u-13-1
sw2952A-ms98-a-0011,40.329250,40.509250,do,I,sd,u-13-1
sw2952A-ms98-a-0011,40.509250,40.819375,that,I,sd,u-13-1
sw2952A-ms98-a-0012,41.488000,41.809750,very,B,+,u-15-1
sw2952A-ms98-a-0012,41.809750,42.492000,often,I,+,u-15-1
sw2952A-ms98-a-0013,43.934750,44.334625,yeah,B,ny,u-17-1
sw2952A-ms98-a-0013,44.334625,44.624750,well,B,arp,u-17-2
sw2952A-ms98-a-0013,44.624750,45.223250,part-time,O,,
sw2952A-ms98-a-0013,45.223250,45.343250,we're,O,,
sw2952A-ms98-a-0013,45.343250,45.463250,going,B,+,u-19-1
sw2952A-ms98-a-0013,45.463250,45.523250,to,I,+,u-19-1
sw2952A-ms98-a-0013,45.523250,45.663250,have,I,+,u-19-1
sw2952A-ms98-a-0013,45.663250,45.743250,a,I,+,u-19-1
sw2952A-ms98-a-0013,45.743250,46.083250,baby,I,+,u-19-1
sw2952A-ms98-a-0013,46.083250,46.161000,in,I,+,u-19-1
sw2952A-ms98-a-0013,46.161000,46.865375,July,I,+,u-19-1
sw2952A-ms98-a-0013,46.865375,47.190000,so,B,sd,u-21-1
sw2952A-ms98-a-0013,47.476250,47.613250,part,I,sd,u-21-1
sw2952A-ms98-a-0013,47.613250,47.683250,of,I,sd,u-21-1
sw2952A-ms98-a-0013,47.683250,47.833250,my,I,sd,u-21-1
sw2952A-ms98-a-0013,47.833250,48.023250,big,I,sd,u-21-1
sw2952A-ms98-a-0013,48.023250,48.293250,hobby,I,sd,u-21-1
sw2952A-ms98-a-0013,48.293250,48.393250,has,I,sd,u-21-1
sw2952A-ms98-a-0013,48.393250,48.753250,been,I,sd,u-21-1
sw2952A-ms98-a-0013,48.753250,49.123250,[laughter],I,sd,u-21-1
sw2952A-ms98-a-0013,49.123250,49.333250,trying,I,sd,u-21-1
sw2952A-ms98-a-0013,49.333250,49.393250,to,I,sd,u-21-1
sw2952A-ms98-a-0013,49.393250,49.543250,put,I,sd,u-21-1
sw2952A-ms98-a-0013,49.543250,49.893250,together,I,sd,u-21-1
sw2952A-ms98-a-0013,49.893250,49.923250,a,I,sd,u-21-1
sw2952A-ms98-a-0013,49.923250,50.393250,nursery,I,sd,u-21-1
sw2952A-ms98-a-0013,50.393250,50.513250,and,I,sd,u-21-1
sw2952A-ms98-a-0013,50.513250,50.623250,all,I,sd,u-21-1
sw2952A-ms98-a-0013,50.623250,50.793250,that,I,sd,u-21-1
sw2952A-ms98-a-0013,50.793250,50.983250,kind,I,sd,u-21-1
sw2952A-ms98-a-0013,50.983250,51.063250,of,I,sd,u-21-1
sw2952A-ms98-a-0013,51.063250,51.423250,stuff,I,sd,u-21-1
sw2952A-ms98-a-0013,51.423250,52.076375,lately,I,sd,u-21-1
sw2952A-ms98-a-0013,52.076375,52.324500,but,O,,
sw2952A-ms98-a-0015,54.150875,54.562000,yeah,B,aa,u-23-1
sw2952A-ms98-a-0015,54.562000,54.652000,it,B,sv,u-25-1
sw2952A-ms98-a-0015,54.652000,55.112000,does,I,sv,u-25-1
sw2952A-ms98-a-0015,55.232000,55.412000,i've,O,,
sw2952A-ms98-a-0015,55.412000,55.612000,been,B,%,u-25-2
sw2952A-ms98-a-0016,56.323875,56.845875,yes,B,ny,u-27-1
sw2952A-ms98-a-0016,56.845875,57.195875,uh-huh,B,ny,u-27-2
sw2952A-ms98-a-0016,57.645875,57.755875,i've,O,,
sw2952A-ms98-a-0016,57.755875,57.875875,been,B,sd,u-29-1
sw2952A-ms98-a-0016,57.875875,58.085875,doing,I,sd,u-29-1
sw2952A-ms98-a-0016,58.085875,58.195875,some,I,sd,u-29-1
sw2952A-ms98-a-0016,58.195875,59.075875,cross-stitch,I,sd,u-29-1
sw2952A-ms98-a-0016,59.075875,59.355875,for,I,sd,u-29-1
sw2952A-ms98-a-0016,59.355875,59.715875,something,I,sd,u-29-1
sw2952A-ms98-a-0016,59.715875,59.785875,i,I,sd,u-29-1
sw2952A-ms98-a-0016,59.785875,60.045875,wanted,I,sd,u-29-1
sw2952A-ms98-a-0016,60.045875,60.105875,to,I,sd,u-29-1
sw2952A-ms98-a-0016,60.105875,60.235875,put,I,sd,u-29-1
sw2952A-ms98-a-0016,60.235875,60.345875,in,I,sd,u-29-1
sw2952A-ms98-a-0016,60.345875,60.405875,the,I,sd,u-29-1
sw2952A-ms98-a-0016,60.405875,60.855875,nursery,I,sd,u-29-1
sw2952A-ms98-a-0016,60.855875,60.975875,so,B,sd,u-29-2
sw2952A-ms98-a-0016,60.975875,61.055875,i,I,sd,u-29-2
sw2952A-ms98-a-0016,61.055875,61.325875,haven't,O,,
sw2952A-ms98-a-0016,61.325875,61.485875,done,B,+,u-31-1
sw2952A-ms98-a-0016,61.485875,61.695875,that,I,+,u-31-1
sw2952A-ms98-a-0016,61.695875,61.835875,in,I,+,u-31-1
sw2952A-ms98-a-0016,61.835875,62.145875,years,I,+,u-31-1
sw2952A-ms98-a-0016,62.145875,62.285875,but,B,sd,u-31-2
sw2952A-ms98-a-0016,62.285875,62.415875,i've,I,sd,u-31-2
sw2952A-ms98-a-0016,62.415875,62.615875,kind,I,sd,u-31-2
sw2952A-ms98-a-0016,62.615875,62.675875,of,I,sd,u-31-2
sw2952A-ms98-a-0016,62.675875,63.075875,enjoyed,I,sd,u-31-2
sw2952A-ms98-a-0016,63.075875,63.535875,that,I,sd,u-31-2
sw2952A-ms98-a-0016,63.535875,63.744500,but,O,,
sw2952A-ms98-a-0016,64.147500,64.285875,it's,O,,
sw2952A-ms98-a-0016,64.285875,64.485875,just,B,sd,u-33-1
sw2952A-ms98-a-0016,64.485875,64.635875,hard,I,sd,u-33-1
sw2952A-ms98-a-0016,64.635875,64.695875,to,I,sd,u-33-1
sw2952A-ms98-a-0016,64.695875,64.925875,find,I,sd,u-33-1
sw2952A-ms98-a-0016,64.925875,64.985875,the,I,sd,u-33-1
sw2952A-ms98-a-0016,64.985875,65.255875,time,I,sd,u-33-1
sw2952A-ms98-a-0016,65.255875,65.375875,to,I,sd,u-33-1
sw2952A-ms98-a-0016,65.375875,65.565875,sit,I,sd,u-33-1
sw2952A-ms98-a-0016,65.565875,65.725875,there,I,sd,u-33-1
sw2952A-ms98-a-0016,65.725875,65.855875,and,I,sd,u-33-1
sw2952A-ms98-a-0016,65.855875,66.065875,do,I,sd,u-33-1
sw2952A-ms98-a-0016,66.065875,66.335750,it,I,sd,u-33-1
sw2952A-ms98-a-0016,66.335750,66.679750,and,O,,
sw2952A-ms98-a-0018,71.242000,71.762000,right,B,aa,u-35-1
sw2952A-ms98-a-0018,71.762000,72.292000,yeah,B,aa,u-35-2
sw2952A-ms98-a-0019,73.118000,73.247750,and,B,sd,u-37-1
sw2952A-ms98-a-0019,73.247750,73.374875,i,I,sd,u-37-1
sw2952A-ms98-a-0019,73.374875,73.560000,guess,I,sd,u-37-1
sw2952A-ms98-a-0019,73.560000,73.710625,i,I,sd,u-37-1
sw2952A-ms98-a-0019,73.710625,73.904875,kind,I,sd,u-37-1
sw2952A-ms98-a-0019,73.904875,73.964875,of,I,sd,u-37-1
sw2952A-ms98-a-0019,73.964875,74.454875,consider,I,sd,u-37-1
sw2952A-ms98-a-0019,74.454875,74.974875,shopping,I,sd,u-37-1
sw2952A-ms98-a-0019,74.974875,75.024875,a,I,sd,u-37-1
sw2952A-ms98-a-0019,75.024875,75.523250,hobby,I,sd,u-37-1
sw2952A-ms98-a-0019,75.523250,76.116625,[laughter],O,,
sw2952A-ms98-a-0021,77.425750,77.566125,i,B,sd,u-39-1
sw2952A-ms98-a-0021,77.566125,77.776125,just,I,sd,u-39-1
sw2952A-ms98-a-0021,77.776125,77.906000,go,I,sd,u-39-1
sw2952A-ms98-a-0021,77.906000,78.158250,out,I,sd,u-39-1
sw2952A-ms98-a-0021,78.158250,78.365500,just,I,sd,u-39-1
sw2952A-ms98-a-0021,78.365500,78.604000,to,I,sd,u-39-1
sw2952A-ms98-a-0021,78.928000,79.166125,just,I,sd,u-39-1
sw2952A-ms98-a-0021,79.166125,79.286125,to,I,sd,u-39-1
sw2952A-ms98-a-0021,79.286125,79.606125,enjoy,I,sd,u-39-1
sw2952A-ms98-a-0021,79.606125,79.786125,it,I,sd,u-39-1
sw2952A-ms98-a-0021,79.786125,79.876125,and,I,sd,u-39-1
sw2952A-ms98-a-0021,79.876125,80.086125,not,I,sd,u-39-1
sw2952A-ms98-a-0021,80.086125,80.286125,really,B,+,u-41-1
sw2952A-ms98-a-0021,80.286125,80.556125,spend,I,+,u-41-1
sw2952A-ms98-a-0021,80.556125,80.806125,money,I,+,u-41-1
sw2952A-ms98-a-0021,80.806125,81.406125,sometimes,I,+,u-41-1
sw2952A-ms98-a-0021,81.406125,81.586125,just,B,+,u-43-1
sw2952A-ms98-a-0021,81.586125,82.017250,look,I,+,u-43-1
sw2952A-ms98-a-0023,101.041125,101.701125,yeah,B,aa,u-45-1
sw2952A-ms98-a-0023,101.701125,101.881125,yeah,B,aa,u-45-2
sw2952A-ms98-a-0023,101.881125,102.151125,we,B,sd,u-45-3
sw2952A-ms98-a-0023,102.301125,102.511125,bought,B,+,u-47-1
sw2952A-ms98-a-0023,102.511125,102.651125,some,I,+,u-47-1
sw2952A-ms98-a-0023,102.651125,102.921125,baby,I,+,u-47-1
sw2952A-ms98-a-0023,102.921125,103.261125,clothes,I,+,u-47-1
sw2952A-ms98-a-0023,103.261125,103.441125,yeah,I,+,u-47-1
sw2952A-ms98-a-0023,103.441125,103.751125,last,I,+,u-47-1
sw2952A-ms98-a-0023,103.751125,104.101125,weekend,I,+,u-47-1
sw2952A-ms98-a-0023,104.101125,104.191125,at,I,+,u-47-1
sw2952A-ms98-a-0023,104.191125,104.261125,a,I,+,u-47-1
sw2952A-ms98-a-0023,104.261125,104.641125,garage,I,+,u-47-1
sw2952A-ms98-a-0023,104.641125,105.191125,sale,I,+,u-47-1
sw2952A-ms98-a-0025,113.179375,113.738000,yeah,B,b,u-49-1
sw2952A-ms98-a-0027,115.662250,116.250500,[laughter],O,,
sw2952A-ms98-a-0028,116.932625,117.465625,uh-huh,B,b,u-53-1
sw2952A-ms98-a-0030,125.551625,126.008250,oh,B,b,u-55-1
sw2952A-ms98-a-0030,126.008250,126.734625,[laughter],O,,
sw2952A-ms98-a-0032,130.749000,131.279125,wow,B,ba,u-57-1
sw2952A-ms98-a-0032,131.279125,132.020250,yeah,B,b,u-57-2
sw2952A-ms98-a-0033,132.590125,132.785375,yeah,B,b,u-59-1
sw2952A-ms98-a-0033,132.785375,132.885375,it,B,"sv,o@",u-59-2
sw2952A-ms98-a-0033,132.885375,133.095375,kind,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,133.095375,133.165375,of,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,133.165375,133.225375,a,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,133.225375,133.545375,hobby,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,133.545375,133.680375,it,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,133.891250,134.135375,that's,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,134.135375,134.395375,time,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,134.395375,134.815375,consuming,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,134.815375,135.065375,too,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.065375,135.275375,really,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.275375,135.355375,to,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.355375,135.585375,find,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.585375,135.645375,the,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.645375,135.915375,things,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.915375,135.995375,you,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,135.995375,136.285375,want,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,136.285375,136.605375,sometimes,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,136.605375,136.665375,you,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,136.665375,136.755375,have,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,136.755375,136.875375,to,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,136.875375,137.155375,stop,I,"sv,o@",u-59-2
sw2952A-ms98-a-0033,137.155375,137.195375,a,B,+,u-61-1
sw2952A-ms98-a-0033,137.195375,137.435375,lot,I,+,u-61-1
sw2952A-ms98-a-0033,137.435375,137.505375,of,I,+,u-61-1
sw2952A-ms98-a-0033,137.505375,138.226750,places,I,+,u-61-1
sw2952A-ms98-a-0035,148.290875,148.730875,right,B,aa,u-63-1
sw2952A-ms98-a-0035,148.730875,148.910875,yeah,B,aa,u-63-2
sw2952A-ms98-a-0035,148.910875,148.970875,i,B,sd,u-63-3
sw2952A-ms98-a-0035,148.970875,149.190875,think,I,sd,u-63-3
sw2952A-ms98-a-0035,149.190875,149.360875,that's,I,sd,u-63-3
sw2952A-ms98-a-0035,149.360875,149.810875,important,I,sd,u-63-3
sw2952A-ms98-a-0035,149.810875,149.950875,too,I,sd,u-63-3
sw2952A-ms98-a-0035,149.950875,150.090875,i'm,O,,
sw2952A-ms98-a-0035,150.090875,150.300875,not,B,sd,u-63-4
sw2952A-ms98-a-0035,150.300875,150.420875,going,B,+,u-65-1
sw2952A-ms98-a-0035,150.420875,150.490875,to,I,+,u-65-1
sw2952A-ms98-a-0035,150.490875,150.969875,work,I,+,u-65-1
sw2952A-ms98-a-0035,151.113000,151.420875,after,B,+,u-67-1
sw2952A-ms98-a-0035,151.420875,151.510875,the,I,+,u-67-1
sw2952A-ms98-a-0035,151.510875,151.700875,baby,I,+,u-67-1
sw2952A-ms98-a-0035,151.700875,152.120875,comes,I,+,u-67-1
sw2952A-ms98-a-0036,153.214375,153.345500,so,B,sd,u-69-1
sw2952A-ms98-a-0036,153.345500,153.455875,i,I,sd,u-69-1
sw2952A-ms98-a-0036,153.455875,153.646500,guess,B,+,u-71-1
sw2952A-ms98-a-0036,153.646500,154.025500,hopefully,I,+,u-71-1
sw2952A-ms98-a-0036,154.025500,154.115500,i'll,I,+,u-71-1
sw2952A-ms98-a-0036,154.115500,154.275500,have,I,+,u-71-1
sw2952A-ms98-a-0036,154.275500,154.505500,time,I,+,u-71-1
sw2952A-ms98-a-0036,154.505500,154.605500,for,I,+,u-71-1
sw2952A-ms98-a-0036,154.605500,154.795500,more,I,+,u-71-1
sw2952A-ms98-a-0036,154.795500,155.165500,hobbies,I,+,u-71-1
sw2952A-ms98-a-0036,155.165500,155.225500,i,B,h,u-71-2
sw2952A-ms98-a-0036,155.225500,155.285500,do,I,h,u-71-2
sw2952A-ms98-a-0036,155.285500,155.415500,not,I,h,u-71-2
sw2952A-ms98-a-0036,155.415500,155.765500,know,I,h,u-71-2
sw2952A-ms98-a-0036,155.765500,156.413250,[laughter],O,,
sw2952A-ms98-a-0038,164.805625,165.229875,right,B,aa,u-73-1
sw2952A-ms98-a-0040,168.222125,168.892125,yes,O,,
sw2952A-ms98-a-0042,180.996875,181.456875,wow,B,ba,u-77-1
sw2952A-ms98-a-0042,181.456875,181.826875,yeah,B,b,u-77-2
sw2952A-ms98-a-0042,181.826875,182.656875,[laughter],O,,
sw2952A-ms98-a-0044,190.231625,190.769000,yeah,B,b,u-79-1
sw2952A-ms98-a-0044,190.769000,190.929000,so,B,ba,u-79-2
sw2952A-ms98-a-0044,190.929000,191.149000,that's,I,ba,u-79-2
sw2952A-ms98-a-0044,191.149000,191.309000,good,I,ba,u-79-2
sw2952A-ms98-a-0044,191.309000,191.369000,a,B,bf,u-79-3
sw2952A-ms98-a-0044,191.369000,191.519000,whole,I,bf,u-79-3
sw2952A-ms98-a-0044,191.519000,191.769000,fam[ily]-,O,,
sw2952A-ms98-a-0044,191.769000,191.929000,your,B,bf,u-79-4
sw2952A-ms98-a-0044,191.929000,192.069000,whole,I,bf,u-79-4
sw2952A-ms98-a-0044,192.069000,192.369000,family,I,bf,u-79-4
sw2952A-ms98-a-0044,192.369000,192.509000,can,I,bf,u-79-4
sw2952A-ms98-a-0044,192.509000,192.809000,enjoy,I,bf,u-79-4
sw2952A-ms98-a-0044,192.809000,193.019000,those,I,bf,u-79-4
sw2952A-ms98-a-0044,193.019000,193.449000,hobbies,I,bf,u-79-4
sw2952A-ms98-a-0044,193.449000,193.709000,[laughter],O,,
sw2952A-ms98-a-0046,197.858750,198.315250,oh,B,b,u-81-1
sw2952A-ms98-a-0048,215.626875,215.856875,oh,B,ba,u-83-1
sw2952A-ms98-a-0048,215.856875,216.206875,wow,I,ba,u-83-1
sw2952A-ms98-a-0048,216.206875,216.426875,that'll,O,,
sw2952A-ms98-a-0048,216.426875,216.616875,make,B,sv,u-83-2
sw2952A-ms98-a-0048,216.616875,216.686875,the,I,sv,u-83-2
sw2952A-ms98-a-0048,216.686875,216.926875,summer,I,sv,u-83-2
sw2952A-ms98-a-0048,216.926875,217.066875,go,I,sv,u-83-2
sw2952A-ms98-a-0048,217.066875,217.216875,by,I,sv,u-83-2
sw2952A-ms98-a-0048,217.216875,217.336875,in,I,sv,u-83-2
sw2952A-ms98-a-0048,217.336875,217.396875,a,I,sv,u-83-2
sw2952A-ms98-a-0048,217.396875,217.866875,hurry,I,sv,u-83-2
sw2952A-ms98-a-0048,217.866875,218.086875,keep,B,sv,u-85-1
sw2952A-ms98-a-0048,218.086875,218.156875,the,I,sv,u-85-1
sw2952A-ms98-a-0048,218.156875,218.406875,kids,I,sv,u-85-1
sw2952A-ms98-a-0048,218.406875,218.796875,busy,I,sv,u-85-1
sw2952A-ms98-a-0050,224.096500,224.606500,right,B,b,u-87-1
sw2952A-ms98-a-0052,226.269375,226.809375,yeah,B,b,u-89-1
sw2952A-ms98-a-0054,228.665125,229.127250,yeah,B,b,u-91-1
sw2952A-ms98-a-0054,229.256875,229.670875,um,B,qy,u-91-2
sw2952A-ms98-a-0055,230.315500,230.345625,do,I,qy,u-91-2
sw2952A-ms98-a-0055,230.345625,230.405625,you,I,qy,u-91-2
sw2952A-ms98-a-0055,230.405625,230.755625,consider,I,qy,u-91-2
sw2952A-ms98-a-0055,230.755625,231.135625,yard,I,qy,u-91-2
sw2952A-ms98-a-0055,231.135625,231.365625,work,I,qy,u-91-2
sw2952A-ms98-a-0055,231.365625,231.425625,a,I,qy,u-91-2
sw2952A-ms98-a-0055,231.425625,231.805625,hobby,I,qy,u-91-2
sw2952A-ms98-a-0055,231.805625,231.915625,at,I,qy,u-91-2
sw2952A-ms98-a-0055,231.915625,232.175625,all,I,qy,u-91-2
sw2952A-ms98-a-0055,232.175625,232.255625,or,B,qrr,u-91-3
sw2952A-ms98-a-0055,232.255625,232.375625,is,I,qrr,u-91-3
sw2952A-ms98-a-0055,232.375625,232.565625,that,I,qrr,u-91-3
sw2952A-ms98-a-0055,232.565625,232.745625,just,I,qrr,u-91-3
sw2952A-ms98-a-0055,232.745625,232.825625,a,I,qrr,u-91-3
sw2952A-ms98-a-0055,232.825625,233.312500,chore,I,qrr,u-91-3
sw2952A-ms98-a-0055,233.640250,234.245750,[laughter],O,,
sw2952A-ms98-a-0057,236.646625,237.066625,uh-huh,B,b,u-93-1
sw2952A-ms98-a-0057,237.066625,237.592375,[laughter],O,,
sw2952A-ms98-a-0059,240.409375,241.120250,yeah,B,b,u-95-1
sw2952A-ms98-a-0061,244.705000,244.865000,oh,B,ba,u-97-1
sw2952A-ms98-a-0061,244.865000,245.285000,no,I,ba,u-97-1
sw2952A-ms98-a-0063,249.780875,250.450375,[laughter],O,,
sw2952A-ms98-a-0064,251.804125,252.492375,oh,B,nd,u-101-1
sw2952A-ms98-a-0064,252.692000,253.184500,well,I,nd,u-101-1
sw2952A-ms98-a-0064,253.184500,253.334500,we,I,nd,u-101-1
sw2952A-ms98-a-0064,253.334500,253.604500,like,I,nd,u-101-1
sw2952A-ms98-a-0064,253.604500,253.714500,it,I,nd,u-101-1
sw2952A-ms98-a-0064,253.714500,253.934500,once,I,nd,u-101-1
sw2952A-ms98-a-0064,253.934500,254.034500,in,I,nd,u-101-1
sw2952A-ms98-a-0064,254.034500,254.094500,a,I,nd,u-101-1
sw2952A-ms98-a-0064,254.094500,254.334500,while,I,nd,u-101-1
sw2952A-ms98-a-0064,254.334500,254.454500,but,I,nd,u-101-1
sw2952A-ms98-a-0064,254.454500,254.644500,not,I,nd,u-101-1
sw2952A-ms98-a-0064,254.644500,254.754500,as,I,nd,u-101-1
sw2952A-ms98-a-0064,254.754500,255.074500,often,I,nd,u-101-1
sw2952A-ms98-a-0064,255.074500,255.224500,as,I,nd,u-101-1
sw2952A-ms98-a-0064,255.224500,255.374500,we,I,nd,u-101-1
sw2952A-ms98-a-0064,255.374500,255.524500,have,I,nd,u-101-1
sw2952A-ms98-a-0064,255.524500,255.684500,to,I,nd,u-101-1
sw2952A-ms98-a-0064,255.684500,255.884500,do,I,nd,u-101-1
sw2952A-ms98-a-0064,255.884500,256.164500,it,I,nd,u-101-1
sw2952A-ms98-a-0064,256.164500,256.734500,[laughter],O,,
sw2952A-ms98-a-0064,256.734500,256.824500,i,B,sd,u-103-1
sw2952A-ms98-a-0064,256.824500,256.994500,like,I,sd,u-103-1
sw2952A-ms98-a-0064,256.994500,257.084500,to,I,sd,u-103-1
sw2952A-ms98-a-0064,257.084500,257.294500,put,I,sd,u-103-1
sw2952A-ms98-a-0064,257.294500,257.774500,flowers,I,sd,u-103-1
sw2952A-ms98-a-0064,257.774500,258.184500,out,I,sd,u-103-1
sw2952A-ms98-a-0064,258.184500,258.454500,and,I,sd,u-103-1
sw2952A-ms98-a-0064,258.454500,258.554500,you,I,sd,u-103-1
sw2952A-ms98-a-0064,258.554500,258.664500,know,I,sd,u-103-1
sw2952A-ms98-a-0064,258.664500,258.694500,a,B,+,u-105-1
sw2952A-ms98-a-0064,258.694500,258.834500,few,I,+,u-105-1
sw2952A-ms98-a-0064,258.834500,258.984500,little,I,+,u-105-1
sw2952A-ms98-a-0064,258.984500,259.284500,things,I,+,u-105-1
sw2952A-ms98-a-0064,259.284500,259.534500,like,I,+,u-105-1
sw2952A-ms98-a-0064,259.534500,259.944500,that,I,+,u-105-1
sw2952A-ms98-a-0064,259.944500,260.064500,but,B,sd,u-105-2
sw2952A-ms98-a-0064,260.064500,260.164500,as,I,sd,u-105-2
sw2952A-ms98-a-0064,260.164500,260.374500,far,I,sd,u-105-2
sw2952A-ms98-a-0064,260.374500,260.504500,as,I,sd,u-105-2
sw2952A-ms98-a-0064,260.504500,260.904500,mowing,B,+,u-107-1
sw2952A-ms98-a-0064,260.904500,261.164500,every,I,+,u-107-1
sw2952A-ms98-a-0064,261.164500,261.554500,week,I,+,u-107-1
sw2952A-ms98-a-0064,261.554500,261.754500,and,I,+,u-107-1
sw2952A-ms98-a-0064,261.754500,262.064500,finding,I,+,u-107-1
sw2952A-ms98-a-0064,262.064500,262.314500,time,I,+,u-107-1
sw2952A-ms98-a-0064,262.314500,262.374500,to,B,+,u-109-1
sw2952A-ms98-a-0064,262.374500,262.534500,get,I,+,u-109-1
