sw4619B-ms98-a-0002,0.232375,0.333750,bye,B,t3,u-1-1
sw4619B-ms98-a-0007,37.327000,37.517000,look,I,sv,u-9-2
sw4619B-ms98-a-0007,37.517000,37.877000,for,I,sv,u-9-2
sw4619B-ms98-a-0007,37.877000,38.087000,a,I,sv,u-9-2
sw4619B-ms98-a-0007,38.087000,38.397000,home,I,sv,u-9-2
sw4619B-ms98-a-0007,38.397000,38.537000,where,I,sv,u-9-2
sw4619B-ms98-a-0007,38.537000,38.927500,they,I,sv,u-9-2
sw4619B-ms98-a-0007,39.123250,39.247000,got,I,sv,u-9-2
sw4619B-ms98-a-0007,39.247000,39.277000,a,I,sv,u-9-2
sw4619B-ms98-a-0007,39.277000,39.467000,lot,I,sv,u-9-2
sw4619B-ms98-a-0007,39.467000,39.567000,of,I,sv,u-9-2
sw4619B-ms98-a-0007,39.567000,40.107000,attention,I,sv,u-9-2
sw4619B-ms98-a-0008,40.834000,41.334000,and,I,sv,u-9-2
sw4619B-ms98-a-0008,41.334000,41.754250,um,I,sv,u-9-2
sw4619B-ms98-a-0008,41.972750,42.104000,where,I,sv,u-9-2
sw4619B-ms98-a-0008,42.104000,42.214000,they,I,sv,u-9-2
sw4619B-ms98-a-0008,42.214000,42.424000,did,I,sv,u-9-2
sw4619B-ms98-a-0008,42.424000,42.594000,some,I,sv,u-9-2
sw4619B-ms98-a-0008,42.594000,42.954000,things,I,sv,u-9-2
sw4619B-ms98-a-0008,42.954000,43.344000,to,I,sv,u-9-2
sw4619B-ms98-a-0008,43.344000,43.484000,and,I,sv,u-9-2
sw4619B-ms98-a-0008,43.484000,43.694000,try,I,sv,u-9-2
sw4619B-ms98-a-0008,43.694000,43.794000,to,I,sv,u-9-2
sw4619B-ms98-a-0008,43.794000,44.094000,keep,I,sv,u-9-2
sw4619B-ms98-a-0008,44.094000,44.424000,them,I,sv,u-9-2
sw4619B-ms98-a-0008,44.424000,44.745375,um,I,sv,u-9-2
sw4619B-ms98-a-0008,44.937500,45.748250,mentally,I,sv,u-9-2
sw4619B-ms98-a-0008,45.887625,46.431375,alive,I,sv,u-9-2
sw4619B-ms98-a-0009,47.115250,47.715250,and,B,+,u-11-1
sw4619B-ms98-a-0009,47.715250,47.875250,where,I,+,u-11-1
sw4619B-ms98-a-0009,47.875250,48.105250,there,I,+,u-11-1
sw4619B-ms98-a-0009,48.105250,48.515250,was,I,+,u-11-1
sw4619B-ms98-a-0009,48.515250,48.785250,um,I,+,u-11-1
sw4619B-ms98-a-0009,48.785250,49.295250,caring,I,+,u-11-1
sw4619B-ms98-a-0009,49.295250,49.655250,and,I,+,u-11-1
sw4619B-ms98-a-0009,49.965250,50.745250,compassionate,I,+,u-11-1
sw4619B-ms98-a-0009,50.955250,51.045250,where,I,+,u-11-1
sw4619B-ms98-a-0009,51.045250,51.135250,there,I,+,u-11-1
sw4619B-ms98-a-0009,51.135250,51.235250,were,I,+,u-11-1
sw4619B-ms98-a-0009,51.235250,51.585250,caring,I,+,u-11-1
sw4619B-ms98-a-0009,51.585250,51.715250,and,I,+,u-11-1
sw4619B-ms98-a-0009,51.715250,52.255250,compassionate,I,+,u-11-1
sw4619B-ms98-a-0009,52.255250,52.825250,people,I,+,u-11-1
sw4619B-ms98-a-0009,52.825250,53.021250,uh,I,+,u-11-1
sw4619B-ms98-a-0009,53.458125,54.055250,operating,I,+,u-11-1
sw4619B-ms98-a-0009,54.055250,54.155250,it,I,+,u-11-1
sw4619B-ms98-a-0009,54.518750,54.560875,do,B,qy,u-11-2
sw4619B-ms98-a-0009,54.560875,54.572250,you,B,+,u-13-1
sw4619B-ms98-a-0009,54.572250,54.695250,have,I,+,u-13-1
sw4619B-ms98-a-0009,54.695250,54.905250,any,I,+,u-13-1
sw4619B-ms98-a-0009,54.905250,55.445250,experience,I,+,u-13-1
sw4619B-ms98-a-0009,55.445250,55.565250,with,I,+,u-13-1
sw4619B-ms98-a-0009,55.565250,55.775250,this,I,+,u-13-1
sw4619B-ms98-a-0009,55.775250,56.215250,yourself,I,+,u-13-1
sw4619B-ms98-a-0011,60.663000,60.874625,um-hum,B,b,u-15-1
sw4619B-ms98-a-0013,70.438875,70.658875,um-hum,B,b,u-17-1
sw4619B-ms98-a-0015,91.765125,91.952375,from,B,bf^g,u-19-1
sw4619B-ms98-a-0015,91.952375,92.012375,the,I,bf^g,u-19-1
sw4619B-ms98-a-0015,92.012375,92.252375,lack,I,bf^g,u-19-1
sw4619B-ms98-a-0015,92.252375,92.332375,of,I,bf^g,u-19-1
sw4619B-ms98-a-0015,92.332375,92.982375,stimulation,I,bf^g,u-19-1
sw4619B-ms98-a-0015,93.202375,93.262375,you,I,bf^g,u-19-1
sw4619B-ms98-a-0015,93.262375,93.412375,mean,I,bf^g,u-19-1
sw4619B-ms98-a-0017,140.819625,140.867000,do,B,qy,u-21-1
sw4619B-ms98-a-0017,140.867000,140.937000,you,I,qy,u-21-1
sw4619B-ms98-a-0017,140.937000,141.177000,think,I,qy,u-21-1
sw4619B-ms98-a-0017,141.177000,141.337000,that,I,qy,u-21-1
sw4619B-ms98-a-0017,141.337000,141.507000,in,I,qy,u-21-1
sw4619B-ms98-a-0017,141.507000,141.767000,the,I,qy,u-21-1
sw4619B-ms98-a-0017,141.767000,142.147000,case,I,qy,u-21-1
sw4619B-ms98-a-0017,142.147000,142.287000,of,I,qy,u-21-1
sw4619B-ms98-a-0017,142.287000,142.357000,the,I,qy,u-21-1
sw4619B-ms98-a-0017,142.357000,142.713250,one,I,qy,u-21-1
sw4619B-ms98-a-0017,142.713250,143.014625,that,I,qy,u-21-1
sw4619B-ms98-a-0017,143.014625,143.227000,you've,I,qy,u-21-1
sw4619B-ms98-a-0017,143.227000,143.577000,actually,I,qy,u-21-1
sw4619B-ms98-a-0017,143.577000,143.737000,had,I,qy,u-21-1
sw4619B-ms98-a-0017,143.737000,143.907000,some,I,qy,u-21-1
sw4619B-ms98-a-0017,143.907000,144.487000,experience,I,qy,u-21-1
sw4619B-ms98-a-0017,144.487000,144.687000,with,I,qy,u-21-1
sw4619B-ms98-a-0017,145.267000,145.477000,that,I,qy,u-21-1
sw4619B-ms98-a-0017,145.477000,145.537000,the,I,qy,u-21-1
sw4619B-ms98-a-0017,145.537000,146.237000,people,I,qy,u-21-1
sw4619B-ms98-a-0017,146.237000,146.367000,who,I,qy,u-21-1
sw4619B-ms98-a-0017,146.367000,146.887000,operate,I,qy,u-21-1
sw4619B-ms98-a-0017,146.887000,147.057000,it,I,qy,u-21-1
sw4619B-ms98-a-0017,147.057000,147.430125,seem,I,qy,u-21-1
sw4619B-ms98-a-0017,147.430125,148.017625,to,I,qy,u-21-1
sw4619B-ms98-a-0017,148.017625,148.650375,have,I,qy,u-21-1
sw4619B-ms98-a-0017,148.812375,149.067000,what,I,qy,u-21-1
sw4619B-ms98-a-0017,149.067000,149.227000,you'd,I,qy,u-21-1
sw4619B-ms98-a-0017,149.227000,149.567000,perceive,I,qy,u-21-1
sw4619B-ms98-a-0017,149.567000,149.747000,of,I,qy,u-21-1
sw4619B-ms98-a-0017,149.747000,149.957000,as,I,qy,u-21-1
sw4619B-ms98-a-0017,149.957000,150.367000,genuine,I,qy,u-21-1
sw4619B-ms98-a-0017,150.367000,150.977000,concern,I,qy,u-21-1
sw4619B-ms98-a-0019,166.464625,166.744125,um-hum,B,b,u-23-1
sw4619B-ms98-a-0020,168.372375,168.676000,yeah,B,b,u-25-1
sw4619B-ms98-a-0022,185.824500,186.025750,yeah,B,aa,u-27-1
sw4619B-ms98-a-0022,186.025750,186.195625,it,B,sv,u-27-2
sw4619B-ms98-a-0022,186.420000,186.826750,it's,I,sv,u-27-2
sw4619B-ms98-a-0022,186.826750,187.184500,possible,I,sv,u-27-2
sw4619B-ms98-a-0022,187.184500,187.214500,i,B,sv,u-27-3
sw4619B-ms98-a-0022,187.214500,187.334500,was,I,sv,u-27-3
sw4619B-ms98-a-0022,187.334500,187.604500,thinking,I,sv,u-27-3
sw4619B-ms98-a-0022,187.604500,187.924500,also,I,sv,u-27-3
sw4619B-ms98-a-0022,187.924500,188.104500,that,I,sv,u-27-3
sw4619B-ms98-a-0022,188.104500,188.284500,there'd,I,sv,u-27-3
sw4619B-ms98-a-0022,188.284500,188.591250,be,I,sv,u-27-3
sw4619B-ms98-a-0022,188.772000,188.854500,there,I,sv,u-27-3
sw4619B-ms98-a-0022,188.854500,188.994500,could,I,sv,u-27-3
sw4619B-ms98-a-0022,188.994500,189.164500,be,I,sv,u-27-3
sw4619B-ms98-a-0022,189.164500,189.204500,a,I,sv,u-27-3
sw4619B-ms98-a-0022,189.204500,189.694500,fair,I,sv,u-27-3
sw4619B-ms98-a-0022,189.694500,189.874500,um,I,sv,u-27-3
sw4619B-ms98-a-0022,189.874500,190.104500,burn,I,sv,u-27-3
sw4619B-ms98-a-0022,190.104500,190.267500,out,I,sv,u-27-3
sw4619B-ms98-a-0022,190.384250,190.841500,factor,I,sv,u-27-3
sw4619B-ms98-a-0022,191.406500,191.806000,um,B,+,u-29-1
sw4619B-ms98-a-0022,191.945375,192.094500,in,I,+,u-29-1
sw4619B-ms98-a-0022,192.094500,192.364500,just,I,+,u-29-1
sw4619B-ms98-a-0022,192.364500,192.621875,having,I,+,u-29-1
sw4619B-ms98-a-0022,192.621875,192.945750,to,I,+,u-29-1
sw4619B-ms98-a-0022,192.945750,193.464500,respond,I,+,u-29-1
sw4619B-ms98-a-0022,193.464500,193.524500,to,I,+,u-29-1
sw4619B-ms98-a-0022,193.524500,194.064500,people's,I,+,u-29-1
sw4619B-ms98-a-0022,194.064500,194.454500,needs,I,+,u-29-1
sw4619B-ms98-a-0022,194.454500,194.614500,where,I,+,u-29-1
sw4619B-ms98-a-0022,194.614500,194.723875,the,I,+,u-29-1
sw4619B-ms98-a-0022,194.723875,195.232375,needs,I,+,u-29-1
sw4619B-ms98-a-0022,195.232375,195.594500,are,I,+,u-29-1
sw4619B-ms98-a-0023,196.608125,197.248125,sometimes,I,+,u-29-1
sw4619B-ms98-a-0023,197.248125,197.628125,depending,I,+,u-29-1
sw4619B-ms98-a-0023,197.628125,197.688125,on,I,+,u-29-1
sw4619B-ms98-a-0023,197.688125,197.748125,the,I,+,u-29-1
sw4619B-ms98-a-0023,197.748125,198.098125,person,I,+,u-29-1
sw4619B-ms98-a-0023,198.098125,198.308125,not,I,+,u-29-1
sw4619B-ms98-a-0023,198.308125,198.488125,gonna,I,+,u-29-1
sw4619B-ms98-a-0023,198.488125,198.828500,be,I,+,u-29-1
sw4619B-ms98-a-0023,199.066250,199.333750,what,I,+,u-29-1
sw4619B-ms98-a-0023,199.333750,199.488125,we,I,+,u-29-1
sw4619B-ms98-a-0023,199.488125,199.628125,would,I,+,u-29-1
sw4619B-ms98-a-0023,199.628125,200.048125,perceive,I,+,u-29-1
sw4619B-ms98-a-0023,200.048125,200.218125,of,I,+,u-29-1
sw4619B-ms98-a-0023,200.218125,200.368125,as,I,+,u-29-1
sw4619B-ms98-a-0023,200.368125,200.868125,rational,I,+,u-29-1
sw4619B-ms98-a-0023,200.868125,201.258125,needs,O,,
sw4619B-ms98-a-0025,213.885375,214.099625,um-hum,B,b,u-31-1
sw4619B-ms98-a-0027,217.493375,217.739500,um-hum,B,b,u-33-1
sw4619B-ms98-a-0027,218.016625,218.113375,so,B,sv,u-33-2
sw4619B-ms98-a-0027,218.113375,218.183375,it,I,sv,u-33-2
sw4619B-ms98-a-0027,218.183375,218.383375,gives,B,+,u-35-1
sw4619B-ms98-a-0027,218.383375,218.503375,them,I,+,u-35-1
sw4619B-ms98-a-0027,218.503375,218.553375,a,I,+,u-35-1
sw4619B-ms98-a-0027,218.553375,218.803375,sense,I,+,u-35-1
sw4619B-ms98-a-0027,218.803375,218.883375,of,I,+,u-35-1
sw4619B-ms98-a-0027,218.883375,219.443375,identity,I,+,u-35-1
sw4619B-ms98-a-0029,247.120500,247.270500,yeah,B,b,u-37-1
sw4619B-ms98-a-0029,247.270500,247.488625,i-,O,,
sw4619B-ms98-a-0029,247.488625,247.639250,i,B,sv,u-37-2
sw4619B-ms98-a-0029,247.639250,247.840500,think,I,sv,u-37-2
sw4619B-ms98-a-0029,247.840500,248.030500,part,I,sv,u-37-2
sw4619B-ms98-a-0029,248.030500,248.100500,of,I,sv,u-37-2
sw4619B-ms98-a-0029,248.100500,248.230500,what,I,sv,u-37-2
sw4619B-ms98-a-0029,248.230500,248.340500,you're,I,sv,u-37-2
sw4619B-ms98-a-0029,248.340500,248.630500,saying,I,sv,u-37-2
sw4619B-ms98-a-0029,248.630500,249.050500,matches,I,sv,u-37-2
sw4619B-ms98-a-0029,249.050500,249.220500,what,I,sv,u-37-2
sw4619B-ms98-a-0029,249.220500,249.320500,i,I,sv,u-37-2
sw4619B-ms98-a-0029,249.320500,249.510500,h[ave]-,I,sv,u-37-2
sw4619B-ms98-a-0029,249.510500,249.740500,have,I,sv,u-37-2
sw4619B-ms98-a-0029,249.740500,249.970500,read,I,sv,u-37-2
sw4619B-ms98-a-0029,249.970500,250.010500,i,B,sd,u-37-3
sw4619B-ms98-a-0029,250.010500,250.270500,used,I,sd,u-37-3
sw4619B-ms98-a-0029,250.270500,250.420500,to,I,sd,u-37-3
sw4619B-ms98-a-0029,250.420500,250.900500,initially,I,sd,u-37-3
sw4619B-ms98-a-0029,250.900500,251.180500,think,I,sd,u-37-3
sw4619B-ms98-a-0029,251.590750,251.790250,that,I,sd,u-37-3
sw4619B-ms98-a-0029,251.790250,251.860500,the,I,sd,u-37-3
sw4619B-ms98-a-0029,251.860500,252.090500,only,I,sd,u-37-3
sw4619B-ms98-a-0029,252.090500,252.550500,people,I,sd,u-37-3
sw4619B-ms98-a-0029,252.550500,252.957125,who,I,sd,u-37-3
sw4619B-ms98-a-0029,253.107750,253.360500,went,I,sd,u-37-3
sw4619B-ms98-a-0029,253.360500,253.760500,into,I,sd,u-37-3
sw4619B-ms98-a-0029,253.760500,254.000500,such,I,sd,u-37-3
sw4619B-ms98-a-0029,254.000500,254.620500,residences,I,sd,u-37-3
sw4619B-ms98-a-0029,254.620500,254.750500,were,I,sd,u-37-3
sw4619B-ms98-a-0029,254.750500,255.210500,people,I,sd,u-37-3
sw4619B-ms98-a-0029,255.210500,255.560500,who,I,sd,u-37-3
sw4619B-ms98-a-0030,256.136875,256.516875,um,I,sd,u-37-3
sw4619B-ms98-a-0030,256.626875,257.276875,were,I,sd,u-37-3
sw4619B-ms98-a-0030,257.276875,257.746875,adequately,I,sd,u-37-3
sw4619B-ms98-a-0030,257.746875,258.276875,deficient,I,sd,u-37-3
sw4619B-ms98-a-0030,258.276875,258.396875,in,I,sd,u-37-3
sw4619B-ms98-a-0030,258.396875,258.706875,their,I,sd,u-37-3
sw4619B-ms98-a-0030,258.706875,259.586875,abilities,I,sd,u-37-3
sw4619B-ms98-a-0030,259.586875,259.884125,um,I,sd,u-37-3
sw4619B-ms98-a-0030,259.884125,260.146875,physical,B,+,u-39-1
sw4619B-ms98-a-0030,260.146875,260.216875,or,I,+,u-39-1
sw4619B-ms98-a-0030,260.216875,260.536875,mental,I,+,u-39-1
sw4619B-ms98-a-0030,260.536875,260.656875,that,I,+,u-39-1
sw4619B-ms98-a-0030,260.656875,260.746875,they,I,+,u-39-1
sw4619B-ms98-a-0030,260.746875,261.026875,couldn't,I,+,u-39-1
sw4619B-ms98-a-0030,261.026875,261.196875,take,I,+,u-39-1
sw4619B-ms98-a-0030,261.196875,261.356875,care,I,+,u-39-1
sw4619B-ms98-a-0030,261.356875,261.446875,of,I,+,u-39-1
sw4619B-ms98-a-0030,261.446875,261.836875,themselves,I,+,u-39-1
sw4619B-ms98-a-0031,262.366625,262.482500,but,B,sv,u-39-2
sw4619B-ms98-a-0031,262.482500,262.592500,i,I,sv,u-39-2
sw4619B-ms98-a-0031,262.592500,262.832500,also,I,sv,u-39-2
sw4619B-ms98-a-0031,262.832500,263.052500,know,I,sv,u-39-2
sw4619B-ms98-a-0031,263.052500,263.102500,a,I,sv,u-39-2
sw4619B-ms98-a-0031,263.102500,263.372500,couple,I,sv,u-39-2
sw4619B-ms98-a-0031,263.372500,263.442500,of,I,sv,u-39-2
sw4619B-ms98-a-0031,263.442500,263.732500,people,I,sv,u-39-2
sw4619B-ms98-a-0031,263.732500,263.882500,whose,I,sv,u-39-2
sw4619B-ms98-a-0031,263.882500,264.262500,parents,I,sv,u-39-2
sw4619B-ms98-a-0031,264.262500,264.432500,have,I,sv,u-39-2
sw4619B-ms98-a-0031,264.432500,264.722500,gone,I,sv,u-39-2
sw4619B-ms98-a-0031,264.722500,264.942500,into,I,sv,u-39-2
sw4619B-ms98-a-0031,264.942500,265.262500,such,I,sv,u-39-2
sw4619B-ms98-a-0031,265.262500,265.512500,things,I,sv,u-39-2
sw4619B-ms98-a-0031,265.512500,265.952500,because,I,sv,u-39-2
sw4619B-ms98-a-0031,265.952500,266.012500,i,I,sv,u-39-2
sw4619B-ms98-a-0031,266.012500,266.222500,think,I,sv,u-39-2
sw4619B-ms98-a-0031,266.222500,266.312500,they,I,sv,u-39-2
sw4619B-ms98-a-0031,266.312500,266.813375,provide,I,sv,u-39-2
sw4619B-ms98-a-0031,267.231500,267.762875,um,I,sv,u-39-2
sw4619B-ms98-a-0031,267.879625,267.962500,a,I,sv,u-39-2
sw4619B-ms98-a-0031,267.962500,268.222500,lot,I,sv,u-39-2
sw4619B-ms98-a-0031,268.222500,268.282500,of,I,sv,u-39-2
sw4619B-ms98-a-0031,268.282500,268.702500,social,I,sv,u-39-2
sw4619B-ms98-a-0031,268.702500,269.418375,activities,I,sv,u-39-2
sw4619B-ms98-a-0032,270.063875,270.553875,um,B,sd,u-41-1
sw4619B-ms98-a-0032,270.803875,271.294000,the,I,sd,u-41-1
sw4619B-ms98-a-0032,271.614125,271.853875,one,I,sd,u-41-1
sw4619B-ms98-a-0032,271.853875,271.913875,of,I,sd,u-41-1
sw4619B-ms98-a-0032,271.913875,272.013875,my,I,sd,u-41-1
sw4619B-ms98-a-0032,272.013875,272.303875,friend's,I,sd,u-41-1
sw4619B-ms98-a-0032,272.303875,272.613875,parents,I,sd,u-41-1
sw4619B-ms98-a-0032,272.613875,272.683875,who,I,sd,u-41-1
sw4619B-ms98-a-0032,272.683875,272.893875,went,I,sd,u-41-1
sw4619B-ms98-a-0032,272.893875,272.983875,in,I,sd,u-41-1
sw4619B-ms98-a-0032,272.983875,273.353875,because,I,sd,u-41-1
sw4619B-ms98-a-0032,273.353875,273.653875,she,I,sd,u-41-1
sw4619B-ms98-a-0032,273.653875,273.970875,had,I,sd,u-41-1
sw4619B-ms98-a-0032,274.445500,274.913875,largely,I,sd,u-41-1
sw4619B-ms98-a-0032,274.913875,275.333875,lost,I,sd,u-41-1
sw4619B-ms98-a-0032,275.333875,275.793875,her,I,sd,u-41-1
sw4619B-ms98-a-0032,275.793875,276.403875,abilities,I,sd,u-41-1
sw4619B-ms98-a-0032,276.403875,276.553875,and,B,sd,u-41-2
sw4619B-ms98-a-0032,276.553875,276.693875,she,I,sd,u-41-2
sw4619B-ms98-a-0032,276.693875,276.863875,was,I,sd,u-41-2
sw4619B-ms98-a-0032,276.863875,276.973875,in,I,sd,u-41-2
sw4619B-ms98-a-0032,276.973875,277.093875,there,I,sd,u-41-2
sw4619B-ms98-a-0032,277.093875,277.233875,for,I,sd,u-41-2
sw4619B-ms98-a-0032,277.233875,277.513875,awhile,I,sd,u-41-2
sw4619B-ms98-a-0032,277.513875,277.613875,when,I,sd,u-41-2
sw4619B-ms98-a-0032,277.613875,277.703875,they,I,sd,u-41-2
sw4619B-ms98-a-0032,277.703875,277.873875,were,I,sd,u-41-2
sw4619B-ms98-a-0032,277.873875,278.103875,away,I,sd,u-41-2
sw4619B-ms98-a-0032,278.103875,278.203875,on,I,sd,u-41-2
sw4619B-ms98-a-0032,278.203875,278.730250,vacation,I,sd,u-41-2
sw4619B-ms98-a-0032,279.422375,279.895000,um,B,%,u-41-3
sw4619B-ms98-a-0032,280.147875,280.533125,and,I,%,u-41-3
sw4619B-ms98-a-0034,282.900625,283.088625,well,B,sv,u-43-1
sw4619B-ms98-a-0034,283.088625,283.209875,i,I,sv,u-43-1
sw4619B-ms98-a-0034,283.209875,283.540625,think,I,sv,u-43-1
sw4619B-ms98-a-0034,283.540625,283.820625,it,I,sv,u-43-1
sw4619B-ms98-a-0034,283.820625,283.936875,i,I,sv,u-43-1
sw4619B-ms98-a-0034,283.936875,284.275875,think,I,sv,u-43-1
sw4619B-ms98-a-0034,284.920625,285.050625,it,I,sv,u-43-1
sw4619B-ms98-a-0034,285.050625,285.240625,was,I,sv,u-43-1
sw4619B-ms98-a-0034,285.240625,285.420625,sort,I,sv,u-43-1
sw4619B-ms98-a-0034,285.420625,285.480625,of,I,sv,u-43-1
sw4619B-ms98-a-0034,285.480625,285.580625,on,I,sv,u-43-1
sw4619B-ms98-a-0034,285.580625,285.650625,the,I,sv,u-43-1
sw4619B-ms98-a-0034,285.650625,285.900625,grounds,I,sv,u-43-1
sw4619B-ms98-a-0034,285.900625,286.028375,that,I,sv,u-43-1
sw4619B-ms98-a-0034,286.205375,286.300625,they,I,sv,u-43-1
sw4619B-ms98-a-0034,286.300625,286.540625,were,I,sv,u-43-1
sw4619B-ms98-a-0034,286.540625,287.380625,considering,I,sv,u-43-1
sw4619B-ms98-a-0034,287.380625,287.710625,whether,I,sv,u-43-1
sw4619B-ms98-a-0034,287.710625,288.110625,she,I,sv,u-43-1
sw4619B-ms98-a-0034,288.290625,288.480625,would,I,sv,u-43-1
sw4619B-ms98-a-0034,288.860625,289.219875,live,I,sv,u-43-1
sw4619B-ms98-a-0034,289.355500,289.681500,there,I,sv,u-43-1
sw4619B-ms98-a-0034,290.216250,290.430625,and,B,sv,u-43-2
sw4619B-ms98-a-0034,290.430625,290.510625,i,I,sv,u-43-2
sw4619B-ms98-a-0034,290.510625,290.770625,feel,I,sv,u-43-2
sw4619B-ms98-a-0034,290.770625,290.949625,like,I,sv,u-43-2
sw4619B-ms98-a-0035,292.179625,292.279625,the,I,sv,u-43-2
sw4619B-ms98-a-0035,292.279625,292.429625,whole,I,sv,u-43-2
sw4619B-ms98-a-0035,292.429625,293.229625,vocabulary,I,sv,u-43-2
sw4619B-ms98-a-0035,293.229625,293.299625,of,I,sv,u-43-2
sw4619B-ms98-a-0035,293.299625,293.489625,this,I,sv,u-43-2
sw4619B-ms98-a-0035,293.489625,293.559625,is,I,sv,u-43-2
sw4619B-ms98-a-0035,293.559625,293.809625,very,I,sv,u-43-2
sw4619B-ms98-a-0035,293.809625,294.199625,loaded,I,sv,u-43-2
sw4619B-ms98-a-0035,294.199625,294.339625,if,I,sv,u-43-2
sw4619B-ms98-a-0035,294.339625,294.419625,you,I,sv,u-43-2
sw4619B-ms98-a-0035,294.419625,294.659625,think,I,sv,u-43-2
sw4619B-ms98-a-0035,294.659625,294.749625,of,I,sv,u-43-2
sw4619B-ms98-a-0035,294.749625,294.989625,words,I,sv,u-43-2
sw4619B-ms98-a-0035,294.989625,295.189625,like,I,sv,u-43-2
sw4619B-ms98-a-0035,295.359625,295.669625,like,I,sv,u-43-2
sw4619B-ms98-a-0035,295.669625,295.899625,put,I,sv,u-43-2
sw4619B-ms98-a-0035,295.899625,296.149625,her,I,sv,u-43-2
sw4619B-ms98-a-0035,296.149625,296.329625,in,I,sv,u-43-2
sw4619B-ms98-a-0035,296.329625,296.623000,there,I,sv,u-43-2
sw4619B-ms98-a-0035,297.052375,297.480250,and,B,%,u-45-1
sw4619B-ms98-a-0035,297.630875,297.920125,there,I,%,u-45-1
sw4619B-ms98-a-0035,298.029250,298.189625,there's,I,%,u-45-1
sw4619B-ms98-a-0035,298.189625,298.349625,so,I,%,u-45-1
sw4619B-ms98-a-0035,298.349625,298.739625,much,I,%,u-45-1
