sw4157B-ms98-a-0003,2.822500,3.142500,um,B,^h,u-2-1
sw4157B-ms98-a-0005,19.501125,19.601125,it's,I,sv,u-10-1
sw4157B-ms98-a-0005,19.601125,19.661125,a,I,sv,u-10-1
sw4157B-ms98-a-0005,19.661125,20.111375,very,I,sv,u-10-1
sw4157B-ms98-a-0005,20.489375,20.681375,it's,I,sv,u-10-1
sw4157B-ms98-a-0005,20.681375,20.751125,a,I,sv,u-10-1
sw4157B-ms98-a-0005,20.751125,21.241125,very,I,sv,u-10-1
sw4157B-ms98-a-0005,21.241125,21.558250,uh,I,sv,u-10-1
sw4157B-ms98-a-0005,22.028750,22.879375,comfortable,I,sv,u-10-1
sw4157B-ms98-a-0005,22.879375,22.981125,i,B,sv,u-10-2
sw4157B-ms98-a-0005,22.981125,23.181125,mean,I,sv,u-10-2
sw4157B-ms98-a-0005,23.181125,23.261125,our,I,sv,u-10-2
sw4157B-ms98-a-0005,23.261125,23.531125,people,I,sv,u-10-2
sw4157B-ms98-a-0005,23.531125,23.591125,are,I,sv,u-10-2
sw4157B-ms98-a-0005,23.591125,23.741125,very,I,sv,u-10-2
sw4157B-ms98-a-0005,23.741125,24.211125,comfortable,I,sv,u-10-2
sw4157B-ms98-a-0005,24.211125,24.291125,in,I,sv,u-10-2
sw4157B-ms98-a-0005,24.291125,24.351125,the,I,sv,u-10-2
sw4157B-ms98-a-0005,24.351125,24.681125,sense,I,sv,u-10-2
sw4157B-ms98-a-0005,24.681125,24.861125,that,I,sv,u-10-2
sw4157B-ms98-a-0005,25.191125,25.281125,you,I,sv,u-10-2
sw4157B-ms98-a-0005,25.281125,25.503875,know,I,sv,u-10-2
sw4157B-ms98-a-0005,25.737375,25.921125,there's,I,sv,u-10-2
sw4157B-ms98-a-0005,25.921125,26.061125,no,I,sv,u-10-2
sw4157B-ms98-a-0005,26.061125,26.481125,medical,I,sv,u-10-2
sw4157B-ms98-a-0005,26.481125,27.051125,emergency,I,sv,u-10-2
sw4157B-ms98-a-0005,27.051125,27.231125,that's,I,sv,u-10-2
sw4157B-ms98-a-0005,27.231125,27.381125,going,I,sv,u-10-2
sw4157B-ms98-a-0005,27.381125,27.481125,to,I,sv,u-10-2
sw4157B-ms98-a-0005,27.481125,27.721125,make,I,sv,u-10-2
sw4157B-ms98-a-0005,27.721125,27.801125,you,I,sv,u-10-2
sw4157B-ms98-a-0005,27.801125,28.381125,destitute,I,sv,u-10-2
sw4157B-ms98-a-0005,28.381125,28.561125,for,I,sv,u-10-2
sw4157B-ms98-a-0005,28.561125,29.025250,life,I,sv,u-10-2
sw4157B-ms98-a-0006,29.916875,30.253000,um,B,sv,u-12-1
sw4157B-ms98-a-0006,30.253000,30.456875,the,I,sv,u-12-1
sw4157B-ms98-a-0006,30.456875,30.826875,bad,I,sv,u-12-1
sw4157B-ms98-a-0006,30.826875,30.996875,was,I,sv,u-12-1
sw4157B-ms98-a-0006,30.996875,31.176875,more,I,sv,u-12-1
sw4157B-ms98-a-0006,31.176875,31.626875,apparent,I,sv,u-12-1
sw4157B-ms98-a-0006,31.626875,31.706875,i,I,sv,u-12-1
sw4157B-ms98-a-0006,31.706875,32.136875,think,I,sv,u-12-1
sw4157B-ms98-a-0006,32.136875,32.246875,at,I,sv,u-12-1
sw4157B-ms98-a-0006,32.246875,32.486875,least,I,sv,u-12-1
sw4157B-ms98-a-0006,32.486875,32.636875,for,I,sv,u-12-1
sw4157B-ms98-a-0006,32.636875,32.916875,me,I,sv,u-12-1
sw4157B-ms98-a-0006,32.916875,33.306875,because,B,sv,u-12-2
sw4157B-ms98-a-0006,33.306875,33.336875,i,I,sv,u-12-2
sw4157B-ms98-a-0006,33.336875,33.956875,think,I,sv,u-12-2
sw4157B-ms98-a-0006,33.956875,34.046875,it,I,sv,u-12-2
sw4157B-ms98-a-0006,34.046875,34.456875,affected,I,sv,u-12-2
sw4157B-ms98-a-0006,34.456875,34.926875,people's,I,sv,u-12-2
sw4157B-ms98-a-0006,34.926875,35.443500,lives,I,sv,u-12-2
sw4157B-ms98-a-0006,35.590500,35.716875,on,I,sv,u-12-2
sw4157B-ms98-a-0006,35.716875,35.966875,in,I,sv,u-12-2
sw4157B-ms98-a-0006,35.966875,36.016875,a,I,sv,u-12-2
sw4157B-ms98-a-0006,36.016875,36.156875,way,I,sv,u-12-2
sw4157B-ms98-a-0006,36.156875,36.246875,that,I,sv,u-12-2
sw4157B-ms98-a-0006,36.246875,36.366875,you,I,sv,u-12-2
sw4157B-ms98-a-0006,36.366875,36.497375,could,I,sv,u-12-2
sw4157B-ms98-a-0006,36.497375,36.736875,see,I,sv,u-12-2
sw4157B-ms98-a-0006,36.736875,37.046625,one,B,sv,u-12-3
sw4157B-ms98-a-0006,37.487250,37.686875,one,I,sv,u-12-3
sw4157B-ms98-a-0006,37.686875,37.886875,thing,I,sv,u-12-3
sw4157B-ms98-a-0006,37.886875,37.996875,that,I,sv,u-12-3
sw4157B-ms98-a-0006,37.996875,38.046875,i,I,sv,u-12-3
sw4157B-ms98-a-0006,38.046875,38.496875,noticed,I,sv,u-12-3
sw4157B-ms98-a-0006,38.496875,38.746875,is,I,sv,u-12-3
sw4157B-ms98-a-0006,38.746875,38.867750,it's,I,sv,u-12-3
sw4157B-ms98-a-0006,39.127625,39.750250,very,I,sv,u-12-3
sw4157B-ms98-a-0006,40.311500,40.526875,very,I,sv,u-12-3
sw4157B-ms98-a-0006,40.526875,41.026875,convenient,I,sv,u-12-3
sw4157B-ms98-a-0006,41.026875,41.096875,to,I,sv,u-12-3
sw4157B-ms98-a-0006,41.096875,41.186875,be,I,sv,u-12-3
sw4157B-ms98-a-0006,41.186875,41.876875,alcoholic,I,sv,u-12-3
sw4157B-ms98-a-0006,41.876875,41.986875,in,I,sv,u-12-3
sw4157B-ms98-a-0006,41.986875,42.448750,Sweden,I,sv,u-12-3
sw4157B-ms98-a-0007,43.459875,43.911000,because,B,sd,u-14-1
sw4157B-ms98-a-0007,43.911000,44.411000,it's,I,sd,u-14-1
sw4157B-ms98-a-0007,44.411000,44.751000,treated,I,sd,u-14-1
sw4157B-ms98-a-0007,44.751000,44.901000,as,I,sd,u-14-1
sw4157B-ms98-a-0007,44.901000,44.981000,a,I,sd,u-14-1
sw4157B-ms98-a-0007,44.981000,45.471000,disease,I,sd,u-14-1
sw4157B-ms98-a-0007,45.471000,45.601000,now,B,sd,u-14-2
sw4157B-ms98-a-0007,45.601000,45.681000,i,I,sd,u-14-2
sw4157B-ms98-a-0007,45.681000,45.841000,don't,I,sd,u-14-2
sw4157B-ms98-a-0007,45.841000,45.931000,know,I,sd,u-14-2
sw4157B-ms98-a-0007,45.931000,46.011000,if,I,sd,u-14-2
sw4157B-ms98-a-0007,46.011000,46.151000,that,I,sd,u-14-2
sw4157B-ms98-a-0007,46.151000,46.521000,necessarily,I,sd,u-14-2
sw4157B-ms98-a-0007,46.521000,46.711000,has,I,sd,u-14-2
sw4157B-ms98-a-0007,46.711000,46.781000,to,I,sd,u-14-2
sw4157B-ms98-a-0007,46.781000,46.851000,be,I,sd,u-14-2
sw4157B-ms98-a-0007,46.851000,47.171000,part,I,sd,u-14-2
sw4157B-ms98-a-0007,47.171000,47.241000,of,I,sd,u-14-2
sw4157B-ms98-a-0007,47.241000,47.721000,socialized,I,sd,u-14-2
sw4157B-ms98-a-0007,47.721000,48.121000,medicine,I,sd,u-14-2
sw4157B-ms98-a-0007,48.121000,48.391000,but,B,sd,u-14-3
sw4157B-ms98-a-0008,48.881750,49.312750,uh,I,sd,u-14-3
sw4157B-ms98-a-0008,49.649000,49.881750,if,I,sd,u-14-3
sw4157B-ms98-a-0008,49.881750,50.285000,you're,I,sd,u-14-3
sw4157B-ms98-a-0008,50.561750,50.711750,if,I,sd,u-14-3
sw4157B-ms98-a-0008,50.711750,50.901750,you're,I,sd,u-14-3
sw4157B-ms98-a-0008,50.901750,51.552500,alcoholic,I,sd,u-14-3
sw4157B-ms98-a-0008,51.999625,52.598000,then,I,sd,u-14-3
sw4157B-ms98-a-0008,52.978375,53.141750,you're,I,sd,u-14-3
sw4157B-ms98-a-0008,53.141750,53.611750,treated,I,sd,u-14-3
sw4157B-ms98-a-0008,53.611750,53.761750,as,I,sd,u-14-3
sw4157B-ms98-a-0008,53.761750,53.971750,if,I,sd,u-14-3
sw4157B-ms98-a-0008,54.221750,54.481750,you're,I,sd,u-14-3
sw4157B-ms98-a-0008,54.481750,54.861750,on,I,sd,u-14-3
sw4157B-ms98-a-0008,54.861750,55.481750,disability,I,sd,u-14-3
sw4157B-ms98-a-0008,55.481750,55.871750,long-term,I,sd,u-14-3
sw4157B-ms98-a-0008,55.871750,56.381750,disability,I,sd,u-14-3
sw4157B-ms98-a-0008,56.381750,56.501750,and,B,sv,u-14-4
sw4157B-ms98-a-0008,56.501750,56.824000,so,I,sv,u-14-4
sw4157B-ms98-a-0008,57.257125,57.401750,there,I,sv,u-14-4
sw4157B-ms98-a-0008,57.401750,57.631750,was,I,sv,u-14-4
sw4157B-ms98-a-0008,57.631750,57.861750,very,I,sv,u-14-4
sw4157B-ms98-a-0008,57.861750,58.081750,little,I,sv,u-14-4
sw4157B-ms98-a-0008,58.081750,58.521750,incentive,I,sv,u-14-4
sw4157B-ms98-a-0008,58.521750,58.651750,for,I,sv,u-14-4
sw4157B-ms98-a-0008,58.651750,58.961750,people,I,sv,u-14-4
sw4157B-ms98-a-0008,58.961750,59.031750,to,I,sv,u-14-4
sw4157B-ms98-a-0008,59.031750,59.211750,get,I,sv,u-14-4
sw4157B-ms98-a-0008,59.211750,59.391750,out,I,sv,u-14-4
sw4157B-ms98-a-0008,59.391750,59.491750,of,I,sv,u-14-4
sw4157B-ms98-a-0008,59.491750,59.861750,that,I,sv,u-14-4
sw4157B-ms98-a-0009,61.054875,61.754250,also,B,sv,u-16-1
sw4157B-ms98-a-0009,61.754250,62.192625,um,I,sv,u-16-1
sw4157B-ms98-a-0009,62.384750,62.664875,another,I,sv,u-16-1
sw4157B-ms98-a-0009,62.664875,62.884875,thing,I,sv,u-16-1
sw4157B-ms98-a-0009,62.884875,63.064875,that,I,sv,u-16-1
sw4157B-ms98-a-0009,63.064875,63.244875,that,I,sv,u-16-1
sw4157B-ms98-a-0009,63.244875,63.294875,i,I,sv,u-16-1
sw4157B-ms98-a-0009,63.294875,63.624875,noticed,I,sv,u-16-1
sw4157B-ms98-a-0009,63.624875,63.734875,that,I,sv,u-16-1
sw4157B-ms98-a-0009,63.734875,63.854875,was,I,sv,u-16-1
sw4157B-ms98-a-0009,63.854875,64.064875,very,I,sv,u-16-1
sw4157B-ms98-a-0009,64.064875,64.464875,strange,I,sv,u-16-1
sw4157B-ms98-a-0009,64.464875,64.544875,i,B,sd,u-16-2
sw4157B-ms98-a-0009,64.544875,64.826000,was,I,sd,u-16-2
sw4157B-ms98-a-0009,65.142375,65.585625,uh,I,sd,u-16-2
sw4157B-ms98-a-0009,65.585625,65.744875,i,I,sd,u-16-2
sw4157B-ms98-a-0009,65.744875,66.036125,would,I,sd,u-16-2
sw4157B-ms98-a-0009,66.382625,66.544875,go,I,sd,u-16-2
sw4157B-ms98-a-0009,66.544875,66.804875,down,I,sd,u-16-2
sw4157B-ms98-a-0009,66.804875,66.934875,all,I,sd,u-16-2
sw4157B-ms98-a-0009,66.934875,67.331250,these,I,sd,u-16-2
sw4157B-ms98-a-0009,67.331250,67.807750,uh,I,sd,u-16-2
sw4157B-ms98-a-0010,68.109375,68.179375,i,B,sd,u-16-3
sw4157B-ms98-a-0010,68.179375,68.489375,remember,I,sd,u-16-3
sw4157B-ms98-a-0010,68.489375,68.669375,this,I,sd,u-16-3
sw4157B-ms98-a-0010,68.669375,68.949375,one,I,sd,u-16-3
sw4157B-ms98-a-0010,68.949375,69.179375,row,I,sd,u-16-3
sw4157B-ms98-a-0010,69.179375,69.249375,of,I,sd,u-16-3
sw4157B-ms98-a-0010,69.249375,69.659375,houses,I,sd,u-16-3
sw4157B-ms98-a-0010,69.659375,69.760375,and,B,sd,u-16-4
sw4157B-ms98-a-0010,70.110625,70.279375,they,I,sd,u-16-4
sw4157B-ms98-a-0010,70.279375,70.550000,were,I,sd,u-16-4
sw4157B-ms98-a-0010,70.550000,71.046250,uh,I,sd,u-16-4
sw4157B-ms98-a-0010,71.046250,71.399375,row,I,sd,u-16-4
sw4157B-ms98-a-0010,71.399375,71.972500,houses,I,sd,u-16-4
sw4157B-ms98-a-0010,71.972500,72.069375,or,I,sd,u-16-4
sw4157B-ms98-a-0010,72.069375,72.730750,townhouses,I,sd,u-16-4
sw4157B-ms98-a-0010,72.979375,73.119375,all,B,+,u-18-1
sw4157B-ms98-a-0010,73.119375,73.509375,connected,I,+,u-18-1
sw4157B-ms98-a-0010,73.509375,73.819375,together,I,+,u-18-1
sw4157B-ms98-a-0010,73.819375,73.889375,so,I,+,u-18-1
sw4157B-ms98-a-0010,73.889375,73.949375,it,I,+,u-18-1
sw4157B-ms98-a-0010,73.949375,74.059375,was,I,+,u-18-1
sw4157B-ms98-a-0010,74.059375,74.320375,like,I,+,u-18-1
sw4157B-ms98-a-0010,74.731000,75.029375,lower,I,+,u-18-1
sw4157B-ms98-a-0010,75.029375,75.629375,middle-class,I,+,u-18-1
sw4157B-ms98-a-0010,75.629375,76.059375,housing,I,+,u-18-1
sw4157B-ms98-a-0010,76.059375,76.259375,well,B,sv,u-18-2
sw4157B-ms98-a-0010,76.259375,76.389375,it'd,I,sv,u-18-2
sw4157B-ms98-a-0010,76.389375,76.529375,be,I,sv,u-18-2
sw4157B-ms98-a-0010,76.529375,76.826375,lower,I,sv,u-18-2
sw4157B-ms98-a-0010,76.826375,77.309375,middle-class,I,sv,u-18-2
sw4157B-ms98-a-0010,77.309375,77.669375,housing,I,sv,u-18-2
sw4157B-ms98-a-0010,77.669375,77.989375,here,I,sv,u-18-2
sw4157B-ms98-a-0010,77.989375,78.189375,it's,B,sv,u-18-3
sw4157B-ms98-a-0010,78.189375,78.678750,probably,I,sv,u-18-3
sw4157B-ms98-a-0011,79.550375,80.020375,middle-class,I,sv,u-18-3
sw4157B-ms98-a-0011,80.020375,80.320375,housing,I,sv,u-18-3
sw4157B-ms98-a-0011,80.320375,80.587250,there,I,sv,u-18-3
sw4157B-ms98-a-0011,81.110875,81.708125,um,B,sd,u-20-1
sw4157B-ms98-a-0011,81.926500,82.438750,and,I,sd,u-20-1
sw4157B-ms98-a-0011,82.438750,82.640375,there,I,sd,u-20-1
sw4157B-ms98-a-0011,82.640375,82.950375,was,I,sd,u-20-1
sw4157B-ms98-a-0011,82.950375,83.160375,a,I,sd,u-20-1
sw4157B-ms98-a-0011,83.160375,83.540375,taxi,I,sd,u-20-1
sw4157B-ms98-a-0011,83.540375,83.850375,driver,I,sd,u-20-1
sw4157B-ms98-a-0011,83.850375,83.980375,that,I,sd,u-20-1
sw4157B-ms98-a-0011,83.980375,84.240375,lived,I,sd,u-20-1
sw4157B-ms98-a-0011,84.240375,84.380375,in,I,sd,u-20-1
sw4157B-ms98-a-0011,84.380375,84.510375,one,I,sd,u-20-1
sw4157B-ms98-a-0011,84.510375,84.590375,of,I,sd,u-20-1
sw4157B-ms98-a-0011,84.590375,84.840375,these,I,sd,u-20-1
sw4157B-ms98-a-0011,84.840375,84.927750,and,B,sd,u-20-2
sw4157B-ms98-a-0011,85.225375,85.380375,there,I,sd,u-20-2
sw4157B-ms98-a-0011,85.380375,85.510375,was,I,sd,u-20-2
sw4157B-ms98-a-0011,85.510375,85.580375,a,I,sd,u-20-2
sw4157B-ms98-a-0011,85.580375,85.920375,doctor,I,sd,u-20-2
sw4157B-ms98-a-0011,85.920375,86.020375,that,I,sd,u-20-2
sw4157B-ms98-a-0011,86.020375,86.250375,lived,I,sd,u-20-2
sw4157B-ms98-a-0011,86.250375,86.380375,in,I,sd,u-20-2
sw4157B-ms98-a-0011,86.380375,86.550375,one,I,sd,u-20-2
sw4157B-ms98-a-0011,86.550375,86.610375,of,I,sd,u-20-2
sw4157B-ms98-a-0011,86.610375,87.007375,these,I,sd,u-20-2
sw4157B-ms98-a-0011,87.482000,87.670375,the,B,sd,u-20-3
sw4157B-ms98-a-0011,87.670375,87.820375,one,I,sd,u-20-3
sw4157B-ms98-a-0011,87.820375,87.920375,guy,I,sd,u-20-3
sw4157B-ms98-a-0011,87.920375,88.070375,was,I,sd,u-20-3
sw4157B-ms98-a-0011,88.070375,88.100375,a,I,sd,u-20-3
sw4157B-ms98-a-0011,88.100375,88.320375,doctor,I,sd,u-20-3
sw4157B-ms98-a-0011,88.320375,88.420375,and,B,sd,u-20-4
sw4157B-ms98-a-0011,88.420375,88.510375,one,I,sd,u-20-4
sw4157B-ms98-a-0011,88.510375,88.630375,was,I,sd,u-20-4
sw4157B-ms98-a-0011,88.630375,88.680375,a,I,sd,u-20-4
sw4157B-ms98-a-0011,88.680375,89.020375,taxi,I,sd,u-20-4
sw4157B-ms98-a-0011,89.020375,89.290375,driver,I,sd,u-20-4
sw4157B-ms98-a-0011,89.290375,89.410375,and,B,sd,u-22-1
sw4157B-ms98-a-0011,89.410375,89.800875,so,I,sd,u-22-1
sw4157B-ms98-a-0012,90.946125,91.126125,their,I,sd,u-22-1
sw4157B-ms98-a-0012,91.126125,91.346125,their,I,sd,u-22-1
sw4157B-ms98-a-0012,91.346125,91.746125,incomes,I,sd,u-22-1
sw4157B-ms98-a-0012,91.746125,91.846125,were,I,sd,u-22-1
sw4157B-ms98-a-0012,91.846125,92.076125,about,I,sd,u-22-1
sw4157B-ms98-a-0012,92.076125,92.156125,the,I,sd,u-22-1
sw4157B-ms98-a-0012,92.156125,92.696125,same,I,sd,u-22-1
sw4157B-ms98-a-0013,93.562125,93.892125,whereas,B,sv,u-24-1
sw4157B-ms98-a-0013,93.892125,94.271000,here,I,sv,u-24-1
sw4157B-ms98-a-0013,94.527125,94.692125,there's,I,sv,u-24-1
sw4157B-ms98-a-0013,94.692125,94.742125,a,I,sv,u-24-1
sw4157B-ms98-a-0013,94.742125,94.962125,great,I,sv,u-24-1
sw4157B-ms98-a-0013,94.962125,95.352125,incentive,I,sv,u-24-1
sw4157B-ms98-a-0013,95.352125,95.462125,to,I,sv,u-24-1
sw4157B-ms98-a-0013,95.462125,95.562125,be,I,sv,u-24-1
sw4157B-ms98-a-0013,95.562125,95.602125,a,I,sv,u-24-1
sw4157B-ms98-a-0013,95.602125,95.922125,doctor,I,sv,u-24-1
sw4157B-ms98-a-0013,95.922125,96.192125,because,I,sv,u-24-1
sw4157B-ms98-a-0013,96.192125,96.352125,there's,I,sv,u-24-1
sw4157B-ms98-a-0013,96.352125,96.392125,a,I,sv,u-24-1
sw4157B-ms98-a-0013,96.392125,96.622125,great,I,sv,u-24-1
sw4157B-ms98-a-0013,96.622125,97.182125,financial,I,sv,u-24-1
sw4157B-ms98-a-0013,97.182125,97.697875,reward,I,sv,u-24-1
sw4157B-ms98-a-0013,98.285375,98.532125,and,B,sd,u-26-1
sw4157B-ms98-a-0013,98.532125,98.732125,that,I,sd,u-26-1
sw4157B-ms98-a-0013,98.732125,98.902125,that,I,sd,u-26-1
sw4157B-ms98-a-0013,98.902125,99.152125,didn't,I,sd,u-26-1
sw4157B-ms98-a-0013,99.152125,99.592125,exist,I,sd,u-26-1
sw4157B-ms98-a-0013,99.592125,99.712125,in,I,sd,u-26-1
sw4157B-ms98-a-0013,99.712125,100.318500,Sweden,I,sd,u-26-1
sw4157B-ms98-a-0014,101.044000,101.404000,and,B,sv,u-28-1
sw4157B-ms98-a-0014,101.404000,101.434000,uh,I,sv,u-28-1
sw4157B-ms98-a-0014,101.434000,102.180375,overall,I,sv,u-28-1
sw4157B-ms98-a-0014,102.410125,102.594000,i,I,sv,u-28-1
sw4157B-ms98-a-0014,102.594000,102.909875,gue[ss]-,I,sv,u-28-1
sw4157B-ms98-a-0014,102.909875,103.274000,their,I,sv,u-28-1
sw4157B-ms98-a-0014,103.274000,103.424000,their,I,sv,u-28-1
sw4157B-ms98-a-0014,103.424000,103.644000,health,I,sv,u-28-1
sw4157B-ms98-a-0014,103.644000,103.854000,care,I,sv,u-28-1
sw4157B-ms98-a-0014,103.854000,104.374000,suffered,I,sv,u-28-1
sw4157B-ms98-a-0014,104.374000,104.404000,a,I,sv,u-28-1
sw4157B-ms98-a-0014,104.404000,104.664000,fair,I,sv,u-28-1
sw4157B-ms98-a-0014,104.664000,105.004000,amount,I,sv,u-28-1
sw4157B-ms98-a-0014,105.004000,105.144000,from,I,sv,u-28-1
sw4157B-ms98-a-0014,105.144000,105.364000,just,I,sv,u-28-1
sw4157B-ms98-a-0014,105.364000,105.424000,the,I,sv,u-28-1
sw4157B-ms98-a-0014,105.424000,105.764000,fact,I,sv,u-28-1
sw4157B-ms98-a-0014,105.764000,106.034000,that,I,sv,u-28-1
sw4157B-ms98-a-0014,106.304000,106.454000,the,I,sv,u-28-1
sw4157B-ms98-a-0014,106.454000,106.764000,doctor,I,sv,u-28-1
sw4157B-ms98-a-0014,106.764000,107.284000,salaries,I,sv,u-28-1
sw4157B-ms98-a-0014,107.284000,107.374000,were,I,sv,u-28-1
sw4157B-ms98-a-0014,107.374000,107.674000,lower,I,sv,u-28-1
sw4157B-ms98-a-0014,107.674000,107.764000,and,B,sv,u-28-2
sw4157B-ms98-a-0014,107.764000,107.824000,it,I,sv,u-28-2
sw4157B-ms98-a-0014,107.824000,107.954000,was,I,sv,u-28-2
sw4157B-ms98-a-0014,107.954000,108.081000,it,I,sv,u-28-2
sw4157B-ms98-a-0014,108.519625,109.003375,was,I,sv,u-28-2
sw4157B-ms98-a-0015,109.567750,109.827750,less,I,sv,u-28-2
sw4157B-ms98-a-0015,109.827750,110.497750,professional,I,sv,u-28-2
sw4157B-ms98-a-0015,110.497750,110.587750,and,B,sv,u-28-3
sw4157B-ms98-a-0015,110.587750,110.647750,it,I,sv,u-28-3
sw4157B-ms98-a-0015,110.647750,110.827750,was,I,sv,u-28-3
sw4157B-ms98-a-0015,110.827750,111.127750,treated,I,sv,u-28-3
sw4157B-ms98-a-0015,111.127750,111.475000,more,I,sv,u-28-3
sw4157B-ms98-a-0015,111.889375,112.213500,like,B,+,u-30-1
sw4157B-ms98-a-0015,112.213500,112.317750,a,I,+,u-30-1
sw4157B-ms98-a-0015,112.317750,112.467750,like,I,+,u-30-1
sw4157B-ms98-a-0015,112.467750,112.517750,a,I,+,u-30-1
sw4157B-ms98-a-0015,112.517750,112.847750,taxi,I,+,u-30-1
sw4157B-ms98-a-0015,112.847750,113.237750,driver,I,+,u-30-1
sw4157B-ms98-a-0015,113.237750,113.677750,[laughter-type],I,+,u-30-1
sw4157B-ms98-a-0015,113.677750,113.988875,job,I,+,u-30-1
sw4157B-ms98-a-0015,114.339250,114.527750,then,B,+,u-32-1
sw4157B-ms98-a-0015,114.527750,114.699625,a,I,+,u-32-1
sw4157B-ms98-a-0015,114.699625,114.927750,then,I,+,u-32-1
sw4157B-ms98-a-0015,114.927750,114.997750,a,I,+,u-32-1
sw4157B-ms98-a-0015,114.997750,115.327750,doctor,I,+,u-32-1
sw4157B-ms98-a-0015,115.327750,115.587750,type,I,+,u-32-1
sw4157B-ms98-a-0015,115.587750,115.971500,job,I,+,u-32-1
sw4157B-ms98-a-0017,199.765000,200.168375,right,B,b,u-34-1
sw4157B-ms98-a-0019,212.352000,212.452000,you,B,qy^d,u-36-1
