sw3773B-ms98-a-0003,3.708625,4.168625,homes,B,b^m,u-2-1
sw3773B-ms98-a-0010,44.364250,44.724250,and,I,sd,u-10-4
sw3773B-ms98-a-0010,44.724250,45.004250,Cedar,I,sd,u-10-4
sw3773B-ms98-a-0010,45.004250,45.244250,Hill,I,sd,u-10-4
sw3773B-ms98-a-0010,45.244250,45.594250,area,I,sd,u-10-4
sw3773B-ms98-a-0010,45.774250,45.894875,are,B,qy,u-10-5
sw3773B-ms98-a-0010,45.894875,45.974250,you,I,qy,u-10-5
sw3773B-ms98-a-0010,45.974250,46.264250,familiar,I,qy,u-10-5
sw3773B-ms98-a-0010,46.264250,46.493625,that,I,qy,u-10-5
sw3773B-ms98-a-0011,47.822375,48.078500,yeah,B,aa,u-12-1
sw3773B-ms98-a-0011,48.078500,48.283375,it,B,aa,u-12-2
sw3773B-ms98-a-0011,48.283375,48.538500,is,I,aa,u-12-2
sw3773B-ms98-a-0011,48.538500,48.598500,the,B,sd,u-12-3
sw3773B-ms98-a-0011,48.598500,48.908500,kids,I,sd,u-12-3
sw3773B-ms98-a-0011,48.908500,48.978500,are,I,sd,u-12-3
sw3773B-ms98-a-0011,48.978500,49.098500,in,I,sd,u-12-3
sw3773B-ms98-a-0011,49.098500,49.438500,school,I,sd,u-12-3
sw3773B-ms98-a-0011,49.438500,49.628500,here,I,sd,u-12-3
sw3773B-ms98-a-0011,49.628500,49.748500,in,I,sd,u-12-3
sw3773B-ms98-a-0011,49.748500,50.188500,Duncanville,I,sd,u-12-3
sw3773B-ms98-a-0011,50.188500,50.437625,we're,B,sd,u-12-4
sw3773B-ms98-a-0011,50.437625,50.552250,in,I,sd,u-12-4
sw3773B-ms98-a-0011,50.552250,50.685500,a,I,sd,u-12-4
sw3773B-ms98-a-0011,51.378500,51.778500,temporary,I,sd,u-12-4
sw3773B-ms98-a-0011,51.778500,52.088500,place,I,sd,u-12-4
sw3773B-ms98-a-0011,52.088500,52.208500,right,I,sd,u-12-4
sw3773B-ms98-a-0011,52.208500,52.418500,now,I,sd,u-12-4
sw3773B-ms98-a-0011,52.418500,52.658500,and,B,sd,u-12-5
sw3773B-ms98-a-0011,52.658500,52.828500,uh,I,sd,u-12-5
sw3773B-ms98-a-0011,53.408500,53.818500,so,I,sd,u-12-5
sw3773B-ms98-a-0011,53.818500,54.018500,they've,I,sd,u-12-5
sw3773B-ms98-a-0011,54.018500,54.358500,enjoyed,I,sd,u-12-5
sw3773B-ms98-a-0011,54.358500,54.428500,the,I,sd,u-12-5
sw3773B-ms98-a-0011,54.428500,54.848500,school,I,sd,u-12-5
sw3773B-ms98-a-0011,54.848500,54.988500,so,B,sd,u-12-6
sw3773B-ms98-a-0011,54.988500,55.078500,we're,I,sd,u-12-6
sw3773B-ms98-a-0011,55.078500,55.298500,kind,I,sd,u-12-6
sw3773B-ms98-a-0011,55.298500,55.528500,of,I,sd,u-12-6
sw3773B-ms98-a-0011,55.528500,55.818500,trying,I,sd,u-12-6
sw3773B-ms98-a-0011,55.818500,55.908500,to,I,sd,u-12-6
sw3773B-ms98-a-0011,55.908500,56.198500,stay,I,sd,u-12-6
sw3773B-ms98-a-0011,56.198500,56.458500,here,I,sd,u-12-6
sw3773B-ms98-a-0011,56.458500,56.731375,but,B,%,u-12-7
sw3773B-ms98-a-0013,59.871625,60.160750,well,B,sd,u-14-1
sw3773B-ms98-a-0013,60.434750,60.800625,what,I,sd,u-14-1
sw3773B-ms98-a-0013,60.992625,61.099375,the,I,sd,u-14-1
sw3773B-ms98-a-0013,61.099375,61.301625,problem,I,sd,u-14-1
sw3773B-ms98-a-0013,61.301625,61.411625,we,I,sd,u-14-1
sw3773B-ms98-a-0013,61.411625,61.581625,got,I,sd,u-14-1
sw3773B-ms98-a-0013,61.581625,61.691625,is,I,sd,u-14-1
sw3773B-ms98-a-0013,61.691625,61.781625,that,I,sd,u-14-1
sw3773B-ms98-a-0013,61.781625,61.931625,we've,I,sd,u-14-1
sw3773B-ms98-a-0013,61.931625,62.101625,got,I,sd,u-14-1
sw3773B-ms98-a-0013,62.101625,62.441625,five,I,sd,u-14-1
sw3773B-ms98-a-0013,62.441625,62.831625,children,I,sd,u-14-1
sw3773B-ms98-a-0014,63.444625,64.015000,[laughter],O,,
sw3773B-ms98-a-0014,64.015000,64.165000,and,B,sd,u-16-1
sw3773B-ms98-a-0014,64.165000,64.551500,so,I,sd,u-16-1
sw3773B-ms98-a-0014,64.702125,64.965000,uh,I,sd,u-16-1
sw3773B-ms98-a-0014,64.965000,65.145000,we,I,sd,u-16-1
sw3773B-ms98-a-0014,65.145000,65.425000,really,I,sd,u-16-1
sw3773B-ms98-a-0014,65.425000,65.588875,want,I,sd,u-16-1
sw3773B-ms98-a-0014,65.799750,65.965000,four,I,sd,u-16-1
sw3773B-ms98-a-0014,65.965000,66.075000,or,I,sd,u-16-1
sw3773B-ms98-a-0014,66.075000,66.315000,five,I,sd,u-16-1
sw3773B-ms98-a-0014,66.315000,66.624375,bedroom,I,sd,u-16-1
sw3773B-ms98-a-0014,67.151625,67.565000,house,I,sd,u-16-1
sw3773B-ms98-a-0014,67.565000,67.845000,and,B,sd,u-16-2
sw3773B-ms98-a-0014,67.845000,68.074875,uh,I,sd,u-16-2
sw3773B-ms98-a-0014,68.478000,68.535000,you,I,sd,u-16-2
sw3773B-ms98-a-0014,68.535000,68.615000,know,I,sd,u-16-2
sw3773B-ms98-a-0014,68.615000,68.975000,everybody,I,sd,u-16-2
sw3773B-ms98-a-0014,68.975000,69.374750,says,I,sd,u-16-2
sw3773B-ms98-a-0014,69.924625,70.045000,you,I,sd,u-16-2
sw3773B-ms98-a-0014,70.045000,70.302750,know,I,sd,u-16-2
sw3773B-ms98-a-0014,70.494875,70.595000,how,I,sd,u-16-2
sw3773B-ms98-a-0014,70.595000,70.745000,many,I,sd,u-16-2
sw3773B-ms98-a-0014,70.745000,71.135000,houses,I,sd,u-16-2
sw3773B-ms98-a-0014,71.135000,71.205000,are,I,sd,u-16-2
sw3773B-ms98-a-0014,71.205000,71.295000,on,I,sd,u-16-2
sw3773B-ms98-a-0014,71.295000,71.355000,the,I,sd,u-16-2
sw3773B-ms98-a-0014,71.355000,71.945000,market,I,sd,u-16-2
sw3773B-ms98-a-0014,71.945000,72.210875,and,I,sd,u-16-2
sw3773B-ms98-a-0014,72.696750,72.815000,all,B,+,u-18-1
sw3773B-ms98-a-0014,72.815000,72.985000,that,I,+,u-18-1
sw3773B-ms98-a-0014,72.985000,73.165000,kind,I,+,u-18-1
sw3773B-ms98-a-0014,73.165000,73.245000,of,I,+,u-18-1
sw3773B-ms98-a-0014,73.245000,73.635000,thing,I,+,u-18-1
sw3773B-ms98-a-0014,73.635000,73.835000,so,B,sd,u-18-2
sw3773B-ms98-a-0014,73.835000,74.055000,we,I,sd,u-18-2
sw3773B-ms98-a-0014,74.055000,74.325000,uh,I,sd,u-18-2
sw3773B-ms98-a-0015,75.099750,75.185375,we,I,sd,u-18-2
sw3773B-ms98-a-0015,75.185375,75.335375,look,I,sd,u-18-2
sw3773B-ms98-a-0015,75.335375,75.425375,at,I,sd,u-18-2
sw3773B-ms98-a-0015,75.425375,75.485375,the,I,sd,u-18-2
sw3773B-ms98-a-0015,75.485375,75.875375,paper,I,sd,u-18-2
sw3773B-ms98-a-0015,75.875375,76.005375,we,B,sd,u-18-3
sw3773B-ms98-a-0015,76.005375,76.195375,look,I,sd,u-18-3
sw3773B-ms98-a-0015,76.195375,76.295375,at,I,sd,u-18-3
sw3773B-ms98-a-0015,76.295375,76.435375,our,I,sd,u-18-3
sw3773B-ms98-a-0015,76.435375,76.625375,talk,I,sd,u-18-3
sw3773B-ms98-a-0015,76.625375,76.715375,to,I,sd,u-18-3
sw3773B-ms98-a-0015,76.715375,76.835375,our,I,sd,u-18-3
sw3773B-ms98-a-0015,76.835375,77.235375,realtor,I,sd,u-18-3
sw3773B-ms98-a-0015,77.235375,77.385375,and,B,sd,u-18-4
sw3773B-ms98-a-0015,77.885375,77.985375,you,I,sd,u-18-4
sw3773B-ms98-a-0015,77.985375,78.127000,can,I,sd,u-18-4
sw3773B-ms98-a-0015,78.255125,78.405375,cut,I,sd,u-18-4
sw3773B-ms98-a-0015,79.065375,79.275375,you,I,sd,u-18-4
sw3773B-ms98-a-0015,79.275375,79.485375,know,I,sd,u-18-4
sw3773B-ms98-a-0015,79.485375,79.585375,the,I,sd,u-18-4
sw3773B-ms98-a-0015,79.585375,80.295375,listings,I,sd,u-18-4
sw3773B-ms98-a-0015,80.295375,80.455375,uh,I,sd,u-18-4
sw3773B-ms98-a-0015,80.455375,80.565375,in,I,sd,u-18-4
sw3773B-ms98-a-0015,80.565375,80.845375,about,I,sd,u-18-4
sw3773B-ms98-a-0015,80.845375,80.885375,a,I,sd,u-18-4
sw3773B-ms98-a-0015,80.885375,81.363125,third,I,sd,u-18-4
sw3773B-ms98-a-0015,81.506250,81.595375,and,I,sd,u-18-4
sw3773B-ms98-a-0015,81.595375,81.685375,when,I,sd,u-18-4
sw3773B-ms98-a-0015,81.685375,81.775375,you,I,sd,u-18-4
sw3773B-ms98-a-0015,81.775375,81.885375,go,I,sd,u-18-4
sw3773B-ms98-a-0015,81.885375,82.085375,from,I,sd,u-18-4
sw3773B-ms98-a-0015,82.085375,82.275375,three,I,sd,u-18-4
sw3773B-ms98-a-0015,82.275375,82.365375,to,I,sd,u-18-4
sw3773B-ms98-a-0015,82.365375,82.789625,four,I,sd,u-18-4
sw3773B-ms98-a-0015,83.495625,84.063500,bedrooms,I,sd,u-18-4
sw3773B-ms98-a-0015,84.063500,84.265375,you,B,+,u-20-1
sw3773B-ms98-a-0015,84.265375,84.335375,know,I,+,u-20-1
sw3773B-ms98-a-0015,84.335375,84.568250,or,I,+,u-20-1
sw3773B-ms98-a-0015,84.568250,84.810875,five,I,+,u-20-1
sw3773B-ms98-a-0015,85.421125,85.498750,are,B,qy,u-20-2
sw3773B-ms98-a-0015,85.498750,85.585375,you,I,qy,u-20-2
sw3773B-ms98-a-0015,85.585375,85.931500,looking,I,qy,u-20-2
sw3773B-ms98-a-0015,85.931500,86.251625,or,B,qrr,u-20-3
sw3773B-ms98-a-0015,86.251625,86.375375,you,I,qrr,u-20-3
sw3773B-ms98-a-0015,86.375375,86.698875,settled,I,qrr,u-20-3
sw3773B-ms98-a-0015,86.958875,87.015375,i,B,%,u-20-4
sw3773B-ms98-a-0015,87.015375,87.200375,mean,I,%,u-20-4
sw3773B-ms98-a-0015,88.002625,88.160750,h[aving]-,O,,
sw3773B-ms98-a-0015,88.299125,88.605125,having,B,%,u-22-1
sw3773B-ms98-a-0015,88.605125,88.832875,finished,O,,
sw3773B-ms98-a-0017,96.079000,96.225750,oh,B,ba,u-24-1
sw3773B-ms98-a-0017,96.225750,96.578250,great,I,ba,u-24-1
sw3773B-ms98-a-0019,99.415125,100.925000,[laughter],O,,
sw3773B-ms98-a-0020,101.963125,102.153125,that,B,sv,u-28-1
sw3773B-ms98-a-0020,102.153125,102.403125,empty,I,sv,u-28-1
sw3773B-ms98-a-0020,102.403125,102.683125,nest,I,sv,u-28-1
sw3773B-ms98-a-0020,102.683125,103.203125,syndrome,I,sv,u-28-1
sw3773B-ms98-a-0020,103.203125,103.293125,is,I,sv,u-28-1
sw3773B-ms98-a-0020,103.293125,103.483125,gonna,I,sv,u-28-1
sw3773B-ms98-a-0020,103.483125,103.703125,set,I,sv,u-28-1
sw3773B-ms98-a-0020,103.703125,103.923125,in,I,sv,u-28-1
sw3773B-ms98-a-0020,103.923125,104.003125,i,I,sv,u-28-1
sw3773B-ms98-a-0020,104.003125,104.373125,guess,I,sv,u-28-1
sw3773B-ms98-a-0023,107.879375,108.331000,great,B,ba,u-30-1
sw3773B-ms98-a-0024,110.208375,110.683500,okay,B,b,u-32-1
sw3773B-ms98-a-0025,112.074125,112.309875,okay,B,b,u-34-1
sw3773B-ms98-a-0025,112.309875,112.509875,you,B,qy,u-34-2
sw3773B-ms98-a-0025,112.509875,112.629875,are,I,qy,u-34-2
sw3773B-ms98-a-0025,112.629875,112.709875,you,I,qy,u-34-2
sw3773B-ms98-a-0025,112.709875,112.919875,from,I,qy,u-34-2
sw3773B-ms98-a-0025,112.919875,113.219875,Florida,I,qy,u-34-2
sw3773B-ms98-a-0025,113.219875,113.528625,originally,I,qy,u-34-2
sw3773B-ms98-a-0027,117.896250,118.288875,yeah,B,b,u-36-1
sw3773B-ms98-a-0029,122.432375,122.605375,oh,B,b,u-38-1
sw3773B-ms98-a-0029,122.605375,122.895875,yeah,I,b,u-38-1
sw3773B-ms98-a-0030,124.146750,124.492125,yeah,B,b,u-40-1
sw3773B-ms98-a-0030,124.492125,124.919000,yeah,B,b^r,u-40-2
sw3773B-ms98-a-0030,125.613000,125.855500,we've,B,sd,u-40-3
sw3773B-ms98-a-0030,125.855500,126.115500,got,I,sd,u-40-3
sw3773B-ms98-a-0030,126.115500,126.575500,five,I,sd,u-40-3
sw3773B-ms98-a-0030,126.575500,126.685500,and,B,sd,u-40-4
sw3773B-ms98-a-0030,126.685500,126.765500,the,I,sd,u-40-4
sw3773B-ms98-a-0030,126.765500,127.205500,oldest,I,sd,u-40-4
sw3773B-ms98-a-0030,127.205500,127.355500,is,I,sd,u-40-4
sw3773B-ms98-a-0030,127.355500,127.565500,uh,I,sd,u-40-4
sw3773B-ms98-a-0030,127.565500,127.875500,ninth,I,sd,u-40-4
sw3773B-ms98-a-0030,127.875500,128.281250,grade,I,sd,u-40-4
sw3773B-ms98-a-0030,128.740750,128.905500,and,B,sd,u-40-5
sw3773B-ms98-a-0030,128.905500,128.965500,the,I,sd,u-40-5
sw3773B-ms98-a-0030,128.965500,129.405500,youngest,I,sd,u-40-5
sw3773B-ms98-a-0030,129.405500,129.535500,is,I,sd,u-40-5
sw3773B-ms98-a-0030,129.535500,129.915500,second,I,sd,u-40-5
sw3773B-ms98-a-0030,129.915500,130.155500,grade,I,sd,u-40-5
sw3773B-ms98-a-0030,130.155500,130.305500,and,B,sv,u-40-6
sw3773B-ms98-a-0030,130.305500,130.365500,i,I,sv,u-40-6
sw3773B-ms98-a-0030,130.365500,130.625500,think,I,sv,u-40-6
sw3773B-ms98-a-0030,130.625500,130.755500,they're,I,sv,u-40-6
sw3773B-ms98-a-0030,130.755500,130.935500,gonna,I,sv,u-40-6
sw3773B-ms98-a-0030,130.935500,131.204500,be,I,sv,u-40-6
sw3773B-ms98-a-0030,131.355125,131.585500,uh,I,sv,u-40-6
sw3773B-ms98-a-0030,131.585500,131.775500,with,I,sv,u-40-6
sw3773B-ms98-a-0030,131.775500,131.915500,us,I,sv,u-40-6
sw3773B-ms98-a-0030,131.915500,132.349500,forever,I,sv,u-40-6
sw3773B-ms98-a-0030,132.529000,132.991250,[laughter],O,,
sw3773B-ms98-a-0031,133.588875,133.699875,i,B,sv,u-42-1
sw3773B-ms98-a-0031,133.699875,133.858875,don't,I,sv,u-42-1
sw3773B-ms98-a-0031,133.858875,133.958875,know,I,sv,u-42-1
sw3773B-ms98-a-0031,133.958875,134.078875,if,I,sv,u-42-1
sw3773B-ms98-a-0031,134.078875,134.398875,that's,I,sv,u-42-1
sw3773B-ms98-a-0031,134.398875,134.628875,true,I,sv,u-42-1
sw3773B-ms98-a-0031,134.628875,134.778875,but,B,sd,u-42-2
sw3773B-ms98-a-0031,134.778875,134.898875,it's,I,sd,u-42-2
sw3773B-ms98-a-0031,134.898875,135.058875,sure,I,sd,u-42-2
sw3773B-ms98-a-0031,135.428875,135.488875,you,I,sd,u-42-2
sw3773B-ms98-a-0031,135.488875,135.628875,know,I,sd,u-42-2
sw3773B-ms98-a-0031,135.628875,135.815750,w[e're]-,I,sd,u-42-2
sw3773B-ms98-a-0031,135.815750,135.968875,we're,I,sd,u-42-2
sw3773B-ms98-a-0031,135.968875,136.178875,not,I,sd,u-42-2
sw3773B-ms98-a-0031,136.178875,136.528875,anywhere,I,sd,u-42-2
sw3773B-ms98-a-0031,136.528875,136.758875,near,I,sd,u-42-2
sw3773B-ms98-a-0031,136.758875,137.018125,looking,I,sd,u-42-2
sw3773B-ms98-a-0031,137.116000,137.308875,to,I,sd,u-42-2
sw3773B-ms98-a-0031,137.308875,137.509625,uh,I,sd,u-42-2
sw3773B-ms98-a-0031,138.432875,138.966500,uh,I,sd,u-42-2
sw3773B-ms98-a-0031,139.219375,139.354375,cut,I,sd,u-42-2
sw3773B-ms98-a-0031,139.448500,139.678875,down,I,sd,u-42-2
sw3773B-ms98-a-0031,139.678875,139.788875,in,I,sd,u-42-2
sw3773B-ms98-a-0031,139.788875,140.158875,size,I,sd,u-42-2
sw3773B-ms98-a-0031,140.158875,140.398875,we're,B,sd,u-42-3
sw3773B-ms98-a-0031,140.398875,140.681125,we're,I,sd,u-42-3
sw3773B-ms98-a-0031,140.926000,141.128875,trying,B,+,u-44-1
sw3773B-ms98-a-0031,141.128875,141.188875,to,I,+,u-44-1
sw3773B-ms98-a-0031,141.188875,141.528875,find,B,+,u-46-1
sw3773B-ms98-a-0031,141.528875,141.795250,the,O,,
sw3773B-ms98-a-0032,144.048000,144.325125,oh,B,aa,u-48-1
sw3773B-ms98-a-0032,144.325125,144.613125,yeah,I,aa,u-48-1
sw3773B-ms98-a-0032,144.613125,144.743125,in,B,sd,u-48-2
sw3773B-ms98-a-0032,144.743125,144.983125,fact,I,sd,u-48-2
sw3773B-ms98-a-0032,144.983125,145.243125,six,I,sd,u-48-2
sw3773B-ms98-a-0032,145.243125,145.353125,would,I,sd,u-48-2
sw3773B-ms98-a-0032,145.353125,145.538500,be,I,sd,u-48-2
sw3773B-ms98-a-0032,145.681625,145.883125,real,I,sd,u-48-2
sw3773B-ms98-a-0032,145.883125,146.088500,good,I,sd,u-48-2
sw3773B-ms98-a-0032,146.216500,146.383375,my,B,sd,u-50-1
sw3773B-ms98-a-0032,146.383375,146.601875,wife,I,sd,u-50-1
sw3773B-ms98-a-0032,146.601875,146.693125,and,I,sd,u-50-1
sw3773B-ms98-a-0032,146.693125,146.812375,i,I,sd,u-50-1
sw3773B-ms98-a-0032,146.812375,146.923125,can,I,sd,u-50-1
sw3773B-ms98-a-0032,146.923125,147.163125,share,I,sd,u-50-1
sw3773B-ms98-a-0032,147.163125,147.223125,a,I,sd,u-50-1
sw3773B-ms98-a-0032,147.223125,147.553125,bedroom,I,sd,u-50-1
sw3773B-ms98-a-0032,147.553125,148.423125,[laughter],O,,
sw3773B-ms98-a-0032,148.423125,148.543125,and,O,,
sw3773B-ms98-a-0032,148.543125,148.643125,there,O,,
sw3773B-ms98-a-0033,150.652125,151.005000,oh,B,sv,u-54-1
sw3773B-ms98-a-0033,151.005000,151.118000,i,I,sv,u-54-1
sw3773B-ms98-a-0033,151.118000,151.301875,don't,I,sv,u-54-1
sw3773B-ms98-a-0033,151.301875,151.441875,think,I,sv,u-54-1
sw3773B-ms98-a-0033,151.441875,151.581875,it's,I,sv,u-54-1
sw3773B-ms98-a-0033,151.581875,152.001875,possible,I,sv,u-54-1
sw3773B-ms98-a-0033,152.001875,152.223125,unless,I,sv,u-54-1
sw3773B-ms98-a-0033,152.223125,152.402750,you,I,sv,u-54-1
sw3773B-ms98-a-0033,152.741750,152.821875,you,I,sv,u-54-1
sw3773B-ms98-a-0033,152.821875,152.931875,know,I,sv,u-54-1
sw3773B-ms98-a-0033,152.931875,153.801875,multimillionaire,I,sv,u-54-1
sw3773B-ms98-a-0033,153.801875,154.141875,something,I,sv,u-54-1
sw3773B-ms98-a-0033,154.141875,154.311875,like,I,sv,u-54-1
sw3773B-ms98-a-0033,154.311875,154.484500,that,I,sv,u-54-1
sw3773B-ms98-a-0033,154.706750,155.022375,yeah,O,,
sw3773B-ms98-a-0035,160.038375,160.238375,oh,B,aa,u-58-1
sw3773B-ms98-a-0035,160.238375,160.462750,yeah,I,aa,u-58-1
sw3773B-ms98-a-0036,161.749875,161.839875,yeah,B,aa,u-60-1
sw3773B-ms98-a-0036,161.839875,161.973250,it,B,sv,u-60-2
sw3773B-ms98-a-0036,161.973250,162.329875,is,I,sv,u-60-2
sw3773B-ms98-a-0036,162.469875,162.819125,yeah,B,%,u-60-3
sw3773B-ms98-a-0036,163.248500,163.453750,we['re]-,O,,
sw3773B-ms98-a-0036,163.453750,163.886875,um,B,sd,u-62-1
sw3773B-ms98-a-0036,164.309875,164.439875,we're,I,sd,u-62-1
sw3773B-ms98-a-0036,164.439875,164.770250,having,I,sd,u-62-1
sw3773B-ms98-a-0036,165.308875,165.804000,actually,B,sv,u-62-2
sw3773B-ms98-a-0037,166.833625,167.012750,if,I,sv,u-62-2
sw3773B-ms98-a-0037,167.012750,167.152750,we,I,sv,u-62-2
sw3773B-ms98-a-0037,167.152750,167.482750,find,I,sv,u-62-2
sw3773B-ms98-a-0037,167.482750,167.822750,something,I,sv,u-62-2
sw3773B-ms98-a-0037,167.822750,168.234875,for,I,sv,u-62-2
sw3773B-ms98-a-0037,168.709500,169.201875,uh,I,sv,u-62-2
sw3773B-ms98-a-0037,169.894875,170.052750,i'd,I,sv,u-62-2
sw3773B-ms98-a-0037,170.052750,170.202750,say,I,sv,u-62-2
sw3773B-ms98-a-0037,170.202750,170.452750,less,I,sv,u-62-2
sw3773B-ms98-a-0037,170.452750,170.542750,than,I,sv,u-62-2
sw3773B-ms98-a-0037,170.542750,170.572750,a,I,sv,u-62-2
sw3773B-ms98-a-0037,170.572750,170.782750,hundred,I,sv,u-62-2
sw3773B-ms98-a-0037,170.782750,170.872750,and,I,sv,u-62-2
sw3773B-ms98-a-0037,170.872750,171.102750,twenty,I,sv,u-62-2
sw3773B-ms98-a-0037,171.102750,171.462750,thousand,I,sv,u-62-2
sw3773B-ms98-a-0037,171.462750,171.552750,we'll,I,sv,u-62-2
sw3773B-ms98-a-0037,171.552750,171.662750,be,I,sv,u-62-2
sw3773B-ms98-a-0037,171.662750,171.932750,doing,I,sv,u-62-2
sw3773B-ms98-a-0037,171.932750,172.022750,all,I,sv,u-62-2
sw3773B-ms98-a-0037,172.022750,172.425625,right,I,sv,u-62-2
sw3773B-ms98-a-0037,172.632750,172.722750,you,I,sv,u-62-2
sw3773B-ms98-a-0037,172.722750,172.952250,know,I,sv,u-62-2
sw3773B-ms98-a-0037,172.952250,173.277750,that's,B,%,u-64-1
sw3773B-ms98-a-0037,173.277750,173.501375,uh,I,%,u-64-1
sw3773B-ms98-a-0037,173.947250,174.210875,but,B,sv,u-64-2
sw3773B-ms98-a-0037,174.210875,174.403125,i,I,sv,u-64-2
sw3773B-ms98-a-0037,174.403125,174.632750,think,I,sv,u-64-2
sw3773B-ms98-a-0037,174.632750,174.692750,the,I,sv,u-64-2
sw3773B-ms98-a-0037,174.692750,174.982750,thing's,I,sv,u-64-2
sw3773B-ms98-a-0037,174.982750,175.182750,out,I,sv,u-64-2
sw3773B-ms98-a-0037,175.182750,175.402750,there,I,sv,u-64-2
sw3773B-ms98-a-0037,175.402750,175.502750,it's,B,sv,u-64-3
sw3773B-ms98-a-0037,175.502750,175.692750,just,I,sv,u-64-3
sw3773B-ms98-a-0037,175.692750,175.732750,a,I,sv,u-64-3
sw3773B-ms98-a-0037,175.732750,176.042750,matter,I,sv,u-64-3
sw3773B-ms98-a-0037,176.042750,176.252750,of,I,sv,u-64-3
sw3773B-ms98-a-0037,176.252750,176.552750,uh,I,sv,u-64-3
sw3773B-ms98-a-0038,177.843750,177.925000,you,B,+,u-66-1
sw3773B-ms98-a-0038,177.925000,178.073750,know,I,+,u-66-1
sw3773B-ms98-a-0038,178.375000,178.827875,looking,I,+,u-66-1
sw3773B-ms98-a-0038,178.933375,179.128250,you,B,+,u-68-1
sw3773B-ms98-a-0038,179.128250,179.335750,know,I,+,u-68-1
