sw3666B-ms98-a-0003,2.841375,3.220750,yes,B,fp,u-2-1
sw3666B-ms98-a-0036,121.607125,121.737125,and,B,sd,u-74-2
sw3666B-ms98-a-0036,121.737125,121.797125,i,I,sd,u-74-2
sw3666B-ms98-a-0036,121.797125,122.157125,left,I,sd,u-74-2
sw3666B-ms98-a-0036,122.157125,122.257125,the,I,sd,u-74-2
sw3666B-ms98-a-0036,122.257125,122.497125,whole,I,sd,u-74-2
sw3666B-ms98-a-0036,122.497125,122.767125,thing,I,sd,u-74-2
sw3666B-ms98-a-0036,122.767125,122.907125,and,B,sd,u-74-3
sw3666B-ms98-a-0036,122.907125,123.097125,that,B,+,u-76-1
sw3666B-ms98-a-0036,123.097125,123.257125,was,I,+,u-76-1
sw3666B-ms98-a-0036,123.257125,123.567125,about,I,+,u-76-1
sw3666B-ms98-a-0036,123.567125,123.597125,a,I,+,u-76-1
sw3666B-ms98-a-0036,123.597125,123.897125,month,I,+,u-76-1
sw3666B-ms98-a-0036,123.897125,124.265375,ago,I,+,u-76-1
sw3666B-ms98-a-0038,126.339625,126.506500,i,B,sd,u-78-1
sw3666B-ms98-a-0038,126.506500,126.716500,would,I,sd,u-78-1
sw3666B-ms98-a-0038,126.716500,127.086500,rather,I,sd,u-78-1
sw3666B-ms98-a-0038,127.086500,127.206500,a,I,sd,u-78-1
sw3666B-ms98-a-0038,127.206500,127.745375,snake,I,sd,u-78-1
sw3666B-ms98-a-0039,127.799750,128.217500,no,B,ar,u-78-2
sw3666B-ms98-a-0039,128.217500,128.897500,[laughter],O,,
sw3666B-ms98-a-0040,129.344000,129.534000,i,B,sd,u-80-1
sw3666B-ms98-a-0040,129.534000,129.784000,just,I,sd,u-80-1
sw3666B-ms98-a-0040,129.784000,130.014000,left,I,sd,u-80-1
sw3666B-ms98-a-0040,130.014000,130.094000,the,I,sd,u-80-1
sw3666B-ms98-a-0040,130.094000,130.224000,whole,I,sd,u-80-1
sw3666B-ms98-a-0040,130.224000,130.424000,thing,I,sd,u-80-1
sw3666B-ms98-a-0040,130.424000,130.514000,the,B,sd,u-80-2
sw3666B-ms98-a-0040,130.514000,130.854000,bag,I,sd,u-80-2
sw3666B-ms98-a-0040,130.854000,130.964000,is,I,sd,u-80-2
sw3666B-ms98-a-0040,130.964000,131.234000,still,I,sd,u-80-2
sw3666B-ms98-a-0040,131.234000,131.464000,out,I,sd,u-80-2
sw3666B-ms98-a-0040,131.464000,131.664000,there,I,sd,u-80-2
sw3666B-ms98-a-0040,131.664000,131.984000,because,I,sd,u-80-2
sw3666B-ms98-a-0040,131.984000,132.034000,i,I,sd,u-80-2
sw3666B-ms98-a-0040,132.034000,132.274000,haven't,I,sd,u-80-2
sw3666B-ms98-a-0040,132.274000,132.605125,touched,I,sd,u-80-2
sw3666B-ms98-a-0040,132.605125,132.688000,i,B,sd,u-82-1
sw3666B-ms98-a-0040,132.688000,132.894000,haven't,I,sd,u-82-1
sw3666B-ms98-a-0040,132.894000,133.164000,gone,I,sd,u-82-1
sw3666B-ms98-a-0040,133.164000,133.474000,back,I,sd,u-82-1
sw3666B-ms98-a-0040,133.474000,133.674000,over,I,sd,u-82-1
sw3666B-ms98-a-0040,133.674000,133.834000,there,I,sd,u-82-1
sw3666B-ms98-a-0040,133.834000,133.974000,it,B,sd,u-82-2
sw3666B-ms98-a-0040,133.974000,134.204000,really,I,sd,u-82-2
sw3666B-ms98-a-0040,134.204000,134.464000,made,I,sd,u-82-2
sw3666B-ms98-a-0040,134.464000,134.584000,me,I,sd,u-82-2
sw3666B-ms98-a-0040,134.584000,134.996500,mad,I,sd,u-82-2
sw3666B-ms98-a-0041,135.953875,136.263875,so,B,%,u-84-1
sw3666B-ms98-a-0041,136.263875,136.773875,anyway,I,%,u-84-1
sw3666B-ms98-a-0041,136.773875,137.113875,but,I,%,u-84-1
sw3666B-ms98-a-0043,142.059625,142.251875,oh,B,ny,u-86-1
sw3666B-ms98-a-0043,142.251875,142.456125,yeah,I,ny,u-86-1
sw3666B-ms98-a-0043,142.456125,142.706125,now,B,sd^e,u-86-2
sw3666B-ms98-a-0043,142.706125,142.866125,they,I,sd^e,u-86-2
sw3666B-ms98-a-0043,142.866125,143.336125,died,I,sd^e,u-86-2
sw3666B-ms98-a-0045,145.837125,146.027125,i,B,no,u-88-1
sw3666B-ms98-a-0045,146.027125,146.287125,don't,I,no,u-88-1
sw3666B-ms98-a-0045,146.287125,146.727125,know,I,no,u-88-1
sw3666B-ms98-a-0046,148.021875,148.081875,i,B,sd^r,u-90-1
sw3666B-ms98-a-0046,148.081875,148.341875,don't,I,sd^r,u-90-1
sw3666B-ms98-a-0046,148.341875,148.581875,know,I,sd^r,u-90-1
sw3666B-ms98-a-0046,148.581875,148.701875,and,B,sd,u-90-2
sw3666B-ms98-a-0046,148.701875,148.831875,then,I,sd,u-90-2
