sw2406A-ms98-a-0002,10.276875,10.761500,uh-huh,B,o,u-1-1
sw2406A-ms98-a-0012,88.244875,88.614875,back,I,sd,u-13-2
sw2406A-ms98-a-0012,88.614875,88.724875,i,I,sd,u-13-2
sw2406A-ms98-a-0012,88.724875,89.304875,guess,I,sd,u-13-2
sw2406A-ms98-a-0013,90.199625,90.922250,latest,B,sd,u-15-1
sw2406A-ms98-a-0013,90.922250,91.302250,latest,I,sd,u-15-1
sw2406A-ms98-a-0013,91.302250,91.412250,one,I,sd,u-15-1
sw2406A-ms98-a-0013,91.412250,91.562250,i've,I,sd,u-15-1
sw2406A-ms98-a-0013,91.562250,91.882250,saw,I,sd,u-15-1
sw2406A-ms98-a-0013,91.882250,92.142250,which,I,sd,u-15-1
sw2406A-ms98-a-0013,92.142250,92.332250,was,I,sd,u-15-1
sw2406A-ms98-a-0013,92.332250,92.762250,a,I,sd,u-15-1
sw2406A-ms98-a-0014,93.980750,94.430750,mistake,I,sd,u-15-1
sw2406A-ms98-a-0014,94.430750,94.530750,to,I,sd,u-15-1
sw2406A-ms98-a-0014,94.530750,94.740750,go,I,sd,u-15-1
sw2406A-ms98-a-0014,94.740750,95.140750,see,I,sd,u-15-1
sw2406A-ms98-a-0014,95.140750,95.350750,was,I,sd,u-15-1
sw2406A-ms98-a-0014,95.350750,96.084125,Lionheart,I,sd,u-15-1
sw2406A-ms98-a-0014,96.449500,96.670750,had,B,sd,u-15-2
sw2406A-ms98-a-0014,96.670750,97.030750,Claude,I,sd,u-15-2
sw2406A-ms98-a-0014,97.030750,97.360750,Van,I,sd,u-15-2
sw2406A-ms98-a-0014,97.360750,97.857750,Damme,I,sd,u-15-2
sw2406A-ms98-a-0015,98.923125,99.201000,he,B,sd,u-17-1
sw2406A-ms98-a-0015,99.201000,99.941250,was,I,sd,u-17-1
sw2406A-ms98-a-0015,100.479750,100.661000,he's,I,sd,u-17-1
sw2406A-ms98-a-0015,100.661000,100.801000,of,I,sd,u-17-1
sw2406A-ms98-a-0015,100.801000,101.291000,course,I,sd,u-17-1
sw2406A-ms98-a-0015,101.291000,101.441000,uh,I,sd,u-17-1
sw2406A-ms98-a-0015,101.441000,101.591000,i,I,sd,u-17-1
sw2406A-ms98-a-0015,101.591000,101.791000,guess,I,sd,u-17-1
sw2406A-ms98-a-0015,101.791000,101.981000,he's,I,sd,u-17-1
sw2406A-ms98-a-0015,101.981000,102.281000,trained,I,sd,u-17-1
sw2406A-ms98-a-0015,102.281000,102.381000,in,I,sd,u-17-1
sw2406A-ms98-a-0015,102.381000,102.691000,this,I,sd,u-17-1
sw2406A-ms98-a-0015,102.691000,103.051000,uh,I,sd,u-17-1
sw2406A-ms98-a-0015,103.051000,103.551000,martial,I,sd,u-17-1
sw2406A-ms98-a-0015,103.551000,103.851000,arts,I,sd,u-17-1
sw2406A-ms98-a-0015,103.851000,103.991000,of,I,sd,u-17-1
sw2406A-ms98-a-0015,103.991000,104.191000,some,I,sd,u-17-1
sw2406A-ms98-a-0015,104.191000,104.551000,sort,I,sd,u-17-1
sw2406A-ms98-a-0015,104.551000,104.676500,but,B,sd,u-17-2
sw2406A-ms98-a-0016,105.383375,105.485125,the,I,sd,u-17-2
sw2406A-ms98-a-0016,105.485125,105.853500,plot,I,sd,u-17-2
sw2406A-ms98-a-0016,105.853500,106.053500,was,I,sd,u-17-2
sw2406A-ms98-a-0016,106.053500,106.973500,bland,I,sd,u-17-2
sw2406A-ms98-a-0016,106.973500,107.093500,the,B,sd,u-17-3
sw2406A-ms98-a-0016,107.093500,107.623500,acting,I,sd,u-17-3
sw2406A-ms98-a-0016,107.623500,107.733500,was,I,sd,u-17-3
sw2406A-ms98-a-0016,107.733500,108.609250,bland,I,sd,u-17-3
sw2406A-ms98-a-0016,108.609250,108.763500,It,B,sd,u-17-4
sw2406A-ms98-a-0016,108.763500,108.953500,was,I,sd,u-17-4
sw2406A-ms98-a-0016,108.953500,109.253500,just,I,sd,u-17-4
sw2406A-ms98-a-0016,109.253500,109.593500,mostly,I,sd,u-17-4
sw2406A-ms98-a-0016,109.593500,109.933500,centered,I,sd,u-17-4
sw2406A-ms98-a-0016,109.933500,110.283500,upon,I,sd,u-17-4
sw2406A-ms98-a-0016,110.283500,110.463500,his,I,sd,u-17-4
sw2406A-ms98-a-0016,110.463500,111.223500,abilities,I,sd,u-17-4
sw2406A-ms98-a-0016,111.223500,111.784375,to,I,sd,u-17-4
sw2406A-ms98-a-0017,112.925875,113.115875,yeah,B,aa,u-19-1
sw2406A-ms98-a-0017,113.115875,113.455875,chop,B,b^m,u-19-2
sw2406A-ms98-a-0017,113.455875,113.645875,them,I,b^m,u-19-2
sw2406A-ms98-a-0017,113.645875,113.905875,up,I,b^m,u-19-2
sw2406A-ms98-a-0017,113.905875,114.565875,exactly,B,aa,u-19-3
sw2406A-ms98-a-0017,114.565875,114.963500,and,B,%,u-19-4
sw2406A-ms98-a-0019,120.770875,121.213250,yeah,B,b,u-21-1
sw2406A-ms98-a-0021,123.694125,123.862000,or,B,sd,u-23-1
sw2406A-ms98-a-0021,123.862000,124.052000,he's,I,sd,u-23-1
sw2406A-ms98-a-0021,124.052000,124.692000,singular,I,sd,u-23-1
sw2406A-ms98-a-0021,124.692000,124.782000,i,I,sd,u-23-1
sw2406A-ms98-a-0021,124.782000,125.132000,guess,I,sd,u-23-1
sw2406A-ms98-a-0021,125.132000,125.242000,you,I,sd,u-23-1
sw2406A-ms98-a-0021,125.242000,125.412000,know,I,sd,u-23-1
sw2406A-ms98-a-0021,125.412000,125.522000,you,B,sv,u-23-2
sw2406A-ms98-a-0021,125.522000,125.732000,know,I,sv,u-23-2
sw2406A-ms98-a-0021,125.732000,125.842000,how,I,sv,u-23-2
sw2406A-ms98-a-0021,125.842000,125.992000,they,I,sv,u-23-2
sw2406A-ms98-a-0021,125.992000,126.192000,can,I,sv,u-23-2
sw2406A-ms98-a-0021,126.192000,126.502000,make,I,sv,u-23-2
sw2406A-ms98-a-0021,126.502000,126.712000,any,I,sv,u-23-2
sw2406A-ms98-a-0021,126.712000,126.916375,of,I,sv,u-23-2
sw2406A-ms98-a-0021,126.916375,127.272375,any,I,sv,u-23-2
sw2406A-ms98-a-0021,127.490875,127.842000,single,I,sv,u-23-2
sw2406A-ms98-a-0021,127.842000,128.052000,one,I,sv,u-23-2
sw2406A-ms98-a-0021,128.052000,128.182000,of,I,sv,u-23-2
sw2406A-ms98-a-0021,128.182000,128.302000,them,I,sv,u-23-2
sw2406A-ms98-a-0021,128.302000,128.402000,in,I,sv,u-23-2
sw2406A-ms98-a-0021,128.402000,128.664875,a,I,sv,u-23-2
sw2406A-ms98-a-0021,128.796625,129.305875,movie,I,sv,u-23-2
sw2406A-ms98-a-0021,129.595875,129.682000,to,I,sv,u-23-2
sw2406A-ms98-a-0021,129.682000,129.912000,be,I,sv,u-23-2
sw2406A-ms98-a-0021,129.912000,130.029250,a,I,sv,u-23-2
sw2406A-ms98-a-0021,130.454750,131.028125,super,B,+,u-25-1
sw2406A-ms98-a-0023,132.645375,133.323500,superstar,B,+,u-27-1
sw2406A-ms98-a-0023,133.323500,133.423500,of,I,+,u-27-1
sw2406A-ms98-a-0023,133.423500,133.583500,any,I,+,u-27-1
sw2406A-ms98-a-0023,133.583500,133.953500,sort,I,+,u-27-1
sw2406A-ms98-a-0023,133.953500,134.033500,you,I,+,u-27-1
sw2406A-ms98-a-0023,134.033500,134.253500,know,I,+,u-27-1
sw2406A-ms98-a-0023,134.253500,134.613500,but,B,sv,u-29-1
sw2406A-ms98-a-0023,134.613500,134.863500,Chuck,I,sv,u-29-1
sw2406A-ms98-a-0023,134.863500,135.213500,Norris,I,sv,u-29-1
sw2406A-ms98-a-0023,135.213500,135.293500,of,I,sv,u-29-1
sw2406A-ms98-a-0023,135.293500,135.603500,course,I,sv,u-29-1
sw2406A-ms98-a-0023,135.603500,135.823500,could,I,sv,u-29-1
sw2406A-ms98-a-0023,135.823500,135.943500,be,I,sv,u-29-1
sw2406A-ms98-a-0023,135.943500,136.133500,just,I,sv,u-29-1
sw2406A-ms98-a-0023,136.133500,136.363500,about,I,sv,u-29-1
sw2406A-ms98-a-0023,136.363500,136.836500,equal,I,sv,u-29-1
sw2406A-ms98-a-0023,137.150500,137.282250,if,B,+,u-31-1
sw2406A-ms98-a-0023,137.282250,137.453500,not,I,+,u-31-1
sw2406A-ms98-a-0023,137.453500,138.142625,more,I,+,u-31-1
sw2406A-ms98-a-0024,138.501250,138.611250,and,B,sv,u-31-2
sw2406A-ms98-a-0024,138.611250,138.821250,all,I,sv,u-31-2
sw2406A-ms98-a-0024,138.821250,138.891250,of,I,sv,u-31-2
sw2406A-ms98-a-0024,138.891250,138.991250,them,I,sv,u-31-2
sw2406A-ms98-a-0024,138.991250,139.061250,i,I,sv,u-31-2
sw2406A-ms98-a-0024,139.061250,139.351250,guess,I,sv,u-31-2
sw2406A-ms98-a-0024,139.351250,139.471250,could,I,sv,u-31-2
sw2406A-ms98-a-0024,139.471250,139.531250,be,I,sv,u-31-2
sw2406A-ms98-a-0024,139.531250,139.651250,in,I,sv,u-31-2
sw2406A-ms98-a-0024,139.651250,139.831250,that,I,sv,u-31-2
sw2406A-ms98-a-0024,139.831250,140.341250,fashion,I,sv,u-31-2
sw2406A-ms98-a-0025,141.137875,141.209250,or,B,+,u-33-1
sw2406A-ms98-a-0025,141.209250,141.869250,category,I,+,u-33-1
sw2406A-ms98-a-0027,144.400750,144.533625,it,B,sd,u-35-1
sw2406A-ms98-a-0027,144.533625,144.683625,was,I,sd,u-35-1
sw2406A-ms98-a-0027,144.683625,145.243625,about,I,sd,u-35-1
sw2406A-ms98-a-0027,145.243625,145.763750,uh,I,sd,u-35-1
sw2406A-ms98-a-0028,146.696125,146.858375,a,I,sd,u-35-1
sw2406A-ms98-a-0028,146.858375,147.210375,French,B,+,u-37-1
sw2406A-ms98-a-0028,147.210375,147.730375,Foreign,I,+,u-37-1
sw2406A-ms98-a-0028,147.730375,148.190375,Legion,I,+,u-37-1
sw2406A-ms98-a-0028,148.190375,148.664875,fellow,I,+,u-37-1
sw2406A-ms98-a-0029,149.642750,150.099750,who,I,+,u-37-1
sw2406A-ms98-a-0029,150.273875,151.150500,deserts,I,+,u-37-1
sw2406A-ms98-a-0029,151.624375,151.720750,to,I,+,u-37-1
sw2406A-ms98-a-0029,151.720750,151.940750,go,I,+,u-37-1
sw2406A-ms98-a-0029,151.940750,152.252625,help,I,+,u-37-1
sw2406A-ms98-a-0029,152.252625,152.560750,his,I,+,u-37-1
sw2406A-ms98-a-0029,152.560750,153.120750,brother's,I,+,u-37-1
sw2406A-ms98-a-0029,153.120750,153.730750,wife,I,+,u-37-1
sw2406A-ms98-a-0030,154.553625,154.785750,who,I,+,u-37-1
sw2406A-ms98-a-0030,154.785750,155.085750,got,I,+,u-37-1
sw2406A-ms98-a-0030,155.085750,155.285750,who,I,+,u-37-1
sw2406A-ms98-a-0030,155.285750,155.705750,became,I,+,u-37-1
sw2406A-ms98-a-0030,155.705750,155.755750,a,I,+,u-37-1
sw2406A-ms98-a-0030,155.755750,156.222500,widow,I,+,u-37-1
sw2406A-ms98-a-0030,156.410875,157.095750,because,I,+,u-37-1
sw2406A-ms98-a-0030,157.095750,157.285750,he,I,+,u-37-1
sw2406A-ms98-a-0030,157.285750,157.445750,was,I,+,u-37-1
sw2406A-ms98-a-0030,157.445750,157.775750,selling,I,+,u-37-1
sw2406A-ms98-a-0030,157.775750,158.336375,drugs,I,+,u-37-1
sw2406A-ms98-a-0031,158.409375,160.100125,[laughter],O,,
sw2406A-ms98-a-0032,160.249750,160.433375,and,B,sd,u-39-1
sw2406A-ms98-a-0032,160.433375,160.523375,he,I,sd,u-39-1
sw2406A-ms98-a-0032,160.523375,160.743375,got,I,sd,u-39-1
sw2406A-ms98-a-0032,160.743375,161.343375,killed,I,sd,u-39-1
sw2406A-ms98-a-0034,163.730750,164.019875,so,B,sd,u-41-1
sw2406A-ms98-a-0034,164.019875,164.149875,he,I,sd,u-41-1
sw2406A-ms98-a-0034,164.149875,164.649875,deserts,I,sd,u-41-1
sw2406A-ms98-a-0034,164.649875,164.749875,and,I,sd,u-41-1
sw2406A-ms98-a-0034,164.749875,164.949875,goes,I,sd,u-41-1
sw2406A-ms98-a-0034,164.949875,165.079875,to,I,sd,u-41-1
sw2406A-ms98-a-0034,165.079875,165.229875,New,I,sd,u-41-1
sw2406A-ms98-a-0034,165.229875,165.509875,York,I,sd,u-41-1
sw2406A-ms98-a-0034,165.509875,165.609875,and,B,sd,u-41-2
sw2406A-ms98-a-0034,165.609875,165.679875,he,I,sd,u-41-2
sw2406A-ms98-a-0034,165.679875,166.079875,starts,I,sd,u-41-2
sw2406A-ms98-a-0034,166.079875,166.209875,out,I,sd,u-41-2
sw2406A-ms98-a-0034,166.209875,166.399875,by,I,sd,u-41-2
sw2406A-ms98-a-0034,166.399875,167.066750,fighting,I,sd,u-41-2
sw2406A-ms98-a-0034,167.628000,167.689875,to,I,sd,u-41-2
sw2406A-ms98-a-0034,167.689875,167.869875,make,I,sd,u-41-2
sw2406A-ms98-a-0034,167.869875,168.289875,money,I,sd,u-41-2
sw2406A-ms98-a-0035,168.929250,169.044375,and,B,sd,u-41-3
sw2406A-ms98-a-0035,169.044375,169.144375,then,I,sd,u-41-3
sw2406A-ms98-a-0035,169.144375,169.204375,he,I,sd,u-41-3
sw2406A-ms98-a-0035,169.204375,169.484375,moves,I,sd,u-41-3
sw2406A-ms98-a-0035,169.484375,169.664375,on,I,sd,u-41-3
sw2406A-ms98-a-0035,169.664375,169.754375,to,I,sd,u-41-3
sw2406A-ms98-a-0035,169.754375,170.054375,L,I,sd,u-41-3
sw2406A-ms98-a-0035,170.054375,170.174375,A,I,sd,u-41-3
sw2406A-ms98-a-0035,170.174375,170.344375,to,I,sd,u-41-3
sw2406A-ms98-a-0035,170.344375,170.564375,where,I,sd,u-41-3
sw2406A-ms98-a-0035,170.564375,170.814375,that,I,sd,u-41-3
sw2406A-ms98-a-0035,170.814375,171.024375,where,I,sd,u-41-3
sw2406A-ms98-a-0035,171.024375,171.384375,she,I,sd,u-41-3
sw2406A-ms98-a-0035,171.384375,171.754000,is,I,sd,u-41-3
sw2406A-ms98-a-0036,172.402125,172.562000,to,I,sd,u-41-3
sw2406A-ms98-a-0036,172.562000,172.862000,just,I,sd,u-41-3
sw2406A-ms98-a-0036,172.862000,173.042000,help,I,sd,u-41-3
sw2406A-ms98-a-0036,173.042000,173.222000,him,I,sd,u-41-3
sw2406A-ms98-a-0036,173.222000,173.530250,out,I,sd,u-41-3
sw2406A-ms98-a-0038,175.292875,175.447375,it,B,sv,u-43-1
sw2406A-ms98-a-0038,175.447375,175.717375,was,I,sv,u-43-1
sw2406A-ms98-a-0038,175.717375,176.127375,really,I,sv,u-43-1
sw2406A-ms98-a-0038,176.127375,176.217375,i,I,sv,u-43-1
sw2406A-ms98-a-0038,176.217375,176.587375,mean,I,sv,u-43-1
sw2406A-ms98-a-0038,176.587375,176.657375,the,I,sv,u-43-1
sw2406A-ms98-a-0038,176.657375,177.127375,Hollywood,I,sv,u-43-1
sw2406A-ms98-a-0038,177.127375,177.537375,really,I,sv,u-43-1
sw2406A-ms98-a-0038,177.537375,177.807375,must,I,sv,u-43-1
sw2406A-ms98-a-0038,177.807375,178.187375,think,I,sv,u-43-1
sw2406A-ms98-a-0038,178.187375,178.377375,there's,I,sv,u-43-1
sw2406A-ms98-a-0038,178.377375,178.677375,some,I,sv,u-43-1
sw2406A-ms98-a-0038,178.677375,178.847375,real,I,sv,u-43-1
sw2406A-ms98-a-0038,178.847375,179.317375,dummies,I,sv,u-43-1
sw2406A-ms98-a-0038,179.317375,179.507375,out,I,sv,u-43-1
sw2406A-ms98-a-0038,179.507375,179.647375,there,I,sv,u-43-1
sw2406A-ms98-a-0038,179.647375,179.707375,or,I,sv,u-43-1
sw2406A-ms98-a-0038,179.707375,180.057375,something,I,sv,u-43-1
sw2406A-ms98-a-0038,180.057375,180.127375,i,B,h,u-43-2
sw2406A-ms98-a-0038,180.127375,180.357375,don't,I,h,u-43-2
sw2406A-ms98-a-0038,180.357375,180.603250,know,I,h,u-43-2
sw2406A-ms98-a-0039,180.969125,181.546000,[laughter],O,,
sw2406A-ms98-a-0041,190.869875,191.076000,well,B,sd,u-45-1
sw2406A-ms98-a-0041,191.076000,191.156000,it,I,sd,u-45-1
sw2406A-ms98-a-0041,191.156000,191.296000,was,I,sd,u-45-1
sw2406A-ms98-a-0041,191.296000,191.576000,worth,I,sd,u-45-1
sw2406A-ms98-a-0041,191.576000,191.636000,the,I,sd,u-45-1
sw2406A-ms98-a-0041,191.636000,192.016000,buck,I,sd,u-45-1
sw2406A-ms98-a-0041,192.016000,192.116250,i,I,sd,u-45-1
sw2406A-ms98-a-0041,192.116250,192.649625,guess,I,sd,u-45-1
sw2406A-ms98-a-0043,202.879500,203.011125,a,B,%,u-47-1
sw2406A-ms98-a-0043,203.011125,203.277500,lot,I,%,u-47-1
sw2406A-ms98-a-0043,203.277500,203.567500,of,I,%,u-47-1
sw2406A-ms98-a-0045,212.818125,213.288125,uh-huh,B,b,u-49-1
sw2406A-ms98-a-0046,214.365750,214.584250,yeah,B,b,u-51-1
sw2406A-ms98-a-0047,215.689875,215.804375,i,B,sd,u-53-1
sw2406A-ms98-a-0047,215.804375,216.004375,i,I,sd,u-53-1
sw2406A-ms98-a-0047,216.004375,216.554375,absorbed,I,sd,u-53-1
sw2406A-ms98-a-0047,216.554375,216.704375,all,I,sd,u-53-1
sw2406A-ms98-a-0047,216.704375,216.834375,of,I,sd,u-53-1
sw2406A-ms98-a-0047,216.834375,216.994375,that,I,sd,u-53-1
sw2406A-ms98-a-0047,216.994375,217.444375,movie,I,sd,u-53-1
sw2406A-ms98-a-0047,217.444375,217.594375,in,I,sd,u-53-1
sw2406A-ms98-a-0047,217.594375,217.864375,one,I,sd,u-53-1
sw2406A-ms98-a-0047,217.864375,218.427750,sitting,I,sd,u-53-1
sw2406A-ms98-a-0047,218.812250,219.330125,uh,B,sd,u-53-2
sw2406A-ms98-a-0048,220.023000,220.233000,i,I,sd,u-53-2
sw2406A-ms98-a-0048,220.233000,220.593000,guess,I,sd,u-53-2
sw2406A-ms98-a-0048,220.593000,220.893000,what,I,sd,u-53-2
sw2406A-ms98-a-0048,220.893000,221.123000,made,I,sd,u-53-2
sw2406A-ms98-a-0048,221.123000,221.223000,it,I,sd,u-53-2
sw2406A-ms98-a-0048,221.223000,221.433000,so,I,sd,u-53-2
sw2406A-ms98-a-0048,221.433000,221.703000,good,I,sd,u-53-2
sw2406A-ms98-a-0048,221.703000,221.973000,was,I,sd,u-53-2
sw2406A-ms98-a-0048,221.973000,222.656250,the,I,sd,u-53-2
sw2406A-ms98-a-0048,222.656250,222.989375,cinema[tography]-,I,sd,u-53-2
sw2406A-ms98-a-0048,222.989375,224.162375,cinematography,I,sd,u-53-2
sw2406A-ms98-a-0050,226.219875,226.676875,yeah,B,aa,u-55-1
sw2406A-ms98-a-0050,226.676875,227.078125,and,B,sd,u-55-2
sw2406A-ms98-a-0050,227.078125,227.148125,the,I,sd,u-55-2
sw2406A-ms98-a-0050,227.148125,227.858125,music,I,sd,u-55-2
sw2406A-ms98-a-0050,227.858125,228.218125,and,B,sd,u-55-3
sw2406A-ms98-a-0050,228.218125,228.468125,uh,I,sd,u-55-3
sw2406A-ms98-a-0050,228.468125,228.697625,well,I,sd,u-55-3
sw2406A-ms98-a-0050,228.697625,228.810625,it,I,sd,u-55-3
sw2406A-ms98-a-0050,228.810625,229.208125,had,I,sd,u-55-3
sw2406A-ms98-a-0050,229.208125,229.448125,an,I,sd,u-55-3
sw2406A-ms98-a-0050,229.448125,229.808125,excellent,I,sd,u-55-3
sw2406A-ms98-a-0050,229.808125,230.098125,story,I,sd,u-55-3
sw2406A-ms98-a-0050,230.098125,230.358125,line,I,sd,u-55-3
sw2406A-ms98-a-0050,230.358125,230.658125,Everything,B,sd,u-55-4
sw2406A-ms98-a-0050,230.658125,230.868125,about,I,sd,u-55-4
sw2406A-ms98-a-0050,230.868125,230.928125,it,I,sd,u-55-4
sw2406A-ms98-a-0050,230.928125,231.078125,was,I,sd,u-55-4
sw2406A-ms98-a-0050,231.078125,231.530500,good,I,sd,u-55-4
sw2406A-ms98-a-0051,232.734625,233.237875,um,B,sd,u-57-1
sw2406A-ms98-a-0051,233.799125,233.881500,i,I,sd,u-57-1
sw2406A-ms98-a-0051,233.881500,234.121500,thought,I,sd,u-57-1
sw2406A-ms98-a-0051,234.121500,234.191500,an,I,sd,u-57-1
sw2406A-ms98-a-0051,234.191500,234.561500,excellent,I,sd,u-57-1
sw2406A-ms98-a-0051,234.561500,234.721500,one,I,sd,u-57-1
sw2406A-ms98-a-0051,234.721500,234.901500,too,I,sd,u-57-1
sw2406A-ms98-a-0051,234.901500,235.181500,was,I,sd,u-57-1
sw2406A-ms98-a-0051,235.181500,235.921750,misery,I,sd,u-57-1
sw2406A-ms98-a-0052,236.769625,236.934750,with,I,sd,u-57-1
sw2406A-ms98-a-0052,236.934750,237.284750,Kathy,I,sd,u-57-1
sw2406A-ms98-a-0052,237.284750,238.294125,Bates,I,sd,u-57-1
sw2406A-ms98-a-0052,238.294125,238.794750,and,I,sd,u-57-1
sw2406A-ms98-a-0052,238.794750,239.084750,James,I,sd,u-57-1
sw2406A-ms98-a-0052,239.084750,239.484750,Caan,I,sd,u-57-1
sw2406A-ms98-a-0052,239.484750,239.584750,i'm,B,sd,u-57-2
sw2406A-ms98-a-0052,239.584750,239.684750,not,I,sd,u-57-2
sw2406A-ms98-a-0052,239.684750,239.754750,a,I,sd,u-57-2
sw2406A-ms98-a-0052,239.754750,240.154750,James,I,sd,u-57-2
sw2406A-ms98-a-0052,240.154750,240.584750,Caan,I,sd,u-57-2
sw2406A-ms98-a-0052,240.584750,241.044750,fan,I,sd,u-57-2
sw2406A-ms98-a-0052,241.044750,241.219375,but,B,sd,u-57-3
sw2406A-ms98-a-0053,243.203375,243.487625,that,I,sd,u-57-3
sw2406A-ms98-a-0053,243.487625,243.667625,was,I,sd,u-57-3
sw2406A-ms98-a-0053,243.667625,243.727625,a,I,sd,u-57-3
sw2406A-ms98-a-0053,243.727625,244.271125,well,I,sd,u-57-3
sw2406A-ms98-a-0053,244.726875,245.307625,directed,I,sd,u-57-3
sw2406A-ms98-a-0053,245.307625,245.657625,and,I,sd,u-57-3
sw2406A-ms98-a-0053,245.657625,245.987625,acted,I,sd,u-57-3
sw2406A-ms98-a-0053,245.987625,246.423375,movie,I,sd,u-57-3
sw2406A-ms98-a-0054,247.599125,247.806750,i'd,B,sd,u-59-1
sw2406A-ms98-a-0054,247.806750,248.376750,recommend,I,sd,u-59-1
sw2406A-ms98-a-0054,248.376750,248.526750,it,I,sd,u-59-1
sw2406A-ms98-a-0054,248.526750,248.946750,It's,B,sd,u-59-2
sw2406A-ms98-a-0054,248.946750,249.026750,a,I,sd,u-59-2
sw2406A-ms98-a-0054,249.026750,249.306750,little,I,sd,u-59-2
sw2406A-ms98-a-0054,249.306750,249.426750,on,I,sd,u-59-2
sw2406A-ms98-a-0054,249.426750,249.486750,the,I,sd,u-59-2
sw2406A-ms98-a-0054,249.486750,249.926750,violent,I,sd,u-59-2
sw2406A-ms98-a-0054,249.926750,250.484250,side,I,sd,u-59-2
sw2406A-ms98-a-0055,251.180000,251.336125,but,B,qh,u-61-1
sw2406A-ms98-a-0055,251.336125,251.544375,then,I,qh,u-61-1
sw2406A-ms98-a-0055,251.544375,251.704375,what,I,qh,u-61-1
sw2406A-ms98-a-0055,251.704375,252.024375,movie,I,qh,u-61-1
sw2406A-ms98-a-0055,252.024375,252.294375,isn't,I,qh,u-61-1
sw2406A-ms98-a-0055,252.294375,252.997250,anymore,I,qh,u-61-1
sw2406A-ms98-a-0057,266.579375,266.797500,well,B,sd,u-63-1
sw2406A-ms98-a-0057,266.797500,266.837500,i,I,sd,u-63-1
sw2406A-ms98-a-0057,266.837500,267.017500,have,I,sd,u-63-1
sw2406A-ms98-a-0057,267.017500,267.167500,no,I,sd,u-63-1
sw2406A-ms98-a-0057,267.167500,267.927500,objections,I,sd,u-63-1
sw2406A-ms98-a-0057,267.927500,268.127500,to,I,sd,u-63-1
sw2406A-ms98-a-0057,268.127500,268.317500,it,I,sd,u-63-1
sw2406A-ms98-a-0057,268.317500,268.547500,It's,B,%,u-63-2
sw2406A-ms98-a-0057,268.547500,268.877500,just,I,%,u-63-2
sw2406A-ms98-a-0057,268.877500,269.057500,uh,I,%,u-63-2
sw2406A-ms98-a-0057,269.057500,269.417500,and,B,sv,u-63-3
sw2406A-ms98-a-0057,269.417500,269.607500,it's,I,sv,u-63-3
sw2406A-ms98-a-0057,269.607500,269.637500,a,I,sv,u-63-3
sw2406A-ms98-a-0057,269.637500,269.877500,matter,I,sv,u-63-3
sw2406A-ms98-a-0057,269.877500,269.947500,of,I,sv,u-63-3
sw2406A-ms98-a-0057,269.947500,270.067500,your,I,sv,u-63-3
sw2406A-ms98-a-0057,270.067500,270.837500,taste,I,sv,u-63-3
sw2406A-ms98-a-0057,270.837500,271.328750,uh,I,sv,u-63-3
sw2406A-ms98-a-0059,278.519000,278.925750,yeah,B,ny,u-65-1
sw2406A-ms98-a-0061,283.965375,284.168750,and,B,sv,u-67-1
