sw4675B-ms98-a-0002,0.276625,0.436625,all,B,o,u-1-1
sw4675B-ms98-a-0005,16.991500,17.351500,include,I,sd,u-7-1
sw4675B-ms98-a-0005,17.351500,17.861500,everything,I,sd,u-7-1
sw4675B-ms98-a-0005,17.861500,18.231500,from,I,sd,u-7-1
sw4675B-ms98-a-0005,18.231500,18.749500,groceries,I,sd,u-7-1
sw4675B-ms98-a-0005,18.809750,18.921500,to,I,sd,u-7-1
sw4675B-ms98-a-0005,18.921500,19.451500,insurance,I,sd,u-7-1
sw4675B-ms98-a-0005,19.451500,19.551500,to,I,sd,u-7-1
sw4675B-ms98-a-0005,19.551500,19.761500,car,I,sd,u-7-1
sw4675B-ms98-a-0005,19.761500,20.171500,payments,I,sd,u-7-1
sw4675B-ms98-a-0005,20.171500,20.405750,to,I,sd,u-7-1
sw4675B-ms98-a-0005,20.484875,20.701500,credit,I,sd,u-7-1
sw4675B-ms98-a-0005,20.701500,20.861500,card,I,sd,u-7-1
sw4675B-ms98-a-0005,20.861500,21.261500,payments,I,sd,u-7-1
sw4675B-ms98-a-0005,21.261500,21.371500,you,I,sd,u-7-1
sw4675B-ms98-a-0005,21.371500,21.471500,know,I,sd,u-7-1
sw4675B-ms98-a-0005,21.521500,22.131500,everything,I,sd,u-7-1
sw4675B-ms98-a-0006,23.138000,23.288000,and,B,sv,u-9-1
sw4675B-ms98-a-0006,23.288000,23.405125,it,I,sv,u-9-1
sw4675B-ms98-a-0006,23.851125,24.148000,tends,I,sv,u-9-1
sw4675B-ms98-a-0006,24.148000,24.248000,to,I,sv,u-9-1
sw4675B-ms98-a-0006,24.248000,24.438000,work,I,sv,u-9-1
sw4675B-ms98-a-0006,24.438000,24.588000,out,I,sv,u-9-1
sw4675B-ms98-a-0006,24.588000,24.778000,pretty,I,sv,u-9-1
sw4675B-ms98-a-0006,24.778000,25.028000,well,I,sv,u-9-1
sw4675B-ms98-a-0006,25.028000,25.198000,that,I,sv,u-9-1
sw4675B-ms98-a-0006,25.198000,25.408000,way,I,sv,u-9-1
sw4675B-ms98-a-0006,25.408000,25.488000,i,B,sd,u-9-2
sw4675B-ms98-a-0006,25.488000,25.708000,can,I,sd,u-9-2
sw4675B-ms98-a-0006,25.708000,26.558000,anticipate,I,sd,u-9-2
sw4675B-ms98-a-0006,26.998000,27.128000,you,I,sd,u-9-2
sw4675B-ms98-a-0006,27.128000,27.298000,know,I,sd,u-9-2
sw4675B-ms98-a-0006,27.298000,27.328000,a,I,sd,u-9-2
sw4675B-ms98-a-0006,27.328000,27.518000,little,I,sd,u-9-2
sw4675B-ms98-a-0006,27.518000,27.818000,better,I,sd,u-9-2
sw4675B-ms98-a-0006,27.818000,27.908000,i,B,sd,u-9-3
sw4675B-ms98-a-0006,27.908000,28.218000,usually,I,sd,u-9-3
sw4675B-ms98-a-0006,28.218000,28.388000,try,I,sd,u-9-3
sw4675B-ms98-a-0006,28.388000,28.468000,to,I,sd,u-9-3
sw4675B-ms98-a-0006,28.468000,29.088000,guesstimate,I,sd,u-9-3
sw4675B-ms98-a-0006,29.088000,29.198000,and,B,sd,u-9-4
sw4675B-ms98-a-0006,29.198000,29.288000,then,I,sd,u-9-4
sw4675B-ms98-a-0006,29.288000,29.378000,when,I,sd,u-9-4
sw4675B-ms98-a-0006,29.378000,29.448000,the,I,sd,u-9-4
sw4675B-ms98-a-0006,29.448000,29.728000,bill,I,sd,u-9-4
sw4675B-ms98-a-0006,29.728000,30.008000,actually,I,sd,u-9-4
sw4675B-ms98-a-0006,30.008000,30.358000,comes,I,sd,u-9-4
sw4675B-ms98-a-0006,30.358000,30.782125,in,I,sd,u-9-4
sw4675B-ms98-a-0006,31.419500,31.521250,i,I,sd,u-9-4
sw4675B-ms98-a-0006,31.521250,31.638000,go,I,sd,u-9-4
sw4675B-ms98-a-0006,31.638000,31.848000,ahead,I,sd,u-9-4
sw4675B-ms98-a-0006,31.848000,31.978000,and,I,sd,u-9-4
sw4675B-ms98-a-0006,31.978000,32.198000,fill,I,sd,u-9-4
sw4675B-ms98-a-0006,32.198000,32.318000,in,I,sd,u-9-4
sw4675B-ms98-a-0006,32.318000,32.378000,the,I,sd,u-9-4
sw4675B-ms98-a-0006,32.378000,32.838000,actual,I,sd,u-9-4
sw4675B-ms98-a-0006,32.838000,33.318000,amount,I,sd,u-9-4
sw4675B-ms98-a-0007,34.315500,34.478500,that,B,sd,u-11-1
sw4675B-ms98-a-0007,34.478500,34.658500,way,I,sd,u-11-1
sw4675B-ms98-a-0007,34.658500,34.728500,i,I,sd,u-11-1
sw4675B-ms98-a-0007,34.728500,34.898500,know,I,sd,u-11-1
sw4675B-ms98-a-0007,34.898500,35.038500,how,I,sd,u-11-1
sw4675B-ms98-a-0007,35.038500,35.238500,much,I,sd,u-11-1
sw4675B-ms98-a-0007,35.238500,35.608500,pocket,I,sd,u-11-1
sw4675B-ms98-a-0007,35.608500,35.928500,change,I,sd,u-11-1
sw4675B-ms98-a-0007,35.928500,35.988500,i'm,I,sd,u-11-1
sw4675B-ms98-a-0007,35.988500,36.108500,going,I,sd,u-11-1
sw4675B-ms98-a-0007,36.108500,36.168500,to,I,sd,u-11-1
sw4675B-ms98-a-0007,36.168500,36.298500,have,I,sd,u-11-1
sw4675B-ms98-a-0007,36.298500,36.655625,left,I,sd,u-11-1
sw4675B-ms98-a-0007,36.655625,36.779875,[laughter-at],I,sd,u-11-1
sw4675B-ms98-a-0007,36.779875,36.848500,[laughter-the],I,sd,u-11-1
sw4675B-ms98-a-0007,36.848500,37.018500,[laughter-end],I,sd,u-11-1
sw4675B-ms98-a-0007,37.018500,37.138500,of,I,sd,u-11-1
sw4675B-ms98-a-0007,37.138500,37.288500,the,I,sd,u-11-1
sw4675B-ms98-a-0007,37.288500,37.843250,month,I,sd,u-11-1
sw4675B-ms98-a-0007,37.908500,37.978500,or,B,+,u-13-1
sw4675B-ms98-a-0007,37.978500,38.058500,at,I,+,u-13-1
sw4675B-ms98-a-0007,38.058500,38.138500,the,I,+,u-13-1
sw4675B-ms98-a-0007,38.138500,38.278500,end,I,+,u-13-1
sw4675B-ms98-a-0007,38.278500,38.327875,of,I,+,u-13-1
sw4675B-ms98-a-0007,38.327875,38.407000,the,I,+,u-13-1
sw4675B-ms98-a-0007,38.407000,38.838500,paycheck,I,+,u-13-1
sw4675B-ms98-a-0007,38.838500,39.148500,anyway,I,+,u-13-1
sw4675B-ms98-a-0008,40.029750,40.249750,so,B,sd,u-15-1
sw4675B-ms98-a-0008,40.249750,40.482375,that,I,sd,u-15-1
sw4675B-ms98-a-0008,40.590250,40.919750,works,I,sd,u-15-1
sw4675B-ms98-a-0008,40.919750,41.199750,okay,I,sd,u-15-1
sw4675B-ms98-a-0008,41.199750,41.329750,for,I,sd,u-15-1
sw4675B-ms98-a-0008,41.329750,41.539750,me,I,sd,u-15-1
sw4675B-ms98-a-0010,46.039750,46.359750,right,B,b,u-17-1
sw4675B-ms98-a-0012,49.713375,50.038000,uh-huh,B,b,u-19-1
sw4675B-ms98-a-0012,50.242375,50.361375,same,B,sd,u-19-2
sw4675B-ms98-a-0012,50.425375,50.633375,here,I,sd,u-19-2
sw4675B-ms98-a-0014,59.295000,59.415750,uh-huh,B,b,u-21-1
sw4675B-ms98-a-0015,60.411750,60.771750,um-hum,O,,
sw4675B-ms98-a-0017,63.520375,63.658125,oh,B,b,u-23-1
sw4675B-ms98-a-0017,63.658125,64.020375,okay,I,b,u-23-1
sw4675B-ms98-a-0019,68.035500,68.448375,um-hum,B,b,u-25-1
sw4675B-ms98-a-0021,77.556875,77.866875,right,B,b,u-27-1
sw4675B-ms98-a-0021,77.866875,78.206875,luckily,B,sd,u-27-2
sw4675B-ms98-a-0021,78.206875,78.306875,i,I,sd,u-27-2
sw4675B-ms98-a-0021,78.306875,78.636875,don't,I,sd,u-27-2
sw4675B-ms98-a-0021,78.636875,78.956875,either,I,sd,u-27-2
sw4675B-ms98-a-0021,78.956875,79.032250,i,B,sd,u-27-3
sw4675B-ms98-a-0021,79.032250,79.356250,mean,I,sd,u-27-3
sw4675B-ms98-a-0021,79.406875,79.476875,you,I,sd,u-27-3
sw4675B-ms98-a-0021,79.476875,79.696875,know,I,sd,u-27-3
sw4675B-ms98-a-0021,80.166875,80.386875,maybe,B,+,u-29-1
sw4675B-ms98-a-0021,80.386875,80.526875,my,I,+,u-29-1
sw4675B-ms98-a-0021,80.526875,80.876875,cat,I,+,u-29-1
sw4675B-ms98-a-0021,80.876875,81.026875,would,I,+,u-29-1
sw4675B-ms98-a-0021,81.026875,81.246875,get,I,+,u-29-1
sw4675B-ms98-a-0021,81.246875,81.666875,sick,I,+,u-29-1
sw4675B-ms98-a-0021,81.666875,81.826875,but,B,sd,u-29-2
sw4675B-ms98-a-0021,81.826875,81.856875,i,I,sd,u-29-2
sw4675B-ms98-a-0021,81.856875,82.066875,mean,I,sd,u-29-2
sw4675B-ms98-a-0021,82.066875,82.336875,usually,I,sd,u-29-2
sw4675B-ms98-a-0021,82.336875,82.576875,that's,I,sd,u-29-2
sw4675B-ms98-a-0021,82.576875,82.756875,not,I,sd,u-29-2
sw4675B-ms98-a-0021,82.756875,82.896875,so,I,sd,u-29-2
sw4675B-ms98-a-0021,82.896875,83.176875,much,I,sd,u-29-2
sw4675B-ms98-a-0021,83.176875,83.296875,that,I,sd,u-29-2
sw4675B-ms98-a-0021,83.296875,83.386875,it,I,sd,u-29-2
sw4675B-ms98-a-0021,83.386875,83.526875,would,I,sd,u-29-2
sw4675B-ms98-a-0021,83.526875,83.756875,throw,I,sd,u-29-2
sw4675B-ms98-a-0021,83.756875,83.906875,me,I,sd,u-29-2
sw4675B-ms98-a-0021,83.906875,84.328500,off,I,sd,u-29-2
sw4675B-ms98-a-0023,88.209375,88.379750,[laughter-but],O,,
sw4675B-ms98-a-0023,88.379750,88.649750,[laughter-you],O,,
sw4675B-ms98-a-0023,88.649750,88.779750,so,B,qy^d,u-31-1
sw4675B-ms98-a-0023,88.779750,88.999750,you,I,qy^d,u-31-1
sw4675B-ms98-a-0023,88.999750,89.149750,know,I,qy^d,u-31-1
sw4675B-ms98-a-0023,89.149750,89.279750,what,I,qy^d,u-31-1
sw4675B-ms98-a-0023,89.279750,89.449750,i'm,I,qy^d,u-31-1
sw4675B-ms98-a-0023,89.449750,89.953125,saying,I,qy^d,u-31-1
sw4675B-ms98-a-0023,90.533125,90.782750,yeah,B,%,u-31-2
sw4675B-ms98-a-0025,92.926875,93.236875,i,B,%,u-33-1
sw4675B-ms98-a-0025,93.303500,93.696875,sometimes,B,na,u-33-2
sw4675B-ms98-a-0025,93.696875,93.786875,it,I,na,u-33-2
sw4675B-ms98-a-0025,93.786875,94.026875,can,I,na,u-33-2
sw4675B-ms98-a-0025,94.026875,94.336875,be,I,na,u-33-2
sw4675B-ms98-a-0025,94.336875,94.786875,sometimes,B,na^m,u-35-1
sw4675B-ms98-a-0025,94.786875,94.886875,it,I,na^m,u-35-1
sw4675B-ms98-a-0025,94.886875,95.086875,can,I,na^m,u-35-1
sw4675B-ms98-a-0025,95.086875,95.326875,be,I,na^m,u-35-1
sw4675B-ms98-a-0025,95.326875,95.416875,i,B,sd,u-35-2
sw4675B-ms98-a-0025,95.416875,95.636875,guess,I,sd,u-35-2
sw4675B-ms98-a-0025,95.636875,95.716875,the,I,sd,u-35-2
sw4675B-ms98-a-0025,95.716875,95.976875,worst,I,sd,u-35-2
sw4675B-ms98-a-0025,95.976875,96.106875,thing,I,sd,u-35-2
sw4675B-ms98-a-0025,96.106875,96.186875,i've,I,sd,u-35-2
sw4675B-ms98-a-0025,96.186875,96.296875,ever,I,sd,u-35-2
sw4675B-ms98-a-0025,96.296875,96.446875,had,I,sd,u-35-2
sw4675B-ms98-a-0025,96.446875,96.596875,come,I,sd,u-35-2
sw4675B-ms98-a-0025,96.596875,96.753625,out,I,sd,u-35-2
sw4675B-ms98-a-0025,96.852750,97.007125,is,I,sd,u-35-2
sw4675B-ms98-a-0025,97.007125,97.216875,like,I,sd,u-35-2
sw4675B-ms98-a-0025,97.216875,97.646875,car,I,sd,u-35-2
sw4675B-ms98-a-0025,97.916875,98.296875,maintenance,I,sd,u-35-2
sw4675B-ms98-a-0025,98.296875,98.606875,kinds,I,sd,u-35-2
sw4675B-ms98-a-0025,98.606875,98.696875,of,I,sd,u-35-2
sw4675B-ms98-a-0025,98.696875,99.156875,things,I,sd,u-35-2
sw4675B-ms98-a-0026,99.907875,100.020625,but,B,sd,u-37-1
sw4675B-ms98-a-0026,100.020625,100.090625,i,I,sd,u-37-1
sw4675B-ms98-a-0026,100.090625,100.260625,do,I,sd,u-37-1
sw4675B-ms98-a-0026,100.260625,100.470625,try,I,sd,u-37-1
sw4675B-ms98-a-0026,100.470625,100.630625,to,I,sd,u-37-1
sw4675B-ms98-a-0026,100.630625,100.890625,build,I,sd,u-37-1
sw4675B-ms98-a-0026,100.890625,101.000625,in,I,sd,u-37-1
sw4675B-ms98-a-0026,101.000625,101.080625,a,I,sd,u-37-1
sw4675B-ms98-a-0026,101.080625,101.330625,little,I,sd,u-37-1
sw4675B-ms98-a-0026,101.330625,101.700625,extra,I,sd,u-37-1
sw4675B-ms98-a-0026,101.700625,102.135750,money,I,sd,u-37-1
sw4675B-ms98-a-0026,102.934250,103.220625,each,I,sd,u-37-1
sw4675B-ms98-a-0026,103.220625,103.690625,month,I,sd,u-37-1
sw4675B-ms98-a-0026,103.690625,103.952500,to,I,sd,u-37-1
sw4675B-ms98-a-0026,104.005125,104.100625,to,I,sd,u-37-1
sw4675B-ms98-a-0026,104.100625,104.180625,be,I,sd,u-37-1
sw4675B-ms98-a-0026,104.180625,104.330625,able,I,sd,u-37-1
sw4675B-ms98-a-0026,104.330625,104.440625,to,I,sd,u-37-1
sw4675B-ms98-a-0026,104.440625,104.600625,do,I,sd,u-37-1
sw4675B-ms98-a-0026,104.600625,104.780625,that,I,sd,u-37-1
sw4675B-ms98-a-0026,104.780625,105.030625,type,I,sd,u-37-1
sw4675B-ms98-a-0026,105.030625,105.140625,of,I,sd,u-37-1
sw4675B-ms98-a-0026,105.140625,105.465875,thing,I,sd,u-37-1
sw4675B-ms98-a-0026,105.872625,106.211375,so,B,%,u-37-2
sw4675B-ms98-a-0028,112.753750,113.000375,um-hum,B,b,u-39-1
sw4675B-ms98-a-0030,116.037125,116.140375,oh,B,b,u-41-1
sw4675B-ms98-a-0030,116.140375,116.421625,uh-huh,I,b,u-41-1
sw4675B-ms98-a-0032,118.354375,118.484375,ooh,O,,
sw4675B-ms98-a-0032,118.484375,118.804375,that's,B,ba,u-43-1
sw4675B-ms98-a-0032,118.804375,119.171000,tough,I,ba,u-43-1
sw4675B-ms98-a-0033,120.169000,120.279375,my,B,sd,u-45-1
sw4675B-ms98-a-0033,120.279375,120.639375,roommate,I,sd,u-45-1
sw4675B-ms98-a-0033,120.639375,120.849375,only,I,sd,u-45-1
sw4675B-ms98-a-0033,120.849375,121.029375,gets,I,sd,u-45-1
sw4675B-ms98-a-0033,121.029375,121.269375,paid,I,sd,u-45-1
sw4675B-ms98-a-0033,121.269375,121.489375,once,I,sd,u-45-1
sw4675B-ms98-a-0033,121.489375,121.539375,a,I,sd,u-45-1
sw4675B-ms98-a-0033,121.539375,121.933875,month,I,sd,u-45-1
sw4675B-ms98-a-0034,122.505750,122.753500,and,B,sd,u-45-2
sw4675B-ms98-a-0034,123.442750,123.552500,that,B,+,u-47-1
sw4675B-ms98-a-0034,123.552500,123.792500,last,I,+,u-47-1
sw4675B-ms98-a-0034,123.792500,124.072500,week's,I,+,u-47-1
sw4675B-ms98-a-0034,124.072500,124.352500,pretty,I,+,u-47-1
sw4675B-ms98-a-0034,124.352500,124.752500,lean,I,+,u-47-1
sw4675B-ms98-a-0034,124.752500,125.172500,generally,I,+,u-47-1
sw4675B-ms98-a-0034,125.172500,125.752500,[laughter-speaking],O,,
sw4675B-ms98-a-0034,125.752500,126.127750,so,B,%,u-47-2
sw4675B-ms98-a-0036,132.696500,132.996500,right,B,b,u-49-1
sw4675B-ms98-a-0036,132.996500,133.136500,i,B,sd,u-49-2
sw4675B-ms98-a-0036,133.136500,133.526500,for,I,sd,u-49-2
sw4675B-ms98-a-0036,133.526500,133.716500,for,I,sd,u-49-2
sw4675B-ms98-a-0036,133.716500,134.096500,years,I,sd,u-49-2
sw4675B-ms98-a-0036,134.096500,134.286500,got,I,sd,u-49-2
sw4675B-ms98-a-0036,134.286500,134.526500,paid,I,sd,u-49-2
sw4675B-ms98-a-0036,134.526500,134.746500,once,I,sd,u-49-2
sw4675B-ms98-a-0036,134.746500,134.786500,a,I,sd,u-49-2
sw4675B-ms98-a-0036,134.786500,135.016500,month,I,sd,u-49-2
sw4675B-ms98-a-0036,135.016500,135.166500,and,B,sd,u-49-3
sw4675B-ms98-a-0036,135.166500,135.316500,and,I,sd,u-49-3
sw4675B-ms98-a-0036,135.316500,135.446500,in,I,sd,u-49-3
sw4675B-ms98-a-0036,135.446500,135.736500,ways,I,sd,u-49-3
sw4675B-ms98-a-0036,135.736500,135.846500,i,I,sd,u-49-3
sw4675B-ms98-a-0036,135.846500,136.156500,liked,I,sd,u-49-3
sw4675B-ms98-a-0036,136.156500,136.276500,it,I,sd,u-49-3
sw4675B-ms98-a-0036,136.276500,136.536500,because,I,sd,u-49-3
sw4675B-ms98-a-0036,136.536500,136.606500,i,I,sd,u-49-3
sw4675B-ms98-a-0036,136.606500,136.756500,could,I,sd,u-49-3
sw4675B-ms98-a-0036,136.756500,136.876500,go,I,sd,u-49-3
sw4675B-ms98-a-0036,136.876500,137.056500,ahead,I,sd,u-49-3
sw4675B-ms98-a-0036,137.056500,137.166500,and,I,sd,u-49-3
sw4675B-ms98-a-0036,137.166500,137.385750,pay,I,sd,u-49-3
sw4675B-ms98-a-0036,137.457375,137.706500,all,I,sd,u-49-3
sw4675B-ms98-a-0036,137.706500,137.906500,my,I,sd,u-49-3
sw4675B-ms98-a-0036,137.906500,138.474500,bills,I,sd,u-49-3
sw4675B-ms98-a-0036,138.474500,138.656500,at,I,sd,u-49-3
sw4675B-ms98-a-0036,138.656500,139.156125,once,I,sd,u-49-3
sw4675B-ms98-a-0037,139.849250,139.968625,there's,B,sd,u-51-1
sw4675B-ms98-a-0037,139.968625,140.378625,always,I,sd,u-51-1
sw4675B-ms98-a-0037,140.378625,140.608625,one,I,sd,u-51-1
sw4675B-ms98-a-0037,140.608625,140.688625,or,I,sd,u-51-1
sw4675B-ms98-a-0037,140.688625,140.878625,two,I,sd,u-51-1
sw4675B-ms98-a-0037,140.878625,141.638625,stragglers,I,sd,u-51-1
sw4675B-ms98-a-0037,141.638625,141.768625,that,I,sd,u-51-1
sw4675B-ms98-a-0037,141.768625,142.088625,usually,I,sd,u-51-1
sw4675B-ms98-a-0037,142.088625,142.238625,they,I,sd,u-51-1
sw4675B-ms98-a-0037,142.238625,142.418625,were,I,sd,u-51-1
sw4675B-ms98-a-0037,142.898625,142.998625,for,B,sd,u-51-2
sw4675B-ms98-a-0037,142.998625,143.168625,me,I,sd,u-51-2
sw4675B-ms98-a-0037,143.168625,143.298625,it,I,sd,u-51-2
sw4675B-ms98-a-0037,143.298625,143.558625,worked,I,sd,u-51-2
sw4675B-ms98-a-0037,143.558625,143.678625,out,I,sd,u-51-2
sw4675B-ms98-a-0037,143.678625,143.788625,that,I,sd,u-51-2
sw4675B-ms98-a-0037,143.788625,143.888625,they,I,sd,u-51-2
sw4675B-ms98-a-0037,143.888625,144.018625,were,I,sd,u-51-2
sw4675B-ms98-a-0037,144.018625,144.118625,the,I,sd,u-51-2
sw4675B-ms98-a-0037,144.118625,144.628625,smaller,I,sd,u-51-2
sw4675B-ms98-a-0037,144.628625,144.959250,ones,I,sd,u-51-2
sw4675B-ms98-a-0038,146.050750,146.171625,but,B,sd,u-53-1
sw4675B-ms98-a-0038,146.171625,146.221625,i,I,sd,u-53-1
sw4675B-ms98-a-0038,146.221625,146.381625,would,I,sd,u-53-1
sw4675B-ms98-a-0038,146.381625,146.571625,pay,I,sd,u-53-1
sw4675B-ms98-a-0038,146.571625,146.801625,all,I,sd,u-53-1
sw4675B-ms98-a-0038,146.801625,146.871625,of,I,sd,u-53-1
sw4675B-ms98-a-0038,146.871625,147.011625,them,I,sd,u-53-1
sw4675B-ms98-a-0038,147.011625,147.131625,at,I,sd,u-53-1
sw4675B-ms98-a-0038,147.131625,147.361625,one,I,sd,u-53-1
sw4675B-ms98-a-0038,147.361625,147.841625,sitting,I,sd,u-53-1
sw4675B-ms98-a-0038,147.841625,148.011625,and,B,sd(^q),u-53-2
sw4675B-ms98-a-0038,148.011625,148.041625,i,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,148.041625,148.251625,would,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,148.251625,148.751625,know,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.071625,149.291625,okay,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.291625,149.401625,you,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.401625,149.541625,can,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.541625,149.661625,go,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.661625,149.901625,spend,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,149.901625,150.051625,this,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,150.051625,150.221625,much,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,150.221625,150.351625,on,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,150.351625,150.821625,groceries,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,150.821625,151.371625,now,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,151.371625,151.561625,and,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,151.561625,151.631625,you,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,151.631625,151.791625,get,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,151.791625,151.971625,this,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,151.971625,152.161625,much,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.161625,152.211625,a,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.211625,152.461625,week,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.461625,152.581625,and,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.581625,152.751625,that,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.751625,152.922750,is,I,sd(^q),u-53-2
sw4675B-ms98-a-0038,152.922750,153.316125,it,I,sd(^q),u-53-2
sw4675B-ms98-a-0039,154.331125,154.572375,and,B,sd,u-55-1
sw4675B-ms98-a-0039,154.572375,154.702375,and,I,sd,u-55-1
sw4675B-ms98-a-0039,154.702375,154.862375,that,I,sd,u-55-1
sw4675B-ms98-a-0039,154.862375,155.052375,worked,I,sd,u-55-1
sw4675B-ms98-a-0039,155.052375,155.302375,okay,I,sd,u-55-1
sw4675B-ms98-a-0039,155.302375,155.452375,for,I,sd,u-55-1
sw4675B-ms98-a-0039,155.452375,155.737125,me,I,sd,u-55-1
sw4675B-ms98-a-0040,156.436250,156.506250,i,B,h,u-57-1
sw4675B-ms98-a-0040,156.506250,156.636250,don't,I,h,u-57-1
sw4675B-ms98-a-0040,156.636250,156.849375,know,I,h,u-57-1
sw4675B-ms98-a-0040,157.225000,157.396250,right,B,sv,u-59-1
sw4675B-ms98-a-0040,157.396250,157.596250,now,I,sv,u-59-1
sw4675B-ms98-a-0040,157.596250,157.766250,i,I,sv,u-59-1
sw4675B-ms98-a-0040,157.766250,157.976250,i'm,I,sv,u-59-1
sw4675B-ms98-a-0040,157.976250,158.066250,in,I,sv,u-59-1
sw4675B-ms98-a-0040,158.066250,158.136250,the,I,sv,u-59-1
sw4675B-ms98-a-0040,158.136250,158.446250,mode,I,sv,u-59-1
sw4675B-ms98-a-0040,158.446250,158.536250,of,I,sv,u-59-1
sw4675B-ms98-a-0040,158.536250,158.806250,trying,I,sv,u-59-1
