sw4002A-ms98-a-0002,0.890000,1.269625,[laughter-okay],O,,
sw4002A-ms98-a-0011,26.171875,26.361875,then,I,+,u-10-1
sw4002A-ms98-a-0011,26.361875,26.591875,bought,I,+,u-10-1
sw4002A-ms98-a-0011,26.591875,26.826750,one,I,+,u-10-1
sw4002A-ms98-a-0011,26.826750,27.116875,in,I,+,u-10-1
sw4002A-ms98-a-0011,27.116875,27.391875,eighty,I,+,u-10-1
sw4002A-ms98-a-0011,27.391875,27.887000,nine,I,+,u-10-1
sw4002A-ms98-a-0012,29.295000,29.698750,and,B,%,u-12-1
sw4002A-ms98-a-0012,29.698750,29.948750,uh,I,%,u-12-1
sw4002A-ms98-a-0014,32.059125,32.180625,wait,B,^h,u-12-2
sw4002A-ms98-a-0014,32.180625,32.210625,a,I,^h,u-12-2
sw4002A-ms98-a-0014,32.210625,32.380625,minute,I,^h,u-12-2
sw4002A-ms98-a-0014,32.380625,32.500625,we,B,sd,u-12-3
sw4002A-ms98-a-0014,32.500625,32.720625,bought,I,sd,u-12-3
sw4002A-ms98-a-0014,32.720625,32.890625,one,I,sd,u-12-3
sw4002A-ms98-a-0014,32.890625,33.000625,in,I,sd,u-12-3
sw4002A-ms98-a-0014,33.000625,33.465875,ninety,I,sd,u-12-3
sw4002A-ms98-a-0014,33.612750,33.830625,we've,B,sd,u-12-4
sw4002A-ms98-a-0014,33.830625,33.990625,[laughter-got],I,sd,u-12-4
sw4002A-ms98-a-0014,33.990625,34.200625,three,I,sd,u-12-4
sw4002A-ms98-a-0014,34.200625,34.580625,cars,I,sd,u-12-4
sw4002A-ms98-a-0014,34.580625,34.700625,of,I,sd,u-12-4
sw4002A-ms98-a-0014,34.700625,34.880625,all,I,sd,u-12-4
sw4002A-ms98-a-0014,34.880625,35.191375,things,I,sd,u-12-4
sw4002A-ms98-a-0015,36.188750,36.650625,so,B,sd,u-14-1
sw4002A-ms98-a-0015,36.845875,37.312250,uh,I,sd,u-14-1
sw4002A-ms98-a-0017,38.707750,39.553250,probably,I,sd,u-14-1
sw4002A-ms98-a-0018,40.321125,40.554375,we'll,I,sd,u-14-1
sw4002A-ms98-a-0018,40.554375,40.889000,be,I,sd,u-14-1
sw4002A-ms98-a-0018,40.999000,41.419000,in,I,sd,u-14-1
sw4002A-ms98-a-0018,41.519000,41.629000,at,I,sd,u-14-1
sw4002A-ms98-a-0018,41.629000,41.969000,least,I,sd,u-14-1
sw4002A-ms98-a-0018,41.969000,42.019000,a,I,sd,u-14-1
sw4002A-ms98-a-0018,42.019000,42.599000,midsize,I,sd,u-14-1
sw4002A-ms98-a-0018,42.599000,42.839000,four,I,sd,u-14-1
sw4002A-ms98-a-0018,42.839000,43.059000,door,I,sd,u-14-1
sw4002A-ms98-a-0018,43.059000,43.684500,sedan,I,sd,u-14-1
sw4002A-ms98-a-0020,47.389875,47.669875,uh,B,sd,u-16-1
sw4002A-ms98-a-0020,47.669875,47.839875,we,I,sd,u-16-1
sw4002A-ms98-a-0020,47.839875,48.069875,have,I,sd,u-16-1
sw4002A-ms98-a-0020,48.069875,48.305250,a,I,sd,u-16-1
sw4002A-ms98-a-0020,48.425750,48.499875,a,I,sd,u-16-1
sw4002A-ms98-a-0020,48.499875,48.959875,Mazda,I,sd,u-16-1
sw4002A-ms98-a-0020,48.959875,49.239875,nine,I,sd,u-16-1
sw4002A-ms98-a-0020,49.239875,49.519875,twenty,I,sd,u-16-1
sw4002A-ms98-a-0020,49.519875,50.071875,nine,I,sd,u-16-1
sw4002A-ms98-a-0021,50.998375,51.553375,and,I,sd,u-16-1
sw4002A-ms98-a-0021,51.553375,51.681375,a,I,sd,u-16-1
sw4002A-ms98-a-0021,51.681375,51.997625,Ford,I,sd,u-16-1
sw4002A-ms98-a-0021,51.997625,52.317625,Crown,I,sd,u-16-1
sw4002A-ms98-a-0021,52.317625,53.125750,Victoria,I,sd,u-16-1
sw4002A-ms98-a-0022,53.944625,54.403000,and,I,sd,u-16-1
sw4002A-ms98-a-0022,54.503000,54.583000,a,I,sd,u-16-1
sw4002A-ms98-a-0022,54.583000,54.773000,little,I,sd,u-16-1
sw4002A-ms98-a-0022,54.773000,55.013000,two,I,sd,u-16-1
sw4002A-ms98-a-0022,55.013000,55.343000,seater,I,sd,u-16-1
sw4002A-ms98-a-0022,55.343000,56.311375,CRX,O,,
sw4002A-ms98-a-0024,59.038250,59.519875,uh,B,sv,u-18-1
sw4002A-ms98-a-0026,62.819750,62.992125,it's,I,sv,u-18-1
sw4002A-ms98-a-0026,62.992125,63.202125,rather,I,sv,u-18-1
sw4002A-ms98-a-0026,63.202125,63.742125,difficult,I,sv,u-18-1
sw4002A-ms98-a-0026,63.742125,63.925000,to,I,sv,u-18-1
sw4002A-ms98-a-0026,64.030500,64.202125,to,I,sv,u-18-1
sw4002A-ms98-a-0026,64.202125,64.732125,project,I,sv,u-18-1
sw4002A-ms98-a-0026,64.732125,64.882125,what,I,sv,u-18-1
sw4002A-ms98-a-0026,64.882125,65.112125,kind,I,sv,u-18-1
sw4002A-ms98-a-0026,65.112125,65.306625,of,I,sv,u-18-1
sw4002A-ms98-a-0028,66.725250,67.020875,uh,I,sv,u-18-1
sw4002A-ms98-a-0028,67.456875,67.750375,we'd,B,sd,u-18-2
sw4002A-ms98-a-0029,68.766875,69.003000,look,I,sd,u-18-2
sw4002A-ms98-a-0029,69.003000,69.433000,always,I,sd,u-18-2
sw4002A-ms98-a-0029,69.433000,69.643000,look,I,sd,u-18-2
sw4002A-ms98-a-0029,69.643000,70.293000,into,I,sd,u-18-2
sw4002A-ms98-a-0029,70.293000,70.453000,uh,I,sd,u-18-2
sw4002A-ms98-a-0029,70.453000,71.063000,consumer,I,sd,u-18-2
sw4002A-ms98-a-0029,71.063000,71.803000,reports,I,sd,u-18-2
sw4002A-ms98-a-0029,71.803000,72.013000,to,I,sd,u-18-2
sw4002A-ms98-a-0029,72.013000,72.303250,see,I,sd,u-18-2
sw4002A-ms98-a-0029,72.435125,72.653000,what,I,sd,u-18-2
sw4002A-ms98-a-0029,72.653000,73.033000,kind,I,sd,u-18-2
sw4002A-ms98-a-0029,73.033000,73.213500,of,I,sd,u-18-2
sw4002A-ms98-a-0029,73.444500,73.737500,uh,I,sd,u-18-2
sw4002A-ms98-a-0030,74.772125,75.522000,report,I,sd,u-18-2
sw4002A-ms98-a-0030,75.699000,75.957750,or,I,sd,u-18-2
sw4002A-ms98-a-0030,75.957750,76.552125,uh,I,sd,u-18-2
sw4002A-ms98-a-0030,76.552125,77.003750,uh,I,sd,u-18-2
sw4002A-ms98-a-0031,78.282250,78.810750,repair,I,sd,u-18-2
sw4002A-ms98-a-0031,78.810750,79.417375,records,I,sd,u-18-2
sw4002A-ms98-a-0031,79.568000,79.730750,that,I,sd,u-18-2
sw4002A-ms98-a-0031,79.730750,79.810750,the,I,sd,u-18-2
sw4002A-ms98-a-0031,79.810750,80.260750,various,I,sd,u-18-2
sw4002A-ms98-a-0031,80.260750,80.663125,cars,I,sd,u-18-2
sw4002A-ms98-a-0031,80.854625,81.330875,have,I,sd,u-18-2
sw4002A-ms98-a-0032,82.167375,82.269125,and,B,sd,u-20-1
sw4002A-ms98-a-0032,82.269125,82.369125,then,I,sd,u-20-1
sw4002A-ms98-a-0032,82.369125,82.439125,of,I,sd,u-20-1
sw4002A-ms98-a-0032,82.439125,82.729125,course,I,sd,u-20-1
sw4002A-ms98-a-0032,82.729125,82.839125,we,I,sd,u-20-1
sw4002A-ms98-a-0032,82.839125,82.999125,look,I,sd,u-20-1
sw4002A-ms98-a-0032,82.999125,83.219125,into,I,sd,u-20-1
sw4002A-ms98-a-0032,83.219125,83.305375,the,I,sd,u-20-1
sw4002A-ms98-a-0032,83.394500,84.001125,prices,I,sd,u-20-1
sw4002A-ms98-a-0034,85.433625,85.753625,and,B,sd,u-22-1
sw4002A-ms98-a-0034,85.753625,85.983625,uh,I,sd,u-22-1
sw4002A-ms98-a-0035,86.924250,87.061000,f[or]-,I,sd,u-22-1
sw4002A-ms98-a-0035,87.199375,87.655250,uh,I,sd,u-22-1
sw4002A-ms98-a-0035,88.209000,88.380750,we're,I,sd,u-22-1
sw4002A-ms98-a-0035,88.380750,88.640750,not,I,sd,u-22-1
sw4002A-ms98-a-0035,88.640750,89.070750,adverse,I,sd,u-22-1
sw4002A-ms98-a-0035,89.070750,89.240750,to,I,sd,u-22-1
sw4002A-ms98-a-0035,89.240750,89.752250,buying,I,sd,u-22-1
sw4002A-ms98-a-0035,89.963250,90.250750,along,I,sd,u-22-1
sw4002A-ms98-a-0035,90.250750,90.350750,in,I,sd,u-22-1
sw4002A-ms98-a-0035,90.350750,90.440750,the,I,sd,u-22-1
sw4002A-ms98-a-0035,90.440750,90.940750,summer,I,sd,u-22-1
sw4002A-ms98-a-0036,91.615250,91.771000,when,I,sd,u-22-1
sw4002A-ms98-a-0037,92.577375,92.724500,when,I,sd,u-22-1
sw4002A-ms98-a-0037,92.724500,92.833125,the,I,sd,u-22-1
sw4002A-ms98-a-0037,92.833125,93.137125,cars,I,sd,u-22-1
sw4002A-ms98-a-0037,93.137125,93.267125,could,I,sd,u-22-1
sw4002A-ms98-a-0037,93.267125,93.467125,get,I,sd,u-22-1
sw4002A-ms98-a-0037,93.467125,93.537125,to,I,sd,u-22-1
sw4002A-ms98-a-0037,93.537125,93.677125,be,I,sd,u-22-1
sw4002A-ms98-a-0037,93.677125,94.327500,discounted,I,sd,u-22-1
sw4002A-ms98-a-0037,94.425500,94.727125,because,B,sd,u-22-2
sw4002A-ms98-a-0037,94.727125,94.847125,we,I,sd,u-22-2
sw4002A-ms98-a-0037,94.847125,95.101625,keep,I,sd,u-22-2
sw4002A-ms98-a-0037,95.493250,95.657125,we've,I,sd,u-22-2
sw4002A-ms98-a-0037,95.657125,96.097125,begun,I,sd,u-22-2
sw4002A-ms98-a-0037,96.097125,96.187125,to,I,sd,u-22-2
sw4002A-ms98-a-0037,96.187125,96.463750,keep,I,sd,u-22-2
sw4002A-ms98-a-0037,96.589750,96.744125,them,I,sd,u-22-2
sw4002A-ms98-a-0038,97.652500,97.989250,uh,I,sd,u-22-2
sw4002A-ms98-a-0040,100.534125,100.859625,long[er]-,I,sd,u-22-2
sw4002A-ms98-a-0040,100.859625,100.909625,a,I,sd,u-22-2
sw4002A-ms98-a-0040,100.909625,101.239625,longer,I,sd,u-22-2
sw4002A-ms98-a-0040,101.239625,101.619625,period,I,sd,u-22-2
sw4002A-ms98-a-0040,101.619625,101.749625,of,I,sd,u-22-2
sw4002A-ms98-a-0040,101.749625,102.176625,time,I,sd,u-22-2
sw4002A-ms98-a-0040,102.666250,102.899625,uh,B,sd,u-22-3
sw4002A-ms98-a-0040,102.899625,103.059625,i,I,sd,u-22-3
sw4002A-ms98-a-0040,103.059625,103.399625,traded,I,sd,u-22-3
sw4002A-ms98-a-0040,103.399625,103.625875,off,I,sd,u-22-3
sw4002A-ms98-a-0040,103.625875,103.835875,a,I,sd,u-22-3
sw4002A-ms98-a-0040,103.835875,104.018500,an,I,sd,u-22-3
sw4002A-ms98-a-0040,104.018500,104.289625,eighty,I,sd,u-22-3
sw4002A-ms98-a-0040,104.289625,104.669625,two,I,sd,u-22-3
sw4002A-ms98-a-0040,104.859625,105.499625,Oldsmobile,I,sd,u-22-3
sw4002A-ms98-a-0040,105.499625,105.709625,for,I,sd,u-22-3
sw4002A-ms98-a-0040,105.709625,105.859625,the,I,sd,u-22-3
sw4002A-ms98-a-0040,105.859625,106.099625,eighty,I,sd,u-22-3
sw4002A-ms98-a-0040,106.099625,106.409625,nine,I,sd,u-22-3
sw4002A-ms98-a-0040,106.409625,106.895500,Mazda,I,sd,u-22-3
sw4002A-ms98-a-0042,108.540875,108.885000,so,B,%,u-24-1
sw4002A-ms98-a-0043,109.823500,110.116500,uh,I,%,u-24-1
sw4002A-ms98-a-0045,116.545625,116.983375,uh,B,ny,u-26-1
sw4002A-ms98-a-0045,117.164750,117.612750,yeah,I,ny,u-26-1
sw4002A-ms98-a-0045,117.917875,118.342500,yeah,B,ny^r,u-26-2
sw4002A-ms98-a-0045,118.790750,118.955250,we,B,sd,u-26-3
sw4002A-ms98-a-0045,118.955250,119.185250,we've,I,sd,u-26-3
sw4002A-ms98-a-0045,119.185250,119.548125,had,I,sd,u-26-3
sw4002A-ms98-a-0045,120.241125,120.465250,thirty,I,sd,u-26-3
sw4002A-ms98-a-0045,120.465250,120.725250,some,I,sd,u-26-3
sw4002A-ms98-a-0045,120.725250,120.895250,odd,I,sd,u-26-3
sw4002A-ms98-a-0045,120.895250,121.365250,cars,I,sd,u-26-3
sw4002A-ms98-a-0045,121.365250,121.515250,in,I,sd,u-26-3
sw4002A-ms98-a-0045,121.515250,121.625250,our,I,sd,u-26-3
sw4002A-ms98-a-0045,121.625250,121.925250,married,I,sd,u-26-3
sw4002A-ms98-a-0045,121.925250,122.325250,life,I,sd,u-26-3
sw4002A-ms98-a-0045,122.325250,122.516125,and,B,sd,u-26-4
sw4002A-ms98-a-0046,123.229375,123.484750,um,I,sd,u-26-4
sw4002A-ms98-a-0047,124.880250,125.020250,we,I,sd,u-26-4
sw4002A-ms98-a-0047,125.020250,125.280250,we've,I,sd,u-26-4
sw4002A-ms98-a-0047,125.280250,125.450250,had,I,sd,u-26-4
sw4002A-ms98-a-0047,125.450250,125.500250,a,I,sd,u-26-4
sw4002A-ms98-a-0047,125.500250,125.670250,good,I,sd,u-26-4
sw4002A-ms98-a-0047,125.670250,125.890250,many,I,sd,u-26-4
sw4002A-ms98-a-0047,125.890250,126.210250,foreign,I,sd,u-26-4
sw4002A-ms98-a-0047,126.210250,126.610250,cars,I,sd,u-26-4
sw4002A-ms98-a-0048,127.735125,128.081875,and,B,%,u-28-1
sw4002A-ms98-a-0048,128.081875,128.283875,uh,I,%,u-28-1
sw4002A-ms98-a-0050,129.641625,129.895500,the[y]-,I,%,u-28-1
sw4002A-ms98-a-0050,129.895500,130.185500,the[y]-,I,%,u-28-1
sw4002A-ms98-a-0050,130.745500,131.095500,uh,I,%,u-28-1
sw4002A-ms98-a-0050,131.095500,131.215500,i've,B,sd,u-28-2
sw4002A-ms98-a-0050,131.215500,131.360875,been,I,sd,u-28-2
sw4002A-ms98-a-0050,131.360875,132.159375,extremely,I,sd,u-28-2
sw4002A-ms98-a-0050,132.159375,132.395500,we've,B,sd,u-28-3
sw4002A-ms98-a-0050,132.395500,132.635500,had,I,sd,u-28-3
sw4002A-ms98-a-0050,132.635500,132.855500,three,I,sd,u-28-3
sw4002A-ms98-a-0050,132.855500,133.410750,Mazdas,I,sd,u-28-3
sw4002A-ms98-a-0050,133.621625,133.785500,we've,B,sd,u-28-4
sw4002A-ms98-a-0050,133.785500,133.945500,been,I,sd,u-28-4
sw4002A-ms98-a-0050,133.945500,134.575500,extremely,I,sd,u-28-4
sw4002A-ms98-a-0050,134.575500,134.895500,pleased,I,sd,u-28-4
sw4002A-ms98-a-0050,134.895500,135.035500,with,I,sd,u-28-4
sw4002A-ms98-a-0050,135.035500,135.135500,our,I,sd,u-28-4
sw4002A-ms98-a-0050,135.135500,135.622375,Mazdas,I,sd,u-28-4
sw4002A-ms98-a-0052,137.096250,137.487125,yeah,B,ny,u-30-1
sw4002A-ms98-a-0054,142.202625,142.542250,yeah,B,b^r,u-32-1
sw4002A-ms98-a-0054,142.752375,142.974625,well,B,%,u-32-2
sw4002A-ms98-a-0054,142.974625,143.202625,we,I,%,u-32-2
sw4002A-ms98-a-0054,143.300625,143.474625,we've,I,%,u-32-2
sw4002A-ms98-a-0054,143.474625,143.874625,had,I,%,u-32-2
sw4002A-ms98-a-0054,143.874625,144.073875,uh,I,%,u-32-2
sw4002A-ms98-a-0055,145.105250,145.344000,let's,B,^h,u-32-3
sw4002A-ms98-a-0055,145.344000,145.684375,see,I,^h,u-32-3
sw4002A-ms98-a-0055,145.895250,146.024000,we,B,sd,u-32-4
sw4002A-ms98-a-0055,146.024000,146.484000,had,I,sd,u-32-4
sw4002A-ms98-a-0055,146.484000,146.742250,uh,I,sd,u-32-4
sw4002A-ms98-a-0057,148.340875,148.473375,we,I,sd,u-32-4
sw4002A-ms98-a-0057,148.473375,149.218625,had,I,sd,u-32-4
sw4002A-ms98-a-0057,149.218625,149.550125,a,I,sd,u-32-4
sw4002A-ms98-a-0057,149.550125,149.791375,uh,I,sd,u-32-4
sw4002A-ms98-a-0057,150.198125,150.258625,let,B,^h,u-32-5
sw4002A-ms98-a-0057,150.354000,150.542375,me,I,^h,u-32-5
sw4002A-ms98-a-0057,150.542375,150.728750,think,I,^h,u-32-5
sw4002A-ms98-a-0059,153.779875,153.949875,we,B,sd,u-32-6
sw4002A-ms98-a-0059,153.949875,154.267625,had,I,sd,u-32-6
sw4002A-ms98-a-0059,154.267625,154.395750,a,I,sd,u-32-6
sw4002A-ms98-a-0059,154.395750,155.062750,fifty,I,sd,u-32-6
sw4002A-ms98-a-0059,155.209625,155.869875,three,I,sd,u-32-6
sw4002A-ms98-a-0061,158.199625,158.462625,and,B,sd,u-32-7
sw4002A-ms98-a-0061,158.462625,158.674750,a,I,sd,u-32-7
sw4002A-ms98-a-0061,158.779375,159.252000,uh,I,sd,u-32-7
sw4002A-ms98-a-0063,160.787000,160.868125,we,I,sd,u-32-7
sw4002A-ms98-a-0063,160.868125,161.071875,had,I,sd,u-32-7
sw4002A-ms98-a-0063,161.370000,161.730125,uh,I,sd,u-32-7
sw4002A-ms98-a-0065,163.645250,163.777500,two,I,sd,u-32-7
sw4002A-ms98-a-0065,163.777500,164.231250,fifty,I,sd,u-32-7
sw4002A-ms98-a-0065,164.231250,164.909125,threes,I,sd,u-32-7
sw4002A-ms98-a-0065,164.909125,165.069125,which,I,sd,u-32-7
sw4002A-ms98-a-0065,165.069125,165.209125,is,I,sd,u-32-7
sw4002A-ms98-a-0065,165.209125,165.269125,a,I,sd,u-32-7
sw4002A-ms98-a-0065,165.269125,165.499125,long,I,sd,u-32-7
sw4002A-ms98-a-0065,165.499125,165.749125,thirty,I,sd,u-32-7
sw4002A-ms98-a-0065,165.749125,166.019125,minute,I,sd,u-32-7
sw4002A-ms98-a-0065,166.019125,166.431875,story,I,sd,u-32-7
sw4002A-ms98-a-0065,166.562375,168.079125,[laughter],O,,
sw4002A-ms98-a-0065,168.079125,168.652125,uh,B,sd,u-34-1
sw4002A-ms98-a-0065,168.753750,168.909125,and,I,sd,u-34-1
sw4002A-ms98-a-0065,168.909125,169.039125,we,I,sd,u-34-1
sw4002A-ms98-a-0065,169.039125,169.349625,had,I,sd,u-34-1
sw4002A-ms98-a-0065,169.443750,169.522125,a,I,sd,u-34-1
sw4002A-ms98-a-0065,169.522125,169.996750,sixty,I,sd,u-34-1
sw4002A-ms98-a-0065,169.996750,170.718250,five,I,sd,u-34-1
sw4002A-ms98-a-0066,171.397500,171.560250,and,B,sd,u-34-2
sw4002A-ms98-a-0066,171.560250,171.690250,then,I,sd,u-34-2
sw4002A-ms98-a-0066,171.690250,171.810250,we,I,sd,u-34-2
sw4002A-ms98-a-0066,171.810250,172.080250,had,I,sd,u-34-2
sw4002A-ms98-a-0066,172.080250,172.239375,this,I,sd,u-34-2
sw4002A-ms98-a-0066,172.352375,172.590250,eighty,I,sd,u-34-2
sw4002A-ms98-a-0066,172.590250,173.017875,two,I,sd,u-34-2
sw4002A-ms98-a-0067,173.619750,173.988875,so,B,sd,u-36-1
sw4002A-ms98-a-0067,174.087375,174.355375,we,I,sd,u-36-1
sw4002A-ms98-a-0067,174.517000,174.666125,we,I,sd,u-36-1
sw4002A-ms98-a-0067,174.666125,174.846125,really,I,sd,u-36-1
sw4002A-ms98-a-0067,174.846125,175.106125,can't,I,sd,u-36-1
sw4002A-ms98-a-0067,175.106125,175.456125,complain,I,sd,u-36-1
sw4002A-ms98-a-0067,175.456125,175.686125,about,I,sd,u-36-1
sw4002A-ms98-a-0067,175.686125,176.325625,Oldsmobiles,I,sd,u-36-1
sw4002A-ms98-a-0068,176.911375,177.233000,really,I,sd,u-36-1
sw4002A-ms98-a-0070,181.433375,181.760750,yeah,B,b,u-38-1
sw4002A-ms98-a-0072,189.116375,189.548250,um-hum,B,b,u-40-1
sw4002A-ms98-a-0074,193.441000,193.788750,um-hum,B,b^r,u-42-1
sw4002A-ms98-a-0076,205.103000,205.450250,um-hum,B,b^r,u-44-1
sw4002A-ms98-a-0078,209.360625,209.785375,um-hum,B,b^r,u-46-1
sw4002A-ms98-a-0080,218.873750,220.023125,[laughter],O,,
sw4002A-ms98-a-0081,220.917375,221.429000,well,B,b,u-48-1
sw4002A-ms98-a-0081,221.697875,222.005625,uh,B,sd,u-50-1
sw4002A-ms98-a-0081,222.258000,222.484000,my,I,sd,u-50-1
sw4002A-ms98-a-0081,222.484000,222.883250,son,I,sd,u-50-1
sw4002A-ms98-a-0081,222.883250,223.195000,over,I,sd,u-50-1
sw4002A-ms98-a-0081,223.195000,223.295000,in,I,sd,u-50-1
sw4002A-ms98-a-0081,223.295000,223.932625,Shreveport,I,sd,u-50-1
sw4002A-ms98-a-0081,224.154750,224.599875,uh,I,sd,u-50-1
sw4002A-ms98-a-0081,225.097125,225.629125,sold,I,sd,u-50-1
sw4002A-ms98-a-0081,225.892750,226.355000,Porsches,I,sd,u-50-1
sw4002A-ms98-a-0081,226.355000,226.733625,Audis,I,sd,u-50-1
sw4002A-ms98-a-0081,226.831500,227.255000,[Mada/Mazdas],I,sd,u-50-1
sw4002A-ms98-a-0081,227.255000,227.725000,Mazdas,I,sd,u-50-1
sw4002A-ms98-a-0081,227.725000,227.855000,and,I,sd,u-50-1
sw4002A-ms98-a-0081,227.855000,228.565000,Volkswagons,I,sd,u-50-1
sw4002A-ms98-a-0081,228.565000,228.710375,for,I,sd,u-50-1
sw4002A-ms98-a-0081,228.710375,228.945000,ten,I,sd,u-50-1
sw4002A-ms98-a-0081,228.945000,229.248750,years,I,sd,u-50-1
sw4002A-ms98-a-0082,230.157750,230.303000,and,B,sd,u-50-2
sw4002A-ms98-a-0082,230.303000,230.463000,that,I,sd,u-50-2
sw4002A-ms98-a-0082,230.463000,230.583000,was,I,sd,u-50-2
sw4002A-ms98-a-0082,230.583000,230.743000,one,I,sd,u-50-2
sw4002A-ms98-a-0082,230.743000,230.833000,of,I,sd,u-50-2
sw4002A-ms98-a-0082,230.833000,230.909625,the,I,sd,u-50-2
sw4002A-ms98-a-0082,230.909625,231.500875,deciding,I,sd,u-50-2
sw4002A-ms98-a-0082,231.500875,231.953000,factors,I,sd,u-50-2
sw4002A-ms98-a-0082,231.953000,232.103000,in,I,sd,u-50-2
sw4002A-ms98-a-0082,232.103000,232.373000,getting,I,sd,u-50-2
sw4002A-ms98-a-0082,232.373000,232.443000,the,I,sd,u-50-2
sw4002A-ms98-a-0082,232.443000,233.102125,Mazdas,I,sd,u-50-2
sw4002A-ms98-a-0084,235.592125,236.036000,uh,B,sd,u-52-1
sw4002A-ms98-a-0086,237.711750,238.177625,so,I,sd,u-52-1
sw4002A-ms98-a-0088,240.001375,240.615875,uh,I,sd,u-52-1
sw4002A-ms98-a-0089,242.053875,242.166500,the,I,sd,u-52-1
sw4002A-ms98-a-0089,242.166500,242.473875,first,I,sd,u-52-1
sw4002A-ms98-a-0089,242.473875,242.743875,foreign,I,sd,u-52-1
sw4002A-ms98-a-0089,242.743875,243.033875,car,I,sd,u-52-1
sw4002A-ms98-a-0089,243.033875,243.173875,that,I,sd,u-52-1
sw4002A-ms98-a-0089,243.173875,243.303875,we,I,sd,u-52-1
sw4002A-ms98-a-0089,243.303875,243.603875,had,I,sd,u-52-1
sw4002A-ms98-a-0089,243.603875,243.893875,was,I,sd,u-52-1
sw4002A-ms98-a-0089,243.893875,244.118125,a,I,sd,u-52-1
sw4002A-ms98-a-0089,244.283875,244.413875,a,I,sd,u-52-1
sw4002A-ms98-a-0089,244.413875,244.803875,seventy,I,sd,u-52-1
sw4002A-ms98-a-0089,244.803875,245.233875,seven,I,sd,u-52-1
sw4002A-ms98-a-0089,245.233875,245.847625,MG,O,,
sw4002A-ms98-a-0089,246.133875,246.913625,MGB,O,,
sw4002A-ms98-a-0090,247.623125,247.945250,was,B,sd,u-54-1
sw4002A-ms98-a-0090,247.945250,248.365250,British,I,sd,u-54-1
sw4002A-ms98-a-0090,248.365250,248.605750,gr[een]-,I,sd,u-54-1
