sw2790A-ms98-a-0003,1.170000,2.000750,right,B,o,u-1-1
sw2790A-ms98-a-0071,331.915750,332.225750,home,I,sv,u-59-3
sw2790A-ms98-a-0071,332.225750,332.435750,even,I,sv,u-59-3
sw2790A-ms98-a-0071,332.435750,332.575750,if,I,sv,u-59-3
sw2790A-ms98-a-0071,332.575750,332.705750,they,I,sv,u-59-3
sw2790A-ms98-a-0071,332.705750,332.865750,could,I,sv,u-59-3
sw2790A-ms98-a-0071,332.865750,333.219875,work,I,sv,u-59-3
sw2790A-ms98-a-0071,333.219875,333.405750,you,I,sv,u-59-3
sw2790A-ms98-a-0071,333.405750,333.535750,know,I,sv,u-59-3
sw2790A-ms98-a-0071,333.535750,333.665750,there,B,sv,u-59-4
sw2790A-ms98-a-0071,333.665750,333.725750,are,I,sv,u-59-4
sw2790A-ms98-a-0071,333.725750,333.755750,a,I,sv,u-59-4
sw2790A-ms98-a-0071,333.755750,333.935750,lot,I,sv,u-59-4
sw2790A-ms98-a-0071,333.935750,334.129375,of,I,sv,u-59-4
sw2790A-ms98-a-0072,334.845250,335.345250,jobs,I,sv,u-59-4
sw2790A-ms98-a-0072,335.345250,335.505250,that,I,sv,u-59-4
sw2790A-ms98-a-0072,335.505250,335.744375,are,I,sv,u-59-4
sw2790A-ms98-a-0072,335.921375,336.215250,coming,I,sv,u-59-4
sw2790A-ms98-a-0072,336.215250,336.699625,about,I,sv,u-59-4
sw2790A-ms98-a-0072,336.699625,336.985250,like,I,sv,u-59-4
sw2790A-ms98-a-0072,336.985250,337.085250,in,I,sv,u-59-4
sw2790A-ms98-a-0072,337.085250,337.665250,computers,I,sv,u-59-4
sw2790A-ms98-a-0072,337.665250,337.815250,at,I,sv,u-59-4
sw2790A-ms98-a-0072,337.815250,338.155250,home,I,sv,u-59-4
sw2790A-ms98-a-0072,338.155250,338.245250,and,B,+,u-61-1
sw2790A-ms98-a-0072,338.245250,338.425250,those,I,+,u-61-1
sw2790A-ms98-a-0072,338.425250,338.685250,types,I,+,u-61-1
sw2790A-ms98-a-0072,338.685250,338.835250,of,I,+,u-61-1
sw2790A-ms98-a-0072,338.835250,339.265250,things,I,+,u-61-1
sw2790A-ms98-a-0072,339.265250,339.425250,that,I,+,u-61-1
sw2790A-ms98-a-0072,339.425250,339.605250,would,I,+,u-61-1
sw2790A-ms98-a-0073,340.459875,340.685500,at,I,+,u-61-1
sw2790A-ms98-a-0073,340.685500,340.955500,least,I,+,u-61-1
sw2790A-ms98-a-0073,340.955500,341.065500,in,I,+,u-61-1
sw2790A-ms98-a-0073,341.065500,341.335500,some,I,+,u-61-1
sw2790A-ms98-a-0073,341.335500,341.907750,ways,I,+,u-61-1
sw2790A-ms98-a-0074,343.006250,343.326250,bridge,I,+,u-61-1
sw2790A-ms98-a-0074,343.326250,343.396250,the,I,+,u-61-1
sw2790A-ms98-a-0074,343.396250,343.876250,gap,I,+,u-61-1
sw2790A-ms98-a-0076,369.519625,369.986750,about,B,qw^h,u-63-1
sw2790A-ms98-a-0078,381.238625,382.171000,they'll,O,,
sw2790A-ms98-a-0078,382.171000,382.711000,understand,O,,
sw2790A-ms98-a-0078,382.711000,382.954375,them,O,,
sw2790A-ms98-a-0079,383.650375,383.985375,the,B,sd,u-65-3
sw2790A-ms98-a-0079,383.985375,384.732500,divorce,I,sd,u-65-3
sw2790A-ms98-a-0079,384.732500,385.150375,rate,I,sd,u-65-3
sw2790A-ms98-a-0079,385.150375,385.570375,keeps,I,sd,u-65-3
sw2790A-ms98-a-0079,385.570375,385.990375,hovering,I,sd,u-65-3
sw2790A-ms98-a-0079,385.990375,386.290375,around,I,sd,u-65-3
sw2790A-ms98-a-0079,386.290375,386.560375,fifty,I,sd,u-65-3
sw2790A-ms98-a-0079,386.560375,386.960375,percent,I,sd,u-65-3
sw2790A-ms98-a-0079,386.960375,387.070375,or,I,sd,u-65-3
sw2790A-ms98-a-0079,387.070375,387.380375,so,I,sd,u-65-3
sw2790A-ms98-a-0079,387.380375,387.670375,and,B,sd,u-65-4
sw2790A-ms98-a-0079,387.670375,387.730375,it,I,sd,u-65-4
sw2790A-ms98-a-0079,387.730375,387.910375,got,I,sd,u-65-4
sw2790A-ms98-a-0079,387.910375,388.150375,higher,I,sd,u-65-4
sw2790A-ms98-a-0079,388.150375,388.270375,than,I,sd,u-65-4
sw2790A-ms98-a-0079,388.270375,388.480375,that,I,sd,u-65-4
sw2790A-ms98-a-0079,388.480375,388.640375,for,I,sd,u-65-4
sw2790A-ms98-a-0079,388.640375,388.680375,a,I,sd,u-65-4
sw2790A-ms98-a-0079,388.680375,389.140625,while,I,sd,u-65-4
sw2790A-ms98-a-0079,389.418250,390.036000,um,B,sv,u-65-5
sw2790A-ms98-a-0080,390.579875,390.750750,it's,I,sv,u-65-5
sw2790A-ms98-a-0080,390.750750,390.970750,hard,I,sv,u-65-5
sw2790A-ms98-a-0080,390.970750,391.070750,to,I,sv,u-65-5
