sw2259B-ms98-a-0002,6.592125,6.870875,at,B,%,u-2-1
sw2259B-ms98-a-0004,35.448125,35.651500,could,I,sv,u-2-4
sw2259B-ms98-a-0004,35.651500,35.991500,permit,I,sv,u-2-4
sw2259B-ms98-a-0004,35.991500,36.251500,more,I,sv,u-2-4
sw2259B-ms98-a-0004,36.251500,36.371500,of,I,sv,u-2-4
sw2259B-ms98-a-0004,36.371500,36.631500,them,I,sv,u-2-4
sw2259B-ms98-a-0004,36.631500,36.821500,in,I,sv,u-2-4
sw2259B-ms98-a-0004,36.821500,37.011500,than,I,sv,u-2-4
sw2259B-ms98-a-0004,37.011500,37.211500,we,I,sv,u-2-4
sw2259B-ms98-a-0004,37.211500,37.607125,have,I,sv,u-2-4
sw2259B-ms98-a-0004,37.607125,37.806750,uh,I,sv,u-2-4
sw2259B-ms98-a-0004,37.806750,38.131500,permitted,I,sv,u-2-4
sw2259B-ms98-a-0004,38.131500,38.271500,in,I,sv,u-2-4
sw2259B-ms98-a-0004,38.271500,38.351500,the,I,sv,u-2-4
sw2259B-ms98-a-0004,38.351500,38.801500,last,I,sv,u-2-4
sw2259B-ms98-a-0004,38.801500,39.048750,uh,I,sv,u-2-4
sw2259B-ms98-a-0004,39.719000,40.071500,several,I,sv,u-2-4
sw2259B-ms98-a-0004,40.071500,40.518625,years,I,sv,u-2-4
sw2259B-ms98-a-0005,42.068750,42.458750,and,B,sv,u-2-5
sw2259B-ms98-a-0005,42.458750,42.608750,i,I,sv,u-2-5
sw2259B-ms98-a-0005,42.608750,42.928750,think,I,sv,u-2-5
sw2259B-ms98-a-0005,42.928750,43.068750,we,I,sv,u-2-5
sw2259B-ms98-a-0005,43.068750,43.538750,have,I,sv,u-2-5
sw2259B-ms98-a-0005,43.538750,43.874875,uh,I,sv,u-2-5
sw2259B-ms98-a-0005,44.593375,44.750000,uh,I,sv,u-2-5
sw2259B-ms98-a-0006,46.540000,46.751125,too,I,sv,u-2-5
sw2259B-ms98-a-0006,46.751125,47.071125,much,I,sv,u-2-5
sw2259B-ms98-a-0006,47.071125,47.601125,restriction,I,sv,u-2-5
sw2259B-ms98-a-0006,47.601125,48.001125,on,I,sv,u-2-5
sw2259B-ms98-a-0006,48.001125,48.091125,the,I,sv,u-2-5
sw2259B-ms98-a-0006,48.091125,48.341125,uh,I,sv,u-2-5
sw2259B-ms98-a-0006,48.341125,48.521125,on,I,sv,u-2-5
sw2259B-ms98-a-0006,48.521125,48.581125,the,I,sv,u-2-5
sw2259B-ms98-a-0006,48.581125,49.031125,Orientals,I,sv,u-2-5
sw2259B-ms98-a-0006,49.031125,49.502250,also,I,sv,u-2-5
sw2259B-ms98-a-0007,50.491500,50.804375,but,B,sd,u-2-6
sw2259B-ms98-a-0007,50.804375,50.974625,of,I,sd,u-2-6
sw2259B-ms98-a-0007,51.106500,51.364375,course,I,sd,u-2-6
sw2259B-ms98-a-0007,51.364375,51.554375,that's,I,sd,u-2-6
sw2259B-ms98-a-0007,51.554375,51.734375,just,I,sd,u-2-6
sw2259B-ms98-a-0007,51.734375,51.864375,my,I,sd,u-2-6
sw2259B-ms98-a-0007,51.864375,52.174375,opinion,I,sd,u-2-6
sw2259B-ms98-a-0007,52.174375,52.950250,[laughter],O,,
sw2259B-ms98-a-0009,58.231250,58.675000,um-hum,B,b,u-4-1
sw2259B-ms98-a-0011,61.338625,61.673875,um-hum,B,b,u-6-1
sw2259B-ms98-a-0012,63.147375,63.240875,well,B,sv,u-6-2
sw2259B-ms98-a-0012,63.240875,63.360875,we,I,sv,u-6-2
sw2259B-ms98-a-0012,63.360875,63.580875,seem,I,sv,u-6-2
sw2259B-ms98-a-0012,63.580875,63.850875,to,I,sv,u-6-2
sw2259B-ms98-a-0012,63.850875,64.045625,uh,I,sv,u-6-2
sw2259B-ms98-a-0012,64.486375,64.580875,to,I,sv,u-6-2
sw2259B-ms98-a-0012,64.580875,64.940875,favor,I,sv,u-6-2
sw2259B-ms98-a-0012,64.940875,65.440875,certain,I,sv,u-6-2
sw2259B-ms98-a-0012,65.440875,65.923375,uh,I,sv,u-6-2
sw2259B-ms98-a-0012,66.762250,67.662625,uh,I,sv,u-6-2
sw2259B-ms98-a-0012,68.119250,68.560875,countries,I,sv,u-6-2
sw2259B-ms98-a-0012,68.560875,68.930875,particularly,I,sv,u-6-2
sw2259B-ms98-a-0012,68.930875,69.150875,South,I,sv,u-6-2
sw2259B-ms98-a-0012,69.150875,69.540875,American,I,sv,u-6-2
sw2259B-ms98-a-0012,69.540875,70.113000,countries,I,sv,u-6-2
sw2259B-ms98-a-0012,70.113000,70.560875,and,B,%,u-6-3
sw2259B-ms98-a-0012,70.560875,70.867125,uh,I,%,u-6-3
sw2259B-ms98-a-0013,72.171875,72.296125,there,I,%,u-6-3
sw2259B-ms98-a-0013,72.296125,72.416125,is,I,%,u-6-3
sw2259B-ms98-a-0013,72.416125,72.746125,no,I,%,u-6-3
sw2259B-ms98-a-0013,72.746125,73.041125,uh,I,%,u-6-3
sw2259B-ms98-a-0013,74.286750,74.537500,uh,I,%,u-6-3
sw2259B-ms98-a-0013,74.537500,74.616125,i,B,sd,u-6-4
sw2259B-ms98-a-0013,74.616125,74.756125,have,I,sd,u-6-4
sw2259B-ms98-a-0013,74.756125,75.096125,nothing,I,sd,u-6-4
sw2259B-ms98-a-0013,75.096125,75.306125,of,I,sd,u-6-4
sw2259B-ms98-a-0013,75.306125,75.536125,course,I,sd,u-6-4
sw2259B-ms98-a-0013,75.536125,75.956125,against,I,sd,u-6-4
sw2259B-ms98-a-0013,75.956125,76.275500,uh,I,sd,u-6-4
sw2259B-ms98-a-0013,76.275500,76.481125,the,I,sd,u-6-4
sw2259B-ms98-a-0013,76.481125,76.803125,uh,I,sd,u-6-4
sw2259B-ms98-a-0013,77.447125,77.626125,the,I,sd,u-6-4
sw2259B-ms98-a-0013,77.626125,77.876125,South,I,sd,u-6-4
sw2259B-ms98-a-0013,77.876125,78.336125,Americans,I,sd,u-6-4
sw2259B-ms98-a-0013,78.336125,78.688000,or,I,sd,u-6-4
sw2259B-ms98-a-0013,78.688000,79.050000,uh,I,sd,u-6-4
sw2259B-ms98-a-0014,79.903750,80.303750,or,I,sd,u-6-4
sw2259B-ms98-a-0014,80.303750,80.903750,Hispanics,I,sd,u-6-4
sw2259B-ms98-a-0014,80.903750,80.993750,in,I,sd,u-6-4
sw2259B-ms98-a-0014,80.993750,81.183750,that,I,sd,u-6-4
sw2259B-ms98-a-0014,81.183750,81.673750,sense,I,sd,u-6-4
sw2259B-ms98-a-0014,81.673750,81.783750,but,B,sv,u-6-5
sw2259B-ms98-a-0014,81.783750,81.863750,i,I,sv,u-6-5
sw2259B-ms98-a-0014,81.863750,82.143750,think,I,sv,u-6-5
sw2259B-ms98-a-0014,82.143750,82.373750,we,I,sv,u-6-5
sw2259B-ms98-a-0014,82.373750,82.657500,uh,I,sv,u-6-5
sw2259B-ms98-a-0014,83.565250,83.643750,are,I,sv,u-6-5
sw2259B-ms98-a-0014,83.643750,83.883750,more,I,sv,u-6-5
sw2259B-ms98-a-0014,83.883750,84.523750,restrictive,I,sv,u-6-5
sw2259B-ms98-a-0014,84.523750,84.834375,of,I,sv,u-6-5
sw2259B-ms98-a-0014,84.834375,85.036875,the,I,sv,u-6-5
sw2259B-ms98-a-0014,85.036875,85.389875,um,I,sv,u-6-5
sw2259B-ms98-a-0014,86.332625,86.533750,so,I,sv,u-6-5
sw2259B-ms98-a-0014,86.533750,87.053750,called,I,sv,u-6-5
sw2259B-ms98-a-0014,87.053750,87.555125,eastern,I,sv,u-6-5
sw2259B-ms98-a-0014,87.815000,88.113750,uh,I,sv,u-6-5
sw2259B-ms98-a-0014,88.113750,88.653750,European,I,sv,u-6-5
sw2259B-ms98-a-0014,88.653750,89.153750,countries,I,sv,u-6-5
sw2259B-ms98-a-0014,89.153750,89.393750,than,I,sv,u-6-5
sw2259B-ms98-a-0014,89.393750,89.633750,we,I,sv,u-6-5
sw2259B-ms98-a-0014,89.633750,89.947750,uh,I,sv,u-6-5
sw2259B-ms98-a-0015,90.902000,91.138125,uh,I,sv,u-6-5
sw2259B-ms98-a-0015,91.138125,91.235625,we,I,sv,u-6-5
sw2259B-ms98-a-0015,91.235625,91.535625,should,I,sv,u-6-5
sw2259B-ms98-a-0015,91.535625,91.858000,be,I,sv,u-6-5
sw2259B-ms98-a-0015,91.858000,91.952125,of,B,sd,u-6-6
sw2259B-ms98-a-0015,91.952125,92.165625,course,I,sd,u-6-6
sw2259B-ms98-a-0015,92.165625,92.335625,that's,I,sd,u-6-6
sw2259B-ms98-a-0015,92.335625,92.485625,from,I,sd,u-6-6
sw2259B-ms98-a-0015,92.485625,92.665625,my,I,sd,u-6-6
sw2259B-ms98-a-0015,92.665625,92.855625,own,I,sd,u-6-6
sw2259B-ms98-a-0015,92.855625,93.165625,bias,I,sd,u-6-6
sw2259B-ms98-a-0015,93.165625,93.355625,since,I,sd,u-6-6
sw2259B-ms98-a-0015,93.355625,93.782625,my,I,sd,u-6-6
sw2259B-ms98-a-0015,93.782625,94.405625,ancestors,I,sd,u-6-6
sw2259B-ms98-a-0015,94.405625,94.615000,from,I,sd,u-6-6
sw2259B-ms98-a-0015,94.615000,95.082125,[laughter-Eastern],O,,
sw2259B-ms98-a-0015,95.082125,95.445625,[laughter-Europe],O,,
sw2259B-ms98-a-0015,95.445625,96.493750,[laughter-so],O,,
sw2259B-ms98-a-0016,98.119750,98.519750,and,B,sv,u-8-1
sw2259B-ms98-a-0016,98.519750,98.761750,uh,I,sv,u-8-1
sw2259B-ms98-a-0017,100.258625,100.540250,so,I,sv,u-8-1
sw2259B-ms98-a-0017,100.540250,100.620250,i,I,sv,u-8-1
sw2259B-ms98-a-0017,100.620250,101.040250,think,I,sv,u-8-1
sw2259B-ms98-a-0017,101.040250,101.550250,uh,I,sv,u-8-1
sw2259B-ms98-a-0017,101.550250,101.660250,you,I,sv,u-8-1
sw2259B-ms98-a-0017,101.660250,101.810250,know,I,sv,u-8-1
sw2259B-ms98-a-0017,101.810250,102.333625,the,I,sv,u-8-1
sw2259B-ms98-a-0017,102.990000,103.457250,um,I,sv,u-8-1
sw2259B-ms98-a-0017,104.183500,104.730250,embargo,I,sv,u-8-1
sw2259B-ms98-a-0017,104.730250,104.850250,we,I,sv,u-8-1
sw2259B-ms98-a-0017,104.850250,105.210250,placed,I,sv,u-8-1
sw2259B-ms98-a-0017,105.210250,105.464125,on,I,sv,u-8-1
sw2259B-ms98-a-0017,105.464125,105.610125,the,I,sv,u-8-1
sw2259B-ms98-a-0017,105.610125,105.943500,uh,I,sv,u-8-1
sw2259B-ms98-a-0017,106.708125,106.850250,on,I,sv,u-8-1
sw2259B-ms98-a-0017,106.850250,106.910250,the,I,sv,u-8-1
sw2259B-ms98-a-0017,106.910250,107.240250,Russian,I,sv,u-8-1
sw2259B-ms98-a-0017,107.240250,107.540250,Jews,I,sv,u-8-1
sw2259B-ms98-a-0017,107.540250,107.800250,although,I,sv,u-8-1
sw2259B-ms98-a-0017,107.800250,107.990250,we,I,sv,u-8-1
sw2259B-ms98-a-0017,107.990250,108.368375,s[pent]-,I,sv,u-8-1
sw2259B-ms98-a-0017,108.368375,108.840250,of,I,sv,u-8-1
sw2259B-ms98-a-0017,108.840250,109.137250,uh,I,sv,u-8-1
sw2259B-ms98-a-0019,111.679500,112.012250,spent,I,sv,u-8-1
sw2259B-ms98-a-0019,112.012250,112.322250,years,I,sv,u-8-1
sw2259B-ms98-a-0019,112.322250,112.452250,and,I,sv,u-8-1
sw2259B-ms98-a-0019,112.452250,113.046000,years,I,sv,u-8-1
sw2259B-ms98-a-0019,113.046000,113.547500,uh,I,sv,u-8-1
sw2259B-ms98-a-0019,114.786375,115.322250,lobbying,I,sv,u-8-1
sw2259B-ms98-a-0019,115.322250,115.482250,for,I,sv,u-8-1
sw2259B-ms98-a-0019,115.482250,115.872250,their,I,sv,u-8-1
sw2259B-ms98-a-0019,115.872250,116.332250,release,I,sv,u-8-1
sw2259B-ms98-a-0019,116.332250,116.442250,and,I,sv,u-8-1
sw2259B-ms98-a-0019,116.442250,116.552250,their,I,sv,u-8-1
sw2259B-ms98-a-0019,116.552250,116.962250,ability,I,sv,u-8-1
sw2259B-ms98-a-0019,116.962250,117.122250,to,I,sv,u-8-1
sw2259B-ms98-a-0019,117.122250,117.506500,um,I,sv,u-8-1
sw2259B-ms98-a-0019,118.146875,118.562250,immigrate,I,sv,u-8-1
sw2259B-ms98-a-0019,118.562250,118.852250,from,I,sv,u-8-1
sw2259B-ms98-a-0019,118.852250,119.298375,Russia,I,sv,u-8-1
sw2259B-ms98-a-0019,119.486625,119.922250,as,B,+,u-10-1
sw2259B-ms98-a-0019,119.922250,120.132250,soon,I,+,u-10-1
sw2259B-ms98-a-0019,120.132250,120.232250,as,I,+,u-10-1
sw2259B-ms98-a-0019,120.232250,120.382250,that,I,+,u-10-1
sw2259B-ms98-a-0019,120.382250,120.842250,occurred,I,+,u-10-1
sw2259B-ms98-a-0019,120.842250,121.142250,we,I,+,u-10-1
sw2259B-ms98-a-0020,122.794250,123.144250,simply,I,+,u-10-1
sw2259B-ms98-a-0020,123.144250,123.364250,said,I,+,u-10-1
sw2259B-ms98-a-0020,123.364250,123.574250,that,I,+,u-10-1
sw2259B-ms98-a-0020,123.574250,124.454250,uh,I,+,u-10-1
sw2259B-ms98-a-0020,124.454250,124.814250,instead,I,+,u-10-1
sw2259B-ms98-a-0020,124.814250,124.950500,of,I,+,u-10-1
sw2259B-ms98-a-0020,124.950500,125.381000,the,I,+,u-10-1
sw2259B-ms98-a-0020,125.633375,125.964250,uh,I,+,u-10-1
sw2259B-ms98-a-0020,125.964250,126.214250,hundred,I,+,u-10-1
sw2259B-ms98-a-0020,126.214250,126.304250,and,I,+,u-10-1
sw2259B-ms98-a-0020,126.304250,126.594250,fifty,I,+,u-10-1
sw2259B-ms98-a-0020,126.594250,127.024250,thousand,I,+,u-10-1
sw2259B-ms98-a-0020,127.024250,127.104250,or,I,+,u-10-1
sw2259B-ms98-a-0020,127.104250,127.264250,so,I,+,u-10-1
sw2259B-ms98-a-0020,127.264250,127.444250,who,I,+,u-10-1
sw2259B-ms98-a-0020,127.444250,127.794250,wanted,I,+,u-10-1
sw2259B-ms98-a-0020,127.794250,128.145750,to,I,+,u-10-1
sw2259B-ms98-a-0020,129.000750,129.384250,immigrate,I,+,u-10-1
sw2259B-ms98-a-0020,129.384250,129.484250,to,I,+,u-10-1
sw2259B-ms98-a-0020,129.484250,129.634250,this,I,+,u-10-1
sw2259B-ms98-a-0020,129.634250,130.044250,country,I,+,u-10-1
sw2259B-ms98-a-0020,130.044250,130.442125,we,I,+,u-10-1
sw2259B-ms98-a-0020,130.660625,130.844250,cut,I,+,u-10-1
sw2259B-ms98-a-0020,130.844250,131.054250,that,I,+,u-10-1
sw2259B-ms98-a-0020,131.054250,131.544250,by,I,+,u-10-1
sw2259B-ms98-a-0020,131.544250,131.704250,uh,I,+,u-10-1
sw2259B-ms98-a-0020,131.704250,131.954250,two,I,+,u-10-1
sw2259B-ms98-a-0020,131.954250,132.434250,thirds,I,+,u-10-1
sw2259B-ms98-a-0020,132.434250,132.964250,so,B,%,u-10-2
sw2259B-ms98-a-0021,133.808625,133.871875,i,B,sd,u-12-1
sw2259B-ms98-a-0021,133.871875,133.991875,do,I,sd,u-12-1
sw2259B-ms98-a-0021,133.991875,134.161875,not,I,sd,u-12-1
sw2259B-ms98-a-0021,134.161875,134.391875,quite,I,sd,u-12-1
sw2259B-ms98-a-0021,134.391875,134.551875,go,I,sd,u-12-1
sw2259B-ms98-a-0021,134.551875,134.791875,along,I,sd,u-12-1
sw2259B-ms98-a-0021,134.791875,134.911875,with,I,sd,u-12-1
sw2259B-ms98-a-0021,134.911875,135.317875,that,I,sd,u-12-1
sw2259B-ms98-a-0021,135.317875,135.598500,but,B,%,u-12-2
sw2259B-ms98-a-0021,135.598500,136.312750,[laughter],O,,
sw2259B-ms98-a-0023,138.027375,138.369500,no,B,aa,u-14-1
sw2259B-ms98-a-0024,139.808500,139.978500,and,B,%,u-14-2
sw2259B-ms98-a-0024,139.978500,140.058500,i,I,%,u-14-2
sw2259B-ms98-a-0024,140.058500,140.348500,still,I,%,u-14-2
sw2259B-ms98-a-0024,140.348500,140.658500,think,I,%,u-14-2
sw2259B-ms98-a-0024,140.658500,140.758500,you,B,sd,u-14-3
sw2259B-ms98-a-0024,140.758500,140.978500,know,I,sd,u-14-3
sw2259B-ms98-a-0024,140.978500,141.318500,again,I,sd,u-14-3
sw2259B-ms98-a-0024,141.318500,141.548500,kind,I,sd,u-14-3
sw2259B-ms98-a-0024,141.548500,141.608500,of,I,sd,u-14-3
sw2259B-ms98-a-0024,141.608500,141.928500,having,I,sd,u-14-3
sw2259B-ms98-a-0024,141.928500,142.264000,uh,I,sd,u-14-3
sw2259B-ms98-a-0024,142.904375,143.361500,uh,I,sd,u-14-3
sw2259B-ms98-a-0024,143.576125,143.898500,within,I,sd,u-14-3
sw2259B-ms98-a-0024,143.898500,144.098500,this,I,sd,u-14-3
sw2259B-ms98-a-0024,144.098500,144.538500,century,I,sd,u-14-3
sw2259B-ms98-a-0024,144.538500,144.818500,come,I,sd,u-14-3
sw2259B-ms98-a-0024,144.818500,145.068500,from,I,sd,u-14-3
sw2259B-ms98-a-0024,145.068500,145.388500,a,I,sd,u-14-3
sw2259B-ms98-a-0024,145.388500,145.582375,uh,I,sd,u-14-3
sw2259B-ms98-a-0026,147.484500,147.754625,uh,I,sd,u-14-3
sw2259B-ms98-a-0026,147.754625,147.894625,an,I,sd,u-14-3
sw2259B-ms98-a-0026,147.894625,148.264625,immigrant,I,sd,u-14-3
sw2259B-ms98-a-0026,148.264625,148.724625,family,I,sd,u-14-3
sw2259B-ms98-a-0026,148.724625,148.834625,or,I,sd,u-14-3
sw2259B-ms98-a-0026,148.834625,149.174625,immigrant,I,sd,u-14-3
sw2259B-ms98-a-0026,149.174625,149.584625,families,I,sd,u-14-3
sw2259B-ms98-a-0026,149.584625,149.734625,on,I,sd,u-14-3
sw2259B-ms98-a-0026,149.734625,149.984625,both,I,sd,u-14-3
sw2259B-ms98-a-0026,149.984625,150.447375,sides,I,sd,u-14-3
sw2259B-ms98-a-0026,150.680875,150.904625,both,B,sd,u-16-1
sw2259B-ms98-a-0026,150.904625,151.024625,my,I,sd,u-16-1
sw2259B-ms98-a-0026,151.024625,151.583500,mother's,I,sd,u-16-1
sw2259B-ms98-a-0026,151.884750,152.234625,parents,I,sd,u-16-1
sw2259B-ms98-a-0026,152.234625,152.384625,and,I,sd,u-16-1
sw2259B-ms98-a-0026,152.384625,152.624250,my,I,sd,u-16-1
sw2259B-ms98-a-0026,153.252750,153.574625,father's,I,sd,u-16-1
sw2259B-ms98-a-0026,153.574625,153.934625,parents,I,sd,u-16-1
sw2259B-ms98-a-0026,153.934625,154.034625,were,I,sd,u-16-1
sw2259B-ms98-a-0026,154.034625,154.404625,immigrants,I,sd,u-16-1
sw2259B-ms98-a-0026,154.404625,154.723625,so,B,sd,u-16-2
sw2259B-ms98-a-0027,155.901500,156.005375,i'm,I,sd,u-16-2
sw2259B-ms98-a-0027,156.005375,156.035375,a,I,sd,u-16-2
sw2259B-ms98-a-0027,156.035375,156.195375,little,I,sd,u-16-2
sw2259B-ms98-a-0027,156.195375,156.705375,touchy,I,sd,u-16-2
sw2259B-ms98-a-0027,157.655375,157.885375,every,I,sd,u-16-2
sw2259B-ms98-a-0027,157.885375,158.075375,now,I,sd,u-16-2
sw2259B-ms98-a-0027,158.075375,158.185375,and,I,sd,u-16-2
sw2259B-ms98-a-0027,158.185375,158.375375,then,I,sd,u-16-2
sw2259B-ms98-a-0027,158.375375,158.695375,about,I,sd,u-16-2
sw2259B-ms98-a-0027,158.695375,158.963125,that,I,sd,u-16-2
sw2259B-ms98-a-0027,158.963125,159.484000,[laughter],O,,
sw2259B-ms98-a-0029,171.935250,172.285250,um-hum,B,b,u-18-1
sw2259B-ms98-a-0031,178.007875,178.261500,oh,B,ba,u-20-1
sw2259B-ms98-a-0031,178.261500,178.537750,my,I,ba,u-20-1
sw2259B-ms98-a-0031,178.537750,178.885125,[laughter],O,,
sw2259B-ms98-a-0033,198.280125,198.623875,uh-huh,B,b,u-22-1
sw2259B-ms98-a-0035,212.072250,212.246000,well,B,sv,u-24-1
sw2259B-ms98-a-0035,212.246000,212.326000,i,I,sv,u-24-1
sw2259B-ms98-a-0035,212.326000,212.616000,think,I,sv,u-24-1
sw2259B-ms98-a-0035,212.616000,212.706000,in,I,sv,u-24-1
sw2259B-ms98-a-0035,212.706000,212.776000,a,I,sv,u-24-1
sw2259B-ms98-a-0035,212.776000,213.046000,way,I,sv,u-24-1
sw2259B-ms98-a-0035,213.046000,213.316000,though,I,sv,u-24-1
sw2259B-ms98-a-0035,213.316000,213.531750,uh,I,sv,u-24-1
sw2259B-ms98-a-0035,214.635375,215.013750,uh,I,sv,u-24-1
sw2259B-ms98-a-0035,215.733125,215.886000,i,I,sv,u-24-1
sw2259B-ms98-a-0035,215.886000,216.166000,also,I,sv,u-24-1
sw2259B-ms98-a-0035,216.166000,216.386000,have,I,sv,u-24-1
sw2259B-ms98-a-0035,216.386000,216.686000,uh,I,sv,u-24-1
sw2259B-ms98-a-0035,216.686000,216.826000,an,I,sv,u-24-1
sw2259B-ms98-a-0035,216.826000,217.386000,opposite,I,sv,u-24-1
sw2259B-ms98-a-0035,217.386000,217.706000,[laughter-point],I,sv,u-24-1
sw2259B-ms98-a-0035,217.706000,217.826000,[laughter-of],I,sv,u-24-1
sw2259B-ms98-a-0035,217.826000,218.740250,[laughter-view],I,sv,u-24-1
sw2259B-ms98-a-0035,218.740250,219.056000,which,I,sv,u-24-1
sw2259B-ms98-a-0035,219.056000,219.466000,is,I,sv,u-24-1
sw2259B-ms98-a-0035,219.466000,219.736000,uh,I,sv,u-24-1
sw2259B-ms98-a-0036,221.561125,221.913250,although,I,sv,u-24-1
sw2259B-ms98-a-0036,221.913250,221.983250,i,I,sv,u-24-1
sw2259B-ms98-a-0036,221.983250,222.333250,believe,I,sv,u-24-1
sw2259B-ms98-a-0036,222.333250,222.443250,we,I,sv,u-24-1
sw2259B-ms98-a-0036,222.443250,222.830375,should,I,sv,u-24-1
sw2259B-ms98-a-0036,223.924750,224.181750,uh,I,sv,u-24-1
sw2259B-ms98-a-0036,224.181750,224.794625,permit,I,sv,u-24-1
sw2259B-ms98-a-0036,225.065750,225.667000,uh,I,sv,u-24-1
sw2259B-ms98-a-0036,226.039875,226.133250,you,I,sv,u-24-1
sw2259B-ms98-a-0036,226.133250,226.257500,know,I,sv,u-24-1
sw2259B-ms98-a-0036,226.856375,227.393250,constant,I,sv,u-24-1
sw2259B-ms98-a-0036,227.393250,227.853250,immigration,I,sv,u-24-1
sw2259B-ms98-a-0036,227.853250,228.063250,into,I,sv,u-24-1
sw2259B-ms98-a-0036,228.063250,228.213250,this,I,sv,u-24-1
sw2259B-ms98-a-0036,228.213250,228.666500,country,I,sv,u-24-1
sw2259B-ms98-a-0036,229.528625,229.984750,um,B,+,u-26-1
sw2259B-ms98-a-0037,231.707375,231.798500,i,I,+,u-26-1
sw2259B-ms98-a-0037,231.798500,232.058500,think,I,+,u-26-1
sw2259B-ms98-a-0037,232.058500,232.158500,we,I,+,u-26-1
sw2259B-ms98-a-0037,232.158500,232.591250,should,I,+,u-26-1
sw2259B-ms98-a-0037,233.265375,233.718000,uh,I,+,u-26-1
sw2259B-ms98-a-0037,234.309375,234.828500,primarily,I,+,u-26-1
sw2259B-ms98-a-0037,234.828500,235.078500,for,I,+,u-26-1
sw2259B-ms98-a-0037,235.078500,235.608500,economic,I,+,u-26-1
sw2259B-ms98-a-0037,235.608500,235.998500,reasons,I,+,u-26-1
sw2259B-ms98-a-0037,235.998500,236.078500,i,I,+,u-26-1
sw2259B-ms98-a-0037,236.078500,236.238500,think,I,+,u-26-1
sw2259B-ms98-a-0037,236.238500,236.328500,we,I,+,u-26-1
