sw3908A-ms98-a-0001,0.250000,0.610000,Allen,B,o,u-1-1
sw3908A-ms98-a-0005,42.098625,42.208625,for,I,qh,u-3-2
sw3908A-ms98-a-0005,42.208625,42.348625,it,O,,
sw3908A-ms98-a-0005,42.348625,42.758625,absolu[tely]-,O,,
sw3908A-ms98-a-0005,42.758625,43.368625,responsibilities,B,sd,u-3-3
sw3908A-ms98-a-0005,43.368625,43.428625,is,I,sd,u-3-3
sw3908A-ms98-a-0005,43.428625,43.518625,what,I,sd,u-3-3
sw3908A-ms98-a-0005,43.518625,43.598625,i'm,I,sd,u-3-3
sw3908A-ms98-a-0005,43.598625,43.768625,trying,I,sd,u-3-3
sw3908A-ms98-a-0005,43.768625,43.828625,to,I,sd,u-3-3
sw3908A-ms98-a-0005,43.828625,44.117750,say,I,sd,u-3-3
sw3908A-ms98-a-0007,48.076375,48.467875,uh-huh,B,b,u-5-1
sw3908A-ms98-a-0009,57.321375,57.461375,by,B,aap,u-7-1
sw3908A-ms98-a-0009,57.461375,57.521375,the,I,aap,u-7-1
sw3908A-ms98-a-0009,57.521375,57.741375,same,I,aap,u-7-1
sw3908A-ms98-a-0009,57.741375,58.191125,token,I,aap,u-7-1
sw3908A-ms98-a-0009,58.609250,58.941375,most,I,aap,u-7-1
sw3908A-ms98-a-0009,58.941375,59.181375,in,I,aap,u-7-1
sw3908A-ms98-a-0009,59.181375,59.291375,in,I,aap,u-7-1
sw3908A-ms98-a-0009,59.291375,59.561375,most,I,aap,u-7-1
sw3908A-ms98-a-0009,59.561375,60.111375,cases,I,aap,u-7-1
sw3908A-ms98-a-0009,60.111375,60.501375,women,I,aap,u-7-1
sw3908A-ms98-a-0009,60.501375,60.811375,have,I,aap,u-7-1
sw3908A-ms98-a-0009,60.811375,60.891375,the,I,aap,u-7-1
sw3908A-ms98-a-0009,60.891375,61.361375,jobs,I,aap,u-7-1
sw3908A-ms98-a-0009,61.361375,61.521375,with,I,aap,u-7-1
sw3908A-ms98-a-0009,61.521375,61.591375,the,I,aap,u-7-1
sw3908A-ms98-a-0009,61.591375,61.781375,same,I,aap,u-7-1
sw3908A-ms98-a-0009,61.781375,62.691375,responsibility,I,aap,u-7-1
sw3908A-ms98-a-0009,62.691375,62.891375,of,I,aap,u-7-1
sw3908A-ms98-a-0009,62.891375,63.141375,men,I,aap,u-7-1
sw3908A-ms98-a-0009,63.141375,63.241375,who,I,aap,u-7-1
sw3908A-ms98-a-0009,63.241375,63.411375,been,I,aap,u-7-1
sw3908A-ms98-a-0009,63.411375,63.531375,there,I,aap,u-7-1
sw3908A-ms98-a-0009,63.531375,64.021375,before,I,aap,u-7-1
sw3908A-ms98-a-0009,64.531375,64.711375,but,I,aap,u-7-1
sw3908A-ms98-a-0009,64.711375,64.806000,at,I,aap,u-7-1
sw3908A-ms98-a-0009,64.806000,65.024500,l[ower]-,I,aap,u-7-1
sw3908A-ms98-a-0009,65.024500,65.427625,lower,I,aap,u-7-1
sw3908A-ms98-a-0009,65.427625,66.053250,salaries,I,aap,u-7-1
sw3908A-ms98-a-0009,66.625125,66.931875,i[s]-,O,,
sw3908A-ms98-a-0009,67.420125,67.578375,is,B,qy,u-9-1
sw3908A-ms98-a-0009,67.578375,67.784500,that,I,qy,u-9-1
sw3908A-ms98-a-0009,67.784500,68.046375,right,I,qy,u-9-1
sw3908A-ms98-a-0009,68.046375,68.620500,wrong,O,,
sw3908A-ms98-a-0010,69.646875,69.726875,is,O,,
sw3908A-ms98-a-0010,69.726875,70.001125,that,O,,
sw3908A-ms98-a-0012,75.158250,75.538250,yes,B,aa,u-11-1
sw3908A-ms98-a-0014,80.182375,80.597750,um-hum,B,b,u-13-1
sw3908A-ms98-a-0016,82.798625,82.858625,yeah,B,b,u-15-1
sw3908A-ms98-a-0016,82.858625,83.008625,what,B,qw,u-15-2
sw3908A-ms98-a-0016,83.008625,83.458625,changes,I,qw,u-15-2
sw3908A-ms98-a-0016,83.458625,83.518625,do,I,qw,u-15-2
sw3908A-ms98-a-0016,83.518625,83.618625,you,I,qw,u-15-2
sw3908A-ms98-a-0016,83.618625,83.878625,think,I,qw,u-15-2
sw3908A-ms98-a-0016,83.878625,83.958625,are,I,qw,u-15-2
sw3908A-ms98-a-0016,83.958625,84.258625,most,I,qw,u-15-2
sw3908A-ms98-a-0016,84.258625,84.948625,significant,I,qw,u-15-2
sw3908A-ms98-a-0016,85.138625,85.278625,over,I,qw,u-15-2
sw3908A-ms98-a-0016,85.278625,85.338625,the,I,qw,u-15-2
sw3908A-ms98-a-0016,85.338625,85.658625,past,I,qw,u-15-2
sw3908A-ms98-a-0016,85.658625,85.818625,few,I,qw,u-15-2
sw3908A-ms98-a-0016,85.818625,86.208625,years,I,qw,u-15-2
sw3908A-ms98-a-0017,87.574500,87.844500,any,B,qy^d,u-15-3
sw3908A-ms98-a-0017,87.844500,88.314500,individual,I,qy^d,u-15-3
sw3908A-ms98-a-0017,88.314500,88.744500,thing,I,qy^d,u-15-3
sw3908A-ms98-a-0017,89.504500,89.564500,or,B,qrr,u-17-1
sw3908A-ms98-a-0017,89.564500,89.644500,is,I,qrr,u-17-1
sw3908A-ms98-a-0017,89.644500,89.724500,it,I,qrr,u-17-1
sw3908A-ms98-a-0017,89.724500,89.924500,just,I,qrr,u-17-1
sw3908A-ms98-a-0017,89.924500,89.994500,a,I,qrr,u-17-1
sw3908A-ms98-a-0017,89.994500,90.444500,general,I,qrr,u-17-1
sw3908A-ms98-a-0017,91.144500,91.414500,switch,I,qrr,u-17-1
sw3908A-ms98-a-0017,91.414500,91.724500,over,I,qrr,u-17-1
sw3908A-ms98-a-0019,105.000000,105.380000,um-hum,B,b,u-19-1
sw3908A-ms98-a-0021,115.910000,116.020000,i,B,sv@,u-21-1
sw3908A-ms98-a-0021,116.020000,116.130000,have,I,sv@,u-21-1
sw3908A-ms98-a-0021,116.130000,116.200000,a,I,sv@,u-21-1
sw3908A-ms98-a-0021,116.200000,116.570000,feeling,I,sv@,u-21-1
sw3908A-ms98-a-0021,116.570000,116.720000,that,I,sv@,u-21-1
sw3908A-ms98-a-0021,116.770000,117.060000,[biness/business],I,sv@,u-21-1
sw3908A-ms98-a-0021,117.060000,117.200000,with,I,sv@,u-21-1
sw3908A-ms98-a-0021,117.200000,117.250000,a,I,sv@,u-21-1
sw3908A-ms98-a-0021,117.250000,117.600000,woman,I,sv@,u-21-1
sw3908A-ms98-a-0021,117.600000,117.990000,working,I,sv@,u-21-1
sw3908A-ms98-a-0021,117.990000,118.219875,out,I,sv@,u-21-1
sw3908A-ms98-a-0021,118.722250,118.836375,at,I,sv@,u-21-1
sw3908A-ms98-a-0021,118.836375,118.953125,the,I,sv@,u-21-1
sw3908A-ms98-a-0021,118.953125,119.160000,same,I,sv@,u-21-1
sw3908A-ms98-a-0021,119.160000,119.410000,level,I,sv@,u-21-1
sw3908A-ms98-a-0021,119.410000,119.470000,of,I,sv@,u-21-1
sw3908A-ms98-a-0021,119.470000,120.220000,responsibility,I,sv@,u-21-1
sw3908A-ms98-a-0021,120.220000,120.400000,as,I,sv@,u-21-1
sw3908A-ms98-a-0021,120.400000,120.550000,their,I,sv@,u-21-1
sw3908A-ms98-a-0021,120.550000,121.090000,husband,I,sv@,u-21-1
sw3908A-ms98-a-0022,121.777750,122.157750,sort,I,sv@,u-21-1
sw3908A-ms98-a-0022,122.157750,122.337750,of,I,sv@,u-21-1
sw3908A-ms98-a-0022,122.517750,122.917750,tears,I,sv@,u-21-1
sw3908A-ms98-a-0022,122.917750,123.727750,into,I,sv@,u-21-1
sw3908A-ms98-a-0022,124.287750,124.477750,their,I,sv@,u-21-1
sw3908A-ms98-a-0022,124.477750,124.987750,social,I,sv@,u-21-1
sw3908A-ms98-a-0022,124.987750,125.147750,or,I,sv@,u-21-1
sw3908A-ms98-a-0022,125.147750,125.297750,their,I,sv@,u-21-1
sw3908A-ms98-a-0022,125.297750,125.697750,loving,I,sv@,u-21-1
sw3908A-ms98-a-0022,125.807750,126.547750,relationship,I,sv@,u-21-1
sw3908A-ms98-a-0022,127.197750,127.337750,in,B,+@,u-23-1
sw3908A-ms98-a-0022,127.337750,127.547750,that,I,+@,u-23-1
sw3908A-ms98-a-0022,127.547750,127.887750,uh,I,+@,u-23-1
sw3908A-ms98-a-0023,128.671625,128.871625,the,I,+@,u-23-1
sw3908A-ms98-a-0023,128.871625,128.981625,the,I,+@,u-23-1
sw3908A-ms98-a-0023,128.981625,129.451625,lady,I,+@,u-23-1
sw3908A-ms98-a-0024,130.275000,130.495000,s[tand]-,I,+@,u-23-1
sw3908A-ms98-a-0024,130.495000,130.705000,wants,I,+@,u-23-1
sw3908A-ms98-a-0024,130.705000,130.795000,to,I,+@,u-23-1
sw3908A-ms98-a-0024,130.795000,131.135000,stand,I,+@,u-23-1
sw3908A-ms98-a-0024,131.135000,131.305000,up,I,+@,u-23-1
sw3908A-ms98-a-0024,131.305000,131.405000,for,I,+@,u-23-1
sw3908A-ms98-a-0024,131.405000,131.615000,what,I,+@,u-23-1
sw3908A-ms98-a-0024,131.615000,131.825000,she,I,+@,u-23-1
sw3908A-ms98-a-0024,131.825000,132.035000,has,I,+@,u-23-1
sw3908A-ms98-a-0024,132.035000,132.597500,made,I,+@,u-23-1
sw3908A-ms98-a-0024,132.955250,133.095000,and,I,+@,u-23-1
sw3908A-ms98-a-0024,133.095000,133.275000,her,I,+@,u-23-1
sw3908A-ms98-a-0024,133.275000,133.475000,own,I,+@,u-23-1
sw3908A-ms98-a-0024,133.475000,133.855000,rights,I,+@,u-23-1
sw3908A-ms98-a-0024,133.875000,134.025000,and,I,+@,u-23-1
sw3908A-ms98-a-0024,134.025000,134.185000,has,I,+@,u-23-1
sw3908A-ms98-a-0024,134.185000,134.355000,every,I,+@,u-23-1
sw3908A-ms98-a-0024,134.355000,134.515000,right,I,+@,u-23-1
sw3908A-ms98-a-0024,134.515000,134.585000,to,I,+@,u-23-1
sw3908A-ms98-a-0024,134.585000,134.755000,do,I,+@,u-23-1
sw3908A-ms98-a-0024,134.755000,135.123500,so,I,+@,u-23-1
sw3908A-ms98-a-0024,135.571750,135.855000,and,B,sv,u-23-2
sw3908A-ms98-a-0024,135.855000,136.045000,this,I,sv,u-23-2
sw3908A-ms98-a-0024,136.045000,136.435000,upsets,I,sv,u-23-2
sw3908A-ms98-a-0024,136.435000,136.505000,the,I,sv,u-23-2
sw3908A-ms98-a-0024,136.505000,136.835000,man,I,sv,u-23-2
sw3908A-ms98-a-0024,136.835000,137.182500,because,I,sv,u-23-2
sw3908A-ms98-a-0024,137.359500,137.585000,uh,I,sv,u-23-2
sw3908A-ms98-a-0024,137.585000,137.805000,we've,I,sv,u-23-2
sw3908A-ms98-a-0024,137.805000,138.105000,always,I,sv,u-23-2
sw3908A-ms98-a-0024,138.105000,138.285000,been,I,sv,u-23-2
sw3908A-ms98-a-0024,138.285000,138.525000,built,I,sv,u-23-2
sw3908A-ms98-a-0024,138.525000,138.595000,to,I,sv,u-23-2
sw3908A-ms98-a-0024,138.595000,138.865000,think,I,sv,u-23-2
sw3908A-ms98-a-0024,138.865000,138.965000,that,I,sv,u-23-2
sw3908A-ms98-a-0024,138.965000,139.105000,we,I,sv,u-23-2
sw3908A-ms98-a-0024,139.105000,139.325000,were,I,sv,u-23-2
sw3908A-ms98-a-0024,139.325000,139.585000,sort,I,sv,u-23-2
sw3908A-ms98-a-0024,139.585000,139.705000,of,I,sv,u-23-2
sw3908A-ms98-a-0024,139.945000,140.115000,head,I,sv,u-23-2
sw3908A-ms98-a-0024,140.115000,140.185000,of,I,sv,u-23-2
sw3908A-ms98-a-0024,140.185000,140.255000,the,I,sv,u-23-2
sw3908A-ms98-a-0024,140.255000,140.765000,household,I,sv,u-23-2
sw3908A-ms98-a-0025,141.497125,141.717125,so,B,qy,u-23-3
sw3908A-ms98-a-0025,141.717125,141.817125,do,I,qy,u-23-3
sw3908A-ms98-a-0025,141.817125,141.897125,you,I,qy,u-23-3
sw3908A-ms98-a-0025,141.897125,142.117125,think,I,qy,u-23-3
sw3908A-ms98-a-0025,142.117125,142.267125,that,I,qy,u-23-3
sw3908A-ms98-a-0025,142.267125,142.387125,is,I,qy,u-23-3
sw3908A-ms98-a-0025,142.387125,142.597125,gonna,I,qy,u-23-3
sw3908A-ms98-a-0025,142.597125,143.007125,be,I,qy,u-23-3
sw3908A-ms98-a-0025,143.007125,143.237125,uh,I,qy,u-23-3
sw3908A-ms98-a-0025,143.237125,143.887125,difficult,I,qy,u-23-3
sw3908A-ms98-a-0025,144.077125,144.477125,saying,I,qy,u-23-3
sw3908A-ms98-a-0025,144.477125,144.597125,as,I,qy,u-23-3
sw3908A-ms98-a-0025,144.597125,144.877125,far,I,qy,u-23-3
sw3908A-ms98-a-0025,144.877125,145.067125,as,I,qy,u-23-3
sw3908A-ms98-a-0025,145.067125,145.227125,uh,I,qy,u-23-3
sw3908A-ms98-a-0025,145.227125,145.957125,marriages,I,qy,u-23-3
sw3908A-ms98-a-0025,145.957125,146.127125,and,I,qy,u-23-3
sw3908A-ms98-a-0025,146.477125,146.797125,people,I,qy,u-23-3
sw3908A-ms98-a-0025,146.797125,147.327125,enjoying,I,qy,u-23-3
sw3908A-ms98-a-0025,147.327125,147.567125,each,I,qy,u-23-3
sw3908A-ms98-a-0025,147.567125,147.837125,other,I,qy,u-23-3
sw3908A-ms98-a-0025,148.137125,148.357125,in,B,+,u-25-1
sw3908A-ms98-a-0025,148.357125,148.477125,the,I,+,u-25-1
sw3908A-ms98-a-0025,148.477125,148.767125,future,I,+,u-25-1
sw3908A-ms98-a-0025,148.767125,149.177125,years,I,+,u-25-1
sw3908A-ms98-a-0027,157.519875,157.879875,um-hum,B,b,u-27-1
sw3908A-ms98-a-0029,162.312250,162.432250,well,B,qy,u-29-1
sw3908A-ms98-a-0029,162.432250,162.492250,do,I,qy,u-29-1
sw3908A-ms98-a-0029,162.492250,162.592250,you,I,qy,u-29-1
sw3908A-ms98-a-0029,162.592250,162.782250,have,I,qy,u-29-1
sw3908A-ms98-a-0029,162.782250,163.162250,any,I,qy,u-29-1
sw3908A-ms98-a-0029,163.162250,163.582250,opinion,I,qy,u-29-1
sw3908A-ms98-a-0029,163.582250,163.742250,of,I,qy,u-29-1
sw3908A-ms98-a-0029,163.852250,164.632250,potential,I,qy,u-29-1
sw3908A-ms98-a-0029,164.632250,165.082250,changes,I,qy,u-29-1
sw3908A-ms98-a-0029,165.082250,165.232250,that,I,qy,u-29-1
sw3908A-ms98-a-0029,165.232250,165.352250,may,I,qy,u-29-1
sw3908A-ms98-a-0029,165.352250,165.542250,occ[ur]-,I,qy,u-29-1
sw3908A-ms98-a-0029,165.542250,165.812250,occur,I,qy,u-29-1
sw3908A-ms98-a-0029,165.812250,165.872250,in,I,qy,u-29-1
sw3908A-ms98-a-0029,165.872250,165.932250,the,I,qy,u-29-1
sw3908A-ms98-a-0029,165.932250,166.112250,next,I,qy,u-29-1
sw3908A-ms98-a-0029,166.112250,166.662250,generation,I,qy,u-29-1
sw3908A-ms98-a-0029,167.592250,168.342250,specifically,B,+,u-31-1
sw3908A-ms98-a-0031,175.466500,175.816500,um-hum,B,b,u-33-1
sw3908A-ms98-a-0033,187.525250,188.080000,um-hum,B,b,u-35-1
sw3908A-ms98-a-0035,191.524750,191.829875,yes,B,aa,u-37-1
sw3908A-ms98-a-0037,194.071500,194.261500,well,B,%,u-39-1
sw3908A-ms98-a-0037,194.261500,194.321500,i,I,%,u-39-1
sw3908A-ms98-a-0037,194.321500,194.651500,actually,I,%,u-39-1
sw3908A-ms98-a-0037,194.651500,194.801500,mo[st]-,O,,
sw3908A-ms98-a-0037,194.801500,195.151500,lot,B,sv,u-39-2
sw3908A-ms98-a-0037,195.151500,195.231500,of,I,sv,u-39-2
sw3908A-ms98-a-0037,195.231500,195.471500,women,I,sv,u-39-2
sw3908A-ms98-a-0037,195.471500,195.561500,are,I,sv,u-39-2
sw3908A-ms98-a-0037,195.561500,195.861500,being,I,sv,u-39-2
sw3908A-ms98-a-0037,195.861500,196.191500,hired,I,sv,u-39-2
sw3908A-ms98-a-0037,196.191500,196.531500,now,I,sv,u-39-2
sw3908A-ms98-a-0037,196.851500,197.171500,instead,I,sv,u-39-2
sw3908A-ms98-a-0037,197.171500,197.261500,of,I,sv,u-39-2
sw3908A-ms98-a-0037,197.261500,197.551500,men,I,sv,u-39-2
sw3908A-ms98-a-0037,197.551500,197.881500,because,I,sv,u-39-2
sw3908A-ms98-a-0037,197.881500,198.001500,they,I,sv,u-39-2
sw3908A-ms98-a-0037,198.001500,198.211500,can,I,sv,u-39-2
sw3908A-ms98-a-0037,198.211500,198.311500,be,I,sv,u-39-2
sw3908A-ms98-a-0037,198.311500,198.611500,brought,I,sv,u-39-2
sw3908A-ms98-a-0037,198.611500,198.741500,in,I,sv,u-39-2
sw3908A-ms98-a-0037,198.741500,198.851500,at,I,sv,u-39-2
sw3908A-ms98-a-0037,198.851500,199.091500,lower,I,sv,u-39-2
sw3908A-ms98-a-0037,199.091500,199.601500,salaries,I,sv,u-39-2
sw3908A-ms98-a-0037,199.601500,199.960875,because,I,sv,u-39-2
sw3908A-ms98-a-0037,200.322375,200.491500,that's,I,sv,u-39-2
sw3908A-ms98-a-0037,200.491500,200.581500,what,I,sv,u-39-2
sw3908A-ms98-a-0037,200.581500,200.921500,everybody,I,sv,u-39-2
sw3908A-ms98-a-0037,200.921500,201.131500,else,I,sv,u-39-2
sw3908A-ms98-a-0037,201.131500,201.491500,assumes,I,sv,u-39-2
sw3908A-ms98-a-0037,201.491500,201.581500,they're,I,sv,u-39-2
sw3908A-ms98-a-0037,201.581500,201.801500,gonna,I,sv,u-39-2
sw3908A-ms98-a-0037,201.801500,202.081500,get,I,sv,u-39-2
sw3908A-ms98-a-0038,202.608000,202.718000,and,B,sv,u-41-1
sw3908A-ms98-a-0038,202.718000,202.778000,the,I,sv,u-41-1
sw3908A-ms98-a-0038,202.778000,203.108000,people,I,sv,u-41-1
sw3908A-ms98-a-0038,203.488000,203.578000,well,B,qw,u-41-2
sw3908A-ms98-a-0038,203.578000,203.698000,how,I,qw,u-41-2
sw3908A-ms98-a-0038,203.698000,203.768000,do,I,qw,u-41-2
sw3908A-ms98-a-0038,203.768000,203.858000,you,I,qw,u-41-2
sw3908A-ms98-a-0038,203.858000,204.068000,feel,I,qw,u-41-2
sw3908A-ms98-a-0038,204.068000,204.298000,about,I,qw,u-41-2
sw3908A-ms98-a-0038,204.298000,204.738000,women,I,qw,u-41-2
sw3908A-ms98-a-0038,204.738000,205.048000,in,I,qw,u-41-2
sw3908A-ms98-a-0038,205.048000,205.408000,uh,I,qw,u-41-2
sw3908A-ms98-a-0038,205.408000,205.698000,armed,I,qw,u-41-2
sw3908A-ms98-a-0038,205.698000,206.261375,services,I,qw,u-41-2
sw3908A-ms98-a-0040,214.848500,215.291250,yeah,B,b,u-43-1
sw3908A-ms98-a-0042,218.676375,218.955375,um,B,b,u-45-1
sw3908A-ms98-a-0044,221.059875,221.697000,yeah,B,b,u-47-1
sw3908A-ms98-a-0044,222.077000,222.221875,i,B,ar,u-47-2
sw3908A-ms98-a-0044,222.221875,222.681875,somehow,I,ar,u-47-2
sw3908A-ms98-a-0044,222.681875,222.981875,can't,I,ar,u-47-2
sw3908A-ms98-a-0044,222.981875,223.121875,do,I,ar,u-47-2
sw3908A-ms98-a-0044,223.121875,223.271875,that,I,ar,u-47-2
sw3908A-ms98-a-0044,223.271875,223.491875,i,B,sd,u-47-3
sw3908A-ms98-a-0044,223.491875,223.651875,we[ll]-,O,,
sw3908A-ms98-a-0044,223.651875,223.741875,i,O,,
sw3908A-ms98-a-0044,223.831875,224.031875,was,B,+,u-49-1
sw3908A-ms98-a-0044,224.031875,224.271875,brought,I,+,u-49-1
sw3908A-ms98-a-0044,224.271875,224.501875,up,I,+,u-49-1
sw3908A-ms98-a-0044,224.501875,224.621875,in,I,+,u-49-1
sw3908A-ms98-a-0044,224.621875,224.861875,the,I,+,u-49-1
sw3908A-ms98-a-0044,224.861875,225.261875,ages,I,+,u-49-1
sw3908A-ms98-a-0044,225.261875,225.459125,when,I,+,u-49-1
sw3908A-ms98-a-0044,225.877125,226.001875,the,I,+,u-49-1
sw3908A-ms98-a-0044,226.001875,226.431875,ladies,I,+,u-49-1
sw3908A-ms98-a-0044,226.431875,226.801875,were,I,+,u-49-1
sw3908A-ms98-a-0044,227.071875,227.371875,kept,I,+,u-49-1
sw3908A-ms98-a-0044,227.371875,227.781875,home,I,+,u-49-1
sw3908A-ms98-a-0044,227.961875,228.361875,safe,I,+,u-49-1
sw3908A-ms98-a-0044,228.361875,229.011875,secure,I,+,u-49-1
sw3908A-ms98-a-0044,229.011875,229.141875,and,I,+,u-49-1
sw3908A-ms98-a-0044,229.141875,229.321875,made,I,+,u-49-1
sw3908A-ms98-a-0044,229.321875,229.749375,happy,I,+,u-49-1
sw3908A-ms98-a-0044,230.088375,230.221875,and,B,sd,u-49-2
sw3908A-ms98-a-0044,230.221875,230.281875,the,I,sd,u-49-2
sw3908A-ms98-a-0044,230.281875,230.641875,men,I,sd,u-49-2
sw3908A-ms98-a-0044,230.641875,230.821875,went,I,sd,u-49-2
sw3908A-ms98-a-0044,230.821875,231.081875,out,I,sd,u-49-2
sw3908A-ms98-a-0044,231.081875,231.281875,and,I,sd,u-49-2
sw3908A-ms98-a-0044,231.281875,231.471875,took,I,sd,u-49-2
sw3908A-ms98-a-0044,231.471875,231.541875,the,I,sd,u-49-2
