sw2776A-ms98-a-0002,2.398000,2.848000,great,B,ba,u-2-1
sw2776A-ms98-a-0003,18.760125,19.230125,turns,I,sd,u-4-4
sw2776A-ms98-a-0004,19.921375,20.661375,um,O,,
sw2776A-ms98-a-0004,21.141375,21.251375,at,B,sd,u-4-5
sw2776A-ms98-a-0004,21.251375,21.591375,one,I,sd,u-4-5
sw2776A-ms98-a-0004,21.591375,21.931375,time,I,sd,u-4-5
sw2776A-ms98-a-0004,21.931375,22.011375,i,I,sd,u-4-5
sw2776A-ms98-a-0004,22.011375,22.371375,had,I,sd,u-4-5
sw2776A-ms98-a-0004,22.371375,22.581375,a,I,sd,u-4-5
sw2776A-ms98-a-0004,22.581375,22.621375,a,I,sd,u-4-5
sw2776A-ms98-a-0004,22.621375,23.031375,fairly,I,sd,u-4-5
sw2776A-ms98-a-0004,23.031375,23.481375,regular,I,sd,u-4-5
sw2776A-ms98-a-0004,23.481375,24.001375,exercise,I,sd,u-4-5
sw2776A-ms98-a-0004,24.001375,24.581375,program,I,sd,u-4-5
sw2776A-ms98-a-0005,25.163125,25.453125,but,B,sd,u-4-6
sw2776A-ms98-a-0005,25.453125,25.573125,in,I,sd,u-4-6
sw2776A-ms98-a-0005,25.573125,25.693125,the,I,sd,u-4-6
sw2776A-ms98-a-0005,25.693125,26.053125,last,I,sd,u-4-6
sw2776A-ms98-a-0005,26.053125,26.243125,couple,I,sd,u-4-6
sw2776A-ms98-a-0005,26.243125,26.313125,of,I,sd,u-4-6
sw2776A-ms98-a-0005,26.313125,26.643125,months,I,sd,u-4-6
sw2776A-ms98-a-0005,26.643125,26.773125,i've,I,sd,u-4-6
sw2776A-ms98-a-0005,26.813125,27.463125,changed,I,sd,u-4-6
sw2776A-ms98-a-0005,27.463125,27.623125,to,I,sd,u-4-6
sw2776A-ms98-a-0005,27.813125,28.103125,a,I,sd,u-4-6
sw2776A-ms98-a-0005,28.353125,28.443125,a,I,sd,u-4-6
sw2776A-ms98-a-0005,28.443125,28.633125,new,I,sd,u-4-6
sw2776A-ms98-a-0005,28.723125,29.253125,residence,I,sd,u-4-6
sw2776A-ms98-a-0006,29.789750,30.519750,and,I,sd,u-4-6
sw2776A-ms98-a-0006,30.519750,30.859750,everything,I,sd,u-4-6
sw2776A-ms98-a-0006,30.859750,30.979750,has,I,sd,u-4-6
sw2776A-ms98-a-0006,30.979750,31.359750,gotten,I,sd,u-4-6
sw2776A-ms98-a-0006,31.419750,31.579750,kind,I,sd,u-4-6
sw2776A-ms98-a-0006,31.579750,31.659750,of,I,sd,u-4-6
sw2776A-ms98-a-0006,31.659750,31.919750,turned,I,sd,u-4-6
sw2776A-ms98-a-0006,31.919750,32.329750,upside,I,sd,u-4-6
sw2776A-ms98-a-0006,32.329750,32.649750,down,I,sd,u-4-6
sw2776A-ms98-a-0006,32.649750,32.779750,all,B,sd,u-4-7
sw2776A-ms98-a-0006,32.779750,32.919750,this,I,sd,u-4-7
sw2776A-ms98-a-0006,32.919750,33.319750,space,I,sd,u-4-7
sw2776A-ms98-a-0006,33.319750,33.609750,that,I,sd,u-4-7
sw2776A-ms98-a-0006,33.609750,33.769750,uh,I,sd,u-4-7
sw2776A-ms98-a-0006,33.969750,34.349750,[laughter-normally],I,sd,u-4-7
sw2776A-ms98-a-0006,34.439750,34.539750,[laughter-would],I,sd,u-4-7
sw2776A-ms98-a-0006,34.559750,34.679750,[laughter-be],I,sd,u-4-7
sw2776A-ms98-a-0006,34.709750,35.419750,[laughter-dedicated],I,sd,u-4-7
sw2776A-ms98-a-0006,35.419750,35.799750,towards,I,sd,u-4-7
sw2776A-ms98-a-0006,35.799750,35.979750,the,I,sd,u-4-7
sw2776A-ms98-a-0006,36.279750,37.039750,exercise,B,+,u-6-1
sw2776A-ms98-a-0006,37.039750,37.439750,area,I,+,u-6-1
sw2776A-ms98-a-0006,37.439750,37.699750,is,I,+,u-6-1
sw2776A-ms98-a-0006,37.699750,37.929750,uh,I,+,u-6-1
sw2776A-ms98-a-0006,37.929750,38.409750,covered,I,+,u-6-1
sw2776A-ms98-a-0006,38.409750,38.539750,in,I,+,u-6-1
sw2776A-ms98-a-0006,38.539750,39.029750,boxes,I,+,u-6-1
sw2776A-ms98-a-0008,46.217875,46.497875,well,B,sd,u-8-1
sw2776A-ms98-a-0008,46.497875,46.587875,i,I,sd,u-8-1
sw2776A-ms98-a-0008,46.587875,46.817875,had,I,sd,u-8-1
sw2776A-ms98-a-0008,46.817875,46.847875,a,I,sd,u-8-1
sw2776A-ms98-a-0008,46.847875,47.307875,a,I,sd,u-8-1
sw2776A-ms98-a-0008,47.587875,47.627875,a,I,sd,u-8-1
sw2776A-ms98-a-0008,47.627875,47.927875,little,I,sd,u-8-1
sw2776A-ms98-a-0008,47.927875,48.387875,routine,I,sd,u-8-1
sw2776A-ms98-a-0008,48.387875,48.537875,that,I,sd,u-8-1
sw2776A-ms98-a-0008,48.537875,48.737875,i,I,sd,u-8-1
sw2776A-ms98-a-0008,49.047875,49.137875,i,I,sd,u-8-1
sw2776A-ms98-a-0008,49.137875,49.507875,did,I,sd,u-8-1
sw2776A-ms98-a-0008,49.507875,49.947875,for,I,sd,u-8-1
sw2776A-ms98-a-0008,49.947875,49.977875,uh,I,sd,u-8-1
sw2776A-ms98-a-0008,49.977875,50.387875,warm,I,sd,u-8-1
sw2776A-ms98-a-0008,50.387875,51.237875,ups,I,sd,u-8-1
sw2776A-ms98-a-0008,51.417875,52.137875,and,B,sd,u-10-1
sw2776A-ms98-a-0008,52.167875,52.377875,then,I,sd,u-10-1
sw2776A-ms98-a-0008,52.377875,52.447875,i,I,sd,u-10-1
sw2776A-ms98-a-0008,52.447875,52.687875,did,I,sd,u-10-1
sw2776A-ms98-a-0008,52.727875,53.327875,some,I,sd,u-10-1
sw2776A-ms98-a-0008,53.327875,53.377875,uh,I,sd,u-10-1
sw2776A-ms98-a-0008,53.377875,53.817875,very,I,sd,u-10-1
sw2776A-ms98-a-0009,54.972625,55.062625,m[ild]-,I,sd,u-10-1
sw2776A-ms98-a-0009,55.062625,55.672625,mild,I,sd,u-10-1
sw2776A-ms98-a-0009,56.062625,56.282625,say,I,sd,u-10-1
sw2776A-ms98-a-0009,56.482625,56.732625,light,I,sd,u-10-1
sw2776A-ms98-a-0009,56.912625,57.202625,weight,I,sd,u-10-1
sw2776A-ms98-a-0009,57.202625,57.542625,lifting,I,sd,u-10-1
sw2776A-ms98-a-0010,58.266875,58.606875,nothing,B,sd,u-10-2
sw2776A-ms98-a-0010,58.606875,58.736875,and,O,,
sw2776A-ms98-a-0010,58.736875,58.806875,i'm,B,sd,u-10-3
sw2776A-ms98-a-0010,58.806875,58.966875,not,I,sd,u-10-3
sw2776A-ms98-a-0010,58.966875,59.266875,trying,I,sd,u-10-3
sw2776A-ms98-a-0010,59.266875,59.396875,to,I,sd,u-10-3
sw2776A-ms98-a-0010,59.396875,59.696875,make,I,sd,u-10-3
sw2776A-ms98-a-0010,59.696875,59.886875,big,I,sd,u-10-3
sw2776A-ms98-a-0010,59.886875,60.306875,bulging,I,sd,u-10-3
sw2776A-ms98-a-0010,60.306875,60.686875,muscles,I,sd,u-10-3
sw2776A-ms98-a-0010,60.716875,60.946875,just,B,+,u-12-1
sw2776A-ms98-a-0010,60.946875,61.186875,trying,I,+,u-12-1
sw2776A-ms98-a-0010,61.186875,61.376875,to,I,+,u-12-1
sw2776A-ms98-a-0010,61.756875,61.846875,try,I,+,u-12-1
sw2776A-ms98-a-0010,61.846875,62.166875,stay,I,+,u-12-1
sw2776A-ms98-a-0010,62.166875,62.286875,as,I,+,u-12-1
sw2776A-ms98-a-0010,62.326875,62.656875,firm,I,+,u-12-1
sw2776A-ms98-a-0010,62.656875,62.786875,as,I,+,u-12-1
sw2776A-ms98-a-0010,62.786875,62.886875,i,I,+,u-12-1
sw2776A-ms98-a-0010,62.886875,63.066875,can,I,+,u-12-1
sw2776A-ms98-a-0010,63.066875,63.406875,stay,I,+,u-12-1
sw2776A-ms98-a-0010,63.406875,63.526875,in,I,+,u-12-1
sw2776A-ms98-a-0010,63.526875,63.726875,my,I,+,u-12-1
sw2776A-ms98-a-0010,63.876875,64.086875,old,I,+,u-12-1
sw2776A-ms98-a-0010,64.086875,64.516875,age,I,+,u-12-1
sw2776A-ms98-a-0010,64.516875,65.206875,[laughter],O,,
sw2776A-ms98-a-0011,67.230250,67.360250,[laughter],O,,
sw2776A-ms98-a-0013,86.652250,86.992250,um-hum,B,b,u-14-1
sw2776A-ms98-a-0015,101.703625,102.113625,um-hum,B,b,u-16-1
sw2776A-ms98-a-0017,150.354000,150.534000,yeah,B,b,u-18-1
sw2776A-ms98-a-0017,150.534000,150.884000,that's,B,sv,u-18-2
sw2776A-ms98-a-0017,150.884000,151.264000,that's,I,sv,u-18-2
sw2776A-ms98-a-0017,151.294000,151.524000,that's,I,sv,u-18-2
sw2776A-ms98-a-0017,151.524000,151.564000,a,I,sv,u-18-2
sw2776A-ms98-a-0017,151.564000,152.014000,plus,I,sv,u-18-2
sw2776A-ms98-a-0017,152.794000,153.054000,uh,O,,
sw2776A-ms98-a-0017,153.054000,153.124000,i,B,sd,u-18-3
sw2776A-ms98-a-0017,153.124000,153.394000,have,I,sd,u-18-3
sw2776A-ms98-a-0017,153.544000,153.924000,a,I,sd,u-18-3
sw2776A-ms98-a-0017,154.004000,154.274000,total,I,sd,u-18-3
sw2776A-ms98-a-0017,154.274000,154.334000,of,I,sd,u-18-3
sw2776A-ms98-a-0017,154.334000,154.734000,five,I,sd,u-18-3
sw2776A-ms98-a-0017,154.734000,155.144000,children,I,sd,u-18-3
sw2776A-ms98-a-0017,155.144000,155.194000,i,B,sd,u-18-4
sw2776A-ms98-a-0017,155.194000,155.314000,have,I,sd,u-18-4
sw2776A-ms98-a-0017,155.314000,155.554000,three,I,sd,u-18-4
sw2776A-ms98-a-0017,155.554000,155.814000,left,I,sd,u-18-4
sw2776A-ms98-a-0017,155.814000,156.024000,living,I,sd,u-18-4
sw2776A-ms98-a-0017,156.024000,156.114000,at,I,sd,u-18-4
sw2776A-ms98-a-0017,156.114000,156.394000,home,I,sd,u-18-4
sw2776A-ms98-a-0018,157.489000,157.859000,and,B,sd,u-20-1
sw2776A-ms98-a-0018,157.859000,157.979000,they,I,sd,u-20-1
sw2776A-ms98-a-0018,157.979000,158.129000,do,I,sd,u-20-1
sw2776A-ms98-a-0018,158.129000,158.379000,take,I,sd,u-20-1
sw2776A-ms98-a-0018,158.379000,158.499000,up,I,sd,u-20-1
sw2776A-ms98-a-0018,158.499000,158.569000,a,I,sd,u-20-1
sw2776A-ms98-a-0018,158.569000,158.829000,big,I,sd,u-20-1
sw2776A-ms98-a-0018,158.829000,159.139000,part,I,sd,u-20-1
sw2776A-ms98-a-0018,159.139000,159.219000,of,I,sd,u-20-1
sw2776A-ms98-a-0018,159.339000,159.709000,my,I,sd,u-20-1
sw2776A-ms98-a-0018,160.289000,160.319000,uh,I,sd,u-20-1
sw2776A-ms98-a-0018,160.319000,160.469000,my,I,sd,u-20-1
sw2776A-ms98-a-0018,160.499000,160.869000,evening,I,sd,u-20-1
sw2776A-ms98-a-0018,160.869000,161.029000,and,I,sd,u-20-1
sw2776A-ms98-a-0018,161.029000,161.459000,weekend,I,sd,u-20-1
sw2776A-ms98-a-0019,162.623000,163.043000,and,B,sv,u-22-1
sw2776A-ms98-a-0019,163.043000,163.493000,it's,I,sv,u-22-1
sw2776A-ms98-a-0019,163.493000,163.823000,tough,I,sv,u-22-1
sw2776A-ms98-a-0019,163.893000,164.083000,being,I,sv,u-22-1
sw2776A-ms98-a-0019,164.083000,164.133000,a,I,sv,u-22-1
sw2776A-ms98-a-0019,164.133000,164.583000,parent,I,sv,u-22-1
sw2776A-ms98-a-0019,164.583000,164.683000,and,I,sv,u-22-1
sw2776A-ms98-a-0019,164.683000,164.893000,trying,I,sv,u-22-1
sw2776A-ms98-a-0019,164.893000,164.953000,to,I,sv,u-22-1
sw2776A-ms98-a-0019,164.953000,165.093000,do,I,sv,u-22-1
sw2776A-ms98-a-0019,165.093000,165.213000,all,I,sv,u-22-1
sw2776A-ms98-a-0019,165.213000,165.313000,the,I,sv,u-22-1
sw2776A-ms98-a-0019,165.313000,165.573000,things,I,sv,u-22-1
sw2776A-ms98-a-0019,165.573000,165.723000,that,I,sv,u-22-1
sw2776A-ms98-a-0019,165.723000,165.803000,you,I,sv,u-22-1
sw2776A-ms98-a-0019,165.803000,166.013000,should,I,sv,u-22-1
sw2776A-ms98-a-0019,166.013000,166.123000,do,I,sv,u-22-1
sw2776A-ms98-a-0019,166.123000,166.283000,for,I,sv,u-22-1
sw2776A-ms98-a-0019,166.283000,166.763000,yourself,I,sv,u-22-1
sw2776A-ms98-a-0019,166.763000,167.083000,too,I,sv,u-22-1
sw2776A-ms98-a-0019,167.103000,167.713000,[laughter],O,,
sw2776A-ms98-a-0020,168.550875,168.870875,it's,B,sv,u-24-1
sw2776A-ms98-a-0020,168.870875,169.060875,uh,I,sv,u-24-1
sw2776A-ms98-a-0020,169.060875,169.440875,something,I,sv,u-24-1
sw2776A-ms98-a-0020,169.440875,169.520875,they,I,sv,u-24-1
sw2776A-ms98-a-0020,169.520875,169.700875,don't,I,sv,u-24-1
sw2776A-ms98-a-0020,169.700875,169.820875,tell,I,sv,u-24-1
sw2776A-ms98-a-0020,169.820875,169.930875,you,I,sv,u-24-1
sw2776A-ms98-a-0020,169.930875,170.180875,about,I,sv,u-24-1
sw2776A-ms98-a-0020,170.180875,170.280875,when,I,sv,u-24-1
sw2776A-ms98-a-0020,170.280875,170.370875,you're,I,sv,u-24-1
sw2776A-ms98-a-0020,170.370875,170.720875,growing,I,sv,u-24-1
sw2776A-ms98-a-0020,170.720875,171.050875,up,I,sv,u-24-1
sw2776A-ms98-a-0021,172.038375,172.328375,yes,B,aa,u-24-2
sw2776A-ms98-a-0021,172.328375,172.428375,when,B,sv,u-24-3
sw2776A-ms98-a-0021,172.428375,172.518375,you,I,sv,u-24-3
sw2776A-ms98-a-0021,172.518375,172.738375,become,I,sv,u-24-3
sw2776A-ms98-a-0021,172.738375,172.818375,a,I,sv,u-24-3
sw2776A-ms98-a-0021,172.818375,173.248375,parent,I,sv,u-24-3
sw2776A-ms98-a-0021,173.728375,173.928375,most,I,sv,u-24-3
sw2776A-ms98-a-0021,173.928375,173.988375,of,I,sv,u-24-3
sw2776A-ms98-a-0021,173.988375,174.078375,your,I,sv,u-24-3
sw2776A-ms98-a-0021,174.078375,174.228375,life,I,sv,u-24-3
sw2776A-ms98-a-0021,174.228375,174.308375,is,I,sv,u-24-3
sw2776A-ms98-a-0021,174.308375,174.428375,going,I,sv,u-24-3
sw2776A-ms98-a-0021,174.428375,174.488375,to,I,sv,u-24-3
sw2776A-ms98-a-0021,174.488375,174.558375,be,I,sv,u-24-3
sw2776A-ms98-a-0021,174.558375,175.028375,dedicated,I,sv,u-24-3
sw2776A-ms98-a-0021,175.028375,175.098375,to,I,sv,u-24-3
sw2776A-ms98-a-0021,175.098375,175.238375,your,I,sv,u-24-3
sw2776A-ms98-a-0021,175.238375,175.588375,children,I,sv,u-24-3
sw2776A-ms98-a-0022,177.133500,177.733500,[laughter],O,,
sw2776A-ms98-a-0024,195.006375,195.256375,um-hum,O,,
sw2776A-ms98-a-0026,223.145750,223.415750,yeah,B,b,u-28-1
sw2776A-ms98-a-0028,225.069875,225.199875,well,O,,
sw2776A-ms98-a-0028,225.199875,225.419875,there's,O,,
sw2776A-ms98-a-0028,225.819875,226.009875,you,B,sv,u-30-1
sw2776A-ms98-a-0028,226.009875,226.109875,you,I,sv,u-30-1
sw2776A-ms98-a-0028,226.109875,226.359875,have,I,sv,u-30-1
sw2776A-ms98-a-0028,226.359875,226.669875,to,I,sv,u-30-1
sw2776A-ms98-a-0029,227.908625,228.118625,uh,O,,
sw2776A-ms98-a-0029,228.118625,228.298625,what,B,sv,u-30-2
sw2776A-ms98-a-0029,228.298625,228.428625,i,I,sv,u-30-2
sw2776A-ms98-a-0029,228.428625,228.768625,found,I,sv,u-30-2
sw2776A-ms98-a-0029,228.768625,228.918625,from,I,sv,u-30-2
sw2776A-ms98-a-0029,228.918625,229.028625,my,I,sv,u-30-2
sw2776A-ms98-a-0029,229.028625,229.638625,experiences,I,sv,u-30-2
sw2776A-ms98-a-0029,229.638625,229.728625,you,I,sv,u-30-2
sw2776A-ms98-a-0029,229.728625,229.938625,have,I,sv,u-30-2
sw2776A-ms98-a-0029,229.938625,230.048625,to,I,sv,u-30-2
sw2776A-ms98-a-0029,230.048625,230.448625,budget,I,sv,u-30-2
sw2776A-ms98-a-0029,230.448625,230.758625,time,I,sv,u-30-2
sw2776A-ms98-a-0029,230.758625,230.908625,for,I,sv,u-30-2
sw2776A-ms98-a-0029,230.908625,231.438625,yourself,I,sv,u-30-2
sw2776A-ms98-a-0030,232.380375,233.050375,and,B,sv,u-32-1
sw2776A-ms98-a-0030,233.110375,233.430375,then,I,sv,u-32-1
sw2776A-ms98-a-0030,233.430375,233.500375,uh,I,sv,u-32-1
sw2776A-ms98-a-0030,233.500375,233.930375,the,I,sv,u-32-1
sw2776A-ms98-a-0030,234.190375,234.400375,you,I,sv,u-32-1
sw2776A-ms98-a-0030,234.710375,234.850375,you,I,sv,u-32-1
sw2776A-ms98-a-0030,234.850375,235.060375,can,I,sv,u-32-1
sw2776A-ms98-a-0030,235.060375,235.270375,use,I,sv,u-32-1
sw2776A-ms98-a-0030,235.270375,235.410375,what,I,sv,u-32-1
sw2776A-ms98-a-0030,235.410375,235.580375,ever,I,sv,u-32-1
sw2776A-ms98-a-0030,235.580375,236.110375,rationale,I,sv,u-32-1
sw2776A-ms98-a-0030,236.110375,236.230375,you,I,sv,u-32-1
sw2776A-ms98-a-0030,236.230375,236.560375,want,I,sv,u-32-1
sw2776A-ms98-a-0030,236.560375,236.650375,but,B,sv,u-32-2
sw2776A-ms98-a-0030,236.650375,237.200375,basically,I,sv,u-32-2
sw2776A-ms98-a-0030,237.200375,237.310375,the,I,sv,u-32-2
sw2776A-ms98-a-0030,237.310375,237.620375,healthier,I,sv,u-32-2
sw2776A-ms98-a-0030,237.620375,237.740375,you,I,sv,u-32-2
sw2776A-ms98-a-0030,237.740375,238.190375,stay,I,sv,u-32-2
sw2776A-ms98-a-0030,238.190375,238.290375,the,I,sv,u-32-2
sw2776A-ms98-a-0030,238.550375,238.720375,longer,I,sv,u-32-2
sw2776A-ms98-a-0030,238.720375,238.950375,you'll,I,sv,u-32-2
sw2776A-ms98-a-0030,238.950375,239.240375,live,I,sv,u-32-2
sw2776A-ms98-a-0031,239.949625,240.459625,and,B,sv,u-34-1
sw2776A-ms98-a-0031,240.459625,240.789625,uh,I,sv,u-34-1
sw2776A-ms98-a-0031,241.019625,241.119625,you,I,sv,u-34-1
sw2776A-ms98-a-0031,241.119625,241.319625,know,I,sv,u-34-1
sw2776A-ms98-a-0031,241.319625,241.429625,if,I,sv,u-34-1
sw2776A-ms98-a-0031,241.429625,241.519625,i,I,sv,u-34-1
sw2776A-ms98-a-0031,241.519625,241.799625,spend,I,sv,u-34-1
sw2776A-ms98-a-0031,241.799625,241.829625,a,I,sv,u-34-1
sw2776A-ms98-a-0031,241.829625,242.079625,little,I,sv,u-34-1
sw2776A-ms98-a-0031,242.079625,242.199625,bit,I,sv,u-34-1
sw2776A-ms98-a-0031,242.199625,242.299625,of,I,sv,u-34-1
sw2776A-ms98-a-0031,242.299625,242.699625,time,I,sv,u-34-1
sw2776A-ms98-a-0031,242.699625,242.879625,each,I,sv,u-34-1
sw2776A-ms98-a-0031,242.909625,243.259625,day,I,sv,u-34-1
sw2776A-ms98-a-0031,243.259625,243.359625,or,I,sv,u-34-1
sw2776A-ms98-a-0031,243.359625,243.389625,a,I,sv,u-34-1
sw2776A-ms98-a-0031,243.389625,243.819625,little,I,sv,u-34-1
sw2776A-ms98-a-0031,243.819625,243.939625,bit,I,sv,u-34-1
sw2776A-ms98-a-0031,243.939625,244.019625,of,I,sv,u-34-1
sw2776A-ms98-a-0031,244.019625,244.319625,time,I,sv,u-34-1
sw2776A-ms98-a-0031,244.319625,244.519625,every,I,sv,u-34-1
sw2776A-ms98-a-0031,244.519625,244.739625,other,I,sv,u-34-1
sw2776A-ms98-a-0031,244.739625,245.099625,day,I,sv,u-34-1
sw2776A-ms98-a-0031,245.419625,245.659625,doing,I,sv,u-34-1
sw2776A-ms98-a-0031,245.659625,246.069625,something,I,sv,u-34-1
sw2776A-ms98-a-0031,246.069625,246.199625,for,I,sv,u-34-1
sw2776A-ms98-a-0031,246.199625,246.569625,me,I,sv,u-34-1
sw2776A-ms98-a-0031,246.569625,246.669625,to,I,sv,u-34-1
sw2776A-ms98-a-0031,246.669625,246.849625,make,I,sv,u-34-1
sw2776A-ms98-a-0031,246.909625,247.019625,me,I,sv,u-34-1
sw2776A-ms98-a-0031,247.019625,247.309625,live,I,sv,u-34-1
sw2776A-ms98-a-0031,247.309625,247.619625,longer,I,sv,u-34-1
sw2776A-ms98-a-0031,247.619625,247.929625,well,I,sv,u-34-1
sw2776A-ms98-a-0031,247.929625,248.049625,then,I,sv,u-34-1
sw2776A-ms98-a-0031,248.049625,248.179625,i'll,I,sv,u-34-1
sw2776A-ms98-a-0031,248.179625,248.299625,be,I,sv,u-34-1
sw2776A-ms98-a-0031,248.299625,248.629625,around,I,sv,u-34-1
sw2776A-ms98-a-0031,248.629625,248.659625,a,I,sv,u-34-1
sw2776A-ms98-a-0031,248.659625,248.909625,lot,I,sv,u-34-1
sw2776A-ms98-a-0031,248.909625,249.219625,longer,I,sv,u-34-1
sw2776A-ms98-a-0032,250.009875,250.269875,those,B,sv,u-36-1
sw2776A-ms98-a-0032,250.269875,250.559875,people,I,sv,u-36-1
sw2776A-ms98-a-0032,250.559875,250.649875,that,I,sv,u-36-1
sw2776A-ms98-a-0032,250.649875,250.749875,i'm,I,sv,u-36-1
sw2776A-ms98-a-0032,250.749875,251.109875,taking,I,sv,u-36-1
sw2776A-ms98-a-0032,251.109875,251.209875,the,I,sv,u-36-1
sw2776A-ms98-a-0032,251.239875,251.459875,ten,I,sv,u-36-1
sw2776A-ms98-a-0032,251.459875,251.859875,minutes,I,sv,u-36-1
sw2776A-ms98-a-0032,252.159875,252.229875,or,I,sv,u-36-1
sw2776A-ms98-a-0032,252.339875,252.599875,twenty,I,sv,u-36-1
sw2776A-ms98-a-0032,252.599875,252.859875,minutes,I,sv,u-36-1
sw2776A-ms98-a-0032,252.859875,253.099875,away,I,sv,u-36-1
sw2776A-ms98-a-0032,253.099875,253.429875,from,I,sv,u-36-1
sw2776A-ms98-a-0032,253.429875,253.719875,now,I,sv,u-36-1
sw2776A-ms98-a-0032,253.719875,254.009875,well,I,sv,u-36-1
sw2776A-ms98-a-0032,254.389875,254.479875,you,I,sv,u-36-1
sw2776A-ms98-a-0032,254.479875,254.679875,know,I,sv,u-36-1
sw2776A-ms98-a-0032,254.849875,255.009875,get,I,sv,u-36-1
sw2776A-ms98-a-0032,255.009875,255.069875,the,I,sv,u-36-1
sw2776A-ms98-a-0032,255.069875,255.489875,enjoyment,I,sv,u-36-1
sw2776A-ms98-a-0032,255.489875,255.599875,of,I,sv,u-36-1
sw2776A-ms98-a-0032,255.599875,255.769875,me,I,sv,u-36-1
sw2776A-ms98-a-0032,255.919875,256.299875,years,I,sv,u-36-1
sw2776A-ms98-a-0032,256.299875,256.769875,past,I,sv,u-36-1
