sw3543A-ms98-a-0003,2.163875,2.501250,yes,B,aa,u-2-1
sw3543A-ms98-a-0012,37.332250,37.563500,new,I,sd,u-14-1
sw3543A-ms98-a-0013,38.525625,38.969125,trial,I,sd,u-14-1
sw3543A-ms98-a-0013,39.129375,39.653750,because,I,sd,u-14-1
sw3543A-ms98-a-0013,40.109500,40.186875,the,B,+,u-16-1
sw3543A-ms98-a-0013,40.186875,40.516875,judge,I,+,u-16-1
sw3543A-ms98-a-0013,40.516875,40.786875,felt,I,+,u-16-1
sw3543A-ms98-a-0013,40.786875,40.886875,that,I,+,u-16-1
sw3543A-ms98-a-0013,40.886875,40.956875,he,I,+,u-16-1
sw3543A-ms98-a-0013,40.956875,41.136875,was,I,+,u-16-1
sw3543A-ms98-a-0013,41.136875,41.826875,incompetent,I,+,u-16-1
sw3543A-ms98-a-0015,43.386375,43.714750,uh,B,qo,u-18-1
sw3543A-ms98-a-0015,44.148000,44.258000,how,I,qo,u-18-1
sw3543A-ms98-a-0015,44.258000,44.318000,do,I,qo,u-18-1
sw3543A-ms98-a-0015,44.318000,44.408000,you,I,qo,u-18-1
sw3543A-ms98-a-0015,44.408000,44.598000,feel,I,qo,u-18-1
sw3543A-ms98-a-0015,44.598000,44.838000,about,I,qo,u-18-1
sw3543A-ms98-a-0015,44.838000,44.918000,the,I,qo,u-18-1
sw3543A-ms98-a-0015,44.918000,45.138000,death,I,qo,u-18-1
sw3543A-ms98-a-0015,45.138000,45.558250,penalty,I,qo,u-18-1
sw3543A-ms98-a-0017,64.967750,65.259875,oh,B,b,u-20-1
sw3543A-ms98-a-0019,73.766500,73.989625,well,B,sv,u-22-1
sw3543A-ms98-a-0019,73.989625,74.176875,i'm,I,sv,u-22-1
sw3543A-ms98-a-0019,74.176875,74.336000,su[re]-,I,sv,u-22-1
sw3543A-ms98-a-0019,74.520500,74.789625,sure,I,sv,u-22-1
sw3543A-ms98-a-0019,74.789625,75.119625,that's,I,sv,u-22-1
sw3543A-ms98-a-0019,75.119625,75.269625,their,O,,
sw3543A-ms98-a-0021,81.041125,81.177125,well,B,sd,u-24-1
sw3543A-ms98-a-0021,81.177125,81.347375,i,I,sd,u-24-1
sw3543A-ms98-a-0021,81.347375,81.521750,kind,I,sd,u-24-1
sw3543A-ms98-a-0021,81.521750,81.621750,of,I,sd,u-24-1
sw3543A-ms98-a-0021,81.621750,81.755875,a[gree]-,I,sd,u-24-1
sw3543A-ms98-a-0021,81.921500,82.291750,agree,I,sd,u-24-1
sw3543A-ms98-a-0021,82.291750,82.600125,with,I,sd,u-24-1
sw3543A-ms98-a-0021,82.705500,83.382375,terrorism,I,sd,u-24-1
sw3543A-ms98-a-0021,83.382375,83.551750,i,B,sv,u-24-2
sw3543A-ms98-a-0021,83.551750,83.731750,think,I,sv,u-24-2
sw3543A-ms98-a-0021,83.731750,83.921750,those,I,sv,u-24-2
sw3543A-ms98-a-0021,83.921750,84.370625,guys,I,sv,u-24-2
sw3543A-ms98-a-0021,84.615500,84.981750,should,I,sv,u-24-2
sw3543A-ms98-a-0021,84.981750,85.213625,be,I,sv,u-24-2
sw3543A-ms98-a-0021,85.311500,85.481750,done,I,sv,u-24-2
sw3543A-ms98-a-0021,85.481750,85.751750,away,I,sv,u-24-2
sw3543A-ms98-a-0021,85.751750,85.924250,with,I,sv,u-24-2
sw3543A-ms98-a-0021,86.021375,86.371750,that's,B,sv,u-24-3
sw3543A-ms98-a-0022,87.046875,87.159250,one,I,sv,u-24-3
sw3543A-ms98-a-0022,87.159250,87.229250,of,I,sv,u-24-3
sw3543A-ms98-a-0022,87.229250,87.289250,the,I,sv,u-24-3
sw3543A-ms98-a-0022,87.289250,87.619250,worst,I,sv,u-24-3
sw3543A-ms98-a-0022,87.619250,88.009250,crimes,B,+,u-26-1
sw3543A-ms98-a-0022,88.009250,88.089250,in,I,+,u-26-1
sw3543A-ms98-a-0022,88.089250,88.309250,my,I,+,u-26-1
sw3543A-ms98-a-0022,88.309250,88.629250,book,I,+,u-26-1
sw3543A-ms98-a-0022,88.629250,88.946125,and,B,sv,u-26-2
sw3543A-ms98-a-0022,89.454625,89.785625,uh,I,sv,u-26-2
sw3543A-ms98-a-0022,90.113250,90.409250,drug,I,sv,u-26-2
sw3543A-ms98-a-0022,90.409250,90.875250,dealing,I,sv,u-26-2
sw3543A-ms98-a-0022,91.082375,91.458750,hm,I,sv,u-26-2
sw3543A-ms98-a-0023,92.696250,92.937500,that's,B,+,u-28-1
sw3543A-ms98-a-0023,92.937500,93.537500,close,I,+,u-28-1
sw3543A-ms98-a-0023,93.537500,93.727250,but,B,sv,u-28-2
sw3543A-ms98-a-0023,94.631250,95.018500,uh,I,sv,u-28-2
sw3543A-ms98-a-0023,95.575875,96.047500,terrorism,B,+,u-30-1
sw3543A-ms98-a-0023,96.047500,96.558125,definitely,I,+,u-30-1
sw3543A-ms98-a-0023,96.558125,96.998125,and,I,+,u-30-1
sw3543A-ms98-a-0023,97.348375,97.702625,uh,B,+,u-32-1
sw3543A-ms98-a-0023,97.849500,98.247500,selling,I,+,u-32-1
sw3543A-ms98-a-0023,98.247500,98.407500,out,I,+,u-32-1
sw3543A-ms98-a-0023,98.407500,98.537500,your,I,+,u-32-1
sw3543A-ms98-a-0023,98.537500,98.989000,country,I,+,u-32-1
sw3543A-ms98-a-0024,100.527000,100.838125,uh,B,aa,u-34-1
sw3543A-ms98-a-0025,101.627250,101.926000,no,I,aa,u-34-1
sw3543A-ms98-a-0025,101.926000,102.106000,it's,B,sv,u-34-2
sw3543A-ms98-a-0025,102.106000,102.236000,got,I,sv,u-34-2
sw3543A-ms98-a-0025,102.236000,102.306000,to,I,sv,u-34-2
sw3543A-ms98-a-0025,102.306000,102.406000,be,I,sv,u-34-2
sw3543A-ms98-a-0025,102.406000,102.726000,something,I,sv,u-34-2
sw3543A-ms98-a-0025,102.726000,102.895000,that,I,sv,u-34-2
sw3543A-ms98-a-0025,103.142000,103.258750,is,I,sv,u-34-2
sw3543A-ms98-a-0025,103.258750,103.416000,gonna,I,sv,u-34-2
sw3543A-ms98-a-0025,103.416000,103.836000,cost,I,sv,u-34-2
sw3543A-ms98-a-0025,103.836000,103.926000,them_1,I,sv,u-34-2
sw3543A-ms98-a-0025,103.926000,104.086000,because_1,I,sv,u-34-2
sw3543A-ms98-a-0025,104.086000,104.226000,we,I,sv,u-34-2
sw3543A-ms98-a-0025,104.226000,104.496000,never,I,sv,u-34-2
sw3543A-ms98-a-0025,104.496000,104.756000,lock,I,sv,u-34-2
sw3543A-ms98-a-0025,104.756000,105.206000,anybody,I,sv,u-34-2
sw3543A-ms98-a-0025,105.206000,105.406000,up,I,sv,u-34-2
sw3543A-ms98-a-0025,105.406000,105.873125,forever,I,sv,u-34-2
sw3543A-ms98-a-0027,108.676375,108.887750,not,B,aa^m,u-36-1
sw3543A-ms98-a-0027,108.887750,109.137750,very,I,aa^m,u-36-1
sw3543A-ms98-a-0027,109.137750,109.407750,often,I,aa^m,u-36-1
sw3543A-ms98-a-0027,109.407750,109.517750,at,I,aa^m,u-36-1
sw3543A-ms98-a-0027,109.517750,109.766000,all,I,aa^m,u-36-1
sw3543A-ms98-a-0028,111.437875,111.575625,we've,B,sd,u-36-2
sw3543A-ms98-a-0028,111.575625,111.795625,got,I,sd,u-36-2
sw3543A-ms98-a-0028,111.795625,111.965625,these,I,sd,u-36-2
sw3543A-ms98-a-0028,111.965625,112.285625,guys,I,sd,u-36-2
sw3543A-ms98-a-0028,112.285625,112.375625,in,I,sd,u-36-2
sw3543A-ms98-a-0028,112.375625,112.565625,New,I,sd,u-36-2
sw3543A-ms98-a-0028,112.565625,112.905625,York,I,sd,u-36-2
sw3543A-ms98-a-0028,112.905625,113.331375,that,I,sd,u-36-2
sw3543A-ms98-a-0028,113.331375,113.595625,uh,I,sd,u-36-2
sw3543A-ms98-a-0028,113.595625,113.745625,i'm,I,sd,u-36-2
sw3543A-ms98-a-0028,113.745625,113.965625,sure,I,sd,u-36-2
sw3543A-ms98-a-0028,113.965625,114.205750,you,I,sd,u-36-2
sw3543A-ms98-a-0029,114.833500,115.033500,heard,I,sd,u-36-2
sw3543A-ms98-a-0029,115.033500,115.383500,about,I,sd,u-36-2
sw3543A-ms98-a-0029,115.383500,115.483500,the,I,sd,u-36-2
sw3543A-ms98-a-0029,115.483500,115.833500,ones,I,sd,u-36-2
sw3543A-ms98-a-0029,115.833500,116.022750,that,I,sd,u-36-2
sw3543A-ms98-a-0029,116.147000,116.708125,killed,I,sd,u-36-2
sw3543A-ms98-a-0029,117.227875,117.593500,ah,I,sd,u-36-2
sw3543A-ms98-a-0029,117.894750,118.023500,the,I,sd,u-36-2
sw3543A-ms98-a-0029,118.023500,118.413500,gentleman,I,sd,u-36-2
sw3543A-ms98-a-0029,118.413500,118.503500,that,I,sd,u-36-2
sw3543A-ms98-a-0029,118.503500,118.713500,came,I,sd,u-36-2
sw3543A-ms98-a-0029,118.713500,118.873500,from,I,sd,u-36-2
sw3543A-ms98-a-0029,118.873500,119.143500,Utah,I,sd,u-36-2
sw3543A-ms98-a-0029,119.143500,119.233500,to,I,sd,u-36-2
sw3543A-ms98-a-0029,119.233500,119.533500,watch,I,sd,u-36-2
sw3543A-ms98-a-0029,119.533500,119.613500,the,I,sd,u-36-2
sw3543A-ms98-a-0029,119.613500,119.983500,tennis,I,sd,u-36-2
sw3543A-ms98-a-0029,119.983500,120.299375,people,B,+,u-38-1
sw3543A-ms98-a-0031,121.980000,122.225125,and,B,sd,u-40-1
sw3543A-ms98-a-0031,122.225125,122.285125,i,I,sd,u-40-1
sw3543A-ms98-a-0031,122.285125,122.515125,guess,I,sd,u-40-1
sw3543A-ms98-a-0031,122.515125,122.645125,they,I,sd,u-40-1
sw3543A-ms98-a-0031,122.645125,122.865125,got,I,sd,u-40-1
sw3543A-ms98-a-0031,122.865125,123.335125,convicted,I,sd,u-40-1
sw3543A-ms98-a-0031,123.335125,123.405125,the,I,sd,u-40-1
sw3543A-ms98-a-0031,123.405125,123.833375,four,I,sd,u-40-1
sw3543A-ms98-a-0031,123.924375,124.258375,of,I,sd,u-40-1
sw3543A-ms98-a-0032,125.163750,125.468125,uh,B,+,u-42-1
sw3543A-ms98-a-0032,125.555875,125.662500,uh,I,+,u-42-1
sw3543A-ms98-a-0032,125.857250,126.223000,murder,I,+,u-42-1
sw3543A-ms98-a-0034,128.125875,128.381875,so,B,qy^d,u-44-1
sw3543A-ms98-a-0034,128.901625,129.229625,you've,I,qy^d,u-44-1
sw3543A-ms98-a-0034,129.376500,129.574125,come,I,qy^d,u-44-1
sw3543A-ms98-a-0034,129.574125,129.751625,to,I,qy^d,u-44-1
sw3543A-ms98-a-0034,129.751625,129.947500,a,I,qy^d,u-44-1
sw3543A-ms98-a-0034,129.947500,130.434125,definite,I,qy^d,u-44-1
sw3543A-ms98-a-0034,130.434125,130.854125,opinion,I,qy^d,u-44-1
sw3543A-ms98-a-0034,130.854125,131.004125,on,I,qy^d,u-44-1
sw3543A-ms98-a-0034,131.004125,131.094125,it,I,qy^d,u-44-1
sw3543A-ms98-a-0034,131.094125,131.349625,now,I,qy^d,u-44-1
sw3543A-ms98-a-0036,157.622375,157.926125,yeah,B,aa,u-46-1
sw3543A-ms98-a-0036,157.926125,158.096125,you,B,bf,u-46-2
sw3543A-ms98-a-0036,158.096125,158.346125,kind,I,bf,u-46-2
sw3543A-ms98-a-0036,158.346125,158.406125,of,I,bf,u-46-2
sw3543A-ms98-a-0036,158.406125,158.626125,hate,I,bf,u-46-2
sw3543A-ms98-a-0036,158.626125,158.838875,to,I,bf,u-46-2
sw3543A-ms98-a-0038,180.424125,180.570750,you,B,qy,u-48-1
sw3543A-ms98-a-0038,180.570750,180.860750,mean,I,qy,u-48-1
sw3543A-ms98-a-0038,180.860750,181.212250,uh,B,+,u-50-1
sw3543A-ms98-a-0038,181.378000,182.030500,violence,I,+,u-50-1
sw3543A-ms98-a-0040,187.760000,187.853500,the,B,^2,u-52-1
sw3543A-ms98-a-0040,187.853500,188.357750,witnesses,I,^2,u-52-1
sw3543A-ms98-a-0042,190.194250,190.311000,well,B,no,u-54-1
sw3543A-ms98-a-0042,190.311000,190.581000,maybe,I,no,u-54-1
sw3543A-ms98-a-0042,190.581000,190.691000,it,I,no,u-54-1
sw3543A-ms98-a-0042,190.691000,191.031250,would,I,no,u-54-1
sw3543A-ms98-a-0042,191.369250,191.705625,uh,B,sd,u-54-2
sw3543A-ms98-a-0044,193.401500,193.555375,i,I,sd,u-54-2
sw3543A-ms98-a-0044,193.555375,193.825375,kind,I,sd,u-54-2
sw3543A-ms98-a-0044,193.825375,193.885375,of,I,sd,u-54-2
sw3543A-ms98-a-0044,193.885375,194.025375,have,I,sd,u-54-2
sw3543A-ms98-a-0044,194.025375,194.095375,a,I,sd,u-54-2
sw3543A-ms98-a-0044,194.095375,194.515375,problem,I,sd,u-54-2
sw3543A-ms98-a-0044,194.515375,194.785375,with,I,sd,u-54-2
sw3543A-ms98-a-0044,194.785375,194.995375,our,I,sd,u-54-2
sw3543A-ms98-a-0044,194.995375,195.305375,legal,I,sd,u-54-2
sw3543A-ms98-a-0044,195.305375,195.675375,system,I,sd,u-54-2
sw3543A-ms98-a-0044,195.675375,195.765375,at,I,sd,u-54-2
sw3543A-ms98-a-0044,195.765375,195.845375,the,I,sd,u-54-2
sw3543A-ms98-a-0044,195.845375,196.625375,moment,I,sd,u-54-2
sw3543A-ms98-a-0044,196.625375,196.778125,uh,I,sd,u-54-2
sw3543A-ms98-a-0044,196.977750,197.145375,as,I,sd,u-54-2
sw3543A-ms98-a-0044,197.145375,197.255375,it,I,sd,u-54-2
sw3543A-ms98-a-0044,197.255375,197.706500,is,I,sd,u-54-2
sw3543A-ms98-a-0044,198.120750,198.245375,i,B,sv,u-54-3
sw3543A-ms98-a-0044,198.245375,198.485375,think,I,sv,u-54-3
sw3543A-ms98-a-0044,198.485375,198.690625,that,I,sv,u-54-3
sw3543A-ms98-a-0044,199.014500,199.335375,people,I,sv,u-54-3
sw3543A-ms98-a-0044,199.335375,199.565375,who,I,sv,u-54-3
sw3543A-ms98-a-0045,200.286000,200.472625,uh,I,sv,u-54-3
sw3543A-ms98-a-0045,200.472625,201.152625,infringe,I,sv,u-54-3
sw3543A-ms98-a-0045,201.152625,201.272625,on,I,sv,u-54-3
sw3543A-ms98-a-0045,201.272625,201.462625,other,I,sv,u-54-3
sw3543A-ms98-a-0045,201.462625,201.902625,people's,I,sv,u-54-3
sw3543A-ms98-a-0045,201.902625,202.473125,rights,I,sv,u-54-3
sw3543A-ms98-a-0045,202.533375,202.875375,uh,I,sv,u-54-3
sw3543A-ms98-a-0045,203.060000,203.301750,and,I,sv,u-54-3
sw3543A-ms98-a-0045,203.414750,203.872625,screw,I,sv,u-54-3
sw3543A-ms98-a-0045,203.872625,204.002625,up,I,sv,u-54-3
sw3543A-ms98-a-0045,204.002625,204.122625,their,I,sv,u-54-3
sw3543A-ms98-a-0045,204.122625,204.332625,whole,I,sv,u-54-3
sw3543A-ms98-a-0045,204.332625,204.702625,lives,I,sv,u-54-3
sw3543A-ms98-a-0045,204.702625,204.963375,with,I,sv,u-54-3
sw3543A-ms98-a-0045,204.963375,205.427625,rape,I,sv,u-54-3
sw3543A-ms98-a-0045,205.747750,206.030875,uh,I,sv,u-54-3
sw3543A-ms98-a-0045,206.633500,207.122625,child,I,sv,u-54-3
sw3543A-ms98-a-0045,207.122625,207.730750,molesting,I,sv,u-54-3
sw3543A-ms98-a-0045,208.107500,208.393875,uh,I,sv,u-54-3
sw3543A-ms98-a-0046,209.647250,210.151125,terrorism,I,sv,u-54-3
sw3543A-ms98-a-0046,210.403500,210.638500,just,I,sv,u-54-3
sw3543A-ms98-a-0046,210.638500,210.788875,a,O,,
sw3543A-ms98-a-0046,211.041125,211.228500,there's,B,sv,u-56-1
sw3543A-ms98-a-0046,211.228500,211.518500,just,I,sv,u-56-1
sw3543A-ms98-a-0046,211.518500,211.688500,like,I,sv,u-56-1
sw3543A-ms98-a-0046,211.688500,212.008500,five,I,sv,u-56-1
sw3543A-ms98-a-0046,212.008500,212.348500,things,I,sv,u-56-1
sw3543A-ms98-a-0046,212.348500,212.468500,that,I,sv,u-56-1
sw3543A-ms98-a-0046,212.468500,212.598500,i,I,sv,u-56-1
sw3543A-ms98-a-0046,212.598500,212.798500,think,I,sv,u-56-1
sw3543A-ms98-a-0046,212.798500,212.928500,they,I,sv,u-56-1
sw3543A-ms98-a-0046,212.928500,212.988500,ought,I,sv,u-56-1
sw3543A-ms98-a-0046,212.988500,213.048500,to,I,sv,u-56-1
sw3543A-ms98-a-0046,213.048500,213.168500,be,I,sv,u-56-1
sw3543A-ms98-a-0046,213.168500,213.567875,snuffed,I,sv,u-56-1
sw3543A-ms98-a-0046,213.567875,213.811625,for,I,sv,u-56-1
sw3543A-ms98-a-0046,214.301250,214.465750,but,B,sd,u-56-2
sw3543A-ms98-a-0046,214.838625,215.070875,i'm,I,sd,u-56-2
sw3543A-ms98-a-0046,215.421125,215.608500,i'm,I,sd,u-56-2
sw3543A-ms98-a-0046,215.608500,215.858500,for,I,sd,u-56-2
sw3543A-ms98-a-0046,215.858500,215.938500,it,I,sd,u-56-2
sw3543A-ms98-a-0046,215.938500,216.210000,for,I,sd,u-56-2
sw3543A-ms98-a-0046,216.398375,216.698500,certain,I,sd,u-56-2
sw3543A-ms98-a-0046,216.698500,217.181875,reasons,I,sd,u-56-2
sw3543A-ms98-a-0047,218.238000,218.413250,and,B,sv,u-58-1
sw3543A-ms98-a-0047,218.413250,218.574250,i,I,sv,u-58-1
sw3543A-ms98-a-0047,218.574250,218.951125,think,I,sv,u-58-1
sw3543A-ms98-a-0047,219.568750,219.710250,that,I,sv,u-58-1
sw3543A-ms98-a-0047,219.710250,219.940250,things,I,sv,u-58-1
sw3543A-ms98-a-0047,219.940250,220.180250,like,I,sv,u-58-1
sw3543A-ms98-a-0047,220.180250,220.563125,rape,I,sv,u-58-1
sw3543A-ms98-a-0047,221.241125,221.410250,uh,I,sv,u-58-1
sw3543A-ms98-a-0047,221.410250,221.580250,you,I,sv,u-58-1
sw3543A-ms98-a-0047,221.580250,221.830250,can't,I,sv,u-58-1
sw3543A-ms98-a-0047,221.830250,221.930250,get,I,sv,u-58-1
sw3543A-ms98-a-0047,221.930250,222.322875,over,I,sv,u-58-1
sw3543A-ms98-a-0047,222.624125,222.965875,uh,I,sv,u-58-1
sw3543A-ms98-a-0047,223.112750,223.330250,takes,I,sv,u-58-1
sw3543A-ms98-a-0047,223.330250,223.400250,a,I,sv,u-58-1
sw3543A-ms98-a-0047,223.400250,223.960750,lifetime,I,sv,u-58-1
sw3543A-ms98-a-0049,229.161000,229.526750,um,B,nd,u-60-1
sw3543A-ms98-a-0049,230.315375,230.466000,if,I,nd,u-60-1
sw3543A-ms98-a-0049,230.466000,230.586000,it,I,nd,u-60-1
sw3543A-ms98-a-0049,230.586000,230.847500,was,I,nd,u-60-1
sw3543A-ms98-a-0050,232.481625,232.751625,yeah,B,+,u-62-1
sw3543A-ms98-a-0050,232.751625,233.091625,if,B,sv,u-62-2
sw3543A-ms98-a-0050,233.091625,233.411625,it,I,sv,u-62-2
sw3543A-ms98-a-0050,233.411625,234.029250,was,I,sv,u-62-2
sw3543A-ms98-a-0051,235.072500,235.215000,it'd,I,sv,u-62-2
sw3543A-ms98-a-0051,235.215000,235.495000,probably,I,sv,u-62-2
sw3543A-ms98-a-0051,235.495000,235.635000,have,I,sv,u-62-2
sw3543A-ms98-a-0051,235.635000,235.725000,to,I,sv,u-62-2
sw3543A-ms98-a-0051,235.725000,235.845000,be,I,sv,u-62-2
sw3543A-ms98-a-0051,235.845000,235.885000,a,I,sv,u-62-2
sw3543A-ms98-a-0051,235.885000,236.398875,pattern,I,sv,u-62-2
sw3543A-ms98-a-0052,236.996750,237.109000,you,B,sd,u-62-3
sw3543A-ms98-a-0052,237.109000,237.209000,know,I,sd,u-62-3
sw3543A-ms98-a-0052,237.209000,237.319000,we,I,sd,u-62-3
sw3543A-ms98-a-0052,237.319000,237.449000,have,I,sd,u-62-3
sw3543A-ms98-a-0052,237.449000,237.809000,plenty,I,sd,u-62-3
sw3543A-ms98-a-0052,237.809000,238.072875,of,I,sd,u-62-3
sw3543A-ms98-a-0052,238.528625,239.019000,convicted,I,sd,u-62-3
sw3543A-ms98-a-0052,239.019000,239.399000,guys,I,sd,u-62-3
sw3543A-ms98-a-0052,239.399000,239.571875,that,I,sd,u-62-3
sw3543A-ms98-a-0052,239.779125,239.919000,go,I,sd,u-62-3
sw3543A-ms98-a-0052,239.919000,240.159000,into,I,sd,u-62-3
sw3543A-ms98-a-0052,240.159000,240.519000,jail,I,sd,u-62-3
sw3543A-ms98-a-0052,240.519000,240.629000,and,I,sd,u-62-3
sw3543A-ms98-a-0052,240.629000,240.789000,come,I,sd,u-62-3
sw3543A-ms98-a-0052,240.789000,241.059000,back,I,sd,u-62-3
sw3543A-ms98-a-0052,241.059000,241.189000,out,I,sd,u-62-3
sw3543A-ms98-a-0052,241.189000,241.309000,do,I,sd,u-62-3
sw3543A-ms98-a-0052,241.309000,241.379000,the,I,sd,u-62-3
sw3543A-ms98-a-0052,241.379000,241.639000,same,I,sd,u-62-3
sw3543A-ms98-a-0052,241.639000,241.859000,thing,I,sd,u-62-3
sw3543A-ms98-a-0052,241.859000,241.949000,and,I,sd,u-62-3
sw3543A-ms98-a-0052,241.949000,242.089000,go,I,sd,u-62-3
sw3543A-ms98-a-0052,242.089000,242.489000,back,I,sd,u-62-3
sw3543A-ms98-a-0052,242.489000,242.635000,and,B,sv,u-62-4
sw3543A-ms98-a-0053,243.073250,243.398125,uh,I,sv,u-62-4
sw3543A-ms98-a-0053,243.748375,243.924375,if,I,sv,u-62-4
sw3543A-ms98-a-0053,243.924375,244.164375,they're,I,sv,u-62-4
sw3543A-ms98-a-0053,244.164375,244.844375,habitual,I,sv,u-62-4
sw3543A-ms98-a-0053,244.844375,245.184375,like,I,sv,u-62-4
sw3543A-ms98-a-0053,245.184375,245.504375,three,I,sv,u-62-4
sw3543A-ms98-a-0053,245.504375,246.228875,times,I,sv,u-62-4
sw3543A-ms98-a-0053,246.801375,247.074375,caught,I,sv,u-62-4
sw3543A-ms98-a-0053,247.074375,247.521625,for,I,sv,u-62-4
sw3543A-ms98-a-0053,248.060250,248.404375,rape,I,sv,u-62-4
sw3543A-ms98-a-0053,248.404375,248.564375,or,I,sv,u-62-4
