sw2603B-ms98-a-0003,20.652125,21.220000,boring,B,^2,u-2-1
sw2603B-ms98-a-0009,83.375750,83.799500,even,I,sd,u-10-2
sw2603B-ms98-a-0009,84.519875,85.105750,tying,I,sd,u-10-2
sw2603B-ms98-a-0009,85.105750,85.135750,a,I,sd,u-10-2
sw2603B-ms98-a-0009,85.135750,85.425750,pillow,I,sd,u-10-2
sw2603B-ms98-a-0009,85.425750,85.635750,to,I,sd,u-10-2
sw2603B-ms98-a-0009,85.635750,85.785750,it,I,sd,u-10-2
sw2603B-ms98-a-0010,86.749875,86.889875,but,B,sd,u-10-3
sw2603B-ms98-a-0010,86.969875,87.179875,two,I,sd,u-10-3
sw2603B-ms98-a-0010,87.179875,87.519875,years,I,sd,u-10-3
sw2603B-ms98-a-0010,87.519875,87.979750,ago,I,sd,u-10-3
sw2603B-ms98-a-0010,88.424125,88.659875,i,I,sd,u-10-3
sw2603B-ms98-a-0010,88.659875,89.329875,joined,I,sd,u-10-3
sw2603B-ms98-a-0010,89.669875,89.939875,well,I,sd,u-10-3
sw2603B-ms98-a-0010,89.939875,90.379875,it's,I,sd,u-10-3
sw2603B-ms98-a-0010,90.379875,90.519875,not,I,sd,u-10-3
sw2603B-ms98-a-0010,90.519875,90.769875,quite,I,sd,u-10-3
sw2603B-ms98-a-0010,90.769875,90.899875,two,I,sd,u-10-3
sw2603B-ms98-a-0010,90.969875,91.179875,years,I,sd,u-10-3
sw2603B-ms98-a-0010,91.179875,91.319875,it's,I,sd,u-10-3
sw2603B-ms98-a-0010,91.319875,91.529875,almost,I,sd,u-10-3
sw2603B-ms98-a-0010,91.529875,91.669875,two,I,sd,u-10-3
sw2603B-ms98-a-0010,91.669875,91.939875,years,I,sd,u-10-3
sw2603B-ms98-a-0010,92.453625,92.574125,i,I,sd,u-10-3
sw2603B-ms98-a-0010,92.574125,92.809875,joined,I,sd,u-10-3
sw2603B-ms98-a-0010,92.809875,92.869875,the,I,sd,u-10-3
sw2603B-ms98-a-0010,92.869875,93.699875,Cosmopolitan,I,sd,u-10-3
sw2603B-ms98-a-0010,93.699875,94.049875,Lady,I,sd,u-10-3
sw2603B-ms98-a-0010,94.049875,94.249875,here,I,sd,u-10-3
sw2603B-ms98-a-0010,94.249875,94.389875,in,I,sd,u-10-3
sw2603B-ms98-a-0010,94.849875,95.259875,Plano,I,sd,u-10-3
sw2603B-ms98-a-0011,96.504000,96.614000,and,B,sd,u-12-1
sw2603B-ms98-a-0011,96.614000,96.654000,i,I,sd,u-12-1
sw2603B-ms98-a-0011,96.654000,96.914000,love,I,sd,u-12-1
sw2603B-ms98-a-0011,96.914000,97.032250,it,I,sd,u-12-1
sw2603B-ms98-a-0011,97.657500,97.904000,i,B,sd,u-14-1
sw2603B-ms98-a-0011,97.904000,98.364000,just,I,sd,u-14-1
sw2603B-ms98-a-0011,98.364000,98.824000,love,I,sd,u-14-1
sw2603B-ms98-a-0011,98.824000,99.104000,it,I,sd,u-14-1
sw2603B-ms98-a-0013,100.809750,101.049000,yeah,B,ny,u-16-1
sw2603B-ms98-a-0013,101.289750,101.479750,it's,B,sd^e,u-16-2
sw2603B-ms98-a-0013,101.479750,101.899750,totally,I,sd^e,u-16-2
sw2603B-ms98-a-0013,101.899750,102.219750,women,I,sd^e,u-16-2
sw2603B-ms98-a-0015,127.026625,127.139375,i,B,sd,u-18-1
sw2603B-ms98-a-0015,127.139375,127.266625,like,I,sd,u-18-1
sw2603B-ms98-a-0015,127.266625,127.366625,to,I,sd,u-18-1
sw2603B-ms98-a-0015,127.366625,127.466625,be,I,sd,u-18-1
sw2603B-ms98-a-0015,127.466625,127.626625,able,I,sd,u-18-1
sw2603B-ms98-a-0015,127.626625,127.696625,to,I,sd,u-18-1
sw2603B-ms98-a-0015,127.696625,128.096625,sweat,I,sd,u-18-1
sw2603B-ms98-a-0015,128.096625,128.396625,have,I,sd,u-18-1
sw2603B-ms98-a-0015,128.396625,128.536625,my,I,sd,u-18-1
sw2603B-ms98-a-0015,128.536625,128.866625,hair,I,sd,u-18-1
sw2603B-ms98-a-0015,128.866625,128.906625,a,I,sd,u-18-1
sw2603B-ms98-a-0015,128.906625,129.409500,mess,I,sd,u-18-1
sw2603B-ms98-a-0016,130.286125,130.742750,uh,B,+,u-20-1
sw2603B-ms98-a-0017,131.640250,131.830250,feel,B,+,u-22-1
sw2603B-ms98-a-0017,131.830250,132.035375,that,I,+,u-22-1
sw2603B-ms98-a-0017,132.091875,132.510250,okay,I,+,u-22-1
sw2603B-ms98-a-0017,132.510250,133.010250,fine,I,+,u-22-1
sw2603B-ms98-a-0017,133.010250,133.200250,if,I,+,u-22-1
sw2603B-ms98-a-0017,133.200250,133.430250,my,I,+,u-22-1
sw2603B-ms98-a-0017,133.430250,133.810250,bathing,I,+,u-22-1
sw2603B-ms98-a-0017,133.810250,134.090250,suit,I,+,u-22-1
sw2603B-ms98-a-0017,134.320250,134.690250,slips,I,+,u-22-1
sw2603B-ms98-a-0017,134.690250,134.750250,a,I,+,u-22-1
sw2603B-ms98-a-0017,134.750250,134.970250,little,I,+,u-22-1
sw2603B-ms98-a-0017,134.970250,135.120250,bit,I,+,u-22-1
sw2603B-ms98-a-0017,135.120250,135.200250,i,I,+,u-22-1
sw2603B-ms98-a-0017,135.200250,135.360250,don't,I,+,u-22-1
sw2603B-ms98-a-0017,135.360250,135.450250,have,I,+,u-22-1
sw2603B-ms98-a-0017,135.450250,135.520250,to,I,+,u-22-1
sw2603B-ms98-a-0017,135.520250,135.630250,be,I,+,u-22-1
sw2603B-ms98-a-0017,135.630250,136.190250,conscious,I,+,u-22-1
sw2603B-ms98-a-0017,136.190250,136.330250,of,B,+,u-24-1
sw2603B-ms98-a-0018,137.162875,137.282875,of,I,+,u-24-1
sw2603B-ms98-a-0018,137.282875,137.372875,it,I,+,u-24-1
sw2603B-ms98-a-0018,137.452875,137.652875,being,I,+,u-24-1
sw2603B-ms98-a-0018,137.652875,137.682875,a,I,+,u-24-1
sw2603B-ms98-a-0018,137.682875,137.852875,little,I,+,u-24-1
sw2603B-ms98-a-0018,137.852875,138.052875,bit,I,+,u-24-1
sw2603B-ms98-a-0018,138.052875,138.302875,too,I,+,u-24-1
sw2603B-ms98-a-0018,138.302875,138.752875,low,I,+,u-24-1
sw2603B-ms98-a-0018,138.842875,139.012875,and,B,sd,u-24-2
sw2603B-ms98-a-0018,139.012875,139.170125,i,I,sd,u-24-2
sw2603B-ms98-a-0018,139.629625,139.792875,my,I,sd,u-24-2
sw2603B-ms98-a-0018,139.792875,140.142875,bathing,I,sd,u-24-2
sw2603B-ms98-a-0018,140.142875,140.402875,suit's,I,sd,u-24-2
sw2603B-ms98-a-0018,140.402875,140.622875,just,I,sd,u-24-2
sw2603B-ms98-a-0018,140.622875,140.752875,one,I,sd,u-24-2
sw2603B-ms98-a-0018,140.752875,141.022875,piece,I,sd,u-24-2
sw2603B-ms98-a-0018,141.022875,141.152875,so,B,sv,u-24-3
sw2603B-ms98-a-0018,141.152875,141.272875,there's,I,sv,u-24-3
sw2603B-ms98-a-0018,141.272875,141.402875,no,I,sv,u-24-3
sw2603B-ms98-a-0018,141.402875,141.662875,big,I,sv,u-24-3
sw2603B-ms98-a-0018,141.662875,141.842875,deal,I,sv,u-24-3
sw2603B-ms98-a-0018,141.842875,141.922875,all,I,sv,u-24-3
sw2603B-ms98-a-0018,141.922875,141.982875,the,I,sv,u-24-3
sw2603B-ms98-a-0018,141.982875,142.112875,way,I,sv,u-24-3
sw2603B-ms98-a-0018,142.112875,142.372875,around,I,sv,u-24-3
sw2603B-ms98-a-0018,142.372875,142.661875,but,B,sv,u-24-4
sw2603B-ms98-a-0018,142.975250,143.073250,i,B,+,u-26-1
sw2603B-ms98-a-0018,143.073250,143.232875,don't,I,+,u-26-1
sw2603B-ms98-a-0018,143.232875,143.322875,have,I,+,u-26-1
sw2603B-ms98-a-0018,143.322875,143.382875,to,I,+,u-26-1
sw2603B-ms98-a-0018,143.382875,143.452875,be,I,+,u-26-1
sw2603B-ms98-a-0018,143.452875,143.972875,conscious,I,+,u-26-1
sw2603B-ms98-a-0018,143.972875,144.092875,of,I,+,u-26-1
sw2603B-ms98-a-0018,144.092875,144.292875,what,I,+,u-26-1
sw2603B-ms98-a-0018,144.292875,144.442875,i'm,I,+,u-26-1
sw2603B-ms98-a-0018,144.442875,144.712875,doing,I,+,u-26-1
sw2603B-ms98-a-0018,144.712875,144.782875,or,I,+,u-26-1
sw2603B-ms98-a-0018,144.782875,145.032875,how,I,+,u-26-1
sw2603B-ms98-a-0018,145.032875,145.142875,i'm,I,+,u-26-1
sw2603B-ms98-a-0018,145.142875,145.412875,doing,I,+,u-26-1
sw2603B-ms98-a-0018,145.412875,145.512875,it,I,+,u-26-1
sw2603B-ms98-a-0019,146.603875,146.853875,and,B,sv,u-26-2
sw2603B-ms98-a-0019,146.853875,147.203875,it's,I,sv,u-26-2
sw2603B-ms98-a-0019,147.203875,147.614750,uh,I,sv,u-26-2
sw2603B-ms98-a-0019,148.066625,148.243875,oh,I,sv,u-26-2
sw2603B-ms98-a-0019,148.243875,148.423875,it's,I,sv,u-26-2
sw2603B-ms98-a-0019,148.423875,148.593875,just,I,sv,u-26-2
sw2603B-ms98-a-0019,148.883875,148.963875,i,I,sv,u-26-2
sw2603B-ms98-a-0019,148.963875,149.103875,don't,I,sv,u-26-2
sw2603B-ms98-a-0019,149.103875,149.203875,know,I,sv,u-26-2
sw2603B-ms98-a-0019,149.203875,149.343875,it's,I,sv,u-26-2
sw2603B-ms98-a-0019,149.343875,149.403875,a,I,sv,u-26-2
sw2603B-ms98-a-0019,149.513875,149.683875,it's,I,sv,u-26-2
sw2603B-ms98-a-0019,149.683875,149.736875,a,I,sv,u-26-2
sw2603B-ms98-a-0019,149.846125,150.264750,total,I,sv,u-26-2
sw2603B-ms98-a-0019,150.889375,151.432500,free,I,sv,u-26-2
sw2603B-ms98-a-0019,151.591625,152.443875,relaxation,I,sv,u-26-2
sw2603B-ms98-a-0019,152.443875,152.753875,because,B,sv,u-26-3
sw2603B-ms98-a-0019,152.753875,153.203750,hey,I,sv,u-26-3
sw2603B-ms98-a-0019,153.576625,153.673875,you,I,sv,u-26-3
sw2603B-ms98-a-0019,153.673875,153.763875,can,I,sv,u-26-3
sw2603B-ms98-a-0019,153.763875,153.873875,do,I,sv,u-26-3
sw2603B-ms98-a-0019,153.873875,154.023875,what,I,sv,u-26-3
sw2603B-ms98-a-0019,154.023875,154.103875,you,I,sv,u-26-3
sw2603B-ms98-a-0019,154.103875,154.343875,want,I,sv,u-26-3
sw2603B-ms98-a-0019,154.343875,154.463875,you're,B,sv,u-26-4
sw2603B-ms98-a-0019,154.463875,154.493875,a,I,sv,u-26-4
sw2603B-ms98-a-0019,154.493875,155.003875,female,I,sv,u-26-4
sw2603B-ms98-a-0019,155.003875,155.153875,and,B,sv,u-26-5
sw2603B-ms98-a-0020,155.890625,156.040625,no,I,sv,u-26-5
sw2603B-ms98-a-0020,156.040625,156.150625,one,I,sv,u-26-5
sw2603B-ms98-a-0020,156.150625,156.230625,is,I,sv,u-26-5
sw2603B-ms98-a-0020,156.230625,156.580625,staring,I,sv,u-26-5
sw2603B-ms98-a-0020,156.580625,156.640625,at,I,sv,u-26-5
sw2603B-ms98-a-0020,156.640625,157.000625,anybody,I,sv,u-26-5
sw2603B-ms98-a-0020,157.000625,157.260625,else,I,sv,u-26-5
sw2603B-ms98-a-0020,157.260625,157.350625,or,I,sv,u-26-5
sw2603B-ms98-a-0020,157.350625,157.630625,worrying,I,sv,u-26-5
sw2603B-ms98-a-0020,157.630625,157.750625,about,I,sv,u-26-5
sw2603B-ms98-a-0020,157.750625,157.943250,what,I,sv,u-26-5
sw2603B-ms98-a-0020,158.165500,158.540625,anything,I,sv,u-26-5
sw2603B-ms98-a-0020,158.540625,158.690625,else,I,sv,u-26-5
sw2603B-ms98-a-0020,158.690625,158.770625,is,I,sv,u-26-5
sw2603B-ms98-a-0020,158.880625,159.230625,doing,I,sv,u-26-5
sw2603B-ms98-a-0021,159.875375,159.995375,and,B,sd,u-28-1
sw2603B-ms98-a-0021,159.995375,160.145375,they've,I,sd,u-28-1
sw2603B-ms98-a-0021,160.145375,160.365375,got,I,sd,u-28-1
sw2603B-ms98-a-0021,160.365375,160.605375,such,I,sd,u-28-1
sw2603B-ms98-a-0021,160.605375,161.365375,fantastic,I,sd,u-28-1
sw2603B-ms98-a-0021,161.365375,161.865375,equipment,I,sd,u-28-1
sw2603B-ms98-a-0021,161.865375,161.965375,in,I,sd,u-28-1
sw2603B-ms98-a-0021,161.965375,162.341375,there,I,sd,u-28-1
sw2603B-ms98-a-0022,163.400500,163.550500,oh,B,ny,u-30-1
sw2603B-ms98-a-0022,163.550500,163.930500,yeah,I,ny,u-30-1
sw2603B-ms98-a-0023,164.616625,164.804500,and,B,sd,u-32-1
sw2603B-ms98-a-0023,164.804500,164.940500,i,I,sd,u-32-1
sw2603B-ms98-a-0023,164.940500,165.116625,love,I,sd,u-32-1
sw2603B-ms98-a-0023,165.116625,165.196625,the,I,sd,u-32-1
sw2603B-ms98-a-0023,165.196625,165.546625,water,I,sd,u-32-1
sw2603B-ms98-a-0023,165.546625,166.058500,aerobics,I,sd,u-32-1
sw2603B-ms98-a-0023,166.476625,166.606625,i,B,sd^r,u-32-2
sw2603B-ms98-a-0023,166.606625,166.956625,love,I,sd^r,u-32-2
sw2603B-ms98-a-0023,166.956625,167.026625,the,I,sd^r,u-32-2
sw2603B-ms98-a-0023,167.026625,167.246625,water,I,sd^r,u-32-2
sw2603B-ms98-a-0023,167.246625,167.814000,aerobics,I,sd^r,u-32-2
sw2603B-ms98-a-0024,169.652375,169.882750,oh,B,ny,u-34-1
sw2603B-ms98-a-0024,169.882750,170.082375,yeah,I,ny,u-34-1
sw2603B-ms98-a-0024,170.082375,170.192375,they've,B,sd^e,u-34-2
sw2603B-ms98-a-0024,170.192375,170.292375,got,I,sd^e,u-34-2
sw2603B-ms98-a-0024,170.292375,170.322375,a,I,sd^e,u-34-2
sw2603B-ms98-a-0024,170.322375,170.582375,nice,I,sd^e,u-34-2
sw2603B-ms98-a-0024,170.582375,170.732375,one,I,sd^e,u-34-2
sw2603B-ms98-a-0025,172.096375,172.206375,they,B,sd,u-36-1
sw2603B-ms98-a-0025,172.206375,172.356375,have,I,sd,u-36-1
sw2603B-ms98-a-0025,172.356375,172.526375,two,I,sd,u-36-1
sw2603B-ms98-a-0025,172.526375,172.896375,types,I,sd,u-36-1
sw2603B-ms98-a-0025,172.896375,172.996375,of,I,sd,u-36-1
sw2603B-ms98-a-0025,172.996375,173.306375,water,I,sd,u-36-1
sw2603B-ms98-a-0025,173.306375,173.958375,aerobics,I,sd,u-36-1
sw2603B-ms98-a-0025,174.246375,174.346625,they,B,sd,u-36-2
sw2603B-ms98-a-0025,174.346625,174.576375,call,I,sd,u-36-2
sw2603B-ms98-a-0025,174.576375,174.716375,it,I,sd,u-36-2
sw2603B-ms98-a-0025,174.716375,175.152625,aqua,I,sd,u-36-2
sw2603B-ms98-a-0025,175.496375,176.106375,exercise,I,sd,u-36-2
sw2603B-ms98-a-0025,176.226375,176.326375,i,I,sd,u-36-2
sw2603B-ms98-a-0025,176.326375,176.516375,guess,I,sd,u-36-2
sw2603B-ms98-a-0025,176.516375,176.586375,is,I,sd,u-36-2
sw2603B-ms98-a-0025,176.586375,176.676375,what,I,sd,u-36-2
sw2603B-ms98-a-0025,176.676375,176.746375,they,I,sd,u-36-2
sw2603B-ms98-a-0025,176.746375,177.026375,call,I,sd,u-36-2
sw2603B-ms98-a-0025,177.026375,177.196375,it,I,sd,u-36-2
sw2603B-ms98-a-0027,180.503875,180.643875,it,B,sd,u-38-1
sw2603B-ms98-a-0027,180.713875,181.143875,pushes,I,sd,u-38-1
sw2603B-ms98-a-0027,181.143875,181.373875,you,I,sd,u-38-1
sw2603B-ms98-a-0027,181.513875,181.823875,because,I,sd,u-38-1
sw2603B-ms98-a-0027,181.823875,181.923875,you're,I,sd,u-38-1
sw2603B-ms98-a-0027,181.923875,182.363875,pushing,I,sd,u-38-1
sw2603B-ms98-a-0027,182.363875,182.773875,against,I,sd,u-38-1
sw2603B-ms98-a-0027,182.773875,182.843875,the,I,sd,u-38-1
sw2603B-ms98-a-0027,182.843875,183.462500,water,I,sd,u-38-1
sw2603B-ms98-a-0027,183.812750,183.903875,in,B,+,u-40-1
sw2603B-ms98-a-0027,183.903875,184.453875,itself,I,+,u-40-1
sw2603B-ms98-a-0027,184.453875,184.653875,so,B,sd,u-40-2
sw2603B-ms98-a-0027,184.653875,184.713875,it,I,sd,u-40-2
sw2603B-ms98-a-0027,184.713875,184.803875,is,I,sd,u-40-2
sw2603B-ms98-a-0027,184.803875,185.023875,like,I,sd,u-40-2
sw2603B-ms98-a-0027,185.023875,185.434000,double,I,sd,u-40-2
sw2603B-ms98-a-0027,185.834250,186.535375,strenuous,I,sd,u-40-2
sw2603B-ms98-a-0027,186.878125,187.043875,but,B,sd,u-40-3
sw2603B-ms98-a-0027,187.043875,187.163875,you're,I,sd,u-40-3
sw2603B-ms98-a-0027,187.163875,187.423875,not,I,sd,u-40-3
sw2603B-ms98-a-0028,188.365250,188.810750,being,I,sd,u-40-3
sw2603B-ms98-a-0028,188.967500,189.305250,double,I,sd,u-40-3
sw2603B-ms98-a-0028,189.305250,190.325250,strenuous,I,sd,u-40-3
sw2603B-ms98-a-0028,190.325250,190.435250,on,I,sd,u-40-3
sw2603B-ms98-a-0028,190.435250,190.565250,your,I,sd,u-40-3
sw2603B-ms98-a-0028,190.565250,190.735250,own,I,sd,u-40-3
sw2603B-ms98-a-0028,190.735250,191.075250,body,I,sd,u-40-3
sw2603B-ms98-a-0028,191.695250,191.855250,because,B,sd,u-40-4
sw2603B-ms98-a-0028,191.855250,191.955250,you're,I,sd,u-40-4
sw2603B-ms98-a-0028,191.955250,192.325250,pushing,I,sd,u-40-4
sw2603B-ms98-a-0028,192.325250,192.435250,it,I,sd,u-40-4
sw2603B-ms98-a-0028,192.435250,193.045250,yourself,I,sd,u-40-4
sw2603B-ms98-a-0029,194.116625,194.251625,so,B,sd,u-42-1
sw2603B-ms98-a-0029,194.251625,194.401625,you're,I,sd,u-42-1
sw2603B-ms98-a-0029,194.401625,194.701625,doing,I,sd,u-42-1
sw2603B-ms98-a-0029,194.701625,194.801625,it,I,sd,u-42-1
sw2603B-ms98-a-0029,194.801625,195.231625,yourself,I,sd,u-42-1
sw2603B-ms98-a-0029,195.301625,195.501625,but,O,,
sw2603B-ms98-a-0031,197.968125,198.422625,huh-uh,O,,
sw2603B-ms98-a-0031,198.422625,198.522625,[laughter-the],O,,
sw2603B-ms98-a-0031,198.522625,198.712625,[laughter-only],O,,
sw2603B-ms98-a-0031,198.712625,198.962625,[laughter-thing],O,,
sw2603B-ms98-a-0031,198.962625,199.152625,that,B,sd^e,u-46-2
sw2603B-ms98-a-0031,199.152625,199.182625,i,I,sd^e,u-46-2
sw2603B-ms98-a-0031,199.182625,199.412625,ever,I,sd^e,u-46-2
sw2603B-ms98-a-0031,199.412625,199.631625,[laughter-felt],I,sd^e,u-46-2
sw2603B-ms98-a-0031,200.196625,200.741375,was,I,sd^e,u-46-2
sw2603B-ms98-a-0032,201.320875,201.490875,every,I,sd^e,u-46-2
sw2603B-ms98-a-0032,201.490875,201.700875,time,I,sd^e,u-46-2
sw2603B-ms98-a-0032,201.700875,201.770875,i,I,sd^e,u-46-2
sw2603B-ms98-a-0032,201.770875,202.120875,stop,I,sd^e,u-46-2
sw2603B-ms98-a-0032,202.120875,202.310875,and,I,sd^e,u-46-2
sw2603B-ms98-a-0032,202.380875,202.640875,start,I,sd^e,u-46-2
sw2603B-ms98-a-0032,202.640875,202.890875,going,I,sd^e,u-46-2
sw2603B-ms98-a-0032,202.890875,203.060875,again,I,sd^e,u-46-2
sw2603B-ms98-a-0032,203.060875,203.330875,because,I,sd^e,u-46-2
sw2603B-ms98-a-0032,203.330875,203.620250,i,I,sd^e,u-46-2
sw2603B-ms98-a-0032,203.800875,203.930875,end,I,sd^e,u-46-2
sw2603B-ms98-a-0032,203.930875,204.020875,up,I,sd^e,u-46-2
sw2603B-ms98-a-0032,204.020875,204.250875,getting,I,sd^e,u-46-2
sw2603B-ms98-a-0032,204.250875,204.420875,two,I,sd^e,u-46-2
sw2603B-ms98-a-0032,204.420875,204.830875,jobs,I,sd^e,u-46-2
sw2603B-ms98-a-0032,204.830875,205.040875,once,I,sd^e,u-46-2
sw2603B-ms98-a-0032,205.040875,205.110875,in,I,sd^e,u-46-2
sw2603B-ms98-a-0032,205.110875,205.170875,a,I,sd^e,u-46-2
sw2603B-ms98-a-0032,205.170875,205.466750,while,I,sd^e,u-46-2
sw2603B-ms98-a-0032,205.645500,205.766125,i,B,sd,u-46-3
sw2603B-ms98-a-0032,205.766125,205.960875,end,I,sd,u-46-3
sw2603B-ms98-a-0032,205.960875,206.100875,up,I,sd,u-46-3
sw2603B-ms98-a-0032,206.100875,206.300875,having,I,sd,u-46-3
sw2603B-ms98-a-0032,206.300875,206.400875,to,I,sd,u-46-3
sw2603B-ms98-a-0032,206.400875,206.610875,quit,I,sd,u-46-3
sw2603B-ms98-a-0032,206.610875,206.700875,for,I,sd,u-46-3
sw2603B-ms98-a-0032,206.700875,206.730875,a,I,sd,u-46-3
sw2603B-ms98-a-0032,206.730875,206.940875,while,I,sd,u-46-3
sw2603B-ms98-a-0032,206.940875,207.094500,but,B,sd,u-46-4
sw2603B-ms98-a-0032,207.584250,207.680875,i,I,sd,u-46-4
sw2603B-ms98-a-0032,207.680875,207.830875,get,I,sd,u-46-4
sw2603B-ms98-a-0032,207.830875,208.280875,blisters,I,sd,u-46-4
sw2603B-ms98-a-0032,208.280875,208.380875,on,I,sd,u-46-4
sw2603B-ms98-a-0032,208.380875,208.510500,my,I,sd,u-46-4
sw2603B-ms98-a-0032,208.510500,208.891000,toes,I,sd,u-46-4
sw2603B-ms98-a-0032,208.891000,209.070875,on,I,sd,u-46-4
sw2603B-ms98-a-0032,209.070875,209.190625,the,I,sd,u-46-4
sw2603B-ms98-a-0032,209.190625,209.537125,bottom,I,sd,u-46-4
sw2603B-ms98-a-0032,209.537125,209.810875,because,I,sd,u-46-4
sw2603B-ms98-a-0032,209.810875,209.983625,i,B,+,u-48-1
sw2603B-ms98-a-0032,209.983625,210.280875,really,I,+,u-48-1
sw2603B-ms98-a-0032,210.280875,210.540875,jump,I,+,u-48-1
sw2603B-ms98-a-0032,210.540875,210.600875,a,I,+,u-48-1
sw2603B-ms98-a-0032,210.600875,210.890875,lot,I,+,u-48-1
sw2603B-ms98-a-0033,211.547375,211.817375,but,O,,
sw2603B-ms98-a-0034,213.609250,213.829250,well,B,sd,u-50-1
sw2603B-ms98-a-0034,213.829250,213.859250,a,I,sd,u-50-1
sw2603B-ms98-a-0034,213.859250,213.989250,lot,I,sd,u-50-1
sw2603B-ms98-a-0034,213.989250,214.059250,of,I,sd,u-50-1
sw2603B-ms98-a-0034,214.059250,214.269250,people,I,sd,u-50-1
sw2603B-ms98-a-0034,214.269250,214.439250,wear,I,sd,u-50-1
sw2603B-ms98-a-0034,214.439250,214.679250,those,I,sd,u-50-1
sw2603B-ms98-a-0034,214.679250,214.939250,little,I,sd,u-50-1
sw2603B-ms98-a-0034,214.939250,215.175375,uh,I,sd,u-50-1
sw2603B-ms98-a-0034,215.609250,215.869250,terry,I,sd,u-50-1
sw2603B-ms98-a-0034,215.869250,216.279250,cloth,I,sd,u-50-1
sw2603B-ms98-a-0034,216.339250,216.479250,with,I,sd,u-50-1
sw2603B-ms98-a-0034,216.559250,216.769250,rubber,I,sd,u-50-1
sw2603B-ms98-a-0034,216.769250,217.119250,soles,I,sd,u-50-1
sw2603B-ms98-a-0034,217.119250,217.209250,on,I,sd,u-50-1
sw2603B-ms98-a-0034,217.209250,217.269250,the,I,sd,u-50-1
sw2603B-ms98-a-0034,217.269250,217.549250,bottom,I,sd,u-50-1
sw2603B-ms98-a-0035,218.781750,219.141750,especially,I,sd,u-50-1
sw2603B-ms98-a-0035,219.141750,219.331750,around,I,sd,u-50-1
sw2603B-ms98-a-0035,219.331750,219.391750,the,I,sd,u-50-1
sw2603B-ms98-a-0035,219.391750,219.591750,pool,I,sd,u-50-1
sw2603B-ms98-a-0035,219.591750,219.721750,so,B,sd,u-50-2
sw2603B-ms98-a-0035,219.721750,219.841750,they,I,sd,u-50-2
sw2603B-ms98-a-0035,219.841750,220.111750,just,I,sd,u-50-2
sw2603B-ms98-a-0035,220.111750,220.291750,wear,B,+,u-52-1
sw2603B-ms98-a-0035,220.291750,220.433125,them,I,+,u-52-1
sw2603B-ms98-a-0035,220.433125,220.598875,right,I,+,u-52-1
sw2603B-ms98-a-0035,220.598875,220.837625,into,I,+,u-52-1
sw2603B-ms98-a-0035,220.837625,220.928625,the,I,+,u-52-1
sw2603B-ms98-a-0035,220.928625,221.235750,pool,I,+,u-52-1
