sw2064A-ms98-a-0003,5.230625,5.550625,um-hum,B,bh,u-2-1
sw2064A-ms98-a-0014,66.121125,66.591125,person,I,sv,u-20-3
sw2064A-ms98-a-0014,66.591125,67.031125,personally,I,sv,u-20-3
sw2064A-ms98-a-0015,68.118000,68.253875,i,B,sv,u-22-1
sw2064A-ms98-a-0015,68.253875,68.478500,think,I,sv,u-22-1
sw2064A-ms98-a-0015,68.478500,68.598000,i,I,sv,u-22-1
sw2064A-ms98-a-0015,68.598000,68.768000,would,I,sv,u-22-1
sw2064A-ms98-a-0015,68.768000,68.943125,be,I,sv,u-22-1
sw2064A-ms98-a-0015,68.943125,69.726500,[laughter],I,sv,u-22-1
sw2064A-ms98-a-0015,69.726500,69.828000,you,I,sv,u-22-1
sw2064A-ms98-a-0015,69.828000,69.976250,know,I,sv,u-22-1
sw2064A-ms98-a-0015,70.452250,70.625500,i,B,sd,u-22-2
sw2064A-ms98-a-0015,70.625500,70.958000,guess,I,sd,u-22-2
sw2064A-ms98-a-0015,70.958000,71.148000,really,I,sd,u-22-2
sw2064A-ms98-a-0015,71.148000,71.405375,if,I,sd,u-22-2
sw2064A-ms98-a-0015,71.405375,71.537125,i,I,sd,u-22-2
sw2064A-ms98-a-0015,71.537125,71.698000,had,I,sd,u-22-2
sw2064A-ms98-a-0015,71.698000,71.758000,to,I,sd,u-22-2
sw2064A-ms98-a-0015,71.758000,71.968000,say,I,sd,u-22-2
sw2064A-ms98-a-0015,71.968000,72.208000,yes,I,sd,u-22-2
sw2064A-ms98-a-0015,72.208000,72.318000,or,I,sd,u-22-2
sw2064A-ms98-a-0015,72.318000,72.545625,no,I,sd,u-22-2
sw2064A-ms98-a-0015,72.545625,72.707625,i,I,sd,u-22-2
sw2064A-ms98-a-0015,72.707625,72.928000,guess,I,sd,u-22-2
sw2064A-ms98-a-0015,72.928000,73.057125,i,I,sd,u-22-2
sw2064A-ms98-a-0015,73.057125,73.248000,would,I,sd,u-22-2
sw2064A-ms98-a-0015,73.248000,73.621125,say,I,sd,u-22-2
sw2064A-ms98-a-0015,73.922875,74.037375,you,I,sd,u-22-2
sw2064A-ms98-a-0015,74.037375,74.102250,know,I,sd,u-22-2
sw2064A-ms98-a-0015,74.102250,74.308000,that,I,sd,u-22-2
sw2064A-ms98-a-0016,74.926875,75.096875,i,I,sd,u-22-2
sw2064A-ms98-a-0016,75.096875,75.266875,am,I,sd,u-22-2
sw2064A-ms98-a-0016,75.266875,75.346875,in,I,sd,u-22-2
sw2064A-ms98-a-0016,75.346875,75.696875,certain,I,sd,u-22-2
sw2064A-ms98-a-0016,75.696875,76.193000,cases,I,sd,u-22-2
sw2064A-ms98-a-0016,76.565875,76.716875,in,I,sd,u-22-2
sw2064A-ms98-a-0016,76.716875,77.026875,favor,I,sd,u-22-2
sw2064A-ms98-a-0016,77.026875,77.086875,of,I,sd,u-22-2
sw2064A-ms98-a-0016,77.086875,77.146875,the,I,sd,u-22-2
sw2064A-ms98-a-0016,77.146875,77.346875,death,I,sd,u-22-2
sw2064A-ms98-a-0016,77.346875,77.576875,penalty,I,sd,u-22-2
sw2064A-ms98-a-0016,77.576875,77.676875,i,B,sv,u-22-3
sw2064A-ms98-a-0016,77.676875,77.836875,don't,I,sv,u-22-3
sw2064A-ms98-a-0016,77.836875,77.906875,know,I,sv,u-22-3
sw2064A-ms98-a-0016,77.906875,77.996875,that,I,sv,u-22-3
sw2064A-ms98-a-0016,77.996875,78.146875,it's,I,sv,u-22-3
sw2064A-ms98-a-0016,78.146875,78.186875,a,I,sv,u-22-3
sw2064A-ms98-a-0016,78.186875,78.396875,big,I,sv,u-22-3
sw2064A-ms98-a-0016,78.396875,78.886875,deterrent,I,sv,u-22-3
sw2064A-ms98-a-0016,78.886875,79.116875,really,I,sv,u-22-3
sw2064A-ms98-a-0016,79.536875,79.596000,i,B,sv,u-22-4
sw2064A-ms98-a-0016,79.596000,79.720375,don't,I,sv,u-22-4
sw2064A-ms98-a-0016,79.720375,79.856875,know,I,sv,u-22-4
sw2064A-ms98-a-0016,79.856875,79.976875,that,I,sv,u-22-4
sw2064A-ms98-a-0016,79.976875,80.156875,it,I,sv,u-22-4
sw2064A-ms98-a-0016,80.156875,80.366750,is,I,sv,u-22-4
sw2064A-ms98-a-0016,80.671875,80.866875,i,B,sv,u-22-5
sw2064A-ms98-a-0016,80.866875,81.036875,don't,I,sv,u-22-5
sw2064A-ms98-a-0016,81.036875,81.166875,know,I,sv,u-22-5
sw2064A-ms98-a-0016,81.496875,81.626875,how,I,sv,u-22-5
sw2064A-ms98-a-0016,81.626875,81.756875,we'd,I,sv,u-22-5
sw2064A-ms98-a-0016,81.756875,81.906875,ever,I,sv,u-22-5
sw2064A-ms98-a-0016,81.906875,82.276875,find,I,sv,u-22-5
sw2064A-ms98-a-0016,82.276875,82.466875,out,I,sv,u-22-5
sw2064A-ms98-a-0016,82.466875,82.526875,you,I,sv,u-22-5
sw2064A-ms98-a-0016,82.526875,82.610750,know,I,sv,u-22-5
sw2064A-ms98-a-0016,82.829125,83.086875,really,I,sv,u-22-5
sw2064A-ms98-a-0016,83.086875,83.266875,whether,I,sv,u-22-5
sw2064A-ms98-a-0016,83.266875,83.356875,it,I,sv,u-22-5
sw2064A-ms98-a-0016,83.356875,83.549500,is,I,sv,u-22-5
sw2064A-ms98-a-0016,83.549500,83.637375,or,I,sv,u-22-5
sw2064A-ms98-a-0016,83.637375,83.873625,not,I,sv,u-22-5
sw2064A-ms98-a-0018,87.180000,87.330000,oh,B,aa,u-24-1
sw2064A-ms98-a-0018,87.330000,87.465375,yeah,I,aa,u-24-1
sw2064A-ms98-a-0018,87.669625,87.850000,oh,B,aa,u-24-2
sw2064A-ms98-a-0018,87.850000,88.470000,absolutely,I,aa,u-24-2
sw2064A-ms98-a-0018,88.470000,88.600000,yeah,B,aa^r,u-24-3
sw2064A-ms98-a-0018,88.600000,88.710000,it,B,sv,u-24-4
sw2064A-ms98-a-0018,88.710000,88.930000,goes,I,sv,u-24-4
sw2064A-ms98-a-0018,88.930000,89.100000,on,I,sv,u-24-4
sw2064A-ms98-a-0018,89.100000,89.260000,for,I,sv,u-24-4
sw2064A-ms98-a-0018,89.260000,89.640000,years,I,sv,u-24-4
sw2064A-ms98-a-0018,89.640000,89.730000,and,I,sv,u-24-4
sw2064A-ms98-a-0018,89.730000,89.930000,years,I,sv,u-24-4
sw2064A-ms98-a-0018,89.930000,90.040000,and,I,sv,u-24-4
sw2064A-ms98-a-0018,90.040000,90.630000,costs,I,sv,u-24-4
sw2064A-ms98-a-0018,90.630000,91.110000,hundreds,I,sv,u-24-4
sw2064A-ms98-a-0018,91.110000,91.170000,of,I,sv,u-24-4
sw2064A-ms98-a-0018,91.170000,91.630000,thousands,I,sv,u-24-4
sw2064A-ms98-a-0018,91.630000,91.720000,of,I,sv,u-24-4
sw2064A-ms98-a-0018,91.720000,92.105875,dollars,I,sv,u-24-4
sw2064A-ms98-a-0018,92.592500,93.060250,taxpayer,I,sv,u-24-4
sw2064A-ms98-a-0018,93.060250,93.270000,money,I,sv,u-24-4
sw2064A-ms98-a-0020,95.436625,95.626625,yeah,B,b,u-26-1
sw2064A-ms98-a-0022,103.975375,104.301625,yes,B,b,u-28-1
sw2064A-ms98-a-0024,109.957750,110.227250,yes,B,b@,u-30-1
sw2064A-ms98-a-0024,110.665500,110.947750,um-hum,I,b@,u-30-1
sw2064A-ms98-a-0026,112.674125,112.892250,yeah,O,,
sw2064A-ms98-a-0026,113.098875,113.204125,it,B,sv,u-32-2
sw2064A-ms98-a-0026,113.204125,113.414125,is,I,sv,u-32-2
sw2064A-ms98-a-0026,113.414125,113.574125,it's,B,sv,u-32-3
sw2064A-ms98-a-0026,113.574125,113.764125,it's,I,sv,u-32-3
sw2064A-ms98-a-0026,113.764125,113.894125,a,I,sv,u-32-3
sw2064A-ms98-a-0026,113.894125,114.234125,tough,I,sv,u-32-3
sw2064A-ms98-a-0026,114.234125,114.454125,tough,I,sv,u-32-3
sw2064A-ms98-a-0026,114.454125,114.864125,question,I,sv,u-32-3
sw2064A-ms98-a-0026,114.864125,114.974125,it,B,sv,u-32-4
sw2064A-ms98-a-0026,114.974125,115.214125,really,I,sv,u-32-4
sw2064A-ms98-a-0026,115.214125,115.483750,is,I,sv,u-32-4
sw2064A-ms98-a-0027,116.452375,116.562375,i,B,sv,u-34-1
sw2064A-ms98-a-0027,116.562375,116.999000,suspect,I,sv,u-34-1
sw2064A-ms98-a-0027,116.999000,117.073125,i,I,sv,u-34-1
sw2064A-ms98-a-0027,117.073125,117.148750,would,I,sv,u-34-1
sw2064A-ms98-a-0027,117.148750,117.154375,be,I,sv,u-34-1
sw2064A-ms98-a-0027,117.154375,117.442625,uh,I,sv,u-34-1
sw2064A-ms98-a-0027,118.056625,118.122375,you,I,sv,u-34-1
sw2064A-ms98-a-0027,118.122375,118.202375,know,I,sv,u-34-1
sw2064A-ms98-a-0027,118.202375,118.232375,a,I,sv,u-34-1
sw2064A-ms98-a-0027,118.232375,118.422375,lot,I,sv,u-34-1
sw2064A-ms98-a-0027,118.422375,118.592375,more,I,sv,u-34-1
sw2064A-ms98-a-0027,118.592375,119.012375,favor,I,sv,u-34-1
sw2064A-ms98-a-0027,119.012375,119.112375,of,I,sv,u-34-1
sw2064A-ms98-a-0027,119.112375,119.202375,it,I,sv,u-34-1
sw2064A-ms98-a-0027,119.202375,119.412375,if,I,sv,u-34-1
sw2064A-ms98-a-0027,119.412375,119.472375,you,I,sv,u-34-1
sw2064A-ms98-a-0027,119.472375,119.582375,know,I,sv,u-34-1
sw2064A-ms98-a-0027,119.582375,119.702375,one,I,sv,u-34-1
sw2064A-ms98-a-0027,119.702375,119.762375,of,I,sv,u-34-1
sw2064A-ms98-a-0027,119.762375,119.852375,my,I,sv,u-34-1
sw2064A-ms98-a-0027,119.852375,120.262375,children,I,sv,u-34-1
sw2064A-ms98-a-0027,120.262375,120.378625,were,I,sv,u-34-1
sw2064A-ms98-a-0027,120.702500,120.801125,you,I,sv,u-34-1
sw2064A-ms98-a-0027,120.801125,120.982375,know,I,sv,u-34-1
sw2064A-ms98-a-0027,120.982375,121.352375,brutally,I,sv,u-34-1
sw2064A-ms98-a-0027,121.352375,121.712375,killed,I,sv,u-34-1
sw2064A-ms98-a-0027,121.712375,121.782375,or,I,sv,u-34-1
sw2064A-ms98-a-0027,121.782375,122.082375,something,I,sv,u-34-1
sw2064A-ms98-a-0027,122.082375,122.302375,like,I,sv,u-34-1
sw2064A-ms98-a-0027,122.302375,122.472375,that,I,sv,u-34-1
sw2064A-ms98-a-0027,122.472375,122.592375,like,B,sv,u-34-2
sw2064A-ms98-a-0027,122.592375,122.622375,i,I,sv,u-34-2
sw2064A-ms98-a-0027,122.622375,122.722375,say,I,sv,u-34-2
sw2064A-ms98-a-0027,122.722375,122.802375,i,I,sv,u-34-2
sw2064A-ms98-a-0027,122.802375,122.932375,think,I,sv,u-34-2
sw2064A-ms98-a-0027,122.932375,122.992375,it,I,sv,u-34-2
sw2064A-ms98-a-0027,122.992375,123.362375,depends,I,sv,u-34-2
sw2064A-ms98-a-0027,123.362375,123.482375,on,I,sv,u-34-2
sw2064A-ms98-a-0027,123.482375,123.732000,how,I,sv,u-34-2
sw2064A-ms98-a-0027,124.255500,124.612375,personally,I,sv,u-34-2
sw2064A-ms98-a-0027,124.612375,125.042375,affected,I,sv,u-34-2
sw2064A-ms98-a-0027,125.042375,125.142375,you,I,sv,u-34-2
sw2064A-ms98-a-0027,125.142375,125.202375,know,I,sv,u-34-2
sw2064A-ms98-a-0027,125.202375,125.342375,you,I,sv,u-34-2
sw2064A-ms98-a-0027,125.342375,125.592375,might,I,sv,u-34-2
sw2064A-ms98-a-0027,125.592375,125.742375,be,I,sv,u-34-2
sw2064A-ms98-a-0027,125.742375,125.932375,by,I,sv,u-34-2
sw2064A-ms98-a-0027,125.932375,126.082375,it,I,sv,u-34-2
sw2064A-ms98-a-0029,130.137750,130.277000,oh,B,aa,u-36-1
sw2064A-ms98-a-0029,130.277000,130.921000,absolutely,I,aa,u-36-1
sw2064A-ms98-a-0030,132.036375,132.202375,th[at's]-,O,,
sw2064A-ms98-a-0031,133.476500,133.636750,that's,B,ba,u-38-1
sw2064A-ms98-a-0031,133.636750,133.841625,right,I,ba,u-38-1
sw2064A-ms98-a-0033,139.991250,140.204625,not,B,ng,u-40-1
sw2064A-ms98-a-0033,140.204625,140.344625,with,I,ng,u-40-1
sw2064A-ms98-a-0033,140.344625,140.494625,me,I,ng,u-40-1
sw2064A-ms98-a-0033,140.494625,141.014625,personally,I,ng,u-40-1
sw2064A-ms98-a-0033,141.014625,141.094625,it,B,sv,u-40-2
sw2064A-ms98-a-0033,141.094625,141.264625,is,I,sv,u-40-2
sw2064A-ms98-a-0033,141.264625,141.354625,with,I,sv,u-40-2
sw2064A-ms98-a-0033,141.354625,141.394625,a,I,sv,u-40-2
sw2064A-ms98-a-0033,141.394625,141.534625,lot,I,sv,u-40-2
sw2064A-ms98-a-0033,141.534625,141.614500,of,I,sv,u-40-2
sw2064A-ms98-a-0033,141.614500,141.954625,people,I,sv,u-40-2
sw2064A-ms98-a-0034,142.705000,142.925000,it's,B,sd,u-42-1
sw2064A-ms98-a-0034,142.925000,143.095000,not,I,sd,u-42-1
sw2064A-ms98-a-0034,143.225000,143.435000,not,I,sd,u-42-1
sw2064A-ms98-a-0034,143.435000,143.515000,to,I,sd,u-42-1
sw2064A-ms98-a-0034,143.515000,143.625000,me,I,sd,u-42-1
sw2064A-ms98-a-0034,143.625000,144.085000,personally,I,sd,u-42-1
sw2064A-ms98-a-0034,144.085000,144.335000,no,B,ny,u-42-2
sw2064A-ms98-a-0035,145.180625,145.300625,no,B,ny^r,u-44-1
sw2064A-ms98-a-0037,154.002750,154.413875,um-hum,B,b,u-46-1
sw2064A-ms98-a-0038,155.421125,155.661125,yes,B,b,u-48-1
sw2064A-ms98-a-0039,157.222875,157.462875,that's,B,sv,u-50-1
sw2064A-ms98-a-0039,157.462875,157.522875,a,I,sv,u-50-1
sw2064A-ms98-a-0039,157.522875,157.762875,it's,I,sv,u-50-1
sw2064A-ms98-a-0039,157.762875,157.822875,a,I,sv,u-50-1
sw2064A-ms98-a-0039,157.822875,158.102875,tough,I,sv,u-50-1
sw2064A-ms98-a-0039,158.102875,158.372875,tough,I,sv,u-50-1
sw2064A-ms98-a-0039,158.372875,158.772875,question,I,sv,u-50-1
sw2064A-ms98-a-0039,158.772875,158.882875,it,B,sv,u-50-2
sw2064A-ms98-a-0039,158.882875,159.052875,really,I,sv,u-50-2
sw2064A-ms98-a-0039,159.052875,159.297625,is,I,sv,u-50-2
sw2064A-ms98-a-0041,163.381500,163.621500,yes,B,ny,u-52-1
sw2064A-ms98-a-0041,163.621500,163.691500,i,B,sd^e,u-52-2
sw2064A-ms98-a-0041,163.691500,163.871500,think,I,sd^e,u-52-2
sw2064A-ms98-a-0041,163.871500,164.051500,most,I,sd^e,u-52-2
sw2064A-ms98-a-0041,164.051500,164.311500,states,I,sd^e,u-52-2
sw2064A-ms98-a-0041,164.311500,164.501500,do,I,sd^e,u-52-2
sw2064A-ms98-a-0041,164.501500,164.661500,have,I,sd^e,u-52-2
sw2064A-ms98-a-0041,164.661500,164.991500,capital,I,sd^e,u-52-2
sw2064A-ms98-a-0041,164.991500,165.431500,punishment,I,sd^e,u-52-2
sw2064A-ms98-a-0041,165.431500,165.651500,yes,B,ny^r,u-52-3
sw2064A-ms98-a-0043,167.724125,167.828375,but,B,sv,u-54-1
sw2064A-ms98-a-0043,167.828375,167.907000,i,I,sv,u-54-1
sw2064A-ms98-a-0043,167.907000,168.094125,think,I,sv,u-54-1
sw2064A-ms98-a-0043,168.094125,168.154125,the,I,sv,u-54-1
sw2064A-ms98-a-0043,168.154125,168.614125,US,I,sv,u-54-1
sw2064A-ms98-a-0043,168.614125,168.704125,is,I,sv,u-54-1
sw2064A-ms98-a-0043,168.704125,168.854125,one,I,sv,u-54-1
sw2064A-ms98-a-0043,168.854125,168.924125,of,I,sv,u-54-1
sw2064A-ms98-a-0043,168.924125,168.984125,the,I,sv,u-54-1
sw2064A-ms98-a-0043,168.984125,169.134125,few,I,sv,u-54-1
sw2064A-ms98-a-0043,169.134125,169.604125,countries,I,sv,u-54-1
sw2064A-ms98-a-0043,169.604125,169.714125,that,I,sv,u-54-1
sw2064A-ms98-a-0043,169.714125,170.045250,still,I,sv,u-54-1
sw2064A-ms98-a-0043,170.045250,170.312000,do,I,sv,u-54-1
sw2064A-ms98-a-0045,172.271000,172.541000,yes,B,aa,u-56-1
sw2064A-ms98-a-0045,173.241000,173.424750,they're,B,%,u-56-2
sw2064A-ms98-a-0045,173.424750,173.722250,only,I,%,u-56-2
sw2064A-ms98-a-0045,174.341500,174.413125,i,B,sd,u-56-3
sw2064A-ms98-a-0045,174.413125,174.511000,was,I,sd,u-56-3
sw2064A-ms98-a-0045,174.511000,174.671000,reading,I,sd,u-56-3
sw2064A-ms98-a-0045,174.671000,174.888750,something,I,sd,u-56-3
sw2064A-ms98-a-0045,174.888750,175.054500,about,I,sd,u-56-3
sw2064A-ms98-a-0045,175.054500,175.181000,it,I,sd,u-56-3
sw2064A-ms98-a-0045,175.181000,175.271000,the,I,sd,u-56-3
sw2064A-ms98-a-0045,175.271000,175.365000,o[ther]-,I,sd,u-56-3
sw2064A-ms98-a-0045,175.365000,175.481000,day,I,sd,u-56-3
sw2064A-ms98-a-0045,175.481000,175.621375,i,B,sv,u-56-4
sw2064A-ms98-a-0045,175.621375,175.725125,i,I,sv,u-56-4
sw2064A-ms98-a-0045,175.725125,175.895750,wanna,I,sv,u-56-4
sw2064A-ms98-a-0045,175.895750,176.024375,[vocalized-noise],I,sv,u-56-4
sw2064A-ms98-a-0045,176.024375,176.216250,think,I,sv,u-56-4
sw2064A-ms98-a-0045,176.216250,176.411250,there's,I,sv,u-56-4
sw2064A-ms98-a-0045,176.411250,176.611000,only,I,sv,u-56-4
sw2064A-ms98-a-0045,176.611000,176.911000,like,I,sv,u-56-4
sw2064A-ms98-a-0045,176.911000,177.591000,six,I,sv,u-56-4
sw2064A-ms98-a-0045,177.591000,177.751000,or,I,sv,u-56-4
sw2064A-ms98-a-0045,177.751000,177.891000,eight,I,sv,u-56-4
sw2064A-ms98-a-0045,177.891000,178.261000,countries,I,sv,u-56-4
sw2064A-ms98-a-0045,178.261000,178.341000,in,I,sv,u-56-4
sw2064A-ms98-a-0045,178.341000,178.531000,the,I,sv,u-56-4
sw2064A-ms98-a-0045,178.531000,178.841000,world,I,sv,u-56-4
sw2064A-ms98-a-0045,178.841000,178.931000,that,I,sv,u-56-4
sw2064A-ms98-a-0045,178.931000,179.181000,have,I,sv,u-56-4
sw2064A-ms98-a-0045,179.181000,179.521000,capital,I,sv,u-56-4
sw2064A-ms98-a-0045,179.521000,179.981000,punishment,I,sv,u-56-4
sw2064A-ms98-a-0045,179.981000,180.401000,still,I,sv,u-56-4
sw2064A-ms98-a-0046,181.070000,181.182500,a,B,sv,u-58-1
sw2064A-ms98-a-0046,181.182500,181.314625,lot,I,sv,u-58-1
sw2064A-ms98-a-0046,181.314625,181.440000,of,I,sv,u-58-1
sw2064A-ms98-a-0046,181.440000,181.500000,them_1,I,sv,u-58-1
sw2064A-ms98-a-0046,181.500000,181.690000,had,I,sv,u-58-1
sw2064A-ms98-a-0046,181.690000,181.842625,to,I,sv,u-58-1
sw2064A-ms98-a-0046,182.136375,182.271875,have,I,sv,u-58-1
sw2064A-ms98-a-0046,182.795375,182.960000,el[ected]-,I,sv,u-58-1
sw2064A-ms98-a-0046,182.960000,183.300000,elected,I,sv,u-58-1
sw2064A-ms98-a-0046,183.300000,183.510000,not,I,sv,u-58-1
sw2064A-ms98-a-0046,183.510000,183.600000,to,I,sv,u-58-1
sw2064A-ms98-a-0046,183.600000,183.740000,do,I,sv,u-58-1
sw2064A-ms98-a-0046,183.740000,183.986375,so,I,sv,u-58-1
sw2064A-ms98-a-0046,184.253750,184.370000,now,B,sd,u-58-2
sw2064A-ms98-a-0046,184.370000,184.400000,i,I,sd,u-58-2
sw2064A-ms98-a-0046,184.400000,184.520000,don't,I,sd,u-58-2
sw2064A-ms98-a-0046,184.520000,184.580000,know,I,sd,u-58-2
sw2064A-ms98-a-0046,184.580000,184.750000,what,I,sd,u-58-2
sw2064A-ms98-a-0046,184.750000,184.866500,they,I,sd,u-58-2
sw2064A-ms98-a-0046,184.866500,185.032250,do,I,sd,u-58-2
sw2064A-ms98-a-0046,185.032250,185.130000,in,I,sd,u-58-2
sw2064A-ms98-a-0046,185.920000,186.270000,place,I,sd,u-58-2
sw2064A-ms98-a-0046,186.270000,186.390000,of,I,sd,u-58-2
sw2064A-ms98-a-0046,186.390000,186.490000,it,I,sd,u-58-2
sw2064A-ms98-a-0046,186.490000,186.550000,you,B,sv,u-58-3
