sw2893A-ms98-a-0002,1.073500,1.471625,so,B,%,u-1-1
sw2893A-ms98-a-0031,117.908500,118.027875,i,I,+,u-35-1
sw2893A-ms98-a-0031,118.027875,118.176250,feel,I,+,u-35-1
sw2893A-ms98-a-0031,118.176250,118.326250,like,I,+,u-35-1
sw2893A-ms98-a-0031,118.326250,118.446250,i'm,I,+,u-35-1
sw2893A-ms98-a-0031,118.446250,118.856250,obligated,I,+,u-35-1
sw2893A-ms98-a-0031,118.856250,118.916250,to,I,+,u-35-1
sw2893A-ms98-a-0031,118.916250,119.036250,do,I,+,u-35-1
sw2893A-ms98-a-0031,119.036250,119.116250,it,I,+,u-35-1
sw2893A-ms98-a-0031,119.116250,119.336250,because,I,+,u-35-1
sw2893A-ms98-a-0031,119.336250,119.446250,i've,I,+,u-35-1
sw2893A-ms98-a-0031,119.446250,119.656250,been,I,+,u-35-1
sw2893A-ms98-a-0031,119.656250,119.936250,doing,I,+,u-35-1
sw2893A-ms98-a-0031,119.936250,120.056250,it,I,+,u-35-1
sw2893A-ms98-a-0031,120.056250,120.196250,so,B,sd,u-35-2
sw2893A-ms98-a-0031,120.196250,120.226250,i,I,sd,u-35-2
sw2893A-ms98-a-0031,120.226250,120.406250,should,I,sd,u-35-2
sw2893A-ms98-a-0031,120.406250,120.706250,keep,I,sd,u-35-2
sw2893A-ms98-a-0031,120.706250,120.979625,up,I,sd,u-35-2
sw2893A-ms98-a-0032,122.803125,122.963125,and,B,sd,u-37-1
sw2893A-ms98-a-0032,122.963125,123.163125,there's,I,sd,u-37-1
sw2893A-ms98-a-0032,123.163125,123.383125,some,I,sd,u-37-1
sw2893A-ms98-a-0032,123.383125,123.653125,days,I,sd,u-37-1
sw2893A-ms98-a-0032,123.653125,123.763125,it's,I,sd,u-37-1
sw2893A-ms98-a-0032,123.763125,124.103125,just,I,sd,u-37-1
sw2893A-ms98-a-0032,124.103125,124.263125,like,I,sd,u-37-1
sw2893A-ms98-a-0032,124.263125,124.453125,it's,I,sd,u-37-1
sw2893A-ms98-a-0032,124.453125,124.653125,the,I,sd,u-37-1
sw2893A-ms98-a-0032,124.653125,124.923125,hardest,I,sd,u-37-1
sw2893A-ms98-a-0032,124.923125,125.013125,thing,I,sd,u-37-1
sw2893A-ms98-a-0032,125.013125,125.073125,in,I,sd,u-37-1
sw2893A-ms98-a-0032,125.073125,125.133125,the,I,sd,u-37-1
sw2893A-ms98-a-0032,125.133125,125.393125,world,I,sd,u-37-1
sw2893A-ms98-a-0032,125.393125,125.542625,to,I,sd,u-37-1
sw2893A-ms98-a-0033,126.445125,126.537750,to,I,sd,u-37-1
sw2893A-ms98-a-0033,126.537750,126.727750,get,I,sd,u-37-1
sw2893A-ms98-a-0033,126.727750,127.344000,started,I,sd,u-37-1
sw2893A-ms98-a-0034,128.838500,129.107500,i'm,B,sd,u-39-1
sw2893A-ms98-a-0034,129.107500,129.300750,uh,I,sd,u-39-1
sw2893A-ms98-a-0034,129.300750,129.637500,twenty,I,sd,u-39-1
sw2893A-ms98-a-0034,129.637500,130.227500,seven,I,sd,u-39-1
sw2893A-ms98-a-0036,132.315375,133.301000,[laughter-yeah],O,,
sw2893A-ms98-a-0036,133.301000,133.631125,still,B,sd,u-41-2
sw2893A-ms98-a-0036,133.631125,134.011125,young,I,sd,u-41-2
sw2893A-ms98-a-0036,134.011125,134.251125,getting,I,sd,u-41-2
sw2893A-ms98-a-0036,134.251125,134.543000,older,I,sd,u-41-2
sw2893A-ms98-a-0037,136.372375,136.683125,yep,O,,
sw2893A-ms98-a-0038,138.137750,138.560750,but,B,%,u-43-2
sw2893A-ms98-a-0038,138.560750,138.878750,uh,I,%,u-43-2
sw2893A-ms98-a-0040,150.239500,150.674125,yeah,B,b,u-45-1
sw2893A-ms98-a-0042,159.371000,159.769250,right,B,na,u-47-1
sw2893A-ms98-a-0044,167.771000,168.351250,right,B,b,u-49-1
sw2893A-ms98-a-0046,170.696000,170.812000,yeah,B,b,u-51-1
sw2893A-ms98-a-0046,170.812000,170.915375,i,B,sd,u-51-2
sw2893A-ms98-a-0046,170.915375,171.203500,notice,I,sd,u-51-2
sw2893A-ms98-a-0046,171.203500,171.393500,if,I,sd,u-51-2
sw2893A-ms98-a-0046,171.393500,171.613500,you,I,sd,u-51-2
sw2893A-ms98-a-0046,171.613500,171.784500,uh,I,sd,u-51-2
sw2893A-ms98-a-0047,172.332750,172.412750,if,I,sd,u-51-2
sw2893A-ms98-a-0047,172.412750,172.472750,you,I,sd,u-51-2
sw2893A-ms98-a-0047,172.472750,172.942750,stay,I,sd,u-51-2
sw2893A-ms98-a-0047,172.942750,173.042750,in,I,sd,u-51-2
sw2893A-ms98-a-0047,173.042750,173.392750,shape,I,sd,u-51-2
sw2893A-ms98-a-0047,173.392750,173.462750,you,I,sd,u-51-2
sw2893A-ms98-a-0047,173.462750,173.662750,don't,I,sd,u-51-2
sw2893A-ms98-a-0047,173.662750,173.932750,age,I,sd,u-51-2
sw2893A-ms98-a-0047,173.932750,174.072750,as,I,sd,u-51-2
sw2893A-ms98-a-0047,174.072750,174.381250,bad,I,sd,u-51-2
sw2893A-ms98-a-0048,175.519625,175.705000,i,B,%,u-53-1
sw2893A-ms98-a-0048,175.705000,175.999625,think,I,%,u-53-1
sw2893A-ms98-a-0048,175.999625,176.269625,too,I,%,u-53-1
sw2893A-ms98-a-0048,176.269625,176.370875,i,B,sd,u-53-2
sw2893A-ms98-a-0048,176.370875,176.665625,was,I,sd,u-53-2
sw2893A-ms98-a-0049,177.501000,177.681000,i,I,sd,u-53-2
sw2893A-ms98-a-0049,177.681000,177.821000,go,I,sd,u-53-2
sw2893A-ms98-a-0049,177.821000,177.901000,to,I,sd,u-53-2
sw2893A-ms98-a-0049,177.901000,178.351000,school,I,sd,u-53-2
sw2893A-ms98-a-0049,178.351000,178.611000,too,I,sd,u-53-2
sw2893A-ms98-a-0049,178.611000,178.711000,at,I,sd,u-53-2
sw2893A-ms98-a-0049,178.711000,179.011000,night,I,sd,u-53-2
sw2893A-ms98-a-0049,179.011000,179.121000,and,B,sd,u-53-3
sw2893A-ms98-a-0049,179.121000,179.461000,last,I,sd,u-53-3
sw2893A-ms98-a-0049,179.461000,179.941000,semester,I,sd,u-53-3
sw2893A-ms98-a-0049,179.941000,180.131500,i,I,sd,u-53-3
sw2893A-ms98-a-0050,181.202625,181.400875,had,I,sd,u-53-3
sw2893A-ms98-a-0050,181.400875,181.860875,stopped,I,sd,u-53-3
sw2893A-ms98-a-0050,181.860875,182.120875,working,I,sd,u-53-3
sw2893A-ms98-a-0050,182.120875,182.210875,out,I,sd,u-53-3
sw2893A-ms98-a-0050,182.210875,182.360875,because,I,sd,u-53-3
sw2893A-ms98-a-0050,182.360875,182.430875,i,I,sd,u-53-3
sw2893A-ms98-a-0050,182.430875,182.630875,hurt,I,sd,u-53-3
sw2893A-ms98-a-0050,182.630875,183.132750,myself,I,sd,u-53-3
sw2893A-ms98-a-0050,183.132750,183.395375,and,I,sd,u-53-3
sw2893A-ms98-a-0050,183.395375,183.740875,started,I,sd,u-53-3
sw2893A-ms98-a-0050,183.740875,184.160875,smoking,I,sd,u-53-3
sw2893A-ms98-a-0050,184.160875,184.240875,a,I,sd,u-53-3
sw2893A-ms98-a-0050,184.240875,184.480875,lot,I,sd,u-53-3
sw2893A-ms98-a-0050,184.480875,184.590875,and,B,%,u-53-4
sw2893A-ms98-a-0050,184.590875,184.660875,you,I,%,u-53-4
sw2893A-ms98-a-0050,184.660875,185.330875,just,I,%,u-53-4
sw2893A-ms98-a-0050,185.330875,185.490875,those,B,sv,u-53-5
sw2893A-ms98-a-0050,185.490875,185.660875,kind,I,sv,u-53-5
sw2893A-ms98-a-0050,185.660875,185.730875,of,I,sv,u-53-5
sw2893A-ms98-a-0050,185.730875,186.085250,things,I,sv,u-53-5
sw2893A-ms98-a-0050,186.085250,186.370875,age,I,sv,u-53-5
sw2893A-ms98-a-0050,186.370875,186.500875,you,I,sv,u-53-5
sw2893A-ms98-a-0050,186.500875,187.090750,more,I,sv,u-53-5
sw2893A-ms98-a-0051,188.677750,189.173000,right,B,b,u-55-1
sw2893A-ms98-a-0051,189.173000,189.570625,and,O,,
sw2893A-ms98-a-0052,191.141375,191.671375,right,B,b,u-57-1
sw2893A-ms98-a-0052,191.671375,191.781375,and,O,,
sw2893A-ms98-a-0052,191.781375,191.881375,you,B,%,u-57-2
sw2893A-ms98-a-0052,191.881375,192.259125,can't,I,%,u-57-2
sw2893A-ms98-a-0052,192.428625,192.561375,and,B,sv,u-57-3
sw2893A-ms98-a-0052,192.561375,192.896125,then,I,sv,u-57-3
sw2893A-ms98-a-0052,193.325500,193.411375,you,I,sv,u-57-3
sw2893A-ms98-a-0052,193.411375,193.541375,know,I,sv,u-57-3
sw2893A-ms98-a-0052,193.541375,193.681375,it,I,sv,u-57-3
sw2893A-ms98-a-0052,193.681375,193.901375,just,I,sv,u-57-3
sw2893A-ms98-a-0052,193.901375,194.051375,kind,I,sv,u-57-3
sw2893A-ms98-a-0052,194.051375,194.218500,of,I,sv,u-57-3
sw2893A-ms98-a-0052,194.218500,194.471375,feeds,I,sv,u-57-3
sw2893A-ms98-a-0052,194.471375,194.931375,itself,I,sv,u-57-3
sw2893A-ms98-a-0052,194.931375,195.021375,you,B,sd,u-57-4
sw2893A-ms98-a-0052,195.021375,195.381375,smoke,I,sd,u-57-4
sw2893A-ms98-a-0052,195.381375,195.481375,and,B,sd,u-57-5
sw2893A-ms98-a-0052,195.481375,195.571375,then,I,sd,u-57-5
sw2893A-ms98-a-0052,195.571375,195.631375,you,I,sd,u-57-5
sw2893A-ms98-a-0052,195.631375,195.781375,don't,I,sd,u-57-5
sw2893A-ms98-a-0052,195.781375,195.951375,work,I,sd,u-57-5
sw2893A-ms98-a-0052,195.951375,196.151375,out,I,sd,u-57-5
sw2893A-ms98-a-0052,196.151375,196.441375,because,I,sd,u-57-5
sw2893A-ms98-a-0052,196.441375,196.607500,you,I,sd,u-57-5
sw2893A-ms98-a-0053,197.175625,197.491625,yeah,O,,
sw2893A-ms98-a-0053,197.841250,198.278000,right,B,aa,u-59-1
sw2893A-ms98-a-0053,198.278000,198.508000,and,B,%,u-59-2
sw2893A-ms98-a-0053,198.508000,198.838000,so,I,%,u-59-2
sw2893A-ms98-a-0053,198.838000,198.989750,i,B,sd,u-61-1
sw2893A-ms98-a-0054,200.083375,200.213375,i,I,sd,u-61-1
sw2893A-ms98-a-0054,200.213375,200.643375,finally,I,sd,u-61-1
sw2893A-ms98-a-0054,200.643375,201.063375,quit,I,sd,u-61-1
sw2893A-ms98-a-0054,201.063375,201.453375,because,I,sd,u-61-1
sw2893A-ms98-a-0054,201.453375,201.663375,like,I,sd,u-61-1
sw2893A-ms98-a-0054,201.663375,201.743375,i,I,sd,u-61-1
sw2893A-ms98-a-0054,201.743375,202.383375,just,I,sd,u-61-1
sw2893A-ms98-a-0054,202.383375,202.513375,all,I,sd,u-61-1
sw2893A-ms98-a-0054,202.513375,202.563375,i,I,sd,u-61-1
sw2893A-ms98-a-0054,202.563375,202.723375,was,I,sd,u-61-1
sw2893A-ms98-a-0054,202.723375,202.963375,doing,I,sd,u-61-1
sw2893A-ms98-a-0054,202.963375,203.103375,was,I,sd,u-61-1
sw2893A-ms98-a-0054,203.103375,203.343375,going,I,sd,u-61-1
sw2893A-ms98-a-0054,203.343375,203.623375,down,I,sd,u-61-1
sw2893A-ms98-a-0054,203.623375,203.820625,hill,I,sd,u-61-1
sw2893A-ms98-a-0054,203.820625,204.427375,fast,I,sd,u-61-1
sw2893A-ms98-a-0056,211.300250,211.664375,yeah,B,b,u-63-1
sw2893A-ms98-a-0058,220.171625,220.401625,right,B,bf^m,u-65-1
sw2893A-ms98-a-0058,220.401625,220.641625,back,I,bf^m,u-65-1
sw2893A-ms98-a-0058,220.641625,220.731625,to,I,bf^m,u-65-1
sw2893A-ms98-a-0058,220.731625,221.039875,them_1,O,,
sw2893A-ms98-a-0058,221.661375,222.197375,yeah,B,b^m,u-67-1
sw2893A-ms98-a-0060,231.414250,231.933250,yeah,B,b,u-71-1
sw2893A-ms98-a-0060,232.274875,232.613875,yeah,B,b^r,u-71-2
sw2893A-ms98-a-0062,238.505375,238.620750,i,B,na,u-73-1
sw2893A-ms98-a-0062,238.620750,238.758875,went,I,na,u-73-1
sw2893A-ms98-a-0062,238.758875,238.858875,to,I,na,u-73-1
sw2893A-ms98-a-0062,238.858875,238.908875,a,I,na,u-73-1
sw2893A-ms98-a-0062,238.908875,239.118875,health,I,na,u-73-1
sw2893A-ms98-a-0062,239.118875,239.448875,club,I,na,u-73-1
sw2893A-ms98-a-0062,239.448875,239.498875,a,I,na,u-73-1
sw2893A-ms98-a-0062,239.498875,239.758875,few,I,na,u-73-1
sw2893A-ms98-a-0062,239.758875,240.058875,years,I,na,u-73-1
sw2893A-ms98-a-0062,240.058875,240.318875,ago,I,na,u-73-1
sw2893A-ms98-a-0062,240.318875,240.408875,and,B,sd,u-73-2
sw2893A-ms98-a-0062,240.408875,240.518875,now,I,sd,u-73-2
sw2893A-ms98-a-0062,240.518875,240.558875,i,I,sd,u-73-2
sw2893A-ms98-a-0062,240.558875,240.798875,work,I,sd,u-73-2
sw2893A-ms98-a-0062,240.798875,240.908875,out,I,sd,u-73-2
sw2893A-ms98-a-0062,240.908875,241.008875,at,I,sd,u-73-2
sw2893A-ms98-a-0062,241.008875,241.348875,home,I,sd,u-73-2
sw2893A-ms98-a-0062,241.348875,241.468875,because_1,I,sd,u-73-2
sw2893A-ms98-a-0062,241.468875,241.518875,i,I,sd,u-73-2
sw2893A-ms98-a-0062,241.518875,241.708875,don't,I,sd,u-73-2
sw2893A-ms98-a-0062,241.708875,242.026750,really,I,sd,u-73-2
sw2893A-ms98-a-0062,242.200000,242.348875,my,I,sd,u-73-2
sw2893A-ms98-a-0062,242.348875,242.868875,schedule,I,sd,u-73-2
sw2893A-ms98-a-0062,242.868875,242.978875,with,I,sd,u-73-2
sw2893A-ms98-a-0062,242.978875,243.308875,school,I,sd,u-73-2
sw2893A-ms98-a-0062,243.308875,243.418875,and,I,sd,u-73-2
sw2893A-ms98-a-0062,243.418875,243.628875,work,I,sd,u-73-2
sw2893A-ms98-a-0062,243.628875,243.678875,i,I,sd,u-73-2
sw2893A-ms98-a-0062,243.678875,243.838875,don't,I,sd,u-73-2
sw2893A-ms98-a-0062,243.838875,243.928875,have,I,sd,u-73-2
sw2893A-ms98-a-0062,243.928875,244.148875,time,I,sd,u-73-2
sw2893A-ms98-a-0062,244.148875,244.218875,to,I,sd,u-73-2
sw2893A-ms98-a-0062,244.218875,244.398875,get,I,sd,u-73-2
sw2893A-ms98-a-0062,244.398875,244.638875,down,I,sd,u-73-2
sw2893A-ms98-a-0062,244.638875,244.748875,to,I,sd,u-73-2
sw2893A-ms98-a-0062,244.748875,244.995000,one,I,sd,u-73-2
sw2893A-ms98-a-0063,245.494875,245.608625,there,B,sd,u-75-1
sw2893A-ms98-a-0063,245.608625,245.778625,used,I,sd,u-75-1
sw2893A-ms98-a-0063,245.778625,245.848625,to,I,sd,u-75-1
sw2893A-ms98-a-0063,245.848625,245.968625,be,I,sd,u-75-1
sw2893A-ms98-a-0063,245.968625,246.108625,one,I,sd,u-75-1
sw2893A-ms98-a-0063,246.108625,246.198625,that,I,sd,u-75-1
sw2893A-ms98-a-0063,246.198625,246.288625,was,I,sd,u-75-1
sw2893A-ms98-a-0063,246.288625,246.318625,a,I,sd,u-75-1
sw2893A-ms98-a-0063,246.318625,246.578625,twenty,I,sd,u-75-1
sw2893A-ms98-a-0063,246.578625,246.818625,four,I,sd,u-75-1
sw2893A-ms98-a-0063,246.818625,247.028625,hour,I,sd,u-75-1
sw2893A-ms98-a-0063,247.028625,247.168625,that,I,sd,u-75-1
sw2893A-ms98-a-0063,247.168625,247.218625,i,I,sd,u-75-1
sw2893A-ms98-a-0063,247.218625,247.438625,used,I,sd,u-75-1
sw2893A-ms98-a-0063,247.438625,247.508625,to,I,sd,u-75-1
sw2893A-ms98-a-0063,247.508625,247.668625,go,I,sd,u-75-1
sw2893A-ms98-a-0063,247.668625,247.948625,to,I,sd,u-75-1
sw2893A-ms98-a-0063,247.948625,248.258625,but,B,sd,u-75-2
sw2893A-ms98-a-0063,248.258625,248.458375,uh,I,sd,u-75-2
sw2893A-ms98-a-0063,248.880250,249.008625,i,I,sd,u-75-2
sw2893A-ms98-a-0063,249.008625,249.308625,actually,I,sd,u-75-2
sw2893A-ms98-a-0063,249.308625,249.758625,prefer,I,sd,u-75-2
sw2893A-ms98-a-0063,249.758625,249.868625,to,I,sd,u-75-2
sw2893A-ms98-a-0063,249.868625,250.108625,work,I,sd,u-75-2
sw2893A-ms98-a-0063,250.108625,250.218625,out,I,sd,u-75-2
sw2893A-ms98-a-0063,250.218625,250.884500,alone,I,sd,u-75-2
sw2893A-ms98-a-0065,253.254375,253.593250,really,B,bh,u-77-1
sw2893A-ms98-a-0067,255.889125,256.211250,yeah,B,b,u-79-1
sw2893A-ms98-a-0069,260.349000,260.453375,i,B,sd,u-81-1
sw2893A-ms98-a-0069,260.453375,260.598875,wouldn't,I,sd,u-81-1
sw2893A-ms98-a-0069,260.598875,260.718875,mind,I,sd,u-81-1
sw2893A-ms98-a-0069,260.718875,260.999625,having,I,sd,u-81-1
sw2893A-ms98-a-0069,260.999625,261.178875,you,I,sd,u-81-1
sw2893A-ms98-a-0069,261.178875,261.308875,know,I,sd,u-81-1
sw2893A-ms98-a-0069,261.308875,261.588875,working,I,sd,u-81-1
sw2893A-ms98-a-0069,261.588875,261.698875,out,I,sd,u-81-1
sw2893A-ms98-a-0069,261.698875,261.818875,with,I,sd,u-81-1
