sw3402B-ms98-a-0003,4.662375,5.221250,right,B,aa,u-2-1
sw3402B-ms98-a-0009,49.834750,50.289375,uh,I,sd,u-10-1
sw3402B-ms98-a-0009,50.289375,50.514750,either,I,sd,u-10-1
sw3402B-ms98-a-0009,50.514750,50.644750,Good,I,sd,u-10-1
sw3402B-ms98-a-0009,50.644750,50.884750,Morning,I,sd,u-10-1
sw3402B-ms98-a-0009,50.884750,51.234750,America,I,sd,u-10-1
sw3402B-ms98-a-0009,51.234750,51.444750,or,I,sd,u-10-1
sw3402B-ms98-a-0009,51.444750,51.524750,the,I,sd,u-10-1
sw3402B-ms98-a-0009,51.524750,51.854750,Today,I,sd,u-10-1
sw3402B-ms98-a-0009,51.854750,52.194750,Show,I,sd,u-10-1
sw3402B-ms98-a-0009,52.194750,52.464750,every,I,sd,u-10-1
sw3402B-ms98-a-0009,52.464750,53.134750,morning,I,sd,u-10-1
sw3402B-ms98-a-0009,53.462375,53.694750,while,B,+,u-12-1
sw3402B-ms98-a-0009,53.694750,53.961625,i'm,I,+,u-12-1
sw3402B-ms98-a-0009,53.961625,54.074750,you,I,+,u-12-1
sw3402B-ms98-a-0009,54.074750,54.174750,know,I,+,u-12-1
sw3402B-ms98-a-0009,54.174750,54.454750,whatever,B,sd,u-12-2
sw3402B-ms98-a-0009,54.454750,54.574750,i'm,I,sd,u-12-2
sw3402B-ms98-a-0009,54.574750,54.824750,doing,I,sd,u-12-2
sw3402B-ms98-a-0009,54.824750,54.884750,an[d]-,I,sd,u-12-2
sw3402B-ms98-a-0009,54.884750,54.954750,i,I,sd,u-12-2
sw3402B-ms98-a-0009,54.954750,55.234750,watch,I,sd,u-12-2
sw3402B-ms98-a-0009,55.234750,55.414750,that,I,sd,u-12-2
sw3402B-ms98-a-0009,55.414750,55.702875,i,B,sd,u-12-3
sw3402B-ms98-a-0009,56.309250,56.594750,usually,I,sd,u-12-3
sw3402B-ms98-a-0009,56.594750,56.864750,watch,I,sd,u-12-3
sw3402B-ms98-a-0009,56.864750,56.924750,the,I,sd,u-12-3
sw3402B-ms98-a-0009,56.924750,57.434750,news,I,sd,u-12-3
sw3402B-ms98-a-0009,57.434750,57.764750,either,I,sd,u-12-3
sw3402B-ms98-a-0009,57.764750,57.944750,at,I,sd,u-12-3
sw3402B-ms98-a-0010,58.348000,58.438000,you,I,sd,u-12-3
sw3402B-ms98-a-0010,58.438000,58.843000,know,I,sd,u-12-3
sw3402B-ms98-a-0010,58.843000,59.168000,early,I,sd,u-12-3
sw3402B-ms98-a-0010,59.168000,59.448000,evening,I,sd,u-12-3
sw3402B-ms98-a-0010,59.448000,59.588000,or,I,sd,u-12-3
sw3402B-ms98-a-0010,59.588000,59.678000,at,I,sd,u-12-3
sw3402B-ms98-a-0010,59.678000,59.828000,ten,I,sd,u-12-3
sw3402B-ms98-a-0010,59.828000,60.480500,o'clock,I,sd,u-12-3
sw3402B-ms98-a-0010,60.956500,61.099625,so,B,sd,u-14-1
sw3402B-ms98-a-0010,61.099625,61.308000,i,I,sd,u-14-1
sw3402B-ms98-a-0010,61.308000,61.468000,get,I,sd,u-14-1
sw3402B-ms98-a-0010,61.468000,61.578000,it,I,sd,u-14-1
sw3402B-ms98-a-0010,61.578000,61.708000,from,I,sd,u-14-1
sw3402B-ms98-a-0010,61.708000,62.088000,TV,I,sd,u-14-1
sw3402B-ms98-a-0010,62.088000,62.158000,a,I,sd,u-14-1
sw3402B-ms98-a-0010,62.158000,62.521625,lot,I,sd,u-14-1
sw3402B-ms98-a-0010,62.875625,62.988000,i,B,sd,u-14-2
sw3402B-ms98-a-0010,62.988000,63.168000,get,I,sd,u-14-2
sw3402B-ms98-a-0010,63.168000,63.438000,Time,I,sd,u-14-2
sw3402B-ms98-a-0010,63.438000,63.578000,ma[gazine]-,I,sd,u-14-2
sw3402B-ms98-a-0010,63.578000,63.688000,i,I,sd,u-14-2
sw3402B-ms98-a-0010,63.688000,63.848000,read,I,sd,u-14-2
sw3402B-ms98-a-0010,63.848000,64.108000,Time,I,sd,u-14-2
sw3402B-ms98-a-0010,64.108000,64.963500,magazine,I,sd,u-14-2
sw3402B-ms98-a-0010,65.334500,66.078000,um,B,sd,u-14-3
sw3402B-ms98-a-0010,66.618000,66.858000,that's,I,sd,u-14-3
sw3402B-ms98-a-0010,66.858000,66.978000,one,I,sd,u-14-3
sw3402B-ms98-a-0010,66.978000,67.058000,i,I,sd,u-14-3
sw3402B-ms98-a-0010,67.058000,67.258000,read,I,sd,u-14-3
sw3402B-ms98-a-0010,67.258000,67.508000,pretty,I,sd,u-14-3
sw3402B-ms98-a-0010,67.508000,68.396000,regularly,I,sd,u-14-3
sw3402B-ms98-a-0010,69.175375,69.514875,and,B,sd,u-16-1
sw3402B-ms98-a-0010,69.514875,70.075875,uh,I,sd,u-16-1
sw3402B-ms98-a-0012,73.865375,74.015375,the,B,+,u-18-1
sw3402B-ms98-a-0012,74.015375,74.235375,thing,I,+,u-18-1
sw3402B-ms98-a-0012,74.235375,74.485375,about,I,+,u-18-1
sw3402B-ms98-a-0012,74.485375,74.555375,it,I,+,u-18-1
sw3402B-ms98-a-0012,74.555375,74.625375,you,I,+,u-18-1
sw3402B-ms98-a-0012,74.625375,74.715375,know,I,+,u-18-1
sw3402B-ms98-a-0012,74.715375,75.315375,now,I,+,u-18-1
sw3402B-ms98-a-0012,75.315375,75.485375,that,I,+,u-18-1
sw3402B-ms98-a-0012,75.485375,75.685375,i've,I,+,u-18-1
sw3402B-ms98-a-0012,75.685375,76.005375,fou[nd]-,I,+,u-18-1
sw3402B-ms98-a-0012,76.005375,76.425375,found,I,+,u-18-1
sw3402B-ms98-a-0012,76.425375,76.615375,is,I,+,u-18-1
sw3402B-ms98-a-0012,76.615375,76.725375,that,I,+,u-18-1
sw3402B-ms98-a-0012,76.725375,76.835375,we,I,+,u-18-1
sw3402B-ms98-a-0012,76.835375,76.985375,get,I,+,u-18-1
sw3402B-ms98-a-0012,76.985375,77.275375,such,I,+,u-18-1
sw3402B-ms98-a-0012,77.275375,77.415375,good,I,+,u-18-1
sw3402B-ms98-a-0012,77.415375,77.875375,coverage,I,+,u-18-1
sw3402B-ms98-a-0012,77.875375,78.015375,on,I,+,u-18-1
sw3402B-ms98-a-0012,78.015375,78.415375,TV,I,+,u-18-1
sw3402B-ms98-a-0012,78.415375,78.535375,or,I,+,u-18-1
sw3402B-ms98-a-0012,78.535375,78.615375,at,I,+,u-18-1
sw3402B-ms98-a-0012,78.615375,78.835375,least,I,+,u-18-1
sw3402B-ms98-a-0012,78.835375,79.298000,such,I,+,u-18-1
sw3402B-ms98-a-0012,79.591750,79.695375,i,I,+,u-18-1
sw3402B-ms98-a-0012,79.695375,79.815375,don't,I,+,u-18-1
sw3402B-ms98-a-0012,79.815375,79.955375,know,I,+,u-18-1
sw3402B-ms98-a-0012,79.955375,80.505375,attempted,I,+,u-18-1
sw3402B-ms98-a-0012,80.505375,81.285375,thoroughness,I,+,u-18-1
sw3402B-ms98-a-0012,81.285375,81.391125,of,B,+,u-20-1
sw3402B-ms98-a-0012,81.677375,82.162000,coverage,I,+,u-20-1
sw3402B-ms98-a-0012,82.388000,82.495375,by,I,+,u-20-1
sw3402B-ms98-a-0012,82.495375,82.575375,the,I,+,u-20-1
sw3402B-ms98-a-0012,82.575375,82.885375,time,I,+,u-20-1
sw3402B-ms98-a-0012,82.885375,83.015375,you,I,+,u-20-1
sw3402B-ms98-a-0012,83.015375,83.185375,get,I,+,u-20-1
sw3402B-ms98-a-0012,83.185375,83.245375,the,I,+,u-20-1
sw3402B-ms98-a-0012,83.245375,83.485375,Time,I,+,u-20-1
sw3402B-ms98-a-0012,83.485375,83.774375,Mag[azine]-,I,+,u-20-1
sw3402B-ms98-a-0012,84.049250,84.665375,Magazine,I,+,u-20-1
sw3402B-ms98-a-0012,84.665375,84.825375,there's,B,+,u-22-1
sw3402B-ms98-a-0012,84.825375,85.175375,nothing,I,+,u-22-1
sw3402B-ms98-a-0012,85.175375,85.305375,in,I,+,u-22-1
sw3402B-ms98-a-0012,85.305375,85.395375,it,I,+,u-22-1
sw3402B-ms98-a-0012,85.395375,85.515375,you,I,+,u-22-1
sw3402B-ms98-a-0012,85.515375,85.755375,don't,I,+,u-22-1
sw3402B-ms98-a-0012,85.755375,86.187750,know,I,+,u-22-1
sw3402B-ms98-a-0013,87.387250,87.767250,yeah,O,,
sw3402B-ms98-a-0013,87.767250,88.014375,i[f]-,O,,
sw3402B-ms98-a-0013,88.014375,88.327250,if,O,,
sw3402B-ms98-a-0013,88.327250,88.387250,you,O,,
sw3402B-ms98-a-0013,88.387250,88.477250,know,O,,
sw3402B-ms98-a-0013,88.477250,88.637250,then,B,sv,u-24-2
sw3402B-ms98-a-0013,88.637250,88.767250,you,I,sv,u-24-2
sw3402B-ms98-a-0013,88.767250,88.917250,can,I,sv,u-24-2
sw3402B-ms98-a-0013,88.917250,89.057250,just,I,sv,u-24-2
sw3402B-ms98-a-0013,89.057250,89.217000,sort,I,sv,u-24-2
sw3402B-ms98-a-0013,89.217000,89.448000,of,I,sv,u-24-2
sw3402B-ms98-a-0013,89.448000,89.687250,have,I,sv,u-24-2
sw3402B-ms98-a-0013,89.687250,90.077250,pictures,I,sv,u-24-2
sw3402B-ms98-a-0013,90.077250,90.187250,to,I,sv,u-24-2
sw3402B-ms98-a-0013,90.187250,90.287250,go,I,sv,u-24-2
sw3402B-ms98-a-0013,90.287250,90.577250,along,I,sv,u-24-2
sw3402B-ms98-a-0013,90.577250,90.717250,with,I,sv,u-24-2
sw3402B-ms98-a-0013,90.717250,90.777250,it,I,sv,u-24-2
sw3402B-ms98-a-0013,90.777250,90.867250,or,I,sv,u-24-2
sw3402B-ms98-a-0013,90.867250,91.207250,something,I,sv,u-24-2
sw3402B-ms98-a-0013,91.207250,91.487250,because,I,sv,u-24-2
sw3402B-ms98-a-0013,91.487250,91.914875,really,I,sv,u-24-2
sw3402B-ms98-a-0013,92.235000,92.327250,i,I,sv,u-24-2
sw3402B-ms98-a-0013,92.327250,92.667250,thought,I,sv,u-24-2
sw3402B-ms98-a-0013,92.667250,93.225250,lately,I,sv,u-24-2
sw3402B-ms98-a-0013,93.225250,93.517250,there's,I,sv,u-24-2
sw3402B-ms98-a-0013,93.517250,93.867250,nothing,I,sv,u-24-2
sw3402B-ms98-a-0013,93.867250,94.127250,new,I,sv,u-24-2
sw3402B-ms98-a-0013,94.127250,94.227250,in,I,sv,u-24-2
sw3402B-ms98-a-0013,94.227250,94.287250,the,I,sv,u-24-2
sw3402B-ms98-a-0013,94.287250,94.517250,Time,I,sv,u-24-2
sw3402B-ms98-a-0013,94.517250,95.103000,Magazine,I,sv,u-24-2
sw3402B-ms98-a-0014,95.864250,95.954250,you,B,sv,u-26-1
sw3402B-ms98-a-0014,95.954250,96.104250,know,I,sv,u-26-1
sw3402B-ms98-a-0014,96.104250,96.544250,it's,I,sv,u-26-1
sw3402B-ms98-a-0014,96.544250,96.807250,it's,I,sv,u-26-1
sw3402B-ms98-a-0014,96.984250,97.384250,basically,I,sv,u-26-1
sw3402B-ms98-a-0014,97.384250,97.524250,you've,I,sv,u-26-1
sw3402B-ms98-a-0014,97.524250,97.794250,heard,I,sv,u-26-1
sw3402B-ms98-a-0014,97.794250,98.381625,everything,I,sv,u-26-1
sw3402B-ms98-a-0015,99.167125,99.427125,and,B,sv,u-28-1
sw3402B-ms98-a-0015,99.427125,99.657125,uh,I,sv,u-28-1
sw3402B-ms98-a-0015,99.657125,99.807125,you,I,sv,u-28-1
sw3402B-ms98-a-0015,99.807125,100.092500,might,I,sv,u-28-1
sw3402B-ms98-a-0015,100.254375,100.397125,you,I,sv,u-28-1
sw3402B-ms98-a-0015,100.397125,100.657125,might,I,sv,u-28-1
sw3402B-ms98-a-0015,100.657125,100.767125,get,I,sv,u-28-1
sw3402B-ms98-a-0015,100.767125,100.837125,a,I,sv,u-28-1
sw3402B-ms98-a-0015,100.837125,101.087125,little,I,sv,u-28-1
sw3402B-ms98-a-0015,101.087125,101.407125,more,I,sv,u-28-1
sw3402B-ms98-a-0015,101.407125,102.027125,thorough,I,sv,u-28-1
sw3402B-ms98-a-0015,102.027125,102.407125,uh,I,sv,u-28-1
sw3402B-ms98-a-0015,102.407125,102.797125,account,I,sv,u-28-1
sw3402B-ms98-a-0015,102.797125,102.897125,of,I,sv,u-28-1
sw3402B-ms98-a-0015,102.897125,103.484375,something,I,sv,u-28-1
sw3402B-ms98-a-0015,103.996500,104.217125,but,B,h,u-28-2
sw3402B-ms98-a-0015,104.217125,104.747125,really,I,h,u-28-2
sw3402B-ms98-a-0015,104.747125,105.332250,um,I,h,u-28-2
sw3402B-ms98-a-0015,106.085625,106.197125,i,I,h,u-28-2
sw3402B-ms98-a-0015,106.197125,106.317125,don't,I,h,u-28-2
sw3402B-ms98-a-0015,106.317125,106.567125,know,I,h,u-28-2
sw3402B-ms98-a-0015,106.567125,106.787125,i,O,,
sw3402B-ms98-a-0015,106.787125,106.967125,so,B,sd,u-28-3
sw3402B-ms98-a-0015,106.967125,107.067125,i,I,sd,u-28-3
sw3402B-ms98-a-0015,107.067125,107.217125,get,I,sd,u-28-3
sw3402B-ms98-a-0015,107.217125,107.487125,most,I,sd,u-28-3
sw3402B-ms98-a-0015,107.487125,107.547125,of,I,sd,u-28-3
sw3402B-ms98-a-0015,107.547125,107.707125,mine,I,sd,u-28-3
sw3402B-ms98-a-0015,107.707125,107.857125,from,I,sd,u-28-3
sw3402B-ms98-a-0015,107.857125,108.539000,television,I,sd,u-28-3
sw3402B-ms98-a-0016,109.281375,109.441375,i,B,h,u-30-1
sw3402B-ms98-a-0016,109.441375,109.581375,would,I,h,u-30-1
sw3402B-ms98-a-0016,109.581375,110.074000,say,I,h,u-30-1
sw3402B-ms98-a-0018,163.856000,164.483875,right,B,b,u-32-1
sw3402B-ms98-a-0018,164.627000,164.746000,and,B,sv,u-34-1
sw3402B-ms98-a-0018,164.746000,164.891250,i,I,sv,u-34-1
sw3402B-ms98-a-0018,165.230250,165.326000,i,I,sv,u-34-1
sw3402B-ms98-a-0018,165.326000,165.646000,think,I,sv,u-34-1
sw3402B-ms98-a-0018,165.646000,165.826000,there's,I,sv,u-34-1
sw3402B-ms98-a-0018,165.826000,165.946000,an,I,sv,u-34-1
sw3402B-ms98-a-0018,165.946000,166.396000,attempt,I,sv,u-34-1
sw3402B-ms98-a-0018,166.396000,166.516000,to,I,sv,u-34-1
sw3402B-ms98-a-0018,166.516000,166.746000,do,I,sv,u-34-1
sw3402B-ms98-a-0018,166.746000,167.296000,that,I,sv,u-34-1
sw3402B-ms98-a-0018,167.296000,167.446000,uh,O,,
sw3402B-ms98-a-0018,167.446000,167.566000,you,B,sv,u-34-2
sw3402B-ms98-a-0018,167.566000,167.646000,know,I,sv,u-34-2
sw3402B-ms98-a-0018,167.646000,167.726000,i,I,sv,u-34-2
sw3402B-ms98-a-0018,167.726000,167.906000,think,I,sv,u-34-2
sw3402B-ms98-a-0018,167.906000,168.286000,people,I,sv,u-34-2
sw3402B-ms98-a-0018,168.666000,168.826000,there's,B,sv,u-34-3
sw3402B-ms98-a-0018,168.826000,168.906000,a,I,sv,u-34-3
sw3402B-ms98-a-0018,168.906000,169.506000,mild,I,sv,u-34-3
sw3402B-ms98-a-0018,169.506000,169.916000,attempt,I,sv,u-34-3
sw3402B-ms98-a-0018,169.916000,170.066000,for,I,sv,u-34-3
sw3402B-ms98-a-0018,170.066000,170.376000,that,I,sv,u-34-3
sw3402B-ms98-a-0018,170.376000,170.506000,but,B,sv,u-34-4
sw3402B-ms98-a-0018,170.506000,170.576000,i,I,sv,u-34-4
sw3402B-ms98-a-0018,170.576000,170.876000,think,I,sv,u-34-4
sw3402B-ms98-a-0018,170.876000,171.587375,basically,I,sv,u-34-4
sw3402B-ms98-a-0018,172.237875,172.396000,we,I,sv,u-34-4
sw3402B-ms98-a-0018,172.396000,173.076000,basically,I,sv,u-34-4
sw3402B-ms98-a-0018,173.076000,173.636000,associate,I,sv,u-34-4
sw3402B-ms98-a-0018,173.636000,174.286000,news,I,sv,u-34-4
sw3402B-ms98-a-0018,174.286000,174.616000,with,I,sv,u-34-4
sw3402B-ms98-a-0018,175.046000,175.336000,bad,I,sv,u-34-4
sw3402B-ms98-a-0018,175.336000,175.656625,news,I,sv,u-34-4
sw3402B-ms98-a-0019,176.609250,176.849250,or,B,+,u-36-1
sw3402B-ms98-a-0019,176.849250,177.089250,or,I,+,u-36-1
sw3402B-ms98-a-0019,177.089250,177.333625,or,I,+,u-36-1
sw3402B-ms98-a-0019,177.938500,178.829250,catastrophes,I,+,u-36-1
sw3402B-ms98-a-0019,178.829250,178.939250,or,I,+,u-36-1
sw3402B-ms98-a-0019,178.939250,179.779250,problems,I,+,u-36-1
sw3402B-ms98-a-0019,179.779250,180.079250,or,I,+,u-36-1
sw3402B-ms98-a-0019,180.433250,181.099250,crises,I,+,u-36-1
sw3402B-ms98-a-0019,181.099250,181.459250,or,I,+,u-36-1
sw3402B-ms98-a-0019,181.459250,181.761375,uh,I,+,u-36-1
sw3402B-ms98-a-0019,181.761375,181.879250,you,I,+,u-36-1
sw3402B-ms98-a-0019,181.879250,182.198750,know,I,+,u-36-1
sw3402B-ms98-a-0019,182.643250,182.899250,i,B,sv,u-36-2
sw3402B-ms98-a-0019,182.899250,183.139250,think,I,sv,u-36-2
sw3402B-ms98-a-0019,183.139250,183.279250,our,I,sv,u-36-2
sw3402B-ms98-a-0019,183.279250,183.809250,concept,I,sv,u-36-2
sw3402B-ms98-a-0019,183.809250,183.899250,of,I,sv,u-36-2
sw3402B-ms98-a-0019,183.899250,184.279250,news,I,sv,u-36-2
sw3402B-ms98-a-0019,184.279250,184.619250,isn't,I,sv,u-36-2
sw3402B-ms98-a-0019,184.619250,184.839250,isn't,I,sv,u-36-2
sw3402B-ms98-a-0019,184.839250,185.745875,[laughter-necessarily],I,sv,u-36-2
sw3402B-ms98-a-0019,186.049375,186.499250,events,I,sv,u-36-2
sw3402B-ms98-a-0019,186.499250,186.629250,that,I,sv,u-36-2
sw3402B-ms98-a-0019,186.629250,187.477625,happen,I,sv,u-36-2
sw3402B-ms98-a-0019,187.981000,188.199250,it's,B,sv,u-36-3
sw3402B-ms98-a-0019,188.199250,188.359250,more,I,sv,u-36-3
sw3402B-ms98-a-0019,188.359250,188.699250,negative,I,sv,u-36-3
sw3402B-ms98-a-0019,188.699250,188.879250,like,I,sv,u-36-3
sw3402B-ms98-a-0019,188.879250,188.949250,you,I,sv,u-36-3
sw3402B-ms98-a-0019,188.949250,189.483250,said,I,sv,u-36-3
sw3402B-ms98-a-0020,190.209500,190.319500,but,B,sv,u-38-1
sw3402B-ms98-a-0020,190.319500,190.369500,i,I,sv,u-38-1
sw3402B-ms98-a-0020,190.369500,190.489500,i,I,sv,u-38-1
sw3402B-ms98-a-0020,190.489500,190.709500,think,I,sv,u-38-1
sw3402B-ms98-a-0020,190.709500,190.889500,people,I,sv,u-38-1
sw3402B-ms98-a-0020,190.889500,191.269500,try,I,sv,u-38-1
sw3402B-ms98-a-0020,191.269500,191.609500,to,I,sv,u-38-1
sw3402B-ms98-a-0020,191.609500,191.719500,on,I,sv,u-38-1
sw3402B-ms98-a-0020,191.719500,191.939500,the,I,sv,u-38-1
sw3402B-ms98-a-0020,191.939500,192.069500,on,I,sv,u-38-1
sw3402B-ms98-a-0020,192.069500,192.499500,TV,I,sv,u-38-1
sw3402B-ms98-a-0020,192.499500,192.579500,i,I,sv,u-38-1
sw3402B-ms98-a-0020,192.579500,192.931375,think,I,sv,u-38-1
sw3402B-ms98-a-0020,193.462500,193.549500,they,I,sv,u-38-1
sw3402B-ms98-a-0020,193.549500,193.869500,try,I,sv,u-38-1
sw3402B-ms98-a-0020,193.869500,193.989500,to,I,sv,u-38-1
sw3402B-ms98-a-0020,193.989500,194.259500,throw,I,sv,u-38-1
sw3402B-ms98-a-0020,194.259500,194.389500,in,I,sv,u-38-1
sw3402B-ms98-a-0020,194.389500,194.579500,good,I,sv,u-38-1
sw3402B-ms98-a-0020,194.579500,194.939500,stuff,I,sv,u-38-1
sw3402B-ms98-a-0020,194.939500,195.204250,but,B,sv,u-38-2
sw3402B-ms98-a-0020,195.622375,195.749500,it,I,sv,u-38-2
sw3402B-ms98-a-0020,195.749500,196.236375,doesn't,I,sv,u-38-2
sw3402B-ms98-a-0020,196.236375,196.676500,uh,I,sv,u-38-2
sw3402B-ms98-a-0020,196.676500,196.849500,it,I,sv,u-38-2
sw3402B-ms98-a-0020,196.849500,197.286250,doesn't,I,sv,u-38-2
sw3402B-ms98-a-0020,197.685500,198.219500,sway,I,sv,u-38-2
sw3402B-ms98-a-0020,198.219500,198.309500,the,I,sv,u-38-2
sw3402B-ms98-a-0020,198.309500,199.111750,vote,I,sv,u-38-2
sw3402B-ms98-a-0022,229.215375,229.621875,um-hum,B,b,u-40-1
sw3402B-ms98-a-0024,245.621875,246.086500,um-hum,B,b,u-42-1
sw3402B-ms98-a-0026,261.319125,262.207375,right,B,b,u-44-1
sw3402B-ms98-a-0026,262.207375,262.591625,[vocalized-noise],O,,
sw3402B-ms98-a-0026,262.591625,262.705875,you,B,sv,u-46-1
sw3402B-ms98-a-0026,262.705875,262.825875,know,I,sv,u-46-1
sw3402B-ms98-a-0026,262.825875,262.925875,the,I,sv,u-46-1
sw3402B-ms98-a-0026,262.925875,263.467375,war,I,sv,u-46-1
sw3402B-ms98-a-0026,263.652000,264.035875,last,I,sv,u-46-1
sw3402B-ms98-a-0026,264.035875,264.375875,winter,I,sv,u-46-1
sw3402B-ms98-a-0026,264.375875,264.525875,was,I,sv,u-46-1
sw3402B-ms98-a-0026,264.525875,264.875875,certainly,I,sv,u-46-1
sw3402B-ms98-a-0026,264.875875,264.905875,a,I,sv,u-46-1
sw3402B-ms98-a-0026,264.905875,265.015875,good,I,sv,u-46-1
sw3402B-ms98-a-0026,265.015875,265.475875,example,I,sv,u-46-1
sw3402B-ms98-a-0026,265.475875,265.555875,of,I,sv,u-46-1
sw3402B-ms98-a-0026,265.555875,265.855875,that,I,sv,u-46-1
sw3402B-ms98-a-0026,266.315875,266.455875,because_1,O,,
sw3402B-ms98-a-0026,266.455875,266.585875,we,B,+,u-48-1
sw3402B-ms98-a-0026,266.585875,266.805875,saw,I,+,u-48-1
sw3402B-ms98-a-0026,266.805875,267.205875,every,I,+,u-48-1
sw3402B-ms98-a-0026,267.205875,267.545875,single,I,+,u-48-1
sw3402B-ms98-a-0026,267.545875,267.815875,thing,I,+,u-48-1
sw3402B-ms98-a-0026,267.815875,268.515875,practically,I,+,u-48-1
sw3402B-ms98-a-0028,276.830875,276.890875,i,B,sd,u-50-1
sw3402B-ms98-a-0028,276.890875,277.030875,mean,I,sd,u-50-1
sw3402B-ms98-a-0028,277.030875,277.090875,you,I,sd,u-50-1
sw3402B-ms98-a-0028,277.090875,277.200875,know,I,sd,u-50-1
sw3402B-ms98-a-0028,277.200875,277.310875,i,I,sd,u-50-1
sw3402B-ms98-a-0028,277.310875,277.798500,remember,I,sd,u-50-1
sw3402B-ms98-a-0028,278.084750,278.260875,well,I,sd,u-50-1
sw3402B-ms98-a-0028,278.260875,278.440875,just,I,sd,u-50-1
sw3402B-ms98-a-0028,278.440875,278.500875,the,I,sd,u-50-1
sw3402B-ms98-a-0028,278.500875,278.740875,things,I,sd,u-50-1
sw3402B-ms98-a-0028,278.740875,278.830875,that,I,sd,u-50-1
sw3402B-ms98-a-0028,278.830875,278.900875,are,I,sd,u-50-1
sw3402B-ms98-a-0028,278.900875,279.240875,covered,I,sd,u-50-1
sw3402B-ms98-a-0028,279.240875,279.290875,i,B,sd,u-50-2
sw3402B-ms98-a-0028,279.290875,279.540875,remember,I,sd,u-50-2
sw3402B-ms98-a-0028,279.540875,279.850875,watching,I,sd,u-50-2
sw3402B-ms98-a-0028,279.850875,279.910875,the,I,sd,u-50-2
sw3402B-ms98-a-0028,279.910875,280.140875,World,I,sd,u-50-2
sw3402B-ms98-a-0028,280.140875,280.500875,Series,I,sd,u-50-2
sw3402B-ms98-a-0028,280.500875,280.770875,during,I,sd,u-50-2
sw3402B-ms98-a-0028,280.770875,280.840875,the,I,sd,u-50-2
sw3402B-ms98-a-0028,280.840875,281.504750,earthquake,I,sd,u-50-2
sw3402B-ms98-a-0028,281.862500,281.990875,and,B,+,u-52-1
sw3402B-ms98-a-0028,281.990875,282.300875,just,I,+,u-52-1
sw3402B-ms98-a-0028,282.300875,282.510875,seeing,I,+,u-52-1
sw3402B-ms98-a-0028,282.510875,282.710875,that,I,+,u-52-1
sw3402B-ms98-a-0028,282.710875,283.260875,happen,I,+,u-52-1
sw3402B-ms98-a-0028,283.260875,283.265000,i,B,sd,u-54-1
sw3402B-ms98-a-0028,283.826250,284.080875,mean,I,sd,u-54-1
sw3402B-ms98-a-0028,284.080875,284.150875,you,I,sd,u-54-1
sw3402B-ms98-a-0028,284.150875,284.210875,know,I,sd,u-54-1
sw3402B-ms98-a-0028,284.210875,284.350875,that,I,sd,u-54-1
sw3402B-ms98-a-0028,284.350875,284.470875,was,I,sd,u-54-1
sw3402B-ms98-a-0028,284.470875,284.690875,just,I,sd,u-54-1
sw3402B-ms98-a-0028,284.690875,284.830875,so,I,sd,u-54-1
sw3402B-ms98-a-0028,284.830875,285.420875,phenomenal,I,sd,u-54-1
sw3402B-ms98-a-0028,285.420875,285.540875,to,I,sd,u-54-1
