sw3215B-ms98-a-0003,3.905125,4.678000,no,B,aa,u-2-1
sw3215B-ms98-a-0010,44.697000,44.977000,cover,I,sd,u-14-2
sw3215B-ms98-a-0010,44.977000,45.067000,of,B,sd,u-14-3
sw3215B-ms98-a-0010,45.067000,45.337000,course,I,sd,u-14-3
sw3215B-ms98-a-0010,45.337000,45.427000,it,I,sd,u-14-3
sw3215B-ms98-a-0010,45.427000,45.817000,wasn't,I,sd,u-14-3
sw3215B-ms98-a-0010,45.817000,46.247000,sunny,I,sd,u-14-3
sw3215B-ms98-a-0010,46.247000,46.437000,like,I,sd,u-14-3
sw3215B-ms98-a-0010,46.437000,46.537000,it,I,sd,u-14-3
sw3215B-ms98-a-0010,46.537000,46.657000,is,I,sd,u-14-3
sw3215B-ms98-a-0010,46.657000,46.867000,here,I,sd,u-14-3
sw3215B-ms98-a-0010,46.867000,46.927000,it,B,sd,u-14-4
sw3215B-ms98-a-0010,46.927000,47.117000,was,I,sd,u-14-4
sw3215B-ms98-a-0010,47.117000,47.407000,real,I,sd,u-14-4
sw3215B-ms98-a-0010,47.407000,48.346875,gray,I,sd,u-14-4
sw3215B-ms98-a-0011,49.140625,49.283125,but,B,sd,u-16-1
sw3215B-ms98-a-0011,49.283125,49.373125,as,I,sd,u-16-1
sw3215B-ms98-a-0011,49.373125,49.543125,soon,I,sd,u-16-1
sw3215B-ms98-a-0011,49.543125,49.693125,as,I,sd,u-16-1
sw3215B-ms98-a-0011,49.693125,49.773125,the,I,sd,u-16-1
sw3215B-ms98-a-0011,49.773125,50.203125,plane,I,sd,u-16-1
sw3215B-ms98-a-0011,50.203125,50.423125,got,I,sd,u-16-1
sw3215B-ms98-a-0011,50.423125,50.593125,through,I,sd,u-16-1
sw3215B-ms98-a-0011,50.593125,50.653125,the,I,sd,u-16-1
sw3215B-ms98-a-0011,50.653125,51.073125,clouds,I,sd,u-16-1
sw3215B-ms98-a-0011,51.073125,51.163125,and,B,sd,u-16-2
sw3215B-ms98-a-0011,51.163125,51.243125,i,I,sd,u-16-2
sw3215B-ms98-a-0011,51.243125,51.518750,saw,I,sd,u-16-2
sw3215B-ms98-a-0011,51.518750,51.903125,all,I,sd,u-16-2
sw3215B-ms98-a-0011,51.903125,52.249000,those,I,sd,u-16-2
sw3215B-ms98-a-0011,52.249000,53.023125,trees,I,sd,u-16-2
sw3215B-ms98-a-0011,53.023125,53.153125,it,B,sd,u-16-3
sw3215B-ms98-a-0011,53.153125,53.383125,just,I,sd,u-16-3
sw3215B-ms98-a-0011,53.383125,53.663125,really,I,sd,u-16-3
sw3215B-ms98-a-0011,53.663125,53.903125,made,I,sd,u-16-3
sw3215B-ms98-a-0011,53.903125,54.264875,me,I,sd,u-16-3
sw3215B-ms98-a-0012,55.103500,55.563500,realize,I,sd,u-16-3
sw3215B-ms98-a-0012,55.563500,55.673500,how,I,sd,u-16-3
sw3215B-ms98-a-0012,55.673500,55.893500,much,I,sd,u-16-3
sw3215B-ms98-a-0012,55.893500,56.003500,i,I,sd,u-16-3
sw3215B-ms98-a-0012,56.003500,56.353500,miss,I,sd,u-16-3
sw3215B-ms98-a-0012,56.353500,56.433500,the,I,sd,u-16-3
sw3215B-ms98-a-0012,56.433500,57.134375,fall,I,sd,u-16-3
sw3215B-ms98-a-0012,57.575125,57.643500,i,B,sd,u-18-1
sw3215B-ms98-a-0012,57.643500,57.853500,don't,I,sd,u-18-1
sw3215B-ms98-a-0012,57.853500,58.513500,complain,I,sd,u-18-1
sw3215B-ms98-a-0012,58.513500,59.213500,{weatherwise},I,sd,u-18-1
sw3215B-ms98-a-0012,59.213500,59.353500,though,I,sd,u-18-1
sw3215B-ms98-a-0012,59.353500,59.653500,because,I,sd,u-18-1
sw3215B-ms98-a-0012,59.653500,59.723500,it,I,sd,u-18-1
sw3215B-ms98-a-0012,59.723500,59.923500,was,I,sd,u-18-1
sw3215B-ms98-a-0012,59.923500,60.413500,also,I,sd,u-18-1
sw3215B-ms98-a-0012,60.413500,60.833500,thirty,I,sd,u-18-1
sw3215B-ms98-a-0012,60.833500,61.143500,five,I,sd,u-18-1
sw3215B-ms98-a-0012,61.143500,61.583500,degrees,I,sd,u-18-1
sw3215B-ms98-a-0012,61.583500,61.743500,there,I,sd,u-18-1
sw3215B-ms98-a-0012,61.743500,62.263500,yesterday,I,sd,u-18-1
sw3215B-ms98-a-0012,62.263500,62.883500,morning,I,sd,u-18-1
sw3215B-ms98-a-0012,62.883500,62.983500,and,B,sd,u-20-1
sw3215B-ms98-a-0012,62.983500,63.063500,the,I,sd,u-20-1
sw3215B-ms98-a-0012,63.063500,63.413500,high,I,sd,u-20-1
sw3215B-ms98-a-0012,63.413500,63.573500,was,I,sd,u-20-1
sw3215B-ms98-a-0012,63.573500,63.843500,only,I,sd,u-20-1
sw3215B-ms98-a-0012,63.843500,64.517375,fifty,I,sd,u-20-1
sw3215B-ms98-a-0012,64.901875,64.945250,and,B,sd,u-20-2
sw3215B-ms98-a-0012,64.945250,65.033500,it,I,sd,u-20-2
sw3215B-ms98-a-0012,65.033500,65.143500,was,I,sd,u-20-2
sw3215B-ms98-a-0012,65.143500,65.553500,supposed,I,sd,u-20-2
sw3215B-ms98-a-0012,65.553500,65.653500,to,I,sd,u-20-2
sw3215B-ms98-a-0012,65.653500,65.993500,drop,I,sd,u-20-2
sw3215B-ms98-a-0012,65.993500,66.113500,and,I,sd,u-20-2
sw3215B-ms98-a-0012,66.113500,66.273500,get,I,sd,u-20-2
sw3215B-ms98-a-0012,66.273500,66.843500,sleet,I,sd,u-20-2
sw3215B-ms98-a-0012,66.843500,67.093500,in,I,sd,u-20-2
sw3215B-ms98-a-0012,67.093500,67.153500,the,I,sd,u-20-2
sw3215B-ms98-a-0012,67.153500,68.055750,afternoon,I,sd,u-20-2
sw3215B-ms98-a-0013,68.632750,69.072750,so,B,sd,u-22-1
sw3215B-ms98-a-0013,69.072750,69.142750,it,I,sd,u-22-1
sw3215B-ms98-a-0013,69.142750,69.292750,was,I,sd,u-22-1
sw3215B-ms98-a-0013,69.292750,69.632750,nice,I,sd,u-22-1
sw3215B-ms98-a-0013,69.632750,69.712750,to,I,sd,u-22-1
sw3215B-ms98-a-0013,69.712750,69.852750,get,I,sd,u-22-1
sw3215B-ms98-a-0013,69.852750,70.072750,off,I,sd,u-22-1
sw3215B-ms98-a-0013,70.072750,70.142750,the,I,sd,u-22-1
sw3215B-ms98-a-0013,70.142750,70.522750,plane,I,sd,u-22-1
sw3215B-ms98-a-0013,70.522750,70.672750,where,I,sd,u-22-1
sw3215B-ms98-a-0013,70.672750,70.732750,it,I,sd,u-22-1
sw3215B-ms98-a-0013,70.732750,70.892750,was,I,sd,u-22-1
sw3215B-ms98-a-0013,70.892750,71.022750,in,I,sd,u-22-1
sw3215B-ms98-a-0013,71.022750,71.092750,the,I,sd,u-22-1
sw3215B-ms98-a-0013,71.092750,72.064375,seventies,I,sd,u-22-1
sw3215B-ms98-a-0015,75.907375,76.142875,that's,B,aa,u-24-1
sw3215B-ms98-a-0015,76.142875,76.547500,right,I,aa,u-24-1
sw3215B-ms98-a-0017,84.935000,85.519125,yes,O,,
sw3215B-ms98-a-0019,89.312875,89.424750,we,B,sd,u-28-1
sw3215B-ms98-a-0019,89.424750,89.624750,did,I,sd,u-28-1
sw3215B-ms98-a-0019,89.624750,89.804750,that,I,sd,u-28-1
sw3215B-ms98-a-0019,89.804750,89.964750,when,I,sd,u-28-1
sw3215B-ms98-a-0019,89.964750,90.084750,we,I,sd,u-28-1
sw3215B-ms98-a-0019,90.084750,90.364750,lived,I,sd,u-28-1
sw3215B-ms98-a-0019,90.364750,90.524750,up,I,sd,u-28-1
sw3215B-ms98-a-0019,90.524750,90.704750,in,I,sd,u-28-1
sw3215B-ms98-a-0019,90.704750,91.184750,Michigan,I,sd,u-28-1
sw3215B-ms98-a-0019,91.184750,91.294750,we,B,sd,u-28-2
sw3215B-ms98-a-0019,91.294750,91.484750,went,I,sd,u-28-2
sw3215B-ms98-a-0019,91.484750,91.584750,up,I,sd,u-28-2
sw3215B-ms98-a-0019,91.584750,91.725375,to,I,sd,u-28-2
sw3215B-ms98-a-0019,91.725375,91.874750,the,I,sd,u-28-2
sw3215B-ms98-a-0019,91.874750,92.084750,upper,I,sd,u-28-2
sw3215B-ms98-a-0019,92.084750,93.026875,peninsula,I,sd,u-28-2
sw3215B-ms98-a-0019,93.526625,93.644750,and,B,sd,u-28-3
sw3215B-ms98-a-0019,93.644750,93.764750,they,I,sd,u-28-3
sw3215B-ms98-a-0019,93.764750,94.274750,actually,I,sd,u-28-3
sw3215B-ms98-a-0019,94.274750,94.734750,printed,I,sd,u-28-3
sw3215B-ms98-a-0019,94.734750,94.964750,out,I,sd,u-28-3
sw3215B-ms98-a-0019,94.964750,95.764750,maps,I,sd,u-28-3
sw3215B-ms98-a-0019,95.764750,96.034750,of,I,sd,u-28-3
sw3215B-ms98-a-0019,96.034750,96.504750,routes,I,sd,u-28-3
sw3215B-ms98-a-0019,96.504750,96.604750,you,I,sd,u-28-3
sw3215B-ms98-a-0019,96.604750,96.794750,could,I,sd,u-28-3
sw3215B-ms98-a-0019,96.794750,97.197000,take,I,sd,u-28-3
sw3215B-ms98-a-0019,97.626375,97.744750,so,I,sd,u-28-3
sw3215B-ms98-a-0019,97.744750,97.904750,you,I,sd,u-28-3
sw3215B-ms98-a-0019,97.904750,98.004750,would,I,sd,u-28-3
sw3215B-ms98-a-0019,98.004750,98.184750,get,I,sd,u-28-3
sw3215B-ms98-a-0019,98.184750,99.024750,maximum,I,sd,u-28-3
sw3215B-ms98-a-0019,99.024750,99.314750,leaf,I,sd,u-28-3
sw3215B-ms98-a-0019,99.314750,100.243250,exposure,I,sd,u-28-3
sw3215B-ms98-a-0020,101.303500,101.421250,and,B,sd,u-30-1
sw3215B-ms98-a-0020,101.421250,101.521250,then,I,sd,u-30-1
sw3215B-ms98-a-0020,101.521250,101.731250,on,I,sd,u-30-1
sw3215B-ms98-a-0020,101.731250,102.101250,leaf,I,sd,u-30-1
sw3215B-ms98-a-0020,102.101250,103.034375,weekends,I,sd,u-30-1
sw3215B-ms98-a-0020,103.034375,103.171250,it,I,sd,u-30-1
sw3215B-ms98-a-0020,103.171250,103.340375,wa[s]-,I,sd,u-30-1
sw3215B-ms98-a-0020,103.453375,103.681250,which,I,sd,u-30-1
sw3215B-ms98-a-0020,103.681250,103.901250,is,I,sd,u-30-1
sw3215B-ms98-a-0020,103.901250,104.121250,this,I,sd,u-30-1
sw3215B-ms98-a-0020,104.121250,104.341250,time,I,sd,u-30-1
sw3215B-ms98-a-0020,104.341250,104.421250,of,I,sd,u-30-1
sw3215B-ms98-a-0020,104.421250,104.491250,the,I,sd,u-30-1
sw3215B-ms98-a-0020,104.491250,105.015125,year,I,sd,u-30-1
sw3215B-ms98-a-0020,105.320250,105.568250,it's,I,sd,u-30-1
sw3215B-ms98-a-0020,105.568250,106.041250,bumper,I,sd,u-30-1
sw3215B-ms98-a-0020,106.041250,106.241250,to,I,sd,u-30-1
sw3215B-ms98-a-0020,106.241250,106.751250,bumper,I,sd,u-30-1
sw3215B-ms98-a-0020,106.751250,107.411250,traffic,I,sd,u-30-1
sw3215B-ms98-a-0020,107.411250,107.891250,people,B,%,u-30-2
sw3215B-ms98-a-0020,107.891250,108.101250,it's,O,,
sw3215B-ms98-a-0020,108.101250,108.471250,whoever,B,sd,u-30-3
sw3215B-ms98-a-0020,108.471250,108.651250,was,I,sd,u-30-3
sw3215B-ms98-a-0020,108.651250,109.031250,driving,I,sd,u-30-3
sw3215B-ms98-a-0020,109.031250,109.191250,could,I,sd,u-30-3
sw3215B-ms98-a-0020,109.191250,109.461250,never,I,sd,u-30-3
sw3215B-ms98-a-0020,109.461250,109.611250,have,I,sd,u-30-3
sw3215B-ms98-a-0020,109.611250,109.681250,a,I,sd,u-30-3
sw3215B-ms98-a-0020,109.681250,110.041250,prayer,I,sd,u-30-3
sw3215B-ms98-a-0020,110.041250,110.141250,of,I,sd,u-30-3
sw3215B-ms98-a-0020,110.141250,110.441250,looking,I,sd,u-30-3
sw3215B-ms98-a-0020,110.441250,110.561250,at,I,sd,u-30-3
sw3215B-ms98-a-0020,110.561250,110.731250,the,I,sd,u-30-3
sw3215B-ms98-a-0020,110.731250,111.151250,leaves,I,sd,u-30-3
sw3215B-ms98-a-0020,111.151250,111.401250,because,I,sd,u-30-3
sw3215B-ms98-a-0020,111.401250,111.501250,they,I,sd,u-30-3
sw3215B-ms98-a-0020,111.501250,111.671250,had,I,sd,u-30-3
sw3215B-ms98-a-0020,111.671250,111.741250,to,I,sd,u-30-3
sw3215B-ms98-a-0020,111.741250,111.941250,keep,I,sd,u-30-3
sw3215B-ms98-a-0020,111.941250,112.281250,watching,I,sd,u-30-3
sw3215B-ms98-a-0020,112.281250,112.401250,the,I,sd,u-30-3
sw3215B-ms98-a-0020,112.401250,112.887250,road,I,sd,u-30-3
sw3215B-ms98-a-0022,115.490375,116.366125,yes,B,aa,u-32-1
sw3215B-ms98-a-0024,124.054125,124.212750,i,B,aa,u-34-1
sw3215B-ms98-a-0024,124.212750,124.435500,think,I,aa,u-34-1
sw3215B-ms98-a-0024,124.435500,124.593625,it,I,aa,u-34-1
sw3215B-ms98-a-0024,124.593625,124.925500,is,I,aa,u-34-1
sw3215B-ms98-a-0024,124.925500,125.105500,and,B,sd,u-34-2
sw3215B-ms98-a-0024,125.105500,125.235500,my,I,sd,u-34-2
sw3215B-ms98-a-0024,125.235500,125.655500,family,I,sd,u-34-2
sw3215B-ms98-a-0024,125.655500,125.915500,said,I,sd,u-34-2
sw3215B-ms98-a-0024,125.915500,126.035500,that,I,sd,u-34-2
sw3215B-ms98-a-0024,126.035500,126.155500,in,I,sd,u-34-2
sw3215B-ms98-a-0024,126.155500,126.685500,Ohio,I,sd,u-34-2
sw3215B-ms98-a-0024,126.685500,126.835500,there,I,sd,u-34-2
sw3215B-ms98-a-0024,126.835500,127.005500,was,I,sd,u-34-2
sw3215B-ms98-a-0024,127.005500,127.255500,just,I,sd,u-34-2
sw3215B-ms98-a-0024,127.255500,127.425500,an,I,sd,u-34-2
sw3215B-ms98-a-0024,127.425500,127.905500,article,I,sd,u-34-2
sw3215B-ms98-a-0024,127.905500,128.088625,o[n]-,I,sd,u-34-2
sw3215B-ms98-a-0024,128.088625,128.245500,at,I,sd,u-34-2
sw3215B-ms98-a-0024,128.245500,128.325500,the,I,sd,u-34-2
sw3215B-ms98-a-0024,128.325500,128.795500,TV,I,sd,u-34-2
sw3215B-ms98-a-0024,128.795500,129.445125,news,I,sd,u-34-2
sw3215B-ms98-a-0024,129.806750,129.945500,that,I,sd,u-34-2
sw3215B-ms98-a-0024,129.945500,130.095500,they,I,sd,u-34-2
sw3215B-ms98-a-0024,130.095500,130.165500,are,I,sd,u-34-2
sw3215B-ms98-a-0024,130.165500,130.555500,three,I,sd,u-34-2
sw3215B-ms98-a-0024,130.555500,130.925500,weeks,I,sd,u-34-2
sw3215B-ms98-a-0024,130.925500,131.265500,ahead,I,sd,u-34-2
sw3215B-ms98-a-0024,131.265500,131.335500,of,I,sd,u-34-2
sw3215B-ms98-a-0024,131.335500,132.073625,schedule,I,sd,u-34-2
sw3215B-ms98-a-0025,132.580500,132.638625,as,B,+,u-36-1
sw3215B-ms98-a-0025,132.638625,132.868625,far,I,+,u-36-1
sw3215B-ms98-a-0025,132.868625,133.038625,as,I,+,u-36-1
sw3215B-ms98-a-0025,133.038625,133.128625,the,I,+,u-36-1
sw3215B-ms98-a-0025,133.128625,133.628625,coldness,I,+,u-36-1
sw3215B-ms98-a-0025,133.628625,133.708625,of,I,+,u-36-1
sw3215B-ms98-a-0025,133.708625,133.778625,the,I,+,u-36-1
sw3215B-ms98-a-0025,133.778625,134.609500,temperatures,I,+,u-36-1
sw3215B-ms98-a-0025,134.609500,135.340625,and,I,+,u-36-1
sw3215B-ms98-a-0025,135.340625,135.488625,uh,I,+,u-36-1
sw3215B-ms98-a-0025,135.488625,135.608625,the,I,+,u-36-1
sw3215B-ms98-a-0025,135.608625,136.058625,first,I,+,u-36-1
sw3215B-ms98-a-0025,136.058625,136.850625,frost,I,+,u-36-1
sw3215B-ms98-a-0025,137.268625,137.708625,everything,B,sd,u-36-2
sw3215B-ms98-a-0025,137.708625,137.928625,just,I,sd,u-36-2
sw3215B-ms98-a-0025,137.928625,138.228625,happened,I,sd,u-36-2
sw3215B-ms98-a-0025,138.228625,138.488625,three,I,sd,u-36-2
sw3215B-ms98-a-0025,138.488625,138.849375,weeks,I,sd,u-36-2
sw3215B-ms98-a-0025,138.849375,139.228625,early,I,sd,u-36-2
sw3215B-ms98-a-0025,139.228625,139.548625,this,I,sd,u-36-2
sw3215B-ms98-a-0025,139.548625,139.955000,year,I,sd,u-36-2
sw3215B-ms98-a-0027,148.754875,148.926000,just,B,sv,u-38-1
sw3215B-ms98-a-0027,148.926000,149.056000,so,I,sv,u-38-1
sw3215B-ms98-a-0027,149.056000,149.176000,we,I,sv,u-38-1
sw3215B-ms98-a-0027,149.176000,149.416000,don't,I,sv,u-38-1
sw3215B-ms98-a-0027,149.416000,149.576000,have,I,sv,u-38-1
sw3215B-ms98-a-0027,149.576000,149.696000,one,I,sv,u-38-1
sw3215B-ms98-a-0027,149.696000,149.786000,of,I,sv,u-38-1
sw3215B-ms98-a-0027,149.786000,149.946000,those,I,sv,u-38-1
sw3215B-ms98-a-0027,149.946000,150.515500,famous,I,sv,u-38-1
sw3215B-ms98-a-0027,150.515500,150.876000,ice,I,sv,u-38-1
sw3215B-ms98-a-0027,150.876000,151.336000,storms,I,sv,u-38-1
sw3215B-ms98-a-0027,151.336000,151.476000,in,B,+,u-40-1
sw3215B-ms98-a-0027,151.476000,151.606000,the,I,+,u-40-1
sw3215B-ms98-a-0027,151.606000,152.256000,spring,I,+,u-40-1
sw3215B-ms98-a-0027,152.256000,152.423625,i,O,,
sw3215B-ms98-a-0029,158.802125,159.001000,well,B,nd,u-42-1
sw3215B-ms98-a-0029,159.001000,159.244125,i've,I,nd,u-42-1
sw3215B-ms98-a-0029,159.244125,159.481000,only,I,nd,u-42-1
sw3215B-ms98-a-0029,159.481000,159.661000,been,I,nd,u-42-1
sw3215B-ms98-a-0029,159.661000,159.801000,here,I,nd,u-42-1
sw3215B-ms98-a-0029,159.801000,160.011000,just,I,nd,u-42-1
sw3215B-ms98-a-0029,160.011000,160.071000,a,I,nd,u-42-1
sw3215B-ms98-a-0029,160.071000,160.361000,short,I,nd,u-42-1
sw3215B-ms98-a-0029,160.361000,160.551000,time,I,nd,u-42-1
sw3215B-ms98-a-0029,160.551000,160.801000,too,I,nd,u-42-1
sw3215B-ms98-a-0029,160.801000,160.951000,so,B,sd,u-42-2
sw3215B-ms98-a-0029,160.951000,161.041000,i,I,sd,u-42-2
sw3215B-ms98-a-0029,161.041000,161.371000,haven't,I,sd,u-42-2
sw3215B-ms98-a-0029,161.371000,161.571000,been,I,sd,u-42-2
sw3215B-ms98-a-0029,161.571000,161.781000,through,I,sd,u-42-2
sw3215B-ms98-a-0029,161.781000,162.021000,any,B,+,u-44-1
sw3215B-ms98-a-0029,162.021000,162.151000,of,I,+,u-44-1
sw3215B-ms98-a-0029,162.151000,162.681000,those,I,+,u-44-1
sw3215B-ms98-a-0029,162.681000,163.344750,either,I,+,u-44-1
sw3215B-ms98-a-0029,163.917375,164.201000,so,B,sd,u-44-2
sw3215B-ms98-a-0029,164.201000,164.281000,i,I,sd,u-44-2
sw3215B-ms98-a-0029,164.281000,164.561000,have,I,sd,u-44-2
sw3215B-ms98-a-0029,164.561000,164.721000,in,I,sd,u-44-2
sw3215B-ms98-a-0029,164.721000,165.281000,Michigan,I,sd,u-44-2
sw3215B-ms98-a-0029,165.281000,165.431000,but,B,sd,u-44-3
sw3215B-ms98-a-0029,165.431000,165.601000,in,I,sd,u-44-3
sw3215B-ms98-a-0029,165.601000,165.731000,in,I,sd,u-44-3
sw3215B-ms98-a-0029,165.731000,166.161000,Michigan,I,sd,u-44-3
sw3215B-ms98-a-0029,166.161000,166.251000,you,I,sd,u-44-3
sw3215B-ms98-a-0029,166.251000,166.401000,can,I,sd,u-44-3
sw3215B-ms98-a-0029,166.401000,166.591000,get,I,sd,u-44-3
sw3215B-ms98-a-0029,166.591000,166.911000,twelve,I,sd,u-44-3
sw3215B-ms98-a-0029,166.911000,167.231000,inches,I,sd,u-44-3
sw3215B-ms98-a-0029,167.231000,167.321000,of,I,sd,u-44-3
sw3215B-ms98-a-0029,167.321000,167.711000,snow,I,sd,u-44-3
sw3215B-ms98-a-0029,167.711000,167.831000,and,B,sd,u-44-4
sw3215B-ms98-a-0029,167.831000,168.071000,life,I,sd,u-44-4
sw3215B-ms98-a-0029,168.071000,168.321000,goes,I,sd,u-44-4
sw3215B-ms98-a-0029,168.321000,168.940250,on,I,sd,u-44-4
sw3215B-ms98-a-0030,169.653500,170.046500,so,B,sd,u-46-1
sw3215B-ms98-a-0030,170.046500,170.286500,as,I,sd,u-46-1
sw3215B-ms98-a-0030,170.286500,170.416500,i,I,sd,u-46-1
sw3215B-ms98-a-0030,170.416500,171.046500,understand,I,sd,u-46-1
sw3215B-ms98-a-0030,171.046500,171.136500,it,I,sd,u-46-1
sw3215B-ms98-a-0030,171.136500,171.476500,here,I,sd,u-46-1
sw3215B-ms98-a-0030,171.476500,171.676500,if,I,sd,u-46-1
sw3215B-ms98-a-0030,171.676500,171.896500,there's,I,sd,u-46-1
sw3215B-ms98-a-0030,171.896500,172.406500,anything,I,sd,u-46-1
sw3215B-ms98-a-0030,172.406500,172.536500,they'll,I,sd,u-46-1
sw3215B-ms98-a-0030,172.536500,172.806500,call,I,sd,u-46-1
sw3215B-ms98-a-0030,172.806500,172.946500,off,I,sd,u-46-1
sw3215B-ms98-a-0030,172.946500,173.396500,schools,I,sd,u-46-1
sw3215B-ms98-a-0030,173.396500,173.646500,and,I,sd,u-46-1
sw3215B-ms98-a-0030,173.646500,173.826500,and,I,sd,u-46-1
sw3215B-ms98-a-0030,173.826500,174.326500,close,I,sd,u-46-1
sw3215B-ms98-a-0030,174.326500,175.047375,businesses,I,sd,u-46-1
sw3215B-ms98-a-0032,177.155000,177.619250,right,B,b,u-48-1
sw3215B-ms98-a-0034,183.006750,183.393250,right,B,aa,u-50-1
sw3215B-ms98-a-0034,183.577750,183.686125,the,B,aa,u-50-2
sw3215B-ms98-a-0034,183.686125,183.946125,real,I,aa,u-50-2
sw3215B-ms98-a-0034,183.946125,184.486125,definition,I,aa,u-50-2
sw3215B-ms98-a-0034,184.486125,184.666125,of,I,aa,u-50-2
sw3215B-ms98-a-0034,184.666125,185.308000,ice,I,aa,u-50-2
sw3215B-ms98-a-0034,185.308000,185.702625,[laughter],O,,
sw3215B-ms98-a-0036,190.037125,190.340000,i,B,fc,u-52-1
sw3215B-ms98-a-0036,190.340000,190.645750,think,I,fc,u-52-1
sw3215B-ms98-a-0036,190.645750,191.254750,so,I,fc,u-52-1
sw3215B-ms98-a-0036,191.254750,191.390375,it,B,fc,u-54-1
sw3215B-ms98-a-0036,191.390375,191.515750,was,I,fc,u-54-1
sw3215B-ms98-a-0036,191.515750,191.815750,nice,I,fc,u-54-1
sw3215B-ms98-a-0036,191.815750,192.185750,talking,I,fc,u-54-1
sw3215B-ms98-a-0036,192.185750,192.345750,with,I,fc,u-54-1
sw3215B-ms98-a-0036,192.345750,192.574625,you,I,fc,u-54-1
sw3215B-ms98-a-0036,193.107500,193.765000,okay,B,fc,u-56-1
sw3215B-ms98-a-0036,194.368875,194.809625,okay,B,fc,u-58-1
sw3215B-ms98-a-0036,194.809625,195.554250,bye,B,fc,u-60-1
