sw2913A-ms98-a-0003,3.547875,3.814000,gosh,B,^h,u-2-1
sw2913A-ms98-a-0025,73.143125,73.303125,you,I,qy,u-26-1
sw2913A-ms98-a-0025,73.303125,73.453125,see,I,qy,u-26-1
sw2913A-ms98-a-0025,73.453125,73.743125,Pretty,I,qy,u-26-1
sw2913A-ms98-a-0025,73.743125,74.160500,Woman,I,qy,u-26-1
sw2913A-ms98-a-0027,80.356625,80.634875,oh,B,ba,u-28-1
sw2913A-ms98-a-0027,80.634875,81.259625,gosh,I,ba,u-28-1
sw2913A-ms98-a-0029,85.397625,85.754625,yeah,B,b,u-30-1
sw2913A-ms98-a-0031,90.186500,90.420250,uh-huh,B,b,u-32-1
sw2913A-ms98-a-0033,93.228750,93.652625,yeah,B,b,u-34-1
sw2913A-ms98-a-0035,103.169375,103.453250,uh,B,na,u-36-1
sw2913A-ms98-a-0035,103.453250,103.783250,once,I,na,u-36-1
sw2913A-ms98-a-0035,103.783250,103.863250,in,I,na,u-36-1
sw2913A-ms98-a-0035,103.863250,103.923250,a,I,na,u-36-1
sw2913A-ms98-a-0035,103.923250,104.173250,while,I,na,u-36-1
sw2913A-ms98-a-0035,104.173250,104.303250,when,I,na,u-36-1
sw2913A-ms98-a-0035,104.303250,104.413250,i'm,I,na,u-36-1
sw2913A-ms98-a-0035,104.413250,104.726875,home,I,na,u-36-1
sw2913A-ms98-a-0037,106.810125,107.035625,yeah,B,ny,u-38-1
sw2913A-ms98-a-0039,110.534750,110.926375,okay,B,bk,u-40-1
sw2913A-ms98-a-0041,116.450875,116.695500,yeah,B,aa,u-42-1
sw2913A-ms98-a-0041,116.695500,116.805500,it,B,aa,u-42-2
sw2913A-ms98-a-0041,116.805500,117.250250,does,I,aa,u-42-2
sw2913A-ms98-a-0043,122.810625,123.220625,yeah,B,b,u-44-1
sw2913A-ms98-a-0045,125.987125,126.171375,i,B,sv,u-46-1
sw2913A-ms98-a-0045,126.171375,126.411375,think,I,sv,u-46-1
sw2913A-ms98-a-0045,126.411375,126.551375,you'd,I,sv,u-46-1
sw2913A-ms98-a-0045,126.551375,126.831375,really,I,sv,u-46-1
sw2913A-ms98-a-0045,126.831375,127.071375,like,I,sv,u-46-1
sw2913A-ms98-a-0045,127.071375,127.321375,Pretty,I,sv,u-46-1
sw2913A-ms98-a-0045,127.321375,127.691375,Woman,I,sv,u-46-1
sw2913A-ms98-a-0045,127.691375,127.831375,it,B,%,u-46-2
sw2913A-ms98-a-0045,127.831375,128.180875,was,I,%,u-46-2
sw2913A-ms98-a-0045,128.180875,128.421375,it,I,%,u-46-2
sw2913A-ms98-a-0045,128.421375,128.651375,was,I,%,u-46-2
sw2913A-ms98-a-0045,128.651375,129.091375,really,I,%,u-46-2
sw2913A-ms98-a-0045,129.091375,129.206500,a,I,%,u-46-2
sw2913A-ms98-a-0045,129.406125,129.611375,it,B,sv,u-46-3
sw2913A-ms98-a-0045,129.611375,129.821375,made,I,sv,u-46-3
sw2913A-ms98-a-0045,129.821375,129.901375,you,I,sv,u-46-3
sw2913A-ms98-a-0045,129.901375,130.231375,feel,I,sv,u-46-3
sw2913A-ms98-a-0045,130.231375,130.581375,really,I,sv,u-46-3
sw2913A-ms98-a-0045,130.581375,130.991375,good,I,sv,u-46-3
sw2913A-ms98-a-0045,130.991375,131.091375,it,B,sv,u-46-4
sw2913A-ms98-a-0045,131.091375,131.261375,was,I,sv,u-46-4
sw2913A-ms98-a-0045,131.261375,131.471375,just,I,sv,u-46-4
sw2913A-ms98-a-0045,131.471375,131.551375,a,I,sv,u-46-4
sw2913A-ms98-a-0045,131.551375,131.951375,happy,I,sv,u-46-4
sw2913A-ms98-a-0045,131.951375,132.440250,movie,I,sv,u-46-4
sw2913A-ms98-a-0047,135.394750,135.618250,yeah,B,ny,u-48-1
sw2913A-ms98-a-0047,135.618250,135.658250,oh,O,,
sw2913A-ms98-a-0047,135.658250,135.852250,i,B,sd^e,u-48-2
sw2913A-ms98-a-0047,135.852250,136.038250,saw,I,sd^e,u-48-2
sw2913A-ms98-a-0047,136.038250,136.348250,that,I,sd^e,u-48-2
sw2913A-ms98-a-0047,136.348250,136.636125,one,I,sd^e,u-48-2
sw2913A-ms98-a-0048,137.752875,138.143125,i,B,sv,u-50-1
sw2913A-ms98-a-0048,138.143125,138.327625,i,I,sv,u-50-1
sw2913A-ms98-a-0048,138.327625,138.538625,was,I,sv,u-50-1
sw2913A-ms98-a-0048,138.538625,139.343000,disappointed,I,sv,u-50-1
sw2913A-ms98-a-0048,139.343000,139.503000,in,I,sv,u-50-1
sw2913A-ms98-a-0048,139.503000,139.753000,it,I,sv,u-50-1
sw2913A-ms98-a-0048,139.753000,139.953000,just,I,sv,u-50-1
sw2913A-ms98-a-0048,139.953000,140.283000,because,I,sv,u-50-1
sw2913A-ms98-a-0048,140.283000,140.363000,of,I,sv,u-50-1
sw2913A-ms98-a-0048,140.363000,140.571375,how,I,sv,u-50-1
sw2913A-ms98-a-0048,140.571375,141.113000,violent,I,sv,u-50-1
sw2913A-ms98-a-0048,141.113000,141.203000,it,I,sv,u-50-1
sw2913A-ms98-a-0048,141.203000,141.674125,was,I,sv,u-50-1
sw2913A-ms98-a-0050,145.427125,145.739000,yeah,B,ny,u-52-1
sw2913A-ms98-a-0052,153.291000,153.670500,yeah,O,,
sw2913A-ms98-a-0054,155.800000,155.898500,i,B,sd,u-54-1
sw2913A-ms98-a-0054,155.898500,156.068500,don't,I,sd,u-54-1
sw2913A-ms98-a-0054,156.068500,156.358500,like,I,sd,u-54-1
sw2913A-ms98-a-0054,156.358500,156.741750,that,I,sd,u-54-1
sw2913A-ms98-a-0056,158.799125,158.995125,[laughter],O,,
sw2913A-ms98-a-0058,163.205500,163.282750,i,B,sv,u-56-1
sw2913A-ms98-a-0058,163.282750,163.512750,don't,I,sv,u-56-1
sw2913A-ms98-a-0058,163.512750,163.692750,see,I,sv,u-56-1
sw2913A-ms98-a-0058,163.692750,163.902750,why,I,sv,u-56-1
sw2913A-ms98-a-0058,163.902750,164.052750,they,I,sv,u-56-1
sw2913A-ms98-a-0058,164.052750,164.278500,have,I,sv,u-56-1
sw2913A-ms98-a-0058,164.278500,164.442750,to,I,sv,u-56-1
sw2913A-ms98-a-0058,164.442750,164.662250,do,I,sv,u-56-1
sw2913A-ms98-a-0058,164.662250,164.903125,that,I,sv,u-56-1
sw2913A-ms98-a-0058,164.903125,164.986000,i,B,sv,u-56-2
sw2913A-ms98-a-0058,164.986000,165.424750,mean,I,sv,u-56-2
sw2913A-ms98-a-0059,166.527500,166.583125,i,B,+,u-58-1
sw2913A-ms98-a-0059,166.583125,166.743125,mean,I,+,u-58-1
sw2913A-ms98-a-0059,166.743125,166.917500,kn[ow]-,I,+,u-58-1
sw2913A-ms98-a-0059,166.917500,167.333125,everybody,I,+,u-58-1
sw2913A-ms98-a-0059,167.333125,167.653125,knows,I,+,u-58-1
sw2913A-ms98-a-0059,167.653125,167.843125,that,I,+,u-58-1
sw2913A-ms98-a-0059,167.843125,168.043125,it,I,+,u-58-1
sw2913A-ms98-a-0059,168.043125,168.203000,that,I,+,u-58-1
sw2913A-ms98-a-0059,168.390375,168.493125,the,I,+,u-58-1
sw2913A-ms98-a-0059,168.493125,168.743125,the,I,+,u-58-1
sw2913A-ms98-a-0059,168.743125,169.243125,language,I,+,u-58-1
sw2913A-ms98-a-0059,169.243125,169.453125,is,I,+,u-58-1
sw2913A-ms98-a-0059,169.453125,169.940125,there,I,+,u-58-1
sw2913A-ms98-a-0059,169.940125,170.183125,so,I,+,u-58-1
sw2913A-ms98-a-0059,170.183125,170.303125,they,I,+,u-58-1
sw2913A-ms98-a-0059,170.303125,170.523125,could,I,+,u-58-1
sw2913A-ms98-a-0059,170.523125,170.773125,just,I,+,u-58-1
sw2913A-ms98-a-0059,170.773125,171.243125,ignore,I,+,u-58-1
sw2913A-ms98-a-0059,171.243125,171.343125,it,I,+,u-58-1
sw2913A-ms98-a-0059,171.343125,171.657125,and,I,+,u-58-1
sw2913A-ms98-a-0060,172.548125,172.620625,you,I,+,u-58-1
sw2913A-ms98-a-0060,172.620625,172.925750,know,I,+,u-58-1
sw2913A-ms98-a-0061,174.093250,174.294000,use,B,+,u-60-1
sw2913A-ms98-a-0061,174.294000,174.634000,different,I,+,u-60-1
sw2913A-ms98-a-0061,174.634000,174.904000,words,I,+,u-60-1
sw2913A-ms98-a-0061,174.904000,175.424000,instead,I,+,u-60-1
sw2913A-ms98-a-0061,175.424000,175.504000,i,I,+,u-60-1
sw2913A-ms98-a-0061,175.504000,175.912625,think,I,+,u-60-1
sw2913A-ms98-a-0064,178.014125,178.100750,but,B,sd,u-62-1
sw2913A-ms98-a-0064,178.100750,178.226000,i,I,sd,u-62-1
sw2913A-ms98-a-0064,178.454750,178.546250,i,I,sd,u-62-1
sw2913A-ms98-a-0064,178.546250,178.784000,think,I,sd,u-62-1
sw2913A-ms98-a-0064,179.224625,179.590750,lately,I,sd,u-62-1
sw2913A-ms98-a-0064,179.590750,179.850750,Pretty,I,sd,u-62-1
sw2913A-ms98-a-0064,179.850750,180.200750,Woman's,I,sd,u-62-1
sw2913A-ms98-a-0064,180.200750,180.350750,been,I,sd,u-62-1
sw2913A-ms98-a-0064,180.350750,180.470750,my,I,sd,u-62-1
sw2913A-ms98-a-0064,180.470750,180.900750,favorite,I,sd,u-62-1
sw2913A-ms98-a-0064,180.900750,180.990750,i,B,sd,u-62-2
sw2913A-ms98-a-0064,180.990750,181.210750,went,I,sd,u-62-2
sw2913A-ms98-a-0064,181.210750,181.300750,and,I,sd,u-62-2
sw2913A-ms98-a-0064,181.300750,181.530750,bought,I,sd,u-62-2
sw2913A-ms98-a-0064,181.530750,181.610750,the,I,sd,u-62-2
sw2913A-ms98-a-0064,181.610750,181.920750,video,I,sd,u-62-2
sw2913A-ms98-a-0064,181.920750,182.010750,i've,B,sd,u-62-3
sw2913A-ms98-a-0064,182.010750,182.450750,probably,I,sd,u-62-3
sw2913A-ms98-a-0064,182.450750,182.760750,seen,I,sd,u-62-3
sw2913A-ms98-a-0064,182.760750,182.890750,it,I,sd,u-62-3
sw2913A-ms98-a-0064,182.890750,183.120750,about,I,sd,u-62-3
sw2913A-ms98-a-0064,183.120750,183.600750,fifteen,I,sd,u-62-3
sw2913A-ms98-a-0064,183.600750,183.660750,or,I,sd,u-62-3
sw2913A-ms98-a-0064,183.660750,183.970750,twenty,I,sd,u-62-3
sw2913A-ms98-a-0064,183.970750,184.608375,times,I,sd,u-62-3
sw2913A-ms98-a-0066,194.390500,194.635125,[laughter],O,,
sw2913A-ms98-a-0068,197.096750,197.233125,that's,B,bd,u-64-1
sw2913A-ms98-a-0068,197.233125,197.649000,okay,I,bd,u-64-1
sw2913A-ms98-a-0070,207.038875,207.281625,that's,B,bd,u-66-1
sw2913A-ms98-a-0070,207.281625,207.582500,okay,I,bd,u-66-1
sw2913A-ms98-a-0071,208.835125,209.332625,[laughter],O,,
sw2913A-ms98-a-0072,210.421500,210.542500,now,B,sd,u-66-2
sw2913A-ms98-a-0074,213.848375,213.958750,now,B,+,u-68-1
sw2913A-ms98-a-0074,213.958750,214.078750,i,I,+,u-68-1
sw2913A-ms98-a-0074,214.078750,214.408750,haven't,I,+,u-68-1
sw2913A-ms98-a-0074,214.408750,214.678750,seen,I,+,u-68-1
sw2913A-ms98-a-0074,214.678750,214.988750,Pretty,I,+,u-68-1
sw2913A-ms98-a-0074,214.988750,215.148750,in,I,+,u-68-1
sw2913A-ms98-a-0074,215.148750,215.488750,Pink,I,+,u-68-1
sw2913A-ms98-a-0074,215.488750,215.658750,that,B,%@,u-68-2
sw2913A-ms98-a-0074,215.658750,215.988750,had,I,%@,u-68-2
sw2913A-ms98-a-0074,215.988750,216.312000,um,I,%@,u-68-2
sw2913A-ms98-a-0075,216.891375,216.935000,does,I,%@,u-68-2
sw2913A-ms98-a-0075,216.935000,217.065000,that,I,%@,u-68-2
sw2913A-ms98-a-0075,217.065000,217.175000,have,I,%@,u-68-2
sw2913A-ms98-a-0075,217.175000,217.525000,Molly,B,+,u-70-1
sw2913A-ms98-a-0075,217.525000,218.101000,Ringwald,I,+,u-70-1
sw2913A-ms98-a-0077,225.716125,225.812500,i,B,sv^2,u-72-1
sw2913A-ms98-a-0077,225.812500,226.102500,think,I,sv^2,u-72-1
sw2913A-ms98-a-0077,226.102500,226.182500,i,I,sv^2,u-72-1
sw2913A-ms98-a-0077,226.182500,226.382500,think,I,sv^2,u-72-1
sw2913A-ms98-a-0077,226.382500,226.842500,Sixteen,I,sv^2,u-72-1
sw2913A-ms98-a-0077,226.842500,227.232500,Candles,I,sv^2,u-72-1
sw2913A-ms98-a-0077,227.232500,227.412500,was,I,sv^2,u-72-1
sw2913A-ms98-a-0077,227.412500,227.482500,the,I,sv^2,u-72-1
sw2913A-ms98-a-0077,227.482500,227.702500,name,I,sv^2,u-72-1
sw2913A-ms98-a-0077,227.702500,227.842500,of,I,sv^2,u-72-1
sw2913A-ms98-a-0077,227.842500,228.058750,it,I,sv^2,u-72-1
sw2913A-ms98-a-0079,233.256375,233.345375,i,B,sd,u-74-1
sw2913A-ms98-a-0079,233.345375,233.685375,haven't,I,sd,u-74-1
sw2913A-ms98-a-0079,233.685375,233.995375,seen,I,sd,u-74-1
sw2913A-ms98-a-0079,233.995375,234.335375,it,I,sd,u-74-1
sw2913A-ms98-a-0079,234.335375,234.650250,either,I,sd,u-74-1
sw2913A-ms98-a-0081,237.235250,237.303500,i,B,sd,u-76-1
sw2913A-ms98-a-0081,237.303500,237.760875,do,I,sd,u-76-1
sw2913A-ms98-a-0083,244.483125,244.746125,oh,B,ba,u-78-1
sw2913A-ms98-a-0083,244.746125,245.485750,gosh,I,ba,u-78-1
sw2913A-ms98-a-0085,253.303875,253.908125,oh,B,b,u-80-1
sw2913A-ms98-a-0087,259.889125,260.032500,hm,O,,
sw2913A-ms98-a-0087,260.155250,260.206125,i,B,sd,u-82-1
sw2913A-ms98-a-0087,260.206125,260.466125,don't,I,sd,u-82-1
sw2913A-ms98-a-0087,260.466125,260.874750,know,I,sd,u-82-1
sw2913A-ms98-a-0089,262.912000,262.980000,but,O,,
sw2913A-ms98-a-0091,265.828750,266.285625,probably,B,sv,u-86-1
sw2913A-ms98-a-0091,266.285625,266.495625,know,I,sv,u-86-1
sw2913A-ms98-a-0091,266.495625,266.615625,him,I,sv,u-86-1
sw2913A-ms98-a-0091,266.615625,266.765625,if,I,sv,u-86-1
sw2913A-ms98-a-0091,266.765625,266.932125,i,I,sv,u-86-1
sw2913A-ms98-a-0091,266.932125,267.305625,saw,I,sv,u-86-1
sw2913A-ms98-a-0091,267.305625,267.435625,him,I,sv,u-86-1
sw2913A-ms98-a-0093,273.918500,273.990125,i,B,sd,u-88-1
sw2913A-ms98-a-0093,273.990125,274.140125,was,I,sd,u-88-1
sw2913A-ms98-a-0093,274.140125,274.380125,just,I,sd,u-88-1
sw2913A-ms98-a-0093,274.380125,274.700125,thinking,I,sd,u-88-1
sw2913A-ms98-a-0093,274.700125,275.100125,another,I,sd,u-88-1
sw2913A-ms98-a-0093,275.100125,275.370125,good,I,sd,u-88-1
sw2913A-ms98-a-0093,275.370125,275.510125,one,I,sd,u-88-1
sw2913A-ms98-a-0093,275.510125,275.683375,i,I,sd,u-88-1
sw2913A-ms98-a-0093,275.683375,275.900125,saw,I,sd,u-88-1
sw2913A-ms98-a-0093,275.900125,276.130125,not,I,sd,u-88-1
sw2913A-ms98-a-0093,276.130125,276.280125,too,I,sd,u-88-1
sw2913A-ms98-a-0093,276.280125,276.590125,long,I,sd,u-88-1
sw2913A-ms98-a-0093,276.590125,276.810125,ago,I,sd,u-88-1
sw2913A-ms98-a-0093,276.810125,277.090125,was,I,sd,u-88-1
sw2913A-ms98-a-0093,277.090125,277.438125,um,I,sd,u-88-1
sw2913A-ms98-a-0093,277.438125,277.990125,Sleeping,I,sd,u-88-1
sw2913A-ms98-a-0093,277.990125,278.149375,with,I,sd,u-88-1
sw2913A-ms98-a-0093,278.149375,278.280125,the,I,sd,u-88-1
sw2913A-ms98-a-0093,278.280125,278.776875,Enemy,I,sd,u-88-1
sw2913A-ms98-a-0094,280.002500,280.221250,that,B,sd,u-90-1
sw2913A-ms98-a-0094,280.221250,280.529250,that's,I,sd,u-90-1
sw2913A-ms98-a-0095,281.996375,282.285875,that's,I,sd,u-90-1
sw2913A-ms98-a-0095,282.285875,282.631125,Julia,I,sd,u-90-1
sw2913A-ms98-a-0095,282.631125,283.131125,Roberts',I,sd,u-90-1
sw2913A-ms98-a-0095,283.131125,283.321125,new,I,sd,u-90-1
sw2913A-ms98-a-0095,283.321125,283.774500,movie,I,sd,u-90-1
sw2913A-ms98-a-0097,286.235875,286.540000,yeah,B,aa,u-92-1
sw2913A-ms98-a-0097,286.540000,286.948625,she's,B,%,u-92-2
sw2913A-ms98-a-0097,287.204750,287.454750,this,B,%,u-92-3
sw2913A-ms98-a-0097,287.454750,287.727250,one,I,%,u-92-3
sw2913A-ms98-a-0097,288.081250,288.184750,you,B,sd,u-92-4
sw2913A-ms98-a-0097,288.184750,288.334750,know,I,sd,u-92-4
sw2913A-ms98-a-0097,288.334750,288.664750,Pretty,I,sd,u-92-4
sw2913A-ms98-a-0097,288.664750,288.984750,Woman,I,sd,u-92-4
sw2913A-ms98-a-0097,288.984750,289.154750,was,I,sd,u-92-4
sw2913A-ms98-a-0097,289.154750,289.424750,kind,I,sd,u-92-4
sw2913A-ms98-a-0097,289.424750,289.484750,of,I,sd,u-92-4
sw2913A-ms98-a-0097,289.484750,289.554750,a,I,sd,u-92-4
sw2913A-ms98-a-0097,289.554750,289.884750,light,I,sd,u-92-4
sw2913A-ms98-a-0097,289.884750,290.529000,comedy,I,sd,u-92-4
sw2913A-ms98-a-0098,291.285250,291.438250,and,I,sd,u-92-4
sw2913A-ms98-a-0098,291.438250,291.498250,a,I,sd,u-92-4
sw2913A-ms98-a-0098,291.498250,292.148250,romance,I,sd,u-92-4
sw2913A-ms98-a-0098,292.148250,292.428875,and,B,sd,u-94-1
sw2913A-ms98-a-0098,292.428875,292.833250,and,I,sd,u-94-1
sw2913A-ms98-a-0098,293.138375,293.479375,this,I,sd,u-94-1
sw2913A-ms98-a-0098,293.479375,293.628250,one,I,sd,u-94-1
sw2913A-ms98-a-0098,293.628250,294.003250,was,I,sd,u-94-1
sw2913A-ms98-a-0099,294.727000,294.781625,a,I,sd,u-94-1
sw2913A-ms98-a-0099,294.781625,294.909125,lot,I,sd,u-94-1
sw2913A-ms98-a-0099,294.909125,295.159250,more,I,sd,u-94-1
sw2913A-ms98-a-0099,295.159250,295.834625,dramatic,I,sd,u-94-1
sw2913A-ms98-a-0101,297.679375,297.843500,i[t]-,O,,
sw2913A-ms98-a-0101,297.843500,297.982250,i[t]-,O,,
sw2913A-ms98-a-0102,298.201375,298.697875,well,B,nd,u-96-1
sw2913A-ms98-a-0102,298.879250,298.980750,i[t]-,O,,
sw2913A-ms98-a-0103,299.528875,299.687125,it,B,sd,u-98-1
sw2913A-ms98-a-0103,299.687125,299.997125,was,I,sd,u-98-1
sw2913A-ms98-a-0103,299.997125,300.267125,like,I,sd,u-98-1
sw2913A-ms98-a-0103,300.267125,300.466500,uh,I,sd,u-98-1
sw2913A-ms98-a-0103,300.466500,300.627125,it,I,sd,u-98-1
sw2913A-ms98-a-0103,300.627125,300.767125,was,I,sd,u-98-1
sw2913A-ms98-a-0103,300.767125,300.847125,a,I,sd,u-98-1
sw2913A-ms98-a-0103,300.847125,301.097125,m[ystery]-,I,sd,u-98-1
sw2913A-ms98-a-0103,301.097125,301.157125,it,I,sd,u-98-1
sw2913A-ms98-a-0103,301.157125,301.357125,was,I,sd,u-98-1
sw2913A-ms98-a-0103,301.357125,301.487125,a,I,sd,u-98-1
sw2913A-ms98-a-0103,301.487125,302.267125,mystery,I,sd,u-98-1
