sw4443A-ms98-a-0001,0.071750,0.328000,play,B,qy,u-1-1
sw4443A-ms98-a-0015,49.354875,49.554875,say,I,sd,u-17-2
sw4443A-ms98-a-0015,49.554875,49.764875,about,I,sd,u-17-2
sw4443A-ms98-a-0015,49.764875,49.804875,a,I,sd,u-17-2
sw4443A-ms98-a-0015,49.804875,50.101250,couple,I,sd,u-17-2
sw4443A-ms98-a-0015,50.101250,50.346000,years,I,sd,u-17-2
sw4443A-ms98-a-0015,50.346000,50.587875,ago,I,sd,u-17-2
sw4443A-ms98-a-0015,51.198125,51.604875,and,B,sd,u-17-3
sw4443A-ms98-a-0015,51.604875,51.885375,uh,I,sd,u-17-3
sw4443A-ms98-a-0015,52.054875,52.164875,i've,I,sd,u-17-3
sw4443A-ms98-a-0015,52.164875,52.334875,been,I,sd,u-17-3
sw4443A-ms98-a-0015,52.334875,52.802000,playing,I,sd,u-17-3
sw4443A-ms98-a-0015,53.272875,53.364875,you,I,sd,u-17-3
sw4443A-ms98-a-0015,53.364875,53.544875,know,I,sd,u-17-3
sw4443A-ms98-a-0015,53.544875,53.744875,off,I,sd,u-17-3
sw4443A-ms98-a-0015,53.744875,53.864875,and,I,sd,u-17-3
sw4443A-ms98-a-0015,53.864875,54.094875,on,I,sd,u-17-3
sw4443A-ms98-a-0015,54.094875,54.214875,when,I,sd,u-17-3
sw4443A-ms98-a-0015,54.214875,54.340125,i,I,sd,u-17-3
sw4443A-ms98-a-0015,54.340125,54.698000,can,I,sd,u-17-3
sw4443A-ms98-a-0015,55.134875,55.284875,up,B,sd,u-19-1
sw4443A-ms98-a-0015,55.284875,55.374875,in,I,sd,u-19-1
sw4443A-ms98-a-0015,55.374875,56.004875,Minneapolis,I,sd,u-19-1
sw4443A-ms98-a-0015,56.004875,56.144875,it's,I,sd,u-19-1
sw4443A-ms98-a-0015,56.144875,56.364875,not,I,sd,u-19-1
sw4443A-ms98-a-0015,56.364875,56.534875,too,I,sd,u-19-1
sw4443A-ms98-a-0015,56.534875,56.764875,easy,I,sd,u-19-1
sw4443A-ms98-a-0015,56.764875,56.854875,to,I,sd,u-19-1
sw4443A-ms98-a-0015,56.854875,57.114875,play,I,sd,u-19-1
sw4443A-ms98-a-0015,57.114875,57.184875,in,I,sd,u-19-1
sw4443A-ms98-a-0015,57.184875,57.244875,the,I,sd,u-19-1
sw4443A-ms98-a-0015,57.244875,57.564875,winter,I,sd,u-19-1
sw4443A-ms98-a-0015,57.564875,57.634875,of,I,sd,u-19-1
sw4443A-ms98-a-0015,57.634875,57.944875,course,I,sd,u-19-1
sw4443A-ms98-a-0015,57.944875,58.209125,but,B,sd,u-21-1
sw4443A-ms98-a-0016,58.773875,58.841750,i,I,sd,u-21-1
sw4443A-ms98-a-0016,58.841750,59.191750,actually,I,sd,u-21-1
sw4443A-ms98-a-0016,59.191750,59.341750,live,I,sd,u-21-1
sw4443A-ms98-a-0016,59.341750,59.501750,in,I,sd,u-21-1
sw4443A-ms98-a-0016,59.501750,60.031750,Florida,I,sd,u-21-1
sw4443A-ms98-a-0016,60.031750,60.511750,so,B,sd,u-21-2
sw4443A-ms98-a-0016,60.511750,60.760125,uh,I,sd,u-21-2
sw4443A-ms98-a-0016,61.522875,61.897625,uh,B,+,u-23-1
sw4443A-ms98-a-0016,62.230000,62.341750,i'll,I,+,u-23-1
sw4443A-ms98-a-0016,62.341750,62.451750,be,I,+,u-23-1
sw4443A-ms98-a-0016,62.451750,62.621750,going,I,+,u-23-1
sw4443A-ms98-a-0016,62.621750,62.831750,back,I,+,u-23-1
sw4443A-ms98-a-0016,62.831750,63.041750,down,I,+,u-23-1
sw4443A-ms98-a-0016,63.041750,63.211750,there,I,+,u-23-1
sw4443A-ms98-a-0016,63.211750,63.291750,in,I,+,u-23-1
sw4443A-ms98-a-0016,63.291750,63.541750,May,I,+,u-23-1
sw4443A-ms98-a-0016,63.541750,63.747375,and,I,+,u-23-1
sw4443A-ms98-a-0016,63.837750,64.181750,hopefully,I,+,u-23-1
sw4443A-ms98-a-0016,64.181750,64.301750,be,I,+,u-23-1
sw4443A-ms98-a-0016,64.301750,64.581750,picking,I,+,u-23-1
sw4443A-ms98-a-0016,64.581750,64.671750,it,I,+,u-23-1
sw4443A-ms98-a-0016,64.671750,64.785625,up,I,+,u-23-1
sw4443A-ms98-a-0016,65.037875,65.091750,a,I,+,u-23-1
sw4443A-ms98-a-0016,65.091750,65.271750,little,I,+,u-23-1
sw4443A-ms98-a-0016,65.271750,65.431750,more,I,+,u-23-1
sw4443A-ms98-a-0016,65.431750,66.015250,regularly,I,+,u-23-1
sw4443A-ms98-a-0018,69.371750,69.509500,i,B,aa,u-25-1
sw4443A-ms98-a-0018,69.509500,69.609500,was,I,aa,u-25-1
sw4443A-ms98-a-0018,69.609500,69.729500,going,I,aa,u-25-1
sw4443A-ms98-a-0018,69.729500,69.809500,to,I,aa,u-25-1
sw4443A-ms98-a-0018,69.809500,70.219500,say,I,aa,u-25-1
sw4443A-ms98-a-0018,70.219500,70.991000,[laughter],O,,
sw4443A-ms98-a-0020,75.651000,75.870000,yeah,B,aa,u-27-1
sw4443A-ms98-a-0020,75.870000,76.230000,that's,B,sv,u-27-2
sw4443A-ms98-a-0020,76.230000,76.480000,that's,I,sv,u-27-2
sw4443A-ms98-a-0020,76.480000,76.720000,true,I,sv,u-27-2
sw4443A-ms98-a-0020,76.720000,76.900000,all,I,sv,u-27-2
sw4443A-ms98-a-0020,76.900000,77.020000,too,I,sv,u-27-2
sw4443A-ms98-a-0020,77.020000,77.260000,many,I,sv,u-27-2
sw4443A-ms98-a-0020,77.260000,77.691375,times,I,sv,u-27-2
sw4443A-ms98-a-0021,78.323125,79.004250,fortunately,B,sd,u-29-1
sw4443A-ms98-a-0021,79.252875,79.768125,uh,I,sd,u-29-1
sw4443A-ms98-a-0021,80.001625,80.250375,down,I,sd,u-29-1
sw4443A-ms98-a-0021,80.250375,80.380375,where,I,sd,u-29-1
sw4443A-ms98-a-0021,80.380375,80.410375,i,I,sd,u-29-1
sw4443A-ms98-a-0021,80.410375,80.600375,live,I,sd,u-29-1
sw4443A-ms98-a-0021,80.600375,80.720375,in,I,sd,u-29-1
sw4443A-ms98-a-0021,80.720375,81.250375,Florida,I,sd,u-29-1
sw4443A-ms98-a-0021,81.400375,81.743125,there's,I,sd,u-29-1
sw4443A-ms98-a-0021,82.006750,82.250375,some,I,sd,u-29-1
sw4443A-ms98-a-0021,82.250375,82.560375,golf,I,sd,u-29-1
sw4443A-ms98-a-0021,82.560375,83.040375,courses,I,sd,u-29-1
sw4443A-ms98-a-0021,83.040375,83.170375,that,I,sd,u-29-1
sw4443A-ms98-a-0021,83.170375,83.280375,are,I,sd,u-29-1
sw4443A-ms98-a-0021,83.280375,83.570375,pretty,I,sd,u-29-1
sw4443A-ms98-a-0021,83.570375,84.146375,reasonable,I,sd,u-29-1
sw4443A-ms98-a-0021,84.146375,84.351625,if,I,sd,u-29-1
sw4443A-ms98-a-0021,84.351625,84.410375,you,I,sd,u-29-1
sw4443A-ms98-a-0021,84.410375,84.570375,know,I,sd,u-29-1
sw4443A-ms98-a-0021,84.570375,84.710375,where,I,sd,u-29-1
sw4443A-ms98-a-0021,84.710375,84.800375,to,I,sd,u-29-1
sw4443A-ms98-a-0021,84.800375,85.136875,look,I,sd,u-29-1
sw4443A-ms98-a-0022,85.758750,86.170750,um,B,sd,u-31-1
sw4443A-ms98-a-0022,86.285125,86.447625,one,I,sd,u-31-1
sw4443A-ms98-a-0022,86.447625,86.507625,of,I,sd,u-31-1
sw4443A-ms98-a-0022,86.507625,86.647625,them,I,sd,u-31-1
sw4443A-ms98-a-0022,86.647625,86.747625,is,I,sd,u-31-1
sw4443A-ms98-a-0022,86.747625,86.807625,the,I,sd,u-31-1
sw4443A-ms98-a-0022,86.807625,87.267625,University,I,sd,u-31-1
sw4443A-ms98-a-0022,87.267625,87.337625,of,I,sd,u-31-1
sw4443A-ms98-a-0022,87.337625,87.697625,Florida,I,sd,u-31-1
sw4443A-ms98-a-0022,87.697625,87.967625,golf,I,sd,u-31-1
sw4443A-ms98-a-0022,87.967625,88.347625,course,I,sd,u-31-1
sw4443A-ms98-a-0022,88.347625,88.550500,which,B,+,u-33-1
sw4443A-ms98-a-0022,88.652250,88.827125,is,I,+,u-33-1
sw4443A-ms98-a-0022,88.827125,89.090750,open,I,+,u-33-1
sw4443A-ms98-a-0022,89.090750,89.137625,to,I,+,u-33-1
sw4443A-ms98-a-0022,89.137625,89.197625,the,I,+,u-33-1
sw4443A-ms98-a-0022,89.197625,89.550500,public,I,+,u-33-1
sw4443A-ms98-a-0022,89.659750,89.717625,and,B,sd,u-33-2
sw4443A-ms98-a-0022,89.717625,89.857625,that's,I,sd,u-33-2
sw4443A-ms98-a-0022,89.857625,90.171375,pretty,I,sd,u-33-2
sw4443A-ms98-a-0022,90.521625,90.707625,pretty,I,sd,u-33-2
sw4443A-ms98-a-0022,90.707625,90.989000,good,I,sd,u-33-2
sw4443A-ms98-a-0024,97.322250,97.541625,yeah,B,b,u-35-1
sw4443A-ms98-a-0026,99.597375,99.690375,can,B,qy,u-37-1
sw4443A-ms98-a-0026,99.690375,99.800375,you,I,qy,u-37-1
sw4443A-ms98-a-0026,99.800375,99.930375,get,I,qy,u-37-1
sw4443A-ms98-a-0026,99.930375,100.081375,like,I,qy,u-37-1
sw4443A-ms98-a-0026,100.081375,100.262000,a,I,qy,u-37-1
sw4443A-ms98-a-0026,100.262000,100.434625,a,I,qy,u-37-1
sw4443A-ms98-a-0026,100.434625,100.760375,student,I,qy,u-37-1
sw4443A-ms98-a-0026,100.760375,101.240375,discount,I,qy,u-37-1
sw4443A-ms98-a-0026,101.240375,101.470375,type,I,qy,u-37-1
sw4443A-ms98-a-0026,101.470375,101.538750,of,I,qy,u-37-1
sw4443A-ms98-a-0026,101.580375,101.821000,thing,I,qy,u-37-1
sw4443A-ms98-a-0026,101.947875,102.127125,or,B,%,u-37-2
sw4443A-ms98-a-0028,107.478500,107.704875,yeah,B,b,u-39-1
sw4443A-ms98-a-0028,107.925000,108.011000,what,B,qw,u-39-2
sw4443A-ms98-a-0028,108.011000,108.051000,uh,I,qw,u-39-2
sw4443A-ms98-a-0028,108.051000,108.208875,what,I,qw,u-39-2
sw4443A-ms98-a-0028,108.208875,108.294125,uh,I,qw,u-39-2
sw4443A-ms98-a-0028,108.557750,108.651000,what,I,qw,u-39-2
sw4443A-ms98-a-0028,108.651000,108.762000,are,I,qw,u-39-2
sw4443A-ms98-a-0028,108.762000,109.021000,greens,I,qw,u-39-2
sw4443A-ms98-a-0028,109.021000,109.331000,fees,I,qw,u-39-2
sw4443A-ms98-a-0028,109.331000,109.571000,run,I,qw,u-39-2
sw4443A-ms98-a-0028,109.571000,109.792750,there,I,qw,u-39-2
sw4443A-ms98-a-0030,118.189125,118.617875,okay,B,bk,u-41-1
sw4443A-ms98-a-0030,118.782250,119.189125,that's,B,%,u-41-2
sw4443A-ms98-a-0030,119.319125,119.439125,yeah,B,%,u-41-3
sw4443A-ms98-a-0030,119.439125,119.619125,that's,B,sd,u-41-4
sw4443A-ms98-a-0030,119.619125,119.889125,about,I,sd,u-41-4
sw4443A-ms98-a-0030,119.889125,119.949125,the,I,sd,u-41-4
sw4443A-ms98-a-0030,119.949125,120.229125,same,I,sd,u-41-4
sw4443A-ms98-a-0030,120.229125,120.319125,i,I,sd,u-41-4
sw4443A-ms98-a-0030,120.319125,120.599125,guess,I,sd,u-41-4
sw4443A-ms98-a-0030,120.599125,120.669125,as,I,sd,u-41-4
sw4443A-ms98-a-0030,120.669125,120.829125,it,I,sd,u-41-4
sw4443A-ms98-a-0030,120.829125,120.949125,is,I,sd,u-41-4
sw4443A-ms98-a-0030,120.949125,121.049125,in,I,sd,u-41-4
sw4443A-ms98-a-0030,121.049125,121.542000,Florida,I,sd,u-41-4
sw4443A-ms98-a-0030,122.283000,122.483000,but,B,%,u-41-5
sw4443A-ms98-a-0032,128.103500,128.412750,really,B,b,u-43-1
sw4443A-ms98-a-0032,128.554750,128.712875,oh,B,ba,u-43-2
sw4443A-ms98-a-0032,128.712875,128.882875,that's,I,ba,u-43-2
sw4443A-ms98-a-0032,128.882875,129.280375,super,I,ba,u-43-2
sw4443A-ms98-a-0034,131.472375,131.708375,yeah,B,b,u-45-1
sw4443A-ms98-a-0034,131.836500,132.111125,uh-huh,B,b,u-45-2
sw4443A-ms98-a-0036,134.639375,134.801375,well,B,ba,u-47-1
sw4443A-ms98-a-0036,134.801375,134.991375,that's,I,ba,u-47-1
sw4443A-ms98-a-0036,134.991375,135.071375,the,I,ba,u-47-1
sw4443A-ms98-a-0036,135.071375,135.161375,way,I,ba,u-47-1
sw4443A-ms98-a-0036,135.161375,135.281375,to,I,ba,u-47-1
sw4443A-ms98-a-0036,135.281375,135.431375,do,I,ba,u-47-1
sw4443A-ms98-a-0036,135.431375,135.561375,it,I,ba,u-47-1
sw4443A-ms98-a-0036,135.561375,135.773625,though,I,ba,u-47-1
sw4443A-ms98-a-0036,136.278250,136.411375,that's,B,sv,u-49-1
sw4443A-ms98-a-0036,136.411375,136.481375,the,I,sv,u-49-1
sw4443A-ms98-a-0036,136.481375,136.591375,way,I,sv,u-49-1
sw4443A-ms98-a-0036,136.591375,136.681375,to,I,sv,u-49-1
sw4443A-ms98-a-0036,136.681375,136.801375,get,I,sv,u-49-1
sw4443A-ms98-a-0036,136.801375,136.961375,in,I,sv,u-49-1
sw4443A-ms98-a-0036,136.961375,137.031375,to,I,sv,u-49-1
sw4443A-ms98-a-0036,137.031375,137.161375,some,I,sv,u-49-1
sw4443A-ms98-a-0036,137.161375,137.341375,good,I,sv,u-49-1
sw4443A-ms98-a-0036,137.341375,137.861375,practice,I,sv,u-49-1
sw4443A-ms98-a-0036,137.861375,138.171375,without,I,sv,u-49-1
sw4443A-ms98-a-0036,138.171375,138.371375,having,I,sv,u-49-1
sw4443A-ms98-a-0036,138.371375,138.441375,[laughter-to],I,sv,u-49-1
sw4443A-ms98-a-0036,138.441375,138.701375,[laughter-pay],I,sv,u-49-1
sw4443A-ms98-a-0036,138.701375,138.921375,[laughter-for],I,sv,u-49-1
sw4443A-ms98-a-0036,138.921375,139.021375,[laughter-it],I,sv,u-49-1
sw4443A-ms98-a-0036,139.021375,139.132375,[laughter-all],I,sv,u-49-1
sw4443A-ms98-a-0036,139.191750,139.293750,the,I,sv,u-49-1
sw4443A-ms98-a-0036,139.293750,139.626750,time,I,sv,u-49-1
sw4443A-ms98-a-0038,144.505750,144.785875,yeah,B,b,u-51-1
sw4443A-ms98-a-0040,147.517625,147.770000,yeah,B,b,u-53-1
sw4443A-ms98-a-0042,150.054750,150.131750,they,B,sv,u-55-1
sw4443A-ms98-a-0042,150.131750,150.331750,need,I,sv,u-55-1
sw4443A-ms98-a-0042,150.331750,150.421750,to,I,sv,u-55-1
sw4443A-ms98-a-0042,150.421750,150.571750,get,I,sv,u-55-1
sw4443A-ms98-a-0042,150.571750,150.631750,a,I,sv,u-55-1
sw4443A-ms98-a-0042,150.631750,150.841750,new,I,sv,u-55-1
sw4443A-ms98-a-0042,150.841750,151.531750,photography,I,sv,u-55-1
sw4443A-ms98-a-0042,151.531750,151.991750,method,I,sv,u-55-1
sw4443A-ms98-a-0042,151.991750,152.501750,because,B,sv,u-57-1
sw4443A-ms98-a-0042,152.501750,152.770500,once,I,sv,u-57-1
sw4443A-ms98-a-0042,152.770500,152.834500,the,I,sv,u-57-1
sw4443A-ms98-a-0042,152.834500,153.031750,guy,I,sv,u-57-1
sw4443A-ms98-a-0042,153.031750,153.261750,hits,I,sv,u-57-1
sw4443A-ms98-a-0042,153.261750,153.341750,the,I,sv,u-57-1
sw4443A-ms98-a-0042,153.341750,153.731750,ball,I,sv,u-57-1
sw4443A-ms98-a-0042,153.731750,153.861750,and,I,sv,u-57-1
sw4443A-ms98-a-0042,153.861750,153.961750,they,I,sv,u-57-1
sw4443A-ms98-a-0042,153.961750,154.111750,got,I,sv,u-57-1
sw4443A-ms98-a-0042,154.111750,154.171750,to,I,sv,u-57-1
sw4443A-ms98-a-0042,154.171750,154.331750,try,I,sv,u-57-1
sw4443A-ms98-a-0042,154.331750,154.411750,to,I,sv,u-57-1
sw4443A-ms98-a-0042,154.411750,154.711750,follow,I,sv,u-57-1
sw4443A-ms98-a-0042,154.711750,154.791750,the,I,sv,u-57-1
sw4443A-ms98-a-0042,154.791750,155.152000,ball,I,sv,u-57-1
sw4443A-ms98-a-0042,155.249875,156.290125,[laughter],O,,
sw4443A-ms98-a-0042,156.290125,156.681750,that's,B,+,u-59-1
sw4443A-ms98-a-0042,156.681750,156.901750,that's,I,+,u-59-1
sw4443A-ms98-a-0042,156.901750,156.941750,a,I,+,u-59-1
sw4443A-ms98-a-0042,156.941750,157.141750,little,I,+,u-59-1
sw4443A-ms98-a-0042,157.141750,157.711750,difficult,I,+,u-59-1
sw4443A-ms98-a-0042,157.711750,157.741750,i,B,sv,u-59-2
sw4443A-ms98-a-0042,157.741750,157.951750,mean,I,sv,u-59-2
sw4443A-ms98-a-0042,157.951750,158.053875,it,I,sv,u-59-2
sw4443A-ms98-a-0042,158.513625,158.717000,they,I,sv,u-59-2
sw4443A-ms98-a-0042,158.717000,158.940250,do,I,sv,u-59-2
sw4443A-ms98-a-0042,158.940250,159.051750,they,I,sv,u-59-2
sw4443A-ms98-a-0042,159.051750,159.201750,do,I,sv,u-59-2
sw4443A-ms98-a-0042,159.201750,159.291750,a,I,sv,u-59-2
sw4443A-ms98-a-0042,159.291750,159.791750,generally,I,sv,u-59-2
sw4443A-ms98-a-0042,159.791750,160.129375,okay,I,sv,u-59-2
sw4443A-ms98-a-0042,160.129375,160.501750,job,I,sv,u-59-2
sw4443A-ms98-a-0042,160.501750,160.721750,but,B,sv,u-59-3
sw4443A-ms98-a-0042,160.721750,160.911750,like,I,sv,u-59-3
sw4443A-ms98-a-0042,160.911750,161.011750,you,I,sv,u-59-3
sw4443A-ms98-a-0042,161.011750,161.261750,said,I,sv,u-59-3
sw4443A-ms98-a-0042,161.261750,161.471750,it's,I,sv,u-59-3
sw4443A-ms98-a-0042,161.471750,161.631750,it's,I,sv,u-59-3
sw4443A-ms98-a-0042,161.631750,161.821750,kind,I,sv,u-59-3
sw4443A-ms98-a-0042,161.821750,161.921750,of,I,sv,u-59-3
sw4443A-ms98-a-0042,161.921750,162.391750,boring,I,sv,u-59-3
sw4443A-ms98-a-0042,162.391750,162.956750,actually,I,sv,u-59-3
sw4443A-ms98-a-0044,168.134625,168.254750,oh,B,bh,u-61-1
sw4443A-ms98-a-0044,168.254750,168.507125,yeah,I,bh,u-61-1
sw4443A-ms98-a-0046,171.981000,172.122625,yeah,B,aa,u-63-1
sw4443A-ms98-a-0046,172.122625,172.172625,i,B,sv,u-63-2
sw4443A-ms98-a-0046,172.172625,172.362625,bet,I,sv,u-63-2
sw4443A-ms98-a-0046,172.362625,172.512625,that,I,sv,u-63-2
sw4443A-ms98-a-0046,172.512625,172.672625,would,I,sv,u-63-2
sw4443A-ms98-a-0046,172.672625,172.852625,be,I,sv,u-63-2
sw4443A-ms98-a-0046,172.852625,173.088375,great,O,,
sw4443A-ms98-a-0048,180.214000,180.489000,yeah,B,b,u-65-1
sw4443A-ms98-a-0049,181.105625,181.207125,yeah,B,b^r,u-65-2
sw4443A-ms98-a-0049,181.207125,181.287125,i've,B,sd,u-65-3
sw4443A-ms98-a-0049,181.287125,181.507125,never,I,sd,u-65-3
sw4443A-ms98-a-0049,181.507125,181.697125,been,I,sd,u-65-3
sw4443A-ms98-a-0049,181.697125,181.797125,to,I,sd,u-65-3
sw4443A-ms98-a-0049,181.797125,181.887125,a,I,sd,u-65-3
sw4443A-ms98-a-0049,181.887125,182.481500,tournament,I,sd,u-65-3
sw4443A-ms98-a-0049,182.481500,182.835500,uh,B,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.247125,183.337125,you,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.337125,183.417125,know,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.417125,183.677125,looking,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.677125,183.827125,at,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.827125,183.907125,it,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,183.907125,184.067125,on,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,184.067125,184.527125,TV,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,184.527125,184.637125,y[ou]-,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,184.637125,184.757125,you,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,184.757125,185.137125,thinking,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,185.137125,185.577125,man,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,185.633625,186.367125,[laughter],I,sv(^q),u-65-4
sw4443A-ms98-a-0049,186.367125,186.517125,what,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,186.517125,186.567125,a,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,186.567125,186.957125,boring,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,186.957125,187.287125,thing,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,187.287125,187.407125,you,I,sv(^q),u-65-4
sw4443A-ms98-a-0049,187.407125,187.490125,know,I,sv(^q),u-65-4
sw4443A-ms98-a-0050,188.328875,188.672000,but,B,sv,u-67-1
sw4443A-ms98-a-0050,188.672000,188.974500,uh,I,sv,u-67-1
sw4443A-ms98-a-0050,189.287125,189.512000,that's,I,sv,u-67-1
sw4443A-ms98-a-0050,189.512000,189.732000,that's,I,sv,u-67-1
sw4443A-ms98-a-0050,189.732000,190.042000,wild,I,sv,u-67-1
sw4443A-ms98-a-0050,190.042000,190.102000,though,I,sv,u-67-1
sw4443A-ms98-a-0050,190.102000,190.162000,i'll,B,sd,u-67-2
sw4443A-ms98-a-0050,190.162000,190.312000,have,I,sd,u-67-2
sw4443A-ms98-a-0050,190.312000,190.372000,to,I,sd,u-67-2
