sw4101A-ms98-a-0003,6.467000,6.707000,um-hum,B,o,u-1-1
sw4101A-ms98-a-0006,32.621875,33.111875,community,I,sd,u-3-3
sw4101A-ms98-a-0006,33.111875,33.191875,of,I,sd,u-3-3
sw4101A-ms98-a-0006,33.191875,33.421875,about,I,sd,u-3-3
sw4101A-ms98-a-0006,33.421875,33.451875,a,I,sd,u-3-3
sw4101A-ms98-a-0006,33.451875,33.701875,hundred,I,sd,u-3-3
sw4101A-ms98-a-0006,33.701875,33.791875,and,I,sd,u-3-3
sw4101A-ms98-a-0006,33.791875,33.921875,eighty,I,sd,u-3-3
sw4101A-ms98-a-0006,33.921875,34.291875,thousand,I,sd,u-3-3
sw4101A-ms98-a-0006,34.291875,34.691875,people,I,sd,u-3-3
sw4101A-ms98-a-0006,35.431875,35.871875,uh,B,sd,u-3-4
sw4101A-ms98-a-0006,36.571875,36.771875,there,I,sd,u-3-4
sw4101A-ms98-a-0006,36.771875,37.001875,are,I,sd,u-3-4
sw4101A-ms98-a-0006,37.001875,37.411875,areas,I,sd,u-3-4
sw4101A-ms98-a-0006,37.411875,37.571875,where,I,sd,u-3-4
sw4101A-ms98-a-0006,37.571875,37.711875,we,I,sd,u-3-4
sw4101A-ms98-a-0006,37.711875,38.211875,could,I,sd,u-3-4
sw4101A-ms98-a-0006,38.211875,38.431875,uh,I,sd,u-3-4
sw4101A-ms98-a-0006,39.591875,39.911875,actually,B,sd,u-3-5
sw4101A-ms98-a-0006,39.911875,40.011875,we,I,sd,u-3-5
sw4101A-ms98-a-0006,40.011875,40.181875,have,I,sd,u-3-5
sw4101A-ms98-a-0006,40.181875,40.241875,a,I,sd,u-3-5
sw4101A-ms98-a-0006,40.241875,40.582875,couple,I,sd,u-3-5
sw4101A-ms98-a-0006,40.582875,40.716125,of,I,sd,u-3-5
sw4101A-ms98-a-0006,40.716125,41.033875,the,I,sd,u-3-5
sw4101A-ms98-a-0006,41.033875,41.250500,uh,I,sd,u-3-5
sw4101A-ms98-a-0007,42.141375,43.201375,handicapped,I,sd,u-3-5
sw4101A-ms98-a-0007,43.201375,43.921375,societies,I,sd,u-3-5
sw4101A-ms98-a-0007,43.921375,44.301375,type,I,sd,u-3-5
sw4101A-ms98-a-0007,44.301375,44.572625,of,I,sd,u-3-5
sw4101A-ms98-a-0007,45.047625,45.611375,places,I,sd,u-3-5
sw4101A-ms98-a-0007,45.611375,45.881375,where,I,sd,u-3-5
sw4101A-ms98-a-0007,45.881375,46.201375,they,I,sd,u-3-5
sw4101A-ms98-a-0007,46.201375,46.391375,uh,I,sd,u-3-5
sw4101A-ms98-a-0008,48.059000,48.369000,one,I,sd,u-3-5
sw4101A-ms98-a-0008,48.369000,48.489000,they,I,sd,u-3-5
sw4101A-ms98-a-0008,48.489000,48.679000,do,I,sd,u-3-5
sw4101A-ms98-a-0008,48.679000,48.809000,as,I,sd,u-3-5
sw4101A-ms98-a-0008,48.809000,49.189000,just,I,sd,u-3-5
sw4101A-ms98-a-0008,49.189000,49.249000,a,I,sd,u-3-5
sw4101A-ms98-a-0008,49.249000,49.809000,recycling,I,sd,u-3-5
sw4101A-ms98-a-0008,49.809000,50.409000,operation,I,sd,u-3-5
sw4101A-ms98-a-0008,50.409000,50.499000,and,I,sd,u-3-5
sw4101A-ms98-a-0008,50.499000,50.669000,then,I,sd,u-3-5
sw4101A-ms98-a-0008,50.669000,51.149000,others,I,sd,u-3-5
sw4101A-ms98-a-0008,51.149000,51.399000,they,I,sd,u-3-5
sw4101A-ms98-a-0008,51.399000,51.609000,uh,I,sd,u-3-5
sw4101A-ms98-a-0008,51.609000,51.879000,collect,I,sd,u-3-5
sw4101A-ms98-a-0008,51.879000,51.939000,the,I,sd,u-3-5
sw4101A-ms98-a-0008,51.939000,52.269000,paper,I,sd,u-3-5
sw4101A-ms98-a-0008,52.269000,52.379000,and,I,sd,u-3-5
sw4101A-ms98-a-0008,52.379000,52.599000,ship,I,sd,u-3-5
sw4101A-ms98-a-0008,52.599000,52.689000,it,I,sd,u-3-5
sw4101A-ms98-a-0008,52.689000,52.829000,to,I,sd,u-3-5
sw4101A-ms98-a-0008,52.829000,53.039000,other,I,sd,u-3-5
sw4101A-ms98-a-0008,53.039000,53.714250,retailers,I,sd,u-3-5
sw4101A-ms98-a-0008,53.714250,53.911500,so,B,sd,u-3-6
sw4101A-ms98-a-0008,54.389875,54.589000,uh,I,sd,u-3-6
sw4101A-ms98-a-0008,54.589000,54.759000,we're,I,sd,u-3-6
sw4101A-ms98-a-0008,54.759000,55.059000,able,I,sd,u-3-6
sw4101A-ms98-a-0008,55.059000,55.539000,to,I,sd,u-3-6
sw4101A-ms98-a-0008,55.539000,55.720375,uh,I,sd,u-3-6
sw4101A-ms98-a-0009,56.832000,57.212000,have,I,sd,u-3-6
sw4101A-ms98-a-0009,57.212000,57.492000,drop,I,sd,u-3-6
sw4101A-ms98-a-0009,57.492000,57.712000,off,I,sd,u-3-6
sw4101A-ms98-a-0009,57.712000,58.102000,bins,I,sd,u-3-6
sw4101A-ms98-a-0009,58.102000,58.482000,for,I,sd,u-3-6
sw4101A-ms98-a-0009,58.802000,58.982000,news,I,sd,u-3-6
sw4101A-ms98-a-0009,58.982000,59.492000,papers,I,sd,u-3-6
sw4101A-ms98-a-0009,59.492000,59.622000,and,I,sd,u-3-6
sw4101A-ms98-a-0009,59.622000,60.182000,cardboard,I,sd,u-3-6
sw4101A-ms98-a-0009,60.182000,60.292000,and,I,sd,u-3-6
sw4101A-ms98-a-0009,60.292000,60.472000,that,I,sd,u-3-6
sw4101A-ms98-a-0009,60.472000,60.742000,kind,I,sd,u-3-6
sw4101A-ms98-a-0009,60.742000,60.822000,of,I,sd,u-3-6
sw4101A-ms98-a-0009,60.822000,61.224750,thing,I,sd,u-3-6
sw4101A-ms98-a-0009,61.398000,61.572000,and,B,sd,u-3-7
sw4101A-ms98-a-0009,61.572000,61.782000,then,I,sd,u-3-7
sw4101A-ms98-a-0009,61.782000,62.032000,there,I,sd,u-3-7
sw4101A-ms98-a-0009,62.032000,62.272000,are,I,sd,u-3-7
sw4101A-ms98-a-0010,63.306750,63.484875,there's,I,sd,u-3-7
sw4101A-ms98-a-0010,63.484875,63.692500,a,I,sd,u-3-7
sw4101A-ms98-a-0010,63.692500,63.967750,uh,I,sd,u-3-7
sw4101A-ms98-a-0010,64.410625,65.074875,deposit,I,sd,u-3-7
sw4101A-ms98-a-0010,65.074875,65.644875,program,I,sd,u-3-7
sw4101A-ms98-a-0010,65.644875,65.994875,on,I,sd,u-3-7
sw4101A-ms98-a-0010,65.994875,66.604875,plastic,I,sd,u-3-7
sw4101A-ms98-a-0010,66.604875,66.764875,and,I,sd,u-3-7
sw4101A-ms98-a-0010,66.764875,67.084875,glass,I,sd,u-3-7
sw4101A-ms98-a-0010,67.084875,67.814875,containers,I,sd,u-3-7
sw4101A-ms98-a-0010,67.814875,68.064875,well,I,sd,u-3-7
sw4101A-ms98-a-0010,68.194875,68.764875,primarily,I,sd,u-3-7
sw4101A-ms98-a-0010,68.764875,69.134875,soft,I,sd,u-3-7
sw4101A-ms98-a-0010,69.134875,69.561375,drink,I,sd,u-3-7
sw4101A-ms98-a-0010,69.970500,70.552625,bottles,I,sd,u-3-7
sw4101A-ms98-a-0010,71.263625,71.454875,and,B,sd,u-3-8
sw4101A-ms98-a-0010,71.454875,71.674875,so,I,sd,u-3-8
sw4101A-ms98-a-0010,71.674875,71.864875,we're,I,sd,u-3-8
sw4101A-ms98-a-0010,71.864875,72.133125,able,I,sd,u-3-8
sw4101A-ms98-a-0010,72.133125,72.502250,to,I,sd,u-3-8
sw4101A-ms98-a-0010,72.502250,72.780125,uh,I,sd,u-3-8
sw4101A-ms98-a-0010,73.563500,73.764875,take,I,sd,u-3-8
sw4101A-ms98-a-0010,73.764875,73.894875,it,I,sd,u-3-8
sw4101A-ms98-a-0010,73.894875,74.054875,to,I,sd,u-3-8
sw4101A-ms98-a-0010,74.054875,74.270625,one,I,sd,u-3-8
sw4101A-ms98-a-0010,74.270625,74.462750,of,I,sd,u-3-8
sw4101A-ms98-a-0010,74.462750,74.817375,the,I,sd,u-3-8
sw4101A-ms98-a-0010,74.817375,75.036875,uh,I,sd,u-3-8
sw4101A-ms98-a-0011,76.225375,76.995375,rehabilitation,I,sd,u-3-8
sw4101A-ms98-a-0011,76.995375,77.415375,centers,I,sd,u-3-8
sw4101A-ms98-a-0011,77.415375,77.625375,and,B,sd,u-3-9
sw4101A-ms98-a-0011,77.625375,77.805375,then,I,sd,u-3-9
sw4101A-ms98-a-0011,77.805375,78.114625,they,I,sd,u-3-9
sw4101A-ms98-a-0011,78.667250,79.480250,recycle,I,sd,u-3-9
sw4101A-ms98-a-0011,79.898375,79.993250,the,I,sd,u-3-9
sw4101A-ms98-a-0011,79.993250,80.509250,containers,I,sd,u-3-9
sw4101A-ms98-a-0011,80.509250,80.765375,[vocalized-noise],O,,
sw4101A-ms98-a-0011,80.765375,80.885375,they,B,sd,u-3-10
sw4101A-ms98-a-0011,80.885375,81.355375,refund,I,sd,u-3-10
sw4101A-ms98-a-0011,81.355375,81.470000,the,I,sd,u-3-10
sw4101A-ms98-a-0011,81.470000,81.963375,deposit,I,sd,u-3-10
sw4101A-ms98-a-0011,81.963375,82.175375,which,I,sd,u-3-10
sw4101A-ms98-a-0011,82.175375,82.535375,is,I,sd,u-3-10
sw4101A-ms98-a-0011,82.535375,82.895375,anywhere,I,sd,u-3-10
sw4101A-ms98-a-0011,82.895375,83.105375,from,I,sd,u-3-10
sw4101A-ms98-a-0011,83.105375,83.505375,five,I,sd,u-3-10
sw4101A-ms98-a-0011,83.505375,83.840500,to,I,sd,u-3-10
sw4101A-ms98-a-0011,84.350250,84.795375,fifteen,I,sd,u-3-10
sw4101A-ms98-a-0011,84.795375,85.105375,cents,I,sd,u-3-10
sw4101A-ms98-a-0011,85.105375,85.145375,a,I,sd,u-3-10
sw4101A-ms98-a-0011,85.145375,85.750375,container,I,sd,u-3-10
sw4101A-ms98-a-0011,86.055500,86.175375,and,B,%,u-3-11
sw4101A-ms98-a-0011,86.175375,86.442000,then,I,%,u-3-11
sw4101A-ms98-a-0013,88.553125,88.903125,right,B,na,u-5-1
sw4101A-ms98-a-0013,88.903125,89.035875,yeah,O,,
sw4101A-ms98-a-0013,89.035875,89.231750,on,B,sd,u-7-1
sw4101A-ms98-a-0013,89.231750,89.333125,the,I,sd,u-7-1
sw4101A-ms98-a-0013,89.573125,89.873125,on,I,sd,u-7-1
sw4101A-ms98-a-0013,90.043125,90.543125,primarily,I,sd,u-7-1
sw4101A-ms98-a-0013,90.543125,90.713125,on,I,sd,u-7-1
sw4101A-ms98-a-0013,90.713125,91.073125,soft,I,sd,u-7-1
sw4101A-ms98-a-0013,91.073125,91.523125,drink,I,sd,u-7-1
sw4101A-ms98-a-0013,91.523125,91.883125,pop,I,sd,u-7-1
sw4101A-ms98-a-0013,91.883125,91.993125,and,I,sd,u-7-1
sw4101A-ms98-a-0013,91.993125,92.133125,that,I,sd,u-7-1
sw4101A-ms98-a-0013,92.133125,92.393125,kind,I,sd,u-7-1
sw4101A-ms98-a-0013,92.393125,92.453125,of,I,sd,u-7-1
sw4101A-ms98-a-0013,92.453125,92.733625,thing,I,sd,u-7-1
sw4101A-ms98-a-0014,93.894875,94.376375,and,B,sd,u-9-1
sw4101A-ms98-a-0014,94.376375,94.687500,uh,I,sd,u-9-1
sw4101A-ms98-a-0014,95.000125,95.246375,so,I,sd,u-9-1
sw4101A-ms98-a-0014,96.256375,96.456375,they,I,sd,u-9-1
sw4101A-ms98-a-0014,96.456375,97.651625,induce,I,sd,u-9-1
sw4101A-ms98-a-0014,97.949250,98.776375,recycling,I,sd,u-9-1
sw4101A-ms98-a-0014,98.776375,99.336375,of,I,sd,u-9-1
sw4101A-ms98-a-0014,99.336375,99.796375,plastic,I,sd,u-9-1
sw4101A-ms98-a-0014,99.796375,99.916375,and,I,sd,u-9-1
sw4101A-ms98-a-0014,99.916375,100.256375,glass,I,sd,u-9-1
sw4101A-ms98-a-0014,100.256375,100.916375,soft,I,sd,u-9-1
sw4101A-ms98-a-0014,100.916375,101.106375,drink,I,sd,u-9-1
sw4101A-ms98-a-0014,101.106375,102.096500,containers,I,sd,u-9-1
sw4101A-ms98-a-0014,102.272000,102.566375,uh,B,sd,u-9-2
sw4101A-ms98-a-0014,102.566375,102.750000,we,I,sd,u-9-2
sw4101A-ms98-a-0014,102.750000,102.896250,do,I,sd,u-9-2
sw4101A-ms98-a-0014,102.896250,103.446375,have,I,sd,u-9-2
sw4101A-ms98-a-0015,103.958375,104.088375,o[ne]-,I,sd,u-9-2
sw4101A-ms98-a-0015,104.088375,104.458375,one,I,sd,u-9-2
sw4101A-ms98-a-0015,104.458375,104.638375,of,I,sd,u-9-2
sw4101A-ms98-a-0015,104.638375,104.955250,the,I,sd,u-9-2
sw4101A-ms98-a-0015,105.501375,105.898375,scrap,I,sd,u-9-2
sw4101A-ms98-a-0015,105.898375,106.158375,metal,I,sd,u-9-2
sw4101A-ms98-a-0015,106.158375,106.638375,dealers,I,sd,u-9-2
sw4101A-ms98-a-0015,106.638375,106.968375,that,I,sd,u-9-2
sw4101A-ms98-a-0015,106.968375,107.238375,will,I,sd,u-9-2
sw4101A-ms98-a-0015,107.238375,107.926500,accept,I,sd,u-9-2
sw4101A-ms98-a-0015,108.145000,108.418375,tin,I,sd,u-9-2
sw4101A-ms98-a-0015,108.418375,108.518375,and,I,sd,u-9-2
sw4101A-ms98-a-0015,108.518375,108.958375,aluminum,I,sd,u-9-2
sw4101A-ms98-a-0015,108.978375,109.428375,cans,I,sd,u-9-2
sw4101A-ms98-a-0015,109.428375,109.578375,as,I,sd,u-9-2
sw4101A-ms98-a-0015,109.578375,109.878375,well,I,sd,u-9-2
sw4101A-ms98-a-0016,110.766875,111.006500,and,B,sd,u-11-1
sw4101A-ms98-a-0016,111.006500,111.136500,and,I,sd,u-11-1
sw4101A-ms98-a-0016,111.136500,111.746500,actually,I,sd,u-11-1
sw4101A-ms98-a-0016,111.746500,111.966500,the,I,sd,u-11-1
sw4101A-ms98-a-0016,111.966500,112.726500,recycler,I,sd,u-11-1
sw4101A-ms98-a-0016,112.726500,112.896500,there,I,sd,u-11-1
sw4101A-ms98-a-0016,112.896500,113.026500,is,I,sd,u-11-1
sw4101A-ms98-a-0016,113.026500,113.056500,a,I,sd,u-11-1
sw4101A-ms98-a-0016,113.056500,113.536500,deposit,I,sd,u-11-1
sw4101A-ms98-a-0016,113.536500,113.866500,on,I,sd,u-11-1
sw4101A-ms98-a-0016,113.866500,114.356500,aluminum,I,sd,u-11-1
sw4101A-ms98-a-0016,114.356500,114.686500,pop,I,sd,u-11-1
sw4101A-ms98-a-0016,114.686500,115.106500,cans,I,sd,u-11-1
sw4101A-ms98-a-0016,115.106500,115.325500,and,I,sd,u-11-1
sw4101A-ms98-a-0016,115.461125,115.646500,beer,I,sd,u-11-1
sw4101A-ms98-a-0016,115.646500,116.033500,cans,I,sd,u-11-1
sw4101A-ms98-a-0016,116.033500,116.176750,and,I,sd,u-11-1
sw4101A-ms98-a-0016,116.176750,116.480625,so,I,sd,u-11-1
sw4101A-ms98-a-0016,117.015375,117.136500,the,I,sd,u-11-1
sw4101A-ms98-a-0016,117.136500,117.851125,recycler,I,sd,u-11-1
sw4101A-ms98-a-0016,118.284250,118.596500,uh,I,sd,u-11-1
sw4101A-ms98-a-0016,118.596500,118.796500,with,I,sd,u-11-1
sw4101A-ms98-a-0016,118.796500,118.866500,the,I,sd,u-11-1
sw4101A-ms98-a-0016,118.866500,119.326500,handicapped,I,sd,u-11-1
sw4101A-ms98-a-0016,119.326500,119.576500,group,I,sd,u-11-1
sw4101A-ms98-a-0016,119.576500,119.706500,will,I,sd,u-11-1
sw4101A-ms98-a-0016,119.706500,120.016500,also,I,sd,u-11-1
sw4101A-ms98-a-0016,120.016500,120.336500,accept,I,sd,u-11-1
sw4101A-ms98-a-0016,120.336500,120.686500,those,I,sd,u-11-1
sw4101A-ms98-a-0016,120.686500,121.042250,so,B,sd,u-11-2
sw4101A-ms98-a-0017,122.199125,122.480875,uh,I,sd,u-11-2
sw4101A-ms98-a-0017,122.576375,122.689125,it's,I,sd,u-11-2
sw4101A-ms98-a-0017,122.689125,123.050375,fairly,I,sd,u-11-2
sw4101A-ms98-a-0017,123.773500,124.029125,fairly,I,sd,u-11-2
sw4101A-ms98-a-0017,124.029125,124.499125,extensive,I,sd,u-11-2
sw4101A-ms98-a-0017,124.499125,124.609125,but,B,sd,u-11-3
sw4101A-ms98-a-0017,124.609125,124.929125,again,I,sd,u-11-3
sw4101A-ms98-a-0017,124.929125,125.339125,it's,I,sd,u-11-3
sw4101A-ms98-a-0017,125.339125,125.728875,uh,I,sd,u-11-3
sw4101A-ms98-a-0017,126.195875,126.389125,it's,I,sd,u-11-3
sw4101A-ms98-a-0017,126.389125,126.619125,the,I,sd,u-11-3
sw4101A-ms98-a-0017,126.619125,127.089125,initiative,I,sd,u-11-3
sw4101A-ms98-a-0017,127.089125,127.249125,of,I,sd,u-11-3
sw4101A-ms98-a-0017,127.249125,127.319125,the,I,sd,u-11-3
sw4101A-ms98-a-0017,127.319125,128.133250,individual,I,sd,u-11-3
sw4101A-ms98-a-0017,128.658125,129.248250,person,I,sd,u-11-3
sw4101A-ms98-a-0017,129.459250,129.799125,because,I,sd,u-11-3
sw4101A-ms98-a-0017,129.799125,129.929125,there,I,sd,u-11-3
sw4101A-ms98-a-0017,129.929125,130.139125,is,I,sd,u-11-3
sw4101A-ms98-a-0017,130.139125,130.349125,no,I,sd,u-11-3
sw4101A-ms98-a-0017,130.349125,130.859125,coordinated,I,sd,u-11-3
sw4101A-ms98-a-0017,130.859125,131.069125,pick,I,sd,u-11-3
sw4101A-ms98-a-0017,131.069125,131.229125,up,I,sd,u-11-3
sw4101A-ms98-a-0017,131.229125,131.319125,by,I,sd,u-11-3
sw4101A-ms98-a-0017,131.319125,131.419125,the,I,sd,u-11-3
sw4101A-ms98-a-0017,131.419125,131.839125,city,I,sd,u-11-3
sw4101A-ms98-a-0019,142.762125,143.087000,well,B,sd,u-13-1
sw4101A-ms98-a-0019,143.459875,143.962125,actually,I,sd,u-13-1
sw4101A-ms98-a-0019,143.962125,144.285250,there's,I,sd,u-13-1
sw4101A-ms98-a-0020,145.017875,145.267000,there's,I,sd,u-13-1
sw4101A-ms98-a-0020,145.267000,145.372000,the,I,sd,u-13-1
sw4101A-ms98-a-0020,145.372000,146.107875,opportunity,I,sd,u-13-1
sw4101A-ms98-a-0020,146.107875,146.267875,for,I,sd,u-13-1
sw4101A-ms98-a-0020,146.267875,146.772875,both,I,sd,u-13-1
sw4101A-ms98-a-0021,147.478250,148.182875,generally,B,sd,u-15-1
sw4101A-ms98-a-0021,148.182875,148.496500,the,I,sd,u-15-1
sw4101A-ms98-a-0021,148.496500,148.847625,uh,I,sd,u-15-1
sw4101A-ms98-a-0022,149.688625,149.798625,the,I,sd,u-15-1
sw4101A-ms98-a-0022,149.798625,150.568625,handicapped,I,sd,u-15-1
sw4101A-ms98-a-0022,150.568625,151.188625,group,I,sd,u-15-1
sw4101A-ms98-a-0022,151.528625,151.818625,takes,I,sd,u-15-1
sw4101A-ms98-a-0022,151.818625,152.111125,care,I,sd,u-15-1
sw4101A-ms98-a-0022,152.111125,152.276875,of,I,sd,u-15-1
sw4101A-ms98-a-0022,152.276875,152.528625,the,I,sd,u-15-1
sw4101A-ms98-a-0022,152.528625,152.878625,things,I,sd,u-15-1
sw4101A-ms98-a-0022,152.878625,152.988625,that,I,sd,u-15-1
sw4101A-ms98-a-0022,152.988625,153.617375,actually,B,sd,u-15-2
sw4101A-ms98-a-0022,153.945125,154.028625,the,I,sd,u-15-2
sw4101A-ms98-a-0022,154.028625,154.488625,government,I,sd,u-15-2
sw4101A-ms98-a-0022,154.488625,154.638625,has,I,sd,u-15-2
sw4101A-ms98-a-0022,154.638625,155.246750,placed,I,sd,u-15-2
sw4101A-ms98-a-0022,155.246750,155.389875,a,I,sd,u-15-2
sw4101A-ms98-a-0022,155.389875,156.152000,deposit,I,sd,u-15-2
sw4101A-ms98-a-0022,156.735750,156.938625,which,I,sd,u-15-2
sw4101A-ms98-a-0022,156.938625,157.098625,is,I,sd,u-15-2
sw4101A-ms98-a-0022,157.098625,157.168625,the,I,sd,u-15-2
sw4101A-ms98-a-0022,157.168625,157.688625,inducement,I,sd,u-15-2
sw4101A-ms98-a-0022,157.688625,157.838625,to,I,sd,u-15-2
sw4101A-ms98-a-0022,157.838625,158.065125,re[cycle]-,I,sd,u-15-2
sw4101A-ms98-a-0022,158.245875,158.788625,recycle,I,sd,u-15-2
sw4101A-ms98-a-0022,158.788625,158.848625,the,I,sd,u-15-2
sw4101A-ms98-a-0022,158.848625,159.198625,bottle,I,sd,u-15-2
sw4101A-ms98-a-0022,159.198625,159.388625,so,I,sd,u-15-2
sw4101A-ms98-a-0022,159.388625,159.518625,that,I,sd,u-15-2
sw4101A-ms98-a-0022,159.518625,159.638625,you,I,sd,u-15-2
sw4101A-ms98-a-0022,159.638625,159.818625,get,I,sd,u-15-2
sw4101A-ms98-a-0022,159.818625,159.928625,your,I,sd,u-15-2
sw4101A-ms98-a-0022,159.928625,160.128625,money,I,sd,u-15-2
sw4101A-ms98-a-0022,160.128625,160.588625,back,I,sd,u-15-2
sw4101A-ms98-a-0023,161.719500,162.039625,and,B,sd,u-15-3
sw4101A-ms98-a-0023,162.039625,162.239625,then,I,sd,u-15-3
sw4101A-ms98-a-0023,162.239625,162.319625,the,I,sd,u-15-3
sw4101A-ms98-a-0023,162.319625,163.075000,recycler,I,sd,u-15-3
sw4101A-ms98-a-0023,163.854125,164.069625,run,I,sd,u-15-3
sw4101A-ms98-a-0023,164.069625,164.239625,by,I,sd,u-15-3
sw4101A-ms98-a-0023,164.239625,164.409625,the,I,sd,u-15-3
sw4101A-ms98-a-0023,164.409625,164.899625,handicapped,I,sd,u-15-3
sw4101A-ms98-a-0023,164.899625,165.463875,society,I,sd,u-15-3
sw4101A-ms98-a-0023,166.172000,166.479625,pays,I,sd,u-15-3
sw4101A-ms98-a-0023,166.479625,166.899625,back,I,sd,u-15-3
sw4101A-ms98-a-0023,166.899625,167.160875,the,I,sd,u-15-3
sw4101A-ms98-a-0023,167.537500,167.969625,cost,I,sd,u-15-3
sw4101A-ms98-a-0023,167.969625,168.089625,of,I,sd,u-15-3
sw4101A-ms98-a-0023,168.089625,168.329625,that,I,sd,u-15-3
sw4101A-ms98-a-0023,168.329625,169.029250,deposit,I,sd,u-15-3
sw4101A-ms98-a-0024,169.486250,169.576250,and,B,sd,u-15-4
sw4101A-ms98-a-0024,169.576250,169.696250,then,I,sd,u-15-4
sw4101A-ms98-a-0024,169.696250,169.736250,i,I,sd,u-15-4
sw4101A-ms98-a-0024,169.736250,169.858000,have,I,sd,u-15-4
sw4101A-ms98-a-0024,169.858000,170.019875,a,I,sd,u-15-4
sw4101A-ms98-a-0024,170.019875,170.198000,then,I,sd,u-15-4
sw4101A-ms98-a-0024,170.198000,170.390125,then,I,sd,u-15-4
sw4101A-ms98-a-0024,170.390125,170.556250,they,I,sd,u-15-4
sw4101A-ms98-a-0024,170.556250,170.706250,in,I,sd,u-15-4
sw4101A-ms98-a-0024,170.706250,171.279125,turn,I,sd,u-15-4
sw4101A-ms98-a-0024,171.490125,171.656250,will,I,sd,u-15-4
sw4101A-ms98-a-0024,171.656250,171.996250,get,I,sd,u-15-4
sw4101A-ms98-a-0024,172.366250,172.636250,some,I,sd,u-15-4
sw4101A-ms98-a-0024,172.636250,172.876250,money,I,sd,u-15-4
sw4101A-ms98-a-0024,172.876250,173.106250,from,I,sd,u-15-4
sw4101A-ms98-a-0024,173.106250,173.166250,the,I,sd,u-15-4
sw4101A-ms98-a-0024,173.166250,173.803000,bottlers,I,sd,u-15-4
sw4101A-ms98-a-0024,173.803000,173.906000,and,I,sd,u-15-4
sw4101A-ms98-a-0024,173.906000,174.049125,from,I,sd,u-15-4
sw4101A-ms98-a-0024,174.049125,174.347375,the,I,sd,u-15-4
sw4101A-ms98-a-0024,175.021250,175.166250,the,I,sd,u-15-4
sw4101A-ms98-a-0024,175.166250,175.526250,people,I,sd,u-15-4
sw4101A-ms98-a-0024,175.526250,175.906250,that,I,sd,u-15-4
sw4101A-ms98-a-0024,175.906250,176.056250,do,I,sd,u-15-4
sw4101A-ms98-a-0024,176.056250,176.380000,the,I,sd,u-15-4
sw4101A-ms98-a-0024,176.794375,177.166250,canning,I,sd,u-15-4
sw4101A-ms98-a-0024,177.166250,177.285500,of,I,sd,u-15-4
sw4101A-ms98-a-0024,177.285500,177.390875,the,I,sd,u-15-4
sw4101A-ms98-a-0024,177.390875,177.726250,pop,I,sd,u-15-4
sw4101A-ms98-a-0024,177.726250,177.826250,and,I,sd,u-15-4
sw4101A-ms98-a-0024,177.826250,177.896250,the,I,sd,u-15-4
sw4101A-ms98-a-0024,177.896250,178.216250,beer,I,sd,u-15-4
sw4101A-ms98-a-0024,178.216250,178.356250,as,I,sd,u-15-4
sw4101A-ms98-a-0024,178.356250,178.416250,as,I,sd,u-15-4
sw4101A-ms98-a-0024,178.416250,178.676250,well,I,sd,u-15-4
sw4101A-ms98-a-0026,213.392625,213.528750,um,O,,
sw4101A-ms98-a-0026,213.528750,213.721250,yeah,B,b,u-17-1
sw4101A-ms98-a-0026,214.682250,215.005875,um,B,sd,u-17-2
sw4101A-ms98-a-0026,215.876875,216.045750,i,I,sd,u-17-2
sw4101A-ms98-a-0026,216.045750,216.285750,guess,I,sd,u-17-2
