sw3508B-ms98-a-0003,2.853125,3.628500,yes,B,aa,u-2-1
sw3508B-ms98-a-0019,73.360875,73.860875,collected,I,+,u-32-1
sw3508B-ms98-a-0019,73.860875,74.071500,it,I,+,u-32-1
sw3508B-ms98-a-0020,74.805125,75.325125,and,B,%,u-34-1
sw3508B-ms98-a-0020,75.325125,75.542500,uh,I,%,u-34-1
sw3508B-ms98-a-0020,75.960500,76.085125,my,B,sd,u-36-1
sw3508B-ms98-a-0020,76.085125,76.555125,garage,I,sd,u-36-1
sw3508B-ms98-a-0020,76.555125,76.705125,was,I,sd,u-36-1
sw3508B-ms98-a-0020,76.705125,76.885125,just,I,sd,u-36-1
sw3508B-ms98-a-0020,76.885125,77.235125,getting,I,sd,u-36-1
sw3508B-ms98-a-0020,77.235125,77.915125,overwhelmed,I,sd,u-36-1
sw3508B-ms98-a-0020,77.915125,78.115125,and,B,sd,u-38-1
sw3508B-ms98-a-0020,78.115125,78.175125,of,I,sd,u-38-1
sw3508B-ms98-a-0020,78.175125,78.385125,course,I,sd,u-38-1
sw3508B-ms98-a-0020,78.385125,78.455125,i,I,sd,u-38-1
sw3508B-ms98-a-0020,78.455125,78.775125,didn't,I,sd,u-38-1
sw3508B-ms98-a-0020,78.775125,78.955125,go,I,sd,u-38-1
sw3508B-ms98-a-0020,78.955125,79.585125,weekly,I,sd,u-38-1
sw3508B-ms98-a-0020,79.585125,79.865125,so,B,sd,u-38-2
sw3508B-ms98-a-0020,79.865125,80.045125,it,I,sd,u-38-2
sw3508B-ms98-a-0020,80.045125,80.565125,became,I,sd,u-38-2
sw3508B-ms98-a-0020,80.565125,80.789125,quite,I,sd,u-38-2
sw3508B-ms98-a-0020,80.789125,80.928500,a,I,sd,u-38-2
sw3508B-ms98-a-0020,80.928500,81.135125,big,I,sd,u-38-2
sw3508B-ms98-a-0020,81.135125,82.365125,thing,B,+,u-40-1
sw3508B-ms98-a-0020,82.365125,82.625125,and,B,%,u-40-2
sw3508B-ms98-a-0020,82.625125,82.845000,uh,I,%,u-40-2
sw3508B-ms98-a-0022,90.120875,90.849750,yes,B,b,u-42-1
sw3508B-ms98-a-0022,91.211375,91.689000,yeah,B,b,u-42-2
sw3508B-ms98-a-0024,94.543500,95.069250,uh-huh,B,b,u-44-1
sw3508B-ms98-a-0026,101.420750,101.820750,yeah,B,aa,u-46-1
sw3508B-ms98-a-0026,101.820750,101.981375,well,B,sd,u-46-2
sw3508B-ms98-a-0026,101.981375,102.188500,i,I,sd,u-46-2
sw3508B-ms98-a-0026,102.188500,102.600750,found,I,sd,u-46-2
sw3508B-ms98-a-0026,102.600750,102.800750,out,I,sd,u-46-2
sw3508B-ms98-a-0026,102.800750,103.160750,after,I,sd,u-46-2
sw3508B-ms98-a-0026,103.160750,103.650750,washing,I,sd,u-46-2
sw3508B-ms98-a-0026,103.650750,103.860750,out,I,sd,u-46-2
sw3508B-ms98-a-0026,103.860750,104.200750,many,I,sd,u-46-2
sw3508B-ms98-a-0026,104.200750,104.250750,a,I,sd,u-46-2
sw3508B-ms98-a-0026,104.250750,104.620750,peanut,I,sd,u-46-2
sw3508B-ms98-a-0026,104.620750,104.850750,butter,I,sd,u-46-2
sw3508B-ms98-a-0026,104.850750,105.380750,jar,I,sd,u-46-2
sw3508B-ms98-a-0026,105.380750,105.580750,that,I,sd,u-46-2
sw3508B-ms98-a-0026,105.580750,105.760750,they're,I,sd,u-46-2
sw3508B-ms98-a-0026,105.760750,106.178500,not,I,sd,u-46-2
sw3508B-ms98-a-0026,106.321625,106.450750,a,I,sd,u-46-2
sw3508B-ms98-a-0026,106.450750,107.340750,recycling,I,sd,u-46-2
sw3508B-ms98-a-0026,107.340750,107.680750,number,I,sd,u-46-2
sw3508B-ms98-a-0026,107.680750,107.940750,one,I,sd,u-46-2
sw3508B-ms98-a-0026,107.940750,108.020750,or,I,sd,u-46-2
sw3508B-ms98-a-0026,108.020750,108.529750,two,I,sd,u-46-2
sw3508B-ms98-a-0027,109.419000,109.569000,uh,B,b^m,u-48-1
sw3508B-ms98-a-0027,109.569000,110.139000,ha,I,b^m,u-48-1
sw3508B-ms98-a-0027,110.139000,110.419000,so,B,sd@,u-48-2
sw3508B-ms98-a-0027,110.419000,110.589000,it,I,sd@,u-48-2
sw3508B-ms98-a-0027,110.589000,110.879000,was,I,sd@,u-48-2
sw3508B-ms98-a-0027,110.879000,111.299000,wasting,I,sd@,u-48-2
sw3508B-ms98-a-0027,111.299000,111.349000,a,I,sd@,u-48-2
sw3508B-ms98-a-0027,111.349000,111.519000,lot,I,sd@,u-48-2
sw3508B-ms98-a-0027,111.519000,111.619000,of,I,sd@,u-48-2
sw3508B-ms98-a-0027,111.619000,111.919000,time,I,sd@,u-48-2
sw3508B-ms98-a-0028,112.827250,113.291125,yeah,B,+@,u-50-1
sw3508B-ms98-a-0028,113.438750,113.797250,thinking,B,sd,u-52-1
sw3508B-ms98-a-0028,113.797250,113.937250,i,I,sd,u-52-1
sw3508B-ms98-a-0028,113.937250,114.137250,was,I,sd,u-52-1
sw3508B-ms98-a-0028,114.137250,114.497250,safe,I,sd,u-52-1
sw3508B-ms98-a-0028,114.497250,114.637250,in,I,sd,u-52-1
sw3508B-ms98-a-0028,114.637250,114.946000,buying,I,sd,u-52-1
sw3508B-ms98-a-0028,114.946000,115.194625,those,I,sd,u-52-1
sw3508B-ms98-a-0028,115.194625,115.687250,jars,I,sd,u-52-1
sw3508B-ms98-a-0028,115.687250,115.807250,as,I,sd,u-52-1
sw3508B-ms98-a-0028,115.807250,115.957250,far,I,sd,u-52-1
sw3508B-ms98-a-0028,115.957250,116.185125,as,I,sd,u-52-1
sw3508B-ms98-a-0028,116.185125,116.448750,the,I,sd,u-52-1
sw3508B-ms98-a-0028,116.448750,117.197250,environment,I,sd,u-52-1
sw3508B-ms98-a-0028,117.197250,117.307250,was,I,sd,u-52-1
sw3508B-ms98-a-0028,117.307250,117.881375,concerned,I,sd,u-52-1
sw3508B-ms98-a-0029,118.563625,118.913625,but,B,sd,u-54-1
sw3508B-ms98-a-0029,118.913625,119.198500,uh,I,sd,u-54-1
sw3508B-ms98-a-0029,119.545000,119.713625,you,I,sd,u-54-1
sw3508B-ms98-a-0029,119.713625,119.873625,know,I,sd,u-54-1
sw3508B-ms98-a-0029,119.873625,120.093625,but,I,sd,u-54-1
sw3508B-ms98-a-0029,120.093625,120.353625,it,I,sd,u-54-1
sw3508B-ms98-a-0029,120.353625,120.533625,it's,I,sd,u-54-1
sw3508B-ms98-a-0029,120.533625,120.783625,not,I,sd,u-54-1
sw3508B-ms98-a-0029,120.783625,120.973625,that,I,sd,u-54-1
sw3508B-ms98-a-0029,120.973625,121.303625,hard,I,sd,u-54-1
sw3508B-ms98-a-0029,121.303625,121.493625,now,I,sd,u-54-1
sw3508B-ms98-a-0029,121.493625,121.643625,that,I,sd,u-54-1
sw3508B-ms98-a-0029,121.643625,121.813625,i've,I,sd,u-54-1
sw3508B-ms98-a-0029,121.813625,122.133625,got,I,sd,u-54-1
sw3508B-ms98-a-0029,122.133625,122.508375,this,I,sd,u-54-1
sw3508B-ms98-a-0029,122.918875,123.433625,system,B,+,u-56-1
sw3508B-ms98-a-0029,123.433625,123.663625,under,I,+,u-56-1
sw3508B-ms98-a-0029,123.663625,124.343625,control,I,+,u-56-1
sw3508B-ms98-a-0029,124.343625,124.764500,yeah,B,b,u-58-1
sw3508B-ms98-a-0031,138.920875,139.710500,ah,O,,
sw3508B-ms98-a-0031,139.898875,140.689750,uh-huh,B,b,u-60-1
sw3508B-ms98-a-0033,143.876875,144.216875,yeah,B,b,u-62-1
sw3508B-ms98-a-0033,144.216875,144.386875,i,B,sd,u-62-2
sw3508B-ms98-a-0033,144.386875,144.586875,do,I,sd,u-62-2
sw3508B-ms98-a-0033,144.586875,144.886875,find,I,sd,u-62-2
sw3508B-ms98-a-0033,144.886875,144.996875,that,I,sd,u-62-2
sw3508B-ms98-a-0033,144.996875,145.086875,i,I,sd,u-62-2
sw3508B-ms98-a-0033,145.086875,145.336875,don't,I,sd,u-62-2
sw3508B-ms98-a-0033,145.336875,145.536875,have,I,sd,u-62-2
sw3508B-ms98-a-0033,145.536875,145.716875,as,I,sd,u-62-2
sw3508B-ms98-a-0033,145.716875,146.006875,much,I,sd,u-62-2
sw3508B-ms98-a-0033,146.006875,146.146875,to,I,sd,u-62-2
sw3508B-ms98-a-0033,146.146875,146.466875,throw,I,sd,u-62-2
sw3508B-ms98-a-0033,146.466875,146.906875,away,I,sd,u-62-2
sw3508B-ms98-a-0033,146.906875,147.499000,because,B,+,u-64-1
sw3508B-ms98-a-0033,147.499000,147.606875,the,O,,
sw3508B-ms98-a-0033,147.606875,147.826875,all,B,+,u-66-1
sw3508B-ms98-a-0033,147.826875,147.976875,the,I,+,u-66-1
sw3508B-ms98-a-0033,147.976875,148.386875,bulky,I,+,u-66-1
sw3508B-ms98-a-0033,148.386875,148.846875,things,I,+,u-66-1
sw3508B-ms98-a-0033,148.846875,149.246875,are,I,+,u-66-1
sw3508B-ms98-a-0033,149.246875,149.406875,are,I,+,u-66-1
sw3508B-ms98-a-0033,149.406875,149.666875,being,B,+,u-68-1
sw3508B-ms98-a-0033,149.666875,150.086875,tossed,I,+,u-68-1
sw3508B-ms98-a-0033,150.086875,150.246875,in,I,+,u-68-1
sw3508B-ms98-a-0033,150.246875,150.376875,with,B,+,u-70-1
sw3508B-ms98-a-0033,150.376875,150.506875,the,I,+,u-70-1
sw3508B-ms98-a-0033,150.506875,151.238000,recycling,I,+,u-70-1
sw3508B-ms98-a-0033,151.938000,152.376875,and,B,sd,u-70-2
sw3508B-ms98-a-0033,152.376875,152.639875,uh,I,sd,u-70-2
sw3508B-ms98-a-0034,153.536250,153.686250,i,I,sd,u-70-2
sw3508B-ms98-a-0034,153.686250,153.896250,don't,I,sd,u-70-2
sw3508B-ms98-a-0034,153.896250,154.096250,know,I,sd,u-70-2
sw3508B-ms98-a-0034,154.096250,154.306250,what,I,sd,u-70-2
sw3508B-ms98-a-0034,154.306250,154.416250,they,I,sd,u-70-2
sw3508B-ms98-a-0034,154.416250,154.656250,could,I,sd,u-70-2
sw3508B-ms98-a-0034,154.656250,154.796250,do,I,sd,u-70-2
sw3508B-ms98-a-0034,154.796250,155.336250,more,I,sd,u-70-2
sw3508B-ms98-a-0034,155.336250,155.786250,of,I,sd,u-70-2
sw3508B-ms98-a-0034,155.786250,156.626250,exactly,I,sd,u-70-2
sw3508B-ms98-a-0034,156.626250,156.996250,around,I,sd,u-70-2
sw3508B-ms98-a-0034,156.996250,157.196250,here,I,sd,u-70-2
sw3508B-ms98-a-0034,157.196250,157.436250,right,I,sd,u-70-2
sw3508B-ms98-a-0034,157.436250,157.966250,now,I,sd,u-70-2
sw3508B-ms98-a-0034,157.966250,158.186250,other,I,sd,u-70-2
sw3508B-ms98-a-0034,158.186250,158.526250,than,I,sd,u-70-2
sw3508B-ms98-a-0034,158.526250,158.830125,uh,I,sd,u-70-2
sw3508B-ms98-a-0034,159.655000,159.816250,what,B,t1,u-70-3
sw3508B-ms98-a-0034,159.816250,159.916250,are,I,t1,u-70-3
sw3508B-ms98-a-0034,159.916250,160.126250,some,I,t1,u-70-3
sw3508B-ms98-a-0034,160.126250,160.206250,of,I,t1,u-70-3
sw3508B-ms98-a-0034,160.206250,160.266250,the,I,t1,u-70-3
sw3508B-ms98-a-0034,160.266250,160.476250,things,I,t1,u-70-3
sw3508B-ms98-a-0034,160.476250,160.596250,they,I,t1,u-70-3
sw3508B-ms98-a-0034,160.596250,161.026250,don't,I,t1,u-70-3
sw3508B-ms98-a-0034,161.026250,161.696250,recycle,I,t1,u-70-3
sw3508B-ms98-a-0034,161.696250,162.026250,oh,B,sd,u-70-4
sw3508B-ms98-a-0034,162.026250,162.196250,one,I,sd,u-70-4
sw3508B-ms98-a-0034,162.196250,162.376250,thing,I,sd,u-70-4
sw3508B-ms98-a-0034,162.376250,162.456250,i,I,sd,u-70-4
sw3508B-ms98-a-0034,162.456250,162.686250,thought,I,sd,u-70-4
sw3508B-ms98-a-0034,162.686250,162.896250,about,I,sd,u-70-4
sw3508B-ms98-a-0034,162.896250,162.976250,the,I,sd,u-70-4
sw3508B-ms98-a-0034,162.976250,163.126250,other,I,sd,u-70-4
sw3508B-ms98-a-0034,163.126250,163.316250,day,I,sd,u-70-4
sw3508B-ms98-a-0034,163.316250,163.626250,were,I,sd,u-70-4
sw3508B-ms98-a-0034,163.626250,164.246250,batteries,I,sd,u-70-4
sw3508B-ms98-a-0034,164.246250,164.496250,just,B,sd,u-70-5
sw3508B-ms98-a-0034,164.496250,165.312875,everyday,I,sd,u-70-5
sw3508B-ms98-a-0034,165.440875,165.836250,regular,I,sd,u-70-5
sw3508B-ms98-a-0034,165.836250,166.563000,batteries,I,sd,u-70-5
sw3508B-ms98-a-0035,167.057875,167.877875,supposedly,B,+,u-72-1
sw3508B-ms98-a-0035,167.877875,168.030500,you,I,+,u-72-1
sw3508B-ms98-a-0035,168.030500,168.256500,know,I,+,u-72-1
sw3508B-ms98-a-0035,168.256500,168.667875,leak,I,+,u-72-1
sw3508B-ms98-a-0035,168.667875,168.887875,and,I,+,u-72-1
sw3508B-ms98-a-0035,168.887875,169.177875,and,I,+,u-72-1
sw3508B-ms98-a-0035,169.177875,170.177875,contaminate,I,+,u-72-1
sw3508B-ms98-a-0035,170.177875,170.482750,the,B,+,u-74-1
sw3508B-ms98-a-0035,170.859375,171.714250,landfills,I,+,u-74-1
sw3508B-ms98-a-0035,172.149500,172.377875,and,B,qh,u-74-2
sw3508B-ms98-a-0035,172.377875,172.757875,yet,I,qh,u-74-2
sw3508B-ms98-a-0035,172.757875,172.957875,what,I,qh,u-74-2
sw3508B-ms98-a-0035,172.957875,173.087875,am,I,qh,u-74-2
sw3508B-ms98-a-0035,173.087875,173.167875,i,I,qh,u-74-2
sw3508B-ms98-a-0035,173.167875,173.307875,going,I,qh,u-74-2
sw3508B-ms98-a-0035,173.307875,173.397875,to,I,qh,u-74-2
sw3508B-ms98-a-0035,173.397875,173.627875,do,I,qh,u-74-2
sw3508B-ms98-a-0035,173.627875,173.787875,when,I,qh,u-74-2
sw3508B-ms98-a-0035,173.787875,173.867875,i,I,qh,u-74-2
sw3508B-ms98-a-0035,173.867875,174.127875,have,I,qh,u-74-2
sw3508B-ms98-a-0035,174.127875,174.347875,a,I,qh,u-74-2
sw3508B-ms98-a-0035,174.347875,174.757875,couple,I,qh,u-74-2
sw3508B-ms98-a-0035,174.757875,175.117875,double,I,qh,u-74-2
sw3508B-ms98-a-0035,175.117875,175.257875,A,I,qh,u-74-2
sw3508B-ms98-a-0035,175.257875,175.797875,batteries,I,qh,u-74-2
sw3508B-ms98-a-0035,175.797875,175.945125,to,I,qh,u-74-2
sw3508B-ms98-a-0035,175.945125,176.310375,toss,I,qh,u-74-2
sw3508B-ms98-a-0035,176.310375,176.814000,out,I,qh,u-74-2
sw3508B-ms98-a-0035,177.284875,177.457875,and,B,sd,u-76-1
sw3508B-ms98-a-0035,177.457875,177.557875,they,I,sd,u-76-1
sw3508B-ms98-a-0035,177.557875,177.837875,don't,I,sd,u-76-1
sw3508B-ms98-a-0035,177.837875,178.077875,take,I,sd,u-76-1
sw3508B-ms98-a-0036,179.188375,179.818375,yeah,B,aa,u-78-1
sw3508B-ms98-a-0036,179.818375,180.078375,that's,B,sd,u-78-2
sw3508B-ms98-a-0036,180.078375,180.228375,what,I,sd,u-78-2
sw3508B-ms98-a-0036,180.228375,180.778375,happens,I,sd,u-78-2
sw3508B-ms98-a-0036,180.778375,181.148375,because,B,%,u-78-3
sw3508B-ms98-a-0038,184.179750,184.689750,yeah,B,b,u-80-1
sw3508B-ms98-a-0040,191.629250,192.066500,yeah,B,aa,u-82-1
sw3508B-ms98-a-0040,192.197000,192.517250,yeah,B,aa^r,u-82-2
sw3508B-ms98-a-0040,192.675375,192.819250,but,B,sv,u-82-3
sw3508B-ms98-a-0040,192.819250,192.899250,i,I,sv,u-82-3
sw3508B-ms98-a-0040,192.899250,193.159250,think,I,sv,u-82-3
sw3508B-ms98-a-0040,193.159250,193.269250,the,I,sv,u-82-3
sw3508B-ms98-a-0040,193.269250,193.669250,city,I,sv,u-82-3
sw3508B-ms98-a-0040,193.669250,193.999250,one,I,sv,u-82-3
sw3508B-ms98-a-0040,193.999250,194.269250,could,I,sv,u-82-3
sw3508B-ms98-a-0040,194.269250,194.799250,possibly,I,sv,u-82-3
sw3508B-ms98-a-0040,194.799250,195.019250,look,I,sv,u-82-3
sw3508B-ms98-a-0040,195.019250,195.279250,into,I,sv,u-82-3
sw3508B-ms98-a-0040,195.279250,195.659250,that,I,sv,u-82-3
sw3508B-ms98-a-0040,195.659250,195.729250,or,I,sv,u-82-3
sw3508B-ms98-a-0040,195.729250,196.266375,something,I,sv,u-82-3
sw3508B-ms98-a-0041,196.793625,197.143625,uh,B,sd,u-84-1
sw3508B-ms98-a-0041,197.143625,197.443625,if,I,sd,u-84-1
sw3508B-ms98-a-0041,197.443625,197.603625,they've,I,sd,u-84-1
sw3508B-ms98-a-0041,197.603625,197.853625,got,I,sd,u-84-1
sw3508B-ms98-a-0041,197.853625,198.043625,these,I,sd,u-84-1
sw3508B-ms98-a-0041,198.043625,198.363625,bins,I,sd,u-84-1
sw3508B-ms98-a-0041,198.363625,198.536250,for,I,sd,u-84-1
sw3508B-ms98-a-0041,198.536250,198.678000,all,I,sd,u-84-1
sw3508B-ms98-a-0041,198.678000,198.798500,the,I,sd,u-84-1
sw3508B-ms98-a-0041,198.798500,199.103625,other,I,sd,u-84-1
sw3508B-ms98-a-0041,199.103625,199.613625,little,I,sd,u-84-1
sw3508B-ms98-a-0041,199.613625,200.003625,items,I,sd,u-84-1
sw3508B-ms98-a-0041,200.003625,200.133625,i'm,B,sv,u-84-2
sw3508B-ms98-a-0041,200.133625,200.412375,sure,I,sv,u-84-2
sw3508B-ms98-a-0041,200.412375,200.563000,if,I,sv,u-84-2
sw3508B-ms98-a-0041,200.563000,200.753625,p[eople]-,I,sv,u-84-2
sw3508B-ms98-a-0041,200.753625,201.053625,people,I,sv,u-84-2
sw3508B-ms98-a-0041,201.053625,201.183625,will,I,sv,u-84-2
sw3508B-ms98-a-0041,201.183625,201.407750,have,I,sv,u-84-2
sw3508B-ms98-a-0041,201.407750,202.063000,batteries,I,sv,u-84-2
sw3508B-ms98-a-0041,202.063000,202.310250,uh,I,sv,u-84-2
sw3508B-ms98-a-0041,202.487250,202.633625,you,I,sv,u-84-2
sw3508B-ms98-a-0041,202.633625,202.935250,know,I,sv,u-84-2
sw3508B-ms98-a-0041,203.168875,203.413625,quite,I,sv,u-84-2
sw3508B-ms98-a-0041,203.413625,203.913625,often,I,sv,u-84-2
sw3508B-ms98-a-0041,203.913625,204.063625,to,B,+,u-86-1
sw3508B-ms98-a-0041,204.223625,204.313625,to,I,+,u-86-1
sw3508B-ms98-a-0041,204.313625,204.703625,toss,I,+,u-86-1
sw3508B-ms98-a-0041,204.703625,204.928875,out,I,+,u-86-1
sw3508B-ms98-a-0043,214.700000,215.212750,uh-huh,B,b,u-88-1
sw3508B-ms98-a-0045,222.562625,223.264000,oh,B,b,u-90-1
sw3508B-ms98-a-0047,225.014625,225.154625,oh,B,bh,u-92-1
sw3508B-ms98-a-0047,225.154625,225.340875,is,I,bh,u-92-1
sw3508B-ms98-a-0047,225.340875,225.504625,that,I,bh,u-92-1
sw3508B-ms98-a-0047,225.504625,226.144625,right,I,bh,u-92-1
sw3508B-ms98-a-0049,232.341500,232.881500,huh,B,%,u-94-1
sw3508B-ms98-a-0050,234.389250,235.089250,registering,B,bf,u-96-1
sw3508B-ms98-a-0050,235.089250,235.263625,our,I,bf,u-96-1
sw3508B-ms98-a-0050,235.263625,235.836125,garbage,I,bf,u-96-1
sw3508B-ms98-a-0050,235.836125,236.201375,[laughter],O,,
sw3508B-ms98-a-0052,238.626000,239.232000,yeah,B,b,u-98-1
sw3508B-ms98-a-0052,239.608625,240.066000,wouldn't,B,qh,u-100-1
sw3508B-ms98-a-0052,240.066000,240.126000,it,I,qh,u-100-1
sw3508B-ms98-a-0052,240.126000,240.246000,be,I,qh,u-100-1
sw3508B-ms98-a-0052,240.246000,240.546000,nice,I,qh,u-100-1
sw3508B-ms98-a-0052,240.546000,240.656000,if,I,qh,u-100-1
sw3508B-ms98-a-0052,240.656000,240.776000,you,I,qh,u-100-1
sw3508B-ms98-a-0052,240.776000,240.916000,could,I,qh,u-100-1
sw3508B-ms98-a-0052,240.916000,241.046000,get,I,qh,u-100-1
sw3508B-ms98-a-0052,241.046000,241.096000,a,I,qh,u-100-1
sw3508B-ms98-a-0052,241.096000,241.556000,credit,I,qh,u-100-1
