sw3659A-ms98-a-0001,0.032500,0.490000,set,B,o,u-1-1
sw3659A-ms98-a-0012,58.298625,58.408625,and,I,sd,u-25-2
sw3659A-ms98-a-0012,58.408625,58.678625,clear,I,sd,u-25-2
sw3659A-ms98-a-0012,58.678625,59.078625,glass,I,sd,u-25-2
sw3659A-ms98-a-0012,59.078625,59.188625,and,I,sd,u-25-2
sw3659A-ms98-a-0012,59.188625,59.698625,plastic,I,sd,u-25-2
sw3659A-ms98-a-0012,59.698625,59.788625,and,I,sd,u-25-2
sw3659A-ms98-a-0012,59.788625,60.326875,everything,I,sd,u-25-2
sw3659A-ms98-a-0013,61.007875,61.097375,but,O,,
sw3659A-ms98-a-0013,61.097375,61.233250,um,O,,
sw3659A-ms98-a-0013,61.507875,61.757875,well,B,sd,u-27-1
sw3659A-ms98-a-0013,61.757875,62.187875,there's,I,sd,u-27-1
sw3659A-ms98-a-0013,62.187875,62.394875,there's,I,sd,u-27-1
sw3659A-ms98-a-0013,62.394875,62.484625,a,I,sd,u-27-1
sw3659A-ms98-a-0013,62.484625,62.797875,couple,I,sd,u-27-1
sw3659A-ms98-a-0013,62.797875,63.407875,places,I,sd,u-27-1
sw3659A-ms98-a-0013,63.407875,63.977875,unfortunately,B,sd,u-27-2
sw3659A-ms98-a-0013,63.977875,64.057875,we,I,sd,u-27-2
sw3659A-ms98-a-0013,64.057875,64.297875,can't,I,sd,u-27-2
sw3659A-ms98-a-0013,64.297875,64.487875,find,I,sd,u-27-2
sw3659A-ms98-a-0013,64.487875,64.517875,a,I,sd,u-27-2
sw3659A-ms98-a-0013,64.517875,64.767875,place,I,sd,u-27-2
sw3659A-ms98-a-0013,64.767875,64.937875,that'll,I,sd,u-27-2
sw3659A-ms98-a-0013,64.937875,65.167875,take,I,sd,u-27-2
sw3659A-ms98-a-0013,65.167875,65.831375,everything,I,sd,u-27-2
sw3659A-ms98-a-0014,66.447875,66.763625,um,B,sd,u-29-1
sw3659A-ms98-a-0014,66.902500,67.047875,there's,I,sd,u-29-1
sw3659A-ms98-a-0014,67.047875,67.087875,a,I,sd,u-29-1
sw3659A-ms98-a-0014,67.087875,67.307875,lot,I,sd,u-29-1
sw3659A-ms98-a-0014,67.307875,67.367875,of,I,sd,u-29-1
sw3659A-ms98-a-0014,67.367875,67.824750,places,I,sd,u-29-1
sw3659A-ms98-a-0014,67.824750,67.917875,to,I,sd,u-29-1
sw3659A-ms98-a-0014,67.917875,68.467625,take,I,sd,u-29-1
sw3659A-ms98-a-0014,68.747875,68.907875,like,I,sd,u-29-1
sw3659A-ms98-a-0014,68.907875,68.967875,the,I,sd,u-29-1
sw3659A-ms98-a-0014,68.967875,69.692000,plastic,I,sd,u-29-1
sw3659A-ms98-a-0014,69.692000,70.073375,um,I,sd,u-29-1
sw3659A-ms98-a-0014,70.073375,70.487875,shopping,I,sd,u-29-1
sw3659A-ms98-a-0014,70.487875,71.107375,bags,I,sd,u-29-1
sw3659A-ms98-a-0014,71.245625,71.387875,like,B,+,u-31-1
sw3659A-ms98-a-0014,71.387875,71.567875,most,I,+,u-31-1
sw3659A-ms98-a-0014,71.567875,71.627875,of,I,+,u-31-1
sw3659A-ms98-a-0014,71.627875,71.687875,the,I,+,u-31-1
sw3659A-ms98-a-0014,71.687875,72.027875,grocery,I,+,u-31-1
sw3659A-ms98-a-0014,72.027875,72.625250,stores,I,+,u-31-1
sw3659A-ms98-a-0014,73.151250,73.277875,and,B,sd,u-33-1
sw3659A-ms98-a-0014,73.277875,73.427875,there's,I,sd,u-33-1
sw3659A-ms98-a-0014,73.427875,73.507875,a,I,sd,u-33-1
sw3659A-ms98-a-0014,73.507875,74.067875,Wal-Mart,I,sd,u-33-1
sw3659A-ms98-a-0014,74.067875,74.427875,nearby,I,sd,u-33-1
sw3659A-ms98-a-0014,74.427875,74.557875,that,I,sd,u-33-1
sw3659A-ms98-a-0014,74.557875,74.897875,takes,I,sd,u-33-1
sw3659A-ms98-a-0014,74.897875,75.387875,almost,I,sd,u-33-1
sw3659A-ms98-a-0014,75.387875,76.018625,everything,I,sd,u-33-1
sw3659A-ms98-a-0014,76.018625,76.089750,i,B,sd,u-33-2
sw3659A-ms98-a-0014,76.089750,76.237875,can't,I,sd,u-33-2
sw3659A-ms98-a-0014,76.237875,76.560500,remember,I,sd,u-33-2
sw3659A-ms98-a-0014,76.560500,76.680125,what,I,sd,u-33-2
sw3659A-ms98-a-0014,76.680125,76.797875,it,I,sd,u-33-2
sw3659A-ms98-a-0014,76.797875,76.958625,is,I,sd,u-33-2
sw3659A-ms98-a-0014,76.958625,77.070750,they,I,sd,u-33-2
sw3659A-ms98-a-0014,77.070750,77.327875,don't,I,sd,u-33-2
sw3659A-ms98-a-0014,77.327875,77.863500,take,I,sd,u-33-2
sw3659A-ms98-a-0015,78.443000,78.643000,and,B,sd,u-35-1
sw3659A-ms98-a-0015,78.643000,78.703000,the,I,sd,u-35-1
sw3659A-ms98-a-0015,78.703000,79.193000,library,I,sd,u-35-1
sw3659A-ms98-a-0015,79.193000,79.303000,will,I,sd,u-35-1
sw3659A-ms98-a-0015,79.303000,79.473000,take,I,sd,u-35-1
sw3659A-ms98-a-0015,79.473000,80.103000,glass,I,sd,u-35-1
sw3659A-ms98-a-0015,80.253000,80.573000,so,B,sd,u-35-2
sw3659A-ms98-a-0015,80.573000,80.763000,we,I,sd,u-35-2
sw3659A-ms98-a-0015,80.763000,81.003000,end,I,sd,u-35-2
sw3659A-ms98-a-0015,81.003000,81.276875,up,I,sd,u-35-2
sw3659A-ms98-a-0015,81.673125,81.813000,you,I,sd,u-35-2
sw3659A-ms98-a-0015,81.813000,82.003000,know,I,sd,u-35-2
sw3659A-ms98-a-0015,82.003000,82.113000,on,B,sd,u-35-3
sw3659A-ms98-a-0015,82.113000,82.183000,the,I,sd,u-35-3
sw3659A-ms98-a-0015,82.183000,82.563000,weekend,I,sd,u-35-3
sw3659A-ms98-a-0015,82.563000,82.673000,we,I,sd,u-35-3
sw3659A-ms98-a-0015,82.673000,83.043000,pack,I,sd,u-35-3
sw3659A-ms98-a-0015,83.043000,83.113000,it,I,sd,u-35-3
sw3659A-ms98-a-0015,83.113000,83.263000,all,I,sd,u-35-3
sw3659A-ms98-a-0015,83.263000,83.343000,in,I,sd,u-35-3
sw3659A-ms98-a-0015,83.343000,83.403000,the,I,sd,u-35-3
sw3659A-ms98-a-0015,83.403000,83.853000,car,I,sd,u-35-3
sw3659A-ms98-a-0015,83.853000,84.183000,and,B,sd,u-35-4
sw3659A-ms98-a-0015,84.183000,84.333000,and,B,+,u-37-1
sw3659A-ms98-a-0015,84.333000,84.553000,as,I,+,u-37-1
sw3659A-ms98-a-0015,84.553000,84.693000,we,I,+,u-37-1
sw3659A-ms98-a-0015,84.693000,84.893000,go,I,+,u-37-1
sw3659A-ms98-a-0015,84.893000,85.533000,[laughter-places],I,+,u-37-1
sw3659A-ms98-a-0015,85.533000,85.707750,we,I,+,u-37-1
sw3659A-ms98-a-0015,85.954500,86.143000,oh,I,+,u-37-1
sw3659A-ms98-a-0015,86.143000,86.333000,wait,I,+,u-37-1
sw3659A-ms98-a-0015,86.333000,86.423000,we,I,+,u-37-1
sw3659A-ms98-a-0015,86.423000,86.603000,can,I,+,u-37-1
sw3659A-ms98-a-0015,86.603000,86.843000,drop,I,+,u-37-1
sw3659A-ms98-a-0015,86.843000,86.903000,the,I,+,u-37-1
sw3659A-ms98-a-0015,86.903000,87.233000,glass,I,+,u-37-1
sw3659A-ms98-a-0015,87.233000,87.423000,off,I,+,u-37-1
sw3659A-ms98-a-0015,87.423000,87.544250,[laughter],I,+,u-37-1
sw3659A-ms98-a-0015,87.544250,87.736375,you,I,+,u-37-1
sw3659A-ms98-a-0015,87.736375,88.672750,know,I,+,u-37-1
sw3659A-ms98-a-0015,88.672750,88.953125,drop,B,sd,u-39-1
sw3659A-ms98-a-0015,88.953125,89.193000,things,I,sd,u-39-1
sw3659A-ms98-a-0015,89.193000,89.423000,off,I,sd,u-39-1
sw3659A-ms98-a-0015,89.423000,89.583000,one,I,sd,u-39-1
sw3659A-ms98-a-0015,89.583000,89.703000,at,I,sd,u-39-1
sw3659A-ms98-a-0015,89.703000,89.743000,a,I,sd,u-39-1
sw3659A-ms98-a-0015,89.743000,90.371500,time,I,sd,u-39-1
sw3659A-ms98-a-0016,90.946500,91.115250,but,B,sd,u-39-2
sw3659A-ms98-a-0016,91.115250,91.437250,um,I,sd,u-39-2
sw3659A-ms98-a-0016,91.437250,91.525875,and,I,sd,u-39-2
sw3659A-ms98-a-0016,91.525875,91.711750,it's,I,sd,u-39-2
sw3659A-ms98-a-0016,91.711750,91.895500,kind,I,sd,u-39-2
sw3659A-ms98-a-0016,91.895500,92.000125,of,I,sd,u-39-2
sw3659A-ms98-a-0016,92.000125,92.404875,disappointing,I,sd,u-39-2
sw3659A-ms98-a-0016,92.404875,92.558125,i,I,sd,u-39-2
sw3659A-ms98-a-0016,92.558125,92.779250,mean,I,sd,u-39-2
sw3659A-ms98-a-0016,92.779250,92.905250,i,B,sd,u-39-3
sw3659A-ms98-a-0016,92.905250,93.045250,would,I,sd,u-39-3
sw3659A-ms98-a-0016,93.045250,93.245250,even,I,sd,u-39-3
sw3659A-ms98-a-0016,93.245250,93.335250,be,I,sd,u-39-3
sw3659A-ms98-a-0016,93.335250,93.635250,happy,I,sd,u-39-3
sw3659A-ms98-a-0016,93.635250,93.735250,if,I,sd,u-39-3
sw3659A-ms98-a-0016,93.735250,93.835250,they,I,sd,u-39-3
sw3659A-ms98-a-0016,93.835250,93.955250,just,I,sd,u-39-3
sw3659A-ms98-a-0016,93.955250,94.164625,had,I,sd,u-39-3
sw3659A-ms98-a-0016,94.164625,94.614000,one,I,sd,u-39-3
sw3659A-ms98-a-0016,95.070125,95.196000,you,I,sd,u-39-3
sw3659A-ms98-a-0016,95.196000,95.304375,know,I,sd,u-39-3
sw3659A-ms98-a-0016,95.304375,95.575250,one,I,sd,u-39-3
sw3659A-ms98-a-0016,95.575250,95.985250,place,I,sd,u-39-3
sw3659A-ms98-a-0016,95.985250,96.075250,where,I,sd,u-39-3
sw3659A-ms98-a-0016,96.075250,96.135250,you,I,sd,u-39-3
sw3659A-ms98-a-0016,96.135250,96.265250,could,I,sd,u-39-3
sw3659A-ms98-a-0016,96.265250,96.425250,do,I,sd,u-39-3
sw3659A-ms98-a-0016,96.425250,97.124000,everything,I,sd,u-39-3
sw3659A-ms98-a-0016,97.543750,97.634125,you,B,sd,u-39-4
sw3659A-ms98-a-0016,97.634125,97.713250,know,I,sd,u-39-4
sw3659A-ms98-a-0016,97.713250,97.775250,it,I,sd,u-39-4
sw3659A-ms98-a-0016,97.775250,97.865250,would,I,sd,u-39-4
sw3659A-ms98-a-0016,97.865250,98.155250,still,I,sd,u-39-4
sw3659A-ms98-a-0016,98.155250,98.265250,be,I,sd,u-39-4
sw3659A-ms98-a-0016,98.265250,98.425250,more,I,sd,u-39-4
sw3659A-ms98-a-0016,98.425250,98.955250,convenient,I,sd,u-39-4
sw3659A-ms98-a-0016,98.955250,99.175250,than,I,sd,u-39-4
sw3659A-ms98-a-0016,99.175250,99.295250,what,I,sd,u-39-4
sw3659A-ms98-a-0016,99.295250,99.365250,we,I,sd,u-39-4
sw3659A-ms98-a-0016,99.365250,99.635250,have,I,sd,u-39-4
sw3659A-ms98-a-0016,99.635250,100.185250,now,I,sd,u-39-4
sw3659A-ms98-a-0018,109.225500,109.659625,hm,B,%,u-41-1
sw3659A-ms98-a-0018,109.943750,110.170375,where,B,qw,u-43-1
sw3659A-ms98-a-0018,110.170375,110.300375,is,I,qw,u-43-1
sw3659A-ms98-a-0018,110.300375,110.590375,that,I,qw,u-43-1
sw3659A-ms98-a-0020,113.165250,113.756500,oh,B,b,u-45-1
sw3659A-ms98-a-0020,114.057000,114.245500,i'm,B,sd,u-47-1
sw3659A-ms98-a-0020,114.245500,114.475500,pretty,I,sd,u-47-1
sw3659A-ms98-a-0020,114.475500,114.725500,far,I,sd,u-47-1
sw3659A-ms98-a-0020,114.725500,115.255500,north,I,sd,u-47-1
sw3659A-ms98-a-0020,115.255500,115.405500,i'm,B,sd,u-47-2
sw3659A-ms98-a-0020,115.405500,115.735500,not,I,sd,u-47-2
sw3659A-ms98-a-0021,116.342250,116.560625,i'm,I,sd,u-47-2
sw3659A-ms98-a-0021,116.560625,116.859500,i'm,I,sd,u-47-2
sw3659A-ms98-a-0021,117.204125,117.611500,i'm,I,sd,u-47-2
sw3659A-ms98-a-0021,117.611500,117.891500,just,I,sd,u-47-2
sw3659A-ms98-a-0021,117.891500,118.031500,i'm,I,sd,u-47-2
sw3659A-ms98-a-0021,118.031500,118.261500,north,I,sd,u-47-2
sw3659A-ms98-a-0021,118.261500,118.341500,of,I,sd,u-47-2
sw3659A-ms98-a-0021,118.341500,118.861500,Addison,I,sd,u-47-2
sw3659A-ms98-a-0021,118.861500,119.471500,actually,I,sd,u-47-2
sw3659A-ms98-a-0022,119.945250,120.085250,so,B,sd,u-49-1
sw3659A-ms98-a-0022,120.085250,120.205250,i'm,I,sd,u-49-1
sw3659A-ms98-a-0022,120.205250,120.455250,i'm,I,sd,u-49-1
sw3659A-ms98-a-0022,120.455250,120.855250,really,I,sd,u-49-1
sw3659A-ms98-a-0022,120.855250,121.526375,[laughter],O,,
sw3659A-ms98-a-0022,121.526375,121.782500,i'm,B,sd,u-51-1
sw3659A-ms98-a-0022,122.170250,122.405250,s[ort]-,I,sd,u-51-1
sw3659A-ms98-a-0022,122.405250,122.575250,i'm,I,sd,u-51-1
sw3659A-ms98-a-0022,122.575250,122.765250,in,I,sd,u-51-1
sw3659A-ms98-a-0022,122.765250,123.215250,Dallas,I,sd,u-51-1
sw3659A-ms98-a-0022,123.215250,123.505250,but,I,sd,u-51-1
sw3659A-ms98-a-0022,123.505250,123.705250,only,I,sd,u-51-1
sw3659A-ms98-a-0022,123.705250,124.504625,technically,I,sd,u-51-1
sw3659A-ms98-a-0022,124.504625,124.738500,[laughter],O,,
sw3659A-ms98-a-0024,129.099000,129.597250,uh-huh,B,b,u-53-1
sw3659A-ms98-a-0024,129.858000,130.166875,yeah,B,b,u-55-1
sw3659A-ms98-a-0026,133.055125,133.622000,yeah,B,b,u-57-1
sw3659A-ms98-a-0026,133.622000,133.855125,i've,B,sd,u-57-2
sw3659A-ms98-a-0026,133.855125,134.055125,seen,I,sd,u-57-2
sw3659A-ms98-a-0026,134.055125,134.476375,those,I,sd,u-57-2
sw3659A-ms98-a-0028,137.564250,138.092000,yeah,B,b,u-59-1
sw3659A-ms98-a-0030,141.482125,141.752125,yep,O,,
sw3659A-ms98-a-0031,143.653250,143.965125,uh-huh,O,,
sw3659A-ms98-a-0032,145.726750,147.876500,[laughter],O,,
sw3659A-ms98-a-0033,148.843000,149.023000,well,B,sv,u-65-1
sw3659A-ms98-a-0033,149.023000,149.083000,you,I,sv,u-65-1
sw3659A-ms98-a-0033,149.083000,149.218875,get,I,sv,u-65-1
sw3659A-ms98-a-0033,149.218875,149.679750,something,I,sv,u-65-1
sw3659A-ms98-a-0033,149.679750,150.279250,[laughter],O,,
sw3659A-ms98-a-0034,151.240625,151.664000,uh,B,%,u-67-1
sw3659A-ms98-a-0034,151.825875,151.973000,we,B,sd,u-69-1
sw3659A-ms98-a-0034,151.973000,152.193000,used,I,sd,u-69-1
sw3659A-ms98-a-0034,152.193000,152.303000,to,I,sd,u-69-1
sw3659A-ms98-a-0034,152.303000,152.493000,do,I,sd,u-69-1
sw3659A-ms98-a-0034,152.493000,152.923000,that,I,sd,u-69-1
sw3659A-ms98-a-0034,152.923000,153.134125,but,B,sd,u-69-2
sw3659A-ms98-a-0034,153.458000,153.753000,again,I,sd,u-69-2
sw3659A-ms98-a-0034,153.753000,153.933000,that's,I,sd,u-69-2
sw3659A-ms98-a-0034,153.933000,154.263000,another,I,sd,u-69-2
sw3659A-ms98-a-0034,154.263000,154.843000,stop,I,sd,u-69-2
sw3659A-ms98-a-0034,154.843000,154.983000,and,B,sd,u-71-1
sw3659A-ms98-a-0034,154.983000,155.053000,it,I,sd,u-71-1
sw3659A-ms98-a-0034,155.053000,155.343000,doesn't,I,sd,u-71-1
sw3659A-ms98-a-0034,155.343000,155.483000,take,I,sd,u-71-1
sw3659A-ms98-a-0034,155.483000,155.893000,plastic,I,sd,u-71-1
sw3659A-ms98-a-0034,155.893000,156.319375,bags,I,sd,u-71-1
sw3659A-ms98-a-0034,156.319375,156.509000,and,I,sd,u-71-1
sw3659A-ms98-a-0034,156.923000,157.033000,and,I,sd,u-71-1
sw3659A-ms98-a-0034,157.033000,157.153000,all,I,sd,u-71-1
sw3659A-ms98-a-0034,157.153000,157.363625,that,I,sd,u-71-1
sw3659A-ms98-a-0034,157.363625,157.643000,sort,I,sd,u-71-1
sw3659A-ms98-a-0034,157.643000,157.743000,of,I,sd,u-71-1
sw3659A-ms98-a-0034,157.743000,158.153000,thing,I,sd,u-71-1
sw3659A-ms98-a-0034,158.153000,158.393000,but,B,sd,u-71-2
sw3659A-ms98-a-0034,158.393000,158.606875,um,I,sd,u-71-2
sw3659A-ms98-a-0035,158.994875,159.098375,i,I,sd,u-71-2
sw3659A-ms98-a-0035,159.098375,159.328375,think,I,sd,u-71-2
sw3659A-ms98-a-0035,159.328375,159.477000,that,I,sd,u-71-2
sw3659A-ms98-a-0035,159.581250,159.718375,you,I,sd,u-71-2
sw3659A-ms98-a-0035,159.718375,160.021375,know,I,sd,u-71-2
sw3659A-ms98-a-0035,160.021375,160.262500,i,I,sd,u-71-2
sw3659A-ms98-a-0035,160.262500,160.528375,heard,I,sd,u-71-2
sw3659A-ms98-a-0035,160.528375,160.618375,that,I,sd,u-71-2
sw3659A-ms98-a-0035,160.618375,160.688375,it,I,sd,u-71-2
sw3659A-ms98-a-0035,160.688375,160.798375,was,I,sd,u-71-2
sw3659A-ms98-a-0035,160.798375,161.098375,going,I,sd,u-71-2
sw3659A-ms98-a-0035,161.098375,161.478375,well,I,sd,u-71-2
sw3659A-ms98-a-0035,161.478375,161.608375,in,I,sd,u-71-2
sw3659A-ms98-a-0035,161.608375,161.838375,the,I,sd,u-71-2
sw3659A-ms98-a-0035,161.838375,162.428375,pilot,I,sd,u-71-2
sw3659A-ms98-a-0035,162.428375,162.878375,area,I,sd,u-71-2
sw3659A-ms98-a-0035,162.878375,163.138375,wherever,I,sd,u-71-2
sw3659A-ms98-a-0035,163.138375,163.318375,that,I,sd,u-71-2
sw3659A-ms98-a-0035,163.318375,163.559125,is,I,sd,u-71-2
sw3659A-ms98-a-0035,163.559125,163.814875,and,B,sd,u-71-3
sw3659A-ms98-a-0035,164.191625,164.438375,so,B,+,u-73-1
sw3659A-ms98-a-0035,164.438375,164.808375,hopefully,I,+,u-73-1
sw3659A-ms98-a-0035,164.808375,164.958375,they'll,I,+,u-73-1
sw3659A-ms98-a-0035,164.958375,165.108375,do,I,+,u-73-1
sw3659A-ms98-a-0035,165.108375,165.298375,it,I,+,u-73-1
sw3659A-ms98-a-0035,165.298375,165.738375,soon,I,+,u-73-1
sw3659A-ms98-a-0035,165.738375,165.878375,that,B,sd,u-73-2
sw3659A-ms98-a-0035,165.878375,165.998375,would,I,sd,u-73-2
sw3659A-ms98-a-0035,165.998375,166.128375,be,I,sd,u-73-2
sw3659A-ms98-a-0035,166.128375,166.348375,good,I,sd,u-73-2
sw3659A-ms98-a-0035,166.348375,166.598375,because,I,sd,u-73-2
sw3659A-ms98-a-0035,166.598375,166.708375,we,I,sd,u-73-2
sw3659A-ms98-a-0035,166.708375,167.046250,have,I,sd,u-73-2
sw3659A-ms98-a-0035,167.396625,167.679000,two,I,sd,u-73-2
sw3659A-ms98-a-0035,167.679000,167.988375,trash,I,sd,u-73-2
sw3659A-ms98-a-0035,167.988375,168.218375,pick,I,sd,u-73-2
sw3659A-ms98-a-0035,168.218375,168.458375,ups,I,sd,u-73-2
sw3659A-ms98-a-0035,168.458375,168.528375,a,I,sd,u-73-2
sw3659A-ms98-a-0035,168.528375,169.210500,week,I,sd,u-73-2
sw3659A-ms98-a-0036,169.804500,169.944125,where,B,sd,u-75-1
sw3659A-ms98-a-0036,169.944125,170.094875,i,I,sd,u-75-1
sw3659A-ms98-a-0036,170.094875,170.254125,grew,I,sd,u-75-1
sw3659A-ms98-a-0036,170.254125,170.464125,up,I,sd,u-75-1
sw3659A-ms98-a-0036,170.464125,170.554125,we,I,sd,u-75-1
sw3659A-ms98-a-0036,170.554125,170.704125,only,I,sd,u-75-1
sw3659A-ms98-a-0036,170.704125,170.844125,had,I,sd,u-75-1
