sw3926B-ms98-a-0002,0.484750,0.902000,yes,B,o,u-2-1
sw3926B-ms98-a-0007,29.561875,29.801875,used,I,sv,u-6-3
sw3926B-ms98-a-0007,29.801875,29.961875,it,I,sv,u-6-3
sw3926B-ms98-a-0007,29.961875,30.091875,to,I,sv,u-6-3
sw3926B-ms98-a-0007,30.091875,30.221875,their,I,sv,u-6-3
sw3926B-ms98-a-0007,30.221875,30.831875,advantage,I,sv,u-6-3
sw3926B-ms98-a-0008,31.792125,31.982125,i,B,sv,u-6-4
sw3926B-ms98-a-0008,31.982125,32.207125,think,I,sv,u-6-4
sw3926B-ms98-a-0008,32.207125,32.282500,that,I,sv,u-6-4
sw3926B-ms98-a-0008,32.282500,32.412125,a,I,sv,u-6-4
sw3926B-ms98-a-0008,32.412125,32.762125,jury,I,sv,u-6-4
sw3926B-ms98-a-0008,32.762125,32.962125,should,I,sv,u-6-4
sw3926B-ms98-a-0008,32.962125,33.332125,listen,I,sv,u-6-4
sw3926B-ms98-a-0008,33.332125,33.675125,to,I,sv,u-6-4
sw3926B-ms98-a-0008,33.761750,33.992000,the,I,sv,u-6-4
sw3926B-ms98-a-0008,33.992000,34.508375,court,I,sv,u-6-4
sw3926B-ms98-a-0009,35.239625,35.561000,uh,I,sv,u-6-4
sw3926B-ms98-a-0009,35.561000,35.859750,to,I,sv,u-6-4
sw3926B-ms98-a-0009,35.859750,36.005750,to,I,sv,u-6-4
sw3926B-ms98-a-0009,36.005750,36.312125,the,I,sv,u-6-4
sw3926B-ms98-a-0009,36.447750,37.070000,hearings,I,sv,u-6-4
sw3926B-ms98-a-0009,37.070000,37.260000,and,I,sv,u-6-4
sw3926B-ms98-a-0009,37.260000,37.530000,to,I,sv,u-6-4
sw3926B-ms98-a-0009,37.530000,38.110000,everything,I,sv,u-6-4
sw3926B-ms98-a-0009,38.770000,38.900000,but,B,sv,u-6-5
sw3926B-ms98-a-0009,38.900000,39.000000,i,I,sv,u-6-5
sw3926B-ms98-a-0009,39.000000,39.270000,think,I,sv,u-6-5
sw3926B-ms98-a-0009,39.270000,39.390000,they,I,sv,u-6-5
sw3926B-ms98-a-0009,39.390000,39.580000,should,I,sv,u-6-5
sw3926B-ms98-a-0009,39.580000,39.800000,only,I,sv,u-6-5
sw3926B-ms98-a-0009,39.800000,40.000000,weigh,I,sv,u-6-5
sw3926B-ms98-a-0009,40.000000,40.350000,fifty,I,sv,u-6-5
sw3926B-ms98-a-0009,40.350000,40.730000,percent,I,sv,u-6-5
sw3926B-ms98-a-0009,40.730000,40.779875,of,I,sv,u-6-5
sw3926B-ms98-a-0009,40.779875,40.912125,the,I,sv,u-6-5
sw3926B-ms98-a-0009,40.912125,41.420000,decision,I,sv,u-6-5
sw3926B-ms98-a-0010,42.037625,42.137625,i,B,sv,u-6-6
sw3926B-ms98-a-0010,42.137625,42.277625,think,I,sv,u-6-6
sw3926B-ms98-a-0010,42.277625,42.347625,the,I,sv,u-6-6
sw3926B-ms98-a-0010,42.347625,42.687625,judge,I,sv,u-6-6
sw3926B-ms98-a-0010,42.687625,42.847625,should,I,sv,u-6-6
sw3926B-ms98-a-0010,42.847625,43.147625,hold,I,sv,u-6-6
sw3926B-ms98-a-0010,43.147625,43.216500,the,I,sv,u-6-6
sw3926B-ms98-a-0010,43.216500,43.423625,fi[fty]-,I,sv,u-6-6
sw3926B-ms98-a-0010,43.423625,43.647625,or,I,sv,u-6-6
sw3926B-ms98-a-0010,43.647625,43.937625,maybe,I,sv,u-6-6
sw3926B-ms98-a-0010,43.937625,44.197625,even,I,sv,u-6-6
sw3926B-ms98-a-0010,44.197625,44.497625,forty,I,sv,u-6-6
sw3926B-ms98-a-0010,44.497625,44.787625,nine,I,sv,u-6-6
sw3926B-ms98-a-0010,45.287625,45.377625,and,B,sv,u-6-7
sw3926B-ms98-a-0010,45.377625,45.437625,the,I,sv,u-6-7
sw3926B-ms98-a-0010,45.437625,45.737625,judge,I,sv,u-6-7
sw3926B-ms98-a-0010,45.737625,45.927625,should,I,sv,u-6-7
sw3926B-ms98-a-0010,45.927625,46.047625,be,I,sv,u-6-7
sw3926B-ms98-a-0010,46.047625,46.257625,able,I,sv,u-6-7
sw3926B-ms98-a-0010,46.257625,46.487625,to,I,sv,u-6-7
sw3926B-ms98-a-0010,46.487625,46.897625,rule,I,sv,u-6-7
sw3926B-ms98-a-0010,46.897625,47.127625,one,I,sv,u-6-7
sw3926B-ms98-a-0010,47.127625,47.263125,way,I,sv,u-6-7
sw3926B-ms98-a-0010,47.263125,47.398125,or,I,sv,u-6-7
sw3926B-ms98-a-0010,47.398125,47.567625,the,I,sv,u-6-7
sw3926B-ms98-a-0010,47.567625,47.817625,other,I,sv,u-6-7
sw3926B-ms98-a-0012,51.700750,51.896625,i,B,sv,u-8-1
sw3926B-ms98-a-0012,51.896625,52.087500,think,I,sv,u-8-1
sw3926B-ms98-a-0012,52.087500,52.191500,he,I,sv,u-8-1
sw3926B-ms98-a-0012,52.191500,52.551500,should,I,sv,u-8-1
sw3926B-ms98-a-0012,52.551500,52.761500,and,B,sv,u-10-1
sw3926B-ms98-a-0012,52.761500,52.881500,i,I,sv,u-10-1
sw3926B-ms98-a-0012,52.881500,53.231500,think,I,sv,u-10-1
sw3926B-ms98-a-0012,53.231500,53.441500,that,I,sv,u-10-1
sw3926B-ms98-a-0012,53.441500,53.651500,there,I,sv,u-10-1
sw3926B-ms98-a-0012,53.651500,53.891500,should,I,sv,u-10-1
sw3926B-ms98-a-0012,53.891500,54.091500,be,I,sv,u-10-1
sw3926B-ms98-a-0012,54.091500,54.361500,more,I,sv,u-10-1
sw3926B-ms98-a-0012,54.361500,54.531500,than,I,sv,u-10-1
sw3926B-ms98-a-0012,54.531500,54.721500,one,I,sv,u-10-1
sw3926B-ms98-a-0012,54.721500,55.121500,judge,I,sv,u-10-1
sw3926B-ms98-a-0012,55.121500,55.251500,there,B,sv,u-10-2
sw3926B-ms98-a-0012,55.251500,55.461500,should,I,sv,u-10-2
sw3926B-ms98-a-0012,55.461500,55.641500,be,I,sv,u-10-2
sw3926B-ms98-a-0012,55.641500,55.931500,maybe,I,sv,u-10-2
sw3926B-ms98-a-0012,55.931500,56.311500,two,I,sv,u-10-2
sw3926B-ms98-a-0013,57.347500,57.567500,at,I,sv,u-10-2
sw3926B-ms98-a-0013,57.567500,58.008125,least,I,sv,u-10-2
sw3926B-ms98-a-0013,58.720000,58.967500,that,B,+,u-12-1
sw3926B-ms98-a-0013,58.967500,59.117500,sit,I,+,u-12-1
sw3926B-ms98-a-0013,59.117500,59.247500,in,I,+,u-12-1
sw3926B-ms98-a-0013,59.247500,59.377500,and,I,+,u-12-1
sw3926B-ms98-a-0013,59.377500,59.817500,listen,I,+,u-12-1
sw3926B-ms98-a-0013,60.057500,60.207500,so,I,+,u-12-1
sw3926B-ms98-a-0013,60.207500,60.347500,that,I,+,u-12-1
sw3926B-ms98-a-0013,60.347500,60.537500,there's,I,+,u-12-1
sw3926B-ms98-a-0013,60.537500,60.737500,no,I,+,u-12-1
sw3926B-ms98-a-0013,60.737500,61.087500,way,I,+,u-12-1
sw3926B-ms98-a-0013,61.087500,61.207500,that,I,+,u-12-1
sw3926B-ms98-a-0013,61.207500,61.317500,you,I,+,u-12-1
sw3926B-ms98-a-0013,61.317500,61.477500,could,I,+,u-12-1
sw3926B-ms98-a-0013,61.477500,61.957500,have,I,+,u-12-1
sw3926B-ms98-a-0014,62.844625,63.064625,like,I,+,u-12-1
sw3926B-ms98-a-0014,63.064625,63.134625,a,I,+,u-12-1
sw3926B-ms98-a-0014,63.134625,63.564625,crooked,I,+,u-12-1
sw3926B-ms98-a-0014,63.564625,63.974625,judge,I,+,u-12-1
sw3926B-ms98-a-0014,63.974625,64.064625,do,B,qy,u-12-2
sw3926B-ms98-a-0014,64.064625,64.134625,you,I,qy,u-12-2
sw3926B-ms98-a-0014,64.134625,64.224625,know,I,qy,u-12-2
sw3926B-ms98-a-0014,64.224625,64.322125,what,I,qy,u-12-2
sw3926B-ms98-a-0014,64.322125,64.421500,i,I,qy,u-12-2
sw3926B-ms98-a-0014,64.421500,64.734625,mean,I,qy,u-12-2
sw3926B-ms98-a-0016,66.389125,66.689125,um,B,sv,u-14-1
sw3926B-ms98-a-0016,66.689125,66.889125,and,I,sv,u-14-1
sw3926B-ms98-a-0016,66.889125,66.979125,i,I,sv,u-14-1
sw3926B-ms98-a-0016,66.979125,67.249125,think,I,sv,u-14-1
sw3926B-ms98-a-0016,67.249125,67.399375,that,I,sv,u-14-1
sw3926B-ms98-a-0016,67.399375,67.580125,there,I,sv,u-14-1
sw3926B-ms98-a-0016,67.580125,67.759125,it's,I,sv,u-14-1
sw3926B-ms98-a-0016,67.759125,68.249125,important,I,sv,u-14-1
sw3926B-ms98-a-0016,68.249125,68.350125,to,I,sv,u-14-1
sw3926B-ms98-a-0016,68.350125,68.711750,have,I,sv,u-14-1
sw3926B-ms98-a-0016,68.711750,68.849125,a,I,sv,u-14-1
sw3926B-ms98-a-0016,68.849125,69.332625,jury,I,sv,u-14-1
sw3926B-ms98-a-0017,70.008375,70.148375,but,I,sv,u-14-1
sw3926B-ms98-a-0017,70.148375,70.238375,i,I,sv,u-14-1
sw3926B-ms98-a-0017,70.238375,70.488375,think,I,sv,u-14-1
sw3926B-ms98-a-0017,70.488375,70.548375,the,I,sv,u-14-1
sw3926B-ms98-a-0017,70.548375,70.758375,way,I,sv,u-14-1
sw3926B-ms98-a-0017,70.758375,70.918375,that,I,sv,u-14-1
sw3926B-ms98-a-0017,70.918375,71.058375,they,I,sv,u-14-1
sw3926B-ms98-a-0017,71.058375,71.248375,go,I,sv,u-14-1
sw3926B-ms98-a-0017,71.248375,71.448375,through,I,sv,u-14-1
sw3926B-ms98-a-0017,71.448375,71.668375,so,I,sv,u-14-1
sw3926B-ms98-a-0017,71.668375,71.908375,much,I,sv,u-14-1
sw3926B-ms98-a-0017,71.908375,72.298375,time,I,sv,u-14-1
sw3926B-ms98-a-0017,72.298375,72.591125,to,I,sv,u-14-1
sw3926B-ms98-a-0017,72.591125,72.739125,get,I,sv,u-14-1
sw3926B-ms98-a-0017,72.739125,72.810750,a,I,sv,u-14-1
sw3926B-ms98-a-0017,72.810750,73.008375,a,I,sv,u-14-1
sw3926B-ms98-a-0017,73.008375,73.278375,fair,I,sv,u-14-1
sw3926B-ms98-a-0017,73.278375,73.585625,one,I,sv,u-14-1
sw3926B-ms98-a-0017,74.037625,74.298375,that's,B,sv,u-14-2
sw3926B-ms98-a-0017,74.298375,74.608375,okay,I,sv,u-14-2
sw3926B-ms98-a-0017,74.608375,75.038375,too,I,sv,u-14-2
sw3926B-ms98-a-0017,75.038375,75.238375,as,B,sv,u-14-3
sw3926B-ms98-a-0017,75.238375,75.458375,long,I,sv,u-14-3
sw3926B-ms98-a-0017,75.458375,75.558375,as,I,sv,u-14-3
sw3926B-ms98-a-0017,75.558375,75.728375,it's,I,sv,u-14-3
sw3926B-ms98-a-0017,75.728375,75.948375,not,I,sv,u-14-3
sw3926B-ms98-a-0017,75.948375,76.377875,used,I,sv,u-14-3
sw3926B-ms98-a-0017,76.377875,76.660375,to,I,sv,u-14-3
sw3926B-ms98-a-0017,76.660375,77.148375,delay,I,sv,u-14-3
sw3926B-ms98-a-0017,77.148375,77.458375,the,I,sv,u-14-3
sw3926B-ms98-a-0017,77.458375,77.928375,trial,I,sv,u-14-3
sw3926B-ms98-a-0017,77.928375,78.128375,so,I,sv,u-14-3
sw3926B-ms98-a-0017,78.128375,78.598375,much,I,sv,u-14-3
sw3926B-ms98-a-0018,79.233125,79.313125,they,B,sv,u-14-4
sw3926B-ms98-a-0018,79.313125,79.463125,need,I,sv,u-14-4
sw3926B-ms98-a-0018,79.463125,79.553125,to,I,sv,u-14-4
sw3926B-ms98-a-0018,79.553125,79.723125,have,I,sv,u-14-4
sw3926B-ms98-a-0018,79.723125,79.883125,a,I,sv,u-14-4
sw3926B-ms98-a-0018,79.883125,80.143125,fair,I,sv,u-14-4
sw3926B-ms98-a-0018,80.143125,80.513125,jury,I,sv,u-14-4
sw3926B-ms98-a-0018,80.513125,80.693125,but,B,sv,u-14-5
sw3926B-ms98-a-0018,80.693125,80.852000,they,I,sv,u-14-5
sw3926B-ms98-a-0018,80.852000,81.202375,only,I,sv,u-14-5
sw3926B-ms98-a-0018,81.202375,81.427125,wou[ld]-,I,sv,u-14-5
sw3926B-ms98-a-0018,81.649250,81.783125,you,I,sv,u-14-5
sw3926B-ms98-a-0018,81.783125,81.943125,know,I,sv,u-14-5
sw3926B-ms98-a-0018,81.943125,82.143125,would,I,sv,u-14-5
sw3926B-ms98-a-0018,82.143125,82.683125,cover,I,sv,u-14-5
sw3926B-ms98-a-0019,83.858625,84.078625,fif[ty]-,I,sv,u-14-5
sw3926B-ms98-a-0019,84.138625,84.358625,forty,I,sv,u-14-5
sw3926B-ms98-a-0019,84.358625,84.578625,nine,I,sv,u-14-5
sw3926B-ms98-a-0019,84.578625,85.228625,percent,I,sv,u-14-5
sw3926B-ms98-a-0019,85.388625,85.598625,of,I,sv,u-14-5
sw3926B-ms98-a-0019,85.598625,85.698625,the,I,sv,u-14-5
sw3926B-ms98-a-0019,85.698625,86.298625,decision,I,sv,u-14-5
sw3926B-ms98-a-0019,86.298625,86.488625,or,I,sv,u-14-5
sw3926B-ms98-a-0019,86.488625,86.828625,fifty,I,sv,u-14-5
sw3926B-ms98-a-0019,86.828625,87.308625,percent,I,sv,u-14-5
sw3926B-ms98-a-0019,87.308625,87.438625,and,B,sv,u-14-6
sw3926B-ms98-a-0019,87.438625,87.578625,then,I,sv,u-14-6
sw3926B-ms98-a-0019,87.578625,87.668625,the,I,sv,u-14-6
sw3926B-ms98-a-0019,87.668625,87.948625,two,I,sv,u-14-6
sw3926B-ms98-a-0019,87.948625,88.468625,judges,I,sv,u-14-6
sw3926B-ms98-a-0019,88.468625,88.638625,would,I,sv,u-14-6
sw3926B-ms98-a-0019,88.638625,88.878625,go,I,sv,u-14-6
sw3926B-ms98-a-0019,88.878625,89.228625,ahead,I,sv,u-14-6
sw3926B-ms98-a-0019,89.228625,89.698625,and,I,sv,u-14-6
sw3926B-ms98-a-0019,90.098625,90.288625,make,I,sv,u-14-6
sw3926B-ms98-a-0019,90.288625,90.348625,the,I,sv,u-14-6
sw3926B-ms98-a-0019,90.348625,90.708625,final,I,sv,u-14-6
sw3926B-ms98-a-0019,90.708625,91.228625,decision,I,sv,u-14-6
sw3926B-ms98-a-0021,93.616000,93.766000,how,B,qo,u-16-1
sw3926B-ms98-a-0021,93.766000,93.836000,do,I,qo,u-16-1
sw3926B-ms98-a-0021,93.836000,93.936000,you,I,qo,u-16-1
sw3926B-ms98-a-0021,93.936000,94.096000,feel,I,qo,u-16-1
sw3926B-ms98-a-0021,94.096000,94.316000,about,I,qo,u-16-1
sw3926B-ms98-a-0021,94.316000,94.506000,that,I,qo,u-16-1
sw3926B-ms98-a-0023,110.694750,110.924750,right,B,b,u-18-1
sw3926B-ms98-a-0025,146.184625,146.515500,right,B,b,u-20-1
sw3926B-ms98-a-0027,160.427250,160.727250,right,B,b,u-22-1
sw3926B-ms98-a-0029,163.684375,164.014375,right,B,b,u-24-1
sw3926B-ms98-a-0029,164.014375,164.134375,well,B,qw,u-24-2
sw3926B-ms98-a-0029,164.134375,164.284375,what,I,qw,u-24-2
sw3926B-ms98-a-0029,164.284375,164.394375,if,I,qw,u-24-2
sw3926B-ms98-a-0029,164.394375,164.544375,they,I,qw,u-24-2
sw3926B-ms98-a-0029,164.544375,164.964375,used,I,qw,u-24-2
sw3926B-ms98-a-0029,164.964375,165.044375,you,I,qw,u-24-2
sw3926B-ms98-a-0029,165.044375,165.154375,know,I,qw,u-24-2
sw3926B-ms98-a-0029,165.154375,165.254375,i,B,sd,u-24-3
sw3926B-ms98-a-0029,165.254375,165.434375,just,I,sd,u-24-3
sw3926B-ms98-a-0029,165.434375,165.564375,had,I,sd,u-24-3
sw3926B-ms98-a-0029,165.564375,165.644375,a,I,sd,u-24-3
sw3926B-ms98-a-0029,165.644375,165.904375,thought,I,sd,u-24-3
sw3926B-ms98-a-0029,165.904375,166.084375,come,I,sd,u-24-3
sw3926B-ms98-a-0029,166.084375,166.214375,as,I,sd,u-24-3
sw3926B-ms98-a-0029,166.214375,166.304375,you,I,sd,u-24-3
sw3926B-ms98-a-0029,166.304375,166.374375,were,I,sd,u-24-3
sw3926B-ms98-a-0029,166.374375,166.876750,talking,I,sd,u-24-3
sw3926B-ms98-a-0029,167.264375,167.364375,what,B,qw,u-24-4
sw3926B-ms98-a-0029,167.364375,167.514375,if,I,qw,u-24-4
sw3926B-ms98-a-0029,167.514375,167.664375,they,I,qw,u-24-4
sw3926B-ms98-a-0029,167.664375,168.197750,used,I,qw,u-24-4
sw3926B-ms98-a-0029,168.197750,168.649750,law,I,qw,u-24-4
sw3926B-ms98-a-0029,168.649750,169.244750,students,I,qw,u-24-4
sw3926B-ms98-a-0030,170.329875,170.459875,and,I,qw,u-24-4
sw3926B-ms98-a-0030,170.459875,170.669875,had,I,qw,u-24-4
sw3926B-ms98-a-0030,170.669875,170.889875,that,I,qw,u-24-4
sw3926B-ms98-a-0030,170.889875,171.009875,be,I,qw,u-24-4
sw3926B-ms98-a-0030,171.009875,171.469875,credit,I,qw,u-24-4
sw3926B-ms98-a-0030,171.469875,172.099250,hours,I,qw,u-24-4
sw3926B-ms98-a-0030,172.306500,172.479875,to,I,qw,u-24-4
sw3926B-ms98-a-0030,172.479875,172.669875,sit,I,qw,u-24-4
sw3926B-ms98-a-0030,172.669875,172.769875,in,I,qw,u-24-4
sw3926B-ms98-a-0030,172.769875,173.441750,trials,I,qw,u-24-4
sw3926B-ms98-a-0032,178.118125,178.368125,yeah,B,aa,u-26-1
sw3926B-ms98-a-0032,178.368125,178.578125,at,B,aap,u-26-2
sw3926B-ms98-a-0032,178.578125,179.188125,least,I,aap,u-26-2
sw3926B-ms98-a-0032,179.188125,179.348125,at,B,bf,u-28-1
sw3926B-ms98-a-0032,179.348125,179.608125,least,I,bf,u-28-1
sw3926B-ms98-a-0032,179.608125,179.728125,on,B,+,u-30-1
sw3926B-ms98-a-0032,179.728125,179.788125,the,I,+,u-30-1
sw3926B-ms98-a-0032,179.788125,180.198125,jury,I,+,u-30-1
sw3926B-ms98-a-0032,180.198125,180.338125,and,B,sv,u-32-1
sw3926B-ms98-a-0032,180.338125,180.478125,that,I,sv,u-32-1
sw3926B-ms98-a-0032,180.478125,180.618125,would,I,sv,u-32-1
sw3926B-ms98-a-0032,180.618125,180.808125,give,I,sv,u-32-1
sw3926B-ms98-a-0032,180.808125,180.978125,them,I,sv,u-32-1
sw3926B-ms98-a-0032,180.978125,181.942625,experience,B,+,u-34-1
sw3926B-ms98-a-0032,182.258750,182.398125,in,I,+,u-34-1
sw3926B-ms98-a-0032,182.398125,182.510875,the,I,+,u-34-1
sw3926B-ms98-a-0032,182.510875,183.245375,courtroom,I,+,u-34-1
sw3926B-ms98-a-0032,183.245375,183.428125,and,B,sv,u-34-2
sw3926B-ms98-a-0032,183.428125,183.498125,it,I,sv,u-34-2
sw3926B-ms98-a-0032,183.498125,183.688125,could,I,sv,u-34-2
sw3926B-ms98-a-0032,183.688125,184.008125,count,I,sv,u-34-2
sw3926B-ms98-a-0032,184.008125,184.129375,as,I,sv,u-34-2
sw3926B-ms98-a-0032,184.129375,184.393000,some,I,sv,u-34-2
sw3926B-ms98-a-0032,184.393000,184.998125,aspect,I,sv,u-34-2
sw3926B-ms98-a-0032,184.998125,185.138125,or,I,sv,u-34-2
sw3926B-ms98-a-0032,185.138125,185.528125,hours,I,sv,u-34-2
sw3926B-ms98-a-0032,185.528125,185.818125,going,I,sv,u-34-2
sw3926B-ms98-a-0032,185.818125,186.088125,into,I,sv,u-34-2
sw3926B-ms98-a-0032,186.088125,186.258125,their,I,sv,u-34-2
sw3926B-ms98-a-0032,186.258125,186.828125,major,I,sv,u-34-2
sw3926B-ms98-a-0034,191.186125,191.446125,right,B,b,u-36-1
sw3926B-ms98-a-0036,194.922500,195.202500,that's,B,aa,u-38-1
sw3926B-ms98-a-0036,195.202500,195.442500,right,I,aa,u-38-1
sw3926B-ms98-a-0036,195.442500,195.602500,that,B,sv,u-38-2
sw3926B-ms98-a-0036,195.602500,195.722500,would,I,sv,u-38-2
sw3926B-ms98-a-0036,195.722500,195.842500,be,I,sv,u-38-2
sw3926B-ms98-a-0036,195.842500,195.892500,a,I,sv,u-38-2
sw3926B-ms98-a-0036,195.892500,196.112500,really,I,sv,u-38-2
sw3926B-ms98-a-0036,196.112500,196.392500,good,I,sv,u-38-2
sw3926B-ms98-a-0036,196.392500,196.572500,thing,I,sv,u-38-2
sw3926B-ms98-a-0036,196.572500,196.692500,to,I,sv,u-38-2
sw3926B-ms98-a-0036,196.692500,196.982500,do,I,sv,u-38-2
sw3926B-ms98-a-0037,198.565500,199.476125,[laughter],O,,
sw3926B-ms98-a-0037,199.476125,199.660000,i,O,,
sw3926B-ms98-a-0037,200.006500,200.171625,i,B,sd,u-42-1
sw3926B-ms98-a-0037,200.171625,200.307125,have,I,sd,u-42-1
sw3926B-ms98-a-0037,200.307125,200.386125,a,I,sd,u-42-1
sw3926B-ms98-a-0037,200.386125,200.876125,girlfriend,I,sd,u-42-1
sw3926B-ms98-a-0037,200.876125,200.976125,that,I,sd,u-42-1
sw3926B-ms98-a-0037,200.976125,201.166125,just,I,sd,u-42-1
sw3926B-ms98-a-0037,201.166125,201.366125,went,I,sd,u-42-1
sw3926B-ms98-a-0037,201.366125,201.536125,through,I,sd,u-42-1
sw3926B-ms98-a-0037,201.536125,201.606125,a,I,sd,u-42-1
sw3926B-ms98-a-0037,201.606125,201.836125,three,I,sd,u-42-1
sw3926B-ms98-a-0037,201.836125,202.046125,year,I,sd,u-42-1
sw3926B-ms98-a-0037,202.046125,202.566125,trial,I,sd,u-42-1
sw3926B-ms98-a-0038,203.184625,203.314625,and,B,sd,u-44-1
sw3926B-ms98-a-0038,203.314625,203.424625,what,I,sd,u-44-1
sw3926B-ms98-a-0038,203.424625,203.824625,happened,I,sd,u-44-1
sw3926B-ms98-a-0038,203.824625,204.044625,was,I,sd,u-44-1
sw3926B-ms98-a-0038,204.044625,204.224625,her,I,sd,u-44-1
sw3926B-ms98-a-0038,204.224625,204.798500,husband,I,sd,u-44-1
sw3926B-ms98-a-0038,204.798500,205.116750,was,I,sd,u-44-1
sw3926B-ms98-a-0038,205.116750,205.604625,um,I,sd,u-44-1
sw3926B-ms98-a-0039,206.136625,206.566625,involved,I,sd,u-44-1
sw3926B-ms98-a-0039,206.566625,206.656625,in,I,sd,u-44-1
sw3926B-ms98-a-0039,206.656625,206.716625,a,I,sd,u-44-1
sw3926B-ms98-a-0039,206.716625,207.306625,motorcycle,I,sd,u-44-1
sw3926B-ms98-a-0039,207.306625,207.746625,accident,I,sd,u-44-1
sw3926B-ms98-a-0039,207.746625,207.886625,where,I,sd,u-44-1
sw3926B-ms98-a-0039,207.886625,207.956625,a,I,sd,u-44-1
sw3926B-ms98-a-0039,207.956625,208.256625,drunk,I,sd,u-44-1
sw3926B-ms98-a-0039,208.256625,208.656625,driver,I,sd,u-44-1
sw3926B-ms98-a-0039,208.656625,208.986625,ran,I,sd,u-44-1
sw3926B-ms98-a-0039,208.986625,209.046625,the,I,sd,u-44-1
sw3926B-ms98-a-0039,209.046625,209.436625,stop,O,,
sw3926B-ms98-a-0039,209.436625,209.746625,light,O,,
sw3926B-ms98-a-0039,209.746625,209.926625,and,B,sd,u-44-2
sw3926B-ms98-a-0039,209.926625,210.156625,ran,I,sd,u-44-2
sw3926B-ms98-a-0039,210.156625,210.426625,into,I,sd,u-44-2
sw3926B-ms98-a-0039,210.426625,210.496625,the,I,sd,u-44-2
sw3926B-ms98-a-0039,210.496625,211.256625,motorcycle,I,sd,u-44-2
