sw3238B-ms98-a-0002,1.277250,1.667250,hello,B,fp^m,u-2-1
sw3238B-ms98-a-0018,57.671375,57.901375,stay,I,sv,u-22-2
sw3238B-ms98-a-0018,57.901375,58.111375,home,I,sv,u-22-2
sw3238B-ms98-a-0018,58.111375,58.381375,now,I,sv,u-22-2
sw3238B-ms98-a-0018,58.381375,58.591375,than,I,sv,u-22-2
sw3238B-ms98-a-0018,58.591375,59.171375,before,I,sv,u-22-2
sw3238B-ms98-a-0018,59.171375,59.397875,but,B,sv,u-22-3
sw3238B-ms98-a-0019,60.194000,60.284000,i,I,sv,u-22-3
sw3238B-ms98-a-0019,60.284000,60.494000,guess,I,sv,u-22-3
sw3238B-ms98-a-0019,60.494000,60.674000,more,I,sv,u-22-3
sw3238B-ms98-a-0019,60.674000,60.824000,than,I,sv,u-22-3
sw3238B-ms98-a-0019,60.824000,61.244000,anything,I,sv,u-22-3
sw3238B-ms98-a-0019,61.244000,61.374000,i,I,sv,u-22-3
sw3238B-ms98-a-0019,61.614000,61.814000,think,I,sv,u-22-3
sw3238B-ms98-a-0019,61.814000,62.044000,maybe,I,sv,u-22-3
sw3238B-ms98-a-0019,62.044000,62.384000,people,I,sv,u-22-3
sw3238B-ms98-a-0019,62.384000,62.494000,were,I,sv,u-22-3
sw3238B-ms98-a-0019,62.494000,62.694000,just,I,sv,u-22-3
sw3238B-ms98-a-0019,62.694000,62.904000,kind,I,sv,u-22-3
sw3238B-ms98-a-0019,62.904000,63.064000,of,I,sv,u-22-3
sw3238B-ms98-a-0019,63.444000,63.774000,wanting,I,sv,u-22-3
sw3238B-ms98-a-0019,63.774000,63.844000,to,I,sv,u-22-3
sw3238B-ms98-a-0019,63.844000,64.084000,have,I,sv,u-22-3
sw3238B-ms98-a-0019,64.084000,64.164000,the,I,sv,u-22-3
sw3238B-ms98-a-0019,64.164000,64.602000,choice,I,sv,u-22-3
sw3238B-ms98-a-0019,64.602000,64.733750,of,I,sv,u-22-3
sw3238B-ms98-a-0019,64.733750,64.934000,what,I,sv,u-22-3
sw3238B-ms98-a-0019,64.934000,65.034000,they,I,sv,u-22-3
sw3238B-ms98-a-0019,65.034000,65.224000,could,I,sv,u-22-3
sw3238B-ms98-a-0019,65.224000,65.634000,do,I,sv,u-22-3
sw3238B-ms98-a-0019,65.634000,65.754000,you,I,sv,u-22-3
sw3238B-ms98-a-0019,65.754000,66.054250,know,I,sv,u-22-3
sw3238B-ms98-a-0021,67.768125,67.898125,i,B,h,u-24-1
sw3238B-ms98-a-0021,67.898125,68.048125,don't,I,h,u-24-1
sw3238B-ms98-a-0021,68.048125,68.158125,know,I,h,u-24-1
sw3238B-ms98-a-0021,68.158125,68.248125,i,B,sv,u-24-2
sw3238B-ms98-a-0021,68.248125,68.418125,mean,I,sv,u-24-2
sw3238B-ms98-a-0021,68.418125,68.478125,i,I,sv,u-24-2
sw3238B-ms98-a-0021,68.478125,68.728125,think,I,sv,u-24-2
sw3238B-ms98-a-0021,68.728125,69.278125,sometimes,I,sv,u-24-2
sw3238B-ms98-a-0021,69.578125,69.798125,some,I,sv,u-24-2
sw3238B-ms98-a-0021,69.798125,69.988125,of,I,sv,u-24-2
sw3238B-ms98-a-0021,69.988125,70.248125,the,I,sv,u-24-2
sw3238B-ms98-a-0021,71.028125,71.138125,the,I,sv,u-24-2
sw3238B-ms98-a-0021,71.138125,71.494625,women's,I,sv,u-24-2
sw3238B-ms98-a-0021,71.494625,71.671750,lib,I,sv,u-24-2
sw3238B-ms98-a-0021,71.671750,71.908125,though,I,sv,u-24-2
sw3238B-ms98-a-0021,71.908125,72.098125,is,I,sv,u-24-2
sw3238B-ms98-a-0021,72.098125,72.248125,kind,I,sv,u-24-2
sw3238B-ms98-a-0021,72.248125,72.318125,of,I,sv,u-24-2
sw3238B-ms98-a-0021,72.318125,72.538125,like,I,sv,u-24-2
sw3238B-ms98-a-0021,72.538125,72.658125,they,I,sv,u-24-2
sw3238B-ms98-a-0021,72.658125,73.038125,wanted,I,sv,u-24-2
sw3238B-ms98-a-0021,73.038125,73.278125,it,I,sv,u-24-2
sw3238B-ms98-a-0021,73.278125,73.688125,all,I,sv,u-24-2
sw3238B-ms98-a-0021,73.688125,73.828125,you,I,sv,u-24-2
sw3238B-ms98-a-0021,73.828125,74.078125,know,I,sv,u-24-2
sw3238B-ms98-a-0021,74.078125,74.198125,and,B,sv,u-24-3
sw3238B-ms98-a-0021,74.198125,74.258125,you,I,sv,u-24-3
sw3238B-ms98-a-0021,74.258125,74.507875,can't,I,sv,u-24-3
sw3238B-ms98-a-0021,74.507875,74.884500,have,I,sv,u-24-3
sw3238B-ms98-a-0021,74.884500,75.509750,everything,I,sv,u-24-3
sw3238B-ms98-a-0022,76.211000,76.361000,i,B,sv,u-26-1
sw3238B-ms98-a-0022,76.361000,76.511000,don't,I,sv,u-26-1
sw3238B-ms98-a-0022,76.511000,76.653250,i,I,sv,u-26-1
sw3238B-ms98-a-0022,76.653250,76.839250,don't,I,sv,u-26-1
sw3238B-ms98-a-0022,76.839250,77.161000,think,I,sv,u-26-1
sw3238B-ms98-a-0022,77.161000,77.261000,that,I,sv,u-26-1
sw3238B-ms98-a-0022,77.261000,77.381000,you,I,sv,u-26-1
sw3238B-ms98-a-0022,77.381000,77.551000,can,I,sv,u-26-1
sw3238B-ms98-a-0022,77.551000,77.921000,have,I,sv,u-26-1
sw3238B-ms98-a-0022,78.298875,78.389375,i,I,sv,u-26-1
sw3238B-ms98-a-0022,78.389375,78.551000,mean,I,sv,u-26-1
sw3238B-ms98-a-0022,78.551000,78.701000,there's,I,sv,u-26-1
sw3238B-ms98-a-0022,78.701000,78.841000,no,I,sv,u-26-1
sw3238B-ms98-a-0022,78.841000,79.011000,way,I,sv,u-26-1
sw3238B-ms98-a-0022,79.011000,79.231000,i,I,sv,u-26-1
sw3238B-ms98-a-0022,79.231000,79.441000,could,I,sv,u-26-1
sw3238B-ms98-a-0022,79.441000,79.871000,have,I,sv,u-26-1
sw3238B-ms98-a-0022,80.481000,80.561000,a,I,sv,u-26-1
sw3238B-ms98-a-0022,80.561000,81.141000,career,I,sv,u-26-1
sw3238B-ms98-a-0022,81.141000,81.311000,and,I,sv,u-26-1
sw3238B-ms98-a-0022,81.311000,81.481000,then,I,sv,u-26-1
sw3238B-ms98-a-0022,81.481000,81.621000,be,I,sv,u-26-1
sw3238B-ms98-a-0022,81.621000,81.681000,the,I,sv,u-26-1
sw3238B-ms98-a-0022,81.681000,81.921000,kind,I,sv,u-26-1
sw3238B-ms98-a-0022,81.921000,81.981000,of,I,sv,u-26-1
sw3238B-ms98-a-0022,81.981000,82.281000,mom,I,sv,u-26-1
sw3238B-ms98-a-0022,82.281000,82.401000,that,I,sv,u-26-1
sw3238B-ms98-a-0022,82.401000,82.471000,i,I,sv,u-26-1
sw3238B-ms98-a-0022,82.471000,82.701000,wanna,I,sv,u-26-1
sw3238B-ms98-a-0022,82.701000,83.091000,be,I,sv,u-26-1
sw3238B-ms98-a-0023,83.897875,84.077875,and,B,sv,u-28-1
sw3238B-ms98-a-0023,84.077875,84.177875,to,I,sv,u-28-1
sw3238B-ms98-a-0023,84.177875,84.367875,me,I,sv,u-28-1
sw3238B-ms98-a-0023,84.367875,84.607875,that's,I,sv,u-28-1
sw3238B-ms98-a-0023,84.607875,84.767875,more,I,sv,u-28-1
sw3238B-ms98-a-0023,84.767875,85.374750,important,I,sv,u-28-1
sw3238B-ms98-a-0025,88.080750,88.350750,two,B,sd,u-30-1
sw3238B-ms98-a-0026,89.121000,89.421000,um-hum,B,ny,u-32-1
sw3238B-ms98-a-0027,90.452375,90.702375,five,B,sd,u-34-1
sw3238B-ms98-a-0027,90.702375,90.802375,and,I,sd,u-34-1
sw3238B-ms98-a-0027,90.802375,91.052375,two,I,sd,u-34-1
sw3238B-ms98-a-0029,147.835750,147.945750,well,B,aa,u-36-1
sw3238B-ms98-a-0029,147.945750,148.065750,i,I,aa,u-36-1
sw3238B-ms98-a-0029,148.065750,148.512375,agree,I,aa,u-36-1
sw3238B-ms98-a-0029,148.512375,148.614125,i,B,sv(^q),u-36-2
sw3238B-ms98-a-0029,148.614125,148.975750,mean,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,148.975750,149.105750,but,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,149.105750,149.357375,i-,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,149.451500,149.625750,i,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,149.625750,149.925750,hate,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,149.925750,150.125750,for,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,150.125750,150.325750,them,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,150.325750,150.485750,to,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,150.485750,150.748625,make,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,150.865375,151.105750,people,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,151.105750,151.315750,feel,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,151.315750,151.585750,bad,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,151.585750,151.735750,that,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,151.735750,151.955750,have,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,151.955750,152.125750,to,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,152.125750,152.365750,work,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,152.365750,152.805750,too,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,152.935750,153.255750,saying,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,153.255750,153.325750,you,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,153.325750,153.455750,know,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,153.455750,153.655750,you,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,153.655750,153.885750,should,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,153.885750,154.155750,stay,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,154.155750,154.495750,home,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,154.495750,154.605750,you,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,154.605750,154.675750,know,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,154.675750,154.965750,otherwise,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,154.965750,155.075750,your,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.075750,155.335750,children,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.335750,155.479500,aren't,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.479500,155.568875,going,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.568875,155.683250,to,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.852750,155.945750,you,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,155.945750,156.065750,know,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,156.065750,156.345750,turn,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,156.345750,156.535750,out,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,156.535750,156.605750,or,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,156.605750,156.805750,whatever,I,sv(^q),u-36-2
sw3238B-ms98-a-0029,156.805750,156.985750,because,B,+,u-38-1
sw3238B-ms98-a-0029,156.985750,157.145750,that's,I,+,u-38-1
sw3238B-ms98-a-0029,157.145750,157.385750,not,I,+,u-38-1
sw3238B-ms98-a-0029,157.385750,157.655750,fair,I,+,u-38-1
sw3238B-ms98-a-0029,157.655750,157.965750,to,I,+,u-38-1
sw3238B-ms98-a-0030,158.389375,158.586375,you,I,+,u-38-1
sw3238B-ms98-a-0030,158.586375,158.734125,know,I,+,u-38-1
sw3238B-ms98-a-0030,158.734125,158.894125,like,I,+,u-38-1
sw3238B-ms98-a-0030,158.894125,158.964125,the,I,+,u-38-1
sw3238B-ms98-a-0030,158.964125,159.244125,single,I,+,u-38-1
sw3238B-ms98-a-0030,159.244125,159.524125,moms,I,+,u-38-1
sw3238B-ms98-a-0030,159.524125,159.654125,that,I,+,u-38-1
sw3238B-ms98-a-0030,159.654125,159.874125,have,I,+,u-38-1
sw3238B-ms98-a-0030,159.874125,159.974125,to,I,+,u-38-1
sw3238B-ms98-a-0030,159.974125,160.384125,work,I,+,u-38-1
sw3238B-ms98-a-0030,160.384125,160.719625,or,B,sv,u-38-2
sw3238B-ms98-a-0030,161.250750,161.422625,if,I,sv,u-38-2
sw3238B-ms98-a-0030,161.422625,161.534125,they,I,sv,u-38-2
sw3238B-ms98-a-0030,161.534125,161.764125,wouldn't,I,sv,u-38-2
sw3238B-ms98-a-0030,161.764125,161.864125,be,I,sv,u-38-2
sw3238B-ms98-a-0030,161.864125,162.114125,able,I,sv,u-38-2
sw3238B-ms98-a-0030,162.114125,162.514125,to,I,sv,u-38-2
sw3238B-ms98-a-0030,162.514125,162.804125,make,I,sv,u-38-2
sw3238B-ms98-a-0030,162.804125,163.094125,ends,I,sv,u-38-2
sw3238B-ms98-a-0030,163.094125,163.526750,meet,I,sv,u-38-2
sw3238B-ms98-a-0031,164.351750,164.601750,not,B,+,u-40-1
sw3238B-ms98-a-0031,164.601750,165.111750,working,I,+,u-40-1
sw3238B-ms98-a-0031,165.678250,165.825125,or,I,+,u-40-1
sw3238B-ms98-a-0031,165.825125,166.203375,whatever,I,+,u-40-1
sw3238B-ms98-a-0031,166.203375,166.308875,i,B,sv,u-40-2
sw3238B-ms98-a-0031,166.308875,166.611750,mean,I,sv,u-40-2
sw3238B-ms98-a-0031,167.131750,167.211750,i,I,sv,u-40-2
sw3238B-ms98-a-0031,167.211750,167.451750,think,I,sv,u-40-2
sw3238B-ms98-a-0031,167.451750,167.611750,it's,I,sv,u-40-2
sw3238B-ms98-a-0031,167.611750,167.761750,got,I,sv,u-40-2
sw3238B-ms98-a-0031,167.761750,167.841750,to,I,sv,u-40-2
sw3238B-ms98-a-0031,167.841750,167.961750,be,I,sv,u-40-2
sw3238B-ms98-a-0031,167.961750,168.001750,a,I,sv,u-40-2
sw3238B-ms98-a-0031,168.001750,168.516500,personal,I,sv,u-40-2
sw3238B-ms98-a-0031,168.516500,169.002125,choice,I,sv,u-40-2
sw3238B-ms98-a-0031,169.002125,169.382500,and,B,sv,u-40-3
sw3238B-ms98-a-0032,170.263625,170.504875,it's,I,sv,u-40-3
sw3238B-ms98-a-0032,170.504875,170.810750,nice,I,sv,u-40-3
sw3238B-ms98-a-0032,170.810750,171.168500,that,I,sv,u-40-3
sw3238B-ms98-a-0032,171.447250,171.610750,that,I,sv,u-40-3
sw3238B-ms98-a-0032,171.610750,171.690750,we,I,sv,u-40-3
sw3238B-ms98-a-0032,171.690750,171.920750,could,I,sv,u-40-3
sw3238B-ms98-a-0032,171.920750,172.110750,have,I,sv,u-40-3
sw3238B-ms98-a-0032,172.110750,172.180750,the,I,sv,u-40-3
sw3238B-ms98-a-0032,172.180750,172.450750,choice,I,sv,u-40-3
sw3238B-ms98-a-0032,172.450750,172.600750,to,I,sv,u-40-3
sw3238B-ms98-a-0032,172.600750,172.860750,stay,I,sv,u-40-3
sw3238B-ms98-a-0032,172.860750,173.190750,home,I,sv,u-40-3
sw3238B-ms98-a-0034,189.864750,192.003750,[laughter],O,,
sw3238B-ms98-a-0036,211.595250,212.005250,yeah,B,b,u-44-1
sw3238B-ms98-a-0039,224.698875,224.971750,yeah,B,b,u-46-1
sw3238B-ms98-a-0039,225.564250,226.201375,[laughter],O,,
sw3238B-ms98-a-0041,256.569625,256.792250,yeah,B,b,u-48-1
sw3238B-ms98-a-0041,256.792250,257.242250,[laughter],O,,
sw3238B-ms98-a-0042,258.447000,258.667000,well,B,sv,u-50-1
sw3238B-ms98-a-0042,258.667000,258.797000,and,I,sv,u-50-1
sw3238B-ms98-a-0042,258.797000,258.857000,i,I,sv,u-50-1
sw3238B-ms98-a-0042,258.857000,259.057000,think,I,sv,u-50-1
sw3238B-ms98-a-0042,259.057000,259.097000,a,I,sv,u-50-1
sw3238B-ms98-a-0042,259.097000,259.277000,lot,I,sv,u-50-1
sw3238B-ms98-a-0042,259.277000,259.497375,of,I,sv,u-50-1
sw3238B-ms98-a-0042,259.614125,260.137000,companies,I,sv,u-50-1
sw3238B-ms98-a-0042,260.137000,260.297000,are,I,sv,u-50-1
sw3238B-ms98-a-0042,260.297000,260.976875,realizing,I,sv,u-50-1
sw3238B-ms98-a-0042,261.244375,261.557000,this,I,sv,u-50-1
sw3238B-ms98-a-0042,261.557000,262.027000,and,I,sv,u-50-1
sw3238B-ms98-a-0042,262.027000,262.447000,offering,I,sv,u-50-1
sw3238B-ms98-a-0042,262.447000,262.617000,more,I,sv,u-50-1
sw3238B-ms98-a-0042,262.617000,263.497000,opportunities,I,sv,u-50-1
sw3238B-ms98-a-0042,263.707000,263.887000,as,I,sv,u-50-1
sw3238B-ms98-a-0042,263.887000,264.087000,far,I,sv,u-50-1
sw3238B-ms98-a-0042,264.087000,264.167000,as,I,sv,u-50-1
sw3238B-ms98-a-0042,264.167000,264.477000,like,I,sv,u-50-1
sw3238B-ms98-a-0042,264.477000,264.787000,job,I,sv,u-50-1
sw3238B-ms98-a-0042,264.787000,265.245750,sharing,I,sv,u-50-1
sw3238B-ms98-a-0042,265.245750,265.486750,or,I,sv,u-50-1
sw3238B-ms98-a-0042,266.097000,266.157000,you,I,sv,u-50-1
sw3238B-ms98-a-0042,266.157000,266.217000,know,I,sv,u-50-1
sw3238B-ms98-a-0042,266.217000,266.427000,even,I,sv,u-50-1
sw3238B-ms98-a-0042,266.427000,266.707000,having,I,sv,u-50-1
sw3238B-ms98-a-0042,266.707000,266.807000,a,I,sv,u-50-1
sw3238B-ms98-a-0042,266.807000,266.947000,day,I,sv,u-50-1
sw3238B-ms98-a-0042,266.947000,267.197000,care,I,sv,u-50-1
sw3238B-ms98-a-0042,267.197000,267.367000,on,I,sv,u-50-1
sw3238B-ms98-a-0042,267.367000,267.727000,site,I,sv,u-50-1
sw3238B-ms98-a-0042,267.727000,267.817000,and,I,sv,u-50-1
sw3238B-ms98-a-0042,267.817000,267.947000,that,I,sv,u-50-1
sw3238B-ms98-a-0042,267.947000,268.117000,kind,I,sv,u-50-1
sw3238B-ms98-a-0042,268.117000,268.187000,of,I,sv,u-50-1
sw3238B-ms98-a-0042,268.187000,268.427000,stuff,I,sv,u-50-1
sw3238B-ms98-a-0042,268.427000,268.517000,and,B,sv,u-50-2
sw3238B-ms98-a-0042,268.517000,268.567000,i,I,sv,u-50-2
sw3238B-ms98-a-0042,268.567000,268.747000,think,I,sv,u-50-2
sw3238B-ms98-a-0042,268.747000,268.967000,that's,I,sv,u-50-2
sw3238B-ms98-a-0042,268.967000,269.167000,really,I,sv,u-50-2
sw3238B-ms98-a-0042,269.167000,269.810125,important,I,sv,u-50-2
sw3238B-ms98-a-0043,270.774125,270.934125,that,B,+,u-52-1
sw3238B-ms98-a-0043,271.194125,271.334125,that,I,+,u-52-1
sw3238B-ms98-a-0043,271.334125,271.474125,they,I,+,u-52-1
sw3238B-ms98-a-0043,271.474125,271.724125,do,I,+,u-52-1
sw3238B-ms98-a-0043,271.724125,271.874125,that,I,+,u-52-1
sw3238B-ms98-a-0043,271.874125,271.994125,and,B,sv,u-52-2
sw3238B-ms98-a-0043,271.994125,272.084125,they,I,sv,u-52-2
sw3238B-ms98-a-0043,272.084125,272.624125,realize,I,sv,u-52-2
sw3238B-ms98-a-0043,272.624125,272.804125,there's,I,sv,u-52-2
sw3238B-ms98-a-0043,272.804125,272.854125,a,I,sv,u-52-2
sw3238B-ms98-a-0043,272.854125,273.114125,need,I,sv,u-52-2
sw3238B-ms98-a-0043,273.114125,273.204125,for,I,sv,u-52-2
sw3238B-ms98-a-0043,273.204125,273.574125,that,I,sv,u-52-2
sw3238B-ms98-a-0043,273.794125,274.071875,and,B,h,u-52-3
sw3238B-ms98-a-0043,274.071875,274.335000,um,I,h,u-52-3
sw3238B-ms98-a-0044,275.877875,275.947875,i,I,h,u-52-3
sw3238B-ms98-a-0044,275.947875,276.087875,don't,I,h,u-52-3
sw3238B-ms98-a-0044,276.087875,276.167875,know,I,h,u-52-3
sw3238B-ms98-a-0044,276.167875,276.237875,i,B,sd,u-52-4
sw3238B-ms98-a-0044,276.237875,276.477875,found,I,sd,u-52-4
sw3238B-ms98-a-0044,276.477875,276.587875,when,I,sd,u-52-4
sw3238B-ms98-a-0044,276.587875,276.667875,i,I,sd,u-52-4
sw3238B-ms98-a-0044,276.667875,276.917875,did,I,sd,u-52-4
sw3238B-ms98-a-0044,276.917875,277.037875,do,I,sd,u-52-4
sw3238B-ms98-a-0044,277.037875,277.277875,some,I,sd,u-52-4
sw3238B-ms98-a-0044,277.277875,277.507875,work,I,sd,u-52-4
sw3238B-ms98-a-0044,277.507875,277.597875,when,I,sd,u-52-4
sw3238B-ms98-a-0044,277.597875,277.777875,my,I,sd,u-52-4
sw3238B-ms98-a-0044,277.777875,278.107875,son,I,sd,u-52-4
sw3238B-ms98-a-0044,278.457875,278.617875,was,I,sd,u-52-4
sw3238B-ms98-a-0044,278.617875,279.037875,young,I,sd,u-52-4
sw3238B-ms98-a-0044,279.037875,279.167875,it,I,sd,u-52-4
sw3238B-ms98-a-0044,279.167875,279.277875,was,I,sd,u-52-4
sw3238B-ms98-a-0044,279.277875,279.397875,like,I,sd,u-52-4
sw3238B-ms98-a-0044,279.397875,279.897875,contract,I,sd,u-52-4
sw3238B-ms98-a-0044,279.897875,280.167875,work,I,sd,u-52-4
sw3238B-ms98-a-0044,280.167875,280.327875,and,B,sd,u-52-5
sw3238B-ms98-a-0044,280.327875,280.407875,it,I,sd,u-52-5
sw3238B-ms98-a-0044,280.407875,280.727875,wasn't,I,sd,u-52-5
sw3238B-ms98-a-0044,280.787875,280.937875,where,I,sd,u-52-5
sw3238B-ms98-a-0044,280.937875,280.967875,i,I,sd,u-52-5
sw3238B-ms98-a-0044,280.967875,281.087875,had,I,sd,u-52-5
sw3238B-ms98-a-0044,281.087875,281.147875,to,I,sd,u-52-5
sw3238B-ms98-a-0044,281.147875,281.257875,be,I,sd,u-52-5
sw3238B-ms98-a-0044,281.257875,281.377875,there,I,sd,u-52-5
sw3238B-ms98-a-0044,281.377875,281.537875,every,I,sd,u-52-5
sw3238B-ms98-a-0044,281.537875,281.837875,day,I,sd,u-52-5
sw3238B-ms98-a-0044,281.837875,282.039500,but,B,sd,u-52-6
sw3238B-ms98-a-0045,282.666250,282.702375,i,I,sd,u-52-6
sw3238B-ms98-a-0045,282.702375,282.840625,mean,I,sd,u-52-6
sw3238B-ms98-a-0045,282.840625,282.960625,we're,I,sd,u-52-6
sw3238B-ms98-a-0045,282.960625,283.150625,going,I,sd,u-52-6
sw3238B-ms98-a-0045,283.150625,283.260625,to,I,sd,u-52-6
sw3238B-ms98-a-0045,283.260625,283.320625,the,I,sd,u-52-6
sw3238B-ms98-a-0045,283.320625,283.690625,doctor,I,sd,u-52-6
sw3238B-ms98-a-0045,283.690625,283.960625,once,I,sd,u-52-6
sw3238B-ms98-a-0045,283.960625,284.020625,a,I,sd,u-52-6
sw3238B-ms98-a-0045,284.020625,284.426750,week,I,sd,u-52-6
sw3238B-ms98-a-0045,284.426750,284.746875,so,B,sv,u-52-7
sw3238B-ms98-a-0045,285.009875,285.122875,i,I,sv,u-52-7
sw3238B-ms98-a-0045,285.122875,285.260625,don't,I,sv,u-52-7
sw3238B-ms98-a-0045,285.260625,285.420625,know,I,sv,u-52-7
sw3238B-ms98-a-0045,285.420625,285.590625,how,I,sv,u-52-7
sw3238B-ms98-a-0045,285.590625,285.695125,you,I,sv,u-52-7
sw3238B-ms98-a-0045,285.695125,285.811875,could,I,sv,u-52-7
sw3238B-ms98-a-0045,285.811875,286.000625,have,I,sv,u-52-7
sw3238B-ms98-a-0045,286.000625,286.040625,a,I,sv,u-52-7
sw3238B-ms98-a-0045,286.040625,286.210625,full,I,sv,u-52-7
sw3238B-ms98-a-0045,286.210625,286.430625,time,I,sv,u-52-7
sw3238B-ms98-a-0045,286.430625,286.660625,job,I,sv,u-52-7
sw3238B-ms98-a-0045,286.660625,286.770625,and,I,sv,u-52-7
sw3238B-ms98-a-0045,286.770625,286.920625,ever,I,sv,u-52-7
sw3238B-ms98-a-0045,286.920625,287.110625,have,I,sv,u-52-7
sw3238B-ms98-a-0045,287.110625,287.240625,any,I,sv,u-52-7
sw3238B-ms98-a-0045,287.240625,287.780625,vacation,I,sv,u-52-7
