sw2038A-ms98-a-0003,2.443875,2.780125,yep,O,,
sw2038A-ms98-a-0009,46.040625,46.280625,in,I,sv,u-6-4
sw2038A-ms98-a-0009,46.280625,46.474375,uh,I,sv,u-6-4
sw2038A-ms98-a-0009,46.835875,47.040625,our,I,sv,u-6-4
sw2038A-ms98-a-0009,47.040625,47.530625,actions,I,sv,u-6-4
sw2038A-ms98-a-0009,47.530625,47.910625,dealing,I,sv,u-6-4
sw2038A-ms98-a-0009,47.910625,48.216625,with,I,sv,u-6-4
sw2038A-ms98-a-0009,48.751375,49.120625,uh,I,sv,u-6-4
sw2038A-ms98-a-0009,49.120625,50.054875,Noriega,I,sv,u-6-4
sw2038A-ms98-a-0009,50.239500,50.410625,in,I,sv,u-6-4
sw2038A-ms98-a-0009,50.410625,50.701375,this,I,sv,u-6-4
sw2038A-ms98-a-0011,73.689875,74.129875,uh-huh,B,b,u-8-1
sw2038A-ms98-a-0013,89.573375,89.888375,no,B,nn,u-10-1
sw2038A-ms98-a-0013,89.888375,89.978375,i,B,sd^e,u-10-2
sw2038A-ms98-a-0013,89.978375,90.583875,haven't,I,sd^e,u-10-2
sw2038A-ms98-a-0015,131.921625,132.426750,i,B,na,u-12-1
sw2038A-ms98-a-0015,132.426750,132.567375,i,I,na,u-12-1
sw2038A-ms98-a-0015,132.567375,132.757375,have,I,na,u-12-1
sw2038A-ms98-a-0015,132.757375,133.337375,a,I,na,u-12-1
sw2038A-ms98-a-0015,133.337375,133.387375,a,I,na,u-12-1
sw2038A-ms98-a-0015,133.387375,133.707375,little,I,na,u-12-1
sw2038A-ms98-a-0015,133.707375,133.847375,bit,I,na,u-12-1
sw2038A-ms98-a-0015,133.847375,133.907375,i,B,sd^e,u-12-2
sw2038A-ms98-a-0015,133.907375,134.187375,can't,I,sd^e,u-12-2
sw2038A-ms98-a-0015,134.187375,134.357375,say,I,sd^e,u-12-2
sw2038A-ms98-a-0015,134.357375,134.657375,that,I,sd^e,u-12-2
sw2038A-ms98-a-0015,134.657375,134.727375,i'm,I,sd^e,u-12-2
sw2038A-ms98-a-0015,134.727375,135.017375,i,I,sd^e,u-12-2
sw2038A-ms98-a-0015,135.017375,135.047375,i,I,sd^e,u-12-2
sw2038A-ms98-a-0015,135.047375,135.247375,would,I,sd^e,u-12-2
sw2038A-ms98-a-0015,135.247375,135.377375,be,I,sd^e,u-12-2
sw2038A-ms98-a-0015,135.377375,135.543125,an,I,sd^e,u-12-2
sw2038A-ms98-a-0015,136.070375,136.577375,expert,I,sd^e,u-12-2
sw2038A-ms98-a-0015,136.577375,136.777375,on,I,sd^e,u-12-2
sw2038A-ms98-a-0015,136.777375,137.007375,the,I,sd^e,u-12-2
sw2038A-ms98-a-0015,137.007375,137.127375,on,I,sd^e,u-12-2
sw2038A-ms98-a-0015,137.127375,137.257375,the,I,sd^e,u-12-2
sw2038A-ms98-a-0015,137.257375,137.687375,region,I,sd^e,u-12-2
sw2038A-ms98-a-0015,137.687375,138.037375,but,B,%,u-12-3
sw2038A-ms98-a-0015,138.037375,138.288875,uh,I,%,u-12-3
sw2038A-ms98-a-0015,139.256875,139.847375,certainly,I,%,u-12-3
sw2038A-ms98-a-0015,139.847375,140.301875,uh,I,%,u-12-3
sw2038A-ms98-a-0015,141.120375,141.803375,i,I,%,u-12-3
sw2038A-ms98-a-0016,143.532125,143.644375,it,I,%,u-12-3
sw2038A-ms98-a-0016,143.644375,143.844375,it,I,%,u-12-3
sw2038A-ms98-a-0016,143.844375,144.144375,gets,I,%,u-12-3
sw2038A-ms98-a-0016,144.144375,144.395750,it,I,%,u-12-3
sw2038A-ms98-a-0016,144.395750,144.654375,g[ets]-,I,%,u-12-3
sw2038A-ms98-a-0016,144.654375,144.904375,there,I,%,u-12-3
sw2038A-ms98-a-0016,144.904375,145.194375,you,O,,
sw2038A-ms98-a-0016,145.194375,145.364375,you've,B,sv,u-12-5
sw2038A-ms98-a-0016,145.364375,145.564375,got,I,sv,u-12-5
sw2038A-ms98-a-0016,145.564375,145.954375,this,I,sv,u-12-5
sw2038A-ms98-a-0016,145.954375,146.144375,this,I,sv,u-12-5
sw2038A-ms98-a-0016,146.144375,146.534375,toss,I,sv,u-12-5
sw2038A-ms98-a-0016,146.534375,146.694375,up,I,sv,u-12-5
sw2038A-ms98-a-0016,146.694375,146.984375,bet[ween]-,O,,
sw2038A-ms98-a-0016,146.984375,147.104375,or,B,sv,u-12-6
sw2038A-ms98-a-0016,147.104375,147.324375,not,I,sv,u-12-6
sw2038A-ms98-a-0016,147.324375,147.494375,not,I,sv,u-12-6
sw2038A-ms98-a-0016,147.494375,147.604375,so,I,sv,u-12-6
sw2038A-ms98-a-0016,147.604375,147.734375,much,I,sv,u-12-6
sw2038A-ms98-a-0016,147.734375,147.804375,a,I,sv,u-12-6
sw2038A-ms98-a-0016,147.804375,148.124375,toss,I,sv,u-12-6
sw2038A-ms98-a-0016,148.124375,148.224375,up,I,sv,u-12-6
sw2038A-ms98-a-0016,148.224375,148.514375,but,I,sv,u-12-6
sw2038A-ms98-a-0016,148.514375,148.574375,a,I,sv,u-12-6
sw2038A-ms98-a-0016,148.574375,148.644375,a,I,sv,u-12-6
sw2038A-ms98-a-0016,148.644375,149.174375,dilemma,I,sv,u-12-6
sw2038A-ms98-a-0016,149.174375,149.401750,when,I,sv,u-12-6
sw2038A-ms98-a-0016,149.808500,149.934375,when,I,sv,u-12-6
sw2038A-ms98-a-0016,149.934375,150.064375,you,I,sv,u-12-6
sw2038A-ms98-a-0016,150.064375,150.605000,want,I,sv,u-12-6
sw2038A-ms98-a-0016,150.605000,150.724375,a,I,sv,u-12-6
sw2038A-ms98-a-0016,150.724375,151.184375,country,I,sv,u-12-6
sw2038A-ms98-a-0016,151.184375,151.354375,to,I,sv,u-12-6
sw2038A-ms98-a-0016,151.354375,151.664375,have,I,sv,u-12-6
sw2038A-ms98-a-0016,151.664375,152.164000,it's,I,sv,u-12-6
sw2038A-ms98-a-0016,152.461500,152.764375,it's,I,sv,u-12-6
sw2038A-ms98-a-0016,152.764375,153.245250,um,I,sv,u-12-6
sw2038A-ms98-a-0017,154.238000,154.616750,own,I,sv,u-12-6
sw2038A-ms98-a-0017,154.616750,155.012125,uh,I,sv,u-12-6
sw2038A-ms98-a-0017,155.192875,155.626750,dominion,I,sv,u-12-6
sw2038A-ms98-a-0017,155.626750,155.726750,or,I,sv,u-12-6
sw2038A-ms98-a-0017,155.726750,155.866750,its,I,sv,u-12-6
sw2038A-ms98-a-0017,155.866750,156.126750,free,I,sv,u-12-6
sw2038A-ms98-a-0017,156.126750,156.666750,rein,I,sv,u-12-6
sw2038A-ms98-a-0017,156.666750,157.096750,over,I,sv,u-12-6
sw2038A-ms98-a-0017,157.096750,157.444750,its,I,sv,u-12-6
sw2038A-ms98-a-0017,157.444750,157.666750,its,I,sv,u-12-6
sw2038A-ms98-a-0017,157.666750,157.986750,own,I,sv,u-12-6
sw2038A-ms98-a-0017,157.986750,158.452750,people,I,sv,u-12-6
sw2038A-ms98-a-0017,158.859500,159.016750,and,B,o@,u-12-7
sw2038A-ms98-a-0017,159.016750,159.156750,then,I,o@,u-12-7
sw2038A-ms98-a-0017,159.156750,159.267750,on,I,o@,u-12-7
sw2038A-ms98-a-0017,159.267750,159.422250,the,I,o@,u-12-7
sw2038A-ms98-a-0017,159.422250,159.596750,other,I,o@,u-12-7
sw2038A-ms98-a-0017,159.596750,160.106750,hand,I,o@,u-12-7
sw2038A-ms98-a-0017,160.106750,160.605250,uh,I,o@,u-12-7
sw2038A-ms98-a-0017,161.211625,161.625125,the,I,o@,u-12-7
sw2038A-ms98-a-0017,161.625125,161.907500,uh,I,o@,u-12-7
sw2038A-ms98-a-0018,162.717500,162.890750,the,I,o@,u-12-7
sw2038A-ms98-a-0018,162.890750,163.580750,government,I,o@,u-12-7
sw2038A-ms98-a-0018,163.580750,163.750750,in,I,o@,u-12-7
sw2038A-ms98-a-0018,163.750750,164.280750,power,I,o@,u-12-7
sw2038A-ms98-a-0018,164.280750,164.480500,that,I,o@,u-12-7
sw2038A-ms98-a-0018,165.120875,165.569875,under,I,o@,u-12-7
sw2038A-ms98-a-0018,165.980375,166.139625,what,I,o@,u-12-7
sw2038A-ms98-a-0018,166.139625,166.523875,seem,I,o@,u-12-7
sw2038A-ms98-a-0018,166.523875,166.770750,what,I,o@,u-12-7
sw2038A-ms98-a-0018,166.770750,166.990750,seems,I,o@,u-12-7
sw2038A-ms98-a-0018,166.990750,167.050750,to,I,o@,u-12-7
sw2038A-ms98-a-0018,167.050750,167.130750,be,I,o@,u-12-7
sw2038A-ms98-a-0018,167.130750,167.590750,popular,I,o@,u-12-7
sw2038A-ms98-a-0018,167.590750,168.100000,support,I,o@,u-12-7
sw2038A-ms98-a-0018,168.665000,168.900000,uh,I,o@,u-12-7
sw2038A-ms98-a-0018,168.900000,169.857625,Sandinistas,I,o@,u-12-7
sw2038A-ms98-a-0018,169.857625,170.424000,had,I,o@,u-12-7
sw2038A-ms98-a-0018,170.992750,171.090750,to,I,o@,u-12-7
sw2038A-ms98-a-0018,171.090750,171.170750,a,I,o@,u-12-7
sw2038A-ms98-a-0018,171.170750,171.420750,given,I,o@,u-12-7
sw2038A-ms98-a-0018,171.420750,171.810750,extent,I,o@,u-12-7
sw2038A-ms98-a-0018,171.810750,172.515000,popular,I,o@,u-12-7
sw2038A-ms98-a-0018,172.515000,173.290875,support,I,o@,u-12-7
sw2038A-ms98-a-0018,173.977875,174.587750,um,I,o@,u-12-7
sw2038A-ms98-a-0018,175.130125,175.801000,starts,I,o@,u-12-7
sw2038A-ms98-a-0019,176.673000,177.116250,making,I,o@,u-12-7
sw2038A-ms98-a-0019,177.116250,177.686250,overtures,I,o@,u-12-7
sw2038A-ms98-a-0019,177.686250,177.806250,to,I,o@,u-12-7
sw2038A-ms98-a-0019,177.806250,177.886250,the,I,o@,u-12-7
sw2038A-ms98-a-0019,177.886250,178.356250,Soviet,I,o@,u-12-7
sw2038A-ms98-a-0019,178.356250,178.846250,Union,I,o@,u-12-7
sw2038A-ms98-a-0019,178.846250,179.186250,and,I,o@,u-12-7
sw2038A-ms98-a-0019,179.186250,179.566125,and,I,o@,u-12-7
sw2038A-ms98-a-0019,179.897625,180.276250,into,I,o@,u-12-7
sw2038A-ms98-a-0019,180.276250,180.526250,what,I,o@,u-12-7
sw2038A-ms98-a-0019,180.526250,180.696250,we,I,o@,u-12-7
sw2038A-ms98-a-0019,180.696250,181.266250,consider,I,o@,u-12-7
sw2038A-ms98-a-0019,181.266250,181.446250,our,I,o@,u-12-7
sw2038A-ms98-a-0019,181.446250,182.078625,sphere,I,o@,u-12-7
sw2038A-ms98-a-0019,182.485375,182.616250,of,I,o@,u-12-7
sw2038A-ms98-a-0019,182.616250,183.266250,influence,I,o@,u-12-7
sw2038A-ms98-a-0019,183.266250,183.446250,and,B,sv,u-12-8
sw2038A-ms98-a-0019,183.446250,183.646250,now,I,sv,u-12-8
sw2038A-ms98-a-0019,183.646250,183.946125,we're,I,sv,u-12-8
sw2038A-ms98-a-0019,184.303875,184.436250,we're,I,sv,u-12-8
sw2038A-ms98-a-0019,184.436250,184.536250,in,I,sv,u-12-8
sw2038A-ms98-a-0019,184.536250,184.716250,this,I,sv,u-12-8
sw2038A-ms98-a-0019,184.716250,185.106250,dilemma,I,sv,u-12-8
sw2038A-ms98-a-0019,185.106250,185.626250,over,I,sv,u-12-8
sw2038A-ms98-a-0020,186.417000,186.957250,uh,I,sv,u-12-8
sw2038A-ms98-a-0020,186.957250,187.427250,United,I,sv,u-12-8
sw2038A-ms98-a-0020,187.427250,187.857250,States,I,sv,u-12-8
sw2038A-ms98-a-0020,187.857250,188.177500,is,I,sv,u-12-8
sw2038A-ms98-a-0020,188.403500,188.787250,believes,I,sv,u-12-8
sw2038A-ms98-a-0020,188.787250,189.027250,in,I,sv,u-12-8
sw2038A-ms98-a-0020,189.027250,189.697250,Democracy,I,sv,u-12-8
sw2038A-ms98-a-0020,189.697250,189.997250,and,I,sv,u-12-8
sw2038A-ms98-a-0020,189.997250,190.447250,and,I,sv,u-12-8
sw2038A-ms98-a-0020,190.447250,191.627250,self-determination,I,sv,u-12-8
sw2038A-ms98-a-0020,191.627250,191.857250,where,I,sv,u-12-8
sw2038A-ms98-a-0020,191.857250,191.987750,a[nd]-,O,,
sw2038A-ms98-a-0020,192.157250,192.357250,but,B,%,u-12-9
sw2038A-ms98-a-0020,192.357250,192.487250,that,I,%,u-12-9
sw2038A-ms98-a-0020,192.487250,192.667250,on,B,sv,u-12-10
sw2038A-ms98-a-0020,192.667250,192.727250,the,I,sv,u-12-10
sw2038A-ms98-a-0020,192.727250,192.857250,other,I,sv,u-12-10
sw2038A-ms98-a-0020,192.857250,193.087250,hand,I,sv,u-12-10
sw2038A-ms98-a-0020,193.087250,193.177250,we,I,sv,u-12-10
sw2038A-ms98-a-0020,193.177250,193.537250,believe,I,sv,u-12-10
sw2038A-ms98-a-0020,193.537250,193.677250,in,I,sv,u-12-10
sw2038A-ms98-a-0020,193.677250,194.887250,self-preservation,I,sv,u-12-10
sw2038A-ms98-a-0020,194.887250,195.191125,and,I,sv,u-12-10
sw2038A-ms98-a-0021,195.775125,196.325125,uh,I,sv,u-12-10
sw2038A-ms98-a-0021,196.325125,196.675125,agree,I,sv,u-12-10
sw2038A-ms98-a-0021,196.675125,197.191750,with,I,sv,u-12-10
sw2038A-ms98-a-0021,197.357500,197.455125,the,I,sv,u-12-10
sw2038A-ms98-a-0021,197.455125,197.591000,or,I,sv,u-12-10
sw2038A-ms98-a-0021,198.114500,198.255125,not,I,sv,u-12-10
sw2038A-ms98-a-0021,198.255125,198.345125,so,I,sv,u-12-10
sw2038A-ms98-a-0021,198.345125,198.475125,much,I,sv,u-12-10
sw2038A-ms98-a-0021,198.475125,198.745125,agree,I,sv,u-12-10
sw2038A-ms98-a-0021,198.745125,198.915125,with,I,sv,u-12-10
sw2038A-ms98-a-0021,198.915125,199.045125,but,I,sv,u-12-10
sw2038A-ms98-a-0021,199.045125,199.247875,are,I,sv,u-12-10
sw2038A-ms98-a-0021,199.496500,199.965125,terribly,I,sv,u-12-10
sw2038A-ms98-a-0021,199.965125,200.505125,concerned,I,sv,u-12-10
sw2038A-ms98-a-0021,200.505125,200.975125,about,I,sv,u-12-10
sw2038A-ms98-a-0021,200.975125,201.227250,the,I,sv,u-12-10
sw2038A-ms98-a-0021,202.266875,202.765125,inf[luence]-,I,sv,u-12-10
sw2038A-ms98-a-0021,202.765125,203.295125,Soviet,I,sv,u-12-10
sw2038A-ms98-a-0021,203.295125,203.875125,influence,I,sv,u-12-10
sw2038A-ms98-a-0021,203.875125,204.115125,in,I,sv,u-12-10
sw2038A-ms98-a-0021,204.115125,204.395125,in,I,sv,u-12-10
sw2038A-ms98-a-0021,204.395125,204.585125,what's,I,sv,u-12-10
sw2038A-ms98-a-0021,204.585125,205.015125,considered,I,sv,u-12-10
sw2038A-ms98-a-0021,205.015125,205.105125,to,I,sv,u-12-10
sw2038A-ms98-a-0021,205.105125,205.215125,be,I,sv,u-12-10
sw2038A-ms98-a-0021,205.215125,205.275125,the,I,sv,u-12-10
sw2038A-ms98-a-0021,205.275125,205.625125,United,I,sv,u-12-10
sw2038A-ms98-a-0021,205.625125,205.995125,States',I,sv,u-12-10
sw2038A-ms98-a-0021,205.995125,206.416125,fear,I,sv,u-12-10
sw2038A-ms98-a-0021,206.875625,207.055125,of,I,sv,u-12-10
sw2038A-ms98-a-0021,207.055125,207.115125,the,I,sv,u-12-10
sw2038A-ms98-a-0021,207.115125,207.415125,world,I,sv,u-12-10
sw2038A-ms98-a-0021,207.415125,207.595125,which,I,sv,u-12-10
sw2038A-ms98-a-0021,207.595125,208.005125,is,I,sv,u-12-10
sw2038A-ms98-a-0021,208.005125,208.315125,not,I,sv,u-12-10
sw2038A-ms98-a-0021,208.315125,208.675125,only,I,sv,u-12-10
sw2038A-ms98-a-0022,209.439625,209.654000,you,I,sv,u-12-10
sw2038A-ms98-a-0022,209.654000,209.814000,we,I,sv,u-12-10
sw2038A-ms98-a-0022,209.814000,209.974000,used,I,sv,u-12-10
sw2038A-ms98-a-0022,209.974000,210.064000,to,I,sv,u-12-10
sw2038A-ms98-a-0022,210.064000,210.304000,see,I,sv,u-12-10
sw2038A-ms98-a-0022,210.304000,210.954000,spheres,I,sv,u-12-10
sw2038A-ms98-a-0022,210.954000,211.104000,but,B,sv,u-12-11
sw2038A-ms98-a-0022,211.104000,211.532125,now,I,sv,u-12-11
sw2038A-ms98-a-0022,211.532125,211.764000,we're,I,sv,u-12-11
sw2038A-ms98-a-0022,211.764000,211.844000,in,I,sv,u-12-11
sw2038A-ms98-a-0022,211.844000,211.874000,a,I,sv,u-12-11
sw2038A-ms98-a-0022,211.874000,212.624000,situation,I,sv,u-12-11
sw2038A-ms98-a-0022,212.624000,212.944000,where,I,sv,u-12-11
sw2038A-ms98-a-0022,212.944000,213.004000,the,I,sv,u-12-11
sw2038A-ms98-a-0022,213.004000,213.394000,United,I,sv,u-12-11
sw2038A-ms98-a-0022,213.394000,213.814000,States,I,sv,u-12-11
sw2038A-ms98-a-0022,213.814000,214.232000,is,I,sv,u-12-11
sw2038A-ms98-a-0022,214.921250,215.154000,looks,I,sv,u-12-11
sw2038A-ms98-a-0022,215.154000,215.354000,like,I,sv,u-12-11
sw2038A-ms98-a-0022,215.354000,215.664000,we're,I,sv,u-12-11
sw2038A-ms98-a-0022,215.664000,215.892375,it,I,sv,u-12-11
sw2038A-ms98-a-0022,215.892375,216.342500,now,I,sv,u-12-11
sw2038A-ms98-a-0024,231.081625,231.469125,um-hum,B,b,u-14-1
sw2038A-ms98-a-0026,258.803875,259.270250,right,B,b,u-16-1
sw2038A-ms98-a-0028,278.687750,278.884250,well,B,sv,u-18-1
sw2038A-ms98-a-0028,278.884250,278.994250,he,I,sv,u-18-1
sw2038A-ms98-a-0028,278.994250,279.324250,doesn't,I,sv,u-18-1
sw2038A-ms98-a-0028,279.324250,279.564250,care,I,sv,u-18-1
sw2038A-ms98-a-0028,279.564250,279.704250,as,I,sv,u-18-1
sw2038A-ms98-a-0028,279.704250,279.914250,long,I,sv,u-18-1
sw2038A-ms98-a-0028,279.914250,280.014250,as,I,sv,u-18-1
sw2038A-ms98-a-0028,280.014250,280.214250,he's,I,sv,u-18-1
sw2038A-ms98-a-0028,280.214250,280.574250,feeding,I,sv,u-18-1
sw2038A-ms98-a-0028,280.574250,280.844250,his,I,sv,u-18-1
sw2038A-ms98-a-0028,280.844250,281.156500,uh,I,sv,u-18-1
sw2038A-ms98-a-0028,281.585875,281.764250,his,I,sv,u-18-1
sw2038A-ms98-a-0028,281.764250,282.371375,family,I,sv,u-18-1
sw2038A-ms98-a-0030,306.819750,307.051750,yeah,B,b,u-20-1
sw2038A-ms98-a-0030,307.051750,307.421750,oh,O,,
sw2038A-ms98-a-0030,307.421750,307.691750,you,O,,
sw2038A-ms98-a-0030,307.691750,307.921750,can,O,,
sw2038A-ms98-a-0030,307.921750,308.091750,look,O,,
sw2038A-ms98-a-0030,308.091750,308.376000,in,B,%,u-20-3
sw2038A-ms98-a-0031,309.887125,310.062625,i[f]-,O,,
sw2038A-ms98-a-0031,310.062625,310.262250,y[ou]-,O,,
sw2038A-ms98-a-0031,310.262250,310.712625,p[retty]-,O,,
sw2038A-ms98-a-0031,310.712625,310.822625,if,B,sd,u-20-4
sw2038A-ms98-a-0031,310.822625,311.032625,you,I,sd,u-20-4
sw2038A-ms98-a-0031,311.032625,311.182625,look,I,sd,u-20-4
sw2038A-ms98-a-0031,311.182625,311.262625,at,I,sd,u-20-4
sw2038A-ms98-a-0031,311.262625,311.362625,the,I,sd,u-20-4
sw2038A-ms98-a-0031,311.362625,311.972625,region,I,sd,u-20-4
sw2038A-ms98-a-0031,311.972625,312.327625,and,O,,
sw2038A-ms98-a-0031,313.129875,313.272625,and,O,,
sw2038A-ms98-a-0031,313.272625,313.542625,on,O,,
sw2038A-ms98-a-0031,313.542625,313.762625,to,B,sd,u-20-5
