sw2020B-ms98-a-0002,2.539000,2.931500,hi,B,fp^m,u-2-1
sw2020B-ms98-a-0011,55.001375,55.227750,a,I,sd,u-12-1
sw2020B-ms98-a-0011,55.227750,55.310625,a,I,sd,u-12-1
sw2020B-ms98-a-0011,55.310625,55.512125,lot,I,sd,u-12-1
sw2020B-ms98-a-0011,55.512125,55.602125,of,I,sd,u-12-1
sw2020B-ms98-a-0011,55.602125,55.922125,different,I,sd,u-12-1
sw2020B-ms98-a-0011,55.922125,56.382125,forms,I,sd,u-12-1
sw2020B-ms98-a-0011,56.382125,56.522125,of,I,sd,u-12-1
sw2020B-ms98-a-0011,56.522125,56.942125,music,I,sd,u-12-1
sw2020B-ms98-a-0011,56.942125,57.205000,so,B,sd,u-12-2
sw2020B-ms98-a-0011,57.205000,57.333125,i,I,sd,u-12-2
sw2020B-ms98-a-0011,57.333125,57.892125,switch,I,sd,u-12-2
sw2020B-ms98-a-0011,58.178375,58.449625,quite,I,sd,u-12-2
sw2020B-ms98-a-0011,58.449625,58.998875,often,I,sd,u-12-2
sw2020B-ms98-a-0011,59.586500,60.092750,um,B,sd,u-12-3
sw2020B-ms98-a-0011,60.657625,60.753875,i-,I,sd,u-12-3
sw2020B-ms98-a-0011,60.753875,60.885750,i,I,sd,u-12-3
sw2020B-ms98-a-0011,60.885750,61.037500,think,I,sd,u-12-3
sw2020B-ms98-a-0011,61.037500,61.138125,i,I,sd,u-12-3
sw2020B-ms98-a-0011,61.138125,61.386625,like,I,sd,u-12-3
sw2020B-ms98-a-0011,61.386625,61.502125,uh,O,,
sw2020B-ms98-a-0012,63.239750,63.409750,i,B,sd,u-12-4
sw2020B-ms98-a-0013,64.831375,64.969375,i'm,I,sd,u-12-4
sw2020B-ms98-a-0013,64.969375,65.201875,really,I,sd,u-12-4
sw2020B-ms98-a-0013,65.201875,65.776875,particular,I,sd,u-12-4
sw2020B-ms98-a-0013,65.776875,65.896750,about,I,sd,u-12-4
sw2020B-ms98-a-0013,65.896750,65.998375,the,I,sd,u-12-4
sw2020B-ms98-a-0013,65.998375,66.201375,type,I,sd,u-12-4
sw2020B-ms98-a-0013,66.201375,66.301375,of,I,sd,u-12-4
sw2020B-ms98-a-0013,66.301375,66.641375,music,I,sd,u-12-4
sw2020B-ms98-a-0013,66.641375,66.727375,that,I,sd,u-12-4
sw2020B-ms98-a-0013,66.727375,66.836625,i,I,sd,u-12-4
sw2020B-ms98-a-0013,66.836625,67.216750,listen,I,sd,u-12-4
sw2020B-ms98-a-0013,67.345000,67.672625,to,I,sd,u-12-4
sw2020B-ms98-a-0013,68.271375,68.642625,but,B,%,u-14-1
sw2020B-ms98-a-0013,69.281375,69.740375,the,I,%,u-14-1
sw2020B-ms98-a-0013,70.143375,70.413250,uh,I,%,u-14-1
sw2020B-ms98-a-0013,70.413250,70.661375,th[ere's]-,O,,
sw2020B-ms98-a-0013,70.821375,70.981375,there's,B,sd,u-14-2
sw2020B-ms98-a-0013,70.981375,71.169375,such,I,sd,u-14-2
sw2020B-ms98-a-0013,71.169375,71.278625,a,I,sd,u-14-2
sw2020B-ms98-a-0013,71.278625,71.541375,wide,I,sd,u-14-2
sw2020B-ms98-a-0013,71.541375,71.910500,selection,I,sd,u-14-2
sw2020B-ms98-a-0013,71.910500,72.042750,i,B,sd,u-14-3
sw2020B-ms98-a-0013,72.042750,72.215500,think,I,sd,u-14-3
sw2020B-ms98-a-0013,72.215500,72.332250,i,I,sd,u-14-3
sw2020B-ms98-a-0013,72.332250,72.587750,like,I,sd,u-14-3
sw2020B-ms98-a-0013,72.587750,72.689250,a,I,sd,u-14-3
sw2020B-ms98-a-0013,72.689250,73.141375,lot,I,sd,u-14-3
sw2020B-ms98-a-0014,73.773750,73.858875,or,I,sd,u-14-3
sw2020B-ms98-a-0014,73.858875,73.929375,i,I,sd,u-14-3
sw2020B-ms98-a-0014,73.929375,74.056000,like,I,sd,u-14-3
sw2020B-ms98-a-0014,74.056000,74.140625,a,I,sd,u-14-3
sw2020B-ms98-a-0014,74.140625,74.413750,little,I,sd,u-14-3
sw2020B-ms98-a-0014,74.413750,74.525375,bit,I,sd,u-14-3
sw2020B-ms98-a-0014,74.525375,74.622750,of,I,sd,u-14-3
sw2020B-ms98-a-0014,74.622750,74.716625,a,I,sd,u-14-3
sw2020B-ms98-a-0014,74.716625,74.942625,lot,I,sd,u-14-3
sw2020B-ms98-a-0014,74.942625,75.043750,of,I,sd,u-14-3
sw2020B-ms98-a-0014,75.043750,75.363750,different,I,sd,u-14-3
sw2020B-ms98-a-0014,75.363750,75.574000,types,I,sd,u-14-3
sw2020B-ms98-a-0014,75.574000,75.741500,of,I,sd,u-14-3
sw2020B-ms98-a-0014,75.741500,76.242500,music,I,sd,u-14-3
sw2020B-ms98-a-0014,76.546750,76.640875,you,B,sd,u-14-4
sw2020B-ms98-a-0014,76.640875,76.713750,know,I,sd,u-14-4
sw2020B-ms98-a-0014,76.713750,76.847375,i,I,sd,u-14-4
sw2020B-ms98-a-0014,76.847375,77.140875,i,I,sd,u-14-4
sw2020B-ms98-a-0014,77.140875,77.482500,i[t]-,I,sd,u-14-4
sw2020B-ms98-a-0015,78.129250,78.370000,i,I,sd,u-14-4
sw2020B-ms98-a-0015,78.560625,78.698500,i,I,sd,u-14-4
sw2020B-ms98-a-0015,78.698500,78.931250,like,I,sd,u-14-4
sw2020B-ms98-a-0015,78.931250,79.331250,music,I,sd,u-14-4
sw2020B-ms98-a-0015,79.331250,79.522375,that,I,sd,u-14-4
sw2020B-ms98-a-0015,79.522375,79.797375,is,I,sd,u-14-4
sw2020B-ms98-a-0015,80.001250,80.179125,that,I,sd,u-14-4
sw2020B-ms98-a-0015,80.179125,80.283875,that,I,sd,u-14-4
sw2020B-ms98-a-0015,80.283875,80.419500,i,I,sd,u-14-4
sw2020B-ms98-a-0015,80.419500,80.675125,feel,I,sd,u-14-4
sw2020B-ms98-a-0015,80.675125,80.878500,if,B,sd,u-14-5
sw2020B-ms98-a-0015,80.878500,81.071250,it's,I,sd,u-14-5
sw2020B-ms98-a-0015,81.071250,81.611250,performed,I,sd,u-14-5
sw2020B-ms98-a-0015,81.611250,82.175375,correctly,I,sd,u-14-5
sw2020B-ms98-a-0015,82.175375,82.355500,or,I,sd,u-14-5
sw2020B-ms98-a-0015,82.355500,82.502125,if,I,sd,u-14-5
sw2020B-ms98-a-0015,82.502125,82.679125,it's,I,sd,u-14-5
sw2020B-ms98-a-0015,82.679125,82.888875,done,I,sd,u-14-5
sw2020B-ms98-a-0015,82.888875,83.118375,right,I,sd,u-14-5
sw2020B-ms98-a-0015,83.118375,83.322125,or,I,sd,u-14-5
sw2020B-ms98-a-0015,83.710125,83.910875,if,I,sd,u-14-5
sw2020B-ms98-a-0015,83.910875,84.076625,the,I,sd,u-14-5
sw2020B-ms98-a-0015,84.076625,84.499750,version,I,sd,u-14-5
sw2020B-ms98-a-0015,84.499750,84.601750,is,I,sd,u-14-5
sw2020B-ms98-a-0015,84.711000,84.945125,done,I,sd,u-14-5
sw2020B-ms98-a-0015,84.945125,85.340375,[laughter-right],I,sd,u-14-5
sw2020B-ms98-a-0015,85.340375,85.468500,i,I,sd,u-14-5
sw2020B-ms98-a-0015,85.468500,85.821250,like,I,sd,u-14-5
sw2020B-ms98-a-0015,85.821250,86.021250,it,I,sd,u-14-5
sw2020B-ms98-a-0015,86.021250,86.171750,but,B,sd,u-16-1
sw2020B-ms98-a-0015,86.643500,86.767750,if,I,sd,u-16-1
sw2020B-ms98-a-0015,86.844875,86.961625,it,I,sd,u-16-1
sw2020B-ms98-a-0015,86.961625,87.111250,if,I,sd,u-16-1
sw2020B-ms98-a-0015,87.111250,87.331250,it's,I,sd,u-16-1
sw2020B-ms98-a-0015,87.331250,87.661250,not,I,sd,u-16-1
sw2020B-ms98-a-0015,87.661250,87.765375,then,I,sd,u-16-1
sw2020B-ms98-a-0015,87.765375,87.938625,i,I,sd,u-16-1
sw2020B-ms98-a-0015,87.938625,88.235000,won't,I,sd,u-16-1
sw2020B-ms98-a-0015,88.235000,88.622750,[laughter],O,,
sw2020B-ms98-a-0015,88.622750,88.795250,i,B,sd,u-16-2
sw2020B-ms98-a-0015,88.795250,88.945250,i,I,sd,u-16-2
sw2020B-ms98-a-0015,88.945250,89.163625,really,I,sd,u-16-2
sw2020B-ms98-a-0015,89.163625,89.574875,don't,I,sd,u-16-2
sw2020B-ms98-a-0016,91.514125,92.092500,rap,B,b^m,u-18-1
sw2020B-ms98-a-0017,93.427125,93.751750,yeah,B,b,u-20-1
sw2020B-ms98-a-0017,94.059250,94.285000,well,B,sd,u-20-2
sw2020B-ms98-a-0017,94.285000,94.451125,i,I,sd,u-20-2
sw2020B-ms98-a-0017,94.451125,94.594250,i,I,sd,u-20-2
sw2020B-ms98-a-0017,94.594250,94.758000,don't,I,sd,u-20-2
sw2020B-ms98-a-0017,94.758000,94.928000,really,I,sd,u-20-2
sw2020B-ms98-a-0017,94.928000,95.098000,have,I,sd,u-20-2
sw2020B-ms98-a-0017,95.098000,95.378000,anything,I,sd,u-20-2
sw2020B-ms98-a-0017,95.378000,95.809375,against,I,sd,u-20-2
sw2020B-ms98-a-0017,95.926125,96.268000,rap,I,sd,u-20-2
sw2020B-ms98-a-0017,96.268000,96.678000,music,I,sd,u-20-2
sw2020B-ms98-a-0017,96.781750,97.001500,i,B,%,u-20-3
sw2020B-ms98-a-0017,97.253875,97.357875,d[o]-,O,,
sw2020B-ms98-a-0017,97.451625,97.613625,the,B,sd,u-20-4
sw2020B-ms98-a-0017,97.613625,97.804625,one,I,sd,u-20-4
sw2020B-ms98-a-0017,97.804625,97.925750,thing,I,sd,u-20-4
sw2020B-ms98-a-0017,97.925750,98.132875,i,I,sd,u-20-4
sw2020B-ms98-a-0017,98.132875,98.268000,do,I,sd,u-20-4
sw2020B-ms98-a-0017,98.268000,98.718000,object,I,sd,u-20-4
sw2020B-ms98-a-0017,98.718000,99.183500,to,I,sd,u-20-4
sw2020B-ms98-a-0017,99.375500,99.568000,about,I,sd,u-20-4
sw2020B-ms98-a-0017,99.568000,99.779000,rap,I,sd,u-20-4
sw2020B-ms98-a-0017,99.779000,100.140625,music,I,sd,u-20-4
sw2020B-ms98-a-0017,100.140625,100.408000,is,I,sd,u-20-4
sw2020B-ms98-a-0017,100.578000,100.728000,is,I,sd,u-20-4
sw2020B-ms98-a-0017,100.728000,100.778000,i[t]-,I,sd,u-20-4
sw2020B-ms98-a-0018,101.463500,101.590875,when,I,sd,u-20-4
sw2020B-ms98-a-0018,101.590875,101.704875,it,I,sd,u-20-4
sw2020B-ms98-a-0018,101.704875,102.054750,becomes,I,sd,u-20-4
sw2020B-ms98-a-0018,102.054750,102.691250,militant,I,sd,u-20-4
sw2020B-ms98-a-0018,103.288125,103.819250,or,B,+,u-22-1
sw2020B-ms98-a-0018,103.819250,104.071250,if,I,+,u-22-1
sw2020B-ms98-a-0018,104.071250,104.391625,it's,I,+,u-22-1
sw2020B-ms98-a-0018,104.391625,104.651500,uh,I,+,u-22-1
sw2020B-ms98-a-0018,104.651500,105.101250,violence,I,+,u-22-1
sw2020B-ms98-a-0018,105.101250,105.672375,oriented,I,+,u-22-1
sw2020B-ms98-a-0018,105.969000,106.154250,i,B,sd,u-24-1
sw2020B-ms98-a-0018,106.154250,106.427250,i'm,I,sd,u-24-1
sw2020B-ms98-a-0018,106.615625,106.771250,i-,I,sd,u-24-1
sw2020B-ms98-a-0018,106.771250,106.945625,i,I,sd,u-24-1
sw2020B-ms98-a-0018,106.945625,107.103875,r[eally]-,I,sd,u-24-1
sw2020B-ms98-a-0018,107.103875,107.255500,i,I,sd,u-24-1
sw2020B-ms98-a-0018,107.255500,107.379750,have,I,sd,u-24-1
sw2020B-ms98-a-0018,107.379750,107.471250,i,I,sd,u-24-1
sw2020B-ms98-a-0018,107.471250,107.599875,have,I,sd,u-24-1
sw2020B-ms98-a-0018,107.599875,108.033000,strong,I,sd,u-24-1
sw2020B-ms98-a-0018,108.033000,108.489125,objections,I,sd,u-24-1
sw2020B-ms98-a-0018,108.489125,108.640625,to,I,sd,u-24-1
sw2020B-ms98-a-0018,108.640625,109.039875,that,I,sd,u-24-1
sw2020B-ms98-a-0018,109.611250,110.141250,um,B,sd,u-24-2
sw2020B-ms98-a-0019,111.019000,111.685000,actually,I,sd,u-24-2
sw2020B-ms98-a-0019,111.685000,111.861875,i,I,sd,u-24-2
sw2020B-ms98-a-0019,111.861875,112.393000,listened,I,sd,u-24-2
sw2020B-ms98-a-0019,112.393000,112.985375,to,I,sd,u-24-2
sw2020B-ms98-a-0019,113.323750,113.602750,one,B,sd,u-24-3
sw2020B-ms98-a-0019,113.602750,113.786750,time,I,sd,u-24-3
sw2020B-ms98-a-0019,113.786750,113.929875,i,I,sd,u-24-3
sw2020B-ms98-a-0019,113.929875,114.357875,-[re]member,I,sd,u-24-3
sw2020B-ms98-a-0019,114.357875,114.657875,it's,I,sd,u-24-3
sw2020B-ms98-a-0019,114.657875,114.897875,this,I,sd,u-24-3
sw2020B-ms98-a-0019,114.897875,115.073750,is,I,sd,u-24-3
sw2020B-ms98-a-0019,115.073750,115.344125,back,I,sd,u-24-3
sw2020B-ms98-a-0019,115.344125,115.656750,when,I,sd,u-24-3
sw2020B-ms98-a-0019,116.201375,116.288000,r[ap]-,I,sd,u-24-3
sw2020B-ms98-a-0019,116.288000,116.707875,even,I,sd,u-24-3
sw2020B-ms98-a-0020,117.925625,118.475625,uh,I,sd,u-24-3
sw2020B-ms98-a-0020,118.777250,118.890250,i,B,sd,u-24-4
sw2020B-ms98-a-0020,118.890250,118.992250,would,I,sd,u-24-4
sw2020B-ms98-a-0020,118.992250,119.184375,say,I,sd,u-24-4
sw2020B-ms98-a-0020,119.184375,119.405625,about,I,sd,u-24-4
sw2020B-ms98-a-0020,119.405625,119.555625,ten,I,sd,u-24-4
sw2020B-ms98-a-0020,119.555625,119.615625,or,I,sd,u-24-4
sw2020B-ms98-a-0020,119.615625,119.965625,fifteen,I,sd,u-24-4
sw2020B-ms98-a-0020,119.965625,120.137250,years,I,sd,u-24-4
sw2020B-ms98-a-0020,120.276625,120.591250,ago,I,sd,u-24-4
sw2020B-ms98-a-0020,120.995125,121.218125,i,I,sd,u-24-4
sw2020B-ms98-a-0021,121.953375,122.256875,yeah,B,ny,u-26-1
sw2020B-ms98-a-0021,122.256875,122.448500,right,B,b,u-26-2
sw2020B-ms98-a-0021,122.448500,122.538500,when,B,sd^m,u-26-3
sw2020B-ms98-a-0021,122.538500,122.617125,it,I,sd^m,u-26-3
sw2020B-ms98-a-0021,122.617125,122.745125,was,I,sd^m,u-26-3
sw2020B-ms98-a-0021,122.745125,123.008625,just,I,sd^m,u-26-3
sw2020B-ms98-a-0021,123.008625,123.392625,starting,I,sd^m,u-26-3
sw2020B-ms98-a-0021,123.392625,123.558250,i,B,+,u-28-1
sw2020B-ms98-a-0021,123.558250,124.054625,heard,I,+,u-28-1
sw2020B-ms98-a-0022,124.918375,125.078375,what,I,+,u-28-1
sw2020B-ms98-a-0022,125.078375,125.228000,was,I,+,u-28-1
sw2020B-ms98-a-0022,125.228000,125.502500,called,I,+,u-28-1
sw2020B-ms98-a-0022,125.502500,125.998125,talking,I,+,u-28-1
sw2020B-ms98-a-0022,125.998125,126.377000,blues,I,+,u-28-1
sw2020B-ms98-a-0022,126.709875,126.968375,which,B,+,u-30-1
sw2020B-ms98-a-0022,126.968375,127.368375,actually,I,+,u-30-1
sw2020B-ms98-a-0022,127.368375,127.538375,is,I,+,u-30-1
sw2020B-ms98-a-0022,127.628375,127.798375,rap,I,+,u-30-1
sw2020B-ms98-a-0022,128.403625,128.863125,and,B,sd,u-32-1
sw2020B-ms98-a-0022,128.863125,128.954875,uh,I,sd,u-32-1
sw2020B-ms98-a-0022,128.954875,129.135750,it,I,sd,u-32-1
sw2020B-ms98-a-0022,129.135750,129.248375,was,I,sd,u-32-1
sw2020B-ms98-a-0022,129.248375,129.679625,about,I,sd,u-32-1
sw2020B-ms98-a-0022,129.679625,130.091000,[laughter-the],O,,
sw2020B-ms98-a-0022,130.091000,130.207750,the,B,sd,u-32-2
sw2020B-ms98-a-0022,130.207750,130.478375,piece,I,sd,u-32-2
sw2020B-ms98-a-0022,130.478375,130.548375,of,I,sd,u-32-2
sw2020B-ms98-a-0022,130.548375,130.930750,mus[ic]-,I,sd,u-32-2
sw2020B-ms98-a-0022,131.153000,131.292375,the,I,sd,u-32-2
sw2020B-ms98-a-0022,131.292375,131.458375,piece,I,sd,u-32-2
sw2020B-ms98-a-0022,131.458375,131.558375,of,I,sd,u-32-2
sw2020B-ms98-a-0022,131.558375,131.868375,music,I,sd,u-32-2
sw2020B-ms98-a-0022,131.868375,132.008375,was,I,sd,u-32-2
sw2020B-ms98-a-0022,132.008375,132.376375,about,I,sd,u-32-2
sw2020B-ms98-a-0022,132.376375,132.493125,i,I,sd,u-32-2
sw2020B-ms98-a-0022,132.493125,132.618375,think,I,sd,u-32-2
sw2020B-ms98-a-0022,132.618375,132.798375,about,I,sd,u-32-2
sw2020B-ms98-a-0022,132.798375,133.068375,forty,I,sd,u-32-2
sw2020B-ms98-a-0022,133.068375,133.138375,or,I,sd,u-32-2
sw2020B-ms98-a-0022,133.138375,133.418375,fifty,I,sd,u-32-2
sw2020B-ms98-a-0022,133.418375,133.638375,years,I,sd,u-32-2
sw2020B-ms98-a-0022,133.638375,133.958375,old,I,sd,u-32-2
sw2020B-ms98-a-0022,134.498625,134.628625,and,B,sd,u-32-3
sw2020B-ms98-a-0022,134.628625,134.741625,it,I,sd,u-32-3
sw2020B-ms98-a-0022,134.741625,134.878375,was,I,sd,u-32-3
sw2020B-ms98-a-0022,134.878375,135.460250,incredible,I,sd,u-32-3
sw2020B-ms98-a-0022,135.460250,135.520500,i,I,sd,u-32-3
sw2020B-ms98-a-0022,135.520500,135.648375,mean,I,sd,u-32-3
sw2020B-ms98-a-0022,135.648375,135.763000,the,I,sd,u-32-3
sw2020B-ms98-a-0022,135.763000,136.290250,parallels,I,sd,u-32-3
sw2020B-ms98-a-0022,136.587375,136.767875,you,I,sd,u-32-3
sw2020B-ms98-a-0022,136.767875,137.012000,know,I,sd,u-32-3
sw2020B-ms98-a-0022,137.012000,137.392375,between,I,sd,u-32-3
sw2020B-ms98-a-0022,137.392375,137.550625,it,I,sd,u-32-3
sw2020B-ms98-a-0022,137.550625,137.768375,and,I,sd,u-32-3
sw2020B-ms98-a-0022,137.768375,138.260750,rap,I,sd,u-32-3
sw2020B-ms98-a-0023,138.860125,139.267500,and,B,sv,u-34-1
sw2020B-ms98-a-0023,139.267500,139.737625,um,I,sv,u-34-1
sw2020B-ms98-a-0023,139.941000,140.137500,you,I,sv,u-34-1
sw2020B-ms98-a-0023,140.137500,140.247500,you,I,sv,u-34-1
sw2020B-ms98-a-0023,140.247500,140.508000,listen,I,sv,u-34-1
sw2020B-ms98-a-0023,140.508000,140.602125,a,I,sv,u-34-1
sw2020B-ms98-a-0023,140.602125,140.897500,lot,I,sv,u-34-1
sw2020B-ms98-a-0023,140.897500,141.007500,if,B,sv,u-34-2
sw2020B-ms98-a-0023,141.007500,141.096625,you,I,sv,u-34-2
sw2020B-ms98-a-0023,141.096625,141.161625,l[isten]-,I,sv,u-34-2
sw2020B-ms98-a-0023,141.161625,141.413375,if,I,sv,u-34-2
sw2020B-ms98-a-0023,141.413375,141.515750,you,I,sv,u-34-2
sw2020B-ms98-a-0023,141.515750,141.647500,l[isten]-,I,sv,u-34-2
sw2020B-ms98-a-0023,141.647500,141.951750,hear,I,sv,u-34-2
sw2020B-ms98-a-0023,141.951750,142.015875,a,I,sv,u-34-2
sw2020B-ms98-a-0023,142.015875,142.145375,lot,I,sv,u-34-2
sw2020B-ms98-a-0023,142.145375,142.235750,of,I,sv,u-34-2
sw2020B-ms98-a-0023,142.235750,142.542000,old,I,sv,u-34-2
sw2020B-ms98-a-0023,142.542000,143.256000,gospel,I,sv,u-34-2
sw2020B-ms98-a-0023,143.629000,144.253750,um,I,sv,u-34-2
sw2020B-ms98-a-0023,144.525000,144.947000,uh,I,sv,u-34-2
sw2020B-ms98-a-0023,145.059375,145.409625,especially_1,I,sv,u-34-2
sw2020B-ms98-a-0023,145.409625,145.526750,well,I,sv,u-34-2
sw2020B-ms98-a-0023,145.526750,145.651125,the,I,sv,u-34-2
sw2020B-ms98-a-0023,145.651125,145.897500,black,I,sv,u-34-2
sw2020B-ms98-a-0023,145.897500,146.470125,gospel,I,sv,u-34-2
sw2020B-ms98-a-0023,146.738625,146.821500,you,B,sv,u-34-3
sw2020B-ms98-a-0023,146.821500,146.939250,know,I,sv,u-34-3
sw2020B-ms98-a-0023,146.939250,147.086375,you,I,sv,u-34-3
sw2020B-ms98-a-0023,147.086375,147.446500,will,I,sv,u-34-3
sw2020B-ms98-a-0023,147.695125,147.757500,you,I,sv,u-34-3
sw2020B-ms98-a-0023,147.757500,147.831625,know,I,sv,u-34-3
sw2020B-ms98-a-0023,147.831625,147.989750,you,I,sv,u-34-3
sw2020B-ms98-a-0023,147.989750,148.118875,can,I,sv,u-34-3
sw2020B-ms98-a-0023,148.118875,148.390625,really,I,sv,u-34-3
sw2020B-ms98-a-0023,148.390625,148.639250,pick,I,sv,u-34-3
sw2020B-ms98-a-0023,148.639250,148.757500,it,I,sv,u-34-3
sw2020B-ms98-a-0023,148.757500,149.107500,up,I,sv,u-34-3
sw2020B-ms98-a-0023,149.435500,149.510875,i,I,sv,u-34-3
sw2020B-ms98-a-0023,149.510875,149.617500,mean,I,sv,u-34-3
sw2020B-ms98-a-0023,149.617500,149.747500,it,O,,
sw2020B-ms98-a-0023,150.400000,150.765875,y[ou]-,O,,
sw2020B-ms98-a-0025,158.244750,158.559375,yeah,B,b,u-36-1
