sw3138A-ms98-a-0003,3.645125,4.055125,alright,B,aa,u-2-1
sw3138A-ms98-a-0019,48.320625,48.380625,m[y]-,I,sd,u-26-2
sw3138A-ms98-a-0019,48.520625,48.720625,my,I,sd,u-26-2
sw3138A-ms98-a-0019,48.980625,49.530625,oldest,I,sd,u-26-2
sw3138A-ms98-a-0019,49.540625,49.650625,is,I,sd,u-26-2
sw3138A-ms98-a-0019,49.650625,49.990625,nine,I,sd,u-26-2
sw3138A-ms98-a-0019,49.990625,50.130625,and,B,sd,u-26-3
sw3138A-ms98-a-0019,50.130625,50.310625,he,I,sd,u-26-3
sw3138A-ms98-a-0019,50.310625,50.700625,already,I,sd,u-26-3
sw3138A-ms98-a-0019,51.630625,51.740625,he,B,+,u-28-1
sw3138A-ms98-a-0019,51.740625,51.970625,already,I,+,u-28-1
sw3138A-ms98-a-0019,51.970625,52.280625,does,I,+,u-28-1
sw3138A-ms98-a-0019,52.370625,52.780625,that,I,+,u-28-1
sw3138A-ms98-a-0020,53.669250,53.769250,and,B,sd,u-30-1
sw3138A-ms98-a-0020,53.769250,53.849250,i,I,sd,u-30-1
sw3138A-ms98-a-0020,53.849250,54.169250,told,I,sd,u-30-1
sw3138A-ms98-a-0020,54.169250,54.309250,him,I,sd,u-30-1
sw3138A-ms98-a-0020,54.309250,54.459250,he's,B,+,u-32-1
sw3138A-ms98-a-0020,54.459250,54.609250,going,I,+,u-32-1
sw3138A-ms98-a-0020,54.609250,54.669250,to,I,+,u-32-1
sw3138A-ms98-a-0020,54.669250,54.829250,have,I,+,u-32-1
sw3138A-ms98-a-0020,54.829250,54.959250,to,I,+,u-32-1
sw3138A-ms98-a-0020,54.959250,55.099250,get,I,+,u-32-1
sw3138A-ms98-a-0020,55.099250,55.149250,a,I,+,u-32-1
sw3138A-ms98-a-0020,55.149250,55.699250,part-time,I,+,u-32-1
sw3138A-ms98-a-0020,55.699250,55.999250,job,I,+,u-32-1
sw3138A-ms98-a-0020,55.999250,56.109250,by,I,+,u-32-1
sw3138A-ms98-a-0020,56.109250,56.209250,the,I,+,u-32-1
sw3138A-ms98-a-0020,56.209250,56.369250,time,I,+,u-32-1
sw3138A-ms98-a-0020,56.369250,56.509250,he,I,+,u-32-1
sw3138A-ms98-a-0020,56.509250,56.849250,reaches,I,+,u-32-1
sw3138A-ms98-a-0020,56.849250,57.329250,teenage,I,+,u-32-1
sw3138A-ms98-a-0020,57.329250,57.699250,years,I,+,u-32-1
sw3138A-ms98-a-0020,57.749250,57.949250,so,B,+,u-34-1
sw3138A-ms98-a-0020,58.379250,58.509250,he,I,+,u-34-1
sw3138A-ms98-a-0020,58.509250,58.709250,can,I,+,u-34-1
sw3138A-ms98-a-0020,58.709250,59.219250,eat,I,+,u-34-1
sw3138A-ms98-a-0022,67.406125,67.746125,um,B,%,u-36-1
sw3138A-ms98-a-0024,71.540250,71.760250,my,B,sd,u-38-1
sw3138A-ms98-a-0024,71.760250,72.260250,husband,I,sd,u-38-1
sw3138A-ms98-a-0024,72.260250,72.400250,and,I,sd,u-38-1
sw3138A-ms98-a-0024,72.400250,72.640250,i,I,sd,u-38-1
sw3138A-ms98-a-0024,72.640250,72.760250,our,I,sd,u-38-1
sw3138A-ms98-a-0024,72.760250,73.260250,favorite,I,sd,u-38-1
sw3138A-ms98-a-0024,73.660250,74.120250,meal,I,sd,u-38-1
sw3138A-ms98-a-0024,74.180250,74.420250,is,I,sd,u-38-1
sw3138A-ms98-a-0024,74.580250,74.930250,um,I,sd,u-38-1
sw3138A-ms98-a-0024,75.060250,75.190250,and,B,sd,u-38-2
sw3138A-ms98-a-0024,75.190250,75.290250,we,I,sd,u-38-2
sw3138A-ms98-a-0024,75.290250,75.470250,do,I,sd,u-38-2
sw3138A-ms98-a-0024,75.470250,75.730250,it,I,sd,u-38-2
sw3138A-ms98-a-0024,75.730250,75.910250,like,B,sd,u-38-3
sw3138A-ms98-a-0024,76.420250,76.540250,for,I,sd,u-38-3
sw3138A-ms98-a-0024,76.540250,77.040250,special,I,sd,u-38-3
sw3138A-ms98-a-0024,77.040250,77.710250,stuff,I,sd,u-38-3
sw3138A-ms98-a-0024,77.930250,79.280250,celebrations,B,+,u-40-1
sw3138A-ms98-a-0024,79.280250,79.380250,and,I,+,u-40-1
sw3138A-ms98-a-0024,79.400250,79.490250,we,I,+,u-40-1
sw3138A-ms98-a-0024,79.490250,79.670250,have,I,+,u-40-1
sw3138A-ms98-a-0024,79.870250,80.140250,like,I,+,u-40-1
sw3138A-ms98-a-0024,80.200250,80.640250,steak,I,+,u-40-1
sw3138A-ms98-a-0024,80.640250,80.770250,and,B,sd,u-40-2
sw3138A-ms98-a-0024,80.770250,80.880250,he,I,sd,u-40-2
sw3138A-ms98-a-0024,80.880250,81.120250,does,I,sd,u-40-2
sw3138A-ms98-a-0024,81.150250,81.230250,the,I,sd,u-40-2
sw3138A-ms98-a-0024,81.230250,81.740250,steak,I,sd,u-40-2
sw3138A-ms98-a-0024,81.740250,81.950250,and,B,%,u-40-3
sw3138A-ms98-a-0024,82.490250,82.860250,then,I,%,u-40-3
sw3138A-ms98-a-0024,82.970250,83.280250,uh,I,%,u-40-3
sw3138A-ms98-a-0025,83.863750,84.223750,uh-huh,B,ny,u-42-1
sw3138A-ms98-a-0025,84.223750,84.333750,and,B,sd,u-44-1
sw3138A-ms98-a-0025,84.733750,85.253750,he,I,sd,u-44-1
sw3138A-ms98-a-0025,85.253750,85.883750,marinates,I,sd,u-44-1
sw3138A-ms98-a-0025,85.883750,85.973750,it,I,sd,u-44-1
sw3138A-ms98-a-0025,85.973750,86.063750,in,I,sd,u-44-1
sw3138A-ms98-a-0025,86.063750,86.393750,his,I,sd,u-44-1
sw3138A-ms98-a-0025,86.763750,87.353750,special,I,sd,u-44-1
sw3138A-ms98-a-0025,87.353750,87.903750,stuff,I,sd,u-44-1
sw3138A-ms98-a-0025,87.903750,88.043750,that,B,+,u-46-1
sw3138A-ms98-a-0025,88.043750,88.313750,he,I,+,u-46-1
sw3138A-ms98-a-0025,88.453750,88.803750,does,I,+,u-46-1
sw3138A-ms98-a-0025,88.803750,88.933750,and,B,sd,u-46-2
sw3138A-ms98-a-0025,88.933750,89.133750,it's,I,sd,u-46-2
sw3138A-ms98-a-0025,89.133750,89.313750,real,I,sd,u-46-2
sw3138A-ms98-a-0025,89.313750,89.693750,good,I,sd,u-46-2
sw3138A-ms98-a-0025,90.173750,90.643750,and,B,sd,u-48-1
sw3138A-ms98-a-0025,90.643750,90.863750,uh,I,sd,u-48-1
sw3138A-ms98-a-0025,91.163750,91.273750,i,B,+,u-50-1
sw3138A-ms98-a-0025,91.273750,91.513750,do,I,+,u-50-1
sw3138A-ms98-a-0025,91.513750,91.993750,sauteed,I,+,u-50-1
sw3138A-ms98-a-0025,91.993750,92.663750,mushrooms,I,+,u-50-1
sw3138A-ms98-a-0025,93.553750,93.983750,so,B,%,u-50-2
sw3138A-ms98-a-0025,93.983750,94.093750,and,B,sd,u-52-1
sw3138A-ms98-a-0025,94.093750,95.193750,asparagus,I,sd,u-52-1
sw3138A-ms98-a-0025,95.233750,95.333750,and,B,sd,u-52-2
sw3138A-ms98-a-0025,95.333750,95.543750,that's,I,sd,u-52-2
sw3138A-ms98-a-0025,95.543750,95.733750,our,I,sd,u-52-2
sw3138A-ms98-a-0025,95.733750,96.273750,favorite,I,sd,u-52-2
sw3138A-ms98-a-0026,97.445250,97.915250,dinner,B,+,u-54-1
sw3138A-ms98-a-0028,101.098500,101.288500,yeah,B,aa,u-56-1
sw3138A-ms98-a-0028,101.288500,101.508500,so,B,sd,u-56-2
sw3138A-ms98-a-0028,101.508500,101.588500,do,I,sd,u-56-2
sw3138A-ms98-a-0028,101.588500,102.038500,we,I,sd,u-56-2
sw3138A-ms98-a-0030,115.673750,116.083750,yeah,B,b,u-58-1
sw3138A-ms98-a-0032,128.559125,129.019125,uh-huh,B,b,u-60-1
sw3138A-ms98-a-0034,134.244625,134.454625,it's,B,qy^g,u-62-1
sw3138A-ms98-a-0034,134.454625,134.614625,not,I,qy^g,u-62-1
sw3138A-ms98-a-0034,134.614625,134.704625,the,I,qy^g,u-62-1
sw3138A-ms98-a-0034,134.704625,134.904625,one,I,qy^g,u-62-1
sw3138A-ms98-a-0034,134.904625,135.074625,with,I,qy^g,u-62-1
sw3138A-ms98-a-0034,135.074625,135.194625,all,I,qy^g,u-62-1
sw3138A-ms98-a-0034,135.194625,135.264625,the,I,qy^g,u-62-1
sw3138A-ms98-a-0034,135.264625,135.744625,shells,I,qy^g,u-62-1
sw3138A-ms98-a-0034,135.744625,135.894625,and,I,qy^g,u-62-1
sw3138A-ms98-a-0034,135.894625,136.214625,stuff,I,qy^g,u-62-1
sw3138A-ms98-a-0034,136.214625,136.324625,in,I,qy^g,u-62-1
sw3138A-ms98-a-0034,136.324625,136.464625,it,I,qy^g,u-62-1
sw3138A-ms98-a-0034,136.464625,136.624625,is,I,qy^g,u-62-1
sw3138A-ms98-a-0034,136.624625,136.694625,it,I,qy^g,u-62-1
sw3138A-ms98-a-0036,139.250875,139.370875,i,B,sd,u-64-1
sw3138A-ms98-a-0036,139.370875,139.510875,don't,I,sd,u-64-1
sw3138A-ms98-a-0036,139.510875,139.660875,know,I,sd,u-64-1
sw3138A-ms98-a-0036,139.660875,139.840875,what,I,sd,u-64-1
sw3138A-ms98-a-0036,139.840875,140.000875,that,I,sd,u-64-1
sw3138A-ms98-a-0036,140.000875,140.030875,i,B,sd,u-66-1
sw3138A-ms98-a-0036,140.030875,140.260875,don't,I,sd,u-66-1
sw3138A-ms98-a-0036,140.260875,140.400875,see,I,sd,u-66-1
sw3138A-ms98-a-0036,140.400875,140.480875,how,I,sd,u-66-1
sw3138A-ms98-a-0036,140.480875,140.640875,you,I,sd,u-66-1
sw3138A-ms98-a-0036,140.690875,140.930875,eat,I,sd,u-66-1
sw3138A-ms98-a-0036,140.930875,141.290875,that,I,sd,u-66-1
sw3138A-ms98-a-0036,141.290875,141.380875,but,B,%,u-66-2
sw3138A-ms98-a-0038,152.634750,153.084750,oh,B,b,u-70-1
sw3138A-ms98-a-0040,157.606500,157.966500,yeah,B,b,u-72-1
sw3138A-ms98-a-0041,158.813375,159.023375,so,B,%,u-74-1
sw3138A-ms98-a-0041,159.023375,159.193375,it,I,%,u-74-1
sw3138A-ms98-a-0042,160.657250,161.067250,yeah,B,b,u-76-1
sw3138A-ms98-a-0042,161.347250,161.467250,it,B,bf,u-76-2
sw3138A-ms98-a-0042,161.467250,161.937250,defeats,I,bf,u-76-2
sw3138A-ms98-a-0042,161.937250,161.997250,the,I,bf,u-76-2
sw3138A-ms98-a-0042,161.997250,162.697250,purpose,I,bf,u-76-2
sw3138A-ms98-a-0044,170.024000,170.314000,oh,B,ba,u-78-1
sw3138A-ms98-a-0044,170.314000,170.744000,yeah,I,ba,u-78-1
sw3138A-ms98-a-0044,171.584000,171.734000,yeah,B,ny,u-80-1
sw3138A-ms98-a-0044,171.734000,171.884000,my,B,sd^e,u-80-2
sw3138A-ms98-a-0044,171.884000,172.244000,husband,I,sd^e,u-80-2
sw3138A-ms98-a-0044,172.244000,172.484000,makes,I,sd^e,u-80-2
sw3138A-ms98-a-0044,172.484000,172.744000,those,I,sd^e,u-80-2
sw3138A-ms98-a-0044,172.994000,173.144000,i'm,B,sd,u-82-1
sw3138A-ms98-a-0044,173.144000,173.324000,not,I,sd,u-82-1
sw3138A-ms98-a-0044,173.424000,173.514000,i,I,sd,u-82-1
sw3138A-ms98-a-0044,173.514000,173.774000,don't,I,sd,u-82-1
sw3138A-ms98-a-0044,173.774000,173.934000,eat,I,sd,u-82-1
sw3138A-ms98-a-0044,173.934000,174.624000,enchiladas,I,sd,u-82-1
sw3138A-ms98-a-0044,175.084000,175.304000,i,B,sd,u-84-1
sw3138A-ms98-a-0044,175.464000,175.534000,i,I,sd,u-84-1
sw3138A-ms98-a-0044,175.534000,175.714000,don't,I,sd,u-84-1
sw3138A-ms98-a-0044,175.714000,175.934000,like,I,sd,u-84-1
sw3138A-ms98-a-0044,175.934000,176.374000,enchila[das]-,I,sd,u-84-1
sw3138A-ms98-a-0044,176.464000,176.514000,i,I,sd,u-84-1
sw3138A-ms98-a-0044,176.514000,176.664000,don't,I,sd,u-84-1
sw3138A-ms98-a-0044,176.664000,176.864000,like,I,sd,u-84-1
sw3138A-ms98-a-0044,176.864000,176.974000,the,I,sd,u-84-1
sw3138A-ms98-a-0044,176.974000,177.294000,tex[ture]-,O,,
sw3138A-ms98-a-0044,177.294000,177.324000,i,B,h,u-84-2
sw3138A-ms98-a-0044,177.324000,177.474000,don't,I,h,u-84-2
sw3138A-ms98-a-0044,177.474000,177.564000,know,I,h,u-84-2
sw3138A-ms98-a-0044,177.564000,177.654000,i,B,sd,u-84-3
sw3138A-ms98-a-0044,177.654000,177.884000,guess,I,sd,u-84-3
sw3138A-ms98-a-0044,177.884000,178.054000,it's,I,sd,u-84-3
sw3138A-ms98-a-0044,178.054000,178.114000,the,I,sd,u-84-3
sw3138A-ms98-a-0044,178.114000,178.674000,texture,I,sd,u-84-3
sw3138A-ms98-a-0044,178.814000,178.894000,or,I,sd,u-84-3
sw3138A-ms98-a-0044,178.894000,179.244000,something,I,sd,u-84-3
sw3138A-ms98-a-0044,179.284000,179.384000,i,B,sd,u-84-4
sw3138A-ms98-a-0044,179.384000,179.534000,don't,I,sd,u-84-4
sw3138A-ms98-a-0044,179.534000,179.694000,like,I,sd,u-84-4
sw3138A-ms98-a-0044,179.694000,179.754000,the,I,sd,u-84-4
sw3138A-ms98-a-0044,179.754000,180.084000,taste,I,sd,u-84-4
sw3138A-ms98-a-0044,180.084000,180.184000,of,I,sd,u-84-4
sw3138A-ms98-a-0044,180.184000,180.604000,enchiladas,I,sd,u-84-4
sw3138A-ms98-a-0044,180.714000,180.834000,but,B,sd,u-86-1
sw3138A-ms98-a-0044,180.834000,181.154000,everyone,I,sd,u-86-1
sw3138A-ms98-a-0044,181.154000,181.454000,else,I,sd,u-86-1
sw3138A-ms98-a-0044,181.454000,181.534000,in,I,sd,u-86-1
sw3138A-ms98-a-0044,181.534000,181.644000,my,I,sd,u-86-1
sw3138A-ms98-a-0044,181.644000,181.984000,family,I,sd,u-86-1
sw3138A-ms98-a-0044,181.984000,182.324000,does,I,sd,u-86-1
sw3138A-ms98-a-0046,185.456875,185.846875,yeah,B,ny,u-88-1
sw3138A-ms98-a-0047,186.710625,186.790625,i,B,h,u-90-1
sw3138A-ms98-a-0047,186.790625,186.960625,don't,I,h,u-90-1
sw3138A-ms98-a-0047,186.960625,187.070625,know,I,h,u-90-1
sw3138A-ms98-a-0047,187.140625,187.220625,i,B,sd,u-90-2
sw3138A-ms98-a-0047,187.500625,187.750625,it's,I,sd,u-90-2
sw3138A-ms98-a-0047,187.870625,187.940625,i,I,sd,u-90-2
sw3138A-ms98-a-0047,187.940625,188.130625,don't,I,sd,u-90-2
sw3138A-ms98-a-0047,188.130625,188.250625,know,I,sd,u-90-2
sw3138A-ms98-a-0047,188.250625,188.430625,what,I,sd,u-90-2
sw3138A-ms98-a-0047,188.500625,188.610625,i,B,h^r,u-90-3
sw3138A-ms98-a-0047,188.610625,188.790625,don't,I,h^r,u-90-3
sw3138A-ms98-a-0047,188.790625,188.930625,know,I,h^r,u-90-3
sw3138A-ms98-a-0047,189.420625,189.580625,i,B,sd,u-90-4
sw3138A-ms98-a-0047,189.580625,189.750625,i,I,sd,u-90-4
sw3138A-ms98-a-0047,189.750625,189.930625,don't,I,sd,u-90-4
sw3138A-ms98-a-0047,189.930625,190.050625,know,I,sd,u-90-4
sw3138A-ms98-a-0047,190.050625,190.200625,what,I,sd,u-90-4
sw3138A-ms98-a-0047,190.200625,190.290625,it,I,sd,u-90-4
sw3138A-ms98-a-0047,190.290625,190.450625,is,I,sd,u-90-4
sw3138A-ms98-a-0047,190.450625,190.720625,about,I,sd,u-90-4
sw3138A-ms98-a-0047,190.720625,190.810625,the,I,sd,u-90-4
sw3138A-ms98-a-0047,190.810625,191.400625,enchiladas,I,sd,u-90-4
sw3138A-ms98-a-0047,191.400625,191.510625,i,B,%,u-90-5
sw3138A-ms98-a-0047,191.510625,192.580625,just,I,%,u-90-5
sw3138A-ms98-a-0047,192.580625,192.750625,and,B,sd,u-90-6
sw3138A-ms98-a-0047,192.750625,192.870625,i'm,I,sd,u-90-6
sw3138A-ms98-a-0047,192.870625,192.940625,the,I,sd,u-90-6
sw3138A-ms98-a-0047,192.940625,193.110625,only,I,sd,u-90-6
sw3138A-ms98-a-0047,193.110625,193.300625,one,I,sd,u-90-6
sw3138A-ms98-a-0047,193.300625,193.830625,including,I,sd,u-90-6
sw3138A-ms98-a-0047,193.970625,194.110625,my,I,sd,u-90-6
sw3138A-ms98-a-0047,194.110625,194.360625,Mom,I,sd,u-90-6
sw3138A-ms98-a-0047,194.360625,194.480625,and,I,sd,u-90-6
sw3138A-ms98-a-0047,194.480625,194.760625,Dad,I,sd,u-90-6
sw3138A-ms98-a-0047,194.760625,194.850625,and,I,sd,u-90-6
sw3138A-ms98-a-0047,194.850625,194.980625,my,I,sd,u-90-6
sw3138A-ms98-a-0047,194.980625,195.320625,brother,I,sd,u-90-6
sw3138A-ms98-a-0047,195.320625,195.510625,i'm,B,sd,u-90-7
sw3138A-ms98-a-0047,195.510625,195.590625,the,I,sd,u-90-7
sw3138A-ms98-a-0047,195.590625,195.780625,only,I,sd,u-90-7
sw3138A-ms98-a-0047,195.780625,196.030625,one,I,sd,u-90-7
sw3138A-ms98-a-0047,196.030625,196.190625,that,I,sd,u-90-7
sw3138A-ms98-a-0047,196.520625,196.870625,doesn't,B,+,u-92-1
sw3138A-ms98-a-0047,196.870625,197.020625,eat,I,+,u-92-1
sw3138A-ms98-a-0047,197.020625,197.190625,it,I,+,u-92-1
sw3138A-ms98-a-0047,197.470625,197.630625,but,B,sd,u-94-1
sw3138A-ms98-a-0047,198.140625,198.270625,my,I,sd,u-94-1
sw3138A-ms98-a-0047,198.270625,198.620625,kids,I,sd,u-94-1
sw3138A-ms98-a-0047,198.620625,198.900625,love,I,sd,u-94-1
sw3138A-ms98-a-0047,198.900625,199.090625,it,I,sd,u-94-1
sw3138A-ms98-a-0047,199.290625,199.390625,you,O,,
sw3138A-ms98-a-0047,199.390625,199.490625,know,O,,
sw3138A-ms98-a-0049,211.984375,212.404375,uh-huh,O,,
sw3138A-ms98-a-0051,216.236625,216.656625,yeah,B,b,u-102-1
sw3138A-ms98-a-0053,219.202875,219.592875,yeah,B,aa,u-104-1
sw3138A-ms98-a-0053,219.872875,220.002875,i've,B,sd,u-104-2
sw3138A-ms98-a-0053,220.002875,220.172875,got,I,sd,u-104-2
sw3138A-ms98-a-0053,220.172875,220.262875,a,I,sd,u-104-2
sw3138A-ms98-a-0053,220.262875,220.622875,chicken,I,sd,u-104-2
sw3138A-ms98-a-0053,220.622875,221.202875,casserole,I,sd,u-104-2
sw3138A-ms98-a-0053,221.202875,221.442875,that's,I,sd,u-104-2
sw3138A-ms98-a-0053,221.442875,221.682875,like,I,sd,u-104-2
sw3138A-ms98-a-0053,221.682875,221.892875,that,I,sd,u-104-2
sw3138A-ms98-a-0053,221.942875,222.112875,that,I,sd,u-104-2
sw3138A-ms98-a-0053,222.572875,222.902875,that,I,sd,u-104-2
sw3138A-ms98-a-0053,223.142875,223.312875,i've,I,sd,u-104-2
sw3138A-ms98-a-0055,225.388250,225.848250,yeah,B,aa,u-108-1
sw3138A-ms98-a-0055,226.208250,226.458250,because,B,sd,u-108-2
sw3138A-ms98-a-0055,226.458250,226.598250,i,I,sd,u-108-2
sw3138A-ms98-a-0055,226.598250,226.768250,when,I,sd,u-108-2
sw3138A-ms98-a-0055,226.768250,226.848250,i,I,sd,u-108-2
sw3138A-ms98-a-0055,226.848250,227.118250,make,I,sd,u-108-2
sw3138A-ms98-a-0055,227.118250,227.468250,this,I,sd,u-108-2
sw3138A-ms98-a-0055,227.518250,227.828250,chicken,I,sd,u-108-2
sw3138A-ms98-a-0055,227.828250,228.348250,casserole,I,sd,u-108-2
sw3138A-ms98-a-0055,228.348250,228.398250,i,I,sd,u-108-2
sw3138A-ms98-a-0055,228.398250,228.548250,it,I,sd,u-108-2
sw3138A-ms98-a-0055,228.908250,229.068250,it,I,sd,u-108-2
sw3138A-ms98-a-0055,229.548250,229.768250,makes,I,sd,u-108-2
sw3138A-ms98-a-0055,229.768250,229.858250,a,I,sd,u-108-2
sw3138A-ms98-a-0055,229.858250,230.038250,real,I,sd,u-108-2
sw3138A-ms98-a-0055,230.038250,230.408250,big,I,sd,u-108-2
sw3138A-ms98-a-0055,230.448250,230.978250,casserole,I,sd,u-108-2
sw3138A-ms98-a-0055,230.978250,231.118250,and,I,sd,u-108-2
sw3138A-ms98-a-0055,231.288250,231.508250,then,I,sd,u-108-2
sw3138A-ms98-a-0055,231.788250,232.128250,another,I,sd,u-108-2
sw3138A-ms98-a-0055,232.128250,232.368250,one,I,sd,u-108-2
sw3138A-ms98-a-0055,232.368250,232.508250,that,I,sd,u-108-2
sw3138A-ms98-a-0055,232.508250,232.568250,i,I,sd,u-108-2
sw3138A-ms98-a-0055,232.568250,233.168250,freeze,I,sd,u-108-2
sw3138A-ms98-a-0056,233.968000,234.298000,so,B,sd,u-110-1
sw3138A-ms98-a-0056,234.358000,234.508000,or,I,sd,u-110-1
sw3138A-ms98-a-0056,234.508000,234.618000,i,I,sd,u-110-1
sw3138A-ms98-a-0056,234.618000,234.788000,give,I,sd,u-110-1
sw3138A-ms98-a-0056,234.788000,234.888000,it,I,sd,u-110-1
sw3138A-ms98-a-0056,234.888000,234.958000,to,I,sd,u-110-1
sw3138A-ms98-a-0056,234.958000,235.068000,my,I,sd,u-110-1
sw3138A-ms98-a-0056,235.068000,235.298000,Mom,I,sd,u-110-1
sw3138A-ms98-a-0056,235.298000,235.388000,and,I,sd,u-110-1
sw3138A-ms98-a-0056,235.388000,235.648000,Dad,I,sd,u-110-1
sw3138A-ms98-a-0056,235.648000,235.858000,if,I,sd,u-110-1
sw3138A-ms98-a-0056,236.078000,236.138000,i,I,sd,u-110-1
sw3138A-ms98-a-0056,236.138000,236.328000,know,I,sd,u-110-1
sw3138A-ms98-a-0056,236.328000,236.448000,we're,I,sd,u-110-1
sw3138A-ms98-a-0056,236.448000,236.578000,not,I,sd,u-110-1
sw3138A-ms98-a-0056,236.578000,236.698000,going,B,+,u-112-1
sw3138A-ms98-a-0056,236.698000,236.768000,to,I,+,u-112-1
sw3138A-ms98-a-0056,236.768000,236.898000,eat,I,+,u-112-1
sw3138A-ms98-a-0057,237.846625,238.156625,it's,B,%,u-114-1
sw3138A-ms98-a-0057,238.156625,238.486625,jus[t]-,O,,
sw3138A-ms98-a-0057,238.506625,238.746625,you,B,sd,u-114-2
sw3138A-ms98-a-0057,238.746625,238.896625,can,I,sd,u-114-2
sw3138A-ms98-a-0057,238.896625,239.086625,use,I,sd,u-114-2
sw3138A-ms98-a-0057,239.086625,239.496625,chicken,I,sd,u-114-2
sw3138A-ms98-a-0057,239.496625,239.586625,or,I,sd,u-114-2
sw3138A-ms98-a-0057,239.586625,240.046625,turkey,I,sd,u-114-2
sw3138A-ms98-a-0057,240.046625,240.236625,because_1,O,,
sw3138A-ms98-a-0057,240.236625,240.366625,my,B,+,u-116-1
sw3138A-ms98-a-0057,240.366625,240.676625,Mom,I,+,u-116-1
sw3138A-ms98-a-0057,240.676625,240.926625,started,I,+,u-116-1
